ko:K19744	bcew:DM40_1511
ko:K13993	bcew:DM40_1917
ko:K13929	bcew:DM40_1923
ko:K13931	bcew:DM40_1924
ko:K13932	bcew:DM40_1925
ko:K13933	bcew:DM40_1926
ko:K13934	bcew:DM40_1927
ko:K13930	bcew:DM40_1928
ko:K00645	bcew:DM40_1929
ko:K03762	bcew:DM40_1935
ko:K09771	bcew:DM40_1936
ko:K02342	bcew:DM40_1937
ko:K03469	bcew:DM40_1938
ko:K01069	bcew:DM40_1940
ko:K08307	bcew:DM40_1941
ko:K01956	bcew:DM40_1943
ko:K11250	bcew:DM40_1944
ko:K01955	bcew:DM40_1945
ko:K03624	bcew:DM40_1946
ko:K02427	bcew:DM40_1949
ko:K03798	bcew:DM40_1950
ko:K00796	bcew:DM40_1951
ko:K03431	bcew:DM40_1952
ko:K02040	bcew:DM40_1953
ko:K02037	bcew:DM40_1954
ko:K02038	bcew:DM40_1955
ko:K02036	bcew:DM40_1956
ko:K02039	bcew:DM40_1957
ko:K07657	bcew:DM40_1958
ko:K07636	bcew:DM40_1959
ko:K00937	bcew:DM40_1960
ko:K01524	bcew:DM40_1961
ko:K03566	bcew:DM40_490
ko:K09158	bcew:DM40_491
ko:K00824	bcew:DM40_492
ko:K07258	bcew:DM40_493
ko:K07018	bcew:DM40_494
ko:K18480	bcew:DM40_497
ko:K02067	bcew:DM40_498
ko:K02065	bcew:DM40_499
ko:K02066	bcew:DM40_500
ko:K01119	bcew:DM40_501
ko:K03524	bcew:DM40_504
ko:K03525	bcew:DM40_505
ko:K07001	bcew:DM40_509
ko:K01692	bcew:DM40_511
ko:K16171	bcew:DM40_512
ko:K00548	bcew:DM40_516
ko:K00548	bcew:DM40_517
ko:K01887	bcew:DM40_519
ko:K03673	bcew:DM40_521
ko:K12368	bcew:DM40_523
ko:K00906	bcew:DM40_526
ko:K01673	bcew:DM40_527
ko:K09858	bcew:DM40_529
ko:K00833	bcew:DM40_531
ko:K00652	bcew:DM40_532
ko:K01935	bcew:DM40_533
ko:K01012	bcew:DM40_534
ko:K06201	bcew:DM40_537
ko:K03316	bcew:DM40_539
ko:K04090	bcew:DM40_540
ko:K00799	bcew:DM40_542
ko:K08715	bcew:DM40_543
ko:K01483	bcew:DM40_1346
ko:K03711	bcew:DM40_1347
ko:K06186	bcew:DM40_1348
ko:K00215	bcew:DM40_1349
ko:K03561	bcew:DM40_1350
ko:K03559	bcew:DM40_1351
ko:K01869	bcew:DM40_1352
ko:K03643	bcew:DM40_1353
ko:K02340	bcew:DM40_1354
ko:K00147	bcew:DM40_1355
ko:K08973	bcew:DM40_1356
ko:K01690	bcew:DM40_1358
ko:K01625	bcew:DM40_1359
ko:K03299	bcew:DM40_1360
ko:K00851	bcew:DM40_1361
ko:K01756	bcew:DM40_1364
ko:K00261	bcew:DM40_1366
ko:K10001	bcew:DM40_1367
ko:K10003	bcew:DM40_1368
ko:K10002	bcew:DM40_1369
ko:K10004	bcew:DM40_1370
ko:K01465	bcew:DM40_1373
ko:K07397	bcew:DM40_1375
ko:K02871	bcew:DM40_1376
ko:K02996	bcew:DM40_1377
ko:K15724	bcew:DM40_1378
ko:K09001	bcew:DM40_1379
ko:K01866	bcew:DM40_1380
ko:K07560	bcew:DM40_1381
ko:K03551	bcew:DM40_1384
ko:K03550	bcew:DM40_1385
ko:K01159	bcew:DM40_1386
ko:K00602	bcew:DM40_1387
ko:K03557	bcew:DM40_1388
ko:K05540	bcew:DM40_1389
ko:K03185	bcew:DM40_1390
ko:K01262	bcew:DM40_1391
ko:K00799	bcew:DM40_1392
ko:K00566	bcew:DM40_1394
ko:K02424	bcew:DM40_2182
ko:K00254	bcew:DM40_2183
ko:K00684	bcew:DM40_2185
ko:K04091	bcew:DM40_2192
ko:K15554	bcew:DM40_2193
ko:K15555	bcew:DM40_2194
ko:K05539	bcew:DM40_2198
ko:K03762	bcew:DM40_2224
ko:K06917	bcew:DM40_2227
ko:K07089	bcew:DM40_2228
ko:K09694	bcew:DM40_2230
ko:K09695	bcew:DM40_2231
ko:K01356	bcew:DM40_2235
ko:K02048	bcew:DM40_2236
ko:K01273	bcew:DM40_3010
ko:K00600	bcew:DM40_3011
ko:K03543	bcew:DM40_3017
ko:K12990	bcew:DM40_3019
ko:K18101	bcew:DM40_3021
ko:K18100	bcew:DM40_3023
ko:K02167	bcew:DM40_3024
ko:K07275	bcew:DM40_3029
ko:K01990	bcew:DM40_3033
ko:K01992	bcew:DM40_3034
ko:K01281	bcew:DM40_3043
ko:K05845	bcew:DM40_3045
ko:K05846	bcew:DM40_3046
ko:K05847	bcew:DM40_3047
ko:K05846	bcew:DM40_3048
ko:K01633	bcew:DM40_3051
ko:K00305	bcew:DM40_3052
ko:K00303	bcew:DM40_3055
ko:K01752	bcew:DM40_3056
ko:K02019	bcew:DM40_3866
ko:K02017	bcew:DM40_3867
ko:K02018	bcew:DM40_3868
ko:K02020	bcew:DM40_3869
ko:K02204	bcew:DM40_3876
ko:K01241	bcew:DM40_3878
ko:K06966	bcew:DM40_3880
ko:K03885	bcew:DM40_3882
ko:K01061	bcew:DM40_3883
ko:K01011	bcew:DM40_3884
ko:K03602	bcew:DM40_3886
ko:K00795	bcew:DM40_3887
ko:K01662	bcew:DM40_3888
ko:K09007	bcew:DM40_3889
ko:K01409	bcew:DM40_3890
ko:K03657	bcew:DM40_3891
ko:K07007	bcew:DM40_3899
ko:K02970	bcew:DM40_3900
ko:K09117	bcew:DM40_3901
ko:K03086	bcew:DM40_3903
ko:K05998	bcew:DM40_3906
ko:K03446	bcew:DM40_3908
ko:K03543	bcew:DM40_3909
ko:K06140	bcew:DM40_4703
ko:K00059	bcew:DM40_4707
ko:K15125	bcew:DM40_4711
ko:K12994	bcew:DM40_1555
ko:K08296	bcew:DM40_1968
ko:K02238	bcew:DM40_2751
ko:K03424	bcew:DM40_2752
ko:K09810	bcew:DM40_2753
ko:K09808	bcew:DM40_2754
ko:K07462	bcew:DM40_2756
ko:K02836	bcew:DM40_2757
ko:K04567	bcew:DM40_2758
ko:K04755	bcew:DM40_2761
ko:K04044	bcew:DM40_2762
ko:K04082	bcew:DM40_2763
ko:K13628	bcew:DM40_2764
ko:K04488	bcew:DM40_2765
ko:K04487	bcew:DM40_2766
ko:K13643	bcew:DM40_2767
ko:K01104	bcew:DM40_2768
ko:K07262	bcew:DM40_2773
ko:K00382	bcew:DM40_2775
ko:K00627	bcew:DM40_2776
ko:K00163	bcew:DM40_2777
ko:K01491	bcew:DM40_2780
ko:K01414	bcew:DM40_2781
ko:K02346	bcew:DM40_2782
ko:K01779	bcew:DM40_2783
ko:K01142	bcew:DM40_2785
ko:K01322	bcew:DM40_2786
ko:K07712	bcew:DM40_2787
ko:K07708	bcew:DM40_2788
ko:K01915	bcew:DM40_2789
ko:K03578	bcew:DM40_2795
ko:K14682	bcew:DM40_2796
ko:K16090	bcew:DM40_3597
ko:K04065	bcew:DM40_3601
ko:K01999	bcew:DM40_3605
ko:K15125	bcew:DM40_3610
ko:K03762	bcew:DM40_3619
ko:K01426	bcew:DM40_3628
ko:K04077	bcew:DM40_3631
ko:K04078	bcew:DM40_3632
ko:K01130	bcew:DM40_3633
ko:K01469	bcew:DM40_3640
ko:K14051	bcew:DM40_3641
ko:K13816	bcew:DM40_3642
ko:K07028	bcew:DM40_4439
ko:K03640	bcew:DM40_4442
ko:K06987	bcew:DM40_4449
ko:K02030	bcew:DM40_4451
ko:K02028	bcew:DM40_4454
ko:K02029	bcew:DM40_4454
ko:K02030	bcew:DM40_4455
ko:K04091	bcew:DM40_4457
ko:K02051	bcew:DM40_4458
ko:K13953	bcew:DM40_4462
ko:K02014	bcew:DM40_4463
ko:K00697	bcew:DM40_4465
ko:K03798	bcew:DM40_4467
ko:K01596	bcew:DM40_4469
ko:K01637	bcew:DM40_4470
ko:K16092	bcew:DM40_4475
ko:K03719	bcew:DM40_4477
ko:K01114	bcew:DM40_4485
ko:K02518	bcew:DM40_4486
ko:K03704	bcew:DM40_4487
ko:K03088	bcew:DM40_5280
ko:K03088	bcew:DM40_5288
ko:K00074	bcew:DM40_5297
ko:K00626	bcew:DM40_5298
ko:K00311	bcew:DM40_5299
ko:K00324	bcew:DM40_5302
ko:K00325	bcew:DM40_5303
ko:K06145	bcew:DM40_5309
ko:K05836	bcew:DM40_5312
ko:K01745	bcew:DM40_5313
ko:K02049	bcew:DM40_5319
ko:K02050	bcew:DM40_5320
ko:K01941	bcew:DM40_5322
ko:K09967	bcew:DM40_5323
ko:K09967	bcew:DM40_5324
ko:K02051	bcew:DM40_5325
ko:K03808	bcew:DM40_5330
ko:K02049	bcew:DM40_4717
ko:K02050	bcew:DM40_4718
ko:K07001	bcew:DM40_4721
ko:K01771	bcew:DM40_4728
ko:K02026	bcew:DM40_4730
ko:K02025	bcew:DM40_4731
ko:K02027	bcew:DM40_4732
ko:K07054	bcew:DM40_4740
ko:K01796	bcew:DM40_5549
ko:K07068	bcew:DM40_5553
ko:K06889	bcew:DM40_5558
ko:K06889	bcew:DM40_5562
ko:K05548	bcew:DM40_5564
ko:K02030	bcew:DM40_5587
ko:K00799	bcew:DM40_5591
ko:K07006	bcew:DM40_5592
ko:K09958	bcew:DM40_5593
ko:K05825	bcew:DM40_1
ko:K07240	bcew:DM40_5
ko:K12340	bcew:DM40_814
ko:K02421	bcew:DM40_815
ko:K02420	bcew:DM40_816
ko:K02419	bcew:DM40_817
ko:K02418	bcew:DM40_818
ko:K02417	bcew:DM40_819
ko:K02416	bcew:DM40_820
ko:K02415	bcew:DM40_821
ko:K06518	bcew:DM40_823
ko:K03446	bcew:DM40_825
ko:K02463	bcew:DM40_829
ko:K02462	bcew:DM40_830
ko:K02461	bcew:DM40_831
ko:K02460	bcew:DM40_832
ko:K02459	bcew:DM40_833
ko:K02458	bcew:DM40_834
ko:K02457	bcew:DM40_835
ko:K02456	bcew:DM40_836
ko:K02452	bcew:DM40_837
ko:K02455	bcew:DM40_838
ko:K02454	bcew:DM40_839
ko:K02453	bcew:DM40_840
ko:K03530	bcew:DM40_843
ko:K15461	bcew:DM40_844
ko:K06048	bcew:DM40_846
ko:K01951	bcew:DM40_848
ko:K07117	bcew:DM40_850
ko:K01724	bcew:DM40_854
ko:K00500	bcew:DM40_855
ko:K01995	bcew:DM40_860
ko:K01996	bcew:DM40_861
ko:K01999	bcew:DM40_862
ko:K01997	bcew:DM40_863
ko:K01998	bcew:DM40_864
ko:K03060	bcew:DM40_1655
ko:K04760	bcew:DM40_1660
ko:K03704	bcew:DM40_1663
ko:K02342	bcew:DM40_1664
ko:K04093	bcew:DM40_1665
ko:K02014	bcew:DM40_1668
ko:K03841	bcew:DM40_1673
ko:K01256	bcew:DM40_1674
ko:K01487	bcew:DM40_1677
ko:K07402	bcew:DM40_1680
ko:K03611	bcew:DM40_1682
ko:K02433	bcew:DM40_1683
ko:K12368	bcew:DM40_650
ko:K01338	bcew:DM40_654
ko:K00528	bcew:DM40_657
ko:K03294	bcew:DM40_660
ko:K07402	bcew:DM40_661
ko:K09939	bcew:DM40_662
ko:K04061	bcew:DM40_663
ko:K02423	bcew:DM40_665
ko:K02422	bcew:DM40_666
ko:K02408	bcew:DM40_667
ko:K02409	bcew:DM40_668
ko:K02410	bcew:DM40_669
ko:K02411	bcew:DM40_670
ko:K02412	bcew:DM40_671
ko:K02413	bcew:DM40_672
ko:K02414	bcew:DM40_673
ko:K00154	bcew:DM40_675
ko:K00477	bcew:DM40_682
ko:K00789	bcew:DM40_684
ko:K02517	bcew:DM40_685
ko:K01778	bcew:DM40_686
ko:K09921	bcew:DM40_687
ko:K03733	bcew:DM40_688
ko:K06969	bcew:DM40_689
ko:K06204	bcew:DM40_691
ko:K01419	bcew:DM40_692
ko:K03667	bcew:DM40_693
ko:K15012	bcew:DM40_694
ko:K15011	bcew:DM40_695
ko:K00930	bcew:DM40_697
ko:K05501	bcew:DM40_699
ko:K00641	bcew:DM40_700
ko:K08218	bcew:DM40_702
ko:K07518	bcew:DM40_1505
ko:K07090	bcew:DM40_1507
ko:K10013	bcew:DM40_1512
ko:K00285	bcew:DM40_1513
ko:K03088	bcew:DM40_1516
ko:K04078	bcew:DM40_1521
ko:K04077	bcew:DM40_1522
ko:K07027	bcew:DM40_1524
ko:K00941	bcew:DM40_1527
ko:K07735	bcew:DM40_1530
ko:K07447	bcew:DM40_1531
ko:K02825	bcew:DM40_1532
ko:K00609	bcew:DM40_1533
ko:K01465	bcew:DM40_1534
ko:K00655	bcew:DM40_1535
ko:K01525	bcew:DM40_1536
ko:K00973	bcew:DM40_1538
ko:K01790	bcew:DM40_1539
ko:K00067	bcew:DM40_1540
ko:K12995	bcew:DM40_1541
ko:K01711	bcew:DM40_1543
ko:K02525	bcew:DM40_2344
ko:K00090	bcew:DM40_2345
ko:K00874	bcew:DM40_2347
ko:K03281	bcew:DM40_2351
ko:K17218	bcew:DM40_2359
ko:K07090	bcew:DM40_2360
ko:K11074	bcew:DM40_2361
ko:K11075	bcew:DM40_2362
ko:K11076	bcew:DM40_2363
ko:K11073	bcew:DM40_2364
ko:K06938	bcew:DM40_2365
ko:K07275	bcew:DM40_2366
ko:K00459	bcew:DM40_2367
ko:K07290	bcew:DM40_2374
ko:K02068	bcew:DM40_2375
ko:K02069	bcew:DM40_2376
ko:K01079	bcew:DM40_2380
ko:K01760	bcew:DM40_2381
ko:K00874	bcew:DM40_2383
ko:K14441	bcew:DM40_2384
ko:K00023	bcew:DM40_2387
ko:K00626	bcew:DM40_2388
ko:K03821	bcew:DM40_2389
ko:K05810	bcew:DM40_2390
ko:K02072	bcew:DM40_3173
ko:K02071	bcew:DM40_3174
ko:K02073	bcew:DM40_3176
ko:K10125	bcew:DM40_3179
ko:K10126	bcew:DM40_3180
ko:K01008	bcew:DM40_3191
ko:K00375	bcew:DM40_3192
ko:K00823	bcew:DM40_3193
ko:K00135	bcew:DM40_3194
ko:K03776	bcew:DM40_3195
ko:K03776	bcew:DM40_3196
ko:K02624	bcew:DM40_3200
ko:K03762	bcew:DM40_3201
ko:K16137	bcew:DM40_3203
ko:K00036	bcew:DM40_3208
ko:K06222	bcew:DM40_3213
ko:K10680	bcew:DM40_3214
ko:K06901	bcew:DM40_3217
ko:K02669	bcew:DM40_4027
ko:K03219	bcew:DM40_4028
ko:K07657	bcew:DM40_4030
ko:K03220	bcew:DM40_4035
ko:K03227	bcew:DM40_4037
ko:K03226	bcew:DM40_4038
ko:K03225	bcew:DM40_4039
ko:K03230	bcew:DM40_4041
ko:K03229	bcew:DM40_4042
ko:K18374	bcew:DM40_4044
ko:K03222	bcew:DM40_4045
ko:K03223	bcew:DM40_4047
ko:K03224	bcew:DM40_4048
ko:K03228	bcew:DM40_4050
ko:K03381	bcew:DM40_4058
ko:K09780	bcew:DM40_4059
ko:K01640	bcew:DM40_4063
ko:K03654	bcew:DM40_4067
ko:K01915	bcew:DM40_4859
ko:K07090	bcew:DM40_4864
ko:K13574	bcew:DM40_4867
ko:K03759	bcew:DM40_4869
ko:K01584	bcew:DM40_4870
ko:K13633	bcew:DM40_4871
ko:K17836	bcew:DM40_4883
ko:K03569	bcew:DM40_4888
ko:K07001	bcew:DM40_4889
ko:K02484	bcew:DM40_4890
ko:K01425	bcew:DM40_4892
ko:K01673	bcew:DM40_4897
ko:K01442	bcew:DM40_4902
ko:K03088	bcew:DM40_4903
ko:K11904	bcew:DM40_4909
ko:K11896	bcew:DM40_4910
ko:K02058	bcew:DM40_5701
ko:K02056	bcew:DM40_5702
ko:K02057	bcew:DM40_5703
ko:K02057	bcew:DM40_5704
ko:K03701	bcew:DM40_5709
ko:K10001	bcew:DM40_5710
ko:K11102	bcew:DM40_5714
ko:K00077	bcew:DM40_5720
ko:K02030	bcew:DM40_5729
ko:K02651	bcew:DM40_5739
ko:K02651	bcew:DM40_5740
ko:K02278	bcew:DM40_5742
ko:K02279	bcew:DM40_5744
ko:K02280	bcew:DM40_5745
ko:K02282	bcew:DM40_5750
ko:K02283	bcew:DM40_5751
ko:K12510	bcew:DM40_5752
ko:K00126	bcew:DM40_1691
ko:K00123	bcew:DM40_1692
ko:K00124	bcew:DM40_1693
ko:K00127	bcew:DM40_1694
ko:K00568	bcew:DM40_1699
ko:K03286	bcew:DM40_1700
ko:K02469	bcew:DM40_1701
ko:K09924	bcew:DM40_1702
ko:K00831	bcew:DM40_1703
ko:K14170	bcew:DM40_1704
ko:K04517	bcew:DM40_1705
ko:K00800	bcew:DM40_1706
ko:K00945	bcew:DM40_1707
ko:K16137	bcew:DM40_2497
ko:K03294	bcew:DM40_2501
ko:K00626	bcew:DM40_2504
ko:K08281	bcew:DM40_2505
ko:K07516	bcew:DM40_2506
ko:K07305	bcew:DM40_2509
ko:K06190	bcew:DM40_2510
ko:K05527	bcew:DM40_2511
ko:K03769	bcew:DM40_2512
ko:K03824	bcew:DM40_2513
ko:K01952	bcew:DM40_2514
ko:K00285	bcew:DM40_2515
ko:K01810	bcew:DM40_2517
ko:K02003	bcew:DM40_2518
ko:K10804	bcew:DM40_2519
ko:K03770	bcew:DM40_2520
ko:K01338	bcew:DM40_2523
ko:K03544	bcew:DM40_2524
ko:K01358	bcew:DM40_2525
ko:K03545	bcew:DM40_2526
ko:K00865	bcew:DM40_2527
ko:K00077	bcew:DM40_2529
ko:K10253	bcew:DM40_3329
ko:K11068	bcew:DM40_3331
ko:K06200	bcew:DM40_3333
ko:K03310	bcew:DM40_3334
ko:K01626	bcew:DM40_3336
ko:K09915	bcew:DM40_3337
ko:K01714	bcew:DM40_3340
ko:K01628	bcew:DM40_3341
ko:K05836	bcew:DM40_3343
ko:K01845	bcew:DM40_3353
ko:K02342	bcew:DM40_3354
ko:K05819	bcew:DM40_3357
ko:K12508	bcew:DM40_3358
ko:K18383	bcew:DM40_3360
ko:K13874	bcew:DM40_3362
ko:K10538	bcew:DM40_3363
ko:K10539	bcew:DM40_3364
ko:K10537	bcew:DM40_3365
ko:K13873	bcew:DM40_3366
ko:K10111	bcew:DM40_3374
ko:K12308	bcew:DM40_3375
ko:K02027	bcew:DM40_3376
ko:K02025	bcew:DM40_3377
ko:K12658	bcew:DM40_4178
ko:K07112	bcew:DM40_4183
ko:K07112	bcew:DM40_4184
ko:K02168	bcew:DM40_4192
ko:K01187	bcew:DM40_4194
ko:K08191	bcew:DM40_4195
ko:K13051	bcew:DM40_4197
ko:K13892	bcew:DM40_4198
ko:K13889	bcew:DM40_4199
ko:K13890	bcew:DM40_4200
ko:K13891	bcew:DM40_4201
ko:K01266	bcew:DM40_4202
ko:K16203	bcew:DM40_4203
ko:K00448	bcew:DM40_4205
ko:K00449	bcew:DM40_4206
ko:K02623	bcew:DM40_4207
ko:K16263	bcew:DM40_4210
ko:K03724	bcew:DM40_4211
ko:K00681	bcew:DM40_4213
ko:K05349	bcew:DM40_4217
ko:K01991	bcew:DM40_4218
ko:K07031	bcew:DM40_4219
ko:K03271	bcew:DM40_4220
ko:K03273	bcew:DM40_4222
ko:K16692	bcew:DM40_4223
ko:K08720	bcew:DM40_5015
ko:K02002	bcew:DM40_5016
ko:K01133	bcew:DM40_5017
ko:K01433	bcew:DM40_5019
ko:K02002	bcew:DM40_5021
ko:K15977	bcew:DM40_5027
ko:K02014	bcew:DM40_5030
ko:K13993	bcew:DM40_5035
ko:K00612	bcew:DM40_5048
ko:K00604	bcew:DM40_5053
ko:K00600	bcew:DM40_5055
ko:K10680	bcew:DM40_5060
ko:K03543	bcew:DM40_5860
ko:K00059	bcew:DM40_119
ko:K06183	bcew:DM40_123
ko:K00523	bcew:DM40_126
ko:K01996	bcew:DM40_130
ko:K01995	bcew:DM40_131
ko:K01998	bcew:DM40_132
ko:K01997	bcew:DM40_133
ko:K03527	bcew:DM40_135
ko:K03774	bcew:DM40_136
ko:K03630	bcew:DM40_137
ko:K02902	bcew:DM40_138
ko:K02913	bcew:DM40_139
ko:K00278	bcew:DM40_140
ko:K00767	bcew:DM40_141
ko:K03517	bcew:DM40_142
ko:K03500	bcew:DM40_145
ko:K11175	bcew:DM40_146
ko:K11753	bcew:DM40_147
ko:K01870	bcew:DM40_148
ko:K03101	bcew:DM40_149
ko:K13038	bcew:DM40_150
ko:K03694	bcew:DM40_154
ko:K06891	bcew:DM40_155
ko:K03704	bcew:DM40_156
ko:K00031	bcew:DM40_159
ko:K00031	bcew:DM40_160
ko:K06181	bcew:DM40_161
ko:K09005	bcew:DM40_162
ko:K02355	bcew:DM40_163
ko:K07241	bcew:DM40_164
ko:K03710	bcew:DM40_167
ko:K01647	bcew:DM40_170
ko:K02404	bcew:DM40_974
ko:K04562	bcew:DM40_975
ko:K02405	bcew:DM40_976
ko:K01251	bcew:DM40_977
ko:K08972	bcew:DM40_978
ko:K00297	bcew:DM40_979
ko:K01426	bcew:DM40_980
ko:K01061	bcew:DM40_981
ko:K00459	bcew:DM40_982
ko:K01999	bcew:DM40_983
ko:K07226	bcew:DM40_985
ko:K03642	bcew:DM40_991
ko:K07056	bcew:DM40_992
ko:K07460	bcew:DM40_993
ko:K03271	bcew:DM40_994
ko:K08738	bcew:DM40_996
ko:K01706	bcew:DM40_1010
ko:K03535	bcew:DM40_1011
ko:K09965	bcew:DM40_1012
ko:K02004	bcew:DM40_1014
ko:K02003	bcew:DM40_1015
ko:K09122	bcew:DM40_1018
ko:K07275	bcew:DM40_1023
ko:K00145	bcew:DM40_1026
ko:K03809	bcew:DM40_1027
ko:K06910	bcew:DM40_1028
ko:K06911	bcew:DM40_1817
ko:K02348	bcew:DM40_1818
ko:K07152	bcew:DM40_1821
ko:K01087	bcew:DM40_1822
ko:K00697	bcew:DM40_1823
ko:K06147	bcew:DM40_1824
ko:K08983	bcew:DM40_1827
ko:K01706	bcew:DM40_1828
ko:K01999	bcew:DM40_1830
ko:K01114	bcew:DM40_1831
ko:K00868	bcew:DM40_1832
ko:K00720	bcew:DM40_1835
ko:K10016	bcew:DM40_1840
ko:K10015	bcew:DM40_1841
ko:K10017	bcew:DM40_1842
ko:K00673	bcew:DM40_1845
ko:K00673	bcew:DM40_1846
ko:K06447	bcew:DM40_1847
ko:K01484	bcew:DM40_1848
ko:K05526	bcew:DM40_1849
ko:K10013	bcew:DM40_1851
ko:K07789	bcew:DM40_1858
ko:K07788	bcew:DM40_1859
ko:K07799	bcew:DM40_1860
ko:K07093	bcew:DM40_1862
ko:K03320	bcew:DM40_1863
ko:K07118	bcew:DM40_1867
ko:K11749	bcew:DM40_2649
ko:K00099	bcew:DM40_2650
ko:K00981	bcew:DM40_2651
ko:K00806	bcew:DM40_2652
ko:K02838	bcew:DM40_2653
ko:K09903	bcew:DM40_2654
ko:K02357	bcew:DM40_2655
ko:K02967	bcew:DM40_2656
ko:K01265	bcew:DM40_2657
ko:K00990	bcew:DM40_2658
ko:K06182	bcew:DM40_2659
ko:K01462	bcew:DM40_2660
ko:K01972	bcew:DM40_2661
ko:K03529	bcew:DM40_2663
ko:K14267	bcew:DM40_2665
ko:K00674	bcew:DM40_2666
ko:K01439	bcew:DM40_2668
ko:K07320	bcew:DM40_2669
ko:K06131	bcew:DM40_2670
ko:K00432	bcew:DM40_2671
ko:K06158	bcew:DM40_2672
ko:K04485	bcew:DM40_2674
ko:K01775	bcew:DM40_2675
ko:K00941	bcew:DM40_2677
ko:K09977	bcew:DM40_2678
ko:K03789	bcew:DM40_2680
ko:K01637	bcew:DM40_2684
ko:K01560	bcew:DM40_2687
ko:K01638	bcew:DM40_2688
ko:K01885	bcew:DM40_2699
ko:K07001	bcew:DM40_2700
ko:K03556	bcew:DM40_3486
ko:K02336	bcew:DM40_3498
ko:K03885	bcew:DM40_3504
ko:K07506	bcew:DM40_3507
ko:K05782	bcew:DM40_3509
ko:K05591	bcew:DM40_3512
ko:K00116	bcew:DM40_3514
ko:K03787	bcew:DM40_3527
ko:K03671	bcew:DM40_3534
ko:K01485	bcew:DM40_4335
ko:K02106	bcew:DM40_4337
ko:K00428	bcew:DM40_4339
ko:K01114	bcew:DM40_4340
ko:K11734	bcew:DM40_4343
ko:K00832	bcew:DM40_4344
ko:K05366	bcew:DM40_4355
ko:K09705	bcew:DM40_4362
ko:K03406	bcew:DM40_4369
ko:K08995	bcew:DM40_4374
ko:K02624	bcew:DM40_4383
ko:K00790	bcew:DM40_4384
ko:K10979	bcew:DM40_5176
ko:K03781	bcew:DM40_5177
ko:K03092	bcew:DM40_5181
ko:K03288	bcew:DM40_5201
ko:K08995	bcew:DM40_5209
ko:K00612	bcew:DM40_5224
ko:K00759	bcew:DM40_385
ko:K03455	bcew:DM40_386
ko:K06041	bcew:DM40_387
ko:K03270	bcew:DM40_388
ko:K11719	bcew:DM40_389
ko:K09774	bcew:DM40_390
ko:K06861	bcew:DM40_391
ko:K03092	bcew:DM40_392
ko:K05808	bcew:DM40_393
ko:K02806	bcew:DM40_394
ko:K06023	bcew:DM40_395
ko:K06958	bcew:DM40_396
ko:K07157	bcew:DM40_397
ko:K03575	bcew:DM40_398
ko:K10563	bcew:DM40_399
ko:K02494	bcew:DM40_401
ko:K00919	bcew:DM40_402
ko:K00948	bcew:DM40_404
ko:K02897	bcew:DM40_405
ko:K01056	bcew:DM40_406
ko:K00817	bcew:DM40_407
ko:K00954	bcew:DM40_409
ko:K03110	bcew:DM40_411
ko:K01649	bcew:DM40_414
ko:K03089	bcew:DM40_417
ko:K00425	bcew:DM40_419
ko:K00426	bcew:DM40_420
ko:K12373	bcew:DM40_422
ko:K02803	bcew:DM40_423
ko:K02804	bcew:DM40_423
ko:K02768	bcew:DM40_424
ko:K08483	bcew:DM40_424
ko:K11183	bcew:DM40_424
ko:K00820	bcew:DM40_425
ko:K01443	bcew:DM40_426
ko:K03710	bcew:DM40_427
ko:K14162	bcew:DM40_428
ko:K14161	bcew:DM40_429
ko:K14160	bcew:DM40_430
ko:K05833	bcew:DM40_431
ko:K05832	bcew:DM40_432
ko:K01989	bcew:DM40_433
ko:K02073	bcew:DM40_435
ko:K03406	bcew:DM40_436
ko:K02614	bcew:DM40_1243
ko:K15866	bcew:DM40_1244
ko:K00626	bcew:DM40_1245
ko:K01692	bcew:DM40_1247
ko:K01897	bcew:DM40_1254
ko:K06134	bcew:DM40_1256
ko:K03925	bcew:DM40_1257
ko:K03438	bcew:DM40_1258
ko:K03586	bcew:DM40_1259
ko:K03587	bcew:DM40_1260
ko:K01928	bcew:DM40_1261
ko:K01929	bcew:DM40_1262
ko:K01000	bcew:DM40_1263
ko:K01925	bcew:DM40_1264
ko:K03588	bcew:DM40_1265
ko:K02563	bcew:DM40_1266
ko:K01924	bcew:DM40_1267
ko:K01921	bcew:DM40_1268
ko:K03589	bcew:DM40_1269
ko:K03590	bcew:DM40_1270
ko:K03531	bcew:DM40_1271
ko:K02535	bcew:DM40_1273
ko:K03070	bcew:DM40_1275
ko:K00620	bcew:DM40_1276
ko:K06923	bcew:DM40_1277
ko:K03574	bcew:DM40_1278
ko:K09862	bcew:DM40_1279
ko:K18778	bcew:DM40_1280
ko:K00859	bcew:DM40_1281
ko:K02654	bcew:DM40_1282
ko:K02653	bcew:DM40_1283
ko:K02652	bcew:DM40_1284
ko:K02523	bcew:DM40_1287
ko:K02888	bcew:DM40_1288
ko:K02899	bcew:DM40_1289
ko:K03979	bcew:DM40_1290
ko:K00931	bcew:DM40_1291
ko:K08311	bcew:DM40_1293
ko:K01881	bcew:DM40_1294
ko:K03809	bcew:DM40_2080
ko:K07058	bcew:DM40_2081
ko:K01736	bcew:DM40_2085
ko:K02529	bcew:DM40_2086
ko:K00852	bcew:DM40_2087
ko:K01714	bcew:DM40_2089
ko:K00311	bcew:DM40_2090
ko:K07107	bcew:DM40_2092
ko:K01028	bcew:DM40_2094
ko:K01029	bcew:DM40_2095
ko:K00951	bcew:DM40_2102
