ko:K02028	lli:uc509_1749
ko:K02030	lli:uc509_2027
ko:K14220	lli:uc509_tRNA58
ko:K14220	lli:uc509_tRNA7
ko:K14219	lli:uc509_tRNA17
ko:K14223	lli:uc509_tRNA36
ko:K14223	lli:uc509_tRNA52
ko:K16509	lli:uc509_0874
ko:K00383	lli:uc509_0875
ko:K05845	lli:uc509_0878
ko:K05846	lli:uc509_0878
ko:K04517	lli:uc509_1692
ko:K02004	lli:uc509_1696
ko:K03930	lli:uc509_1721
ko:K04488	lli:uc509_1742
ko:K14230	lli:uc509_tRNA27
ko:K14225	lli:uc509_tRNA24
ko:K14225	lli:uc509_tRNA40
ko:K14232	lli:uc509_tRNA15
ko:K14232	lli:uc509_tRNA26
ko:K14219	lli:uc509_tRNA37
ko:K14234	lli:uc509_tRNA41
ko:K14234	lli:uc509_tRNA23
ko:K14228	lli:uc509_tRNA51
ko:K14221	lli:uc509_tRNA20
ko:K14221	lli:uc509_tRNA44
ko:K11991	lli:uc509_0722
ko:K01834	lli:uc509_0353
ko:K01834	lli:uc509_1659
ko:K01304	lli:uc509_p6011
ko:K03777	lli:uc509_p6018
ko:K16137	lli:uc509_p6023
ko:K08177	lli:uc509_p6030
ko:K13653	lli:uc509_p7016
ko:K03322	lli:uc509_p8006
ko:K02787	lli:uc509_p8018
ko:K02788	lli:uc509_p8018
ko:K08602	lli:uc509_p8028
ko:K02034	lli:uc509_p8039
ko:K04095	lli:uc509_p8075
ko:K01154	lli:uc509_p1003
ko:K01154	lli:uc509_p3003
ko:K02068	lli:uc509_p4005
ko:K02069	lli:uc509_p4006
ko:K00077	lli:uc509_p5006
ko:K16924	lli:uc509_0339
ko:K14229	lli:uc509_tRNA21
ko:K14229	lli:uc509_tRNA43
ko:K14229	lli:uc509_tRNA34
ko:K01985	lli:uc509_rRNA1
ko:K14226	lli:uc509_tRNA53
ko:K14230	lli:uc509_tRNA3
ko:K14230	lli:uc509_tRNA35
ko:K14230	lli:uc509_tRNA28
ko:K14225	lli:uc509_tRNA30
ko:K14225	lli:uc509_tRNA5
ko:K14227	lli:uc509_tRNA6
ko:K14227	lli:uc509_tRNA31
ko:K14229	lli:uc509_tRNA8
ko:K14228	lli:uc509_tRNA12
ko:K14228	lli:uc509_tRNA9
ko:K14228	lli:uc509_tRNA22
ko:K14228	lli:uc509_tRNA42
ko:K14228	lli:uc509_tRNA39
ko:K14228	lli:uc509_tRNA50
ko:K14233	lli:uc509_tRNA13
ko:K14233	lli:uc509_tRNA32
ko:K14234	lli:uc509_tRNA47
ko:K14219	lli:uc509_tRNA14
ko:K14219	lli:uc509_tRNA25
ko:K14219	lli:uc509_tRNA33
ko:K14222	lli:uc509_tRNA16
ko:K01980	lli:uc509_rRNA18
ko:K01980	lli:uc509_rRNA3
ko:K01980	lli:uc509_rRNA9
ko:K01980	lli:uc509_rRNA15
ko:K01980	lli:uc509_rRNA12
ko:K01980	lli:uc509_rRNA6
ko:K01985	lli:uc509_rRNA11
ko:K01985	lli:uc509_rRNA8
ko:K01985	lli:uc509_rRNA17
ko:K01985	lli:uc509_rRNA5
ko:K01985	lli:uc509_rRNA14
ko:K01985	lli:uc509_rRNA4
ko:K14237	lli:uc509_tRNA19
ko:K14237	lli:uc509_tRNA45
ko:K14237	lli:uc509_tRNA56
ko:K16898	lli:uc509_0004
ko:K14233	lli:uc509_tRNA2
ko:K14231	lli:uc509_tRNA29
ko:K14231	lli:uc509_tRNA4
ko:K16899	lli:uc509_0003
ko:K14235	lli:uc509_tRNA54
ko:K11070	lli:uc509_1181
ko:K01977	lli:uc509_rRNA10
ko:K01977	lli:uc509_rRNA2
ko:K01977	lli:uc509_rRNA19
ko:K01977	lli:uc509_rRNA7
ko:K01977	lli:uc509_rRNA13
ko:K01977	lli:uc509_rRNA16
ko:K03574	lli:uc509_2203
ko:K02029	lli:uc509_1706
ko:K02030	lli:uc509_1706
ko:K01990	lli:uc509_0200
ko:K17319	lli:uc509_1450
ko:K17318	lli:uc509_0726
ko:K17318	lli:uc509_1448
ko:K01992	lli:uc509_0199
ko:K01992	lli:uc509_1728
ko:K01992	lli:uc509_1960
ko:K01990	lli:uc509_1961
ko:K01990	lli:uc509_1729
ko:K01992	lli:uc509_0944
ko:K02028	lli:uc509_1707
ko:K01760	lli:uc509_0794
ko:K01598	lli:uc509_0578
ko:K02028	lli:uc509_0977
ko:K02032	lli:uc509_p8037
ko:K02338	lli:uc509_0002
ko:K17320	lli:uc509_0725
ko:K17320	lli:uc509_1449
ko:K00265	lli:uc509_1301
ko:K02484	lli:uc509_1398
ko:K02029	lli:uc509_1750
ko:K01990	lli:uc509_0943
ko:K14233	lli:uc509_tRNA10
ko:K14230	lli:uc509_tRNA38
ko:K14236	lli:uc509_tRNA55
ko:K01992	lli:uc509_1018
ko:K14234	lli:uc509_tRNA11
ko:K01990	lli:uc509_0429
ko:K01990	lli:uc509_0529
ko:K01990	lli:uc509_1017
ko:K01990	lli:uc509_1972
ko:K10112	lli:uc509_0453
ko:K17686	lli:uc509_0849
ko:K01739	lli:uc509_1894
ko:K00537	lli:uc509_0801
ko:K01791	lli:uc509_1272
ko:K01101	lli:uc509_1154
ko:K00226	lli:uc509_1504
ko:K17810	lli:uc509_2198
ko:K06518	lli:uc509_0773
ko:K01467	lli:uc509_0016
ko:K02026	lli:uc509_1367
ko:K17828	lli:uc509_1360
ko:K01658	lli:uc509_1430
ko:K07284	lli:uc509_1118
ko:K00661	lli:uc509_1632
ko:K01183	lli:uc509_p6028
ko:K01183	lli:uc509_1911
ko:K12574	lli:uc509_1564
ko:K03366	lli:uc509_0335
ko:K00897	lli:uc509_1219
ko:K01071	lli:uc509_1153
ko:K03366	lli:uc509_0937
ko:K06148	lli:uc509_1470
ko:K15531	lli:uc509_1320
ko:K11041	lli:uc509_0398
ko:K01154	lli:uc509_0478
ko:K05995	lli:uc509_p6010
ko:K03704	lli:uc509_0718
ko:K01575	lli:uc509_p8046
ko:K13653	lli:uc509_p8048
ko:K05995	lli:uc509_p8069
ko:K16509	lli:uc509_1061
ko:K16509	lli:uc509_1190
ko:K16509	lli:uc509_1335
ko:K07126	lli:uc509_1066
ko:K08316	lli:uc509_2140
ko:K02001	lli:uc509_1415
ko:K02002	lli:uc509_1415
ko:K07498	lli:uc509_p8080
ko:K18682	lli:uc509_1874
ko:K02761	lli:uc509_0169
ko:K01223	lli:uc509_0172
ko:K06941	lli:uc509_0176
ko:K00805	lli:uc509_0178
ko:K02548	lli:uc509_0179
ko:K04759	lli:uc509_0182
ko:K04758	lli:uc509_0183
ko:K07305	lli:uc509_0184
ko:K07030	lli:uc509_0185
ko:K02902	lli:uc509_0187
ko:K00973	lli:uc509_0189
ko:K01790	lli:uc509_0191
ko:K00067	lli:uc509_0195
ko:K12996	lli:uc509_0197
ko:K12997	lli:uc509_0198
ko:K09153	lli:uc509_0208
ko:K07271	lli:uc509_0212
ko:K00088	lli:uc509_0222
ko:K06948	lli:uc509_0223
ko:K03665	lli:uc509_0225
ko:K07574	lli:uc509_0226
ko:K00969	lli:uc509_0227
ko:K02986	lli:uc509_0292
ko:K06959	lli:uc509_0293
ko:K03095	lli:uc509_0294
ko:K01488	lli:uc509_0295
ko:K12574	lli:uc509_0298
ko:K03789	lli:uc509_0302
ko:K03789	lli:uc509_0303
ko:K01409	lli:uc509_0304
ko:K02044	lli:uc509_0308
ko:K02041	lli:uc509_0309
ko:K02042	lli:uc509_0310
ko:K02042	lli:uc509_0311
ko:K01119	lli:uc509_0312
ko:K11065	lli:uc509_0314
ko:K01256	lli:uc509_0315
ko:K00790	lli:uc509_0322
ko:K03523	lli:uc509_0327
ko:K03976	lli:uc509_0329
ko:K02073	lli:uc509_0332
ko:K02073	lli:uc509_0333
ko:K02073	lli:uc509_0334
ko:K02073	lli:uc509_0336
ko:K02071	lli:uc509_0337
ko:K02072	lli:uc509_0338
ko:K07729	lli:uc509_0342
ko:K02013	lli:uc509_0343
ko:K09710	lli:uc509_0230
ko:K01689	lli:uc509_0278
ko:K00674	lli:uc509_0287
ko:K05823	lli:uc509_0288
ko:K06942	lli:uc509_0007
ko:K01056	lli:uc509_0010
ko:K03723	lli:uc509_0011
ko:K04075	lli:uc509_0017
ko:K00760	lli:uc509_0018
ko:K03798	lli:uc509_0019
ko:K02799	lli:uc509_0020
ko:K02800	lli:uc509_0020
ko:K02798	lli:uc509_0024
ko:K00009	lli:uc509_0025
ko:K03321	lli:uc509_0027
ko:K00841	lli:uc509_0029
ko:K03584	lli:uc509_0030
ko:K00382	lli:uc509_0031
ko:K00627	lli:uc509_0032
ko:K00162	lli:uc509_0033
ko:K00161	lli:uc509_0034
ko:K03800	lli:uc509_0035
ko:K01126	lli:uc509_0036
ko:K06950	lli:uc509_0037
ko:K01867	lli:uc509_0040
ko:K04063	lli:uc509_0042
ko:K03621	lli:uc509_0045
ko:K01740	lli:uc509_0052
ko:K03648	lli:uc509_0236
ko:K02970	lli:uc509_0242
ko:K00927	lli:uc509_0247
ko:K05878	lli:uc509_0250
ko:K05879	lli:uc509_0251
ko:K02440	lli:uc509_0253
ko:K08659	lli:uc509_0254
ko:K06969	lli:uc509_0257
ko:K07007	lli:uc509_0259
ko:K06147	lli:uc509_0263
ko:K07173	lli:uc509_0267
ko:K02913	lli:uc509_0070
ko:K02911	lli:uc509_0071
ko:K07478	lli:uc509_0075
ko:K02015	lli:uc509_0344
ko:K02015	lli:uc509_0345
ko:K02016	lli:uc509_0346
ko:K08234	lli:uc509_0352
ko:K03386	lli:uc509_0354
ko:K03387	lli:uc509_0355
ko:K00687	lli:uc509_0357
ko:K06187	lli:uc509_0358
ko:K01921	lli:uc509_0359
ko:K01929	lli:uc509_0360
ko:K15580	lli:uc509_0361
ko:K15580	lli:uc509_0362
ko:K15581	lli:uc509_0363
ko:K15582	lli:uc509_0364
ko:K15583	lli:uc509_0365
ko:K10823	lli:uc509_0366
ko:K02837	lli:uc509_0367
ko:K05592	lli:uc509_0369
ko:K01953	lli:uc509_0372
ko:K10563	lli:uc509_0373
ko:K07816	lli:uc509_0382
ko:K00858	lli:uc509_0383
ko:K06180	lli:uc509_0384
ko:K03767	lli:uc509_0385
ko:K11733	lli:uc509_0386
ko:K03734	lli:uc509_0388
ko:K02687	lli:uc509_0083
ko:K09761	lli:uc509_0084
ko:K00951	lli:uc509_0086
ko:K07560	lli:uc509_0089
ko:K03294	lli:uc509_0092
ko:K00655	lli:uc509_0093
ko:K01118	lli:uc509_0095
ko:K03070	lli:uc509_0096
ko:K01626	lli:uc509_0097
ko:K11189	lli:uc509_0098
ko:K08483	lli:uc509_0099
ko:K09747	lli:uc509_0101
ko:K06889	lli:uc509_0103
ko:K01940	lli:uc509_0113
ko:K01755	lli:uc509_0114
ko:K08161	lli:uc509_0115
ko:K03536	lli:uc509_0117
ko:K03217	lli:uc509_0118
ko:K06346	lli:uc509_0119
ko:K02914	lli:uc509_0120
ko:K07052	lli:uc509_0123
ko:K07447	lli:uc509_0125
ko:K14189	lli:uc509_0130
ko:K00700	lli:uc509_0132
ko:K16137	lli:uc509_0137
ko:K00773	lli:uc509_0145
ko:K06929	lli:uc509_0148
ko:K15051	lli:uc509_0149
ko:K14260	lli:uc509_0153
ko:K03706	lli:uc509_0154
ko:K02435	lli:uc509_0156
ko:K02433	lli:uc509_0157
ko:K02434	lli:uc509_0158
ko:K01426	lli:uc509_0159
ko:K03704	lli:uc509_0161
ko:K01934	lli:uc509_0162
ko:K01759	lli:uc509_0165
ko:K09963	lli:uc509_0168
ko:K18672	lli:uc509_0457
ko:K18692	lli:uc509_0443
ko:K03790	lli:uc509_0803
ko:K18892	lli:uc509_0321
ko:K18891	lli:uc509_0320
ko:K03790	lli:uc509_0739
ko:K08151	lli:uc509_0316
ko:K03497	lli:uc509_0074
ko:K03111	lli:uc509_0415
ko:K18928	lli:uc509_1680
ko:K03496	lli:uc509_p7003
ko:K03497	lli:uc509_p7004
ko:K03502	lli:uc509_p7005
ko:K03496	lli:uc509_p7023
ko:K03502	lli:uc509_p7025
ko:K00662	lli:uc509_p8010
ko:K03496	lli:uc509_p8032
ko:K03111	lli:uc509_2169
ko:K07029	lli:uc509_0452
ko:K19055	lli:uc509_2003
ko:K19002	lli:uc509_2118
ko:K07483	lli:uc509_0673
ko:K07483	lli:uc509_0811
ko:K07483	lli:uc509_0815
ko:K07483	lli:uc509_0841
ko:K07483	lli:uc509_1710
ko:K07483	lli:uc509_1738
ko:K07498	lli:uc509_p6029
ko:K07483	lli:uc509_0958
ko:K07483	lli:uc509_1004
ko:K07483	lli:uc509_1045
ko:K07483	lli:uc509_1853
ko:K07483	lli:uc509_1112
ko:K07483	lli:uc509_1965
ko:K07483	lli:uc509_1195
ko:K07483	lli:uc509_1275
ko:K07483	lli:uc509_1383
ko:K07483	lli:uc509_0570
ko:K07483	lli:uc509_0648
ko:K07483	lli:uc509_0550
ko:K07483	lli:uc509_0552
ko:K07483	lli:uc509_0486
ko:K07497	lli:uc509_1276
ko:K13052	lli:uc509_0014
ko:K07498	lli:uc509_p8005
ko:K07498	lli:uc509_p6016
ko:K07483	lli:uc509_0107
ko:K07483	lli:uc509_0135
ko:K07483	lli:uc509_0245
ko:K07483	lli:uc509_0584
ko:K07483	lli:uc509_0925
ko:K07483	lli:uc509_1640
ko:K07483	lli:uc509_1655
ko:K07483	lli:uc509_1988
ko:K07483	lli:uc509_p7018
ko:K02031	lli:uc509_p8036
ko:K07816	lli:uc509_0906
ko:K07497	lli:uc509_0108
ko:K07497	lli:uc509_0136
ko:K07497	lli:uc509_1046
ko:K07497	lli:uc509_1194
ko:K07497	lli:uc509_1393
ko:K03741	lli:uc509_p4003
ko:K19005	lli:uc509_0824
ko:K07498	lli:uc509_p6027
ko:K07498	lli:uc509_p7008
ko:K07498	lli:uc509_p8008
ko:K07498	lli:uc509_p8030
ko:K07498	lli:uc509_p8063
ko:K07498	lli:uc509_p5004
ko:K07498	lli:uc509_p6007
ko:K07497	lli:uc509_0551
ko:K07497	lli:uc509_0647
ko:K07497	lli:uc509_0812
ko:K07497	lli:uc509_0814
ko:K07497	lli:uc509_0842
ko:K07497	lli:uc509_1003
ko:K07497	lli:uc509_1113
ko:K07497	lli:uc509_0244
ko:K07448	lli:uc509_p7026
ko:K00001	lli:uc509_1501
ko:K01710	lli:uc509_0193
ko:K05881	lli:uc509_0252
ko:K02755	lli:uc509_0461
ko:K03722	lli:uc509_1790
ko:K07497	lli:uc509_0585
ko:K01992	lli:uc509_0256
ko:K07497	lli:uc509_p7019
ko:K07497	lli:uc509_1639
ko:K07497	lli:uc509_1654
ko:K07497	lli:uc509_0869
ko:K07497	lli:uc509_1709
ko:K07497	lli:uc509_1737
ko:K07497	lli:uc509_0926
ko:K07497	lli:uc509_0957
ko:K07497	lli:uc509_1852
ko:K07497	lli:uc509_1964
ko:K07497	lli:uc509_1987
ko:K07497	lli:uc509_1257
ko:K07497	lli:uc509_1382
ko:K19267	lli:uc509_2149
ko:K01215	lli:uc509_1633
ko:K19350	lli:uc509_0939
ko:K06881	lli:uc509_0741
ko:K03483	lli:uc509_0021
ko:K00526	lli:uc509_1027
ko:K02796	lli:uc509_1649
ko:K00887	lli:uc509_1087
ko:K02529	lli:uc509_0729
ko:K19302	lli:uc509_1057
ko:K00863	lli:uc509_0248
ko:K21636	lli:uc509_0274
ko:K19965	lli:uc509_1172
ko:K19972	lli:uc509_1327
ko:K19971	lli:uc509_1326
ko:K22457	lli:uc509_1788
ko:K05770	lli:uc509_1209
ko:K20074	lli:uc509_1849
ko:K12132	lli:uc509_1848
ko:K00661	lli:uc509_1302
ko:K12132	lli:uc509_p7043
ko:K20265	lli:uc509_1306
ko:K00525	lli:uc509_1028
ko:K20344	lli:uc509_p7029
ko:K20345	lli:uc509_p7030
ko:K18889	lli:uc509_1284
ko:K18890	lli:uc509_1283
ko:K12999	lli:uc509_1851
ko:K22103	lli:uc509_1315
ko:K20866	lli:uc509_0091
ko:K01208	lli:uc509_1635
ko:K21064	lli:uc509_1679
ko:K08968	lli:uc509_2175
ko:K00821	lli:uc509_0818
ko:K01520	lli:uc509_0173
ko:K04068	lli:uc509_0275
ko:K00558	lli:uc509_0066
ko:K00558	lli:uc509_0068
ko:K03553	lli:uc509_0374
ko:K02316	lli:uc509_0554
ko:K00857	lli:uc509_0594
ko:K00560	lli:uc509_1494
ko:K02314	lli:uc509_0753
ko:K07313	lli:uc509_p8054
ko:K06191	lli:uc509_1030
ko:K01520	lli:uc509_1854
ko:K06217	lli:uc509_1084
ko:K01493	lli:uc509_1152
ko:K00287	lli:uc509_1165
ko:K03546	lli:uc509_1332
ko:K07313	lli:uc509_p2004
ko:K02335	lli:uc509_2122
ko:K19577	lli:uc509_0349
ko:K00980	lli:uc509_0217
ko:K02031	lli:uc509_1796
ko:K02032	lli:uc509_1795
ko:K03293	lli:uc509_0828
ko:K03293	lli:uc509_1780
ko:K21478	lli:uc509_0677
ko:K03293	lli:uc509_0376
ko:K21471	lli:uc509_0277
ko:K21471	lli:uc509_2200
ko:K21471	lli:uc509_0537
ko:K00950	lli:uc509_1170
ko:K01495	lli:uc509_1170
ko:K18704	lli:uc509_0962
ko:K21562	lli:uc509_1011
ko:K21567	lli:uc509_1598
ko:K21977	lli:uc509_0579
ko:K21993	lli:uc509_1019
ko:K22044	lli:uc509_1304
ko:K03595	lli:uc509_0371
ko:K01537	lli:uc509_1390
ko:K22212	lli:uc509_0940
ko:K17758	lli:uc509_0260
