ko:K11893	ses:SARI_02631
ko:K03669	ses:SARI_01847
ko:K03670	ses:SARI_01848
ko:K03314	ses:SARI_01133
ko:K03603	ses:SARI_01134
ko:K00285	ses:SARI_01136
ko:K01775	ses:SARI_01137
ko:K08308	ses:SARI_01140
ko:K01194	ses:SARI_01143
ko:K00261	ses:SARI_01144
ko:K00426	ses:SARI_01145
ko:K03618	ses:SARI_01147
ko:K03619	ses:SARI_01148
ko:K03605	ses:SARI_01149
ko:K03620	ses:SARI_01150
ko:K06281	ses:SARI_01151
ko:K06282	ses:SARI_01152
ko:K06871	ses:SARI_01165
ko:K06942	ses:SARI_01168
ko:K00948	ses:SARI_01172
ko:K00919	ses:SARI_01174
ko:K02494	ses:SARI_01175
ko:K02492	ses:SARI_01176
ko:K01627	ses:SARI_01181
ko:K07300	ses:SARI_01182
ko:K06197	ses:SARI_01183
ko:K06039	ses:SARI_01184
ko:K07673	ses:SARI_01187
ko:K02575	ses:SARI_01188
ko:K07347	ses:SARI_02408
ko:K07345	ses:SARI_02411
ko:K01589	ses:SARI_02420
ko:K06917	ses:SARI_02421
ko:K02072	ses:SARI_02422
ko:K01626	ses:SARI_02176
ko:K03811	ses:SARI_02179
ko:K03517	ses:SARI_02180
ko:K00426	ses:SARI_02562
ko:K00425	ses:SARI_02563
ko:K07316	ses:SARI_02565
ko:K08178	ses:SARI_02566
ko:K00311	ses:SARI_02571
ko:K09709	ses:SARI_02574
ko:K03522	ses:SARI_02575
ko:K03521	ses:SARI_02576
ko:K03273	ses:SARI_02753
ko:K00325	ses:SARI_01498
ko:K00324	ses:SARI_01499
ko:K03758	ses:SARI_01501
ko:K07661	ses:SARI_01503
ko:K03305	ses:SARI_01530
ko:K01866	ses:SARI_01533
ko:K03778	ses:SARI_01337
ko:K09978	ses:SARI_01340
ko:K00981	ses:SARI_01342
ko:K01118	ses:SARI_01344
ko:K03578	ses:SARI_01345
ko:K09911	ses:SARI_01941
ko:K04770	ses:SARI_01942
ko:K01716	ses:SARI_01943
ko:K09857	ses:SARI_01944
ko:K07140	ses:SARI_01949
ko:K01256	ses:SARI_01952
ko:K00763	ses:SARI_01957
ko:K06219	ses:SARI_01971
ko:K00979	ses:SARI_01974
ko:K09791	ses:SARI_01975
ko:K00912	ses:SARI_01977
ko:K02238	ses:SARI_01979
ko:K00945	ses:SARI_01983
ko:K09767	ses:SARI_02499
ko:K00077	ses:SARI_02500
ko:K03152	ses:SARI_02501
ko:K03151	ses:SARI_02502
ko:K00795	ses:SARI_02504
ko:K01662	ses:SARI_02505
ko:K01095	ses:SARI_02506
ko:K00946	ses:SARI_02507
ko:K03625	ses:SARI_02508
ko:K03304	ses:SARI_01369
ko:K08641	ses:SARI_01378
ko:K09936	ses:SARI_01386
ko:K03823	ses:SARI_01387
ko:K07119	ses:SARI_01388
ko:K02014	ses:SARI_01391
ko:K00873	ses:SARI_01602
ko:K06078	ses:SARI_01603
ko:K02426	ses:SARI_01605
ko:K09015	ses:SARI_01607
ko:K09013	ses:SARI_01608
ko:K09014	ses:SARI_01609
ko:K05997	ses:SARI_01610
ko:K00151	ses:SARI_01900
ko:K07127	ses:SARI_01906
ko:K08223	ses:SARI_02440
ko:K03455	ses:SARI_02442
ko:K00892	ses:SARI_02443
ko:K01772	ses:SARI_02445
ko:K00939	ses:SARI_02446
ko:K04079	ses:SARI_02447
ko:K00759	ses:SARI_02450
ko:K09790	ses:SARI_02451
ko:K03577	ses:SARI_02457
ko:K03560	ses:SARI_02190
ko:K03562	ses:SARI_02191
ko:K07107	ses:SARI_02192
ko:K00426	ses:SARI_02195
ko:K00425	ses:SARI_02196
ko:K01676	ses:SARI_02205
ko:K00164	ses:SARI_02212
ko:K00240	ses:SARI_02213
ko:K00242	ses:SARI_02215
ko:K00241	ses:SARI_02216
ko:K01647	ses:SARI_02217
ko:K07120	ses:SARI_02218
ko:K07160	ses:SARI_02222
ko:K03305	ses:SARI_02226
ko:K01669	ses:SARI_02227
ko:K06970	ses:SARI_02101
ko:K01993	ses:SARI_02109
ko:K02314	ses:SARI_02664
ko:K06048	ses:SARI_02353
ko:K10679	ses:SARI_02359
ko:K02795	ses:SARI_02362
ko:K02796	ses:SARI_02363
ko:K00943	ses:SARI_01792
ko:K07082	ses:SARI_01793
ko:K07345	ses:SARI_01795
ko:K07347	ses:SARI_01797
ko:K00645	ses:SARI_01804
ko:K04064	ses:SARI_01667
ko:K05526	ses:SARI_01672
ko:K01484	ses:SARI_01673
ko:K06447	ses:SARI_01674
ko:K00673	ses:SARI_01675
ko:K00840	ses:SARI_01676
ko:K08320	ses:SARI_01678
ko:K01008	ses:SARI_01682
ko:K04773	ses:SARI_01684
ko:K09916	ses:SARI_01687
ko:K00134	ses:SARI_01689
ko:K07180	ses:SARI_01695
ko:K09786	ses:SARI_01696
ko:K09712	ses:SARI_01704
ko:K02032	ses:SARI_01723
ko:K02031	ses:SARI_01724
ko:K09773	ses:SARI_01621
ko:K01626	ses:SARI_01622
ko:K07783	ses:SARI_00691
ko:K01752	ses:SARI_00695
ko:K01495	ses:SARI_00699
ko:K07148	ses:SARI_00700
ko:K10540	ses:SARI_00702
ko:K10542	ses:SARI_00703
ko:K10541	ses:SARI_00704
ko:K05836	ses:SARI_02137
ko:K01468	ses:SARI_02139
ko:K06074	ses:SARI_01627
ko:K00432	ses:SARI_01628
ko:K06073	ses:SARI_01629
ko:K01868	ses:SARI_01637
ko:K07283	ses:SARI_01649
ko:K03559	ses:SARI_04466
ko:K06281	ses:SARI_04478
ko:K04653	ses:SARI_04482
ko:K01812	ses:SARI_04489
ko:K01686	ses:SARI_04491
ko:K08191	ses:SARI_04495
ko:K09471	ses:SARI_04503
ko:K06995	ses:SARI_04504
ko:K00548	ses:SARI_03468
ko:K01637	ses:SARI_03472
ko:K01638	ses:SARI_03473
ko:K00651	ses:SARI_03474
ko:K03774	ses:SARI_02946
ko:K03101	ses:SARI_02947
ko:K01870	ses:SARI_02948
ko:K02968	ses:SARI_02950
ko:K03717	ses:SARI_02951
ko:K03313	ses:SARI_02952
ko:K06871	ses:SARI_02955
ko:K03831	ses:SARI_02983
ko:K00616	ses:SARI_02985
ko:K03310	ses:SARI_02986
ko:K09861	ses:SARI_02987
ko:K01733	ses:SARI_02988
ko:K00872	ses:SARI_02989
ko:K02533	ses:SARI_02991
ko:K07773	ses:SARI_02992
ko:K05805	ses:SARI_02996
ko:K03720	ses:SARI_03000
ko:K08309	ses:SARI_03001
ko:K00845	ses:SARI_00481
ko:K08296	ses:SARI_00512
ko:K07320	ses:SARI_00514
ko:K01736	ses:SARI_00516
ko:K07261	ses:SARI_00517
ko:K09906	ses:SARI_00519
ko:K03473	ses:SARI_00529
ko:K03749	ses:SARI_00535
ko:K03558	ses:SARI_00536
ko:K00764	ses:SARI_00537
ko:K03621	ses:SARI_01806
ko:K02911	ses:SARI_01807
ko:K07040	ses:SARI_01808
ko:K06179	ses:SARI_01811
ko:K02397	ses:SARI_01813
ko:K02395	ses:SARI_01815
ko:K02394	ses:SARI_01816
ko:K03807	ses:SARI_02848
ko:K00767	ses:SARI_02850
ko:K00364	ses:SARI_02854
ko:K00859	ses:SARI_02855
ko:K09862	ses:SARI_02857
ko:K02535	ses:SARI_02867
ko:K03531	ses:SARI_02868
ko:K03590	ses:SARI_02869
ko:K03589	ses:SARI_02870
ko:K01921	ses:SARI_02871
ko:K01924	ses:SARI_02872
ko:K01925	ses:SARI_02875
ko:K01000	ses:SARI_02876
ko:K01929	ses:SARI_02877
ko:K01928	ses:SARI_02878
ko:K00852	ses:SARI_03856
ko:K02429	ses:SARI_03857
ko:K07783	ses:SARI_03861
ko:K07784	ses:SARI_03862
ko:K07507	ses:SARI_03869
ko:K01531	ses:SARI_03870
ko:K02532	ses:SARI_02831
ko:K02782	ses:SARI_00139
ko:K02783	ses:SARI_00139
ko:K02759	ses:SARI_01664
ko:K08161	ses:SARI_02544
ko:K08167	ses:SARI_01394
ko:K11750	ses:SARI_02694
ko:K00048	ses:SARI_04689
ko:K01752	ses:SARI_04692
ko:K03837	ses:SARI_04693
ko:K06966	ses:SARI_04694
ko:K09896	ses:SARI_03665
ko:K03752	ses:SARI_03666
ko:K03753	ses:SARI_03667
ko:K03498	ses:SARI_03673
ko:K01945	ses:SARI_03482
ko:K09891	ses:SARI_03488
ko:K01599	ses:SARI_03490
ko:K07740	ses:SARI_03493
ko:K03147	ses:SARI_03494
ko:K00788	ses:SARI_03495
ko:K03154	ses:SARI_03497
ko:K03149	ses:SARI_03498
ko:K03150	ses:SARI_03499
ko:K02864	ses:SARI_03512
ko:K02863	ses:SARI_03514
ko:K02867	ses:SARI_03515
ko:K00867	ses:SARI_03523
ko:K00075	ses:SARI_03525
ko:K01776	ses:SARI_03532
ko:K06871	ses:SARI_04508
ko:K03704	ses:SARI_03990
ko:K03826	ses:SARI_03996
ko:K00874	ses:SARI_04022
ko:K07290	ses:SARI_04024
ko:K07058	ses:SARI_04028
ko:K01194	ses:SARI_04033
ko:K03710	ses:SARI_04034
ko:K00383	ses:SARI_04039
ko:K07115	ses:SARI_04040
ko:K01414	ses:SARI_04042
ko:K03885	ses:SARI_04044
ko:K03628	ses:SARI_03736
ko:K03671	ses:SARI_03737
ko:K03732	ses:SARI_03738
ko:K00757	ses:SARI_03742
ko:K00053	ses:SARI_03745
ko:K02521	ses:SARI_03746
ko:K01754	ses:SARI_03747
ko:K07391	ses:SARI_03752
ko:K09897	ses:SARI_03753
ko:K02988	ses:SARI_04206
ko:K02907	ses:SARI_04207
ko:K02876	ses:SARI_04209
ko:K02986	ses:SARI_04212
ko:K02879	ses:SARI_04214
ko:K03282	ses:SARI_04217
ko:K03499	ses:SARI_04218
ko:K01462	ses:SARI_04221
ko:K04096	ses:SARI_04222
ko:K03747	ses:SARI_04223
ko:K07479	ses:SARI_04224
ko:K07566	ses:SARI_04225
ko:K00014	ses:SARI_04226
ko:K02687	ses:SARI_04249
ko:K09889	ses:SARI_03210
ko:K02558	ses:SARI_03211
ko:K09800	ses:SARI_03220
ko:K07701	ses:SARI_03343
ko:K03760	ses:SARI_03364
ko:K03182	ses:SARI_03679
ko:K05785	ses:SARI_03680
ko:K03424	ses:SARI_03681
ko:K03118	ses:SARI_03682
ko:K03117	ses:SARI_03683
ko:K03116	ses:SARI_03684
ko:K03688	ses:SARI_03685
ko:K03690	ses:SARI_03686
ko:K09760	ses:SARI_03688
ko:K06871	ses:SARI_03691
ko:K03576	ses:SARI_03693
ko:K05786	ses:SARI_03702
ko:K03284	ses:SARI_03705
ko:K03828	ses:SARI_03176
ko:K06169	ses:SARI_03178
ko:K09893	ses:SARI_03179
ko:K00611	ses:SARI_03180
ko:K01478	ses:SARI_03184
ko:K00926	ses:SARI_03185
ko:K00611	ses:SARI_03186
ko:K00610	ses:SARI_03192
ko:K09022	ses:SARI_03193
ko:K01531	ses:SARI_03194
ko:K03485	ses:SARI_03195
ko:K02818	ses:SARI_03198
ko:K02819	ses:SARI_03198
ko:K04068	ses:SARI_03202
ko:K02358	ses:SARI_04181
ko:K03594	ses:SARI_04184
ko:K02946	ses:SARI_04186
ko:K02906	ses:SARI_04187
ko:K02886	ses:SARI_04191
ko:K02965	ses:SARI_04192
ko:K02878	ses:SARI_04196
ko:K02874	ses:SARI_04199
ko:K02895	ses:SARI_04200
ko:K02954	ses:SARI_04202
ko:K02994	ses:SARI_04203
ko:K02933	ses:SARI_04204
ko:K02881	ses:SARI_04205
ko:K03228	ses:SARI_01561
ko:K03086	ses:SARI_04418
ko:K02970	ses:SARI_04420
ko:K01409	ses:SARI_04421
ko:K08591	ses:SARI_04422
ko:K01633	ses:SARI_04423
ko:K06153	ses:SARI_04424
ko:K07184	ses:SARI_04426
ko:K00982	ses:SARI_04428
ko:K02858	ses:SARI_04433
ko:K03611	ses:SARI_04434
ko:K03673	ses:SARI_04435
ko:K07238	ses:SARI_04438
ko:K06901	ses:SARI_03407
ko:K03788	ses:SARI_03429
ko:K02064	ses:SARI_02897
ko:K02063	ses:SARI_02898
ko:K01804	ses:SARI_02903
ko:K03580	ses:SARI_02908
ko:K05801	ses:SARI_02910
ko:K04744	ses:SARI_02911
ko:K03771	ses:SARI_02912
ko:K00097	ses:SARI_02913
ko:K02528	ses:SARI_02914
ko:K00287	ses:SARI_02917
ko:K00313	ses:SARI_02923
ko:K03522	ses:SARI_02924
ko:K03521	ses:SARI_02925
ko:K02182	ses:SARI_02929
ko:K02848	ses:SARI_03920
ko:K06158	ses:SARI_04166
ko:K07070	ses:SARI_04169
ko:K03775	ses:SARI_04170
ko:K03745	ses:SARI_04172
ko:K07236	ses:SARI_04176
ko:K07237	ses:SARI_04177
ko:K02992	ses:SARI_04179
ko:K02355	ses:SARI_04180
ko:K00851	ses:SARI_03158
ko:K00098	ses:SARI_03159
ko:K06915	ses:SARI_03162
ko:K07091	ses:SARI_03165
ko:K09921	ses:SARI_03709
ko:K01778	ses:SARI_03710
ko:K06202	ses:SARI_03712
ko:K01749	ses:SARI_03714
ko:K01719	ses:SARI_03715
ko:K02496	ses:SARI_03716
ko:K03293	ses:SARI_03723
ko:K02853	ses:SARI_03725
ko:K00973	ses:SARI_03730
ko:K05790	ses:SARI_03734
ko:K01811	ses:SARI_03890
ko:K03312	ses:SARI_03894
ko:K00556	ses:SARI_03896
ko:K00942	ses:SARI_03899
ko:K00989	ses:SARI_03907
ko:K05501	ses:SARI_03909
ko:K01520	ses:SARI_03910
ko:K03630	ses:SARI_03912
ko:K02913	ses:SARI_03913
ko:K00954	ses:SARI_03915
ko:K02527	ses:SARI_03916
ko:K02849	ses:SARI_03918
ko:K02844	ses:SARI_03919
ko:K03586	ses:SARI_02881
ko:K03438	ses:SARI_02882
ko:K03435	ses:SARI_02884
ko:K01653	ses:SARI_02886
ko:K05798	ses:SARI_02888
ko:K01649	ses:SARI_02889
ko:K03291	ses:SARI_02893
ko:K11203	ses:SARI_00483
ko:K11202	ses:SARI_00482
ko:K09475	ses:SARI_00622
ko:K08276	ses:SARI_00628
ko:K02572	ses:SARI_00629
ko:K02573	ses:SARI_00632
ko:K02568	ses:SARI_00634
ko:K02569	ses:SARI_00635
ko:K02193	ses:SARI_00636
ko:K02194	ses:SARI_00637
ko:K02195	ses:SARI_00638
ko:K02196	ses:SARI_00639
ko:K02197	ses:SARI_00640
ko:K02198	ses:SARI_00641
ko:K02200	ses:SARI_00643
ko:K07685	ses:SARI_00645
ko:K07014	ses:SARI_00659
ko:K09904	ses:SARI_00660
ko:K06899	ses:SARI_00661
ko:K02897	ses:SARI_00663
ko:K07552	ses:SARI_00666
ko:K09781	ses:SARI_00948
ko:K03148	ses:SARI_03496
ko:K02508	ses:SARI_01892
ko:K09181	ses:SARI_00274
ko:K03672	ses:SARI_00276
ko:K03214	ses:SARI_00277
ko:K05590	ses:SARI_00280
ko:K03088	ses:SARI_00283
ko:K03597	ses:SARI_00284
ko:K03598	ses:SARI_00285
ko:K03100	ses:SARI_00296
ko:K03595	ses:SARI_00298
ko:K03474	ses:SARI_00300
ko:K00997	ses:SARI_00301
ko:K07106	ses:SARI_00304
ko:K01952	ses:SARI_00310
ko:K07711	ses:SARI_00312
ko:K07715	ses:SARI_00314
ko:K03305	ses:SARI_00316
ko:K03469	ses:SARI_02739
ko:K08307	ses:SARI_02742
ko:K02071	ses:SARI_02754
ko:K02072	ses:SARI_02755
ko:K02073	ses:SARI_02756
ko:K06080	ses:SARI_02757
ko:K01706	ses:SARI_00002
ko:K00865	ses:SARI_00003
ko:K07678	ses:SARI_00004
ko:K03215	ses:SARI_00005
ko:K01737	ses:SARI_00013
ko:K00380	ses:SARI_00014
ko:K00381	ses:SARI_00015
ko:K00390	ses:SARI_00016
ko:K05589	ses:SARI_00025
ko:K00991	ses:SARI_00026
ko:K01770	ses:SARI_00027
ko:K06176	ses:SARI_00028
ko:K00573	ses:SARI_00030
ko:K06194	ses:SARI_00032
ko:K02078	ses:SARI_00092
ko:K03221	ses:SARI_00100
ko:K04655	ses:SARI_00114
ko:K04654	ses:SARI_00115
ko:K04653	ses:SARI_00116
ko:K08315	ses:SARI_00127
ko:K05796	ses:SARI_00128
ko:K04656	ses:SARI_00129
ko:K02467	ses:SARI_00133
ko:K02466	ses:SARI_00136
ko:K03322	ses:SARI_00476
ko:K06958	ses:SARI_04302
ko:K03316	ses:SARI_03406
ko:K00832	ses:SARI_03430
ko:K11604	ses:SARI_00111
ko:K01840	ses:SARI_00794
ko:K02073	ses:SARI_02424
ko:K02003	ses:SARI_02426
ko:K05838	ses:SARI_02429
ko:K07340	ses:SARI_02433
ko:K04338	ses:SARI_01857
ko:K01788	ses:SARI_01871
ko:K03307	ses:SARI_01872
ko:K06217	ses:SARI_01874
ko:K03809	ses:SARI_01881
ko:K03767	ses:SARI_04143
ko:K01874	ses:SARI_00743
ko:K07090	ses:SARI_00518
ko:K01895	ses:SARI_03400
ko:K06203	ses:SARI_00459
ko:K00247	ses:SARI_03293
ko:K06149	ses:SARI_04047
ko:K01834	ses:SARI_02174
ko:K06212	ses:SARI_01989
ko:K07792	ses:SARI_03346
ko:K02899	ses:SARI_04321
ko:K02439	ses:SARI_04096
ko:K01625	ses:SARI_01062
ko:K01581	ses:SARI_02240
ko:K03566	ses:SARI_04680
ko:K07637	ses:SARI_01760
ko:K07660	ses:SARI_01759
ko:K05802	ses:SARI_02455
ko:K03718	ses:SARI_03774
ko:K03561	ses:SARI_04465
ko:K00868	ses:SARI_01532
ko:K02017	ses:SARI_02159
ko:K02529	ses:SARI_03974
ko:K02529	ses:SARI_01416
ko:K02529	ses:SARI_04646
ko:K02529	ses:SARI_00701
ko:K02529	ses:SARI_03763
ko:K03466	ses:SARI_02004
ko:K07645	ses:SARI_04451
ko:K07772	ses:SARI_03819
ko:K07657	ses:SARI_02529
ko:K00868	ses:SARI_00451
ko:K07647	ses:SARI_03817
ko:K01911	ses:SARI_00594
ko:K07687	ses:SARI_00619
ko:K07235	ses:SARI_04175
ko:K11391	ses:SARI_04407
ko:K02619	ses:SARI_01794
ko:K00564	ses:SARI_03023
ko:K01525	ses:SARI_02916
ko:K07659	ses:SARI_04113
ko:K00113	ses:SARI_00606
ko:K12265	ses:SARI_00130
ko:K07702	ses:SARI_02307
ko:K12147	ses:SARI_01845
ko:K12148	ses:SARI_01836
ko:K12149	ses:SARI_01835
ko:K07804	ses:SARI_01737
ko:K07805	ses:SARI_01739
ko:K01079	ses:SARI_03005
ko:K02024	ses:SARI_03447
ko:K12289	ses:SARI_04124
ko:K03279	ses:SARI_03924
ko:K09810	ses:SARI_01773
ko:K12266	ses:SARI_00132
ko:K00703	ses:SARI_04093
ko:K12264	ses:SARI_00131
ko:K12340	ses:SARI_04443
ko:K11991	ses:SARI_00307
ko:K03644	ses:SARI_02300
ko:K06199	ses:SARI_02303
ko:K03704	ses:SARI_02304
ko:K03326	ses:SARI_02306
ko:K04080	ses:SARI_01731
ko:K06181	ses:SARI_01753
ko:K00566	ses:SARI_01756
ko:K07153	ses:SARI_01757
ko:K01258	ses:SARI_01762
ko:K11071	ses:SARI_01764
ko:K11070	ses:SARI_01768
ko:K11069	ses:SARI_01769
ko:K09808	ses:SARI_01772
ko:K09808	ses:SARI_01774
ko:K00878	ses:SARI_00752
ko:K08303	ses:SARI_00760
ko:K03885	ses:SARI_01780
ko:K07000	ses:SARI_01781
ko:K07337	ses:SARI_01784
ko:K03424	ses:SARI_01790
ko:K07700	ses:SARI_02309
ko:K01910	ses:SARI_02311
ko:K05964	ses:SARI_02315
ko:K06140	ses:SARI_02319
ko:K03387	ses:SARI_02327
ko:K03805	ses:SARI_02329
ko:K06200	ses:SARI_02336
ko:K00216	ses:SARI_02338
ko:K01252	ses:SARI_02339
ko:K02363	ses:SARI_02340
ko:K02016	ses:SARI_02342
ko:K02015	ses:SARI_02344
ko:K02015	ses:SARI_02345
ko:K02013	ses:SARI_02346
ko:K02364	ses:SARI_02348
ko:K07664	ses:SARI_00761
ko:K07789	ses:SARI_00764
ko:K07788	ses:SARI_00765
ko:K07799	ses:SARI_00766
ko:K04046	ses:SARI_00768
ko:K01494	ses:SARI_00775
ko:K01991	ses:SARI_00780
ko:K03818	ses:SARI_00788
ko:K01711	ses:SARI_00789
ko:K02377	ses:SARI_00790
ko:K03207	ses:SARI_00791
ko:K00067	ses:SARI_00799
ko:K00033	ses:SARI_00803
ko:K00012	ses:SARI_00804
ko:K05591	ses:SARI_01328
ko:K03737	ses:SARI_01334
ko:K00275	ses:SARI_01534
ko:K06077	ses:SARI_01537
ko:K10680	ses:SARI_01545
ko:K03683	ses:SARI_01547
ko:K07390	ses:SARI_01548
ko:K03604	ses:SARI_01552
ko:K00574	ses:SARI_01555
ko:K03327	ses:SARI_01557
ko:K04069	ses:SARI_01993
ko:K07308	ses:SARI_01998
ko:K07306	ses:SARI_02000
ko:K01875	ses:SARI_02001
ko:K06918	ses:SARI_01296
ko:K08990	ses:SARI_01297
ko:K03721	ses:SARI_01298
ko:K11065	ses:SARI_01299
ko:K07738	ses:SARI_02511
ko:K05517	ses:SARI_02515
ko:K03074	ses:SARI_02517
ko:K03072	ses:SARI_02518
ko:K03210	ses:SARI_02519
ko:K00773	ses:SARI_02520
ko:K03311	ses:SARI_02526
ko:K00847	ses:SARI_02534
ko:K09913	ses:SARI_02535
ko:K00891	ses:SARI_02538
ko:K09768	ses:SARI_02539
ko:K00286	ses:SARI_02540
ko:K01921	ses:SARI_02546
ko:K01698	ses:SARI_02553
ko:K01908	ses:SARI_02554
ko:K02688	ses:SARI_02558
ko:K00800	ses:SARI_01985
ko:K00831	ses:SARI_01986
ko:K09136	ses:SARI_01988
ko:K00656	ses:SARI_01990
ko:K02033	ses:SARI_01726
ko:K02035	ses:SARI_01727
ko:K07667	ses:SARI_02239
ko:K03756	ses:SARI_02241
ko:K03839	ses:SARI_02248
ko:K03184	ses:SARI_02271
ko:K06217	ses:SARI_02273
ko:K10001	ses:SARI_02277
ko:K10003	ses:SARI_02279
ko:K10002	ses:SARI_02280
ko:K10004	ses:SARI_02281
ko:K01869	ses:SARI_02284
ko:K03643	ses:SARI_02285
ko:K00969	ses:SARI_02287
ko:K09710	ses:SARI_02290
ko:K00783	ses:SARI_02291
ko:K05837	ses:SARI_02293
ko:K02034	ses:SARI_01725
ko:K03642	ses:SARI_02294
ko:K07258	ses:SARI_02296
ko:K09158	ses:SARI_02297
ko:K03801	ses:SARI_02298
ko:K10974	ses:SARI_04291
ko:K01937	ses:SARI_00008
ko:K02007	ses:SARI_00865
ko:K02008	ses:SARI_00867
ko:K02006	ses:SARI_00868
ko:K02232	ses:SARI_00869
ko:K02231	ses:SARI_00870
ko:K02233	ses:SARI_00871
ko:K00068	ses:SARI_00137
ko:K03743	ses:SARI_00142
ko:K03565	ses:SARI_00144
ko:K01872	ses:SARI_00146
ko:K01919	ses:SARI_00155
ko:K03543	ses:SARI_00159
ko:K03647	ses:SARI_00167
ko:K06191	ses:SARI_00168
ko:K00135	ses:SARI_00182
ko:K05839	ses:SARI_02461
ko:K02909	ses:SARI_02464
ko:K07443	ses:SARI_02467
ko:K09914	ses:SARI_02468
ko:K03320	ses:SARI_02470
ko:K04752	ses:SARI_02472
ko:K05800	ses:SARI_02476
ko:K01738	ses:SARI_02475
ko:K06920	ses:SARI_02479
ko:K03770	ses:SARI_02482
ko:K03544	ses:SARI_02485
ko:K03545	ses:SARI_02487
ko:K07286	ses:SARI_02489
ko:K02297	ses:SARI_02491
ko:K02298	ses:SARI_02492
ko:K02299	ses:SARI_02493
ko:K02300	ses:SARI_02494
ko:K03893	ses:SARI_01920
ko:K11179	ses:SARI_01928
ko:K06969	ses:SARI_01930
ko:K06929	ses:SARI_01932
ko:K09909	ses:SARI_01933
ko:K01734	ses:SARI_01934
ko:K01586	ses:SARI_00539
ko:K07258	ses:SARI_00825
ko:K09802	ses:SARI_00828
ko:K04029	ses:SARI_00831
ko:K04031	ses:SARI_00832
ko:K02227	ses:SARI_00854
ko:K03399	ses:SARI_00857
ko:K05936	ses:SARI_00859
ko:K05895	ses:SARI_00862
ko:K00615	ses:SARI_00409
ko:K00616	ses:SARI_00410
ko:K06871	ses:SARI_00413
ko:K04031	ses:SARI_00414
ko:K04029	ses:SARI_00415
ko:K04032	ses:SARI_00417
ko:K04024	ses:SARI_00422
ko:K04023	ses:SARI_00424
ko:K04019	ses:SARI_00425
ko:K03735	ses:SARI_00426
ko:K04026	ses:SARI_00428
ko:K04033	ses:SARI_00430
ko:K07223	ses:SARI_00436
ko:K07106	ses:SARI_00439
ko:K01951	ses:SARI_00449
ko:K02777	ses:SARI_00454
ko:K08483	ses:SARI_00455
ko:K01738	ses:SARI_00458
ko:K03528	ses:SARI_00460
ko:K09954	ses:SARI_00462
ko:K01885	ses:SARI_00469
ko:K03593	ses:SARI_00744
ko:K02048	ses:SARI_00444
ko:K02046	ses:SARI_00445
ko:K02047	ses:SARI_00446
ko:K02045	ses:SARI_00447
ko:K07666	ses:SARI_04453
ko:K06173	ses:SARI_00531
ko:K02802	ses:SARI_02256
ko:K02803	ses:SARI_02256
ko:K02804	ses:SARI_02256
ko:K02564	ses:SARI_02257
ko:K03820	ses:SARI_02276
ko:K02372	ses:SARI_02775
ko:K00860	ses:SARI_00023
ko:K02746	ses:SARI_01159
ko:K02082	ses:SARI_04362
ko:K06282	ses:SARI_04475
ko:K03501	ses:SARI_03777
ko:K00373	ses:SARI_01192
ko:K00374	ses:SARI_01193
ko:K01433	ses:SARI_01197
ko:K09858	ses:SARI_01198
ko:K07001	ses:SARI_01199
ko:K09901	ses:SARI_01213
ko:K06131	ses:SARI_01214
ko:K09780	ses:SARI_01216
ko:K03832	ses:SARI_01217
ko:K06940	ses:SARI_01221
ko:K07275	ses:SARI_01222
ko:K07217	ses:SARI_01223
ko:K07053	ses:SARI_01233
ko:K02018	ses:SARI_02160
ko:K02020	ses:SARI_02161
ko:K02019	ses:SARI_02163
ko:K05776	ses:SARI_02164
ko:K00849	ses:SARI_02168
ko:K00769	ses:SARI_02695
ko:K03271	ses:SARI_02700
ko:K06445	ses:SARI_02701
ko:K01591	ses:SARI_01255
ko:K03113	ses:SARI_01256
ko:K04062	ses:SARI_01257
ko:K02025	ses:SARI_01286
ko:K02026	ses:SARI_01287
ko:K10112	ses:SARI_01293
ko:K07478	ses:SARI_02002
ko:K03634	ses:SARI_02003
ko:K00384	ses:SARI_02006
ko:K00684	ses:SARI_02009
ko:K06911	ses:SARI_02012
ko:K03694	ses:SARI_02016
ko:K03704	ses:SARI_02018
ko:K09824	ses:SARI_02022
ko:K00156	ses:SARI_02027
ko:K01620	ses:SARI_02028
ko:K10000	ses:SARI_02039
ko:K09999	ses:SARI_02041
ko:K09998	ses:SARI_02042
ko:K09996	ses:SARI_02043
ko:K02822	ses:SARI_02045
ko:K03475	ses:SARI_02046
ko:K03212	ses:SARI_02048
ko:K03221	ses:SARI_01575
ko:K03220	ses:SARI_01586
ko:K03219	ses:SARI_01587
ko:K06044	ses:SARI_01412
ko:K07341	ses:SARI_01417
ko:K05846	ses:SARI_01427
ko:K05846	ses:SARI_01429
ko:K11074	ses:SARI_02050
ko:K11075	ses:SARI_02051
ko:K11076	ses:SARI_02052
ko:K11073	ses:SARI_02053
ko:K05844	ses:SARI_02055
ko:K10678	ses:SARI_02056
ko:K03674	ses:SARI_02058
ko:K07085	ses:SARI_02060
ko:K08160	ses:SARI_02064
ko:K07258	ses:SARI_02067
ko:K03750	ses:SARI_02077
ko:K08191	ses:SARI_02084
ko:K09771	ses:SARI_01440
ko:K08323	ses:SARI_01441
ko:K01284	ses:SARI_01449
ko:K08159	ses:SARI_01459
ko:K01425	ses:SARI_01462
ko:K03618	ses:SARI_01468
ko:K03619	ses:SARI_01469
