ko:K19743	zmb:ZZ6_1206
ko:K00783	zmb:ZZ6_1451
ko:K09710	zmb:ZZ6_1452
ko:K00969	zmb:ZZ6_1453
ko:K00147	zmb:ZZ6_1454
ko:K03798	zmb:ZZ6_1456
ko:K04075	zmb:ZZ6_1457
ko:K00928	zmb:ZZ6_1462
ko:K08484	zmb:ZZ6_1464
ko:K01053	zmb:ZZ6_1466
ko:K00950	zmb:ZZ6_1468
ko:K03723	zmb:ZZ6_1469
ko:K03655	zmb:ZZ6_1470
ko:K01866	zmb:ZZ6_1471
ko:K09001	zmb:ZZ6_1472
ko:K01867	zmb:ZZ6_1474
ko:K03980	zmb:ZZ6_1475
ko:K03071	zmb:ZZ6_1476
ko:K08304	zmb:ZZ6_1479
ko:K03978	zmb:ZZ6_1487
ko:K03217	zmb:ZZ6_1488
ko:K01491	zmb:ZZ6_0387
ko:K00826	zmb:ZZ6_0388
ko:K01991	zmb:ZZ6_0390
ko:K09689	zmb:ZZ6_0391
ko:K10107	zmb:ZZ6_0393
ko:K03669	zmb:ZZ6_0394
ko:K03670	zmb:ZZ6_0395
ko:K01649	zmb:ZZ6_0397
ko:K04566	zmb:ZZ6_0408
ko:K09005	zmb:ZZ6_0411
ko:K02871	zmb:ZZ6_0413
ko:K02996	zmb:ZZ6_0414
ko:K03412	zmb:ZZ6_0416
ko:K03412	zmb:ZZ6_0417
ko:K03527	zmb:ZZ6_0420
ko:K01494	zmb:ZZ6_0432
ko:K09747	zmb:ZZ6_0433
ko:K02343	zmb:ZZ6_0434
ko:K04487	zmb:ZZ6_0436
ko:K09987	zmb:ZZ6_0437
ko:K03602	zmb:ZZ6_0438
ko:K00795	zmb:ZZ6_0439
ko:K00954	zmb:ZZ6_0440
ko:K07390	zmb:ZZ6_1274
ko:K03517	zmb:ZZ6_1276
ko:K00767	zmb:ZZ6_1277
ko:K03524	zmb:ZZ6_1279
ko:K03525	zmb:ZZ6_1280
ko:K07267	zmb:ZZ6_1290
ko:K03839	zmb:ZZ6_1293
ko:K02016	zmb:ZZ6_1296
ko:K02013	zmb:ZZ6_1298
ko:K06193	zmb:ZZ6_1299
ko:K03734	zmb:ZZ6_1301
ko:K03813	zmb:ZZ6_1305
ko:K02595	zmb:ZZ6_1306
ko:K02594	zmb:ZZ6_1307
ko:K16090	zmb:ZZ6_1311
ko:K02593	zmb:ZZ6_1313
ko:K02585	zmb:ZZ6_1316
ko:K02967	zmb:ZZ6_0172
ko:K02357	zmb:ZZ6_0173
ko:K09903	zmb:ZZ6_0174
ko:K02838	zmb:ZZ6_0175
ko:K00806	zmb:ZZ6_0176
ko:K00981	zmb:ZZ6_0177
ko:K00099	zmb:ZZ6_0178
ko:K11749	zmb:ZZ6_0179
ko:K07277	zmb:ZZ6_0180
ko:K02372	zmb:ZZ6_0182
ko:K02909	zmb:ZZ6_0183
ko:K00384	zmb:ZZ6_0186
ko:K00053	zmb:ZZ6_0187
ko:K01653	zmb:ZZ6_0188
ko:K01652	zmb:ZZ6_0189
ko:K00791	zmb:ZZ6_0190
ko:K01079	zmb:ZZ6_0191
ko:K00428	zmb:ZZ6_0192
ko:K03592	zmb:ZZ6_0193
ko:K01673	zmb:ZZ6_0195
ko:K03644	zmb:ZZ6_0196
ko:K12506	zmb:ZZ6_0200
ko:K13598	zmb:ZZ6_0203
ko:K13599	zmb:ZZ6_0204
ko:K04764	zmb:ZZ6_0206
ko:K00266	zmb:ZZ6_0210
ko:K06153	zmb:ZZ6_0211
ko:K03885	zmb:ZZ6_0213
ko:K06190	zmb:ZZ6_0214
ko:K03449	zmb:ZZ6_0215
ko:K06925	zmb:ZZ6_0220
ko:K03671	zmb:ZZ6_0224
ko:K12573	zmb:ZZ6_0225
ko:K03551	zmb:ZZ6_1048
ko:K03550	zmb:ZZ6_1051
ko:K01159	zmb:ZZ6_1052
ko:K00873	zmb:ZZ6_1055
ko:K03439	zmb:ZZ6_1058
ko:K00278	zmb:ZZ6_1061
ko:K06997	zmb:ZZ6_1063
ko:K09474	zmb:ZZ6_1075
ko:K06915	zmb:ZZ6_1079
ko:K07478	zmb:ZZ6_1082
ko:K03313	zmb:ZZ6_1085
ko:K00826	zmb:ZZ6_1088
ko:K01665	zmb:ZZ6_1090
ko:K15738	zmb:ZZ6_1093
ko:K01704	zmb:ZZ6_1100
ko:K01703	zmb:ZZ6_1101
ko:K16079	zmb:ZZ6_1602
ko:K02313	zmb:ZZ6_0001
ko:K06158	zmb:ZZ6_0002
ko:K11717	zmb:ZZ6_0829
ko:K09015	zmb:ZZ6_0830
ko:K09013	zmb:ZZ6_0831
ko:K09014	zmb:ZZ6_0832
ko:K00817	zmb:ZZ6_0834
ko:K00220	zmb:ZZ6_0835
ko:K00655	zmb:ZZ6_0836
ko:K09811	zmb:ZZ6_0838
ko:K09812	zmb:ZZ6_0839
ko:K02221	zmb:ZZ6_0841
ko:K02622	zmb:ZZ6_0843
ko:K04083	zmb:ZZ6_0844
ko:K13583	zmb:ZZ6_0847
ko:K03694	zmb:ZZ6_0849
ko:K01524	zmb:ZZ6_0850
ko:K01247	zmb:ZZ6_0872
ko:K01338	zmb:ZZ6_0873
ko:K00692	zmb:ZZ6_0874
ko:K00692	zmb:ZZ6_0875
ko:K05800	zmb:ZZ6_0877
ko:K01779	zmb:ZZ6_0878
ko:K01690	zmb:ZZ6_0880
ko:K00036	zmb:ZZ6_0881
ko:K02968	zmb:ZZ6_1713
ko:K07726	zmb:ZZ6_1724
ko:K09803	zmb:ZZ6_1725
ko:K07341	zmb:ZZ6_1736
ko:K03427	zmb:ZZ6_1758
ko:K01154	zmb:ZZ6_1759
ko:K01153	zmb:ZZ6_1760
ko:K07043	zmb:ZZ6_1761
ko:K01069	zmb:ZZ6_0529
ko:K01978	zmb:ZZ6_R0009
ko:K14232	zmb:ZZ6_R0062
ko:K05595	zmb:ZZ6_0842
ko:K02427	zmb:ZZ6_0851
ko:K00845	zmb:ZZ6_0879
ko:K14223	zmb:ZZ6_R0015
ko:K00383	zmb:ZZ6_0124
ko:K02533	zmb:ZZ6_0130
ko:K10563	zmb:ZZ6_0145
ko:K01496	zmb:ZZ6_0154
ko:K07657	zmb:ZZ6_0166
ko:K05524	zmb:ZZ6_0994
ko:K01934	zmb:ZZ6_0997
ko:K03560	zmb:ZZ6_1045
ko:K02116	zmb:ZZ6_0612
ko:K01488	zmb:ZZ6_0624
ko:K10943	zmb:ZZ6_0644
ko:K03469	zmb:ZZ6_1511
ko:K00939	zmb:ZZ6_0727
ko:K06177	zmb:ZZ6_0762
ko:K00721	zmb:ZZ6_0763
ko:K03294	zmb:ZZ6_1595
ko:K02014	zmb:ZZ6_1618
ko:K00970	zmb:ZZ6_0261
ko:K01515	zmb:ZZ6_0273
ko:K07126	zmb:ZZ6_1107
ko:K00575	zmb:ZZ6_1119
ko:K03409	zmb:ZZ6_1121
ko:K03406	zmb:ZZ6_1122
ko:K02342	zmb:ZZ6_1156
ko:K02806	zmb:ZZ6_1158
ko:K04765	zmb:ZZ6_0226
ko:K07258	zmb:ZZ6_0232
ko:K14224	zmb:ZZ6_R0033
ko:K01322	zmb:ZZ6_0496
ko:K02014	zmb:ZZ6_0504
ko:K02433	zmb:ZZ6_0510
ko:K01759	zmb:ZZ6_0528
ko:K00548	zmb:ZZ6_1378
ko:K03386	zmb:ZZ6_1387
ko:K00121	zmb:ZZ6_1396
ko:K00058	zmb:ZZ6_1432
ko:K01885	zmb:ZZ6_0400
ko:K01916	zmb:ZZ6_0401
ko:K01785	zmb:ZZ6_0409
ko:K06045	zmb:ZZ6_0423
ko:K01489	zmb:ZZ6_0431
ko:K03803	zmb:ZZ6_1302
ko:K02597	zmb:ZZ6_1314
ko:K03617	zmb:ZZ6_1318
ko:K03616	zmb:ZZ6_1319
ko:K03615	zmb:ZZ6_1320
ko:K03614	zmb:ZZ6_1321
ko:K03612	zmb:ZZ6_1322
ko:K07054	zmb:ZZ6_0014
ko:K11189	zmb:ZZ6_0024
ko:K02793	zmb:ZZ6_0025
ko:K00088	zmb:ZZ6_0030
ko:K02619	zmb:ZZ6_0903
ko:K01092	zmb:ZZ6_0911
ko:K01760	zmb:ZZ6_0913
ko:K02067	zmb:ZZ6_0294
ko:K07304	zmb:ZZ6_0312
ko:K07126	zmb:ZZ6_1166
ko:K02428	zmb:ZZ6_1176
ko:K00380	zmb:ZZ6_1180
ko:K00567	zmb:ZZ6_1196
ko:K02238	zmb:ZZ6_1210
ko:K01885	zmb:ZZ6_1211
ko:K03321	zmb:ZZ6_0719
ko:K01262	zmb:ZZ6_0775
ko:K06179	zmb:ZZ6_0819
ko:K00674	zmb:ZZ6_0825
ko:K07025	zmb:ZZ6_0826
ko:K13628	zmb:ZZ6_0827
ko:K03711	zmb:ZZ6_1669
ko:K01278	zmb:ZZ6_1672
ko:K03743	zmb:ZZ6_0198
ko:K00799	zmb:ZZ6_0208
ko:K01104	zmb:ZZ6_1064
ko:K07126	zmb:ZZ6_1069
ko:K07126	zmb:ZZ6_1070
ko:K02014	zmb:ZZ6_1076
ko:K01664	zmb:ZZ6_1089
ko:K01784	zmb:ZZ6_1094
ko:K03455	zmb:ZZ6_0448
ko:K03613	zmb:ZZ6_1323
ko:K03294	zmb:ZZ6_1326
ko:K06147	zmb:ZZ6_1338
ko:K00851	zmb:ZZ6_1366
ko:K03299	zmb:ZZ6_1367
ko:K00135	zmb:ZZ6_1369
ko:K00548	zmb:ZZ6_1377
ko:K02371	zmb:ZZ6_1463
ko:K01439	zmb:ZZ6_1482
ko:K02014	zmb:ZZ6_1483
ko:K01082	zmb:ZZ6_0551
ko:K07386	zmb:ZZ6_0561
ko:K00666	zmb:ZZ6_0578
ko:K01424	zmb:ZZ6_1434
ko:K04518	zmb:ZZ6_1439
ko:K06221	zmb:ZZ6_1443
ko:K00568	zmb:ZZ6_1461
ko:K04763	zmb:ZZ6_0673
ko:K02049	zmb:ZZ6_0695
ko:K02050	zmb:ZZ6_0696
ko:K00241	zmb:ZZ6_0698
ko:K03177	zmb:ZZ6_0714
ko:K06045	zmb:ZZ6_1551
ko:K06147	zmb:ZZ6_1581
ko:K01507	zmb:ZZ6_1586
ko:K01523	zmb:ZZ6_1593
ko:K00652	zmb:ZZ6_0074
ko:K02200	zmb:ZZ6_0084
ko:K13953	zmb:ZZ6_0096
ko:K00059	zmb:ZZ6_0112
ko:K02193	zmb:ZZ6_0959
ko:K03593	zmb:ZZ6_0979
ko:K03317	zmb:ZZ6_0339
ko:K02067	zmb:ZZ6_0374
ko:K07213	zmb:ZZ6_0385
ko:K00027	zmb:ZZ6_1220
ko:K00652	zmb:ZZ6_1233
ko:K01409	zmb:ZZ6_1246
ko:K01719	zmb:ZZ6_1248
ko:K07120	zmb:ZZ6_1262
ko:K07120	zmb:ZZ6_1266
ko:K14229	zmb:ZZ6_R0053
ko:K01985	zmb:ZZ6_R0043
ko:K01985	zmb:ZZ6_R0049
ko:K01985	zmb:ZZ6_R0058
ko:K01166	zmb:ZZ6_1278
ko:K14220	zmb:ZZ6_R0001
ko:K14231	zmb:ZZ6_R0012
ko:K15035	zmb:ZZ6_R0025
ko:K01977	zmb:ZZ6_R0039
ko:K01977	zmb:ZZ6_R0054
ko:K01977	zmb:ZZ6_R0045
ko:K14224	zmb:ZZ6_R0002
ko:K14226	zmb:ZZ6_R0003
ko:K14230	zmb:ZZ6_R0004
ko:K14230	zmb:ZZ6_R0008
ko:K14225	zmb:ZZ6_R0005
ko:K14225	zmb:ZZ6_R0013
ko:K14225	zmb:ZZ6_R0037
ko:K14228	zmb:ZZ6_R0006
ko:K14228	zmb:ZZ6_R0007
ko:K14228	zmb:ZZ6_R0014
ko:K14228	zmb:ZZ6_R0024
ko:K14219	zmb:ZZ6_R0010
ko:K14219	zmb:ZZ6_R0017
ko:K14219	zmb:ZZ6_R0022
ko:K14219	zmb:ZZ6_R0038
ko:K14234	zmb:ZZ6_R0011
ko:K14234	zmb:ZZ6_R0018
ko:K14223	zmb:ZZ6_R0016
ko:K14223	zmb:ZZ6_R0029
ko:K14233	zmb:ZZ6_R0020
ko:K14233	zmb:ZZ6_R0026
ko:K14233	zmb:ZZ6_R0027
ko:K14235	zmb:ZZ6_R0021
ko:K14237	zmb:ZZ6_R0023
ko:K14237	zmb:ZZ6_R0030
ko:K14221	zmb:ZZ6_R0028
ko:K14232	zmb:ZZ6_R0036
ko:K14236	zmb:ZZ6_R0032
ko:K14222	zmb:ZZ6_R0035
ko:K14227	zmb:ZZ6_R0040
ko:K14227	zmb:ZZ6_R0046
ko:K14227	zmb:ZZ6_R0055
ko:K14218	zmb:ZZ6_R0041
ko:K14218	zmb:ZZ6_R0056
ko:K14218	zmb:ZZ6_R0047
ko:K14218	zmb:ZZ6_R0051
ko:K14218	zmb:ZZ6_R0052
ko:K14230	zmb:ZZ6_R0044
ko:K14230	zmb:ZZ6_R0059
ko:K14230	zmb:ZZ6_R0050
ko:K14229	zmb:ZZ6_R0060
ko:K14233	zmb:ZZ6_R0061
ko:K14234	zmb:ZZ6_R0063
ko:K14237	zmb:ZZ6_R0064
ko:K01980	zmb:ZZ6_R0042
ko:K01980	zmb:ZZ6_R0057
ko:K01980	zmb:ZZ6_R0048
ko:K02031	zmb:ZZ6_0326
ko:K02032	zmb:ZZ6_0326
ko:K01834	zmb:ZZ6_0092
ko:K08316	zmb:ZZ6_0692
ko:K03559	zmb:ZZ6_1403
ko:K03559	zmb:ZZ6_1404
ko:K09810	zmb:ZZ6_0803
ko:K14475	zmb:ZZ6_1373
ko:K07091	zmb:ZZ6_1686
ko:K02303	zmb:ZZ6_0073
ko:K11532	zmb:ZZ6_0783
ko:K07323	zmb:ZZ6_0419
ko:K17103	zmb:ZZ6_0170
ko:K21681	zmb:ZZ6_0893
ko:K00265	zmb:ZZ6_0209
ko:K01990	zmb:ZZ6_0283
ko:K01990	zmb:ZZ6_1062
ko:K01992	zmb:ZZ6_0848
ko:K17686	zmb:ZZ6_0386
ko:K17675	zmb:ZZ6_0995
ko:K01497	zmb:ZZ6_1419
ko:K00971	zmb:ZZ6_0099
ko:K19746	zmb:ZZ6_1641
ko:K05540	zmb:ZZ6_0201
ko:K01467	zmb:ZZ6_1102
ko:K01658	zmb:ZZ6_1011
ko:K12574	zmb:ZZ6_1281
ko:K05886	zmb:ZZ6_0988
ko:K18139	zmb:ZZ6_0945
ko:K18138	zmb:ZZ6_0946
ko:K01487	zmb:ZZ6_0362
ko:K07003	zmb:ZZ6_1513
ko:K00956	zmb:ZZ6_1185
ko:K03973	zmb:ZZ6_0253
ko:K18009	zmb:ZZ6_0921
ko:K00091	zmb:ZZ6_0428
ko:K03566	zmb:ZZ6_0604
ko:K02169	zmb:ZZ6_1235
ko:K01935	zmb:ZZ6_1235
ko:K21678	zmb:ZZ6_0425
ko:K03630	zmb:ZZ6_1655
ko:K07126	zmb:ZZ6_1066
ko:K07126	zmb:ZZ6_1071
ko:K07126	zmb:ZZ6_1072
ko:K09709	zmb:ZZ6_0779
ko:K18480	zmb:ZZ6_0295
ko:K00681	zmb:ZZ6_1691
ko:K18588	zmb:ZZ6_0197
ko:K18587	zmb:ZZ6_0793
ko:K02477	zmb:ZZ6_1383
ko:K18676	zmb:ZZ6_0162
ko:K18707	zmb:ZZ6_0247
ko:K01568	zmb:ZZ6_1712
ko:K06218	zmb:ZZ6_1756
ko:K05366	zmb:ZZ6_0767
ko:K18928	zmb:ZZ6_1167
ko:K18929	zmb:ZZ6_1168
ko:K03111	zmb:ZZ6_1556
ko:K05792	zmb:ZZ6_1630
ko:K07473	zmb:ZZ6_1749
ko:K03496	zmb:ZZ6_1751
ko:K03496	zmb:ZZ6_0908
ko:K03496	zmb:ZZ6_1202
ko:K03497	zmb:ZZ6_1203
ko:K16898	zmb:ZZ6_0223
ko:K03976	zmb:ZZ6_1078
ko:K10026	zmb:ZZ6_0056
ko:K03526	zmb:ZZ6_1030
ko:K16899	zmb:ZZ6_0222
ko:K00611	zmb:ZZ6_0845
ko:K16238	zmb:ZZ6_1699
ko:K19129	zmb:ZZ6_0596
ko:K07448	zmb:ZZ6_1600
ko:K19127	zmb:ZZ6_0598
ko:K18918	zmb:ZZ6_1757
ko:K19157	zmb:ZZ6_1750
ko:K13581	zmb:ZZ6_0305
ko:K00798	zmb:ZZ6_1597
ko:K19130	zmb:ZZ6_0595
ko:K07012	zmb:ZZ6_0599
ko:K19128	zmb:ZZ6_0597
ko:K04771	zmb:ZZ6_0980
ko:K03722	zmb:ZZ6_0406
ko:K01992	zmb:ZZ6_0491
ko:K19302	zmb:ZZ6_0754
ko:K19353	zmb:ZZ6_1032
ko:K13854	zmb:ZZ6_0882
ko:K02014	zmb:ZZ6_0054
ko:K19577	zmb:ZZ6_1632
ko:K00992	zmb:ZZ6_0221
ko:K08744	zmb:ZZ6_1131
ko:K19813	zmb:ZZ6_0063
ko:K00118	zmb:ZZ6_0591
ko:K19802	zmb:ZZ6_0107
ko:K21679	zmb:ZZ6_0426
ko:K21677	zmb:ZZ6_0424
ko:K21636	zmb:ZZ6_0286
ko:K20542	zmb:ZZ6_0235
ko:K20543	zmb:ZZ6_0236
ko:K20541	zmb:ZZ6_0237
ko:K21053	zmb:ZZ6_0335
ko:K00821	zmb:ZZ6_0846
ko:K21029	zmb:ZZ6_0140
ko:K08968	zmb:ZZ6_0760
ko:K00526	zmb:ZZ6_0815
ko:K00525	zmb:ZZ6_0277
ko:K02316	zmb:ZZ6_1493
ko:K00857	zmb:ZZ6_0713
ko:K09882	zmb:ZZ6_1554
ko:K06909	zmb:ZZ6_0870
ko:K00287	zmb:ZZ6_0919
ko:K01520	zmb:ZZ6_0141
ko:K03553	zmb:ZZ6_0164
ko:K06908	zmb:ZZ6_1108
ko:K06217	zmb:ZZ6_1113
ko:K02314	zmb:ZZ6_0430
ko:K00560	zmb:ZZ6_1368
ko:K03676	zmb:ZZ6_0534
ko:K07313	zmb:ZZ6_1379
ko:K02335	zmb:ZZ6_0987
ko:K09806	zmb:ZZ6_0045
ko:K02483	zmb:ZZ6_0957
ko:K22044	zmb:ZZ6_0021
ko:K21470	zmb:ZZ6_1359
ko:K21613	zmb:ZZ6_0925
ko:K00344	zmb:ZZ6_1194
ko:K21929	zmb:ZZ6_1467
ko:K21929	zmb:ZZ6_0212
ko:K21929	zmb:ZZ6_0147
ko:K03595	zmb:ZZ6_1695
ko:K08994	zmb:ZZ6_0303
ko:K11991	zmb:ZZ6_0938
ko:K11206	zmb:ZZ6_1643
