ko:K02028	suo:SSU12_0456
ko:K12556	suo:SSU12_1685
ko:K07729	suo:SSU12_1688
ko:K02245	suo:SSU12_0128
ko:K00939	suo:SSU12_0093
ko:K09815	suo:SSU12_0114
ko:K03693	suo:SSU12_0120
ko:K02243	suo:SSU12_0126
ko:K02244	suo:SSU12_0127
ko:K02004	suo:SSU12_0831
ko:K01813	suo:SSU12_0851
ko:K01992	suo:SSU12_0857
ko:K00805	suo:SSU12_1698
ko:K00805	suo:SSU12_1700
ko:K03498	suo:SSU12_1701
ko:K03499	suo:SSU12_1703
ko:K01439	suo:SSU12_1713
ko:K02793	suo:SSU12_1720
ko:K02794	suo:SSU12_1720
ko:K02795	suo:SSU12_1721
ko:K07052	suo:SSU12_1730
ko:K00059	suo:SSU12_1740
ko:K02371	suo:SSU12_1742
ko:K02246	suo:SSU12_0129
ko:K02248	suo:SSU12_0131
ko:K00016	suo:SSU12_0991
ko:K02056	suo:SSU12_0996
ko:K01489	suo:SSU12_0999
ko:K01619	suo:SSU12_1000
ko:K00564	suo:SSU12_1002
ko:K00867	suo:SSU12_1003
ko:K14982	suo:SSU12_1008
ko:K14983	suo:SSU12_1009
ko:K01092	suo:SSU12_1019
ko:K03177	suo:SSU12_1024
ko:K09155	suo:SSU12_1028
ko:K01258	suo:SSU12_1038
ko:K09704	suo:SSU12_1855
ko:K02824	suo:SSU12_1873
ko:K06183	suo:SSU12_1876
ko:K07004	suo:SSU12_1906
ko:K00383	suo:SSU12_0472
ko:K02005	suo:SSU12_0473
ko:K02004	suo:SSU12_0475
ko:K03976	suo:SSU12_0480
ko:K08974	suo:SSU12_0481
ko:K07273	suo:SSU12_0483
ko:K01488	suo:SSU12_0497
ko:K01104	suo:SSU12_0525
ko:K12996	suo:SSU12_0527
ko:K05833	suo:SSU12_1372
ko:K05832	suo:SSU12_1373
ko:K01989	suo:SSU12_1374
ko:K02755	suo:SSU12_1376
ko:K02756	suo:SSU12_1376
ko:K02757	suo:SSU12_1376
ko:K03488	suo:SSU12_1377
ko:K07404	suo:SSU12_1382
ko:K07025	suo:SSU12_1384
ko:K06286	suo:SSU12_1395
ko:K04516	suo:SSU12_1422
ko:K02795	suo:SSU12_0414
ko:K02793	suo:SSU12_0416
ko:K01785	suo:SSU12_0417
ko:K00657	suo:SSU12_0449
ko:K03697	suo:SSU12_0453
ko:K01784	suo:SSU12_1324
ko:K03784	suo:SSU12_1333
ko:K03783	suo:SSU12_1334
ko:K07192	suo:SSU12_1345
ko:K07009	suo:SSU12_1361
ko:K03930	suo:SSU12_1368
ko:K07457	suo:SSU12_0199
ko:K02050	suo:SSU12_0206
ko:K02049	suo:SSU12_0207
ko:K03471	suo:SSU12_0215
ko:K01226	suo:SSU12_0218
ko:K02817	suo:SSU12_0219
ko:K02818	suo:SSU12_0219
ko:K02819	suo:SSU12_0219
ko:K03486	suo:SSU12_0220
ko:K01990	suo:SSU12_0242
ko:K08483	suo:SSU12_1104
ko:K11189	suo:SSU12_1105
ko:K02745	suo:SSU12_1122
ko:K02744	suo:SSU12_1124
ko:K00046	suo:SSU12_1128
ko:K07052	suo:SSU12_1130
ko:K07052	suo:SSU12_1132
ko:K07729	suo:SSU12_1135
ko:K07533	suo:SSU12_1141
ko:K06198	suo:SSU12_1146
ko:K00547	suo:SSU12_1962
ko:K09698	suo:SSU12_1964
ko:K01934	suo:SSU12_1979
ko:K00674	suo:SSU12_1981
ko:K03476	suo:SSU12_1989
ko:K03493	suo:SSU12_1990
ko:K02821	suo:SSU12_1995
ko:K02822	suo:SSU12_1996
ko:K03475	suo:SSU12_1997
ko:K03491	suo:SSU12_2008
ko:K09963	suo:SSU12_2009
ko:K01222	suo:SSU12_2011
ko:K09815	suo:SSU12_0314
ko:K03048	suo:SSU12_0316
ko:K01424	suo:SSU12_0322
ko:K02433	suo:SSU12_0332
ko:K06201	suo:SSU12_0339
ko:K06948	suo:SSU12_0342
ko:K04086	suo:SSU12_0358
ko:K00784	suo:SSU12_1211
ko:K11209	suo:SSU12_1226
ko:K08234	suo:SSU12_1231
ko:K07652	suo:SSU12_1255
ko:K07668	suo:SSU12_1256
ko:K00244	suo:SSU12_2070
ko:K00088	suo:SSU12_2097
ko:K07260	suo:SSU12_0697
ko:K16509	suo:SSU12_1021
ko:K16214	suo:SSU12_0865
ko:K03699	suo:SSU12_1616
ko:K07032	suo:SSU12_0372
ko:K03700	suo:SSU12_0378
ko:K11617	suo:SSU12_0395
ko:K11618	suo:SSU12_0396
ko:K03768	suo:SSU12_0397
ko:K07570	suo:SSU12_0398
ko:K02240	suo:SSU12_0401
ko:K02242	suo:SSU12_0402
ko:K07586	suo:SSU12_0408
ko:K02004	suo:SSU12_1275
ko:K10563	suo:SSU12_1289
ko:K01788	suo:SSU12_1295
ko:K11031	suo:SSU12_1296
ko:K07025	suo:SSU12_1297
ko:K01977	suo:SSU12_r09
ko:K04518	suo:SSU12_0560
ko:K01854	suo:SSU12_0564
ko:K09762	suo:SSU12_0578
ko:K01478	suo:SSU12_0580
ko:K12373	suo:SSU12_0586
ko:K13953	suo:SSU12_0263
ko:K00869	suo:SSU12_0273
ko:K01597	suo:SSU12_0274
ko:K00938	suo:SSU12_0275
ko:K01823	suo:SSU12_0276
ko:K09825	suo:SSU12_0293
ko:K09702	suo:SSU12_0298
ko:K05833	suo:SSU12_1154
ko:K05832	suo:SSU12_1155
ko:K01635	suo:SSU12_1159
ko:K04517	suo:SSU12_1162
ko:K05337	suo:SSU12_1172
ko:K09153	suo:SSU12_1176
ko:K07272	suo:SSU12_1184
ko:K12997	suo:SSU12_1187
ko:K12996	suo:SSU12_1188
ko:K02086	suo:SSU12_1202
ko:K07386	suo:SSU12_2013
ko:K11709	suo:SSU12_2014
ko:K11708	suo:SSU12_2015
ko:K11710	suo:SSU12_2016
ko:K11707	suo:SSU12_2018
ko:K03709	suo:SSU12_2019
ko:K01119	suo:SSU12_2027
ko:K03647	suo:SSU12_2058
ko:K02348	suo:SSU12_2061
ko:K01223	suo:SSU12_0180
ko:K01223	suo:SSU12_2010
ko:K05349	suo:SSU12_2066
ko:K02051	suo:SSU12_0208
ko:K15770	suo:SSU12_2052
ko:K01989	suo:SSU12_1157
ko:K16787	suo:SSU12_0693
ko:K16785	suo:SSU12_0691
ko:K15772	suo:SSU12_2054
ko:K15771	suo:SSU12_2053
ko:K16786	suo:SSU12_2090
ko:K16787	suo:SSU12_2089
ko:K02778	suo:SSU12_1294
ko:K02779	suo:SSU12_1294
ko:K16785	suo:SSU12_2088
ko:K10118	suo:SSU12_1501
ko:K16788	suo:SSU12_1958
ko:K01989	suo:SSU12_1156
ko:K16789	suo:SSU12_0482
ko:K01985	suo:SSU12_r01
ko:K16786	suo:SSU12_0692
ko:K18830	suo:SSU12_0866
ko:K10119	suo:SSU12_1500
ko:K01985	suo:SSU12_r04
ko:K01985	suo:SSU12_r03
ko:K14221	suo:SSU12_t037
ko:K14228	suo:SSU12_t08
ko:K14228	suo:SSU12_t031
ko:K14219	suo:SSU12_t056
ko:K14219	suo:SSU12_t048
ko:K14230	suo:SSU12_t011
ko:K14224	suo:SSU12_t022
ko:K14220	suo:SSU12_t055
ko:K10009	suo:SSU12_0289
ko:K16786	suo:SSU12_0271
ko:K16787	suo:SSU12_0271
ko:K02424	suo:SSU12_0288
ko:K02030	suo:SSU12_0511
ko:K14225	suo:SSU12_t041
ko:K01977	suo:SSU12_r12
ko:K01977	suo:SSU12_r11
ko:K01980	suo:SSU12_r08
ko:K16785	suo:SSU12_0374
ko:K00355	suo:SSU12_1567
ko:K14218	suo:SSU12_t01
ko:K01980	suo:SSU12_r05
ko:K14229	suo:SSU12_t052
ko:K16786	suo:SSU12_0373
ko:K16787	suo:SSU12_0373
ko:K01426	suo:SSU12_0287
ko:K16923	suo:SSU12_0690
ko:K01977	suo:SSU12_r10
ko:K14219	suo:SSU12_t053
ko:K16785	suo:SSU12_0270
ko:K08316	suo:SSU12_1627
ko:K08986	suo:SSU12_1090
ko:K11991	suo:SSU12_1987
ko:K16868	suo:SSU12_1281
ko:K16924	suo:SSU12_0368
ko:K16926	suo:SSU12_0269
ko:K01980	suo:SSU12_r07
ko:K01985	suo:SSU12_r02
ko:K14237	suo:SSU12_t019
ko:K14237	suo:SSU12_t02
ko:K14237	suo:SSU12_t036
ko:K14221	suo:SSU12_t03
ko:K14229	suo:SSU12_t04
ko:K14229	suo:SSU12_t038
ko:K14228	suo:SSU12_t05
ko:K14228	suo:SSU12_t030
ko:K14228	suo:SSU12_t039
ko:K14228	suo:SSU12_t042
ko:K14228	suo:SSU12_t050
ko:K14228	suo:SSU12_t051
ko:K14234	suo:SSU12_t06
ko:K14234	suo:SSU12_t040
ko:K14234	suo:SSU12_t059
ko:K14225	suo:SSU12_t07
ko:K14225	suo:SSU12_t020
ko:K14219	suo:SSU12_t09
ko:K14219	suo:SSU12_t043
ko:K14230	suo:SSU12_t012
ko:K14230	suo:SSU12_t014
ko:K14230	suo:SSU12_t024
ko:K14233	suo:SSU12_t013
ko:K14231	suo:SSU12_t015
ko:K14231	suo:SSU12_t025
ko:K14227	suo:SSU12_t016
ko:K14227	suo:SSU12_t021
ko:K14233	suo:SSU12_t017
ko:K14233	suo:SSU12_t023
ko:K14233	suo:SSU12_t058
ko:K14233	suo:SSU12_t057
ko:K14218	suo:SSU12_t018
ko:K14218	suo:SSU12_t032
ko:K14224	suo:SSU12_t034
ko:K14224	suo:SSU12_t054
ko:K14236	suo:SSU12_t026
ko:K14236	suo:SSU12_t045
ko:K14235	suo:SSU12_t027
ko:K14226	suo:SSU12_t028
ko:K14223	suo:SSU12_t047
ko:K01980	suo:SSU12_r06
ko:K14223	suo:SSU12_t029
ko:K14223	suo:SSU12_t046
ko:K16898	suo:SSU12_0707
ko:K16899	suo:SSU12_0706
ko:K14220	suo:SSU12_t033
ko:K14218	suo:SSU12_t035
ko:K14232	suo:SSU12_t044
ko:K14222	suo:SSU12_t049
ko:K03574	suo:SSU12_0452
ko:K11070	suo:SSU12_0751
ko:K01992	suo:SSU12_0241
ko:K10010	suo:SSU12_2000
ko:K01990	suo:SSU12_0700
ko:K02029	suo:SSU12_0948
ko:K02030	suo:SSU12_0948
ko:K01990	suo:SSU12_1185
ko:K10947	suo:SSU12_1535
ko:K17319	suo:SSU12_1236
ko:K17319	suo:SSU12_1850
ko:K17318	suo:SSU12_1234
ko:K17318	suo:SSU12_1848
ko:K01992	suo:SSU12_0699
ko:K01992	suo:SSU12_1790
ko:K01992	suo:SSU12_1186
ko:K01990	suo:SSU12_0178
ko:K01990	suo:SSU12_0499
ko:K01990	suo:SSU12_1791
ko:K02032	suo:SSU12_1803
ko:K02028	suo:SSU12_0510
ko:K03574	suo:SSU12_1055
ko:K02028	suo:SSU12_0949
ko:K00951	suo:SSU12_2026
ko:K17320	suo:SSU12_1235
ko:K17320	suo:SSU12_1849
ko:K01537	suo:SSU12_1311
ko:K02030	suo:SSU12_0941
ko:K02030	suo:SSU12_0942
ko:K17076	suo:SSU12_1817
ko:K02029	suo:SSU12_0455
ko:K01992	suo:SSU12_0240
ko:K17073	suo:SSU12_1816
ko:K17074	suo:SSU12_1816
ko:K10947	suo:SSU12_0247
ko:K10947	suo:SSU12_1041
ko:K10112	suo:SSU12_1842
ko:K01990	suo:SSU12_1634
ko:K01992	suo:SSU12_1633
ko:K02027	suo:SSU12_0165
ko:K17686	suo:SSU12_1279
ko:K00226	suo:SSU12_0237
ko:K17828	suo:SSU12_0934
ko:K06518	suo:SSU12_0248
ko:K03767	suo:SSU12_1241
ko:K00537	suo:SSU12_1335
ko:K01791	suo:SSU12_0540
ko:K03486	suo:SSU12_0361
ko:K01467	suo:SSU12_0012
ko:K02026	suo:SSU12_0167
ko:K07284	suo:SSU12_0989
ko:K12574	suo:SSU12_0158
ko:K00661	suo:SSU12_0916
ko:K12574	suo:SSU12_1369
ko:K07284	suo:SSU12_0437
ko:K07284	suo:SSU12_0462
ko:K00561	suo:SSU12_0879
ko:K18216	suo:SSU12_1299
ko:K18220	suo:SSU12_0890
ko:K02809	suo:SSU12_1868
ko:K02810	suo:SSU12_1868
ko:K01071	suo:SSU12_1329
ko:K05799	suo:SSU12_1070
ko:K02794	suo:SSU12_0413
ko:K02614	suo:SSU12_0974
ko:K18217	suo:SSU12_1298
ko:K07491	suo:SSU12_0640
ko:K07491	suo:SSU12_1585
ko:K01990	suo:SSU12_0858
ko:K12296	suo:SSU12_0068
ko:K07491	suo:SSU12_1005
ko:K00917	suo:SSU12_0198
ko:K07491	suo:SSU12_1316
ko:K18231	suo:SSU12_1251
ko:K03742	suo:SSU12_0061
ko:K18474	suo:SSU12_1746
ko:K00105	suo:SSU12_0675
ko:K16235	suo:SSU12_1963
ko:K01200	suo:SSU12_2057
ko:K18581	suo:SSU12_1123
ko:K00983	suo:SSU12_0542
ko:K18682	suo:SSU12_0385
ko:K06896	suo:SSU12_0362
ko:K18672	suo:SSU12_1359
ko:K18692	suo:SSU12_1682
ko:K06218	suo:SSU12_1385
ko:K18815	suo:SSU12_1349
ko:K18892	suo:SSU12_1973
ko:K18891	suo:SSU12_1974
ko:K03790	suo:SSU12_1565
ko:K03789	suo:SSU12_1877
ko:K18888	suo:SSU12_0744
ko:K18887	suo:SSU12_0743
ko:K06218	suo:SSU12_0829
ko:K03497	suo:SSU12_0884
ko:K03205	suo:SSU12_0902
ko:K03111	suo:SSU12_1769
ko:K03111	suo:SSU12_0144
ko:K03497	suo:SSU12_2107
ko:K06218	suo:SSU12_0573
ko:K03111	suo:SSU12_1461
ko:K07029	suo:SSU12_1086
ko:K19055	suo:SSU12_1371
ko:K07484	suo:SSU12_0548
ko:K19002	suo:SSU12_1264
ko:K18979	suo:SSU12_1306
ko:K13052	suo:SSU12_0010
ko:K18986	suo:SSU12_1606
ko:K02851	suo:SSU12_1813
ko:K18987	suo:SSU12_1607
ko:K19005	suo:SSU12_1166
ko:K07452	suo:SSU12_0802
ko:K06893	suo:SSU12_2083
ko:K19159	suo:SSU12_1945
ko:K19147	suo:SSU12_0803
ko:K19158	suo:SSU12_1944
ko:K05881	suo:SSU12_1895
ko:K01710	suo:SSU12_1195
ko:K01215	suo:SSU12_1498
ko:K03722	suo:SSU12_0514
ko:K19302	suo:SSU12_1640
ko:K12952	suo:SSU12_1244
ko:K04771	suo:SSU12_2106
ko:K02031	suo:SSU12_1804
ko:K06881	suo:SSU12_1419
ko:K00526	suo:SSU12_1112
ko:K02796	suo:SSU12_1722
ko:K02796	suo:SSU12_0415
ko:K01654	suo:SSU12_0539
ko:K00887	suo:SSU12_1291
ko:K21636	suo:SSU12_2040
ko:K20074	suo:SSU12_0391
ko:K12132	suo:SSU12_0392
ko:K20073	suo:SSU12_0383
ko:K02777	suo:SSU12_0363
ko:K20107	suo:SSU12_0363
ko:K20108	suo:SSU12_0363
ko:K20342	suo:SSU12_0050
ko:K20459	suo:SSU12_0835
ko:K20460	suo:SSU12_0834
ko:K20461	suo:SSU12_0833
ko:K00525	suo:SSU12_1110
ko:K07052	suo:SSU12_0904
ko:K20489	suo:SSU12_0836
ko:K18889	suo:SSU12_0278
ko:K18890	suo:SSU12_0277
ko:K11751	suo:SSU12_2038
ko:K21064	suo:SSU12_1719
ko:K08968	suo:SSU12_1575
ko:K01493	suo:SSU12_1569
ko:K00560	suo:SSU12_0777
ko:K00287	suo:SSU12_0778
ko:K00857	suo:SSU12_0789
ko:K00558	suo:SSU12_0908
ko:K03553	suo:SSU12_0062
ko:K06191	suo:SSU12_1109
ko:K01520	suo:SSU12_1972
ko:K07313	suo:SSU12_1984
ko:K04068	suo:SSU12_2036
ko:K06217	suo:SSU12_1218
ko:K02314	suo:SSU12_2075
ko:K02316	suo:SSU12_1322
ko:K06919	suo:SSU12_1401
ko:K02335	suo:SSU12_1273
ko:K01759	suo:SSU12_1239
ko:K00571	suo:SSU12_0133
ko:K01101	suo:SSU12_1327
ko:K07741	suo:SSU12_1475
ko:K06148	suo:SSU12_0268
ko:K06148	suo:SSU12_0267
ko:K21471	suo:SSU12_0021
ko:K21567	suo:SSU12_1924
ko:K00863	suo:SSU12_1891
ko:K21828	suo:SSU12_0579
ko:K22044	suo:SSU12_0234
ko:K03595	suo:SSU12_1290
ko:K03078	suo:SSU12_1994
ko:K22278	suo:SSU12_1582
ko:K17758	suo:SSU12_0757
ko:K03077	suo:SSU12_1992
ko:K03079	suo:SSU12_1993
ko:K22441	suo:SSU12_1061
ko:K22457	suo:SSU12_0570
ko:K01007	suo:SSU12_0855
