ko:K13060	ypu:BZ21_2539
ko:K03106	ypu:BZ21_40
ko:K02959	ypu:BZ21_41
ko:K02860	ypu:BZ21_42
ko:K00554	ypu:BZ21_43
ko:K02884	ypu:BZ21_44
ko:K07283	ypu:BZ21_45
ko:K07792	ypu:BZ21_46
ko:K02477	ypu:BZ21_47
ko:K01626	ypu:BZ21_48
ko:K14187	ypu:BZ21_49
ko:K14170	ypu:BZ21_50
ko:K05809	ypu:BZ21_85
ko:K05807	ypu:BZ21_86
ko:K09912	ypu:BZ21_924
ko:K07733	ypu:BZ21_932
ko:K15721	ypu:BZ21_934
ko:K04783	ypu:BZ21_935
ko:K05374	ypu:BZ21_936
ko:K04785	ypu:BZ21_937
ko:K04786	ypu:BZ21_938
ko:K04784	ypu:BZ21_939
ko:K05372	ypu:BZ21_940
ko:K06147	ypu:BZ21_941
ko:K06147	ypu:BZ21_942
ko:K05373	ypu:BZ21_943
ko:K04781	ypu:BZ21_944
ko:K07407	ypu:BZ21_955
ko:K02532	ypu:BZ21_956
ko:K02529	ypu:BZ21_957
ko:K09933	ypu:BZ21_959
ko:K07178	ypu:BZ21_961
ko:K06147	ypu:BZ21_962
ko:K11734	ypu:BZ21_971
ko:K12973	ypu:BZ21_972
ko:K03704	ypu:BZ21_974
ko:K00563	ypu:BZ21_976
ko:K11105	ypu:BZ21_1792
ko:K08368	ypu:BZ21_1798
ko:K10713	ypu:BZ21_1799
ko:K15342	ypu:BZ21_1806
ko:K16053	ypu:BZ21_1808
ko:K02026	ypu:BZ21_1813
ko:K02025	ypu:BZ21_1814
ko:K02027	ypu:BZ21_1815
ko:K01840	ypu:BZ21_1817
ko:K10111	ypu:BZ21_1818
ko:K15125	ypu:BZ21_1824
ko:K03451	ypu:BZ21_1828
ko:K07246	ypu:BZ21_1829
ko:K16135	ypu:BZ21_1830
ko:K02529	ypu:BZ21_1831
ko:K10440	ypu:BZ21_1832
ko:K10441	ypu:BZ21_1833
ko:K10439	ypu:BZ21_1834
ko:K00008	ypu:BZ21_1835
ko:K11934	ypu:BZ21_1839
ko:K11939	ypu:BZ21_1840
ko:K02421	ypu:BZ21_2635
ko:K02401	ypu:BZ21_2636
ko:K02400	ypu:BZ21_2637
ko:K02016	ypu:BZ21_2640
ko:K18320	ypu:BZ21_2647
ko:K02278	ypu:BZ21_2650
ko:K02279	ypu:BZ21_2651
ko:K02280	ypu:BZ21_2652
ko:K02282	ypu:BZ21_2654
ko:K02283	ypu:BZ21_2655
ko:K12510	ypu:BZ21_2656
ko:K12511	ypu:BZ21_2657
ko:K12512	ypu:BZ21_2658
ko:K12513	ypu:BZ21_2659
ko:K12514	ypu:BZ21_2660
ko:K12515	ypu:BZ21_2661
ko:K03559	ypu:BZ21_2662
ko:K03561	ypu:BZ21_2664
ko:K01760	ypu:BZ21_2665
ko:K08325	ypu:BZ21_2668
ko:K06221	ypu:BZ21_2669
ko:K00655	ypu:BZ21_2672
ko:K02621	ypu:BZ21_2673
ko:K03923	ypu:BZ21_2674
ko:K02622	ypu:BZ21_2676
ko:K07000	ypu:BZ21_2677
ko:K03651	ypu:BZ21_2678
ko:K09920	ypu:BZ21_2679
ko:K01515	ypu:BZ21_2680
ko:K12340	ypu:BZ21_2681
ko:K02858	ypu:BZ21_2686
ko:K09806	ypu:BZ21_2687
ko:K16263	ypu:BZ21_2688
ko:K01754	ypu:BZ21_3487
ko:K02521	ypu:BZ21_3493
ko:K00053	ypu:BZ21_3494
ko:K07347	ypu:BZ21_3509
ko:K07346	ypu:BZ21_3510
ko:K07345	ypu:BZ21_3511
ko:K03769	ypu:BZ21_3513
ko:K03656	ypu:BZ21_3514
ko:K01524	ypu:BZ21_3515
ko:K03732	ypu:BZ21_3516
ko:K03671	ypu:BZ21_3517
ko:K03628	ypu:BZ21_3518
ko:K02851	ypu:BZ21_3519
ko:K05790	ypu:BZ21_3520
ko:K01791	ypu:BZ21_3521
ko:K02472	ypu:BZ21_3522
ko:K00973	ypu:BZ21_3524
ko:K16704	ypu:BZ21_3525
ko:K02805	ypu:BZ21_3526
ko:K16693	ypu:BZ21_3527
ko:K12582	ypu:BZ21_3528
ko:K02853	ypu:BZ21_3529
ko:K02852	ypu:BZ21_3530
ko:K02498	ypu:BZ21_3537
ko:K02496	ypu:BZ21_3538
ko:K01719	ypu:BZ21_3539
ko:K01749	ypu:BZ21_3540
ko:K05851	ypu:BZ21_3541
ko:K03745	ypu:BZ21_3043
ko:K03775	ypu:BZ21_3044
ko:K07070	ypu:BZ21_3045
ko:K11747	ypu:BZ21_3046
ko:K06158	ypu:BZ21_3048
ko:K03119	ypu:BZ21_3051
ko:K15552	ypu:BZ21_3052
ko:K10831	ypu:BZ21_3053
ko:K15551	ypu:BZ21_3054
ko:K07019	ypu:BZ21_3056
ko:K09898	ypu:BZ21_3057
ko:K00855	ypu:BZ21_3058
ko:K07397	ypu:BZ21_3060
ko:K10914	ypu:BZ21_3061
ko:K01664	ypu:BZ21_3064
ko:K08303	ypu:BZ21_3871
ko:K03824	ypu:BZ21_3873
ko:K07461	ypu:BZ21_3874
ko:K02027	ypu:BZ21_3877
ko:K02025	ypu:BZ21_3878
ko:K02026	ypu:BZ21_3879
ko:K10112	ypu:BZ21_3880
ko:K09979	ypu:BZ21_3882
ko:K06167	ypu:BZ21_3884
ko:K05774	ypu:BZ21_3885
ko:K06162	ypu:BZ21_3886
ko:K05780	ypu:BZ21_3887
ko:K05781	ypu:BZ21_3888
ko:K06163	ypu:BZ21_3889
ko:K06164	ypu:BZ21_3890
ko:K06165	ypu:BZ21_3891
ko:K06166	ypu:BZ21_3892
ko:K02043	ypu:BZ21_3893
ko:K02034	ypu:BZ21_3899
ko:K02033	ypu:BZ21_3900
ko:K02035	ypu:BZ21_3901
ko:K00611	ypu:BZ21_3903
ko:K09893	ypu:BZ21_3904
ko:K03828	ypu:BZ21_3905
ko:K01873	ypu:BZ21_3906
ko:K02339	ypu:BZ21_3907
ko:K01255	ypu:BZ21_3908
ko:K07091	ypu:BZ21_3909
ko:K11720	ypu:BZ21_3910
ko:K01153	ypu:BZ21_3915
ko:K01154	ypu:BZ21_3916
ko:K03427	ypu:BZ21_3917
ko:K11202	ypu:BZ21_3921
ko:K01993	ypu:BZ21_475
ko:K11927	ypu:BZ21_477
ko:K05541	ypu:BZ21_484
ko:K07262	ypu:BZ21_486
ko:K03777	ypu:BZ21_487
ko:K05873	ypu:BZ21_488
ko:K02041	ypu:BZ21_492
ko:K02044	ypu:BZ21_493
ko:K02042	ypu:BZ21_494
ko:K02042	ypu:BZ21_495
ko:K11959	ypu:BZ21_497
ko:K11960	ypu:BZ21_498
ko:K11961	ypu:BZ21_499
ko:K11962	ypu:BZ21_500
ko:K11963	ypu:BZ21_501
ko:K01011	ypu:BZ21_504
ko:K05845	ypu:BZ21_505
ko:K05846	ypu:BZ21_506
ko:K05847	ypu:BZ21_507
ko:K05846	ypu:BZ21_508
ko:K03759	ypu:BZ21_509
ko:K01584	ypu:BZ21_510
ko:K03781	ypu:BZ21_515
ko:K03834	ypu:BZ21_517
ko:K08276	ypu:BZ21_519
ko:K11107	ypu:BZ21_520
ko:K00568	ypu:BZ21_523
ko:K02469	ypu:BZ21_524
ko:K07677	ypu:BZ21_525
ko:K09786	ypu:BZ21_1359
ko:K07180	ypu:BZ21_1360
ko:K01792	ypu:BZ21_1362
ko:K00134	ypu:BZ21_1363
ko:K07305	ypu:BZ21_1364
ko:K09916	ypu:BZ21_1365
ko:K08281	ypu:BZ21_1366
ko:K01424	ypu:BZ21_1367
ko:K04773	ypu:BZ21_1368
ko:K01008	ypu:BZ21_1370
ko:K03169	ypu:BZ21_1371
ko:K08320	ypu:BZ21_1373
ko:K01142	ypu:BZ21_1374
ko:K01433	ypu:BZ21_1378
ko:K09858	ypu:BZ21_1379
ko:K00012	ypu:BZ21_1381
ko:K03746	ypu:BZ21_1382
ko:K04072	ypu:BZ21_1384
ko:K15580	ypu:BZ21_1386
ko:K15581	ypu:BZ21_1387
ko:K15582	ypu:BZ21_1388
ko:K15583	ypu:BZ21_1389
ko:K10823	ypu:BZ21_1390
ko:K09901	ypu:BZ21_1392
ko:K06131	ypu:BZ21_1393
ko:K09981	ypu:BZ21_1396
ko:K09780	ypu:BZ21_1397
ko:K03832	ypu:BZ21_1399
ko:K10806	ypu:BZ21_1400
ko:K06190	ypu:BZ21_1401
ko:K07275	ypu:BZ21_1404
ko:K01695	ypu:BZ21_1406
ko:K01696	ypu:BZ21_1407
ko:K13498	ypu:BZ21_1408
ko:K00766	ypu:BZ21_1409
ko:K01658	ypu:BZ21_1410
ko:K07160	ypu:BZ21_2211
ko:K01669	ypu:BZ21_2217
ko:K01546	ypu:BZ21_2220
ko:K01547	ypu:BZ21_2221
ko:K01548	ypu:BZ21_2222
ko:K07646	ypu:BZ21_2223
ko:K07667	ypu:BZ21_2224
ko:K08978	ypu:BZ21_2225
ko:K01835	ypu:BZ21_2228
ko:K03645	ypu:BZ21_2229
ko:K03478	ypu:BZ21_2232
ko:K03490	ypu:BZ21_2233
ko:K02759	ypu:BZ21_2234
ko:K02761	ypu:BZ21_2235
ko:K02760	ypu:BZ21_2236
ko:K06199	ypu:BZ21_2237
ko:K06199	ypu:BZ21_2238
ko:K10716	ypu:BZ21_2239
ko:K07241	ypu:BZ21_2241
ko:K08717	ypu:BZ21_2242
ko:K03190	ypu:BZ21_2243
ko:K03189	ypu:BZ21_2244
ko:K03188	ypu:BZ21_2245
ko:K03187	ypu:BZ21_2246
ko:K01428	ypu:BZ21_2247
ko:K01429	ypu:BZ21_2248
ko:K01430	ypu:BZ21_2249
ko:K02034	ypu:BZ21_2253
ko:K02033	ypu:BZ21_2254
ko:K02035	ypu:BZ21_2255
ko:K03704	ypu:BZ21_2256
ko:K03647	ypu:BZ21_2262
ko:K06915	ypu:BZ21_3065
ko:K03767	ypu:BZ21_3066
ko:K01222	ypu:BZ21_3068
ko:K02014	ypu:BZ21_3070
ko:K06141	ypu:BZ21_3071
ko:K01485	ypu:BZ21_3072
ko:K00362	ypu:BZ21_3073
ko:K00363	ypu:BZ21_3074
ko:K02598	ypu:BZ21_3075
ko:K02302	ypu:BZ21_3076
ko:K01867	ypu:BZ21_3077
ko:K01091	ypu:BZ21_3078
ko:K01783	ypu:BZ21_3079
ko:K03112	ypu:BZ21_3081
ko:K01735	ypu:BZ21_3082
ko:K00891	ypu:BZ21_3083
ko:K02507	ypu:BZ21_3084
ko:K12291	ypu:BZ21_3085
ko:K12290	ypu:BZ21_3086
ko:K12289	ypu:BZ21_3087
ko:K12288	ypu:BZ21_3088
ko:K05366	ypu:BZ21_3089
ko:K08312	ypu:BZ21_3090
ko:K04762	ypu:BZ21_3094
ko:K04083	ypu:BZ21_3095
ko:K01610	ypu:BZ21_3096
ko:K07638	ypu:BZ21_3097
ko:K07659	ypu:BZ21_3098
ko:K04760	ypu:BZ21_3099
ko:K06180	ypu:BZ21_87
ko:K05810	ypu:BZ21_88
ko:K03695	ypu:BZ21_89
ko:K05811	ypu:BZ21_95
ko:K00998	ypu:BZ21_96
ko:K05812	ypu:BZ21_98
ko:K03672	ypu:BZ21_99
ko:K03214	ypu:BZ21_100
ko:K03446	ypu:BZ21_101
ko:K03543	ypu:BZ21_102
ko:K15974	ypu:BZ21_103
ko:K02030	ypu:BZ21_111
ko:K02029	ypu:BZ21_112
ko:K02029	ypu:BZ21_113
ko:K02028	ypu:BZ21_114
ko:K02083	ypu:BZ21_116
ko:K14287	ypu:BZ21_118
ko:K08964	ypu:BZ21_119
ko:K09880	ypu:BZ21_120
ko:K08967	ypu:BZ21_121
ko:K08963	ypu:BZ21_122
ko:K00899	ypu:BZ21_123
ko:K06445	ypu:BZ21_128
ko:K03271	ypu:BZ21_129
ko:K00346	ypu:BZ21_132
ko:K00347	ypu:BZ21_133
ko:K00348	ypu:BZ21_134
ko:K00349	ypu:BZ21_135
ko:K00350	ypu:BZ21_136
ko:K00351	ypu:BZ21_137
ko:K03734	ypu:BZ21_138
ko:K05952	ypu:BZ21_139
ko:K02014	ypu:BZ21_979
ko:K02795	ypu:BZ21_983
ko:K02793	ypu:BZ21_984
ko:K02794	ypu:BZ21_984
ko:K05921	ypu:BZ21_987
ko:K05921	ypu:BZ21_988
ko:K00151	ypu:BZ21_989
ko:K00455	ypu:BZ21_990
ko:K01826	ypu:BZ21_991
ko:K02509	ypu:BZ21_992
ko:K02510	ypu:BZ21_993
ko:K02511	ypu:BZ21_994
ko:K00483	ypu:BZ21_995
ko:K00484	ypu:BZ21_996
ko:K01752	ypu:BZ21_997
ko:K01665	ypu:BZ21_999
ko:K09917	ypu:BZ21_1000
ko:K08289	ypu:BZ21_1001
ko:K05591	ypu:BZ21_1002
ko:K09918	ypu:BZ21_1003
ko:K09900	ypu:BZ21_1004
ko:K01354	ypu:BZ21_1006
ko:K01259	ypu:BZ21_1007
ko:K02345	ypu:BZ21_1008
ko:K02217	ypu:BZ21_1009
ko:K07156	ypu:BZ21_1010
ko:K07245	ypu:BZ21_1011
ko:K02401	ypu:BZ21_1017
ko:K02400	ypu:BZ21_1018
ko:K03516	ypu:BZ21_1019
ko:K02399	ypu:BZ21_1021
ko:K02398	ypu:BZ21_1022
ko:K02386	ypu:BZ21_1023
ko:K02387	ypu:BZ21_1024
ko:K02388	ypu:BZ21_1025
ko:K02389	ypu:BZ21_1026
ko:K02390	ypu:BZ21_1027
ko:K02391	ypu:BZ21_1028
ko:K02392	ypu:BZ21_1029
ko:K02393	ypu:BZ21_1030
ko:K00598	ypu:BZ21_1842
ko:K04047	ypu:BZ21_1843
ko:K10036	ypu:BZ21_1845
ko:K10037	ypu:BZ21_1846
ko:K10038	ypu:BZ21_1847
ko:K03406	ypu:BZ21_1848
ko:K06970	ypu:BZ21_1849
ko:K01911	ypu:BZ21_1852
ko:K02549	ypu:BZ21_1853
ko:K01661	ypu:BZ21_1854
ko:K08680	ypu:BZ21_1855
ko:K02551	ypu:BZ21_1856
ko:K02552	ypu:BZ21_1857
ko:K05594	ypu:BZ21_1859
ko:K01690	ypu:BZ21_1861
ko:K00046	ypu:BZ21_1867
ko:K00851	ypu:BZ21_1868
ko:K00343	ypu:BZ21_1871
ko:K00342	ypu:BZ21_1872
ko:K00341	ypu:BZ21_1873
ko:K00340	ypu:BZ21_1874
ko:K00339	ypu:BZ21_1875
ko:K00338	ypu:BZ21_1876
ko:K00337	ypu:BZ21_1877
ko:K00335	ypu:BZ21_1879
ko:K00334	ypu:BZ21_1880
ko:K13378	ypu:BZ21_1881
ko:K00331	ypu:BZ21_1882
ko:K00330	ypu:BZ21_1883
ko:K14260	ypu:BZ21_1885
ko:K08722	ypu:BZ21_1886
ko:K09161	ypu:BZ21_1890
ko:K03272	ypu:BZ21_2689
ko:K00982	ypu:BZ21_2690
ko:K18446	ypu:BZ21_2691
ko:K07184	ypu:BZ21_2692
ko:K00974	ypu:BZ21_2693
ko:K06153	ypu:BZ21_2694
ko:K01633	ypu:BZ21_2695
ko:K08591	ypu:BZ21_2696
ko:K01409	ypu:BZ21_2697
ko:K02970	ypu:BZ21_2698
ko:K03086	ypu:BZ21_2700
ko:K06202	ypu:BZ21_3545
ko:K01778	ypu:BZ21_3547
ko:K09921	ypu:BZ21_3548
ko:K03733	ypu:BZ21_3549
ko:K03657	ypu:BZ21_3551
ko:K03284	ypu:BZ21_3555
ko:K05786	ypu:BZ21_3556
ko:K01058	ypu:BZ21_3558
ko:K03654	ypu:BZ21_3559
ko:K05835	ypu:BZ21_3560
ko:K05834	ypu:BZ21_3561
ko:K01048	ypu:BZ21_3562
ko:K01126	ypu:BZ21_3565
ko:K00111	ypu:BZ21_3566
ko:K00112	ypu:BZ21_3567
ko:K00113	ypu:BZ21_3568
ko:K09125	ypu:BZ21_3570
ko:K04085	ypu:BZ21_3571
ko:K01534	ypu:BZ21_3572
ko:K08993	ypu:BZ21_3576
ko:K08316	ypu:BZ21_3577
ko:K03110	ypu:BZ21_3578
ko:K09812	ypu:BZ21_3579
ko:K09811	ypu:BZ21_3580
ko:K03089	ypu:BZ21_3581
ko:K01999	ypu:BZ21_3583
ko:K01997	ypu:BZ21_3584
ko:K01998	ypu:BZ21_3585
ko:K01995	ypu:BZ21_3586
ko:K01996	ypu:BZ21_3587
ko:K05813	ypu:BZ21_3595
ko:K06959	ypu:BZ21_3100
ko:K04758	ypu:BZ21_3101
ko:K04759	ypu:BZ21_3102
ko:K07490	ypu:BZ21_3103
ko:K02170	ypu:BZ21_3105
ko:K07400	ypu:BZ21_3107
ko:K00705	ypu:BZ21_3108
ko:K00688	ypu:BZ21_3109
ko:K03556	ypu:BZ21_3110
ko:K02439	ypu:BZ21_3111
ko:K02441	ypu:BZ21_3112
ko:K02444	ypu:BZ21_3113
ko:K00111	ypu:BZ21_3116
ko:K00688	ypu:BZ21_3117
ko:K11202	ypu:BZ21_3923
ko:K11203	ypu:BZ21_3924
ko:K08483	ypu:BZ21_3925
ko:K11189	ypu:BZ21_3925
ko:K11201	ypu:BZ21_3925
ko:K11530	ypu:BZ21_3927
ko:K08321	ypu:BZ21_3928
ko:K10555	ypu:BZ21_3929
ko:K10557	ypu:BZ21_3930
ko:K10556	ypu:BZ21_3931
ko:K10558	ypu:BZ21_3932
ko:K11531	ypu:BZ21_3933
ko:K11216	ypu:BZ21_3934
ko:K02849	ypu:BZ21_3935
ko:K11717	ypu:BZ21_3937
ko:K01051	ypu:BZ21_3946
ko:K00564	ypu:BZ21_3952
ko:K02344	ypu:BZ21_3953
ko:K03789	ypu:BZ21_3954
ko:K02837	ypu:BZ21_3955
ko:K04065	ypu:BZ21_3956
ko:K03424	ypu:BZ21_3959
ko:K03317	ypu:BZ21_3960
ko:K01619	ypu:BZ21_3961
ko:K00758	ypu:BZ21_3962
ko:K01839	ypu:BZ21_3963
ko:K03784	ypu:BZ21_3964
ko:K07186	ypu:BZ21_3965
ko:K01079	ypu:BZ21_3966
ko:K04485	ypu:BZ21_3967
ko:K06211	ypu:BZ21_3968
ko:K08309	ypu:BZ21_3975
ko:K03720	ypu:BZ21_3977
ko:K02346	ypu:BZ21_141
ko:K01270	ypu:BZ21_142
ko:K00769	ypu:BZ21_146
ko:K11750	ypu:BZ21_147
ko:K11926	ypu:BZ21_148
ko:K00931	ypu:BZ21_149
ko:K00147	ypu:BZ21_150
ko:K00891	ypu:BZ21_155
ko:K09913	ypu:BZ21_156
ko:K03554	ypu:BZ21_157
ko:K00847	ypu:BZ21_158
ko:K03547	ypu:BZ21_160
ko:K07687	ypu:BZ21_526
ko:K07676	ypu:BZ21_527
ko:K09475	ypu:BZ21_530
ko:K18988	ypu:BZ21_533
ko:K16210	ypu:BZ21_534
ko:K03406	ypu:BZ21_536
ko:K01223	ypu:BZ21_562
ko:K07014	ypu:BZ21_570
ko:K09904	ypu:BZ21_571
ko:K06899	ypu:BZ21_572
ko:K02897	ypu:BZ21_573
ko:K06183	ypu:BZ21_575
ko:K07552	ypu:BZ21_576
ko:K13896	ypu:BZ21_578
ko:K13895	ypu:BZ21_579
ko:K13894	ypu:BZ21_580
ko:K13893	ypu:BZ21_581
ko:K13694	ypu:BZ21_583
ko:K01657	ypu:BZ21_1411
ko:K07053	ypu:BZ21_1412
ko:K06178	ypu:BZ21_1414
ko:K04774	ypu:BZ21_1417
ko:K03168	ypu:BZ21_1420
ko:K13634	ypu:BZ21_1421
ko:K01681	ypu:BZ21_1423
ko:K01497	ypu:BZ21_1424
ko:K08992	ypu:BZ21_1426
ko:K01591	ypu:BZ21_1429
ko:K03113	ypu:BZ21_1430
ko:K04062	ypu:BZ21_1431
ko:K08313	ypu:BZ21_1434
ko:K06200	ypu:BZ21_1436
ko:K01147	ypu:BZ21_1437
ko:K10773	ypu:BZ21_1440
ko:K03613	ypu:BZ21_1441
ko:K03612	ypu:BZ21_1442
ko:K03614	ypu:BZ21_1443
ko:K03615	ypu:BZ21_1445
ko:K03616	ypu:BZ21_1446
ko:K03617	ypu:BZ21_1447
ko:K12530	ypu:BZ21_1449
ko:K12532	ypu:BZ21_1450
ko:K12531	ypu:BZ21_1451
ko:K01804	ypu:BZ21_1453
ko:K00853	ypu:BZ21_1454
ko:K10537	ypu:BZ21_1455
ko:K10539	ypu:BZ21_1456
ko:K10538	ypu:BZ21_1457
ko:K02099	ypu:BZ21_1458
ko:K14347	ypu:BZ21_1460
ko:K01488	ypu:BZ21_1461
ko:K02000	ypu:BZ21_2265
ko:K02001	ypu:BZ21_2266
ko:K02002	ypu:BZ21_2267
ko:K16842	ypu:BZ21_2268
ko:K03457	ypu:BZ21_2269
ko:K02342	ypu:BZ21_2271
ko:K03469	ypu:BZ21_2272
ko:K01069	ypu:BZ21_2274
ko:K08307	ypu:BZ21_2275
ko:K06222	ypu:BZ21_2278
ko:K03273	ypu:BZ21_2285
ko:K02071	ypu:BZ21_2286
ko:K02072	ypu:BZ21_2287
ko:K02073	ypu:BZ21_2288
ko:K06080	ypu:BZ21_2289
ko:K01881	ypu:BZ21_2291
ko:K06079	ypu:BZ21_2292
ko:K15034	ypu:BZ21_2293
ko:K19000	ypu:BZ21_2296
ko:K04075	ypu:BZ21_2298
ko:K08234	ypu:BZ21_2299
ko:K01962	ypu:BZ21_2300
ko:K02337	ypu:BZ21_2301
ko:K03470	ypu:BZ21_2302
ko:K00748	ypu:BZ21_2303
ko:K00677	ypu:BZ21_2304
ko:K02372	ypu:BZ21_2305
ko:K02536	ypu:BZ21_2306
ko:K06142	ypu:BZ21_2307
ko:K07277	ypu:BZ21_2308
ko:K11749	ypu:BZ21_2309
ko:K00981	ypu:BZ21_2310
ko:K02777	ypu:BZ21_2022
ko:K07657	ypu:BZ21_161
ko:K07636	ypu:BZ21_162
ko:K02040	ypu:BZ21_163
ko:K03311	ypu:BZ21_164
ko:K11736	ypu:BZ21_165
ko:K01187	ypu:BZ21_166
ko:K00681	ypu:BZ21_168
ko:K03386	ypu:BZ21_169
ko:K08682	ypu:BZ21_171
ko:K07568	ypu:BZ21_172
ko:K00773	ypu:BZ21_173
ko:K03210	ypu:BZ21_174
ko:K03072	ypu:BZ21_175
ko:K03074	ypu:BZ21_176
ko:K07738	ypu:BZ21_178
ko:K11752	ypu:BZ21_179
ko:K00794	ypu:BZ21_180
ko:K03625	ypu:BZ21_181
ko:K00946	ypu:BZ21_182
ko:K01095	ypu:BZ21_183
ko:K01662	ypu:BZ21_184
ko:K00795	ypu:BZ21_185
ko:K03602	ypu:BZ21_186
ko:K03151	ypu:BZ21_187
ko:K03152	ypu:BZ21_188
ko:K00077	ypu:BZ21_189
ko:K09767	ypu:BZ21_190
ko:K02300	ypu:BZ21_193
ko:K02299	ypu:BZ21_194
ko:K02298	ypu:BZ21_195
ko:K02394	ypu:BZ21_1031
ko:K02395	ypu:BZ21_1032
ko:K02396	ypu:BZ21_1033
ko:K02397	ypu:BZ21_1034
ko:K02057	ypu:BZ21_1038
ko:K02058	ypu:BZ21_1039
ko:K02056	ypu:BZ21_1040
ko:K02057	ypu:BZ21_1041
ko:K02421	ypu:BZ21_1045
ko:K02420	ypu:BZ21_1046
ko:K02419	ypu:BZ21_1047
ko:K02418	ypu:BZ21_1048
ko:K02417	ypu:BZ21_1049
ko:K02416	ypu:BZ21_1050
ko:K02415	ypu:BZ21_1051
ko:K02414	ypu:BZ21_1052
ko:K02413	ypu:BZ21_1053
ko:K02412	ypu:BZ21_1054
ko:K02411	ypu:BZ21_1055
ko:K02410	ypu:BZ21_1056
ko:K02409	ypu:BZ21_1057
ko:K02408	ypu:BZ21_1058
ko:K07341	ypu:BZ21_1060
ko:K01247	ypu:BZ21_1061
ko:K02423	ypu:BZ21_1064
ko:K02422	ypu:BZ21_1065
ko:K02407	ypu:BZ21_1066
ko:K02406	ypu:BZ21_1067
ko:K02405	ypu:BZ21_1068
ko:K02425	ypu:BZ21_1069
ko:K05396	ypu:BZ21_1070
ko:K02424	ypu:BZ21_1071
ko:K10009	ypu:BZ21_1072
ko:K10010	ypu:BZ21_1073
ko:K13821	ypu:BZ21_1076
ko:K11928	ypu:BZ21_1078
ko:K07243	ypu:BZ21_1079
ko:K07224	ypu:BZ21_1080
ko:K16301	ypu:BZ21_1081
ko:K03809	ypu:BZ21_1082
ko:K17948	ypu:BZ21_1083
ko:K09899	ypu:BZ21_1891
ko:K00925	ypu:BZ21_1892
ko:K13788	ypu:BZ21_1893
ko:K02821	ypu:BZ21_1895
ko:K02822	ypu:BZ21_1896
ko:K03475	ypu:BZ21_1897
ko:K07095	ypu:BZ21_1899
ko:K07071	ypu:BZ21_1901
ko:K10017	ypu:BZ21_1902
ko:K10015	ypu:BZ21_1903
ko:K10016	ypu:BZ21_1904
ko:K03186	ypu:BZ21_1907
ko:K00764	ypu:BZ21_1908
ko:K03558	ypu:BZ21_1909
ko:K03749	ypu:BZ21_1910
ko:K11754	ypu:BZ21_1911
ko:K01963	ypu:BZ21_1912
ko:K03975	ypu:BZ21_1913
ko:K06173	ypu:BZ21_1914
ko:K03473	ypu:BZ21_1916
ko:K01779	ypu:BZ21_1921
ko:K00647	ypu:BZ21_1922
ko:K15461	ypu:BZ21_1923
ko:K09906	ypu:BZ21_1925
ko:K07090	ypu:BZ21_1926
ko:K07261	ypu:BZ21_1927
ko:K01736	ypu:BZ21_1928
ko:K07320	ypu:BZ21_1929
ko:K08296	ypu:BZ21_1931
ko:K01782	ypu:BZ21_1932
ko:K06076	ypu:BZ21_1935
ko:K04754	ypu:BZ21_1936
ko:K02200	ypu:BZ21_1938
ko:K02199	ypu:BZ21_1939
ko:K02198	ypu:BZ21_1940
ko:K02197	ypu:BZ21_1941
ko:K02196	ypu:BZ21_1942
ko:K04095	ypu:BZ21_2742
ko:K07396	ypu:BZ21_2746
ko:K15549	ypu:BZ21_2756
ko:K15547	ypu:BZ21_2757
ko:K05349	ypu:BZ21_2759
ko:K02026	ypu:BZ21_2761
ko:K02025	ypu:BZ21_2762
ko:K02027	ypu:BZ21_2763
ko:K02529	ypu:BZ21_2764
ko:K10112	ypu:BZ21_2766
ko:K15125	ypu:BZ21_2783
ko:K00219	ypu:BZ21_2792
ko:K07043	ypu:BZ21_2795
ko:K05814	ypu:BZ21_3596
ko:K05815	ypu:BZ21_3597
ko:K05816	ypu:BZ21_3598
ko:K01126	ypu:BZ21_3599
ko:K07088	ypu:BZ21_3600
ko:K03576	ypu:BZ21_3603
ko:K00549	ypu:BZ21_3605
ko:K01061	ypu:BZ21_3606
ko:K00757	ypu:BZ21_3607
ko:K06200	ypu:BZ21_3609
ko:K09760	ypu:BZ21_3611
ko:K03183	ypu:BZ21_3612
ko:K03690	ypu:BZ21_3613
ko:K03688	ypu:BZ21_3614
ko:K03116	ypu:BZ21_3615
ko:K03117	ypu:BZ21_3616
ko:K03118	ypu:BZ21_3617
ko:K03424	ypu:BZ21_3618
ko:K01698	ypu:BZ21_3619
ko:K05785	ypu:BZ21_3620
ko:K03182	ypu:BZ21_3621
ko:K05368	ypu:BZ21_3622
ko:K01825	ypu:BZ21_3624
ko:K03498	ypu:BZ21_3627
ko:K00230	ypu:BZ21_3628
ko:K00075	ypu:BZ21_3634
ko:K03524	ypu:BZ21_3635
ko:K00867	ypu:BZ21_3636
ko:K02358	ypu:BZ21_3642
ko:K03073	ypu:BZ21_3643
ko:K02601	ypu:BZ21_3644
ko:K02867	ypu:BZ21_3645
ko:K02863	ypu:BZ21_3646
ko:K02864	ypu:BZ21_3647
ko:K02935	ypu:BZ21_3648
ko:K03043	ypu:BZ21_3650
ko:K00806	ypu:BZ21_2311
ko:K00099	ypu:BZ21_2312
ko:K02838	ypu:BZ21_2313
ko:K09903	ypu:BZ21_2314
ko:K02357	ypu:BZ21_2315
ko:K00703	ypu:BZ21_3118
