ko:K07062	xcj:J158_04449
ko:K04077	xcj:J158_00661
ko:K01626	xcj:J158_00664
ko:K01053	xcj:J158_00667
ko:K00982	xcj:J158_00669
ko:K09125	xcj:J158_00670
ko:K07276	xcj:J158_00672
ko:K09019	xcj:J158_00673
ko:K01093	xcj:J158_00675
ko:K13929	xcj:J158_00678
ko:K13931	xcj:J158_00679
ko:K13932	xcj:J158_00680
ko:K13933	xcj:J158_00681
ko:K13934	xcj:J158_00682
ko:K13930	xcj:J158_00683
ko:K00645	xcj:J158_00685
ko:K01091	xcj:J158_00688
ko:K07315	xcj:J158_00691
ko:K01224	xcj:J158_00694
ko:K00163	xcj:J158_00695
ko:K07497	xcj:J158_00696
ko:K07483	xcj:J158_00697
ko:K07393	xcj:J158_00703
ko:K06983	xcj:J158_00714
ko:K01713	xcj:J158_00716
ko:K11737	xcj:J158_00719
ko:K03284	xcj:J158_00721
ko:K01194	xcj:J158_00723
ko:K05522	xcj:J158_00725
ko:K03321	xcj:J158_00733
ko:K03669	xcj:J158_00737
ko:K06999	xcj:J158_00738
ko:K08082	xcj:J158_00739
ko:K08083	xcj:J158_00740
ko:K01749	xcj:J158_00741
ko:K07283	xcj:J158_00742
ko:K03098	xcj:J158_00744
ko:K01322	xcj:J158_00746
ko:K01354	xcj:J158_00749
ko:K09790	xcj:J158_00750
ko:K01778	xcj:J158_00752
ko:K09921	xcj:J158_00753
ko:K03733	xcj:J158_00754
ko:K01419	xcj:J158_00755
ko:K03667	xcj:J158_00756
ko:K01485	xcj:J158_00757
ko:K02348	xcj:J158_00758
ko:K03183	xcj:J158_00761
ko:K00121	xcj:J158_00770
ko:K00856	xcj:J158_00773
ko:K03569	xcj:J158_00774
ko:K03570	xcj:J158_00775
ko:K03571	xcj:J158_00776
ko:K05515	xcj:J158_00777
ko:K05837	xcj:J158_00778
ko:K08305	xcj:J158_00780
ko:K03642	xcj:J158_00781
ko:K07258	xcj:J158_00782
ko:K09158	xcj:J158_00784
ko:K03801	xcj:J158_00785
ko:K03644	xcj:J158_00786
ko:K03797	xcj:J158_00787
ko:K07090	xcj:J158_00788
ko:K00033	xcj:J158_00798
ko:K04065	xcj:J158_00800
ko:K00950	xcj:J158_00804
ko:K03793	xcj:J158_00805
ko:K02014	xcj:J158_00808
ko:K00472	xcj:J158_00809
ko:K02452	xcj:J158_00812
ko:K02453	xcj:J158_00813
ko:K02454	xcj:J158_00814
ko:K02455	xcj:J158_00815
ko:K02456	xcj:J158_00816
ko:K02457	xcj:J158_00817
ko:K02458	xcj:J158_00818
ko:K02459	xcj:J158_00819
ko:K02460	xcj:J158_00820
ko:K02461	xcj:J158_00821
ko:K02462	xcj:J158_00822
ko:K02463	xcj:J158_00823
ko:K01190	xcj:J158_00826
ko:K01205	xcj:J158_00827
ko:K03710	xcj:J158_00830
ko:K02529	xcj:J158_00832
ko:K00820	xcj:J158_00833
ko:K01443	xcj:J158_00834
ko:K02014	xcj:J158_00835
ko:K00974	xcj:J158_00836
ko:K02168	xcj:J158_00839
ko:K03673	xcj:J158_00841
ko:K03673	xcj:J158_00842
ko:K03978	xcj:J158_00845
ko:K15012	xcj:J158_01941
ko:K15011	xcj:J158_01942
ko:K03526	xcj:J158_01943
ko:K19302	xcj:J158_01944
ko:K01779	xcj:J158_01946
ko:K00075	xcj:J158_01948
ko:K00254	xcj:J158_01949
ko:K00128	xcj:J158_01952
ko:K11936	xcj:J158_01955
ko:K11931	xcj:J158_01956
ko:K07326	xcj:J158_01958
ko:K15125	xcj:J158_01959
ko:K12524	xcj:J158_01964
ko:K00872	xcj:J158_01965
ko:K01733	xcj:J158_01967
ko:K01892	xcj:J158_01970
ko:K00765	xcj:J158_01972
ko:K00013	xcj:J158_01973
ko:K00817	xcj:J158_01974
ko:K01089	xcj:J158_01975
ko:K02501	xcj:J158_01976
ko:K01814	xcj:J158_01977
ko:K02500	xcj:J158_01978
ko:K11755	xcj:J158_01979
ko:K09880	xcj:J158_01982
ko:K08967	xcj:J158_01983
ko:K08964	xcj:J158_01984
ko:K03294	xcj:J158_01985
ko:K03294	xcj:J158_01986
ko:K00058	xcj:J158_01988
ko:K02356	xcj:J158_01993
ko:K03110	xcj:J158_02720
ko:K03575	xcj:J158_02721
ko:K05984	xcj:J158_02726
ko:K03098	xcj:J158_02729
ko:K01662	xcj:J158_02733
ko:K00720	xcj:J158_02736
ko:K00648	xcj:J158_02739
ko:K09705	xcj:J158_02741
ko:K13660	xcj:J158_02742
ko:K13659	xcj:J158_02744
ko:K13657	xcj:J158_02747
ko:K13663	xcj:J158_02749
ko:K13662	xcj:J158_02750
ko:K01991	xcj:J158_02753
ko:K04764	xcj:J158_02756
ko:K01890	xcj:J158_02757
ko:K01889	xcj:J158_02758
ko:K02887	xcj:J158_02759
ko:K02916	xcj:J158_02760
ko:K02520	xcj:J158_02762
ko:K01262	xcj:J158_03568
ko:K09895	xcj:J158_03569
ko:K09892	xcj:J158_03570
ko:K09888	xcj:J158_03571
ko:K01934	xcj:J158_03573
ko:K01807	xcj:J158_03575
ko:K09005	xcj:J158_03576
ko:K00788	xcj:J158_03579
ko:K01845	xcj:J158_03582
ko:K03556	xcj:J158_03583
ko:K00817	xcj:J158_03585
ko:K00274	xcj:J158_03588
ko:K02014	xcj:J158_03589
ko:K10716	xcj:J158_03592
ko:K07157	xcj:J158_03597
ko:K02558	xcj:J158_03598
ko:K00939	xcj:J158_03599
ko:K15987	xcj:J158_03602
ko:K01507	xcj:J158_03604
ko:K02014	xcj:J158_03606
ko:K07506	xcj:J158_03607
ko:K03147	xcj:J158_03609
ko:K02014	xcj:J158_03611
ko:K00681	xcj:J158_03613
ko:K00053	xcj:J158_03614
ko:K01652	xcj:J158_03615
ko:K11258	xcj:J158_03616
ko:K01754	xcj:J158_03617
ko:K01649	xcj:J158_03618
ko:K00052	xcj:J158_03619
ko:K01704	xcj:J158_03620
ko:K08151	xcj:J158_04428
ko:K01792	xcj:J158_04429
ko:K09858	xcj:J158_04431
ko:K07090	xcj:J158_04432
ko:K01495	xcj:J158_04436
ko:K06075	xcj:J158_04437
ko:K03761	xcj:J158_04442
ko:K07559	xcj:J158_04443
ko:K06131	xcj:J158_04444
ko:K06177	xcj:J158_04454
ko:K07483	xcj:J158_04456
ko:K07497	xcj:J158_04457
ko:K09958	xcj:J158_04458
ko:K01941	xcj:J158_04460
ko:K09958	xcj:J158_04463
ko:K03581	xcj:J158_04468
ko:K03582	xcj:J158_04471
ko:K03583	xcj:J158_04472
ko:K02065	xcj:J158_04474
ko:K02066	xcj:J158_04475
ko:K02067	xcj:J158_04476
ko:K07323	xcj:J158_04477
ko:K07122	xcj:J158_04478
ko:K04754	xcj:J158_04479
ko:K00432	xcj:J158_04481
ko:K10941	xcj:J158_02113
ko:K03092	xcj:J158_02115
ko:K02422	xcj:J158_02119
ko:K02407	xcj:J158_02120
ko:K02406	xcj:J158_02121
ko:K02397	xcj:J158_02122
ko:K02396	xcj:J158_02123
ko:K02395	xcj:J158_02124
ko:K02394	xcj:J158_02125
ko:K02393	xcj:J158_02126
ko:K02392	xcj:J158_02127
ko:K02391	xcj:J158_02128
ko:K02390	xcj:J158_02129
ko:K02389	xcj:J158_02130
ko:K02388	xcj:J158_02131
ko:K02387	xcj:J158_02132
ko:K03415	xcj:J158_02133
ko:K02386	xcj:J158_02134
ko:K02398	xcj:J158_02135
ko:K03406	xcj:J158_02142
ko:K07153	xcj:J158_02143
ko:K00566	xcj:J158_02144
ko:K06891	xcj:J158_02146
ko:K03694	xcj:J158_02147
ko:K02518	xcj:J158_02148
ko:K00684	xcj:J158_02149
ko:K09919	xcj:J158_02150
ko:K00384	xcj:J158_02151
ko:K03466	xcj:J158_02152
ko:K03634	xcj:J158_02154
ko:K07478	xcj:J158_02156
ko:K06199	xcj:J158_02158
ko:K07516	xcj:J158_02161
ko:K01077	xcj:J158_02928
ko:K04075	xcj:J158_02929
ko:K03602	xcj:J158_02930
ko:K00795	xcj:J158_02931
ko:K08646	xcj:J158_02932
ko:K09940	xcj:J158_02933
ko:K03592	xcj:J158_02934
ko:K09889	xcj:J158_02935
ko:K03568	xcj:J158_02936
ko:K08301	xcj:J158_02939
ko:K06287	xcj:J158_02940
ko:K09807	xcj:J158_02941
ko:K03832	xcj:J158_02943
ko:K00783	xcj:J158_02944
ko:K07093	xcj:J158_02945
ko:K09710	xcj:J158_02946
ko:K00969	xcj:J158_02947
ko:K02340	xcj:J158_02948
ko:K03643	xcj:J158_02949
ko:K01869	xcj:J158_02950
ko:K05838	xcj:J158_02952
ko:K09779	xcj:J158_02957
ko:K18893	xcj:J158_02965
ko:K02553	xcj:J158_02976
ko:K07017	xcj:J158_03781
ko:K01091	xcj:J158_03783
ko:K02346	xcj:J158_03784
ko:K01716	xcj:J158_03785
ko:K00647	xcj:J158_03786
ko:K01414	xcj:J158_03788
ko:K01738	xcj:J158_03789
ko:K07233	xcj:J158_03792
ko:K01759	xcj:J158_03793
ko:K00820	xcj:J158_03799
ko:K02005	xcj:J158_03800
ko:K02003	xcj:J158_03801
ko:K02004	xcj:J158_03802
ko:K02004	xcj:J158_03803
ko:K04042	xcj:J158_03806
ko:K04093	xcj:J158_03808
ko:K02114	xcj:J158_03809
ko:K02112	xcj:J158_03810
ko:K02115	xcj:J158_03811
ko:K02111	xcj:J158_03812
ko:K02113	xcj:J158_03813
ko:K02109	xcj:J158_03814
ko:K02110	xcj:J158_03815
ko:K02108	xcj:J158_03816
ko:K00382	xcj:J158_03820
ko:K00627	xcj:J158_03822
ko:K07275	xcj:J158_03825
ko:K02073	xcj:J158_03828
ko:K02072	xcj:J158_03829
ko:K02071	xcj:J158_03830
ko:K01640	xcj:J158_01995
ko:K13766	xcj:J158_01997
ko:K04758	xcj:J158_01998
ko:K04759	xcj:J158_01999
ko:K05825	xcj:J158_02002
ko:K00215	xcj:J158_02004
ko:K01956	xcj:J158_02005
ko:K01955	xcj:J158_02007
ko:K01868	xcj:J158_02763
ko:K16211	xcj:J158_02766
ko:K01187	xcj:J158_02768
ko:K01187	xcj:J158_02772
ko:K07497	xcj:J158_02774
ko:K07497	xcj:J158_02775
ko:K03201	xcj:J158_02777
ko:K03201	xcj:J158_02781
ko:K03194	xcj:J158_02786
ko:K03196	xcj:J158_02787
ko:K03204	xcj:J158_02789
ko:K03203	xcj:J158_02790
ko:K03205	xcj:J158_02792
ko:K03702	xcj:J158_02795
ko:K07483	xcj:J158_02803
ko:K07497	xcj:J158_02804
ko:K01703	xcj:J158_03621
ko:K00573	xcj:J158_03625
ko:K12340	xcj:J158_03626
ko:K02527	xcj:J158_03627
ko:K02517	xcj:J158_03628
ko:K00029	xcj:J158_03633
ko:K11103	xcj:J158_03634
ko:K07221	xcj:J158_03635
ko:K03288	xcj:J158_03637
ko:K06893	xcj:J158_03641
ko:K02012	xcj:J158_03645
ko:K07649	xcj:J158_03646
ko:K07774	xcj:J158_03647
ko:K07221	xcj:J158_03648
ko:K03300	xcj:J158_03649
ko:K00023	xcj:J158_03651
ko:K16211	xcj:J158_03653
ko:K05341	xcj:J158_03655
ko:K06949	xcj:J158_03658
ko:K14260	xcj:J158_03659
ko:K16088	xcj:J158_03662
ko:K07390	xcj:J158_03664
ko:K07497	xcj:J158_03667
ko:K07497	xcj:J158_03668
ko:K18195	xcj:J158_03669
ko:K01462	xcj:J158_03673
ko:K09760	xcj:J158_04483
ko:K00799	xcj:J158_04487
ko:K03294	xcj:J158_04489
ko:K02647	xcj:J158_04493
ko:K00865	xcj:J158_04494
ko:K01273	xcj:J158_04496
ko:K06969	xcj:J158_04498
ko:K05794	xcj:J158_04500
ko:K01126	xcj:J158_04502
ko:K02014	xcj:J158_04503
ko:K09474	xcj:J158_04504
ko:K03650	xcj:J158_04505
ko:K03217	xcj:J158_04507
ko:K03536	xcj:J158_04508
ko:K02914	xcj:J158_04509
ko:K07497	xcj:J158_00054
ko:K07497	xcj:J158_00055
ko:K03496	xcj:J158_00060
ko:K06915	xcj:J158_02609
ko:K03408	xcj:J158_02613
ko:K03406	xcj:J158_02614
ko:K03652	xcj:J158_02615
ko:K03724	xcj:J158_02616
ko:K03600	xcj:J158_02619
ko:K03599	xcj:J158_02620
ko:K00413	xcj:J158_02621
ko:K00412	xcj:J158_02622
ko:K00411	xcj:J158_02623
ko:K00799	xcj:J158_02626
ko:K06168	xcj:J158_02627
ko:K07042	xcj:J158_02630
ko:K06189	xcj:J158_02632
ko:K03284	xcj:J158_02634
ko:K00135	xcj:J158_02635
ko:K11074	xcj:J158_02636
ko:K11075	xcj:J158_02637
ko:K11076	xcj:J158_02638
ko:K03446	xcj:J158_02640
ko:K03543	xcj:J158_02641
ko:K11073	xcj:J158_02642
ko:K12256	xcj:J158_02643
ko:K01915	xcj:J158_02644
ko:K07010	xcj:J158_02645
ko:K01915	xcj:J158_02646
ko:K09471	xcj:J158_02647
ko:K02379	xcj:J158_02653
ko:K00822	xcj:J158_02655
ko:K12686	xcj:J158_03463
ko:K03154	xcj:J158_03464
ko:K03149	xcj:J158_03465
ko:K03439	xcj:J158_03466
ko:K03282	xcj:J158_03471
ko:K02529	xcj:J158_03473
ko:K01187	xcj:J158_03476
ko:K03929	xcj:J158_03478
ko:K03214	xcj:J158_03479
ko:K07497	xcj:J158_03483
ko:K07483	xcj:J158_03484
ko:K18138	xcj:J158_03490
ko:K03585	xcj:J158_03491
ko:K00955	xcj:J158_03492
ko:K00957	xcj:J158_03493
ko:K00380	xcj:J158_03494
ko:K00381	xcj:J158_03495
ko:K00390	xcj:J158_03496
ko:K02014	xcj:J158_03498
ko:K02302	xcj:J158_03503
ko:K01738	xcj:J158_03504
ko:K01623	xcj:J158_03507
ko:K00873	xcj:J158_03508
ko:K01091	xcj:J158_03509
ko:K00927	xcj:J158_03510
ko:K01198	xcj:J158_04318
ko:K00064	xcj:J158_04319
ko:K07046	xcj:J158_04320
ko:K18335	xcj:J158_04321
ko:K18334	xcj:J158_04323
ko:K03534	xcj:J158_04325
ko:K02429	xcj:J158_04326
ko:K18786	xcj:J158_04331
ko:K03292	xcj:J158_04332
ko:K00851	xcj:J158_04333
ko:K03785	xcj:J158_04336
ko:K09800	xcj:J158_04338
ko:K07278	xcj:J158_04339
ko:K07483	xcj:J158_04342
ko:K07497	xcj:J158_04343
ko:K13409	xcj:J158_04344
ko:K01879	xcj:J158_04346
ko:K01878	xcj:J158_04347
ko:K02454	xcj:J158_04348
ko:K01951	xcj:J158_04350
ko:K03118	xcj:J158_04352
ko:K03117	xcj:J158_04353
ko:K03116	xcj:J158_04354
ko:K01772	xcj:J158_04356
ko:K07043	xcj:J158_04358
ko:K03554	xcj:J158_04359
ko:K14058	xcj:J158_04360
ko:K01805	xcj:J158_04361
ko:K02529	xcj:J158_04362
ko:K01235	xcj:J158_04363
ko:K05970	xcj:J158_04364
ko:K08323	xcj:J158_04365
ko:K01198	xcj:J158_04366
ko:K01209	xcj:J158_04366
ko:K05349	xcj:J158_04367
ko:K00040	xcj:J158_04368
ko:K03624	xcj:J158_02008
ko:K07462	xcj:J158_02010
ko:K07497	xcj:J158_02016
ko:K02836	xcj:J158_02019
ko:K04567	xcj:J158_02020
ko:K13815	xcj:J158_02021
ko:K10715	xcj:J158_02022
ko:K13816	xcj:J158_02023
ko:K01897	xcj:J158_02024
ko:K01681	xcj:J158_02026
ko:K01682	xcj:J158_02029
ko:K03412	xcj:J158_02032
ko:K03411	xcj:J158_02033
ko:K00575	xcj:J158_02034
ko:K03406	xcj:J158_02036
ko:K03406	xcj:J158_02041
ko:K03406	xcj:J158_02042
ko:K03406	xcj:J158_02044
ko:K03406	xcj:J158_02045
ko:K03407	xcj:J158_02048
ko:K03413	xcj:J158_02049
ko:K03408	xcj:J158_02051
ko:K03496	xcj:J158_02052
ko:K02557	xcj:J158_02053
ko:K02556	xcj:J158_02054
ko:K19048	xcj:J158_02060
ko:K07497	xcj:J158_02832
ko:K07483	xcj:J158_02833
ko:K02655	xcj:J158_02834
ko:K02674	xcj:J158_02835
ko:K02672	xcj:J158_02836
ko:K08084	xcj:J158_02837
ko:K08082	xcj:J158_02838
ko:K06966	xcj:J158_02839
ko:K07390	xcj:J158_02843
ko:K04564	xcj:J158_02844
ko:K01589	xcj:J158_02845
ko:K01588	xcj:J158_02846
ko:K00767	xcj:J158_02848
ko:K00962	xcj:J158_02850
ko:K02956	xcj:J158_02851
ko:K03177	xcj:J158_02852
ko:K02834	xcj:J158_02853
ko:K02519	xcj:J158_02854
ko:K02600	xcj:J158_02855
ko:K09748	xcj:J158_02856
ko:K00343	xcj:J158_02858
ko:K00342	xcj:J158_02859
ko:K00341	xcj:J158_02860
ko:K00340	xcj:J158_02861
ko:K00339	xcj:J158_02862
ko:K00338	xcj:J158_02863
ko:K00337	xcj:J158_02864
ko:K00336	xcj:J158_02865
ko:K00335	xcj:J158_02866
ko:K00334	xcj:J158_02867
ko:K00333	xcj:J158_02868
ko:K00332	xcj:J158_02869
ko:K00331	xcj:J158_02870
ko:K00330	xcj:J158_02871
ko:K00537	xcj:J158_03674
ko:K00694	xcj:J158_03680
ko:K00763	xcj:J158_03683
ko:K02014	xcj:J158_03690
ko:K03811	xcj:J158_03691
ko:K02453	xcj:J158_03694
ko:K02463	xcj:J158_03696
ko:K02462	xcj:J158_03697
ko:K02461	xcj:J158_03698
ko:K02460	xcj:J158_03699
ko:K02459	xcj:J158_03700
ko:K02458	xcj:J158_03701
ko:K02457	xcj:J158_03702
ko:K02456	xcj:J158_03703
ko:K02455	xcj:J158_03704
ko:K02454	xcj:J158_03705
ko:K14645	xcj:J158_03706
ko:K14645	xcj:J158_03708
ko:K01952	xcj:J158_03710
ko:K03981	xcj:J158_03711
ko:K04763	xcj:J158_03712
ko:K11720	xcj:J158_03715
ko:K07091	xcj:J158_03716
ko:K01255	xcj:J158_03717
ko:K02339	xcj:J158_03719
ko:K01873	xcj:J158_03720
ko:K02014	xcj:J158_03721
ko:K08309	xcj:J158_03722
ko:K01728	xcj:J158_03723
ko:K03789	xcj:J158_03724
ko:K07171	xcj:J158_00074
ko:K03194	xcj:J158_00078
ko:K03196	xcj:J158_00079
ko:K03204	xcj:J158_00081
ko:K03203	xcj:J158_00082
ko:K03201	xcj:J158_00083
ko:K07497	xcj:J158_00092
ko:K07497	xcj:J158_00093
ko:K03497	xcj:J158_00096
ko:K03496	xcj:J158_00097
ko:K18828	xcj:J158_00101
ko:K18829	xcj:J158_00102
ko:K07497	xcj:J158_00104
ko:K07497	xcj:J158_00105
ko:K07497	xcj:J158_00004
ko:K07497	xcj:J158_00005
ko:K07814	xcj:J158_02659
ko:K15371	xcj:J158_02661
ko:K03585	xcj:J158_02663
ko:K18138	xcj:J158_02664
ko:K03435	xcj:J158_02665
ko:K02768	xcj:J158_02666
ko:K08483	xcj:J158_02666
ko:K11183	xcj:J158_02666
ko:K00882	xcj:J158_02667
ko:K02769	xcj:J158_02668
ko:K02770	xcj:J158_02668
ko:K07267	xcj:J158_02669
ko:K03074	xcj:J158_02674
ko:K03072	xcj:J158_02675
ko:K03210	xcj:J158_02676
ko:K00773	xcj:J158_02677
ko:K07568	xcj:J158_02678
ko:K01083	xcj:J158_02684
ko:K00761	xcj:J158_02686
ko:K00681	xcj:J158_02688
ko:K00954	xcj:J158_02692
ko:K08316	xcj:J158_02693
ko:K04079	xcj:J158_02694
ko:K09955	xcj:J158_02697
ko:K08677	xcj:J158_02703
ko:K00134	xcj:J158_03515
ko:K07275	xcj:J158_03517
ko:K02020	xcj:J158_03521
ko:K02018	xcj:J158_03522
ko:K02017	xcj:J158_03523
ko:K16088	xcj:J158_03533
ko:K00615	xcj:J158_03535
ko:K07114	xcj:J158_03538
ko:K07114	xcj:J158_03539
ko:K03924	xcj:J158_03542
ko:K02666	xcj:J158_03544
ko:K02665	xcj:J158_03545
ko:K02664	xcj:J158_03546
ko:K02663	xcj:J158_03547
ko:K02662	xcj:J158_03548
ko:K05366	xcj:J158_03549
ko:K01647	xcj:J158_03551
ko:K02909	xcj:J158_03552
ko:K01239	xcj:J158_03553
ko:K03655	xcj:J158_03554
ko:K03060	xcj:J158_03557
ko:K00942	xcj:J158_03558
ko:K00989	xcj:J158_03560
ko:K02428	xcj:J158_03562
ko:K00128	xcj:J158_04373
ko:K01845	xcj:J158_04376
ko:K01845	xcj:J158_04377
ko:K01628	xcj:J158_04378
ko:K00854	xcj:J158_04379
ko:K01053	xcj:J158_04382
ko:K01181	xcj:J158_04383
ko:K01190	xcj:J158_04384
ko:K01812	xcj:J158_04385
ko:K01181	xcj:J158_04386
ko:K08191	xcj:J158_04387
ko:K01181	xcj:J158_04388
ko:K08191	xcj:J158_04389
ko:K03098	xcj:J158_04393
ko:K00631	xcj:J158_04401
ko:K02529	xcj:J158_04403
ko:K14266	xcj:J158_04406
ko:K01591	xcj:J158_04407
ko:K09915	xcj:J158_04410
ko:K03656	xcj:J158_04413
ko:K03670	xcj:J158_04416
ko:K10563	xcj:J158_04418
ko:K05782	xcj:J158_04425
ko:K07497	xcj:J158_02066
ko:K07483	xcj:J158_02067
ko:K07497	xcj:J158_02070
ko:K06871	xcj:J158_02073
ko:K03407	xcj:J158_02076
ko:K03414	xcj:J158_02077
ko:K03413	xcj:J158_02078
ko:K02405	xcj:J158_02079
ko:K04562	xcj:J158_02080
ko:K02404	xcj:J158_02081
ko:K02400	xcj:J158_02082
ko:K02401	xcj:J158_02083
ko:K02421	xcj:J158_02087
ko:K02420	xcj:J158_02088
ko:K02419	xcj:J158_02090
ko:K02418	xcj:J158_02091
ko:K02417	xcj:J158_02092
ko:K02416	xcj:J158_02093
ko:K02415	xcj:J158_02094
ko:K02414	xcj:J158_02095
ko:K02413	xcj:J158_02096
ko:K02412	xcj:J158_02097
ko:K02411	xcj:J158_02098
ko:K02410	xcj:J158_02099
ko:K02409	xcj:J158_02100
ko:K02408	xcj:J158_02101
ko:K00648	xcj:J158_02110
ko:K03075	xcj:J158_02873
ko:K01803	xcj:J158_02874
ko:K07124	xcj:J158_02875
ko:K06886	xcj:J158_02876
ko:K03431	xcj:J158_02881
ko:K01963	xcj:J158_02882
ko:K01695	xcj:J158_02883
ko:K01696	xcj:J158_02885
ko:K01817	xcj:J158_02887
ko:K06173	xcj:J158_02888
ko:K06996	xcj:J158_02890
ko:K08086	xcj:J158_02891
ko:K00133	xcj:J158_02892
ko:K00090	xcj:J158_02893
ko:K01736	xcj:J158_02894
ko:K07320	xcj:J158_02895
ko:K07152	xcj:J158_02896
ko:K01613	xcj:J158_02897
ko:K08307	xcj:J158_02898
ko:K06915	xcj:J158_02899
ko:K04760	xcj:J158_02903
ko:K14441	xcj:J158_02904
ko:K01061	xcj:J158_02905
ko:K01494	xcj:J158_02909
ko:K03593	xcj:J158_02910
ko:K07386	xcj:J158_02914
ko:K07386	xcj:J158_02915
ko:K07386	xcj:J158_02916
ko:K07443	xcj:J158_02918
ko:K00383	xcj:J158_02919
ko:K00285	xcj:J158_02920
ko:K07148	xcj:J158_02921
ko:K03775	xcj:J158_02922
ko:K17103	xcj:J158_03726
ko:K01881	xcj:J158_03728
ko:K03746	xcj:J158_03729
ko:K02066	xcj:J158_03731
ko:K02065	xcj:J158_03732
ko:K02067	xcj:J158_03733
ko:K18480	xcj:J158_03734
ko:K00311	xcj:J158_03736
ko:K01029	xcj:J158_03738
ko:K01028	xcj:J158_03739
ko:K15778	xcj:J158_03740
ko:K16011	xcj:J158_03741
ko:K00012	xcj:J158_03742
ko:K00067	xcj:J158_03743
ko:K01790	xcj:J158_03744
ko:K00973	xcj:J158_03745
ko:K01710	xcj:J158_03746
ko:K03521	xcj:J158_03747
ko:K03522	xcj:J158_03748
ko:K01758	xcj:J158_03764
ko:K01697	xcj:J158_03765
ko:K02670	xcj:J158_03769
ko:K16171	xcj:J158_03771
ko:K11927	xcj:J158_03772
ko:K01301	xcj:J158_03773
ko:K02014	xcj:J158_03775
ko:K01737	xcj:J158_03776
ko:K01935	xcj:J158_03778
ko:K03496	xcj:J158_00019
ko:K18841	xcj:J158_00027
ko:K18842	xcj:J158_00028
ko:K03496	xcj:J158_00041
ko:K00036	xcj:J158_02219
ko:K10112	xcj:J158_02220
ko:K06980	xcj:J158_02221
ko:K00241	xcj:J158_02223
ko:K00242	xcj:J158_02224
ko:K00239	xcj:J158_02225
ko:K00240	xcj:J158_02227
ko:K09159	xcj:J158_02228
ko:K19168	xcj:J158_02229
ko:K09808	xcj:J158_02230
ko:K09810	xcj:J158_02231
ko:K02238	xcj:J158_02233
ko:K03561	xcj:J158_02234
ko:K03559	xcj:J158_02235
ko:K11085	xcj:J158_02236
ko:K00912	xcj:J158_02237
ko:K00979	xcj:J158_02238
ko:K01104	xcj:J158_02239
ko:K03703	xcj:J158_02241
ko:K00995	xcj:J158_02242
ko:K07497	xcj:J158_02248
ko:K07497	xcj:J158_02249
ko:K07497	xcj:J158_02250
ko:K07483	xcj:J158_02251
ko:K02474	xcj:J158_02254
ko:K07007	xcj:J158_02255
ko:K03772	xcj:J158_02256
ko:K07146	xcj:J158_02258
ko:K08300	xcj:J158_02260
ko:K06179	xcj:J158_02261
ko:K07238	xcj:J158_02263
ko:K03832	xcj:J158_02264
ko:K01724	xcj:J158_02265
ko:K07400	xcj:J158_02266
ko:K07735	xcj:J158_03082
ko:K01246	xcj:J158_03083
ko:K02670	xcj:J158_03087
ko:K02669	xcj:J158_03088
ko:K06997	xcj:J158_03089
ko:K00286	xcj:J158_03090
ko:K05520	xcj:J158_03096
ko:K07117	xcj:J158_03097
ko:K09014	xcj:J158_03099
ko:K09013	xcj:J158_03100
ko:K09015	xcj:J158_03101
ko:K11717	xcj:J158_03102
ko:K16090	xcj:J158_03105
ko:K07126	xcj:J158_03107
ko:K09939	xcj:J158_03108
ko:K03734	xcj:J158_03111
ko:K00380	xcj:J158_03112
ko:K09975	xcj:J158_03114
ko:K02237	xcj:J158_03115
ko:K07102	xcj:J158_03118
ko:K10763	xcj:J158_03120
ko:K09938	xcj:J158_03122
ko:K01933	xcj:J158_03123
ko:K11175	xcj:J158_03125
ko:K00790	xcj:J158_03129
ko:K06041	xcj:J158_03131
ko:K03270	xcj:J158_03132
ko:K11719	xcj:J158_03133
ko:K03086	xcj:J158_03942
ko:K07560	xcj:J158_03943
ko:K02517	xcj:J158_03944
ko:K03823	xcj:J158_03945
ko:K01497	xcj:J158_03946
ko:K09167	xcj:J158_03947
ko:K08981	xcj:J158_03948
ko:K02847	xcj:J158_03951
ko:K03500	xcj:J158_03953
ko:K00604	xcj:J158_03954
ko:K01462	xcj:J158_03955
ko:K04096	xcj:J158_03957
ko:K03747	xcj:J158_03958
ko:K03168	xcj:J158_03961
ko:K07566	xcj:J158_03962
ko:K08081	xcj:J158_03965
ko:K04773	xcj:J158_03967
ko:K03327	xcj:J158_03968
ko:K04066	xcj:J158_03972
ko:K03885	xcj:J158_03976
ko:K03089	xcj:J158_03978
ko:K03648	xcj:J158_03979
ko:K09811	xcj:J158_03981
ko:K09812	xcj:J158_03982
ko:K03732	xcj:J158_03983
ko:K03671	xcj:J158_03984
ko:K03628	xcj:J158_03985
ko:K00906	xcj:J158_03986
ko:K00031	xcj:J158_03989
ko:K07012	xcj:J158_03991
ko:K01920	xcj:J158_03265
ko:K03832	xcj:J158_03266
ko:K14742	xcj:J158_03268
ko:K03722	xcj:J158_03269
ko:K05365	xcj:J158_03271
ko:K00951	xcj:J158_03274
ko:K06136	xcj:J158_03275
ko:K06137	xcj:J158_03276
ko:K06138	xcj:J158_03277
ko:K06139	xcj:J158_03278
ko:K00845	xcj:J158_03281
ko:K03578	xcj:J158_03283
ko:K04047	xcj:J158_03284
ko:K03654	xcj:J158_03285
ko:K06182	xcj:J158_03290
ko:K06895	xcj:J158_03293
