ko:K07591	ebw:BWG_2827
ko:K00124	ebw:BWG_3563
ko:K05711	ebw:BWG_2305
ko:K07263	ebw:BWG_1315
ko:K07311	ebw:BWG_1403
ko:K07810	ebw:BWG_0444
ko:K02001	ebw:BWG_2421
ko:K03487	ebw:BWG_2450
ko:K11202	ebw:BWG_3569
ko:K11203	ebw:BWG_3569
ko:K11208	ebw:BWG_1280
ko:K13381	ebw:BWG_3029
ko:K00885	ebw:BWG_2923
ko:K05877	ebw:BWG_1699
ko:K00832	ebw:BWG_3767
ko:K02834	ebw:BWG_2871
ko:K02519	ebw:BWG_2872
ko:K02600	ebw:BWG_2873
ko:K09748	ebw:BWG_2874
ko:K01940	ebw:BWG_2875
ko:K03075	ebw:BWG_2877
ko:K03431	ebw:BWG_2878
ko:K00796	ebw:BWG_2879
ko:K03798	ebw:BWG_2880
ko:K07574	ebw:BWG_2882
ko:K03624	ebw:BWG_2883
ko:K07259	ebw:BWG_2884
ko:K03979	ebw:BWG_2885
ko:K02899	ebw:BWG_2887
ko:K02888	ebw:BWG_2888
ko:K02523	ebw:BWG_2889
ko:K00790	ebw:BWG_2891
ko:K07122	ebw:BWG_2893
ko:K07323	ebw:BWG_2894
ko:K02066	ebw:BWG_2896
ko:K06182	ebw:BWG_3678
ko:K00928	ebw:BWG_3680
ko:K01810	ebw:BWG_3681
ko:K02532	ebw:BWG_3743
ko:K01681	ebw:BWG_1107
ko:K01591	ebw:BWG_1112
ko:K03113	ebw:BWG_1113
ko:K04062	ebw:BWG_1114
ko:K00208	ebw:BWG_1120
ko:K03974	ebw:BWG_1135
ko:K03969	ebw:BWG_1136
ko:K06918	ebw:BWG_1152
ko:K08990	ebw:BWG_1153
ko:K03721	ebw:BWG_1154
ko:K11065	ebw:BWG_1155
ko:K11107	ebw:BWG_2009
ko:K01126	ebw:BWG_2011
ko:K02445	ebw:BWG_2012
ko:K00111	ebw:BWG_2013
ko:K00112	ebw:BWG_2014
ko:K00113	ebw:BWG_2015
ko:K07806	ebw:BWG_2026
ko:K10012	ebw:BWG_2027
ko:K10011	ebw:BWG_2028
ko:K07264	ebw:BWG_2030
ko:K01911	ebw:BWG_2034
ko:K01661	ebw:BWG_2036
ko:K02551	ebw:BWG_2038
ko:K05594	ebw:BWG_2040
ko:K00343	ebw:BWG_2050
ko:K00342	ebw:BWG_2051
ko:K00341	ebw:BWG_2052
ko:K00340	ebw:BWG_2053
ko:K00339	ebw:BWG_2054
ko:K00338	ebw:BWG_2055
ko:K00337	ebw:BWG_2056
ko:K00334	ebw:BWG_2059
ko:K00331	ebw:BWG_2061
ko:K00330	ebw:BWG_2062
ko:K02065	ebw:BWG_2897
ko:K07301	ebw:BWG_2898
ko:K01491	ebw:BWG_0404
ko:K03040	ebw:BWG_2986
ko:K02986	ebw:BWG_2987
ko:K02948	ebw:BWG_2988
ko:K02952	ebw:BWG_2989
ko:K02919	ebw:BWG_2990
ko:K03076	ebw:BWG_2991
ko:K02876	ebw:BWG_2992
ko:K02907	ebw:BWG_2993
ko:K02988	ebw:BWG_2994
ko:K02881	ebw:BWG_2995
ko:K02933	ebw:BWG_2996
ko:K02994	ebw:BWG_2997
ko:K02954	ebw:BWG_2998
ko:K02931	ebw:BWG_2999
ko:K02895	ebw:BWG_3000
ko:K02874	ebw:BWG_3001
ko:K02961	ebw:BWG_3002
ko:K02904	ebw:BWG_3003
ko:K02878	ebw:BWG_3004
ko:K02982	ebw:BWG_3005
ko:K01808	ebw:BWG_3805
ko:K06167	ebw:BWG_3807
ko:K05774	ebw:BWG_3809
ko:K06162	ebw:BWG_3810
ko:K05780	ebw:BWG_3811
ko:K05781	ebw:BWG_3812
ko:K06163	ebw:BWG_3813
ko:K06164	ebw:BWG_3814
ko:K06165	ebw:BWG_3815
ko:K06166	ebw:BWG_3816
ko:K02043	ebw:BWG_3817
ko:K02044	ebw:BWG_3818
ko:K02041	ebw:BWG_3819
ko:K06193	ebw:BWG_3821
ko:K07643	ebw:BWG_3825
ko:K03760	ebw:BWG_3827
ko:K03759	ebw:BWG_3828
ko:K03755	ebw:BWG_3829
ko:K01584	ebw:BWG_3830
ko:K07406	ebw:BWG_3832
ko:K08984	ebw:BWG_3834
ko:K01676	ebw:BWG_3835
ko:K07703	ebw:BWG_3837
ko:K07701	ebw:BWG_3838
ko:K06975	ebw:BWG_3840
ko:K04567	ebw:BWG_3843
ko:K03305	ebw:BWG_3844
ko:K03765	ebw:BWG_3847
ko:K04084	ebw:BWG_3849
ko:K03926	ebw:BWG_3850
ko:K01744	ebw:BWG_3852
ko:K07113	ebw:BWG_3853
ko:K04078	ebw:BWG_3855
ko:K04077	ebw:BWG_3856
ko:K06041	ebw:BWG_2899
ko:K03270	ebw:BWG_2900
ko:K11719	ebw:BWG_2901
ko:K09774	ebw:BWG_2902
ko:K06861	ebw:BWG_2903
ko:K03092	ebw:BWG_2904
ko:K05808	ebw:BWG_2905
ko:K06958	ebw:BWG_2907
ko:K03814	ebw:BWG_2910
ko:K07648	ebw:BWG_2912
ko:K07139	ebw:BWG_2913
ko:K00266	ebw:BWG_2915
ko:K03290	ebw:BWG_2925
ko:K03600	ebw:BWG_2929
ko:K03599	ebw:BWG_2930
ko:K02996	ebw:BWG_2931
ko:K02871	ebw:BWG_2932
ko:K06916	ebw:BWG_2933
ko:K09908	ebw:BWG_2934
ko:K03402	ebw:BWG_2938
ko:K03623	ebw:BWG_2940
ko:K03568	ebw:BWG_2945
ko:K08301	ebw:BWG_2947
ko:K06287	ebw:BWG_2948
ko:K03571	ebw:BWG_2949
ko:K03570	ebw:BWG_2950
ko:K03569	ebw:BWG_2951
ko:K10109	ebw:BWG_3747
ko:K02024	ebw:BWG_3750
ko:K05775	ebw:BWG_3751
ko:K03181	ebw:BWG_3752
ko:K03179	ebw:BWG_3753
ko:K00631	ebw:BWG_3754
ko:K00901	ebw:BWG_3755
ko:K01356	ebw:BWG_3756
ko:K03327	ebw:BWG_3757
ko:K09823	ebw:BWG_3759
ko:K05539	ebw:BWG_3762
ko:K01775	ebw:BWG_3766
ko:K03788	ebw:BWG_3769
ko:K03701	ebw:BWG_3772
ko:K06901	ebw:BWG_3778
ko:K01895	ebw:BWG_3783
ko:K03385	ebw:BWG_3784
ko:K04013	ebw:BWG_3785
ko:K11102	ebw:BWG_3791
ko:K03574	ebw:BWG_0094
ko:K02504	ebw:BWG_0100
ko:K00970	ebw:BWG_0136
ko:K02455	ebw:BWG_3018
ko:K13053	ebw:BWG_0810
ko:K05591	ebw:BWG_1177
ko:K03737	ebw:BWG_1206
ko:K03778	ebw:BWG_1209
ko:K09978	ebw:BWG_1212
ko:K02618	ebw:BWG_1216
ko:K02609	ebw:BWG_1217
ko:K02610	ebw:BWG_1218
ko:K09161	ebw:BWG_2068
ko:K09899	ebw:BWG_2069
ko:K00925	ebw:BWG_2070
ko:K07095	ebw:BWG_2074
ko:K07589	ebw:BWG_2077
ko:K07071	ebw:BWG_2078
ko:K10017	ebw:BWG_2080
ko:K10015	ebw:BWG_2081
ko:K10016	ebw:BWG_2082
ko:K03186	ebw:BWG_2085
ko:K00764	ebw:BWG_2086
ko:K03558	ebw:BWG_2087
ko:K03749	ebw:BWG_2088
ko:K01963	ebw:BWG_2090
ko:K03975	ebw:BWG_2091
ko:K06173	ebw:BWG_2092
ko:K03473	ebw:BWG_2094
ko:K09906	ebw:BWG_2100
ko:K07090	ebw:BWG_2101
ko:K07261	ebw:BWG_2102
ko:K01736	ebw:BWG_2103
ko:K07320	ebw:BWG_2104
ko:K08296	ebw:BWG_2112
ko:K06076	ebw:BWG_2116
ko:K04754	ebw:BWG_2118
ko:K02160	ebw:BWG_2954
ko:K02687	ebw:BWG_2958
ko:K03557	ebw:BWG_2960
ko:K09970	ebw:BWG_2967
ko:K09971	ebw:BWG_2968
ko:K09972	ebw:BWG_2969
ko:K00014	ebw:BWG_2972
ko:K07566	ebw:BWG_2973
ko:K07479	ebw:BWG_2974
ko:K04096	ebw:BWG_2976
ko:K01462	ebw:BWG_2977
ko:K00604	ebw:BWG_2978
ko:K03500	ebw:BWG_2979
ko:K03282	ebw:BWG_2981
ko:K09890	ebw:BWG_2982
ko:K02879	ebw:BWG_2985
ko:K07821	ebw:BWG_1687
ko:K02840	ebw:BWG_3319
ko:K03490	ebw:BWG_1548
ko:K12525	ebw:BWG_3609
ko:K00881	ebw:BWG_3799
ko:K12500	ebw:BWG_0325
ko:K09024	ebw:BWG_0861
ko:K07027	ebw:BWG_0641
ko:K03275	ebw:BWG_3318
ko:K08992	ebw:BWG_1110
ko:K03970	ebw:BWG_1137
ko:K03971	ebw:BWG_1139
ko:K02053	ebw:BWG_1268
ko:K02054	ebw:BWG_1267
ko:K02052	ebw:BWG_1266
ko:K02055	ebw:BWG_1265
ko:K08137	ebw:BWG_2665
ko:K01150	ebw:BWG_2667
ko:K12152	ebw:BWG_0982
ko:K09473	ebw:BWG_1130
ko:K04774	ebw:BWG_1101
ko:K01497	ebw:BWG_1108
ko:K03761	ebw:BWG_2351
ko:K03819	ebw:BWG_1848
ko:K00884	ebw:BWG_0967
ko:K13051	ebw:BWG_0681
ko:K09810	ebw:BWG_0965
ko:K13292	ebw:BWG_2563
ko:K12961	ebw:BWG_2853
ko:K13008	ebw:BWG_1825
ko:K12963	ebw:BWG_2032
ko:K01628	ebw:BWG_2538
ko:K00247	ebw:BWG_3866
ko:K05874	ebw:BWG_4048
ko:K02681	ebw:BWG_2558
ko:K13014	ebw:BWG_2029
ko:K10804	ebw:BWG_0375
ko:K02819	ebw:BWG_3948
ko:K03485	ebw:BWG_3949
ko:K01531	ebw:BWG_3950
ko:K00610	ebw:BWG_3952
ko:K00609	ebw:BWG_3953
ko:K00611	ebw:BWG_3960
ko:K09893	ebw:BWG_3961
ko:K03828	ebw:BWG_3962
ko:K01873	ebw:BWG_3964
ko:K02339	ebw:BWG_3965
ko:K01255	ebw:BWG_3966
ko:K07091	ebw:BWG_3967
ko:K11720	ebw:BWG_3968
ko:K06915	ebw:BWG_3969
ko:K04069	ebw:BWG_0677
ko:K03750	ebw:BWG_0680
ko:K11534	ebw:BWG_0693
ko:K08160	ebw:BWG_0695
ko:K07085	ebw:BWG_0700
ko:K00563	ebw:BWG_1635
ko:K03704	ebw:BWG_1636
ko:K08169	ebw:BWG_1642
ko:K03799	ebw:BWG_1643
ko:K03797	ebw:BWG_1644
ko:K03607	ebw:BWG_1645
ko:K03808	ebw:BWG_1647
ko:K07156	ebw:BWG_1655
ko:K04020	ebw:BWG_2220
ko:K01129	ebw:BWG_0153
ko:K02647	ebw:BWG_0155
ko:K00990	ebw:BWG_0159
ko:K01265	ebw:BWG_0160
ko:K00425	ebw:BWG_0591
ko:K00426	ebw:BWG_0592
ko:K07107	ebw:BWG_0595
ko:K03562	ebw:BWG_0596
ko:K03641	ebw:BWG_0599
ko:K03640	ebw:BWG_0600
ko:K03517	ebw:BWG_0602
ko:K03811	ebw:BWG_0603
ko:K01626	ebw:BWG_0606
ko:K00849	ebw:BWG_0609
ko:K05776	ebw:BWG_0612
ko:K02019	ebw:BWG_0613
ko:K02020	ebw:BWG_0615
ko:K02018	ebw:BWG_0616
ko:K03319	ebw:BWG_0622
ko:K01681	ebw:BWG_0623
ko:K01953	ebw:BWG_0534
ko:K02565	ebw:BWG_0536
ko:K01443	ebw:BWG_0537
ko:K02802	ebw:BWG_0539
ko:K02803	ebw:BWG_0539
ko:K02804	ebw:BWG_0539
ko:K01886	ebw:BWG_0540
ko:K03839	ebw:BWG_0545
ko:K03645	ebw:BWG_0548
ko:K01581	ebw:BWG_0552
ko:K07667	ebw:BWG_0554
ko:K07646	ebw:BWG_0555
ko:K01548	ebw:BWG_0556
ko:K01547	ebw:BWG_0557
ko:K01546	ebw:BWG_0558
ko:K01669	ebw:BWG_0567
ko:K03305	ebw:BWG_0568
ko:K07160	ebw:BWG_0572
ko:K01647	ebw:BWG_0579
ko:K09470	ebw:BWG_1129
ko:K09016	ebw:BWG_0860
ko:K09020	ebw:BWG_0865
ko:K01916	ebw:BWG_1553
ko:K03668	ebw:BWG_1208
ko:K09954	ebw:BWG_2172
ko:K02890	ebw:BWG_3006
ko:K02965	ebw:BWG_3007
ko:K02886	ebw:BWG_3008
ko:K02892	ebw:BWG_3009
ko:K02926	ebw:BWG_3010
ko:K02906	ebw:BWG_3011
ko:K02946	ebw:BWG_3012
ko:K02452	ebw:BWG_3015
ko:K02453	ebw:BWG_3016
ko:K02456	ebw:BWG_3019
ko:K02457	ebw:BWG_3020
ko:K02459	ebw:BWG_3022
ko:K02460	ebw:BWG_3023
ko:K02461	ebw:BWG_3024
ko:K03594	ebw:BWG_3027
ko:K02192	ebw:BWG_3028
ko:K02358	ebw:BWG_3030
ko:K02355	ebw:BWG_3031
ko:K02992	ebw:BWG_3032
ko:K02950	ebw:BWG_3033
ko:K07237	ebw:BWG_3034
ko:K07236	ebw:BWG_3035
ko:K07235	ebw:BWG_3036
ko:K03745	ebw:BWG_3039
ko:K03775	ebw:BWG_3040
ko:K07070	ebw:BWG_3041
ko:K06158	ebw:BWG_3044
ko:K00855	ebw:BWG_3047
ko:K04095	ebw:BWG_3053
ko:K06141	ebw:BWG_3056
ko:K00362	ebw:BWG_3057
ko:K00363	ebw:BWG_3058
ko:K02598	ebw:BWG_3059
ko:K02302	ebw:BWG_3060
ko:K02356	ebw:BWG_3860
ko:K03098	ebw:BWG_3864
ko:K00246	ebw:BWG_3867
ko:K04568	ebw:BWG_3870
ko:K01613	ebw:BWG_3875
ko:K06949	ebw:BWG_3876
ko:K06925	ebw:BWG_3880
ko:K01448	ebw:BWG_3881
ko:K03572	ebw:BWG_3882
ko:K00791	ebw:BWG_3883
ko:K03666	ebw:BWG_3884
ko:K03665	ebw:BWG_3885
ko:K04088	ebw:BWG_3886
ko:K04087	ebw:BWG_3887
ko:K09937	ebw:BWG_3888
ko:K01939	ebw:BWG_3889
ko:K03218	ebw:BWG_3892
ko:K09980	ebw:BWG_3893
ko:K08989	ebw:BWG_3896
ko:K09456	ebw:BWG_3899
ko:K03477	ebw:BWG_3903
ko:K02990	ebw:BWG_3912
ko:K02686	ebw:BWG_3913
ko:K02963	ebw:BWG_3914
ko:K02939	ebw:BWG_3915
ko:K01874	ebw:BWG_1900
ko:K02478	ebw:BWG_1909
ko:K05846	ebw:BWG_1912
ko:K05846	ebw:BWG_1914
ko:K03777	ebw:BWG_1917
ko:K07262	ebw:BWG_1918
ko:K05541	ebw:BWG_1922
ko:K10542	ebw:BWG_1931
ko:K02529	ebw:BWG_1933
ko:K07148	ebw:BWG_1934
ko:K01495	ebw:BWG_1935
ko:K11733	ebw:BWG_1938
ko:K01151	ebw:BWG_1941
ko:K10213	ebw:BWG_1944
ko:K02769	ebw:BWG_1949
ko:K02770	ebw:BWG_1949
ko:K06878	ebw:BWG_2784
ko:K12113	ebw:BWG_2785
ko:K12111	ebw:BWG_2786
ko:K12112	ebw:BWG_2787
ko:K03931	ebw:BWG_2790
ko:K07043	ebw:BWG_2795
ko:K07862	ebw:BWG_2799
ko:K01685	ebw:BWG_2801
ko:K01812	ebw:BWG_2802
ko:K08191	ebw:BWG_2803
ko:K06911	ebw:BWG_2816
ko:K01752	ebw:BWG_2820
ko:K00656	ebw:BWG_2822
ko:K01754	ebw:BWG_2825
ko:K07592	ebw:BWG_2826
ko:K00865	ebw:BWG_2830
ko:K02082	ebw:BWG_2840
ko:K04761	ebw:BWG_3629
ko:K00322	ebw:BWG_3630
ko:K01776	ebw:BWG_3635
ko:K00075	ebw:BWG_3636
ko:K03524	ebw:BWG_3637
ko:K02358	ebw:BWG_3639
ko:K03073	ebw:BWG_3640
ko:K02601	ebw:BWG_3641
ko:K02867	ebw:BWG_3642
ko:K02863	ebw:BWG_3643
ko:K02864	ebw:BWG_3644
ko:K02935	ebw:BWG_3645
ko:K03043	ebw:BWG_3646
ko:K03046	ebw:BWG_3647
ko:K03150	ebw:BWG_3649
ko:K03149	ebw:BWG_3650
ko:K03154	ebw:BWG_3651
ko:K00788	ebw:BWG_3653
ko:K03147	ebw:BWG_3654
ko:K07740	ebw:BWG_3655
ko:K03426	ebw:BWG_3656
ko:K01599	ebw:BWG_3657
ko:K05982	ebw:BWG_3658
ko:K09891	ebw:BWG_3659
ko:K05787	ebw:BWG_3660
ko:K07803	ebw:BWG_3662
ko:K01945	ebw:BWG_3665
ko:K00602	ebw:BWG_3666
ko:K03827	ebw:BWG_3668
ko:K00651	ebw:BWG_3669
ko:K01638	ebw:BWG_3670
ko:K01637	ebw:BWG_3671
ko:K05995	ebw:BWG_3677
ko:K07673	ebw:BWG_1050
ko:K02575	ebw:BWG_1051
ko:K00370	ebw:BWG_1052
ko:K00371	ebw:BWG_1053
ko:K00373	ebw:BWG_1054
ko:K01433	ebw:BWG_1058
ko:K09858	ebw:BWG_1059
ko:K07001	ebw:BWG_1060
ko:K00963	ebw:BWG_1063
ko:K09901	ebw:BWG_1076
ko:K06131	ebw:BWG_1077
ko:K10716	ebw:BWG_1079
ko:K06929	ebw:BWG_0817
ko:K11940	ebw:BWG_0818
ko:K06969	ebw:BWG_0819
ko:K01512	ebw:BWG_0820
ko:K03620	ebw:BWG_0825
ko:K03619	ebw:BWG_0827
ko:K03618	ebw:BWG_0828
ko:K00425	ebw:BWG_0829
ko:K00426	ebw:BWG_0830
ko:K01093	ebw:BWG_0832
ko:K01991	ebw:BWG_0835
ko:K03704	ebw:BWG_0842
ko:K03704	ebw:BWG_0843
ko:K07647	ebw:BWG_0847
ko:K11930	ebw:BWG_0848
ko:K03532	ebw:BWG_0850
ko:K07811	ebw:BWG_0851
ko:K03533	ebw:BWG_0852
ko:K05516	ebw:BWG_0854
ko:K01085	ebw:BWG_0856
ko:K03809	ebw:BWG_0858
ko:K09019	ebw:BWG_0862
ko:K09023	ebw:BWG_0863
ko:K09021	ebw:BWG_0864
ko:K09018	ebw:BWG_0866
ko:K07224	ebw:BWG_0870
ko:K11937	ebw:BWG_0873
ko:K11936	ebw:BWG_0874
ko:K07112	ebw:BWG_1738
ko:K03829	ebw:BWG_1741
ko:K02408	ebw:BWG_1742
ko:K02409	ebw:BWG_1743
ko:K02410	ebw:BWG_1744
ko:K02411	ebw:BWG_1745
ko:K02412	ebw:BWG_1746
ko:K02413	ebw:BWG_1747
ko:K02415	ebw:BWG_1749
ko:K02416	ebw:BWG_1750
ko:K02417	ebw:BWG_1751
ko:K02418	ebw:BWG_1752
ko:K02419	ebw:BWG_1753
ko:K02420	ebw:BWG_1754
ko:K02421	ebw:BWG_1755
ko:K07781	ebw:BWG_1756
ko:K07026	ebw:BWG_1759
ko:K09781	ebw:BWG_1762
ko:K07458	ebw:BWG_1764
ko:K06950	ebw:BWG_1766
ko:K05523	ebw:BWG_1768
ko:K07127	ebw:BWG_1771
ko:K09933	ebw:BWG_1776
ko:K01241	ebw:BWG_1779
ko:K00768	ebw:BWG_1785
ko:K02233	ebw:BWG_1786
ko:K02231	ebw:BWG_1787
ko:K04567	ebw:BWG_2615
ko:K02836	ebw:BWG_2616
ko:K07462	ebw:BWG_2617
ko:K03981	ebw:BWG_2618
ko:K03840	ebw:BWG_2620
ko:K09159	ebw:BWG_2622
ko:K06980	ebw:BWG_2623
ko:K11068	ebw:BWG_2624
ko:K09900	ebw:BWG_2625
ko:K01223	ebw:BWG_2626
ko:K02437	ebw:BWG_2629
ko:K00605	ebw:BWG_2630
ko:K03185	ebw:BWG_2632
ko:K09895	ebw:BWG_2634
ko:K09888	ebw:BWG_2635
ko:K01807	ebw:BWG_2638
ko:K05596	ebw:BWG_2639
ko:K09807	ebw:BWG_2645
ko:K06895	ebw:BWG_2646
ko:K01624	ebw:BWG_2648
ko:K00927	ebw:BWG_2649
ko:K03472	ebw:BWG_2650
ko:K00615	ebw:BWG_2657
ko:K07387	ebw:BWG_2658
ko:K00789	ebw:BWG_2664
ko:K02742	ebw:BWG_2666
ko:K09761	ebw:BWG_2668
ko:K09780	ebw:BWG_1080
ko:K03832	ebw:BWG_1081
ko:K10806	ebw:BWG_1082
ko:K06190	ebw:BWG_1083
ko:K07275	ebw:BWG_1085
ko:K01695	ebw:BWG_1089
ko:K01696	ebw:BWG_1090
ko:K01657	ebw:BWG_1093
ko:K07053	ebw:BWG_1095
ko:K06178	ebw:BWG_1098
ko:K03168	ebw:BWG_1103
ko:K07552	ebw:BWG_1958
ko:K02897	ebw:BWG_1961
ko:K06899	ebw:BWG_1962
ko:K09904	ebw:BWG_1963
ko:K07014	ebw:BWG_1964
ko:K07685	ebw:BWG_1966
ko:K02199	ebw:BWG_1968
ko:K02198	ebw:BWG_1969
ko:K02197	ebw:BWG_1970
ko:K02196	ebw:BWG_1971
ko:K02195	ebw:BWG_1972
ko:K02194	ebw:BWG_1973
ko:K02568	ebw:BWG_1976
ko:K02573	ebw:BWG_1978
ko:K02567	ebw:BWG_1979
ko:K02570	ebw:BWG_1980
ko:K02572	ebw:BWG_1981
ko:K08276	ebw:BWG_1983
ko:K00116	ebw:BWG_1984
ko:K06159	ebw:BWG_1985
ko:K03919	ebw:BWG_1986
ko:K03734	ebw:BWG_1988
ko:K09475	ebw:BWG_1989
ko:K07676	ebw:BWG_1990
ko:K07710	ebw:BWG_1993
ko:K02106	ebw:BWG_1997
ko:K02469	ebw:BWG_2003
ko:K07347	ebw:BWG_2848
ko:K07056	ebw:BWG_2850
ko:K07121	ebw:BWG_2851
ko:K07460	ebw:BWG_2852
ko:K07089	ebw:BWG_2855
ko:K07461	ebw:BWG_2859
ko:K03824	ebw:BWG_2860
ko:K08303	ebw:BWG_2862
ko:K03835	ebw:BWG_2865
ko:K05592	ebw:BWG_2866
ko:K05803	ebw:BWG_2867
ko:K00962	ebw:BWG_2868
ko:K02956	ebw:BWG_2869
ko:K09136	ebw:BWG_0757
ko:K00831	ebw:BWG_0759
ko:K00800	ebw:BWG_0760
ko:K07387	ebw:BWG_0761
ko:K00945	ebw:BWG_0762
ko:K02945	ebw:BWG_0763
ko:K05788	ebw:BWG_0764
ko:K00912	ebw:BWG_0767
ko:K09927	ebw:BWG_0768
ko:K09791	ebw:BWG_0769
ko:K00979	ebw:BWG_0770
ko:K06219	ebw:BWG_0773
ko:K03633	ebw:BWG_0774
ko:K03804	ebw:BWG_0775
ko:K03632	ebw:BWG_0776
ko:K01893	ebw:BWG_0782
ko:K00763	ebw:BWG_0783
ko:K01256	ebw:BWG_0784
ko:K00299	ebw:BWG_0789
ko:K07347	ebw:BWG_0792
ko:K07140	ebw:BWG_0799
ko:K12297	ebw:BWG_0800
ko:K03808	ebw:BWG_0802
ko:K06192	ebw:BWG_0803
ko:K09857	ebw:BWG_0804
ko:K03812	ebw:BWG_0805
ko:K01716	ebw:BWG_0806
ko:K04770	ebw:BWG_0807
ko:K09911	ebw:BWG_0808
ko:K03658	ebw:BWG_0814
ko:K01734	ebw:BWG_0815
ko:K00926	ebw:BWG_0396
ko:K01589	ebw:BWG_0397
ko:K01588	ebw:BWG_0398
ko:K03269	ebw:BWG_0399
ko:K01883	ebw:BWG_0401
ko:K07688	ebw:BWG_0410
ko:K10556	ebw:BWG_1333
ko:K10557	ebw:BWG_1334
ko:K10555	ebw:BWG_1335
ko:K08321	ebw:BWG_1336
ko:K00041	ebw:BWG_1340
ko:K01425	ebw:BWG_1343
ko:K08159	ebw:BWG_1347
ko:K01284	ebw:BWG_1358
ko:K03704	ebw:BWG_1371
ko:K03704	ebw:BWG_1376
ko:K03704	ebw:BWG_1377
ko:K00615	ebw:BWG_2227
ko:K07674	ebw:BWG_2231
ko:K06999	ebw:BWG_2237
ko:K01923	ebw:BWG_2240
ko:K07287	ebw:BWG_2241
ko:K01714	ebw:BWG_2242
ko:K03567	ebw:BWG_2243
ko:K03564	ebw:BWG_2244
ko:K12140	ebw:BWG_2249
ko:K12141	ebw:BWG_2250
ko:K10763	ebw:BWG_2260
ko:K00761	ebw:BWG_2262
ko:K01933	ebw:BWG_2263
ko:K11175	ebw:BWG_2264
ko:K00937	ebw:BWG_2265
ko:K01951	ebw:BWG_2271
ko:K03601	ebw:BWG_2273
ko:K03977	ebw:BWG_2275
ko:K01892	ebw:BWG_2278
ko:K06941	ebw:BWG_2281
ko:K00940	ebw:BWG_2282
ko:K05367	ebw:BWG_2283
ko:K06894	ebw:BWG_2284
ko:K00703	ebw:BWG_3121
ko:K00975	ebw:BWG_3122
ko:K00133	ebw:BWG_3125
ko:K06145	ebw:BWG_3129
ko:K06911	ebw:BWG_3130
ko:K01126	ebw:BWG_3140
ko:K05813	ebw:BWG_3144
ko:K01996	ebw:BWG_3145
ko:K01995	ebw:BWG_3146
ko:K01998	ebw:BWG_3147
ko:K01997	ebw:BWG_3148
ko:K01999	ebw:BWG_3149
ko:K01999	ebw:BWG_3151
ko:K03089	ebw:BWG_3152
ko:K09811	ebw:BWG_3153
ko:K09812	ebw:BWG_3154
ko:K03110	ebw:BWG_3155
ko:K08993	ebw:BWG_3157
ko:K09125	ebw:BWG_3162
ko:K06133	ebw:BWG_3166
ko:K07722	ebw:BWG_3172
ko:K00098	ebw:BWG_3973
ko:K02013	ebw:BWG_3984
ko:K02015	ebw:BWG_3985
ko:K02015	ebw:BWG_3986
ko:K02016	ebw:BWG_3987
ko:K03088	ebw:BWG_3990
ko:K02773	ebw:BWG_3999
ko:K02774	ebw:BWG_4002
ko:K09982	ebw:BWG_4006
ko:K07345	ebw:BWG_4012
ko:K07347	ebw:BWG_4015
ko:K01686	ebw:BWG_4020
ko:K11738	ebw:BWG_1279
ko:K01821	ebw:BWG_1284
ko:K02575	ebw:BWG_1292
ko:K02034	ebw:BWG_1306
ko:K08641	ebw:BWG_1309
ko:K02471	ebw:BWG_1317
ko:K06871	ebw:BWG_1318
ko:K07154	ebw:BWG_1326
ko:K11216	ebw:BWG_1330
ko:K11531	ebw:BWG_1331
ko:K10558	ebw:BWG_1332
ko:K01972	ebw:BWG_2173
ko:K03528	ebw:BWG_2174
ko:K06203	ebw:BWG_2175
ko:K01738	ebw:BWG_2176
ko:K00868	ebw:BWG_2180
ko:K12339	ebw:BWG_2183
ko:K02045	ebw:BWG_2184
ko:K02047	ebw:BWG_2185
ko:K02046	ebw:BWG_2186
ko:K02048	ebw:BWG_2187
ko:K07106	ebw:BWG_2190
ko:K11191	ebw:BWG_2191
ko:K11192	ebw:BWG_2191
ko:K03182	ebw:BWG_3519
ko:K05368	ebw:BWG_3520
ko:K03753	ebw:BWG_3527
ko:K03752	ebw:BWG_3528
ko:K09896	ebw:BWG_3529
ko:K03673	ebw:BWG_3531
ko:K03978	ebw:BWG_3535
ko:K09894	ebw:BWG_3536
ko:K07712	ebw:BWG_3538
ko:K07708	ebw:BWG_3539
ko:K01915	ebw:BWG_3540
ko:K06207	ebw:BWG_3541
ko:K07058	ebw:BWG_3556
ko:K07560	ebw:BWG_3557
ko:K02380	ebw:BWG_3561
ko:K00123	ebw:BWG_3564
ko:K02379	ebw:BWG_3565
ko:K03320	ebw:BWG_0333
ko:K10805	ebw:BWG_0334
ko:K09914	ebw:BWG_0335
ko:K07443	ebw:BWG_0336
ko:K03577	ebw:BWG_0345
ko:K05802	ebw:BWG_0346
ko:K09790	ebw:BWG_0349
ko:K00759	ebw:BWG_0350
ko:K02343	ebw:BWG_0351
ko:K00833	ebw:BWG_0626
ko:K01012	ebw:BWG_0627
ko:K02169	ebw:BWG_0629
ko:K01935	ebw:BWG_0630
ko:K03702	ebw:BWG_0632
ko:K03639	ebw:BWG_0634
ko:K03638	ebw:BWG_0635
ko:K03637	ebw:BWG_0636
ko:K03636	ebw:BWG_0637
ko:K06890	ebw:BWG_0639
ko:K06890	ebw:BWG_0640
ko:K05777	ebw:BWG_1567
ko:K05778	ebw:BWG_1568
