ko:K18929	hcn:HPB14_00660
ko:K14219	hcn:HPB14_t07791
ko:K14230	hcn:HPB14_t07793
ko:K14230	hcn:HPB14_t07795
ko:K14223	hcn:HPB14_t07797
ko:K14225	hcn:HPB14_t07799
ko:K14228	hcn:HPB14_t07801
ko:K14222	hcn:HPB14_t07803
ko:K14233	hcn:HPB14_t07805
ko:K01985	hcn:HPB14_r07839
ko:K01985	hcn:HPB14_r07841
ko:K01980	hcn:HPB14_r07847
ko:K01980	hcn:HPB14_r07849
ko:K14228	hcn:HPB14_t07815
ko:K14227	hcn:HPB14_t07817
ko:K14218	hcn:HPB14_t07819
ko:K02029	hcn:HPB14_05540
ko:K00971	hcn:HPB14_00205
ko:K14235	hcn:HPB14_t07823
ko:K11028	hcn:HPB14_04310
ko:K15847	hcn:HPB14_04350
ko:K12086	hcn:HPB14_04035
ko:K12088	hcn:HPB14_04045
ko:K12089	hcn:HPB14_04050
ko:K12090	hcn:HPB14_04055
ko:K12093	hcn:HPB14_04085
ko:K12094	hcn:HPB14_04090
ko:K12095	hcn:HPB14_04095
ko:K12096	hcn:HPB14_04100
ko:K12097	hcn:HPB14_04105
ko:K12098	hcn:HPB14_04110
ko:K12101	hcn:HPB14_04115
ko:K12102	hcn:HPB14_04120
ko:K12103	hcn:HPB14_04125
ko:K12104	hcn:HPB14_04130
ko:K12105	hcn:HPB14_04135
ko:K12106	hcn:HPB14_04140
ko:K12107	hcn:HPB14_04145
ko:K12108	hcn:HPB14_04150
ko:K12109	hcn:HPB14_04155
ko:K12110	hcn:HPB14_04160
ko:K15843	hcn:HPB14_04440
ko:K15844	hcn:HPB14_04445
ko:K03196	hcn:HPB14_06800
ko:K00059	hcn:HPB14_03885
ko:K07126	hcn:HPB14_04025
ko:K03279	hcn:HPB14_00770
ko:K07126	hcn:HPB14_00775
ko:K15898	hcn:HPB14_00860
ko:K00245	hcn:HPB14_00925
ko:K00244	hcn:HPB14_00930
ko:K03593	hcn:HPB14_01000
ko:K07126	hcn:HPB14_05255
ko:K03455	hcn:HPB14_02185
ko:K02017	hcn:HPB14_02205
ko:K01885	hcn:HPB14_02210
ko:K02238	hcn:HPB14_06515
ko:K07491	hcn:HPB14_06620
ko:K04517	hcn:HPB14_06695
ko:K12091	hcn:HPB14_04065
ko:K01916	hcn:HPB14_01620
ko:K11085	hcn:HPB14_01770
ko:K00949	hcn:HPB14_06095
ko:K07098	hcn:HPB14_01965
ko:K01262	hcn:HPB14_02005
ko:K03711	hcn:HPB14_02050
ko:K13640	hcn:HPB14_02060
ko:K00076	hcn:HPB14_02110
ko:K01679	hcn:HPB14_06340
ko:K04652	hcn:HPB14_04370
ko:K02014	hcn:HPB14_04460
ko:K07126	hcn:HPB14_01025
ko:K01439	hcn:HPB14_01030
ko:K06910	hcn:HPB14_01070
ko:K07126	hcn:HPB14_01160
ko:K03784	hcn:HPB14_05575
ko:K03317	hcn:HPB14_05585
ko:K01674	hcn:HPB14_05620
ko:K02843	hcn:HPB14_05640
ko:K02433	hcn:HPB14_02510
ko:K00088	hcn:HPB14_02515
ko:K05845	hcn:HPB14_02575
ko:K05846	hcn:HPB14_02575
ko:K03635	hcn:HPB14_02670
ko:K03279	hcn:HPB14_06770
ko:K03768	hcn:HPB14_06910
ko:K06346	hcn:HPB14_06960
ko:K02067	hcn:HPB14_07030
ko:K02004	hcn:HPB14_02735
ko:K06603	hcn:HPB14_02900
ko:K02242	hcn:HPB14_07080
ko:K00616	hcn:HPB14_07195
ko:K01156	hcn:HPB14_07315
ko:K00769	hcn:HPB14_02985
ko:K01424	hcn:HPB14_03060
ko:K00626	hcn:HPB14_03240
ko:K07316	hcn:HPB14_07320
ko:K07126	hcn:HPB14_07455
ko:K02342	hcn:HPB14_07460
ko:K04655	hcn:HPB14_00225
ko:K14048	hcn:HPB14_00360
ko:K03406	hcn:HPB14_00400
ko:K03743	hcn:HPB14_04635
ko:K06179	hcn:HPB14_04655
ko:K03442	hcn:HPB14_04770
ko:K01585	hcn:HPB14_04800
ko:K15845	hcn:HPB14_00040
ko:K06196	hcn:HPB14_01310
ko:K04093	hcn:HPB14_01440
ko:K03342	hcn:HPB14_01450
ko:K01719	hcn:HPB14_05800
ko:K01455	hcn:HPB14_05875
ko:K13016	hcn:HPB14_03300
ko:K00567	hcn:HPB14_03310
ko:K04763	hcn:HPB14_03315
ko:K03469	hcn:HPB14_03365
ko:K01885	hcn:HPB14_03455
ko:K03386	hcn:HPB14_07615
ko:K01409	hcn:HPB14_07715
ko:K08077	hcn:HPB14_04185
ko:K03406	hcn:HPB14_00485
ko:K03406	hcn:HPB14_00505
ko:K01119	hcn:HPB14_00510
ko:K00058	hcn:HPB14_04920
ko:K06013	hcn:HPB14_05000
ko:K01784	hcn:HPB14_05110
ko:K07126	hcn:HPB14_05130
ko:K00845	hcn:HPB14_05155
ko:K07126	hcn:HPB14_03535
ko:K00674	hcn:HPB14_03540
ko:K01507	hcn:HPB14_03570
ko:K00939	hcn:HPB14_03585
ko:K01992	hcn:HPB14_03620
ko:K01992	hcn:HPB14_03625
ko:K07457	hcn:HPB14_03665
ko:K00652	hcn:HPB14_03695
ko:K10009	hcn:HPB14_04575
ko:K00970	hcn:HPB14_03475
ko:K03321	hcn:HPB14_01125
ko:K12369	hcn:HPB14_01480
ko:K01426	hcn:HPB14_01455
ko:K12371	hcn:HPB14_01490
ko:K01155	hcn:HPB14_00445
ko:K07316	hcn:HPB14_06540
ko:K02424	hcn:HPB14_04580
ko:K12050	hcn:HPB14_00190
ko:K07318	hcn:HPB14_05730
ko:K09477	hcn:HPB14_00685
ko:K03559	hcn:HPB14_05320
ko:K03559	hcn:HPB14_06410
ko:K12049	hcn:HPB14_00195
ko:K12977	hcn:HPB14_00100
ko:K12048	hcn:HPB14_00200
ko:K12052	hcn:HPB14_00180
ko:K03191	hcn:HPB14_00345
ko:K13797	hcn:HPB14_05670
ko:K15895	hcn:HPB14_05085
ko:K15896	hcn:HPB14_01610
ko:K02003	hcn:HPB14_00865
ko:K11782	hcn:HPB14_02775
ko:K01738	hcn:HPB14_00525
ko:K01760	hcn:HPB14_00520
ko:K01990	hcn:HPB14_05775
ko:K17103	hcn:HPB14_01830
ko:K03559	hcn:HPB14_06935
ko:K02484	hcn:HPB14_00790
ko:K02484	hcn:HPB14_06530
ko:K02847	hcn:HPB14_01995
ko:K01992	hcn:HPB14_07155
ko:K12053	hcn:HPB14_00080
ko:K17686	hcn:HPB14_07235
ko:K17686	hcn:HPB14_01825
ko:K01155	hcn:HPB14_01295
ko:K05540	hcn:HPB14_03040
ko:K11928	hcn:HPB14_00250
ko:K01658	hcn:HPB14_06140
ko:K12574	hcn:HPB14_06845
ko:K01156	hcn:HPB14_06710
ko:K00290	hcn:HPB14_07255
ko:K01497	hcn:HPB14_02660
ko:K00254	hcn:HPB14_02125
ko:K05922	hcn:HPB14_03515
ko:K05927	hcn:HPB14_03520
ko:K00104	hcn:HPB14_04175
ko:K06148	hcn:HPB14_05720
ko:K03605	hcn:HPB14_03505
ko:K05366	hcn:HPB14_03700
ko:K12051	hcn:HPB14_00185
ko:K00925	hcn:HPB14_04385
ko:K07126	hcn:HPB14_01650
ko:K11784	hcn:HPB14_03390
ko:K11785	hcn:HPB14_00735
ko:K18284	hcn:HPB14_00435
ko:K18285	hcn:HPB14_03400
ko:K16235	hcn:HPB14_02095
ko:K16235	hcn:HPB14_07415
ko:K18480	hcn:HPB14_07025
ko:K00681	hcn:HPB14_05265
ko:K07316	hcn:HPB14_06705
ko:K03497	hcn:HPB14_05365
ko:K03496	hcn:HPB14_05370
ko:K03111	hcn:HPB14_05915
ko:K03196	hcn:HPB14_04060
ko:K03761	hcn:HPB14_01725
ko:K00335	hcn:HPB14_06020
ko:K02483	hcn:HPB14_00795
ko:K03526	hcn:HPB14_03545
ko:K03296	hcn:HPB14_03640
ko:K07448	hcn:HPB14_01780
ko:K00571	hcn:HPB14_00240
ko:K00571	hcn:HPB14_00450
ko:K00571	hcn:HPB14_01300
ko:K00020	hcn:HPB14_03465
ko:K07317	hcn:HPB14_04430
ko:K04771	hcn:HPB14_02090
ko:K00336	hcn:HPB14_06025
ko:K01992	hcn:HPB14_07150
ko:K07496	hcn:HPB14_06615
ko:K19416	hcn:HPB14_04475
ko:K20151	hcn:HPB14_05015
ko:K20810	hcn:HPB14_01320
ko:K20151	hcn:HPB14_03415
ko:K00525	hcn:HPB14_03295
ko:K12052	hcn:HPB14_06630
ko:K07100	hcn:HPB14_05755
ko:K02316	hcn:HPB14_00055
ko:K00558	hcn:HPB14_00245
ko:K03553	hcn:HPB14_00740
ko:K00558	hcn:HPB14_05280
ko:K06223	hcn:HPB14_02235
ko:K00558	hcn:HPB14_02245
ko:K01520	hcn:HPB14_02355
ko:K02314	hcn:HPB14_06520
ko:K06223	hcn:HPB14_06550
ko:K00558	hcn:HPB14_02720
ko:K00558	hcn:HPB14_07215
ko:K03465	hcn:HPB14_07370
ko:K02335	hcn:HPB14_07060
ko:K02335	hcn:HPB14_02075
ko:K02483	hcn:HPB14_06535
ko:K00526	hcn:HPB14_05090
ko:K02481	hcn:HPB14_03175
ko:K01139	hcn:HPB14_02790
ko:K07097	hcn:HPB14_01980
ko:K02483	hcn:HPB14_01970
ko:K10026	hcn:HPB14_04540
ko:K21929	hcn:HPB14_03420
ko:K03595	hcn:HPB14_03995
ko:K09022	hcn:HPB14_04600
ko:K22278	hcn:HPB14_01535
ko:K14441	hcn:HPB14_02990
ko:K22391	hcn:HPB14_04670
ko:K17758	hcn:HPB14_06525
ko:K17759	hcn:HPB14_06525
ko:K01007	hcn:HPB14_00585
