ko:K01006	lmot:LMOSLCC2540_1949
ko:K01890	lmot:LMOSLCC2540_1201
ko:K02003	lmot:LMOSLCC2540_1202
ko:K03648	lmot:LMOSLCC2540_1207
ko:K09888	lmot:LMOSLCC2540_1209
ko:K02347	lmot:LMOSLCC2540_1211
ko:K07456	lmot:LMOSLCC2540_1212
ko:K02356	lmot:LMOSLCC2540_1405
ko:K02160	lmot:LMOSLCC2540_1406
ko:K01961	lmot:LMOSLCC2540_1407
ko:K03625	lmot:LMOSLCC2540_1409
ko:K01491	lmot:LMOSLCC2540_1410
ko:K03601	lmot:LMOSLCC2540_1411
ko:K03602	lmot:LMOSLCC2540_1412
ko:K13789	lmot:LMOSLCC2540_1413
ko:K03704	lmot:LMOSLCC2540_1414
ko:K01662	lmot:LMOSLCC2540_1415
ko:K06442	lmot:LMOSLCC2540_1416
ko:K03402	lmot:LMOSLCC2540_1417
ko:K03671	lmot:LMOSLCC2540_1213
ko:K03703	lmot:LMOSLCC2540_1214
ko:K00928	lmot:LMOSLCC2540_1215
ko:K01776	lmot:LMOSLCC2540_1218
ko:K00948	lmot:LMOSLCC2540_0202
ko:K01114	lmot:LMOSLCC2540_0208
ko:K02897	lmot:LMOSLCC2540_0214
ko:K01056	lmot:LMOSLCC2540_0216
ko:K03723	lmot:LMOSLCC2540_0217
ko:K07571	lmot:LMOSLCC2540_0221
ko:K03798	lmot:LMOSLCC2540_0223
ko:K03525	lmot:LMOSLCC2540_0224
ko:K04083	lmot:LMOSLCC2540_0225
ko:K01738	lmot:LMOSLCC2540_0226
ko:K00796	lmot:LMOSLCC2540_0230
ko:K01633	lmot:LMOSLCC2540_0231
ko:K00950	lmot:LMOSLCC2540_0232
ko:K04567	lmot:LMOSLCC2540_0234
ko:K03696	lmot:LMOSLCC2540_0238
ko:K05823	lmot:LMOSLCC2540_1012
ko:K02000	lmot:LMOSLCC2540_1014
ko:K02001	lmot:LMOSLCC2540_1015
ko:K02002	lmot:LMOSLCC2540_1016
ko:K00243	lmot:LMOSLCC2540_1019
ko:K11622	lmot:LMOSLCC2540_1020
ko:K02529	lmot:LMOSLCC2540_1030
ko:K00563	lmot:LMOSLCC2540_1954
ko:K15738	lmot:LMOSLCC2540_1957
ko:K01938	lmot:LMOSLCC2540_1958
ko:K03704	lmot:LMOSLCC2540_1960
ko:K02954	lmot:LMOSLCC2540_1963
ko:K16169	lmot:LMOSLCC2540_1965
ko:K03816	lmot:LMOSLCC2540_1966
ko:K01299	lmot:LMOSLCC2540_1967
ko:K07444	lmot:LMOSLCC2540_1968
ko:K05366	lmot:LMOSLCC2540_1973
ko:K10773	lmot:LMOSLCC2540_1975
ko:K01893	lmot:LMOSLCC2540_1977
ko:K00812	lmot:LMOSLCC2540_1978
ko:K01579	lmot:LMOSLCC2540_1981
ko:K01918	lmot:LMOSLCC2540_1982
ko:K00606	lmot:LMOSLCC2540_1983
ko:K03524	lmot:LMOSLCC2540_1985
ko:K01734	lmot:LMOSLCC2540_1987
ko:K00215	lmot:LMOSLCC2540_1988
ko:K00656	lmot:LMOSLCC2540_1998
ko:K07007	lmot:LMOSLCC2540_1999
ko:K06973	lmot:LMOSLCC2540_2000
ko:K03734	lmot:LMOSLCC2540_2677
ko:K03885	lmot:LMOSLCC2540_2679
ko:K02358	lmot:LMOSLCC2540_2693
ko:K02355	lmot:LMOSLCC2540_2694
ko:K02992	lmot:LMOSLCC2540_2695
ko:K02950	lmot:LMOSLCC2540_2696
ko:K01129	lmot:LMOSLCC2540_2697
ko:K01783	lmot:LMOSLCC2540_2700
ko:K00615	lmot:LMOSLCC2540_2701
ko:K01783	lmot:LMOSLCC2540_2702
ko:K01808	lmot:LMOSLCC2540_2703
ko:K02774	lmot:LMOSLCC2540_2707
ko:K02773	lmot:LMOSLCC2540_2708
ko:K01808	lmot:LMOSLCC2540_2715
ko:K07667	lmot:LMOSLCC2540_2719
ko:K07646	lmot:LMOSLCC2540_2720
ko:K01548	lmot:LMOSLCC2540_2721
ko:K00800	lmot:LMOSLCC2540_2004
ko:K00817	lmot:LMOSLCC2540_2006
ko:K06208	lmot:LMOSLCC2540_2007
ko:K01735	lmot:LMOSLCC2540_2008
ko:K01736	lmot:LMOSLCC2540_2009
ko:K00940	lmot:LMOSLCC2540_2010
ko:K03183	lmot:LMOSLCC2540_2012
ko:K01495	lmot:LMOSLCC2540_2014
ko:K03530	lmot:LMOSLCC2540_2015
ko:K00057	lmot:LMOSLCC2540_2017
ko:K03977	lmot:LMOSLCC2540_2018
ko:K02945	lmot:LMOSLCC2540_2019
ko:K00945	lmot:LMOSLCC2540_2020
ko:K03654	lmot:LMOSLCC2540_2023
ko:K07651	lmot:LMOSLCC2540_2028
ko:K07775	lmot:LMOSLCC2540_2029
ko:K06178	lmot:LMOSLCC2540_2030
ko:K06024	lmot:LMOSLCC2540_2031
ko:K05896	lmot:LMOSLCC2540_2032
ko:K01586	lmot:LMOSLCC2540_2033
ko:K02818	lmot:LMOSLCC2540_1306
ko:K02819	lmot:LMOSLCC2540_1306
ko:K02114	lmot:LMOSLCC2540_0101
ko:K02404	lmot:LMOSLCC2540_0693
ko:K02392	lmot:LMOSLCC2540_0694
ko:K02556	lmot:LMOSLCC2540_0697
ko:K02557	lmot:LMOSLCC2540_0698
ko:K03415	lmot:LMOSLCC2540_0701
ko:K02406	lmot:LMOSLCC2540_0702
ko:K03413	lmot:LMOSLCC2540_0703
ko:K03407	lmot:LMOSLCC2540_0704
ko:K02417	lmot:LMOSLCC2540_0705
ko:K02389	lmot:LMOSLCC2540_0708
ko:K02390	lmot:LMOSLCC2540_0709
ko:K02417	lmot:LMOSLCC2540_0710
ko:K02416	lmot:LMOSLCC2540_0711
ko:K02417	lmot:LMOSLCC2540_0712
ko:K09770	lmot:LMOSLCC2540_0715
ko:K02396	lmot:LMOSLCC2540_0717
ko:K02397	lmot:LMOSLCC2540_0718
ko:K02407	lmot:LMOSLCC2540_0719
ko:K02422	lmot:LMOSLCC2540_0720
ko:K02387	lmot:LMOSLCC2540_0722
ko:K02388	lmot:LMOSLCC2540_0723
ko:K02408	lmot:LMOSLCC2540_0724
ko:K02409	lmot:LMOSLCC2540_0725
ko:K02410	lmot:LMOSLCC2540_0726
ko:K02411	lmot:LMOSLCC2540_0727
ko:K02412	lmot:LMOSLCC2540_0728
ko:K00820	lmot:LMOSLCC2540_0738
ko:K00615	lmot:LMOSLCC2540_1032
ko:K00615	lmot:LMOSLCC2540_1033
ko:K00864	lmot:LMOSLCC2540_1034
ko:K03752	lmot:LMOSLCC2540_1038
ko:K02016	lmot:LMOSLCC2540_0546
ko:K02781	lmot:LMOSLCC2540_0547
ko:K08325	lmot:LMOSLCC2540_0559
ko:K03305	lmot:LMOSLCC2540_0560
ko:K00262	lmot:LMOSLCC2540_0565
ko:K02500	lmot:LMOSLCC2540_0568
ko:K01814	lmot:LMOSLCC2540_0569
ko:K02501	lmot:LMOSLCC2540_0570
ko:K01693	lmot:LMOSLCC2540_0571
ko:K00013	lmot:LMOSLCC2540_0572
ko:K00765	lmot:LMOSLCC2540_0573
ko:K02502	lmot:LMOSLCC2540_0574
ko:K04486	lmot:LMOSLCC2540_0575
ko:K07443	lmot:LMOSLCC2540_0576
ko:K06901	lmot:LMOSLCC2540_0578
ko:K01223	lmot:LMOSLCC2540_0579
ko:K06999	lmot:LMOSLCC2540_0585
ko:K06969	lmot:LMOSLCC2540_0586
ko:K03070	lmot:LMOSLCC2540_0588
ko:K01839	lmot:LMOSLCC2540_2035
ko:K02015	lmot:LMOSLCC2540_2038
ko:K02015	lmot:LMOSLCC2540_2039
ko:K02016	lmot:LMOSLCC2540_2040
ko:K02013	lmot:LMOSLCC2540_2041
ko:K01448	lmot:LMOSLCC2540_0137
ko:K04485	lmot:LMOSLCC2540_0239
ko:K00991	lmot:LMOSLCC2540_0241
ko:K01770	lmot:LMOSLCC2540_0242
ko:K00640	lmot:LMOSLCC2540_0244
ko:K01883	lmot:LMOSLCC2540_0245
ko:K11145	lmot:LMOSLCC2540_0246
ko:K03218	lmot:LMOSLCC2540_0247
ko:K06962	lmot:LMOSLCC2540_0248
ko:K03091	lmot:LMOSLCC2540_0249
ko:K03073	lmot:LMOSLCC2540_0250
ko:K02601	lmot:LMOSLCC2540_0251
ko:K02867	lmot:LMOSLCC2540_0253
ko:K02863	lmot:LMOSLCC2540_0254
ko:K02864	lmot:LMOSLCC2540_0255
ko:K02935	lmot:LMOSLCC2540_0256
ko:K00690	lmot:LMOSLCC2540_0264
ko:K03043	lmot:LMOSLCC2540_0266
ko:K03046	lmot:LMOSLCC2540_0267
ko:K01223	lmot:LMOSLCC2540_0269
ko:K15975	lmot:LMOSLCC2540_0279
ko:K02034	lmot:LMOSLCC2540_0281
ko:K01223	lmot:LMOSLCC2540_0284
ko:K02018	lmot:LMOSLCC2540_1040
ko:K02020	lmot:LMOSLCC2540_1041
ko:K03750	lmot:LMOSLCC2540_1042
ko:K03753	lmot:LMOSLCC2540_1043
ko:K03636	lmot:LMOSLCC2540_1045
ko:K03637	lmot:LMOSLCC2540_1046
ko:K03639	lmot:LMOSLCC2540_1047
ko:K03638	lmot:LMOSLCC2540_1048
ko:K01462	lmot:LMOSLCC2540_1051
ko:K00161	lmot:LMOSLCC2540_1052
ko:K00162	lmot:LMOSLCC2540_1053
ko:K00627	lmot:LMOSLCC2540_1054
ko:K00382	lmot:LMOSLCC2540_1055
ko:K03284	lmot:LMOSLCC2540_1060
ko:K06207	lmot:LMOSLCC2540_1063
ko:K03588	lmot:LMOSLCC2540_1067
ko:K02016	lmot:LMOSLCC2540_1069
ko:K00963	lmot:LMOSLCC2540_1074
ko:K00973	lmot:LMOSLCC2540_1078
ko:K01790	lmot:LMOSLCC2540_1079
ko:K00067	lmot:LMOSLCC2540_1081
ko:K01669	lmot:LMOSLCC2540_0593
ko:K00641	lmot:LMOSLCC2540_0599
ko:K01740	lmot:LMOSLCC2540_0600
ko:K03523	lmot:LMOSLCC2540_0603
ko:K01118	lmot:LMOSLCC2540_0616
ko:K01126	lmot:LMOSLCC2540_0621
ko:K07090	lmot:LMOSLCC2540_0626
ko:K11203	lmot:LMOSLCC2540_0638
ko:K11202	lmot:LMOSLCC2540_0639
ko:K07726	lmot:LMOSLCC2540_0745
ko:K15975	lmot:LMOSLCC2540_0759
ko:K06999	lmot:LMOSLCC2540_0760
ko:K03665	lmot:LMOSLCC2540_0762
ko:K03800	lmot:LMOSLCC2540_0764
ko:K01118	lmot:LMOSLCC2540_0785
ko:K11737	lmot:LMOSLCC2540_0786
ko:K07150	lmot:LMOSLCC2540_0793
ko:K07118	lmot:LMOSLCC2540_0794
ko:K05786	lmot:LMOSLCC2540_0795
ko:K02072	lmot:LMOSLCC2540_0297
ko:K02071	lmot:LMOSLCC2540_0298
ko:K02073	lmot:LMOSLCC2540_0299
ko:K00783	lmot:LMOSLCC2540_0308
ko:K02761	lmot:LMOSLCC2540_0313
ko:K02760	lmot:LMOSLCC2540_0314
ko:K02759	lmot:LMOSLCC2540_0316
ko:K03707	lmot:LMOSLCC2540_0327
ko:K00878	lmot:LMOSLCC2540_0328
ko:K00941	lmot:LMOSLCC2540_0329
ko:K00788	lmot:LMOSLCC2540_0330
ko:K01223	lmot:LMOSLCC2540_0331
ko:K00763	lmot:LMOSLCC2540_1089
ko:K02760	lmot:LMOSLCC2540_1092
ko:K01951	lmot:LMOSLCC2540_1093
ko:K03827	lmot:LMOSLCC2540_1103
ko:K01358	lmot:LMOSLCC2540_1117
ko:K02304	lmot:LMOSLCC2540_1119
ko:K04031	lmot:LMOSLCC2540_1122
ko:K04029	lmot:LMOSLCC2540_1123
ko:K02231	lmot:LMOSLCC2540_1125
ko:K02233	lmot:LMOSLCC2540_1126
ko:K11733	lmot:LMOSLCC2540_0798
ko:K00847	lmot:LMOSLCC2540_0812
ko:K03324	lmot:LMOSLCC2540_0825
ko:K03737	lmot:LMOSLCC2540_0826
ko:K04041	lmot:LMOSLCC2540_0827
ko:K07088	lmot:LMOSLCC2540_0828
ko:K13256	lmot:LMOSLCC2540_0833
ko:K01534	lmot:LMOSLCC2540_0649
ko:K03284	lmot:LMOSLCC2540_0656
ko:K01421	lmot:LMOSLCC2540_0658
ko:K08976	lmot:LMOSLCC2540_0664
ko:K00868	lmot:LMOSLCC2540_0673
ko:K02419	lmot:LMOSLCC2540_0688
ko:K02420	lmot:LMOSLCC2540_0689
ko:K02421	lmot:LMOSLCC2540_0690
ko:K02401	lmot:LMOSLCC2540_0691
ko:K02400	lmot:LMOSLCC2540_0692
ko:K06975	lmot:LMOSLCC2540_0142
ko:K13919	lmot:LMOSLCC2540_1132
ko:K01889	lmot:LMOSLCC2540_1200
ko:K00615	lmot:LMOSLCC2540_0354
ko:K01808	lmot:LMOSLCC2540_0357
ko:K01803	lmot:LMOSLCC2540_0358
ko:K05879	lmot:LMOSLCC2540_0359
ko:K05878	lmot:LMOSLCC2540_0360
ko:K02769	lmot:LMOSLCC2540_0371
ko:K02770	lmot:LMOSLCC2540_0371
ko:K01624	lmot:LMOSLCC2540_0372
ko:K03118	lmot:LMOSLCC2540_0374
ko:K03116	lmot:LMOSLCC2540_0375
ko:K05995	lmot:LMOSLCC2540_0376
ko:K07243	lmot:LMOSLCC2540_0379
ko:K07224	lmot:LMOSLCC2540_0380
ko:K16301	lmot:LMOSLCC2540_0381
ko:K06193	lmot:LMOSLCC2540_0384
ko:K02346	lmot:LMOSLCC2540_2049
ko:K07124	lmot:LMOSLCC2540_2050
ko:K00036	lmot:LMOSLCC2540_2052
ko:K01687	lmot:LMOSLCC2540_2057
ko:K01652	lmot:LMOSLCC2540_2058
ko:K01653	lmot:LMOSLCC2540_2059
ko:K00053	lmot:LMOSLCC2540_2060
ko:K01649	lmot:LMOSLCC2540_2061
ko:K00052	lmot:LMOSLCC2540_2062
ko:K01703	lmot:LMOSLCC2540_2063
ko:K01704	lmot:LMOSLCC2540_2064
ko:K01754	lmot:LMOSLCC2540_2065
ko:K01575	lmot:LMOSLCC2540_2066
ko:K00756	lmot:LMOSLCC2540_2067
ko:K02529	lmot:LMOSLCC2540_2068
ko:K05346	lmot:LMOSLCC2540_2070
ko:K01652	lmot:LMOSLCC2540_2080
ko:K07718	lmot:LMOSLCC2540_2085
ko:K03704	lmot:LMOSLCC2540_2090
ko:K01547	lmot:LMOSLCC2540_2722
ko:K01546	lmot:LMOSLCC2540_2723
ko:K02760	lmot:LMOSLCC2540_2724
ko:K02761	lmot:LMOSLCC2540_2725
ko:K02759	lmot:LMOSLCC2540_2726
ko:K01531	lmot:LMOSLCC2540_2729
ko:K00943	lmot:LMOSLCC2540_2742
ko:K05878	lmot:LMOSLCC2540_2744
ko:K05879	lmot:LMOSLCC2540_2745
ko:K06187	lmot:LMOSLCC2540_2754
ko:K09747	lmot:LMOSLCC2540_2755
ko:K02343	lmot:LMOSLCC2540_2756
ko:K02761	lmot:LMOSLCC2540_2760
ko:K02761	lmot:LMOSLCC2540_0387
ko:K02760	lmot:LMOSLCC2540_0388
ko:K13920	lmot:LMOSLCC2540_1133
ko:K04024	lmot:LMOSLCC2540_1139
ko:K13922	lmot:LMOSLCC2540_1143
ko:K02440	lmot:LMOSLCC2540_1145
ko:K00925	lmot:LMOSLCC2540_1146
ko:K04019	lmot:LMOSLCC2540_1153
ko:K03735	lmot:LMOSLCC2540_1154
ko:K03736	lmot:LMOSLCC2540_1155
ko:K04026	lmot:LMOSLCC2540_1156
ko:K04032	lmot:LMOSLCC2540_1160
ko:K04023	lmot:LMOSLCC2540_1165
ko:K04030	lmot:LMOSLCC2540_1166
ko:K02224	lmot:LMOSLCC2540_1170
ko:K02227	lmot:LMOSLCC2540_1171
ko:K06042	lmot:LMOSLCC2540_1172
ko:K02188	lmot:LMOSLCC2540_1173
ko:K02191	lmot:LMOSLCC2540_1175
ko:K05936	lmot:LMOSLCC2540_1176
ko:K02189	lmot:LMOSLCC2540_1177
ko:K05895	lmot:LMOSLCC2540_1179
ko:K01778	lmot:LMOSLCC2540_2092
ko:K01870	lmot:LMOSLCC2540_2093
ko:K04074	lmot:LMOSLCC2540_2094
ko:K04487	lmot:LMOSLCC2540_2096
ko:K00278	lmot:LMOSLCC2540_2097
ko:K00767	lmot:LMOSLCC2540_2098
ko:K03517	lmot:LMOSLCC2540_2099
ko:K02221	lmot:LMOSLCC2540_2122
ko:K09772	lmot:LMOSLCC2540_2123
ko:K06997	lmot:LMOSLCC2540_2124
ko:K03531	lmot:LMOSLCC2540_2125
ko:K03590	lmot:LMOSLCC2540_2126
ko:K03589	lmot:LMOSLCC2540_2127
ko:K02563	lmot:LMOSLCC2540_2128
ko:K01925	lmot:LMOSLCC2540_2129
ko:K01000	lmot:LMOSLCC2540_2130
ko:K01928	lmot:LMOSLCC2540_2131
ko:K03438	lmot:LMOSLCC2540_2134
ko:K03925	lmot:LMOSLCC2540_2135
ko:K00077	lmot:LMOSLCC2540_2138
ko:K00426	lmot:LMOSLCC2540_2770
ko:K00425	lmot:LMOSLCC2540_2771
ko:K01895	lmot:LMOSLCC2540_2773
ko:K02768	lmot:LMOSLCC2540_2786
ko:K02769	lmot:LMOSLCC2540_2786
ko:K02770	lmot:LMOSLCC2540_2786
ko:K00865	lmot:LMOSLCC2540_2789
ko:K12410	lmot:LMOSLCC2540_2792
ko:K01875	lmot:LMOSLCC2540_2800
ko:K01921	lmot:LMOSLCC2540_0852
ko:K01929	lmot:LMOSLCC2540_0853
ko:K02529	lmot:LMOSLCC2540_0855
ko:K05592	lmot:LMOSLCC2540_0864
ko:K02759	lmot:LMOSLCC2540_0872
ko:K02760	lmot:LMOSLCC2540_0873
ko:K02761	lmot:LMOSLCC2540_0874
ko:K00231	lmot:LMOSLCC2540_0882
ko:K00997	lmot:LMOSLCC2540_0883
ko:K01775	lmot:LMOSLCC2540_0884
ko:K07723	lmot:LMOSLCC2540_0885
ko:K03321	lmot:LMOSLCC2540_0895
ko:K06959	lmot:LMOSLCC2540_0896
ko:K06978	lmot:LMOSLCC2540_2808
ko:K03654	lmot:LMOSLCC2540_2810
ko:K01223	lmot:LMOSLCC2540_2814
ko:K02760	lmot:LMOSLCC2540_2815
ko:K02761	lmot:LMOSLCC2540_2816
ko:K13542	lmot:LMOSLCC2540_1180
ko:K03394	lmot:LMOSLCC2540_1182
ko:K02007	lmot:LMOSLCC2540_1183
ko:K02232	lmot:LMOSLCC2540_1187
ko:K09936	lmot:LMOSLCC2540_1189
ko:K09936	lmot:LMOSLCC2540_1190
ko:K03437	lmot:LMOSLCC2540_1197
ko:K00995	lmot:LMOSLCC2540_1448
ko:K03823	lmot:LMOSLCC2540_1452
ko:K09769	lmot:LMOSLCC2540_1453
ko:K03555	lmot:LMOSLCC2540_1455
ko:K03572	lmot:LMOSLCC2540_1456
ko:K00656	lmot:LMOSLCC2540_1458
ko:K04069	lmot:LMOSLCC2540_1459
ko:K07727	lmot:LMOSLCC2540_1463
ko:K02911	lmot:LMOSLCC2540_2140
ko:K07040	lmot:LMOSLCC2540_2141
ko:K00954	lmot:LMOSLCC2540_2145
ko:K02259	lmot:LMOSLCC2540_2151
ko:K10716	lmot:LMOSLCC2540_2152
ko:K14166	lmot:LMOSLCC2540_2155
ko:K03282	lmot:LMOSLCC2540_2157
ko:K01442	lmot:LMOSLCC2540_2160
ko:K04077	lmot:LMOSLCC2540_2161
ko:K04078	lmot:LMOSLCC2540_2162
ko:K01926	lmot:LMOSLCC2540_2166
ko:K06158	lmot:LMOSLCC2540_2167
ko:K03789	lmot:LMOSLCC2540_2170
ko:K06925	lmot:LMOSLCC2540_2172
ko:K06199	lmot:LMOSLCC2540_2175
ko:K06199	lmot:LMOSLCC2540_2176
ko:K01940	lmot:LMOSLCC2540_2185
ko:K01755	lmot:LMOSLCC2540_2186
ko:K02759	lmot:LMOSLCC2540_2818
ko:K01919	lmot:LMOSLCC2540_2823
ko:K01223	lmot:LMOSLCC2540_2824
ko:K02003	lmot:LMOSLCC2540_2827
ko:K06942	lmot:LMOSLCC2540_2832
ko:K02759	lmot:LMOSLCC2540_2833
ko:K05349	lmot:LMOSLCC2540_2834
ko:K02760	lmot:LMOSLCC2540_2835
ko:K02761	lmot:LMOSLCC2540_2836
ko:K03781	lmot:LMOSLCC2540_2838
ko:K03501	lmot:LMOSLCC2540_2852
ko:K03495	lmot:LMOSLCC2540_2860
ko:K03650	lmot:LMOSLCC2540_2861
ko:K02851	lmot:LMOSLCC2540_0958
ko:K16644	lmot:LMOSLCC2540_0207
ko:K15770	lmot:LMOSLCC2540_2222
ko:K15770	lmot:LMOSLCC2540_0260
ko:K15772	lmot:LMOSLCC2540_0262
ko:K13730	lmot:LMOSLCC2540_0453
ko:K13731	lmot:LMOSLCC2540_0454
ko:K07979	lmot:LMOSLCC2540_2340
ko:K15772	lmot:LMOSLCC2540_2220
ko:K15771	lmot:LMOSLCC2540_2221
ko:K16786	lmot:LMOSLCC2540_2642
ko:K02768	lmot:LMOSLCC2540_0445
ko:K02026	lmot:LMOSLCC2540_0182
ko:K02025	lmot:LMOSLCC2540_0766
ko:K16787	lmot:LMOSLCC2540_2641
ko:K16785	lmot:LMOSLCC2540_2640
ko:K09681	lmot:LMOSLCC2540_1815
ko:K00980	lmot:LMOSLCC2540_1086
ko:K16789	lmot:LMOSLCC2540_1508
ko:K01838	lmot:LMOSLCC2540_2881
ko:K02768	lmot:LMOSLCC2540_0420
ko:K02768	lmot:LMOSLCC2540_2234
ko:K02768	lmot:LMOSLCC2540_0637
ko:K02025	lmot:LMOSLCC2540_0181
ko:K13052	lmot:LMOSLCC2540_0220
ko:K10947	lmot:LMOSLCC2540_0731
ko:K03574	lmot:LMOSLCC2540_1701
ko:K16785	lmot:LMOSLCC2540_2675
ko:K02768	lmot:LMOSLCC2540_0370
ko:K11050	lmot:LMOSLCC2540_0986
ko:K16651	lmot:LMOSLCC2540_1148
ko:K02851	lmot:LMOSLCC2540_2552
ko:K16898	lmot:LMOSLCC2540_2365
ko:K14219	lmot:LMOSLCC2540tRNA32
ko:K01834	lmot:LMOSLCC2540_2304
ko:K14219	lmot:LMOSLCC2540tRNA17
ko:K14218	lmot:LMOSLCC2540tRNA10
ko:K14226	lmot:LMOSLCC2540tRNA50
ko:K14231	lmot:LMOSLCC2540tRNA24
ko:K14230	lmot:LMOSLCC2540tRNA26
ko:K14230	lmot:LMOSLCC2540tRNA28
ko:K14230	lmot:LMOSLCC2540tRNA29
ko:K14236	lmot:LMOSLCC2540tRNA43
ko:K14223	lmot:LMOSLCC2540tRNA44
ko:K14223	lmot:LMOSLCC2540tRNA49
ko:K14222	lmot:LMOSLCC2540tRNA47
ko:K14235	lmot:LMOSLCC2540tRNA51
ko:K02030	lmot:LMOSLCC2540_1818
ko:K02006	lmot:LMOSLCC2540_1186
ko:K01271	lmot:LMOSLCC2540_1658
ko:K14224	lmot:LMOSLCC2540tRNA14
ko:K01980	lmot:LMOSLCC2540rRNA02
ko:K14234	lmot:LMOSLCC2540tRNA63
ko:K14225	lmot:LMOSLCC2540tRNA06
ko:K14225	lmot:LMOSLCC2540tRNA16
ko:K14226	lmot:LMOSLCC2540tRNA23
ko:K14237	lmot:LMOSLCC2540tRNA67
ko:K02226	lmot:LMOSLCC2540_1127
ko:K14220	lmot:LMOSLCC2540tRNA12
ko:K14229	lmot:LMOSLCC2540tRNA04
ko:K11991	lmot:LMOSLCC2540_2772
ko:K01985	lmot:LMOSLCC2540rRNA06
ko:K01985	lmot:LMOSLCC2540rRNA07
ko:K01985	lmot:LMOSLCC2540rRNA16
ko:K01985	lmot:LMOSLCC2540rRNA10
ko:K01985	lmot:LMOSLCC2540rRNA13
ko:K12574	lmot:LMOSLCC2540_1513
ko:K12574	lmot:LMOSLCC2540_1027
ko:K00951	lmot:LMOSLCC2540_1602
ko:K10974	lmot:LMOSLCC2540_0472
ko:K14237	lmot:LMOSLCC2540tRNA02
ko:K14234	lmot:LMOSLCC2540tRNA42
ko:K14228	lmot:LMOSLCC2540tRNA05
ko:K14228	lmot:LMOSLCC2540tRNA07
ko:K14228	lmot:LMOSLCC2540tRNA40
ko:K14228	lmot:LMOSLCC2540tRNA46
ko:K14232	lmot:LMOSLCC2540tRNA09
ko:K01985	lmot:LMOSLCC2540rRNA03
ko:K14233	lmot:LMOSLCC2540tRNA11
ko:K14233	lmot:LMOSLCC2540tRNA19
ko:K14233	lmot:LMOSLCC2540tRNA27
ko:K14233	lmot:LMOSLCC2540tRNA58
ko:K14221	lmot:LMOSLCC2540tRNA15
ko:K14227	lmot:LMOSLCC2540tRNA21
ko:K02008	lmot:LMOSLCC2540_1185
ko:K14229	lmot:LMOSLCC2540tRNA01
ko:K14234	lmot:LMOSLCC2540tRNA03
ko:K14233	lmot:LMOSLCC2540tRNA13
ko:K14221	lmot:LMOSLCC2540tRNA54
ko:K14221	lmot:LMOSLCC2540tRNA25
ko:K00938	lmot:LMOSLCC2540_0012
ko:K02826	lmot:LMOSLCC2540_0013
ko:K02827	lmot:LMOSLCC2540_0014
ko:K02828	lmot:LMOSLCC2540_0015
ko:K02829	lmot:LMOSLCC2540_0016
ko:K07282	lmot:LMOSLCC2540_0017
ko:K01223	lmot:LMOSLCC2540_0018
ko:K02793	lmot:LMOSLCC2540_0021
ko:K02794	lmot:LMOSLCC2540_0022
ko:K02795	lmot:LMOSLCC2540_0023
ko:K06201	lmot:LMOSLCC2540_0026
ko:K02755	lmot:LMOSLCC2540_0027
ko:K02756	lmot:LMOSLCC2540_0027
ko:K02757	lmot:LMOSLCC2540_0027
ko:K02529	lmot:LMOSLCC2540_0037
ko:K04027	lmot:LMOSLCC2540_1159
ko:K02313	lmot:LMOSLCC2540_0001
ko:K02338	lmot:LMOSLCC2540_0002
ko:K03629	lmot:LMOSLCC2540_0005
ko:K02470	lmot:LMOSLCC2540_0006
ko:K02469	lmot:LMOSLCC2540_0007
ko:K06131	lmot:LMOSLCC2540_0008
ko:K00657	lmot:LMOSLCC2540_0009
ko:K00869	lmot:LMOSLCC2540_0011
ko:K14225	lmot:LMOSLCC2540tRNA48
ko:K14219	lmot:LMOSLCC2540tRNA08
ko:K14219	lmot:LMOSLCC2540tRNA39
ko:K14219	lmot:LMOSLCC2540tRNA62
ko:K16899	lmot:LMOSLCC2540_2366
ko:K16960	lmot:LMOSLCC2540_2381
ko:K09951	lmot:LMOSLCC2540_2633
ko:K16959	lmot:LMOSLCC2540_2382
ko:K16958	lmot:LMOSLCC2540_2383
ko:K16957	lmot:LMOSLCC2540_2384
ko:K09692	lmot:LMOSLCC2540_1070
ko:K11070	lmot:LMOSLCC2540_0808
ko:K10027	lmot:LMOSLCC2540_1000
ko:K14218	lmot:LMOSLCC2540tRNA65
ko:K14218	lmot:LMOSLCC2540tRNA30
ko:K14218	lmot:LMOSLCC2540tRNA60
ko:K14228	lmot:LMOSLCC2540tRNA35
ko:K01992	lmot:LMOSLCC2540_2325
ko:K14232	lmot:LMOSLCC2540tRNA31
ko:K01977	lmot:LMOSLCC2540rRNA12
ko:K01977	lmot:LMOSLCC2540rRNA04
ko:K01977	lmot:LMOSLCC2540rRNA15
ko:K01977	lmot:LMOSLCC2540rRNA09
ko:K01977	lmot:LMOSLCC2540rRNA18
ko:K01990	lmot:LMOSLCC2540_2326
ko:K01992	lmot:LMOSLCC2540_2313
ko:K02029	lmot:LMOSLCC2540_0844
ko:K02030	lmot:LMOSLCC2540_0844
ko:K02029	lmot:LMOSLCC2540_2349
ko:K02030	lmot:LMOSLCC2540_2349
ko:K17319	lmot:LMOSLCC2540_2083
ko:K17318	lmot:LMOSLCC2540_2081
ko:K14229	lmot:LMOSLCC2540tRNA45
ko:K14229	lmot:LMOSLCC2540tRNA36
ko:K02028	lmot:LMOSLCC2540_1819
