ko:K12978	fpj:LA02_140
ko:K03496	fpj:LA02_2027
ko:K00537	fpj:LA02_96
ko:K03574	fpj:LA02_98
ko:K01759	fpj:LA02_99
ko:K01676	fpj:LA02_101
ko:K03655	fpj:LA02_103
ko:K02902	fpj:LA02_105
ko:K02913	fpj:LA02_106
ko:K03610	fpj:LA02_107
ko:K03609	fpj:LA02_108
ko:K03608	fpj:LA02_109
ko:K02065	fpj:LA02_110
ko:K02066	fpj:LA02_111
ko:K02067	fpj:LA02_112
ko:K07323	fpj:LA02_113
ko:K07122	fpj:LA02_114
ko:K04754	fpj:LA02_116
ko:K00568	fpj:LA02_117
ko:K07552	fpj:LA02_129
ko:K07320	fpj:LA02_130
ko:K01883	fpj:LA02_131
ko:K02672	fpj:LA02_133
ko:K11733	fpj:LA02_139
ko:K03466	fpj:LA02_141
ko:K03634	fpj:LA02_142
ko:K03498	fpj:LA02_146
ko:K03607	fpj:LA02_148
ko:K03424	fpj:LA02_934
ko:K11312	fpj:LA02_935
ko:K11312	fpj:LA02_939
ko:K01990	fpj:LA02_942
ko:K01992	fpj:LA02_943
ko:K00858	fpj:LA02_946
ko:K03439	fpj:LA02_947
ko:K01487	fpj:LA02_950
ko:K07090	fpj:LA02_957
ko:K07394	fpj:LA02_956
ko:K09160	fpj:LA02_958
ko:K03625	fpj:LA02_962
ko:K14287	fpj:LA02_964
ko:K01881	fpj:LA02_971
ko:K02426	fpj:LA02_975
ko:K01719	fpj:LA02_976
ko:K01069	fpj:LA02_979
ko:K03583	fpj:LA02_989
ko:K01442	fpj:LA02_991
ko:K11076	fpj:LA02_1760
ko:K11075	fpj:LA02_1761
ko:K11074	fpj:LA02_1762
ko:K02899	fpj:LA02_1764
ko:K02888	fpj:LA02_1765
ko:K01246	fpj:LA02_1766
ko:K03070	fpj:LA02_1768
ko:K03784	fpj:LA02_1771
ko:K03798	fpj:LA02_1772
ko:K03701	fpj:LA02_1773
ko:K03624	fpj:LA02_1775
ko:K08084	fpj:LA02_1776
ko:K01810	fpj:LA02_1777
ko:K00949	fpj:LA02_1778
ko:K00088	fpj:LA02_1779
ko:K01255	fpj:LA02_1780
ko:K07091	fpj:LA02_1781
ko:K11720	fpj:LA02_1782
ko:K07263	fpj:LA02_1783
ko:K08316	fpj:LA02_1785
ko:K06169	fpj:LA02_1787
ko:K00757	fpj:LA02_1788
ko:K01489	fpj:LA02_1789
ko:K15633	fpj:LA02_1793
ko:K01875	fpj:LA02_1794
ko:K00847	fpj:LA02_1795
ko:K16013	fpj:LA02_1800
ko:K16012	fpj:LA02_1801
ko:K11103	fpj:LA02_1802
ko:K03321	fpj:LA02_1805
ko:K01993	fpj:LA02_1808
ko:K01126	fpj:LA02_1809
ko:K02445	fpj:LA02_1810
ko:K00609	fpj:LA02_480
ko:K01955	fpj:LA02_481
ko:K01956	fpj:LA02_482
ko:K00569	fpj:LA02_485
ko:K01465	fpj:LA02_486
ko:K09941	fpj:LA02_489
ko:K01591	fpj:LA02_493
ko:K00254	fpj:LA02_494
ko:K07560	fpj:LA02_497
ko:K01193	fpj:LA02_501
ko:K03305	fpj:LA02_502
ko:K00052	fpj:LA02_503
ko:K01704	fpj:LA02_504
ko:K01703	fpj:LA02_505
ko:K01649	fpj:LA02_506
ko:K00826	fpj:LA02_507
ko:K01006	fpj:LA02_508
ko:K13288	fpj:LA02_509
ko:K02356	fpj:LA02_510
ko:K02655	fpj:LA02_511
ko:K02517	fpj:LA02_512
ko:K02517	fpj:LA02_515
ko:K03217	fpj:LA02_516
ko:K08998	fpj:LA02_517
ko:K03536	fpj:LA02_518
ko:K02914	fpj:LA02_519
ko:K00014	fpj:LA02_521
ko:K01924	fpj:LA02_522
ko:K07056	fpj:LA02_523
ko:K07015	fpj:LA02_526
ko:K07160	fpj:LA02_532
ko:K02342	fpj:LA02_1328
ko:K07260	fpj:LA02_1329
ko:K16074	fpj:LA02_1331
ko:K00128	fpj:LA02_1335
ko:K04761	fpj:LA02_1337
ko:K00432	fpj:LA02_1341
ko:K07107	fpj:LA02_1358
ko:K03437	fpj:LA02_1360
ko:K02168	fpj:LA02_1362
ko:K12267	fpj:LA02_1363
ko:K18979	fpj:LA02_1367
ko:K09710	fpj:LA02_1368
ko:K03657	fpj:LA02_1370
ko:K01872	fpj:LA02_1374
ko:K01255	fpj:LA02_1376
ko:K00616	fpj:LA02_1377
ko:K06980	fpj:LA02_1379
ko:K03656	fpj:LA02_1380
ko:K00243	fpj:LA02_1381
ko:K02909	fpj:LA02_154
ko:K01919	fpj:LA02_155
ko:K03980	fpj:LA02_156
ko:K07126	fpj:LA02_157
ko:K06925	fpj:LA02_158
ko:K11754	fpj:LA02_159
ko:K01963	fpj:LA02_160
ko:K00940	fpj:LA02_161
ko:K01937	fpj:LA02_162
ko:K01940	fpj:LA02_164
ko:K01755	fpj:LA02_165
ko:K03402	fpj:LA02_167
ko:K00819	fpj:LA02_166
ko:K00145	fpj:LA02_168
ko:K00620	fpj:LA02_169
ko:K00930	fpj:LA02_170
ko:K00611	fpj:LA02_171
ko:K04079	fpj:LA02_172
ko:K10716	fpj:LA02_173
ko:K02879	fpj:LA02_174
ko:K03040	fpj:LA02_175
ko:K02986	fpj:LA02_176
ko:K02948	fpj:LA02_177
ko:K02952	fpj:LA02_178
ko:K02919	fpj:LA02_179
ko:K03076	fpj:LA02_180
ko:K02876	fpj:LA02_181
ko:K02907	fpj:LA02_182
ko:K02988	fpj:LA02_183
ko:K02881	fpj:LA02_184
ko:K02933	fpj:LA02_185
ko:K02994	fpj:LA02_186
ko:K02954	fpj:LA02_187
ko:K02931	fpj:LA02_188
ko:K02895	fpj:LA02_189
ko:K02874	fpj:LA02_190
ko:K02961	fpj:LA02_191
ko:K02904	fpj:LA02_192
ko:K02878	fpj:LA02_193
ko:K02982	fpj:LA02_194
ko:K02890	fpj:LA02_195
ko:K02965	fpj:LA02_196
ko:K02886	fpj:LA02_197
ko:K02892	fpj:LA02_198
ko:K02926	fpj:LA02_199
ko:K02906	fpj:LA02_200
ko:K02946	fpj:LA02_201
ko:K02355	fpj:LA02_202
ko:K02992	fpj:LA02_203
ko:K02950	fpj:LA02_204
ko:K00995	fpj:LA02_205
ko:K00981	fpj:LA02_207
ko:K03582	fpj:LA02_1002
ko:K03581	fpj:LA02_1003
ko:K03525	fpj:LA02_1004
ko:K01579	fpj:LA02_1005
ko:K01918	fpj:LA02_1006
ko:K00606	fpj:LA02_1007
ko:K01972	fpj:LA02_1009
ko:K03500	fpj:LA02_1011
ko:K01092	fpj:LA02_1013
ko:K06141	fpj:LA02_1015
ko:K09458	fpj:LA02_1018
ko:K02078	fpj:LA02_1019
ko:K00059	fpj:LA02_1020
ko:K00645	fpj:LA02_1021
ko:K00648	fpj:LA02_1022
ko:K03621	fpj:LA02_1023
ko:K02911	fpj:LA02_1024
ko:K07040	fpj:LA02_1025
ko:K00615	fpj:LA02_1026
ko:K17218	fpj:LA02_428
ko:K05340	fpj:LA02_437
ko:K00852	fpj:LA02_438
ko:K01256	fpj:LA02_439
ko:K13498	fpj:LA02_441
ko:K07023	fpj:LA02_443
ko:K07304	fpj:LA02_444
ko:K00766	fpj:LA02_445
ko:K01658	fpj:LA02_446
ko:K01657	fpj:LA02_447
ko:K03720	fpj:LA02_448
ko:K08301	fpj:LA02_451
ko:K02313	fpj:LA02_452
ko:K02338	fpj:LA02_453
ko:K07733	fpj:LA02_471
ko:K03837	fpj:LA02_478
ko:K14540	fpj:LA02_1275
ko:K01443	fpj:LA02_1276
ko:K14742	fpj:LA02_1277
ko:K00812	fpj:LA02_1279
ko:K00939	fpj:LA02_1283
ko:K02663	fpj:LA02_1285
ko:K02664	fpj:LA02_1286
ko:K02665	fpj:LA02_1287
ko:K02666	fpj:LA02_1288
ko:K00891	fpj:LA02_1289
ko:K01735	fpj:LA02_1290
ko:K09159	fpj:LA02_1293
ko:K13821	fpj:LA02_1294
ko:K13038	fpj:LA02_1299
ko:K01785	fpj:LA02_1300
ko:K01689	fpj:LA02_1301
ko:K01669	fpj:LA02_1302
ko:K01772	fpj:LA02_1303
ko:K09928	fpj:LA02_1305
ko:K02687	fpj:LA02_1307
ko:K02346	fpj:LA02_1308
ko:K06158	fpj:LA02_1312
ko:K03674	fpj:LA02_1314
ko:K00024	fpj:LA02_1316
ko:K06134	fpj:LA02_1319
ko:K03386	fpj:LA02_1323
ko:K06193	fpj:LA02_1325
ko:K02427	fpj:LA02_2
ko:K19147	fpj:LA02_1960
ko:K07452	fpj:LA02_1962
ko:K19157	fpj:LA02_473
ko:K01710	fpj:LA02_875
ko:K22468	fpj:LA02_821
ko:K01977	fpj:LA02_1049
ko:K01977	fpj:LA02_380
ko:K01977	fpj:LA02_1998
ko:K00336	fpj:LA02_318
ko:K01183	fpj:LA02_1824
ko:K01992	fpj:LA02_1806
ko:K00526	fpj:LA02_1313
ko:K03676	fpj:LA02_1313
ko:K00525	fpj:LA02_1315
ko:K08156	fpj:LA02_1866
ko:K02650	fpj:LA02_1606
ko:K02650	fpj:LA02_28
ko:K14234	fpj:LA02_450
ko:K14236	fpj:LA02_686
ko:K01980	fpj:LA02_1053
ko:K01980	fpj:LA02_376
ko:K01980	fpj:LA02_1994
ko:K14218	fpj:LA02_1051
ko:K14218	fpj:LA02_378
ko:K14218	fpj:LA02_1996
ko:K14219	fpj:LA02_801
ko:K14228	fpj:LA02_932
ko:K14233	fpj:LA02_1616
ko:K14233	fpj:LA02_66
ko:K14233	fpj:LA02_2000
ko:K14237	fpj:LA02_1837
ko:K14237	fpj:LA02_1999
ko:K14228	fpj:LA02_1175
ko:K14228	fpj:LA02_984
ko:K14228	fpj:LA02_272
ko:K14226	fpj:LA02_1174
ko:K14222	fpj:LA02_983
ko:K14225	fpj:LA02_687
ko:K14230	fpj:LA02_820
ko:K14230	fpj:LA02_307
ko:K14230	fpj:LA02_149
ko:K14221	fpj:LA02_449
ko:K14223	fpj:LA02_603
ko:K14224	fpj:LA02_217
ko:K01985	fpj:LA02_1054
ko:K01985	fpj:LA02_1993
ko:K01985	fpj:LA02_375
ko:K01985	fpj:LA02_1955
ko:K14229	fpj:LA02_1790
ko:K14229	fpj:LA02_1791
ko:K14234	fpj:LA02_688
ko:K14237	fpj:LA02_1519
ko:K14219	fpj:LA02_1173
ko:K14231	fpj:LA02_1171
ko:K14232	fpj:LA02_1172
ko:K14225	fpj:LA02_800
ko:K14225	fpj:LA02_982
ko:K07666	fpj:LA02_827
ko:K14220	fpj:LA02_974
ko:K04517	fpj:LA02_495
ko:K00544	fpj:LA02_579
ko:K19802	fpj:LA02_1343
ko:K19810	fpj:LA02_1635
ko:K05770	fpj:LA02_1361
ko:K03789	fpj:LA02_608
ko:K09796	fpj:LA02_808
ko:K20265	fpj:LA02_759
ko:K20265	fpj:LA02_769
ko:K20265	fpj:LA02_1458
ko:K20265	fpj:LA02_1878
ko:K09690	fpj:LA02_896
ko:K00507	fpj:LA02_701
ko:K00507	fpj:LA02_832
ko:K09691	fpj:LA02_897
ko:K13713	fpj:LA02_24
ko:K20534	fpj:LA02_944
ko:K03271	fpj:LA02_551
ko:K01932	fpj:LA02_1178
ko:K01200	fpj:LA02_1941
ko:K21029	fpj:LA02_1213
ko:K00632	fpj:LA02_854
ko:K03553	fpj:LA02_573
ko:K02314	fpj:LA02_1386
ko:K02316	fpj:LA02_1403
ko:K03462	fpj:LA02_850
ko:K01520	fpj:LA02_206
ko:K00287	fpj:LA02_214
ko:K00560	fpj:LA02_1111
ko:K13522	fpj:LA02_1983
ko:K06217	fpj:LA02_1270
ko:K00558	fpj:LA02_2029
ko:K06919	fpj:LA02_465
ko:K00857	fpj:LA02_1273
ko:K02335	fpj:LA02_659
ko:K02483	fpj:LA02_840
ko:K03293	fpj:LA02_36
ko:K01139	fpj:LA02_1181
ko:K01582	fpj:LA02_1952
ko:K04103	fpj:LA02_567
ko:K21829	fpj:LA02_68
ko:K22116	fpj:LA02_1179
ko:K03595	fpj:LA02_1280
ko:K22132	fpj:LA02_1320
ko:K03892	fpj:LA02_1515
ko:K13566	fpj:LA02_961
