ko:K01966	cpz:CpPAT10_0492
ko:K02356	cpz:CpPAT10_1135
ko:K03786	cpz:CpPAT10_1137
ko:K01735	cpz:CpPAT10_1138
ko:K00891	cpz:CpPAT10_1139
ko:K01736	cpz:CpPAT10_1140
ko:K02654	cpz:CpPAT10_1141
ko:K00014	cpz:CpPAT10_1142
ko:K07082	cpz:CpPAT10_1143
ko:K07447	cpz:CpPAT10_1144
ko:K01872	cpz:CpPAT10_1145
ko:K07478	cpz:CpPAT10_1146
ko:K01876	cpz:CpPAT10_1148
ko:K01421	cpz:CpPAT10_1151
ko:K01752	cpz:CpPAT10_1155
ko:K01892	cpz:CpPAT10_1159
ko:K11065	cpz:CpPAT10_1161
ko:K00759	cpz:CpPAT10_1165
ko:K03439	cpz:CpPAT10_1950
ko:K01126	cpz:CpPAT10_1972
ko:K02445	cpz:CpPAT10_1973
ko:K02013	cpz:CpPAT10_1975
ko:K02015	cpz:CpPAT10_1976
ko:K02016	cpz:CpPAT10_1977
ko:K01875	cpz:CpPAT10_1981
ko:K03710	cpz:CpPAT10_1982
ko:K01126	cpz:CpPAT10_1995
ko:K02834	cpz:CpPAT10_1274
ko:K02519	cpz:CpPAT10_1275
ko:K07742	cpz:CpPAT10_1276
ko:K02600	cpz:CpPAT10_1277
ko:K09748	cpz:CpPAT10_1278
ko:K01881	cpz:CpPAT10_1280
ko:K09861	cpz:CpPAT10_1281
ko:K02224	cpz:CpPAT10_1286
ko:K13580	cpz:CpPAT10_1288
ko:K00116	cpz:CpPAT10_1290
ko:K02232	cpz:CpPAT10_1294
ko:K01265	cpz:CpPAT10_1295
ko:K00099	cpz:CpPAT10_1299
ko:K00981	cpz:CpPAT10_1304
ko:K02838	cpz:CpPAT10_1305
ko:K09903	cpz:CpPAT10_1306
ko:K02357	cpz:CpPAT10_1307
ko:K02967	cpz:CpPAT10_1308
ko:K03733	cpz:CpPAT10_1310
ko:K04096	cpz:CpPAT10_1311
ko:K07391	cpz:CpPAT10_1312
ko:K03470	cpz:CpPAT10_1314
ko:K03100	cpz:CpPAT10_1315
ko:K02884	cpz:CpPAT10_1316
ko:K06959	cpz:CpPAT10_1317
ko:K00554	cpz:CpPAT10_1320
ko:K03980	cpz:CpPAT10_2101
ko:K03088	cpz:CpPAT10_2102
ko:K00384	cpz:CpPAT10_2103
ko:K03671	cpz:CpPAT10_2104
ko:K01448	cpz:CpPAT10_2105
ko:K03501	cpz:CpPAT10_2109
ko:K03217	cpz:CpPAT10_2110
ko:K08998	cpz:CpPAT10_2111
ko:K03536	cpz:CpPAT10_2112
ko:K02914	cpz:CpPAT10_2113
ko:K03074	cpz:CpPAT10_1167
ko:K03072	cpz:CpPAT10_1168
ko:K03210	cpz:CpPAT10_1169
ko:K03551	cpz:CpPAT10_1170
ko:K03550	cpz:CpPAT10_1171
ko:K01159	cpz:CpPAT10_1172
ko:K10805	cpz:CpPAT10_1175
ko:K00995	cpz:CpPAT10_1182
ko:K01868	cpz:CpPAT10_1184
ko:K07156	cpz:CpPAT10_1187
ko:K03684	cpz:CpPAT10_1193
ko:K01662	cpz:CpPAT10_1194
ko:K00886	cpz:CpPAT10_1203
ko:K03086	cpz:CpPAT10_1204
ko:K07560	cpz:CpPAT10_1210
ko:K04564	cpz:CpPAT10_2001
ko:K08224	cpz:CpPAT10_2004
ko:K07146	cpz:CpPAT10_2014
ko:K03217	cpz:CpPAT10_2017
ko:K09125	cpz:CpPAT10_2019
ko:K08369	cpz:CpPAT10_2032
ko:K02939	cpz:CpPAT10_2036
ko:K02990	cpz:CpPAT10_2038
ko:K03975	cpz:CpPAT10_2049
ko:K04047	cpz:CpPAT10_2050
ko:K07146	cpz:CpPAT10_2047
ko:K03524	cpz:CpPAT10_0493
ko:K18926	cpz:CpPAT10_0479
ko:K01897	cpz:CpPAT10_1533
ko:K14232	cpz:CpPAT10_t40
ko:K16147	cpz:CpPAT10_0855
ko:K16148	cpz:CpPAT10_0786
ko:K16164	cpz:CpPAT10_0153
ko:K09146	cpz:CpPAT10_0764
ko:K15525	cpz:CpPAT10_0768
ko:K00674	cpz:CpPAT10_0775
ko:K00674	cpz:CpPAT10_0777
ko:K01439	cpz:CpPAT10_0778
ko:K13693	cpz:CpPAT10_0781
ko:K03593	cpz:CpPAT10_0792
ko:K01616	cpz:CpPAT10_0796
ko:K03929	cpz:CpPAT10_0800
ko:K03307	cpz:CpPAT10_0805
ko:K02351	cpz:CpPAT10_1627
ko:K07245	cpz:CpPAT10_1627
ko:K02056	cpz:CpPAT10_0018
ko:K07052	cpz:CpPAT10_0040
ko:K11709	cpz:CpPAT10_0113
ko:K11707	cpz:CpPAT10_0115
ko:K04517	cpz:CpPAT10_0132
ko:K06994	cpz:CpPAT10_0135
ko:K01885	cpz:CpPAT10_0137
ko:K03299	cpz:CpPAT10_0138
ko:K00851	cpz:CpPAT10_0139
ko:K00046	cpz:CpPAT10_0141
ko:K03299	cpz:CpPAT10_0148
ko:K07009	cpz:CpPAT10_0156
ko:K02342	cpz:CpPAT10_0158
ko:K03784	cpz:CpPAT10_0163
ko:K01619	cpz:CpPAT10_0165
ko:K06877	cpz:CpPAT10_0229
ko:K01322	cpz:CpPAT10_0242
ko:K00241	cpz:CpPAT10_0247
ko:K15521	cpz:CpPAT10_0262
ko:K07768	cpz:CpPAT10_0264
ko:K07776	cpz:CpPAT10_0265
ko:K02035	cpz:CpPAT10_0362
ko:K02033	cpz:CpPAT10_0365
ko:K01424	cpz:CpPAT10_0372
ko:K10716	cpz:CpPAT10_0545
ko:K14235	cpz:CpPAT10_t14
ko:K02025	cpz:CpPAT10_0500
ko:K07670	cpz:CpPAT10_0518
ko:K07654	cpz:CpPAT10_0519
ko:K00508	cpz:CpPAT10_0528
ko:K10563	cpz:CpPAT10_1332
ko:K01496	cpz:CpPAT10_1349
ko:K01092	cpz:CpPAT10_1351
ko:K01814	cpz:CpPAT10_1352
ko:K01817	cpz:CpPAT10_1352
ko:K02342	cpz:CpPAT10_1364
ko:K02028	cpz:CpPAT10_0922
ko:K01962	cpz:CpPAT10_0608
ko:K01963	cpz:CpPAT10_0608
ko:K01692	cpz:CpPAT10_0611
ko:K02035	cpz:CpPAT10_0624
ko:K02033	cpz:CpPAT10_0625
ko:K02228	cpz:CpPAT10_0630
ko:K01082	cpz:CpPAT10_0634
ko:K03649	cpz:CpPAT10_0636
ko:K05522	cpz:CpPAT10_0637
ko:K00135	cpz:CpPAT10_0640
ko:K04093	cpz:CpPAT10_0641
ko:K07316	cpz:CpPAT10_1455
ko:K02004	cpz:CpPAT10_1468
ko:K07035	cpz:CpPAT10_1471
ko:K00088	cpz:CpPAT10_1472
ko:K00939	cpz:CpPAT10_0389
ko:K14743	cpz:CpPAT10_0402
ko:K01409	cpz:CpPAT10_0422
ko:K00088	cpz:CpPAT10_0429
ko:K00088	cpz:CpPAT10_0430
ko:K02077	cpz:CpPAT10_0444
ko:K03709	cpz:CpPAT10_0448
ko:K07258	cpz:CpPAT10_0468
ko:K01488	cpz:CpPAT10_0469
ko:K01958	cpz:CpPAT10_0478
ko:K11263	cpz:CpPAT10_0481
ko:K01011	cpz:CpPAT10_0482
ko:K00852	cpz:CpPAT10_0488
ko:K01966	cpz:CpPAT10_0491
ko:K07669	cpz:CpPAT10_0660
ko:K07653	cpz:CpPAT10_0661
ko:K08372	cpz:CpPAT10_0662
ko:K01934	cpz:CpPAT10_0667
ko:K01259	cpz:CpPAT10_0695
ko:K01104	cpz:CpPAT10_1493
ko:K02566	cpz:CpPAT10_1501
ko:K03711	cpz:CpPAT10_1519
ko:K07177	cpz:CpPAT10_0551
ko:K09118	cpz:CpPAT10_0554
ko:K00368	cpz:CpPAT10_0562
ko:K05602	cpz:CpPAT10_0575
ko:K12942	cpz:CpPAT10_0579
ko:K10843	cpz:CpPAT10_0592
ko:K01424	cpz:CpPAT10_1379
ko:K13787	cpz:CpPAT10_1405
ko:K00845	cpz:CpPAT10_1413
ko:K13668	cpz:CpPAT10_1414
ko:K03891	cpz:CpPAT10_1417
ko:K03890	cpz:CpPAT10_1418
ko:K03889	cpz:CpPAT10_1419
ko:K15733	cpz:CpPAT10_1185
ko:K07120	cpz:CpPAT10_0079
ko:K07386	cpz:CpPAT10_0095
ko:K11387	cpz:CpPAT10_0099
ko:K13686	cpz:CpPAT10_0100
ko:K11710	cpz:CpPAT10_0111
ko:K11708	cpz:CpPAT10_0112
ko:K07657	cpz:CpPAT10_0187
ko:K05570	cpz:CpPAT10_0190
ko:K05568	cpz:CpPAT10_0192
ko:K05565	cpz:CpPAT10_0194
ko:K06196	cpz:CpPAT10_0290
ko:K02549	cpz:CpPAT10_0303
ko:K12583	cpz:CpPAT10_0306
ko:K00016	cpz:CpPAT10_0308
ko:K03475	cpz:CpPAT10_0083
ko:K00805	cpz:CpPAT10_0310
ko:K01372	cpz:CpPAT10_0316a
ko:K02428	cpz:CpPAT10_0710
ko:K09009	cpz:CpPAT10_0714
ko:K12503	cpz:CpPAT10_0723
ko:K00867	cpz:CpPAT10_0725
ko:K01679	cpz:CpPAT10_0735
ko:K02446	cpz:CpPAT10_0736
ko:K01823	cpz:CpPAT10_1540
ko:K02035	cpz:CpPAT10_1551
ko:K02033	cpz:CpPAT10_1552
ko:K02238	cpz:CpPAT10_1574
ko:K07030	cpz:CpPAT10_0915
ko:K08974	cpz:CpPAT10_0925
ko:K02755	cpz:CpPAT10_0931
ko:K02756	cpz:CpPAT10_0931
ko:K02757	cpz:CpPAT10_0931
ko:K03499	cpz:CpPAT10_1736
ko:K03932	cpz:CpPAT10_1757
ko:K03386	cpz:CpPAT10_1218
ko:K03436	cpz:CpPAT10_1225
ko:K08483	cpz:CpPAT10_1226
ko:K03436	cpz:CpPAT10_1227
ko:K00882	cpz:CpPAT10_1228
ko:K11189	cpz:CpPAT10_1231
ko:K03743	cpz:CpPAT10_1253
ko:K05794	cpz:CpPAT10_1256
ko:K02004	cpz:CpPAT10_2057
ko:K04750	cpz:CpPAT10_0811
ko:K00666	cpz:CpPAT10_0834
ko:K07503	cpz:CpPAT10_0850
ko:K01847	cpz:CpPAT10_1063
ko:K01847	cpz:CpPAT10_1064
ko:K04488	cpz:CpPAT10_1085
ko:K14339	cpz:CpPAT10_1091
ko:K00616	cpz:CpPAT10_1097
ko:K09762	cpz:CpPAT10_1106
ko:K13953	cpz:CpPAT10_1893
ko:K13640	cpz:CpPAT10_1897
ko:K02033	cpz:CpPAT10_1910
ko:K00135	cpz:CpPAT10_1939
ko:K01788	cpz:CpPAT10_2065
ko:K00845	cpz:CpPAT10_2066
ko:K02035	cpz:CpPAT10_2068
ko:K02033	cpz:CpPAT10_2069
ko:K02031	cpz:CpPAT10_2070
ko:K02034	cpz:CpPAT10_2070
ko:K07052	cpz:CpPAT10_2074
ko:K00970	cpz:CpPAT10_2098
ko:K02564	cpz:CpPAT10_2063
ko:K02428	cpz:CpPAT10_1655
ko:K02274	cpz:CpPAT10_1670
ko:K03647	cpz:CpPAT10_1676
ko:K01916	cpz:CpPAT10_1679
ko:K00700	cpz:CpPAT10_0854
ko:K01515	cpz:CpPAT10_0964
ko:K04763	cpz:CpPAT10_0965
ko:K07792	cpz:CpPAT10_0977
ko:K06889	cpz:CpPAT10_0992
ko:K07397	cpz:CpPAT10_0992
ko:K00033	cpz:CpPAT10_1004
ko:K01507	cpz:CpPAT10_1798
ko:K05565	cpz:CpPAT10_1814
ko:K05568	cpz:CpPAT10_1816
ko:K05570	cpz:CpPAT10_1818
ko:K03574	cpz:CpPAT10_1830
ko:K14949	cpz:CpPAT10_1833
ko:K07054	cpz:CpPAT10_1149
ko:K03768	cpz:CpPAT10_1162
ko:K01596	cpz:CpPAT10_1949
ko:K06860	cpz:CpPAT10_1951
ko:K12437	cpz:CpPAT10_1958
ko:K12428	cpz:CpPAT10_1959
ko:K13687	cpz:CpPAT10_1965
ko:K14136	cpz:CpPAT10_1966
ko:K01854	cpz:CpPAT10_1974
ko:K04518	cpz:CpPAT10_1986
ko:K03317	cpz:CpPAT10_1996
ko:K01489	cpz:CpPAT10_1997
ko:K00758	cpz:CpPAT10_1998
ko:K00016	cpz:CpPAT10_1999
ko:K03177	cpz:CpPAT10_1269
ko:K00567	cpz:CpPAT10_1285
ko:K03404	cpz:CpPAT10_1289
ko:K02342	cpz:CpPAT10_0865
ko:K02433	cpz:CpPAT10_0869
ko:K00058	cpz:CpPAT10_0895
ko:K07182	cpz:CpPAT10_0897
ko:K02342	cpz:CpPAT10_0898
ko:K01885	cpz:CpPAT10_0902
ko:K03932	cpz:CpPAT10_0903
ko:K01835	cpz:CpPAT10_1690
ko:K02004	cpz:CpPAT10_1693
ko:K16013	cpz:CpPAT10_1705
ko:K16012	cpz:CpPAT10_1706
ko:K15520	cpz:CpPAT10_1715
ko:K02619	cpz:CpPAT10_1719
ko:K03647	cpz:CpPAT10_1725
ko:K00721	cpz:CpPAT10_1015
ko:K13540	cpz:CpPAT10_1021
ko:K00595	cpz:CpPAT10_1024
ko:K03727	cpz:CpPAT10_1027
ko:K13573	cpz:CpPAT10_1030
ko:K13571	cpz:CpPAT10_1032
ko:K13570	cpz:CpPAT10_1033
ko:K13527	cpz:CpPAT10_1035
ko:K07442	cpz:CpPAT10_1036
ko:K01523	cpz:CpPAT10_1044
ko:K00548	cpz:CpPAT10_1046
ko:K15526	cpz:CpPAT10_1048
ko:K06910	cpz:CpPAT10_1055
ko:K07588	cpz:CpPAT10_1062
ko:K02348	cpz:CpPAT10_1837
ko:K10947	cpz:CpPAT10_1861
ko:K01011	cpz:CpPAT10_1869
ko:K02004	cpz:CpPAT10_1888
ko:K02005	cpz:CpPAT10_1890
ko:K02035	cpz:CpPAT10_1166
ko:K08256	cpz:CpPAT10_1180
ko:K07305	cpz:CpPAT10_1190
ko:K03087	cpz:CpPAT10_1211
ko:K03709	cpz:CpPAT10_1212
ko:K01784	cpz:CpPAT10_1213
ko:K07304	cpz:CpPAT10_2000
ko:K13671	cpz:CpPAT10_2008
ko:K06177	cpz:CpPAT10_2022
ko:K14232	cpz:CpPAT10_t48
ko:K18955	cpz:CpPAT10_0507
ko:K01840	cpz:CpPAT10_0166
ko:K01840	cpz:CpPAT10_0475
ko:K01834	cpz:CpPAT10_0263
ko:K01840	cpz:CpPAT10_0510
ko:K01977	cpz:CpPAT10_r09
ko:K01977	cpz:CpPAT10_r12
ko:K01977	cpz:CpPAT10_r10
ko:K01977	cpz:CpPAT10_r11
ko:K14222	cpz:CpPAT10_t22
ko:K16264	cpz:CpPAT10_0892
ko:K15772	cpz:CpPAT10_0383
ko:K16653	cpz:CpPAT10_0102
ko:K15770	cpz:CpPAT10_0381
ko:K15771	cpz:CpPAT10_0382
ko:K16783	cpz:CpPAT10_1250
ko:K02484	cpz:CpPAT10_1741
ko:K01985	cpz:CpPAT10_r01
ko:K01985	cpz:CpPAT10_r03
ko:K01985	cpz:CpPAT10_r02
ko:K01985	cpz:CpPAT10_r04
ko:K00130	cpz:CpPAT10_1783
ko:K16784	cpz:CpPAT10_1249
ko:K16652	cpz:CpPAT10_0101
ko:K16647	cpz:CpPAT10_1189
ko:K16650	cpz:CpPAT10_1968
ko:K16649	cpz:CpPAT10_0108
ko:K02851	cpz:CpPAT10_0839
ko:K16648	cpz:CpPAT10_1942
ko:K02030	cpz:CpPAT10_0924
ko:K02030	cpz:CpPAT10_1832
ko:K11991	cpz:CpPAT10_0134
ko:K01906	cpz:CpPAT10_1177
ko:K02031	cpz:CpPAT10_0761
ko:K02032	cpz:CpPAT10_0761
ko:K14219	cpz:CpPAT10_t47
ko:K14225	cpz:CpPAT10_t30
ko:K14228	cpz:CpPAT10_t38
ko:K14233	cpz:CpPAT10_t49
ko:K14219	cpz:CpPAT10_t46
ko:K01980	cpz:CpPAT10_r05
ko:K01980	cpz:CpPAT10_r08
ko:K01980	cpz:CpPAT10_r07
ko:K01980	cpz:CpPAT10_r06
ko:K14228	cpz:CpPAT10_t17
ko:K14228	cpz:CpPAT10_t45
ko:K14228	cpz:CpPAT10_t20
ko:K14224	cpz:CpPAT10_t19
ko:K14231	cpz:CpPAT10_t36
ko:K14234	cpz:CpPAT10_t31
ko:K14232	cpz:CpPAT10_t44
ko:K14237	cpz:CpPAT10_t43
ko:K14237	cpz:CpPAT10_t23
ko:K14237	cpz:CpPAT10_t42
ko:K14220	cpz:CpPAT10_t25
ko:K14226	cpz:CpPAT10_t27
ko:K14218	cpz:CpPAT10_t37
ko:K02768	cpz:CpPAT10_1318
ko:K02769	cpz:CpPAT10_1318
ko:K02770	cpz:CpPAT10_1318
ko:K08316	cpz:CpPAT10_0918
ko:K00966	cpz:CpPAT10_0505
ko:K14234	cpz:CpPAT10_t12
ko:K14225	cpz:CpPAT10_t39
ko:K14225	cpz:CpPAT10_t21
ko:K14225	cpz:CpPAT10_t24
ko:K00108	cpz:CpPAT10_1785
ko:K16870	cpz:CpPAT10_0504
ko:K02303	cpz:CpPAT10_1282
ko:K16925	cpz:CpPAT10_0753
ko:K16786	cpz:CpPAT10_0754
ko:K16787	cpz:CpPAT10_0754
ko:K16785	cpz:CpPAT10_0755
ko:K14227	cpz:CpPAT10_t01
ko:K14228	cpz:CpPAT10_t04
ko:K14233	cpz:CpPAT10_t06
ko:K14234	cpz:CpPAT10_t10
ko:K14236	cpz:CpPAT10_t11
ko:K14223	cpz:CpPAT10_t16
ko:K14223	cpz:CpPAT10_t18
ko:K14224	cpz:CpPAT10_t33
ko:K14229	cpz:CpPAT10_t29
ko:K14229	cpz:CpPAT10_t32
ko:K14221	cpz:CpPAT10_t34
ko:K14221	cpz:CpPAT10_t35
ko:K14218	cpz:CpPAT10_t02
ko:K14218	cpz:CpPAT10_t03
ko:K14233	cpz:CpPAT10_t05
ko:K14233	cpz:CpPAT10_t09
ko:K14219	cpz:CpPAT10_t07
ko:K14219	cpz:CpPAT10_t08
ko:K14219	cpz:CpPAT10_t26
ko:K14230	cpz:CpPAT10_t13
ko:K14230	cpz:CpPAT10_t15
ko:K14230	cpz:CpPAT10_t41
ko:K15582	cpz:CpPAT10_0760
ko:K15581	cpz:CpPAT10_0759
ko:K01990	cpz:CpPAT10_1879
ko:K01992	cpz:CpPAT10_1880
ko:K01992	cpz:CpPAT10_0197
ko:K01992	cpz:CpPAT10_1857
ko:K01990	cpz:CpPAT10_1858
ko:K01990	cpz:CpPAT10_2025
ko:K00951	cpz:CpPAT10_1164
ko:K01897	cpz:CpPAT10_0261
ko:K15580	cpz:CpPAT10_0758
ko:K10112	cpz:CpPAT10_0387
ko:K03416	cpz:CpPAT10_0570
ko:K17489	cpz:CpPAT10_0571
ko:K01990	cpz:CpPAT10_1092
ko:K01990	cpz:CpPAT10_1626
ko:K01990	cpz:CpPAT10_1829
ko:K17490	cpz:CpPAT10_0573
ko:K01186	cpz:CpPAT10_0391
ko:K17489	cpz:CpPAT10_0572
ko:K17686	cpz:CpPAT10_2031
ko:K03671	cpz:CpPAT10_2029
ko:K02010	cpz:CpPAT10_0183
ko:K03767	cpz:CpPAT10_0020
ko:K00537	cpz:CpPAT10_0763
ko:K11928	cpz:CpPAT10_0814
ko:K01658	cpz:CpPAT10_2087
ko:K19745	cpz:CpPAT10_1634
ko:K02026	cpz:CpPAT10_0499
ko:K07284	cpz:CpPAT10_1875
ko:K01267	cpz:CpPAT10_1037
ko:K14337	cpz:CpPAT10_1406
ko:K02027	cpz:CpPAT10_0501
ko:K07284	cpz:CpPAT10_1877
ko:K07284	cpz:CpPAT10_1906
ko:K00254	cpz:CpPAT10_1052
ko:K08168	cpz:CpPAT10_0164
ko:K17883	cpz:CpPAT10_1292
ko:K02031	cpz:CpPAT10_0363
ko:K02032	cpz:CpPAT10_0363
ko:K02031	cpz:CpPAT10_0627
ko:K02032	cpz:CpPAT10_0627
ko:K02031	cpz:CpPAT10_1554
ko:K02032	cpz:CpPAT10_1554
ko:K02058	cpz:CpPAT10_0016
ko:K21480	cpz:CpPAT10_1480
ko:K18118	cpz:CpPAT10_1707
ko:K21687	cpz:CpPAT10_0595
ko:K21688	cpz:CpPAT10_0681
ko:K02909	cpz:CpPAT10_0658
ko:K07052	cpz:CpPAT10_1652
ko:K02919	cpz:CpPAT10_1678
ko:K07052	cpz:CpPAT10_1778
ko:K00299	cpz:CpPAT10_1154
ko:K13671	cpz:CpPAT10_1963
ko:K00652	cpz:CpPAT10_1178
ko:K01619	cpz:CpPAT10_0253
ko:K04078	cpz:CpPAT10_0423
ko:K18292	cpz:CpPAT10_1156
ko:K02483	cpz:CpPAT10_1742
ko:K16237	cpz:CpPAT10_0776
ko:K16237	cpz:CpPAT10_0774
ko:K18455	cpz:CpPAT10_0721
ko:K03574	cpz:CpPAT10_0909
ko:K01990	cpz:CpPAT10_0117
ko:K01992	cpz:CpPAT10_0118
ko:K02032	cpz:CpPAT10_1908
ko:K02032	cpz:CpPAT10_2071
ko:K18917	cpz:CpPAT10_0631
ko:K18955	cpz:CpPAT10_0535
ko:K18929	cpz:CpPAT10_0826
ko:K18928	cpz:CpPAT10_0827
ko:K04565	cpz:CpPAT10_0609
ko:K03111	cpz:CpPAT10_1616
ko:K03496	cpz:CpPAT10_0966
ko:K03111	cpz:CpPAT10_2037
ko:K03497	cpz:CpPAT10_2107
ko:K03496	cpz:CpPAT10_2108
ko:K03976	cpz:CpPAT10_0532
ko:K03526	cpz:CpPAT10_1297
ko:K19125	cpz:CpPAT10_0025
ko:K00067	cpz:CpPAT10_0239
ko:K01790	cpz:CpPAT10_0239
ko:K10563	cpz:CpPAT10_2051
ko:K19221	cpz:CpPAT10_1287
ko:K00798	cpz:CpPAT10_1696
ko:K01710	cpz:CpPAT10_0240
ko:K01239	cpz:CpPAT10_1776
ko:K01239	cpz:CpPAT10_1267
ko:K19302	cpz:CpPAT10_0116
ko:K00020	cpz:CpPAT10_0149
ko:K19265	cpz:CpPAT10_0880
ko:K01785	cpz:CpPAT10_0804
ko:K03722	cpz:CpPAT10_1663
ko:K19302	cpz:CpPAT10_1970
ko:K00526	cpz:CpPAT10_1672
ko:K01992	cpz:CpPAT10_1828
ko:K06867	cpz:CpPAT10_1532
ko:K06867	cpz:CpPAT10_1572
ko:K06881	cpz:CpPAT10_1273
ko:K19577	cpz:CpPAT10_0462
ko:K06221	cpz:CpPAT10_0610
ko:K19710	cpz:CpPAT10_1183
ko:K19784	cpz:CpPAT10_2002
ko:K07119	cpz:CpPAT10_1639
ko:K02033	cpz:CpPAT10_1562
ko:K02034	cpz:CpPAT10_1562
ko:K09796	cpz:CpPAT10_1186
ko:K12132	cpz:CpPAT10_0033
ko:K12132	cpz:CpPAT10_1408
ko:K12132	cpz:CpPAT10_0034
ko:K20074	cpz:CpPAT10_0037
ko:K20468	cpz:CpPAT10_1953
ko:K20470	cpz:CpPAT10_1952
ko:K01214	cpz:CpPAT10_1363
ko:K01200	cpz:CpPAT10_0702
ko:K20814	cpz:CpPAT10_1034
ko:K21071	cpz:CpPAT10_0878
ko:K01768	cpz:CpPAT10_0233
ko:K00821	cpz:CpPAT10_0949
ko:K21636	cpz:CpPAT10_0337
ko:K02335	cpz:CpPAT10_0927
ko:K18955	cpz:CpPAT10_0207
ko:K00287	cpz:CpPAT10_0632
ko:K00560	cpz:CpPAT10_0633
ko:K02316	cpz:CpPAT10_1507
ko:K06217	cpz:CpPAT10_1527
ko:K06191	cpz:CpPAT10_1677
ko:K07465	cpz:CpPAT10_1038
ko:K01520	cpz:CpPAT10_1198
ko:K02314	cpz:CpPAT10_2033
ko:K03553	cpz:CpPAT10_1246
ko:K03465	cpz:CpPAT10_1262
ko:K00525	cpz:CpPAT10_1675
ko:K09820	cpz:CpPAT10_0323
ko:K01436	cpz:CpPAT10_0476
ko:K22468	cpz:CpPAT10_0687
ko:K09819	cpz:CpPAT10_0324
ko:K02075	cpz:CpPAT10_0447
ko:K02075	cpz:CpPAT10_0446
ko:K02074	cpz:CpPAT10_0445
ko:K00526	cpz:CpPAT10_1726
ko:K21481	cpz:CpPAT10_1641
ko:K21473	cpz:CpPAT10_1072
ko:K05364	cpz:CpPAT10_0035
ko:K21471	cpz:CpPAT10_1415
ko:K21401	cpz:CpPAT10_0309
ko:K21498	cpz:CpPAT10_1039
ko:K10914	cpz:CpPAT10_0211
ko:K21685	cpz:CpPAT10_1697
ko:K21962	cpz:CpPAT10_1075
ko:K22044	cpz:CpPAT10_0888
ko:K22044	cpz:CpPAT10_1610
ko:K03595	cpz:CpPAT10_1523
ko:K00666	cpz:CpPAT10_0236
ko:K01046	cpz:CpPAT10_0069
ko:K00020	cpz:CpPAT10_0286
ko:K17758	cpz:CpPAT10_2052
ko:K17759	cpz:CpPAT10_2052
ko:K22316	cpz:CpPAT10_1488
ko:K02257	cpz:CpPAT10_1095
ko:K22311	cpz:CpPAT10_1181
ko:K22476	cpz:CpPAT10_1825
ko:K00728	cpz:CpPAT10_0674
ko:K22468	cpz:CpPAT10_1806
ko:K08300	cpz:CpPAT10_1588
ko:K08301	cpz:CpPAT10_1588
ko:K07566	cpz:CpPAT10_0838
