ko:K06896	sjj:SPJ_0697
ko:K01653	sjj:SPJ_0429
ko:K00053	sjj:SPJ_0430
ko:K01754	sjj:SPJ_0433
ko:K06153	sjj:SPJ_0442
ko:K02346	sjj:SPJ_0443
ko:K00656	sjj:SPJ_0444
ko:K03498	sjj:SPJ_0450
ko:K03499	sjj:SPJ_0451
ko:K03624	sjj:SPJ_1419
ko:K01924	sjj:SPJ_1424
ko:K05362	sjj:SPJ_1434
ko:K07461	sjj:SPJ_1439
ko:K07570	sjj:SPJ_1441
ko:K02963	sjj:SPJ_1443
ko:K03111	sjj:SPJ_1444
ko:K02990	sjj:SPJ_1445
ko:K01893	sjj:SPJ_1446
ko:K09861	sjj:SPJ_1454
ko:K01462	sjj:SPJ_1457
ko:K03431	sjj:SPJ_1466
ko:K09762	sjj:SPJ_1470
ko:K06958	sjj:SPJ_1472
ko:K03978	sjj:SPJ_1474
ko:K03544	sjj:SPJ_1475
ko:K00287	sjj:SPJ_1477
ko:K04047	sjj:SPJ_1478
ko:K03216	sjj:SPJ_0457
ko:K03048	sjj:SPJ_0462
ko:K01937	sjj:SPJ_0464
ko:K00927	sjj:SPJ_0468
ko:K03713	sjj:SPJ_0470
ko:K01915	sjj:SPJ_0471
ko:K01154	sjj:SPJ_0474
ko:K01154	sjj:SPJ_0476
ko:K03427	sjj:SPJ_0477
ko:K01153	sjj:SPJ_0478
ko:K03705	sjj:SPJ_0481
ko:K03687	sjj:SPJ_0482
ko:K04043	sjj:SPJ_0483
ko:K03686	sjj:SPJ_0484
ko:K07707	sjj:SPJ_0492
ko:K07706	sjj:SPJ_0493
ko:K03439	sjj:SPJ_0511
ko:K09748	sjj:SPJ_0512
ko:K02600	sjj:SPJ_0513
ko:K07742	sjj:SPJ_0514
ko:K02519	sjj:SPJ_0516
ko:K02834	sjj:SPJ_0517
ko:K09155	sjj:SPJ_0522
ko:K01803	sjj:SPJ_1480
ko:K02004	sjj:SPJ_0552
ko:K02004	sjj:SPJ_0554
ko:K10040	sjj:SPJ_0560
ko:K10039	sjj:SPJ_0561
ko:K10041	sjj:SPJ_0562
ko:K02030	sjj:SPJ_0572
ko:K01190	sjj:SPJ_0596
ko:K03316	sjj:SPJ_0605
ko:K08643	sjj:SPJ_1074
ko:K06183	sjj:SPJ_0630
ko:K10530	sjj:SPJ_0655
ko:K12415	sjj:SPJ_2266
ko:K11072	sjj:SPJ_1288
ko:K01491	sjj:SPJ_0763
ko:K12296	sjj:SPJ_0014
ko:K12295	sjj:SPJ_2264
ko:K12294	sjj:SPJ_2265
ko:K12293	sjj:SPJ_0074
ko:K03492	sjj:SPJ_2026
ko:K08591	sjj:SPJ_0789
ko:K02622	sjj:SPJ_0790
ko:K02621	sjj:SPJ_0792
ko:K00826	sjj:SPJ_0793
ko:K01304	sjj:SPJ_0797
ko:K02945	sjj:SPJ_0801
ko:K02343	sjj:SPJ_0806
ko:K09013	sjj:SPJ_0808
ko:K09015	sjj:SPJ_0809
ko:K11717	sjj:SPJ_0810
ko:K04488	sjj:SPJ_0811
ko:K09014	sjj:SPJ_0812
ko:K07258	sjj:SPJ_0813
ko:K02768	sjj:SPJ_0818
ko:K02769	sjj:SPJ_0818
ko:K02770	sjj:SPJ_0818
ko:K03466	sjj:SPJ_0820
ko:K04487	sjj:SPJ_0822
ko:K03151	sjj:SPJ_0823
ko:K03427	sjj:SPJ_0826
ko:K01154	sjj:SPJ_0828
ko:K01153	sjj:SPJ_0833
ko:K03402	sjj:SPJ_0834
ko:K01281	sjj:SPJ_0835
ko:K02337	sjj:SPJ_0836
ko:K00850	sjj:SPJ_0837
ko:K00873	sjj:SPJ_0838
ko:K07089	sjj:SPJ_0844
ko:K06959	sjj:SPJ_0847
ko:K03095	sjj:SPJ_0848
ko:K02003	sjj:SPJ_0851
ko:K07095	sjj:SPJ_1784
ko:K01776	sjj:SPJ_1786
ko:K09976	sjj:SPJ_1787
ko:K01226	sjj:SPJ_1788
ko:K03486	sjj:SPJ_1790
ko:K05833	sjj:SPJ_1791
ko:K05832	sjj:SPJ_1792
ko:K00690	sjj:SPJ_1802
ko:K03524	sjj:SPJ_1809
ko:K03565	sjj:SPJ_1835
ko:K07586	sjj:SPJ_1836
ko:K04077	sjj:SPJ_1840
ko:K04078	sjj:SPJ_1841
ko:K03111	sjj:SPJ_1842
ko:K01071	sjj:SPJ_1307
ko:K03768	sjj:SPJ_1442
ko:K12270	sjj:SPJ_1657
ko:K04767	sjj:SPJ_0692
ko:K03693	sjj:SPJ_2119
ko:K06400	sjj:SPJ_1903
ko:K00054	sjj:SPJ_1621
ko:K01424	sjj:SPJ_1991
ko:K01104	sjj:SPJ_2034
ko:K12373	sjj:SPJ_0088
ko:K01784	sjj:SPJ_1735
ko:K13747	sjj:SPJ_0861
ko:K07720	sjj:SPJ_0185
ko:K02823	sjj:SPJ_0904
ko:K00917	sjj:SPJ_1107
ko:K01193	sjj:SPJ_1619
ko:K01193	sjj:SPJ_1693
ko:K02503	sjj:SPJ_0487
ko:K01990	sjj:SPJ_0488
ko:K10947	sjj:SPJ_0732
ko:K07335	sjj:SPJ_0782
ko:K02056	sjj:SPJ_0783
ko:K02824	sjj:SPJ_1201
ko:K07025	sjj:SPJ_1090
ko:K10681	sjj:SPJ_0110
ko:K00131	sjj:SPJ_1057
ko:K04518	sjj:SPJ_1269
ko:K11189	sjj:SPJ_1096
ko:K02531	sjj:SPJ_1105
ko:K01739	sjj:SPJ_1429
ko:K12554	sjj:SPJ_0567
ko:K12555	sjj:SPJ_2018
ko:K12573	sjj:SPJ_0916
ko:K13925	sjj:SPJ_1740
ko:K01227	sjj:SPJ_0906
ko:K07284	sjj:SPJ_1133
ko:K01992	sjj:SPJ_0590
ko:K11754	sjj:SPJ_0209
ko:K01916	sjj:SPJ_1318
ko:K13789	sjj:SPJ_1123
ko:K01784	sjj:SPJ_1513
ko:K00215	sjj:SPJ_1463
ko:K03294	sjj:SPJ_0942
ko:K07271	sjj:SPJ_1187
ko:K00687	sjj:SPJ_1568
ko:K03574	sjj:SPJ_1685
ko:K01176	sjj:SPJ_1281
ko:K01537	sjj:SPJ_1459
ko:K09457	sjj:SPJ_1674
ko:K04072	sjj:SPJ_2031
ko:K13953	sjj:SPJ_0293
ko:K07729	sjj:SPJ_2142
ko:K02778	sjj:SPJ_1578
ko:K02779	sjj:SPJ_1578
ko:K12556	sjj:SPJ_0329
ko:K05363	sjj:SPJ_0566
ko:K05337	sjj:SPJ_1511
ko:K00290	sjj:SPJ_0860
ko:K03574	sjj:SPJ_1086
ko:K10819	sjj:SPJ_0556
ko:K02793	sjj:SPJ_0094
ko:K07718	sjj:SPJ_0184
ko:K02793	sjj:SPJ_2190
ko:K01060	sjj:SPJ_1589
ko:K07718	sjj:SPJ_0611
ko:K01835	sjj:SPJ_1399
ko:K07052	sjj:SPJ_1153
ko:K01154	sjj:SPJ_0827
ko:K00974	sjj:SPJ_1462
ko:K01191	sjj:SPJ_2169
ko:K03342	sjj:SPJ_0615
ko:K13678	sjj:SPJ_1013
ko:K01961	sjj:SPJ_0411
ko:K02003	sjj:SPJ_0728
ko:K01155	sjj:SPJ_1755
ko:K14228	sjj:SPJ_1822
ko:K14228	sjj:SPJ_2002
ko:K02004	sjj:SPJ_0852
ko:K02004	sjj:SPJ_0729
ko:K02004	sjj:SPJ_1548
ko:K02004	sjj:SPJ_1980
ko:K00951	sjj:SPJ_1539
ko:K00564	sjj:SPJ_0778
ko:K13940	sjj:SPJ_0301
ko:K03709	sjj:SPJ_1531
ko:K11754	sjj:SPJ_0299
ko:K01819	sjj:SPJ_1109
ko:K07407	sjj:SPJ_1807
ko:K00941	sjj:SPJ_0666
ko:K10118	sjj:SPJ_1805
ko:K14233	sjj:SPJ_1817
ko:K14233	sjj:SPJ_2080
ko:K00949	sjj:SPJ_1974
ko:K02248	sjj:SPJ_2054
ko:K02246	sjj:SPJ_2056
ko:K14225	sjj:SPJ_1814
ko:K14225	sjj:SPJ_2082
ko:K02057	sjj:SPJ_0785
ko:K14228	sjj:SPJ_2074
ko:K02027	sjj:SPJ_1577
ko:K02027	sjj:SPJ_1584
ko:K05847	sjj:SPJ_1767
ko:K07052	sjj:SPJ_0509
ko:K07052	sjj:SPJ_2139
ko:K02035	sjj:SPJ_0794
ko:K01990	sjj:SPJ_1610
ko:K14228	sjj:SPJ_1825
ko:K14228	sjj:SPJ_2005
ko:K14228	sjj:SPJ_1488
ko:K14230	sjj:SPJ_1819
ko:K14221	sjj:SPJ_1827
ko:K14221	sjj:SPJ_2007
ko:K14219	sjj:SPJ_1162
ko:K07474	sjj:SPJ_1871
ko:K07341	sjj:SPJ_0830
ko:K02786	sjj:SPJ_1104
ko:K02029	sjj:SPJ_1403
ko:K02029	sjj:SPJ_0651
ko:K02029	sjj:SPJ_1360
ko:K14219	sjj:SPJ_2267
ko:K14225	sjj:SPJ_1823
ko:K14225	sjj:SPJ_2003
ko:K02010	sjj:SPJ_1731
ko:K14223	sjj:SPJ_0800
ko:K14223	sjj:SPJ_2075
ko:K14260	sjj:SPJ_1987
ko:K14219	sjj:SPJ_1208
ko:K14219	sjj:SPJ_1821
ko:K14219	sjj:SPJ_2001
ko:K10119	sjj:SPJ_1804
ko:K14233	sjj:SPJ_1812
ko:K14155	sjj:SPJ_1428
ko:K14233	sjj:SPJ_0815
ko:K14236	sjj:SPJ_2274
ko:K14236	sjj:SPJ_0799
ko:K14230	sjj:SPJ_1818
ko:K14234	sjj:SPJ_0953
ko:K14218	sjj:SPJ_0017
ko:K14218	sjj:SPJ_2087
ko:K14218	sjj:SPJ_2011
ko:K14218	sjj:SPJ_1831
ko:K14237	sjj:SPJ_2083
ko:K14237	sjj:SPJ_2275
ko:K14237	sjj:SPJ_2273
ko:K14220	sjj:SPJ_0021
ko:K14220	sjj:SPJ_2262
ko:K14229	sjj:SPJ_1826
ko:K14229	sjj:SPJ_2006
ko:K14229	sjj:SPJ_1692
ko:K00868	sjj:SPJ_1502
ko:K14230	sjj:SPJ_1816
ko:K14230	sjj:SPJ_2079
ko:K07052	sjj:SPJ_0866
ko:K02030	sjj:SPJ_1401
ko:K13052	sjj:SPJ_0008
ko:K14231	sjj:SPJ_1815
ko:K14231	sjj:SPJ_2078
ko:K14222	sjj:SPJ_1955
ko:K00674	sjj:SPJ_2117
ko:K14982	sjj:SPJ_0745
ko:K11618	sjj:SPJ_0374
ko:K11617	sjj:SPJ_0373
ko:K14983	sjj:SPJ_0744
ko:K08177	sjj:SPJ_1492
ko:K01980	sjj:SPJ_0019
ko:K01980	sjj:SPJ_2009
ko:K01980	sjj:SPJ_1829
ko:K01980	sjj:SPJ_2085
ko:K01985	sjj:SPJ_0020
ko:K01985	sjj:SPJ_2084
ko:K01985	sjj:SPJ_2008
ko:K01985	sjj:SPJ_1828
ko:K06148	sjj:SPJ_1258
ko:K01992	sjj:SPJ_1279
ko:K03307	sjj:SPJ_1244
ko:K01977	sjj:SPJ_0016
ko:K01977	sjj:SPJ_1832
ko:K01977	sjj:SPJ_2088
ko:K01977	sjj:SPJ_2012
ko:K14188	sjj:SPJ_2202
ko:K01421	sjj:SPJ_2258
ko:K07052	sjj:SPJ_1248
ko:K14227	sjj:SPJ_1813
ko:K14227	sjj:SPJ_2081
ko:K15051	sjj:SPJ_1957
ko:K08986	sjj:SPJ_0843
ko:K07729	sjj:SPJ_0326
ko:K07404	sjj:SPJ_1406
ko:K14234	sjj:SPJ_1824
ko:K14234	sjj:SPJ_2004
ko:K14232	sjj:SPJ_1820
ko:K14232	sjj:SPJ_2000
ko:K10117	sjj:SPJ_1806
ko:K02057	sjj:SPJ_0784
ko:K00965	sjj:SPJ_1757
ko:K00965	sjj:SPJ_1736
ko:K03436	sjj:SPJ_0816
ko:K14226	sjj:SPJ_2076
ko:K14235	sjj:SPJ_2077
ko:K01990	sjj:SPJ_1280
ko:K02005	sjj:SPJ_0727
ko:K02614	sjj:SPJ_1756
ko:K07273	sjj:SPJ_0928
ko:K01271	sjj:SPJ_1496
ko:K01261	sjj:SPJ_1771
ko:K03493	sjj:SPJ_2038
ko:K12960	sjj:SPJ_1256
ko:K02794	sjj:SPJ_2189
ko:K03930	sjj:SPJ_0565
ko:K06909	sjj:SPJ_1870
ko:K14540	sjj:SPJ_1075
ko:K06948	sjj:SPJ_1645
ko:K08316	sjj:SPJ_1963
ko:K11749	sjj:SPJ_0273
ko:K19689	sjj:SPJ_0286
ko:K14652	sjj:SPJ_0193
ko:K00105	sjj:SPJ_2212
ko:K06198	sjj:SPJ_0919
ko:K06147	sjj:SPJ_1334
ko:K01923	sjj:SPJ_0076
ko:K10040	sjj:SPJ_0559
ko:K16169	sjj:SPJ_1753
ko:K06147	sjj:SPJ_1333
ko:K01274	sjj:SPJ_0574
ko:K01819	sjj:SPJ_1108
ko:K03574	sjj:SPJ_1148
ko:K01186	sjj:SPJ_1242
ko:K06147	sjj:SPJ_1257
ko:K02030	sjj:SPJ_1293
ko:K07484	sjj:SPJ_1342
ko:K02028	sjj:SPJ_1359
ko:K00537	sjj:SPJ_1361
ko:K02028	sjj:SPJ_1402
ko:K01186	sjj:SPJ_1581
ko:K01990	sjj:SPJ_1613
ko:K02808	sjj:SPJ_1617
ko:K02809	sjj:SPJ_1617
ko:K02810	sjj:SPJ_1617
ko:K00001	sjj:SPJ_1760
ko:K02817	sjj:SPJ_1789
ko:K02818	sjj:SPJ_1789
ko:K02819	sjj:SPJ_1789
ko:K01447	sjj:SPJ_1932
ko:K06148	sjj:SPJ_1947
ko:K00571	sjj:SPJ_2051
ko:K07491	sjj:SPJ_0311
ko:K01992	sjj:SPJ_1612
ko:K14224	sjj:SPJ_2263
ko:K14224	sjj:SPJ_0015
ko:K14224	sjj:SPJ_2013
ko:K14224	sjj:SPJ_2089
ko:K14224	sjj:SPJ_1833
ko:K01186	sjj:SPJ_1586
ko:K10947	sjj:SPJ_0123
ko:K01101	sjj:SPJ_1306
ko:K03215	sjj:SPJ_0967
ko:K15581	sjj:SPJ_1799
ko:K15583	sjj:SPJ_1797
ko:K02428	sjj:SPJ_1785
ko:K15738	sjj:SPJ_1461
ko:K05352	sjj:SPJ_1184
ko:K15582	sjj:SPJ_1798
ko:K10823	sjj:SPJ_1796
ko:K15986	sjj:SPJ_1438
ko:K12296	sjj:SPJ_2014
ko:K02029	sjj:SPJ_0650
ko:K10716	sjj:SPJ_1136
ko:K02028	sjj:SPJ_0649
ko:K01390	sjj:SPJ_1073
ko:K16511	sjj:SPJ_1262
ko:K16786	sjj:SPJ_0660
ko:K16787	sjj:SPJ_0660
ko:K07482	sjj:SPJ_1417
ko:K16509	sjj:SPJ_1304
ko:K16214	sjj:SPJ_0988
ko:K16264	sjj:SPJ_1762
ko:K16785	sjj:SPJ_0456
ko:K03699	sjj:SPJ_1956
ko:K01223	sjj:SPJ_0275
ko:K15770	sjj:SPJ_2129
ko:K15772	sjj:SPJ_2131
ko:K15771	sjj:SPJ_2130
ko:K16786	sjj:SPJ_2247
ko:K16787	sjj:SPJ_2246
ko:K16785	sjj:SPJ_2245
ko:K16788	sjj:SPJ_1147
ko:K18830	sjj:SPJ_0987
ko:K16786	sjj:SPJ_1337
ko:K16787	sjj:SPJ_1337
ko:K02028	sjj:SPJ_0762
ko:K16786	sjj:SPJ_0455
ko:K16787	sjj:SPJ_0455
ko:K16785	sjj:SPJ_1336
ko:K16785	sjj:SPJ_0661
ko:K00882	sjj:SPJ_0817
ko:K11991	sjj:SPJ_0029
ko:K16868	sjj:SPJ_0918
ko:K16925	sjj:SPJ_0659
ko:K16924	sjj:SPJ_0453
ko:K16926	sjj:SPJ_1335
ko:K16926	sjj:SPJ_0182
ko:K16898	sjj:SPJ_1071
ko:K16899	sjj:SPJ_1070
ko:K02029	sjj:SPJ_1154
ko:K02030	sjj:SPJ_1154
ko:K17319	sjj:SPJ_0115
ko:K17318	sjj:SPJ_1694
ko:K17318	sjj:SPJ_0117
ko:K17319	sjj:SPJ_1696
ko:K01989	sjj:SPJ_1793
ko:K02028	sjj:SPJ_1155
ko:K17320	sjj:SPJ_0116
ko:K17320	sjj:SPJ_1695
ko:K17076	sjj:SPJ_0436
ko:K02029	sjj:SPJ_0761
ko:K17073	sjj:SPJ_0437
ko:K17074	sjj:SPJ_0437
ko:K07260	sjj:SPJ_0581
ko:K02030	sjj:SPJ_0135
ko:K01992	sjj:SPJ_0589
ko:K01992	sjj:SPJ_1996
ko:K15923	sjj:SPJ_1550
ko:K01990	sjj:SPJ_0647
ko:K01990	sjj:SPJ_1597
ko:K01990	sjj:SPJ_1997
ko:K17624	sjj:SPJ_0354
ko:K17686	sjj:SPJ_0669
ko:K01467	sjj:SPJ_0010
ko:K17828	sjj:SPJ_0905
ko:K12574	sjj:SPJ_0564
ko:K09022	sjj:SPJ_1473
ko:K20461	sjj:SPJ_1001
ko:K18369	sjj:SPJ_2061
ko:K03742	sjj:SPJ_1935
ko:K18474	sjj:SPJ_0401
ko:K18581	sjj:SPJ_0317
ko:K18682	sjj:SPJ_1635
ko:K18672	sjj:SPJ_1468
ko:K18692	sjj:SPJ_0698
ko:K06218	sjj:SPJ_0034
ko:K18892	sjj:SPJ_2095
ko:K18891	sjj:SPJ_2097
ko:K03790	sjj:SPJ_1020
ko:K07484	sjj:SPJ_2239
ko:K07484	sjj:SPJ_1229
ko:K07484	sjj:SPJ_0754
ko:K19002	sjj:SPJ_1014
ko:K19159	sjj:SPJ_1637
ko:K19158	sjj:SPJ_1636
ko:K19157	sjj:SPJ_0284
ko:K00571	sjj:SPJ_1330
ko:K12952	sjj:SPJ_1518
ko:K07492	sjj:SPJ_2101
ko:K04771	sjj:SPJ_2269
ko:K07486	sjj:SPJ_0438
ko:K01992	sjj:SPJ_0898
ko:K06881	sjj:SPJ_1214
ko:K01990	sjj:SPJ_0897
ko:K00887	sjj:SPJ_0909
ko:K07497	sjj:SPJ_0788
ko:K21636	sjj:SPJ_0213
ko:K19971	sjj:SPJ_1545
ko:K19972	sjj:SPJ_1544
ko:K10830	sjj:SPJ_1543
ko:K20074	sjj:SPJ_1629
ko:K12132	sjj:SPJ_1628
ko:K20073	sjj:SPJ_0360
ko:K20112	sjj:SPJ_0593
ko:K20112	sjj:SPJ_1115
ko:K15580	sjj:SPJ_1800
ko:K02777	sjj:SPJ_0696
ko:K20107	sjj:SPJ_0696
ko:K20108	sjj:SPJ_0696
ko:K20114	sjj:SPJ_0595
ko:K20113	sjj:SPJ_0594
ko:K20113	sjj:SPJ_1114
ko:K20374	sjj:SPJ_0996
ko:K20342	sjj:SPJ_1982
ko:K20345	sjj:SPJ_0495
ko:K20459	sjj:SPJ_1000
ko:K20486	sjj:SPJ_1948
ko:K20345	sjj:SPJ_0142
ko:K20344	sjj:SPJ_0140
ko:K20343	sjj:SPJ_0494
ko:K18889	sjj:SPJ_1745
ko:K18890	sjj:SPJ_1744
ko:K01208	sjj:SPJ_0983
ko:K21030	sjj:SPJ_1185
ko:K21064	sjj:SPJ_0295
ko:K08968	sjj:SPJ_0805
ko:K21471	sjj:SPJ_2242
ko:K21567	sjj:SPJ_1469
ko:K21977	sjj:SPJ_1144
ko:K22044	sjj:SPJ_1648
ko:K03078	sjj:SPJ_2041
ko:K22278	sjj:SPJ_1378
ko:K17758	sjj:SPJ_0765
ko:K03077	sjj:SPJ_2039
ko:K03079	sjj:SPJ_2040
ko:K22441	sjj:SPJ_0535
ko:K22457	sjj:SPJ_1448
