ko:K03605	dmd:dcmb_134
ko:K07667	dmd:dcmb_1424
ko:K07667	dmd:dcmb_1440
ko:K01007	dmd:dcmb_562
ko:K06384	dmd:dcmb_1076
ko:K18682	dmd:dcmb_1494
ko:K03469	dmd:dcmb_375
ko:K06147	dmd:dcmb_1037
ko:K03111	dmd:dcmb_982
ko:K03497	dmd:dcmb_1397
ko:K00335	dmd:dcmb_168
ko:K00335	dmd:dcmb_696
ko:K00335	dmd:dcmb_831
ko:K03526	dmd:dcmb_383
ko:K19046	dmd:dcmb_1409
ko:K07464	dmd:dcmb_99
ko:K19119	dmd:dcmb_96
ko:K19221	dmd:dcmb_1024
ko:K19123	dmd:dcmb_1410
ko:K09951	dmd:dcmb_1404
ko:K09951	dmd:dcmb_101
ko:K19117	dmd:dcmb_97
ko:K19221	dmd:dcmb_250
ko:K07033	dmd:dcmb_783
ko:K03741	dmd:dcmb_166
ko:K19118	dmd:dcmb_98
ko:K19124	dmd:dcmb_1408
ko:K19125	dmd:dcmb_1407
ko:K19126	dmd:dcmb_1406
ko:K01992	dmd:dcmb_528
ko:K01992	dmd:dcmb_764
ko:K01992	dmd:dcmb_781
ko:K18707	dmd:dcmb_897
ko:K07667	dmd:dcmb_122
ko:K04771	dmd:dcmb_973
ko:K07658	dmd:dcmb_1011
ko:K03975	dmd:dcmb_1027
ko:K02227	dmd:dcmb_251
ko:K02016	dmd:dcmb_255
ko:K03551	dmd:dcmb_277
ko:K04763	dmd:dcmb_301
ko:K03790	dmd:dcmb_339
ko:K04771	dmd:dcmb_1144
ko:K07164	dmd:dcmb_374
ko:K03284	dmd:dcmb_435
ko:K19302	dmd:dcmb_1248
ko:K07667	dmd:dcmb_1371
ko:K06940	dmd:dcmb_632
ko:K06966	dmd:dcmb_651
ko:K00176	dmd:dcmb_1452
ko:K01734	dmd:dcmb_1463
ko:K08966	dmd:dcmb_727
ko:K08591	dmd:dcmb_1497
ko:K05919	dmd:dcmb_1509
ko:K01999	dmd:dcmb_877
ko:K07025	dmd:dcmb_542
ko:K19710	dmd:dcmb_1501
ko:K19689	dmd:dcmb_845
ko:K01992	dmd:dcmb_139
ko:K19955	dmd:dcmb_52
ko:K00334	dmd:dcmb_167
ko:K02523	dmd:dcmb_402
ko:K03733	dmd:dcmb_684
ko:K19244	dmd:dcmb_155
ko:K07100	dmd:dcmb_759
ko:K00821	dmd:dcmb_1117
ko:K12137	dmd:dcmb_1462
ko:K00525	dmd:dcmb_629
ko:K00525	dmd:dcmb_249
ko:K00525	dmd:dcmb_358
ko:K00817	dmd:dcmb_658
ko:K00558	dmd:dcmb_260
ko:K01493	dmd:dcmb_425
ko:K01520	dmd:dcmb_427
ko:K02315	dmd:dcmb_547
ko:K02314	dmd:dcmb_549
ko:K03546	dmd:dcmb_558
ko:K02316	dmd:dcmb_560
ko:K03465	dmd:dcmb_1343
ko:K03553	dmd:dcmb_1492
ko:K00560	dmd:dcmb_786
ko:K05576	dmd:dcmb_864
ko:K02335	dmd:dcmb_1249
ko:K11927	dmd:dcmb_187
ko:K10914	dmd:dcmb_258
ko:K21929	dmd:dcmb_449
ko:K03741	dmd:dcmb_335
ko:K22044	dmd:dcmb_1465
ko:K03892	dmd:dcmb_939
ko:K03892	dmd:dcmb_336
ko:K22205	dmd:dcmb_1446
ko:K22222	dmd:dcmb_597
ko:K22222	dmd:dcmb_988
ko:K22299	dmd:dcmb_270
ko:K07755	dmd:dcmb_1279
