ko:K06147	tmm:Tmari_0285
ko:K00756	tmm:Tmari_1662
ko:K07636	tmm:Tmari_1663
ko:K02968	tmm:Tmari_1666
ko:K00789	tmm:Tmari_1667
ko:K01462	tmm:Tmari_1670
ko:K03787	tmm:Tmari_1671
ko:K01805	tmm:Tmari_1676
ko:K09005	tmm:Tmari_1677
ko:K04061	tmm:Tmari_1680
ko:K03704	tmm:Tmari_1691
ko:K02909	tmm:Tmari_1692
ko:K07571	tmm:Tmari_1693
ko:K13038	tmm:Tmari_1695
ko:K04096	tmm:Tmari_0248
ko:K03563	tmm:Tmari_0249
ko:K02435	tmm:Tmari_0250
ko:K07460	tmm:Tmari_0251
ko:K03664	tmm:Tmari_0252
ko:K02902	tmm:Tmari_0253
ko:K03168	tmm:Tmari_0256
ko:K01921	tmm:Tmari_0257
ko:K07220	tmm:Tmari_0258
ko:K03306	tmm:Tmari_0259
ko:K02338	tmm:Tmari_0260
ko:K03495	tmm:Tmari_0261
ko:K03703	tmm:Tmari_0263
ko:K03530	tmm:Tmari_0264
ko:K03650	tmm:Tmari_0265
ko:K01624	tmm:Tmari_0271
ko:K00925	tmm:Tmari_0272
ko:K02103	tmm:Tmari_0273
ko:K01804	tmm:Tmari_0274
ko:K09955	tmm:Tmari_0278
ko:K00096	tmm:Tmari_0283
ko:K01647	tmm:Tmari_0288
ko:K00147	tmm:Tmari_0291
ko:K00931	tmm:Tmari_0292
ko:K00847	tmm:Tmari_0294
ko:K02529	tmm:Tmari_0297
ko:K01808	tmm:Tmari_1084
ko:K01356	tmm:Tmari_1086
ko:K02469	tmm:Tmari_1088
ko:K01874	tmm:Tmari_1089
ko:K01892	tmm:Tmari_1095
ko:K01887	tmm:Tmari_1098
ko:K03215	tmm:Tmari_1099
ko:K01756	tmm:Tmari_1101
ko:K01939	tmm:Tmari_1102
ko:K00611	tmm:Tmari_1103
ko:K00943	tmm:Tmari_1105
ko:K07095	tmm:Tmari_1107
ko:K03685	tmm:Tmari_1108
ko:K05567	tmm:Tmari_1110
ko:K05569	tmm:Tmari_1112
ko:K05571	tmm:Tmari_1114
ko:K05566	tmm:Tmari_1116
ko:K06995	tmm:Tmari_1118
ko:K05813	tmm:Tmari_1126
ko:K02407	tmm:Tmari_1129
ko:K02217	tmm:Tmari_1134
ko:K15035	tmm:Tmari_R0031
ko:K14225	tmm:Tmari_R0044
ko:K14225	tmm:Tmari_R0028
ko:K01978	tmm:Tmari_R0033
ko:K14220	tmm:Tmari_R0041
ko:K01983	tmm:Tmari_R0039
ko:K01983	tmm:Tmari_R0040
ko:K14219	tmm:Tmari_R0015
ko:K14237	tmm:Tmari_R0047
ko:K01992	tmm:Tmari_1033
ko:K01992	tmm:Tmari_0386
ko:K01992	tmm:Tmari_0540
ko:K01992	tmm:Tmari_1310
ko:K01992	tmm:Tmari_1311
ko:K01704	tmm:Tmari_0290
ko:K00951	tmm:Tmari_0730
ko:K00040	tmm:Tmari_0065
ko:K15024	tmm:Tmari_0373
ko:K02484	tmm:Tmari_0855
ko:K02484	tmm:Tmari_0125
ko:K02484	tmm:Tmari_1263
ko:K14219	tmm:Tmari_R0010
ko:K01703	tmm:Tmari_0289
ko:K02034	tmm:Tmari_1756
ko:K08281	tmm:Tmari_0472
ko:K17240	tmm:Tmari_0418
ko:K00927	tmm:Tmari_0689
ko:K01803	tmm:Tmari_0689
ko:K02032	tmm:Tmari_1758
ko:K02242	tmm:Tmari_1592
ko:K01977	tmm:Tmari_R0004
ko:K01992	tmm:Tmari_0385
ko:K01992	tmm:Tmari_1106
ko:K01992	tmm:Tmari_1313
ko:K01992	tmm:Tmari_1333
ko:K01992	tmm:Tmari_1411
ko:K10112	tmm:Tmari_1281
ko:K17242	tmm:Tmari_0428
ko:K01990	tmm:Tmari_0387
ko:K01990	tmm:Tmari_1032
ko:K01990	tmm:Tmari_1334
ko:K14230	tmm:Tmari_R0022
ko:K01980	tmm:Tmari_R0007
ko:K02499	tmm:Tmari_0915
ko:K05601	tmm:Tmari_1179
ko:K17686	tmm:Tmari_0315
ko:K02428	tmm:Tmari_0358
ko:K07745	tmm:Tmari_0367
ko:K07457	tmm:Tmari_0380
ko:K01515	tmm:Tmari_1188
ko:K07079	tmm:Tmari_1190
ko:K02033	tmm:Tmari_1205
ko:K02035	tmm:Tmari_1206
ko:K05570	tmm:Tmari_1213
ko:K05568	tmm:Tmari_1218
ko:K02033	tmm:Tmari_1229
ko:K02035	tmm:Tmari_1230
ko:K02035	tmm:Tmari_1233
ko:K02033	tmm:Tmari_0500
ko:K01784	tmm:Tmari_0505
ko:K02035	tmm:Tmari_0528
ko:K02033	tmm:Tmari_0529
ko:K00027	tmm:Tmari_0539
ko:K10440	tmm:Tmari_0109
ko:K10439	tmm:Tmari_0111
ko:K00854	tmm:Tmari_0113
ko:K01426	tmm:Tmari_0117
ko:K03711	tmm:Tmari_0120
ko:K09815	tmm:Tmari_0121
ko:K01571	tmm:Tmari_0126
ko:K01409	tmm:Tmari_0143
ko:K05337	tmm:Tmari_0929
ko:K06179	tmm:Tmari_0942
ko:K10440	tmm:Tmari_0957
ko:K10439	tmm:Tmari_0960
ko:K00852	tmm:Tmari_0962
ko:K09121	tmm:Tmari_0966
ko:K06898	tmm:Tmari_0967
ko:K06864	tmm:Tmari_0968
ko:K02566	tmm:Tmari_1750
ko:K02035	tmm:Tmari_1754
ko:K02033	tmm:Tmari_1755
ko:K00929	tmm:Tmari_1762
ko:K00929	tmm:Tmari_1764
ko:K07030	tmm:Tmari_1781
ko:K15635	tmm:Tmari_1783
ko:K02238	tmm:Tmari_1784
ko:K03711	tmm:Tmari_1786
ko:K00088	tmm:Tmari_1354
ko:K09698	tmm:Tmari_1358
ko:K03803	tmm:Tmari_1363
ko:K09143	tmm:Tmari_1374
ko:K04488	tmm:Tmari_1379
ko:K11069	tmm:Tmari_1382
ko:K11072	tmm:Tmari_1383
ko:K11071	tmm:Tmari_1384
ko:K01990	tmm:Tmari_0541
ko:K02026	tmm:Tmari_0277
ko:K02004	tmm:Tmari_0706
ko:K05822	tmm:Tmari_1527
ko:K07052	tmm:Tmari_1537
ko:K03855	tmm:Tmari_1541
ko:K09825	tmm:Tmari_1523
ko:K01077	tmm:Tmari_0153
ko:K02428	tmm:Tmari_0157
ko:K08974	tmm:Tmari_0162
ko:K09155	tmm:Tmari_1008
ko:K09002	tmm:Tmari_1820
ko:K07491	tmm:Tmari_1841
ko:K01176	tmm:Tmari_1848
ko:K00974	tmm:Tmari_0715
ko:K09749	tmm:Tmari_0736
ko:K07442	tmm:Tmari_0749
ko:K00805	tmm:Tmari_1563
ko:K01619	tmm:Tmari_1567
ko:K03442	tmm:Tmari_1571
ko:K07067	tmm:Tmari_0198
ko:K02051	tmm:Tmari_0200
ko:K02050	tmm:Tmari_0201
ko:K02049	tmm:Tmari_0202
ko:K16787	tmm:Tmari_0220
ko:K03615	tmm:Tmari_0242
ko:K03614	tmm:Tmari_0243
ko:K03612	tmm:Tmari_0244
ko:K03613	tmm:Tmari_0245
ko:K03617	tmm:Tmari_0246
ko:K02033	tmm:Tmari_1070
ko:K02035	tmm:Tmari_1071
ko:K01629	tmm:Tmari_1076
ko:K06864	tmm:Tmari_1079
ko:K09009	tmm:Tmari_1082
ko:K10440	tmm:Tmari_1857
ko:K10439	tmm:Tmari_1858
ko:K02025	tmm:Tmari_1860
ko:K05350	tmm:Tmari_1862
ko:K01191	tmm:Tmari_1866
ko:K02025	tmm:Tmari_1869
ko:K00016	tmm:Tmari_1882
ko:K01885	tmm:Tmari_1890
ko:K11751	tmm:Tmari_1893
ko:K00010	tmm:Tmari_0411
ko:K03406	tmm:Tmari_0426
ko:K00033	tmm:Tmari_0435
ko:K00046	tmm:Tmari_0438
ko:K00851	tmm:Tmari_0440
ko:K01191	tmm:Tmari_1238
ko:K02025	tmm:Tmari_1241
ko:K02433	tmm:Tmari_1277
ko:K01990	tmm:Tmari_0766
ko:K07491	tmm:Tmari_0778
ko:K09700	tmm:Tmari_0787
ko:K01990	tmm:Tmari_0794
ko:K01992	tmm:Tmari_0795
ko:K02371	tmm:Tmari_0801
ko:K03386	tmm:Tmari_0808
ko:K17244	tmm:Tmari_0811
ko:K17245	tmm:Tmari_0812
ko:K17246	tmm:Tmari_0813
ko:K03593	tmm:Tmari_1601
ko:K03783	tmm:Tmari_1604
ko:K07105	tmm:Tmari_1610
ko:K03409	tmm:Tmari_1627
ko:K01192	tmm:Tmari_1633
ko:K03616	tmm:Tmari_0247
ko:K03698	tmm:Tmari_0255
ko:K06183	tmm:Tmari_0262
ko:K00548	tmm:Tmari_0266
ko:K01006	tmm:Tmari_0270
ko:K02025	tmm:Tmari_0276
ko:K01209	tmm:Tmari_0279
ko:K01785	tmm:Tmari_0280
ko:K00854	tmm:Tmari_0282
ko:K00616	tmm:Tmari_0293
ko:K02035	tmm:Tmari_0298
ko:K03499	tmm:Tmari_1092
ko:K03499	tmm:Tmari_1093
ko:K03498	tmm:Tmari_1094
ko:K07052	tmm:Tmari_1104
ko:K05568	tmm:Tmari_1111
ko:K05570	tmm:Tmari_1113
ko:K05814	tmm:Tmari_1127
ko:K05815	tmm:Tmari_1128
ko:K06603	tmm:Tmari_1130
ko:K01243	tmm:Tmari_1135
ko:K15986	tmm:Tmari_0585
ko:K02028	tmm:Tmari_0590
ko:K02030	tmm:Tmari_0592
ko:K02025	tmm:Tmari_0595
ko:K07027	tmm:Tmari_1397
ko:K00058	tmm:Tmari_1408
ko:K01092	tmm:Tmari_1421
ko:K03406	tmm:Tmari_1434
ko:K02443	tmm:Tmari_1437
ko:K02033	tmm:Tmari_0299
ko:K01206	tmm:Tmari_0304
ko:K02035	tmm:Tmari_0307
ko:K00058	tmm:Tmari_0325
ko:K06889	tmm:Tmari_0334
ko:K03856	tmm:Tmari_0341
ko:K04517	tmm:Tmari_0342
ko:K02004	tmm:Tmari_0349
ko:K04767	tmm:Tmari_1146
ko:K06196	tmm:Tmari_1147
ko:K03406	tmm:Tmari_1149
ko:K03406	tmm:Tmari_1153
ko:K02033	tmm:Tmari_1156
ko:K02035	tmm:Tmari_1157
ko:K00059	tmm:Tmari_1176
ko:K02030	tmm:Tmari_1177
ko:K03325	tmm:Tmari_1180
ko:K07025	tmm:Tmari_1184
ko:K02035	tmm:Tmari_0457
ko:K00575	tmm:Tmari_0461
ko:K07315	tmm:Tmari_0464
ko:K07027	tmm:Tmari_0467
ko:K09133	tmm:Tmari_0478
ko:K02342	tmm:Tmari_0493
ko:K01222	tmm:Tmari_1286
ko:K01990	tmm:Tmari_1309
ko:K09137	tmm:Tmari_0018
ko:K03406	tmm:Tmari_0020
ko:K02033	tmm:Tmari_0027
ko:K02035	tmm:Tmari_0028
ko:K06928	tmm:Tmari_0033
ko:K01262	tmm:Tmari_0039
ko:K02824	tmm:Tmari_0820
ko:K00882	tmm:Tmari_0830
ko:K00603	tmm:Tmari_0845
ko:K01489	tmm:Tmari_0848
ko:K06948	tmm:Tmari_0850
ko:K03177	tmm:Tmari_0858
ko:K00784	tmm:Tmari_0866
ko:K01990	tmm:Tmari_1647
ko:K09764	tmm:Tmari_1658
ko:K16786	tmm:Tmari_1672
ko:K01439	tmm:Tmari_1675
ko:K06897	tmm:Tmari_1687
ko:K02035	tmm:Tmari_0053
ko:K02033	tmm:Tmari_0057
ko:K01181	tmm:Tmari_0058
ko:K01181	tmm:Tmari_0067
ko:K02035	tmm:Tmari_0068
ko:K02033	tmm:Tmari_0069
ko:K06990	tmm:Tmari_0084
ko:K02653	tmm:Tmari_0091
ko:K02056	tmm:Tmari_0100
ko:K01572	tmm:Tmari_0882
ko:K09126	tmm:Tmari_0887
ko:K00567	tmm:Tmari_0889
ko:K00949	tmm:Tmari_0890
ko:K04767	tmm:Tmari_0894
ko:K03406	tmm:Tmari_0920
ko:K09762	tmm:Tmari_1716
ko:K00059	tmm:Tmari_1732
ko:K03783	tmm:Tmari_1745
ko:K07025	tmm:Tmari_0641
ko:K01916	tmm:Tmari_0645
ko:K02443	tmm:Tmari_1442
ko:K09942	tmm:Tmari_1445
ko:K06346	tmm:Tmari_1466
ko:K16329	tmm:Tmari_1471
ko:K00845	tmm:Tmari_1477
ko:K00939	tmm:Tmari_1487
ko:K10112	tmm:Tmari_1239
ko:K00335	tmm:Tmari_0007
ko:K01840	tmm:Tmari_0770
ko:K17758	tmm:Tmari_0924
ko:K17759	tmm:Tmari_0924
ko:K07979	tmm:Tmari_0767
ko:K00971	tmm:Tmari_1037
ko:K12574	tmm:Tmari_0663
ko:K14236	tmm:Tmari_R0024
ko:K14224	tmm:Tmari_R0061
ko:K14226	tmm:Tmari_R0011
ko:K14228	tmm:Tmari_R0048
ko:K14222	tmm:Tmari_R0046
ko:K14233	tmm:Tmari_R0014
ko:K14234	tmm:Tmari_R0016
ko:K04757	tmm:Tmari_0734
ko:K02026	tmm:Tmari_0597
ko:K02026	tmm:Tmari_1859
ko:K02026	tmm:Tmari_1868
ko:K02026	tmm:Tmari_1240
ko:K17828	tmm:Tmari_0331
ko:K02823	tmm:Tmari_0332
ko:K07291	tmm:Tmari_1424
ko:K14235	tmm:Tmari_R0025
ko:K14221	tmm:Tmari_R0063
ko:K02027	tmm:Tmari_0594
ko:K02027	tmm:Tmari_1870
ko:K02027	tmm:Tmari_1242
ko:K01985	tmm:Tmari_R0008
ko:K14232	tmm:Tmari_R0003
ko:K14233	tmm:Tmari_R0027
ko:K14233	tmm:Tmari_R0037
ko:K14232	tmm:Tmari_R0042
ko:K17997	tmm:Tmari_1432
ko:K14218	tmm:Tmari_R0009
ko:K14218	tmm:Tmari_R0056
ko:K14219	tmm:Tmari_R0012
ko:K14219	tmm:Tmari_R0053
ko:K14219	tmm:Tmari_R0057
ko:K14225	tmm:Tmari_R0013
ko:K14223	tmm:Tmari_R0020
ko:K14230	tmm:Tmari_R0021
ko:K14230	tmm:Tmari_R0043
ko:K14234	tmm:Tmari_R0023
ko:K14234	tmm:Tmari_R0032
ko:K14233	tmm:Tmari_R0064
ko:K14228	tmm:Tmari_R0036
ko:K14228	tmm:Tmari_R0045
ko:K14229	tmm:Tmari_R0030
ko:K14237	tmm:Tmari_R0050
ko:K14237	tmm:Tmari_R0054
ko:K07003	tmm:Tmari_0818
ko:K07003	tmm:Tmari_1302
ko:K07814	tmm:Tmari_0184
ko:K14232	tmm:Tmari_R0062
ko:K14224	tmm:Tmari_R0065
ko:K17998	tmm:Tmari_1431
ko:K17999	tmm:Tmari_1430
ko:K09022	tmm:Tmari_0213
ko:K14228	tmm:Tmari_R0038
ko:K14229	tmm:Tmari_R0058
ko:K14227	tmm:Tmari_R0005
ko:K14218	tmm:Tmari_R0006
ko:K14223	tmm:Tmari_R0034
ko:K14228	tmm:Tmari_R0029
ko:K14231	tmm:Tmari_R0055
ko:K03146	tmm:Tmari_0788
ko:K06921	tmm:Tmari_1014
ko:K07076	tmm:Tmari_1005
ko:K07076	tmm:Tmari_0614
ko:K00334	tmm:Tmari_0009
ko:K04763	tmm:Tmari_0969
ko:K07491	tmm:Tmari_0045
ko:K03702	tmm:Tmari_1761
ko:K00608	tmm:Tmari_1651
ko:K17992	tmm:Tmari_0008
ko:K22305	tmm:Tmari_1381
ko:K03742	tmm:Tmari_0703
ko:K02488	tmm:Tmari_0141
ko:K01200	tmm:Tmari_1853
ko:K04749	tmm:Tmari_1448
ko:K00702	tmm:Tmari_1863
ko:K18707	tmm:Tmari_0832
ko:K18682	tmm:Tmari_1872
ko:K07012	tmm:Tmari_1809
ko:K04752	tmm:Tmari_0400
ko:K11529	tmm:Tmari_1593
ko:K06147	tmm:Tmari_0286
ko:K18785	tmm:Tmari_1232
ko:K03111	tmm:Tmari_0604
ko:K01872	tmm:Tmari_1734
ko:K02851	tmm:Tmari_1557
ko:K16149	tmm:Tmari_1444
ko:K00335	tmm:Tmari_0226
ko:K05396	tmm:Tmari_0223
ko:K03526	tmm:Tmari_0893
ko:K01820	tmm:Tmari_1075
ko:K02483	tmm:Tmari_1264
ko:K07464	tmm:Tmari_1808
ko:K19142	tmm:Tmari_1800
ko:K19076	tmm:Tmari_1804
ko:K19091	tmm:Tmari_1824
ko:K03296	tmm:Tmari_0370
ko:K07033	tmm:Tmari_1422
ko:K01884	tmm:Tmari_1417
ko:K07033	tmm:Tmari_1377
ko:K06148	tmm:Tmari_1326
ko:K06148	tmm:Tmari_1316
ko:K02031	tmm:Tmari_1201
ko:K02031	tmm:Tmari_1159
ko:K02032	tmm:Tmari_1067
ko:K07496	tmm:Tmari_1030
ko:K07445	tmm:Tmari_0990
ko:K07449	tmm:Tmari_0934
ko:K19115	tmm:Tmari_1811
ko:K09951	tmm:Tmari_1806
ko:K19139	tmm:Tmari_1819
ko:K19138	tmm:Tmari_1821
ko:K07061	tmm:Tmari_1805
ko:K19141	tmm:Tmari_1801
ko:K07496	tmm:Tmari_0133
ko:K00001	tmm:Tmari_0108
ko:K02032	tmm:Tmari_0072
ko:K02032	tmm:Tmari_0054
ko:K02032	tmm:Tmari_1203
ko:K02049	tmm:Tmari_0480
ko:K02031	tmm:Tmari_0301
ko:K02031	tmm:Tmari_0055
ko:K07496	tmm:Tmari_0044
ko:K02031	tmm:Tmari_0025
ko:K02032	tmm:Tmari_0024
ko:K07496	tmm:Tmari_1840
ko:K02031	tmm:Tmari_1757
ko:K07496	tmm:Tmari_1685
ko:K02032	tmm:Tmari_1226
ko:K19140	tmm:Tmari_1818
ko:K07496	tmm:Tmari_1048
ko:K07075	tmm:Tmari_0648
ko:K01991	tmm:Tmari_0639
ko:K02032	tmm:Tmari_0497
ko:K02031	tmm:Tmari_0071
ko:K06148	tmm:Tmari_1335
ko:K09010	tmm:Tmari_1017
ko:K00336	tmm:Tmari_0199
ko:K07016	tmm:Tmari_1822
ko:K02031	tmm:Tmari_1068
ko:K00001	tmm:Tmari_0922
ko:K03327	tmm:Tmari_0816
ko:K07496	tmm:Tmari_0777
ko:K07076	tmm:Tmari_0617
ko:K02032	tmm:Tmari_0527
ko:K02032	tmm:Tmari_0302
ko:K19116	tmm:Tmari_1810
ko:K01990	tmm:Tmari_1410
ko:K19355	tmm:Tmari_1234
ko:K09132	tmm:Tmari_1004
ko:K07496	tmm:Tmari_0973
ko:K02031	tmm:Tmari_0498
ko:K18889	tmm:Tmari_1261
ko:K18890	tmm:Tmari_0040
ko:K00634	tmm:Tmari_1763
ko:K02031	tmm:Tmari_1227
ko:K07242	tmm:Tmari_1115
ko:K01179	tmm:Tmari_1760
ko:K01179	tmm:Tmari_1052
ko:K01179	tmm:Tmari_1759
ko:K20885	tmm:Tmari_1867
ko:K21009	tmm:Tmari_1414
ko:K21012	tmm:Tmari_1415
ko:K21011	tmm:Tmari_1412
ko:K00821	tmm:Tmari_1794
ko:K08968	tmm:Tmari_0515
ko:K21071	tmm:Tmari_0287
ko:K00525	tmm:Tmari_0116
ko:K02316	tmm:Tmari_1458
ko:K06217	tmm:Tmari_1515
ko:K07313	tmm:Tmari_0743
ko:K03546	tmm:Tmari_1645
ko:K00287	tmm:Tmari_1650
ko:K02314	tmm:Tmari_1744
ko:K03553	tmm:Tmari_1874
ko:K04068	tmm:Tmari_0382
ko:K00857	tmm:Tmari_0398
ko:K01493	tmm:Tmari_0401
ko:K03465	tmm:Tmari_0446
ko:K21636	tmm:Tmari_0383
ko:K02335	tmm:Tmari_1628
ko:K02032	tmm:Tmari_1158
ko:K21219	tmm:Tmari_0791
ko:K21349	tmm:Tmari_1236
ko:K21619	tmm:Tmari_0437
ko:K21947	tmm:Tmari_0195
ko:K21929	tmm:Tmari_0507
ko:K03564	tmm:Tmari_0781
ko:K19802	tmm:Tmari_0003
ko:K03595	tmm:Tmari_0849
ko:K03892	tmm:Tmari_1183
ko:K22205	tmm:Tmari_0660
ko:K22232	tmm:Tmari_0410
ko:K22233	tmm:Tmari_0413
ko:K22231	tmm:Tmari_0409
ko:K03077	tmm:Tmari_0281
ko:K06993	tmm:Tmari_1304
ko:K00590	tmm:Tmari_0326
