ko:K04042	mab:MAB_1148c
ko:K00276	mab:MAB_4204
ko:K03316	mab:MAB_4246
ko:K07407	mab:MAB_4303
ko:K01130	mab:MAB_4307
ko:K03343	mab:MAB_4321
ko:K00666	mab:MAB_4340c
ko:K09684	mab:MAB_4347
ko:K01046	mab:MAB_4351
ko:K00666	mab:MAB_4362
ko:K05711	mab:MAB_4365c
ko:K05714	mab:MAB_4366c
ko:K05713	mab:MAB_4372
ko:K03386	mab:MAB_4408c
ko:K00823	mab:MAB_4417c
ko:K08884	mab:MAB_4435
ko:K00020	mab:MAB_4486
ko:K00666	mab:MAB_4569c
ko:K00128	mab:MAB_4605c
ko:K01720	mab:MAB_4617
ko:K03417	mab:MAB_4618
ko:K00666	mab:MAB_4626c
ko:K07749	mab:MAB_4651c
ko:K02004	mab:MAB_4672c
ko:K01569	mab:MAB_4766
ko:K01179	mab:MAB_4777c
ko:K00249	mab:MAB_4911c
ko:K00970	mab:MAB_4934c
ko:K00520	mab:MAB_p06
ko:K00221	mab:MAB_p08
ko:K08167	mab:MAB_2958
ko:K03088	mab:MAB_4459c
ko:K05845	mab:MAB_0261
ko:K03524	mab:MAB_3626c
ko:K06994	mab:MAB_1287
ko:K01433	mab:MAB_1306
ko:K01724	mab:MAB_1307c
ko:K06207	mab:MAB_1310
ko:K00135	mab:MAB_3471
ko:K03664	mab:MAB_3473c
ko:K09812	mab:MAB_3475c
ko:K02836	mab:MAB_3478c
ko:K00528	mab:MAB_3482
ko:K00294	mab:MAB_1330
ko:K00674	mab:MAB_1335c
ko:K01439	mab:MAB_1336
ko:K08223	mab:MAB_1338
ko:K01945	mab:MAB_0682
ko:K01923	mab:MAB_0689
ko:K01354	mab:MAB_0690
ko:K00432	mab:MAB_0693
ko:K06986	mab:MAB_0694
ko:K07077	mab:MAB_0695
ko:K01952	mab:MAB_0697
ko:K01952	mab:MAB_0698
ko:K07223	mab:MAB_0700c
ko:K01952	mab:MAB_0707
ko:K00764	mab:MAB_0713
ko:K02035	mab:MAB_0719
ko:K02033	mab:MAB_0720
ko:K02034	mab:MAB_0721
ko:K02031	mab:MAB_0722
ko:K02032	mab:MAB_0722
ko:K01725	mab:MAB_1028c
ko:K04567	mab:MAB_2319c
ko:K01847	mab:MAB_2711c
ko:K01907	mab:MAB_4376c
ko:K09684	mab:MAB_4202c
ko:K05565	mab:MAB_0636c
ko:K11610	mab:MAB_2723c
ko:K06958	mab:MAB_2783c
ko:K03767	mab:MAB_0025
ko:K02619	mab:MAB_0731
ko:K00058	mab:MAB_3304c
ko:K03711	mab:MAB_1678c
ko:K00020	mab:MAB_1186c
ko:K02237	mab:MAB_1626
ko:K00951	mab:MAB_2876c
ko:K08372	mab:MAB_1078
ko:K04751	mab:MAB_3239c
ko:K10007	mab:MAB_3053
ko:K10005	mab:MAB_3051
ko:K03892	mab:MAB_4862
ko:K11609	mab:MAB_4608
ko:K00344	mab:MAB_2757
ko:K07090	mab:MAB_3982
ko:K03822	mab:MAB_2348
ko:K01421	mab:MAB_4762
ko:K06976	mab:MAB_3168c
ko:K03299	mab:MAB_3634c
ko:K00851	mab:MAB_3635c
ko:K02426	mab:MAB_3642
ko:K01647	mab:MAB_4619
ko:K00849	mab:MAB_4638
ko:K03307	mab:MAB_4639
ko:K01104	mab:MAB_4591
ko:K01104	mab:MAB_1900c
ko:K04090	mab:MAB_4356c
ko:K02017	mab:MAB_2435
ko:K00666	mab:MAB_2080
ko:K05794	mab:MAB_0511c
ko:K03718	mab:MAB_3327c
ko:K09118	mab:MAB_3498c
ko:K07177	mab:MAB_3499c
ko:K01719	mab:MAB_3520c
ko:K00363	mab:MAB_3521c
ko:K00362	mab:MAB_3522c
ko:K00135	mab:MAB_4418
ko:K00240	mab:MAB_4423
ko:K11386	mab:MAB_0185c
ko:K11385	mab:MAB_0186c
ko:K00658	mab:MAB_1945c
ko:K00365	mab:MAB_2929c
ko:K01897	mab:MAB_1978c
ko:K12262	mab:MAB_1841c
ko:K03088	mab:MAB_3428c
ko:K10974	mab:MAB_3432c
ko:K02863	mab:MAB_3892c
ko:K02867	mab:MAB_3893c
ko:K02601	mab:MAB_3894c
ko:K04047	mab:MAB_3900c
ko:K01091	mab:MAB_4879c
ko:K03829	mab:MAB_4889
ko:K02314	mab:MAB_4895c
ko:K02939	mab:MAB_4896c
ko:K02963	mab:MAB_4897c
ko:K03111	mab:MAB_4898c
ko:K02990	mab:MAB_4899c
ko:K01858	mab:MAB_4907
ko:K00627	mab:MAB_4916c
ko:K00012	mab:MAB_4295c
ko:K01494	mab:MAB_4297c
ko:K09956	mab:MAB_4308c
ko:K00135	mab:MAB_4322
ko:K06929	mab:MAB_4533
ko:K07386	mab:MAB_4536
ko:K07148	mab:MAB_4921c
ko:K01869	mab:MAB_4923c
ko:K07735	mab:MAB_4928c
ko:K03980	mab:MAB_4937
ko:K03088	mab:MAB_4938
ko:K09117	mab:MAB_2956
ko:K06916	mab:MAB_2975c
ko:K07305	mab:MAB_2979
ko:K01599	mab:MAB_2986c
ko:K03684	mab:MAB_2988
ko:K01662	mab:MAB_2990c
ko:K00140	mab:MAB_4346c
ko:K09967	mab:MAB_4349c
ko:K02434	mab:MAB_3334c
ko:K02433	mab:MAB_3341c
ko:K01972	mab:MAB_3345c
ko:K04719	mab:MAB_3351c
ko:K06901	mab:MAB_3353c
ko:K00566	mab:MAB_3356c
ko:K03522	mab:MAB_3362c
ko:K03521	mab:MAB_3363c
ko:K07044	mab:MAB_3373c
ko:K07044	mab:MAB_3374c
ko:K01740	mab:MAB_3687
ko:K00641	mab:MAB_3688
ko:K07118	mab:MAB_3697
ko:K06996	mab:MAB_3700c
ko:K03216	mab:MAB_3702
ko:K03565	mab:MAB_3059c
ko:K03553	mab:MAB_3060c
ko:K10533	mab:MAB_3063
ko:K00995	mab:MAB_3071c
ko:K00619	mab:MAB_3072
ko:K00075	mab:MAB_4066c
ko:K03210	mab:MAB_2881c
ko:K03550	mab:MAB_2883c
ko:K02355	mab:MAB_3849c
ko:K02992	mab:MAB_3850c
ko:K02950	mab:MAB_3851c
ko:K02616	mab:MAB_3858c
ko:K09456	mab:MAB_3860c
ko:K03293	mab:MAB_3866c
ko:K02065	mab:MAB_3871c
ko:K02935	mab:MAB_3876c
ko:K02864	mab:MAB_3877c
ko:K00574	mab:MAB_3881
ko:K00111	mab:MAB_3882c
ko:K00803	mab:MAB_3884
ko:K03655	mab:MAB_3278c
ko:K07030	mab:MAB_3279c
ko:K02902	mab:MAB_3280
ko:K00946	mab:MAB_3284c
ko:K01921	mab:MAB_3286c
ko:K00937	mab:MAB_3290
ko:K03530	mab:MAB_3292c
ko:K01885	mab:MAB_3298c
ko:K10679	mab:MAB_3310c
ko:K00053	mab:MAB_3321c
ko:K01653	mab:MAB_3322c
ko:K01652	mab:MAB_3323c
ko:K03439	mab:MAB_4506
ko:K06860	mab:MAB_4507
ko:K02548	mab:MAB_3958
ko:K01056	mab:MAB_1142c
ko:K02549	mab:MAB_3935c
ko:K07028	mab:MAB_3902c
ko:K06911	mab:MAB_4561
ko:K01687	mab:MAB_4640c
ko:K02433	mab:MAB_4643c
ko:K01640	mab:MAB_4650c
ko:K07399	mab:MAB_3974c
ko:K06196	mab:MAB_3975c
ko:K07386	mab:MAB_3981c
ko:K01698	mab:MAB_3990c
ko:K01749	mab:MAB_3992c
ko:K02492	mab:MAB_3993c
ko:K02371	mab:MAB_4001c
ko:K00286	mab:MAB_4005c
ko:K03975	mab:MAB_4661
ko:K02003	mab:MAB_4671c
ko:K04488	mab:MAB_4674c
ko:K07006	mab:MAB_3653
ko:K00382	mab:MAB_3656c
ko:K03783	mab:MAB_3660
ko:K00761	mab:MAB_3662c
ko:K01489	mab:MAB_3672c
ko:K00241	mab:MAB_3673
ko:K00242	mab:MAB_3674
ko:K03088	mab:MAB_3678c
ko:K07258	mab:MAB_3681
ko:K07058	mab:MAB_3682c
ko:K01867	mab:MAB_3683c
ko:K01142	mab:MAB_3684c
ko:K09930	mab:MAB_3022c
ko:K07058	mab:MAB_3025
ko:K00322	mab:MAB_3032
ko:K07738	mab:MAB_3036c
ko:K01356	mab:MAB_3038
ko:K03823	mab:MAB_3039c
ko:K01778	mab:MAB_3043c
ko:K00791	mab:MAB_3044c
ko:K09958	mab:MAB_3054c
ko:K07006	mab:MAB_3055c
ko:K03499	mab:MAB_4718
ko:K07301	mab:MAB_4724
ko:K03088	mab:MAB_4733
ko:K04047	mab:MAB_4735
ko:K03088	mab:MAB_3724c
ko:K04077	mab:MAB_3731c
ko:K04078	mab:MAB_3732c
ko:K01409	mab:MAB_3734c
ko:K01619	mab:MAB_4078c
ko:K00574	mab:MAB_4088c
ko:K09967	mab:MAB_4091
ko:K09967	mab:MAB_4092
ko:K01714	mab:MAB_3084c
ko:K03465	mab:MAB_3085c
ko:K09927	mab:MAB_3087c
ko:K00287	mab:MAB_3090c
ko:K00560	mab:MAB_3091c
ko:K00215	mab:MAB_3096c
ko:K00259	mab:MAB_3100
ko:K00962	mab:MAB_3106c
ko:K02956	mab:MAB_3108c
ko:K06925	mab:MAB_3737c
ko:K01775	mab:MAB_3739c
ko:K03431	mab:MAB_3750c
ko:K02996	mab:MAB_3751c
ko:K02871	mab:MAB_3752c
ko:K02879	mab:MAB_3769c
ko:K02986	mab:MAB_3771c
ko:K02948	mab:MAB_3772c
ko:K02952	mab:MAB_3773c
ko:K02919	mab:MAB_5000c
ko:K02518	mab:MAB_3774c
ko:K07001	mab:MAB_4751
ko:K07001	mab:MAB_4758
ko:K02834	mab:MAB_3130c
ko:K02519	mab:MAB_3131c
ko:K05916	mab:MAB_3133c
ko:K09748	mab:MAB_3136c
ko:K01881	mab:MAB_3140c
ko:K01637	mab:MAB_4095c
ko:K00973	mab:MAB_4113
ko:K06994	mab:MAB_4115c
ko:K01477	mab:MAB_2940
ko:K00074	mab:MAB_4094c
ko:K00074	mab:MAB_4489c
ko:K05847	mab:MAB_0262
ko:K12251	mab:MAB_2545c
ko:K04787	mab:MAB_2247c
ko:K02483	mab:MAB_2581
ko:K01505	mab:MAB_1704c
ko:K02027	mab:MAB_1715c
ko:K00249	mab:MAB_1863
ko:K03733	mab:MAB_3204c
ko:K01579	mab:MAB_0542
ko:K03686	mab:MAB_4271c
ko:K11212	mab:MAB_3607
ko:K00249	mab:MAB_0328
ko:K03687	mab:MAB_4272c
ko:K01424	mab:MAB_2701
ko:K04043	mab:MAB_4273c
ko:K05896	mab:MAB_2368
ko:K00027	mab:MAB_1384
ko:K02351	mab:MAB_1557
ko:K07245	mab:MAB_1557
ko:K07090	mab:MAB_1170
ko:K00265	mab:MAB_0091
ko:K07090	mab:MAB_1110
ko:K07090	mab:MAB_4933
ko:K01955	mab:MAB_2827c
ko:K07110	mab:MAB_4118
ko:K03189	mab:MAB_2427
ko:K11103	mab:MAB_1540
ko:K11103	mab:MAB_2938
ko:K03168	mab:MAB_0489
ko:K02612	mab:MAB_0909
ko:K02618	mab:MAB_0900c
ko:K02609	mab:MAB_0906
ko:K02610	mab:MAB_0907
ko:K02611	mab:MAB_0908
ko:K00175	mab:MAB_1595
ko:K06180	mab:MAB_2699c
ko:K02616	mab:MAB_0920
ko:K01704	mab:MAB_3293c
ko:K02613	mab:MAB_0910
ko:K00338	mab:MAB_2142
ko:K01911	mab:MAB_3952
ko:K11065	mab:MAB_1290c
ko:K02275	mab:MAB_1961
ko:K00763	mab:MAB_1474c
ko:K00375	mab:MAB_0196c
ko:K09957	mab:MAB_0265
ko:K00826	mab:MAB_1950
ko:K02356	mab:MAB_2837c
ko:K03149	mab:MAB_4216c
ko:K03154	mab:MAB_4217c
ko:K09811	mab:MAB_3474c
ko:K01951	mab:MAB_3718c
ko:K09125	mab:MAB_4392
ko:K00239	mab:MAB_4422
ko:K06994	mab:MAB_0937c
ko:K03496	mab:MAB_4950c
ko:K03551	mab:MAB_2882c
ko:K03466	mab:MAB_3074c
ko:K03466	mab:MAB_3756c
ko:K11068	mab:MAB_1208c
ko:K00174	mab:MAB_1594
ko:K02563	mab:MAB_2006
ko:K02500	mab:MAB_2664c
ko:K02501	mab:MAB_2667c
ko:K00335	mab:MAB_2139
ko:K01679	mab:MAB_1250c
ko:K00088	mab:MAB_3720c
ko:K01883	mab:MAB_0571
ko:K00817	mab:MAB_2168
ko:K03501	mab:MAB_4951c
ko:K09807	mab:MAB_0525c
ko:K03575	mab:MAB_0558c
ko:K07067	mab:MAB_0562c
ko:K04485	mab:MAB_0564c
ko:K07736	mab:MAB_0568
ko:K07160	mab:MAB_0574c
ko:K02361	mab:MAB_3535
ko:K00088	mab:MAB_3721c
ko:K00088	mab:MAB_2412c
ko:K03578	mab:MAB_0056c
ko:K04564	mab:MAB_0118c
ko:K09167	mab:MAB_1269
ko:K01520	mab:MAB_3003c
ko:K08289	mab:MAB_1191c
ko:K01755	mab:MAB_2343
ko:K00760	mab:MAB_0523
ko:K07243	mab:MAB_1163c
ko:K09009	mab:MAB_1167
ko:K03750	mab:MAB_1087
ko:K04564	mab:MAB_3957
ko:K01681	mab:MAB_2730
ko:K03153	mab:MAB_4218c
ko:K00788	mab:MAB_4219
ko:K05936	mab:MAB_2196
ko:K00240	mab:MAB_3676
ko:K09793	mab:MAB_4592c
ko:K06911	mab:MAB_2446c
ko:K00389	mab:MAB_0671
ko:K04077	mab:MAB_0650
ko:K01695	mab:MAB_2643c
ko:K02435	mab:MAB_3342c
ko:K03076	mab:MAB_3784c
ko:K07776	mab:MAB_4047c
ko:K02446	mab:MAB_1251c
ko:K06024	mab:MAB_2369
ko:K07305	mab:MAB_1050c
ko:K06895	mab:MAB_4386
ko:K02342	mab:MAB_0329
ko:K06911	mab:MAB_3941c
ko:K04075	mab:MAB_0521
ko:K00768	mab:MAB_1953c
ko:K03147	mab:MAB_4196
ko:K00231	mab:MAB_2985c
ko:K09959	mab:MAB_0973
ko:K02471	mab:MAB_3399
ko:K05596	mab:MAB_4381c
ko:K04763	mab:MAB_2366
ko:K07654	mab:MAB_3590c
ko:K07768	mab:MAB_4048c
ko:K04565	mab:MAB_4184c
ko:K00820	mab:MAB_0363c
ko:K11537	mab:MAB_4590
ko:K07006	mab:MAB_1113c
ko:K07006	mab:MAB_4715c
ko:K00031	mab:MAB_3686c
ko:K01644	mab:MAB_4378c
ko:K00074	mab:MAB_0904
ko:K00074	mab:MAB_0759c
ko:K08884	mab:MAB_1133c
ko:K11717	mab:MAB_2746c
ko:K11533	mab:MAB_1512
ko:K03426	mab:MAB_3513c
ko:K01834	mab:MAB_4049c
ko:K01809	mab:MAB_3601c
ko:K00758	mab:MAB_3671c
ko:K02484	mab:MAB_0674
ko:K00602	mab:MAB_1064
ko:K09807	mab:MAB_0524c
ko:K03709	mab:MAB_3029
ko:K07442	mab:MAB_2159
ko:K07454	mab:MAB_0397c
ko:K02020	mab:MAB_2787c
ko:K01455	mab:MAB_0587
ko:K01426	mab:MAB_2024
ko:K00001	mab:MAB_2041c
ko:K04755	mab:MAB_2049c
ko:K07068	mab:MAB_2052
ko:K00249	mab:MAB_2081
ko:K04791	mab:MAB_2119c
ko:K04790	mab:MAB_2120c
ko:K04792	mab:MAB_2123
ko:K04788	mab:MAB_2124
ko:K00508	mab:MAB_2148
ko:K07465	mab:MAB_2155c
ko:K04091	mab:MAB_2219
ko:K04781	mab:MAB_2245
ko:K10674	mab:MAB_2264c
ko:K09146	mab:MAB_2307c
ko:K07006	mab:MAB_2382
ko:K05712	mab:MAB_2573c
ko:K00666	mab:MAB_2574c
ko:K03294	mab:MAB_2598
ko:K00666	mab:MAB_2609
ko:K08174	mab:MAB_2613
ko:K00274	mab:MAB_2659
ko:K01092	mab:MAB_2665c
ko:K00652	mab:MAB_2687c
ko:K07114	mab:MAB_2724c
ko:K03457	mab:MAB_2815c
ko:K01560	mab:MAB_2863
ko:K03768	mab:MAB_2874
ko:K08256	mab:MAB_2894c
ko:K07052	mab:MAB_2920c
ko:K01487	mab:MAB_2928
ko:K01092	mab:MAB_3007c
ko:K12503	mab:MAB_1209
ko:K07124	mab:MAB_1537c
ko:K00059	mab:MAB_0598
ko:K04477	mab:MAB_0097
ko:K00059	mab:MAB_2032
ko:K00059	mab:MAB_4156c
ko:K07124	mab:MAB_4261c
ko:K00059	mab:MAB_4443
ko:K01207	mab:MAB_4458c
ko:K11738	mab:MAB_1132c
ko:K01555	mab:MAB_0888c
ko:K11738	mab:MAB_2914
ko:K12234	mab:MAB_3608
ko:K07671	mab:MAB_0956c
ko:K03921	mab:MAB_2550c
ko:K12421	mab:MAB_2962
ko:K12410	mab:MAB_3441c
ko:K12428	mab:MAB_0179
ko:K01491	mab:MAB_3692c
ko:K13288	mab:MAB_1533c
ko:K12437	mab:MAB_0180
ko:K12429	mab:MAB_1332
ko:K12422	mab:MAB_0661
ko:K03657	mab:MAB_3511c
ko:K16264	mab:MAB_0183c
ko:K03333	mab:MAB_3719c
ko:K00626	mab:MAB_3826c
ko:K00626	mab:MAB_4169
ko:K00626	mab:MAB_4442c
ko:K01426	mab:MAB_0724c
ko:K00626	mab:MAB_0850
ko:K00626	mab:MAB_0600
ko:K00626	mab:MAB_0612c
ko:K00626	mab:MAB_1192c
ko:K00626	mab:MAB_2042c
ko:K03709	mab:MAB_3110
ko:K00598	mab:MAB_2845
ko:K11611	mab:MAB_2722c
ko:K11752	mab:MAB_2808c
ko:K00466	mab:MAB_0818
ko:K00595	mab:MAB_2195
ko:K00721	mab:MAB_2207
ko:K00091	mab:MAB_0718c
ko:K08369	mab:MAB_0771c
ko:K09684	mab:MAB_0825
ko:K00389	mab:MAB_0887c
ko:K00001	mab:MAB_0983c
ko:K00632	mab:MAB_1002
ko:K03087	mab:MAB_3028
ko:K10006	mab:MAB_3052
ko:K03100	mab:MAB_3223c
ko:K01061	mab:MAB_3265c
ko:K01758	mab:MAB_3287c
ko:K00130	mab:MAB_3328
ko:K00480	mab:MAB_3330
ko:K01916	mab:MAB_3419
ko:K01835	mab:MAB_3450c
ko:K00632	mab:MAB_3455c
ko:K00249	mab:MAB_3481
ko:K00249	mab:MAB_3487
ko:K03496	mab:MAB_3533c
ko:K00508	mab:MAB_3548c
ko:K03294	mab:MAB_3599c
ko:K00966	mab:MAB_3611c
ko:K03119	mab:MAB_3621c
ko:K00666	mab:MAB_4377c
ko:K00666	mab:MAB_3628c
ko:K06287	mab:MAB_3633
ko:K03918	mab:MAB_3646c
ko:K03719	mab:MAB_3647c
ko:K00128	mab:MAB_3649
ko:K01436	mab:MAB_3658c
ko:K01840	mab:MAB_3661
ko:K01113	mab:MAB_3749
ko:K08095	mab:MAB_3766
ko:K01710	mab:MAB_3779
ko:K00262	mab:MAB_3800c
ko:K05520	mab:MAB_3901
ko:K00805	mab:MAB_3928c
ko:K01784	mab:MAB_4003c
ko:K07044	mab:MAB_4021c
ko:K07684	mab:MAB_0060
ko:K02480	mab:MAB_0061
ko:K01077	mab:MAB_0087c
ko:K10215	mab:MAB_0103
ko:K00459	mab:MAB_0159
ko:K07304	mab:MAB_0120
ko:K06867	mab:MAB_0152
ko:K00863	mab:MAB_0194
ko:K10008	mab:MAB_3050
ko:K04755	mab:MAB_0914c
ko:K01784	mab:MAB_0503
ko:K11717	mab:MAB_0217c
ko:K04487	mab:MAB_1093c
ko:K04487	mab:MAB_4673c
ko:K04487	mab:MAB_3357c
ko:K00819	mab:MAB_3841
ko:K11263	mab:MAB_3643
ko:K11779	mab:MAB_1319
ko:K01890	mab:MAB_2335
ko:K01895	mab:MAB_0425c
ko:K03496	mab:MAB_2367
ko:K01847	mab:MAB_2712c
ko:K04789	mab:MAB_2122
ko:K02302	mab:MAB_3143c
ko:K01533	mab:MAB_0449
ko:K00897	mab:MAB_0163c
ko:K02075	mab:MAB_0575c
ko:K02077	mab:MAB_0577c
ko:K02483	mab:MAB_0673
ko:K01768	mab:MAB_4771
ko:K06889	mab:MAB_0923c
ko:K11753	mab:MAB_3109c
ko:K11609	mab:MAB_1877c
ko:K11608	mab:MAB_1141c
ko:K00076	mab:MAB_4632
ko:K11921	mab:MAB_0055c
ko:K04793	mab:MAB_2249
ko:K06994	mab:MAB_0855
ko:K06168	mab:MAB_3048c
ko:K01079	mab:MAB_3388c
ko:K11731	mab:MAB_1851
ko:K00281	mab:MAB_2407
ko:K13542	mab:MAB_3991c
ko:K13527	mab:MAB_2162
ko:K13788	mab:MAB_4226c
ko:K12343	mab:MAB_2819
ko:K01822	mab:MAB_1206
ko:K13063	mab:MAB_0298
ko:K07246	mab:MAB_4419
ko:K01087	mab:MAB_0578c
ko:K02503	mab:MAB_2660
ko:K13529	mab:MAB_2333c
ko:K13787	mab:MAB_1992c
ko:K00121	mab:MAB_4560
ko:K12433	mab:MAB_3148c
ko:K13570	mab:MAB_2171
ko:K13525	mab:MAB_0637c
ko:K01799	mab:MAB_4413c
ko:K01782	mab:MAB_0851
ko:K03657	mab:MAB_3515c
ko:K13038	mab:MAB_2821c
ko:K07250	mab:MAB_4207
ko:K00620	mab:MAB_2337
ko:K12583	mab:MAB_3931c
ko:K12954	mab:MAB_4853c
ko:K13979	mab:MAB_3400
ko:K00955	mab:MAB_1544c
ko:K13668	mab:MAB_1976
ko:K13669	mab:MAB_1304
ko:K00955	mab:MAB_4182
ko:K13640	mab:MAB_4270c
ko:K13639	mab:MAB_2309c
ko:K00254	mab:MAB_2104c
ko:K12423	mab:MAB_0935c
ko:K01958	mab:MAB_3267c
ko:K00529	mab:MAB_0913c
ko:K07192	mab:MAB_3777
ko:K07005	mab:MAB_4748c
ko:K11754	mab:MAB_1604
ko:K00265	mab:MAB_2486c
ko:K14221	mab:MAB_t5014
ko:K00153	mab:MAB_1869c
ko:K08095	mab:MAB_3763
ko:K13573	mab:MAB_2186
ko:K03782	mab:MAB_2470c
ko:K11263	mab:MAB_4539c
ko:K00941	mab:MAB_4197
ko:K13993	mab:MAB_3467c
ko:K14232	mab:MAB_t5009c
ko:K14230	mab:MAB_t5028
ko:K14224	mab:MAB_t5013
ko:K00529	mab:MAB_2047c
ko:K02484	mab:MAB_2582
ko:K13671	mab:MAB_0096
ko:K14234	mab:MAB_t5045c
ko:K01768	mab:MAB_0490c
ko:K09251	mab:MAB_2279
ko:K14225	mab:MAB_t5036
ko:K14235	mab:MAB_t5043c
ko:K14233	mab:MAB_t5005
ko:K14339	mab:MAB_2751
ko:K14230	mab:MAB_t5044c
ko:K14225	mab:MAB_t5025c
ko:K08281	mab:MAB_1472c
ko:K01969	mab:MAB_4540c
ko:K13571	mab:MAB_2183
ko:K13572	mab:MAB_2185
ko:K13687	mab:MAB_0174
ko:K13686	mab:MAB_0190c
ko:K13693	mab:MAB_1346
ko:K13771	mab:MAB_3134c
ko:K03404	mab:MAB_3157c
ko:K05364	mab:MAB_0035c
ko:K14232	mab:MAB_t5033
ko:K14223	mab:MAB_t5040c
ko:K14220	mab:MAB_t5027
ko:K14232	mab:MAB_t5026
ko:K02013	mab:MAB_3384c
ko:K14223	mab:MAB_t5018c
ko:K14233	mab:MAB_t5008c
ko:K14233	mab:MAB_t5007
ko:K14225	mab:MAB_t5047
ko:K02028	mab:MAB_4237c
ko:K14347	mab:MAB_4729c
ko:K07045	mab:MAB_4667
ko:K14228	mab:MAB_t5003
ko:K14260	mab:MAB_4294
ko:K03457	mab:MAB_2936
ko:K14267	mab:MAB_0847c
ko:K14231	mab:MAB_t5015
ko:K14228	mab:MAB_t5031c
ko:K14234	mab:MAB_t5011
ko:K14233	mab:MAB_t5004
ko:K14224	mab:MAB_t5039c
ko:K14229	mab:MAB_t5012c
ko:K14236	mab:MAB_t5046c
ko:K14337	mab:MAB_1991c
ko:K00038	mab:MAB_4680c
ko:K02614	mab:MAB_3925
ko:K14136	mab:MAB_0173
ko:K00965	mab:MAB_4637
ko:K14237	mab:MAB_t5038
ko:K14237	mab:MAB_t5035c
ko:K14230	mab:MAB_t5042c
ko:K14237	mab:MAB_t5029
ko:K14228	mab:MAB_t5034
ko:K02029	mab:MAB_4238c
ko:K04517	mab:MAB_0266c
ko:K01977	mab:MAB_r5051
ko:K01980	mab:MAB_r5052
ko:K07483	mab:MAB_2087
ko:K01985	mab:MAB_r5053
ko:K01286	mab:MAB_0330
ko:K14219	mab:MAB_t5006
ko:K01515	mab:MAB_2365
ko:K14257	mab:MAB_2284
ko:K14218	mab:MAB_t5041c
ko:K01966	mab:MAB_3631
ko:K01524	mab:MAB_1168
ko:K02554	mab:MAB_0624
ko:K14226	mab:MAB_t5023c
ko:K01011	mab:MAB_0071c
ko:K03891	mab:MAB_2467
ko:K02274	mab:MAB_2617c
ko:K00104	mab:MAB_1407c
ko:K14229	mab:MAB_t5022c
ko:K02030	mab:MAB_4223
ko:K07250	mab:MAB_0821
ko:K14234	mab:MAB_t5010
ko:K14219	mab:MAB_t5016c
ko:K14219	mab:MAB_t5024c
ko:K14227	mab:MAB_t5001
ko:K14218	mab:MAB_t5002
ko:K14218	mab:MAB_t5017
ko:K14219	mab:MAB_t5020c
ko:K00121	mab:MAB_2084
ko:K06133	mab:MAB_3570c
ko:K14228	mab:MAB_t5021
ko:K14161	mab:MAB_3712c
ko:K14162	mab:MAB_3703c
ko:K14222	mab:MAB_t5037
ko:K02074	mab:MAB_0576c
ko:K01011	mab:MAB_0740c
ko:K01011	mab:MAB_3641
ko:K07506	mab:MAB_1313
ko:K08095	mab:MAB_3809c
ko:K01524	mab:MAB_4013c
ko:K14743	mab:MAB_2225c
ko:K14743	mab:MAB_3758
ko:K15372	mab:MAB_1703
ko:K14953	mab:MAB_4074c
ko:K14953	mab:MAB_0885c
ko:K14954	mab:MAB_2806
ko:K14952	mab:MAB_0156c
ko:K14953	mab:MAB_2379
ko:K02113	mab:MAB_1450
ko:K02109	mab:MAB_1450
ko:K14941	mab:MAB_3289
ko:K01796	mab:MAB_0845
ko:K05556	mab:MAB_0761c
ko:K14949	mab:MAB_4224
ko:K16013	mab:MAB_2632
ko:K16012	mab:MAB_2633
ko:K06177	mab:MAB_3654c
ko:K03088	mab:MAB_3888
ko:K03088	mab:MAB_4652
ko:K14652	mab:MAB_2796c
ko:K03321	mab:MAB_4448
ko:K15981	mab:MAB_0611
ko:K14698	mab:MAB_2262c
ko:K14699	mab:MAB_2261c
ko:K00392	mab:MAB_1662c
ko:K14733	mab:MAB_0527c
ko:K15372	mab:MAB_4345c
ko:K00122	mab:MAB_0999
ko:K03929	mab:MAB_0301
ko:K03929	mab:MAB_2866c
ko:K15733	mab:MAB_2270c
ko:K15510	mab:MAB_4230c
ko:K16301	mab:MAB_1161c
ko:K05602	mab:MAB_3485
ko:K15526	mab:MAB_2116
ko:K15554	mab:MAB_2216
ko:K15521	mab:MAB_4057c
ko:K15555	mab:MAB_2217
ko:K15553	mab:MAB_2218
ko:K14228	mab:MAB_t5019
ko:K03929	mab:MAB_3336c
ko:K15551	mab:MAB_2177
ko:K03929	mab:MAB_3453c
ko:K02050	mab:MAB_2463
ko:K02050	mab:MAB_2242
ko:K01692	mab:MAB_3124
ko:K01692	mab:MAB_4164
ko:K01692	mab:MAB_3350
ko:K01692	mab:MAB_1185c
ko:K12510	mab:MAB_0471
ko:K11741	mab:MAB_2640c
ko:K01692	mab:MAB_0959
ko:K01692	mab:MAB_2737c
ko:K01692	mab:MAB_3382c
ko:K01692	mab:MAB_4588c
ko:K01692	mab:MAB_3857c
ko:K01692	mab:MAB_1069c
ko:K01692	mab:MAB_1187c
ko:K01692	mab:MAB_0606c
ko:K15520	mab:MAB_0745
ko:K00459	mab:MAB_1641
ko:K15525	mab:MAB_1316
ko:K11939	mab:MAB_3396
ko:K01082	mab:MAB_2115
ko:K15371	mab:MAB_1561
ko:K01840	mab:MAB_3603c
ko:K15268	mab:MAB_0677c
ko:K03929	mab:MAB_3803c
