ko:K22317	sbs:Sbal117_1657
ko:K00989	sbs:Sbal117_0473
ko:K00762	sbs:Sbal117_0474
ko:K01495	sbs:Sbal117_0475
ko:K05501	sbs:Sbal117_0477
ko:K13038	sbs:Sbal117_0479
ko:K03630	sbs:Sbal117_0480
ko:K02902	sbs:Sbal117_0481
ko:K02913	sbs:Sbal117_0482
ko:K14682	sbs:Sbal117_0483
ko:K05786	sbs:Sbal117_0485
ko:K03654	sbs:Sbal117_0487
ko:K01649	sbs:Sbal117_0489
ko:K00052	sbs:Sbal117_0490
ko:K01703	sbs:Sbal117_0491
ko:K01704	sbs:Sbal117_0492
ko:K06076	sbs:Sbal117_0493
ko:K00864	sbs:Sbal117_0494
ko:K03925	sbs:Sbal117_0496
ko:K03438	sbs:Sbal117_0497
ko:K03586	sbs:Sbal117_0498
ko:K03587	sbs:Sbal117_0499
ko:K01928	sbs:Sbal117_0500
ko:K01929	sbs:Sbal117_0501
ko:K01000	sbs:Sbal117_0502
ko:K01925	sbs:Sbal117_0503
ko:K03588	sbs:Sbal117_0504
ko:K02563	sbs:Sbal117_0505
ko:K01924	sbs:Sbal117_0506
ko:K03589	sbs:Sbal117_0507
ko:K03590	sbs:Sbal117_0508
ko:K03531	sbs:Sbal117_0509
ko:K02535	sbs:Sbal117_0510
ko:K03070	sbs:Sbal117_0513
ko:K07740	sbs:Sbal117_0514
ko:K01599	sbs:Sbal117_0516
ko:K06188	sbs:Sbal117_1268
ko:K09001	sbs:Sbal117_1269
ko:K01866	sbs:Sbal117_1271
ko:K00266	sbs:Sbal117_1278
ko:K07139	sbs:Sbal117_1280
ko:K04761	sbs:Sbal117_1282
ko:K03573	sbs:Sbal117_1284
ko:K08311	sbs:Sbal117_1285
ko:K08484	sbs:Sbal117_1286
ko:K13292	sbs:Sbal117_1288
ko:K03313	sbs:Sbal117_1290
ko:K03717	sbs:Sbal117_1292
ko:K09159	sbs:Sbal117_1293
ko:K00278	sbs:Sbal117_1295
ko:K03088	sbs:Sbal117_1296
ko:K03597	sbs:Sbal117_1297
ko:K03598	sbs:Sbal117_1298
ko:K03596	sbs:Sbal117_1300
ko:K03100	sbs:Sbal117_1301
ko:K03685	sbs:Sbal117_1302
ko:K03584	sbs:Sbal117_1304
ko:K03474	sbs:Sbal117_1305
ko:K00997	sbs:Sbal117_1306
ko:K03106	sbs:Sbal117_1310
ko:K02959	sbs:Sbal117_1311
ko:K02860	sbs:Sbal117_1312
ko:K00554	sbs:Sbal117_1313
ko:K02884	sbs:Sbal117_1314
ko:K01626	sbs:Sbal117_1315
ko:K14187	sbs:Sbal117_1316
ko:K11933	sbs:Sbal117_1318
ko:K14170	sbs:Sbal117_1321
ko:K05809	sbs:Sbal117_1322
ko:K03221	sbs:Sbal117_2075
ko:K03222	sbs:Sbal117_2078
ko:K03230	sbs:Sbal117_2085
ko:K03224	sbs:Sbal117_2086
ko:K03225	sbs:Sbal117_2089
ko:K03226	sbs:Sbal117_2090
ko:K03228	sbs:Sbal117_2092
ko:K03229	sbs:Sbal117_2093
ko:K01305	sbs:Sbal117_2101
ko:K02553	sbs:Sbal117_2109
ko:K07289	sbs:Sbal117_2110
ko:K08307	sbs:Sbal117_2112
ko:K07303	sbs:Sbal117_2864
ko:K07302	sbs:Sbal117_2865
ko:K07402	sbs:Sbal117_2867
ko:K00764	sbs:Sbal117_2874
ko:K03558	sbs:Sbal117_2875
ko:K03749	sbs:Sbal117_2876
ko:K11754	sbs:Sbal117_2877
ko:K06173	sbs:Sbal117_2878
ko:K00133	sbs:Sbal117_2880
ko:K03473	sbs:Sbal117_2881
ko:K15461	sbs:Sbal117_2883
ko:K05820	sbs:Sbal117_2887
ko:K01736	sbs:Sbal117_2888
ko:K07320	sbs:Sbal117_2889
ko:K08296	sbs:Sbal117_2891
ko:K03924	sbs:Sbal117_2901
ko:K05591	sbs:Sbal117_3610
ko:K06911	sbs:Sbal117_3611
ko:K10778	sbs:Sbal117_3612
ko:K07070	sbs:Sbal117_3618
ko:K06158	sbs:Sbal117_3619
ko:K00855	sbs:Sbal117_3629
ko:K07751	sbs:Sbal117_3631
ko:K06206	sbs:Sbal117_3632
ko:K06204	sbs:Sbal117_3633
ko:K01894	sbs:Sbal117_3634
ko:K00950	sbs:Sbal117_3636
ko:K00606	sbs:Sbal117_3637
ko:K01918	sbs:Sbal117_3638
ko:K04335	sbs:Sbal117_3640
ko:K08984	sbs:Sbal117_3643
ko:K06980	sbs:Sbal117_3645
ko:K03310	sbs:Sbal117_3648
ko:K02003	sbs:Sbal117_3649
ko:K02570	sbs:Sbal117_3652
ko:K02567	sbs:Sbal117_3653
ko:K02568	sbs:Sbal117_3654
ko:K02355	sbs:Sbal117_3657
ko:K07461	sbs:Sbal117_4386
ko:K01354	sbs:Sbal117_4387
ko:K02217	sbs:Sbal117_4390
ko:K03750	sbs:Sbal117_4391
ko:K09712	sbs:Sbal117_4394
ko:K02415	sbs:Sbal117_4396
ko:K03181	sbs:Sbal117_4397
ko:K01745	sbs:Sbal117_4420
ko:K01712	sbs:Sbal117_4421
ko:K05836	sbs:Sbal117_4422
ko:K01468	sbs:Sbal117_4423
ko:K07734	sbs:Sbal117_4428
ko:K01126	sbs:Sbal117_4429
ko:K09880	sbs:Sbal117_4433
ko:K03639	sbs:Sbal117_0077
ko:K03750	sbs:Sbal117_0078
ko:K03752	sbs:Sbal117_0079
ko:K05773	sbs:Sbal117_0081
ko:K05772	sbs:Sbal117_0082
ko:K09125	sbs:Sbal117_0086
ko:K03320	sbs:Sbal117_0846
ko:K04752	sbs:Sbal117_0847
ko:K00077	sbs:Sbal117_0848
ko:K09767	sbs:Sbal117_0851
ko:K08218	sbs:Sbal117_0852
ko:K07286	sbs:Sbal117_0855
ko:K02558	sbs:Sbal117_0860
ko:K03186	sbs:Sbal117_0861
ko:K00760	sbs:Sbal117_0862
ko:K08303	sbs:Sbal117_0871
ko:K02426	sbs:Sbal117_0878
ko:K11717	sbs:Sbal117_0879
ko:K00346	sbs:Sbal117_0890
ko:K00347	sbs:Sbal117_0891
ko:K00348	sbs:Sbal117_0892
ko:K00349	sbs:Sbal117_0893
ko:K00350	sbs:Sbal117_0894
ko:K00351	sbs:Sbal117_0895
ko:K03828	sbs:Sbal117_0899
ko:K02168	sbs:Sbal117_1652
ko:K03305	sbs:Sbal117_1662
ko:K06996	sbs:Sbal117_1669
ko:K00865	sbs:Sbal117_1684
ko:K03781	sbs:Sbal117_1687
ko:K07727	sbs:Sbal117_2446
ko:K11068	sbs:Sbal117_2457
ko:K06967	sbs:Sbal117_2460
ko:K06969	sbs:Sbal117_2464
ko:K09707	sbs:Sbal117_2490
ko:K03815	sbs:Sbal117_3215
ko:K07148	sbs:Sbal117_3218
ko:K02106	sbs:Sbal117_3221
ko:K03758	sbs:Sbal117_3229
ko:K01299	sbs:Sbal117_3242
ko:K09922	sbs:Sbal117_3244
ko:K11720	sbs:Sbal117_3247
ko:K07091	sbs:Sbal117_3248
ko:K01255	sbs:Sbal117_3249
ko:K02339	sbs:Sbal117_3251
ko:K01873	sbs:Sbal117_3252
ko:K03569	sbs:Sbal117_3980
ko:K00029	sbs:Sbal117_3999
ko:K02909	sbs:Sbal117_4000
ko:K04066	sbs:Sbal117_4002
ko:K01887	sbs:Sbal117_4003
ko:K00757	sbs:Sbal117_4010
ko:K09794	sbs:Sbal117_4011
ko:K01581	sbs:Sbal117_4012
ko:K01419	sbs:Sbal117_4025
ko:K03667	sbs:Sbal117_4026
ko:K06876	sbs:Sbal117_4030
ko:K07341	sbs:Sbal117_4779
ko:K01945	sbs:Sbal117_0522
ko:K00602	sbs:Sbal117_0523
ko:K07089	sbs:Sbal117_0525
ko:K15012	sbs:Sbal117_4034
ko:K14445	sbs:Sbal117_0529
ko:K03672	sbs:Sbal117_0530
ko:K07080	sbs:Sbal117_0535
ko:K06915	sbs:Sbal117_0537
ko:K03657	sbs:Sbal117_0545
ko:K03179	sbs:Sbal117_0546
ko:K00459	sbs:Sbal117_0549
ko:K05368	sbs:Sbal117_0567
ko:K03182	sbs:Sbal117_0568
ko:K02160	sbs:Sbal117_0572
ko:K03786	sbs:Sbal117_0573
ko:K03720	sbs:Sbal117_1325
ko:K03775	sbs:Sbal117_1327
ko:K12524	sbs:Sbal117_1328
ko:K00872	sbs:Sbal117_1329
ko:K01733	sbs:Sbal117_1330
ko:K09916	sbs:Sbal117_2143
ko:K04773	sbs:Sbal117_2145
ko:K11107	sbs:Sbal117_2147
ko:K02469	sbs:Sbal117_2152
ko:K00831	sbs:Sbal117_2153
ko:K04069	sbs:Sbal117_2155
ko:K00800	sbs:Sbal117_2158
ko:K00945	sbs:Sbal117_2159
ko:K02945	sbs:Sbal117_2160
ko:K05788	sbs:Sbal117_2161
ko:K01591	sbs:Sbal117_2164
ko:K09912	sbs:Sbal117_2166
ko:K07259	sbs:Sbal117_2168
ko:K00998	sbs:Sbal117_2171
ko:K03088	sbs:Sbal117_2907
ko:K06076	sbs:Sbal117_2910
ko:K14645	sbs:Sbal117_2919
ko:K02304	sbs:Sbal117_2921
ko:K03074	sbs:Sbal117_2924
ko:K03072	sbs:Sbal117_2925
ko:K03210	sbs:Sbal117_2926
ko:K00773	sbs:Sbal117_2927
ko:K07568	sbs:Sbal117_2928
ko:K07862	sbs:Sbal117_2935
ko:K03415	sbs:Sbal117_2936
ko:K13529	sbs:Sbal117_2940
ko:K02742	sbs:Sbal117_3665
ko:K01150	sbs:Sbal117_3666
ko:K09761	sbs:Sbal117_3667
ko:K01920	sbs:Sbal117_3668
ko:K05685	sbs:Sbal117_3676
ko:K13888	sbs:Sbal117_3677
ko:K02019	sbs:Sbal117_3678
ko:K02020	sbs:Sbal117_3680
ko:K02018	sbs:Sbal117_3681
ko:K03630	sbs:Sbal117_3704
ko:K09946	sbs:Sbal117_3706
ko:K07107	sbs:Sbal117_4438
ko:K07107	sbs:Sbal117_4441
ko:K05367	sbs:Sbal117_4451
ko:K06894	sbs:Sbal117_4452
ko:K03831	sbs:Sbal117_4453
ko:K00847	sbs:Sbal117_4454
ko:K00690	sbs:Sbal117_4457
ko:K07090	sbs:Sbal117_4464
ko:K08177	sbs:Sbal117_4465
ko:K02478	sbs:Sbal117_4467
ko:K06911	sbs:Sbal117_4468
ko:K07667	sbs:Sbal117_4470
ko:K15034	sbs:Sbal117_0574
ko:K03282	sbs:Sbal117_0582
ko:K03543	sbs:Sbal117_0584
ko:K03446	sbs:Sbal117_0585
ko:K07089	sbs:Sbal117_0594
ko:K00134	sbs:Sbal117_0596
ko:K03310	sbs:Sbal117_0600
ko:K03530	sbs:Sbal117_0609
ko:K03413	sbs:Sbal117_0610
ko:K09973	sbs:Sbal117_0618
ko:K06219	sbs:Sbal117_0619
ko:K01938	sbs:Sbal117_0622
ko:K03664	sbs:Sbal117_1411
ko:K09801	sbs:Sbal117_1413
ko:K06186	sbs:Sbal117_1414
ko:K01638	sbs:Sbal117_1420
ko:K01637	sbs:Sbal117_1421
ko:K13954	sbs:Sbal117_1425
ko:K02167	sbs:Sbal117_1427
ko:K07093	sbs:Sbal117_2177
ko:K03654	sbs:Sbal117_2185
ko:K08276	sbs:Sbal117_2187
ko:K03760	sbs:Sbal117_2191
ko:K03413	sbs:Sbal117_2198
ko:K03407	sbs:Sbal117_2199
ko:K03408	sbs:Sbal117_2200
ko:K03411	sbs:Sbal117_2203
ko:K03412	sbs:Sbal117_2204
ko:K14153	sbs:Sbal117_2231
ko:K10125	sbs:Sbal117_2949
ko:K10126	sbs:Sbal117_2950
ko:K09936	sbs:Sbal117_2951
ko:K09936	sbs:Sbal117_2952
ko:K10805	sbs:Sbal117_2958
ko:K02548	sbs:Sbal117_2960
ko:K01908	sbs:Sbal117_2966
ko:K01969	sbs:Sbal117_2969
ko:K13766	sbs:Sbal117_2970
ko:K01968	sbs:Sbal117_2971
ko:K01640	sbs:Sbal117_2972
ko:K01028	sbs:Sbal117_2973
ko:K01029	sbs:Sbal117_2974
ko:K07090	sbs:Sbal117_2978
ko:K01284	sbs:Sbal117_2985
ko:K03522	sbs:Sbal117_2987
ko:K03521	sbs:Sbal117_2988
ko:K06080	sbs:Sbal117_2993
ko:K01881	sbs:Sbal117_2996
ko:K00606	sbs:Sbal117_2998
ko:K07001	sbs:Sbal117_2999
ko:K02621	sbs:Sbal117_3714
ko:K02622	sbs:Sbal117_3716
ko:K07000	sbs:Sbal117_3717
ko:K03651	sbs:Sbal117_3718
ko:K09920	sbs:Sbal117_3719
ko:K12340	sbs:Sbal117_3721
ko:K05539	sbs:Sbal117_3728
ko:K07007	sbs:Sbal117_4492
ko:K00057	sbs:Sbal117_4493
ko:K03071	sbs:Sbal117_4494
ko:K15633	sbs:Sbal117_4496
ko:K03797	sbs:Sbal117_4498
ko:K09798	sbs:Sbal117_4499
ko:K13771	sbs:Sbal117_4500
ko:K06940	sbs:Sbal117_4501
ko:K01661	sbs:Sbal117_4504
ko:K01153	sbs:Sbal117_4506
ko:K03654	sbs:Sbal117_4508
ko:K03427	sbs:Sbal117_4512
ko:K00820	sbs:Sbal117_4523
ko:K04042	sbs:Sbal117_4526
ko:K02114	sbs:Sbal117_4527
ko:K02112	sbs:Sbal117_4528
ko:K02115	sbs:Sbal117_4529
ko:K02111	sbs:Sbal117_4530
ko:K02113	sbs:Sbal117_4531
ko:K02109	sbs:Sbal117_4532
ko:K02110	sbs:Sbal117_4533
ko:K02108	sbs:Sbal117_4534
ko:K03501	sbs:Sbal117_4538
ko:K03495	sbs:Sbal117_4539
ko:K01638	sbs:Sbal117_0104
ko:K00147	sbs:Sbal117_0114
ko:K00931	sbs:Sbal117_0115
ko:K01414	sbs:Sbal117_0124
ko:K03585	sbs:Sbal117_0129
ko:K03744	sbs:Sbal117_0134
ko:K07115	sbs:Sbal117_0137
ko:K15984	sbs:Sbal117_0139
ko:K03832	sbs:Sbal117_0140
ko:K03561	sbs:Sbal117_0143
ko:K03088	sbs:Sbal117_0149
ko:K03837	sbs:Sbal117_0902
ko:K01153	sbs:Sbal117_0912
ko:K01154	sbs:Sbal117_0914
ko:K03427	sbs:Sbal117_0916
ko:K00789	sbs:Sbal117_0921
ko:K00615	sbs:Sbal117_0922
ko:K00134	sbs:Sbal117_0923
ko:K00927	sbs:Sbal117_0924
ko:K01624	sbs:Sbal117_0925
ko:K05590	sbs:Sbal117_0935
ko:K03311	sbs:Sbal117_0938
ko:K03981	sbs:Sbal117_0940
ko:K07462	sbs:Sbal117_0941
ko:K03387	sbs:Sbal117_0944
ko:K01255	sbs:Sbal117_0946
ko:K01061	sbs:Sbal117_0953
ko:K04758	sbs:Sbal117_1707
ko:K04759	sbs:Sbal117_1708
ko:K01886	sbs:Sbal117_1709
ko:K06169	sbs:Sbal117_1711
ko:K03269	sbs:Sbal117_1712
ko:K01883	sbs:Sbal117_1714
ko:K01491	sbs:Sbal117_1715
ko:K03545	sbs:Sbal117_1716
ko:K01358	sbs:Sbal117_1717
ko:K03544	sbs:Sbal117_1718
ko:K01338	sbs:Sbal117_1719
ko:K03530	sbs:Sbal117_1720
ko:K03770	sbs:Sbal117_1721
ko:K03974	sbs:Sbal117_1729
ko:K03969	sbs:Sbal117_1730
ko:K03970	sbs:Sbal117_1731
ko:K06918	sbs:Sbal117_1733
ko:K08990	sbs:Sbal117_1734
ko:K01761	sbs:Sbal117_1735
ko:K02237	sbs:Sbal117_1736
ko:K07090	sbs:Sbal117_1741
ko:K02336	sbs:Sbal117_1743
ko:K01673	sbs:Sbal117_2504
ko:K00979	sbs:Sbal117_2507
ko:K07146	sbs:Sbal117_2510
ko:K07552	sbs:Sbal117_2517
ko:K01652	sbs:Sbal117_2518
ko:K01653	sbs:Sbal117_2519
ko:K04080	sbs:Sbal117_2521
ko:K00940	sbs:Sbal117_2522
ko:K04755	sbs:Sbal117_2526
ko:K04044	sbs:Sbal117_2527
ko:K04082	sbs:Sbal117_2528
ko:K04487	sbs:Sbal117_2531
ko:K13643	sbs:Sbal117_2532
ko:K00640	sbs:Sbal117_2533
ko:K15396	sbs:Sbal117_2534
ko:K09808	sbs:Sbal117_2536
ko:K09808	sbs:Sbal117_2538
ko:K03723	sbs:Sbal117_2540
ko:K01512	sbs:Sbal117_2542
ko:K03563	sbs:Sbal117_3254
ko:K00928	sbs:Sbal117_3255
ko:K01872	sbs:Sbal117_3256
ko:K03565	sbs:Sbal117_3257
ko:K03555	sbs:Sbal117_3259
ko:K06194	sbs:Sbal117_3261
ko:K00573	sbs:Sbal117_3262
ko:K03787	sbs:Sbal117_3263
ko:K06176	sbs:Sbal117_3264
ko:K01770	sbs:Sbal117_3265
ko:K00991	sbs:Sbal117_3266
ko:K05589	sbs:Sbal117_3267
ko:K01689	sbs:Sbal117_3268
ko:K01937	sbs:Sbal117_3269
ko:K10536	sbs:Sbal117_3271
ko:K00549	sbs:Sbal117_3273
ko:K03215	sbs:Sbal117_3285
ko:K07678	sbs:Sbal117_3286
ko:K09891	sbs:Sbal117_3287
ko:K07088	sbs:Sbal117_3290
ko:K03631	sbs:Sbal117_3291
ko:K01095	sbs:Sbal117_3292
ko:K00946	sbs:Sbal117_3293
ko:K03625	sbs:Sbal117_3294
ko:K00794	sbs:Sbal117_3295
ko:K14652	sbs:Sbal117_3296
ko:K00793	sbs:Sbal117_3297
ko:K11752	sbs:Sbal117_3298
ko:K07738	sbs:Sbal117_3299
ko:K00600	sbs:Sbal117_3300
ko:K07396	sbs:Sbal117_3304
ko:K15011	sbs:Sbal117_4035
ko:K00067	sbs:Sbal117_4036
ko:K02553	sbs:Sbal117_4052
ko:K03183	sbs:Sbal117_4054
ko:K03690	sbs:Sbal117_4055
ko:K03688	sbs:Sbal117_4056
ko:K03116	sbs:Sbal117_4057
ko:K03117	sbs:Sbal117_4058
ko:K03118	sbs:Sbal117_4059
ko:K03424	sbs:Sbal117_4061
ko:K01698	sbs:Sbal117_4063
ko:K01682	sbs:Sbal117_4064
ko:K07001	sbs:Sbal117_4068
ko:K00382	sbs:Sbal117_4070
ko:K00627	sbs:Sbal117_4071
ko:K00163	sbs:Sbal117_4072
ko:K03807	sbs:Sbal117_4074
ko:K03806	sbs:Sbal117_4075
ko:K00767	sbs:Sbal117_4076
ko:K02652	sbs:Sbal117_4078
ko:K02654	sbs:Sbal117_4080
ko:K00859	sbs:Sbal117_4081
ko:K09862	sbs:Sbal117_4083
ko:K03427	sbs:Sbal117_4813
ko:K01154	sbs:Sbal117_4814
ko:K01153	sbs:Sbal117_4815
ko:K15256	sbs:Sbal117_0154
ko:K02300	sbs:Sbal117_0163
ko:K02299	sbs:Sbal117_0164
ko:K02298	sbs:Sbal117_0165
ko:K02297	sbs:Sbal117_0166
ko:K07637	sbs:Sbal117_0171
ko:K07638	sbs:Sbal117_0178
ko:K07659	sbs:Sbal117_0179
ko:K04760	sbs:Sbal117_0182
ko:K03219	sbs:Sbal117_0195
ko:K03224	sbs:Sbal117_0196
ko:K00655	sbs:Sbal117_0631
ko:K09893	sbs:Sbal117_0632
ko:K03580	sbs:Sbal117_0637
ko:K07175	sbs:Sbal117_0638
ko:K02192	sbs:Sbal117_0644
ko:K01126	sbs:Sbal117_0648
ko:K01613	sbs:Sbal117_0651
ko:K06949	sbs:Sbal117_0652
ko:K13288	sbs:Sbal117_0653
ko:K06925	sbs:Sbal117_0656
ko:K01448	sbs:Sbal117_0657
ko:K03572	sbs:Sbal117_0658
ko:K00791	sbs:Sbal117_0659
ko:K03666	sbs:Sbal117_0660
ko:K03665	sbs:Sbal117_0661
ko:K04088	sbs:Sbal117_0662
ko:K04087	sbs:Sbal117_0663
ko:K00411	sbs:Sbal117_0664
ko:K00412	sbs:Sbal117_0665
ko:K00413	sbs:Sbal117_0666
ko:K03599	sbs:Sbal117_0667
ko:K03600	sbs:Sbal117_0668
ko:K00673	sbs:Sbal117_0674
ko:K06447	sbs:Sbal117_0675
ko:K00705	sbs:Sbal117_1434
ko:K00688	sbs:Sbal117_1437
ko:K00975	sbs:Sbal117_1439
ko:K00703	sbs:Sbal117_1440
ko:K00782	sbs:Sbal117_1457
ko:K03303	sbs:Sbal117_1461
ko:K00858	sbs:Sbal117_1462
ko:K03687	sbs:Sbal117_1463
ko:K01662	sbs:Sbal117_1464
ko:K00795	sbs:Sbal117_1465
ko:K03602	sbs:Sbal117_1466
ko:K02556	sbs:Sbal117_1467
ko:K02557	sbs:Sbal117_1468
ko:K03151	sbs:Sbal117_1469
ko:K07020	sbs:Sbal117_1472
ko:K06968	sbs:Sbal117_1474
ko:K01146	sbs:Sbal117_1479
ko:K06966	sbs:Sbal117_1480
ko:K03554	sbs:Sbal117_1484
ko:K07636	sbs:Sbal117_1487
ko:K03154	sbs:Sbal117_2233
ko:K03149	sbs:Sbal117_2234
ko:K03150	sbs:Sbal117_2235
ko:K15257	sbs:Sbal117_2244
ko:K15256	sbs:Sbal117_2245
ko:K01876	sbs:Sbal117_2247
ko:K01159	sbs:Sbal117_2249
ko:K03550	sbs:Sbal117_2250
ko:K03551	sbs:Sbal117_2251
ko:K03327	sbs:Sbal117_2258
ko:K00793	sbs:Sbal117_2259
ko:K01868	sbs:Sbal117_2262
ko:K02520	sbs:Sbal117_2263
ko:K02916	sbs:Sbal117_2264
ko:K02887	sbs:Sbal117_2265
ko:K00384	sbs:Sbal117_2266
ko:K00259	sbs:Sbal117_2268
ko:K03466	sbs:Sbal117_2270
ko:K03634	sbs:Sbal117_2271
ko:K07478	sbs:Sbal117_2272
ko:K06199	sbs:Sbal117_2273
ko:K01875	sbs:Sbal117_2274
ko:K07237	sbs:Sbal117_2277
ko:K07236	sbs:Sbal117_2278
ko:K07235	sbs:Sbal117_2279
ko:K01790	sbs:Sbal117_3005
ko:K00973	sbs:Sbal117_3006
ko:K09975	sbs:Sbal117_3010
ko:K03431	sbs:Sbal117_3013
ko:K01790	sbs:Sbal117_3025
ko:K00067	sbs:Sbal117_3026
ko:K00973	sbs:Sbal117_3027
ko:K03305	sbs:Sbal117_3033
ko:K04754	sbs:Sbal117_3035
ko:K04061	sbs:Sbal117_3037
ko:K03408	sbs:Sbal117_3039
ko:K03408	sbs:Sbal117_3040
ko:K03412	sbs:Sbal117_3043
ko:K03407	sbs:Sbal117_3044
ko:K03414	sbs:Sbal117_3045
ko:K03413	sbs:Sbal117_3046
ko:K02405	sbs:Sbal117_3047
ko:K04562	sbs:Sbal117_3048
ko:K02404	sbs:Sbal117_3049
ko:K02400	sbs:Sbal117_3050
ko:K01775	sbs:Sbal117_3787
ko:K02939	sbs:Sbal117_3790
ko:K02963	sbs:Sbal117_3791
ko:K02686	sbs:Sbal117_3792
ko:K02990	sbs:Sbal117_3793
ko:K03218	sbs:Sbal117_3796
ko:K12573	sbs:Sbal117_3797
ko:K01939	sbs:Sbal117_3799
ko:K09937	sbs:Sbal117_3800
ko:K02996	sbs:Sbal117_3801
ko:K02871	sbs:Sbal117_3802
ko:K06916	sbs:Sbal117_3803
ko:K04691	sbs:Sbal117_3805
ko:K00790	sbs:Sbal117_3806
ko:K07122	sbs:Sbal117_3808
ko:K07323	sbs:Sbal117_3809
ko:K02066	sbs:Sbal117_3811
ko:K02065	sbs:Sbal117_3812
ko:K06041	sbs:Sbal117_3813
ko:K03270	sbs:Sbal117_3814
ko:K11719	sbs:Sbal117_3815
ko:K09774	sbs:Sbal117_3816
ko:K06861	sbs:Sbal117_3817
ko:K03092	sbs:Sbal117_3818
ko:K05808	sbs:Sbal117_3819
ko:K06205	sbs:Sbal117_4541
ko:K03650	sbs:Sbal117_4542
ko:K03217	sbs:Sbal117_4543
ko:K08998	sbs:Sbal117_4544
ko:K03536	sbs:Sbal117_4545
ko:K03805	sbs:Sbal117_4558
ko:K03778	sbs:Sbal117_0954
ko:K00111	sbs:Sbal117_0963
ko:K03212	sbs:Sbal117_0964
ko:K07240	sbs:Sbal117_0965
ko:K00123	sbs:Sbal117_0967
ko:K02836	sbs:Sbal117_0968
ko:K04567	sbs:Sbal117_0969
ko:K03782	sbs:Sbal117_0971
ko:K03670	sbs:Sbal117_0973
ko:K01256	sbs:Sbal117_0979
ko:K07337	sbs:Sbal117_0980
ko:K09859	sbs:Sbal117_0981
ko:K01462	sbs:Sbal117_0982
ko:K03745	sbs:Sbal117_0983
ko:K03781	sbs:Sbal117_0990
ko:K03834	sbs:Sbal117_0993
ko:K03734	sbs:Sbal117_1004
ko:K03561	sbs:Sbal117_1754
ko:K03561	sbs:Sbal117_1755
ko:K03832	sbs:Sbal117_1757
ko:K07090	sbs:Sbal117_1766
ko:K03547	sbs:Sbal117_1767
ko:K07043	sbs:Sbal117_1771
ko:K07001	sbs:Sbal117_1774
ko:K14762	sbs:Sbal117_1780
ko:K02478	sbs:Sbal117_1787
ko:K13256	sbs:Sbal117_1792
ko:K07234	sbs:Sbal117_1793
ko:K09928	sbs:Sbal117_1794
ko:K00912	sbs:Sbal117_1797
ko:K09791	sbs:Sbal117_1798
ko:K06996	sbs:Sbal117_1803
ko:K06996	sbs:Sbal117_1805
ko:K07000	sbs:Sbal117_2550
ko:K01207	sbs:Sbal117_2551
ko:K01752	sbs:Sbal117_2552
ko:K01070	sbs:Sbal117_2553
ko:K00765	sbs:Sbal117_2561
ko:K00013	sbs:Sbal117_2562
ko:K00817	sbs:Sbal117_2563
ko:K01089	sbs:Sbal117_2564
ko:K02501	sbs:Sbal117_2565
ko:K01814	sbs:Sbal117_2566
ko:K02500	sbs:Sbal117_2567
ko:K11755	sbs:Sbal117_2568
ko:K03834	sbs:Sbal117_2569
ko:K09978	sbs:Sbal117_2572
ko:K15371	sbs:Sbal117_2576
ko:K01256	sbs:Sbal117_2582
ko:K03797	sbs:Sbal117_2583
ko:K03607	sbs:Sbal117_2584
ko:K09918	sbs:Sbal117_2586
ko:K03808	sbs:Sbal117_2587
ko:K03808	sbs:Sbal117_2588
ko:K03424	sbs:Sbal117_2592
ko:K02676	sbs:Sbal117_2593
ko:K02341	sbs:Sbal117_2594
ko:K00943	sbs:Sbal117_2595
ko:K07082	sbs:Sbal117_2596
ko:K01494	sbs:Sbal117_2598
ko:K00876	sbs:Sbal117_2599
ko:K06886	sbs:Sbal117_3315
ko:K01939	sbs:Sbal117_3329
ko:K03415	sbs:Sbal117_3330
ko:K08303	sbs:Sbal117_3334
ko:K14645	sbs:Sbal117_3336
ko:K08303	sbs:Sbal117_3338
ko:K06901	sbs:Sbal117_3346
ko:K03532	sbs:Sbal117_3348
ko:K03533	sbs:Sbal117_3350
ko:K07647	sbs:Sbal117_3351
ko:K11930	sbs:Sbal117_3352
ko:K04485	sbs:Sbal117_3355
ko:K01524	sbs:Sbal117_4086
ko:K03732	sbs:Sbal117_4087
ko:K03671	sbs:Sbal117_4088
ko:K03628	sbs:Sbal117_4089
ko:K00246	sbs:Sbal117_4095
ko:K00246	sbs:Sbal117_4096
ko:K02687	sbs:Sbal117_4097
ko:K03557	sbs:Sbal117_4099
ko:K03658	sbs:Sbal117_4100
ko:K02557	sbs:Sbal117_4105
ko:K02405	sbs:Sbal117_4108
ko:K02415	sbs:Sbal117_4109
ko:K02422	sbs:Sbal117_4112
ko:K02407	sbs:Sbal117_4113
ko:K02406	sbs:Sbal117_4114
ko:K02406	sbs:Sbal117_4115
ko:K02406	sbs:Sbal117_4116
ko:K02406	sbs:Sbal117_4117
ko:K02397	sbs:Sbal117_4119
ko:K02396	sbs:Sbal117_4120
ko:K02395	sbs:Sbal117_4121
ko:K02394	sbs:Sbal117_4122
ko:K02393	sbs:Sbal117_4123
ko:K02392	sbs:Sbal117_4124
ko:K02391	sbs:Sbal117_4125
ko:K02390	sbs:Sbal117_4126
ko:K02389	sbs:Sbal117_4127
ko:K02388	sbs:Sbal117_4128
ko:K02387	sbs:Sbal117_4129
ko:K02386	sbs:Sbal117_4130
