ko:K01215	stx:MGAS1882_1587
ko:K07035	stx:MGAS1882_0681
ko:K00077	stx:MGAS1882_0682
ko:K03436	stx:MGAS1882_0683
ko:K00882	stx:MGAS1882_0684
ko:K02808	stx:MGAS1882_1446
ko:K02809	stx:MGAS1882_1446
ko:K02810	stx:MGAS1882_1446
ko:K01193	stx:MGAS1882_1447
ko:K03484	stx:MGAS1882_1448
ko:K03625	stx:MGAS1882_1449
ko:K02356	stx:MGAS1882_1451
ko:K01262	stx:MGAS1882_1453
ko:K03701	stx:MGAS1882_1454
ko:K03284	stx:MGAS1882_1455
ko:K02963	stx:MGAS1882_1457
ko:K02990	stx:MGAS1882_1459
ko:K03575	stx:MGAS1882_1461
ko:K03671	stx:MGAS1882_1463
ko:K07456	stx:MGAS1882_1465
ko:K03471	stx:MGAS1882_1468
ko:K03100	stx:MGAS1882_1469
ko:K03581	stx:MGAS1882_1470
ko:K02346	stx:MGAS1882_1472
ko:K00656	stx:MGAS1882_1473
ko:K02440	stx:MGAS1882_1477
ko:K01281	stx:MGAS1882_1481
ko:K09747	stx:MGAS1882_1484
ko:K02342	stx:MGAS1882_1486
ko:K07007	stx:MGAS1882_1492
ko:K01619	stx:MGAS1882_1493
ko:K03317	stx:MGAS1882_1494
ko:K00757	stx:MGAS1882_1495
ko:K09817	stx:MGAS1882_0112
ko:K09816	stx:MGAS1882_0113
ko:K01866	stx:MGAS1882_0115
ko:K03693	stx:MGAS1882_0116
ko:K03043	stx:MGAS1882_0117
ko:K03046	stx:MGAS1882_0118
ko:K02243	stx:MGAS1882_0120
ko:K02244	stx:MGAS1882_0121
ko:K02245	stx:MGAS1882_0122
ko:K02246	stx:MGAS1882_0123
ko:K02248	stx:MGAS1882_0125
ko:K00925	stx:MGAS1882_0128
ko:K00286	stx:MGAS1882_0130
ko:K01261	stx:MGAS1882_0131
ko:K06878	stx:MGAS1882_0135
ko:K04083	stx:MGAS1882_0139
ko:K03100	stx:MGAS1882_0145
ko:K08600	stx:MGAS1882_0147
ko:K02106	stx:MGAS1882_0153
ko:K02038	stx:MGAS1882_0945
ko:K03310	stx:MGAS1882_0970
ko:K02029	stx:MGAS1882_0975
ko:K02037	stx:MGAS1882_0946
ko:K06193	stx:MGAS1882_0976
ko:K00009	stx:MGAS1882_0979
ko:K02040	stx:MGAS1882_0947
ko:K01092	stx:MGAS1882_0949
ko:K11753	stx:MGAS1882_0952
ko:K03177	stx:MGAS1882_0953
ko:K02004	stx:MGAS1882_0957
ko:K02003	stx:MGAS1882_0958
ko:K03657	stx:MGAS1882_0968
ko:K02768	stx:MGAS1882_0685
ko:K02769	stx:MGAS1882_0685
ko:K02770	stx:MGAS1882_0685
ko:K02622	stx:MGAS1882_0732
ko:K00940	stx:MGAS1882_0691
ko:K02621	stx:MGAS1882_0734
ko:K00826	stx:MGAS1882_0735
ko:K00974	stx:MGAS1882_0694
ko:K02954	stx:MGAS1882_1497
ko:K15738	stx:MGAS1882_0695
ko:K01462	stx:MGAS1882_0698
ko:K01081	stx:MGAS1882_0699
ko:K01409	stx:MGAS1882_1498
ko:K00869	stx:MGAS1882_0703
ko:K03789	stx:MGAS1882_1499
ko:K01597	stx:MGAS1882_0704
ko:K00938	stx:MGAS1882_0705
ko:K01823	stx:MGAS1882_0706
ko:K01915	stx:MGAS1882_1503
ko:K00054	stx:MGAS1882_0707
ko:K01641	stx:MGAS1882_0708
ko:K03544	stx:MGAS1882_0712
ko:K03978	stx:MGAS1882_0713
ko:K04086	stx:MGAS1882_0715
ko:K01807	stx:MGAS1882_0716
ko:K01839	stx:MGAS1882_0717
ko:K03783	stx:MGAS1882_0719
ko:K03784	stx:MGAS1882_0720
ko:K01591	stx:MGAS1882_0724
ko:K00762	stx:MGAS1882_0725
ko:K03648	stx:MGAS1882_0729
ko:K01465	stx:MGAS1882_0730
ko:K08591	stx:MGAS1882_0731
ko:K02798	stx:MGAS1882_0980
ko:K02799	stx:MGAS1882_0982
ko:K02800	stx:MGAS1882_0982
ko:K00820	stx:MGAS1882_0983
ko:K03100	stx:MGAS1882_0985
ko:K00873	stx:MGAS1882_0986
ko:K00850	stx:MGAS1882_0987
ko:K02337	stx:MGAS1882_0988
ko:K00688	stx:MGAS1882_0995
ko:K08974	stx:MGAS1882_1749
ko:K01421	stx:MGAS1882_1754
ko:K02986	stx:MGAS1882_1756
ko:K02939	stx:MGAS1882_1759
ko:K03495	stx:MGAS1882_1761
ko:K00566	stx:MGAS1882_1763
ko:K01752	stx:MGAS1882_1764
ko:K01752	stx:MGAS1882_1765
ko:K00995	stx:MGAS1882_1770
ko:K00752	stx:MGAS1882_1774
ko:K00012	stx:MGAS1882_1775
ko:K00963	stx:MGAS1882_1776
ko:K03629	stx:MGAS1882_1778
ko:K05340	stx:MGAS1882_1779
ko:K00088	stx:MGAS1882_1780
ko:K01867	stx:MGAS1882_1781
ko:K00783	stx:MGAS1882_1790
ko:K00134	stx:MGAS1882_0260
ko:K06153	stx:MGAS1882_0264
ko:K09013	stx:MGAS1882_0267
ko:K09015	stx:MGAS1882_0268
ko:K11717	stx:MGAS1882_0269
ko:K04488	stx:MGAS1882_0270
ko:K09014	stx:MGAS1882_0271
ko:K07258	stx:MGAS1882_0273
ko:K15580	stx:MGAS1882_0274
ko:K15581	stx:MGAS1882_0275
ko:K01142	stx:MGAS1882_0365
ko:K10530	stx:MGAS1882_0366
ko:K01361	stx:MGAS1882_0367
ko:K01874	stx:MGAS1882_0371
ko:K03647	stx:MGAS1882_0374
ko:K00059	stx:MGAS1882_0389
ko:K02445	stx:MGAS1882_0391
ko:K04042	stx:MGAS1882_0392
ko:K01515	stx:MGAS1882_0393
ko:K01243	stx:MGAS1882_0395
ko:K03709	stx:MGAS1882_0397
ko:K03466	stx:MGAS1882_0402
ko:K02867	stx:MGAS1882_0404
ko:K02863	stx:MGAS1882_0405
ko:K09903	stx:MGAS1882_0406
ko:K02838	stx:MGAS1882_0407
ko:K00243	stx:MGAS1882_0408
ko:K07304	stx:MGAS1882_0409
ko:K10254	stx:MGAS1882_0412
ko:K03713	stx:MGAS1882_1504
ko:K00927	stx:MGAS1882_1506
ko:K07030	stx:MGAS1882_1509
ko:K02902	stx:MGAS1882_1511
ko:K01624	stx:MGAS1882_1512
ko:K06889	stx:MGAS1882_1514
ko:K01937	stx:MGAS1882_1515
ko:K03048	stx:MGAS1882_1516
ko:K03545	stx:MGAS1882_1517
ko:K00868	stx:MGAS1882_1521
ko:K06173	stx:MGAS1882_1522
ko:K12296	stx:MGAS1882_1523
ko:K00865	stx:MGAS1882_1531
ko:K01153	stx:MGAS1882_1532
ko:K01154	stx:MGAS1882_1533
ko:K03427	stx:MGAS1882_1534
ko:K02004	stx:MGAS1882_1538
ko:K02003	stx:MGAS1882_1539
ko:K01220	stx:MGAS1882_1543
ko:K02787	stx:MGAS1882_1544
ko:K02788	stx:MGAS1882_1544
ko:K09952	stx:MGAS1882_0792
ko:K00940	stx:MGAS1882_0796
ko:K00940	stx:MGAS1882_0797
ko:K03596	stx:MGAS1882_0798
ko:K07305	stx:MGAS1882_0800
ko:K02793	stx:MGAS1882_0802
ko:K02795	stx:MGAS1882_0804
ko:K07720	stx:MGAS1882_0807
ko:K02012	stx:MGAS1882_0808
ko:K00135	stx:MGAS1882_0809
ko:K03703	stx:MGAS1882_0810
ko:K03650	stx:MGAS1882_0813
ko:K02864	stx:MGAS1882_0814
ko:K14237	stx:MGAS1882_0020
ko:K14237	stx:MGAS1882_0097
ko:K14237	stx:MGAS1882_1276
ko:K14228	stx:MGAS1882_0108
ko:K15583	stx:MGAS1882_0277
ko:K14228	stx:MGAS1882_0023
ko:K14228	stx:MGAS1882_1273
ko:K14234	stx:MGAS1882_0024
ko:K14234	stx:MGAS1882_1272
ko:K14230	stx:MGAS1882_0030
ko:K14225	stx:MGAS1882_0098
ko:K14225	stx:MGAS1882_0034
ko:K14220	stx:MGAS1882_0285
ko:K14220	stx:MGAS1882_1525
ko:K14220	stx:MGAS1882_1786
ko:K14222	stx:MGAS1882_1672
ko:K14219	stx:MGAS1882_1789
ko:K11045	stx:MGAS1882_0972
ko:K11046	stx:MGAS1882_0586
ko:K16169	stx:MGAS1882_0854
ko:K01223	stx:MGAS1882_1019
ko:K14235	stx:MGAS1882_0105
ko:K10823	stx:MGAS1882_0278
ko:K02851	stx:MGAS1882_0266
ko:K13734	stx:MGAS1882_0144
ko:K13734	stx:MGAS1882_0142
ko:K15770	stx:MGAS1882_0998
ko:K15772	stx:MGAS1882_1000
ko:K11040	stx:MGAS1882_1607
ko:K11040	stx:MGAS1882_0215
ko:K11040	stx:MGAS1882_0386
ko:K16786	stx:MGAS1882_1769
ko:K16787	stx:MGAS1882_1768
ko:K16785	stx:MGAS1882_1767
ko:K11044	stx:MGAS1882_0376
ko:K16788	stx:MGAS1882_1096
ko:K16789	stx:MGAS1882_0522
ko:K11704	stx:MGAS1882_0398
ko:K14219	stx:MGAS1882_0575
ko:K15035	stx:MGAS1882_0993
ko:K00131	stx:MGAS1882_1054
ko:K16786	stx:MGAS1882_1428
ko:K16787	stx:MGAS1882_1428
ko:K10009	stx:MGAS1882_0728
ko:K02424	stx:MGAS1882_0727
ko:K02028	stx:MGAS1882_1182
ko:K02030	stx:MGAS1882_0298
ko:K02030	stx:MGAS1882_0973
ko:K14223	stx:MGAS1882_0107
ko:K14223	stx:MGAS1882_0738
ko:K14229	stx:MGAS1882_0022
ko:K14229	stx:MGAS1882_1274
ko:K14236	stx:MGAS1882_0104
ko:K14234	stx:MGAS1882_1242
ko:K14229	stx:MGAS1882_1604
ko:K14218	stx:MGAS1882_0017
ko:K14218	stx:MGAS1882_1528
ko:K14218	stx:MGAS1882_0094
ko:K14218	stx:MGAS1882_0282
ko:K14218	stx:MGAS1882_1279
ko:K14230	stx:MGAS1882_0102
ko:K09951	stx:MGAS1882_0794
ko:K01426	stx:MGAS1882_0726
ko:K16785	stx:MGAS1882_1429
ko:K08986	stx:MGAS1882_0502
ko:K16926	stx:MGAS1882_1430
ko:K01985	stx:MGAS1882_0019
ko:K01985	stx:MGAS1882_1277
ko:K01985	stx:MGAS1882_1526
ko:K01985	stx:MGAS1882_0284
ko:K01985	stx:MGAS1882_0096
ko:K14221	stx:MGAS1882_0021
ko:K14221	stx:MGAS1882_1275
ko:K14225	stx:MGAS1882_0025
ko:K14228	stx:MGAS1882_0026
ko:K14219	stx:MGAS1882_0027
ko:K14219	stx:MGAS1882_0286
ko:K14219	stx:MGAS1882_1524
ko:K14230	stx:MGAS1882_0029
ko:K14227	stx:MGAS1882_0035
ko:K14227	stx:MGAS1882_1271
ko:K14227	stx:MGAS1882_0099
ko:K14226	stx:MGAS1882_0106
ko:K14233	stx:MGAS1882_1373
ko:K14228	stx:MGAS1882_1513
ko:K16898	stx:MGAS1882_0619
ko:K16899	stx:MGAS1882_0618
ko:K01980	stx:MGAS1882_0283
ko:K01980	stx:MGAS1882_0018
ko:K01980	stx:MGAS1882_0095
ko:K01980	stx:MGAS1882_1527
ko:K01980	stx:MGAS1882_1278
ko:K08316	stx:MGAS1882_1211
ko:K03574	stx:MGAS1882_1186
ko:K11070	stx:MGAS1882_0826
ko:K02029	stx:MGAS1882_1010
ko:K02030	stx:MGAS1882_1010
ko:K01990	stx:MGAS1882_0630
ko:K17319	stx:MGAS1882_1256
ko:K17318	stx:MGAS1882_1254
ko:K01992	stx:MGAS1882_0456
ko:K01992	stx:MGAS1882_0629
ko:K01992	stx:MGAS1882_1330
ko:K01992	stx:MGAS1882_1376
ko:K01992	stx:MGAS1882_1424
ko:K01990	stx:MGAS1882_0990
ko:K01990	stx:MGAS1882_1377
ko:K01990	stx:MGAS1882_1331
ko:K02028	stx:MGAS1882_1319
ko:K02028	stx:MGAS1882_0974
ko:K03574	stx:MGAS1882_0762
ko:K02028	stx:MGAS1882_1011
ko:K01598	stx:MGAS1882_0928
ko:K00951	stx:MGAS1882_1592
ko:K17320	stx:MGAS1882_1255
ko:K01897	stx:MGAS1882_0459
ko:K01537	stx:MGAS1882_0539
ko:K17076	stx:MGAS1882_0261
ko:K17073	stx:MGAS1882_0262
ko:K17074	stx:MGAS1882_0262
ko:K02029	stx:MGAS1882_1183
ko:K10947	stx:MGAS1882_1751
ko:K02030	stx:MGAS1882_0620
ko:K01035	stx:MGAS1882_0157
ko:K01035	stx:MGAS1882_1303
ko:K01992	stx:MGAS1882_0455
ko:K01992	stx:MGAS1882_0593
ko:K01992	stx:MGAS1882_0594
ko:K01190	stx:MGAS1882_1250
ko:K01990	stx:MGAS1882_0454
ko:K01990	stx:MGAS1882_0592
ko:K01990	stx:MGAS1882_1425
ko:K10112	stx:MGAS1882_1588
ko:K17686	stx:MGAS1882_1364
ko:K01101	stx:MGAS1882_0790
ko:K07284	stx:MGAS1882_0143
ko:K07284	stx:MGAS1882_0870
ko:K00226	stx:MGAS1882_1099
ko:K03767	stx:MGAS1882_0401
ko:K02026	stx:MGAS1882_0242
ko:K01658	stx:MGAS1882_1601
ko:K00537	stx:MGAS1882_0718
ko:K02027	stx:MGAS1882_0240
ko:K12574	stx:MGAS1882_1502
ko:K01467	stx:MGAS1882_0010
ko:K12574	stx:MGAS1882_0770
ko:K01071	stx:MGAS1882_0789
ko:K03366	stx:MGAS1882_0558
ko:K06148	stx:MGAS1882_0865
ko:K18153	stx:MGAS1882_0175
ko:K02794	stx:MGAS1882_0803
ko:K22044	stx:MGAS1882_1518
ko:K18369	stx:MGAS1882_0832
ko:K03742	stx:MGAS1882_1706
ko:K18474	stx:MGAS1882_1403
ko:K00105	stx:MGAS1882_1338
ko:K02001	stx:MGAS1882_0194
ko:K02002	stx:MGAS1882_0194
ko:K18581	stx:MGAS1882_0545
ko:K18682	stx:MGAS1882_1299
ko:K06896	stx:MGAS1882_1595
ko:K18672	stx:MGAS1882_0784
ko:K18692	stx:MGAS1882_1321
ko:K18892	stx:MGAS1882_0224
ko:K18891	stx:MGAS1882_0223
ko:K03111	stx:MGAS1882_0136
ko:K03497	stx:MGAS1882_1792
ko:K03111	stx:MGAS1882_1458
ko:K07029	stx:MGAS1882_0598
ko:K07483	stx:MGAS1882_0206
ko:K07483	stx:MGAS1882_1025
ko:K19002	stx:MGAS1882_0452
ko:K18979	stx:MGAS1882_0553
ko:K13052	stx:MGAS1882_0008
ko:K18986	stx:MGAS1882_1627
ko:K18987	stx:MGAS1882_1628
ko:K19005	stx:MGAS1882_0646
ko:K08652	stx:MGAS1882_1619
ko:K02476	stx:MGAS1882_0829
ko:K02475	stx:MGAS1882_0828
ko:K14989	stx:MGAS1882_1536
ko:K01710	stx:MGAS1882_0761
ko:K19137	stx:MGAS1882_0795
ko:K01364	stx:MGAS1882_1640
ko:K14745	stx:MGAS1882_1590
ko:K03722	stx:MGAS1882_0559
ko:K19302	stx:MGAS1882_0340
ko:K04771	stx:MGAS1882_1791
ko:K12998	stx:MGAS1882_0631
ko:K02031	stx:MGAS1882_1612
ko:K06881	stx:MGAS1882_0570
ko:K03483	stx:MGAS1882_0981
ko:K00526	stx:MGAS1882_1059
ko:K02796	stx:MGAS1882_1387
ko:K02796	stx:MGAS1882_0805
ko:K00887	stx:MGAS1882_0416
ko:K07497	stx:MGAS1882_0205
ko:K07052	stx:MGAS1882_0590
ko:K00786	stx:MGAS1882_0634
ko:K21636	stx:MGAS1882_1699
ko:K11705	stx:MGAS1882_0400
ko:K11706	stx:MGAS1882_0399
ko:K20074	stx:MGAS1882_1293
ko:K12132	stx:MGAS1882_1292
ko:K20073	stx:MGAS1882_1307
ko:K21349	stx:MGAS1882_0473
ko:K20112	stx:MGAS1882_1360
ko:K02777	stx:MGAS1882_1596
ko:K20107	stx:MGAS1882_1596
ko:K20108	stx:MGAS1882_1596
ko:K20114	stx:MGAS1882_1358
ko:K20113	stx:MGAS1882_1359
ko:K20374	stx:MGAS1882_0466
ko:K20342	stx:MGAS1882_0055
ko:K20373	stx:MGAS1882_0433
ko:K00526	stx:MGAS1882_0373
ko:K20375	stx:MGAS1882_1643
ko:K21064	stx:MGAS1882_1384
ko:K08968	stx:MGAS1882_1048
ko:K00525	stx:MGAS1882_0375
ko:K00857	stx:MGAS1882_0857
ko:K04068	stx:MGAS1882_1695
ko:K03553	stx:MGAS1882_1705
ko:K06919	stx:MGAS1882_1723
ko:K02314	stx:MGAS1882_1758
ko:K01520	stx:MGAS1882_0226
ko:K06191	stx:MGAS1882_1057
ko:K01286	stx:MGAS1882_0272
ko:K06919	stx:MGAS1882_1149
ko:K06217	stx:MGAS1882_0413
ko:K00558	stx:MGAS1882_1234
ko:K02316	stx:MGAS1882_0623
ko:K01493	stx:MGAS1882_1452
ko:K00560	stx:MGAS1882_0709
ko:K00287	stx:MGAS1882_0710
ko:K00525	stx:MGAS1882_1058
ko:K02335	stx:MGAS1882_0195
ko:K02032	stx:MGAS1882_1613
ko:K00571	stx:MGAS1882_0127
ko:K01746	stx:MGAS1882_1678
ko:K07497	stx:MGAS1882_1026
ko:K07497	stx:MGAS1882_1230
ko:K06148	stx:MGAS1882_1431
ko:K06148	stx:MGAS1882_1432
ko:K21471	stx:MGAS1882_0038
ko:K00863	stx:MGAS1882_0457
ko:K21567	stx:MGAS1882_0680
ko:K21828	stx:MGAS1882_1219
ko:K21977	stx:MGAS1882_0927
ko:K21993	stx:MGAS1882_1095
ko:K03595	stx:MGAS1882_0417
ko:K03078	stx:MGAS1882_0187
ko:K22278	stx:MGAS1882_1053
ko:K03077	stx:MGAS1882_0189
ko:K03079	stx:MGAS1882_0188
ko:K22457	stx:MGAS1882_0560
