ko:K15581	ecl:EcolC_2384
ko:K03117	ecl:EcolC_4171
ko:K03116	ecl:EcolC_4172
ko:K03688	ecl:EcolC_4173
ko:K03690	ecl:EcolC_4174
ko:K03183	ecl:EcolC_4175
ko:K09760	ecl:EcolC_4176
ko:K00549	ecl:EcolC_4179
ko:K03576	ecl:EcolC_4180
ko:K05786	ecl:EcolC_4189
ko:K03284	ecl:EcolC_4192
ko:K09921	ecl:EcolC_4197
ko:K01778	ecl:EcolC_4198
ko:K06202	ecl:EcolC_4200
ko:K01749	ecl:EcolC_4202
ko:K01719	ecl:EcolC_4203
ko:K02496	ecl:EcolC_4204
ko:K06871	ecl:EcolC_4206
ko:K02853	ecl:EcolC_4209
ko:K03311	ecl:EcolC_3232
ko:K08160	ecl:EcolC_2800
ko:K07258	ecl:EcolC_2803
ko:K03750	ecl:EcolC_2817
ko:K04069	ecl:EcolC_2820
ko:K00151	ecl:EcolC_3703
ko:K02687	ecl:EcolC_0447
ko:K06287	ecl:EcolC_0459
ko:K03568	ecl:EcolC_0462
ko:K02013	ecl:EcolC_0739
ko:K02015	ecl:EcolC_0740
ko:K02015	ecl:EcolC_0741
ko:K02016	ecl:EcolC_0742
ko:K03088	ecl:EcolC_0745
ko:K07150	ecl:EcolC_0748
ko:K03289	ecl:EcolC_0750
ko:K08306	ecl:EcolC_0751
ko:K03439	ecl:EcolC_0754
ko:K09923	ecl:EcolC_0755
ko:K09131	ecl:EcolC_0761
ko:K06997	ecl:EcolC_0763
ko:K02669	ecl:EcolC_0764
ko:K07447	ecl:EcolC_0765
ko:K07735	ecl:EcolC_0766
ko:K01920	ecl:EcolC_0767
ko:K09761	ecl:EcolC_0768
ko:K07387	ecl:EcolC_0775
ko:K00615	ecl:EcolC_0776
ko:K03442	ecl:EcolC_0786
ko:K09807	ecl:EcolC_0788
ko:K07588	ecl:EcolC_0792
ko:K00526	ecl:EcolC_1030
ko:K00525	ecl:EcolC_1031
ko:K00135	ecl:EcolC_1045
ko:K03664	ecl:EcolC_1064
ko:K09801	ecl:EcolC_1066
ko:K06186	ecl:EcolC_1067
ko:K07306	ecl:EcolC_2702
ko:K02372	ecl:EcolC_3480
ko:K04022	ecl:EcolC_1224
ko:K00858	ecl:EcolC_1069
ko:K03825	ecl:EcolC_0272
ko:K06911	ecl:EcolC_0274
ko:K06145	ecl:EcolC_0275
ko:K00851	ecl:EcolC_0276
ko:K00133	ecl:EcolC_0279
ko:K00700	ecl:EcolC_0280
ko:K02438	ecl:EcolC_0281
ko:K00975	ecl:EcolC_0282
ko:K00688	ecl:EcolC_0284
ko:K02040	ecl:EcolC_0285
ko:K02040	ecl:EcolC_0286
ko:K00111	ecl:EcolC_0288
ko:K02439	ecl:EcolC_0289
ko:K02441	ecl:EcolC_0290
ko:K02444	ecl:EcolC_0291
ko:K01974	ecl:EcolC_0294
ko:K03556	ecl:EcolC_0295
ko:K00688	ecl:EcolC_0296
ko:K00705	ecl:EcolC_0297
ko:K06155	ecl:EcolC_0298
ko:K07400	ecl:EcolC_0299
ko:K07490	ecl:EcolC_0303
ko:K04759	ecl:EcolC_0304
ko:K04758	ecl:EcolC_0305
ko:K06959	ecl:EcolC_0306
ko:K04760	ecl:EcolC_0307
ko:K04488	ecl:EcolC_1148
ko:K04082	ecl:EcolC_1150
ko:K04044	ecl:EcolC_1151
ko:K07751	ecl:EcolC_1154
ko:K06894	ecl:EcolC_1157
ko:K00940	ecl:EcolC_1159
ko:K06941	ecl:EcolC_1160
ko:K03291	ecl:EcolC_0041
ko:K01811	ecl:EcolC_0055
ko:K03312	ecl:EcolC_0058
ko:K00556	ecl:EcolC_0060
ko:K00942	ecl:EcolC_0063
ko:K01815	ecl:EcolC_0872
ko:K08227	ecl:EcolC_0880
ko:K08311	ecl:EcolC_0885
ko:K00005	ecl:EcolC_4070
ko:K03764	ecl:EcolC_4077
ko:K01419	ecl:EcolC_4086
ko:K03667	ecl:EcolC_4087
ko:K02553	ecl:EcolC_4089
ko:K09892	ecl:EcolC_4090
ko:K02440	ecl:EcolC_4091
ko:K00864	ecl:EcolC_4092
ko:K00528	ecl:EcolC_4094
ko:K01521	ecl:EcolC_4100
ko:K02048	ecl:EcolC_4101
ko:K02016	ecl:EcolC_3052
ko:K02015	ecl:EcolC_3054
ko:K02015	ecl:EcolC_3055
ko:K02013	ecl:EcolC_3056
ko:K02364	ecl:EcolC_3058
ko:K06048	ecl:EcolC_3065
ko:K10679	ecl:EcolC_3068
ko:K07798	ecl:EcolC_3072
ko:K01783	ecl:EcolC_0327
ko:K01739	ecl:EcolC_4076
ko:K00245	ecl:EcolC_3857
ko:K03610	ecl:EcolC_2449
ko:K07803	ecl:EcolC_4023
ko:K03790	ecl:EcolC_2534
ko:K08162	ecl:EcolC_2535
ko:K03675	ecl:EcolC_2536
ko:K01465	ecl:EcolC_2538
ko:K07146	ecl:EcolC_2545
ko:K02517	ecl:EcolC_2546
ko:K03669	ecl:EcolC_2550
ko:K03670	ecl:EcolC_2551
ko:K04338	ecl:EcolC_2561
ko:K06214	ecl:EcolC_2562
ko:K06217	ecl:EcolC_2576
ko:K07224	ecl:EcolC_2578
ko:K07243	ecl:EcolC_2579
ko:K10001	ecl:EcolC_2990
ko:K04084	ecl:EcolC_3876
ko:K06877	ecl:EcolC_3883
ko:K06877	ecl:EcolC_3886
ko:K03305	ecl:EcolC_3897
ko:K06975	ecl:EcolC_3900
ko:K08984	ecl:EcolC_3906
ko:K06193	ecl:EcolC_3919
ko:K02041	ecl:EcolC_3921
ko:K02044	ecl:EcolC_3922
ko:K02042	ecl:EcolC_3923
ko:K02043	ecl:EcolC_3924
ko:K06166	ecl:EcolC_3925
ko:K06165	ecl:EcolC_3926
ko:K06164	ecl:EcolC_3927
ko:K06163	ecl:EcolC_3928
ko:K05781	ecl:EcolC_3929
ko:K05780	ecl:EcolC_3930
ko:K03564	ecl:EcolC_1196
ko:K03771	ecl:EcolC_3602
ko:K06177	ecl:EcolC_3599
ko:K03925	ecl:EcolC_3576
ko:K03588	ecl:EcolC_3568
ko:K02535	ecl:EcolC_3561
ko:K02919	ecl:EcolC_3324
ko:K03466	ecl:EcolC_2706
ko:K03225	ecl:EcolC_0845
ko:K02484	ecl:EcolC_1677
ko:K02483	ecl:EcolC_1676
ko:K06178	ecl:EcolC_2359
ko:K22507	ecl:EcolC_0846
ko:K03592	ecl:EcolC_3776
ko:K01159	ecl:EcolC_1769
ko:K02356	ecl:EcolC_3865
ko:K01939	ecl:EcolC_3836
ko:K02315	ecl:EcolC_3694
ko:K03527	ecl:EcolC_3626
ko:K00215	ecl:EcolC_3624
ko:K06195	ecl:EcolC_3605
ko:K02460	ecl:EcolC_0381
ko:K02160	ecl:EcolC_0451
ko:K01878	ecl:EcolC_0155
ko:K03608	ecl:EcolC_2451
ko:K08304	ecl:EcolC_0899
ko:K02948	ecl:EcolC_0416
ko:K01595	ecl:EcolC_4060
ko:K01661	ecl:EcolC_1386
ko:K01785	ecl:EcolC_2906
ko:K01515	ecl:EcolC_0663
ko:K06191	ecl:EcolC_1033
ko:K03649	ecl:EcolC_0631
ko:K03502	ecl:EcolC_2441
ko:K02551	ecl:EcolC_1384
ko:K08680	ecl:EcolC_1385
ko:K01488	ecl:EcolC_2007
ko:K11085	ecl:EcolC_2682
ko:K02313	ecl:EcolC_0001
ko:K01933	ecl:EcolC_1177
ko:K01582	ecl:EcolC_3474
ko:K01903	ecl:EcolC_2928
ko:K02387	ecl:EcolC_2527
ko:K01993	ecl:EcolC_0228
ko:K00848	ecl:EcolC_4113
ko:K01813	ecl:EcolC_4114
ko:K06726	ecl:EcolC_4246
ko:K01914	ecl:EcolC_4250
ko:K03495	ecl:EcolC_4253
ko:K03501	ecl:EcolC_4254
ko:K00362	ecl:EcolC_0347
ko:K00363	ecl:EcolC_0346
ko:K02409	ecl:EcolC_1704
ko:K01241	ecl:EcolC_1661
ko:K02425	ecl:EcolC_1718
ko:K10975	ecl:EcolC_3112
ko:K02297	ecl:EcolC_3201
ko:K10914	ecl:EcolC_0355
ko:K02116	ecl:EcolC_4255
ko:K02108	ecl:EcolC_4256
ko:K02110	ecl:EcolC_4257
ko:K02398	ecl:EcolC_3373
ko:K11740	ecl:EcolC_3083
ko:K01902	ecl:EcolC_2927
ko:K03827	ecl:EcolC_4018
ko:K05878	ecl:EcolC_2426
ko:K02170	ecl:EcolC_0301
ko:K03811	ecl:EcolC_2911
ko:K03655	ecl:EcolC_0059
ko:K00525	ecl:EcolC_1417
ko:K00526	ecl:EcolC_1416
ko:K03735	ecl:EcolC_1238
ko:K03503	ecl:EcolC_2442
ko:K02504	ecl:EcolC_3552
ko:K07458	ecl:EcolC_1683
ko:K00631	ecl:EcolC_3987
ko:K03179	ecl:EcolC_3988
ko:K02749	ecl:EcolC_0020
ko:K02750	ecl:EcolC_0020
ko:K00073	ecl:EcolC_3105
ko:K02392	ecl:EcolC_3366
ko:K01466	ecl:EcolC_3111
ko:K04564	ecl:EcolC_4109
ko:K07173	ecl:EcolC_1020
ko:K02557	ecl:EcolC_1743
ko:K02411	ecl:EcolC_3380
ko:K03582	ecl:EcolC_0895
ko:K03092	ecl:EcolC_0498
ko:K09823	ecl:EcolC_3982
ko:K02686	ecl:EcolC_3812
ko:K04067	ecl:EcolC_3149
ko:K03583	ecl:EcolC_0893
ko:K03581	ecl:EcolC_0896
ko:K00609	ecl:EcolC_3766
ko:K02821	ecl:EcolC_3818
ko:K02411	ecl:EcolC_1702
ko:K02407	ecl:EcolC_1715
ko:K01646	ecl:EcolC_3027
ko:K00219	ecl:EcolC_0619
ko:K02341	ecl:EcolC_2502
ko:K04565	ecl:EcolC_1983
ko:K02344	ecl:EcolC_3685
ko:K02343	ecl:EcolC_3146
ko:K07274	ecl:EcolC_0129
ko:K03736	ecl:EcolC_1239
ko:K01626	ecl:EcolC_1927
ko:K09773	ecl:EcolC_1928
ko:K00313	ecl:EcolC_1932
ko:K05997	ecl:EcolC_1947
ko:K09014	ecl:EcolC_1948
ko:K09013	ecl:EcolC_1949
ko:K09015	ecl:EcolC_1950
ko:K06078	ecl:EcolC_1954
ko:K00873	ecl:EcolC_1955
ko:K08354	ecl:EcolC_1961
ko:K03327	ecl:EcolC_1966
ko:K00793	ecl:EcolC_1967
ko:K00574	ecl:EcolC_1968
ko:K08723	ecl:EcolC_3683
ko:K03687	ecl:EcolC_1070
ko:K07644	ecl:EcolC_3427
ko:K03469	ecl:EcolC_3451
ko:K08307	ecl:EcolC_3454
ko:K02071	ecl:EcolC_3460
ko:K02072	ecl:EcolC_3461
ko:K02073	ecl:EcolC_3462
ko:K06080	ecl:EcolC_3463
ko:K01881	ecl:EcolC_3465
ko:K02391	ecl:EcolC_2523
ko:K02388	ecl:EcolC_2526
ko:K02386	ecl:EcolC_2528
ko:K02398	ecl:EcolC_2529
ko:K02399	ecl:EcolC_2530
ko:K03980	ecl:EcolC_2531
ko:K09915	ecl:EcolC_2533
ko:K07120	ecl:EcolC_2940
ko:K07160	ecl:EcolC_2942
ko:K03305	ecl:EcolC_2946
ko:K01669	ecl:EcolC_2947
ko:K07646	ecl:EcolC_2961
ko:K07667	ecl:EcolC_2962
ko:K03756	ecl:EcolC_2964
ko:K03839	ecl:EcolC_2972
ko:K01886	ecl:EcolC_2976
ko:K03184	ecl:EcolC_2983
ko:K06217	ecl:EcolC_2985
ko:K07042	ecl:EcolC_2986
ko:K06189	ecl:EcolC_2987
ko:K03832	ecl:EcolC_2375
ko:K09780	ecl:EcolC_2376
ko:K06131	ecl:EcolC_2379
ko:K09901	ecl:EcolC_2380
ko:K00963	ecl:EcolC_2391
ko:K07001	ecl:EcolC_2393
ko:K09858	ecl:EcolC_2394
ko:K01433	ecl:EcolC_2395
ko:K00374	ecl:EcolC_2396
ko:K00373	ecl:EcolC_2397
ko:K00371	ecl:EcolC_2398
ko:K00370	ecl:EcolC_2399
ko:K02575	ecl:EcolC_2400
ko:K07673	ecl:EcolC_2401
ko:K08302	ecl:EcolC_0561
ko:K07664	ecl:EcolC_1562
ko:K07789	ecl:EcolC_1565
ko:K07788	ecl:EcolC_1566
ko:K07799	ecl:EcolC_1567
ko:K04046	ecl:EcolC_1572
ko:K01494	ecl:EcolC_1576
ko:K01991	ecl:EcolC_1579
ko:K03818	ecl:EcolC_1587
ko:K01711	ecl:EcolC_1588
ko:K02377	ecl:EcolC_1589
ko:K03207	ecl:EcolC_1590
ko:K03606	ecl:EcolC_1594
ko:K00963	ecl:EcolC_1600
ko:K00067	ecl:EcolC_1602
ko:K00973	ecl:EcolC_1603
ko:K01790	ecl:EcolC_1604
ko:K00033	ecl:EcolC_1613
ko:K03106	ecl:EcolC_1073
ko:K02860	ecl:EcolC_1075
ko:K00554	ecl:EcolC_1076
ko:K02381	ecl:EcolC_3104
ko:K07711	ecl:EcolC_1121
ko:K07715	ecl:EcolC_1123
ko:K05916	ecl:EcolC_1125
ko:K00600	ecl:EcolC_1126
ko:K05710	ecl:EcolC_1137
ko:K05709	ecl:EcolC_1138
ko:K05708	ecl:EcolC_1139
ko:K05820	ecl:EcolC_1141
ko:K06077	ecl:EcolC_1988
ko:K00275	ecl:EcolC_1991
ko:K01866	ecl:EcolC_1992
ko:K03305	ecl:EcolC_1995
ko:K03613	ecl:EcolC_1997
ko:K03612	ecl:EcolC_1998
ko:K03614	ecl:EcolC_1999
ko:K03615	ecl:EcolC_2000
ko:K03616	ecl:EcolC_2001
ko:K03617	ecl:EcolC_2002
ko:K03221	ecl:EcolC_0852
ko:K07112	ecl:EcolC_1627
ko:K07258	ecl:EcolC_1630
ko:K09802	ecl:EcolC_1633
ko:K02231	ecl:EcolC_1635
ko:K02233	ecl:EcolC_1636
ko:K07236	ecl:EcolC_0369
ko:K03695	ecl:EcolC_1089
ko:K03761	ecl:EcolC_1090
ko:K05811	ecl:EcolC_1091
ko:K00998	ecl:EcolC_1092
ko:K09181	ecl:EcolC_1093
ko:K03672	ecl:EcolC_1095
ko:K03214	ecl:EcolC_1096
ko:K05590	ecl:EcolC_1101
ko:K03088	ecl:EcolC_1104
ko:K03597	ecl:EcolC_1105
ko:K03598	ecl:EcolC_1106
ko:K03803	ecl:EcolC_1107
ko:K03100	ecl:EcolC_1109
ko:K03595	ecl:EcolC_1111
ko:K03474	ecl:EcolC_1113
ko:K00997	ecl:EcolC_1114
ko:K02911	ecl:EcolC_2512
ko:K07040	ecl:EcolC_2513
ko:K06179	ecl:EcolC_2515
ko:K02397	ecl:EcolC_2517
ko:K02396	ecl:EcolC_2518
ko:K02395	ecl:EcolC_2519
ko:K02394	ecl:EcolC_2520
ko:K02392	ecl:EcolC_2522
ko:K09888	ecl:EcolC_0799
ko:K09895	ecl:EcolC_0800
ko:K01262	ecl:EcolC_0801
ko:K03185	ecl:EcolC_0802
ko:K00605	ecl:EcolC_0804
ko:K09900	ecl:EcolC_0809
ko:K06980	ecl:EcolC_0811
ko:K09159	ecl:EcolC_0812
ko:K03840	ecl:EcolC_0814
ko:K03981	ecl:EcolC_0816
ko:K02836	ecl:EcolC_0818
ko:K06901	ecl:EcolC_0824
ko:K07141	ecl:EcolC_0831
ko:K07402	ecl:EcolC_0833
ko:K00926	ecl:EcolC_0834
ko:K01464	ecl:EcolC_0835
ko:K01751	ecl:EcolC_0837
ko:K03808	ecl:EcolC_2646
ko:K07140	ecl:EcolC_2649
ko:K01256	ecl:EcolC_2664
ko:K00763	ecl:EcolC_2665
ko:K06219	ecl:EcolC_2675
ko:K00979	ecl:EcolC_2678
ko:K09791	ecl:EcolC_2679
ko:K09927	ecl:EcolC_2680
ko:K00912	ecl:EcolC_2681
ko:K02238	ecl:EcolC_2683
ko:K00945	ecl:EcolC_2686
ko:K07387	ecl:EcolC_2687
ko:K00800	ecl:EcolC_2688
ko:K00831	ecl:EcolC_2689
ko:K09136	ecl:EcolC_2691
ko:K00656	ecl:EcolC_2693
ko:K07308	ecl:EcolC_2700
ko:K06200	ecl:EcolC_3046
ko:K00216	ecl:EcolC_3048
ko:K02363	ecl:EcolC_3050
ko:K01808	ecl:EcolC_3936
ko:K04013	ecl:EcolC_3956
ko:K03385	ecl:EcolC_3957
ko:K06901	ecl:EcolC_3963
ko:K03788	ecl:EcolC_3972
ko:K01775	ecl:EcolC_3975
ko:K02314	ecl:EcolC_3976
ko:K05539	ecl:EcolC_3979
ko:K09978	ecl:EcolC_2272
ko:K03778	ecl:EcolC_2275
ko:K05591	ecl:EcolC_2282
ko:K07043	ecl:EcolC_0615
ko:K06878	ecl:EcolC_0626
ko:K03776	ecl:EcolC_0628
ko:K03086	ecl:EcolC_0632
ko:K02970	ecl:EcolC_0634
ko:K01409	ecl:EcolC_0635
ko:K08591	ecl:EcolC_0640
ko:K01633	ecl:EcolC_0641
ko:K02841	ecl:EcolC_0088
ko:K02843	ecl:EcolC_0089
ko:K03274	ecl:EcolC_0090
ko:K00639	ecl:EcolC_0091
ko:K09798	ecl:EcolC_0094
ko:K03676	ecl:EcolC_0098
ko:K03071	ecl:EcolC_0099
ko:K00057	ecl:EcolC_0100
ko:K00640	ecl:EcolC_0101
ko:K03216	ecl:EcolC_0102
ko:K00101	ecl:EcolC_0103
ko:K02562	ecl:EcolC_0111
ko:K00009	ecl:EcolC_0112
ko:K01042	ecl:EcolC_0122
ko:K03833	ecl:EcolC_0123
ko:K01752	ecl:EcolC_0915
ko:K03837	ecl:EcolC_0916
ko:K06966	ecl:EcolC_0917
ko:K03535	ecl:EcolC_0923
ko:K01706	ecl:EcolC_0925
ko:K07678	ecl:EcolC_0926
ko:K03215	ecl:EcolC_0927
ko:K06920	ecl:EcolC_3188
ko:K03770	ecl:EcolC_3191
ko:K03544	ecl:EcolC_3194
ko:K03545	ecl:EcolC_3196
ko:K07286	ecl:EcolC_3199
ko:K02300	ecl:EcolC_3204
ko:K09767	ecl:EcolC_3207
ko:K00077	ecl:EcolC_3208
ko:K03152	ecl:EcolC_3209
ko:K03151	ecl:EcolC_3210
ko:K00795	ecl:EcolC_3212
ko:K03704	ecl:EcolC_2078
ko:K03704	ecl:EcolC_2079
ko:K03704	ecl:EcolC_2085
ko:K07237	ecl:EcolC_0370
ko:K02950	ecl:EcolC_0371
ko:K02992	ecl:EcolC_0372
ko:K02355	ecl:EcolC_0373
ko:K02192	ecl:EcolC_0376
ko:K03594	ecl:EcolC_0377
ko:K08191	ecl:EcolC_0607
ko:K01685	ecl:EcolC_0609
ko:K05594	ecl:EcolC_1382
ko:K02552	ecl:EcolC_1383
ko:K02549	ecl:EcolC_1387
ko:K10011	ecl:EcolC_1394
ko:K10012	ecl:EcolC_1395
ko:K00112	ecl:EcolC_1409
ko:K00111	ecl:EcolC_1410
ko:K02445	ecl:EcolC_1411
ko:K01126	ecl:EcolC_1412
ko:K11107	ecl:EcolC_1415
ko:K00560	ecl:EcolC_0888
ko:K01407	ecl:EcolC_0894
ko:K06968	ecl:EcolC_0906
ko:K02430	ecl:EcolC_0907
ko:K01818	ecl:EcolC_0910
ko:K02429	ecl:EcolC_0911
ko:K00048	ecl:EcolC_0913
ko:K06950	ecl:EcolC_1681
ko:K09781	ecl:EcolC_1685
ko:K07026	ecl:EcolC_1688
ko:K02418	ecl:EcolC_1695
ko:K02415	ecl:EcolC_1698
ko:K02413	ecl:EcolC_1700
ko:K03269	ecl:EcolC_3098
ko:K01588	ecl:EcolC_3099
ko:K01589	ecl:EcolC_3100
ko:K00926	ecl:EcolC_3101
ko:K07662	ecl:EcolC_4105
ko:K02526	ecl:EcolC_4108
ko:K02856	ecl:EcolC_4110
ko:K02854	ecl:EcolC_4111
ko:K02855	ecl:EcolC_4112
ko:K01629	ecl:EcolC_4115
ko:K03534	ecl:EcolC_4116
ko:K03774	ecl:EcolC_3627
ko:K03101	ecl:EcolC_3628
ko:K01870	ecl:EcolC_3629
ko:K02968	ecl:EcolC_3631
ko:K03717	ecl:EcolC_3637
ko:K03313	ecl:EcolC_3638
ko:K01875	ecl:EcolC_2703
ko:K07478	ecl:EcolC_2704
ko:K03634	ecl:EcolC_2705
ko:K00384	ecl:EcolC_2708
ko:K00684	ecl:EcolC_2711
ko:K01626	ecl:EcolC_1082
ko:K05809	ecl:EcolC_1085
ko:K05807	ecl:EcolC_1086
ko:K06180	ecl:EcolC_1087
ko:K05810	ecl:EcolC_1088
ko:K08369	ecl:EcolC_1863
ko:K04773	ecl:EcolC_1866
ko:K01008	ecl:EcolC_1868
ko:K03169	ecl:EcolC_1869
ko:K08320	ecl:EcolC_1873
ko:K05779	ecl:EcolC_1876
ko:K05777	ecl:EcolC_1878
ko:K00840	ecl:EcolC_1884
ko:K00673	ecl:EcolC_1885
ko:K06447	ecl:EcolC_1886
ko:K01484	ecl:EcolC_1887
ko:K05526	ecl:EcolC_1888
ko:K09975	ecl:EcolC_1890
ko:K04064	ecl:EcolC_1893
ko:K03704	ecl:EcolC_2716
ko:K09824	ecl:EcolC_2719
ko:K06188	ecl:EcolC_2721
ko:K00156	ecl:EcolC_2725
ko:K01620	ecl:EcolC_2726
ko:K10000	ecl:EcolC_2732
ko:K09997	ecl:EcolC_2733
ko:K09999	ecl:EcolC_2734
ko:K09998	ecl:EcolC_2735
ko:K09996	ecl:EcolC_2736
ko:K03212	ecl:EcolC_2737
ko:K11074	ecl:EcolC_2739
ko:K11075	ecl:EcolC_2740
ko:K01734	ecl:EcolC_2633
ko:K09911	ecl:EcolC_2640
ko:K04770	ecl:EcolC_2641
ko:K01716	ecl:EcolC_2642
ko:K05798	ecl:EcolC_3581
ko:K01649	ecl:EcolC_3583
ko:K00052	ecl:EcolC_3584
ko:K03291	ecl:EcolC_3587
ko:K02064	ecl:EcolC_3589
ko:K02063	ecl:EcolC_3590
ko:K01804	ecl:EcolC_3595
ko:K03580	ecl:EcolC_3598
ko:K05801	ecl:EcolC_3600
ko:K04744	ecl:EcolC_3601
ko:K00097	ecl:EcolC_3603
ko:K02528	ecl:EcolC_3604
ko:K00287	ecl:EcolC_3607
ko:K00313	ecl:EcolC_3612
ko:K03522	ecl:EcolC_3613
ko:K03521	ecl:EcolC_3614
ko:K02182	ecl:EcolC_3618
ko:K01955	ecl:EcolC_3622
ko:K01956	ecl:EcolC_3623
ko:K00116	ecl:EcolC_1440
ko:K03304	ecl:EcolC_2231
ko:K09794	ecl:EcolC_2234
ko:K00134	ecl:EcolC_2242
ko:K01118	ecl:EcolC_2246
ko:K00981	ecl:EcolC_2249
ko:K02408	ecl:EcolC_1705
ko:K07112	ecl:EcolC_1710
ko:K02422	ecl:EcolC_1714
ko:K02424	ecl:EcolC_1719
ko:K10009	ecl:EcolC_1721
ko:K10010	ecl:EcolC_1722
ko:K00995	ecl:EcolC_1727
ko:K07039	ecl:EcolC_1728
ko:K03834	ecl:EcolC_1729
ko:K10537	ecl:EcolC_1734
ko:K10539	ecl:EcolC_1735
ko:K10538	ecl:EcolC_1736
ko:K01972	ecl:EcolC_0064
ko:K00989	ecl:EcolC_0068
ko:K05501	ecl:EcolC_0070
ko:K03630	ecl:EcolC_0073
ko:K02913	ecl:EcolC_0075
ko:K02527	ecl:EcolC_0078
ko:K02849	ecl:EcolC_0079
ko:K02844	ecl:EcolC_0080
ko:K02848	ecl:EcolC_0081
ko:K02379	ecl:EcolC_4122
ko:K00123	ecl:EcolC_4123
ko:K00127	ecl:EcolC_4126
ko:K02380	ecl:EcolC_4127
ko:K07560	ecl:EcolC_4131
ko:K07058	ecl:EcolC_4132
ko:K06207	ecl:EcolC_4145
ko:K01915	ecl:EcolC_4146
ko:K07708	ecl:EcolC_4147
ko:K07712	ecl:EcolC_4148
ko:K09894	ecl:EcolC_4150
ko:K03978	ecl:EcolC_4151
ko:K03673	ecl:EcolC_4155
ko:K09896	ecl:EcolC_4157
ko:K03752	ecl:EcolC_4158
ko:K03753	ecl:EcolC_4159
ko:K03606	ecl:EcolC_3172
ko:K11076	ecl:EcolC_2741
ko:K03977	ecl:EcolC_1166
ko:K00937	ecl:EcolC_1175
ko:K11175	ecl:EcolC_1176
ko:K00761	ecl:EcolC_1178
ko:K03548	ecl:EcolC_1183
ko:K03567	ecl:EcolC_1197
ko:K01714	ecl:EcolC_1198
ko:K07287	ecl:EcolC_1199
ko:K07054	ecl:EcolC_1201
ko:K06999	ecl:EcolC_1203
ko:K09771	ecl:EcolC_2048
ko:K08323	ecl:EcolC_2049
ko:K06894	ecl:EcolC_1423
ko:K02106	ecl:EcolC_1427
ko:K07676	ecl:EcolC_1434
ko:K09475	ecl:EcolC_1435
ko:K03734	ecl:EcolC_1436
ko:K03743	ecl:EcolC_1012
ko:K03565	ecl:EcolC_1014
ko:K01872	ecl:EcolC_1015
ko:K01919	ecl:EcolC_1019
ko:K03543	ecl:EcolC_1022
ko:K00820	ecl:EcolC_4265
ko:K02040	ecl:EcolC_4266
ko:K01908	ecl:EcolC_3290
ko:K02688	ecl:EcolC_3294
ko:K00926	ecl:EcolC_3300
ko:K02168	ecl:EcolC_3309
ko:K02167	ecl:EcolC_3310
ko:K00782	ecl:EcolC_3314
ko:K02909	ecl:EcolC_3323
ko:K06940	ecl:EcolC_3331
ko:K08996	ecl:EcolC_3332
ko:K07402	ecl:EcolC_3336
ko:K00147	ecl:EcolC_3338
ko:K00931	ecl:EcolC_3339
ko:K09889	ecl:EcolC_3777
ko:K02558	ecl:EcolC_3778
ko:K09800	ecl:EcolC_3786
ko:K07109	ecl:EcolC_3791
ko:K07322	ecl:EcolC_3797
ko:K07269	ecl:EcolC_3800
ko:K02963	ecl:EcolC_3811
ko:K02990	ecl:EcolC_3813
ko:K00656	ecl:EcolC_2821
ko:K11073	ecl:EcolC_2742
ko:K05844	ecl:EcolC_2744
ko:K10678	ecl:EcolC_2745
ko:K03674	ecl:EcolC_2747
ko:K07085	ecl:EcolC_2749
ko:K06906	ecl:EcolC_2752
ko:K06908	ecl:EcolC_2755
ko:K06907	ecl:EcolC_2756
ko:K07034	ecl:EcolC_3645
ko:K03831	ecl:EcolC_3646
ko:K00616	ecl:EcolC_3647
ko:K03310	ecl:EcolC_3648
ko:K09861	ecl:EcolC_3649
ko:K01733	ecl:EcolC_3651
ko:K02533	ecl:EcolC_3654
ko:K07773	ecl:EcolC_3655
ko:K06143	ecl:EcolC_3656
ko:K07641	ecl:EcolC_3657
ko:K07663	ecl:EcolC_3658
ko:K05805	ecl:EcolC_3659
ko:K03720	ecl:EcolC_3663
ko:K08309	ecl:EcolC_3664
ko:K03800	ecl:EcolC_3670
ko:K03784	ecl:EcolC_3672
ko:K01839	ecl:EcolC_3673
ko:K01619	ecl:EcolC_3675
ko:K07674	ecl:EcolC_1208
ko:K00615	ecl:EcolC_1212
ko:K00616	ecl:EcolC_1213
ko:K04031	ecl:EcolC_1215
ko:K04029	ecl:EcolC_1216
ko:K04032	ecl:EcolC_1218
ko:K04024	ecl:EcolC_1223
ko:K04023	ecl:EcolC_1225
ko:K04019	ecl:EcolC_1226
ko:K04026	ecl:EcolC_1240
ko:K04033	ecl:EcolC_1242
ko:K07223	ecl:EcolC_1248
ko:K07106	ecl:EcolC_1251
ko:K02048	ecl:EcolC_1254
ko:K02046	ecl:EcolC_1255
ko:K02047	ecl:EcolC_1256
ko:K02045	ecl:EcolC_1257
ko:K08483	ecl:EcolC_1262
ko:K02783	ecl:EcolC_1010
ko:K00658	ecl:EcolC_2929
ko:K01284	ecl:EcolC_2120
ko:K08159	ecl:EcolC_2130
ko:K01425	ecl:EcolC_2134
ko:K00041	ecl:EcolC_2137
ko:K08994	ecl:EcolC_2138
ko:K08321	ecl:EcolC_2141
ko:K10555	ecl:EcolC_2142
ko:K10557	ecl:EcolC_2143
ko:K10556	ecl:EcolC_2144
ko:K10558	ecl:EcolC_2145
ko:K06871	ecl:EcolC_2160
