ko:K03722	ecok:ECMDS42_1482
ko:K05526	ecok:ECMDS42_1419
ko:K01484	ecok:ECMDS42_1420
ko:K06447	ecok:ECMDS42_1421
ko:K00673	ecok:ECMDS42_1422
ko:K00840	ecok:ECMDS42_1423
ko:K01142	ecok:ECMDS42_1424
ko:K05777	ecok:ECMDS42_1429
ko:K05778	ecok:ECMDS42_1430
ko:K05779	ecok:ECMDS42_1431
ko:K08320	ecok:ECMDS42_1434
ko:K00262	ecok:ECMDS42_1436
ko:K01008	ecok:ECMDS42_1439
ko:K04773	ecok:ECMDS42_1441
ko:K08281	ecok:ECMDS42_1443
ko:K08369	ecok:ECMDS42_1444
ko:K08369	ecok:ECMDS42_1450
ko:K09916	ecok:ECMDS42_1452
ko:K00134	ecok:ECMDS42_1454
ko:K01792	ecok:ECMDS42_1455
ko:K02781	ecok:ECMDS42_2209
ko:K02468	ecok:ECMDS42_2212
ko:K02467	ecok:ECMDS42_2213
ko:K12266	ecok:ECMDS42_2214
ko:K12264	ecok:ECMDS42_2215
ko:K12265	ecok:ECMDS42_2216
ko:K04656	ecok:ECMDS42_2217
ko:K05796	ecok:ECMDS42_2218
ko:K03487	ecok:ECMDS42_2219
ko:K02752	ecok:ECMDS42_2220
ko:K02753	ecok:ECMDS42_2220
ko:K01223	ecok:ECMDS42_2221
ko:K08315	ecok:ECMDS42_2222
ko:K15834	ecok:ECMDS42_2223
ko:K15832	ecok:ECMDS42_2224
ko:K15831	ecok:ECMDS42_2225
ko:K15830	ecok:ECMDS42_2226
ko:K15829	ecok:ECMDS42_2227
ko:K15828	ecok:ECMDS42_2228
ko:K15827	ecok:ECMDS42_2229
ko:K15833	ecok:ECMDS42_2230
ko:K04651	ecok:ECMDS42_2231
ko:K04653	ecok:ECMDS42_2233
ko:K04654	ecok:ECMDS42_2234
ko:K15836	ecok:ECMDS42_2236
ko:K03555	ecok:ECMDS42_2238
ko:K07314	ecok:ECMDS42_2239
ko:K06194	ecok:ECMDS42_2247
ko:K00573	ecok:ECMDS42_2248
ko:K03787	ecok:ECMDS42_2249
ko:K06176	ecok:ECMDS42_2250
ko:K01770	ecok:ECMDS42_2251
ko:K00991	ecok:ECMDS42_2252
ko:K10544	ecok:ECMDS42_3005
ko:K02529	ecok:ECMDS42_3006
ko:K00835	ecok:ECMDS42_3009
ko:K08092	ecok:ECMDS42_3012
ko:K00880	ecok:ECMDS42_3017
ko:K00138	ecok:ECMDS42_3025
ko:K13954	ecok:ECMDS42_3026
ko:K03833	ecok:ECMDS42_3027
ko:K01042	ecok:ECMDS42_3028
ko:K00009	ecok:ECMDS42_3033
ko:K02562	ecok:ECMDS42_3034
ko:K14762	ecok:ECMDS42_3036
ko:K00427	ecok:ECMDS42_3037
ko:K14348	ecok:ECMDS42_3038
ko:K03216	ecok:ECMDS42_3040
ko:K00640	ecok:ECMDS42_3041
ko:K00057	ecok:ECMDS42_3042
ko:K03071	ecok:ECMDS42_3043
ko:K15633	ecok:ECMDS42_3046
ko:K09798	ecok:ECMDS42_3048
ko:K00060	ecok:ECMDS42_3050
ko:K03274	ecok:ECMDS42_3053
ko:K00313	ecok:ECMDS42_0036
ko:K08368	ecok:ECMDS42_0038
ko:K11746	ecok:ECMDS42_0039
ko:K06195	ecok:ECMDS42_0043
ko:K02528	ecok:ECMDS42_0044
ko:K00097	ecok:ECMDS42_0045
ko:K03771	ecok:ECMDS42_0046
ko:K04744	ecok:ECMDS42_0047
ko:K05801	ecok:ECMDS42_0048
ko:K03580	ecok:ECMDS42_0052
ko:K02336	ecok:ECMDS42_0053
ko:K01804	ecok:ECMDS42_0055
ko:K02062	ecok:ECMDS42_0059
ko:K02063	ecok:ECMDS42_0060
ko:K02064	ecok:ECMDS42_0061
ko:K11925	ecok:ECMDS42_0062
ko:K03291	ecok:ECMDS42_0064
ko:K01704	ecok:ECMDS42_0065
ko:K01703	ecok:ECMDS42_0066
ko:K00052	ecok:ECMDS42_0067
ko:K01649	ecok:ECMDS42_0068
ko:K05798	ecok:ECMDS42_0070
ko:K01652	ecok:ECMDS42_0071
ko:K01653	ecok:ECMDS42_0072
ko:K03435	ecok:ECMDS42_0073
ko:K03925	ecok:ECMDS42_0074
ko:K03438	ecok:ECMDS42_0075
ko:K03586	ecok:ECMDS42_0076
ko:K03587	ecok:ECMDS42_0077
ko:K01928	ecok:ECMDS42_0078
ko:K01929	ecok:ECMDS42_0079
ko:K01000	ecok:ECMDS42_0080
ko:K01925	ecok:ECMDS42_0081
ko:K03588	ecok:ECMDS42_0082
ko:K02563	ecok:ECMDS42_0083
ko:K01924	ecok:ECMDS42_0084
ko:K01921	ecok:ECMDS42_0085
ko:K03589	ecok:ECMDS42_0086
ko:K09016	ecok:ECMDS42_0851
ko:K09024	ecok:ECMDS42_0852
ko:K09019	ecok:ECMDS42_0853
ko:K09023	ecok:ECMDS42_0854
ko:K09021	ecok:ECMDS42_0855
ko:K09018	ecok:ECMDS42_0857
ko:K13821	ecok:ECMDS42_0859
ko:K07224	ecok:ECMDS42_0864
ko:K16301	ecok:ECMDS42_0865
ko:K12972	ecok:ECMDS42_0868
ko:K06214	ecok:ECMDS42_0872
ko:K04338	ecok:ECMDS42_0873
ko:K04337	ecok:ECMDS42_0874
ko:K04335	ecok:ECMDS42_0876
ko:K04334	ecok:ECMDS42_0877
ko:K04336	ecok:ECMDS42_0878
ko:K11941	ecok:ECMDS42_0882
ko:K03670	ecok:ECMDS42_0883
ko:K12147	ecok:ECMDS42_0886
ko:K02517	ecok:ECMDS42_0888
ko:K07146	ecok:ECMDS42_0889
ko:K02846	ecok:ECMDS42_0893
ko:K12148	ecok:ECMDS42_0894
ko:K12149	ecok:ECMDS42_0895
ko:K01465	ecok:ECMDS42_0896
ko:K03675	ecok:ECMDS42_0898
ko:K08162	ecok:ECMDS42_0899
ko:K03790	ecok:ECMDS42_0900
ko:K09915	ecok:ECMDS42_0901
ko:K00941	ecok:ECMDS42_1669
ko:K00878	ecok:ECMDS42_1670
ko:K07347	ecok:ECMDS42_1675
ko:K01874	ecok:ECMDS42_1680
ko:K02478	ecok:ECMDS42_1694
ko:K05846	ecok:ECMDS42_1697
ko:K05847	ecok:ECMDS42_1698
ko:K05846	ecok:ECMDS42_1699
ko:K05845	ecok:ECMDS42_1700
ko:K05349	ecok:ECMDS42_1701
ko:K03777	ecok:ECMDS42_1702
ko:K07262	ecok:ECMDS42_1703
ko:K05541	ecok:ECMDS42_1709
ko:K09923	ecok:ECMDS42_2457
ko:K03439	ecok:ECMDS42_2458
ko:K03575	ecok:ECMDS42_2459
ko:K08306	ecok:ECMDS42_2461
ko:K01581	ecok:ECMDS42_2463
ko:K07150	ecok:ECMDS42_2464
ko:K01460	ecok:ECMDS42_2466
ko:K04653	ecok:ECMDS42_2468
ko:K04651	ecok:ECMDS42_2469
ko:K03561	ecok:ECMDS42_2483
ko:K08325	ecok:ECMDS42_2487
ko:K00655	ecok:ECMDS42_2493
ko:K02621	ecok:ECMDS42_2494
ko:K13655	ecok:ECMDS42_2496
ko:K13651	ecok:ECMDS42_2497
ko:K07471	ecok:ECMDS42_2498
ko:K05786	ecok:ECMDS42_3259
ko:K01058	ecok:ECMDS42_3261
ko:K03654	ecok:ECMDS42_3262
ko:K05835	ecok:ECMDS42_3263
ko:K05834	ecok:ECMDS42_3264
ko:K03576	ecok:ECMDS42_3268
ko:K00549	ecok:ECMDS42_3269
ko:K01061	ecok:ECMDS42_3270
ko:K00757	ecok:ECMDS42_3271
ko:K09760	ecok:ECMDS42_3272
ko:K03183	ecok:ECMDS42_3273
ko:K03690	ecok:ECMDS42_3274
ko:K03688	ecok:ECMDS42_3275
ko:K03116	ecok:ECMDS42_3276
ko:K03117	ecok:ECMDS42_3277
ko:K03118	ecok:ECMDS42_3278
ko:K03424	ecok:ECMDS42_3279
ko:K03182	ecok:ECMDS42_3281
ko:K05368	ecok:ECMDS42_3282
ko:K01825	ecok:ECMDS42_3284
ko:K03753	ecok:ECMDS42_3294
ko:K03752	ecok:ECMDS42_3295
ko:K09896	ecok:ECMDS42_3296
ko:K03673	ecok:ECMDS42_3298
ko:K03978	ecok:ECMDS42_3303
ko:K09894	ecok:ECMDS42_3305
ko:K02298	ecok:ECMDS42_0330
ko:K02297	ecok:ECMDS42_0331
ko:K08218	ecok:ECMDS42_0332
ko:K07286	ecok:ECMDS42_0333
ko:K05527	ecok:ECMDS42_0334
ko:K03545	ecok:ECMDS42_0335
ko:K01358	ecok:ECMDS42_0336
ko:K03544	ecok:ECMDS42_0337
ko:K01338	ecok:ECMDS42_0338
ko:K03530	ecok:ECMDS42_0339
ko:K03770	ecok:ECMDS42_0340
ko:K03970	ecok:ECMDS42_1103
ko:K03971	ecok:ECMDS42_1105
ko:K14053	ecok:ECMDS42_1118
ko:K06918	ecok:ECMDS42_1120
ko:K08990	ecok:ECMDS42_1121
ko:K03721	ecok:ECMDS42_1122
ko:K11065	ecok:ECMDS42_1123
ko:K03578	ecok:ECMDS42_1127
ko:K07248	ecok:ECMDS42_1129
ko:K12262	ecok:ECMDS42_1133
ko:K05876	ecok:ECMDS42_1138
ko:K09794	ecok:ECMDS42_1142
ko:K03817	ecok:ECMDS42_1143
ko:K03304	ecok:ECMDS42_1145
ko:K16868	ecok:ECMDS42_1146
ko:K05782	ecok:ECMDS42_1152
ko:K08303	ecok:ECMDS42_1154
ko:K08296	ecok:ECMDS42_1911
ko:K06076	ecok:ECMDS42_1915
ko:K04754	ecok:ECMDS42_1917
ko:K13629	ecok:ECMDS42_1922
ko:K01753	ecok:ECMDS42_1923
ko:K07786	ecok:ECMDS42_1924
ko:K07797	ecok:ECMDS42_1925
ko:K07690	ecok:ECMDS42_1926
ko:K07679	ecok:ECMDS42_1927
ko:K07088	ecok:ECMDS42_1929
ko:K12974	ecok:ECMDS42_1935
ko:K14261	ecok:ECMDS42_1936
ko:K02478	ecok:ECMDS42_1937
ko:K08483	ecok:ECMDS42_1940
ko:K11189	ecok:ECMDS42_1940
ko:K11201	ecok:ECMDS42_1940
ko:K08326	ecok:ECMDS42_1942
ko:K11203	ecok:ECMDS42_1943
ko:K11202	ecok:ECMDS42_1944
ko:K11537	ecok:ECMDS42_1956
ko:K03468	ecok:ECMDS42_2704
ko:K15548	ecok:ECMDS42_2705
ko:K03568	ecok:ECMDS42_2708
ko:K08301	ecok:ECMDS42_2710
ko:K06287	ecok:ECMDS42_2711
ko:K03571	ecok:ECMDS42_2712
ko:K03570	ecok:ECMDS42_2713
ko:K03569	ecok:ECMDS42_2714
ko:K02160	ecok:ECMDS42_2717
ko:K01961	ecok:ECMDS42_2718
ko:K14392	ecok:ECMDS42_2720
ko:K02687	ecok:ECMDS42_2721
ko:K03557	ecok:ECMDS42_2723
ko:K09969	ecok:ECMDS42_2730
ko:K09970	ecok:ECMDS42_2731
ko:K09971	ecok:ECMDS42_2732
ko:K09972	ecok:ECMDS42_2733
ko:K00014	ecok:ECMDS42_2743
ko:K07566	ecok:ECMDS42_2744
ko:K07479	ecok:ECMDS42_2745
ko:K04096	ecok:ECMDS42_2747
ko:K01462	ecok:ECMDS42_2748
ko:K00604	ecok:ECMDS42_2749
ko:K03500	ecok:ECMDS42_2750
ko:K03282	ecok:ECMDS42_2752
ko:K09890	ecok:ECMDS42_2753
ko:K03385	ecok:ECMDS42_3509
ko:K04013	ecok:ECMDS42_3510
ko:K04014	ecok:ECMDS42_3511
ko:K04016	ecok:ECMDS42_3513
ko:K11102	ecok:ECMDS42_3516
ko:K15550	ecok:ECMDS42_3519
ko:K15547	ecok:ECMDS42_3520
ko:K15549	ecok:ECMDS42_3521
ko:K00881	ecok:ECMDS42_3523
ko:K10550	ecok:ECMDS42_3525
ko:K10551	ecok:ECMDS42_3526
ko:K10549	ecok:ECMDS42_3527
ko:K01808	ecok:ECMDS42_3529
ko:K06167	ecok:ECMDS42_3531
ko:K09994	ecok:ECMDS42_3532
ko:K05774	ecok:ECMDS42_3533
ko:K06162	ecok:ECMDS42_3534
ko:K05780	ecok:ECMDS42_3535
ko:K05781	ecok:ECMDS42_3536
ko:K06163	ecok:ECMDS42_3537
ko:K06164	ecok:ECMDS42_3538
ko:K06165	ecok:ECMDS42_3539
ko:K06166	ecok:ECMDS42_3540
ko:K02043	ecok:ECMDS42_3541
ko:K02044	ecok:ECMDS42_3544
ko:K02041	ecok:ECMDS42_3545
ko:K06193	ecok:ECMDS42_3547
ko:K03762	ecok:ECMDS42_3550
ko:K07643	ecok:ECMDS42_3551
ko:K07771	ecok:ECMDS42_3552
ko:K03760	ecok:ECMDS42_3553
ko:K03759	ecok:ECMDS42_3554
ko:K03755	ecok:ECMDS42_3555
ko:K03559	ecok:ECMDS42_2482
ko:K03590	ecok:ECMDS42_0087
ko:K03531	ecok:ECMDS42_0088
ko:K02535	ecok:ECMDS42_0089
ko:K13301	ecok:ECMDS42_0090
ko:K03070	ecok:ECMDS42_0091
ko:K09862	ecok:ECMDS42_0093
ko:K00859	ecok:ECMDS42_0095
ko:K00364	ecok:ECMDS42_0096
ko:K02505	ecok:ECMDS42_0097
ko:K02504	ecok:ECMDS42_0098
ko:K02682	ecok:ECMDS42_0099
ko:K00767	ecok:ECMDS42_0100
ko:K03806	ecok:ECMDS42_0101
ko:K03807	ecok:ECMDS42_0102
ko:K11734	ecok:ECMDS42_0103
ko:K00163	ecok:ECMDS42_0105
ko:K00627	ecok:ECMDS42_0106
ko:K00382	ecok:ECMDS42_0107
ko:K01682	ecok:ECMDS42_0109
ko:K09910	ecok:ECMDS42_0110
ko:K01611	ecok:ECMDS42_0111
ko:K00797	ecok:ECMDS42_0112
ko:K14588	ecok:ECMDS42_0114
ko:K00117	ecok:ECMDS42_0115
ko:K00760	ecok:ECMDS42_0116
ko:K01673	ecok:ECMDS42_0117
ko:K01579	ecok:ECMDS42_0122
ko:K01918	ecok:ECMDS42_0124
ko:K00606	ecok:ECMDS42_0125
ko:K07347	ecok:ECMDS42_0130
ko:K15540	ecok:ECMDS42_0131
ko:K00950	ecok:ECMDS42_0133
ko:K01894	ecok:ECMDS42_0135
ko:K03980	ecok:ECMDS42_0903
ko:K08300	ecok:ECMDS42_0904
ko:K07040	ecok:ECMDS42_0909
ko:K02911	ecok:ECMDS42_0910
ko:K03621	ecok:ECMDS42_0911
ko:K00648	ecok:ECMDS42_0912
ko:K00645	ecok:ECMDS42_0913
ko:K02078	ecok:ECMDS42_0915
ko:K09458	ecok:ECMDS42_0916
ko:K07082	ecok:ECMDS42_0918
ko:K00943	ecok:ECMDS42_0919
ko:K02341	ecok:ECMDS42_0920
ko:K03424	ecok:ECMDS42_0921
ko:K16088	ecok:ECMDS42_0923
ko:K07337	ecok:ECMDS42_0926
ko:K07251	ecok:ECMDS42_0927
ko:K01207	ecok:ECMDS42_0928
ko:K07000	ecok:ECMDS42_0929
ko:K03885	ecok:ECMDS42_0930
ko:K12151	ecok:ECMDS42_0933
ko:K03723	ecok:ECMDS42_0935
ko:K09808	ecok:ECMDS42_0937
ko:K09810	ecok:ECMDS42_0938
ko:K09808	ecok:ECMDS42_0939
ko:K12410	ecok:ECMDS42_0941
ko:K07637	ecok:ECMDS42_0950
ko:K01756	ecok:ECMDS42_0952
ko:K10542	ecok:ECMDS42_1718
ko:K02529	ecok:ECMDS42_1720
ko:K07148	ecok:ECMDS42_1721
ko:K01495	ecok:ECMDS42_1722
ko:K01070	ecok:ECMDS42_1723
ko:K16089	ecok:ECMDS42_1724
ko:K11733	ecok:ECMDS42_1725
ko:K01151	ecok:ECMDS42_1728
ko:K16325	ecok:ECMDS42_1730
ko:K10213	ecok:ECMDS42_1731
ko:K16326	ecok:ECMDS42_1732
ko:K16324	ecok:ECMDS42_1733
ko:K02769	ecok:ECMDS42_1736
ko:K02770	ecok:ECMDS42_1736
ko:K02768	ecok:ECMDS42_1738
ko:K11183	ecok:ECMDS42_1738
ko:K03291	ecok:ECMDS42_1739
ko:K06940	ecok:ECMDS42_1740
ko:K02356	ecok:ECMDS42_1741
ko:K13694	ecok:ECMDS42_1745
ko:K13893	ecok:ECMDS42_1747
ko:K13894	ecok:ECMDS42_1748
ko:K13895	ecok:ECMDS42_1749
ko:K13896	ecok:ECMDS42_1750
ko:K07552	ecok:ECMDS42_1752
ko:K02897	ecok:ECMDS42_1755
ko:K06899	ecok:ECMDS42_1756
ko:K09904	ecok:ECMDS42_1757
ko:K07014	ecok:ECMDS42_1758
ko:K07685	ecok:ECMDS42_1760
ko:K02199	ecok:ECMDS42_1762
ko:K02198	ecok:ECMDS42_1763
ko:K03923	ecok:ECMDS42_2503
ko:K02622	ecok:ECMDS42_2505
ko:K07000	ecok:ECMDS42_2506
ko:K03651	ecok:ECMDS42_2507
ko:K09920	ecok:ECMDS42_2508
ko:K12340	ecok:ECMDS42_2510
ko:K07238	ecok:ECMDS42_2515
ko:K03272	ecok:ECMDS42_2521
ko:K00982	ecok:ECMDS42_2522
ko:K07184	ecok:ECMDS42_2524
ko:K06153	ecok:ECMDS42_2526
ko:K01633	ecok:ECMDS42_2527
ko:K08591	ecok:ECMDS42_2528
ko:K03780	ecok:ECMDS42_2531
ko:K11106	ecok:ECMDS42_2532
ko:K02970	ecok:ECMDS42_2534
ko:K03086	ecok:ECMDS42_2536
ko:K07229	ecok:ECMDS42_2539
ko:K06878	ecok:ECMDS42_2543
ko:K12113	ecok:ECMDS42_2544
ko:K12111	ecok:ECMDS42_2545
ko:K12112	ecok:ECMDS42_2546
ko:K03931	ecok:ECMDS42_2549
ko:K07712	ecok:ECMDS42_3307
ko:K07708	ecok:ECMDS42_3308
ko:K01915	ecok:ECMDS42_3309
ko:K06207	ecok:ECMDS42_3310
ko:K15922	ecok:ECMDS42_3317
ko:K01671	ecok:ECMDS42_3320
ko:K08318	ecok:ECMDS42_3321
ko:K07058	ecok:ECMDS42_3325
ko:K07560	ecok:ECMDS42_3326
ko:K02380	ecok:ECMDS42_3330
ko:K00123	ecok:ECMDS42_3333
ko:K02379	ecok:ECMDS42_3334
ko:K11202	ecok:ECMDS42_3338
ko:K11203	ecok:ECMDS42_3338
ko:K11201	ecok:ECMDS42_3339
ko:K03534	ecok:ECMDS42_3340
ko:K00848	ecok:ECMDS42_3343
ko:K02854	ecok:ECMDS42_3345
ko:K02856	ecok:ECMDS42_3346
ko:K04564	ecok:ECMDS42_3347
ko:K02526	ecok:ECMDS42_3348
ko:K06006	ecok:ECMDS42_3352
ko:K00850	ecok:ECMDS42_3354
ko:K02048	ecok:ECMDS42_3355
ko:K01521	ecok:ECMDS42_3356
ko:K02237	ecok:ECMDS42_0341
ko:K12500	ecok:ECMDS42_0342
ko:K06920	ecok:ECMDS42_0343
ko:K11938	ecok:ECMDS42_0345
ko:K05800	ecok:ECMDS42_0346
ko:K04752	ecok:ECMDS42_0349
ko:K03320	ecok:ECMDS42_0350
ko:K10805	ecok:ECMDS42_0351
ko:K09914	ecok:ECMDS42_0352
ko:K07443	ecok:ECMDS42_0353
ko:K03577	ecok:ECMDS42_0363
ko:K05802	ecok:ECMDS42_0364
ko:K09790	ecok:ECMDS42_0367
ko:K00759	ecok:ECMDS42_0368
ko:K02343	ecok:ECMDS42_0369
ko:K09747	ecok:ECMDS42_0370
ko:K06187	ecok:ECMDS42_0371
ko:K04079	ecok:ECMDS42_0372
ko:K01772	ecok:ECMDS42_0374
ko:K00892	ecok:ECMDS42_0376
ko:K08223	ecok:ECMDS42_0378
ko:K09973	ecok:ECMDS42_0381
ko:K01425	ecok:ECMDS42_0384
ko:K07340	ecok:ECMDS42_0387
ko:K02068	ecok:ECMDS42_0389
ko:K02069	ecok:ECMDS42_0390
ko:K05838	ecok:ECMDS42_0391
ko:K02054	ecok:ECMDS42_1161
ko:K02053	ecok:ECMDS42_1162
ko:K00137	ecok:ECMDS42_1163
ko:K09936	ecok:ECMDS42_1166
ko:K03823	ecok:ECMDS42_1167
ko:K11738	ecok:ECMDS42_1172
ko:K11208	ecok:ECMDS42_1173
ko:K00675	ecok:ECMDS42_1175
ko:K02575	ecok:ECMDS42_1181
ko:K08349	ecok:ECMDS42_1187
ko:K02972	ecok:ECMDS42_1192
ko:K02034	ecok:ECMDS42_1197
ko:K08641	ecok:ECMDS42_1200
ko:K13243	ecok:ECMDS42_1201
ko:K13069	ecok:ECMDS42_1202
ko:K03815	ecok:ECMDS42_1957
ko:K14347	ecok:ECMDS42_1960
ko:K09954	ecok:ECMDS42_1961
ko:K01972	ecok:ECMDS42_1962
ko:K03528	ecok:ECMDS42_1963
ko:K06203	ecok:ECMDS42_1964
ko:K01738	ecok:ECMDS42_1965
ko:K00868	ecok:ECMDS42_1969
ko:K12339	ecok:ECMDS42_1972
ko:K02045	ecok:ECMDS42_1973
ko:K02047	ecok:ECMDS42_1974
ko:K02046	ecok:ECMDS42_1975
ko:K02048	ecok:ECMDS42_1976
ko:K15835	ecok:ECMDS42_1978
ko:K07106	ecok:ECMDS42_1979
ko:K11191	ecok:ECMDS42_1980
ko:K11192	ecok:ECMDS42_1980
ko:K07223	ecok:ECMDS42_1982
ko:K01448	ecok:ECMDS42_1986
ko:K00228	ecok:ECMDS42_1987
ko:K04033	ecok:ECMDS42_1988
ko:K04025	ecok:ECMDS42_1989
ko:K04026	ecok:ECMDS42_1990
ko:K03736	ecok:ECMDS42_1991
ko:K03735	ecok:ECMDS42_1992
ko:K04019	ecok:ECMDS42_1993
ko:K04023	ecok:ECMDS42_1994
ko:K04022	ecok:ECMDS42_1995
ko:K04024	ecok:ECMDS42_1996
ko:K04021	ecok:ECMDS42_1997
ko:K04027	ecok:ECMDS42_1999
ko:K04020	ecok:ECMDS42_2000
ko:K04032	ecok:ECMDS42_2001
ko:K04030	ecok:ECMDS42_2002
ko:K02879	ecok:ECMDS42_2756
ko:K03040	ecok:ECMDS42_2757
ko:K02986	ecok:ECMDS42_2758
ko:K02948	ecok:ECMDS42_2759
ko:K02952	ecok:ECMDS42_2760
ko:K02919	ecok:ECMDS42_2761
ko:K03076	ecok:ECMDS42_2762
ko:K02876	ecok:ECMDS42_2763
ko:K02907	ecok:ECMDS42_2764
ko:K02988	ecok:ECMDS42_2765
ko:K02881	ecok:ECMDS42_2766
ko:K02933	ecok:ECMDS42_2767
ko:K02994	ecok:ECMDS42_2768
ko:K02954	ecok:ECMDS42_2769
ko:K02931	ecok:ECMDS42_2770
ko:K02895	ecok:ECMDS42_2771
ko:K02874	ecok:ECMDS42_2772
ko:K02961	ecok:ECMDS42_2773
ko:K02904	ecok:ECMDS42_2774
ko:K02878	ecok:ECMDS42_2775
ko:K02982	ecok:ECMDS42_2776
ko:K02890	ecok:ECMDS42_2777
ko:K02965	ecok:ECMDS42_2778
ko:K02886	ecok:ECMDS42_2779
ko:K02892	ecok:ECMDS42_2780
ko:K02926	ecok:ECMDS42_2781
ko:K02906	ecok:ECMDS42_2782
ko:K02946	ecok:ECMDS42_2783
ko:K02451	ecok:ECMDS42_2784
ko:K02358	ecok:ECMDS42_2785
ko:K02355	ecok:ECMDS42_2786
ko:K02992	ecok:ECMDS42_2787
ko:K02950	ecok:ECMDS42_2788
ko:K07237	ecok:ECMDS42_2789
ko:K07236	ecok:ECMDS42_2790
ko:K07235	ecok:ECMDS42_2791
ko:K03745	ecok:ECMDS42_2794
ko:K03775	ecok:ECMDS42_2795
ko:K07070	ecok:ECMDS42_2796
ko:K06158	ecok:ECMDS42_2799
ko:K00855	ecok:ECMDS42_2802
ko:K01584	ecok:ECMDS42_3556
ko:K07406	ecok:ECMDS42_3558
ko:K08984	ecok:ECMDS42_3560
ko:K01676	ecok:ECMDS42_3561
ko:K07703	ecok:ECMDS42_3563
ko:K07701	ecok:ECMDS42_3564
ko:K06975	ecok:ECMDS42_3566
ko:K04567	ecok:ECMDS42_3569
ko:K03305	ecok:ECMDS42_3570
ko:K03765	ecok:ECMDS42_3573
ko:K04084	ecok:ECMDS42_3576
ko:K03926	ecok:ECMDS42_3577
ko:K07791	ecok:ECMDS42_3578
ko:K01744	ecok:ECMDS42_3579
ko:K07113	ecok:ECMDS42_3580
ko:K16263	ecok:ECMDS42_3581
ko:K04078	ecok:ECMDS42_3582
ko:K04077	ecok:ECMDS42_3583
ko:K02356	ecok:ECMDS42_3587
ko:K16347	ecok:ECMDS42_3588
ko:K16348	ecok:ECMDS42_3589
ko:K03098	ecok:ECMDS42_3591
ko:K00246	ecok:ECMDS42_3594
ko:K04568	ecok:ECMDS42_3597
ko:K01613	ecok:ECMDS42_3602
ko:K06949	ecok:ECMDS42_3603
ko:K13288	ecok:ECMDS42_3604
ko:K00040	ecok:ECMDS42_3712
ko:K11927	ecok:ECMDS42_0647
ko:K13574	ecok:ECMDS42_0651
ko:K16090	ecok:ECMDS42_0655
ko:K13650	ecok:ECMDS42_0656
ko:K10037	ecok:ECMDS42_0660
ko:K10036	ecok:ECMDS42_0661
ko:K04047	ecok:ECMDS42_0662
ko:K11939	ecok:ECMDS42_0663
ko:K11934	ecok:ECMDS42_0664
ko:K11924	ecok:ECMDS42_0668
ko:K00656	ecok:ECMDS42_0674
ko:K04069	ecok:ECMDS42_0675
ko:K03750	ecok:ECMDS42_0678
ko:K13051	ecok:ECMDS42_0679
ko:K13892	ecok:ECMDS42_0680
ko:K13889	ecok:ECMDS42_0681
ko:K13890	ecok:ECMDS42_0682
ko:K13891	ecok:ECMDS42_0683
ko:K14441	ecok:ECMDS42_0686
ko:K11534	ecok:ECMDS42_0691
ko:K08160	ecok:ECMDS42_0693
ko:K07180	ecok:ECMDS42_1458
ko:K09786	ecok:ECMDS42_1459
ko:K03449	ecok:ECMDS42_1465
ko:K09712	ecok:ECMDS42_1467
ko:K13069	ecok:ECMDS42_1468
ko:K11250	ecok:ECMDS42_1472
ko:K16135	ecok:ECMDS42_1473
ko:K07246	ecok:ECMDS42_1474
ko:K03684	ecok:ECMDS42_1478
ko:K07285	ecok:ECMDS42_1480
ko:K09917	ecok:ECMDS42_1485
ko:K01665	ecok:ECMDS42_1486
ko:K01752	ecok:ECMDS42_1488
ko:K00563	ecok:ECMDS42_1496
ko:K03704	ecok:ECMDS42_1497
ko:K08169	ecok:ECMDS42_1503
ko:K03799	ecok:ECMDS42_1504
ko:K03797	ecok:ECMDS42_1505
ko:K03607	ecok:ECMDS42_1506
ko:K03808	ecok:ECMDS42_1508
ko:K05589	ecok:ECMDS42_2253
ko:K00860	ecok:ECMDS42_2255
ko:K00957	ecok:ECMDS42_2257
ko:K09612	ecok:ECMDS42_2258
ko:K15342	ecok:ECMDS42_2260
ko:K00390	ecok:ECMDS42_2267
ko:K00381	ecok:ECMDS42_2268
ko:K01737	ecok:ECMDS42_2270
ko:K00313	ecok:ECMDS42_2271
ko:K10026	ecok:ECMDS42_2281
ko:K06872	ecok:ECMDS42_2282
ko:K01689	ecok:ECMDS42_2283
ko:K01937	ecok:ECMDS42_2284
ko:K03215	ecok:ECMDS42_2289
ko:K07678	ecok:ECMDS42_2290
ko:K01706	ecok:ECMDS42_2291
ko:K13918	ecok:ECMDS42_2292
ko:K06175	ecok:ECMDS42_2295
ko:K15723	ecok:ECMDS42_2298
ko:K06879	ecok:ECMDS42_2299
ko:K06966	ecok:ECMDS42_2300
ko:K03837	ecok:ECMDS42_2301
ko:K01752	ecok:ECMDS42_2302
ko:K02841	ecok:ECMDS42_3055
ko:K02847	ecok:ECMDS42_3056
ko:K02850	ecok:ECMDS42_3059
ko:K02840	ecok:ECMDS42_3062
ko:K02848	ecok:ECMDS42_3064
ko:K02844	ecok:ECMDS42_3065
ko:K02527	ecok:ECMDS42_3067
ko:K00954	ecok:ECMDS42_3068
ko:K02913	ecok:ECMDS42_3070
ko:K02902	ecok:ECMDS42_3071
ko:K03630	ecok:ECMDS42_3072
ko:K13038	ecok:ECMDS42_3073
