ko:K10026	sir:SiRe_1385
ko:K01596	sir:SiRe_0398
ko:K00294	sir:SiRe_0401
ko:K02033	sir:SiRe_0417
ko:K02035	sir:SiRe_0418
ko:K09963	sir:SiRe_0419
ko:K01990	sir:SiRe_0424
ko:K00374	sir:SiRe_0441
ko:K07025	sir:SiRe_1282
ko:K00939	sir:SiRe_1312
ko:K01206	sir:SiRe_2185
ko:K02033	sir:SiRe_2187
ko:K02035	sir:SiRe_2190
ko:K02033	sir:SiRe_2195
ko:K02035	sir:SiRe_2199
ko:K00626	sir:SiRe_0713
ko:K00626	sir:SiRe_0714
ko:K01480	sir:SiRe_1558
ko:K02428	sir:SiRe_1571
ko:K07442	sir:SiRe_1576
ko:K15635	sir:SiRe_1583
ko:K03242	sir:SiRe_1588
ko:K02858	sir:SiRe_1597
ko:K08096	sir:SiRe_1600
ko:K00666	sir:SiRe_2451
ko:K03855	sir:SiRe_2460
ko:K01679	sir:SiRe_1020
ko:K01719	sir:SiRe_1824
ko:K03232	sir:SiRe_1833
ko:K02927	sir:SiRe_1839
ko:K01784	sir:SiRe_1845
ko:K05830	sir:SiRe_1850
ko:K06610	sir:SiRe_0560
ko:K01439	sir:SiRe_0568
ko:K01992	sir:SiRe_0587
ko:K01990	sir:SiRe_0588
ko:K02123	sir:SiRe_1444
ko:K00150	sir:SiRe_1456
ko:K01607	sir:SiRe_2320
ko:K00666	sir:SiRe_2327
ko:K00626	sir:SiRe_2328
ko:K00027	sir:SiRe_2332
ko:K07034	sir:SiRe_2337
ko:K01470	sir:SiRe_2353
ko:K01480	sir:SiRe_2355
ko:K03136	sir:SiRe_1730
ko:K04518	sir:SiRe_1750
ko:K09685	sir:SiRe_1760
ko:K01990	sir:SiRe_2606
ko:K00772	sir:SiRe_0140
ko:K05844	sir:SiRe_0143
ko:K03718	sir:SiRe_0144
ko:K00241	sir:SiRe_0157
ko:K07151	sir:SiRe_1041
ko:K11130	sir:SiRe_1042
ko:K06883	sir:SiRe_1049
ko:K00784	sir:SiRe_1052
ko:K07991	sir:SiRe_1868
ko:K07744	sir:SiRe_1888
ko:K01885	sir:SiRe_1904
ko:K07129	sir:SiRe_1910
ko:K07388	sir:SiRe_1917
ko:K07457	sir:SiRe_0278
ko:K00567	sir:SiRe_0281
ko:K00626	sir:SiRe_0292
ko:K00059	sir:SiRe_0295
ko:K13953	sir:SiRe_0296
ko:K00666	sir:SiRe_0305
ko:K07048	sir:SiRe_0316
ko:K00058	sir:SiRe_1179
ko:K10726	sir:SiRe_1228
ko:K06963	sir:SiRe_1230
ko:K01990	sir:SiRe_2080
ko:K01992	sir:SiRe_2081
ko:K15496	sir:SiRe_1065
ko:K15760	sir:SiRe_0385
ko:K03239	sir:SiRe_2263
ko:K15497	sir:SiRe_1632
ko:K15763	sir:SiRe_0388
ko:K15764	sir:SiRe_0389
ko:K15760	sir:SiRe_0384
ko:K11395	sir:SiRe_2040
ko:K05308	sir:SiRe_2039
ko:K01684	sir:SiRe_2542
ko:K00483	sir:SiRe_0706
ko:K01641	sir:SiRe_1462
ko:K13048	sir:SiRe_0789
ko:K03052	sir:SiRe_1721
ko:K11645	sir:SiRe_2016
ko:K16264	sir:SiRe_0060
ko:K18125	sir:SiRe_2200
ko:K16785	sir:SiRe_0676
ko:K05825	sir:SiRe_1893
ko:K16640	sir:SiRe_0668
ko:K16640	sir:SiRe_2648
ko:K18779	sir:SiRe_1723
ko:K10197	sir:SiRe_2348
ko:K10198	sir:SiRe_2347
ko:K10199	sir:SiRe_2346
ko:K16786	sir:SiRe_0675
ko:K16787	sir:SiRe_0675
ko:K01980	sir:SiRe_r0001
ko:K06016	sir:SiRe_2480
ko:K00966	sir:SiRe_1680
ko:K14234	sir:SiRe_t0007
ko:K14234	sir:SiRe_t0034
ko:K16933	sir:SiRe_1954
ko:K16936	sir:SiRe_0641
ko:K16935	sir:SiRe_1952
ko:K01426	sir:SiRe_0345
ko:K10974	sir:SiRe_0554
ko:K02303	sir:SiRe_0225
ko:K02303	sir:SiRe_2312
ko:K16846	sir:SiRe_0430
ko:K16845	sir:SiRe_0429
ko:K16937	sir:SiRe_0642
ko:K16934	sir:SiRe_1953
ko:K14226	sir:SiRe_t0038
ko:K16937	sir:SiRe_2153
ko:K11529	sir:SiRe_1347
ko:K14228	sir:SiRe_t0001
ko:K14218	sir:SiRe_t0002
ko:K14218	sir:SiRe_t0033
ko:K14218	sir:SiRe_t0027
ko:K14227	sir:SiRe_t0003
ko:K14232	sir:SiRe_t0004
ko:K14231	sir:SiRe_t0017
ko:K14225	sir:SiRe_t0019
ko:K14225	sir:SiRe_t0026
ko:K14235	sir:SiRe_t0043
ko:K01983	sir:SiRe_r0004
ko:K14233	sir:SiRe_t0044
ko:K14220	sir:SiRe_t0045
ko:K17104	sir:SiRe_1736
ko:K17219	sir:SiRe_0533
ko:K17311	sir:SiRe_1088
ko:K17313	sir:SiRe_1086
ko:K01385	sir:SiRe_0691
ko:K07329	sir:SiRe_0121
ko:K01978	sir:SiRe_mr0001
ko:K14221	sir:SiRe_t0037
ko:K01985	sir:SiRe_r0003
ko:K03457	sir:SiRe_0687
ko:K14237	sir:SiRe_t0011
ko:K04479	sir:SiRe_0236
ko:K17105	sir:SiRe_1424
ko:K02031	sir:SiRe_2589
ko:K02032	sir:SiRe_2590
ko:K07486	sir:SiRe_0857
ko:K17221	sir:SiRe_0535
ko:K17220	sir:SiRe_0534
ko:K14229	sir:SiRe_t0040
ko:K14229	sir:SiRe_t0041
ko:K17218	sir:SiRe_0071
ko:K17218	sir:SiRe_2575
ko:K00096	sir:SiRe_1249
ko:K01897	sir:SiRe_2181
ko:K01977	sir:SiRe_r0002
ko:K14228	sir:SiRe_t0005
ko:K14223	sir:SiRe_t0006
ko:K14223	sir:SiRe_t0024
ko:K14219	sir:SiRe_t0008
ko:K14228	sir:SiRe_t0009
ko:K14228	sir:SiRe_t0015
ko:K14224	sir:SiRe_t0010
ko:K14224	sir:SiRe_t0022
ko:K14236	sir:SiRe_t0012
ko:K14233	sir:SiRe_t0013
ko:K14230	sir:SiRe_t0014
ko:K14228	sir:SiRe_t0016
ko:K14219	sir:SiRe_t0020
ko:K14219	sir:SiRe_t0031
ko:K14230	sir:SiRe_t0021
ko:K14225	sir:SiRe_t0023
ko:K14233	sir:SiRe_t0025
ko:K14232	sir:SiRe_t0028
ko:K14219	sir:SiRe_t0029
ko:K14237	sir:SiRe_t0032
ko:K14219	sir:SiRe_t0030
ko:K14237	sir:SiRe_t0042
ko:K14233	sir:SiRe_t0035
ko:K14230	sir:SiRe_t0036
ko:K14232	sir:SiRe_t0046
ko:K17312	sir:SiRe_1087
ko:K17314	sir:SiRe_1085
ko:K14234	sir:SiRe_t0047
ko:K10197	sir:SiRe_2179
ko:K15020	sir:SiRe_1239
ko:K01011	sir:SiRe_1080
ko:K13722	sir:SiRe_2664
ko:K02189	sir:SiRe_1869
ko:K07333	sir:SiRe_1880
ko:K15038	sir:SiRe_0909
ko:K07332	sir:SiRe_1879
ko:K17285	sir:SiRe_2340
ko:K01992	sir:SiRe_0321
ko:K01992	sir:SiRe_1945
ko:K01992	sir:SiRe_2559
ko:K15017	sir:SiRe_2691
ko:K01990	sir:SiRe_0322
ko:K01990	sir:SiRe_1944
ko:K01990	sir:SiRe_2558
ko:K10112	sir:SiRe_2486
ko:K07064	sir:SiRe_0776
ko:K10198	sir:SiRe_2178
ko:K06930	sir:SiRe_0628
ko:K10112	sir:SiRe_0935
ko:K10844	sir:SiRe_1685
ko:K01739	sir:SiRe_0165
ko:K12574	sir:SiRe_0590
ko:K17758	sir:SiRe_0066
ko:K17759	sir:SiRe_0066
ko:K01658	sir:SiRe_1190
ko:K07577	sir:SiRe_1616
ko:K15039	sir:SiRe_1366
ko:K14465	sir:SiRe_1527
ko:K01964	sir:SiRe_0254
ko:K15036	sir:SiRe_0252
ko:K15037	sir:SiRe_0253
ko:K07577	sir:SiRe_1819
ko:K00226	sir:SiRe_1397
ko:K02027	sir:SiRe_2487
ko:K01187	sir:SiRe_2192
ko:K14259	sir:SiRe_2129
ko:K03520	sir:SiRe_2661
ko:K01533	sir:SiRe_2556
ko:K07068	sir:SiRe_1460
ko:K02031	sir:SiRe_2188
ko:K02032	sir:SiRe_2188
ko:K07068	sir:SiRe_0304
ko:K02614	sir:SiRe_2583
ko:K01485	sir:SiRe_2394
ko:K00020	sir:SiRe_0471
ko:K07045	sir:SiRe_0352
ko:K17884	sir:SiRe_1447
ko:K15018	sir:SiRe_2035
ko:K09022	sir:SiRe_2032
ko:K18021	sir:SiRe_2568
ko:K10199	sir:SiRe_2177
ko:K22585	sir:SiRe_1207
ko:K18020	sir:SiRe_2566
ko:K18022	sir:SiRe_2567
ko:K18125	sir:SiRe_2243
ko:K00020	sir:SiRe_1113
ko:K00104	sir:SiRe_0372
ko:K00104	sir:SiRe_2089
ko:K15019	sir:SiRe_1359
ko:K15863	sir:SiRe_1668
ko:K07068	sir:SiRe_0715
ko:K07068	sir:SiRe_2579
ko:K07068	sir:SiRe_2329
ko:K01473	sir:SiRe_0552
ko:K01473	sir:SiRe_2303
ko:K00008	sir:SiRe_2009
ko:K07076	sir:SiRe_0948
ko:K02614	sir:SiRe_0436
ko:K18125	sir:SiRe_2034
ko:K18126	sir:SiRe_2041
ko:K06921	sir:SiRe_0912
ko:K06921	sir:SiRe_0411
ko:K01897	sir:SiRe_1630
ko:K07068	sir:SiRe_0716
ko:K02031	sir:SiRe_0415
ko:K07579	sir:SiRe_2668
ko:K07076	sir:SiRe_0903
ko:K02032	sir:SiRe_2534
ko:K01239	sir:SiRe_1495
ko:K01090	sir:SiRe_1009
ko:K01271	sir:SiRe_1636
ko:K07076	sir:SiRe_0918
ko:K07076	sir:SiRe_0923
ko:K07405	sir:SiRe_1098
ko:K07076	sir:SiRe_0939
ko:K07076	sir:SiRe_0459
ko:K15449	sir:SiRe_1133
ko:K07064	sir:SiRe_2171
ko:K00446	sir:SiRe_0380
ko:K10196	sir:SiRe_0728
ko:K01990	sir:SiRe_0832
ko:K07133	sir:SiRe_0949
ko:K00864	sir:SiRe_0320
ko:K18367	sir:SiRe_0093
ko:K01007	sir:SiRe_1199
ko:K07092	sir:SiRe_2162
ko:K00681	sir:SiRe_2021
ko:K18532	sir:SiRe_1540
ko:K19076	sir:SiRe_0894
ko:K07466	sir:SiRe_0161
ko:K07495	sir:SiRe_2059
ko:K07475	sir:SiRe_0770
ko:K18861	sir:SiRe_0517
ko:K07012	sir:SiRe_0769
ko:K09723	sir:SiRe_1229
ko:K02493	sir:SiRe_1262
ko:K18859	sir:SiRe_0158
ko:K00446	sir:SiRe_0707
ko:K00520	sir:SiRe_2510
ko:K04794	sir:SiRe_1835
ko:K03496	sir:SiRe_1962
ko:K01409	sir:SiRe_1569
ko:K01872	sir:SiRe_0420
ko:K08851	sir:SiRe_1570
ko:K07464	sir:SiRe_0763
ko:K07464	sir:SiRe_1245
ko:K07464	sir:SiRe_1994
ko:K19076	sir:SiRe_0598
ko:K19142	sir:SiRe_0599
ko:K19135	sir:SiRe_0455
ko:K09127	sir:SiRe_0597
ko:K19146	sir:SiRe_0771
ko:K01710	sir:SiRe_0840
ko:K19142	sir:SiRe_0893
ko:K09127	sir:SiRe_0895
ko:K01239	sir:SiRe_0056
ko:K01239	sir:SiRe_2182
ko:K09951	sir:SiRe_0762
ko:K19074	sir:SiRe_0767
ko:K19085	sir:SiRe_0760
ko:K19089	sir:SiRe_0768
ko:K07725	sir:SiRe_0473
ko:K07725	sir:SiRe_0765
ko:K01066	sir:SiRe_0290
ko:K01066	sir:SiRe_0315
ko:K19412	sir:SiRe_1368
ko:K07496	sir:SiRe_0613
ko:K07496	sir:SiRe_0632
ko:K07496	sir:SiRe_0665
ko:K07496	sir:SiRe_2407
ko:K07496	sir:SiRe_0690
ko:K07496	sir:SiRe_0692
ko:K07496	sir:SiRe_2474
ko:K07496	sir:SiRe_0736
ko:K07496	sir:SiRe_0774
ko:K07496	sir:SiRe_2503
ko:K07496	sir:SiRe_0810
ko:K07496	sir:SiRe_0885
ko:K07496	sir:SiRe_2602
ko:K07496	sir:SiRe_2613
ko:K07496	sir:SiRe_0941
ko:K07496	sir:SiRe_1063
ko:K07496	sir:SiRe_0256
ko:K07496	sir:SiRe_0283
ko:K07496	sir:SiRe_2060
ko:K07496	sir:SiRe_2085
ko:K07496	sir:SiRe_2122
ko:K07496	sir:SiRe_0408
ko:K07496	sir:SiRe_1326
ko:K07496	sir:SiRe_0469
ko:K07496	sir:SiRe_0521
ko:K07496	sir:SiRe_0549
ko:K01785	sir:SiRe_2370
ko:K02025	sir:SiRe_2485
ko:K02026	sir:SiRe_2485
ko:K08176	sir:SiRe_2058
ko:K07068	sir:SiRe_2135
ko:K21268	sir:SiRe_0142
ko:K19244	sir:SiRe_1622
ko:K09386	sir:SiRe_0220
ko:K07092	sir:SiRe_1643
ko:K07092	sir:SiRe_0978
ko:K03784	sir:SiRe_1479
ko:K02004	sir:SiRe_0644
ko:K02503	sir:SiRe_2674
ko:K19590	sir:SiRe_0562
ko:K19710	sir:SiRe_1748
ko:K19664	sir:SiRe_1225
ko:K07064	sir:SiRe_0606
ko:K20215	sir:SiRe_1136
ko:K12140	sir:SiRe_1073
ko:K00302	sir:SiRe_1821
ko:K01214	sir:SiRe_0487
ko:K01214	sir:SiRe_0489
ko:K21029	sir:SiRe_1697
ko:K00525	sir:SiRe_1156
ko:K13075	sir:SiRe_0574
ko:K19588	sir:SiRe_2130
ko:K01101	sir:SiRe_0154
ko:K02031	sir:SiRe_2197
ko:K02032	sir:SiRe_2198
ko:K02031	sir:SiRe_2535
ko:K02031	sir:SiRe_2284
ko:K02032	sir:SiRe_2285
ko:K06148	sir:SiRe_2231
ko:K21220	sir:SiRe_1955
ko:K07495	sir:SiRe_0488
ko:K02032	sir:SiRe_0414
ko:K04802	sir:SiRe_1594
ko:K04802	sir:SiRe_1602
ko:K03465	sir:SiRe_1676
ko:K00558	sir:SiRe_1731
ko:K03546	sir:SiRe_0062
ko:K04799	sir:SiRe_1830
ko:K04802	sir:SiRe_1048
ko:K04801	sir:SiRe_1235
ko:K02319	sir:SiRe_1913
ko:K02319	sir:SiRe_0615
ko:K07097	sir:SiRe_0244
ko:K08194	sir:SiRe_2482
ko:K07045	sir:SiRe_2645
ko:K21142	sir:SiRe_0186
ko:K02319	sir:SiRe_1451
ko:K07489	sir:SiRe_0852
ko:K07096	sir:SiRe_0053
ko:K07096	sir:SiRe_2478
ko:K07486	sir:SiRe_0856
ko:K07486	sir:SiRe_0113
ko:K07486	sir:SiRe_0604
ko:K07496	sir:SiRe_1989
ko:K21219	sir:SiRe_0185
ko:K13798	sir:SiRe_1768
ko:K00526	sir:SiRe_0294
ko:K21417	sir:SiRe_2405
ko:K21416	sir:SiRe_2404
ko:K07495	sir:SiRe_0943
ko:K21567	sir:SiRe_0038
ko:K21929	sir:SiRe_0084
ko:K21929	sir:SiRe_2356
ko:K03564	sir:SiRe_2592
ko:K14274	sir:SiRe_2493
ko:K14274	sir:SiRe_2201
ko:K22206	sir:SiRe_1532
ko:K07108	sir:SiRe_1155
ko:K02316	sir:SiRe_1914
ko:K06927	sir:SiRe_1336
ko:K03547	sir:SiRe_0063
ko:K22205	sir:SiRe_1743
ko:K15634	sir:SiRe_0052
ko:K02257	sir:SiRe_1357
ko:K19302	sir:SiRe_2553
ko:K03795	sir:SiRe_1590
ko:K15865	sir:SiRe_0174
ko:K22447	sir:SiRe_1716
ko:K09759	sir:SiRe_1837
ko:K03800	sir:SiRe_1033
ko:K22469	sir:SiRe_1006
ko:K03389	sir:SiRe_0970
ko:K03389	sir:SiRe_0974
