ko:K02495	sfe:SFxv_4293
ko:K15977	sfe:SFxv_3451
ko:K06911	sfe:SFxv_3455
ko:K01752	sfe:SFxv_3459
ko:K00656	sfe:SFxv_3461
ko:K03838	sfe:SFxv_3463
ko:K01754	sfe:SFxv_3464
ko:K07592	sfe:SFxv_3465
ko:K07591	sfe:SFxv_3466
ko:K00865	sfe:SFxv_3471
ko:K12299	sfe:SFxv_3474
ko:K02079	sfe:SFxv_3482
ko:K10985	sfe:SFxv_3485
ko:K10986	sfe:SFxv_3486
ko:K02080	sfe:SFxv_3487
ko:K07056	sfe:SFxv_3499
ko:K07121	sfe:SFxv_3500
ko:K06006	sfe:SFxv_4353
ko:K00850	sfe:SFxv_4355
ko:K02048	sfe:SFxv_4356
ko:K01521	sfe:SFxv_4357
ko:K01803	sfe:SFxv_4358
ko:K14065	sfe:SFxv_4362
ko:K00528	sfe:SFxv_4363
ko:K00864	sfe:SFxv_4365
ko:K02440	sfe:SFxv_4366
ko:K02553	sfe:SFxv_4367
ko:K02548	sfe:SFxv_4368
ko:K03667	sfe:SFxv_4369
ko:K01419	sfe:SFxv_4370
ko:K03591	sfe:SFxv_4371
ko:K04066	sfe:SFxv_4374
ko:K02909	sfe:SFxv_4375
ko:K03764	sfe:SFxv_4377
ko:K12525	sfe:SFxv_4379
ko:K00297	sfe:SFxv_4381
ko:K03782	sfe:SFxv_4382
ko:K11203	sfe:SFxv_4389
ko:K11202	sfe:SFxv_4390
ko:K00656	sfe:SFxv_4391
ko:K04069	sfe:SFxv_4392
ko:K11202	sfe:SFxv_4393
ko:K01595	sfe:SFxv_4396
ko:K01438	sfe:SFxv_4397
ko:K00145	sfe:SFxv_4398
ko:K00930	sfe:SFxv_4399
ko:K01755	sfe:SFxv_4400
ko:K04761	sfe:SFxv_4406
ko:K02803	sfe:SFxv_0679
ko:K00322	sfe:SFxv_4407
ko:K07733	sfe:SFxv_1117a
ko:K07248	sfe:SFxv_2014
ko:K03578	sfe:SFxv_2017
ko:K01118	sfe:SFxv_2019
ko:K00981	sfe:SFxv_2026
ko:K03778	sfe:SFxv_2031
ko:K09978	sfe:SFxv_2034
ko:K03737	sfe:SFxv_2038
ko:K14058	sfe:SFxv_2041
ko:K05591	sfe:SFxv_2042
ko:K03543	sfe:SFxv_2052
ko:K14055	sfe:SFxv_2057
ko:K15580	sfe:SFxv_2064
ko:K02884	sfe:SFxv_2924
ko:K00554	sfe:SFxv_2925
ko:K02860	sfe:SFxv_2926
ko:K02959	sfe:SFxv_2927
ko:K03106	sfe:SFxv_2928
ko:K03687	sfe:SFxv_2932
ko:K00858	sfe:SFxv_2933
ko:K03631	sfe:SFxv_2934
ko:K06186	sfe:SFxv_2935
ko:K09801	sfe:SFxv_2936
ko:K03664	sfe:SFxv_2938
ko:K15737	sfe:SFxv_2945
ko:K15736	sfe:SFxv_2946
ko:K11735	sfe:SFxv_2949
ko:K15735	sfe:SFxv_2950
ko:K02000	sfe:SFxv_2967
ko:K02001	sfe:SFxv_2968
ko:K02002	sfe:SFxv_2969
ko:K15974	sfe:SFxv_2974
ko:K03446	sfe:SFxv_2977
ko:K07173	sfe:SFxv_2978
ko:K13009	sfe:SFxv_3834
ko:K07007	sfe:SFxv_3839
ko:K06144	sfe:SFxv_3841
ko:K03305	sfe:SFxv_3843
ko:K15984	sfe:SFxv_3844
ko:K01414	sfe:SFxv_3846
ko:K07115	sfe:SFxv_3847
ko:K03893	sfe:SFxv_3853
ko:K07089	sfe:SFxv_3856
ko:K07285	sfe:SFxv_3859
ko:K01194	sfe:SFxv_3869
ko:K07058	sfe:SFxv_3873
ko:K07290	sfe:SFxv_3875
ko:K00874	sfe:SFxv_3877
ko:K11103	sfe:SFxv_3881
ko:K02990	sfe:SFxv_4746
ko:K02686	sfe:SFxv_4747
ko:K02963	sfe:SFxv_4748
ko:K02939	sfe:SFxv_4750
ko:K03427	sfe:SFxv_4758
ko:K01153	sfe:SFxv_4759
ko:K02508	sfe:SFxv_4771
ko:K02511	sfe:SFxv_4772
ko:K02509	sfe:SFxv_4774
ko:K00455	sfe:SFxv_4776
ko:K05921	sfe:SFxv_4778
ko:K02317	sfe:SFxv_4787
ko:K13255	sfe:SFxv_4793
ko:K02344	sfe:SFxv_4796
ko:K03789	sfe:SFxv_4797
ko:K08723	sfe:SFxv_4798
ko:K02837	sfe:SFxv_4799
ko:K08307	sfe:SFxv_0209
ko:K11902	sfe:SFxv_0214
ko:K11895	sfe:SFxv_0216
ko:K11896	sfe:SFxv_0217
ko:K11897	sfe:SFxv_0218
ko:K11898	sfe:SFxv_0219
ko:K01921	sfe:SFxv_0245
ko:K02168	sfe:SFxv_1133
ko:K09824	sfe:SFxv_1136
ko:K04338	sfe:SFxv_1176
ko:K04337	sfe:SFxv_1177
ko:K04335	sfe:SFxv_1179
ko:K07156	sfe:SFxv_2075
ko:K10857	sfe:SFxv_2078
ko:K01354	sfe:SFxv_2079
ko:K08289	sfe:SFxv_2082
ko:K01625	sfe:SFxv_2083
ko:K01690	sfe:SFxv_2084
ko:K00036	sfe:SFxv_2085
ko:K00873	sfe:SFxv_2088
ko:K02560	sfe:SFxv_2089
ko:K09817	sfe:SFxv_2092
ko:K09816	sfe:SFxv_2093
ko:K03551	sfe:SFxv_2094
ko:K03550	sfe:SFxv_2095
ko:K01159	sfe:SFxv_2097
ko:K08310	sfe:SFxv_2099
ko:K01876	sfe:SFxv_2100
ko:K01919	sfe:SFxv_2979
ko:K03563	sfe:SFxv_2983
ko:K01872	sfe:SFxv_2985
ko:K03565	sfe:SFxv_2986
ko:K02781	sfe:SFxv_2991
ko:K02468	sfe:SFxv_2994
ko:K02467	sfe:SFxv_2995
ko:K12266	sfe:SFxv_2996
ko:K12264	sfe:SFxv_2997
ko:K12265	sfe:SFxv_2998
ko:K04656	sfe:SFxv_2999
ko:K05796	sfe:SFxv_3000
ko:K03487	sfe:SFxv_3002
ko:K15830	sfe:SFxv_3004
ko:K15829	sfe:SFxv_3005
ko:K15828	sfe:SFxv_3006
ko:K15827	sfe:SFxv_3007
ko:K15833	sfe:SFxv_3008
ko:K04651	sfe:SFxv_3009
ko:K04653	sfe:SFxv_3011
ko:K04654	sfe:SFxv_3012
ko:K15836	sfe:SFxv_3014
ko:K03555	sfe:SFxv_3018
ko:K03186	sfe:SFxv_3029
ko:K12372	sfe:SFxv_3897
ko:K12371	sfe:SFxv_3898
ko:K12370	sfe:SFxv_3899
ko:K12369	sfe:SFxv_3900
ko:K07821	sfe:SFxv_2138
ko:K09907	sfe:SFxv_2140
ko:K01887	sfe:SFxv_2141
ko:K03516	sfe:SFxv_2146
ko:K02401	sfe:SFxv_2148
ko:K01129	sfe:SFxv_2149
ko:K03414	sfe:SFxv_2154
ko:K03413	sfe:SFxv_2155
ko:K03412	sfe:SFxv_2156
ko:K05877	sfe:SFxv_2158
ko:K03408	sfe:SFxv_2160
ko:K03407	sfe:SFxv_2161
ko:K02557	sfe:SFxv_2162
ko:K02556	sfe:SFxv_2163
ko:K02402	sfe:SFxv_2164
ko:K02403	sfe:SFxv_2165
ko:K00697	sfe:SFxv_2167a
ko:K01087	sfe:SFxv_2168
ko:K10538	sfe:SFxv_2169
ko:K10539	sfe:SFxv_2170
ko:K02255	sfe:SFxv_2172
ko:K02217	sfe:SFxv_2179
ko:K03834	sfe:SFxv_2181
ko:K06194	sfe:SFxv_3033
ko:K00573	sfe:SFxv_3034
ko:K03787	sfe:SFxv_3035
ko:K06176	sfe:SFxv_3036
ko:K01770	sfe:SFxv_3037
ko:K00991	sfe:SFxv_3038
ko:K05589	sfe:SFxv_3039
ko:K00860	sfe:SFxv_3041
ko:K00957	sfe:SFxv_3043
ko:K09612	sfe:SFxv_3044
ko:K00390	sfe:SFxv_3047
ko:K00381	sfe:SFxv_3048
ko:K01737	sfe:SFxv_3050
ko:K00313	sfe:SFxv_3052
ko:K10026	sfe:SFxv_3060
ko:K01689	sfe:SFxv_3065
ko:K01937	sfe:SFxv_3066
ko:K03215	sfe:SFxv_3069
ko:K07678	sfe:SFxv_3070
ko:K01706	sfe:SFxv_3072
ko:K13918	sfe:SFxv_3073
ko:K06175	sfe:SFxv_3076
ko:K15723	sfe:SFxv_3078
ko:K06879	sfe:SFxv_3079
ko:K06966	sfe:SFxv_3080
ko:K12368	sfe:SFxv_3902
ko:K12975	sfe:SFxv_3904
ko:K08177	sfe:SFxv_3905
ko:K03826	sfe:SFxv_3908
ko:K03704	sfe:SFxv_3913
ko:K00428	sfe:SFxv_3918
ko:K01879	sfe:SFxv_3926
ko:K01878	sfe:SFxv_3927
ko:K10543	sfe:SFxv_3934
ko:K08092	sfe:SFxv_3943
ko:K03424	sfe:SFxv_4802
ko:K01839	sfe:SFxv_4808
ko:K01079	sfe:SFxv_4813
ko:K04485	sfe:SFxv_4814
ko:K06211	sfe:SFxv_4815
ko:K08309	sfe:SFxv_4817
ko:K03720	sfe:SFxv_4818
ko:K05804	sfe:SFxv_4822
ko:K05805	sfe:SFxv_4823
ko:K07663	sfe:SFxv_4824
ko:K07641	sfe:SFxv_4825
ko:K06143	sfe:SFxv_4826
ko:K07773	sfe:SFxv_4827
ko:K09474	sfe:SFxv_4833
ko:K03837	sfe:SFxv_3082
ko:K01752	sfe:SFxv_3083
ko:K01146	sfe:SFxv_3084
ko:K00048	sfe:SFxv_3085
ko:K01628	sfe:SFxv_3086
ko:K00138	sfe:SFxv_3952
ko:K13954	sfe:SFxv_3953
ko:K03833	sfe:SFxv_3954
ko:K01042	sfe:SFxv_3955
ko:K00009	sfe:SFxv_3961
ko:K02562	sfe:SFxv_3962
ko:K14762	sfe:SFxv_3964
ko:K00427	sfe:SFxv_3970
ko:K14348	sfe:SFxv_3971
ko:K03216	sfe:SFxv_3973
ko:K00640	sfe:SFxv_3974
ko:K00057	sfe:SFxv_3975
ko:K03071	sfe:SFxv_3976
ko:K15633	sfe:SFxv_3979
ko:K09798	sfe:SFxv_3981
ko:K00060	sfe:SFxv_3985
ko:K03274	sfe:SFxv_3988
ko:K02841	sfe:SFxv_3990
ko:K02847	sfe:SFxv_3991
ko:K02850	sfe:SFxv_3994
ko:K02848	sfe:SFxv_3996
ko:K02844	sfe:SFxv_3997
ko:K02527	sfe:SFxv_4001
ko:K00954	sfe:SFxv_4002
ko:K00286	sfe:SFxv_0362
ko:K00891	sfe:SFxv_0364
ko:K14591	sfe:SFxv_0366
ko:K09913	sfe:SFxv_0367
ko:K00645	sfe:SFxv_1248
ko:K02078	sfe:SFxv_1250
ko:K09458	sfe:SFxv_1251
ko:K07082	sfe:SFxv_1253
ko:K00943	sfe:SFxv_1254
ko:K02341	sfe:SFxv_1255
ko:K03424	sfe:SFxv_1256
ko:K07337	sfe:SFxv_1262
ko:K07251	sfe:SFxv_1263
ko:K01207	sfe:SFxv_1264
ko:K07000	sfe:SFxv_1265
ko:K03885	sfe:SFxv_1266
ko:K12151	sfe:SFxv_1269
ko:K03723	sfe:SFxv_1271
ko:K09808	sfe:SFxv_1273
ko:K12410	sfe:SFxv_1277
ko:K07637	sfe:SFxv_1309
ko:K07039	sfe:SFxv_2183
ko:K00995	sfe:SFxv_2184
ko:K03703	sfe:SFxv_2185
ko:K07689	sfe:SFxv_2186
ko:K10010	sfe:SFxv_2189
ko:K10009	sfe:SFxv_2190
ko:K02424	sfe:SFxv_2192
ko:K02425	sfe:SFxv_2193
ko:K02406	sfe:SFxv_2195
ko:K02407	sfe:SFxv_2196
ko:K02422	sfe:SFxv_2197
ko:K02423	sfe:SFxv_2198
ko:K07112	sfe:SFxv_2201
ko:K02408	sfe:SFxv_2211
ko:K02410	sfe:SFxv_2213
ko:K02411	sfe:SFxv_2214
ko:K02412	sfe:SFxv_2215
ko:K02413	sfe:SFxv_2216
ko:K02415	sfe:SFxv_2218
ko:K02416	sfe:SFxv_2219
ko:K02417	sfe:SFxv_2220
ko:K02418	sfe:SFxv_2221
ko:K02420	sfe:SFxv_2223
ko:K02421	sfe:SFxv_2224
ko:K07781	sfe:SFxv_2225
ko:K09781	sfe:SFxv_2231
ko:K07458	sfe:SFxv_2233
ko:K06950	sfe:SFxv_2235
ko:K02429	sfe:SFxv_3088
ko:K01818	sfe:SFxv_3089
ko:K02431	sfe:SFxv_3091
ko:K02430	sfe:SFxv_3092
ko:K06968	sfe:SFxv_3093
ko:K01766	sfe:SFxv_3097
ko:K02426	sfe:SFxv_3098
ko:K08304	sfe:SFxv_3100
ko:K01448	sfe:SFxv_3101
ko:K14682	sfe:SFxv_3102
ko:K03581	sfe:SFxv_3103
ko:K03582	sfe:SFxv_3104
ko:K01407	sfe:SFxv_3105
ko:K03583	sfe:SFxv_3106
ko:K02681	sfe:SFxv_3107
ko:K02680	sfe:SFxv_3109
ko:K13292	sfe:SFxv_3112
ko:K08484	sfe:SFxv_3113
ko:K08311	sfe:SFxv_3114
ko:K03573	sfe:SFxv_3116
ko:K08227	sfe:SFxv_3120
ko:K05939	sfe:SFxv_3121
ko:K02529	sfe:SFxv_3122
ko:K01586	sfe:SFxv_3123
ko:K01815	sfe:SFxv_3127
ko:K02913	sfe:SFxv_4004
ko:K02902	sfe:SFxv_4005
ko:K03630	sfe:SFxv_4006
ko:K13038	sfe:SFxv_4007
ko:K00989	sfe:SFxv_4011
ko:K05501	sfe:SFxv_4009
ko:K00762	sfe:SFxv_4010
ko:K01972	sfe:SFxv_4015
ko:K00942	sfe:SFxv_4016
ko:K03060	sfe:SFxv_4017
ko:K00556	sfe:SFxv_4019
ko:K03655	sfe:SFxv_4020
ko:K03312	sfe:SFxv_4021
ko:K01811	sfe:SFxv_4024
ko:K03897	sfe:SFxv_4051
ko:K07347	sfe:SFxv_4059
ko:K02040	sfe:SFxv_4062
ko:K02037	sfe:SFxv_4063
ko:K02038	sfe:SFxv_4064
ko:K02036	sfe:SFxv_4065
ko:K02039	sfe:SFxv_4066
ko:K02445	sfe:SFxv_4921
ko:K03554	sfe:SFxv_0371
ko:K00847	sfe:SFxv_0370
ko:K03547	sfe:SFxv_0375
ko:K07636	sfe:SFxv_0377
ko:K03311	sfe:SFxv_0378
ko:K11736	sfe:SFxv_0379
ko:K08682	sfe:SFxv_0381
ko:K07568	sfe:SFxv_0382
ko:K00773	sfe:SFxv_0383
ko:K03210	sfe:SFxv_0384
ko:K03072	sfe:SFxv_0385
ko:K03074	sfe:SFxv_0386
ko:K05517	sfe:SFxv_0388
ko:K07738	sfe:SFxv_0390
ko:K11752	sfe:SFxv_0391
ko:K00794	sfe:SFxv_0392
ko:K03625	sfe:SFxv_0393
ko:K00946	sfe:SFxv_0394
ko:K01095	sfe:SFxv_0395
ko:K01662	sfe:SFxv_0397
ko:K00795	sfe:SFxv_0398
ko:K03602	sfe:SFxv_0399
ko:K03151	sfe:SFxv_0400
ko:K03152	sfe:SFxv_0402
ko:K00077	sfe:SFxv_0403
ko:K09767	sfe:SFxv_0404
ko:K02300	sfe:SFxv_0411
ko:K02299	sfe:SFxv_0412
ko:K02297	sfe:SFxv_0415
ko:K08218	sfe:SFxv_0420
ko:K07286	sfe:SFxv_0421
ko:K05527	sfe:SFxv_0422
ko:K03545	sfe:SFxv_0424
ko:K01358	sfe:SFxv_0425
ko:K03544	sfe:SFxv_0426
ko:K01756	sfe:SFxv_1311
ko:K07153	sfe:SFxv_1312
ko:K00566	sfe:SFxv_1313
ko:K12152	sfe:SFxv_1314
ko:K06181	sfe:SFxv_1315
ko:K00031	sfe:SFxv_1316
ko:K03608	sfe:SFxv_1330
ko:K03609	sfe:SFxv_1331
ko:K03610	sfe:SFxv_1332
ko:K09902	sfe:SFxv_1341
ko:K09160	sfe:SFxv_1343
ko:K03611	sfe:SFxv_1348
ko:K03314	sfe:SFxv_1349
ko:K03603	sfe:SFxv_1350
ko:K00285	sfe:SFxv_1352
ko:K01775	sfe:SFxv_1353
ko:K08308	sfe:SFxv_1356
ko:K03813	sfe:SFxv_1361
ko:K02013	sfe:SFxv_1363
ko:K02015	sfe:SFxv_1364
ko:K02016	sfe:SFxv_1365
ko:K05523	sfe:SFxv_2246
ko:K07127	sfe:SFxv_2249
ko:K07462	sfe:SFxv_3157
ko:K03981	sfe:SFxv_3158
ko:K03840	sfe:SFxv_3160
ko:K09159	sfe:SFxv_3162
ko:K06980	sfe:SFxv_3163
ko:K11068	sfe:SFxv_3164
ko:K09900	sfe:SFxv_3165
ko:K01223	sfe:SFxv_3166
ko:K00281	sfe:SFxv_3168
ko:K02437	sfe:SFxv_3169
ko:K00605	sfe:SFxv_3170
ko:K09933	sfe:SFxv_2281
ko:K01241	sfe:SFxv_2287
ko:K13635	sfe:SFxv_2290
ko:K13480	sfe:SFxv_3143
ko:K04567	sfe:SFxv_3154
ko:K02836	sfe:SFxv_3155
ko:K04043	sfe:SFxv_0013
ko:K03686	sfe:SFxv_0014
ko:K03313	sfe:SFxv_0017
ko:K03717	sfe:SFxv_0018
ko:K02968	sfe:SFxv_0021
ko:K11753	sfe:SFxv_0023
ko:K01870	sfe:SFxv_0024
ko:K03101	sfe:SFxv_0025
ko:K03774	sfe:SFxv_0026
ko:K03527	sfe:SFxv_0027
ko:K12700	sfe:SFxv_0028
ko:K00215	sfe:SFxv_0029
ko:K01956	sfe:SFxv_0030
ko:K01955	sfe:SFxv_0031
ko:K08277	sfe:SFxv_0032
ko:K02182	sfe:SFxv_0035
ko:K08298	sfe:SFxv_0036
ko:K08297	sfe:SFxv_0037
ko:K05245	sfe:SFxv_0038
ko:K09710	sfe:SFxv_0711
ko:K00783	sfe:SFxv_0712
ko:K05515	sfe:SFxv_0713
ko:K05837	sfe:SFxv_0714
ko:K03642	sfe:SFxv_0715
ko:K09158	sfe:SFxv_0717
ko:K03801	sfe:SFxv_0718
ko:K03644	sfe:SFxv_0720
ko:K06199	sfe:SFxv_0723
ko:K03704	sfe:SFxv_0724
ko:K12973	sfe:SFxv_0725
ko:K07702	sfe:SFxv_0727
ko:K05779	sfe:SFxv_1657
ko:K01142	sfe:SFxv_1666
ko:K00673	sfe:SFxv_1669
ko:K06447	sfe:SFxv_1670
ko:K05526	sfe:SFxv_1672
ko:K09975	sfe:SFxv_1674
ko:K05984	sfe:SFxv_1675
ko:K04064	sfe:SFxv_1677
ko:K02760	sfe:SFxv_1678
ko:K02761	sfe:SFxv_1679
ko:K02759	sfe:SFxv_1680
ko:K03490	sfe:SFxv_1681
ko:K07038	sfe:SFxv_1685
ko:K01868	sfe:SFxv_1696
ko:K02520	sfe:SFxv_1697
ko:K02916	sfe:SFxv_1698
ko:K02887	sfe:SFxv_1699
ko:K01889	sfe:SFxv_1700
ko:K01890	sfe:SFxv_1701
ko:K04764	sfe:SFxv_1702
ko:K06073	sfe:SFxv_1703
ko:K00432	sfe:SFxv_1704
ko:K06074	sfe:SFxv_1705
ko:K01626	sfe:SFxv_1710
ko:K09773	sfe:SFxv_1711
ko:K12507	sfe:SFxv_1713
ko:K02551	sfe:SFxv_2587
ko:K05594	sfe:SFxv_2589
ko:K00343	sfe:SFxv_2596
ko:K00342	sfe:SFxv_2597
ko:K00341	sfe:SFxv_2598
ko:K00340	sfe:SFxv_2599
ko:K00339	sfe:SFxv_2600
ko:K03185	sfe:SFxv_3172
ko:K09895	sfe:SFxv_3174
ko:K09888	sfe:SFxv_3175
ko:K01807	sfe:SFxv_3179
ko:K05596	sfe:SFxv_3180
ko:K11264	sfe:SFxv_3183
ko:K09807	sfe:SFxv_3186
ko:K06895	sfe:SFxv_3187
ko:K01624	sfe:SFxv_3189
ko:K00927	sfe:SFxv_3190
ko:K03472	sfe:SFxv_3191
ko:K01223	sfe:SFxv_4069
ko:K06901	sfe:SFxv_4072
ko:K08163	sfe:SFxv_4079
ko:K03836	sfe:SFxv_4080
ko:K01667	sfe:SFxv_4081
ko:K03650	sfe:SFxv_4085
ko:K03217	sfe:SFxv_4086
ko:K08998	sfe:SFxv_4087
ko:K03536	sfe:SFxv_4088
ko:K02313	sfe:SFxv_4090
ko:K02338	sfe:SFxv_4091
ko:K03629	sfe:SFxv_4092
ko:K02470	sfe:SFxv_4093
ko:K00883	sfe:SFxv_4098
ko:K04080	sfe:SFxv_4105
ko:K04081	sfe:SFxv_4106
ko:K07085	sfe:SFxv_4108
ko:K03482	sfe:SFxv_4109
ko:K02749	sfe:SFxv_4110
ko:K02750	sfe:SFxv_4110
ko:K06871	sfe:SFxv_4117
ko:K01652	sfe:SFxv_4122
ko:K01653	sfe:SFxv_4123
ko:K07783	sfe:SFxv_4126
ko:K01486	sfe:SFxv_4128
ko:K06901	sfe:SFxv_4129
ko:K03221	sfe:SFxv_4980
ko:K03230	sfe:SFxv_4990
ko:K03225	sfe:SFxv_4995
ko:K00338	sfe:SFxv_2601
ko:K00337	sfe:SFxv_2602
ko:K00334	sfe:SFxv_2605
ko:K13378	sfe:SFxv_2606
ko:K00331	sfe:SFxv_2607
ko:K00330	sfe:SFxv_2608
ko:K14260	sfe:SFxv_2611
ko:K09161	sfe:SFxv_2615
ko:K09899	sfe:SFxv_2616
ko:K00925	sfe:SFxv_2617
ko:K13788	sfe:SFxv_2618
ko:K07095	sfe:SFxv_2621
ko:K07589	sfe:SFxv_2624
ko:K07071	sfe:SFxv_2625
ko:K10017	sfe:SFxv_2627
ko:K10015	sfe:SFxv_2628
ko:K10016	sfe:SFxv_2629
ko:K03186	sfe:SFxv_2632
ko:K00764	sfe:SFxv_2633
ko:K03558	sfe:SFxv_2634
ko:K03749	sfe:SFxv_2635
ko:K11754	sfe:SFxv_2636
ko:K01963	sfe:SFxv_2637
ko:K03975	sfe:SFxv_2638
ko:K07460	sfe:SFxv_3501
ko:K07089	sfe:SFxv_3504
ko:K05520	sfe:SFxv_3506
ko:K09979	sfe:SFxv_3507
ko:K07461	sfe:SFxv_3508
ko:K03824	sfe:SFxv_3509
ko:K08303	sfe:SFxv_3511
ko:K03835	sfe:SFxv_3514
ko:K05592	sfe:SFxv_3516
ko:K05803	sfe:SFxv_3517
ko:K00962	sfe:SFxv_3518
ko:K02956	sfe:SFxv_3519
ko:K02834	sfe:SFxv_3521
ko:K02519	sfe:SFxv_3522
ko:K02600	sfe:SFxv_3523
ko:K09748	sfe:SFxv_3524
ko:K01940	sfe:SFxv_3526
ko:K03075	sfe:SFxv_3528
ko:K03431	sfe:SFxv_3529
ko:K00796	sfe:SFxv_3530
ko:K03798	sfe:SFxv_3531
ko:K07574	sfe:SFxv_3533
ko:K03624	sfe:SFxv_3534
ko:K07259	sfe:SFxv_3535
ko:K03979	sfe:SFxv_3536
ko:K02899	sfe:SFxv_3538
ko:K02888	sfe:SFxv_3539
ko:K02523	sfe:SFxv_3540
ko:K00790	sfe:SFxv_3542
ko:K07122	sfe:SFxv_3544
ko:K07323	sfe:SFxv_3545
ko:K02066	sfe:SFxv_3547
ko:K02065	sfe:SFxv_3548
ko:K01338	sfe:SFxv_0427
ko:K03530	sfe:SFxv_0428
ko:K03770	sfe:SFxv_0429
ko:K02237	sfe:SFxv_0430
ko:K12500	sfe:SFxv_0431
ko:K06920	sfe:SFxv_0432
ko:K11938	sfe:SFxv_0434
ko:K05800	sfe:SFxv_0435
ko:K04752	sfe:SFxv_0439
ko:K03320	sfe:SFxv_0440
ko:K10805	sfe:SFxv_0441
ko:K09914	sfe:SFxv_0442
ko:K07443	sfe:SFxv_0444
ko:K03577	sfe:SFxv_0454
ko:K05802	sfe:SFxv_0455
ko:K09790	sfe:SFxv_0458
ko:K00759	sfe:SFxv_0459
ko:K02343	sfe:SFxv_0460
ko:K09747	sfe:SFxv_0461
ko:K06187	sfe:SFxv_0462
ko:K04079	sfe:SFxv_0463
ko:K01772	sfe:SFxv_0465
ko:K00892	sfe:SFxv_0467
ko:K08223	sfe:SFxv_0469
ko:K05878	sfe:SFxv_1374
ko:K05880	sfe:SFxv_1375
ko:K06942	sfe:SFxv_1378
ko:K01056	sfe:SFxv_1379
ko:K03321	sfe:SFxv_1381
ko:K00948	sfe:SFxv_1382
ko:K00919	sfe:SFxv_1383
ko:K02494	sfe:SFxv_1384
ko:K02492	sfe:SFxv_1385
ko:K02835	sfe:SFxv_1386
ko:K02493	sfe:SFxv_1387
ko:K01627	sfe:SFxv_1390
ko:K07300	sfe:SFxv_1391
ko:K09973	sfe:SFxv_0472
ko:K01425	sfe:SFxv_0475
ko:K07340	sfe:SFxv_0478
ko:K02068	sfe:SFxv_0480
ko:K02069	sfe:SFxv_0481
ko:K05838	sfe:SFxv_0482
ko:K01194	sfe:SFxv_1371
ko:K05881	sfe:SFxv_1372
ko:K05879	sfe:SFxv_1373
ko:K07673	sfe:SFxv_1397
ko:K02575	sfe:SFxv_1399
ko:K00370	sfe:SFxv_1400
ko:K07301	sfe:SFxv_3549
ko:K06041	sfe:SFxv_3550
ko:K03270	sfe:SFxv_3551
ko:K11719	sfe:SFxv_3552
ko:K09774	sfe:SFxv_3553
ko:K01776	sfe:SFxv_4412
ko:K00075	sfe:SFxv_4415
ko:K03524	sfe:SFxv_4416
ko:K02358	sfe:SFxv_4420
ko:K03073	sfe:SFxv_4421
ko:K02601	sfe:SFxv_4422
ko:K02867	sfe:SFxv_4423
ko:K02863	sfe:SFxv_4424
ko:K02864	sfe:SFxv_4425
ko:K02935	sfe:SFxv_4426
ko:K03043	sfe:SFxv_4427
ko:K03046	sfe:SFxv_4428
ko:K03150	sfe:SFxv_4429
ko:K03149	sfe:SFxv_4430
ko:K00788	sfe:SFxv_4432
ko:K03147	sfe:SFxv_4433
ko:K07740	sfe:SFxv_4434
ko:K03426	sfe:SFxv_4435
ko:K05982	sfe:SFxv_4437
ko:K09891	sfe:SFxv_4438
ko:K05787	sfe:SFxv_4439
ko:K07803	sfe:SFxv_4441
ko:K01945	sfe:SFxv_4444
ko:K00602	sfe:SFxv_4445
ko:K03827	sfe:SFxv_4448
ko:K00651	sfe:SFxv_4449
ko:K01637	sfe:SFxv_4451
ko:K03324	sfe:SFxv_4456
ko:K05995	sfe:SFxv_4457
ko:K03521	sfe:SFxv_0039
ko:K00313	sfe:SFxv_0041
ko:K08368	sfe:SFxv_0043
ko:K11746	sfe:SFxv_0044
ko:K06195	sfe:SFxv_0049
ko:K02528	sfe:SFxv_0050
ko:K00371	sfe:SFxv_1401
ko:K00373	sfe:SFxv_1402
ko:K01433	sfe:SFxv_1405
ko:K09858	sfe:SFxv_1406
ko:K07001	sfe:SFxv_1407
ko:K00963	sfe:SFxv_1409
ko:K04072	sfe:SFxv_1413
ko:K15580	sfe:SFxv_1417
ko:K15581	sfe:SFxv_1418
ko:K00768	sfe:SFxv_2293
ko:K02233	sfe:SFxv_2294
ko:K02231	sfe:SFxv_2295
ko:K01141	sfe:SFxv_2306
ko:K07112	sfe:SFxv_2308
ko:K00765	sfe:SFxv_2316
ko:K00013	sfe:SFxv_2317
ko:K00817	sfe:SFxv_2318
ko:K01089	sfe:SFxv_2319
ko:K02501	sfe:SFxv_2320
ko:K01814	sfe:SFxv_2321
ko:K02500	sfe:SFxv_2322
ko:K11755	sfe:SFxv_2323
ko:K05789	sfe:SFxv_2324
ko:K12990	sfe:SFxv_2335
ko:K01790	sfe:SFxv_2337
ko:K00973	sfe:SFxv_2338
ko:K00067	sfe:SFxv_2339
ko:K00963	sfe:SFxv_2341
ko:K00615	sfe:SFxv_3204
ko:K07387	sfe:SFxv_3205
ko:K00789	sfe:SFxv_3214
ko:K08137	sfe:SFxv_3215
ko:K02742	sfe:SFxv_3216
ko:K01150	sfe:SFxv_3217
ko:K09761	sfe:SFxv_3218
ko:K01920	sfe:SFxv_3219
ko:K07735	sfe:SFxv_3220
ko:K07447	sfe:SFxv_3221
ko:K02669	sfe:SFxv_3223
ko:K06997	sfe:SFxv_3222
ko:K02221	sfe:SFxv_3224
ko:K09923	sfe:SFxv_3235
