ko:K10773	nmn:NMCC_0472
ko:K00991	nmn:NMCC_1418
ko:K00925	nmn:NMCC_1423
ko:K04084	nmn:NMCC_1425
ko:K03775	nmn:NMCC_1428
ko:K03664	nmn:NMCC_1432
ko:K02843	nmn:NMCC_1433
ko:K01439	nmn:NMCC_1438
ko:K08310	nmn:NMCC_0590
ko:K03623	nmn:NMCC_0594
ko:K03806	nmn:NMCC_0621
ko:K07082	nmn:NMCC_0622
ko:K00943	nmn:NMCC_0623
ko:K00912	nmn:NMCC_0626
ko:K09924	nmn:NMCC_0627
ko:K09791	nmn:NMCC_0628
ko:K00979	nmn:NMCC_0629
ko:K01465	nmn:NMCC_0639
ko:K03625	nmn:NMCC_0640
ko:K01817	nmn:NMCC_0646
ko:K04760	nmn:NMCC_0647
ko:K05527	nmn:NMCC_1798
ko:K00764	nmn:NMCC_0648
ko:K03558	nmn:NMCC_0650
ko:K01937	nmn:NMCC_1456
ko:K00566	nmn:NMCC_1458
ko:K01920	nmn:NMCC_1461
ko:K01886	nmn:NMCC_1462
ko:K02444	nmn:NMCC_1463
ko:K11175	nmn:NMCC_1469
ko:K03086	nmn:NMCC_1446
ko:K01756	nmn:NMCC_1861
ko:K01507	nmn:NMCC_0589
ko:K03466	nmn:NMCC_1226
ko:K03474	nmn:NMCC_1695
ko:K07552	nmn:NMCC_1698
ko:K03694	nmn:NMCC_0794
ko:K03704	nmn:NMCC_0796
ko:K00981	nmn:NMCC_1967
ko:K00099	nmn:NMCC_1968
ko:K07277	nmn:NMCC_1970
ko:K06142	nmn:NMCC_1971
ko:K02536	nmn:NMCC_1972
ko:K02372	nmn:NMCC_1973
ko:K03310	nmn:NMCC_1975
ko:K00285	nmn:NMCC_1976
ko:K07238	nmn:NMCC_1977
ko:K01873	nmn:NMCC_1978
ko:K04761	nmn:NMCC_1979
ko:K02518	nmn:NMCC_1987b
ko:K02895	nmn:NMCC_1995
ko:K02965	nmn:NMCC_2001
ko:K02355	nmn:NMCC_2009
ko:K02950	nmn:NMCC_2011
ko:K01894	nmn:NMCC_1793
ko:K01890	nmn:NMCC_0687
ko:K03767	nmn:NMCC_1174
ko:K03553	nmn:NMCC_1356
ko:K00528	nmn:NMCC_1362
ko:K02342	nmn:NMCC_1363
ko:K09926	nmn:NMCC_1367
ko:K00615	nmn:NMCC_1370
ko:K07058	nmn:NMCC_0461
ko:K06920	nmn:NMCC_0462
ko:K01737	nmn:NMCC_0464
ko:K03981	nmn:NMCC_0492
ko:K03688	nmn:NMCC_0505
ko:K00640	nmn:NMCC_0506
ko:K05952	nmn:NMCC_0508
ko:K03734	nmn:NMCC_0509
ko:K09790	nmn:NMCC_0517
ko:K09941	nmn:NMCC_0518
ko:K00605	nmn:NMCC_0520
ko:K02492	nmn:NMCC_0522
ko:K01821	nmn:NMCC_1386
ko:K06958	nmn:NMCC_0698
ko:K04751	nmn:NMCC_0210
ko:K00832	nmn:NMCC_1591
ko:K01104	nmn:NMCC_1177
ko:K03431	nmn:NMCC_1603
ko:K00796	nmn:NMCC_1604
ko:K03182	nmn:NMCC_1607
ko:K09458	nmn:NMCC_1613
ko:K03308	nmn:NMCC_1617
ko:K03734	nmn:NMCC_1618
ko:K00560	nmn:NMCC_1620
ko:K03577	nmn:NMCC_1629
ko:K00406	nmn:NMCC_1635
ko:K00962	nmn:NMCC_0722
ko:K09792	nmn:NMCC_0723
ko:K01778	nmn:NMCC_0725
ko:K01738	nmn:NMCC_0727
ko:K03100	nmn:NMCC_0729
ko:K03596	nmn:NMCC_0730
ko:K02670	nmn:NMCC_0732
ko:K02676	nmn:NMCC_0734
ko:K03424	nmn:NMCC_0735
ko:K07390	nmn:NMCC_0736
ko:K00761	nmn:NMCC_0738
ko:K01719	nmn:NMCC_0741
ko:K02496	nmn:NMCC_0742
ko:K07043	nmn:NMCC_0163
ko:K00655	nmn:NMCC_0164
ko:K02204	nmn:NMCC_0170
ko:K00851	nmn:NMCC_0171
ko:K03299	nmn:NMCC_0172
ko:K02063	nmn:NMCC_0173
ko:K00969	nmn:NMCC_0175
ko:K09710	nmn:NMCC_0176
ko:K00783	nmn:NMCC_0177
ko:K00954	nmn:NMCC_0180
ko:K06177	nmn:NMCC_0181
ko:K03578	nmn:NMCC_0194
ko:K03578	nmn:NMCC_0197
ko:K04762	nmn:NMCC_1057
ko:K03437	nmn:NMCC_1060
ko:K02558	nmn:NMCC_1065
ko:K00658	nmn:NMCC_0899
ko:K03841	nmn:NMCC_0976
ko:K01091	nmn:NMCC_0392
ko:K01091	nmn:NMCC_1390
ko:K02116	nmn:NMCC_0277
ko:K03574	nmn:NMCC_1691
ko:K01525	nmn:NMCC_0615
ko:K00262	nmn:NMCC_1621
ko:K00523	nmn:NMCC_1270
ko:K12340	nmn:NMCC_1650
ko:K02429	nmn:NMCC_0475
ko:K06189	nmn:NMCC_0477
ko:K01749	nmn:NMCC_0478
ko:K01588	nmn:NMCC_1349
ko:K09747	nmn:NMCC_1355
ko:K03820	nmn:NMCC_0672
ko:K03501	nmn:NMCC_1961
ko:K01916	nmn:NMCC_1275
ko:K11754	nmn:NMCC_0652
ko:K09810	nmn:NMCC_1115
ko:K02237	nmn:NMCC_0064
ko:K00260	nmn:NMCC_1388
ko:K02483	nmn:NMCC_0541
ko:K11189	nmn:NMCC_0141
ko:K01259	nmn:NMCC_0870
ko:K04763	nmn:NMCC_0715
ko:K01881	nmn:NMCC_1252
ko:K00627	nmn:NMCC_1255
ko:K09977	nmn:NMCC_1261
ko:K09952	nmn:NMCC_0397
ko:K07053	nmn:NMCC_0401
ko:K07738	nmn:NMCC_0412
ko:K01735	nmn:NMCC_0414
ko:K00891	nmn:NMCC_0415
ko:K02666	nmn:NMCC_0416
ko:K02665	nmn:NMCC_0417
ko:K02662	nmn:NMCC_0420
ko:K03978	nmn:NMCC_0422
ko:K07399	nmn:NMCC_0424
ko:K01409	nmn:NMCC_0426
ko:K02517	nmn:NMCC_0427
ko:K00789	nmn:NMCC_0428
ko:K07259	nmn:NMCC_0431
ko:K03300	nmn:NMCC_0433
ko:K07645	nmn:NMCC_0434
ko:K08301	nmn:NMCC_0435
ko:K03676	nmn:NMCC_0436
ko:K03071	nmn:NMCC_0437
ko:K00145	nmn:NMCC_0439
ko:K03733	nmn:NMCC_0353
ko:K01579	nmn:NMCC_1195
ko:K00813	nmn:NMCC_0481
ko:K05805	nmn:NMCC_1248
ko:K07735	nmn:NMCC_1249
ko:K00821	nmn:NMCC_1283
ko:K01874	nmn:NMCC_0031
ko:K03575	nmn:NMCC_1311
ko:K01867	nmn:NMCC_1383
ko:K01869	nmn:NMCC_0323
ko:K01679	nmn:NMCC_1371
ko:K03789	nmn:NMCC_0349
ko:K03554	nmn:NMCC_0809
ko:K04043	nmn:NMCC_0500
ko:K11085	nmn:NMCC_0300
ko:K06213	nmn:NMCC_0206
ko:K03070	nmn:NMCC_1444
ko:K03271	nmn:NMCC_2055
ko:K09811	nmn:NMCC_0008
ko:K03496	nmn:NMCC_1960
ko:K00826	nmn:NMCC_1806
ko:K07862	nmn:NMCC_2090
ko:K02356	nmn:NMCC_0880
ko:K00088	nmn:NMCC_1084
ko:K00817	nmn:NMCC_1486
ko:K01951	nmn:NMCC_0299
ko:K01676	nmn:NMCC_1519
ko:K01814	nmn:NMCC_0577
ko:K00760	nmn:NMCC_0139
ko:K11068	nmn:NMCC_1546
ko:K00342	nmn:NMCC_1888
ko:K03075	nmn:NMCC_0333
ko:K00013	nmn:NMCC_1485
ko:K01424	nmn:NMCC_1601
ko:K01744	nmn:NMCC_1166
ko:K06024	nmn:NMCC_0700
ko:K01755	nmn:NMCC_0585
ko:K03529	nmn:NMCC_0486
ko:K05896	nmn:NMCC_1409
ko:K01338	nmn:NMCC_1112
ko:K00240	nmn:NMCC_0895
ko:K00343	nmn:NMCC_1887
ko:K00957	nmn:NMCC_1072
ko:K01887	nmn:NMCC_1411
ko:K01682	nmn:NMCC_1475
ko:K02653	nmn:NMCC_1810
ko:K03076	nmn:NMCC_1988
ko:K01673	nmn:NMCC_0174
ko:K03778	nmn:NMCC_1598
ko:K03424	nmn:NMCC_1600
ko:K03273	nmn:NMCC_0166
ko:K09125	nmn:NMCC_1828
ko:K03719	nmn:NMCC_0519
ko:K03561	nmn:NMCC_1642
ko:K03711	nmn:NMCC_1944
ko:K00031	nmn:NMCC_0861
ko:K01625	nmn:NMCC_1309
ko:K07122	nmn:NMCC_0253
ko:K01154	nmn:NMCC_1141
ko:K01759	nmn:NMCC_1802
ko:K11749	nmn:NMCC_1969
ko:K07726	nmn:NMCC_0329
ko:K02671	nmn:NMCC_0849
ko:K01207	nmn:NMCC_0468
ko:K07288	nmn:NMCC_1801
ko:K00983	nmn:NMCC_0077
ko:K01654	nmn:NMCC_0076
ko:K12500	nmn:NMCC_0256
ko:K00785	nmn:NMCC_0863
ko:K21345	nmn:NMCC_0111
ko:K07126	nmn:NMCC_1242
ko:K07126	nmn:NMCC_0092
ko:K03446	nmn:NMCC_1825
ko:K00558	nmn:NMCC_1203
ko:K00558	nmn:NMCC_1094
ko:K01659	nmn:NMCC_1714
ko:K01515	nmn:NMCC_0980
ko:K04042	nmn:NMCC_0039
ko:K12267	nmn:NMCC_0045
ko:K00602	nmn:NMCC_0926
ko:K07215	nmn:NMCC_1580
ko:K06969	nmn:NMCC_1278
ko:K00459	nmn:NMCC_1366
ko:K00748	nmn:NMCC_1949
ko:K05595	nmn:NMCC_1265
ko:K01497	nmn:NMCC_1137
ko:K13292	nmn:NMCC_0990
ko:K01897	nmn:NMCC_1187
ko:K00568	nmn:NMCC_0169
ko:K11753	nmn:NMCC_0388
ko:K01069	nmn:NMCC_0208
ko:K04487	nmn:NMCC_1293
ko:K01785	nmn:NMCC_1754
ko:K00059	nmn:NMCC_0298
ko:K01947	nmn:NMCC_0112
ko:K06168	nmn:NMCC_0355
ko:K03417	nmn:NMCC_1715
ko:K02302	nmn:NMCC_1074
ko:K01358	nmn:NMCC_1224
ko:K01243	nmn:NMCC_0731
ko:K04755	nmn:NMCC_1054
ko:K11004	nmn:NMCC_1317
ko:K01835	nmn:NMCC_0756
ko:K11003	nmn:NMCC_1651
ko:K07090	nmn:NMCC_1693
ko:K11928	nmn:NMCC_1743
ko:K05799	nmn:NMCC_1623
ko:K11720	nmn:NMCC_1474
ko:K01710	nmn:NMCC_0071
ko:K01897	nmn:NMCC_1457
ko:K01092	nmn:NMCC_1259
ko:K01092	nmn:NMCC_0294
ko:K12246	nmn:NMCC_0075
ko:K01058	nmn:NMCC_1678
ko:K11752	nmn:NMCC_0411
ko:K01533	nmn:NMCC_1153
ko:K01322	nmn:NMCC_0344
ko:K01784	nmn:NMCC_0072
ko:K01784	nmn:NMCC_0086
ko:K00956	nmn:NMCC_1071
ko:K05685	nmn:NMCC_0491
ko:K01079	nmn:NMCC_0924
ko:K01961	nmn:NMCC_0360
ko:K01491	nmn:NMCC_0107
ko:K06891	nmn:NMCC_0795
ko:K13288	nmn:NMCC_0358
ko:K00215	nmn:NMCC_1945
ko:K02503	nmn:NMCC_0548
ko:K13788	nmn:NMCC_0579
ko:K07131	nmn:NMCC_1663
ko:K02664	nmn:NMCC_0418
ko:K09806	nmn:NMCC_1742
ko:K00620	nmn:NMCC_0199
ko:K00020	nmn:NMCC_1488
ko:K01347	nmn:NMCC_0223
ko:K01347	nmn:NMCC_0659
ko:K12690	nmn:NMCC_0935
ko:K13038	nmn:NMCC_1568
ko:K12573	nmn:NMCC_1082
ko:K13628	nmn:NMCC_1296
ko:K00835	nmn:NMCC_0402
ko:K00652	nmn:NMCC_1670
ko:K02484	nmn:NMCC_0540
ko:K14058	nmn:NMCC_1172
ko:K13953	nmn:NMCC_0488
ko:K13821	nmn:NMCC_1744
ko:K03342	nmn:NMCC_0243
ko:K00027	nmn:NMCC_0624
ko:K13888	nmn:NMCC_0490
ko:K00297	nmn:NMCC_0886
ko:K01420	nmn:NMCC_1761
ko:K02663	nmn:NMCC_0419
ko:K09457	nmn:NMCC_1827
ko:K08305	nmn:NMCC_1191
ko:K00281	nmn:NMCC_1587
ko:K12688	nmn:NMCC_0244
ko:K03500	nmn:NMCC_1262
ko:K07397	nmn:NMCC_1467
ko:K07025	nmn:NMCC_0041
ko:K12942	nmn:NMCC_1631
ko:K02077	nmn:NMCC_0532
ko:K13634	nmn:NMCC_1760
ko:K13643	nmn:NMCC_1291
ko:K01156	nmn:NMCC_1289
ko:K08281	nmn:NMCC_2116
ko:K00407	nmn:NMCC_1636
ko:K07248	nmn:NMCC_0245
ko:K00557	nmn:NMCC_1592
ko:K00657	nmn:NMCC_1622
ko:K09968	nmn:NMCC_1484
ko:K07491	nmn:NMCC_0297
ko:K00121	nmn:NMCC_1217
ko:K08978	nmn:NMCC_0382
ko:K07126	nmn:NMCC_1725
ko:K14237	nmn:NMCC_1936
ko:K14237	nmn:NMCC_1938
ko:K14232	nmn:NMCC_0467
ko:K14228	nmn:NMCC_1135
ko:K18929	nmn:NMCC_1348
ko:K14228	nmn:NMCC_0332
ko:K14228	nmn:NMCC_1481
ko:K14218	nmn:NMCC_1737
ko:K01070	nmn:NMCC_1218
ko:K02673	nmn:NMCC_0851
ko:K09951	nmn:NMCC_0394
ko:K13771	nmn:NMCC_1709
ko:K07486	nmn:NMCC_1745
ko:K07486	nmn:NMCC_0927
ko:K01934	nmn:NMCC_2063
ko:K09789	nmn:NMCC_1669
ko:K07491	nmn:NMCC_0904
ko:K14220	nmn:NMCC_1435
ko:K14220	nmn:NMCC_1662
ko:K00941	nmn:NMCC_1525
ko:K14236	nmn:NMCC_2024
ko:K14233	nmn:NMCC_0857
ko:K14228	nmn:NMCC_1081
ko:K14228	nmn:NMCC_1080
ko:K01139	nmn:NMCC_1569
ko:K06992	nmn:NMCC_2049
ko:K06992	nmn:NMCC_0813
ko:K14232	nmn:NMCC_0591
ko:K14234	nmn:NMCC_2022
ko:K01760	nmn:NMCC_0767
ko:K04517	nmn:NMCC_1706
ko:K02074	nmn:NMCC_0534
ko:K02075	nmn:NMCC_0533
ko:K14224	nmn:NMCC_1524
ko:K07497	nmn:NMCC_1092
ko:K14233	nmn:NMCC_0633
ko:K14233	nmn:NMCC_0858
ko:K14219	nmn:NMCC_1815
ko:K14221	nmn:NMCC_1935
ko:K14221	nmn:NMCC_1937
ko:K14233	nmn:NMCC_1079
ko:K14228	nmn:NMCC_1492
ko:K00674	nmn:NMCC_1808
ko:K14231	nmn:NMCC_1785
ko:K14230	nmn:NMCC_1614
ko:K14225	nmn:NMCC_1497
ko:K14445	nmn:NMCC_0758
ko:K04771	nmn:NMCC_0471
ko:K03972	nmn:NMCC_0750
ko:K01838	nmn:NMCC_1752
ko:K01985	nmn:NMCC_0063
ko:K01985	nmn:NMCC_1561
ko:K01985	nmn:NMCC_1843
ko:K01985	nmn:NMCC_0187
ko:K14267	nmn:NMCC_0855
ko:K14234	nmn:NMCC_1963
ko:K14260	nmn:NMCC_1385
ko:K14225	nmn:NMCC_2023
ko:K14225	nmn:NMCC_1494
ko:K14225	nmn:NMCC_1495
ko:K14225	nmn:NMCC_1496
ko:K02358	nmn:NMCC_2021
ko:K01524	nmn:NMCC_1380
ko:K06020	nmn:NMCC_1756
ko:K05540	nmn:NMCC_1327
ko:K01155	nmn:NMCC_0324
ko:K14652	nmn:NMCC_1139
ko:K15125	nmn:NMCC_0451
ko:K09943	nmn:NMCC_0015
ko:K14219	nmn:NMCC_1590
ko:K14235	nmn:NMCC_2020
ko:K14224	nmn:NMCC_0703
ko:K14224	nmn:NMCC_1365
ko:K14226	nmn:NMCC_0110
ko:K14232	nmn:NMCC_0108
ko:K14218	nmn:NMCC_0060
ko:K14218	nmn:NMCC_1846
ko:K14218	nmn:NMCC_1564
ko:K14218	nmn:NMCC_0184
ko:K14219	nmn:NMCC_0109
ko:K14234	nmn:NMCC_0827
ko:K14234	nmn:NMCC_0828
ko:K14229	nmn:NMCC_0013
ko:K14229	nmn:NMCC_0377
ko:K14230	nmn:NMCC_1736
ko:K07491	nmn:NMCC_1377
ko:K14237	nmn:NMCC_0679
ko:K14222	nmn:NMCC_1493
ko:K14227	nmn:NMCC_0059
ko:K14227	nmn:NMCC_1565
ko:K14227	nmn:NMCC_1847
ko:K14227	nmn:NMCC_0183
ko:K14223	nmn:NMCC_0834
ko:K14223	nmn:NMCC_0836
ko:K14223	nmn:NMCC_0835
ko:K14230	nmn:NMCC_0146
ko:K00018	nmn:NMCC_0030
ko:K14219	nmn:NMCC_0702
ko:K14219	nmn:NMCC_1364
ko:K14170	nmn:NMCC_1697
ko:K14742	nmn:NMCC_0350
ko:K07497	nmn:NMCC_0998
ko:K02650	nmn:NMCC_0023
ko:K14540	nmn:NMCC_0699
ko:K19340	nmn:NMCC_0525
ko:K00691	nmn:NMCC_1753
ko:K18133	nmn:NMCC_0158
ko:K18928	nmn:NMCC_1346
ko:K06177	nmn:NMCC_0824
ko:K03772	nmn:NMCC_1470
ko:K14761	nmn:NMCC_0399
ko:K02533	nmn:NMCC_1260
ko:K15738	nmn:NMCC_0966
ko:K02428	nmn:NMCC_0587
ko:K15724	nmn:NMCC_0503
ko:K18139	nmn:NMCC_1626
ko:K02028	nmn:NMCC_0655
ko:K15977	nmn:NMCC_1855
ko:K16087	nmn:NMCC_0216
ko:K15984	nmn:NMCC_1513
ko:K18138	nmn:NMCC_1627
ko:K15977	nmn:NMCC_2099
ko:K18132	nmn:NMCC_1338
ko:K16301	nmn:NMCC_0037
ko:K16088	nmn:NMCC_0339
ko:K00973	nmn:NMCC_0088
ko:K01710	nmn:NMCC_0087
ko:K02424	nmn:NMCC_0753
ko:K10009	nmn:NMCC_0754
ko:K16087	nmn:NMCC_1452
ko:K16087	nmn:NMCC_1403
ko:K16087	nmn:NMCC_1681
ko:K07467	nmn:NMCC_0156
ko:K10010	nmn:NMCC_0755
ko:K07482	nmn:NMCC_0801
ko:K16211	nmn:NMCC_1755
ko:K16345	nmn:NMCC_0873
ko:K07278	nmn:NMCC_2091
ko:K07482	nmn:NMCC_1005
ko:K07482	nmn:NMCC_0011
ko:K07482	nmn:NMCC_0275
ko:K07482	nmn:NMCC_1532
ko:K07482	nmn:NMCC_1919
ko:K06992	nmn:NMCC_0528
ko:K01980	nmn:NMCC_0185
ko:K01980	nmn:NMCC_0061
ko:K01980	nmn:NMCC_1563
ko:K01980	nmn:NMCC_1845
ko:K16868	nmn:NMCC_1526
ko:K02030	nmn:NMCC_1518
ko:K17103	nmn:NMCC_1231
ko:K02029	nmn:NMCC_1414
ko:K02169	nmn:NMCC_1874
ko:K17686	nmn:NMCC_1240
ko:K01977	nmn:NMCC_0058
ko:K01977	nmn:NMCC_0182
ko:K01977	nmn:NMCC_1848
ko:K01977	nmn:NMCC_1566
ko:K00254	nmn:NMCC_1924
ko:K07488	nmn:NMCC_0529
ko:K07090	nmn:NMCC_1232
ko:K07488	nmn:NMCC_2107
ko:K21344	nmn:NMCC_0786
ko:K07482	nmn:NMCC_1521
ko:K18369	nmn:NMCC_1310
ko:K08068	nmn:NMCC_0078
ko:K09796	nmn:NMCC_1459
ko:K19339	nmn:NMCC_0523
ko:K07171	nmn:NMCC_1042
ko:K22132	nmn:NMCC_1408
ko:K07171	nmn:NMCC_0159
ko:K19239	nmn:NMCC_0234
ko:K10747	nmn:NMCC_0138
ko:K03526	nmn:NMCC_1223
ko:K07486	nmn:NMCC_0495
ko:K07481	nmn:NMCC_0945
ko:K07481	nmn:NMCC_0229
ko:K07481	nmn:NMCC_2109
ko:K07481	nmn:NMCC_1315
ko:K18991	nmn:NMCC_1501
ko:K10954	nmn:NMCC_0149
ko:K07172	nmn:NMCC_0160
ko:K15342	nmn:NMCC_0396
ko:K07488	nmn:NMCC_1318
ko:K01802	nmn:NMCC_0028
ko:K19342	nmn:NMCC_0526
ko:K19337	nmn:NMCC_1304
ko:K19416	nmn:NMCC_0179
ko:K07486	nmn:NMCC_0148
ko:K07280	nmn:NMCC_1831
ko:K00992	nmn:NMCC_0381
ko:K19784	nmn:NMCC_0432
ko:K06132	nmn:NMCC_1344
ko:K19804	nmn:NMCC_1803
ko:K08992	nmn:NMCC_1804
ko:K09788	nmn:NMCC_1712
ko:K20455	nmn:NMCC_1713
ko:K16066	nmn:NMCC_0865
ko:K08968	nmn:NMCC_0335
ko:K10026	nmn:NMCC_0466
ko:K21929	nmn:NMCC_0348
ko:K22292	nmn:NMCC_0568
ko:K01834	nmn:NMCC_1509
ko:K17758	nmn:NMCC_1077
ko:K11206	nmn:NMCC_1705
