ko:K09796	pstu:UIB01_11395
ko:K09920	pstu:UIB01_02150
ko:K03651	pstu:UIB01_02155
ko:K07000	pstu:UIB01_02160
ko:K02622	pstu:UIB01_02165
ko:K06985	pstu:UIB01_02175
ko:K02621	pstu:UIB01_02180
ko:K09857	pstu:UIB01_02185
ko:K01079	pstu:UIB01_02200
ko:K01613	pstu:UIB01_02220
ko:K01011	pstu:UIB01_02225
ko:K02556	pstu:UIB01_02235
ko:K02557	pstu:UIB01_02240
ko:K06949	pstu:UIB01_02245
ko:K13288	pstu:UIB01_02255
ko:K07157	pstu:UIB01_02285
ko:K00147	pstu:UIB01_02295
ko:K00969	pstu:UIB01_02300
ko:K09710	pstu:UIB01_02305
ko:K00783	pstu:UIB01_02310
ko:K05515	pstu:UIB01_02315
ko:K05837	pstu:UIB01_02320
ko:K08305	pstu:UIB01_02325
ko:K03642	pstu:UIB01_02330
ko:K07258	pstu:UIB01_02335
ko:K09158	pstu:UIB01_02340
ko:K03801	pstu:UIB01_02345
ko:K03644	pstu:UIB01_02350
ko:K08305	pstu:UIB01_02360
ko:K02340	pstu:UIB01_02370
ko:K03643	pstu:UIB01_02375
ko:K03576	pstu:UIB01_06685
ko:K00549	pstu:UIB01_06695
ko:K00111	pstu:UIB01_06700
ko:K09954	pstu:UIB01_06725
ko:K16872	pstu:UIB01_06745
ko:K02426	pstu:UIB01_06750
ko:K01766	pstu:UIB01_06755
ko:K00674	pstu:UIB01_06760
ko:K03671	pstu:UIB01_06770
ko:K14267	pstu:UIB01_06785
ko:K08985	pstu:UIB01_06790
ko:K11175	pstu:UIB01_06800
ko:K01933	pstu:UIB01_06805
ko:K09938	pstu:UIB01_06810
ko:K10763	pstu:UIB01_06820
ko:K03809	pstu:UIB01_06830
ko:K00537	pstu:UIB01_06835
ko:K07058	pstu:UIB01_06840
ko:K01881	pstu:UIB01_06870
ko:K03745	pstu:UIB01_06885
ko:K03704	pstu:UIB01_06890
ko:K04047	pstu:UIB01_06895
ko:K01876	pstu:UIB01_06900
ko:K01159	pstu:UIB01_06910
ko:K03550	pstu:UIB01_06915
ko:K03551	pstu:UIB01_06920
ko:K01075	pstu:UIB01_06925
ko:K03562	pstu:UIB01_06930
ko:K03560	pstu:UIB01_06935
ko:K03641	pstu:UIB01_06945
ko:K00627	pstu:UIB01_11345
ko:K00162	pstu:UIB01_11350
ko:K07028	pstu:UIB01_11365
ko:K00948	pstu:UIB01_11370
ko:K04077	pstu:UIB01_11390
ko:K00383	pstu:UIB01_11400
ko:K00963	pstu:UIB01_11410
ko:K03406	pstu:UIB01_11415
ko:K00134	pstu:UIB01_11455
ko:K09771	pstu:UIB01_11460
ko:K03325	pstu:UIB01_11495
ko:K07089	pstu:UIB01_11500
ko:K03703	pstu:UIB01_11535
ko:K06139	pstu:UIB01_11565
ko:K06138	pstu:UIB01_11570
ko:K06137	pstu:UIB01_11575
ko:K06136	pstu:UIB01_11580
ko:K00138	pstu:UIB01_11590
ko:K06138	pstu:UIB01_11595
ko:K06139	pstu:UIB01_11600
ko:K01055	pstu:UIB01_15880
ko:K07823	pstu:UIB01_15885
ko:K01040	pstu:UIB01_15890
ko:K01039	pstu:UIB01_15895
ko:K02624	pstu:UIB01_15900
ko:K11928	pstu:UIB01_15910
ko:K02014	pstu:UIB01_15915
ko:K11928	pstu:UIB01_15925
ko:K13821	pstu:UIB01_15930
ko:K01338	pstu:UIB01_15940
ko:K14475	pstu:UIB01_15945
ko:K15256	pstu:UIB01_15955
ko:K15257	pstu:UIB01_15960
ko:K03474	pstu:UIB01_15980
ko:K03584	pstu:UIB01_15985
ko:K03685	pstu:UIB01_15995
ko:K03100	pstu:UIB01_16005
ko:K03596	pstu:UIB01_16010
ko:K03803	pstu:UIB01_16020
ko:K03598	pstu:UIB01_16025
ko:K03597	pstu:UIB01_16030
ko:K03088	pstu:UIB01_16035
ko:K00278	pstu:UIB01_16040
ko:K09159	pstu:UIB01_16045
ko:K06980	pstu:UIB01_16050
ko:K08995	pstu:UIB01_16060
ko:K03648	pstu:UIB01_16065
ko:K03617	pstu:UIB01_16090
ko:K03616	pstu:UIB01_16095
ko:K03615	pstu:UIB01_16100
ko:K03614	pstu:UIB01_16105
ko:K03612	pstu:UIB01_16110
ko:K03613	pstu:UIB01_16115
ko:K10773	pstu:UIB01_16120
ko:K01759	pstu:UIB01_16130
ko:K01940	pstu:UIB01_16135
ko:K01465	pstu:UIB01_16145
ko:K03683	pstu:UIB01_16150
ko:K04063	pstu:UIB01_20420
ko:K00625	pstu:UIB01_20515
ko:K00925	pstu:UIB01_20520
ko:K00208	pstu:UIB01_20525
ko:K03312	pstu:UIB01_20530
ko:K00023	pstu:UIB01_20545
ko:K00626	pstu:UIB01_20550
ko:K03821	pstu:UIB01_20555
ko:K01993	pstu:UIB01_20560
ko:K13926	pstu:UIB01_20565
ko:K01992	pstu:UIB01_20570
ko:K12340	pstu:UIB01_20575
ko:K03758	pstu:UIB01_20585
ko:K01478	pstu:UIB01_20590
ko:K00611	pstu:UIB01_20595
ko:K00926	pstu:UIB01_20600
ko:K01154	pstu:UIB01_20695
ko:K09021	pstu:UIB01_03245
ko:K09020	pstu:UIB01_03250
ko:K09018	pstu:UIB01_03255
ko:K10680	pstu:UIB01_03280
ko:K08234	pstu:UIB01_03305
ko:K02056	pstu:UIB01_03360
ko:K02057	pstu:UIB01_03365
ko:K02057	pstu:UIB01_03370
ko:K06193	pstu:UIB01_03395
ko:K01485	pstu:UIB01_03410
ko:K10974	pstu:UIB01_03415
ko:K03781	pstu:UIB01_03420
ko:K01725	pstu:UIB01_03430
ko:K00832	pstu:UIB01_03440
ko:K01724	pstu:UIB01_03445
ko:K00500	pstu:UIB01_03450
ko:K03721	pstu:UIB01_03455
ko:K13924	pstu:UIB01_03460
ko:K01752	pstu:UIB01_03465
ko:K00384	pstu:UIB01_03470
ko:K11688	pstu:UIB01_03475
ko:K11688	pstu:UIB01_03480
ko:K09943	pstu:UIB01_03495
ko:K00376	pstu:UIB01_03515
ko:K07218	pstu:UIB01_03520
ko:K13789	pstu:UIB01_02660
ko:K03602	pstu:UIB01_02665
ko:K03897	pstu:UIB01_02690
ko:K13745	pstu:UIB01_02695
ko:K03088	pstu:UIB01_02700
ko:K02051	pstu:UIB01_02710
ko:K07733	pstu:UIB01_02785
ko:K01507	pstu:UIB01_02795
ko:K09933	pstu:UIB01_02800
ko:K01113	pstu:UIB01_02810
ko:K03736	pstu:UIB01_02815
ko:K03735	pstu:UIB01_02820
ko:K00138	pstu:UIB01_02830
ko:K02558	pstu:UIB01_02835
ko:K03186	pstu:UIB01_02840
ko:K03798	pstu:UIB01_02850
ko:K17758	pstu:UIB01_02860
ko:K17759	pstu:UIB01_02860
ko:K06925	pstu:UIB01_02865
ko:K01448	pstu:UIB01_02870
ko:K03572	pstu:UIB01_02875
ko:K00791	pstu:UIB01_02880
ko:K03666	pstu:UIB01_02885
ko:K03665	pstu:UIB01_02890
ko:K04088	pstu:UIB01_02895
ko:K04087	pstu:UIB01_02900
ko:K02502	pstu:UIB01_02905
ko:K01939	pstu:UIB01_02910
ko:K12573	pstu:UIB01_02925
ko:K03218	pstu:UIB01_02930
ko:K02990	pstu:UIB01_02940
ko:K01595	pstu:UIB01_07310
ko:K00939	pstu:UIB01_07315
ko:K15984	pstu:UIB01_07340
ko:K18301	pstu:UIB01_07345
ko:K18302	pstu:UIB01_07350
ko:K18303	pstu:UIB01_07355
ko:K00799	pstu:UIB01_07365
ko:K05349	pstu:UIB01_07405
ko:K03670	pstu:UIB01_07410
ko:K03669	pstu:UIB01_07415
ko:K06911	pstu:UIB01_07425
ko:K03809	pstu:UIB01_07430
ko:K03825	pstu:UIB01_07435
ko:K07233	pstu:UIB01_07445
ko:K07665	pstu:UIB01_07470
ko:K07644	pstu:UIB01_07475
ko:K04084	pstu:UIB01_07490
ko:K03805	pstu:UIB01_07500
ko:K03826	pstu:UIB01_07510
ko:K00631	pstu:UIB01_07515
ko:K03782	pstu:UIB01_07520
ko:K15256	pstu:UIB01_07530
ko:K01990	pstu:UIB01_07550
ko:K01992	pstu:UIB01_07555
ko:K10804	pstu:UIB01_11880
ko:K02003	pstu:UIB01_11885
ko:K02004	pstu:UIB01_11890
ko:K04760	pstu:UIB01_11895
ko:K03424	pstu:UIB01_11915
ko:K02050	pstu:UIB01_11925
ko:K02049	pstu:UIB01_11930
ko:K09967	pstu:UIB01_11935
ko:K09967	pstu:UIB01_11940
ko:K01941	pstu:UIB01_11945
ko:K00064	pstu:UIB01_11960
ko:K02051	pstu:UIB01_11965
ko:K00059	pstu:UIB01_11980
ko:K01470	pstu:UIB01_11990
ko:K02050	pstu:UIB01_12010
ko:K02049	pstu:UIB01_12015
ko:K00641	pstu:UIB01_12020
ko:K01915	pstu:UIB01_12025
ko:K02051	pstu:UIB01_12030
ko:K07235	pstu:UIB01_12060
ko:K07236	pstu:UIB01_12065
ko:K07237	pstu:UIB01_12070
ko:K11179	pstu:UIB01_12075
ko:K07393	pstu:UIB01_12085
ko:K01495	pstu:UIB01_12125
ko:K07589	pstu:UIB01_12130
ko:K01772	pstu:UIB01_12160
ko:K07071	pstu:UIB01_12165
ko:K06205	pstu:UIB01_16470
ko:K13938	pstu:UIB01_16480
ko:K07589	pstu:UIB01_16485
ko:K09948	pstu:UIB01_16490
ko:K06203	pstu:UIB01_16500
ko:K01998	pstu:UIB01_16515
ko:K01997	pstu:UIB01_16520
ko:K01999	pstu:UIB01_16525
ko:K01996	pstu:UIB01_16530
ko:K01995	pstu:UIB01_16535
ko:K00666	pstu:UIB01_16550
ko:K00253	pstu:UIB01_16560
ko:K01969	pstu:UIB01_16565
ko:K13766	pstu:UIB01_16570
ko:K01968	pstu:UIB01_16575
ko:K01640	pstu:UIB01_16580
ko:K01028	pstu:UIB01_16585
ko:K01029	pstu:UIB01_16590
ko:K00626	pstu:UIB01_16595
ko:K15977	pstu:UIB01_16625
ko:K01673	pstu:UIB01_16665
ko:K00697	pstu:UIB01_16670
ko:K01087	pstu:UIB01_16675
ko:K03789	pstu:UIB01_16685
ko:K01649	pstu:UIB01_16695
ko:K13747	pstu:UIB01_16705
ko:K00127	pstu:UIB01_20975
ko:K02380	pstu:UIB01_20980
ko:K01042	pstu:UIB01_20985
ko:K03833	pstu:UIB01_20990
ko:K00574	pstu:UIB01_21015
ko:K03321	pstu:UIB01_21025
ko:K10125	pstu:UIB01_21035
ko:K10126	pstu:UIB01_21040
ko:K02014	pstu:UIB01_21060
ko:K02397	pstu:UIB01_21095
ko:K02396	pstu:UIB01_21100
ko:K08309	pstu:UIB01_21105
ko:K02394	pstu:UIB01_21110
ko:K02393	pstu:UIB01_21115
ko:K02392	pstu:UIB01_21120
ko:K02391	pstu:UIB01_21125
ko:K02390	pstu:UIB01_21130
ko:K02389	pstu:UIB01_21135
ko:K02388	pstu:UIB01_21140
ko:K02387	pstu:UIB01_21145
ko:K02386	pstu:UIB01_21150
ko:K02406	pstu:UIB01_21155
ko:K02557	pstu:UIB01_21170
ko:K02556	pstu:UIB01_21175
ko:K02405	pstu:UIB01_21180
ko:K02415	pstu:UIB01_21185
ko:K02414	pstu:UIB01_21190
ko:K02422	pstu:UIB01_21200
ko:K02407	pstu:UIB01_21205
ko:K02399	pstu:UIB01_21210
ko:K02398	pstu:UIB01_21215
ko:K02412	pstu:UIB01_21225
ko:K02411	pstu:UIB01_21230
ko:K02410	pstu:UIB01_21235
ko:K02409	pstu:UIB01_21240
ko:K09808	pstu:UIB01_07835
ko:K09928	pstu:UIB01_07840
ko:K02238	pstu:UIB01_07845
ko:K03561	pstu:UIB01_07850
ko:K03559	pstu:UIB01_07855
ko:K00912	pstu:UIB01_07860
ko:K09791	pstu:UIB01_07865
ko:K00979	pstu:UIB01_07870
ko:K01104	pstu:UIB01_07875
ko:K00075	pstu:UIB01_07880
ko:K08300	pstu:UIB01_07885
ko:K06179	pstu:UIB01_07890
ko:K01091	pstu:UIB01_07895
ko:K04773	pstu:UIB01_07900
ko:K07040	pstu:UIB01_07910
ko:K02911	pstu:UIB01_07915
ko:K03621	pstu:UIB01_07920
ko:K00645	pstu:UIB01_07925
ko:K00059	pstu:UIB01_07930
ko:K02078	pstu:UIB01_07935
ko:K09458	pstu:UIB01_07940
ko:K02619	pstu:UIB01_07945
ko:K07082	pstu:UIB01_07950
ko:K00943	pstu:UIB01_07955
ko:K02341	pstu:UIB01_07960
ko:K02676	pstu:UIB01_07965
ko:K03424	pstu:UIB01_07970
ko:K11734	pstu:UIB01_07980
ko:K09986	pstu:UIB01_08005
ko:K00311	pstu:UIB01_08010
ko:K03521	pstu:UIB01_08015
ko:K03522	pstu:UIB01_08020
ko:K01591	pstu:UIB01_08060
ko:K05782	pstu:UIB01_08075
ko:K02408	pstu:UIB01_08080
ko:K02409	pstu:UIB01_08085
ko:K02410	pstu:UIB01_08090
ko:K02411	pstu:UIB01_08095
ko:K02412	pstu:UIB01_08100
ko:K02413	pstu:UIB01_08105
ko:K03924	pstu:UIB01_12480
ko:K06917	pstu:UIB01_12495
ko:K01008	pstu:UIB01_12500
ko:K07001	pstu:UIB01_12505
ko:K08296	pstu:UIB01_12535
ko:K00057	pstu:UIB01_12545
ko:K01716	pstu:UIB01_12550
ko:K00647	pstu:UIB01_12555
ko:K00626	pstu:UIB01_12570
ko:K00666	pstu:UIB01_12575
ko:K07862	pstu:UIB01_12580
ko:K03406	pstu:UIB01_12585
ko:K03406	pstu:UIB01_12590
ko:K04079	pstu:UIB01_12610
ko:K03311	pstu:UIB01_12635
ko:K01902	pstu:UIB01_12640
ko:K01903	pstu:UIB01_12645
ko:K00382	pstu:UIB01_12650
ko:K00658	pstu:UIB01_12655
ko:K00164	pstu:UIB01_12660
ko:K00240	pstu:UIB01_12665
ko:K00239	pstu:UIB01_12670
ko:K00242	pstu:UIB01_12675
ko:K00241	pstu:UIB01_12680
ko:K01647	pstu:UIB01_12685
ko:K09922	pstu:UIB01_12690
ko:K09913	pstu:UIB01_12695
ko:K02422	pstu:UIB01_12705
ko:K02407	pstu:UIB01_12710
ko:K06603	pstu:UIB01_12715
ko:K02406	pstu:UIB01_12720
ko:K01972	pstu:UIB01_12725
ko:K03528	pstu:UIB01_12730
ko:K03529	pstu:UIB01_12735
ko:K01918	pstu:UIB01_17005
ko:K01579	pstu:UIB01_17010
ko:K01810	pstu:UIB01_17015
ko:K06969	pstu:UIB01_17025
ko:K04065	pstu:UIB01_17045
ko:K00962	pstu:UIB01_17050
ko:K02956	pstu:UIB01_17055
ko:K03177	pstu:UIB01_17060
ko:K02834	pstu:UIB01_17065
ko:K02519	pstu:UIB01_17070
ko:K02600	pstu:UIB01_17075
ko:K09748	pstu:UIB01_17080
ko:K03075	pstu:UIB01_17095
ko:K01803	pstu:UIB01_17100
ko:K03431	pstu:UIB01_17105
ko:K00796	pstu:UIB01_17110
ko:K03798	pstu:UIB01_17115
ko:K07574	pstu:UIB01_17120
ko:K03624	pstu:UIB01_17130
ko:K01955	pstu:UIB01_17135
ko:K01956	pstu:UIB01_17140
ko:K00215	pstu:UIB01_17145
ko:K03686	pstu:UIB01_17150
ko:K04043	pstu:UIB01_17155
ko:K03687	pstu:UIB01_17160
ko:K03631	pstu:UIB01_17165
ko:K03711	pstu:UIB01_17170
ko:K06186	pstu:UIB01_17175
ko:K09801	pstu:UIB01_17180
ko:K03664	pstu:UIB01_17190
ko:K03303	pstu:UIB01_17200
ko:K00782	pstu:UIB01_17215
ko:K07516	pstu:UIB01_21570
ko:K00135	pstu:UIB01_21580
ko:K11906	pstu:UIB01_21610
ko:K11893	pstu:UIB01_21615
ko:K11892	pstu:UIB01_21620
ko:K11891	pstu:UIB01_21625
ko:K11916	pstu:UIB01_21635
ko:K11904	pstu:UIB01_21640
ko:K02066	pstu:UIB01_21680
ko:K02065	pstu:UIB01_21685
ko:K02067	pstu:UIB01_21690
ko:K18480	pstu:UIB01_21695
ko:K01993	pstu:UIB01_21700
ko:K13926	pstu:UIB01_21705
ko:K00973	pstu:UIB01_21725
ko:K01790	pstu:UIB01_21730
ko:K00067	pstu:UIB01_21735
ko:K10125	pstu:UIB01_21740
ko:K10126	pstu:UIB01_21745
ko:K11688	pstu:UIB01_21750
ko:K11689	pstu:UIB01_21755
ko:K07394	pstu:UIB01_21765
ko:K11074	pstu:UIB01_21785
ko:K11075	pstu:UIB01_21790
ko:K11076	pstu:UIB01_21795
ko:K11073	pstu:UIB01_21800
ko:K11073	pstu:UIB01_21805
ko:K10805	pstu:UIB01_03840
ko:K07054	pstu:UIB01_03850
ko:K07684	pstu:UIB01_03880
ko:K07673	pstu:UIB01_03885
ko:K02575	pstu:UIB01_03890
ko:K02575	pstu:UIB01_03900
ko:K00370	pstu:UIB01_03905
ko:K00371	pstu:UIB01_03910
ko:K00373	pstu:UIB01_03915
ko:K00374	pstu:UIB01_03920
ko:K03769	pstu:UIB01_03925
ko:K03639	pstu:UIB01_03930
ko:K03638	pstu:UIB01_03935
ko:K03750	pstu:UIB01_03940
ko:K12262	pstu:UIB01_03945
ko:K00901	pstu:UIB01_04035
ko:K15983	pstu:UIB01_04060
ko:K01069	pstu:UIB01_04065
ko:K06901	pstu:UIB01_04075
ko:K03152	pstu:UIB01_04080
ko:K07402	pstu:UIB01_04085
ko:K07141	pstu:UIB01_04090
ko:K13483	pstu:UIB01_04095
ko:K11178	pstu:UIB01_04100
ko:K11177	pstu:UIB01_04105
ko:K17836	pstu:UIB01_04115
ko:K17836	pstu:UIB01_04120
ko:K03321	pstu:UIB01_08415
ko:K17218	pstu:UIB01_08420
ko:K09810	pstu:UIB01_08430
ko:K09808	pstu:UIB01_08435
ko:K02005	pstu:UIB01_08440
ko:K07238	pstu:UIB01_08445
ko:K02557	pstu:UIB01_08450
ko:K02556	pstu:UIB01_08455
ko:K06955	pstu:UIB01_08460
ko:K03427	pstu:UIB01_08505
ko:K01154	pstu:UIB01_08510
ko:K01153	pstu:UIB01_08515
ko:K02356	pstu:UIB01_08540
ko:K14445	pstu:UIB01_08545
ko:K01626	pstu:UIB01_08550
ko:K05592	pstu:UIB01_08565
ko:K05788	pstu:UIB01_08595
ko:K02474	pstu:UIB01_08615
ko:K02473	pstu:UIB01_08620
ko:K03980	pstu:UIB01_08635
ko:K00067	pstu:UIB01_08640
ko:K17716	pstu:UIB01_08645
ko:K01791	pstu:UIB01_08650
ko:K02362	pstu:UIB01_08685
ko:K01991	pstu:UIB01_08700
ko:K07002	pstu:UIB01_13045
ko:K02048	pstu:UIB01_13055
ko:K02046	pstu:UIB01_13060
ko:K02047	pstu:UIB01_13065
ko:K02045	pstu:UIB01_13070
ko:K02452	pstu:UIB01_13085
ko:K02453	pstu:UIB01_13090
ko:K10764	pstu:UIB01_13095
ko:K00764	pstu:UIB01_13100
ko:K03749	pstu:UIB01_13110
ko:K11754	pstu:UIB01_13115
ko:K01963	pstu:UIB01_13120
ko:K01817	pstu:UIB01_13125
ko:K06173	pstu:UIB01_13130
ko:K08086	pstu:UIB01_13135
ko:K00133	pstu:UIB01_13145
ko:K00052	pstu:UIB01_13150
ko:K01704	pstu:UIB01_13155
ko:K01703	pstu:UIB01_13160
ko:K04080	pstu:UIB01_13170
ko:K05541	pstu:UIB01_13180
ko:K16692	pstu:UIB01_13220
ko:K07126	pstu:UIB01_17590
ko:K03724	pstu:UIB01_17625
ko:K03724	pstu:UIB01_17640
ko:K10111	pstu:UIB01_17690
ko:K01187	pstu:UIB01_17695
ko:K00661	pstu:UIB01_17700
ko:K03556	pstu:UIB01_17705
ko:K10110	pstu:UIB01_17710
ko:K10109	pstu:UIB01_17715
ko:K10108	pstu:UIB01_17720
ko:K01176	pstu:UIB01_17725
ko:K02024	pstu:UIB01_17740
ko:K05775	pstu:UIB01_17745
ko:K00131	pstu:UIB01_17760
ko:K01625	pstu:UIB01_17765
ko:K01057	pstu:UIB01_17770
ko:K00036	pstu:UIB01_17775
ko:K00845	pstu:UIB01_17785
ko:K01690	pstu:UIB01_17790
ko:K07230	pstu:UIB01_17805
ko:K07243	pstu:UIB01_17815
ko:K05522	pstu:UIB01_17850
ko:K06177	pstu:UIB01_17855
ko:K00820	pstu:UIB01_22100
ko:K04042	pstu:UIB01_22115
ko:K02114	pstu:UIB01_22120
ko:K02112	pstu:UIB01_22125
ko:K02115	pstu:UIB01_22130
ko:K02111	pstu:UIB01_22135
ko:K02113	pstu:UIB01_22140
ko:K02109	pstu:UIB01_22145
ko:K02110	pstu:UIB01_22150
ko:K02108	pstu:UIB01_22155
ko:K02116	pstu:UIB01_22160
ko:K03501	pstu:UIB01_22175
ko:K03495	pstu:UIB01_22180
ko:K05571	pstu:UIB01_22185
ko:K05570	pstu:UIB01_22190
ko:K05569	pstu:UIB01_22195
ko:K05568	pstu:UIB01_22200
ko:K05567	pstu:UIB01_22205
ko:K05566	pstu:UIB01_22210
ko:K05565	pstu:UIB01_22215
ko:K03650	pstu:UIB01_22220
ko:K03217	pstu:UIB01_22225
ko:K08998	pstu:UIB01_22230
ko:K03536	pstu:UIB01_22235
ko:K02914	pstu:UIB01_22240
ko:K13655	pstu:UIB01_22340
ko:K18139	pstu:UIB01_22360
ko:K18138	pstu:UIB01_22365
ko:K03585	pstu:UIB01_22370
ko:K14220	pstu:UIB01_03030
ko:K14220	pstu:UIB01_06040
ko:K14229	pstu:UIB01_03040
ko:K14229	pstu:UIB01_06970
ko:K06598	pstu:UIB01_01510
ko:K09761	pstu:UIB01_01515
ko:K00833	pstu:UIB01_01520
ko:K12262	pstu:UIB01_01525
ko:K03585	pstu:UIB01_01535
ko:K18138	pstu:UIB01_01540
ko:K18139	pstu:UIB01_01545
ko:K11927	pstu:UIB01_01550
ko:K00297	pstu:UIB01_01555
ko:K01251	pstu:UIB01_01560
ko:K01972	pstu:UIB01_01580
ko:K01990	pstu:UIB01_01590
ko:K01992	pstu:UIB01_01595
ko:K00789	pstu:UIB01_01610
ko:K00615	pstu:UIB01_01635
ko:K03472	pstu:UIB01_01640
ko:K00927	pstu:UIB01_01645
ko:K01624	pstu:UIB01_01660
ko:K07007	pstu:UIB01_01700
ko:K02030	pstu:UIB01_01705
ko:K05591	pstu:UIB01_01715
ko:K14393	pstu:UIB01_01730
ko:K02342	pstu:UIB01_01740
ko:K07182	pstu:UIB01_01745
ko:K01638	pstu:UIB01_01750
ko:K05786	pstu:UIB01_01760
ko:K00034	pstu:UIB01_01765
ko:K01194	pstu:UIB01_01770
ko:K03455	pstu:UIB01_01780
ko:K01996	pstu:UIB01_06110
ko:K01995	pstu:UIB01_06115
ko:K01998	pstu:UIB01_06120
ko:K01997	pstu:UIB01_06125
ko:K01999	pstu:UIB01_06130
ko:K02042	pstu:UIB01_06140
ko:K02042	pstu:UIB01_06145
ko:K02041	pstu:UIB01_06150
ko:K02044	pstu:UIB01_06155
ko:K06153	pstu:UIB01_06165
ko:K04046	pstu:UIB01_06185
ko:K03580	pstu:UIB01_06195
ko:K01897	pstu:UIB01_06225
ko:K01897	pstu:UIB01_06230
ko:K03406	pstu:UIB01_06235
ko:K03406	pstu:UIB01_06240
ko:K03578	pstu:UIB01_06250
ko:K05786	pstu:UIB01_06255
ko:K03437	pstu:UIB01_06275
ko:K07137	pstu:UIB01_06280
ko:K02427	pstu:UIB01_06290
ko:K07045	pstu:UIB01_06295
ko:K01061	pstu:UIB01_06305
ko:K00784	pstu:UIB01_06310
ko:K04750	pstu:UIB01_06325
ko:K07052	pstu:UIB01_06335
ko:K01295	pstu:UIB01_06350
ko:K02503	pstu:UIB01_06355
ko:K02051	pstu:UIB01_06360
ko:K02050	pstu:UIB01_06365
ko:K02049	pstu:UIB01_06370
ko:K03426	pstu:UIB01_10745
ko:K07090	pstu:UIB01_10750
ko:K04774	pstu:UIB01_10780
ko:K00381	pstu:UIB01_10800
ko:K13993	pstu:UIB01_10815
ko:K06941	pstu:UIB01_10830
ko:K03811	pstu:UIB01_10855
ko:K00548	pstu:UIB01_10875
ko:K07400	pstu:UIB01_10885
ko:K03168	pstu:UIB01_10900
ko:K03406	pstu:UIB01_10925
ko:K06153	pstu:UIB01_10930
ko:K02014	pstu:UIB01_10945
ko:K07080	pstu:UIB01_10950
ko:K00285	pstu:UIB01_10960
ko:K06916	pstu:UIB01_10970
ko:K03769	pstu:UIB01_10975
ko:K00851	pstu:UIB01_10980
ko:K06145	pstu:UIB01_10995
ko:K02040	pstu:UIB01_11010
ko:K01142	pstu:UIB01_11015
ko:K07278	pstu:UIB01_11025
ko:K09800	pstu:UIB01_11030
ko:K03310	pstu:UIB01_11035
ko:K02226	pstu:UIB01_15290
ko:K00768	pstu:UIB01_15295
ko:K02231	pstu:UIB01_15300
ko:K02232	pstu:UIB01_15305
ko:K02225	pstu:UIB01_15310
ko:K02227	pstu:UIB01_15315
ko:K02016	pstu:UIB01_15320
ko:K04719	pstu:UIB01_15325
ko:K02224	pstu:UIB01_15330
ko:K16092	pstu:UIB01_15345
ko:K06886	pstu:UIB01_15380
ko:K00426	pstu:UIB01_15395
ko:K00425	pstu:UIB01_15400
ko:K01626	pstu:UIB01_15425
ko:K14058	pstu:UIB01_15430
ko:K02742	pstu:UIB01_15450
ko:K08224	pstu:UIB01_15455
ko:K02571	pstu:UIB01_15460
ko:K02570	pstu:UIB01_15465
ko:K02567	pstu:UIB01_15470
ko:K02568	pstu:UIB01_15475
ko:K02569	pstu:UIB01_15480
ko:K01494	pstu:UIB01_15485
ko:K03704	pstu:UIB01_15490
ko:K03593	pstu:UIB01_15495
ko:K01874	pstu:UIB01_15500
ko:K06183	pstu:UIB01_15505
ko:K15125	pstu:UIB01_19845
ko:K15125	pstu:UIB01_19855
ko:K11614	pstu:UIB01_19875
ko:K03406	pstu:UIB01_19885
ko:K06207	pstu:UIB01_19890
ko:K03151	pstu:UIB01_19895
ko:K01915	pstu:UIB01_19900
ko:K07708	pstu:UIB01_19915
ko:K07712	pstu:UIB01_19920
ko:K03216	pstu:UIB01_19930
ko:K01419	pstu:UIB01_19940
ko:K03667	pstu:UIB01_19945
ko:K03183	pstu:UIB01_19960
ko:K03690	pstu:UIB01_19965
ko:K03688	pstu:UIB01_19970
ko:K01496	pstu:UIB01_19975
ko:K01523	pstu:UIB01_19980
ko:K03116	pstu:UIB01_19985
ko:K03117	pstu:UIB01_19990
ko:K03118	pstu:UIB01_19995
ko:K07560	pstu:UIB01_20010
ko:K01259	pstu:UIB01_20015
ko:K03098	pstu:UIB01_20025
ko:K03841	pstu:UIB01_20040
ko:K00688	pstu:UIB01_20045
ko:K06940	pstu:UIB01_20050
ko:K01082	pstu:UIB01_20060
ko:K08312	pstu:UIB01_20065
ko:K02379	pstu:UIB01_20080
ko:K07107	pstu:UIB01_20090
ko:K02028	pstu:UIB01_00075
ko:K02029	pstu:UIB01_00080
ko:K02029	pstu:UIB01_00085
ko:K02030	pstu:UIB01_00090
ko:K03499	pstu:UIB01_00095
ko:K03500	pstu:UIB01_00100
ko:K00604	pstu:UIB01_00105
ko:K01462	pstu:UIB01_00110
ko:K04096	pstu:UIB01_00120
ko:K07566	pstu:UIB01_00125
ko:K00228	pstu:UIB01_00135
ko:K00014	pstu:UIB01_00140
ko:K07262	pstu:UIB01_00155
ko:K02014	pstu:UIB01_00165
ko:K01835	pstu:UIB01_00190
ko:K09707	pstu:UIB01_00235
ko:K06975	pstu:UIB01_00260
ko:K11209	pstu:UIB01_00285
ko:K07154	pstu:UIB01_00295
ko:K01695	pstu:UIB01_00315
ko:K01696	pstu:UIB01_00320
ko:K01784	pstu:UIB01_00330
ko:K01854	pstu:UIB01_00340
ko:K06147	pstu:UIB01_00350
ko:K09165	pstu:UIB01_00360
ko:K00281	pstu:UIB01_00925
ko:K03978	pstu:UIB01_00930
