ko:K04042	cbb:CLD_0938
ko:K02013	cbb:CLD_0440
ko:K06153	cbb:CLD_0433
ko:K07813	cbb:CLD_0421
ko:K07813	cbb:CLD_0414
ko:K02003	cbb:CLD_3344
ko:K02034	cbb:CLD_3343
ko:K02033	cbb:CLD_3342
ko:K00864	cbb:CLD_1789
ko:K02440	cbb:CLD_1788
ko:K01425	cbb:CLD_1766
ko:K02825	cbb:CLD_1754
ko:K01975	cbb:CLD_1748
ko:K11041	cbb:CLD_3032
ko:K11065	cbb:CLD_0247
ko:K02316	cbb:CLD_1607
ko:K00177	cbb:CLD_1085
ko:K07979	cbb:CLD_1625
ko:K02113	cbb:CLD_0632
ko:K02110	cbb:CLD_0634
ko:K02114	cbb:CLD_0628
ko:K03475	cbb:CLD_2485
ko:K02501	cbb:CLD_2983
ko:K06178	cbb:CLD_2827
ko:K02416	cbb:CLD_1830
ko:K02410	cbb:CLD_1902
ko:K02419	cbb:CLD_1915
ko:K04485	cbb:CLD_0993
ko:K00175	cbb:CLD_1084
ko:K01448	cbb:CLD_2080
ko:K03716	cbb:CLD_0559
ko:K02417	cbb:CLD_1831
ko:K02341	cbb:CLD_0729
ko:K02687	cbb:CLD_1588
ko:K03092	cbb:CLD_0551
ko:K02396	cbb:CLD_1834
ko:K02760	cbb:CLD_1163
ko:K01892	cbb:CLD_1485
ko:K03551	cbb:CLD_1470
ko:K11175	cbb:CLD_1666
ko:K02112	cbb:CLD_0629
ko:K02111	cbb:CLD_0631
ko:K02356	cbb:CLD_2740
ko:K01681	cbb:CLD_0325
ko:K07636	cbb:CLD_2109
ko:K11068	cbb:CLD_2963
ko:K02500	cbb:CLD_2980
ko:K03783	cbb:CLD_2776
ko:K03655	cbb:CLD_2142
ko:K02563	cbb:CLD_1813
ko:K02588	cbb:CLD_0076
ko:K01678	cbb:CLD_1064
ko:K11068	cbb:CLD_3099
ko:K03657	cbb:CLD_1251
ko:K02755	cbb:CLD_3685
ko:K02756	cbb:CLD_3685
ko:K02757	cbb:CLD_3685
ko:K02412	cbb:CLD_1904
ko:K03497	cbb:CLD_0834
ko:K04564	cbb:CLD_2296
ko:K02818	cbb:CLD_2638
ko:K02819	cbb:CLD_2638
ko:K02108	cbb:CLD_0635
ko:K03654	cbb:CLD_3571
ko:K03781	cbb:CLD_1707
ko:K03076	cbb:CLD_1044
ko:K04041	cbb:CLD_0233
ko:K02446	cbb:CLD_1949
ko:K06398	cbb:CLD_2119
ko:K00057	cbb:CLD_2117
ko:K02039	cbb:CLD_2114
ko:K02036	cbb:CLD_2113
ko:K02038	cbb:CLD_2112
ko:K02037	cbb:CLD_2111
ko:K02040	cbb:CLD_2110
ko:K05837	cbb:CLD_0141
ko:K00574	cbb:CLD_0139
ko:K06878	cbb:CLD_0136
ko:K06016	cbb:CLD_0128
ko:K09790	cbb:CLD_0124
ko:K01247	cbb:CLD_0120
ko:K00375	cbb:CLD_0119
ko:K03488	cbb:CLD_0103
ko:K07053	cbb:CLD_0101
ko:K03424	cbb:CLD_0709
ko:K05985	cbb:CLD_0707
ko:K02528	cbb:CLD_0706
ko:K00790	cbb:CLD_0626
ko:K06381	cbb:CLD_0625
ko:K06283	cbb:CLD_0623
ko:K00789	cbb:CLD_0612
ko:K03581	cbb:CLD_0611
ko:K05808	cbb:CLD_0608
ko:K02836	cbb:CLD_0606
ko:K04759	cbb:CLD_3482
ko:K04758	cbb:CLD_3481
ko:K02071	cbb:CLD_3476
ko:K02072	cbb:CLD_3475
ko:K02073	cbb:CLD_3474
ko:K02073	cbb:CLD_3473
ko:K01885	cbb:CLD_3466
ko:K00134	cbb:CLD_3465
ko:K07576	cbb:CLD_3464
ko:K03310	cbb:CLD_3460
ko:K03310	cbb:CLD_3459
ko:K04654	cbb:CLD_2806
ko:K04653	cbb:CLD_2805
ko:K04656	cbb:CLD_2804
ko:K06281	cbb:CLD_2800
ko:K06282	cbb:CLD_2799
ko:K02519	cbb:CLD_2222
ko:K07742	cbb:CLD_2220
ko:K09748	cbb:CLD_2218
ko:K00099	cbb:CLD_2214
ko:K00981	cbb:CLD_2210
ko:K00806	cbb:CLD_2209
ko:K02838	cbb:CLD_2208
ko:K09903	cbb:CLD_2207
ko:K02357	cbb:CLD_2206
ko:K02967	cbb:CLD_2205
ko:K03706	cbb:CLD_2204
ko:K04096	cbb:CLD_2202
ko:K07391	cbb:CLD_2201
ko:K07460	cbb:CLD_2200
ko:K03100	cbb:CLD_2197
ko:K02884	cbb:CLD_2196
ko:K00554	cbb:CLD_2195
ko:K02860	cbb:CLD_2194
ko:K06960	cbb:CLD_2193
ko:K02959	cbb:CLD_2192
ko:K03106	cbb:CLD_2191
ko:K09787	cbb:CLD_2190
ko:K03529	cbb:CLD_2188
ko:K02078	cbb:CLD_2185
ko:K03621	cbb:CLD_2184
ko:K02911	cbb:CLD_2183
ko:K07040	cbb:CLD_2182
ko:K00925	cbb:CLD_2181
ko:K09118	cbb:CLD_0809
ko:K01875	cbb:CLD_0805
ko:K01613	cbb:CLD_0799
ko:K01613	cbb:CLD_0794
ko:K03688	cbb:CLD_0793
ko:K03721	cbb:CLD_0790
ko:K01761	cbb:CLD_0789
ko:K06317	cbb:CLD_0782
ko:K06206	cbb:CLD_0781
ko:K03790	cbb:CLD_0774
ko:K06959	cbb:CLD_0604
ko:K04061	cbb:CLD_0601
ko:K07816	cbb:CLD_0596
ko:K01869	cbb:CLD_0594
ko:K00876	cbb:CLD_0583
ko:K01738	cbb:CLD_0570
ko:K00640	cbb:CLD_0569
ko:K00655	cbb:CLD_0567
ko:K03216	cbb:CLD_0558
ko:K05311	cbb:CLD_0550
ko:K00134	cbb:CLD_0549
ko:K00927	cbb:CLD_0548
ko:K01803	cbb:CLD_0547
ko:K01689	cbb:CLD_0545
ko:K03075	cbb:CLD_0544
ko:K03664	cbb:CLD_0541
ko:K00230	cbb:CLD_3543
ko:K03152	cbb:CLD_3540
ko:K04758	cbb:CLD_3534
ko:K04758	cbb:CLD_3533
ko:K04759	cbb:CLD_3532
ko:K02015	cbb:CLD_3512
ko:K02015	cbb:CLD_3511
ko:K02013	cbb:CLD_3510
ko:K02016	cbb:CLD_3509
ko:K06888	cbb:CLD_3500
ko:K07305	cbb:CLD_2297
ko:K09815	cbb:CLD_3174
ko:K02051	cbb:CLD_3170
ko:K02050	cbb:CLD_3169
ko:K02049	cbb:CLD_3168
ko:K00784	cbb:CLD_3163
ko:K06897	cbb:CLD_2283
ko:K05916	cbb:CLD_2272
ko:K01775	cbb:CLD_2898
ko:K06901	cbb:CLD_2896
ko:K02035	cbb:CLD_2886
ko:K02033	cbb:CLD_2885
ko:K02034	cbb:CLD_2884
ko:K00882	cbb:CLD_2876
ko:K03704	cbb:CLD_2867
ko:K03415	cbb:CLD_2861
ko:K00243	cbb:CLD_2859
ko:K01356	cbb:CLD_2845
ko:K00278	cbb:CLD_3102
ko:K03517	cbb:CLD_3101
ko:K06942	cbb:CLD_3098
ko:K03925	cbb:CLD_3097
ko:K03438	cbb:CLD_3096
ko:K00962	cbb:CLD_2228
ko:K02956	cbb:CLD_2227
ko:K02834	cbb:CLD_2223
ko:K03488	cbb:CLD_3686
ko:K00791	cbb:CLD_2842
ko:K00945	cbb:CLD_2832
ko:K07007	cbb:CLD_2830
ko:K03671	cbb:CLD_2820
ko:K04655	cbb:CLD_2807
ko:K02372	cbb:CLD_0889
ko:K03088	cbb:CLD_2263
ko:K07341	cbb:CLD_2252
ko:K01756	cbb:CLD_2245
ko:K06416	cbb:CLD_2238
ko:K00995	cbb:CLD_2235
ko:K00928	cbb:CLD_2231
ko:K03695	cbb:CLD_0341
ko:K07009	cbb:CLD_0340
ko:K06153	cbb:CLD_0336
ko:K02238	cbb:CLD_0328
ko:K00655	cbb:CLD_0327
ko:K00611	cbb:CLD_1972
ko:K00926	cbb:CLD_1971
ko:K00600	cbb:CLD_1970
ko:K07053	cbb:CLD_1961
ko:K03284	cbb:CLD_1959
ko:K06023	cbb:CLD_1957
ko:K01462	cbb:CLD_1943
ko:K02117	cbb:CLD_1940
ko:K02122	cbb:CLD_1939
ko:K01114	cbb:CLD_1931
ko:K02392	cbb:CLD_1926
ko:K09779	cbb:CLD_0321
ko:K01579	cbb:CLD_0320
ko:K01918	cbb:CLD_0319
ko:K00606	cbb:CLD_0318
ko:K01258	cbb:CLD_0304
ko:K00788	cbb:CLD_0293
ko:K00878	cbb:CLD_0292
ko:K01921	cbb:CLD_0290
ko:K01999	cbb:CLD_0289
ko:K01997	cbb:CLD_0288
ko:K01996	cbb:CLD_0285
ko:K03744	cbb:CLD_0280
ko:K06872	cbb:CLD_0279
ko:K03704	cbb:CLD_3152
ko:K02003	cbb:CLD_3147
ko:K01737	cbb:CLD_3745
ko:K00796	cbb:CLD_3744
ko:K03088	cbb:CLD_3736
ko:K06911	cbb:CLD_3711
ko:K06966	cbb:CLD_3706
ko:K09936	cbb:CLD_3705
ko:K01462	cbb:CLD_3693
ko:K00375	cbb:CLD_3692
ko:K00763	cbb:CLD_3127
ko:K06179	cbb:CLD_3118
ko:K00767	cbb:CLD_3103
ko:K07106	cbb:CLD_3192
ko:K09957	cbb:CLD_3189
ko:K02035	cbb:CLD_3182
ko:K02033	cbb:CLD_3181
ko:K02034	cbb:CLD_3180
ko:K02031	cbb:CLD_3179
ko:K09816	cbb:CLD_3176
ko:K09817	cbb:CLD_3175
ko:K00901	cbb:CLD_1598
ko:K03718	cbb:CLD_0223
ko:K02003	cbb:CLD_0701
ko:K07507	cbb:CLD_0694
ko:K04068	cbb:CLD_0692
ko:K01870	cbb:CLD_0687
ko:K02529	cbb:CLD_0686
ko:K06898	cbb:CLD_0681
ko:K05936	cbb:CLD_3613
ko:K05895	cbb:CLD_3610
ko:K02013	cbb:CLD_3593
ko:K02015	cbb:CLD_3592
ko:K02016	cbb:CLD_3591
ko:K10254	cbb:CLD_2582
ko:K00973	cbb:CLD_2572
ko:K07129	cbb:CLD_2562
ko:K01928	cbb:CLD_3093
ko:K01929	cbb:CLD_3092
ko:K01000	cbb:CLD_3091
ko:K03588	cbb:CLD_3090
ko:K03589	cbb:CLD_3089
ko:K06997	cbb:CLD_3085
ko:K09772	cbb:CLD_3084
ko:K02221	cbb:CLD_3083
ko:K04074	cbb:CLD_3081
ko:K01735	cbb:CLD_3080
ko:K03856	cbb:CLD_3078
ko:K00800	cbb:CLD_3077
ko:K03101	cbb:CLD_3075
ko:K06180	cbb:CLD_3074
ko:K01142	cbb:CLD_3071
ko:K07444	cbb:CLD_3070
ko:K01673	cbb:CLD_3069
ko:K02020	cbb:CLD_3068
ko:K02018	cbb:CLD_3067
ko:K07001	cbb:CLD_3064
ko:K01914	cbb:CLD_3049
ko:K03169	cbb:CLD_3047
ko:K02003	cbb:CLD_3043
ko:K01698	cbb:CLD_3636
ko:K06042	cbb:CLD_3634
ko:K03399	cbb:CLD_3624
ko:K07258	cbb:CLD_2781
ko:K00756	cbb:CLD_2777
ko:K07699	cbb:CLD_2765
ko:K06399	cbb:CLD_2764
ko:K00651	cbb:CLD_2763
ko:K00003	cbb:CLD_2762
ko:K01740	cbb:CLD_2761
ko:K03631	cbb:CLD_2760
ko:K03402	cbb:CLD_2759
ko:K00858	cbb:CLD_2758
ko:K01662	cbb:CLD_2756
ko:K07030	cbb:CLD_2141
ko:K02902	cbb:CLD_2139
ko:K01783	cbb:CLD_2135
ko:K06949	cbb:CLD_2134
ko:K06941	cbb:CLD_2131
ko:K06973	cbb:CLD_2129
ko:K00604	cbb:CLD_2128
ko:K01462	cbb:CLD_2127
ko:K00942	cbb:CLD_2123
ko:K09777	cbb:CLD_2122
ko:K03625	cbb:CLD_2751
ko:K06397	cbb:CLD_2749
ko:K06396	cbb:CLD_2748
ko:K06394	cbb:CLD_2746
ko:K06393	cbb:CLD_2745
ko:K06392	cbb:CLD_2744
ko:K06391	cbb:CLD_2743
ko:K06390	cbb:CLD_2742
ko:K00891	cbb:CLD_2738
ko:K03284	cbb:CLD_0736
ko:K00943	cbb:CLD_0731
ko:K07056	cbb:CLD_0724
ko:K06284	cbb:CLD_0722
ko:K01478	cbb:CLD_0720
ko:K01770	cbb:CLD_0719
ko:K06373	cbb:CLD_0716
ko:K06374	cbb:CLD_0715
ko:K04763	cbb:CLD_2775
ko:K01262	cbb:CLD_0207
ko:K06200	cbb:CLD_0200
ko:K03282	cbb:CLD_0196
ko:K11071	cbb:CLD_0188
ko:K03100	cbb:CLD_0178
ko:K06871	cbb:CLD_0173
ko:K01893	cbb:CLD_0159
ko:K03088	cbb:CLD_0762
ko:K10536	cbb:CLD_3669
ko:K02231	cbb:CLD_3649
ko:K02232	cbb:CLD_3646
ko:K02227	cbb:CLD_3645
ko:K02007	cbb:CLD_3643
ko:K02008	cbb:CLD_3641
ko:K01749	cbb:CLD_3639
ko:K03738	cbb:CLD_2688
ko:K03637	cbb:CLD_2685
ko:K03639	cbb:CLD_2684
ko:K03750	cbb:CLD_2683
ko:K07219	cbb:CLD_2683
ko:K03750	cbb:CLD_2682
ko:K05773	cbb:CLD_2679
ko:K05772	cbb:CLD_2678
ko:K02003	cbb:CLD_2674
ko:K01163	cbb:CLD_3450
ko:K03308	cbb:CLD_2593
ko:K00030	cbb:CLD_0324
ko:K10026	cbb:CLD_2997
ko:K03426	cbb:CLD_0780
ko:K02824	cbb:CLD_3072
ko:K01625	cbb:CLD_0458
ko:K11072	cbb:CLD_0189
ko:K01183	cbb:CLD_3501
ko:K01183	cbb:CLD_1742
ko:K01809	cbb:CLD_0338
ko:K12574	cbb:CLD_2006
ko:K00602	cbb:CLD_1667
ko:K01890	cbb:CLD_1411
ko:K01784	cbb:CLD_1795
ko:K00260	cbb:CLD_2829
ko:K13292	cbb:CLD_1323
ko:K03406	cbb:CLD_1769
ko:K00297	cbb:CLD_2935
ko:K02598	cbb:CLD_3604
ko:K01104	cbb:CLD_1877
ko:K04477	cbb:CLD_1129
ko:K00059	cbb:CLD_0886
ko:K03827	cbb:CLD_3703
ko:K03769	cbb:CLD_0744
ko:K01654	cbb:CLD_1885
ko:K02503	cbb:CLD_1591
ko:K00657	cbb:CLD_2691
ko:K03574	cbb:CLD_0106
ko:K01297	cbb:CLD_0737
ko:K01308	cbb:CLD_3164
ko:K00558	cbb:CLD_2548
ko:K01187	cbb:CLD_2950
ko:K11752	cbb:CLD_1676
ko:K01580	cbb:CLD_2710
ko:K11927	cbb:CLD_0118
ko:K00059	cbb:CLD_0246
ko:K00995	cbb:CLD_3545
ko:K12410	cbb:CLD_0739
ko:K03657	cbb:CLD_A0129
ko:K03657	cbb:CLD_1179
ko:K06889	cbb:CLD_0202
ko:K06889	cbb:CLD_1688
ko:K02777	cbb:CLD_0472
ko:K06889	cbb:CLD_2601
ko:K01491	cbb:CLD_3397
ko:K06889	cbb:CLD_3688
ko:K00863	cbb:CLD_3590
ko:K06334	cbb:CLD_3337
ko:K06333	cbb:CLD_3338
ko:K07304	cbb:CLD_2703
ko:K01104	cbb:CLD_0643
ko:K02056	cbb:CLD_0555
ko:K02057	cbb:CLD_0554
ko:K02790	cbb:CLD_0462
ko:K02791	cbb:CLD_0462
ko:K06434	cbb:CLD_3527
ko:K09759	cbb:CLD_3547
ko:K01201	cbb:CLD_3368
ko:K03657	cbb:CLD_3123
ko:K01989	cbb:CLD_0088
ko:K02003	cbb:CLD_0166
ko:K03311	cbb:CLD_3758
ko:K00950	cbb:CLD_3742
ko:K03518	cbb:CLD_0498
ko:K00566	cbb:CLD_1636
ko:K01448	cbb:CLD_1529
ko:K13019	cbb:CLD_1440
ko:K01034	cbb:CLD_1723
ko:K06310	cbb:CLD_0663
ko:K06889	cbb:CLD_0563
ko:K07005	cbb:CLD_0123
ko:K00626	cbb:CLD_1331
ko:K07658	cbb:CLD_2108
ko:K06168	cbb:CLD_2839
ko:K03768	cbb:CLD_0922
ko:K03524	cbb:CLD_3444
ko:K05346	cbb:CLD_2990
ko:K00058	cbb:CLD_3436
ko:K00016	cbb:CLD_3035
ko:K06436	cbb:CLD_0671
ko:K01243	cbb:CLD_3079
ko:K04487	cbb:CLD_1997
ko:K03458	cbb:CLD_0437
ko:K03458	cbb:CLD_1655
ko:K04487	cbb:CLD_3387
ko:K01358	cbb:CLD_1300
ko:K01950	cbb:CLD_0212
ko:K00661	cbb:CLD_3445
ko:K01569	cbb:CLD_3707
ko:K01710	cbb:CLD_2571
ko:K02017	cbb:CLD_3066
ko:K01232	cbb:CLD_0485
ko:K01232	cbb:CLD_0473
ko:K01232	cbb:CLD_0461
ko:K02790	cbb:CLD_0484
ko:K02791	cbb:CLD_0484
ko:K01854	cbb:CLD_1880
ko:K00274	cbb:CLD_3371
ko:K01710	cbb:CLD_1863
ko:K02237	cbb:CLD_1566
ko:K03488	cbb:CLD_1715
ko:K02443	cbb:CLD_1804
ko:K02242	cbb:CLD_0609
ko:K03657	cbb:CLD_1639
ko:K00971	cbb:CLD_0684
ko:K00248	cbb:CLD_1332
ko:K00951	cbb:CLD_1481
ko:K06409	cbb:CLD_3117
ko:K01271	cbb:CLD_0408
ko:K01961	cbb:CLD_0890
ko:K08309	cbb:CLD_1533
ko:K06395	cbb:CLD_2747
ko:K07052	cbb:CLD_2365
ko:K10797	cbb:CLD_2412
ko:K11754	cbb:CLD_1373
ko:K13607	cbb:CLD_1231
ko:K07729	cbb:CLD_0180
ko:K06183	cbb:CLD_1249
ko:K07729	cbb:CLD_2280
ko:K03698	cbb:CLD_1325
ko:K13993	cbb:CLD_3741
ko:K13282	cbb:CLD_0667
ko:K01715	cbb:CLD_1329
ko:K13038	cbb:CLD_2125
ko:K01424	cbb:CLD_2120
ko:K02004	cbb:CLD_3146
ko:K01286	cbb:CLD_3133
ko:K00657	cbb:CLD_3395
ko:K03406	cbb:CLD_3183
ko:K13542	cbb:CLD_3638
ko:K05979	cbb:CLD_0930
ko:K09963	cbb:CLD_1166
ko:K09963	cbb:CLD_3190
ko:K00634	cbb:CLD_1079
ko:K06409	cbb:CLD_0947
ko:K07729	cbb:CLD_0298
ko:K04030	cbb:CLD_2531
ko:K06378	cbb:CLD_1451
ko:K06409	cbb:CLD_3116
ko:K03406	cbb:CLD_1746
ko:K01934	cbb:CLD_1958
ko:K12573	cbb:CLD_0543
ko:K01421	cbb:CLD_3574
ko:K01421	cbb:CLD_3573
ko:K07069	cbb:CLD_2603
ko:K10793	cbb:CLD_2158
ko:K01534	cbb:CLD_0267
ko:K03406	cbb:CLD_0198
ko:K03406	cbb:CLD_0073
ko:K03406	cbb:CLD_0350
ko:K03406	cbb:CLD_0034
ko:K03406	cbb:CLD_2993
ko:K03406	cbb:CLD_2866
ko:K03406	cbb:CLD_2708
ko:K00805	cbb:CLD_0376
ko:K13730	cbb:CLD_1436
ko:K03518	cbb:CLD_3281
ko:K02004	cbb:CLD_3346
ko:K02004	cbb:CLD_3042
ko:K07729	cbb:CLD_2600
ko:K02217	cbb:CLD_2854
ko:K13789	cbb:CLD_2754
ko:K01537	cbb:CLD_0217
ko:K00215	cbb:CLD_3769
ko:K03294	cbb:CLD_3162
ko:K03294	cbb:CLD_2390
ko:K01599	cbb:CLD_3055
ko:K01537	cbb:CLD_3018
ko:K03406	cbb:CLD_1319
ko:K06215	cbb:CLD_1774
ko:K00666	cbb:CLD_1230
ko:K00087	cbb:CLD_3283
ko:K07038	cbb:CLD_1127
ko:K10947	cbb:CLD_2255
ko:K12527	cbb:CLD_1658
ko:K09702	cbb:CLD_3585
ko:K01791	cbb:CLD_0637
ko:K06864	cbb:CLD_0682
ko:K01599	cbb:CLD_3062
ko:K03321	cbb:CLD_1173
ko:K02003	cbb:CLD_3656
ko:K02004	cbb:CLD_3656
ko:K01488	cbb:CLD_3575
ko:K01990	cbb:CLD_0191
ko:K05337	cbb:CLD_1339
ko:K06928	cbb:CLD_1648
ko:K01515	cbb:CLD_0270
ko:K03406	cbb:CLD_3028
ko:K06384	cbb:CLD_2773
ko:K02191	cbb:CLD_3622
ko:K02315	cbb:CLD_0877
ko:K02071	cbb:CLD_3054
ko:K03480	cbb:CLD_1819
ko:K03480	cbb:CLD_1735
ko:K03406	cbb:CLD_0305
ko:K01273	cbb:CLD_3348
ko:K01174	cbb:CLD_A0131
ko:K01958	cbb:CLD_1211
ko:K01990	cbb:CLD_1626
ko:K13820	cbb:CLD_1917
ko:K03394	cbb:CLD_3614
ko:K04028	cbb:CLD_2530
ko:K01537	cbb:CLD_1929
ko:K02414	cbb:CLD_1906
ko:K02407	cbb:CLD_1841
ko:K05832	cbb:CLD_0090
ko:K05833	cbb:CLD_0089
ko:K02004	cbb:CLD_3782
ko:K03719	cbb:CLD_3729
ko:K01046	cbb:CLD_3708
ko:K00104	cbb:CLD_3557
ko:K08982	cbb:CLD_3517
ko:K02057	cbb:CLD_0553
ko:K02030	cbb:CLD_0296
ko:K03317	cbb:CLD_0160
ko:K04720	cbb:CLD_3644
ko:K07343	cbb:CLD_0036
ko:K13653	cbb:CLD_2472
ko:K02009	cbb:CLD_3642
ko:K05934	cbb:CLD_3611
ko:K08587	cbb:CLD_2707
ko:K14228	cbb:CLD_0955
ko:K14228	cbb:CLD_0958
ko:K06972	cbb:CLD_1212
ko:K06857	cbb:CLD_2680
ko:K07496	cbb:CLD_A0156
ko:K07729	cbb:CLD_A0041
ko:K01784	cbb:CLD_1886
ko:K07079	cbb:CLD_3045
ko:K07005	cbb:CLD_3255
ko:K05967	cbb:CLD_3350
ko:K06425	cbb:CLD_3331
ko:K01449	cbb:CLD_0571
ko:K02004	cbb:CLD_0700
ko:K02029	cbb:CLD_0297
ko:K11046	cbb:CLD_0262
ko:K07216	cbb:CLD_0231
ko:K02004	cbb:CLD_2490
ko:K01271	cbb:CLD_2596
ko:K07099	cbb:CLD_0600
ko:K09766	cbb:CLD_0597
ko:K08978	cbb:CLD_3667
ko:K00941	cbb:CLD_0291
ko:K14223	cbb:CLD_0592
ko:K14155	cbb:CLD_3138
ko:K14232	cbb:CLD_0934
ko:K14232	cbb:CLD_1263
ko:K14232	cbb:CLD_1284
ko:K03798	cbb:CLD_0349
ko:K05919	cbb:CLD_1188
ko:K07979	cbb:CLD_1783
ko:K01358	cbb:CLD_2060
ko:K04763	cbb:CLD_2047
ko:K14229	cbb:CLD_1274
ko:K14229	cbb:CLD_1283
ko:K14224	cbb:CLD_0864
ko:K14224	cbb:CLD_0871
ko:K14224	cbb:CLD_0868
ko:K01784	cbb:CLD_2540
ko:K06147	cbb:CLD_3506
ko:K14235	cbb:CLD_1206
ko:K14220	cbb:CLD_0329
ko:K14220	cbb:CLD_0986
ko:K06425	cbb:CLD_3777
ko:K14220	cbb:CLD_0985
ko:K05847	cbb:CLD_2919
ko:K14225	cbb:CLD_1271
ko:K14225	cbb:CLD_1280
ko:K14225	cbb:CLD_1397
ko:K16961	cbb:CLD_3388
ko:K01449	cbb:CLD_1620
ko:K01990	cbb:CLD_3362
ko:K02030	cbb:CLD_3126
ko:K01980	cbb:CLD_3806
ko:K01980	cbb:CLD_3812
ko:K01980	cbb:CLD_3821
ko:K01980	cbb:CLD_3816
ko:K01980	cbb:CLD_3819
ko:K01980	cbb:CLD_3810
ko:K01980	cbb:CLD_3808
ko:K01980	cbb:CLD_3818
ko:K01980	cbb:CLD_3814
ko:K14228	cbb:CLD_1269
ko:K14228	cbb:CLD_1278
ko:K01983	cbb:CLD_3824
ko:K14225	cbb:CLD_1264
ko:K14225	cbb:CLD_1281
ko:K14225	cbb:CLD_1285
ko:K14225	cbb:CLD_1272
ko:K14219	cbb:CLD_0800
ko:K01628	cbb:CLD_3298
ko:K08281	cbb:CLD_3429
ko:K04072	cbb:CLD_0407
ko:K01599	cbb:CLD_2332
ko:K00215	cbb:CLD_1382
ko:K10907	cbb:CLD_1381
ko:K13626	cbb:CLD_1836
ko:K13653	cbb:CLD_0154
ko:K02224	cbb:CLD_3635
ko:K07335	cbb:CLD_0556
ko:K13479	cbb:CLD_3282
ko:K13530	cbb:CLD_0121
ko:K07723	cbb:CLD_1111
ko:K03624	cbb:CLD_0083
ko:K00974	cbb:CLD_2258
ko:K01011	cbb:CLD_3768
ko:K06518	cbb:CLD_0428
ko:K01977	cbb:CLD_3805
ko:K01977	cbb:CLD_3813
ko:K01977	cbb:CLD_3815
ko:K01977	cbb:CLD_3811
ko:K01977	cbb:CLD_3822
ko:K01977	cbb:CLD_3817
ko:K01977	cbb:CLD_3809
ko:K01977	cbb:CLD_3807
ko:K01977	cbb:CLD_3820
ko:K05020	cbb:CLD_3432
ko:K07729	cbb:CLD_2417
ko:K14228	cbb:CLD_1495
ko:K02029	cbb:CLD_3125
ko:K14223	cbb:CLD_1267
ko:K14223	cbb:CLD_1276
ko:K02053	cbb:CLD_3452
ko:K14219	cbb:CLD_1265
ko:K14219	cbb:CLD_1282
ko:K14219	cbb:CLD_1273
ko:K03703	cbb:CLD_1327
ko:K14233	cbb:CLD_0801
ko:K14233	cbb:CLD_0803
ko:K14229	cbb:CLD_0763
ko:K14229	cbb:CLD_1268
ko:K14229	cbb:CLD_0769
ko:K14229	cbb:CLD_1277
ko:K00128	cbb:CLD_3461
ko:K01759	cbb:CLD_2397
ko:K05799	cbb:CLD_3034
ko:K14236	cbb:CLD_0614
ko:K14236	cbb:CLD_0618
ko:K14230	cbb:CLD_0814
ko:K14230	cbb:CLD_0979
ko:K12960	cbb:CLD_2271
ko:K14234	cbb:CLD_1007
ko:K03892	cbb:CLD_3801
ko:K09935	cbb:CLD_A0181
ko:K03527	cbb:CLD_2833
ko:K02945	cbb:CLD_2833
ko:K14230	cbb:CLD_0957
ko:K14230	cbb:CLD_0962
ko:K14226	cbb:CLD_1266
ko:K14226	cbb:CLD_1275
ko:K03088	cbb:CLD_3538
ko:K14228	cbb:CLD_1534
ko:K14155	cbb:CLD_2661
ko:K07284	cbb:CLD_2505
ko:K07005	cbb:CLD_3732
ko:K14230	cbb:CLD_0956
ko:K14230	cbb:CLD_0959
ko:K14230	cbb:CLD_0960
ko:K14230	cbb:CLD_0961
ko:K14222	cbb:CLD_0738
ko:K14222	cbb:CLD_1398
ko:K00674	cbb:CLD_1380
ko:K01978	cbb:CLD_3862
ko:K14441	cbb:CLD_2234
ko:K02004	cbb:CLD_3257
ko:K03324	cbb:CLD_1061
ko:K00008	cbb:CLD_1088
ko:K03406	cbb:CLD_1763
ko:K01267	cbb:CLD_1182
ko:K02005	cbb:CLD_0702
ko:K00941	cbb:CLD_3793
ko:K01985	cbb:CLD_0740
ko:K01985	cbb:CLD_0331
ko:K01985	cbb:CLD_0984
ko:K01985	cbb:CLD_0770
ko:K01985	cbb:CLD_0977
ko:K01985	cbb:CLD_0764
ko:K01985	cbb:CLD_0757
ko:K01985	cbb:CLD_0816
ko:K01985	cbb:CLD_0747
ko:K14219	cbb:CLD_0791
ko:K11069	cbb:CLD_0187
ko:K11070	cbb:CLD_0187
ko:K14231	cbb:CLD_0745
ko:K14231	cbb:CLD_0755
ko:K14231	cbb:CLD_1396
ko:K14234	cbb:CLD_0875
ko:K14234	cbb:CLD_0619
ko:K14234	cbb:CLD_0615
ko:K14234	cbb:CLD_0867
ko:K01449	cbb:CLD_1074
ko:K00433	cbb:CLD_3723
ko:K14224	cbb:CLD_0266
ko:K00334	cbb:CLD_2791
ko:K14233	cbb:CLD_0802
ko:K14233	cbb:CLD_0804
ko:K14225	cbb:CLD_1006
ko:K06147	cbb:CLD_2954
ko:K14219	cbb:CLD_1286
ko:K11261	cbb:CLD_2887
ko:K14237	cbb:CLD_0616
ko:K14237	cbb:CLD_0872
ko:K14237	cbb:CLD_0869
ko:K14237	cbb:CLD_0865
ko:K14237	cbb:CLD_1394
ko:K14221	cbb:CLD_0866
ko:K14221	cbb:CLD_0870
ko:K14221	cbb:CLD_1395
