ko:K18929	heg:HPGAM_00715
ko:K11085	heg:HPGAM_01990
ko:K01719	heg:HPGAM_06315
ko:K01455	heg:HPGAM_06395
ko:K07098	heg:HPGAM_02175
ko:K01262	heg:HPGAM_02215
ko:K03711	heg:HPGAM_02260
ko:K13640	heg:HPGAM_02270
ko:K00949	heg:HPGAM_06675
ko:K14048	heg:HPGAM_00395
ko:K03593	heg:HPGAM_01175
ko:K07126	heg:HPGAM_01205
ko:K01439	heg:HPGAM_01210
ko:K06910	heg:HPGAM_01245
ko:K07126	heg:HPGAM_01345
ko:K03406	heg:HPGAM_00535
ko:K03406	heg:HPGAM_00555
ko:K01119	heg:HPGAM_00560
ko:K03743	heg:HPGAM_04925
ko:K06179	heg:HPGAM_04945
ko:K03442	heg:HPGAM_05090
ko:K03406	heg:HPGAM_00440
ko:K03279	heg:HPGAM_00825
ko:K07126	heg:HPGAM_00830
ko:K01585	heg:HPGAM_05315
ko:K00058	heg:HPGAM_05430
ko:K06196	heg:HPGAM_01500
ko:K04093	heg:HPGAM_01630
ko:K03342	heg:HPGAM_01640
ko:K03784	heg:HPGAM_06105
ko:K03317	heg:HPGAM_06115
ko:K01674	heg:HPGAM_06150
ko:K02843	heg:HPGAM_06170
ko:K14232	heg:HPGAM_t08553
ko:K01992	heg:HPGAM_03145
ko:K01992	heg:HPGAM_03150
ko:K00939	heg:HPGAM_03180
ko:K01507	heg:HPGAM_03195
ko:K00674	heg:HPGAM_03225
ko:K07126	heg:HPGAM_03230
ko:K01885	heg:HPGAM_03320
ko:K03469	heg:HPGAM_03420
ko:K02067	heg:HPGAM_07705
ko:K02242	heg:HPGAM_07750
ko:K00616	heg:HPGAM_07865
ko:K14219	heg:HPGAM_t08547
ko:K04763	heg:HPGAM_03480
ko:K00567	heg:HPGAM_03485
ko:K13016	heg:HPGAM_03495
ko:K16052	heg:HPGAM_05350
ko:K00626	heg:HPGAM_03600
ko:K01424	heg:HPGAM_03725
ko:K01156	heg:HPGAM_08015
ko:K07316	heg:HPGAM_08025
ko:K07126	heg:HPGAM_08170
ko:K02342	heg:HPGAM_08175
ko:K14224	heg:HPGAM_t08507
ko:K14221	heg:HPGAM_t08509
ko:K14237	heg:HPGAM_t08511
ko:K14224	heg:HPGAM_t08513
ko:K14229	heg:HPGAM_t08515
ko:K14237	heg:HPGAM_t08517
ko:K14220	heg:HPGAM_t08521
ko:K14219	heg:HPGAM_t08525
ko:K14233	heg:HPGAM_t08527
ko:K14232	heg:HPGAM_t08529
ko:K14219	heg:HPGAM_t08533
ko:K14230	heg:HPGAM_t08531
ko:K14230	heg:HPGAM_t08535
ko:K14223	heg:HPGAM_t08537
ko:K14225	heg:HPGAM_t08539
ko:K14228	heg:HPGAM_t08541
ko:K14233	heg:HPGAM_t08545
ko:K01985	heg:HPGAM_r08579
ko:K01985	heg:HPGAM_r08581
ko:K01980	heg:HPGAM_r08587
ko:K01980	heg:HPGAM_r08589
ko:K14228	heg:HPGAM_t08555
ko:K14227	heg:HPGAM_t08557
ko:K14218	heg:HPGAM_t08559
ko:K00076	heg:HPGAM_02325
ko:K03455	heg:HPGAM_02395
ko:K02017	heg:HPGAM_02415
ko:K01885	heg:HPGAM_02420
ko:K01679	heg:HPGAM_06845
ko:K02238	heg:HPGAM_07045
ko:K00769	heg:HPGAM_03800
ko:K06603	heg:HPGAM_03885
ko:K03386	heg:HPGAM_08350
ko:K01409	heg:HPGAM_08465
ko:K04655	heg:HPGAM_00230
ko:K04652	heg:HPGAM_04635
ko:K02029	heg:HPGAM_06050
ko:K02004	heg:HPGAM_04060
ko:K03635	heg:HPGAM_04125
ko:K05845	heg:HPGAM_04220
ko:K05846	heg:HPGAM_04220
ko:K00088	heg:HPGAM_04280
ko:K02433	heg:HPGAM_04285
ko:K08077	heg:HPGAM_02585
ko:K07126	heg:HPGAM_02650
ko:K04517	heg:HPGAM_07145
ko:K03279	heg:HPGAM_07235
ko:K00059	heg:HPGAM_02875
ko:K00971	heg:HPGAM_00205
ko:K07457	heg:HPGAM_03105
ko:K03768	heg:HPGAM_07580
ko:K06346	heg:HPGAM_07635
ko:K00652	heg:HPGAM_03075
ko:K14235	heg:HPGAM_t08563
ko:K03196	heg:HPGAM_07465
ko:K11028	heg:HPGAM_04550
ko:K15847	heg:HPGAM_04615
ko:K12086	heg:HPGAM_02655
ko:K12088	heg:HPGAM_02665
ko:K12089	heg:HPGAM_02670
ko:K12090	heg:HPGAM_02680
ko:K12092	heg:HPGAM_02695
ko:K12093	heg:HPGAM_02700
ko:K12094	heg:HPGAM_02705
ko:K12095	heg:HPGAM_02710
ko:K12096	heg:HPGAM_02715
ko:K12097	heg:HPGAM_02720
ko:K12098	heg:HPGAM_02725
ko:K12101	heg:HPGAM_02735
ko:K15842	heg:HPGAM_02795
ko:K12102	heg:HPGAM_02740
ko:K12103	heg:HPGAM_02745
ko:K12104	heg:HPGAM_02750
ko:K12105	heg:HPGAM_02755
ko:K12106	heg:HPGAM_02760
ko:K12107	heg:HPGAM_02765
ko:K12108	heg:HPGAM_02770
ko:K12109	heg:HPGAM_02775
ko:K12110	heg:HPGAM_02780
ko:K15848	heg:HPGAM_03715
ko:K15848	heg:HPGAM_03735
ko:K15843	heg:HPGAM_04700
ko:K15844	heg:HPGAM_04705
ko:K03196	heg:HPGAM_05140
ko:K03196	heg:HPGAM_07265
ko:K12091	heg:HPGAM_02690
ko:K12087	heg:HPGAM_02660
ko:K15845	heg:HPGAM_00040
ko:K10009	heg:HPGAM_04850
ko:K00970	heg:HPGAM_03290
ko:K03321	heg:HPGAM_01300
ko:K12369	heg:HPGAM_01675
ko:K01426	heg:HPGAM_01645
ko:K12371	heg:HPGAM_01685
ko:K07316	heg:HPGAM_00255
ko:K02424	heg:HPGAM_04855
ko:K12048	heg:HPGAM_07485
ko:K12049	heg:HPGAM_07490
ko:K12050	heg:HPGAM_07495
ko:K12050	heg:HPGAM_00190
ko:K07318	heg:HPGAM_06250
ko:K09477	heg:HPGAM_00740
ko:K03559	heg:HPGAM_05820
ko:K03559	heg:HPGAM_06915
ko:K12049	heg:HPGAM_00195
ko:K12977	heg:HPGAM_00105
ko:K12048	heg:HPGAM_00200
ko:K12052	heg:HPGAM_00180
ko:K03191	heg:HPGAM_00385
ko:K13797	heg:HPGAM_06195
ko:K15895	heg:HPGAM_05595
ko:K15896	heg:HPGAM_01820
ko:K02003	heg:HPGAM_00925
ko:K11782	heg:HPGAM_04015
ko:K01738	heg:HPGAM_00575
ko:K01760	heg:HPGAM_00570
ko:K07316	heg:HPGAM_08020
ko:K01990	heg:HPGAM_06295
ko:K17103	heg:HPGAM_02045
ko:K03559	heg:HPGAM_07610
ko:K02484	heg:HPGAM_00845
ko:K02484	heg:HPGAM_07060
ko:K02847	heg:HPGAM_02205
ko:K01992	heg:HPGAM_07825
ko:K12053	heg:HPGAM_00085
ko:K12053	heg:HPGAM_07505
ko:K17686	heg:HPGAM_07910
ko:K17686	heg:HPGAM_02040
ko:K07318	heg:HPGAM_07885
ko:K05540	heg:HPGAM_03745
ko:K11928	heg:HPGAM_00280
ko:K01658	heg:HPGAM_06630
ko:K12574	heg:HPGAM_07310
ko:K01156	heg:HPGAM_07165
ko:K00290	heg:HPGAM_07930
ko:K01497	heg:HPGAM_04135
ko:K00254	heg:HPGAM_02340
ko:K05922	heg:HPGAM_03250
ko:K05927	heg:HPGAM_03245
ko:K00104	heg:HPGAM_02595
ko:K07812	heg:HPGAM_05380
ko:K13979	heg:HPGAM_08135
ko:K06148	heg:HPGAM_06240
ko:K03605	heg:HPGAM_03260
ko:K05366	heg:HPGAM_03070
ko:K12051	heg:HPGAM_00185
ko:K11784	heg:HPGAM_03390
ko:K12048	heg:HPGAM_05115
ko:K07126	heg:HPGAM_01860
ko:K12051	heg:HPGAM_07500
ko:K11785	heg:HPGAM_00790
ko:K18284	heg:HPGAM_00485
ko:K18285	heg:HPGAM_03375
ko:K16235	heg:HPGAM_02310
ko:K18480	heg:HPGAM_07700
ko:K00681	heg:HPGAM_05765
ko:K07316	heg:HPGAM_07160
ko:K18930	heg:HPGAM_06305
ko:K03204	heg:HPGAM_05110
ko:K03205	heg:HPGAM_05160
ko:K03497	heg:HPGAM_05865
ko:K03496	heg:HPGAM_05870
ko:K03111	heg:HPGAM_06445
ko:K03196	heg:HPGAM_02685
ko:K03205	heg:HPGAM_07455
ko:K03761	heg:HPGAM_01940
ko:K00335	heg:HPGAM_06550
ko:K02483	heg:HPGAM_00850
ko:K03526	heg:HPGAM_03220
ko:K03296	heg:HPGAM_03130
ko:K00336	heg:HPGAM_06555
ko:K07448	heg:HPGAM_02000
ko:K19157	heg:HPGAM_05165
ko:K19157	heg:HPGAM_04595
ko:K19157	heg:HPGAM_04605
ko:K00571	heg:HPGAM_00245
ko:K00571	heg:HPGAM_00500
ko:K00571	heg:HPGAM_01490
ko:K00571	heg:HPGAM_07075
ko:K00525	heg:HPGAM_03500
ko:K00020	heg:HPGAM_03300
ko:K07317	heg:HPGAM_04680
ko:K04771	heg:HPGAM_02305
ko:K01992	heg:HPGAM_07820
ko:K19302	heg:HPGAM_04390
ko:K19416	heg:HPGAM_04750
ko:K02483	heg:HPGAM_02185
ko:K12053	heg:HPGAM_05100
ko:K04763	heg:HPGAM_07345
ko:K20151	heg:HPGAM_05520
ko:K20810	heg:HPGAM_01510
ko:K20151	heg:HPGAM_03360
ko:K12052	heg:HPGAM_07375
ko:K07100	heg:HPGAM_06275
ko:K02335	heg:HPGAM_07735
ko:K02335	heg:HPGAM_02290
ko:K03553	heg:HPGAM_00795
ko:K00558	heg:HPGAM_05780
ko:K06223	heg:HPGAM_02440
ko:K00558	heg:HPGAM_02450
ko:K02314	heg:HPGAM_07050
ko:K06223	heg:HPGAM_07890
ko:K03465	heg:HPGAM_08080
ko:K01520	heg:HPGAM_04450
ko:K02316	heg:HPGAM_00060
ko:K00558	heg:HPGAM_00275
ko:K02483	heg:HPGAM_07065
ko:K00526	heg:HPGAM_05605
ko:K02481	heg:HPGAM_03625
ko:K01139	heg:HPGAM_04000
ko:K07097	heg:HPGAM_02190
ko:K02483	heg:HPGAM_08200
ko:K10026	heg:HPGAM_04815
ko:K21929	heg:HPGAM_03355
ko:K03595	heg:HPGAM_02640
ko:K22278	heg:HPGAM_01730
ko:K14441	heg:HPGAM_03795
ko:K22391	heg:HPGAM_04960
ko:K17758	heg:HPGAM_07055
ko:K17759	heg:HPGAM_07055
ko:K00590	heg:HPGAM_07080
ko:K00571	heg:HPGAM_06990
ko:K01007	heg:HPGAM_00640
