ko:K12978	ftz:CH68_1842
ko:K00574	ftz:CH68_605
ko:K09701	ftz:CH68_607
ko:K03581	ftz:CH68_724
ko:K03525	ftz:CH68_725
ko:K01579	ftz:CH68_726
ko:K01918	ftz:CH68_727
ko:K00606	ftz:CH68_728
ko:K01972	ftz:CH68_730
ko:K11074	ftz:CH68_734
ko:K11075	ftz:CH68_735
ko:K11076	ftz:CH68_736
ko:K01916	ftz:CH68_742
ko:K03543	ftz:CH68_744
ko:K03446	ftz:CH68_745
ko:K01897	ftz:CH68_746
ko:K03305	ftz:CH68_748
ko:K09761	ftz:CH68_749
ko:K02067	ftz:CH68_752
ko:K02065	ftz:CH68_753
ko:K02066	ftz:CH68_754
ko:K06180	ftz:CH68_756
ko:K05807	ftz:CH68_757
ko:K00600	ftz:CH68_760
ko:K09889	ftz:CH68_761
ko:K01442	ftz:CH68_767
ko:K03305	ftz:CH68_768
ko:K03305	ftz:CH68_769
ko:K04075	ftz:CH68_770
ko:K00058	ftz:CH68_771
ko:K13292	ftz:CH68_773
ko:K08300	ftz:CH68_774
ko:K04487	ftz:CH68_776
ko:K02653	ftz:CH68_893
ko:K02652	ftz:CH68_894
ko:K01126	ftz:CH68_896
ko:K03802	ftz:CH68_897
ko:K01770	ftz:CH68_899
ko:K02071	ftz:CH68_905
ko:K08591	ftz:CH68_906
ko:K00773	ftz:CH68_910
ko:K03210	ftz:CH68_916
ko:K03072	ftz:CH68_917
ko:K03074	ftz:CH68_918
ko:K03089	ftz:CH68_920
ko:K00800	ftz:CH68_921
ko:K03469	ftz:CH68_923
ko:K01424	ftz:CH68_924
ko:K01673	ftz:CH68_925
ko:K06956	ftz:CH68_932
ko:K00820	ftz:CH68_933
ko:K07480	ftz:CH68_935
ko:K03526	ftz:CH68_944
ko:K05810	ftz:CH68_945
ko:K01262	ftz:CH68_946
ko:K01590	ftz:CH68_1006
ko:K03652	ftz:CH68_1009
ko:K03811	ftz:CH68_1011
ko:K03455	ftz:CH68_1012
ko:K06987	ftz:CH68_1017
ko:K00948	ftz:CH68_1018
ko:K02897	ftz:CH68_1019
ko:K06942	ftz:CH68_1024
ko:K01056	ftz:CH68_1025
ko:K17836	ftz:CH68_1026
ko:K02654	ftz:CH68_1028
ko:K00322	ftz:CH68_1029
ko:K10716	ftz:CH68_1030
ko:K03305	ftz:CH68_1032
ko:K03667	ftz:CH68_1033
ko:K01419	ftz:CH68_1034
ko:K03800	ftz:CH68_1036
ko:K01866	ftz:CH68_1037
ko:K00101	ftz:CH68_1041
ko:K18930	ftz:CH68_1043
ko:K18930	ftz:CH68_1044
ko:K08325	ftz:CH68_1045
ko:K02687	ftz:CH68_1046
ko:K03427	ftz:CH68_1048
ko:K02346	ftz:CH68_1053
ko:K06158	ftz:CH68_1056
ko:K03674	ftz:CH68_1057
ko:K01442	ftz:CH68_1170
ko:K03437	ftz:CH68_1171
ko:K02168	ftz:CH68_1172
ko:K02168	ftz:CH68_1174
ko:K12267	ftz:CH68_1175
ko:K07552	ftz:CH68_1177
ko:K18979	ftz:CH68_1180
ko:K18979	ftz:CH68_1181
ko:K09710	ftz:CH68_1182
ko:K03657	ftz:CH68_1185
ko:K03657	ftz:CH68_1187
ko:K01872	ftz:CH68_1188
ko:K01255	ftz:CH68_1190
ko:K00616	ftz:CH68_1191
ko:K06980	ftz:CH68_1197
ko:K03656	ftz:CH68_1198
ko:K00243	ftz:CH68_1199
ko:K07146	ftz:CH68_1200
ko:K03554	ftz:CH68_1201
ko:K07154	ftz:CH68_1209
ko:K03500	ftz:CH68_1215
ko:K03500	ftz:CH68_1217
ko:K01092	ftz:CH68_1218
ko:K06141	ftz:CH68_1220
ko:K09458	ftz:CH68_1223
ko:K02078	ftz:CH68_1224
ko:K03499	ftz:CH68_1334
ko:K02518	ftz:CH68_1338
ko:K07090	ftz:CH68_1339
ko:K03106	ftz:CH68_1341
ko:K01626	ftz:CH68_1342
ko:K06987	ftz:CH68_1347
ko:K01142	ftz:CH68_1348
ko:K00383	ftz:CH68_1352
ko:K03305	ftz:CH68_1356
ko:K11927	ftz:CH68_1355
ko:K01495	ftz:CH68_1357
ko:K01658	ftz:CH68_1366
ko:K03342	ftz:CH68_1367
ko:K01633	ftz:CH68_1369
ko:K13941	ftz:CH68_1370
ko:K00833	ftz:CH68_1376
ko:K01012	ftz:CH68_1377
ko:K00652	ftz:CH68_1378
ko:K02169	ftz:CH68_1379
ko:K01935	ftz:CH68_1380
ko:K03524	ftz:CH68_1381
ko:K00845	ftz:CH68_1382
ko:K01574	ftz:CH68_1385
ko:K00019	ftz:CH68_1387
ko:K00432	ftz:CH68_1501
ko:K01488	ftz:CH68_1506
ko:K00278	ftz:CH68_1508
ko:K00767	ftz:CH68_1509
ko:K03517	ftz:CH68_1510
ko:K00942	ftz:CH68_1511
ko:K05592	ftz:CH68_1512
ko:K03769	ftz:CH68_1513
ko:K08137	ftz:CH68_1515
ko:K00965	ftz:CH68_1516
ko:K00849	ftz:CH68_1518
ko:K00979	ftz:CH68_1519
ko:K09791	ftz:CH68_1520
ko:K02887	ftz:CH68_1525
ko:K02916	ftz:CH68_1526
ko:K02520	ftz:CH68_1527
ko:K01868	ftz:CH68_1528
ko:K02437	ftz:CH68_1532
ko:K02563	ftz:CH68_1533
ko:K09747	ftz:CH68_1534
ko:K06187	ftz:CH68_1535
ko:K03762	ftz:CH68_1540
ko:K01424	ftz:CH68_1546
ko:K13282	ftz:CH68_1547
ko:K03811	ftz:CH68_1655
ko:K03215	ftz:CH68_1658
ko:K03060	ftz:CH68_1661
ko:K00876	ftz:CH68_1662
ko:K01627	ftz:CH68_1663
ko:K15724	ftz:CH68_1664
ko:K00962	ftz:CH68_1665
ko:K02956	ftz:CH68_1666
ko:K03587	ftz:CH68_1667
ko:K03586	ftz:CH68_1668
ko:K03438	ftz:CH68_1669
ko:K10563	ftz:CH68_1671
ko:K08681	ftz:CH68_1674
ko:K06215	ftz:CH68_1675
ko:K02470	ftz:CH68_1676
ko:K05539	ftz:CH68_1678
ko:K01903	ftz:CH68_1682
ko:K01902	ftz:CH68_1683
ko:K03305	ftz:CH68_1688
ko:K03305	ftz:CH68_1690
ko:K01424	ftz:CH68_1691
ko:K06201	ftz:CH68_1695
ko:K01091	ftz:CH68_1698
ko:K00384	ftz:CH68_1700
ko:K03572	ftz:CH68_1706
ko:K01883	ftz:CH68_1820
ko:K07320	ftz:CH68_1821
ko:K07552	ftz:CH68_1822
ko:K02672	ftz:CH68_1827
ko:K11928	ftz:CH68_1838
ko:K02446	ftz:CH68_1839
ko:K07018	ftz:CH68_1840
ko:K11733	ftz:CH68_1841
ko:K03466	ftz:CH68_1843
ko:K03634	ftz:CH68_1844
ko:K03498	ftz:CH68_1847
ko:K03607	ftz:CH68_1849
ko:K01153	ftz:CH68_1852
ko:K04077	ftz:CH68_1855
ko:K04078	ftz:CH68_1856
ko:K09861	ftz:CH68_1861
ko:K00783	ftz:CH68_1865
ko:K02493	ftz:CH68_1864
ko:K02835	ftz:CH68_1866
ko:K02492	ftz:CH68_1867
ko:K00342	ftz:CH68_1973
ko:K00341	ftz:CH68_1974
ko:K00340	ftz:CH68_1975
ko:K00339	ftz:CH68_1976
ko:K00338	ftz:CH68_1977
ko:K00337	ftz:CH68_1978
ko:K00336	ftz:CH68_1979
ko:K00335	ftz:CH68_1980
ko:K00334	ftz:CH68_1981
ko:K00333	ftz:CH68_1982
ko:K00332	ftz:CH68_1983
ko:K00331	ftz:CH68_1984
ko:K00330	ftz:CH68_1985
ko:K03711	ftz:CH68_1986
ko:K01586	ftz:CH68_1989
ko:K02434	ftz:CH68_1995
ko:K02433	ftz:CH68_1996
ko:K02435	ftz:CH68_1997
ko:K01756	ftz:CH68_2005
ko:K01952	ftz:CH68_2015
ko:K00764	ftz:CH68_2016
ko:K01580	ftz:CH68_2018
ko:K06133	ftz:CH68_2019
ko:K12340	ftz:CH68_2020
ko:K00573	ftz:CH68_2021
ko:K08303	ftz:CH68_2022
ko:K00766	ftz:CH68_2128
ko:K01658	ftz:CH68_2129
ko:K01657	ftz:CH68_2130
ko:K03720	ftz:CH68_2131
ko:K08301	ftz:CH68_2134
ko:K02313	ftz:CH68_2135
ko:K02338	ftz:CH68_2137
ko:K03316	ftz:CH68_2140
ko:K04773	ftz:CH68_2143
ko:K01011	ftz:CH68_2145
ko:K03071	ftz:CH68_2146
ko:K22468	ftz:CH68_588
ko:K01183	ftz:CH68_1647
ko:K01992	ftz:CH68_1641
ko:K00020	ftz:CH68_18
ko:K00020	ftz:CH68_19
ko:K01152	ftz:CH68_14
ko:K01152	ftz:CH68_1863
ko:K00526	ftz:CH68_1055
ko:K03676	ftz:CH68_1055
ko:K09701	ftz:CH68_606
ko:K15342	ftz:CH68_1429
ko:K04744	ftz:CH68_1489
ko:K08156	ftz:CH68_1696
ko:K14234	ftz:CH68_2133
ko:K01980	ftz:CH68_124
ko:K01980	ftz:CH68_1266
ko:K01980	ftz:CH68_477
ko:K14218	ftz:CH68_123
ko:K14218	ftz:CH68_476
ko:K14218	ftz:CH68_1265
ko:K14219	ftz:CH68_326
ko:K14231	ftz:CH68_1545
ko:K14233	ftz:CH68_1470
ko:K14237	ftz:CH68_1660
ko:K14237	ftz:CH68_472
ko:K14228	ftz:CH68_715
ko:K14226	ftz:CH68_1542
ko:K14225	ftz:CH68_1899
ko:K14230	ftz:CH68_1965
ko:K14230	ftz:CH68_1850
ko:K14221	ftz:CH68_2132
ko:K14223	ftz:CH68_157
ko:K14224	ftz:CH68_234
ko:K01985	ftz:CH68_125
ko:K01985	ftz:CH68_1267
ko:K01985	ftz:CH68_478
ko:K01985	ftz:CH68_508
ko:K14237	ftz:CH68_1395
ko:K14222	ftz:CH68_714
ko:K14228	ftz:CH68_1931
ko:K14228	ftz:CH68_1541
ko:K14230	ftz:CH68_587
ko:K14233	ftz:CH68_471
ko:K14233	ftz:CH68_370
ko:K14234	ftz:CH68_1898
ko:K14219	ftz:CH68_1858
ko:K14229	ftz:CH68_1614
ko:K14236	ftz:CH68_1900
ko:K14219	ftz:CH68_1543
ko:K14232	ftz:CH68_1544
ko:K07666	ftz:CH68_596
ko:K14225	ftz:CH68_325
ko:K14225	ftz:CH68_713
ko:K14220	ftz:CH68_704
ko:K19802	ftz:CH68_1497
ko:K19810	ftz:CH68_1476
ko:K05770	ftz:CH68_1173
ko:K20265	ftz:CH68_1402
ko:K20265	ftz:CH68_1403
ko:K20265	ftz:CH68_288
ko:K20265	ftz:CH68_1335
ko:K20265	ftz:CH68_1713
ko:K00507	ftz:CH68_601
ko:K00507	ftz:CH68_1885
ko:K13713	ftz:CH68_420
ko:K20534	ftz:CH68_674
ko:K01932	ftz:CH68_1539
ko:K13004	ftz:CH68_642
ko:K01200	ftz:CH68_517
ko:K21053	ftz:CH68_1374
ko:K21053	ftz:CH68_1375
ko:K00632	ftz:CH68_630
ko:K02335	ftz:CH68_1802
ko:K00287	ftz:CH68_236
ko:K01520	ftz:CH68_243
ko:K06197	ftz:CH68_875
ko:K00560	ftz:CH68_772
ko:K13522	ftz:CH68_487
ko:K03462	ftz:CH68_626
ko:K06217	ftz:CH68_954
ko:K00857	ftz:CH68_958
ko:K02314	ftz:CH68_1101
ko:K02316	ftz:CH68_1127
ko:K00558	ftz:CH68_2012
ko:K00558	ftz:CH68_2013
ko:K00558	ftz:CH68_2014
ko:K02483	ftz:CH68_612
ko:K03293	ftz:CH68_405
ko:K03271	ftz:CH68_61
ko:K00525	ftz:CH68_1058
ko:K01139	ftz:CH68_1536
ko:K01582	ftz:CH68_511
ko:K21600	ftz:CH68_1086
ko:K04103	ftz:CH68_2141
ko:K21829	ftz:CH68_367
ko:K22116	ftz:CH68_1538
ko:K03595	ftz:CH68_852
ko:K22132	ftz:CH68_1063
ko:K22132	ftz:CH68_1066
ko:K02257	ftz:CH68_206
ko:K13566	ftz:CH68_693
