ko:K01699	lmow:AX10_14270
ko:K03095	lmow:AX10_13030
ko:K02761	lmow:AX10_13060
ko:K03492	lmow:AX10_13065
ko:K00383	lmow:AX10_13095
ko:K00135	lmow:AX10_13130
ko:K02760	lmow:AX10_13135
ko:K02761	lmow:AX10_13140
ko:K02759	lmow:AX10_13145
ko:K01223	lmow:AX10_13150
ko:K03491	lmow:AX10_13155
ko:K07089	lmow:AX10_13165
ko:K08986	lmow:AX10_13170
ko:K00867	lmow:AX10_13175
ko:K03652	lmow:AX10_13200
ko:K03700	lmow:AX10_03695
ko:K05366	lmow:AX10_03700
ko:K10773	lmow:AX10_03710
ko:K02086	lmow:AX10_03715
ko:K01893	lmow:AX10_03720
ko:K00812	lmow:AX10_03725
ko:K01579	lmow:AX10_03740
ko:K01918	lmow:AX10_03745
ko:K00606	lmow:AX10_03750
ko:K03524	lmow:AX10_03760
ko:K00974	lmow:AX10_03765
ko:K01734	lmow:AX10_03770
ko:K00215	lmow:AX10_03775
ko:K00027	lmow:AX10_03815
ko:K00656	lmow:AX10_03825
ko:K07007	lmow:AX10_03830
ko:K06973	lmow:AX10_03835
ko:K00800	lmow:AX10_03855
ko:K04517	lmow:AX10_03860
ko:K00817	lmow:AX10_03865
ko:K06208	lmow:AX10_03870
ko:K01735	lmow:AX10_03875
ko:K01736	lmow:AX10_03880
ko:K00940	lmow:AX10_03885
ko:K00805	lmow:AX10_03890
ko:K03183	lmow:AX10_03895
ko:K00805	lmow:AX10_03900
ko:K01495	lmow:AX10_03905
ko:K03530	lmow:AX10_03910
ko:K01104	lmow:AX10_03915
ko:K00057	lmow:AX10_03920
ko:K03977	lmow:AX10_03925
ko:K02945	lmow:AX10_03930
ko:K00945	lmow:AX10_03935
ko:K01424	lmow:AX10_03940
ko:K03654	lmow:AX10_03950
ko:K02760	lmow:AX10_08095
ko:K02761	lmow:AX10_08100
ko:K03491	lmow:AX10_08105
ko:K03781	lmow:AX10_08110
ko:K02755	lmow:AX10_08120
ko:K02756	lmow:AX10_08120
ko:K02757	lmow:AX10_08120
ko:K03488	lmow:AX10_08125
ko:K02798	lmow:AX10_08170
ko:K02799	lmow:AX10_08180
ko:K02800	lmow:AX10_08180
ko:K01788	lmow:AX10_08190
ko:K03501	lmow:AX10_08195
ko:K03495	lmow:AX10_08235
ko:K03650	lmow:AX10_08240
ko:K00059	lmow:AX10_08260
ko:K08170	lmow:AX10_08275
ko:K00058	lmow:AX10_08305
ko:K00831	lmow:AX10_08310
ko:K07078	lmow:AX10_08330
ko:K01838	lmow:AX10_08340
ko:K00865	lmow:AX10_08345
ko:K04844	lmow:AX10_08350
ko:K07284	lmow:AX10_13205
ko:K03800	lmow:AX10_13215
ko:K03216	lmow:AX10_13240
ko:K01104	lmow:AX10_13255
ko:K06442	lmow:AX10_00905
ko:K03402	lmow:AX10_00910
ko:K03631	lmow:AX10_00915
ko:K00929	lmow:AX10_00925
ko:K00382	lmow:AX10_00930
ko:K00166	lmow:AX10_00935
ko:K00167	lmow:AX10_00940
ko:K09699	lmow:AX10_00945
ko:K00033	lmow:AX10_00960
ko:K03217	lmow:AX10_00975
ko:K01512	lmow:AX10_00985
ko:K01823	lmow:AX10_00995
ko:K07146	lmow:AX10_01000
ko:K03466	lmow:AX10_01010
ko:K00286	lmow:AX10_01015
ko:K07335	lmow:AX10_01020
ko:K02056	lmow:AX10_01025
ko:K02057	lmow:AX10_01030
ko:K02057	lmow:AX10_01035
ko:K00059	lmow:AX10_01050
ko:K00995	lmow:AX10_01060
ko:K03823	lmow:AX10_01080
ko:K09769	lmow:AX10_01085
ko:K03555	lmow:AX10_01095
ko:K03572	lmow:AX10_01100
ko:K02443	lmow:AX10_01105
ko:K00656	lmow:AX10_01110
ko:K04069	lmow:AX10_01115
ko:K07727	lmow:AX10_01135
ko:K00626	lmow:AX10_01150
ko:K01641	lmow:AX10_01155
ko:K06902	lmow:AX10_01165
ko:K00075	lmow:AX10_01180
ko:K05847	lmow:AX10_01185
ko:K06976	lmow:AX10_05340
ko:K01772	lmow:AX10_05350
ko:K01599	lmow:AX10_05355
ko:K01992	lmow:AX10_05365
ko:K01990	lmow:AX10_05370
ko:K02503	lmow:AX10_05375
ko:K07533	lmow:AX10_05390
ko:K03698	lmow:AX10_05395
ko:K01679	lmow:AX10_05420
ko:K01992	lmow:AX10_05425
ko:K01990	lmow:AX10_05430
ko:K12555	lmow:AX10_05440
ko:K00014	lmow:AX10_05475
ko:K01992	lmow:AX10_05490
ko:K01990	lmow:AX10_05495
ko:K07979	lmow:AX10_05500
ko:K13531	lmow:AX10_05505
ko:K13530	lmow:AX10_05510
ko:K06180	lmow:AX10_05515
ko:K07220	lmow:AX10_05535
ko:K03306	lmow:AX10_05540
ko:K02029	lmow:AX10_05545
ko:K02030	lmow:AX10_05545
ko:K02028	lmow:AX10_05550
ko:K06901	lmow:AX10_05565
ko:K05520	lmow:AX10_05575
ko:K02759	lmow:AX10_05585
ko:K06889	lmow:AX10_05600
ko:K08976	lmow:AX10_11815
ko:K07457	lmow:AX10_11825
ko:K00868	lmow:AX10_11845
ko:K00661	lmow:AX10_11855
ko:K01990	lmow:AX10_11870
ko:K01992	lmow:AX10_11875
ko:K02419	lmow:AX10_11930
ko:K02420	lmow:AX10_11935
ko:K02421	lmow:AX10_11940
ko:K02401	lmow:AX10_11945
ko:K02400	lmow:AX10_11950
ko:K02404	lmow:AX10_11955
ko:K02392	lmow:AX10_11960
ko:K00575	lmow:AX10_11965
ko:K02556	lmow:AX10_11975
ko:K02557	lmow:AX10_11980
ko:K03415	lmow:AX10_11995
ko:K02406	lmow:AX10_12000
ko:K03413	lmow:AX10_12005
ko:K03407	lmow:AX10_12010
ko:K02417	lmow:AX10_12015
ko:K02389	lmow:AX10_12030
ko:K02390	lmow:AX10_12035
ko:K02417	lmow:AX10_12040
ko:K02416	lmow:AX10_12045
ko:K02417	lmow:AX10_12050
ko:K09770	lmow:AX10_12065
ko:K02396	lmow:AX10_12075
ko:K02397	lmow:AX10_12080
ko:K02407	lmow:AX10_12085
ko:K02422	lmow:AX10_12090
ko:K07651	lmow:AX10_03970
ko:K07775	lmow:AX10_03975
ko:K06178	lmow:AX10_03980
ko:K06024	lmow:AX10_03985
ko:K05896	lmow:AX10_03990
ko:K01586	lmow:AX10_03995
ko:K03783	lmow:AX10_04000
ko:K01839	lmow:AX10_04005
ko:K04763	lmow:AX10_04010
ko:K03711	lmow:AX10_04015
ko:K02015	lmow:AX10_04020
ko:K02015	lmow:AX10_04025
ko:K02016	lmow:AX10_04030
ko:K02013	lmow:AX10_04040
ko:K01992	lmow:AX10_04055
ko:K01990	lmow:AX10_04060
ko:K01515	lmow:AX10_04065
ko:K07048	lmow:AX10_04090
ko:K03475	lmow:AX10_04095
ko:K02822	lmow:AX10_04100
ko:K02821	lmow:AX10_04105
ko:K03710	lmow:AX10_04110
ko:K02346	lmow:AX10_04115
ko:K07124	lmow:AX10_04120
ko:K00784	lmow:AX10_04125
ko:K00036	lmow:AX10_04130
ko:K01687	lmow:AX10_04155
ko:K01652	lmow:AX10_04160
ko:K01653	lmow:AX10_04165
ko:K00053	lmow:AX10_04170
ko:K01649	lmow:AX10_04175
ko:K00052	lmow:AX10_04180
ko:K01703	lmow:AX10_04185
ko:K01704	lmow:AX10_04190
ko:K01754	lmow:AX10_04195
ko:K01575	lmow:AX10_04200
ko:K00756	lmow:AX10_04205
ko:K02529	lmow:AX10_04210
ko:K01619	lmow:AX10_04215
ko:K05346	lmow:AX10_04220
ko:K02793	lmow:AX10_04225
ko:K02110	lmow:AX10_08915
ko:K02113	lmow:AX10_08920
ko:K02111	lmow:AX10_08925
ko:K02115	lmow:AX10_08930
ko:K02112	lmow:AX10_08935
ko:K02114	lmow:AX10_08940
ko:K02793	lmow:AX10_08955
ko:K02794	lmow:AX10_08955
ko:K02795	lmow:AX10_08960
ko:K01183	lmow:AX10_09000
ko:K06147	lmow:AX10_09010
ko:K06147	lmow:AX10_09015
ko:K01448	lmow:AX10_09120
ko:K01081	lmow:AX10_09125
ko:K00088	lmow:AX10_09135
ko:K06975	lmow:AX10_09145
ko:K02035	lmow:AX10_09150
ko:K02033	lmow:AX10_09155
ko:K02034	lmow:AX10_09160
ko:K04079	lmow:AX10_13275
ko:K04047	lmow:AX10_13280
ko:K03449	lmow:AX10_13300
ko:K01443	lmow:AX10_13345
ko:K02564	lmow:AX10_13350
ko:K03710	lmow:AX10_13355
ko:K02851	lmow:AX10_13360
ko:K08303	lmow:AX10_13370
ko:K03744	lmow:AX10_13375
ko:K03799	lmow:AX10_13380
ko:K07816	lmow:AX10_13400
ko:K00858	lmow:AX10_13405
ko:K06180	lmow:AX10_13410
ko:K00208	lmow:AX10_13415
ko:K03740	lmow:AX10_13420
ko:K14188	lmow:AX10_13425
ko:K03739	lmow:AX10_13430
ko:K03367	lmow:AX10_13435
ko:K01807	lmow:AX10_13445
ko:K00826	lmow:AX10_13460
ko:K01990	lmow:AX10_13465
ko:K01992	lmow:AX10_13470
ko:K00432	lmow:AX10_13485
ko:K11050	lmow:AX10_13500
ko:K11051	lmow:AX10_13505
ko:K02837	lmow:AX10_13510
ko:K05845	lmow:AX10_01190
ko:K05846	lmow:AX10_01190
ko:K03322	lmow:AX10_01200
ko:K05846	lmow:AX10_01205
ko:K05845	lmow:AX10_01210
ko:K05846	lmow:AX10_01215
ko:K05847	lmow:AX10_01220
ko:K16789	lmow:AX10_01225
ko:K00383	lmow:AX10_01245
ko:K12574	lmow:AX10_01250
ko:K01714	lmow:AX10_01255
ko:K00928	lmow:AX10_01260
ko:K00133	lmow:AX10_01265
ko:K04564	lmow:AX10_01275
ko:K07533	lmow:AX10_01300
ko:K02076	lmow:AX10_01305
ko:K09816	lmow:AX10_01310
ko:K09817	lmow:AX10_01315
ko:K15986	lmow:AX10_01320
ko:K01151	lmow:AX10_01325
ko:K03527	lmow:AX10_01335
ko:K06967	lmow:AX10_01345
ko:K03086	lmow:AX10_01350
ko:K09768	lmow:AX10_01360
ko:K09773	lmow:AX10_01365
ko:K01879	lmow:AX10_01370
ko:K01878	lmow:AX10_01375
ko:K03584	lmow:AX10_01380
ko:K01489	lmow:AX10_01395
ko:K07042	lmow:AX10_01405
ko:K07037	lmow:AX10_01410
ko:K09117	lmow:AX10_01420
ko:K02970	lmow:AX10_01425
ko:K09761	lmow:AX10_01430
ko:K02687	lmow:AX10_01435
ko:K03686	lmow:AX10_01440
ko:K04043	lmow:AX10_01445
ko:K03687	lmow:AX10_01450
ko:K03705	lmow:AX10_01455
ko:K16898	lmow:AX10_05625
ko:K16899	lmow:AX10_05630
ko:K02250	lmow:AX10_05640
ko:K02768	lmow:AX10_05650
ko:K02769	lmow:AX10_05650
ko:K02770	lmow:AX10_05650
ko:K00882	lmow:AX10_05655
ko:K03436	lmow:AX10_05660
ko:K01372	lmow:AX10_05665
ko:K16329	lmow:AX10_05675
ko:K06183	lmow:AX10_05685
ko:K16959	lmow:AX10_05710
ko:K16958	lmow:AX10_05715
ko:K16957	lmow:AX10_05720
ko:K00299	lmow:AX10_05730
ko:K02564	lmow:AX10_05765
ko:K01421	lmow:AX10_05775
ko:K01580	lmow:AX10_05790
ko:K01810	lmow:AX10_05900
ko:K02035	lmow:AX10_09220
ko:K09815	lmow:AX10_09225
ko:K09817	lmow:AX10_09230
ko:K09816	lmow:AX10_09235
ko:K17763	lmow:AX10_09265
ko:K02341	lmow:AX10_09270
ko:K07461	lmow:AX10_09290
ko:K07056	lmow:AX10_09295
ko:K06284	lmow:AX10_09300
ko:K05340	lmow:AX10_09305
ko:K01874	lmow:AX10_09340
ko:K02025	lmow:AX10_09350
ko:K02026	lmow:AX10_09355
ko:K02027	lmow:AX10_09360
ko:K01187	lmow:AX10_09370
ko:K01182	lmow:AX10_09375
ko:K03424	lmow:AX10_09380
ko:K05985	lmow:AX10_09390
ko:K02528	lmow:AX10_09395
ko:K00919	lmow:AX10_09405
ko:K03478	lmow:AX10_09410
ko:K09685	lmow:AX10_09415
ko:K02005	lmow:AX10_09420
ko:K02003	lmow:AX10_09425
ko:K02004	lmow:AX10_09430
ko:K06412	lmow:AX10_09435
ko:K06412	lmow:AX10_09440
ko:K04042	lmow:AX10_09445
ko:K00948	lmow:AX10_09450
ko:K01771	lmow:AX10_09460
ko:K11031	lmow:AX10_09465
ko:K00567	lmow:AX10_13550
ko:K03697	lmow:AX10_13555
ko:K07052	lmow:AX10_13560
ko:K10027	lmow:AX10_13570
ko:K11189	lmow:AX10_13580
ko:K08483	lmow:AX10_13585
ko:K00841	lmow:AX10_13600
ko:K05822	lmow:AX10_13625
ko:K05823	lmow:AX10_13630
ko:K02000	lmow:AX10_13645
ko:K02001	lmow:AX10_13650
ko:K02002	lmow:AX10_13655
ko:K06201	lmow:AX10_13665
ko:K00243	lmow:AX10_13670
ko:K11622	lmow:AX10_13675
ko:K11617	lmow:AX10_13680
ko:K11618	lmow:AX10_13685
ko:K03499	lmow:AX10_13690
ko:K12574	lmow:AX10_13710
ko:K02529	lmow:AX10_13725
ko:K00615	lmow:AX10_13735
ko:K00615	lmow:AX10_13740
ko:K00864	lmow:AX10_13745
ko:K02755	lmow:AX10_13750
ko:K02756	lmow:AX10_13750
ko:K02757	lmow:AX10_13750
ko:K03752	lmow:AX10_13765
ko:K02017	lmow:AX10_13770
ko:K02018	lmow:AX10_13775
ko:K02020	lmow:AX10_13780
ko:K03750	lmow:AX10_13785
ko:K03753	lmow:AX10_13790
ko:K03635	lmow:AX10_13795
ko:K03636	lmow:AX10_13800
ko:K03637	lmow:AX10_13805
ko:K03639	lmow:AX10_13810
ko:K03638	lmow:AX10_13815
ko:K03596	lmow:AX10_01475
ko:K02968	lmow:AX10_01480
ko:K02340	lmow:AX10_01485
ko:K02238	lmow:AX10_01490
ko:K02237	lmow:AX10_01500
ko:K09710	lmow:AX10_01510
ko:K00969	lmow:AX10_01520
ko:K07574	lmow:AX10_01525
ko:K00014	lmow:AX10_01530
ko:K06948	lmow:AX10_01535
ko:K07015	lmow:AX10_01540
ko:K01243	lmow:AX10_01550
ko:K03624	lmow:AX10_01560
ko:K00876	lmow:AX10_01565
ko:K07082	lmow:AX10_01575
ko:K07447	lmow:AX10_01590
ko:K01872	lmow:AX10_01600
ko:K02003	lmow:AX10_01605
ko:K02004	lmow:AX10_01610
ko:K03581	lmow:AX10_01625
ko:K00566	lmow:AX10_01640
ko:K04487	lmow:AX10_01645
ko:K07478	lmow:AX10_01650
ko:K03320	lmow:AX10_01660
ko:K04751	lmow:AX10_01665
ko:K01876	lmow:AX10_01675
ko:K01892	lmow:AX10_01680
ko:K01448	lmow:AX10_01685
ko:K07560	lmow:AX10_01690
ko:K00951	lmow:AX10_01695
ko:K00759	lmow:AX10_01700
ko:K07462	lmow:AX10_01705
ko:K12257	lmow:AX10_01715
ko:K03210	lmow:AX10_01725
ko:K00773	lmow:AX10_01730
ko:K07568	lmow:AX10_01735
ko:K03574	lmow:AX10_05905
ko:K07570	lmow:AX10_05910
ko:K14155	lmow:AX10_05915
ko:K02004	lmow:AX10_05920
ko:K02003	lmow:AX10_05925
ko:K02760	lmow:AX10_05930
ko:K00928	lmow:AX10_05935
ko:K03768	lmow:AX10_05945
ko:K05565	lmow:AX10_05955
ko:K05566	lmow:AX10_05960
ko:K05567	lmow:AX10_05965
ko:K05568	lmow:AX10_05970
ko:K05569	lmow:AX10_05975
ko:K05570	lmow:AX10_05980
ko:K05571	lmow:AX10_05985
ko:K09775	lmow:AX10_05995
ko:K03885	lmow:AX10_06010
ko:K00657	lmow:AX10_06065
ko:K07090	lmow:AX10_06085
ko:K07729	lmow:AX10_06105
ko:K09014	lmow:AX10_06120
ko:K04488	lmow:AX10_06125
ko:K11717	lmow:AX10_06130
ko:K09015	lmow:AX10_06135
ko:K09013	lmow:AX10_06140
ko:K02073	lmow:AX10_06150
ko:K02072	lmow:AX10_06155
ko:K02071	lmow:AX10_06160
ko:K03742	lmow:AX10_01065
ko:K01114	lmow:AX10_09480
ko:K00016	lmow:AX10_09505
ko:K02897	lmow:AX10_09510
ko:K01056	lmow:AX10_09520
ko:K03723	lmow:AX10_09525
ko:K07571	lmow:AX10_09545
ko:K03798	lmow:AX10_09555
ko:K03525	lmow:AX10_09560
ko:K04083	lmow:AX10_09565
ko:K01738	lmow:AX10_09570
ko:K00796	lmow:AX10_09575
ko:K01633	lmow:AX10_09580
ko:K00950	lmow:AX10_09585
ko:K04567	lmow:AX10_09595
ko:K03708	lmow:AX10_09675
ko:K03696	lmow:AX10_09690
ko:K04485	lmow:AX10_09695
ko:K00991	lmow:AX10_09705
ko:K01770	lmow:AX10_09710
ko:K09698	lmow:AX10_09715
ko:K00640	lmow:AX10_09720
ko:K01883	lmow:AX10_09725
ko:K11145	lmow:AX10_09730
ko:K03218	lmow:AX10_09735
ko:K06962	lmow:AX10_09740
ko:K03091	lmow:AX10_09745
ko:K02913	lmow:AX10_09750
ko:K03073	lmow:AX10_09755
ko:K02601	lmow:AX10_09760
ko:K02867	lmow:AX10_09770
ko:K02863	lmow:AX10_09775
ko:K01462	lmow:AX10_13830
ko:K00161	lmow:AX10_13835
ko:K00162	lmow:AX10_13840
ko:K00627	lmow:AX10_13845
ko:K00382	lmow:AX10_13850
ko:K18344	lmow:AX10_13875
ko:K18345	lmow:AX10_13880
ko:K02004	lmow:AX10_13885
ko:K02003	lmow:AX10_13890
ko:K03284	lmow:AX10_13895
ko:K01092	lmow:AX10_13905
ko:K06207	lmow:AX10_13910
ko:K03588	lmow:AX10_13935
ko:K01958	lmow:AX10_13940
ko:K02016	lmow:AX10_13945
ko:K09693	lmow:AX10_13955
ko:K00963	lmow:AX10_13970
ko:K00973	lmow:AX10_13985
ko:K01790	lmow:AX10_13990
ko:K00067	lmow:AX10_14000
ko:K00763	lmow:AX10_14040
ko:K01916	lmow:AX10_14045
ko:K02760	lmow:AX10_14055
ko:K01951	lmow:AX10_14060
ko:K03551	lmow:AX10_01740
ko:K03550	lmow:AX10_01745
ko:K00016	lmow:AX10_01750
ko:K04518	lmow:AX10_01760
ko:K03979	lmow:AX10_01765
ko:K00864	lmow:AX10_01770
ko:K02440	lmow:AX10_01775
ko:K02899	lmow:AX10_01780
ko:K07584	lmow:AX10_01785
ko:K02888	lmow:AX10_01790
ko:K08301	lmow:AX10_01795
ko:K03609	lmow:AX10_01800
ko:K03610	lmow:AX10_01805
ko:K03571	lmow:AX10_01810
ko:K03570	lmow:AX10_01815
ko:K03569	lmow:AX10_01820
ko:K03630	lmow:AX10_01830
ko:K02236	lmow:AX10_01835
ko:K11754	lmow:AX10_01840
ko:K01873	lmow:AX10_01845
ko:K01845	lmow:AX10_01850
ko:K01698	lmow:AX10_01855
ko:K01719	lmow:AX10_01860
ko:K01749	lmow:AX10_01865
ko:K02492	lmow:AX10_01870
ko:K03978	lmow:AX10_01875
ko:K01868	lmow:AX10_01880
ko:K11144	lmow:AX10_01885
ko:K03346	lmow:AX10_01890
ko:K07738	lmow:AX10_01895
ko:K00859	lmow:AX10_01900
ko:K10563	lmow:AX10_01905
ko:K00031	lmow:AX10_01915
ko:K01647	lmow:AX10_01920
ko:K07113	lmow:AX10_01930
ko:K00873	lmow:AX10_01935
ko:K00850	lmow:AX10_01940
ko:K01962	lmow:AX10_01945
ko:K01963	lmow:AX10_01950
ko:K02337	lmow:AX10_01955
ko:K00259	lmow:AX10_01980
ko:K00925	lmow:AX10_01990
ko:K11065	lmow:AX10_02000
ko:K02437	lmow:AX10_06190
ko:K00537	lmow:AX10_06195
ko:K05837	lmow:AX10_06200
ko:K05837	lmow:AX10_06205
ko:K02013	lmow:AX10_06210
ko:K02015	lmow:AX10_06215
ko:K02016	lmow:AX10_06220
ko:K01580	lmow:AX10_06235
ko:K03488	lmow:AX10_06245
ko:K07032	lmow:AX10_06250
ko:K03664	lmow:AX10_06305
ko:K12573	lmow:AX10_06310
ko:K03928	lmow:AX10_06315
ko:K03075	lmow:AX10_06320
ko:K01689	lmow:AX10_06340
ko:K15633	lmow:AX10_06345
ko:K01803	lmow:AX10_06350
ko:K00927	lmow:AX10_06355
ko:K00134	lmow:AX10_06360
ko:K05311	lmow:AX10_06365
ko:K03092	lmow:AX10_06370
ko:K01273	lmow:AX10_06375
ko:K06994	lmow:AX10_06380
ko:K01358	lmow:AX10_06410
ko:K09762	lmow:AX10_06430
ko:K06958	lmow:AX10_06440
ko:K01835	lmow:AX10_06445
ko:K01785	lmow:AX10_06450
ko:K01784	lmow:AX10_06455
ko:K02864	lmow:AX10_09780
ko:K02935	lmow:AX10_09785
ko:K00564	lmow:AX10_09795
ko:K03043	lmow:AX10_09805
ko:K03046	lmow:AX10_09810
ko:K01223	lmow:AX10_09820
ko:K01439	lmow:AX10_09845
ko:K15975	lmow:AX10_09855
ko:K02034	lmow:AX10_09865
ko:K01223	lmow:AX10_09875
ko:K10112	lmow:AX10_09910
ko:K01992	lmow:AX10_09930
ko:K02072	lmow:AX10_09955
ko:K02071	lmow:AX10_09960
ko:K02073	lmow:AX10_09965
ko:K08969	lmow:AX10_09970
ko:K07668	lmow:AX10_09975
ko:K07652	lmow:AX10_09980
ko:K00783	lmow:AX10_10005
ko:K01154	lmow:AX10_10025
ko:K03427	lmow:AX10_10030
ko:K01153	lmow:AX10_10035
ko:K03491	lmow:AX10_10060
ko:K02761	lmow:AX10_10065
ko:K03827	lmow:AX10_14125
ko:K06889	lmow:AX10_14135
ko:K01358	lmow:AX10_14195
ko:K02304	lmow:AX10_14210
ko:K04031	lmow:AX10_14225
ko:K04029	lmow:AX10_14230
ko:K02231	lmow:AX10_14240
ko:K02233	lmow:AX10_14245
ko:K02226	lmow:AX10_14250
ko:K13919	lmow:AX10_14275
ko:K13920	lmow:AX10_14280
ko:K13923	lmow:AX10_14305
ko:K04024	lmow:AX10_14310
ko:K13922	lmow:AX10_14330
ko:K13921	lmow:AX10_14335
ko:K02440	lmow:AX10_14340
ko:K00925	lmow:AX10_14345
ko:K04720	lmow:AX10_14350
ko:K16651	lmow:AX10_14355
ko:K04019	lmow:AX10_14375
ko:K03735	lmow:AX10_14380
ko:K03736	lmow:AX10_14385
ko:K04026	lmow:AX10_14390
ko:K04773	lmow:AX10_02010
ko:K00858	lmow:AX10_02015
ko:K00611	lmow:AX10_02020
ko:K00930	lmow:AX10_02030
ko:K00620	lmow:AX10_02035
ko:K00145	lmow:AX10_02040
ko:K03151	lmow:AX10_02045
ko:K04487	lmow:AX10_02050
ko:K06286	lmow:AX10_02055
ko:K02986	lmow:AX10_02065
ko:K01866	lmow:AX10_02080
ko:K02529	lmow:AX10_02085
ko:K13853	lmow:AX10_02090
ko:K01924	lmow:AX10_02115
ko:K03466	lmow:AX10_02120
ko:K06878	lmow:AX10_02125
ko:K03439	lmow:AX10_02165
ko:K00824	lmow:AX10_02185
ko:K01439	lmow:AX10_02190
ko:K03574	lmow:AX10_02195
ko:K01695	lmow:AX10_02225
ko:K01696	lmow:AX10_02230
ko:K01817	lmow:AX10_02235
ko:K01609	lmow:AX10_02240
ko:K00766	lmow:AX10_02245
ko:K01658	lmow:AX10_02250
ko:K01657	lmow:AX10_02255
ko:K04072	lmow:AX10_02260
ko:K00384	lmow:AX10_06460
ko:K06019	lmow:AX10_06475
ko:K13292	lmow:AX10_06480
ko:K06023	lmow:AX10_06485
ko:K08972	lmow:AX10_06490
ko:K03701	lmow:AX10_06510
ko:K03702	lmow:AX10_06515
ko:K07023	lmow:AX10_06525
ko:K02039	lmow:AX10_06540
ko:K02036	lmow:AX10_06545
ko:K02036	lmow:AX10_06550
ko:K02038	lmow:AX10_06555
ko:K02037	lmow:AX10_06560
ko:K02040	lmow:AX10_06565
ko:K07636	lmow:AX10_06570
ko:K07658	lmow:AX10_06575
ko:K06131	lmow:AX10_06585
ko:K09811	lmow:AX10_06600
ko:K09812	lmow:AX10_06605
ko:K02836	lmow:AX10_06615
ko:K03070	lmow:AX10_06620
ko:K02242	lmow:AX10_06630
ko:K02240	lmow:AX10_06635
ko:K07692	lmow:AX10_06645
ko:K02851	lmow:AX10_06665
ko:K02549	lmow:AX10_06670
ko:K05946	lmow:AX10_06675
ko:K02372	lmow:AX10_06690
ko:K03569	lmow:AX10_06695
ko:K00790	lmow:AX10_06700
ko:K02114	lmow:AX10_06710
ko:K02112	lmow:AX10_06715
ko:K02115	lmow:AX10_06720
ko:K02760	lmow:AX10_10070
ko:K02759	lmow:AX10_10080
ko:K03707	lmow:AX10_10135
ko:K00878	lmow:AX10_10140
ko:K00941	lmow:AX10_10145
ko:K00788	lmow:AX10_10150
ko:K01223	lmow:AX10_10155
ko:K01507	lmow:AX10_10245
ko:K00615	lmow:AX10_10260
ko:K00616	lmow:AX10_10265
ko:K01808	lmow:AX10_10275
ko:K01803	lmow:AX10_10280
ko:K05879	lmow:AX10_10285
ko:K05878	lmow:AX10_10290
ko:K00244	lmow:AX10_10325
ko:K02768	lmow:AX10_10335
ko:K02769	lmow:AX10_10340
ko:K02770	lmow:AX10_10340
ko:K01624	lmow:AX10_10345
ko:K04027	lmow:AX10_14405
ko:K04032	lmow:AX10_14410
ko:K04023	lmow:AX10_14435
ko:K04030	lmow:AX10_14440
ko:K02224	lmow:AX10_14460
ko:K02227	lmow:AX10_14465
ko:K06042	lmow:AX10_14470
ko:K02188	lmow:AX10_14475
ko:K03399	lmow:AX10_14480
ko:K02191	lmow:AX10_14485
ko:K05936	lmow:AX10_14490
ko:K02189	lmow:AX10_14495
ko:K05895	lmow:AX10_14505
ko:K13542	lmow:AX10_14510
ko:K02190	lmow:AX10_14515
ko:K03394	lmow:AX10_14520
ko:K02007	lmow:AX10_14525
ko:K02009	lmow:AX10_14530
ko:K02008	lmow:AX10_14535
ko:K02006	lmow:AX10_14540
ko:K02232	lmow:AX10_14545
ko:K09936	lmow:AX10_14555
ko:K09936	lmow:AX10_14560
ko:K03437	lmow:AX10_14595
ko:K01889	lmow:AX10_14610
ko:K01890	lmow:AX10_14615
ko:K02003	lmow:AX10_14620
ko:K06994	lmow:AX10_14635
ko:K03648	lmow:AX10_14640
ko:K03471	lmow:AX10_14645
ko:K09888	lmow:AX10_14650
ko:K02347	lmow:AX10_14660
ko:K07456	lmow:AX10_14665
ko:K03671	lmow:AX10_14670
ko:K01978	lmow:AX10_03675
ko:K14224	lmow:AX10_02510
ko:K14224	lmow:AX10_13070
ko:K14224	lmow:AX10_05855
ko:K14224	lmow:AX10_04915
ko:K15780	lmow:AX10_09550
ko:K03328	lmow:AX10_09530
ko:K14234	lmow:AX10_02605
ko:K14234	lmow:AX10_09620
ko:K14234	lmow:AX10_04920
ko:K14234	lmow:AX10_07035
ko:K14237	lmow:AX10_08395
ko:K01985	lmow:AX10_02615
ko:K01985	lmow:AX10_09610
ko:K01985	lmow:AX10_03095
ko:K01985	lmow:AX10_05870
ko:K01985	lmow:AX10_07045
ko:K01985	lmow:AX10_09670
ko:K14236	lmow:AX10_04925
ko:K14236	lmow:AX10_05830
ko:K14223	lmow:AX10_04930
ko:K14223	lmow:AX10_05815
ko:K14233	lmow:AX10_11715
ko:K14233	lmow:AX10_13040
ko:K14233	lmow:AX10_02515
ko:K14233	lmow:AX10_02555
ko:K14233	lmow:AX10_05860
ko:K14220	lmow:AX10_02520
ko:K14220	lmow:AX10_13035
ko:K14220	lmow:AX10_05865
ko:K14220	lmow:AX10_07040
ko:K14221	lmow:AX10_02545
ko:K14221	lmow:AX10_05840
ko:K14221	lmow:AX10_13075
ko:K14228	lmow:AX10_02585
ko:K14228	lmow:AX10_09640
ko:K14229	lmow:AX10_02600
ko:K14229	lmow:AX10_04935
ko:K14229	lmow:AX10_09625
ko:K14229	lmow:AX10_08865
ko:K14225	lmow:AX10_02530
