ko:K04042	cbh:CLC_3523
ko:K06438	cbh:CLC_2846
ko:K09117	cbh:CLC_2848
ko:K02970	cbh:CLC_2849
ko:K09761	cbh:CLC_2852
ko:K04043	cbh:CLC_2855
ko:K03687	cbh:CLC_2856
ko:K03705	cbh:CLC_2857
ko:K03596	cbh:CLC_2859
ko:K06385	cbh:CLC_2861
ko:K06012	cbh:CLC_2862
ko:K02968	cbh:CLC_2863
ko:K02238	cbh:CLC_2865
ko:K03833	cbh:CLC_2872
ko:K01042	cbh:CLC_2873
ko:K01008	cbh:CLC_2874
ko:K02809	cbh:CLC_1382
ko:K02810	cbh:CLC_1382
ko:K01611	cbh:CLC_3308
ko:K00873	cbh:CLC_3315
ko:K00850	cbh:CLC_3316
ko:K09762	cbh:CLC_3318
ko:K00075	cbh:CLC_3321
ko:K03701	cbh:CLC_3329
ko:K03702	cbh:CLC_3330
ko:K03797	cbh:CLC_3332
ko:K00615	cbh:CLC_3337
ko:K00615	cbh:CLC_3338
ko:K01775	cbh:CLC_3341
ko:K00997	cbh:CLC_3344
ko:K06180	cbh:CLC_2877
ko:K00969	cbh:CLC_2881
ko:K07574	cbh:CLC_2882
ko:K03979	cbh:CLC_2883
ko:K02899	cbh:CLC_2884
ko:K07584	cbh:CLC_2885
ko:K08301	cbh:CLC_2887
ko:K05837	cbh:CLC_2892
ko:K07141	cbh:CLC_2725
ko:K09773	cbh:CLC_3610
ko:K07007	cbh:CLC_3612
ko:K01939	cbh:CLC_3615
ko:K07137	cbh:CLC_3616
ko:K02314	cbh:CLC_3619
ko:K01338	cbh:CLC_3620
ko:K02939	cbh:CLC_3621
ko:K01531	cbh:CLC_2768
ko:K01945	cbh:CLC_2770
ko:K01933	cbh:CLC_2773
ko:K00764	cbh:CLC_2774
ko:K01923	cbh:CLC_2775
ko:K01464	cbh:CLC_2783
ko:K01751	cbh:CLC_2785
ko:K07141	cbh:CLC_2788
ko:K07402	cbh:CLC_2789
ko:K07402	cbh:CLC_2790
ko:K02015	cbh:CLC_2792
ko:K02013	cbh:CLC_2793
ko:K02016	cbh:CLC_2794
ko:K06901	cbh:CLC_2798
ko:K03310	cbh:CLC_2799
ko:K00566	cbh:CLC_2801
ko:K03147	cbh:CLC_2807
ko:K09764	cbh:CLC_2809
ko:K02858	cbh:CLC_2815
ko:K05515	cbh:CLC_2896
ko:K03074	cbh:CLC_2964
ko:K03072	cbh:CLC_2965
ko:K06871	cbh:CLC_2966
ko:K03210	cbh:CLC_2969
ko:K00773	cbh:CLC_2970
ko:K03550	cbh:CLC_2973
ko:K00760	cbh:CLC_2983
ko:K06407	cbh:CLC_2986
ko:K06406	cbh:CLC_2987
ko:K06405	cbh:CLC_2988
ko:K03091	cbh:CLC_2989
ko:K06379	cbh:CLC_2990
ko:K02963	cbh:CLC_3625
ko:K02990	cbh:CLC_3627
ko:K03495	cbh:CLC_3641
ko:K03650	cbh:CLC_3642
ko:K06346	cbh:CLC_3643
ko:K03217	cbh:CLC_3644
ko:K08998	cbh:CLC_3645
ko:K03536	cbh:CLC_3646
ko:K02914	cbh:CLC_3647
ko:K02796	cbh:CLC_2721
ko:K03522	cbh:CLC_3107
ko:K03521	cbh:CLC_3108
ko:K02335	cbh:CLC_2911
ko:K02803	cbh:CLC_2715
ko:K02804	cbh:CLC_2715
ko:K02783	cbh:CLC_3361
ko:K03311	cbh:CLC_3236
ko:K01951	cbh:CLC_3237
ko:K00088	cbh:CLC_3238
ko:K04078	cbh:CLC_3241
ko:K00528	cbh:CLC_3247
ko:K01926	cbh:CLC_3248
ko:K06158	cbh:CLC_3249
ko:K01409	cbh:CLC_3255
ko:K06925	cbh:CLC_3265
ko:K01866	cbh:CLC_3268
ko:K01867	cbh:CLC_3276
ko:K01586	cbh:CLC_3281
ko:K00928	cbh:CLC_3282
ko:K03798	cbh:CLC_3287
ko:K01439	cbh:CLC_3288
ko:K01881	cbh:CLC_3289
ko:K09957	cbh:CLC_1384
ko:K02035	cbh:CLC_1391
ko:K02033	cbh:CLC_1392
ko:K02034	cbh:CLC_1393
ko:K02031	cbh:CLC_1394
ko:K09816	cbh:CLC_1397
ko:K09817	cbh:CLC_1398
ko:K09815	cbh:CLC_1399
ko:K02051	cbh:CLC_1404
ko:K02050	cbh:CLC_1405
ko:K02049	cbh:CLC_1406
ko:K00784	cbh:CLC_1411
ko:K03704	cbh:CLC_1422
ko:K02650	cbh:CLC_1851
ko:K04486	cbh:CLC_2443
ko:K01515	cbh:CLC_1811
ko:K07719	cbh:CLC_0668
ko:K07717	cbh:CLC_0669
ko:K02049	cbh:CLC_3158
ko:K07095	cbh:CLC_3203
ko:K02035	cbh:CLC_3207
ko:K02434	cbh:CLC_3208
ko:K02433	cbh:CLC_3209
ko:K02435	cbh:CLC_3210
ko:K01972	cbh:CLC_3213
ko:K09768	cbh:CLC_3220
ko:K01810	cbh:CLC_3221
ko:K11105	cbh:CLC_1930
ko:K02755	cbh:CLC_0708
ko:K02756	cbh:CLC_0708
ko:K02757	cbh:CLC_0708
ko:K03466	cbh:CLC_2254
ko:K01756	cbh:CLC_2242
ko:K06416	cbh:CLC_2249
ko:K00995	cbh:CLC_2252
ko:K00928	cbh:CLC_2256
ko:K04077	cbh:CLC_3240
ko:K01754	cbh:CLC_3451
ko:K01881	cbh:CLC_3452
ko:K00991	cbh:CLC_3453
ko:K07067	cbh:CLC_3456
ko:K03696	cbh:CLC_3458
ko:K03708	cbh:CLC_3461
ko:K02355	cbh:CLC_3463
ko:K00783	cbh:CLC_3549
ko:K01265	cbh:CLC_3555
ko:K00661	cbh:CLC_2103
ko:K06173	cbh:CLC_1858
ko:K07650	cbh:CLC_0355
ko:K01874	cbh:CLC_0123
ko:K02822	cbh:CLC_2095
ko:K03111	cbh:CLC_3626
ko:K06958	cbh:CLC_3320
ko:K01777	cbh:CLC_2326
ko:K00008	cbh:CLC_3363
ko:K00567	cbh:CLC_1564
ko:K07090	cbh:CLC_2761
ko:K02652	cbh:CLC_1853
ko:K07770	cbh:CLC_0354
ko:K00812	cbh:CLC_2245
ko:K05946	cbh:CLC_2994
ko:K01262	cbh:CLC_0465
ko:K07009	cbh:CLC_0466
ko:K06153	cbh:CLC_0470
ko:K02238	cbh:CLC_0481
ko:K00655	cbh:CLC_0482
ko:K09779	cbh:CLC_0488
ko:K01579	cbh:CLC_0489
ko:K01918	cbh:CLC_0490
ko:K00606	cbh:CLC_0491
ko:K00806	cbh:CLC_1365
ko:K02016	cbh:CLC_1375
ko:K02015	cbh:CLC_1376
ko:K02013	cbh:CLC_1377
ko:K07106	cbh:CLC_1381
ko:K00868	cbh:CLC_1426
ko:K03711	cbh:CLC_2431
ko:K00298	cbh:CLC_0588
ko:K03410	cbh:CLC_2621
ko:K06897	cbh:CLC_2216
ko:K01462	cbh:CLC_2217
ko:K03088	cbh:CLC_2227
ko:K03695	cbh:CLC_0449
ko:K07240	cbh:CLC_0457
ko:K07240	cbh:CLC_0458
ko:K09770	cbh:CLC_0460
ko:K10974	cbh:CLC_2016
ko:K09705	cbh:CLC_0788
ko:K03501	cbh:CLC_3640
ko:K11189	cbh:CLC_2244
ko:K07304	cbh:CLC_1427
ko:K07105	cbh:CLC_0018
ko:K01270	cbh:CLC_2766
ko:K11753	cbh:CLC_2261
ko:K00686	cbh:CLC_2219
ko:K01485	cbh:CLC_2015
ko:K00625	cbh:CLC_2309
ko:K01270	cbh:CLC_2155
ko:K00949	cbh:CLC_2356
ko:K01854	cbh:CLC_2558
ko:K01259	cbh:CLC_1977
ko:K03671	cbh:CLC_1299
ko:K00899	cbh:CLC_1305
ko:K08963	cbh:CLC_1306
ko:K00616	cbh:CLC_1331
ko:K03310	cbh:CLC_1333
ko:K02654	cbh:CLC_1353
ko:K00878	cbh:CLC_2176
ko:K03826	cbh:CLC_2179
ko:K01935	cbh:CLC_2182
ko:K01012	cbh:CLC_2183
ko:K03523	cbh:CLC_2184
ko:K01262	cbh:CLC_2188
ko:K00384	cbh:CLC_1298
ko:K00027	cbh:CLC_0304
ko:K00027	cbh:CLC_0266
ko:K04070	cbh:CLC_3537
ko:K01776	cbh:CLC_3542
ko:K01915	cbh:CLC_3543
ko:K00790	cbh:CLC_3545
ko:K02876	cbh:CLC_3406
ko:K02907	cbh:CLC_3407
ko:K02988	cbh:CLC_3408
ko:K02881	cbh:CLC_3409
ko:K02994	cbh:CLC_3411
ko:K02954	cbh:CLC_3412
ko:K02931	cbh:CLC_3413
ko:K02874	cbh:CLC_3415
ko:K02961	cbh:CLC_3416
ko:K02904	cbh:CLC_3417
ko:K02982	cbh:CLC_3419
ko:K02890	cbh:CLC_3420
ko:K02965	cbh:CLC_3421
ko:K02886	cbh:CLC_3422
ko:K02892	cbh:CLC_3423
ko:K02926	cbh:CLC_3424
ko:K02906	cbh:CLC_3425
ko:K02946	cbh:CLC_3426
ko:K02358	cbh:CLC_3427
ko:K02355	cbh:CLC_3428
ko:K02992	cbh:CLC_3429
ko:K02950	cbh:CLC_3430
ko:K07590	cbh:CLC_3431
ko:K02601	cbh:CLC_3438
ko:K03073	cbh:CLC_3439
ko:K06962	cbh:CLC_3446
ko:K03218	cbh:CLC_3447
ko:K03465	cbh:CLC_3448
ko:K11145	cbh:CLC_3449
ko:K07571	cbh:CLC_3507
ko:K03530	cbh:CLC_3512
ko:K04769	cbh:CLC_3515
ko:K07533	cbh:CLC_3516
ko:K03723	cbh:CLC_3517
ko:K00948	cbh:CLC_3522
ko:K06412	cbh:CLC_3524
ko:K09685	cbh:CLC_3525
ko:K01924	cbh:CLC_3526
ko:K07139	cbh:CLC_3534
ko:K11041	cbh:CLC_1555
ko:K02502	cbh:CLC_1596
ko:K06178	cbh:CLC_1755
ko:K07979	cbh:CLC_2813
ko:K02316	cbh:CLC_2834
ko:K02113	cbh:CLC_0201
ko:K02110	cbh:CLC_0199
ko:K03475	cbh:CLC_2094
ko:K02416	cbh:CLC_2618
ko:K02410	cbh:CLC_2536
ko:K02419	cbh:CLC_2523
ko:K04485	cbh:CLC_3457
ko:K01448	cbh:CLC_1461
ko:K03716	cbh:CLC_0272
ko:K02417	cbh:CLC_2617
ko:K02341	cbh:CLC_0104
ko:K02687	cbh:CLC_2853
ko:K03092	cbh:CLC_0280
ko:K02396	cbh:CLC_2614
ko:K02760	cbh:CLC_3302
ko:K03551	cbh:CLC_2972
ko:K11175	cbh:CLC_2772
ko:K02112	cbh:CLC_0204
ko:K02111	cbh:CLC_0202
ko:K02356	cbh:CLC_1841
ko:K01681	cbh:CLC_0484
ko:K07636	cbh:CLC_2385
ko:K11068	cbh:CLC_1619
ko:K03783	cbh:CLC_1807
ko:K03655	cbh:CLC_2350
ko:K02588	cbh:CLC_0744
ko:K02563	cbh:CLC_2635
ko:K01678	cbh:CLC_3385
ko:K06183	cbh:CLC_3216
ko:K11068	cbh:CLC_1488
ko:K03657	cbh:CLC_3214
ko:K02755	cbh:CLC_0934
ko:K02756	cbh:CLC_0934
ko:K02757	cbh:CLC_0934
ko:K02114	cbh:CLC_0205
ko:K03497	cbh:CLC_3639
ko:K04564	cbh:CLC_2204
ko:K03529	cbh:CLC_2300
ko:K05896	cbh:CLC_1800
ko:K02818	cbh:CLC_1933
ko:K02819	cbh:CLC_1933
ko:K02108	cbh:CLC_0198
ko:K03654	cbh:CLC_1048
ko:K03076	cbh:CLC_3405
ko:K04041	cbh:CLC_0589
ko:K02446	cbh:CLC_2489
ko:K07305	cbh:CLC_2203
ko:K02372	cbh:CLC_3575
ko:K00901	cbh:CLC_2843
ko:K03718	cbh:CLC_0450
ko:K01153	cbh:CLC_0736
ko:K03427	cbh:CLC_0732
ko:K03150	cbh:CLC_3561
ko:K09936	cbh:CLC_3567
ko:K00645	cbh:CLC_3579
ko:K02371	cbh:CLC_3580
ko:K02078	cbh:CLC_3581
ko:K04763	cbh:CLC_1808
ko:K01012	cbh:CLC_3560
ko:K06436	cbh:CLC_0163
ko:K10026	cbh:CLC_1587
ko:K00030	cbh:CLC_0485
ko:K03426	cbh:CLC_0057
ko:K02824	cbh:CLC_1515
ko:K01625	cbh:CLC_0351
ko:K11072	cbh:CLC_0618
ko:K01183	cbh:CLC_1109
ko:K01183	cbh:CLC_1134
ko:K01183	cbh:CLC_2709
ko:K01809	cbh:CLC_0468
ko:K00016	cbh:CLC_1552
ko:K12574	cbh:CLC_2430
ko:K02598	cbh:CLC_1012
ko:K00602	cbh:CLC_2771
ko:K01890	cbh:CLC_3033
ko:K01784	cbh:CLC_2653
ko:K00260	cbh:CLC_1753
ko:K13292	cbh:CLC_3119
ko:K00297	cbh:CLC_1648
ko:K01104	cbh:CLC_2561
ko:K01654	cbh:CLC_2553
ko:K02503	cbh:CLC_2850
ko:K00657	cbh:CLC_1217
ko:K03574	cbh:CLC_0706
ko:K01297	cbh:CLC_0096
ko:K01308	cbh:CLC_1409
ko:K01187	cbh:CLC_1632
ko:K11752	cbh:CLC_2765
ko:K01580	cbh:CLC_1861
ko:K11927	cbh:CLC_0695
ko:K03827	cbh:CLC_0921
ko:K03769	cbh:CLC_0088
ko:K00059	cbh:CLC_0576
ko:K00059	cbh:CLC_3578
ko:K12410	cbh:CLC_0094
ko:K03657	cbh:CLC_3286
ko:K02777	cbh:CLC_0338
ko:K06889	cbh:CLC_1971
ko:K01491	cbh:CLC_1215
ko:K00863	cbh:CLC_1029
ko:K06334	cbh:CLC_1271
ko:K06333	cbh:CLC_1270
ko:K07304	cbh:CLC_1868
ko:K01104	cbh:CLC_0191
ko:K02056	cbh:CLC_0276
ko:K02057	cbh:CLC_0277
ko:K02790	cbh:CLC_0347
ko:K02791	cbh:CLC_0347
ko:K02777	cbh:CLC_0349
ko:K03892	cbh:CLC_0810
ko:K06434	cbh:CLC_1087
ko:K09759	cbh:CLC_1072
ko:K01201	cbh:CLC_1242
ko:K03657	cbh:CLC_1451
ko:K01448	cbh:CLC_2913
ko:K01775	cbh:CLC_0335
ko:K00950	cbh:CLC_0885
ko:K00528	cbh:CLC_1670
ko:K02073	cbh:CLC_1138
ko:K13019	cbh:CLC_3002
ko:K01034	cbh:CLC_2723
ko:K06310	cbh:CLC_0171
ko:K02016	cbh:CLC_0368
ko:K02015	cbh:CLC_0369
ko:K06889	cbh:CLC_0268
ko:K07005	cbh:CLC_0690
ko:K00626	cbh:CLC_3110
ko:K00558	cbh:CLC_0945
ko:K00558	cbh:CLC_2229
ko:K07658	cbh:CLC_2386
ko:K06168	cbh:CLC_1743
ko:K03768	cbh:CLC_3541
ko:K03524	cbh:CLC_1168
ko:K00074	cbh:CLC_3111
ko:K05346	cbh:CLC_1593
ko:K00058	cbh:CLC_1176
ko:K01243	cbh:CLC_1508
ko:K04487	cbh:CLC_2440
ko:K03458	cbh:CLC_0374
ko:K03458	cbh:CLC_2784
ko:K04487	cbh:CLC_1225
ko:K01358	cbh:CLC_3142
ko:K01950	cbh:CLC_0461
ko:K03458	cbh:CLC_2132
ko:K00661	cbh:CLC_1167
ko:K02030	cbh:CLC_0520
ko:K01710	cbh:CLC_2000
ko:K02017	cbh:CLC_1521
ko:K01232	cbh:CLC_0348
ko:K01232	cbh:CLC_0337
ko:K01232	cbh:CLC_0326
ko:K02790	cbh:CLC_0327
ko:K02791	cbh:CLC_0327
ko:K02237	cbh:CLC_2875
ko:K00274	cbh:CLC_1239
ko:K02443	cbh:CLC_2644
ko:K02242	cbh:CLC_0225
ko:K03657	cbh:CLC_0766
ko:K03657	cbh:CLC_2800
ko:K01784	cbh:CLC_2552
ko:K07025	cbh:CLC_2596
ko:K00971	cbh:CLC_0150
ko:K00248	cbh:CLC_3109
ko:K00951	cbh:CLC_2961
ko:K06409	cbh:CLC_1471
ko:K01271	cbh:CLC_0402
ko:K01961	cbh:CLC_3574
ko:K06395	cbh:CLC_1834
ko:K10797	cbh:CLC_2109
ko:K11754	cbh:CLC_3072
ko:K13607	cbh:CLC_3234
ko:K07729	cbh:CLC_2218
ko:K03698	cbh:CLC_3116
ko:K01715	cbh:CLC_3112
ko:K13282	cbh:CLC_0167
ko:K01424	cbh:CLC_2372
ko:K03406	cbh:CLC_2681
ko:K01286	cbh:CLC_1441
ko:K03406	cbh:CLC_1390
ko:K05979	cbh:CLC_3533
ko:K13542	cbh:CLC_0976
ko:K03518	cbh:CLC_1325
ko:K09000	cbh:CLC_2115
ko:K13653	cbh:CLC_2040
ko:K01247	cbh:CLC_0691
ko:K09963	cbh:CLC_3299
ko:K09963	cbh:CLC_1383
ko:K00634	cbh:CLC_3371
ko:K06409	cbh:CLC_3514
ko:K04030	cbh:CLC_2052
ko:K06378	cbh:CLC_2991
ko:K06409	cbh:CLC_1472
ko:K01599	cbh:CLC_1532
ko:K03294	cbh:CLC_2134
ko:K03406	cbh:CLC_3123
ko:K00131	cbh:CLC_1293
ko:K12573	cbh:CLC_0288
ko:K01421	cbh:CLC_1044
ko:K01421	cbh:CLC_1045
ko:K07069	cbh:CLC_1967
ko:K01534	cbh:CLC_0551
ko:K03406	cbh:CLC_0609
ko:K03406	cbh:CLC_1590
ko:K03406	cbh:CLC_1559
ko:K03406	cbh:CLC_2704
ko:K03406	cbh:CLC_0747
ko:K03406	cbh:CLC_1716
ko:K03406	cbh:CLC_1863
ko:K03406	cbh:CLC_0436
ko:K00805	cbh:CLC_0433
ko:K13730	cbh:CLC_3006
ko:K13652	cbh:CLC_0757
ko:K02004	cbh:CLC_1263
ko:K02217	cbh:CLC_1727
ko:K13789	cbh:CLC_1827
ko:K01537	cbh:CLC_0456
ko:K00215	cbh:CLC_0847
ko:K03294	cbh:CLC_1412
ko:K08314	cbh:CLC_3356
ko:K00666	cbh:CLC_3235
ko:K00087	cbh:CLC_1323
ko:K07038	cbh:CLC_3324
ko:K02051	cbh:CLC_3164
ko:K12527	cbh:CLC_2781
ko:K09702	cbh:CLC_1035
ko:K01791	cbh:CLC_0196
ko:K01599	cbh:CLC_1525
ko:K03321	cbh:CLC_3292
ko:K02003	cbh:CLC_0957
ko:K02004	cbh:CLC_0957
ko:K01488	cbh:CLC_1043
ko:K01990	cbh:CLC_0616
ko:K01934	cbh:CLC_2479
ko:K05337	cbh:CLC_3102
ko:K06928	cbh:CLC_2791
ko:K07729	cbh:CLC_0819
ko:K06384	cbh:CLC_1810
ko:K02191	cbh:CLC_0994
ko:K01515	cbh:CLC_0548
ko:K02315	cbh:CLC_3587
ko:K03406	cbh:CLC_0512
ko:K07052	cbh:CLC_0657
ko:K01273	cbh:CLC_1261
ko:K01958	cbh:CLC_3254
ko:K09765	cbh:CLC_2691
ko:K01990	cbh:CLC_2812
ko:K13820	cbh:CLC_2521
ko:K03394	cbh:CLC_1002
ko:K01259	cbh:CLC_2041
ko:K04028	cbh:CLC_2053
ko:K06147	cbh:CLC_2205
ko:K01537	cbh:CLC_2509
ko:K02414	cbh:CLC_2532
ko:K02407	cbh:CLC_2607
ko:K19271	cbh:CLC_0674
ko:K05832	cbh:CLC_0722
ko:K05833	cbh:CLC_0723
ko:K03406	cbh:CLC_0774
ko:K02004	cbh:CLC_0840
ko:K03719	cbh:CLC_0902
ko:K01046	cbh:CLC_0916
ko:K00104	cbh:CLC_1062
ko:K08982	cbh:CLC_1092
ko:K02057	cbh:CLC_0278
ko:K03317	cbh:CLC_0650
ko:K04720	cbh:CLC_0970
ko:K02018	cbh:CLC_1018
ko:K13653	cbh:CLC_2107
ko:K02009	cbh:CLC_0972
ko:K06133	cbh:CLC_2464
ko:K05934	cbh:CLC_1005
ko:K07729	cbh:CLC_1972
ko:K08587	cbh:CLC_1864
ko:K10907	cbh:CLC_3064
ko:K06972	cbh:CLC_3253
ko:K06857	cbh:CLC_1889
ko:K03480	cbh:CLC_2629
ko:K03480	cbh:CLC_2713
ko:K07079	cbh:CLC_1542
ko:K07005	cbh:CLC_1349
ko:K06864	cbh:CLC_0152
ko:K06147	cbh:CLC_2206
ko:K01449	cbh:CLC_0260
ko:K02004	cbh:CLC_0134
ko:K02029	cbh:CLC_0519
ko:K11046	cbh:CLC_0560
ko:K07216	cbh:CLC_0591
ko:K03657	cbh:CLC_2031
ko:K02004	cbh:CLC_2090
ko:K07343	cbh:CLC_0771
ko:K01271	cbh:CLC_1976
ko:K07099	cbh:CLC_0234
ko:K09766	cbh:CLC_0237
ko:K08978	cbh:CLC_0948
ko:K00941	cbh:CLC_0525
ko:K14155	cbh:CLC_1437
ko:K05919	cbh:CLC_3278
ko:K14232	cbh:CLC_3528
ko:K03798	cbh:CLC_0437
ko:K14230	cbh:CLC_3648
ko:K07979	cbh:CLC_2666
ko:K01990	cbh:CLC_0681
ko:K01990	cbh:CLC_0830
ko:K01990	cbh:CLC_2009
ko:K13993	cbh:CLC_1703
ko:K14220	cbh:CLC_0479
ko:K05847	cbh:CLC_1662
ko:K01980	cbh:CLC_0477
ko:K01980	cbh:CLC_0011
ko:K01980	cbh:CLC_0075
ko:K01980	cbh:CLC_0092
ko:K01980	cbh:CLC_0084
ko:K01980	cbh:CLC_3478
ko:K01980	cbh:CLC_3469
ko:K01980	cbh:CLC_0067
ko:K16961	cbh:CLC_1224
ko:K01449	cbh:CLC_2818
ko:K01990	cbh:CLC_1248
ko:K02030	cbh:CLC_1448
ko:K14219	cbh:CLC_0033
ko:K14237	cbh:CLC_3052
ko:K14237	cbh:CLC_3652
ko:K14237	cbh:CLC_3600
ko:K14237	cbh:CLC_3608
ko:K14232	cbh:CLC_3171
ko:K14232	cbh:CLC_3202
ko:K14228	cbh:CLC_2947
ko:K01628	cbh:CLC_1308
ko:K08281	cbh:CLC_1183
ko:K04072	cbh:CLC_0403
ko:K01599	cbh:CLC_2166
ko:K00215	cbh:CLC_3063
ko:K08309	cbh:CLC_2909
ko:K13626	cbh:CLC_2612
ko:K13653	cbh:CLC_0656
ko:K02224	cbh:CLC_0979
ko:K07335	cbh:CLC_0275
ko:K13479	cbh:CLC_1324
ko:K00974	cbh:CLC_2230
ko:K01011	cbh:CLC_0848
ko:K07723	cbh:CLC_3340
ko:K14222	cbh:CLC_3046
ko:K14219	cbh:CLC_3174
ko:K14219	cbh:CLC_3199
ko:K14219	cbh:CLC_3187
ko:K06518	cbh:CLC_0382
ko:K01977	cbh:CLC_0471
ko:K01977	cbh:CLC_0072
ko:K01977	cbh:CLC_3471
ko:K01977	cbh:CLC_0081
ko:K01977	cbh:CLC_0064
ko:K01977	cbh:CLC_3479
ko:K01977	cbh:CLC_0008
ko:K01977	cbh:CLC_0089
ko:K05020	cbh:CLC_1180
ko:K14230	cbh:CLC_3495
ko:K14230	cbh:CLC_3649
ko:K14230	cbh:CLC_3504
ko:K14230	cbh:CLC_3498
ko:K02053	cbh:CLC_1160
ko:K02029	cbh:CLC_1449
ko:K06402	cbh:CLC_2890
ko:K03703	cbh:CLC_3114
ko:K14233	cbh:CLC_0027
ko:K14233	cbh:CLC_0031
ko:K14229	cbh:CLC_0069
ko:K14229	cbh:CLC_0077
ko:K14224	cbh:CLC_0552
ko:K00128	cbh:CLC_1151
ko:K05799	cbh:CLC_1553
ko:K14230	cbh:CLC_0013
ko:K03624	cbh:CLC_0730
ko:K14228	cbh:CLC_3178
ko:K14228	cbh:CLC_3191
ko:K14227	cbh:CLC_3470
ko:K14225	cbh:CLC_3169
ko:K14225	cbh:CLC_3188
ko:K14225	cbh:CLC_3200
ko:K14225	cbh:CLC_3175
ko:K14228	cbh:CLC_2908
ko:K14234	cbh:CLC_3442
ko:K14225	cbh:CLC_3047
ko:K14225	cbh:CLC_3176
ko:K14225	cbh:CLC_3189
ko:K14234	cbh:CLC_3650
ko:K14234	cbh:CLC_3656
ko:K03527	cbh:CLC_1749
ko:K02945	cbh:CLC_1749
ko:K14224	cbh:CLC_3609
ko:K14224	cbh:CLC_3653
ko:K14224	cbh:CLC_3655
ko:K14231	cbh:CLC_3049
ko:K14219	cbh:CLC_3168
ko:K14155	cbh:CLC_1908
ko:K07284	cbh:CLC_2076
ko:K14222	cbh:CLC_0095
ko:K14236	cbh:CLC_0215
ko:K14236	cbh:CLC_0220
ko:K14441	cbh:CLC_2253
ko:K14225	cbh:CLC_3444
ko:K14228	cbh:CLC_3500
ko:K14228	cbh:CLC_3506
ko:K03324	cbh:CLC_3388
ko:K03406	cbh:CLC_2687
ko:K14221	cbh:CLC_3051
ko:K14221	cbh:CLC_3657
ko:K14221	cbh:CLC_3651
ko:K14221	cbh:CLC_3654
ko:K01537	cbh:CLC_1577
ko:K03307	cbh:CLC_0425
ko:K03307	cbh:CLC_3563
ko:K02005	cbh:CLC_0132
ko:K07005	cbh:CLC_0688
ko:K01267	cbh:CLC_3283
ko:K14234	cbh:CLC_0214
ko:K14234	cbh:CLC_0219
ko:K00941	cbh:CLC_0827
ko:K01985	cbh:CLC_0093
ko:K01985	cbh:CLC_3468
ko:K01985	cbh:CLC_3477
ko:K01985	cbh:CLC_0076
ko:K01985	cbh:CLC_0085
ko:K01985	cbh:CLC_0012
ko:K01985	cbh:CLC_0068
ko:K01985	cbh:CLC_0478
ko:K14219	cbh:CLC_0045
ko:K11069	cbh:CLC_0620
ko:K11070	cbh:CLC_0620
ko:K14231	cbh:CLC_0086
ko:K01011	cbh:CLC_2488
ko:K01449	cbh:CLC_3376
ko:K00433	cbh:CLC_0894
ko:K00674	cbh:CLC_3065
ko:K14226	cbh:CLC_3184
ko:K14223	cbh:CLC_0243
ko:K07705	cbh:CLC_3250
ko:K00334	cbh:CLC_1792
ko:K14233	cbh:CLC_0025
ko:K14233	cbh:CLC_0029
ko:K01759	cbh:CLC_1563
ko:K06147	cbh:CLC_1102
ko:K06147	cbh:CLC_1103
ko:K06147	cbh:CLC_1345
ko:K06147	cbh:CLC_1628
ko:K06147	cbh:CLC_1629
ko:K11261	cbh:CLC_1695
ko:K14218	cbh:CLC_0015
ko:K14218	cbh:CLC_0472
ko:K14237	cbh:CLC_0217
ko:K07052	cbh:CLC_0981
ko:K14227	cbh:CLC_0474
ko:K02304	cbh:CLC_0974
ko:K05967	cbh:CLC_1260
ko:K06425	cbh:CLC_1277
ko:K14233	cbh:CLC_0049
ko:K07052	cbh:CLC_1346
ko:K14230	cbh:CLC_3493
ko:K14230	cbh:CLC_3502
ko:K13993	cbh:CLC_0886
ko:K00764	cbh:CLC_2808
ko:K01270	cbh:CLC_1423
ko:K07979	cbh:CLC_2010
ko:K14540	cbh:CLC_2290
ko:K14235	cbh:CLC_3260
ko:K14218	cbh:CLC_3473
ko:K14223	cbh:CLC_3182
ko:K14223	cbh:CLC_3195
ko:K14220	cbh:CLC_3465
ko:K14220	cbh:CLC_3467
ko:K03091	cbh:CLC_2399
ko:K14652	cbh:CLC_2763
ko:K09022	cbh:CLC_2878
ko:K06881	cbh:CLC_2263
ko:K03215	cbh:CLC_3312
ko:K15580	cbh:CLC_3060
ko:K15583	cbh:CLC_3057
ko:K15383	cbh:CLC_1321
ko:K15633	cbh:CLC_0285
ko:K15629	cbh:CLC_1090
ko:K15738	cbh:CLC_1116
ko:K01035	cbh:CLC_2724
ko:K02226	cbh:CLC_0874
ko:K15582	cbh:CLC_3058
ko:K15898	cbh:CLC_2594
ko:K15581	cbh:CLC_3059
ko:K15632	cbh:CLC_2734
ko:K01835	cbh:CLC_3018
ko:K00812	cbh:CLC_1746
ko:K06998	cbh:CLC_2125
ko:K15976	cbh:CLC_0915
ko:K07260	cbh:CLC_1086
ko:K15986	cbh:CLC_2510
ko:K03310	cbh:CLC_1287
ko:K02358	cbh:CLC_3441
ko:K20038	cbh:CLC_2060
ko:K03699	cbh:CLC_2805
ko:K16370	cbh:CLC_1938
ko:K16785	cbh:CLC_1917
ko:K11733	cbh:CLC_0308
ko:K16329	cbh:CLC_1212
ko:K16328	cbh:CLC_1211
ko:K02851	cbh:CLC_0195
ko:K03429	cbh:CLC_0175
