ko:K22306	aacn:AANUM_0700
ko:K02506	aacn:AANUM_0439
ko:K03116	aacn:AANUM_0445
ko:K03117	aacn:AANUM_0446
ko:K03118	aacn:AANUM_0447
ko:K01698	aacn:AANUM_0448
ko:K07483	aacn:AANUM_1273
ko:K08310	aacn:AANUM_1275
ko:K01159	aacn:AANUM_1278
ko:K03550	aacn:AANUM_1279
ko:K03551	aacn:AANUM_1280
ko:K00425	aacn:AANUM_1282
ko:K00426	aacn:AANUM_1283
ko:K07107	aacn:AANUM_1284
ko:K03562	aacn:AANUM_1285
ko:K03560	aacn:AANUM_1286
ko:K03646	aacn:AANUM_1287
ko:K03641	aacn:AANUM_1288
ko:K03640	aacn:AANUM_1289
ko:K02679	aacn:AANUM_1290
ko:K02680	aacn:AANUM_1291
ko:K02681	aacn:AANUM_1293
ko:K03583	aacn:AANUM_1294
ko:K03789	aacn:AANUM_1295
ko:K02344	aacn:AANUM_1296
ko:K00564	aacn:AANUM_1297
ko:K00600	aacn:AANUM_1301
ko:K07389	aacn:AANUM_1303
ko:K11005	aacn:AANUM_1304
ko:K11004	aacn:AANUM_1305
ko:K11003	aacn:AANUM_1306
ko:K02798	aacn:AANUM_1307
ko:K02799	aacn:AANUM_1307
ko:K02800	aacn:AANUM_1307
ko:K00009	aacn:AANUM_1308
ko:K02562	aacn:AANUM_1309
ko:K00010	aacn:AANUM_1310
ko:K03335	aacn:AANUM_1311
ko:K03336	aacn:AANUM_1312
ko:K03338	aacn:AANUM_1313
ko:K03078	aacn:AANUM_1321
ko:K02821	aacn:AANUM_1322
ko:K09693	aacn:AANUM_2123
ko:K09692	aacn:AANUM_2124
ko:K01790	aacn:AANUM_2125
ko:K00067	aacn:AANUM_2126
ko:K00973	aacn:AANUM_2127
ko:K01710	aacn:AANUM_2128
ko:K08305	aacn:AANUM_2129
ko:K07270	aacn:AANUM_2133
ko:K19431	aacn:AANUM_2135
ko:K19159	aacn:AANUM_2136
ko:K19158	aacn:AANUM_2137
ko:K03657	aacn:AANUM_2140
ko:K03299	aacn:AANUM_2141
ko:K00851	aacn:AANUM_2142
ko:K06145	aacn:AANUM_2143
ko:K02379	aacn:AANUM_2144
ko:K00123	aacn:AANUM_2145
ko:K00123	aacn:AANUM_2146
ko:K00124	aacn:AANUM_2147
ko:K00127	aacn:AANUM_2148
ko:K04656	aacn:AANUM_2149
ko:K12136	aacn:AANUM_2150
ko:K12137	aacn:AANUM_2151
ko:K12138	aacn:AANUM_2152
ko:K12139	aacn:AANUM_2153
ko:K12140	aacn:AANUM_2154
ko:K12141	aacn:AANUM_2155
ko:K12142	aacn:AANUM_2156
ko:K12143	aacn:AANUM_2157
ko:K12144	aacn:AANUM_2158
ko:K12145	aacn:AANUM_2159
ko:K08315	aacn:AANUM_2160
ko:K01902	aacn:AANUM_2167
ko:K01903	aacn:AANUM_2168
ko:K00658	aacn:AANUM_2169
ko:K00164	aacn:AANUM_2170
ko:K03797	aacn:AANUM_2174
ko:K15256	aacn:AANUM_1268
ko:K01876	aacn:AANUM_1270
ko:K02346	aacn:AANUM_2070
ko:K00796	aacn:AANUM_2071
ko:K03431	aacn:AANUM_2072
ko:K08296	aacn:AANUM_2073
ko:K03610	aacn:AANUM_2075
ko:K09902	aacn:AANUM_2076
ko:K13694	aacn:AANUM_2078
ko:K01627	aacn:AANUM_2079
ko:K02493	aacn:AANUM_2080
ko:K02835	aacn:AANUM_2081
ko:K06077	aacn:AANUM_2082
ko:K09907	aacn:AANUM_2083
ko:K01887	aacn:AANUM_2084
ko:K03976	aacn:AANUM_2086
ko:K02471	aacn:AANUM_2087
ko:K02014	aacn:AANUM_2088
ko:K03327	aacn:AANUM_2089
ko:K00793	aacn:AANUM_2090
ko:K07574	aacn:AANUM_2093
ko:K03624	aacn:AANUM_2094
ko:K07259	aacn:AANUM_2095
ko:K01495	aacn:AANUM_2096
ko:K03750	aacn:AANUM_2097
ko:K05838	aacn:AANUM_2099
ko:K00384	aacn:AANUM_2100
ko:K16013	aacn:AANUM_2101
ko:K16012	aacn:AANUM_2102
ko:K10805	aacn:AANUM_2103
ko:K07491	aacn:AANUM_2107
ko:K00884	aacn:AANUM_2108
ko:K01096	aacn:AANUM_2109
ko:K01497	aacn:AANUM_2110
ko:K01710	aacn:AANUM_2112
ko:K01710	aacn:AANUM_2113
ko:K01142	aacn:AANUM_2115
ko:K12992	aacn:AANUM_2117
ko:K07497	aacn:AANUM_1036
ko:K07497	aacn:AANUM_1038
ko:K07497	aacn:AANUM_0126
ko:K02961	aacn:AANUM_0128
ko:K02904	aacn:AANUM_0129
ko:K02878	aacn:AANUM_0130
ko:K02982	aacn:AANUM_0131
ko:K02890	aacn:AANUM_0132
ko:K02965	aacn:AANUM_0133
ko:K02886	aacn:AANUM_0134
ko:K02892	aacn:AANUM_0135
ko:K02926	aacn:AANUM_0136
ko:K02906	aacn:AANUM_0137
ko:K02946	aacn:AANUM_0138
ko:K01034	aacn:AANUM_0140
ko:K01035	aacn:AANUM_0141
ko:K02106	aacn:AANUM_0142
ko:K00626	aacn:AANUM_0143
ko:K00926	aacn:AANUM_0146
ko:K00611	aacn:AANUM_0147
ko:K05539	aacn:AANUM_0149
ko:K01914	aacn:AANUM_0150
ko:K03718	aacn:AANUM_0151
ko:K00757	aacn:AANUM_0152
ko:K03548	aacn:AANUM_0153
ko:K00537	aacn:AANUM_0154
ko:K09890	aacn:AANUM_0156
ko:K14441	aacn:AANUM_0157
ko:K01104	aacn:AANUM_0158
ko:K03775	aacn:AANUM_0159
ko:K09893	aacn:AANUM_0161
ko:K03282	aacn:AANUM_0162
ko:K03499	aacn:AANUM_0163
ko:K03500	aacn:AANUM_0164
ko:K00604	aacn:AANUM_0165
ko:K01462	aacn:AANUM_0166
ko:K01776	aacn:AANUM_0167
ko:K03181	aacn:AANUM_0168
ko:K03655	aacn:AANUM_0169
ko:K03060	aacn:AANUM_0171
ko:K00942	aacn:AANUM_0172
ko:K00134	aacn:AANUM_0173
ko:K00275	aacn:AANUM_0180
ko:K07783	aacn:AANUM_0181
ko:K11936	aacn:AANUM_0183
ko:K11931	aacn:AANUM_0184
ko:K11931	aacn:AANUM_0185
ko:K03784	aacn:AANUM_0187
ko:K03317	aacn:AANUM_0188
ko:K02796	aacn:AANUM_0190
ko:K02795	aacn:AANUM_0191
ko:K02793	aacn:AANUM_0192
ko:K02794	aacn:AANUM_0192
ko:K08316	aacn:AANUM_0193
ko:K03110	aacn:AANUM_0194
ko:K09812	aacn:AANUM_0195
ko:K09811	aacn:AANUM_0196
ko:K01491	aacn:AANUM_0212
ko:K04077	aacn:AANUM_0213
ko:K04078	aacn:AANUM_0214
ko:K07113	aacn:AANUM_0215
ko:K01744	aacn:AANUM_0216
ko:K02796	aacn:AANUM_0219
ko:K02795	aacn:AANUM_0220
ko:K02793	aacn:AANUM_0221
ko:K02794	aacn:AANUM_0221
ko:K02529	aacn:AANUM_0223
ko:K03315	aacn:AANUM_0224
ko:K14155	aacn:AANUM_0225
ko:K10544	aacn:AANUM_0227
ko:K02874	aacn:AANUM_0450
ko:K02895	aacn:AANUM_0451
ko:K02931	aacn:AANUM_0452
ko:K02954	aacn:AANUM_0453
ko:K02994	aacn:AANUM_0454
ko:K02933	aacn:AANUM_0455
ko:K02881	aacn:AANUM_0456
ko:K02988	aacn:AANUM_0457
ko:K02907	aacn:AANUM_0458
ko:K02876	aacn:AANUM_0459
ko:K03076	aacn:AANUM_0460
ko:K02952	aacn:AANUM_0461
ko:K02948	aacn:AANUM_0462
ko:K02986	aacn:AANUM_0463
ko:K03040	aacn:AANUM_0464
ko:K02879	aacn:AANUM_0465
ko:K03834	aacn:AANUM_0466
ko:K06211	aacn:AANUM_0468
ko:K09806	aacn:AANUM_0469
ko:K04085	aacn:AANUM_0470
ko:K03498	aacn:AANUM_0473
ko:K00230	aacn:AANUM_0474
ko:K07483	aacn:AANUM_0475
ko:K07497	aacn:AANUM_0476
ko:K07497	aacn:AANUM_0477
ko:K07133	aacn:AANUM_0480
ko:K05590	aacn:AANUM_0481
ko:K15460	aacn:AANUM_0482
ko:K03811	aacn:AANUM_0483
ko:K06177	aacn:AANUM_0484
ko:K11904	aacn:AANUM_0485
ko:K09894	aacn:AANUM_0486
ko:K01803	aacn:AANUM_0490
ko:K01661	aacn:AANUM_0491
ko:K02549	aacn:AANUM_0494
ko:K03786	aacn:AANUM_0495
ko:K02160	aacn:AANUM_0496
ko:K01961	aacn:AANUM_0497
ko:K14392	aacn:AANUM_0501
ko:K04095	aacn:AANUM_0502
ko:K02822	aacn:AANUM_1323
ko:K03475	aacn:AANUM_1323
ko:K03476	aacn:AANUM_1324
ko:K03477	aacn:AANUM_1325
ko:K03834	aacn:AANUM_1333
ko:K03674	aacn:AANUM_1335
ko:K05844	aacn:AANUM_1337
ko:K01679	aacn:AANUM_1339
ko:K02339	aacn:AANUM_1340
ko:K01873	aacn:AANUM_1343
ko:K07154	aacn:AANUM_1345
ko:K15773	aacn:AANUM_1346
ko:K03446	aacn:AANUM_1347
ko:K03543	aacn:AANUM_1348
ko:K03543	aacn:AANUM_1349
ko:K04047	aacn:AANUM_1351
ko:K01147	aacn:AANUM_1352
ko:K00208	aacn:AANUM_1353
ko:K01737	aacn:AANUM_1356
ko:K15342	aacn:AANUM_1357
ko:K07012	aacn:AANUM_1358
ko:K19130	aacn:AANUM_1359
ko:K19129	aacn:AANUM_1360
ko:K19128	aacn:AANUM_1361
ko:K19127	aacn:AANUM_1362
ko:K00140	aacn:AANUM_1363
ko:K17213	aacn:AANUM_1365
ko:K17213	aacn:AANUM_1366
ko:K17215	aacn:AANUM_1367
ko:K17215	aacn:AANUM_1368
ko:K17214	aacn:AANUM_1369
ko:K04072	aacn:AANUM_1370
ko:K16087	aacn:AANUM_1371
ko:K03074	aacn:AANUM_1372
ko:K03072	aacn:AANUM_1373
ko:K03210	aacn:AANUM_1374
ko:K00773	aacn:AANUM_1375
ko:K00817	aacn:AANUM_1376
ko:K07568	aacn:AANUM_1377
ko:K03607	aacn:AANUM_2175
ko:K03808	aacn:AANUM_2176
ko:K01258	aacn:AANUM_2179
ko:K11072	aacn:AANUM_2180
ko:K11071	aacn:AANUM_2181
ko:K11070	aacn:AANUM_2182
ko:K11069	aacn:AANUM_2183
ko:K01489	aacn:AANUM_2184
ko:K01875	aacn:AANUM_2185
ko:K07792	aacn:AANUM_2186
ko:K07478	aacn:AANUM_2187
ko:K03634	aacn:AANUM_2188
ko:K03466	aacn:AANUM_2189
ko:K03719	aacn:AANUM_2190
ko:K01012	aacn:AANUM_2191
ko:K02062	aacn:AANUM_2192
ko:K02063	aacn:AANUM_2193
ko:K02064	aacn:AANUM_2194
ko:K00941	aacn:AANUM_2195
ko:K07464	aacn:AANUM_2197
ko:K19118	aacn:AANUM_2198
ko:K19117	aacn:AANUM_2199
ko:K19117	aacn:AANUM_2200
ko:K19119	aacn:AANUM_2201
ko:K01156	aacn:AANUM_2202
ko:K07316	aacn:AANUM_2204
ko:K07012	aacn:AANUM_2210
ko:K07012	aacn:AANUM_2211
ko:K19416	aacn:AANUM_2212
ko:K11179	aacn:AANUM_2213
ko:K11604	aacn:AANUM_2214
ko:K11604	aacn:AANUM_2215
ko:K11607	aacn:AANUM_2216
ko:K11605	aacn:AANUM_2217
ko:K11606	aacn:AANUM_2218
ko:K01512	aacn:AANUM_2219
ko:K09909	aacn:AANUM_2220
ko:K01734	aacn:AANUM_2221
ko:K07320	aacn:AANUM_2225
ko:K00615	aacn:AANUM_2226
ko:K00615	aacn:AANUM_2227
ko:K10545	aacn:AANUM_0229
ko:K10543	aacn:AANUM_0230
ko:K01805	aacn:AANUM_0231
ko:K00854	aacn:AANUM_0232
ko:K07343	aacn:AANUM_0234
ko:K07343	aacn:AANUM_0235
ko:K03089	aacn:AANUM_0236
ko:K00075	aacn:AANUM_0238
ko:K07674	aacn:AANUM_0239
ko:K02570	aacn:AANUM_0240
ko:K02567	aacn:AANUM_0241
ko:K02573	aacn:AANUM_0242
ko:K02574	aacn:AANUM_0243
ko:K02568	aacn:AANUM_0244
ko:K02569	aacn:AANUM_0245
ko:K01460	aacn:AANUM_0246
ko:K02843	aacn:AANUM_0247
ko:K03274	aacn:AANUM_0249
ko:K11751	aacn:AANUM_0251
ko:K09458	aacn:AANUM_0257
ko:K00059	aacn:AANUM_0258
ko:K00647	aacn:AANUM_0260
ko:K07107	aacn:AANUM_0264
ko:K02078	aacn:AANUM_0270
ko:K02078	aacn:AANUM_0271
ko:K20862	aacn:AANUM_0276
ko:K03733	aacn:AANUM_0277
ko:K01778	aacn:AANUM_0278
ko:K01933	aacn:AANUM_0279
ko:K03695	aacn:AANUM_0281
ko:K02687	aacn:AANUM_0503
ko:K05540	aacn:AANUM_0504
ko:K03557	aacn:AANUM_0505
ko:K05809	aacn:AANUM_0507
ko:K03310	aacn:AANUM_0508
ko:K06975	aacn:AANUM_0509
ko:K09862	aacn:AANUM_0510
ko:K00859	aacn:AANUM_0511
ko:K07497	aacn:AANUM_0513
ko:K01919	aacn:AANUM_0516
ko:K01358	aacn:AANUM_0518
ko:K03544	aacn:AANUM_0519
ko:K17686	aacn:AANUM_0523
ko:K07213	aacn:AANUM_0524
ko:K07483	aacn:AANUM_0526
ko:K03046	aacn:AANUM_0530
ko:K03043	aacn:AANUM_0531
ko:K02935	aacn:AANUM_0532
ko:K02864	aacn:AANUM_0533
ko:K02863	aacn:AANUM_0534
ko:K02867	aacn:AANUM_0535
ko:K02601	aacn:AANUM_0536
ko:K03073	aacn:AANUM_0537
ko:K04083	aacn:AANUM_0546
ko:K04762	aacn:AANUM_0547
ko:K20881	aacn:AANUM_0548
ko:K08312	aacn:AANUM_0549
ko:K18991	aacn:AANUM_0550
ko:K01082	aacn:AANUM_0554
ko:K00036	aacn:AANUM_0555
ko:K01057	aacn:AANUM_0556
ko:K00033	aacn:AANUM_0558
ko:K03531	aacn:AANUM_1378
ko:K08303	aacn:AANUM_1386
ko:K07112	aacn:AANUM_1387
ko:K06218	aacn:AANUM_1389
ko:K18923	aacn:AANUM_1390
ko:K02342	aacn:AANUM_1391
ko:K03469	aacn:AANUM_1392
ko:K00800	aacn:AANUM_1393
ko:K00817	aacn:AANUM_1394
ko:K00831	aacn:AANUM_1395
ko:K09802	aacn:AANUM_1396
ko:K03303	aacn:AANUM_1397
ko:K00101	aacn:AANUM_1398
ko:K00948	aacn:AANUM_1400
ko:K00919	aacn:AANUM_1401
ko:K02494	aacn:AANUM_1402
ko:K00974	aacn:AANUM_1403
ko:K07184	aacn:AANUM_1404
ko:K03306	aacn:AANUM_1405
ko:K07220	aacn:AANUM_1406
ko:K04485	aacn:AANUM_1408
ko:K00939	aacn:AANUM_1409
ko:K08218	aacn:AANUM_1410
ko:K04651	aacn:AANUM_1411
ko:K01784	aacn:AANUM_1412
ko:K06901	aacn:AANUM_1414
ko:K04075	aacn:AANUM_1415
ko:K00868	aacn:AANUM_1416
ko:K01962	aacn:AANUM_1417
ko:K07127	aacn:AANUM_1418
ko:K01951	aacn:AANUM_1420
ko:K19157	aacn:AANUM_1421
ko:K07473	aacn:AANUM_1422
ko:K03326	aacn:AANUM_1423
ko:K06196	aacn:AANUM_1427
ko:K12267	aacn:AANUM_1428
ko:K01673	aacn:AANUM_1429
ko:K03475	aacn:AANUM_2228
ko:K02822	aacn:AANUM_2229
ko:K11904	aacn:AANUM_2236
ko:K05367	aacn:AANUM_2238
ko:K06894	aacn:AANUM_2240
ko:K03568	aacn:AANUM_2241
ko:K03813	aacn:AANUM_2242
ko:K02017	aacn:AANUM_2243
ko:K02018	aacn:AANUM_2244
ko:K02020	aacn:AANUM_2245
ko:K04043	aacn:AANUM_2249
ko:K03686	aacn:AANUM_2250
ko:K18841	aacn:AANUM_2251
ko:K01760	aacn:AANUM_2254
ko:K00995	aacn:AANUM_2255
ko:K12410	aacn:AANUM_2257
ko:K03675	aacn:AANUM_2258
ko:K08301	aacn:AANUM_2259
ko:K11928	aacn:AANUM_2260
ko:K15257	aacn:AANUM_2261
ko:K01939	aacn:AANUM_2262
ko:K18997	aacn:AANUM_2263
ko:K05516	aacn:AANUM_2264
ko:K03977	aacn:AANUM_2265
ko:K08159	aacn:AANUM_2266
ko:K01494	aacn:AANUM_2268
ko:K00876	aacn:AANUM_2269
ko:K02012	aacn:AANUM_2270
ko:K02012	aacn:AANUM_2271
ko:K02011	aacn:AANUM_2272
ko:K02011	aacn:AANUM_2273
ko:K02010	aacn:AANUM_2274
ko:K00147	aacn:AANUM_2277
ko:K07497	aacn:AANUM_1997
ko:K03284	aacn:AANUM_0559
ko:K02221	aacn:AANUM_0560
ko:K09131	aacn:AANUM_0561
ko:K05810	aacn:AANUM_0568
ko:K06180	aacn:AANUM_0569
ko:K05807	aacn:AANUM_0570
ko:K01934	aacn:AANUM_0571
ko:K09888	aacn:AANUM_0572
ko:K09895	aacn:AANUM_0573
ko:K01262	aacn:AANUM_0574
ko:K02959	aacn:AANUM_0575
ko:K02860	aacn:AANUM_0576
ko:K00554	aacn:AANUM_0577
ko:K02884	aacn:AANUM_0578
ko:K03571	aacn:AANUM_0579
ko:K03570	aacn:AANUM_0580
ko:K03569	aacn:AANUM_0581
ko:K12573	aacn:AANUM_0582
ko:K03218	aacn:AANUM_0583
ko:K02445	aacn:AANUM_0584
ko:K01126	aacn:AANUM_0585
ko:K04096	aacn:AANUM_0586
ko:K02939	aacn:AANUM_0587
ko:K02963	aacn:AANUM_0588
ko:K02686	aacn:AANUM_0589
ko:K02990	aacn:AANUM_0590
ko:K01356	aacn:AANUM_0591
ko:K00631	aacn:AANUM_0592
ko:K18893	aacn:AANUM_0593
ko:K18991	aacn:AANUM_0594
ko:K12982	aacn:AANUM_0596
ko:K11211	aacn:AANUM_0597
ko:K00954	aacn:AANUM_0598
ko:K02527	aacn:AANUM_0599
ko:K12984	aacn:AANUM_0600
ko:K00998	aacn:AANUM_0603
ko:K03214	aacn:AANUM_0604
ko:K01166	aacn:AANUM_0606
ko:K00927	aacn:AANUM_0607
ko:K01624	aacn:AANUM_0608
ko:K02847	aacn:AANUM_0609
ko:K01048	aacn:AANUM_0610
ko:K01652	aacn:AANUM_0612
ko:K02358	aacn:AANUM_0614
ko:K03271	aacn:AANUM_1431
ko:K07460	aacn:AANUM_1432
ko:K07121	aacn:AANUM_1433
ko:K07056	aacn:AANUM_1434
ko:K00111	aacn:AANUM_1435
ko:K03885	aacn:AANUM_1437
ko:K01118	aacn:AANUM_1438
ko:K04774	aacn:AANUM_1439
ko:K00799	aacn:AANUM_1441
ko:K02621	aacn:AANUM_1442
ko:K02622	aacn:AANUM_1443
ko:K03702	aacn:AANUM_1448
ko:K03286	aacn:AANUM_1449
ko:K04772	aacn:AANUM_1450
ko:K09908	aacn:AANUM_1451
ko:K09136	aacn:AANUM_1452
ko:K01809	aacn:AANUM_1453
ko:K09946	aacn:AANUM_1454
ko:K02778	aacn:AANUM_1455
ko:K02779	aacn:AANUM_1455
ko:K02778	aacn:AANUM_1456
ko:K02779	aacn:AANUM_1456
ko:K01069	aacn:AANUM_1458
ko:K02492	aacn:AANUM_1459
ko:K02565	aacn:AANUM_1460
ko:K11904	aacn:AANUM_1470
ko:K02803	aacn:AANUM_1473
ko:K02804	aacn:AANUM_1473
ko:K17948	aacn:AANUM_1474
ko:K01788	aacn:AANUM_1477
ko:K00885	aacn:AANUM_1478
ko:K01639	aacn:AANUM_1480
ko:K02564	aacn:AANUM_1481
ko:K03841	aacn:AANUM_2280
ko:K03841	aacn:AANUM_2281
ko:K02558	aacn:AANUM_2282
ko:K08304	aacn:AANUM_2283
ko:K09815	aacn:AANUM_2285
ko:K08978	aacn:AANUM_2287
ko:K09801	aacn:AANUM_2289
ko:K18850	aacn:AANUM_2290
ko:K03601	aacn:AANUM_2291
ko:K06958	aacn:AANUM_2292
ko:K02806	aacn:AANUM_2293
ko:K06861	aacn:AANUM_2294
ko:K09774	aacn:AANUM_2295
ko:K11719	aacn:AANUM_2296
ko:K02065	aacn:AANUM_2297
ko:K02066	aacn:AANUM_2298
ko:K02067	aacn:AANUM_2299
ko:K07323	aacn:AANUM_2300
ko:K07122	aacn:AANUM_2301
ko:K00790	aacn:AANUM_2303
ko:K06076	aacn:AANUM_2305
ko:K00567	aacn:AANUM_2306
ko:K03573	aacn:AANUM_2307
ko:K01915	aacn:AANUM_2309
ko:K06207	aacn:AANUM_2310
ko:K03564	aacn:AANUM_2312
ko:K01714	aacn:AANUM_2313
ko:K07287	aacn:AANUM_2314
ko:K05845	aacn:AANUM_2315
ko:K05846	aacn:AANUM_2315
ko:K05847	aacn:AANUM_2317
ko:K06997	aacn:AANUM_2318
ko:K12524	aacn:AANUM_2320
ko:K00872	aacn:AANUM_2321
ko:K01733	aacn:AANUM_2323
ko:K06133	aacn:AANUM_2324
ko:K04088	aacn:AANUM_2325
ko:K04087	aacn:AANUM_2326
ko:K03545	aacn:AANUM_2327
ko:K07497	aacn:AANUM_0125
ko:K04763	aacn:AANUM_2328
ko:K00286	aacn:AANUM_2329
ko:K03554	aacn:AANUM_2330
ko:K07268	aacn:AANUM_2332
ko:K19810	aacn:AANUM_2333
ko:K02355	aacn:AANUM_0615
ko:K02992	aacn:AANUM_0616
ko:K02950	aacn:AANUM_0617
ko:K00053	aacn:AANUM_0618
ko:K02521	aacn:AANUM_0619
ko:K05786	aacn:AANUM_0620
ko:K00014	aacn:AANUM_0621
ko:K07566	aacn:AANUM_0622
ko:K07479	aacn:AANUM_0623
ko:K09760	aacn:AANUM_0624
ko:K02439	aacn:AANUM_0626
ko:K02441	aacn:AANUM_0628
ko:K02444	aacn:AANUM_0629
ko:K16087	aacn:AANUM_0630
ko:K02471	aacn:AANUM_0632
ko:K07085	aacn:AANUM_0633
ko:K09903	aacn:AANUM_0634
ko:K02838	aacn:AANUM_0635
ko:K00099	aacn:AANUM_0636
ko:K00806	aacn:AANUM_0637
ko:K00981	aacn:AANUM_0638
ko:K11749	aacn:AANUM_0639
ko:K07277	aacn:AANUM_0640
ko:K06142	aacn:AANUM_0641
ko:K02536	aacn:AANUM_0642
ko:K02372	aacn:AANUM_0643
ko:K00677	aacn:AANUM_0644
ko:K00748	aacn:AANUM_0645
ko:K03470	aacn:AANUM_0646
ko:K00995	aacn:AANUM_0648
ko:K00981	aacn:AANUM_0650
ko:K03831	aacn:AANUM_0651
ko:K11907	aacn:AANUM_0659
ko:K11907	aacn:AANUM_0660
ko:K03833	aacn:AANUM_0665
ko:K01042	aacn:AANUM_0666
ko:K01881	aacn:AANUM_0667
ko:K03297	aacn:AANUM_0668
ko:K09159	aacn:AANUM_0669
ko:K03088	aacn:AANUM_0670
ko:K03597	aacn:AANUM_0671
ko:K01443	aacn:AANUM_1482
ko:K11065	aacn:AANUM_1483
ko:K01772	aacn:AANUM_1484
ko:K03286	aacn:AANUM_1487
ko:K07390	aacn:AANUM_1489
ko:K03578	aacn:AANUM_1492
ko:K03578	aacn:AANUM_1493
ko:K02003	aacn:AANUM_1498
ko:K02004	aacn:AANUM_1499
ko:K02004	aacn:AANUM_1500
ko:K07230	aacn:AANUM_1502
ko:K07243	aacn:AANUM_1503
ko:K05365	aacn:AANUM_1504
ko:K15724	aacn:AANUM_1505
ko:K01265	aacn:AANUM_1506
ko:K00990	aacn:AANUM_1507
ko:K01845	aacn:AANUM_1508
ko:K02851	aacn:AANUM_1509
ko:K19230	aacn:AANUM_1510
ko:K19229	aacn:AANUM_1511
ko:K19228	aacn:AANUM_1512
ko:K19227	aacn:AANUM_1513
ko:K19226	aacn:AANUM_1514
ko:K06918	aacn:AANUM_1515
ko:K08990	aacn:AANUM_1516
ko:K03721	aacn:AANUM_1517
ko:K03666	aacn:AANUM_1518
ko:K00791	aacn:AANUM_1519
ko:K07497	aacn:AANUM_0478
ko:K01190	aacn:AANUM_1334
ko:K15581	aacn:AANUM_1248
ko:K15581	aacn:AANUM_1249
ko:K03572	aacn:AANUM_1520
ko:K01448	aacn:AANUM_1521
ko:K06925	aacn:AANUM_1522
ko:K02356	aacn:AANUM_2334
ko:K01668	aacn:AANUM_2335
ko:K03834	aacn:AANUM_2336
ko:K03269	aacn:AANUM_2339
ko:K00655	aacn:AANUM_2340
ko:K04753	aacn:AANUM_2341
ko:K04069	aacn:AANUM_2343
ko:K00656	aacn:AANUM_2344
ko:K00656	aacn:AANUM_2345
ko:K06212	aacn:AANUM_2346
ko:K02503	aacn:AANUM_2347
ko:K01207	aacn:AANUM_2349
ko:K03212	aacn:AANUM_2350
ko:K00850	aacn:AANUM_2352
ko:K13283	aacn:AANUM_2353
ko:K09861	aacn:AANUM_2355
ko:K03648	aacn:AANUM_2356
ko:K03596	aacn:AANUM_2358
ko:K03100	aacn:AANUM_2359
ko:K03685	aacn:AANUM_2360
ko:K03595	aacn:AANUM_2361
ko:K03650	aacn:AANUM_2362
ko:K03217	aacn:AANUM_2363
ko:K03536	aacn:AANUM_2364
ko:K03598	aacn:AANUM_0672
ko:K03803	aacn:AANUM_0673
ko:K07497	aacn:AANUM_0512
ko:K07497	aacn:AANUM_0514
ko:K18842	aacn:AANUM_2252
ko:K03753	aacn:AANUM_0674
ko:K07124	aacn:AANUM_0675
ko:K01270	aacn:AANUM_0676
ko:K00769	aacn:AANUM_0677
ko:K04744	aacn:AANUM_0678
ko:K01246	aacn:AANUM_0679
ko:K08996	aacn:AANUM_0680
ko:K01586	aacn:AANUM_0681
ko:K06202	aacn:AANUM_0683
ko:K03654	aacn:AANUM_0684
ko:K02470	aacn:AANUM_0685
ko:K00867	aacn:AANUM_0686
ko:K02358	aacn:AANUM_0687
ko:K02358	aacn:AANUM_0688
ko:K10439	aacn:AANUM_0689
ko:K10441	aacn:AANUM_0690
ko:K10440	aacn:AANUM_0691
ko:K00880	aacn:AANUM_0692
ko:K06959	aacn:AANUM_0693
ko:K06959	aacn:AANUM_0694
ko:K07483	aacn:AANUM_0695
ko:K04760	aacn:AANUM_0702
ko:K03088	aacn:AANUM_0704
ko:K09125	aacn:AANUM_0706
ko:K02498	aacn:AANUM_0707
ko:K02496	aacn:AANUM_0708
ko:K01719	aacn:AANUM_0709
ko:K01749	aacn:AANUM_0710
ko:K05851	aacn:AANUM_0711
ko:K07685	aacn:AANUM_0712
ko:K07278	aacn:AANUM_0713
ko:K09800	aacn:AANUM_0714
ko:K01524	aacn:AANUM_0715
ko:K01610	aacn:AANUM_0716
ko:K03426	aacn:AANUM_0718
ko:K01599	aacn:AANUM_0719
ko:K09891	aacn:AANUM_0720
ko:K05787	aacn:AANUM_0721
ko:K00820	aacn:AANUM_0723
ko:K06889	aacn:AANUM_0724
ko:K07171	aacn:AANUM_1537
ko:K18829	aacn:AANUM_1538
ko:K11013	aacn:AANUM_1540
ko:K11014	aacn:AANUM_1541
ko:K11015	aacn:AANUM_1542
ko:K13288	aacn:AANUM_1553
ko:K06949	aacn:AANUM_1554
ko:K02784	aacn:AANUM_1555
ko:K08483	aacn:AANUM_1556
ko:K02777	aacn:AANUM_1557
ko:K01414	aacn:AANUM_1558
ko:K09790	aacn:AANUM_1559
ko:K02035	aacn:AANUM_1561
ko:K07126	aacn:AANUM_1562
ko:K07126	aacn:AANUM_1563
ko:K07126	aacn:AANUM_1564
ko:K11904	aacn:AANUM_1566
ko:K02619	aacn:AANUM_1568
ko:K01665	aacn:AANUM_1569
ko:K01664	aacn:AANUM_1570
ko:K00018	aacn:AANUM_1571
ko:K03297	aacn:AANUM_1572
ko:K01868	aacn:AANUM_1574
ko:K00528	aacn:AANUM_1578
ko:K02520	aacn:AANUM_1579
ko:K02916	aacn:AANUM_1581
ko:K02887	aacn:AANUM_1582
ko:K01635	aacn:AANUM_1583
ko:K01652	aacn:AANUM_0613
