ko:K18929	cft:CFF04554_0888
ko:K01952	cft:CFF04554_0948
ko:K00655	cft:CFF04554_0950
ko:K06199	cft:CFF04554_0951
ko:K04079	cft:CFF04554_0958
ko:K03657	cft:CFF04554_0961
ko:K01679	cft:CFF04554_0963
ko:K01873	cft:CFF04554_0964
ko:K02071	cft:CFF04554_0965
ko:K02072	cft:CFF04554_0966
ko:K00941	cft:CFF04554_0967
ko:K02073	cft:CFF04554_0968
ko:K02902	cft:CFF04554_0969
ko:K10716	cft:CFF04554_0970
ko:K00620	cft:CFF04554_0971
ko:K09794	cft:CFF04554_0972
ko:K09944	cft:CFF04554_0977
ko:K00773	cft:CFF04554_0978
ko:K06886	cft:CFF04554_0985
ko:K01682	cft:CFF04554_0987
ko:K00567	cft:CFF04554_0988
ko:K14652	cft:CFF04554_0989
ko:K02939	cft:CFF04554_0990
ko:K01419	cft:CFF04554_0991
ko:K03667	cft:CFF04554_0992
ko:K00759	cft:CFF04554_1196
ko:K01808	cft:CFF04554_1198
ko:K03100	cft:CFF04554_1200
ko:K01491	cft:CFF04554_1201
ko:K01845	cft:CFF04554_1203
ko:K04061	cft:CFF04554_1208
ko:K05515	cft:CFF04554_1209
ko:K00619	cft:CFF04554_1211
ko:K03978	cft:CFF04554_1212
ko:K09774	cft:CFF04554_1213
ko:K03270	cft:CFF04554_1215
ko:K01693	cft:CFF04554_1216
ko:K03642	cft:CFF04554_1217
ko:K08307	cft:CFF04554_1218
ko:K03424	cft:CFF04554_1219
ko:K03631	cft:CFF04554_1221
ko:K00858	cft:CFF04554_1222
ko:K01876	cft:CFF04554_1223
ko:K00939	cft:CFF04554_1224
ko:K01507	cft:CFF04554_1225
ko:K03827	cft:CFF04554_1226
ko:K02013	cft:CFF04554_1228
ko:K02016	cft:CFF04554_1230
ko:K01448	cft:CFF04554_1237
ko:K00459	cft:CFF04554_1238
ko:K01866	cft:CFF04554_1239
ko:K03060	cft:CFF04554_1241
ko:K09903	cft:CFF04554_1242
ko:K01821	cft:CFF04554_1487
ko:K03596	cft:CFF04554_1488
ko:K00948	cft:CFF04554_1489
ko:K00609	cft:CFF04554_1490
ko:K01465	cft:CFF04554_1491
ko:K00566	cft:CFF04554_1494
ko:K00127	cft:CFF04554_1495
ko:K06966	cft:CFF04554_1497
ko:K00266	cft:CFF04554_1498
ko:K00265	cft:CFF04554_1499
ko:K11752	cft:CFF04554_1500
ko:K09748	cft:CFF04554_1503
ko:K02834	cft:CFF04554_1504
ko:K02519	cft:CFF04554_1505
ko:K00872	cft:CFF04554_1507
ko:K02535	cft:CFF04554_1509
ko:K04517	cft:CFF04554_1512
ko:K07277	cft:CFF04554_1513
ko:K04773	cft:CFF04554_1515
ko:K03786	cft:CFF04554_1517
ko:K01262	cft:CFF04554_1518
ko:K00950	cft:CFF04554_1519
ko:K02404	cft:CFF04554_1520
ko:K04562	cft:CFF04554_1521
ko:K02405	cft:CFF04554_1523
ko:K02416	cft:CFF04554_1524
ko:K02417	cft:CFF04554_1525
ko:K18284	cft:CFF04554_1527
ko:K00645	cft:CFF04554_1528
ko:K03775	cft:CFF04554_1529
ko:K03640	cft:CFF04554_1531
ko:K03641	cft:CFF04554_1532
ko:K02169	cft:CFF04554_0084
ko:K09789	cft:CFF04554_0085
ko:K00652	cft:CFF04554_0086
ko:K00946	cft:CFF04554_0088
ko:K06176	cft:CFF04554_0089
ko:K02422	cft:CFF04554_0092
ko:K02407	cft:CFF04554_0093
ko:K06603	cft:CFF04554_0094
ko:K02394	cft:CFF04554_0097
ko:K02396	cft:CFF04554_0101
ko:K15778	cft:CFF04554_0103
ko:K00971	cft:CFF04554_0104
ko:K06920	cft:CFF04554_0105
ko:K01885	cft:CFF04554_0106
ko:K02221	cft:CFF04554_0107
ko:K08309	cft:CFF04554_0108
ko:K03839	cft:CFF04554_0112
ko:K07173	cft:CFF04554_0113
ko:K03648	cft:CFF04554_0114
ko:K02887	cft:CFF04554_0115
ko:K02916	cft:CFF04554_0116
ko:K02012	cft:CFF04554_0117
ko:K02011	cft:CFF04554_0118
ko:K03585	cft:CFF04554_0121
ko:K02970	cft:CFF04554_0124
ko:K08315	cft:CFF04554_0125
ko:K15831	cft:CFF04554_0128
ko:K12141	cft:CFF04554_0130
ko:K12140	cft:CFF04554_0131
ko:K00616	cft:CFF04554_0334
ko:K02669	cft:CFF04554_0335
ko:K02897	cft:CFF04554_0336
ko:K01056	cft:CFF04554_0337
ko:K13747	cft:CFF04554_0338
ko:K01008	cft:CFF04554_0340
ko:K02401	cft:CFF04554_0342
ko:K03313	cft:CFF04554_0343
ko:K03701	cft:CFF04554_0344
ko:K14445	cft:CFF04554_0345
ko:K07090	cft:CFF04554_0346
ko:K07090	cft:CFF04554_0347
ko:K01657	cft:CFF04554_0349
ko:K13497	cft:CFF04554_0350
ko:K01817	cft:CFF04554_0351
ko:K01696	cft:CFF04554_0352
ko:K01695	cft:CFF04554_0353
ko:K02417	cft:CFF04554_0355
ko:K02018	cft:CFF04554_0358
ko:K02017	cft:CFF04554_0359
ko:K02020	cft:CFF04554_0361
ko:K02019	cft:CFF04554_0362
ko:K04754	cft:CFF04554_0363
ko:K07323	cft:CFF04554_0364
ko:K07003	cft:CFF04554_0365
ko:K04065	cft:CFF04554_0366
ko:K01939	cft:CFF04554_0369
ko:K09804	cft:CFF04554_0372
ko:K01956	cft:CFF04554_0373
ko:K09792	cft:CFF04554_0374
ko:K00404	cft:CFF04554_0377
ko:K00405	cft:CFF04554_0378
ko:K00407	cft:CFF04554_0379
ko:K00406	cft:CFF04554_0380
ko:K00640	cft:CFF04554_0899
ko:K00812	cft:CFF04554_0900
ko:K07093	cft:CFF04554_0902
ko:K03839	cft:CFF04554_0903
ko:K07795	cft:CFF04554_0904
ko:K07794	cft:CFF04554_0905
ko:K00177	cft:CFF04554_0907
ko:K00175	cft:CFF04554_0908
ko:K00174	cft:CFF04554_0909
ko:K00176	cft:CFF04554_0910
ko:K01902	cft:CFF04554_0911
ko:K01903	cft:CFF04554_0912
ko:K00024	cft:CFF04554_0913
ko:K02313	cft:CFF04554_0001
ko:K02338	cft:CFF04554_0002
ko:K02470	cft:CFF04554_0003
ko:K09457	cft:CFF04554_0005
ko:K07023	cft:CFF04554_0006
ko:K02390	cft:CFF04554_0008
ko:K02389	cft:CFF04554_0009
ko:K07552	cft:CFF04554_0011
ko:K06207	cft:CFF04554_0012
ko:K07133	cft:CFF04554_0014
ko:K03470	cft:CFF04554_0015
ko:K09799	cft:CFF04554_0016
ko:K02010	cft:CFF04554_0017
ko:K07126	cft:CFF04554_0018
ko:K16264	cft:CFF04554_0019
ko:K04069	cft:CFF04554_0023
ko:K00573	cft:CFF04554_0030
ko:K00376	cft:CFF04554_0438
ko:K02573	cft:CFF04554_0441
ko:K02574	cft:CFF04554_0444
ko:K02484	cft:CFF04554_0449
ko:K12340	cft:CFF04554_0457
ko:K07154	cft:CFF04554_0462
ko:K07042	cft:CFF04554_0464
ko:K02067	cft:CFF04554_0466
ko:K02065	cft:CFF04554_0467
ko:K02066	cft:CFF04554_0468
ko:K03551	cft:CFF04554_0470
ko:K00606	cft:CFF04554_0472
ko:K03407	cft:CFF04554_0473
ko:K07133	cft:CFF04554_0482
ko:K01711	cft:CFF04554_0484
ko:K00031	cft:CFF04554_0914
ko:K03304	cft:CFF04554_0915
ko:K01091	cft:CFF04554_0916
ko:K00135	cft:CFF04554_0918
ko:K05601	cft:CFF04554_0919
ko:K01740	cft:CFF04554_0920
ko:K01738	cft:CFF04554_0922
ko:K00997	cft:CFF04554_0923
ko:K02415	cft:CFF04554_0924
ko:K07082	cft:CFF04554_0928
ko:K04651	cft:CFF04554_0930
ko:K04655	cft:CFF04554_0931
ko:K04654	cft:CFF04554_0932
ko:K04653	cft:CFF04554_0933
ko:K04652	cft:CFF04554_0934
ko:K07722	cft:CFF04554_0935
ko:K04656	cft:CFF04554_0936
ko:K03605	cft:CFF04554_0938
ko:K03620	cft:CFF04554_0939
ko:K05922	cft:CFF04554_0940
ko:K05927	cft:CFF04554_0941
ko:K03695	cft:CFF04554_0944
ko:K07738	cft:CFF04554_1125
ko:K15256	cft:CFF04554_1136
ko:K11753	cft:CFF04554_1137
ko:K06442	cft:CFF04554_1138
ko:K01972	cft:CFF04554_1139
ko:K00796	cft:CFF04554_1140
ko:K02341	cft:CFF04554_1141
ko:K00928	cft:CFF04554_1143
ko:K08311	cft:CFF04554_1144
ko:K03117	cft:CFF04554_1146
ko:K02913	cft:CFF04554_1341
ko:K02358	cft:CFF04554_1342
ko:K01591	cft:CFF04554_1349
ko:K03625	cft:CFF04554_1350
ko:K00794	cft:CFF04554_1351
ko:K01627	cft:CFF04554_1354
ko:K03977	cft:CFF04554_1356
ko:K00891	cft:CFF04554_1357
ko:K01867	cft:CFF04554_1358
ko:K01875	cft:CFF04554_1359
ko:K01649	cft:CFF04554_1361
ko:K17103	cft:CFF04554_1362
ko:K01613	cft:CFF04554_1363
ko:K03798	cft:CFF04554_1364
ko:K02687	cft:CFF04554_1365
ko:K03413	cft:CFF04554_1366
ko:K01814	cft:CFF04554_1367
ko:K02501	cft:CFF04554_1368
ko:K01925	cft:CFF04554_1374
ko:K01000	cft:CFF04554_1375
ko:K15633	cft:CFF04554_1376
ko:K00059	cft:CFF04554_1377
ko:K02078	cft:CFF04554_1378
ko:K09458	cft:CFF04554_1379
ko:K01962	cft:CFF04554_1380
ko:K02836	cft:CFF04554_1384
ko:K01918	cft:CFF04554_1385
ko:K04075	cft:CFF04554_1387
ko:K15896	cft:CFF04554_1636
ko:K02406	cft:CFF04554_1637
ko:K02406	cft:CFF04554_1638
ko:K03498	cft:CFF04554_1643
ko:K03499	cft:CFF04554_1644
ko:K01744	cft:CFF04554_1645
ko:K07791	cft:CFF04554_1646
ko:K03611	cft:CFF04554_1648
ko:K16089	cft:CFF04554_1650
ko:K03561	cft:CFF04554_1651
ko:K03559	cft:CFF04554_1652
ko:K03832	cft:CFF04554_1653
ko:K02035	cft:CFF04554_1654
ko:K02033	cft:CFF04554_1655
ko:K02034	cft:CFF04554_1656
ko:K03893	cft:CFF04554_1659
ko:K03186	cft:CFF04554_1664
ko:K00018	cft:CFF04554_1665
ko:K09767	cft:CFF04554_1666
ko:K03673	cft:CFF04554_1667
ko:K01897	cft:CFF04554_1670
ko:K06076	cft:CFF04554_1671
ko:K01151	cft:CFF04554_1672
ko:K02911	cft:CFF04554_0235
ko:K03621	cft:CFF04554_0236
ko:K00648	cft:CFF04554_0237
ko:K08591	cft:CFF04554_0240
ko:K01633	cft:CFF04554_0241
ko:K02484	cft:CFF04554_0243
ko:K01524	cft:CFF04554_0245
ko:K05540	cft:CFF04554_0247
ko:K06204	cft:CFF04554_0249
ko:K00783	cft:CFF04554_0250
ko:K01963	cft:CFF04554_0251
ko:K03386	cft:CFF04554_0252
ko:K00831	cft:CFF04554_0254
ko:K03601	cft:CFF04554_0255
ko:K03183	cft:CFF04554_0256
ko:K01993	cft:CFF04554_0259
ko:K01992	cft:CFF04554_0261
ko:K09825	cft:CFF04554_0263
ko:K01662	cft:CFF04554_0264
ko:K02411	cft:CFF04554_0265
ko:K02410	cft:CFF04554_0266
ko:K02409	cft:CFF04554_0267
ko:K00817	cft:CFF04554_0268
ko:K14170	cft:CFF04554_0269
ko:K02566	cft:CFF04554_0270
ko:K01586	cft:CFF04554_0271
ko:K11720	cft:CFF04554_0272
ko:K02428	cft:CFF04554_0274
ko:K02015	cft:CFF04554_0278
ko:K02013	cft:CFF04554_0279
ko:K03561	cft:CFF04554_0280
ko:K01980	cft:CFF04554_0155
ko:K09691	cft:CFF04554_0486
ko:K06218	cft:CFF04554_0479
ko:K00571	cft:CFF04554_0319
ko:K03789	cft:CFF04554_0188
ko:K18138	cft:CFF04554_0120
ko:K00335	cft:CFF04554_1641
ko:K00335	cft:CFF04554_0162
ko:K03526	cft:CFF04554_0981
ko:K03497	cft:CFF04554_1543
ko:K03496	cft:CFF04554_1544
ko:K04565	cft:CFF04554_1347
ko:K03111	cft:CFF04554_1159
ko:K18992	cft:CFF04554_0122
ko:K00662	cft:CFF04554_1479
ko:K09797	cft:CFF04554_1744
ko:K03194	cft:CFF04554_a0002
ko:K03111	cft:CFF04554_a0003
ko:K11015	cft:CFF04554_0024
ko:K17251	cft:CFF04554_1398
ko:K07097	cft:CFF04554_1080
ko:K07326	cft:CFF04554_0753
ko:K00354	cft:CFF04554_0611
ko:K15461	cft:CFF04554_1236
ko:K00557	cft:CFF04554_0974
ko:K15912	cft:CFF04554_1370
ko:K15913	cft:CFF04554_1395
ko:K15914	cft:CFF04554_1397
ko:K15915	cft:CFF04554_1396
ko:K17248	cft:CFF04554_1614
ko:K17249	cft:CFF04554_1400
ko:K17249	cft:CFF04554_1401
ko:K22468	cft:CFF04554_1074
ko:K15910	cft:CFF04554_1371
ko:K11014	cft:CFF04554_0953
ko:K11014	cft:CFF04554_0025
ko:K11013	cft:CFF04554_0026
ko:K04771	cft:CFF04554_0771
ko:K07448	cft:CFF04554_1799
ko:K19091	cft:CFF04554_1463
ko:K00336	cft:CFF04554_0163
ko:K06867	cft:CFF04554_1044
ko:K01992	cft:CFF04554_0262
ko:K00525	cft:CFF04554_1811
ko:K01990	cft:CFF04554_0445
ko:K01992	cft:CFF04554_0446
ko:K06867	cft:CFF04554_0976
ko:K07218	cft:CFF04554_0440
ko:K07344	cft:CFF04554_a0028
ko:K07216	cft:CFF04554_1700
ko:K09690	cft:CFF04554_0487
ko:K15830	cft:CFF04554_0129
ko:K12137	cft:CFF04554_0133
ko:K03406	cft:CFF04554_0186
ko:K21636	cft:CFF04554_0020
ko:K08325	cft:CFF04554_1313
ko:K09796	cft:CFF04554_1592
ko:K20266	cft:CFF04554_a0026
ko:K20810	cft:CFF04554_1516
ko:K14227	cft:CFF04554_0499
ko:K14225	cft:CFF04554_1344
ko:K14225	cft:CFF04554_0893
ko:K14225	cft:CFF04554_1783
ko:K14231	cft:CFF04554_1373
ko:K14232	cft:CFF04554_1686
ko:K14233	cft:CFF04554_1348
ko:K14233	cft:CFF04554_1780
ko:K14220	cft:CFF04554_0206
ko:K14220	cft:CFF04554_1470
ko:K01977	cft:CFF04554_0498
ko:K01977	cft:CFF04554_0585
ko:K01980	cft:CFF04554_0500
ko:K01980	cft:CFF04554_0587
ko:K14229	cft:CFF04554_0590
ko:K14229	cft:CFF04554_0593
ko:K14237	cft:CFF04554_0591
ko:K14237	cft:CFF04554_0595
ko:K14221	cft:CFF04554_0592
ko:K14221	cft:CFF04554_0596
ko:K14224	cft:CFF04554_0594
ko:K14224	cft:CFF04554_0598
ko:K14224	cft:CFF04554_1674
ko:K14228	cft:CFF04554_1309
ko:K14228	cft:CFF04554_1682
ko:K14228	cft:CFF04554_1782
ko:K14219	cft:CFF04554_1040
ko:K14219	cft:CFF04554_1328
ko:K14219	cft:CFF04554_1683
ko:K14219	cft:CFF04554_1684
ko:K14230	cft:CFF04554_1256
ko:K14230	cft:CFF04554_1465
ko:K14230	cft:CFF04554_1762
ko:K14235	cft:CFF04554_1340
ko:K14234	cft:CFF04554_1343
ko:K14234	cft:CFF04554_1346
ko:K14236	cft:CFF04554_1345
ko:K14223	cft:CFF04554_1464
ko:K14218	cft:CFF04554_1784
ko:K14233	cft:CFF04554_0142
ko:K20527	cft:CFF04554_a0020
ko:K20531	cft:CFF04554_a0029
ko:K20529	cft:CFF04554_a0022
ko:K20532	cft:CFF04554_a0030
ko:K20533	cft:CFF04554_a0032
ko:K16299	cft:CFF04554_0459
ko:K20528	cft:CFF04554_a0021
ko:K20530	cft:CFF04554_a0023
ko:K07100	cft:CFF04554_1285
ko:K01023	cft:CFF04554_0434
ko:K00821	cft:CFF04554_0926
ko:K02314	cft:CFF04554_0980
ko:K02316	cft:CFF04554_1741
ko:K03465	cft:CFF04554_1792
ko:K03462	cft:CFF04554_0021
ko:K03553	cft:CFF04554_0202
ko:K02335	cft:CFF04554_0229
ko:K02483	cft:CFF04554_1162
ko:K02483	cft:CFF04554_0770
ko:K00526	cft:CFF04554_0028
ko:K02481	cft:CFF04554_1475
ko:K02032	cft:CFF04554_1658
ko:K02031	cft:CFF04554_1657
ko:K16300	cft:CFF04554_0458
ko:K01139	cft:CFF04554_1240
ko:K02483	cft:CFF04554_0242
ko:K02483	cft:CFF04554_0450
ko:K21420	cft:CFF04554_0687
ko:K01420	cft:CFF04554_0426
ko:K10026	cft:CFF04554_0222
ko:K21929	cft:CFF04554_0541
ko:K03595	cft:CFF04554_0993
ko:K14441	cft:CFF04554_1386
ko:K22391	cft:CFF04554_1034
ko:K17758	cft:CFF04554_1689
ko:K17759	cft:CFF04554_1689
ko:K22424	cft:CFF04554_1632
