ko:K12340	yep:YE105_C3363
ko:K09019	yep:YE105_C1755
ko:K09023	yep:YE105_C1756
ko:K09021	yep:YE105_C1757
ko:K09018	yep:YE105_C1759
ko:K11737	yep:YE105_C1761
ko:K01176	yep:YE105_C1767
ko:K07689	yep:YE105_C1771
ko:K03703	yep:YE105_C1772
ko:K00995	yep:YE105_C1773
ko:K06905	yep:YE105_C1776
ko:K06908	yep:YE105_C1779
ko:K06907	yep:YE105_C1780
ko:K11085	yep:YE105_C2581
ko:K02238	yep:YE105_C2582
ko:K05788	yep:YE105_C2583
ko:K02945	yep:YE105_C2584
ko:K00945	yep:YE105_C2585
ko:K00800	yep:YE105_C2586
ko:K00831	yep:YE105_C2587
ko:K01424	yep:YE105_C2589
ko:K09136	yep:YE105_C2590
ko:K00656	yep:YE105_C2592
ko:K04069	yep:YE105_C2593
ko:K08219	yep:YE105_C2594
ko:K01875	yep:YE105_C2595
ko:K07478	yep:YE105_C2596
ko:K03634	yep:YE105_C2597
ko:K03466	yep:YE105_C2598
ko:K00384	yep:YE105_C2600
ko:K00684	yep:YE105_C2603
ko:K02518	yep:YE105_C2604
ko:K03694	yep:YE105_C2605
ko:K06891	yep:YE105_C2606
ko:K03704	yep:YE105_C2607
ko:K05685	yep:YE105_C2608
ko:K13888	yep:YE105_C2609
ko:K09824	yep:YE105_C2610
ko:K11933	yep:YE105_C2614
ko:K00156	yep:YE105_C2615
ko:K01620	yep:YE105_C2617
ko:K10000	yep:YE105_C2621
ko:K09997	yep:YE105_C2622
ko:K09999	yep:YE105_C2623
ko:K09998	yep:YE105_C2624
ko:K09996	yep:YE105_C2626
ko:K03212	yep:YE105_C2627
ko:K11074	yep:YE105_C2629
ko:K11075	yep:YE105_C2630
ko:K11076	yep:YE105_C2631
ko:K01812	yep:YE105_C3408
ko:K08191	yep:YE105_C3409
ko:K07393	yep:YE105_C3420
ko:K06911	yep:YE105_C3422
ko:K13979	yep:YE105_C3423
ko:K07347	yep:YE105_C3427
ko:K07345	yep:YE105_C3429
ko:K07056	yep:YE105_C3432
ko:K07121	yep:YE105_C3433
ko:K07460	yep:YE105_C3434
ko:K12961	yep:YE105_C3435
ko:K03814	yep:YE105_C3437
ko:K07648	yep:YE105_C3439
ko:K07139	yep:YE105_C3440
ko:K00265	yep:YE105_C3441
ko:K00266	yep:YE105_C3442
ko:K03600	yep:YE105_C3445
ko:K03599	yep:YE105_C3446
ko:K02996	yep:YE105_C3448
ko:K02871	yep:YE105_C3449
ko:K06916	yep:YE105_C3450
ko:K09908	yep:YE105_C3451
ko:K04772	yep:YE105_C3452
ko:K04691	yep:YE105_C3453
ko:K00790	yep:YE105_C3454
ko:K07122	yep:YE105_C3456
ko:K07323	yep:YE105_C3457
ko:K02067	yep:YE105_C3458
ko:K02066	yep:YE105_C3459
ko:K02065	yep:YE105_C3460
ko:K07301	yep:YE105_C3461
ko:K06041	yep:YE105_C3462
ko:K01407	yep:YE105_C0946
ko:K03582	yep:YE105_C0947
ko:K03581	yep:YE105_C0948
ko:K14682	yep:YE105_C0949
ko:K01448	yep:YE105_C0950
ko:K08304	yep:YE105_C0951
ko:K02426	yep:YE105_C0953
ko:K01766	yep:YE105_C0954
ko:K06968	yep:YE105_C0958
ko:K01146	yep:YE105_C0959
ko:K06966	yep:YE105_C0960
ko:K06879	yep:YE105_C0961
ko:K06175	yep:YE105_C0964
ko:K00674	yep:YE105_C0967
ko:K00990	yep:YE105_C0968
ko:K01265	yep:YE105_C0969
ko:K02967	yep:YE105_C0970
ko:K02357	yep:YE105_C0971
ko:K09903	yep:YE105_C0972
ko:K02838	yep:YE105_C0973
ko:K00099	yep:YE105_C0974
ko:K00806	yep:YE105_C0975
ko:K00981	yep:YE105_C0976
ko:K11749	yep:YE105_C0977
ko:K07277	yep:YE105_C0978
ko:K06142	yep:YE105_C0979
ko:K02536	yep:YE105_C0980
ko:K02372	yep:YE105_C0981
ko:K00677	yep:YE105_C0982
ko:K00748	yep:YE105_C0983
ko:K03470	yep:YE105_C0984
ko:K02337	yep:YE105_C0985
ko:K01962	yep:YE105_C0986
ko:K04075	yep:YE105_C0989
ko:K15034	yep:YE105_C0994
ko:K06079	yep:YE105_C0995
ko:K01881	yep:YE105_C0996
ko:K07473	yep:YE105_C1787
ko:K06903	yep:YE105_C1793
ko:K09803	yep:YE105_C1795
ko:K06942	yep:YE105_C1821
ko:K01056	yep:YE105_C1823
ko:K00948	yep:YE105_C1825
ko:K00919	yep:YE105_C1826
ko:K02494	yep:YE105_C1827
ko:K02492	yep:YE105_C1828
ko:K02835	yep:YE105_C1829
ko:K02493	yep:YE105_C1830
ko:K01627	yep:YE105_C1833
ko:K03321	yep:YE105_C1834
ko:K12972	yep:YE105_C1837
ko:K11073	yep:YE105_C2632
ko:K03674	yep:YE105_C2635
ko:K07085	yep:YE105_C2636
ko:K01619	yep:YE105_C2639
ko:K11534	yep:YE105_C2640
ko:K03837	yep:YE105_C2641
ko:K01752	yep:YE105_C2642
ko:K07258	yep:YE105_C2643
ko:K01697	yep:YE105_C2644
ko:K02072	yep:YE105_C2646
ko:K02073	yep:YE105_C2648
ko:K02013	yep:YE105_C2653
ko:K02015	yep:YE105_C2654
ko:K11733	yep:YE105_C2655
ko:K01151	yep:YE105_C2660
ko:K07347	yep:YE105_C2661
ko:K02769	yep:YE105_C2666
ko:K02770	yep:YE105_C2666
ko:K00882	yep:YE105_C2667
ko:K02768	yep:YE105_C2668
ko:K11183	yep:YE105_C2668
ko:K03532	yep:YE105_C2670
ko:K07812	yep:YE105_C2671
ko:K06940	yep:YE105_C2672
ko:K03835	yep:YE105_C2673
ko:K02356	yep:YE105_C2674
ko:K01686	yep:YE105_C2675
ko:K00040	yep:YE105_C2677
ko:K13637	yep:YE105_C2678
ko:K13694	yep:YE105_C2682
ko:K13893	yep:YE105_C2684
ko:K03270	yep:YE105_C3463
ko:K11719	yep:YE105_C3464
ko:K09774	yep:YE105_C3465
ko:K06861	yep:YE105_C3466
ko:K03092	yep:YE105_C3467
ko:K05808	yep:YE105_C3468
ko:K02806	yep:YE105_C3469
ko:K01929	yep:YE105_C0786
ko:K01000	yep:YE105_C0787
ko:K01925	yep:YE105_C0788
ko:K03588	yep:YE105_C0789
ko:K02563	yep:YE105_C0790
ko:K01924	yep:YE105_C0791
ko:K01921	yep:YE105_C0792
ko:K03589	yep:YE105_C0793
ko:K03590	yep:YE105_C0794
ko:K03531	yep:YE105_C0795
ko:K02535	yep:YE105_C0796
ko:K13301	yep:YE105_C0798
ko:K03070	yep:YE105_C0799
ko:K09862	yep:YE105_C0801
ko:K00859	yep:YE105_C0803
ko:K00364	yep:YE105_C0804
ko:K02505	yep:YE105_C0805
ko:K02504	yep:YE105_C0806
ko:K02682	yep:YE105_C0807
ko:K00767	yep:YE105_C0808
ko:K03806	yep:YE105_C0809
ko:K03807	yep:YE105_C0810
ko:K00163	yep:YE105_C0813
ko:K00627	yep:YE105_C0814
ko:K00382	yep:YE105_C0815
ko:K01682	yep:YE105_C0819
ko:K09910	yep:YE105_C0820
ko:K01611	yep:YE105_C0824
ko:K00797	yep:YE105_C0825
ko:K14588	yep:YE105_C0827
ko:K00760	yep:YE105_C0828
ko:K01673	yep:YE105_C0829
ko:K01579	yep:YE105_C0833
ko:K01918	yep:YE105_C0834
ko:K00606	yep:YE105_C0835
ko:K00950	yep:YE105_C0836
ko:K01894	yep:YE105_C0838
ko:K06204	yep:YE105_C0839
ko:K01643	yep:YE105_C1631
ko:K05964	yep:YE105_C1632
ko:K05966	yep:YE105_C1633
ko:K09477	yep:YE105_C1634
ko:K12979	yep:YE105_C1640
ko:K09912	yep:YE105_C1643
ko:K06177	yep:YE105_C1644
ko:K02016	yep:YE105_C1645
ko:K07345	yep:YE105_C1650
ko:K07679	yep:YE105_C1651
ko:K07688	yep:YE105_C1652
ko:K09933	yep:YE105_C1653
ko:K01093	yep:YE105_C1662
ko:K03704	yep:YE105_C1670
ko:K05876	yep:YE105_C1672
ko:K07507	yep:YE105_C1673
ko:K01531	yep:YE105_C1674
ko:K07119	yep:YE105_C1675
ko:K14064	yep:YE105_C1676
ko:K02403	yep:YE105_C1677
ko:K02402	yep:YE105_C1678
ko:K02556	yep:YE105_C1679
ko:K03424	yep:YE105_C2477
ko:K02341	yep:YE105_C2478
ko:K00943	yep:YE105_C2479
ko:K07082	yep:YE105_C2480
ko:K02619	yep:YE105_C2481
ko:K09458	yep:YE105_C2482
ko:K02078	yep:YE105_C2483
ko:K00059	yep:YE105_C2484
ko:K00645	yep:YE105_C2485
ko:K00648	yep:YE105_C2486
ko:K03621	yep:YE105_C2487
ko:K02911	yep:YE105_C2488
ko:K07040	yep:YE105_C2489
ko:K06179	yep:YE105_C2491
ko:K08300	yep:YE105_C2492
ko:K01465	yep:YE105_C2494
ko:K12149	yep:YE105_C2495
ko:K12148	yep:YE105_C2496
ko:K02846	yep:YE105_C2497
ko:K11744	yep:YE105_C2499
ko:K07146	yep:YE105_C2500
ko:K08357	yep:YE105_C2502
ko:K08358	yep:YE105_C2504
ko:K13040	yep:YE105_C2505
ko:K02517	yep:YE105_C2507
ko:K03305	yep:YE105_C2511
ko:K03669	yep:YE105_C2515
ko:K03670	yep:YE105_C2516
ko:K11941	yep:YE105_C2517
ko:K11105	yep:YE105_C2519
ko:K04018	yep:YE105_C2522
ko:K02200	yep:YE105_C2523
ko:K02199	yep:YE105_C2524
ko:K02400	yep:YE105_C3302
ko:K06206	yep:YE105_C0840
ko:K01975	yep:YE105_C0841
ko:K03579	yep:YE105_C0842
ko:K09857	yep:YE105_C2552
ko:K06192	yep:YE105_C2553
ko:K03808	yep:YE105_C2554
ko:K12297	yep:YE105_C2556
ko:K07140	yep:YE105_C2557
ko:K01256	yep:YE105_C2560
ko:K00763	yep:YE105_C2561
ko:K01893	yep:YE105_C2562
ko:K03632	yep:YE105_C2569
ko:K03804	yep:YE105_C2570
ko:K03633	yep:YE105_C2571
ko:K06219	yep:YE105_C2572
ko:K00979	yep:YE105_C2575
ko:K09791	yep:YE105_C2576
ko:K03704	yep:YE105_C2577
ko:K03704	yep:YE105_C2578
ko:K00912	yep:YE105_C2580
ko:K03923	yep:YE105_C3355
ko:K02622	yep:YE105_C3358
ko:K07000	yep:YE105_C3359
ko:K03651	yep:YE105_C3360
ko:K09920	yep:YE105_C3361
ko:K01515	yep:YE105_C3362
ko:K02858	yep:YE105_C3367
ko:K09806	yep:YE105_C3368
ko:K03272	yep:YE105_C3370
ko:K00982	yep:YE105_C3371
ko:K07184	yep:YE105_C3373
ko:K06153	yep:YE105_C3375
ko:K01633	yep:YE105_C3376
ko:K08591	yep:YE105_C3377
ko:K01409	yep:YE105_C3378
ko:K02970	yep:YE105_C3379
ko:K02316	yep:YE105_C3380
ko:K03086	yep:YE105_C3381
ko:K01207	yep:YE105_C3385
ko:K07106	yep:YE105_C3387
ko:K11191	yep:YE105_C3388
ko:K11192	yep:YE105_C3388
ko:K01425	yep:YE105_C3389
ko:K01580	yep:YE105_C3391
ko:K00219	yep:YE105_C3395
ko:K07043	yep:YE105_C3401
ko:K07862	yep:YE105_C3404
ko:K01685	yep:YE105_C3406
ko:K00041	yep:YE105_C3407
ko:K13655	yep:YE105_C0895
ko:K07733	yep:YE105_C0897
ko:K01187	yep:YE105_C0902
ko:K08191	yep:YE105_C0903
ko:K05516	yep:YE105_C0905
ko:K01673	yep:YE105_C0909
ko:K02452	yep:YE105_C0911
ko:K02453	yep:YE105_C0912
ko:K02454	yep:YE105_C0913
ko:K02455	yep:YE105_C0914
ko:K02456	yep:YE105_C0915
ko:K02458	yep:YE105_C0916
ko:K02459	yep:YE105_C0917
ko:K02460	yep:YE105_C0918
ko:K02461	yep:YE105_C0919
ko:K07396	yep:YE105_C0925
ko:K01586	yep:YE105_C0930
ko:K02529	yep:YE105_C0931
ko:K05939	yep:YE105_C0933
ko:K08227	yep:YE105_C0934
ko:K03573	yep:YE105_C0937
ko:K08311	yep:YE105_C0938
ko:K08484	yep:YE105_C0939
ko:K13292	yep:YE105_C0940
ko:K00560	yep:YE105_C0941
ko:K02679	yep:YE105_C0942
ko:K02680	yep:YE105_C0943
ko:K02681	yep:YE105_C0945
ko:K02406	yep:YE105_C1734
ko:K02405	yep:YE105_C1736
ko:K02425	yep:YE105_C1737
ko:K05396	yep:YE105_C1738
ko:K02424	yep:YE105_C1739
ko:K10009	yep:YE105_C1740
ko:K10010	yep:YE105_C1741
ko:K13821	yep:YE105_C1744
ko:K11928	yep:YE105_C1745
ko:K07243	yep:YE105_C1748
ko:K03734	yep:YE105_C1048
ko:K05952	yep:YE105_C1049
ko:K01921	yep:YE105_C1052
ko:K02346	yep:YE105_C1056
ko:K00769	yep:YE105_C1059
ko:K11750	yep:YE105_C1060
ko:K11926	yep:YE105_C1061
ko:K00931	yep:YE105_C1062
ko:K00147	yep:YE105_C1063
ko:K03482	yep:YE105_C1064
ko:K02749	yep:YE105_C1066
ko:K02750	yep:YE105_C1066
ko:K01232	yep:YE105_C1067
ko:K13688	yep:YE105_C1069
ko:K02016	yep:YE105_C1076
ko:K02014	yep:YE105_C1077
ko:K00891	yep:YE105_C1078
ko:K09913	yep:YE105_C1080
ko:K03554	yep:YE105_C1081
ko:K00847	yep:YE105_C1082
ko:K03546	yep:YE105_C1083
ko:K03547	yep:YE105_C1084
ko:K07657	yep:YE105_C1085
ko:K07636	yep:YE105_C1086
ko:K02040	yep:YE105_C1087
ko:K03311	yep:YE105_C1088
ko:K01187	yep:YE105_C1090
ko:K00681	yep:YE105_C1092
ko:K03386	yep:YE105_C1093
ko:K08682	yep:YE105_C1094
ko:K07568	yep:YE105_C1095
ko:K00773	yep:YE105_C1097
ko:K03210	yep:YE105_C1098
ko:K03072	yep:YE105_C1099
ko:K03074	yep:YE105_C1100
ko:K07136	yep:YE105_C1889
ko:K01876	yep:YE105_C1892
ko:K08310	yep:YE105_C1893
ko:K01159	yep:YE105_C1895
ko:K03550	yep:YE105_C1896
ko:K03551	yep:YE105_C1897
ko:K03305	yep:YE105_C1898
ko:K09816	yep:YE105_C1899
ko:K09817	yep:YE105_C1900
ko:K09815	yep:YE105_C1901
ko:K02560	yep:YE105_C1903
ko:K00873	yep:YE105_C1906
ko:K00036	yep:YE105_C1908
ko:K01625	yep:YE105_C1909
ko:K11743	yep:YE105_C1910
ko:K11742	yep:YE105_C1911
ko:K07285	yep:YE105_C1915
ko:K03684	yep:YE105_C1917
ko:K03608	yep:YE105_C1918
ko:K03609	yep:YE105_C1919
ko:K03610	yep:YE105_C1920
ko:K09902	yep:YE105_C1922
ko:K08305	yep:YE105_C1923
ko:K09160	yep:YE105_C1925
ko:K03781	yep:YE105_C2736
ko:K01911	yep:YE105_C2737
ko:K02549	yep:YE105_C2738
ko:K01661	yep:YE105_C2739
ko:K08680	yep:YE105_C2740
ko:K02551	yep:YE105_C2741
ko:K02552	yep:YE105_C2742
ko:K05594	yep:YE105_C2744
ko:K01690	yep:YE105_C2745
ko:K00050	yep:YE105_C2748
ko:K00046	yep:YE105_C2749
ko:K00851	yep:YE105_C2750
ko:K00343	yep:YE105_C2755
ko:K00342	yep:YE105_C2756
ko:K00341	yep:YE105_C2757
ko:K00340	yep:YE105_C2758
ko:K00339	yep:YE105_C2759
ko:K00338	yep:YE105_C2760
ko:K00337	yep:YE105_C2761
ko:K00336	yep:YE105_C2762
ko:K00335	yep:YE105_C2763
ko:K00334	yep:YE105_C2764
ko:K13378	yep:YE105_C2765
ko:K00331	yep:YE105_C2766
ko:K00330	yep:YE105_C2767
ko:K14260	yep:YE105_C2769
ko:K08722	yep:YE105_C2770
ko:K09161	yep:YE105_C2773
ko:K09899	yep:YE105_C2774
ko:K00925	yep:YE105_C2775
ko:K13788	yep:YE105_C2776
ko:K02821	yep:YE105_C2778
ko:K03406	yep:YE105_C3304
ko:K02016	yep:YE105_C3307
ko:K02015	yep:YE105_C3308
ko:K02015	yep:YE105_C3309
ko:K02013	yep:YE105_C3310
ko:K02003	yep:YE105_C3315
ko:K02004	yep:YE105_C3318
ko:K03919	yep:YE105_C3329
ko:K02278	yep:YE105_C3332
ko:K02279	yep:YE105_C3333
ko:K02280	yep:YE105_C3334
ko:K02283	yep:YE105_C3336
ko:K12510	yep:YE105_C3338
ko:K12511	yep:YE105_C3339
ko:K12512	yep:YE105_C3340
ko:K12513	yep:YE105_C3341
ko:K12514	yep:YE105_C3342
ko:K12515	yep:YE105_C3343
ko:K03559	yep:YE105_C3344
ko:K03561	yep:YE105_C3345
ko:K01760	yep:YE105_C3346
ko:K08325	yep:YE105_C3349
ko:K00655	yep:YE105_C3353
ko:K02621	yep:YE105_C3354
ko:K05365	yep:YE105_C0843
ko:K02013	yep:YE105_C0844
ko:K02016	yep:YE105_C0845
ko:K02015	yep:YE105_C0846
ko:K02575	yep:YE105_C0848
ko:K01845	yep:YE105_C0849
ko:K03281	yep:YE105_C0850
ko:K01243	yep:YE105_C0854
ko:K01129	yep:YE105_C0855
ko:K03215	yep:YE105_C0858
ko:K00951	yep:YE105_C0859
ko:K01937	yep:YE105_C0861
ko:K01689	yep:YE105_C0862
ko:K01934	yep:YE105_C0863
ko:K09888	yep:YE105_C0864
ko:K09895	yep:YE105_C0865
ko:K01262	yep:YE105_C0866
ko:K03185	yep:YE105_C0867
ko:K00605	yep:YE105_C0869
ko:K02437	yep:YE105_C0870
ko:K00281	yep:YE105_C0871
ko:K07023	yep:YE105_C0874
ko:K11068	yep:YE105_C0875
ko:K06980	yep:YE105_C0877
ko:K09159	yep:YE105_C0878
ko:K07663	yep:YE105_C0880
ko:K07641	yep:YE105_C0881
ko:K06143	yep:YE105_C0882
ko:K03840	yep:YE105_C0883
ko:K04763	yep:YE105_C0884
ko:K13009	yep:YE105_C0733
ko:K03555	yep:YE105_C0734
ko:K03087	yep:YE105_C0735
ko:K06194	yep:YE105_C0736
ko:K00573	yep:YE105_C0737
ko:K03787	yep:YE105_C0738
ko:K06176	yep:YE105_C0739
ko:K01770	yep:YE105_C0740
ko:K00991	yep:YE105_C0741
ko:K05589	yep:YE105_C0742
ko:K00860	yep:YE105_C0744
ko:K00957	yep:YE105_C0746
ko:K02302	yep:YE105_C0747
ko:K09612	yep:YE105_C0748
ko:K00390	yep:YE105_C0751
ko:K00381	yep:YE105_C0752
ko:K00380	yep:YE105_C0753
ko:K01737	yep:YE105_C0754
ko:K10026	yep:YE105_C0757
ko:K04565	yep:YE105_C0758
ko:K00058	yep:YE105_C0763
ko:K01807	yep:YE105_C0764
ko:K05596	yep:YE105_C0765
ko:K09807	yep:YE105_C0766
ko:K06895	yep:YE105_C0767
ko:K03835	yep:YE105_C0769
ko:K01667	yep:YE105_C0770
ko:K01704	yep:YE105_C0771
ko:K01703	yep:YE105_C0772
ko:K00052	yep:YE105_C0773
ko:K01649	yep:YE105_C0774
ko:K05798	yep:YE105_C0775
ko:K01652	yep:YE105_C0777
ko:K01653	yep:YE105_C0778
ko:K03435	yep:YE105_C0779
ko:K03925	yep:YE105_C0781
ko:K03438	yep:YE105_C0782
ko:K03586	yep:YE105_C0783
ko:K03587	yep:YE105_C0784
ko:K01928	yep:YE105_C0785
ko:K02232	yep:YE105_C1576
ko:K02231	yep:YE105_C1577
ko:K02233	yep:YE105_C1578
ko:K00768	yep:YE105_C1580
ko:K11537	yep:YE105_C1581
ko:K11902	yep:YE105_C1588
ko:K11895	yep:YE105_C1589
ko:K11896	yep:YE105_C1590
ko:K11907	yep:YE105_C1591
ko:K07345	yep:YE105_C1592
ko:K07347	yep:YE105_C1594
ko:K11901	yep:YE105_C1596
ko:K11900	yep:YE105_C1597
ko:K11903	yep:YE105_C1598
ko:K11893	yep:YE105_C1600
ko:K11892	yep:YE105_C1601
ko:K11891	yep:YE105_C1602
ko:K11898	yep:YE105_C1606
ko:K11897	yep:YE105_C1607
ko:K01940	yep:YE105_C1608
ko:K03415	yep:YE105_C1615
ko:K00077	yep:YE105_C1619
ko:K02011	yep:YE105_C1621
ko:K02012	yep:YE105_C1622
ko:K07783	yep:YE105_C1623
ko:K07702	yep:YE105_C1626
ko:K07700	yep:YE105_C1627
ko:K01910	yep:YE105_C1628
ko:K01646	yep:YE105_C1629
ko:K01644	yep:YE105_C1630
ko:K01740	yep:YE105_C2432
ko:K03503	yep:YE105_C2433
ko:K03502	yep:YE105_C2434
ko:K03776	yep:YE105_C2435
ko:K01193	yep:YE105_C2438
ko:K02532	yep:YE105_C2439
ko:K00031	yep:YE105_C2445
ko:K06181	yep:YE105_C2446
ko:K12152	yep:YE105_C2447
ko:K00566	yep:YE105_C2448
ko:K07153	yep:YE105_C2449
ko:K01756	yep:YE105_C2450
ko:K07660	yep:YE105_C2452
ko:K07637	yep:YE105_C2453
ko:K01258	yep:YE105_C2455
ko:K12410	yep:YE105_C2456
ko:K09808	yep:YE105_C2458
ko:K09808	yep:YE105_C2460
ko:K03723	yep:YE105_C2461
ko:K03885	yep:YE105_C2463
ko:K07000	yep:YE105_C2464
ko:K01207	yep:YE105_C2465
ko:K07251	yep:YE105_C2466
ko:K07337	yep:YE105_C2467
ko:K00014	yep:YE105_C2470
ko:K06871	yep:YE105_C2472
ko:K04653	yep:YE105_C3250
ko:K04652	yep:YE105_C3251
ko:K04651	yep:YE105_C3252
ko:K06281	yep:YE105_C3255
ko:K06282	yep:YE105_C3258
ko:K06077	yep:YE105_C3259
ko:K02557	yep:YE105_C3260
ko:K02556	yep:YE105_C3261
ko:K02405	yep:YE105_C3262
ko:K02415	yep:YE105_C3263
ko:K02414	yep:YE105_C3264
ko:K02422	yep:YE105_C3266
ko:K02407	yep:YE105_C3267
ko:K02406	yep:YE105_C3269
ko:K02397	yep:YE105_C3274
ko:K02396	yep:YE105_C3275
ko:K02395	yep:YE105_C3276
ko:K02394	yep:YE105_C3277
ko:K02393	yep:YE105_C3278
ko:K02392	yep:YE105_C3279
ko:K02391	yep:YE105_C3280
ko:K02390	yep:YE105_C3281
ko:K02389	yep:YE105_C3282
ko:K02388	yep:YE105_C3283
ko:K02387	yep:YE105_C3284
ko:K02386	yep:YE105_C3285
ko:K02398	yep:YE105_C3286
ko:K02399	yep:YE105_C3287
ko:K02412	yep:YE105_C3290
ko:K02411	yep:YE105_C3291
ko:K02410	yep:YE105_C3292
ko:K02409	yep:YE105_C3293
ko:K02408	yep:YE105_C3294
ko:K02416	yep:YE105_C3296
ko:K02417	yep:YE105_C3297
ko:K02419	yep:YE105_C3298
ko:K02420	yep:YE105_C3299
ko:K02421	yep:YE105_C3300
ko:K02401	yep:YE105_C3301
ko:K09020	yep:YE105_C1758
ko:K07790	yep:YE105_P0065
ko:K09810	yep:YE105_C2459
ko:K07678	yep:YE105_C0857
ko:K01739	yep:YE105_C0113
ko:K14221	yep:YE105_Ct0004
ko:K14221	yep:YE105_Ct0064
ko:K14234	yep:YE105_Ct0011
ko:K14234	yep:YE105_Ct0056
ko:K14234	yep:YE105_Ct0017
ko:K14230	yep:YE105_Ct0021
ko:K14230	yep:YE105_Ct0029
ko:K14230	yep:YE105_Ct0030
ko:K14230	yep:YE105_Ct0031
ko:K14228	yep:YE105_Ct0022
ko:K14229	yep:YE105_Ct0040
ko:K14220	yep:YE105_Ct0042
ko:K14220	yep:YE105_Ct0043
ko:K14220	yep:YE105_Ct0044
ko:K14222	yep:YE105_Ct0047
ko:K14233	yep:YE105_Ct0054
ko:K14233	yep:YE105_Ct0057
ko:K14218	yep:YE105_Ct0061
ko:K14218	yep:YE105_Ct0062
ko:K11939	yep:YE105_C1443
ko:K03604	yep:YE105_C2034
ko:K14227	yep:YE105_Ct0002
ko:K14227	yep:YE105_Ct0066
ko:K14227	yep:YE105_Ct0070
ko:K14227	yep:YE105_Ct0015
ko:K14235	yep:YE105_Ct0005
ko:K14225	yep:YE105_Ct0013
ko:K14219	yep:YE105_Ct0025
ko:K14219	yep:YE105_Ct0026
ko:K14230	yep:YE105_Ct0035
ko:K14230	yep:YE105_Ct0039
ko:K14223	yep:YE105_Ct0036
ko:K14223	yep:YE105_Ct0037
ko:K14228	yep:YE105_Ct0048
ko:K14237	yep:YE105_Ct0051
ko:K14237	yep:YE105_Ct0060
ko:K02464	yep:YE105_C0921
ko:K02465	yep:YE105_C0922
ko:K04771	yep:YE105_C0856
ko:K03719	yep:YE105_C2599
ko:K03892	yep:YE105_P0071
ko:K10823	yep:YE105_C2274
ko:K05540	yep:YE105_C3538
ko:K14761	yep:YE105_C1204
ko:K03767	yep:YE105_C3675
ko:K08316	yep:YE105_C0222
ko:K06162	yep:YE105_C0487
ko:K05780	yep:YE105_C0488
ko:K05781	yep:YE105_C0489
ko:K06163	yep:YE105_C0490
ko:K06164	yep:YE105_C0491
ko:K06165	yep:YE105_C0492
ko:K06166	yep:YE105_C0493
ko:K02043	yep:YE105_C0494
ko:K04068	yep:YE105_C0497
ko:K02032	yep:YE105_C0501
ko:K02034	yep:YE105_C0503
ko:K02033	yep:YE105_C0504
ko:K00611	yep:YE105_C0507
ko:K09893	yep:YE105_C0508
ko:K03828	yep:YE105_C0509
ko:K01873	yep:YE105_C0510
ko:K02339	yep:YE105_C0511
ko:K01255	yep:YE105_C0512
ko:K07091	yep:YE105_C0513
ko:K11720	yep:YE105_C0514
ko:K03640	yep:YE105_C1308
ko:K03517	yep:YE105_C1310
ko:K03811	yep:YE105_C1311
ko:K01626	yep:YE105_C1313
ko:K01785	yep:YE105_C1320
ko:K00849	yep:YE105_C1321
ko:K00965	yep:YE105_C1322
ko:K01784	yep:YE105_C1323
ko:K07052	yep:YE105_C1324
ko:K05776	yep:YE105_C1325
ko:K02019	yep:YE105_C1326
ko:K02020	yep:YE105_C1328
ko:K09771	yep:YE105_C2179
ko:K03281	yep:YE105_C2184
ko:K01935	yep:YE105_C2185
ko:K08224	yep:YE105_C2188
ko:K10748	yep:YE105_C2190
ko:K01679	yep:YE105_C2192
ko:K01809	yep:YE105_C2193
ko:K02790	yep:YE105_C2197
ko:K02791	yep:YE105_C2197
ko:K14155	yep:YE105_C2198
ko:K01488	yep:YE105_C2199
ko:K14347	yep:YE105_C2200
ko:K10538	yep:YE105_C2203
ko:K10539	yep:YE105_C2204
ko:K10537	yep:YE105_C2205
ko:K00853	yep:YE105_C2206
ko:K01804	yep:YE105_C2207
ko:K02782	yep:YE105_C2990
ko:K02783	yep:YE105_C2990
ko:K02781	yep:YE105_C2991
ko:K00068	yep:YE105_C2992
ko:K02466	yep:YE105_C2993
ko:K02468	yep:YE105_C2994
ko:K02467	yep:YE105_C2995
ko:K00941	yep:YE105_C2998
ko:K01951	yep:YE105_C3007
ko:K00088	yep:YE105_C3008
ko:K03601	yep:YE105_C3009
ko:K07088	yep:YE105_C3011
ko:K03977	yep:YE105_C3012
ko:K01892	yep:YE105_C3015
ko:K02656	yep:YE105_C3018
ko:K06941	yep:YE105_C3019
ko:K00940	yep:YE105_C3020
ko:K05367	yep:YE105_C3022
ko:K06894	yep:YE105_C3023
ko:K07751	yep:YE105_C3028
ko:K04755	yep:YE105_C3030
ko:K04044	yep:YE105_C3031
ko:K04082	yep:YE105_C3032
ko:K13628	yep:YE105_C3033
ko:K04488	yep:YE105_C3034
ko:K04487	yep:YE105_C3035
ko:K13643	yep:YE105_C3036
ko:K01092	yep:YE105_C3038
ko:K05820	yep:YE105_C3042
ko:K00600	yep:YE105_C3043
ko:K02529	yep:YE105_C3846
ko:K10544	yep:YE105_C3847
ko:K10545	yep:YE105_C3848
ko:K10543	yep:YE105_C3849
ko:K01805	yep:YE105_C3850
ko:K00854	yep:YE105_C3851
ko:K08160	yep:YE105_C3856
ko:K03833	yep:YE105_C3857
ko:K01042	yep:YE105_C3858
ko:K02380	yep:YE105_C3859
ko:K00127	yep:YE105_C3860
ko:K00124	yep:YE105_C3861
