ko:K04044	ypy:YPK_1280
ko:K02876	ypy:YPK_0302
ko:K02919	ypy:YPK_0304
ko:K02952	ypy:YPK_0305
ko:K02948	ypy:YPK_0306
ko:K09890	ypy:YPK_0311
ko:K03282	ypy:YPK_0312
ko:K01462	ypy:YPK_0316
ko:K04096	ypy:YPK_0317
ko:K03747	ypy:YPK_0318
ko:K07479	ypy:YPK_0319
ko:K07566	ypy:YPK_0320
ko:K00014	ypy:YPK_0321
ko:K00075	ypy:YPK_0326
ko:K01304	ypy:YPK_1172
ko:K05590	ypy:YPK_1179
ko:K00278	ypy:YPK_1181
ko:K03088	ypy:YPK_1182
ko:K02849	ypy:YPK_3647
ko:K08321	ypy:YPK_3654
ko:K09958	ypy:YPK_2837
ko:K09475	ypy:YPK_2839
ko:K03530	ypy:YPK_3231
ko:K01921	ypy:YPK_3516
ko:K01924	ypy:YPK_3517
ko:K03221	ypy:YPK_3913
ko:K06182	ypy:YPK_3069
ko:K00981	ypy:YPK_3083
ko:K07306	ypy:YPK_3394
ko:K07306	ypy:YPK_1456
ko:K03100	ypy:YPK_1188
ko:K03474	ypy:YPK_1192
ko:K00239	ypy:YPK_2970
ko:K06966	ypy:YPK_1056
ko:K00990	ypy:YPK_1064
ko:K01265	ypy:YPK_1065
ko:K02357	ypy:YPK_1067
ko:K02838	ypy:YPK_1069
ko:K00099	ypy:YPK_1070
ko:K00806	ypy:YPK_1071
ko:K00981	ypy:YPK_1072
ko:K07277	ypy:YPK_1074
ko:K06142	ypy:YPK_1075
ko:K00677	ypy:YPK_1078
ko:K01881	ypy:YPK_1091
ko:K06080	ypy:YPK_1093
ko:K02073	ypy:YPK_1094
ko:K01925	ypy:YPK_3520
ko:K02511	ypy:YPK_2454
ko:K06941	ypy:YPK_1290
ko:K01996	ypy:YPK_3970
ko:K02193	ypy:YPK_1496
ko:K03594	ypy:YPK_0281
ko:K00558	ypy:YPK_2321
ko:K03667	ypy:YPK_4104
ko:K05365	ypy:YPK_3463
ko:K02742	ypy:YPK_0842
ko:K02858	ypy:YPK_0649
ko:K02871	ypy:YPK_0524
ko:K06287	ypy:YPK_0468
ko:K03571	ypy:YPK_0467
ko:K03179	ypy:YPK_3863
ko:K03615	ypy:YPK_2008
ko:K07034	ypy:YPK_3595
ko:K07771	ypy:YPK_3741
ko:K03564	ypy:YPK_1360
ko:K03225	ypy:YPK_3903
ko:K06178	ypy:YPK_2039
ko:K03226	ypy:YPK_3902
ko:K03592	ypy:YPK_0490
ko:K00350	ypy:YPK_3301
ko:K02682	ypy:YPK_3498
ko:K03685	ypy:YPK_1189
ko:K06176	ypy:YPK_3429
ko:K01661	ypy:YPK_1591
ko:K02564	ypy:YPK_2997
ko:K00849	ypy:YPK_2945
ko:K03787	ypy:YPK_3428
ko:K06916	ypy:YPK_0523
ko:K00324	ypy:YPK_1941
ko:K08680	ypy:YPK_1590
ko:K01870	ypy:YPK_3588
ko:K11085	ypy:YPK_2665
ko:K02082	ypy:YPK_0993
ko:K02079	ypy:YPK_0988
ko:K01903	ypy:YPK_2966
ko:K00265	ypy:YPK_0530
ko:K02968	ypy:YPK_3590
ko:K01704	ypy:YPK_3538
ko:K00362	ypy:YPK_0235
ko:K00363	ypy:YPK_0234
ko:K00163	ypy:YPK_3491
ko:K00956	ypy:YPK_3435
ko:K02504	ypy:YPK_3499
ko:K02425	ypy:YPK_2378
ko:K07345	ypy:YPK_1786
ko:K00575	ypy:YPK_1756
ko:K07675	ypy:YPK_0082
ko:K07640	ypy:YPK_4133
ko:K10914	ypy:YPK_0248
ko:K07677	ypy:YPK_2844
ko:K07638	ypy:YPK_0173
ko:K02386	ypy:YPK_0718
ko:K01270	ypy:YPK_3295
ko:K01902	ypy:YPK_2965
ko:K10773	ypy:YPK_2013
ko:K02170	ypy:YPK_0165
ko:K01624	ypy:YPK_0129
ko:K03655	ypy:YPK_4180
ko:K00631	ypy:YPK_3862
ko:K03786	ypy:YPK_0460
ko:K04564	ypy:YPK_0035
ko:K02391	ypy:YPK_2421
ko:K02396	ypy:YPK_2416
ko:K02407	ypy:YPK_2382
ko:K03721	ypy:YPK_1902
ko:K03970	ypy:YPK_1895
ko:K06200	ypy:YPK_2017
ko:K07275	ypy:YPK_2049
ko:K06190	ypy:YPK_2053
ko:K03746	ypy:YPK_2074
ko:K03169	ypy:YPK_2088
ko:K04773	ypy:YPK_2091
ko:K07180	ypy:YPK_2100
ko:K03603	ypy:YPK_2109
ko:K03314	ypy:YPK_2110
ko:K03611	ypy:YPK_2111
ko:K03610	ypy:YPK_2121
ko:K03609	ypy:YPK_2122
ko:K03608	ypy:YPK_2123
ko:K03551	ypy:YPK_2143
ko:K03550	ypy:YPK_2144
ko:K01159	ypy:YPK_2145
ko:K06201	ypy:YPK_2153
ko:K02795	ypy:YPK_2465
ko:K02793	ypy:YPK_2464
ko:K02794	ypy:YPK_2464
ko:K02796	ypy:YPK_2466
ko:K02420	ypy:YPK_0705
ko:K01961	ypy:YPK_0458
ko:K02411	ypy:YPK_0713
ko:K03582	ypy:YPK_1043
ko:K01589	ypy:YPK_3156
ko:K03092	ypy:YPK_0505
ko:K09823	ypy:YPK_3859
ko:K02686	ypy:YPK_3783
ko:K04067	ypy:YPK_3202
ko:K03583	ypy:YPK_1041
ko:K00609	ypy:YPK_0500
ko:K03806	ypy:YPK_3496
ko:K01447	ypy:YPK_1760
ko:K04565	ypy:YPK_3445
ko:K00281	ypy:YPK_0869
ko:K02422	ypy:YPK_2383
ko:K02341	ypy:YPK_1692
ko:K02344	ypy:YPK_3635
ko:K07274	ypy:YPK_2098
ko:K06141	ypy:YPK_0238
ko:K02014	ypy:YPK_0239
ko:K06915	ypy:YPK_0243
ko:K00855	ypy:YPK_0254
ko:K07019	ypy:YPK_0256
ko:K03704	ypy:YPK_1124
ko:K02035	ypy:YPK_1125
ko:K02033	ypy:YPK_1126
ko:K02034	ypy:YPK_1127
ko:K02031	ypy:YPK_1128
ko:K02032	ypy:YPK_1129
ko:K03190	ypy:YPK_1137
ko:K08717	ypy:YPK_1138
ko:K07241	ypy:YPK_1139
ko:K05803	ypy:YPK_3725
ko:K00962	ypy:YPK_3726
ko:K01626	ypy:YPK_2949
ko:K03517	ypy:YPK_2953
ko:K00997	ypy:YPK_1193
ko:K09960	ypy:YPK_1225
ko:K11107	ypy:YPK_2850
ko:K03834	ypy:YPK_2853
ko:K03722	ypy:YPK_2856
ko:K01584	ypy:YPK_2860
ko:K05846	ypy:YPK_2862
ko:K05846	ypy:YPK_2864
ko:K07091	ypy:YPK_3678
ko:K01255	ypy:YPK_3679
ko:K01873	ypy:YPK_3681
ko:K03828	ypy:YPK_3682
ko:K09893	ypy:YPK_3683
ko:K00611	ypy:YPK_3684
ko:K02035	ypy:YPK_3686
ko:K02033	ypy:YPK_3687
ko:K02034	ypy:YPK_3688
ko:K06177	ypy:YPK_3568
ko:K05801	ypy:YPK_3569
ko:K04744	ypy:YPK_3570
ko:K00097	ypy:YPK_3572
ko:K02528	ypy:YPK_3573
ko:K00287	ypy:YPK_3578
ko:K01955	ypy:YPK_3582
ko:K03527	ypy:YPK_3585
ko:K03774	ypy:YPK_3586
ko:K03101	ypy:YPK_3587
ko:K03717	ypy:YPK_3591
ko:K03831	ypy:YPK_3598
ko:K00616	ypy:YPK_3599
ko:K09861	ypy:YPK_3600
ko:K01733	ypy:YPK_3602
ko:K00872	ypy:YPK_3603
ko:K07773	ypy:YPK_3606
ko:K02109	ypy:YPK_4222
ko:K02112	ypy:YPK_4226
ko:K03284	ypy:YPK_4002
ko:K09921	ypy:YPK_4010
ko:K01778	ypy:YPK_4011
ko:K06202	ypy:YPK_4013
ko:K01749	ypy:YPK_4016
ko:K01719	ypy:YPK_4017
ko:K02853	ypy:YPK_4023
ko:K02472	ypy:YPK_4030
ko:K05790	ypy:YPK_4032
ko:K00795	ypy:YPK_3252
ko:K01662	ypy:YPK_3253
ko:K01095	ypy:YPK_3254
ko:K00946	ypy:YPK_3255
ko:K07738	ypy:YPK_3259
ko:K03072	ypy:YPK_3262
ko:K03210	ypy:YPK_3263
ko:K00773	ypy:YPK_3264
ko:K00681	ypy:YPK_3269
ko:K06199	ypy:YPK_1142
ko:K06199	ypy:YPK_1143
ko:K07667	ypy:YPK_1155
ko:K01669	ypy:YPK_1163
ko:K07160	ypy:YPK_1169
ko:K04062	ypy:YPK_2022
ko:K03113	ypy:YPK_2023
ko:K01591	ypy:YPK_2024
ko:K02039	ypy:YPK_4235
ko:K06901	ypy:YPK_4241
ko:K03217	ypy:YPK_4246
ko:K08998	ypy:YPK_4247
ko:K03536	ypy:YPK_4248
ko:K02914	ypy:YPK_4249
ko:K07262	ypy:YPK_2885
ko:K05541	ypy:YPK_2887
ko:K01993	ypy:YPK_2900
ko:K03815	ypy:YPK_2911
ko:K02040	ypy:YPK_3274
ko:K00847	ypy:YPK_3279
ko:K09913	ypy:YPK_3281
ko:K00891	ypy:YPK_3282
ko:K00147	ypy:YPK_3287
ko:K00931	ypy:YPK_3288
ko:K00769	ypy:YPK_3291
ko:K03933	ypy:YPK_3293
ko:K05952	ypy:YPK_3298
ko:K03271	ypy:YPK_3308
ko:K06445	ypy:YPK_3309
ko:K01872	ypy:YPK_3373
ko:K03743	ypy:YPK_3376
ko:K00864	ypy:YPK_3381
ko:K00615	ypy:YPK_3382
ko:K00615	ypy:YPK_3383
ko:K02430	ypy:YPK_3397
ko:K00880	ypy:YPK_3403
ko:K01265	ypy:YPK_3406
ko:K00428	ypy:YPK_3411
ko:K03893	ypy:YPK_3416
ko:K05879	ypy:YPK_3418
ko:K05878	ypy:YPK_3419
ko:K01808	ypy:YPK_3422
ko:K06194	ypy:YPK_3426
ko:K00573	ypy:YPK_3427
ko:K03646	ypy:YPK_2957
ko:K07107	ypy:YPK_2960
ko:K00426	ypy:YPK_2963
ko:K00164	ypy:YPK_2968
ko:K01647	ypy:YPK_2973
ko:K00858	ypy:YPK_2975
ko:K06186	ypy:YPK_2977
ko:K09801	ypy:YPK_2978
ko:K03664	ypy:YPK_2980
ko:K03839	ypy:YPK_2990
ko:K09748	ypy:YPK_3732
ko:K03431	ypy:YPK_3734
ko:K00796	ypy:YPK_3735
ko:K03798	ypy:YPK_3736
ko:K02427	ypy:YPK_3737
ko:K02280	ypy:YPK_0685
ko:K02279	ypy:YPK_0686
ko:K02278	ypy:YPK_0687
ko:K08308	ypy:YPK_1816
ko:K03628	ypy:YPK_4034
ko:K03671	ypy:YPK_4035
ko:K03732	ypy:YPK_4036
ko:K07345	ypy:YPK_4042
ko:K07347	ypy:YPK_4044
ko:K00053	ypy:YPK_4051
ko:K02521	ypy:YPK_4052
ko:K01754	ypy:YPK_4056
ko:K01687	ypy:YPK_4057
ko:K07391	ypy:YPK_4062
ko:K09897	ypy:YPK_4063
ko:K01776	ypy:YPK_4072
ko:K00322	ypy:YPK_4078
ko:K04761	ypy:YPK_4079
ko:K07574	ypy:YPK_3738
ko:K07259	ypy:YPK_3740
ko:K03979	ypy:YPK_3743
ko:K02523	ypy:YPK_3758
ko:K02558	ypy:YPK_3765
ko:K01507	ypy:YPK_3767
ko:K09800	ypy:YPK_3769
ko:K07109	ypy:YPK_3774
ko:K07322	ypy:YPK_3777
ko:K07269	ypy:YPK_3779
ko:K09456	ypy:YPK_3788
ko:K03218	ypy:YPK_3790
ko:K01443	ypy:YPK_2998
ko:K01953	ypy:YPK_3001
ko:K00857	ypy:YPK_2073
ko:K00012	ypy:YPK_2077
ko:K09858	ypy:YPK_2079
ko:K01433	ypy:YPK_2080
ko:K08320	ypy:YPK_2086
ko:K01008	ypy:YPK_2089
ko:K09916	ypy:YPK_2094
ko:K07305	ypy:YPK_2095
ko:K00134	ypy:YPK_2096
ko:K09786	ypy:YPK_2102
ko:K06911	ypy:YPK_2105
ko:K07552	ypy:YPK_2106
ko:K00285	ypy:YPK_2107
ko:K09160	ypy:YPK_2117
ko:K09902	ypy:YPK_2120
ko:K03684	ypy:YPK_2124
ko:K07285	ypy:YPK_2126
ko:K02031	ypy:YPK_3689
ko:K02032	ypy:YPK_3690
ko:K04068	ypy:YPK_3692
ko:K02043	ypy:YPK_3693
ko:K06164	ypy:YPK_3696
ko:K05781	ypy:YPK_3698
ko:K05780	ypy:YPK_3699
ko:K02026	ypy:YPK_3707
ko:K02025	ypy:YPK_3708
ko:K03824	ypy:YPK_3713
ko:K08303	ypy:YPK_3715
ko:K01673	ypy:YPK_1001
ko:K02452	ypy:YPK_1003
ko:K02454	ypy:YPK_1005
ko:K02456	ypy:YPK_1007
ko:K02457	ypy:YPK_1008
ko:K02460	ypy:YPK_1011
ko:K07396	ypy:YPK_1019
ko:K01586	ypy:YPK_1024
ko:K08227	ypy:YPK_1028
ko:K08311	ypy:YPK_1033
ko:K00560	ypy:YPK_1036
ko:K01407	ypy:YPK_1042
ko:K08304	ypy:YPK_1047
ko:K06938	ypy:YPK_1874
ko:K03676	ypy:YPK_4139
ko:K09798	ypy:YPK_4143
ko:K00639	ypy:YPK_4145
ko:K03274	ypy:YPK_4146
ko:K02527	ypy:YPK_4149
ko:K02913	ypy:YPK_4153
ko:K01770	ypy:YPK_3430
ko:K00991	ypy:YPK_3431
ko:K05589	ypy:YPK_3432
ko:K00860	ypy:YPK_3434
ko:K00957	ypy:YPK_3436
ko:K00390	ypy:YPK_3440
ko:K00381	ypy:YPK_3441
ko:K00380	ypy:YPK_3442
ko:K01737	ypy:YPK_3443
ko:K01689	ypy:YPK_3446
ko:K01937	ypy:YPK_3447
ko:K01129	ypy:YPK_3453
ko:K02015	ypy:YPK_3460
ko:K02016	ypy:YPK_3461
ko:K02013	ypy:YPK_3462
ko:K03579	ypy:YPK_3464
ko:K01975	ypy:YPK_3466
ko:K06204	ypy:YPK_3468
ko:K03534	ypy:YPK_3849
ko:K02003	ypy:YPK_3158
ko:K05838	ypy:YPK_3161
ko:K07340	ypy:YPK_3163
ko:K08223	ypy:YPK_3174
ko:K03455	ypy:YPK_3175
ko:K00892	ypy:YPK_3176
ko:K06077	ypy:YPK_1877
ko:K00275	ypy:YPK_1880
ko:K01866	ypy:YPK_1881
ko:K03305	ypy:YPK_1886
ko:K06918	ypy:YPK_1898
ko:K08990	ypy:YPK_1899
ko:K11065	ypy:YPK_1903
ko:K03737	ypy:YPK_1913
ko:K00658	ypy:YPK_2967
ko:K07783	ypy:YPK_0083
ko:K00874	ypy:YPK_0101
ko:K01821	ypy:YPK_0102
ko:K07290	ypy:YPK_0104
ko:K01521	ypy:YPK_0105
ko:K07058	ypy:YPK_0106
ko:K00865	ypy:YPK_0111
ko:K02647	ypy:YPK_0113
ko:K00383	ypy:YPK_0114
ko:K07115	ypy:YPK_0115
ko:K01414	ypy:YPK_0116
ko:K07007	ypy:YPK_0123
ko:K09988	ypy:YPK_0128
ko:K00554	ypy:YPK_3362
ko:K03106	ypy:YPK_3365
ko:K07173	ypy:YPK_3368
ko:K01919	ypy:YPK_3369
ko:K03764	ypy:YPK_4096
ko:K09892	ypy:YPK_4111
ko:K02440	ypy:YPK_4112
ko:K00528	ypy:YPK_4115
ko:K01803	ypy:YPK_4118
ko:K03319	ypy:YPK_4122
ko:K02020	ypy:YPK_4123
ko:K02048	ypy:YPK_4125
ko:K07662	ypy:YPK_4132
ko:K03216	ypy:YPK_4135
ko:K00640	ypy:YPK_4136
ko:K00057	ypy:YPK_4137
ko:K03071	ypy:YPK_4138
ko:K01939	ypy:YPK_3793
ko:K09937	ypy:YPK_3794
ko:K00791	ypy:YPK_3800
ko:K06925	ypy:YPK_3803
ko:K06949	ypy:YPK_3809
ko:K01613	ypy:YPK_3810
ko:K04078	ypy:YPK_3823
ko:K07113	ypy:YPK_3824
ko:K04084	ypy:YPK_3828
ko:K05796	ypy:YPK_3830
ko:K02856	ypy:YPK_3840
ko:K02854	ypy:YPK_3841
ko:K02855	ypy:YPK_3842
ko:K00848	ypy:YPK_3845
ko:K01629	ypy:YPK_3847
ko:K02509	ypy:YPK_2456
ko:K02529	ypy:YPK_0779
ko:K01439	ypy:YPK_1372
ko:K03768	ypy:YPK_3153
ko:K00090	ypy:YPK_0017
ko:K04774	ypy:YPK_2036
ko:K08992	ypy:YPK_2027
ko:K01515	ypy:YPK_0655
ko:K07688	ypy:YPK_2269
ko:K07686	ypy:YPK_0081
ko:K04042	ypy:YPK_4228
ko:K15555	ypy:YPK_0424
ko:K05527	ypy:YPK_3237
ko:K01091	ypy:YPK_0230
ko:K00059	ypy:YPK_1686
ko:K11202	ypy:YPK_3659
ko:K02464	ypy:YPK_1014
ko:K03060	ypy:YPK_4177
ko:K03183	ypy:YPK_3945
ko:K09760	ypy:YPK_3946
ko:K11216	ypy:YPK_3648
ko:K09001	ypy:YPK_1878
ko:K03645	ypy:YPK_1151
ko:K06997	ypy:YPK_0832
ko:K02669	ypy:YPK_0833
ko:K10536	ypy:YPK_0834
ko:K07447	ypy:YPK_0836
ko:K07735	ypy:YPK_0837
ko:K01920	ypy:YPK_0838
ko:K09761	ypy:YPK_0839
ko:K00789	ypy:YPK_0843
ko:K07387	ypy:YPK_0849
ko:K00615	ypy:YPK_0850
ko:K00927	ypy:YPK_0852
ko:K03442	ypy:YPK_0854
ko:K00645	ypy:YPK_1685
ko:K07082	ypy:YPK_1690
ko:K00943	ypy:YPK_1691
ko:K03424	ypy:YPK_1693
ko:K00014	ypy:YPK_1695
ko:K07337	ypy:YPK_1698
ko:K07000	ypy:YPK_1701
ko:K03885	ypy:YPK_1702
ko:K09808	ypy:YPK_1707
ko:K09923	ypy:YPK_0822
ko:K01425	ypy:YPK_0823
ko:K09131	ypy:YPK_0828
ko:K02221	ypy:YPK_0829
ko:K00286	ypy:YPK_0831
ko:K01641	ypy:YPK_2608
ko:K02372	ypy:YPK_2611
ko:K11179	ypy:YPK_2618
ko:K06969	ypy:YPK_2620
ko:K06929	ypy:YPK_2622
ko:K09909	ypy:YPK_2623
ko:K01734	ypy:YPK_2624
ko:K01581	ypy:YPK_0811
ko:K02014	ypy:YPK_0815
ko:K02016	ypy:YPK_0816
ko:K08306	ypy:YPK_0818
ko:K03439	ypy:YPK_0821
ko:K04081	ypy:YPK_0012
ko:K07085	ypy:YPK_0013
ko:K00851	ypy:YPK_1575
ko:K00050	ypy:YPK_1579
ko:K01690	ypy:YPK_1582
ko:K05594	ypy:YPK_1585
ko:K02552	ypy:YPK_1588
ko:K02551	ypy:YPK_1589
ko:K02549	ypy:YPK_1592
ko:K06970	ypy:YPK_1596
ko:K03451	ypy:YPK_1618
ko:K09917	ypy:YPK_2448
ko:K01752	ypy:YPK_2451
ko:K09808	ypy:YPK_1709
ko:K01258	ypy:YPK_1712
ko:K01756	ypy:YPK_1718
ko:K07153	ypy:YPK_1719
ko:K00566	ypy:YPK_1720
ko:K03776	ypy:YPK_1726
ko:K03704	ypy:YPK_1740
ko:K01531	ypy:YPK_1744
ko:K02403	ypy:YPK_1745
ko:K09911	ypy:YPK_2632
ko:K04770	ypy:YPK_2633
ko:K01716	ypy:YPK_2634
ko:K09458	ypy:YPK_2636
ko:K09857	ypy:YPK_2637
ko:K07140	ypy:YPK_2642
ko:K01256	ypy:YPK_2645
ko:K00763	ypy:YPK_2647
ko:K02557	ypy:YPK_0731
ko:K01258	ypy:YPK_0749
ko:K02014	ypy:YPK_0750
ko:K00151	ypy:YPK_2459
ko:K02014	ypy:YPK_2469
ko:K00563	ypy:YPK_2472
ko:K03704	ypy:YPK_2474
ko:K07178	ypy:YPK_2488
ko:K09933	ypy:YPK_2490
ko:K09912	ypy:YPK_2500
ko:K01940	ypy:YPK_2505
ko:K00101	ypy:YPK_2506
ko:K02406	ypy:YPK_0726
ko:K02556	ypy:YPK_0730
ko:K01775	ypy:YPK_1764
ko:K07347	ypy:YPK_1774
ko:K03797	ypy:YPK_1783
ko:K07347	ypy:YPK_1788
ko:K07345	ypy:YPK_1789
ko:K08169	ypy:YPK_1791
ko:K01815	ypy:YPK_1804
ko:K02484	ypy:YPK_1425
ko:K11203	ypy:YPK_3658
ko:K03228	ypy:YPK_3900
ko:K05515	ypy:YPK_3021
ko:K04759	ypy:YPK_0168
ko:K03473	ypy:YPK_1527
ko:K03749	ypy:YPK_1533
ko:K00764	ypy:YPK_1535
ko:K10014	ypy:YPK_1538
ko:K10016	ypy:YPK_1539
ko:K10015	ypy:YPK_1540
ko:K10017	ypy:YPK_1541
ko:K07095	ypy:YPK_1544
ko:K03475	ypy:YPK_1546
ko:K02821	ypy:YPK_1548
ko:K09899	ypy:YPK_1552
ko:K09161	ypy:YPK_1553
ko:K09802	ypy:YPK_2514
ko:K01141	ypy:YPK_2516
ko:K00765	ypy:YPK_2525
ko:K00013	ypy:YPK_2526
ko:K02622	ypy:YPK_0659
ko:K02621	ypy:YPK_0662
ko:K00338	ypy:YPK_1567
ko:K00337	ypy:YPK_1566
ko:K03148	ypy:YPK_0345
ko:K00567	ypy:YPK_1945
ko:K06980	ypy:YPK_0875
ko:K09159	ypy:YPK_0876
ko:K07663	ypy:YPK_0878
ko:K03840	ypy:YPK_0881
ko:K02836	ypy:YPK_0923
ko:K07407	ypy:YPK_2493
ko:K03897	ypy:YPK_0783
ko:K02619	ypy:YPK_1689
ko:K03316	ypy:YPK_0428
ko:K00832	ypy:YPK_3853
ko:K01840	ypy:YPK_3178
ko:K03767	ypy:YPK_0242
ko:K01895	ypy:YPK_3921
ko:K06149	ypy:YPK_0120
ko:K06203	ypy:YPK_1430
ko:K06200	ypy:YPK_3948
ko:K02282	ypy:YPK_0683
ko:K00350	ypy:YPK_2258
ko:K06212	ypy:YPK_2676
ko:K07792	ypy:YPK_3359
ko:K05794	ypy:YPK_3874
ko:K01625	ypy:YPK_2132
ko:K02072	ypy:YPK_1095
ko:K02071	ypy:YPK_1096
ko:K08307	ypy:YPK_1105
ko:K03758	ypy:YPK_1939
ko:K01653	ypy:YPK_1949
ko:K01241	ypy:YPK_1955
ko:K02050	ypy:YPK_1957
ko:K02051	ypy:YPK_1958
ko:K03281	ypy:YPK_1979
ko:K01935	ypy:YPK_1980
ko:K07560	ypy:YPK_4185
ko:K07058	ypy:YPK_4186
ko:K07637	ypy:YPK_1714
ko:K07660	ypy:YPK_1715
ko:K00058	ypy:YPK_0859
ko:K05802	ypy:YPK_3204
ko:K03561	ypy:YPK_0672
ko:K00868	ypy:YPK_1882
ko:K02017	ypy:YPK_2935
ko:K07052	ypy:YPK_2942
ko:K03466	ypy:YPK_2685
ko:K07657	ypy:YPK_3276
ko:K01911	ypy:YPK_1593
ko:K07687	ypy:YPK_2843
ko:K07235	ypy:YPK_0272
ko:K02529	ypy:YPK_1965
ko:K02529	ypy:YPK_0588
ko:K02529	ypy:YPK_1614
ko:K02529	ypy:YPK_0060
ko:K02529	ypy:YPK_1025
ko:K02529	ypy:YPK_2491
ko:K00564	ypy:YPK_3636
ko:K01525	ypy:YPK_3575
ko:K07659	ypy:YPK_0172
ko:K03291	ypy:YPK_3539
ko:K02064	ypy:YPK_3542
ko:K02063	ypy:YPK_3543
ko:K03580	ypy:YPK_3547
ko:K01520	ypy:YPK_4157
ko:K05501	ypy:YPK_4158
ko:K00762	ypy:YPK_4159
ko:K00989	ypy:YPK_4160
ko:K01972	ypy:YPK_4175
ko:K00942	ypy:YPK_4176
ko:K00556	ypy:YPK_4179
ko:K03312	ypy:YPK_4181
ko:K03220	ypy:YPK_3916
ko:K03219	ypy:YPK_3917
ko:K03182	ypy:YPK_3936
ko:K05785	ypy:YPK_3937
ko:K01698	ypy:YPK_3938
ko:K03690	ypy:YPK_3944
ko:K12148	ypy:YPK_1673
ko:K12149	ypy:YPK_1674
ko:K01079	ypy:YPK_3622
ko:K02024	ypy:YPK_0381
ko:K02024	ypy:YPK_0975
ko:K02483	ypy:YPK_1424
ko:K00632	ypy:YPK_1508
ko:K11927	ypy:YPK_2891
ko:K12289	ypy:YPK_0221
ko:K12290	ypy:YPK_0222
ko:K07251	ypy:YPK_1699
ko:K12342	ypy:YPK_2673
ko:K12342	ypy:YPK_2672
ko:K00703	ypy:YPK_0150
ko:K12340	ypy:YPK_0654
ko:K11991	ypy:YPK_1251
ko:K03933	ypy:YPK_0692
ko:K02016	ypy:YPK_0698
ko:K02400	ypy:YPK_0702
ko:K02401	ypy:YPK_0703
ko:K02421	ypy:YPK_0704
ko:K02419	ypy:YPK_0706
ko:K02416	ypy:YPK_0708
ko:K02408	ypy:YPK_0710
ko:K02410	ypy:YPK_0712
ko:K02399	ypy:YPK_0716
ko:K02398	ypy:YPK_0717
ko:K02387	ypy:YPK_0719
ko:K02389	ypy:YPK_0721
ko:K00330	ypy:YPK_1560
ko:K00340	ypy:YPK_1569
ko:K05835	ypy:YPK_3997
ko:K00033	ypy:YPK_2535
ko:K00963	ypy:YPK_2536
ko:K00963	ypy:YPK_2537
ko:K02016	ypy:YPK_2540
ko:K02015	ypy:YPK_2541
ko:K02015	ypy:YPK_2542
ko:K02013	ypy:YPK_2543
ko:K01494	ypy:YPK_2551
ko:K03593	ypy:YPK_2553
ko:K01489	ypy:YPK_2561
ko:K07148	ypy:YPK_2567
ko:K01495	ypy:YPK_2568
ko:K07000	ypy:YPK_0658
ko:K00655	ypy:YPK_0663
ko:K03559	ypy:YPK_0673
ko:K02283	ypy:YPK_0682
ko:K01056	ypy:YPK_2186
ko:K02746	ypy:YPK_0991
ko:K01750	ypy:YPK_0007
ko:K01754	ypy:YPK_0008
ko:K04080	ypy:YPK_0011
ko:K02025	ypy:YPK_1635
ko:K02026	ypy:YPK_1636
ko:K06144	ypy:YPK_0121
ko:K03670	ypy:YPK_1661
ko:K03669	ypy:YPK_1662
ko:K03305	ypy:YPK_1664
ko:K02517	ypy:YPK_1665
ko:K07146	ypy:YPK_1668
ko:K01465	ypy:YPK_1675
ko:K08300	ypy:YPK_1677
ko:K06179	ypy:YPK_1678
ko:K07040	ypy:YPK_1681
ko:K02003	ypy:YPK_2576
ko:K06871	ypy:YPK_2577
ko:K03750	ypy:YPK_2578
ko:K00645	ypy:YPK_2602
ko:K06219	ypy:YPK_2658
ko:K00979	ypy:YPK_2660
ko:K09791	ypy:YPK_2661
ko:K03704	ypy:YPK_2662
ko:K00912	ypy:YPK_2664
ko:K00945	ypy:YPK_2669
ko:K00800	ypy:YPK_2670
ko:K00831	ypy:YPK_2671
ko:K09136	ypy:YPK_2675
ko:K00656	ypy:YPK_2677
ko:K01875	ypy:YPK_2681
ko:K07478	ypy:YPK_2683
ko:K00384	ypy:YPK_2687
ko:K00684	ypy:YPK_2690
ko:K09807	ypy:YPK_0856
ko:K09888	ypy:YPK_0861
ko:K09895	ypy:YPK_0862
ko:K01262	ypy:YPK_0863
ko:K03185	ypy:YPK_0864
ko:K00605	ypy:YPK_0867
ko:K01784	ypy:YPK_2943
ko:K01420	ypy:YPK_1944
ko:K08964	ypy:YPK_3321
ko:K07304	ypy:YPK_3771
ko:K11892	ypy:YPK_0394
ko:K11911	ypy:YPK_0400
ko:K11911	ypy:YPK_2583
ko:K03892	ypy:YPK_3415
ko:K04091	ypy:YPK_0422
ko:K00523	ypy:YPK_3192
ko:K11928	ypy:YPK_2367
ko:K00971	ypy:YPK_3181
ko:K01485	ypy:YPK_0237
ko:K12152	ypy:YPK_1721
ko:K01835	ypy:YPK_1152
ko:K11742	ypy:YPK_2130
ko:K11900	ypy:YPK_1480
ko:K08305	ypy:YPK_2119
ko:K01259	ypy:YPK_2440
ko:K12262	ypy:YPK_3390
ko:K02548	ypy:YPK_4105
ko:K04066	ypy:YPK_4099
ko:K03591	ypy:YPK_4102
ko:K04047	ypy:YPK_1602
ko:K11258	ypy:YPK_4060
ko:K02784	ypy:YPK_1428
ko:K01224	ypy:YPK_0972
ko:K08191	ypy:YPK_0978
