ko:K17686	blg:BIL_17270
ko:K18220	blg:BIL_11470
ko:K02031	blg:BIL_07550
ko:K02032	blg:BIL_07550
ko:K02031	blg:BIL_07130
ko:K02032	blg:BIL_07130
ko:K02483	blg:BIL_01600
ko:K02058	blg:BIL_01310
ko:K03719	blg:BIL_19440
ko:K02529	blg:BIL_04860
ko:K01439	blg:BIL_05280
ko:K00991	blg:BIL_15920
ko:K10117	blg:BIL_18450
ko:K05349	blg:BIL_19800
ko:K15580	blg:BIL_10490
ko:K00973	blg:BIL_14740
ko:K16235	blg:BIL_09790
ko:K00067	blg:BIL_05780
ko:K01790	blg:BIL_05780
ko:K03574	blg:BIL_05520
ko:K13059	blg:BIL_03760
ko:K10254	blg:BIL_00120
ko:K02337	blg:BIL_00140
ko:K03531	blg:BIL_00240
ko:K02337	blg:BIL_00270
ko:K03101	blg:BIL_00320
ko:K09772	blg:BIL_00350
ko:K03147	blg:BIL_00400
ko:K00941	blg:BIL_00420
ko:K08369	blg:BIL_00440
ko:K01214	blg:BIL_12110
ko:K02529	blg:BIL_00480
ko:K02532	blg:BIL_00490
ko:K01193	blg:BIL_00500
ko:K00806	blg:BIL_00550
ko:K03584	blg:BIL_00560
ko:K07177	blg:BIL_00630
ko:K07053	blg:BIL_00680
ko:K01778	blg:BIL_00700
ko:K01776	blg:BIL_00710
ko:K01760	blg:BIL_00790
ko:K02029	blg:BIL_00820
ko:K02029	blg:BIL_00830
ko:K06999	blg:BIL_00840
ko:K00942	blg:BIL_00870
ko:K01591	blg:BIL_00880
ko:K01955	blg:BIL_00890
ko:K03625	blg:BIL_00910
ko:K02068	blg:BIL_00930
ko:K02069	blg:BIL_00940
ko:K00598	blg:BIL_00970
ko:K00598	blg:BIL_00980
ko:K01811	blg:BIL_01020
ko:K03593	blg:BIL_01090
ko:K01972	blg:BIL_01100
ko:K16784	blg:BIL_01150
ko:K06147	blg:BIL_15190
ko:K03496	blg:BIL_05150
ko:K03496	blg:BIL_07370
ko:K03169	blg:BIL_08450
ko:K03111	blg:BIL_17330
ko:K03496	blg:BIL_08800
ko:K03496	blg:BIL_19600
ko:K03497	blg:BIL_19610
ko:K03502	blg:BIL_13460
ko:K07062	blg:BIL_15580
ko:K07483	blg:BIL_14800
ko:K07483	blg:BIL_15050
ko:K03976	blg:BIL_07280
ko:K03526	blg:BIL_00580
ko:K01710	blg:BIL_05790
ko:K01621	blg:BIL_11880
ko:K19265	blg:BIL_15480
ko:K01785	blg:BIL_07250
ko:K01990	blg:BIL_11210
ko:K12952	blg:BIL_07610
ko:K02003	blg:BIL_07360
ko:K02004	blg:BIL_07360
ko:K01785	blg:BIL_07260
ko:K08156	blg:BIL_03660
ko:K00526	blg:BIL_19890
ko:K19710	blg:BIL_09430
ko:K08744	blg:BIL_09700
ko:K21672	blg:BIL_10530
ko:K19955	blg:BIL_02070
ko:K12132	blg:BIL_18980
ko:K03496	blg:BIL_03270
ko:K12132	blg:BIL_18990
ko:K12132	blg:BIL_07930
ko:K20074	blg:BIL_18950
ko:K01214	blg:BIL_04410
ko:K20814	blg:BIL_01830
ko:K00821	blg:BIL_12890
ko:K06191	blg:BIL_19850
ko:K21636	blg:BIL_02290
ko:K04068	blg:BIL_02280
ko:K00287	blg:BIL_03510
ko:K00560	blg:BIL_03520
ko:K02316	blg:BIL_13780
ko:K03553	blg:BIL_07820
ko:K01520	blg:BIL_08060
ko:K18955	blg:BIL_16780
ko:K02314	blg:BIL_17490
ko:K02031	blg:BIL_13910
ko:K00525	blg:BIL_19870
ko:K02335	blg:BIL_12140
ko:K03293	blg:BIL_06330
ko:K03293	blg:BIL_06370
ko:K21471	blg:BIL_03560
ko:K05364	blg:BIL_18970
ko:K21495	blg:BIL_15570
ko:K21600	blg:BIL_17260
ko:K10914	blg:BIL_14540
ko:K00936	blg:BIL_12410
ko:K22010	blg:BIL_12150
ko:K03595	blg:BIL_10770
ko:K03077	blg:BIL_15290
ko:K22306	blg:BIL_11970
ko:K08300	blg:BIL_05270
ko:K08301	blg:BIL_05270
