ko:K19416	sbt:Sbal678_2315
ko:K00134	sbt:Sbal678_2207
ko:K00134	sbt:Sbal678_2209
ko:K00832	sbt:Sbal678_2210
ko:K03796	sbt:Sbal678_2212
ko:K14058	sbt:Sbal678_2214
ko:K14055	sbt:Sbal678_2215
ko:K09792	sbt:Sbal678_2217
ko:K09926	sbt:Sbal678_2220
ko:K00406	sbt:Sbal678_2221
ko:K00407	sbt:Sbal678_2222
ko:K00405	sbt:Sbal678_2223
ko:K00404	sbt:Sbal678_2224
ko:K07307	sbt:Sbal678_2231
ko:K07306	sbt:Sbal678_2232
ko:K15045	sbt:Sbal678_2252
ko:K01790	sbt:Sbal678_3022
ko:K00973	sbt:Sbal678_3023
ko:K09975	sbt:Sbal678_3027
ko:K03431	sbt:Sbal678_3029
ko:K00012	sbt:Sbal678_3030
ko:K00973	sbt:Sbal678_3040
ko:K03305	sbt:Sbal678_3048
ko:K04754	sbt:Sbal678_3050
ko:K04061	sbt:Sbal678_3052
ko:K03408	sbt:Sbal678_3054
ko:K03408	sbt:Sbal678_3055
ko:K03553	sbt:Sbal678_3276
ko:K01915	sbt:Sbal678_2191
ko:K02356	sbt:Sbal678_2192
ko:K03839	sbt:Sbal678_2194
ko:K03645	sbt:Sbal678_2198
ko:K01835	sbt:Sbal678_2199
ko:K07304	sbt:Sbal678_2200
ko:K05526	sbt:Sbal678_2202
ko:K09936	sbt:Sbal678_2965
ko:K10805	sbt:Sbal678_2971
ko:K02548	sbt:Sbal678_2973
ko:K00033	sbt:Sbal678_2979
ko:K01908	sbt:Sbal678_2981
ko:K01969	sbt:Sbal678_2984
ko:K13766	sbt:Sbal678_2985
ko:K01968	sbt:Sbal678_2986
ko:K01640	sbt:Sbal678_2987
ko:K01028	sbt:Sbal678_2988
ko:K01029	sbt:Sbal678_2989
ko:K07090	sbt:Sbal678_2993
ko:K01284	sbt:Sbal678_3002
ko:K03522	sbt:Sbal678_3004
ko:K03521	sbt:Sbal678_3005
ko:K06080	sbt:Sbal678_3009
ko:K01881	sbt:Sbal678_3012
ko:K00606	sbt:Sbal678_3014
ko:K00852	sbt:Sbal678_3800
ko:K01126	sbt:Sbal678_3805
ko:K07101	sbt:Sbal678_3806
ko:K01113	sbt:Sbal678_3807
ko:K09705	sbt:Sbal678_3815
ko:K09136	sbt:Sbal678_3817
ko:K03406	sbt:Sbal678_3819
ko:K01868	sbt:Sbal678_3825
ko:K02030	sbt:Sbal678_3826
ko:K00281	sbt:Sbal678_3829
ko:K02437	sbt:Sbal678_3830
ko:K00605	sbt:Sbal678_3831
ko:K03185	sbt:Sbal678_3833
ko:K09895	sbt:Sbal678_3834
ko:K09888	sbt:Sbal678_3835
ko:K01934	sbt:Sbal678_3836
ko:K13938	sbt:Sbal678_3837
ko:K00024	sbt:Sbal678_3839
ko:K03402	sbt:Sbal678_3840
ko:K07118	sbt:Sbal678_3841
ko:K07223	sbt:Sbal678_3843
ko:K02010	sbt:Sbal678_3845
ko:K02011	sbt:Sbal678_3846
ko:K02012	sbt:Sbal678_3847
ko:K00799	sbt:Sbal678_3849
ko:K00528	sbt:Sbal678_3850
ko:K02420	sbt:Sbal678_3068
ko:K06147	sbt:Sbal678_3856
ko:K01626	sbt:Sbal678_3858
ko:K03412	sbt:Sbal678_3058
ko:K03320	sbt:Sbal678_3861
ko:K03407	sbt:Sbal678_3059
ko:K03414	sbt:Sbal678_3060
ko:K04752	sbt:Sbal678_3862
ko:K03385	sbt:Sbal678_3864
ko:K07674	sbt:Sbal678_3865
ko:K03413	sbt:Sbal678_3061
ko:K07685	sbt:Sbal678_3866
ko:K02405	sbt:Sbal678_3062
ko:K09910	sbt:Sbal678_3867
ko:K06987	sbt:Sbal678_3869
ko:K00928	sbt:Sbal678_3870
ko:K07773	sbt:Sbal678_3872
ko:K01278	sbt:Sbal678_3874
ko:K03841	sbt:Sbal678_3875
ko:K13041	sbt:Sbal678_3888
ko:K13040	sbt:Sbal678_3889
ko:K08358	sbt:Sbal678_3890
ko:K08357	sbt:Sbal678_3892
ko:K03406	sbt:Sbal678_3893
ko:K03769	sbt:Sbal678_3897
ko:K05365	sbt:Sbal678_3898
ko:K03579	sbt:Sbal678_3899
ko:K01975	sbt:Sbal678_3901
ko:K10914	sbt:Sbal678_3903
ko:K04562	sbt:Sbal678_3063
ko:K02404	sbt:Sbal678_3064
ko:K02400	sbt:Sbal678_3065
ko:K02401	sbt:Sbal678_3066
ko:K02421	sbt:Sbal678_3067
ko:K02457	sbt:Sbal678_0162
ko:K02458	sbt:Sbal678_0163
ko:K02459	sbt:Sbal678_0164
ko:K02460	sbt:Sbal678_0165
ko:K02461	sbt:Sbal678_0166
ko:K02462	sbt:Sbal678_0167
ko:K02463	sbt:Sbal678_0168
ko:K08312	sbt:Sbal678_0176
ko:K01082	sbt:Sbal678_0177
ko:K06917	sbt:Sbal678_0181
ko:K01008	sbt:Sbal678_0182
ko:K01776	sbt:Sbal678_0186
ko:K00075	sbt:Sbal678_0188
ko:K03524	sbt:Sbal678_0189
ko:K00867	sbt:Sbal678_0190
ko:K02358	sbt:Sbal678_0191
ko:K03073	sbt:Sbal678_0192
ko:K02601	sbt:Sbal678_0193
ko:K02867	sbt:Sbal678_0194
ko:K02863	sbt:Sbal678_0195
ko:K02864	sbt:Sbal678_0196
ko:K02935	sbt:Sbal678_0197
ko:K03043	sbt:Sbal678_0198
ko:K03046	sbt:Sbal678_0199
ko:K02950	sbt:Sbal678_0200
ko:K02992	sbt:Sbal678_0201
ko:K02355	sbt:Sbal678_0202
ko:K02358	sbt:Sbal678_0203
ko:K02946	sbt:Sbal678_0204
ko:K02906	sbt:Sbal678_0205
ko:K02926	sbt:Sbal678_0206
ko:K02892	sbt:Sbal678_0207
ko:K02886	sbt:Sbal678_0208
ko:K02965	sbt:Sbal678_0209
ko:K02890	sbt:Sbal678_0210
ko:K03317	sbt:Sbal678_1025
ko:K01061	sbt:Sbal678_1027
ko:K00548	sbt:Sbal678_1033
ko:K02013	sbt:Sbal678_1035
ko:K02015	sbt:Sbal678_1036
ko:K00768	sbt:Sbal678_1037
ko:K02233	sbt:Sbal678_1038
ko:K02231	sbt:Sbal678_1039
ko:K02232	sbt:Sbal678_1040
ko:K00135	sbt:Sbal678_1044
ko:K00005	sbt:Sbal678_1045
ko:K00375	sbt:Sbal678_1049
ko:K01465	sbt:Sbal678_1054
ko:K02005	sbt:Sbal678_1055
ko:K02003	sbt:Sbal678_1058
ko:K02004	sbt:Sbal678_1059
ko:K02004	sbt:Sbal678_1060
ko:K04337	sbt:Sbal678_1063
ko:K04338	sbt:Sbal678_1064
ko:K06214	sbt:Sbal678_1065
ko:K00154	sbt:Sbal678_1067
ko:K06149	sbt:Sbal678_1069
ko:K02013	sbt:Sbal678_1075
ko:K02015	sbt:Sbal678_1076
ko:K06175	sbt:Sbal678_1508
ko:K07235	sbt:Sbal678_2316
ko:K07236	sbt:Sbal678_2317
ko:K07237	sbt:Sbal678_2318
ko:K11179	sbt:Sbal678_2319
ko:K01875	sbt:Sbal678_2321
ko:K06199	sbt:Sbal678_2322
ko:K07478	sbt:Sbal678_2323
ko:K03634	sbt:Sbal678_2324
ko:K03466	sbt:Sbal678_2325
ko:K00259	sbt:Sbal678_2327
ko:K00384	sbt:Sbal678_2328
ko:K02887	sbt:Sbal678_2329
ko:K02916	sbt:Sbal678_2330
ko:K02520	sbt:Sbal678_2331
ko:K01868	sbt:Sbal678_2332
ko:K00793	sbt:Sbal678_2335
ko:K03327	sbt:Sbal678_2336
ko:K09794	sbt:Sbal678_3139
ko:K00426	sbt:Sbal678_3142
ko:K00244	sbt:Sbal678_3651
ko:K00111	sbt:Sbal678_3643
ko:K03778	sbt:Sbal678_3652
ko:K01061	sbt:Sbal678_3653
ko:K01255	sbt:Sbal678_3660
ko:K03386	sbt:Sbal678_3661
ko:K03387	sbt:Sbal678_3662
ko:K07462	sbt:Sbal678_3664
ko:K03981	sbt:Sbal678_3665
ko:K04763	sbt:Sbal678_3666
ko:K03311	sbt:Sbal678_3667
ko:K15460	sbt:Sbal678_3668
ko:K05590	sbt:Sbal678_3669
ko:K01624	sbt:Sbal678_3679
ko:K00927	sbt:Sbal678_3680
ko:K00134	sbt:Sbal678_3681
ko:K00615	sbt:Sbal678_3682
ko:K00789	sbt:Sbal678_3683
ko:K02552	sbt:Sbal678_4480
ko:K09125	sbt:Sbal678_4482
ko:K05772	sbt:Sbal678_4486
ko:K05773	sbt:Sbal678_4487
ko:K06857	sbt:Sbal678_4488
ko:K03752	sbt:Sbal678_4489
ko:K03750	sbt:Sbal678_4490
ko:K03639	sbt:Sbal678_4491
ko:K10563	sbt:Sbal678_4493
ko:K00012	sbt:Sbal678_4497
ko:K00954	sbt:Sbal678_4500
ko:K11211	sbt:Sbal678_4506
ko:K02527	sbt:Sbal678_4507
ko:K00639	sbt:Sbal678_4509
ko:K00060	sbt:Sbal678_4510
ko:K02439	sbt:Sbal678_4511
ko:K02441	sbt:Sbal678_4512
ko:K03978	sbt:Sbal678_4515
ko:K09894	sbt:Sbal678_4520
ko:K01488	sbt:Sbal678_4523
ko:K07726	sbt:Sbal678_0817
ko:K05539	sbt:Sbal678_0829
ko:K12340	sbt:Sbal678_0836
ko:K01515	sbt:Sbal678_0837
ko:K09920	sbt:Sbal678_0838
ko:K03651	sbt:Sbal678_0839
ko:K07000	sbt:Sbal678_0840
ko:K02622	sbt:Sbal678_0841
ko:K02621	sbt:Sbal678_0843
ko:K02017	sbt:Sbal678_0852
ko:K02018	sbt:Sbal678_0853
ko:K02020	sbt:Sbal678_0854
ko:K02019	sbt:Sbal678_0855
ko:K13888	sbt:Sbal678_0856
ko:K05685	sbt:Sbal678_0857
ko:K09749	sbt:Sbal678_0862
ko:K00564	sbt:Sbal678_0863
ko:K01077	sbt:Sbal678_0864
ko:K01920	sbt:Sbal678_0865
ko:K09761	sbt:Sbal678_0866
ko:K01150	sbt:Sbal678_0867
ko:K03924	sbt:Sbal678_2100
ko:K08309	sbt:Sbal678_2102
ko:K09760	sbt:Sbal678_2103
ko:K01759	sbt:Sbal678_2106
ko:K10773	sbt:Sbal678_2108
ko:K03613	sbt:Sbal678_2109
ko:K03612	sbt:Sbal678_2110
ko:K03614	sbt:Sbal678_2111
ko:K03615	sbt:Sbal678_2112
ko:K03616	sbt:Sbal678_2113
ko:K03617	sbt:Sbal678_2114
ko:K07862	sbt:Sbal678_2945
ko:K03415	sbt:Sbal678_2946
ko:K00567	sbt:Sbal678_2949
ko:K13529	sbt:Sbal678_2950
ko:K01885	sbt:Sbal678_2957
ko:K11688	sbt:Sbal678_2959
ko:K11689	sbt:Sbal678_2960
ko:K10125	sbt:Sbal678_2962
ko:K10126	sbt:Sbal678_2963
ko:K09936	sbt:Sbal678_2964
ko:K07286	sbt:Sbal678_3747
ko:K08218	sbt:Sbal678_3750
ko:K09767	sbt:Sbal678_3751
ko:K00077	sbt:Sbal678_3754
ko:K04752	sbt:Sbal678_3755
ko:K03320	sbt:Sbal678_3756
ko:K01627	sbt:Sbal678_3759
ko:K02493	sbt:Sbal678_3764
ko:K02835	sbt:Sbal678_3765
ko:K02492	sbt:Sbal678_3766
ko:K02494	sbt:Sbal678_3767
ko:K00919	sbt:Sbal678_3768
ko:K00948	sbt:Sbal678_3769
ko:K03406	sbt:Sbal678_3770
ko:K03088	sbt:Sbal678_3771
ko:K06183	sbt:Sbal678_3774
ko:K00799	sbt:Sbal678_3781
ko:K08981	sbt:Sbal678_3783
ko:K00027	sbt:Sbal678_3786
ko:K00549	sbt:Sbal678_3792
ko:K03576	sbt:Sbal678_3793
ko:K02014	sbt:Sbal678_3796
ko:K00655	sbt:Sbal678_3952
ko:K02077	sbt:Sbal678_3954
ko:K03442	sbt:Sbal678_3960
ko:K01938	sbt:Sbal678_3961
ko:K06219	sbt:Sbal678_3964
ko:K09973	sbt:Sbal678_3965
ko:K03413	sbt:Sbal678_3973
ko:K03530	sbt:Sbal678_3974
ko:K05844	sbt:Sbal678_3976
ko:K03310	sbt:Sbal678_3983
ko:K07576	sbt:Sbal678_3984
ko:K00425	sbt:Sbal678_3143
ko:K01952	sbt:Sbal678_3144
ko:K11991	sbt:Sbal678_3146
ko:K01951	sbt:Sbal678_3147
ko:K00088	sbt:Sbal678_3148
ko:K03601	sbt:Sbal678_3149
ko:K03977	sbt:Sbal678_3150
ko:K01892	sbt:Sbal678_3153
ko:K15539	sbt:Sbal678_3155
ko:K02656	sbt:Sbal678_3156
ko:K06941	sbt:Sbal678_3157
ko:K01081	sbt:Sbal678_3159
ko:K15977	sbt:Sbal678_3161
ko:K06911	sbt:Sbal678_3162
ko:K00134	sbt:Sbal678_3987
ko:K07089	sbt:Sbal678_3989
ko:K03325	sbt:Sbal678_3990
ko:K02348	sbt:Sbal678_3998
ko:K03446	sbt:Sbal678_3999
ko:K03543	sbt:Sbal678_4000
ko:K03282	sbt:Sbal678_4002
ko:K03830	sbt:Sbal678_3163
ko:K09954	sbt:Sbal678_3166
ko:K09933	sbt:Sbal678_3172
ko:K09913	sbt:Sbal678_0280
ko:K03406	sbt:Sbal678_0281
ko:K09940	sbt:Sbal678_0289
ko:K03406	sbt:Sbal678_0290
ko:K00311	sbt:Sbal678_0291
ko:K03639	sbt:Sbal678_0292
ko:K03637	sbt:Sbal678_0293
ko:K03636	sbt:Sbal678_0294
ko:K03635	sbt:Sbal678_0295
ko:K02020	sbt:Sbal678_0296
ko:K02018	sbt:Sbal678_0297
ko:K06177	sbt:Sbal678_0303
ko:K07792	sbt:Sbal678_0310
ko:K07639	sbt:Sbal678_0315
ko:K07661	sbt:Sbal678_0316
ko:K12339	sbt:Sbal678_1129
ko:K06938	sbt:Sbal678_1131
ko:K07034	sbt:Sbal678_1137
ko:K06183	sbt:Sbal678_1144
ko:K05916	sbt:Sbal678_1145
ko:K03406	sbt:Sbal678_1146
ko:K05807	sbt:Sbal678_1147
ko:K06180	sbt:Sbal678_1148
ko:K05810	sbt:Sbal678_1149
ko:K03695	sbt:Sbal678_1150
ko:K01573	sbt:Sbal678_1154
ko:K01571	sbt:Sbal678_1155
ko:K01572	sbt:Sbal678_1156
ko:K07263	sbt:Sbal678_1160
ko:K01919	sbt:Sbal678_1161
ko:K01589	sbt:Sbal678_1165
ko:K07640	sbt:Sbal678_0267
ko:K06006	sbt:Sbal678_0269
ko:K01588	sbt:Sbal678_1166
ko:K03321	sbt:Sbal678_1167
ko:K07114	sbt:Sbal678_1168
ko:K03088	sbt:Sbal678_1169
ko:K01810	sbt:Sbal678_1173
ko:K00616	sbt:Sbal678_1174
ko:K03286	sbt:Sbal678_1175
ko:K07712	sbt:Sbal678_0273
ko:K07708	sbt:Sbal678_0274
ko:K00140	sbt:Sbal678_1563
ko:K00059	sbt:Sbal678_1568
ko:K03098	sbt:Sbal678_1574
ko:K01993	sbt:Sbal678_1585
ko:K09941	sbt:Sbal678_1596
ko:K07017	sbt:Sbal678_1600
ko:K02037	sbt:Sbal678_1603
ko:K02038	sbt:Sbal678_1604
ko:K08325	sbt:Sbal678_0278
ko:K01156	sbt:Sbal678_4598
ko:K07316	sbt:Sbal678_4599
ko:K01150	sbt:Sbal678_4612
ko:K09916	sbt:Sbal678_2413
ko:K03551	sbt:Sbal678_2420
ko:K03550	sbt:Sbal678_2421
ko:K01159	sbt:Sbal678_2422
ko:K01876	sbt:Sbal678_2424
ko:K15256	sbt:Sbal678_2426
ko:K15257	sbt:Sbal678_2427
ko:K03150	sbt:Sbal678_2435
ko:K03149	sbt:Sbal678_2436
ko:K03154	sbt:Sbal678_2437
ko:K03148	sbt:Sbal678_2438
ko:K14153	sbt:Sbal678_2439
ko:K03147	sbt:Sbal678_2440
ko:K11068	sbt:Sbal678_2442
ko:K06967	sbt:Sbal678_2445
ko:K06969	sbt:Sbal678_2449
ko:K02342	sbt:Sbal678_2460
ko:K02036	sbt:Sbal678_1605
ko:K02039	sbt:Sbal678_1606
ko:K02168	sbt:Sbal678_1613
ko:K08974	sbt:Sbal678_3231
ko:K03815	sbt:Sbal678_3233
ko:K07148	sbt:Sbal678_3236
ko:K02106	sbt:Sbal678_3241
ko:K01262	sbt:Sbal678_3245
ko:K00219	sbt:Sbal678_2410
ko:K03406	sbt:Sbal678_3247
ko:K03758	sbt:Sbal678_3249
ko:K01299	sbt:Sbal678_3262
ko:K09922	sbt:Sbal678_3264
ko:K11720	sbt:Sbal678_3267
ko:K07091	sbt:Sbal678_3268
ko:K01255	sbt:Sbal678_3269
ko:K02339	sbt:Sbal678_3270
ko:K01873	sbt:Sbal678_3271
ko:K03672	sbt:Sbal678_4062
ko:K14445	sbt:Sbal678_4063
ko:K06183	sbt:Sbal678_4065
ko:K04773	sbt:Sbal678_2411
ko:K07089	sbt:Sbal678_4067
ko:K00602	sbt:Sbal678_4069
ko:K01945	sbt:Sbal678_4070
ko:K01599	sbt:Sbal678_4075
ko:K07740	sbt:Sbal678_4076
ko:K01424	sbt:Sbal678_2412
ko:K01682	sbt:Sbal678_4079
ko:K07001	sbt:Sbal678_4083
ko:K00382	sbt:Sbal678_4085
ko:K00627	sbt:Sbal678_4086
ko:K00163	sbt:Sbal678_4087
ko:K03807	sbt:Sbal678_4089
ko:K03806	sbt:Sbal678_4090
ko:K00767	sbt:Sbal678_4091
ko:K02652	sbt:Sbal678_4093
ko:K02653	sbt:Sbal678_4094
ko:K02654	sbt:Sbal678_4095
ko:K00859	sbt:Sbal678_4096
ko:K09862	sbt:Sbal678_4098
ko:K01524	sbt:Sbal678_4101
ko:K03732	sbt:Sbal678_4102
ko:K03671	sbt:Sbal678_4103
ko:K03628	sbt:Sbal678_4104
ko:K00123	sbt:Sbal678_0108
ko:K06876	sbt:Sbal678_0465
ko:K03667	sbt:Sbal678_0469
ko:K01419	sbt:Sbal678_0470
ko:K03590	sbt:Sbal678_0425
ko:K00266	sbt:Sbal678_1284
ko:K03531	sbt:Sbal678_0426
ko:K07139	sbt:Sbal678_1286
ko:K04761	sbt:Sbal678_1288
ko:K02535	sbt:Sbal678_0427
ko:K03573	sbt:Sbal678_1290
ko:K08311	sbt:Sbal678_1291
ko:K08484	sbt:Sbal678_1292
ko:K13292	sbt:Sbal678_1294
ko:K03313	sbt:Sbal678_1296
ko:K03717	sbt:Sbal678_1298
ko:K09159	sbt:Sbal678_1299
ko:K00278	sbt:Sbal678_1301
ko:K03088	sbt:Sbal678_1302
ko:K03597	sbt:Sbal678_1303
ko:K03070	sbt:Sbal678_0430
ko:K01698	sbt:Sbal678_0431
ko:K03598	sbt:Sbal678_1304
ko:K03803	sbt:Sbal678_1305
ko:K03596	sbt:Sbal678_1306
ko:K03424	sbt:Sbal678_0433
ko:K03118	sbt:Sbal678_0435
ko:K03100	sbt:Sbal678_1307
ko:K03117	sbt:Sbal678_0436
ko:K03685	sbt:Sbal678_1308
ko:K03116	sbt:Sbal678_0437
ko:K03688	sbt:Sbal678_0438
ko:K03690	sbt:Sbal678_0439
ko:K03584	sbt:Sbal678_1310
ko:K03183	sbt:Sbal678_0440
ko:K02553	sbt:Sbal678_0442
ko:K03474	sbt:Sbal678_1311
ko:K00997	sbt:Sbal678_1312
ko:K03106	sbt:Sbal678_1316
ko:K02959	sbt:Sbal678_1317
ko:K02014	sbt:Sbal678_0451
ko:K06177	sbt:Sbal678_0454
ko:K00067	sbt:Sbal678_0460
ko:K02860	sbt:Sbal678_1318
ko:K15011	sbt:Sbal678_0461
ko:K00554	sbt:Sbal678_1319
ko:K02884	sbt:Sbal678_1320
ko:K01626	sbt:Sbal678_1321
ko:K14187	sbt:Sbal678_1322
ko:K11933	sbt:Sbal678_1324
ko:K03316	sbt:Sbal678_1326
ko:K14170	sbt:Sbal678_1327
ko:K05809	sbt:Sbal678_1329
ko:K15012	sbt:Sbal678_0462
ko:K07234	sbt:Sbal678_1741
ko:K03720	sbt:Sbal678_1332
ko:K03775	sbt:Sbal678_1334
ko:K12524	sbt:Sbal678_1335
ko:K00872	sbt:Sbal678_1336
ko:K01733	sbt:Sbal678_1337
ko:K09928	sbt:Sbal678_1742
ko:K02238	sbt:Sbal678_1743
ko:K11085	sbt:Sbal678_1744
ko:K00912	sbt:Sbal678_1745
ko:K09791	sbt:Sbal678_1746
ko:K06996	sbt:Sbal678_1751
ko:K06996	sbt:Sbal678_1753
ko:K14762	sbt:Sbal678_1727
ko:K02478	sbt:Sbal678_1734
ko:K01489	sbt:Sbal678_1755
ko:K13256	sbt:Sbal678_1740
ko:K01141	sbt:Sbal678_1756
ko:K11392	sbt:Sbal678_2571
ko:K03424	sbt:Sbal678_2572
ko:K02676	sbt:Sbal678_2573
ko:K02341	sbt:Sbal678_2574
ko:K00943	sbt:Sbal678_2575
ko:K07082	sbt:Sbal678_2576
ko:K02619	sbt:Sbal678_2577
ko:K01494	sbt:Sbal678_2578
ko:K00876	sbt:Sbal678_2579
ko:K03593	sbt:Sbal678_2580
ko:K01874	sbt:Sbal678_2581
ko:K07088	sbt:Sbal678_2582
ko:K06077	sbt:Sbal678_2584
ko:K00684	sbt:Sbal678_2585
ko:K02518	sbt:Sbal678_2587
ko:K03694	sbt:Sbal678_2588
ko:K06891	sbt:Sbal678_2589
ko:K00942	sbt:Sbal678_0367
ko:K03310	sbt:Sbal678_1177
ko:K09861	sbt:Sbal678_1178
ko:K02968	sbt:Sbal678_1181
ko:K03980	sbt:Sbal678_1182
ko:K11753	sbt:Sbal678_1183
ko:K01870	sbt:Sbal678_1184
ko:K03101	sbt:Sbal678_1185
ko:K03774	sbt:Sbal678_1186
ko:K03527	sbt:Sbal678_1187
ko:K02671	sbt:Sbal678_1188
ko:K02672	sbt:Sbal678_1189
ko:K02673	sbt:Sbal678_1190
ko:K02674	sbt:Sbal678_1191
ko:K02655	sbt:Sbal678_1192
ko:K08084	sbt:Sbal678_1195
ko:K04751	sbt:Sbal678_1196
ko:K03885	sbt:Sbal678_1197
ko:K02529	sbt:Sbal678_1198
ko:K02014	sbt:Sbal678_1199
ko:K03406	sbt:Sbal678_1204
ko:K12373	sbt:Sbal678_1205
ko:K00820	sbt:Sbal678_1207
ko:K01443	sbt:Sbal678_1208
ko:K06995	sbt:Sbal678_1212
ko:K00140	sbt:Sbal678_1213
ko:K00822	sbt:Sbal678_1214
ko:K03642	sbt:Sbal678_1221
ko:K01011	sbt:Sbal678_1222
ko:K07010	sbt:Sbal678_1227
ko:K01915	sbt:Sbal678_1228
ko:K11073	sbt:Sbal678_1229
ko:K11076	sbt:Sbal678_1230
ko:K11075	sbt:Sbal678_1231
ko:K03305	sbt:Sbal678_1622
ko:K05794	sbt:Sbal678_1623
ko:K06996	sbt:Sbal678_1628
ko:K01580	sbt:Sbal678_1641
ko:K00865	sbt:Sbal678_1642
ko:K02647	sbt:Sbal678_1646
ko:K04758	sbt:Sbal678_1657
ko:K04759	sbt:Sbal678_1658
ko:K01886	sbt:Sbal678_1659
ko:K06169	sbt:Sbal678_1661
ko:K03269	sbt:Sbal678_1662
ko:K03768	sbt:Sbal678_1663
ko:K01883	sbt:Sbal678_1664
ko:K01491	sbt:Sbal678_1665
ko:K03545	sbt:Sbal678_1666
ko:K01358	sbt:Sbal678_1667
ko:K03544	sbt:Sbal678_1668
ko:K03406	sbt:Sbal678_2463
ko:K09707	sbt:Sbal678_2464
ko:K02784	sbt:Sbal678_2465
ko:K08483	sbt:Sbal678_2466
ko:K01439	sbt:Sbal678_2472
ko:K01673	sbt:Sbal678_2477
ko:K00979	sbt:Sbal678_2480
ko:K07146	sbt:Sbal678_2483
ko:K07552	sbt:Sbal678_2490
ko:K01652	sbt:Sbal678_2491
ko:K01653	sbt:Sbal678_2492
ko:K04080	sbt:Sbal678_2493
ko:K00940	sbt:Sbal678_2494
ko:K05844	sbt:Sbal678_2497
ko:K03630	sbt:Sbal678_0396
ko:K02902	sbt:Sbal678_0397
ko:K07133	sbt:Sbal678_0374
ko:K02913	sbt:Sbal678_0398
ko:K14682	sbt:Sbal678_0399
ko:K05786	sbt:Sbal678_0401
ko:K03654	sbt:Sbal678_0403
ko:K01649	sbt:Sbal678_0406
ko:K00052	sbt:Sbal678_0407
ko:K01703	sbt:Sbal678_0408
ko:K01704	sbt:Sbal678_0409
ko:K06076	sbt:Sbal678_0410
ko:K00864	sbt:Sbal678_0411
ko:K03925	sbt:Sbal678_0413
ko:K03438	sbt:Sbal678_0414
ko:K03586	sbt:Sbal678_0415
ko:K00989	sbt:Sbal678_0389
ko:K03587	sbt:Sbal678_0416
ko:K01928	sbt:Sbal678_0417
ko:K01929	sbt:Sbal678_0418
ko:K01000	sbt:Sbal678_0419
ko:K01925	sbt:Sbal678_0420
ko:K03588	sbt:Sbal678_0421
ko:K02563	sbt:Sbal678_0422
ko:K01924	sbt:Sbal678_0423
ko:K03589	sbt:Sbal678_0424
ko:K11074	sbt:Sbal678_1232
ko:K09471	sbt:Sbal678_1233
ko:K00135	sbt:Sbal678_1234
ko:K00762	sbt:Sbal678_0390
ko:K07250	sbt:Sbal678_1235
ko:K01495	sbt:Sbal678_0391
ko:K05501	sbt:Sbal678_0393
ko:K03305	sbt:Sbal678_1237
ko:K02529	sbt:Sbal678_1244
ko:K02429	sbt:Sbal678_1247
ko:K00847	sbt:Sbal678_1249
ko:K03406	sbt:Sbal678_1250
ko:K03086	sbt:Sbal678_1251
ko:K13038	sbt:Sbal678_0395
ko:K09117	sbt:Sbal678_1253
ko:K03177	sbt:Sbal678_3430
ko:K02834	sbt:Sbal678_3431
ko:K06145	sbt:Sbal678_4210
ko:K07136	sbt:Sbal678_4212
ko:K03704	sbt:Sbal678_2590
ko:K00031	sbt:Sbal678_2591
ko:K06181	sbt:Sbal678_2592
ko:K12152	sbt:Sbal678_2593
ko:K00566	sbt:Sbal678_2594
ko:K07056	sbt:Sbal678_4220
ko:K07121	sbt:Sbal678_4221
ko:K07153	sbt:Sbal678_2595
ko:K07460	sbt:Sbal678_4222
ko:K12961	sbt:Sbal678_4223
ko:K01756	sbt:Sbal678_2596
ko:K00263	sbt:Sbal678_2599
ko:K09986	sbt:Sbal678_2602
ko:K01867	sbt:Sbal678_4227
ko:K01091	sbt:Sbal678_4228
ko:K09773	sbt:Sbal678_2605
ko:K01626	sbt:Sbal678_2606
ko:K13634	sbt:Sbal678_2610
ko:K03168	sbt:Sbal678_2612
ko:K01783	sbt:Sbal678_4229
ko:K01484	sbt:Sbal678_2613
ko:K07660	sbt:Sbal678_2617
ko:K07637	sbt:Sbal678_2618
ko:K02837	sbt:Sbal678_3378
ko:K15342	sbt:Sbal678_3384
ko:K03112	sbt:Sbal678_4233
ko:K01735	sbt:Sbal678_4234
ko:K07154	sbt:Sbal678_3390
ko:K07729	sbt:Sbal678_3409
ko:K05803	sbt:Sbal678_3425
ko:K00962	sbt:Sbal678_3427
ko:K00891	sbt:Sbal678_4235
ko:K02956	sbt:Sbal678_3429
ko:K02666	sbt:Sbal678_4236
ko:K02665	sbt:Sbal678_4237
ko:K02662	sbt:Sbal678_4240
ko:K05366	sbt:Sbal678_4241
ko:K01755	sbt:Sbal678_4242
ko:K01940	sbt:Sbal678_4243
ko:K00611	sbt:Sbal678_4244
ko:K04755	sbt:Sbal678_2498
ko:K04044	sbt:Sbal678_2499
ko:K09808	sbt:Sbal678_2508
ko:K09808	sbt:Sbal678_2510
ko:K03723	sbt:Sbal678_2512
ko:K01512	sbt:Sbal678_2514
ko:K03563	sbt:Sbal678_3272
ko:K00928	sbt:Sbal678_3273
ko:K01872	sbt:Sbal678_3274
ko:K03565	sbt:Sbal678_3275
ko:K03555	sbt:Sbal678_3277
ko:K03087	sbt:Sbal678_3278
ko:K06194	sbt:Sbal678_3279
ko:K00573	sbt:Sbal678_3280
ko:K03787	sbt:Sbal678_3281
ko:K06176	sbt:Sbal678_3282
