ko:K01006	pacc:PAC1_10445
ko:K02355	pacc:PAC1_09600
ko:K02992	pacc:PAC1_09605
ko:K02950	pacc:PAC1_09610
ko:K03046	pacc:PAC1_09630
ko:K03043	pacc:PAC1_09635
ko:K02935	pacc:PAC1_09640
ko:K02864	pacc:PAC1_09645
ko:K02863	pacc:PAC1_09650
ko:K02867	pacc:PAC1_09655
ko:K00981	pacc:PAC1_07985
ko:K02838	pacc:PAC1_07990
ko:K09903	pacc:PAC1_07995
ko:K02357	pacc:PAC1_08000
ko:K02967	pacc:PAC1_08005
ko:K03733	pacc:PAC1_08010
ko:K01462	pacc:PAC1_08025
ko:K14347	pacc:PAC1_08035
ko:K02013	pacc:PAC1_08050
ko:K00208	pacc:PAC1_08060
ko:K00563	pacc:PAC1_08080
ko:K11717	pacc:PAC1_08120
ko:K09013	pacc:PAC1_08125
ko:K09015	pacc:PAC1_08135
ko:K09014	pacc:PAC1_08140
ko:K15987	pacc:PAC1_08170
ko:K02259	pacc:PAC1_08185
ko:K00036	pacc:PAC1_08205
ko:K01057	pacc:PAC1_08215
ko:K01873	pacc:PAC1_08240
ko:K03544	pacc:PAC1_08260
ko:K02601	pacc:PAC1_09660
ko:K00075	pacc:PAC1_09675
ko:K02913	pacc:PAC1_09690
ko:K01142	pacc:PAC1_09695
ko:K00338	pacc:PAC1_09710
ko:K00332	pacc:PAC1_09715
ko:K00174	pacc:PAC1_09725
ko:K00175	pacc:PAC1_09730
ko:K01644	pacc:PAC1_09810
ko:K00343	pacc:PAC1_09825
ko:K00342	pacc:PAC1_09830
ko:K00341	pacc:PAC1_09835
ko:K01358	pacc:PAC1_08265
ko:K01358	pacc:PAC1_08270
ko:K03545	pacc:PAC1_08280
ko:K04567	pacc:PAC1_08330
ko:K01808	pacc:PAC1_08355
ko:K01972	pacc:PAC1_08365
ko:K01256	pacc:PAC1_08375
ko:K07107	pacc:PAC1_08400
ko:K13288	pacc:PAC1_08460
ko:K11737	pacc:PAC1_08470
ko:K01207	pacc:PAC1_08480
ko:K14161	pacc:PAC1_08505
ko:K02435	pacc:PAC1_05875
ko:K02434	pacc:PAC1_05885
ko:K01609	pacc:PAC1_05915
ko:K01696	pacc:PAC1_05920
ko:K01695	pacc:PAC1_05925
ko:K00266	pacc:PAC1_05940
ko:K07106	pacc:PAC1_05970
ko:K01223	pacc:PAC1_05995
ko:K02760	pacc:PAC1_06000
ko:K02761	pacc:PAC1_06005
ko:K02759	pacc:PAC1_06010
ko:K02337	pacc:PAC1_06015
ko:K00013	pacc:PAC1_06025
ko:K00817	pacc:PAC1_06030
ko:K01693	pacc:PAC1_06035
ko:K02501	pacc:PAC1_06040
ko:K01159	pacc:PAC1_06055
ko:K03550	pacc:PAC1_06060
ko:K03551	pacc:PAC1_06065
ko:K03210	pacc:PAC1_06070
ko:K03072	pacc:PAC1_06075
ko:K03074	pacc:PAC1_06080
ko:K00759	pacc:PAC1_06085
ko:K10716	pacc:PAC1_06090
ko:K01892	pacc:PAC1_06110
ko:K01876	pacc:PAC1_06140
ko:K00340	pacc:PAC1_09840
ko:K00339	pacc:PAC1_09845
ko:K00338	pacc:PAC1_09850
ko:K00337	pacc:PAC1_09855
ko:K00334	pacc:PAC1_09870
ko:K00333	pacc:PAC1_09875
ko:K00332	pacc:PAC1_09880
ko:K00331	pacc:PAC1_09885
ko:K00330	pacc:PAC1_09890
ko:K03183	pacc:PAC1_09920
ko:K02548	pacc:PAC1_09950
ko:K05878	pacc:PAC1_09960
ko:K05879	pacc:PAC1_09965
ko:K05881	pacc:PAC1_09970
ko:K01933	pacc:PAC1_10065
ko:K00764	pacc:PAC1_10070
ko:K07089	pacc:PAC1_10920
ko:K03980	pacc:PAC1_10930
ko:K00928	pacc:PAC1_10935
ko:K05520	pacc:PAC1_10950
ko:K02909	pacc:PAC1_10980
ko:K02902	pacc:PAC1_10985
ko:K02913	pacc:PAC1_10990
ko:K02954	pacc:PAC1_10995
ko:K02911	pacc:PAC1_11000
ko:K01207	pacc:PAC1_11010
ko:K01712	pacc:PAC1_11015
ko:K01468	pacc:PAC1_11030
ko:K01745	pacc:PAC1_11040
ko:K12410	pacc:PAC1_11055
ko:K00761	pacc:PAC1_11115
ko:K03549	pacc:PAC1_11135
ko:K00849	pacc:PAC1_11160
ko:K07478	pacc:PAC1_06145
ko:K01872	pacc:PAC1_06155
ko:K07447	pacc:PAC1_06160
ko:K07082	pacc:PAC1_06165
ko:K00014	pacc:PAC1_06170
ko:K01736	pacc:PAC1_06175
ko:K00891	pacc:PAC1_06180
ko:K01735	pacc:PAC1_06185
ko:K07282	pacc:PAC1_06190
ko:K02356	pacc:PAC1_06205
ko:K03625	pacc:PAC1_06210
ko:K00942	pacc:PAC1_06220
ko:K03060	pacc:PAC1_06225
ko:K13038	pacc:PAC1_06230
ko:K00789	pacc:PAC1_06235
ko:K04066	pacc:PAC1_06240
ko:K00604	pacc:PAC1_06245
ko:K03500	pacc:PAC1_06250
ko:K01783	pacc:PAC1_06265
ko:K01421	pacc:PAC1_06285
ko:K03433	pacc:PAC1_06300
ko:K03432	pacc:PAC1_06305
ko:K00945	pacc:PAC1_06315
ko:K03977	pacc:PAC1_06320
ko:K02429	pacc:PAC1_06335
ko:K03820	pacc:PAC1_06375
ko:K01126	pacc:PAC1_06390
ko:K00868	pacc:PAC1_06395
ko:K00790	pacc:PAC1_06400
ko:K00382	pacc:PAC1_06405
ko:K16264	pacc:PAC1_06410
ko:K04561	pacc:PAC1_10095
ko:K13950	pacc:PAC1_10100
ko:K01952	pacc:PAC1_10105
ko:K01256	pacc:PAC1_10115
ko:K01952	pacc:PAC1_10150
ko:K01923	pacc:PAC1_10155
ko:K03387	pacc:PAC1_10165
ko:K04761	pacc:PAC1_10170
ko:K01756	pacc:PAC1_10175
ko:K01945	pacc:PAC1_10180
ko:K01939	pacc:PAC1_10185
ko:K03564	pacc:PAC1_08540
ko:K02346	pacc:PAC1_08590
ko:K00989	pacc:PAC1_08610
ko:K01776	pacc:PAC1_08615
ko:K04758	pacc:PAC1_08620
ko:K04759	pacc:PAC1_08625
ko:K06891	pacc:PAC1_08645
ko:K00763	pacc:PAC1_08650
ko:K03530	pacc:PAC1_08655
ko:K00705	pacc:PAC1_08660
ko:K03786	pacc:PAC1_08675
ko:K09791	pacc:PAC1_08690
ko:K01588	pacc:PAC1_08750
ko:K01589	pacc:PAC1_08755
ko:K03524	pacc:PAC1_08770
ko:K01714	pacc:PAC1_10205
ko:K03290	pacc:PAC1_10215
ko:K06207	pacc:PAC1_10225
ko:K01624	pacc:PAC1_10265
ko:K03975	pacc:PAC1_10280
ko:K09858	pacc:PAC1_10300
ko:K03695	pacc:PAC1_10310
ko:K03311	pacc:PAC1_10315
ko:K01623	pacc:PAC1_10325
ko:K03322	pacc:PAC1_10335
ko:K15371	pacc:PAC1_06960
ko:K03070	pacc:PAC1_06975
ko:K07735	pacc:PAC1_07020
ko:K01755	pacc:PAC1_07070
ko:K00930	pacc:PAC1_07080
ko:K00620	pacc:PAC1_07085
ko:K00145	pacc:PAC1_07090
ko:K03664	pacc:PAC1_07095
ko:K09811	pacc:PAC1_07100
ko:K09812	pacc:PAC1_07105
ko:K02836	pacc:PAC1_07110
ko:K03466	pacc:PAC1_07120
ko:K00946	pacc:PAC1_07130
ko:K01921	pacc:PAC1_07140
ko:K01704	pacc:PAC1_07150
ko:K01703	pacc:PAC1_07155
ko:K01703	pacc:PAC1_07160
ko:K00826	pacc:PAC1_07185
ko:K00052	pacc:PAC1_07200
ko:K01940	pacc:PAC1_11195
ko:K00313	pacc:PAC1_11275
ko:K00895	pacc:PAC1_05705
ko:K15772	pacc:PAC1_08160
ko:K07654	pacc:PAC1_06995
ko:K07654	pacc:PAC1_07010
ko:K07670	pacc:PAC1_07015
ko:K07052	pacc:PAC1_07170
ko:K00758	pacc:PAC1_07180
ko:K03855	pacc:PAC1_11270
ko:K03499	pacc:PAC1_05545
ko:K01192	pacc:PAC1_05420
ko:K06902	pacc:PAC1_05480
ko:K10112	pacc:PAC1_02005
ko:K03727	pacc:PAC1_07235
ko:K13573	pacc:PAC1_07255
ko:K01885	pacc:PAC1_07265
ko:K04763	pacc:PAC1_07290
ko:K01515	pacc:PAC1_07295
ko:K01523	pacc:PAC1_07435
ko:K02619	pacc:PAC1_11525
ko:K01488	pacc:PAC1_11595
ko:K01679	pacc:PAC1_11685
ko:K02025	pacc:PAC1_11695
ko:K03499	pacc:PAC1_05550
ko:K07305	pacc:PAC1_05585
ko:K14335	pacc:PAC1_09350
ko:K00939	pacc:PAC1_09400
ko:K02035	pacc:PAC1_09425
ko:K01885	pacc:PAC1_09555
ko:K01119	pacc:PAC1_09565
ko:K00567	pacc:PAC1_07485
ko:K00241	pacc:PAC1_07540
ko:K10563	pacc:PAC1_07610
ko:K02025	pacc:PAC1_07635
ko:K01191	pacc:PAC1_07650
ko:K02033	pacc:PAC1_07665
ko:K02035	pacc:PAC1_07690
ko:K00970	pacc:PAC1_11730
ko:K08372	pacc:PAC1_11760
ko:K01209	pacc:PAC1_11765
ko:K06177	pacc:PAC1_11775
ko:K00853	pacc:PAC1_11835
ko:K06346	pacc:PAC1_11995
ko:K01243	pacc:PAC1_05720
ko:K03768	pacc:PAC1_05765
ko:K07503	pacc:PAC1_05775
ko:K01835	pacc:PAC1_05790
ko:K02755	pacc:PAC1_05810
ko:K02756	pacc:PAC1_05810
ko:K02757	pacc:PAC1_05810
ko:K00700	pacc:PAC1_05820
ko:K01692	pacc:PAC1_09700
ko:K07386	pacc:PAC1_09760
ko:K02228	pacc:PAC1_09815
ko:K00805	pacc:PAC1_09820
ko:K03177	pacc:PAC1_07790
ko:K02783	pacc:PAC1_07815
ko:K02782	pacc:PAC1_07820
ko:K02783	pacc:PAC1_07820
ko:K06976	pacc:PAC1_07925
ko:K02433	pacc:PAC1_05880
ko:K01496	pacc:PAC1_05895
ko:K01814	pacc:PAC1_06045
ko:K01817	pacc:PAC1_06045
ko:K02552	pacc:PAC1_09905
ko:K06147	pacc:PAC1_09935
ko:K02004	pacc:PAC1_09940
ko:K00016	pacc:PAC1_09985
ko:K02566	pacc:PAC1_09995
ko:K02025	pacc:PAC1_10020
ko:K15770	pacc:PAC1_08150
ko:K00059	pacc:PAC1_08065
ko:K02348	pacc:PAC1_08095
ko:K10797	pacc:PAC1_08105
ko:K04488	pacc:PAC1_08115
ko:K08676	pacc:PAC1_08250
ko:K07442	pacc:PAC1_06275
ko:K04517	pacc:PAC1_06310
ko:K00852	pacc:PAC1_06325
ko:K01619	pacc:PAC1_06340
ko:K00721	pacc:PAC1_06380
ko:K03386	pacc:PAC1_10160
ko:K01788	pacc:PAC1_10200
ko:K03776	pacc:PAC1_10255
ko:K00033	pacc:PAC1_08385
ko:K14162	pacc:PAC1_08495
ko:K07009	pacc:PAC1_08515
ko:K02025	pacc:PAC1_08525
ko:K02428	pacc:PAC1_08605
ko:K01966	pacc:PAC1_08780
ko:K05602	pacc:PAC1_06635
ko:K00058	pacc:PAC1_06640
ko:K02033	pacc:PAC1_06660
ko:K02035	pacc:PAC1_06665
ko:K02004	pacc:PAC1_10355
ko:K13640	pacc:PAC1_10385
ko:K01619	pacc:PAC1_10430
ko:K09992	pacc:PAC1_10435
ko:K00564	pacc:PAC1_10455
ko:K06147	pacc:PAC1_10545
ko:K06147	pacc:PAC1_10550
ko:K01081	pacc:PAC1_10615
ko:K01259	pacc:PAC1_04915
ko:K03711	pacc:PAC1_04995
ko:K00241	pacc:PAC1_05010
ko:K11263	pacc:PAC1_08845
ko:K03783	pacc:PAC1_08860
ko:K03469	pacc:PAC1_08895
ko:K01489	pacc:PAC1_08900
ko:K02056	pacc:PAC1_08915
ko:K03699	pacc:PAC1_08930
ko:K10202	pacc:PAC1_00440
ko:K07177	pacc:PAC1_06860
ko:K01104	pacc:PAC1_10710
ko:K07669	pacc:PAC1_10720
ko:K07653	pacc:PAC1_10725
ko:K01823	pacc:PAC1_10740
ko:K06221	pacc:PAC1_10830
ko:K06910	pacc:PAC1_10880
ko:K11105	pacc:PAC1_11090
ko:K03307	pacc:PAC1_11165
ko:K07114	pacc:PAC1_05150
ko:K07114	pacc:PAC1_05155
ko:K02823	pacc:PAC1_05260
ko:K03743	pacc:PAC1_05295
ko:K00088	pacc:PAC1_09085
ko:K00088	pacc:PAC1_09090
ko:K01409	pacc:PAC1_09160
ko:K12583	pacc:PAC1_09200
ko:K00867	pacc:PAC1_09235
ko:K00059	pacc:PAC1_09310
ko:K10242	pacc:PAC1_00275
ko:K10241	pacc:PAC1_00280
ko:K10240	pacc:PAC1_00285
ko:K16783	pacc:PAC1_07340
ko:K16784	pacc:PAC1_07345
ko:K02778	pacc:PAC1_01540
ko:K02779	pacc:PAC1_01540
ko:K02075	pacc:PAC1_03205
ko:K10201	pacc:PAC1_00435
ko:K02851	pacc:PAC1_06525
ko:K02031	pacc:PAC1_06650
ko:K14233	pacc:PAC1_t12110
ko:K14235	pacc:PAC1_t12082
ko:K06016	pacc:PAC1_11020
ko:K02006	pacc:PAC1_02205
ko:K02008	pacc:PAC1_02200
ko:K01977	pacc:PAC1_r12118
ko:K01977	pacc:PAC1_r12120
ko:K01977	pacc:PAC1_r12122
ko:K16785	pacc:PAC1_09295
ko:K16786	pacc:PAC1_09300
ko:K16787	pacc:PAC1_09300
ko:K02768	pacc:PAC1_11395
ko:K02769	pacc:PAC1_11395
ko:K02770	pacc:PAC1_11395
ko:K16370	pacc:PAC1_00775
ko:K01190	pacc:PAC1_08745
ko:K11991	pacc:PAC1_11105
ko:K01834	pacc:PAC1_01865
ko:K01834	pacc:PAC1_04340
ko:K08316	pacc:PAC1_07715
ko:K00265	pacc:PAC1_05935
ko:K00951	pacc:PAC1_06095
ko:K00040	pacc:PAC1_11880
ko:K02303	pacc:PAC1_02230
ko:K14228	pacc:PAC1_t12080
ko:K16925	pacc:PAC1_00835
ko:K16927	pacc:PAC1_09305
ko:K16785	pacc:PAC1_00840
ko:K16786	pacc:PAC1_00840
ko:K16787	pacc:PAC1_00840
ko:K01985	pacc:PAC1_r12112
ko:K01985	pacc:PAC1_r12114
ko:K01985	pacc:PAC1_r12116
ko:K00096	pacc:PAC1_07835
ko:K14234	pacc:PAC1_t12028
ko:K07308	pacc:PAC1_02660
ko:K17317	pacc:PAC1_10040
ko:K14234	pacc:PAC1_t12030
ko:K17316	pacc:PAC1_10045
ko:K10947	pacc:PAC1_08420
ko:K14229	pacc:PAC1_t12078
ko:K01992	pacc:PAC1_02100
ko:K01992	pacc:PAC1_08180
ko:K01992	pacc:PAC1_11240
ko:K15581	pacc:PAC1_10960
ko:K17315	pacc:PAC1_10050
ko:K14220	pacc:PAC1_t12044
ko:K01990	pacc:PAC1_09320
ko:K01992	pacc:PAC1_09315
ko:K14226	pacc:PAC1_t12076
ko:K14223	pacc:PAC1_t12066
ko:K14228	pacc:PAC1_t12068
ko:K01990	pacc:PAC1_04900
ko:K01990	pacc:PAC1_09790
ko:K00096	pacc:PAC1_11840
ko:K05342	pacc:PAC1_05805
ko:K15583	pacc:PAC1_10970
ko:K02028	pacc:PAC1_03125
ko:K03457	pacc:PAC1_11265
ko:K03574	pacc:PAC1_09155
ko:K01897	pacc:PAC1_11400
ko:K01897	pacc:PAC1_08405
ko:K14225	pacc:PAC1_t12098
ko:K01980	pacc:PAC1_r12124
ko:K01980	pacc:PAC1_r12128
ko:K01992	pacc:PAC1_04905
ko:K14228	pacc:PAC1_t12038
ko:K15580	pacc:PAC1_10955
ko:K14228	pacc:PAC1_t12040
ko:K14225	pacc:PAC1_t12052
ko:K03416	pacc:PAC1_10250
ko:K17489	pacc:PAC1_10245
ko:K02027	pacc:PAC1_11700
ko:K02027	pacc:PAC1_10030
ko:K17490	pacc:PAC1_10235
ko:K14218	pacc:PAC1_t12024
ko:K14218	pacc:PAC1_t12034
ko:K14218	pacc:PAC1_t12042
ko:K14230	pacc:PAC1_t12046
ko:K14230	pacc:PAC1_t12060
ko:K14224	pacc:PAC1_t12064
ko:K03671	pacc:PAC1_02500
ko:K17489	pacc:PAC1_10240
ko:K14233	pacc:PAC1_t12026
ko:K14237	pacc:PAC1_t12062
ko:K14222	pacc:PAC1_t12050
ko:K02026	pacc:PAC1_11690
ko:K17686	pacc:PAC1_11430
ko:K15923	pacc:PAC1_00455
ko:K14227	pacc:PAC1_t12022
ko:K14219	pacc:PAC1_t12032
ko:K14219	pacc:PAC1_t12058
ko:K14219	pacc:PAC1_t12074
ko:K14223	pacc:PAC1_t12036
ko:K14230	pacc:PAC1_t12084
ko:K14237	pacc:PAC1_t12048
ko:K14237	pacc:PAC1_t12054
ko:K14232	pacc:PAC1_t12056
ko:K14232	pacc:PAC1_t12072
ko:K14232	pacc:PAC1_t12102
ko:K14224	pacc:PAC1_t12092
ko:K14225	pacc:PAC1_t12070
ko:K14234	pacc:PAC1_t12086
ko:K14236	pacc:PAC1_t12088
ko:K14229	pacc:PAC1_t12090
ko:K14221	pacc:PAC1_t12094
ko:K14231	pacc:PAC1_t12096
ko:K14228	pacc:PAC1_t12100
ko:K14233	pacc:PAC1_t12104
ko:K14233	pacc:PAC1_t12108
ko:K14219	pacc:PAC1_t12106
ko:K17686	pacc:PAC1_03585
ko:K00226	pacc:PAC1_00855
ko:K03292	pacc:PAC1_11895
ko:K00971	pacc:PAC1_08725
ko:K02026	pacc:PAC1_02040
ko:K02026	pacc:PAC1_03160
ko:K01840	pacc:PAC1_08865
ko:K02768	pacc:PAC1_11390
ko:K02026	pacc:PAC1_07640
ko:K02026	pacc:PAC1_08530
ko:K14337	pacc:PAC1_09705
ko:K02026	pacc:PAC1_10025
ko:K03767	pacc:PAC1_03735
ko:K12574	pacc:PAC1_07735
ko:K01267	pacc:PAC1_02980
ko:K02021	pacc:PAC1_00510
ko:K08485	pacc:PAC1_07830
ko:K17828	pacc:PAC1_05265
ko:K02027	pacc:PAC1_07630
ko:K01187	pacc:PAC1_11915
ko:K01187	pacc:PAC1_08390
ko:K02027	pacc:PAC1_08520
ko:K08221	pacc:PAC1_06445
ko:K06148	pacc:PAC1_00505
ko:K17883	pacc:PAC1_01715
ko:K02809	pacc:PAC1_05975
ko:K02810	pacc:PAC1_05975
ko:K17898	pacc:PAC1_11630
ko:K17899	pacc:PAC1_11625
ko:K01906	pacc:PAC1_09540
ko:K00652	pacc:PAC1_09540
ko:K21469	pacc:PAC1_05950
ko:K13572	pacc:PAC1_07260
ko:K03719	pacc:PAC1_06370
ko:K18230	pacc:PAC1_00640
ko:K18118	pacc:PAC1_10470
ko:K02003	pacc:PAC1_04280
ko:K01788	pacc:PAC1_01545
ko:K09005	pacc:PAC1_03855
ko:K07173	pacc:PAC1_02275
ko:K03402	pacc:PAC1_03040
ko:K01895	pacc:PAC1_04800
ko:K01895	pacc:PAC1_04805
ko:K00052	pacc:PAC1_07190
ko:K10038	pacc:PAC1_09770
ko:K02003	pacc:PAC1_09945
ko:K02002	pacc:PAC1_10295
ko:K01791	pacc:PAC1_00800
ko:K03574	pacc:PAC1_01760
ko:K09820	pacc:PAC1_07915
ko:K08300	pacc:PAC1_04420
ko:K08301	pacc:PAC1_04420
ko:K18955	pacc:PAC1_06595
ko:K06147	pacc:PAC1_00950
ko:K18929	pacc:PAC1_00895
ko:K18928	pacc:PAC1_00890
ko:K03496	pacc:PAC1_03845
ko:K03111	pacc:PAC1_11375
ko:K03496	pacc:PAC1_07285
ko:K03497	pacc:PAC1_11955
ko:K03496	pacc:PAC1_11960
ko:K03111	pacc:PAC1_08435
ko:K03496	pacc:PAC1_06695
ko:K03761	pacc:PAC1_10770
ko:K00335	pacc:PAC1_09865
ko:K05991	pacc:PAC1_10690
ko:K03976	pacc:PAC1_11530
ko:K00336	pacc:PAC1_09860
ko:K02483	pacc:PAC1_10420
ko:K05991	pacc:PAC1_03350
ko:K03526	pacc:PAC1_07930
ko:K19221	pacc:PAC1_02220
ko:K01167	pacc:PAC1_03795
ko:K00798	pacc:PAC1_06465
ko:K02777	pacc:PAC1_01535
ko:K02802	pacc:PAC1_03525
ko:K09951	pacc:PAC1_11050
ko:K19265	pacc:PAC1_05230
ko:K03722	pacc:PAC1_05365
ko:K02804	pacc:PAC1_03505
ko:K01785	pacc:PAC1_05330
ko:K01990	pacc:PAC1_10580
ko:K21400	pacc:PAC1_11620
ko:K11045	pacc:PAC1_07025
ko:K11045	pacc:PAC1_06260
ko:K11045	pacc:PAC1_06425
ko:K08744	pacc:PAC1_05650
ko:K11045	pacc:PAC1_10700
ko:K11045	pacc:PAC1_03570
ko:K09819	pacc:PAC1_07920
ko:K19710	pacc:PAC1_05640
ko:K07119	pacc:PAC1_02090
ko:K05346	pacc:PAC1_06345
ko:K12132	pacc:PAC1_00980
ko:K20074	pacc:PAC1_00995
ko:K20265	pacc:PAC1_00940
ko:K12132	pacc:PAC1_03790
ko:K02803	pacc:PAC1_03515
ko:K02803	pacc:PAC1_03520
ko:K00525	pacc:PAC1_05385
ko:K00526	pacc:PAC1_10780
ko:K20370	pacc:PAC1_11925
ko:K02081	pacc:PAC1_05305
ko:K02438	pacc:PAC1_05840
ko:K21029	pacc:PAC1_02680
ko:K21071	pacc:PAC1_00465
ko:K00821	pacc:PAC1_07075
ko:K07451	pacc:PAC1_07045
ko:K02314	pacc:PAC1_11445
ko:K00287	pacc:PAC1_08595
ko:K00560	pacc:PAC1_08600
ko:K06217	pacc:PAC1_04930
ko:K02316	pacc:PAC1_05045
ko:K03553	pacc:PAC1_05315
ko:K00857	pacc:PAC1_05505
ko:K01520	pacc:PAC1_05530
ko:K01493	pacc:PAC1_09975
ko:K21636	pacc:PAC1_10875
ko:K00525	pacc:PAC1_10775
ko:K02335	pacc:PAC1_04170
ko:K04068	pacc:PAC1_10870
ko:K02032	pacc:PAC1_06645
ko:K05710	pacc:PAC1_08130
ko:K01802	pacc:PAC1_11005
ko:K05364	pacc:PAC1_00985
ko:K03293	pacc:PAC1_05605
ko:K07005	pacc:PAC1_07720
ko:K03293	pacc:PAC1_10365
ko:K03293	pacc:PAC1_11495
ko:K03636	pacc:PAC1_02575
ko:K21399	pacc:PAC1_11615
ko:K21401	pacc:PAC1_09895
ko:K21471	pacc:PAC1_03750
ko:K21600	pacc:PAC1_11440
ko:K21672	pacc:PAC1_11610
ko:K21739	pacc:PAC1_10125
ko:K10914	pacc:PAC1_01205
ko:K21929	pacc:PAC1_06460
ko:K21885	pacc:PAC1_03940
ko:K21949	pacc:PAC1_06770
ko:K00936	pacc:PAC1_06600
ko:K22010	pacc:PAC1_04160
ko:K22044	pacc:PAC1_11715
ko:K00015	pacc:PAC1_11480
ko:K03595	pacc:PAC1_04945
ko:K03892	pacc:PAC1_03900
ko:K03077	pacc:PAC1_04670
ko:K03077	pacc:PAC1_11865
ko:K01046	pacc:PAC1_10675
ko:K14441	pacc:PAC1_05285
ko:K17758	pacc:PAC1_09205
ko:K17759	pacc:PAC1_09205
ko:K02257	pacc:PAC1_08200
ko:K22306	pacc:PAC1_04480
ko:K00728	pacc:PAC1_02710
ko:K22468	pacc:PAC1_06200
ko:K07566	pacc:PAC1_06530
