ko:K16238	kpk:A593_15915
ko:K01476	kpk:A593_19770
ko:K12972	kpk:A593_19780
ko:K04477	kpk:A593_19785
ko:K11941	kpk:A593_19810
ko:K03670	kpk:A593_19815
ko:K03669	kpk:A593_19820
ko:K12147	kpk:A593_19830
ko:K08161	kpk:A593_19835
ko:K02517	kpk:A593_19840
ko:K07146	kpk:A593_19845
ko:K02846	kpk:A593_19855
ko:K12148	kpk:A593_19860
ko:K12149	kpk:A593_19865
ko:K01465	kpk:A593_19870
ko:K08162	kpk:A593_19880
ko:K03790	kpk:A593_19885
ko:K09915	kpk:A593_19890
ko:K03810	kpk:A593_19895
ko:K03980	kpk:A593_19900
ko:K08300	kpk:A593_19915
ko:K06179	kpk:A593_19920
ko:K07040	kpk:A593_19930
ko:K02911	kpk:A593_19935
ko:K03621	kpk:A593_19940
ko:K00648	kpk:A593_19945
ko:K00645	kpk:A593_19950
ko:K00059	kpk:A593_19955
ko:K02078	kpk:A593_19960
ko:K09458	kpk:A593_19965
ko:K02619	kpk:A593_19970
ko:K07082	kpk:A593_19975
ko:K00943	kpk:A593_19980
ko:K02341	kpk:A593_19985
ko:K03424	kpk:A593_19990
ko:K02778	kpk:A593_19995
ko:K02779	kpk:A593_19995
ko:K02503	kpk:A593_20000
ko:K08350	kpk:A593_24185
ko:K08349	kpk:A593_24190
ko:K05783	kpk:A593_24210
ko:K05784	kpk:A593_24215
ko:K05550	kpk:A593_24220
ko:K05549	kpk:A593_24225
ko:K03381	kpk:A593_24230
ko:K03464	kpk:A593_24235
ko:K02624	kpk:A593_24245
ko:K08167	kpk:A593_24250
ko:K02011	kpk:A593_24265
ko:K02012	kpk:A593_24270
ko:K02010	kpk:A593_24275
ko:K02855	kpk:A593_24285
ko:K16077	kpk:A593_24305
ko:K01821	kpk:A593_24310
ko:K11208	kpk:A593_24315
ko:K06145	kpk:A593_24320
ko:K03535	kpk:A593_24330
ko:K02030	kpk:A593_24335
ko:K02028	kpk:A593_24340
ko:K02029	kpk:A593_24345
ko:K02030	kpk:A593_24355
ko:K01778	kpk:A593_24385
ko:K11738	kpk:A593_24395
ko:K02014	kpk:A593_24410
ko:K01250	kpk:A593_24420
ko:K03823	kpk:A593_24435
ko:K09936	kpk:A593_24440
ko:K06074	kpk:A593_00400
ko:K00432	kpk:A593_00405
ko:K02073	kpk:A593_00410
ko:K06073	kpk:A593_00415
ko:K00285	kpk:A593_00430
ko:K04764	kpk:A593_00440
ko:K01890	kpk:A593_00445
ko:K01889	kpk:A593_00450
ko:K02887	kpk:A593_00455
ko:K07154	kpk:A593_02725
ko:K10541	kpk:A593_02735
ko:K10542	kpk:A593_02740
ko:K10540	kpk:A593_02745
ko:K02529	kpk:A593_02750
ko:K07148	kpk:A593_02755
ko:K01495	kpk:A593_02760
ko:K01070	kpk:A593_02765
ko:K16089	kpk:A593_02770
ko:K11733	kpk:A593_02775
ko:K01151	kpk:A593_02790
ko:K02769	kpk:A593_02795
ko:K02770	kpk:A593_02795
ko:K00882	kpk:A593_02800
ko:K02768	kpk:A593_02805
ko:K11183	kpk:A593_02805
ko:K03291	kpk:A593_02810
ko:K06940	kpk:A593_02830
ko:K02356	kpk:A593_02835
ko:K01686	kpk:A593_02840
ko:K13694	kpk:A593_02860
ko:K13893	kpk:A593_02870
ko:K13894	kpk:A593_02875
ko:K02916	kpk:A593_00460
ko:K02520	kpk:A593_00465
ko:K01868	kpk:A593_00470
ko:K07283	kpk:A593_00480
ko:K16370	kpk:A593_00485
ko:K03832	kpk:A593_00500
ko:K09780	kpk:A593_00505
ko:K05358	kpk:A593_00510
ko:K06131	kpk:A593_00525
ko:K09901	kpk:A593_00530
ko:K10716	kpk:A593_00535
ko:K10823	kpk:A593_00540
ko:K15583	kpk:A593_00545
ko:K15582	kpk:A593_00550
ko:K15581	kpk:A593_00555
ko:K15580	kpk:A593_00560
ko:K04072	kpk:A593_00570
ko:K00963	kpk:A593_00585
ko:K07001	kpk:A593_00595
ko:K09858	kpk:A593_00600
ko:K01433	kpk:A593_00605
ko:K03719	kpk:A593_00620
ko:K00374	kpk:A593_00630
ko:K00373	kpk:A593_00635
ko:K00371	kpk:A593_00640
ko:K00370	kpk:A593_00645
ko:K02575	kpk:A593_00650
ko:K07673	kpk:A593_00655
ko:K07684	kpk:A593_00660
ko:K00372	kpk:A593_00670
ko:K00362	kpk:A593_00675
ko:K15578	kpk:A593_00680
ko:K00998	kpk:A593_04770
ko:K05811	kpk:A593_04775
ko:K03695	kpk:A593_04785
ko:K05810	kpk:A593_04790
ko:K06180	kpk:A593_04795
ko:K05807	kpk:A593_04800
ko:K05809	kpk:A593_04805
ko:K14170	kpk:A593_04810
ko:K14187	kpk:A593_04820
ko:K01626	kpk:A593_04825
ko:K02884	kpk:A593_04855
ko:K00554	kpk:A593_04860
ko:K02860	kpk:A593_04865
ko:K02959	kpk:A593_04870
ko:K03106	kpk:A593_04875
ko:K03687	kpk:A593_04890
ko:K00858	kpk:A593_04895
ko:K03631	kpk:A593_04900
ko:K06186	kpk:A593_04905
ko:K09801	kpk:A593_04910
ko:K03664	kpk:A593_04920
ko:K05804	kpk:A593_05010
ko:K12255	kpk:A593_05040
ko:K02030	kpk:A593_05055
ko:K02028	kpk:A593_05060
ko:K02029	kpk:A593_05060
ko:K12972	kpk:A593_05070
ko:K01713	kpk:A593_05085
ko:K07345	kpk:A593_05095
ko:K07400	kpk:A593_09120
ko:K06155	kpk:A593_09125
ko:K00705	kpk:A593_09130
ko:K00688	kpk:A593_09135
ko:K03556	kpk:A593_09140
ko:K02444	kpk:A593_09145
ko:K02441	kpk:A593_09150
ko:K02439	kpk:A593_09155
ko:K00111	kpk:A593_09160
ko:K00688	kpk:A593_09175
ko:K00703	kpk:A593_09180
ko:K00975	kpk:A593_09185
ko:K00700	kpk:A593_09195
ko:K00133	kpk:A593_09200
ko:K06156	kpk:A593_09205
ko:K00851	kpk:A593_09210
ko:K06145	kpk:A593_09215
ko:K06911	kpk:A593_09220
ko:K03825	kpk:A593_09235
ko:K00681	kpk:A593_09240
ko:K01126	kpk:A593_09250
ko:K05816	kpk:A593_09255
ko:K05815	kpk:A593_09260
ko:K05814	kpk:A593_09265
ko:K05813	kpk:A593_09270
ko:K07341	kpk:A593_09275
ko:K01996	kpk:A593_09285
ko:K01995	kpk:A593_09290
ko:K01998	kpk:A593_09295
ko:K01997	kpk:A593_09300
ko:K01999	kpk:A593_09305
ko:K01999	kpk:A593_09320
ko:K00823	kpk:A593_09330
ko:K00375	kpk:A593_09335
ko:K03089	kpk:A593_09340
ko:K09811	kpk:A593_09345
ko:K09812	kpk:A593_09350
ko:K03110	kpk:A593_09355
ko:K08316	kpk:A593_09360
ko:K08993	kpk:A593_09365
ko:K01873	kpk:A593_13365
ko:K02339	kpk:A593_13370
ko:K01255	kpk:A593_13375
ko:K07091	kpk:A593_13380
ko:K11720	kpk:A593_13385
ko:K06915	kpk:A593_13390
ko:K06606	kpk:A593_13395
ko:K00140	kpk:A593_13400
ko:K03337	kpk:A593_13405
ko:K03338	kpk:A593_13415
ko:K03336	kpk:A593_13420
ko:K00010	kpk:A593_13425
ko:K06605	kpk:A593_13430
ko:K03335	kpk:A593_13435
ko:K05813	kpk:A593_13440
ko:K05816	kpk:A593_13445
ko:K05815	kpk:A593_13455
ko:K05814	kpk:A593_13460
ko:K12957	kpk:A593_13465
ko:K01673	kpk:A593_13475
ko:K11903	kpk:A593_13560
ko:K07454	kpk:A593_13595
ko:K01198	kpk:A593_13605
ko:K03292	kpk:A593_13610
ko:K01805	kpk:A593_13615
ko:K02024	kpk:A593_13625
ko:K00574	kpk:A593_13650
ko:K09701	kpk:A593_13655
ko:K03098	kpk:A593_13680
ko:K03386	kpk:A593_17720
ko:K03387	kpk:A593_17725
ko:K11932	kpk:A593_17730
ko:K06140	kpk:A593_17735
ko:K01169	kpk:A593_17740
ko:K03326	kpk:A593_17745
ko:K03704	kpk:A593_17755
ko:K06199	kpk:A593_17760
ko:K03425	kpk:A593_17770
ko:K03644	kpk:A593_17775
ko:K03801	kpk:A593_17785
ko:K09158	kpk:A593_17790
ko:K07258	kpk:A593_17795
ko:K03642	kpk:A593_17800
ko:K05837	kpk:A593_17805
ko:K05515	kpk:A593_17810
ko:K00783	kpk:A593_17815
ko:K09710	kpk:A593_17820
ko:K02226	kpk:A593_17825
ko:K00969	kpk:A593_17830
ko:K02340	kpk:A593_17835
ko:K03643	kpk:A593_17840
ko:K01869	kpk:A593_17845
ko:K10004	kpk:A593_17865
ko:K10002	kpk:A593_17870
ko:K10003	kpk:A593_17875
ko:K10001	kpk:A593_17880
ko:K03820	kpk:A593_17885
ko:K06189	kpk:A593_17890
ko:K07042	kpk:A593_17895
ko:K06168	kpk:A593_17905
ko:K03184	kpk:A593_17910
ko:K01953	kpk:A593_17950
ko:K02566	kpk:A593_17955
ko:K02565	kpk:A593_17960
ko:K01443	kpk:A593_17965
ko:K02564	kpk:A593_17970
ko:K02802	kpk:A593_17975
ko:K02803	kpk:A593_17975
ko:K02804	kpk:A593_17975
ko:K01886	kpk:A593_17980
ko:K07112	kpk:A593_22080
ko:K08987	kpk:A593_22085
ko:K16074	kpk:A593_22100
ko:K16136	kpk:A593_22115
ko:K01809	kpk:A593_22125
ko:K01676	kpk:A593_22130
ko:K01679	kpk:A593_22135
ko:K07639	kpk:A593_22145
ko:K07661	kpk:A593_22160
ko:K13938	kpk:A593_22170
ko:K03758	kpk:A593_22175
ko:K00324	kpk:A593_22185
ko:K00325	kpk:A593_22190
ko:K14055	kpk:A593_22200
ko:K00567	kpk:A593_22210
ko:K12942	kpk:A593_22220
ko:K12941	kpk:A593_22225
ko:K14057	kpk:A593_22235
ko:K02624	kpk:A593_22245
ko:K01031	kpk:A593_22250
ko:K01032	kpk:A593_22255
ko:K01857	kpk:A593_22265
ko:K01055	kpk:A593_22270
ko:K01607	kpk:A593_22275
ko:K01676	kpk:A593_22285
ko:K11106	kpk:A593_22290
ko:K00244	kpk:A593_22295
ko:K03734	kpk:A593_22300
ko:K07703	kpk:A593_22305
ko:K07701	kpk:A593_22310
ko:K07106	kpk:A593_22315
ko:K00116	kpk:A593_22320
ko:K07552	kpk:A593_22325
ko:K13928	kpk:A593_22330
ko:K13935	kpk:A593_22335
ko:K13934	kpk:A593_22340
ko:K13936	kpk:A593_22345
ko:K13933	kpk:A593_22350
ko:K13932	kpk:A593_22355
ko:K13895	kpk:A593_02880
ko:K13896	kpk:A593_02885
ko:K07552	kpk:A593_02895
ko:K06183	kpk:A593_02900
ko:K02897	kpk:A593_02910
ko:K06899	kpk:A593_02935
ko:K09904	kpk:A593_02940
ko:K07014	kpk:A593_02945
ko:K00286	kpk:A593_02955
ko:K16959	kpk:A593_02970
ko:K16958	kpk:A593_02975
ko:K08276	kpk:A593_03000
ko:K00116	kpk:A593_03005
ko:K07150	kpk:A593_07100
ko:K01697	kpk:A593_07110
ko:K01758	kpk:A593_07115
ko:K01460	kpk:A593_07150
ko:K11209	kpk:A593_07160
ko:K01061	kpk:A593_07170
ko:K03559	kpk:A593_07180
ko:K03561	kpk:A593_07185
ko:K01760	kpk:A593_07195
ko:K08325	kpk:A593_07210
ko:K06221	kpk:A593_07215
ko:K00655	kpk:A593_07230
ko:K02621	kpk:A593_07235
ko:K13652	kpk:A593_07240
ko:K07666	kpk:A593_07250
ko:K07645	kpk:A593_07255
ko:K02622	kpk:A593_07270
ko:K07000	kpk:A593_07275
ko:K03651	kpk:A593_07280
ko:K09920	kpk:A593_07285
ko:K01515	kpk:A593_07290
ko:K07238	kpk:A593_07315
ko:K02858	kpk:A593_07320
ko:K09806	kpk:A593_07325
ko:K03272	kpk:A593_07335
ko:K00982	kpk:A593_07340
ko:K18446	kpk:A593_07345
ko:K07184	kpk:A593_07350
ko:K00974	kpk:A593_07355
ko:K06153	kpk:A593_07360
ko:K01633	kpk:A593_07370
ko:K08591	kpk:A593_07375
ko:K03190	kpk:A593_07380
ko:K01430	kpk:A593_07385
ko:K01429	kpk:A593_07390
ko:K01755	kpk:A593_11365
ko:K04761	kpk:A593_11370
ko:K00322	kpk:A593_11375
ko:K01776	kpk:A593_11405
ko:K09897	kpk:A593_11430
ko:K07391	kpk:A593_11435
ko:K01652	kpk:A593_11440
ko:K11258	kpk:A593_11445
ko:K00826	kpk:A593_11450
ko:K01687	kpk:A593_11455
ko:K01754	kpk:A593_11460
ko:K02521	kpk:A593_11465
ko:K00053	kpk:A593_11470
ko:K03769	kpk:A593_11475
ko:K03769	kpk:A593_11480
ko:K03656	kpk:A593_11485
ko:K07150	kpk:A593_11490
ko:K01524	kpk:A593_11505
ko:K03732	kpk:A593_11510
ko:K03671	kpk:A593_11515
ko:K03628	kpk:A593_11520
ko:K02851	kpk:A593_11525
ko:K05790	kpk:A593_11530
ko:K01791	kpk:A593_11535
ko:K02472	kpk:A593_11540
ko:K00973	kpk:A593_11550
ko:K16704	kpk:A593_11555
ko:K02805	kpk:A593_11560
ko:K16693	kpk:A593_11565
ko:K12582	kpk:A593_11570
ko:K02853	kpk:A593_11575
ko:K02852	kpk:A593_11580
ko:K02498	kpk:A593_11615
ko:K02496	kpk:A593_11620
ko:K01719	kpk:A593_11625
ko:K01749	kpk:A593_11630
ko:K06202	kpk:A593_11640
ko:K01778	kpk:A593_11650
ko:K09921	kpk:A593_11655
ko:K00135	kpk:A593_15685
ko:K15736	kpk:A593_15690
ko:K15737	kpk:A593_15695
ko:K09982	kpk:A593_15700
ko:K00382	kpk:A593_15720
ko:K00627	kpk:A593_15725
ko:K03556	kpk:A593_15740
ko:K00147	kpk:A593_15775
ko:K00931	kpk:A593_15780
ko:K11929	kpk:A593_15785
ko:K02042	kpk:A593_15805
ko:K02042	kpk:A593_15810
ko:K02044	kpk:A593_15815
ko:K02041	kpk:A593_15820
ko:K02029	kpk:A593_15855
ko:K02029	kpk:A593_15860
ko:K02028	kpk:A593_15865
ko:K02030	kpk:A593_15870
ko:K01996	kpk:A593_15880
ko:K01995	kpk:A593_15885
ko:K01998	kpk:A593_15890
ko:K01997	kpk:A593_15895
ko:K01999	kpk:A593_15900
ko:K03736	kpk:A593_15905
ko:K03735	kpk:A593_15910
ko:K16235	kpk:A593_15925
ko:K00547	kpk:A593_15930
ko:K15551	kpk:A593_15935
ko:K10831	kpk:A593_15940
ko:K15552	kpk:A593_15945
ko:K03119	kpk:A593_15950
ko:K07337	kpk:A593_20010
ko:K07251	kpk:A593_20015
ko:K01207	kpk:A593_20020
ko:K07000	kpk:A593_20025
ko:K03885	kpk:A593_20030
ko:K02014	kpk:A593_20040
ko:K12151	kpk:A593_20050
ko:K03723	kpk:A593_20060
ko:K09808	kpk:A593_20065
ko:K09810	kpk:A593_20070
ko:K09808	kpk:A593_20075
ko:K00884	kpk:A593_20080
ko:K12410	kpk:A593_20085
ko:K11069	kpk:A593_20105
ko:K11070	kpk:A593_20110
ko:K11071	kpk:A593_20115
ko:K11072	kpk:A593_20120
ko:K01258	kpk:A593_20125
ko:K07637	kpk:A593_20135
ko:K07660	kpk:A593_20140
ko:K01756	kpk:A593_20155
ko:K07153	kpk:A593_20160
ko:K00566	kpk:A593_20165
ko:K12152	kpk:A593_20170
ko:K06181	kpk:A593_20175
ko:K00031	kpk:A593_20180
ko:K09984	kpk:A593_20260
ko:K07217	kpk:A593_20285
ko:K00425	kpk:A593_20290
ko:K00426	kpk:A593_20295
ko:K00137	kpk:A593_24485
ko:K02053	kpk:A593_24490
ko:K02054	kpk:A593_24495
ko:K02052	kpk:A593_24500
ko:K02055	kpk:A593_24505
ko:K00425	kpk:A593_24520
ko:K00426	kpk:A593_24525
ko:K08303	kpk:A593_24545
ko:K05782	kpk:A593_24555
ko:K07506	kpk:A593_24560
ko:K16868	kpk:A593_24575
ko:K03304	kpk:A593_24580
ko:K03817	kpk:A593_24590
ko:K00055	kpk:A593_24600
ko:K03929	kpk:A593_24605
ko:K00449	kpk:A593_24615
ko:K00448	kpk:A593_24620
ko:K05358	kpk:A593_24630
ko:K00121	kpk:A593_24635
ko:K12262	kpk:A593_24645
ko:K01488	kpk:A593_24670
ko:K01223	kpk:A593_24685
ko:K03617	kpk:A593_24700
ko:K03616	kpk:A593_24705
ko:K03614	kpk:A593_24715
ko:K03612	kpk:A593_24720
ko:K03613	kpk:A593_24725
ko:K10773	kpk:A593_24730
ko:K03305	kpk:A593_24735
ko:K00868	kpk:A593_24745
ko:K01866	kpk:A593_24750
ko:K00275	kpk:A593_24755
ko:K09001	kpk:A593_24765
ko:K06077	kpk:A593_24770
ko:K15577	kpk:A593_00685
ko:K06039	kpk:A593_00700
ko:K07232	kpk:A593_00710
ko:K07300	kpk:A593_00720
ko:K01627	kpk:A593_00725
ko:K02493	kpk:A593_00740
ko:K02835	kpk:A593_00745
ko:K02492	kpk:A593_00750
ko:K02494	kpk:A593_00755
ko:K00919	kpk:A593_00760
ko:K00948	kpk:A593_00765
ko:K03321	kpk:A593_00770
ko:K01056	kpk:A593_00785
ko:K06942	kpk:A593_00790
ko:K17213	kpk:A593_00800
ko:K11911	kpk:A593_00805
ko:K11905	kpk:A593_00810
ko:K11906	kpk:A593_00815
ko:K11895	kpk:A593_00820
ko:K11896	kpk:A593_00825
ko:K11891	kpk:A593_00830
ko:K07126	kpk:A593_00850
ko:K07126	kpk:A593_00855
ko:K11892	kpk:A593_00880
ko:K11893	kpk:A593_00885
ko:K01684	kpk:A593_00905
ko:K01631	kpk:A593_00910
ko:K00883	kpk:A593_00915
ko:K09912	kpk:A593_00925
ko:K06177	kpk:A593_00930
ko:K03288	kpk:A593_00950
ko:K01610	kpk:A593_00965
ko:K07347	kpk:A593_05110
ko:K07345	kpk:A593_05120
ko:K00138	kpk:A593_05125
ko:K01118	kpk:A593_05145
ko:K00375	kpk:A593_05190
ko:K03647	kpk:A593_05205
ko:K02000	kpk:A593_05220
ko:K02001	kpk:A593_05225
ko:K02002	kpk:A593_05230
ko:K15974	kpk:A593_05245
ko:K03543	kpk:A593_05250
ko:K03446	kpk:A593_05255
ko:K01649	kpk:A593_05260
ko:K07173	kpk:A593_05270
ko:K01919	kpk:A593_05275
ko:K03563	kpk:A593_05320
ko:K01872	kpk:A593_05325
ko:K03565	kpk:A593_05330
ko:K03743	kpk:A593_05340
ko:K02077	kpk:A593_05345
ko:K02075	kpk:A593_05350
ko:K02074	kpk:A593_05355
ko:K08305	kpk:A593_05365
ko:K02783	kpk:A593_05370
ko:K02782	kpk:A593_05375
ko:K02783	kpk:A593_05375
ko:K02781	kpk:A593_05380
ko:K00068	kpk:A593_05385
ko:K02466	kpk:A593_05390
ko:K01534	kpk:A593_09380
ko:K04085	kpk:A593_09385
ko:K09125	kpk:A593_09390
ko:K12963	kpk:A593_09410
ko:K12962	kpk:A593_09415
ko:K07264	kpk:A593_09420
ko:K13014	kpk:A593_09425
ko:K10011	kpk:A593_09430
ko:K10012	kpk:A593_09435
ko:K07806	kpk:A593_09440
ko:K13727	kpk:A593_09445
ko:K15584	kpk:A593_09455
ko:K15585	kpk:A593_09460
ko:K15586	kpk:A593_09465
ko:K15587	kpk:A593_09470
ko:K10824	kpk:A593_09475
ko:K07722	kpk:A593_09480
ko:K06213	kpk:A593_09485
ko:K07007	kpk:A593_09490
ko:K16322	kpk:A593_09495
ko:K06144	kpk:A593_09500
ko:K06149	kpk:A593_09505
ko:K03305	kpk:A593_09510
ko:K15984	kpk:A593_09515
ko:K01414	kpk:A593_09520
ko:K07115	kpk:A593_09530
ko:K00383	kpk:A593_09535
ko:K00799	kpk:A593_09540
ko:K01194	kpk:A593_09550
ko:K07058	kpk:A593_09570
ko:K07290	kpk:A593_09580
ko:K00874	kpk:A593_09585
ko:K11103	kpk:A593_09595
ko:K00694	kpk:A593_09620
ko:K07787	kpk:A593_13690
ko:K07798	kpk:A593_13695
ko:K07665	kpk:A593_13710
ko:K07644	kpk:A593_13715
ko:K13926	kpk:A593_13745
ko:K01993	kpk:A593_13750
ko:K13069	kpk:A593_13755
ko:K01867	kpk:A593_13760
ko:K02058	kpk:A593_13765
ko:K02056	kpk:A593_13770
ko:K02057	kpk:A593_13775
ko:K02057	kpk:A593_13780
ko:K00355	kpk:A593_13785
ko:K01153	kpk:A593_13805
ko:K01154	kpk:A593_13810
ko:K03427	kpk:A593_13815
ko:K14665	kpk:A593_13865
ko:K00135	kpk:A593_13915
ko:K00484	kpk:A593_13950
ko:K00483	kpk:A593_13955
ko:K02508	kpk:A593_13960
ko:K02511	kpk:A593_13965
ko:K02510	kpk:A593_13970
ko:K02509	kpk:A593_13975
ko:K01826	kpk:A593_13980
ko:K00455	kpk:A593_13985
ko:K03288	kpk:A593_18000
ko:K13795	kpk:A593_18005
ko:K13796	kpk:A593_18010
ko:K13794	kpk:A593_18015
ko:K03711	kpk:A593_18020
ko:K03839	kpk:A593_18025
ko:K03645	kpk:A593_18040
ko:K01835	kpk:A593_18045
ko:K07667	kpk:A593_18055
ko:K07646	kpk:A593_18060
ko:K01548	kpk:A593_18065
ko:K01547	kpk:A593_18070
ko:K01546	kpk:A593_18075
ko:K01669	kpk:A593_18085
ko:K03305	kpk:A593_18090
ko:K07160	kpk:A593_18110
ko:K01304	kpk:A593_18115
ko:K05522	kpk:A593_18120
ko:K01647	kpk:A593_18125
ko:K00241	kpk:A593_18130
ko:K00242	kpk:A593_18135
ko:K00239	kpk:A593_18140
ko:K00240	kpk:A593_18145
ko:K00164	kpk:A593_18150
ko:K00658	kpk:A593_18155
ko:K01903	kpk:A593_18160
ko:K01902	kpk:A593_18165
ko:K00425	kpk:A593_18170
ko:K00426	kpk:A593_18175
ko:K07107	kpk:A593_18190
ko:K03562	kpk:A593_18195
ko:K03560	kpk:A593_18200
ko:K03641	kpk:A593_18210
ko:K03640	kpk:A593_18215
ko:K03517	kpk:A593_18260
ko:K03811	kpk:A593_18265
ko:K16264	kpk:A593_18270
ko:K13931	kpk:A593_22360
ko:K13930	kpk:A593_22365
ko:K13929	kpk:A593_22370
ko:K11744	kpk:A593_22375
ko:K11742	kpk:A593_22385
ko:K04775	kpk:A593_22400
ko:K01299	kpk:A593_22430
ko:K08224	kpk:A593_22435
ko:K15545	kpk:A593_22445
ko:K01935	kpk:A593_22450
ko:K03281	kpk:A593_22455
ko:K07312	kpk:A593_22465
ko:K07307	kpk:A593_22470
ko:K07309	kpk:A593_22475
ko:K00657	kpk:A593_22490
ko:K09771	kpk:A593_22500
ko:K00040	kpk:A593_22510
ko:K11932	kpk:A593_22515
ko:K16066	kpk:A593_22525
ko:K01284	kpk:A593_22530
ko:K01576	kpk:A593_22545
ko:K01607	kpk:A593_22560
ko:K04080	kpk:A593_22620
ko:K03299	kpk:A593_22645
ko:K03321	kpk:A593_03010
ko:K06159	kpk:A593_03020
ko:K03919	kpk:A593_03025
ko:K10778	kpk:A593_03030
ko:K03734	kpk:A593_03035
ko:K09475	kpk:A593_03040
ko:K07676	kpk:A593_03045
ko:K07687	kpk:A593_03050
ko:K07677	kpk:A593_03055
ko:K02469	kpk:A593_03060
ko:K00568	kpk:A593_03065
ko:K11107	kpk:A593_03080
ko:K01126	kpk:A593_03085
ko:K02445	kpk:A593_03090
ko:K00111	kpk:A593_03095
ko:K00112	kpk:A593_03100
ko:K00113	kpk:A593_03105
ko:K12660	kpk:A593_03110
ko:K12661	kpk:A593_03120
ko:K12944	kpk:A593_03150
ko:K01911	kpk:A593_03155
ko:K02549	kpk:A593_03160
ko:K01661	kpk:A593_03165
ko:K08680	kpk:A593_03170
ko:K02551	kpk:A593_03175
ko:K02552	kpk:A593_03180
ko:K02348	kpk:A593_03185
ko:K00784	kpk:A593_03190
ko:K00343	kpk:A593_03195
ko:K00342	kpk:A593_03200
ko:K00341	kpk:A593_03205
ko:K00340	kpk:A593_03210
ko:K00339	kpk:A593_03215
ko:K00338	kpk:A593_03220
ko:K00337	kpk:A593_03225
ko:K00334	kpk:A593_03240
ko:K13378	kpk:A593_03245
ko:K00331	kpk:A593_03250
ko:K00330	kpk:A593_03255
ko:K14260	kpk:A593_03265
ko:K01428	kpk:A593_07395
ko:K03187	kpk:A593_07400
ko:K03188	kpk:A593_07405
ko:K03189	kpk:A593_07410
ko:K01409	kpk:A593_07420
ko:K02970	kpk:A593_07425
ko:K03086	kpk:A593_07435
ko:K06897	kpk:A593_07675
ko:K03733	kpk:A593_11660
ko:K03657	kpk:A593_11670
ko:K03284	kpk:A593_11675
ko:K05786	kpk:A593_11680
ko:K01058	kpk:A593_11690
ko:K03654	kpk:A593_11695
ko:K05835	kpk:A593_11700
ko:K05834	kpk:A593_11710
ko:K01048	kpk:A593_11715
ko:K03576	kpk:A593_11730
ko:K00549	kpk:A593_11735
ko:K01061	kpk:A593_11740
ko:K00757	kpk:A593_11745
ko:K09760	kpk:A593_11750
ko:K03183	kpk:A593_11755
ko:K03690	kpk:A593_11760
ko:K03688	kpk:A593_11765
ko:K03116	kpk:A593_11770
ko:K03117	kpk:A593_11775
ko:K03118	kpk:A593_11780
ko:K03424	kpk:A593_11785
ko:K03182	kpk:A593_11795
ko:K05368	kpk:A593_11800
ko:K01825	kpk:A593_11810
ko:K03498	kpk:A593_11825
ko:K00230	kpk:A593_11830
ko:K00075	kpk:A593_11835
ko:K03524	kpk:A593_11840
ko:K00867	kpk:A593_11845
ko:K02358	kpk:A593_11875
ko:K02358	kpk:A593_11880
ko:K03073	kpk:A593_11885
ko:K02601	kpk:A593_11890
ko:K02867	kpk:A593_11895
ko:K02863	kpk:A593_11900
ko:K02864	kpk:A593_11905
ko:K02935	kpk:A593_11910
ko:K03043	kpk:A593_11915
ko:K03046	kpk:A593_11920
ko:K07792	kpk:A593_11925
ko:K02759	kpk:A593_11930
ko:K02760	kpk:A593_11935
ko:K17938	kpk:A593_15975
ko:K01921	kpk:A593_15995
ko:K08161	kpk:A593_16005
ko:K01077	kpk:A593_16015
ko:K00286	kpk:A593_16025
ko:K09768	kpk:A593_16030
ko:K09945	kpk:A593_16035
ko:K00891	kpk:A593_16040
ko:K14591	kpk:A593_16050
ko:K09913	kpk:A593_16055
ko:K03554	kpk:A593_16060
ko:K00847	kpk:A593_16065
ko:K03547	kpk:A593_16075
ko:K07657	kpk:A593_16080
ko:K07636	kpk:A593_16085
ko:K03311	kpk:A593_16090
ko:K11736	kpk:A593_16095
ko:K01187	kpk:A593_16100
ko:K09932	kpk:A593_16115
ko:K01624	kpk:A593_16125
ko:K03475	kpk:A593_16135
ko:K02822	kpk:A593_16140
ko:K02821	kpk:A593_16145
ko:K03386	kpk:A593_16155
ko:K08682	kpk:A593_16160
ko:K07568	kpk:A593_16165
ko:K00773	kpk:A593_16170
ko:K03210	kpk:A593_16175
ko:K03072	kpk:A593_16180
ko:K03074	kpk:A593_16185
ko:K06996	kpk:A593_16190
ko:K05517	kpk:A593_16200
ko:K07738	kpk:A593_16210
ko:K11752	kpk:A593_16215
ko:K00794	kpk:A593_16220
ko:K03625	kpk:A593_16225
ko:K00946	kpk:A593_16230
ko:K01095	kpk:A593_16235
ko:K01662	kpk:A593_16245
ko:K03182	kpk:A593_20350
ko:K01424	kpk:A593_20370
ko:K12974	kpk:A593_20375
ko:K11250	kpk:A593_20380
ko:K13069	kpk:A593_20400
ko:K09712	kpk:A593_20405
ko:K03449	kpk:A593_20425
ko:K00812	kpk:A593_20480
ko:K01714	kpk:A593_20490
ko:K01438	kpk:A593_20505
ko:K02028	kpk:A593_20510
ko:K02029	kpk:A593_20515
ko:K02030	kpk:A593_20520
ko:K00059	kpk:A593_20530
ko:K03324	kpk:A593_20560
ko:K10680	kpk:A593_20590
ko:K06075	kpk:A593_24780
ko:K06938	kpk:A593_24810
ko:K16137	kpk:A593_24815
ko:K10680	kpk:A593_24820
ko:K01759	kpk:A593_24825
