ko:K00001	blf:BLIF_0541
ko:K02968	blf:BLIF_0893
ko:K03596	blf:BLIF_0894
ko:K02529	blf:BLIF_0896
ko:K00865	blf:BLIF_0897
ko:K00265	blf:BLIF_0908
ko:K00266	blf:BLIF_0909
ko:K02035	blf:BLIF_0910
ko:K02013	blf:BLIF_0914
ko:K03564	blf:BLIF_0918
ko:K09384	blf:BLIF_0922
ko:K05786	blf:BLIF_0925
ko:K06999	blf:BLIF_0932
ko:K07442	blf:BLIF_0933
ko:K08296	blf:BLIF_0934
ko:K00549	blf:BLIF_0935
ko:K00297	blf:BLIF_0936
ko:K01442	blf:BLIF_0937
ko:K00982	blf:BLIF_0938
ko:K00609	blf:BLIF_0939
ko:K00610	blf:BLIF_0940
ko:K01465	blf:BLIF_0941
ko:K01591	blf:BLIF_0942
ko:K02823	blf:BLIF_0943
ko:K00762	blf:BLIF_0945
ko:K11358	blf:BLIF_0951
ko:K03100	blf:BLIF_0955
ko:K07473	blf:BLIF_0969
ko:K02004	blf:BLIF_0970
ko:K02003	blf:BLIF_0971
ko:K01151	blf:BLIF_0990
ko:K01696	blf:BLIF_0992
ko:K01695	blf:BLIF_0993
ko:K01783	blf:BLIF_0995
ko:K01523	blf:BLIF_0996
ko:K01091	blf:BLIF_1005
ko:K03727	blf:BLIF_1007
ko:K00963	blf:BLIF_1010
ko:K03977	blf:BLIF_1011
ko:K06178	blf:BLIF_1012
ko:K00602	blf:BLIF_1014
ko:K01902	blf:BLIF_1016
ko:K01903	blf:BLIF_1017
ko:K00759	blf:BLIF_1018
ko:K03210	blf:BLIF_1019
ko:K03551	blf:BLIF_1020
ko:K03550	blf:BLIF_1021
ko:K01159	blf:BLIF_1022
ko:K01868	blf:BLIF_1025
ko:K06153	blf:BLIF_1027
ko:K00765	blf:BLIF_0997
ko:K03686	blf:BLIF_1084
ko:K03705	blf:BLIF_1085
ko:K00615	blf:BLIF_1086
ko:K00616	blf:BLIF_1087
ko:K03311	blf:BLIF_1088
ko:K14260	blf:BLIF_1090
ko:K00016	blf:BLIF_1092
ko:K03075	blf:BLIF_1093
ko:K01803	blf:BLIF_1094
ko:K00927	blf:BLIF_1095
ko:K09762	blf:BLIF_1096
ko:K06958	blf:BLIF_1097
ko:K00014	blf:BLIF_1098
ko:K03703	blf:BLIF_1099
ko:K03701	blf:BLIF_1100
ko:K01657	blf:BLIF_1114
ko:K01496	blf:BLIF_1115
ko:K02500	blf:BLIF_1116
ko:K05520	blf:BLIF_1117
ko:K06941	blf:BLIF_1118
ko:K00981	blf:BLIF_1119
ko:K02838	blf:BLIF_1120
ko:K09903	blf:BLIF_1121
ko:K02357	blf:BLIF_1122
ko:K02967	blf:BLIF_1123
ko:K01462	blf:BLIF_1124
ko:K00088	blf:BLIF_1127
ko:K00031	blf:BLIF_1128
ko:K01409	blf:BLIF_1131
ko:K03789	blf:BLIF_1132
ko:K06925	blf:BLIF_1134
ko:K02340	blf:BLIF_1135
ko:K02237	blf:BLIF_1139
ko:K01869	blf:BLIF_1140
ko:K03284	blf:BLIF_1142
ko:K01834	blf:BLIF_1143
ko:K07006	blf:BLIF_1145
ko:K03169	blf:BLIF_1156
ko:K01681	blf:BLIF_1245
ko:K01142	blf:BLIF_1251
ko:K03733	blf:BLIF_1256
ko:K04517	blf:BLIF_1258
ko:K06207	blf:BLIF_1261
ko:K08369	blf:BLIF_1262
ko:K04487	blf:BLIF_1263
ko:K00767	blf:BLIF_1264
ko:K00278	blf:BLIF_1265
ko:K03517	blf:BLIF_1266
ko:K06024	blf:BLIF_1268
ko:K05896	blf:BLIF_1269
ko:K03496	blf:BLIF_1270
ko:K04763	blf:BLIF_1272
ko:K02887	blf:BLIF_1273
ko:K02916	blf:BLIF_1274
ko:K02520	blf:BLIF_1275
ko:K00949	blf:BLIF_1278
ko:K00134	blf:BLIF_1280
ko:K03527	blf:BLIF_1282
ko:K03088	blf:BLIF_1286
ko:K02004	blf:BLIF_0340
ko:K02004	blf:BLIF_0341
ko:K02003	blf:BLIF_0342
ko:K02027	blf:BLIF_0348
ko:K02026	blf:BLIF_0350
ko:K12308	blf:BLIF_0351
ko:K01224	blf:BLIF_0353
ko:K07133	blf:BLIF_0356
ko:K03322	blf:BLIF_0357
ko:K01104	blf:BLIF_0364
ko:K02551	blf:BLIF_0378
ko:K01928	blf:BLIF_1287
ko:K03529	blf:BLIF_1289
ko:K11754	blf:BLIF_1290
ko:K01262	blf:BLIF_1292
ko:K02034	blf:BLIF_1295
ko:K02033	blf:BLIF_1296
ko:K02035	blf:BLIF_1297
ko:K01443	blf:BLIF_1298
ko:K02564	blf:BLIF_1299
ko:K00847	blf:BLIF_1303
ko:K09704	blf:BLIF_1304
ko:K05349	blf:BLIF_1311
ko:K02026	blf:BLIF_1313
ko:K02025	blf:BLIF_1314
ko:K02027	blf:BLIF_1315
ko:K01191	blf:BLIF_1316
ko:K01191	blf:BLIF_1317
ko:K07560	blf:BLIF_1319
ko:K03589	blf:BLIF_1321
ko:K01924	blf:BLIF_1322
ko:K02563	blf:BLIF_1323
ko:K03588	blf:BLIF_1324
ko:K01925	blf:BLIF_1325
ko:K01000	blf:BLIF_1326
ko:K01198	blf:BLIF_1621
ko:K14224	blf:BLIF_tRNA05
ko:K10117	blf:BLIF_1939
ko:K10118	blf:BLIF_1938
ko:K14225	blf:BLIF_tRNA04
ko:K06177	blf:BLIF_0455
ko:K02030	blf:BLIF_0450
ko:K02030	blf:BLIF_0451
ko:K02028	blf:BLIF_0453
ko:K01990	blf:BLIF_0598
ko:K06921	blf:BLIF_1916
ko:K01051	blf:BLIF_0009
ko:K01838	blf:BLIF_0280
ko:K01512	blf:BLIF_1353
ko:K04095	blf:BLIF_0966
ko:K02003	blf:BLIF_1271
ko:K02004	blf:BLIF_1271
ko:K07052	blf:BLIF_1843
ko:K14229	blf:BLIF_tRNA09
ko:K01897	blf:BLIF_0797
ko:K00970	blf:BLIF_1977
ko:K06147	blf:BLIF_1547
ko:K06147	blf:BLIF_1889
ko:K06147	blf:BLIF_1890
ko:K02031	blf:BLIF_1252
ko:K02032	blf:BLIF_1252
ko:K02031	blf:BLIF_1294
ko:K02032	blf:BLIF_1294
ko:K00067	blf:BLIF_1875
ko:K01790	blf:BLIF_1875
ko:K01209	blf:BLIF_0462
ko:K01209	blf:BLIF_1718
ko:K01897	blf:BLIF_0343
ko:K13829	blf:BLIF_0778
ko:K14233	blf:BLIF_tRNA08
ko:K14229	blf:BLIF_tRNA10
ko:K14237	blf:BLIF_tRNA15
ko:K14237	blf:BLIF_tRNA35
ko:K14219	blf:BLIF_tRNA19
ko:K14228	blf:BLIF_tRNA21
ko:K14228	blf:BLIF_tRNA29
ko:K14222	blf:BLIF_tRNA37
ko:K14219	blf:BLIF_tRNA43
ko:K14230	blf:BLIF_tRNA44
ko:K14221	blf:BLIF_tRNA45
ko:K14221	blf:BLIF_tRNA47
ko:K14231	blf:BLIF_tRNA46
ko:K14224	blf:BLIF_tRNA48
ko:K14233	blf:BLIF_tRNA51
ko:K14230	blf:BLIF_tRNA53
ko:K14236	blf:BLIF_tRNA55
ko:K14225	blf:BLIF_tRNA56
ko:K14218	blf:BLIF_tRNA58
ko:K14234	blf:BLIF_tRNA59
ko:K14234	blf:BLIF_tRNA30
ko:K14219	blf:BLIF_tRNA27
ko:K14219	blf:BLIF_tRNA28
ko:K01739	blf:BLIF_0473
ko:K01834	blf:BLIF_1677
ko:K15533	blf:BLIF_1691
ko:K02428	blf:BLIF_0323
ko:K12510	blf:BLIF_0122
ko:K13059	blf:BLIF_1690
ko:K14170	blf:BLIF_1259
ko:K11939	blf:BLIF_1763
ko:K15921	blf:BLIF_1789
ko:K16147	blf:BLIF_0229
ko:K16148	blf:BLIF_0913
ko:K18955	blf:BLIF_0624
ko:K18955	blf:BLIF_0628
ko:K02030	blf:BLIF_1414
ko:K02029	blf:BLIF_1416
ko:K10716	blf:BLIF_1968
ko:K16209	blf:BLIF_0660
ko:K16264	blf:BLIF_1338
ko:K10907	blf:BLIF_0012
ko:K01980	blf:BLIF_23SrRNA03
ko:K01980	blf:BLIF_23SrRNA04
ko:K01980	blf:BLIF_23SrRNA01
ko:K01980	blf:BLIF_23SrRNA02
ko:K01977	blf:BLIF_16SrRNA01
ko:K01977	blf:BLIF_16SrRNA03
ko:K01977	blf:BLIF_16SrRNA04
ko:K01977	blf:BLIF_16SrRNA02
ko:K03699	blf:BLIF_0023
ko:K16787	blf:BLIF_1542
ko:K16786	blf:BLIF_1543
ko:K16785	blf:BLIF_1544
ko:K10118	blf:BLIF_1623
ko:K10119	blf:BLIF_1622
ko:K10119	blf:BLIF_1921
ko:K01985	blf:BLIF_5SrRNA01
ko:K01985	blf:BLIF_5SrRNA04
ko:K01985	blf:BLIF_5SrRNA03
ko:K01985	blf:BLIF_5SrRNA02
ko:K16785	blf:BLIF_1451
ko:K16786	blf:BLIF_1451
ko:K16787	blf:BLIF_1451
ko:K02851	blf:BLIF_1601
ko:K10118	blf:BLIF_1922
ko:K10117	blf:BLIF_1924
ko:K10117	blf:BLIF_1624
ko:K16786	blf:BLIF_1108
ko:K16787	blf:BLIF_1108
ko:K16784	blf:BLIF_1445
ko:K16923	blf:BLIF_1545
ko:K11991	blf:BLIF_1942
ko:K16785	blf:BLIF_1107
ko:K16785	blf:BLIF_0566
ko:K16925	blf:BLIF_0564
ko:K16786	blf:BLIF_0565
ko:K16787	blf:BLIF_0565
ko:K16926	blf:BLIF_1106
ko:K02028	blf:BLIF_1415
ko:K19955	blf:BLIF_1537
ko:K15581	blf:BLIF_1254
ko:K17331	blf:BLIF_1437
ko:K02028	blf:BLIF_0509
ko:K15580	blf:BLIF_1255
ko:K15582	blf:BLIF_1253
ko:K10112	blf:BLIF_1958
ko:K03671	blf:BLIF_0401
ko:K17624	blf:BLIF_0157
ko:K17828	blf:BLIF_0944
ko:K18206	blf:BLIF_0193
ko:K18205	blf:BLIF_0192
ko:K08168	blf:BLIF_1535
ko:K00991	blf:BLIF_0268
ko:K03574	blf:BLIF_1852
ko:K01214	blf:BLIF_0654
ko:K06147	blf:BLIF_0345
ko:K07062	blf:BLIF_0305
ko:K03976	blf:BLIF_1281
ko:K03526	blf:BLIF_1393
ko:K07816	blf:BLIF_1235
ko:K19157	blf:BLIF_0968
ko:K01621	blf:BLIF_0688
ko:K19265	blf:BLIF_0315
ko:K01785	blf:BLIF_1284
ko:K01990	blf:BLIF_0751
ko:K12952	blf:BLIF_1246
ko:K08217	blf:BLIF_0733
ko:K02025	blf:BLIF_0349
ko:K08156	blf:BLIF_1680
ko:K19710	blf:BLIF_1024
ko:K08744	blf:BLIF_0998
ko:K21672	blf:BLIF_0905
ko:K12132	blf:BLIF_0047
ko:K12132	blf:BLIF_0046
ko:K12132	blf:BLIF_1217
ko:K20074	blf:BLIF_0050
ko:K01214	blf:BLIF_1755
ko:K20814	blf:BLIF_1513
ko:K14228	blf:BLIF_tRNA32
ko:K00821	blf:BLIF_0574
ko:K21636	blf:BLIF_1566
ko:K21471	blf:BLIF_0448
ko:K21495	blf:BLIF_0306
ko:K21600	blf:BLIF_0206
ko:K10914	blf:BLIF_0410
ko:K00936	blf:BLIF_0623
ko:K22010	blf:BLIF_0650
ko:K03077	blf:BLIF_0335
ko:K22306	blf:BLIF_0666
ko:K08300	blf:BLIF_1825
ko:K08301	blf:BLIF_1825
