ko:K02428	cpu:cpfrc_01656
ko:K14219	cpu:cpfrc_t008
ko:K08369	cpu:cpfrc_02029
ko:K02939	cpu:cpfrc_02032
ko:K02990	cpu:cpfrc_02034
ko:K07146	cpu:cpfrc_02044
ko:K03975	cpu:cpfrc_02045
ko:K04047	cpu:cpfrc_02046
ko:K01421	cpu:cpfrc_02050
ko:K01869	cpu:cpfrc_02051
ko:K02003	cpu:cpfrc_02053
ko:K01792	cpu:cpfrc_02073
ko:K09946	cpu:cpfrc_02076
ko:K01657	cpu:cpfrc_02083
ko:K00766	cpu:cpfrc_02085
ko:K13498	cpu:cpfrc_02086
ko:K01696	cpu:cpfrc_02087
ko:K01695	cpu:cpfrc_02088
ko:K07735	cpu:cpfrc_02094
ko:K03980	cpu:cpfrc_02098
ko:K03088	cpu:cpfrc_02099
ko:K00384	cpu:cpfrc_02100
ko:K03671	cpu:cpfrc_02101
ko:K01448	cpu:cpfrc_02102
ko:K03501	cpu:cpfrc_02106
ko:K03217	cpu:cpfrc_02107
ko:K08998	cpu:cpfrc_02108
ko:K03536	cpu:cpfrc_02109
ko:K02914	cpu:cpfrc_02110
ko:K02013	cpu:cpfrc_01971
ko:K02015	cpu:cpfrc_01972
ko:K02016	cpu:cpfrc_01973
ko:K01875	cpu:cpfrc_01978
ko:K03710	cpu:cpfrc_01979
ko:K03310	cpu:cpfrc_01990
ko:K01443	cpu:cpfrc_02061
ko:K01714	cpu:cpfrc_02069
ko:K14227	cpu:cpfrc_t001
ko:K14218	cpu:cpfrc_t002
ko:K14218	cpu:cpfrc_t003
ko:K14219	cpu:cpfrc_t018
ko:K14229	cpu:cpfrc_t047
ko:K01011	cpu:cpfrc_00482
ko:K01524	cpu:cpfrc_00261
ko:K00067	cpu:cpfrc_00233
ko:K01790	cpu:cpfrc_00233
ko:K02988	cpu:cpfrc_00371
ko:K02907	cpu:cpfrc_00372
ko:K02876	cpu:cpfrc_00373
ko:K03076	cpu:cpfrc_00382
ko:K00939	cpu:cpfrc_00383
ko:K01265	cpu:cpfrc_00384
ko:K01265	cpu:cpfrc_00385
ko:K02011	cpu:cpfrc_00180
ko:K02012	cpu:cpfrc_00181
ko:K02445	cpu:cpfrc_00182
ko:K05571	cpu:cpfrc_00185
ko:K05569	cpu:cpfrc_00187
ko:K05568	cpu:cpfrc_00188
ko:K05567	cpu:cpfrc_00189
ko:K09117	cpu:cpfrc_00199
ko:K10773	cpu:cpfrc_00207
ko:K04078	cpu:cpfrc_00419
ko:K04077	cpu:cpfrc_00420
ko:K03088	cpu:cpfrc_00423
ko:K00088	cpu:cpfrc_00427
ko:K00088	cpu:cpfrc_00428
ko:K01951	cpu:cpfrc_00430
ko:K01409	cpu:cpfrc_00418
ko:K02072	cpu:cpfrc_00437
ko:K02071	cpu:cpfrc_00438
ko:K02073	cpu:cpfrc_00439
ko:K02073	cpu:cpfrc_00440
ko:K02077	cpu:cpfrc_00443
ko:K04069	cpu:cpfrc_00249
ko:K00656	cpu:cpfrc_00251
ko:K00075	cpu:cpfrc_00254
ko:K07768	cpu:cpfrc_00258
ko:K07776	cpu:cpfrc_00259
ko:K00286	cpu:cpfrc_00263
ko:K01845	cpu:cpfrc_00279
ko:K06196	cpu:cpfrc_00282
ko:K07399	cpu:cpfrc_00283
ko:K02013	cpu:cpfrc_00285
ko:K02016	cpu:cpfrc_00286
ko:K02015	cpu:cpfrc_00287
ko:K02548	cpu:cpfrc_00291
ko:K02016	cpu:cpfrc_00455
ko:K02058	cpu:cpfrc_00014
ko:K14645	cpu:cpfrc_01634
ko:K14949	cpu:cpfrc_01829
ko:K14652	cpu:cpfrc_01117
ko:K16013	cpu:cpfrc_01704
ko:K16012	cpu:cpfrc_01705
ko:K02803	cpu:cpfrc_00125
ko:K02804	cpu:cpfrc_00125
ko:K06996	cpu:cpfrc_00127
ko:K04561	cpu:cpfrc_00128
ko:K00375	cpu:cpfrc_00130
ko:K06215	cpu:cpfrc_00132
ko:K08681	cpu:cpfrc_00133
ko:K11991	cpu:cpfrc_00135
ko:K06994	cpu:cpfrc_00136
ko:K00773	cpu:cpfrc_00137
ko:K01885	cpu:cpfrc_00138
ko:K03299	cpu:cpfrc_00139
ko:K00851	cpu:cpfrc_00140
ko:K02343	cpu:cpfrc_00145
ko:K09747	cpu:cpfrc_00146
ko:K06187	cpu:cpfrc_00147
ko:K03299	cpu:cpfrc_00148
ko:K07009	cpu:cpfrc_00155
ko:K02015	cpu:cpfrc_00456
ko:K02013	cpu:cpfrc_00457
ko:K01740	cpu:cpfrc_00459
ko:K01740	cpu:cpfrc_00460
ko:K00031	cpu:cpfrc_00461
ko:K01142	cpu:cpfrc_00464
ko:K01867	cpu:cpfrc_00466
ko:K07058	cpu:cpfrc_00467
ko:K07258	cpu:cpfrc_00468
ko:K01488	cpu:cpfrc_00469
ko:K00761	cpu:cpfrc_00473
ko:K00382	cpu:cpfrc_00477
ko:K01958	cpu:cpfrc_00478
ko:K00641	cpu:cpfrc_00452
ko:K02518	cpu:cpfrc_00388
ko:K02952	cpu:cpfrc_00389
ko:K02948	cpu:cpfrc_00390
ko:K02986	cpu:cpfrc_00391
ko:K03040	cpu:cpfrc_00392
ko:K02879	cpu:cpfrc_00393
ko:K06173	cpu:cpfrc_00394
ko:K14743	cpu:cpfrc_00397
ko:K03466	cpu:cpfrc_00399
ko:K02871	cpu:cpfrc_00403
ko:K02996	cpu:cpfrc_00404
ko:K03431	cpu:cpfrc_00405
ko:K01775	cpu:cpfrc_00411
ko:K06925	cpu:cpfrc_00412
ko:K07085	cpu:cpfrc_00414
ko:K03789	cpu:cpfrc_00417
ko:K03919	cpu:cpfrc_00086
ko:K01246	cpu:cpfrc_00087
ko:K06996	cpu:cpfrc_00091
ko:K00864	cpu:cpfrc_00094
ko:K02440	cpu:cpfrc_00095
ko:K07386	cpu:cpfrc_00097
ko:K05845	cpu:cpfrc_00100
ko:K11387	cpu:cpfrc_00101
ko:K03216	cpu:cpfrc_00448
ko:K01491	cpu:cpfrc_00449
ko:K00641	cpu:cpfrc_00451
ko:K11738	cpu:cpfrc_00569
ko:K13686	cpu:cpfrc_00102
ko:K11707	cpu:cpfrc_00112
ko:K11710	cpu:cpfrc_00113
ko:K11708	cpu:cpfrc_00114
ko:K11709	cpu:cpfrc_00115
ko:K11707	cpu:cpfrc_00116
ko:K00817	cpu:cpfrc_00122
ko:K03480	cpu:cpfrc_00124
ko:K06177	cpu:cpfrc_02020
ko:K01854	cpu:cpfrc_01970
ko:K04518	cpu:cpfrc_01983
ko:K02004	cpu:cpfrc_02054
ko:K02564	cpu:cpfrc_02060
ko:K01788	cpu:cpfrc_02062
ko:K00845	cpu:cpfrc_02063
ko:K02035	cpu:cpfrc_02065
ko:K02033	cpu:cpfrc_02066
ko:K02031	cpu:cpfrc_02067
ko:K02034	cpu:cpfrc_02067
ko:K02342	cpu:cpfrc_00157
ko:K01649	cpu:cpfrc_00160
ko:K05346	cpu:cpfrc_00161
ko:K03784	cpu:cpfrc_00162
ko:K01619	cpu:cpfrc_00164
ko:K00928	cpu:cpfrc_00171
ko:K00133	cpu:cpfrc_00173
ko:K01489	cpu:cpfrc_01994
ko:K00016	cpu:cpfrc_01996
ko:K07304	cpu:cpfrc_01997
ko:K07784	cpu:cpfrc_02004
ko:K13671	cpu:cpfrc_02006
ko:K05570	cpu:cpfrc_01814
ko:K01011	cpu:cpfrc_01867
ko:K00135	cpu:cpfrc_01936
ko:K02274	cpu:cpfrc_01668
ko:K03647	cpu:cpfrc_01672
ko:K02619	cpu:cpfrc_01718
ko:K03647	cpu:cpfrc_01724
ko:K03499	cpu:cpfrc_01735
ko:K01507	cpu:cpfrc_01796
ko:K03574	cpu:cpfrc_01826
ko:K02348	cpu:cpfrc_01833
ko:K05568	cpu:cpfrc_01812
ko:K02004	cpu:cpfrc_01887
ko:K02005	cpu:cpfrc_01889
ko:K13640	cpu:cpfrc_01896
ko:K02033	cpu:cpfrc_01910
ko:K02035	cpu:cpfrc_01911
ko:K01596	cpu:cpfrc_01945
ko:K06860	cpu:cpfrc_01947
ko:K12437	cpu:cpfrc_01954
ko:K12428	cpu:cpfrc_01955
ko:K13687	cpu:cpfrc_01961
ko:K02351	cpu:cpfrc_01632
ko:K07245	cpu:cpfrc_01632
ko:K02004	cpu:cpfrc_01693
ko:K08167	cpu:cpfrc_01743
ko:K03932	cpu:cpfrc_01756
ko:K01911	cpu:cpfrc_00292
ko:K01661	cpu:cpfrc_00293
ko:K03326	cpu:cpfrc_00294
ko:K02549	cpu:cpfrc_00295
ko:K02551	cpu:cpfrc_00296
ko:K12583	cpu:cpfrc_00298
ko:K03183	cpu:cpfrc_00299
ko:K00016	cpu:cpfrc_00300
ko:K07089	cpu:cpfrc_00328
ko:K04069	cpu:cpfrc_00329
ko:K02950	cpu:cpfrc_00332
ko:K02992	cpu:cpfrc_00333
ko:K02355	cpu:cpfrc_00334
ko:K02358	cpu:cpfrc_00335
ko:K02946	cpu:cpfrc_00344
ko:K02906	cpu:cpfrc_00345
ko:K02926	cpu:cpfrc_00346
ko:K02892	cpu:cpfrc_00347
ko:K02886	cpu:cpfrc_00348
ko:K02965	cpu:cpfrc_00349
ko:K02890	cpu:cpfrc_00350
ko:K08316	cpu:cpfrc_00922
ko:K01835	cpu:cpfrc_01690
ko:K19125	cpu:cpfrc_00027
ko:K02982	cpu:cpfrc_00351
ko:K02878	cpu:cpfrc_00352
ko:K02904	cpu:cpfrc_00353
ko:K02961	cpu:cpfrc_00354
ko:K02035	cpu:cpfrc_00355
ko:K02031	cpu:cpfrc_00356
ko:K02032	cpu:cpfrc_00356
ko:K02034	cpu:cpfrc_00357
ko:K02033	cpu:cpfrc_00358
ko:K02874	cpu:cpfrc_00360
ko:K02895	cpu:cpfrc_00361
ko:K02931	cpu:cpfrc_00362
ko:K00805	cpu:cpfrc_00302
ko:K03073	cpu:cpfrc_00303
ko:K02601	cpu:cpfrc_00304
ko:K02867	cpu:cpfrc_00305
ko:K02863	cpu:cpfrc_00306
ko:K01372	cpu:cpfrc_00307
ko:K01372	cpu:cpfrc_00308
ko:K01372	cpu:cpfrc_00309
ko:K02864	cpu:cpfrc_00311
ko:K02935	cpu:cpfrc_00312
ko:K03043	cpu:cpfrc_00320
ko:K03046	cpu:cpfrc_00321
ko:K11263	cpu:cpfrc_00481
ko:K06287	cpu:cpfrc_00487
ko:K00852	cpu:cpfrc_00488
ko:K02529	cpu:cpfrc_00489
ko:K03524	cpu:cpfrc_00494
ko:K01589	cpu:cpfrc_00496
ko:K01809	cpu:cpfrc_00512
ko:K01251	cpu:cpfrc_00516
ko:K00943	cpu:cpfrc_00517
ko:K07670	cpu:cpfrc_00518
ko:K07654	cpu:cpfrc_00519
ko:K03070	cpu:cpfrc_00523
ko:K00508	cpu:cpfrc_00528
ko:K06949	cpu:cpfrc_00529
ko:K00800	cpu:cpfrc_00530
ko:K03088	cpu:cpfrc_00533
ko:K03657	cpu:cpfrc_00543
ko:K03426	cpu:cpfrc_00545
ko:K03657	cpu:cpfrc_00546
ko:K07043	cpu:cpfrc_00548
ko:K07177	cpu:cpfrc_00550
ko:K09118	cpu:cpfrc_00553
ko:K01588	cpu:cpfrc_00497
ko:K02026	cpu:cpfrc_00500
ko:K02025	cpu:cpfrc_00501
ko:K02027	cpu:cpfrc_00502
ko:K01834	cpu:cpfrc_00257
ko:K15733	cpu:cpfrc_01191
ko:K05602	cpu:cpfrc_00575
ko:K15521	cpu:cpfrc_00256
ko:K15526	cpu:cpfrc_01054
ko:K03579	cpu:cpfrc_00085
ko:K03929	cpu:cpfrc_00802
ko:K07090	cpu:cpfrc_00082
ko:K06966	cpu:cpfrc_00075
ko:K01082	cpu:cpfrc_00634
ko:K12510	cpu:cpfrc_00218
ko:K03475	cpu:cpfrc_00084
ko:K07120	cpu:cpfrc_00080
ko:K15525	cpu:cpfrc_00769
ko:K15520	cpu:cpfrc_01714
ko:K01840	cpu:cpfrc_00475
ko:K15876	cpu:cpfrc_01848
ko:K00368	cpu:cpfrc_00561
ko:K18926	cpu:cpfrc_00479
ko:K15771	cpu:cpfrc_00376
ko:K16147	cpu:cpfrc_00858
ko:K16148	cpu:cpfrc_00788
ko:K16164	cpu:cpfrc_00153
ko:K18955	cpu:cpfrc_00201
ko:K10716	cpu:cpfrc_00544
ko:K02028	cpu:cpfrc_00926
ko:K02909	cpu:cpfrc_00658
ko:K02911	cpu:cpfrc_00659
ko:K07669	cpu:cpfrc_00660
ko:K07653	cpu:cpfrc_00661
ko:K08372	cpu:cpfrc_00662
ko:K03282	cpu:cpfrc_00664
ko:K01934	cpu:cpfrc_00666
ko:K02428	cpu:cpfrc_00712
ko:K01689	cpu:cpfrc_00714
ko:K09009	cpu:cpfrc_00716
ko:K03624	cpu:cpfrc_00721
ko:K12503	cpu:cpfrc_00725
ko:K00867	cpu:cpfrc_00727
ko:K00600	cpu:cpfrc_00728
ko:K03823	cpu:cpfrc_00734
ko:K03758	cpu:cpfrc_00711
ko:K01679	cpu:cpfrc_00737
ko:K02446	cpu:cpfrc_00738
ko:K03602	cpu:cpfrc_00740
ko:K03601	cpu:cpfrc_00741
ko:K03527	cpu:cpfrc_00742
ko:K06942	cpu:cpfrc_00745
ko:K06193	cpu:cpfrc_00747
ko:K00963	cpu:cpfrc_00667
ko:K03750	cpu:cpfrc_00668
ko:K03790	cpu:cpfrc_00669
ko:K15977	cpu:cpfrc_00671
ko:K07056	cpu:cpfrc_00676
ko:K01874	cpu:cpfrc_00677
ko:K03424	cpu:cpfrc_00678
ko:K02528	cpu:cpfrc_00680
ko:K00919	cpu:cpfrc_00681
ko:K03811	cpu:cpfrc_00686
ko:K00134	cpu:cpfrc_00693
ko:K02837	cpu:cpfrc_00696
ko:K01056	cpu:cpfrc_00698
ko:K00459	cpu:cpfrc_00699
ko:K01056	cpu:cpfrc_00701
ko:K02897	cpu:cpfrc_00702
ko:K00948	cpu:cpfrc_00704
ko:K04042	cpu:cpfrc_00705
ko:K03723	cpu:cpfrc_00709
ko:K06207	cpu:cpfrc_00767
ko:K16237	cpu:cpfrc_00775
ko:K00674	cpu:cpfrc_00778
ko:K01439	cpu:cpfrc_00779
ko:K06966	cpu:cpfrc_00780
ko:K00796	cpu:cpfrc_00781
ko:K13693	cpu:cpfrc_00782
ko:K00563	cpu:cpfrc_00785
ko:K02902	cpu:cpfrc_00657
ko:K01193	cpu:cpfrc_00786
ko:K01575	cpu:cpfrc_00787
ko:K00975	cpu:cpfrc_00789
ko:K03088	cpu:cpfrc_00791
ko:K01673	cpu:cpfrc_00583
ko:K02016	cpu:cpfrc_00585
ko:K02034	cpu:cpfrc_00627
ko:K02031	cpu:cpfrc_00628
ko:K02032	cpu:cpfrc_00628
ko:K02228	cpu:cpfrc_00630
ko:K03724	cpu:cpfrc_00635
ko:K03649	cpu:cpfrc_00636
ko:K05522	cpu:cpfrc_00637
ko:K01810	cpu:cpfrc_00639
ko:K00135	cpu:cpfrc_00640
ko:K04093	cpu:cpfrc_00641
ko:K03657	cpu:cpfrc_00642
ko:K11175	cpu:cpfrc_00645
ko:K00602	cpu:cpfrc_00646
ko:K10008	cpu:cpfrc_00647
ko:K10005	cpu:cpfrc_00648
ko:K10006	cpu:cpfrc_00649
ko:K02015	cpu:cpfrc_00586
ko:K10007	cpu:cpfrc_00650
ko:K01644	cpu:cpfrc_00651
ko:K02963	cpu:cpfrc_00654
ko:K02954	cpu:cpfrc_00655
ko:K02913	cpu:cpfrc_00656
ko:K09781	cpu:cpfrc_00752
ko:K00077	cpu:cpfrc_00753
ko:K02015	cpu:cpfrc_00587
ko:K02013	cpu:cpfrc_00588
ko:K14267	cpu:cpfrc_00589
ko:K14267	cpu:cpfrc_00590
ko:K10843	cpu:cpfrc_00592
ko:K03704	cpu:cpfrc_00596
ko:K06901	cpu:cpfrc_00601
ko:K03117	cpu:cpfrc_00793
ko:K03593	cpu:cpfrc_00794
ko:K01616	cpu:cpfrc_00798
ko:K00014	cpu:cpfrc_00801
ko:K03307	cpu:cpfrc_00807
ko:K00849	cpu:cpfrc_00810
ko:K05592	cpu:cpfrc_00811
ko:K04750	cpu:cpfrc_00813
ko:K11928	cpu:cpfrc_00816
ko:K00831	cpu:cpfrc_00605
ko:K01647	cpu:cpfrc_00607
ko:K01962	cpu:cpfrc_00609
ko:K01963	cpu:cpfrc_00609
ko:K01692	cpu:cpfrc_00612
ko:K03327	cpu:cpfrc_00620
ko:K01697	cpu:cpfrc_00621
ko:K01586	cpu:cpfrc_00622
ko:K02035	cpu:cpfrc_00625
ko:K02033	cpu:cpfrc_00626
ko:K02836	cpu:cpfrc_00577
ko:K12942	cpu:cpfrc_00579
ko:K09812	cpu:cpfrc_00580
ko:K09811	cpu:cpfrc_00581
ko:K03664	cpu:cpfrc_00582
ko:K18955	cpu:cpfrc_00507
ko:K16264	cpu:cpfrc_00895
ko:K15772	cpu:cpfrc_00377
ko:K16653	cpu:cpfrc_00104
ko:K15770	cpu:cpfrc_00375
ko:K16783	cpu:cpfrc_01258
ko:K16784	cpu:cpfrc_01257
ko:K16652	cpu:cpfrc_00103
ko:K16647	cpu:cpfrc_01195
ko:K16650	cpu:cpfrc_01964
ko:K16649	cpu:cpfrc_00110
ko:K02851	cpu:cpfrc_00841
ko:K16648	cpu:cpfrc_01939
ko:K02030	cpu:cpfrc_00928
ko:K02031	cpu:cpfrc_00762
ko:K02032	cpu:cpfrc_00762
ko:K02303	cpu:cpfrc_01288
ko:K14237	cpu:cpfrc_t033
ko:K02768	cpu:cpfrc_01324
ko:K02769	cpu:cpfrc_01324
ko:K02770	cpu:cpfrc_01324
ko:K16870	cpu:cpfrc_00505
ko:K16925	cpu:cpfrc_00754
ko:K16786	cpu:cpfrc_00755
ko:K16787	cpu:cpfrc_00755
ko:K16785	cpu:cpfrc_00756
ko:K00782	cpu:cpfrc_00827
ko:K03303	cpu:cpfrc_00830
ko:K01887	cpu:cpfrc_00831
ko:K01586	cpu:cpfrc_00832
ko:K00003	cpu:cpfrc_00833
ko:K00872	cpu:cpfrc_00834
ko:K03628	cpu:cpfrc_00837
ko:K02835	cpu:cpfrc_00838
ko:K02493	cpu:cpfrc_00839
ko:K02108	cpu:cpfrc_00843
ko:K02110	cpu:cpfrc_00844
ko:K15582	cpu:cpfrc_00761
ko:K15581	cpu:cpfrc_00760
ko:K01990	cpu:cpfrc_01877
ko:K01992	cpu:cpfrc_01878
ko:K01992	cpu:cpfrc_00193
ko:K01992	cpu:cpfrc_01855
ko:K01990	cpu:cpfrc_01856
ko:K01990	cpu:cpfrc_00194
ko:K00951	cpu:cpfrc_01170
ko:K15580	cpu:cpfrc_00759
ko:K10112	cpu:cpfrc_00381
ko:K03416	cpu:cpfrc_00570
ko:K17489	cpu:cpfrc_00571
ko:K01990	cpu:cpfrc_00325
ko:K01990	cpu:cpfrc_01097
ko:K01990	cpu:cpfrc_01631
ko:K01990	cpu:cpfrc_01825
ko:K17490	cpu:cpfrc_00573
ko:K17489	cpu:cpfrc_00572
ko:K17686	cpu:cpfrc_02028
ko:K03671	cpu:cpfrc_02026
ko:K02010	cpu:cpfrc_00179
ko:K12574	cpu:cpfrc_01267
ko:K19745	cpu:cpfrc_01635
ko:K07284	cpu:cpfrc_01873
ko:K01658	cpu:cpfrc_02084
ko:K07284	cpu:cpfrc_01875
ko:K07284	cpu:cpfrc_01905
ko:K00254	cpu:cpfrc_01058
ko:K02031	cpu:cpfrc_01561
ko:K02032	cpu:cpfrc_01561
ko:K08168	cpu:cpfrc_00163
ko:K17883	cpu:cpfrc_01298
ko:K21480	cpu:cpfrc_01487
ko:K18118	cpu:cpfrc_01706
ko:K18292	cpu:cpfrc_01161
ko:K21687	cpu:cpfrc_00594
ko:K21688	cpu:cpfrc_00679
ko:K06147	cpu:cpfrc_01550
ko:K01156	cpu:cpfrc_01463
ko:K00299	cpu:cpfrc_01159
ko:K00620	cpu:cpfrc_00953
ko:K06941	cpu:cpfrc_01308
ko:K01092	cpu:cpfrc_01209
ko:K01687	cpu:cpfrc_00886
ko:K01256	cpu:cpfrc_01612
ko:K03310	cpu:cpfrc_01989
ko:K07784	cpu:cpfrc_02003
ko:K07052	cpu:cpfrc_01776
ko:K13671	cpu:cpfrc_01959
ko:K07052	cpu:cpfrc_01653
ko:K08167	cpu:cpfrc_01742
ko:K00138	cpu:cpfrc_01893
ko:K16237	cpu:cpfrc_00777
ko:K18455	cpu:cpfrc_00723
ko:K03574	cpu:cpfrc_00913
ko:K01990	cpu:cpfrc_00118
ko:K01992	cpu:cpfrc_00119
ko:K02032	cpu:cpfrc_01907
ko:K02032	cpu:cpfrc_02068
ko:K18917	cpu:cpfrc_00631
ko:K03496	cpu:cpfrc_00972
ko:K03111	cpu:cpfrc_02033
ko:K03497	cpu:cpfrc_02104
ko:K03496	cpu:cpfrc_02105
ko:K03111	cpu:cpfrc_01621
ko:K18955	cpu:cpfrc_00534
ko:K04565	cpu:cpfrc_00610
ko:K06147	cpu:cpfrc_00799
ko:K18929	cpu:cpfrc_00828
ko:K18928	cpu:cpfrc_00829
ko:K03976	cpu:cpfrc_00532
ko:K03526	cpu:cpfrc_01303
ko:K00020	cpu:cpfrc_00278
ko:K10563	cpu:cpfrc_02047
ko:K19221	cpu:cpfrc_01293
ko:K00798	cpu:cpfrc_01696
ko:K01710	cpu:cpfrc_00234
ko:K02777	cpu:cpfrc_00126
ko:K01239	cpu:cpfrc_01273
ko:K19265	cpu:cpfrc_00881
ko:K03722	cpu:cpfrc_01664
ko:K01785	cpu:cpfrc_00806
ko:K19302	cpu:cpfrc_00117
ko:K00020	cpu:cpfrc_00149
ko:K19302	cpu:cpfrc_01966
ko:K00526	cpu:cpfrc_01669
ko:K01992	cpu:cpfrc_01824
ko:K06867	cpu:cpfrc_01538
ko:K06881	cpu:cpfrc_01279
ko:K19577	cpu:cpfrc_00462
ko:K06221	cpu:cpfrc_00611
ko:K19710	cpu:cpfrc_01189
ko:K19784	cpu:cpfrc_01999
ko:K07119	cpu:cpfrc_01640
ko:K02033	cpu:cpfrc_01567
ko:K02034	cpu:cpfrc_01567
ko:K09796	cpu:cpfrc_01192
ko:K12132	cpu:cpfrc_00035
ko:K12132	cpu:cpfrc_01414
ko:K12132	cpu:cpfrc_00036
ko:K20074	cpu:cpfrc_00039
ko:K20468	cpu:cpfrc_01949
ko:K20470	cpu:cpfrc_01948
ko:K01200	cpu:cpfrc_00703
ko:K01214	cpu:cpfrc_01370
ko:K20814	cpu:cpfrc_01039
ko:K21071	cpu:cpfrc_00879
ko:K00821	cpu:cpfrc_00955
ko:K00821	cpu:cpfrc_00956
ko:K00525	cpu:cpfrc_01671
ko:K21636	cpu:cpfrc_00330
ko:K02335	cpu:cpfrc_00930
ko:K02314	cpu:cpfrc_02030
ko:K06191	cpu:cpfrc_01673
ko:K00287	cpu:cpfrc_00632
ko:K00560	cpu:cpfrc_00633
ko:K01520	cpu:cpfrc_01204
ko:K07465	cpu:cpfrc_01043
ko:K03553	cpu:cpfrc_01254
ko:K03465	cpu:cpfrc_01269
ko:K06217	cpu:cpfrc_01533
ko:K02316	cpu:cpfrc_01514
ko:K09820	cpu:cpfrc_00316
ko:K22468	cpu:cpfrc_00685
ko:K02075	cpu:cpfrc_00446
ko:K02075	cpu:cpfrc_00445
ko:K02074	cpu:cpfrc_00444
ko:K00526	cpu:cpfrc_01725
ko:K21481	cpu:cpfrc_01642
ko:K21473	cpu:cpfrc_01079
ko:K05364	cpu:cpfrc_00037
ko:K21471	cpu:cpfrc_01421
ko:K21401	cpu:cpfrc_00301
ko:K21498	cpu:cpfrc_01044
ko:K10914	cpu:cpfrc_00205
ko:K21685	cpu:cpfrc_01697
ko:K21962	cpu:cpfrc_01082
ko:K22044	cpu:cpfrc_00889
ko:K22044	cpu:cpfrc_01615
ko:K03595	cpu:cpfrc_01529
ko:K17758	cpu:cpfrc_02048
ko:K17759	cpu:cpfrc_02048
ko:K00666	cpu:cpfrc_00230
ko:K22316	cpu:cpfrc_01496
ko:K22306	cpu:cpfrc_01582
ko:K02257	cpu:cpfrc_01100
ko:K22311	cpu:cpfrc_01187
ko:K22476	cpu:cpfrc_01821
ko:K00728	cpu:cpfrc_00673
ko:K22468	cpu:cpfrc_01802
ko:K08300	cpu:cpfrc_01593
ko:K08301	cpu:cpfrc_01593
ko:K07566	cpu:cpfrc_00840
