ko:K19416	amai:I635_11015
ko:K11719	amai:I635_03885
ko:K03270	amai:I635_03890
ko:K06041	amai:I635_03895
ko:K07301	amai:I635_03900
ko:K02065	amai:I635_03905
ko:K02066	amai:I635_03910
ko:K07323	amai:I635_03920
ko:K07122	amai:I635_03925
ko:K00790	amai:I635_03935
ko:K04691	amai:I635_03940
ko:K09908	amai:I635_03950
ko:K06916	amai:I635_03955
ko:K06886	amai:I635_03965
ko:K12257	amai:I635_03980
ko:K01999	amai:I635_04010
ko:K01868	amai:I635_08155
ko:K02520	amai:I635_08160
ko:K02916	amai:I635_08165
ko:K02887	amai:I635_08170
ko:K01889	amai:I635_08300
ko:K01890	amai:I635_08305
ko:K04764	amai:I635_08310
ko:K01434	amai:I635_08325
ko:K01207	amai:I635_08330
ko:K03723	amai:I635_08345
ko:K09808	amai:I635_08355
ko:K07101	amai:I635_08360
ko:K01142	amai:I635_08380
ko:K02426	amai:I635_08395
ko:K00975	amai:I635_08425
ko:K06169	amai:I635_12605
ko:K00764	amai:I635_12615
ko:K03558	amai:I635_12620
ko:K03749	amai:I635_12625
ko:K11754	amai:I635_12630
ko:K01963	amai:I635_12635
ko:K06173	amai:I635_12640
ko:K00133	amai:I635_12650
ko:K03473	amai:I635_12655
ko:K15461	amai:I635_12700
ko:K05776	amai:I635_12770
ko:K02106	amai:I635_12775
ko:K09906	amai:I635_12805
ko:K07107	amai:I635_12820
ko:K00390	amai:I635_16935
ko:K00381	amai:I635_16940
ko:K03969	amai:I635_16970
ko:K05539	amai:I635_16980
ko:K01070	amai:I635_17015
ko:K16053	amai:I635_17030
ko:K03308	amai:I635_17050
ko:K03840	amai:I635_17080
ko:K00694	amai:I635_17120
ko:K01754	amai:I635_17165
ko:K10674	amai:I635_21544
ko:K06160	amai:I635_21564
ko:K01434	amai:I635_21569
ko:K03657	amai:I635_21754
ko:K11749	amai:I635_04835
ko:K07277	amai:I635_04840
ko:K06142	amai:I635_04845
ko:K02372	amai:I635_04850
ko:K00677	amai:I635_04855
ko:K00748	amai:I635_04860
ko:K03470	amai:I635_04865
ko:K02337	amai:I635_04870
ko:K01962	amai:I635_04875
ko:K04075	amai:I635_04880
ko:K03168	amai:I635_08995
ko:K09912	amai:I635_09000
ko:K03752	amai:I635_09010
ko:K02379	amai:I635_09015
ko:K08300	amai:I635_09040
ko:K01091	amai:I635_09050
ko:K07040	amai:I635_09060
ko:K02911	amai:I635_09065
ko:K03621	amai:I635_09070
ko:K00648	amai:I635_09075
ko:K00645	amai:I635_09080
ko:K02078	amai:I635_09090
ko:K09458	amai:I635_09095
ko:K07082	amai:I635_09105
ko:K00943	amai:I635_09110
ko:K02341	amai:I635_09115
ko:K03424	amai:I635_09120
ko:K01283	amai:I635_09140
ko:K09940	amai:I635_09145
ko:K07516	amai:I635_09165
ko:K09748	amai:I635_09255
ko:K02600	amai:I635_09260
ko:K03424	amai:I635_13380
ko:K00275	amai:I635_13385
ko:K03685	amai:I635_13395
ko:K03100	amai:I635_13400
ko:K03596	amai:I635_13405
ko:K03598	amai:I635_13415
ko:K03597	amai:I635_13420
ko:K03088	amai:I635_13425
ko:K00278	amai:I635_13430
ko:K09159	amai:I635_13445
ko:K06980	amai:I635_13450
ko:K03775	amai:I635_13455
ko:K04751	amai:I635_13460
ko:K08084	amai:I635_13470
ko:K02680	amai:I635_13485
ko:K02655	amai:I635_13500
ko:K02673	amai:I635_13510
ko:K02672	amai:I635_13515
ko:K02671	amai:I635_13520
ko:K03527	amai:I635_13525
ko:K03774	amai:I635_13530
ko:K03101	amai:I635_13535
ko:K01870	amai:I635_13540
ko:K11753	amai:I635_13545
ko:K03980	amai:I635_13550
ko:K02968	amai:I635_13555
ko:K03453	amai:I635_13575
ko:K03770	amai:I635_13605
ko:K03530	amai:I635_13610
ko:K01338	amai:I635_13620
ko:K03544	amai:I635_13625
ko:K01358	amai:I635_13630
ko:K03545	amai:I635_13635
ko:K02406	amai:I635_17830
ko:K02879	amai:I635_17845
ko:K03040	amai:I635_17850
ko:K02986	amai:I635_17855
ko:K02948	amai:I635_17860
ko:K02952	amai:I635_17865
ko:K02919	amai:I635_17870
ko:K03076	amai:I635_17875
ko:K02876	amai:I635_17880
ko:K02907	amai:I635_17885
ko:K02988	amai:I635_17890
ko:K02881	amai:I635_17895
ko:K02933	amai:I635_17900
ko:K02994	amai:I635_17905
ko:K02954	amai:I635_17910
ko:K02931	amai:I635_17915
ko:K02895	amai:I635_17920
ko:K02874	amai:I635_17925
ko:K14645	amai:I635_17940
ko:K03218	amai:I635_17950
ko:K12573	amai:I635_17955
ko:K00761	amai:I635_14255
ko:K14540	amai:I635_14285
ko:K03437	amai:I635_14290
ko:K02616	amai:I635_14350
ko:K09456	amai:I635_14355
ko:K05851	amai:I635_14395
ko:K13483	amai:I635_14430
ko:K11178	amai:I635_14435
ko:K11177	amai:I635_14440
ko:K02601	amai:I635_18565
ko:K03073	amai:I635_18570
ko:K09964	amai:I635_18590
ko:K05591	amai:I635_18595
ko:K01465	amai:I635_18600
ko:K03098	amai:I635_18605
ko:K01495	amai:I635_18640
ko:K13938	amai:I635_18645
ko:K12251	amai:I635_18655
ko:K06953	amai:I635_18665
ko:K03724	amai:I635_18670
ko:K02356	amai:I635_18685
ko:K00847	amai:I635_18690
ko:K01652	amai:I635_18740
ko:K01772	amai:I635_18750
ko:K04087	amai:I635_18760
ko:K04088	amai:I635_18765
ko:K03665	amai:I635_18770
ko:K03666	amai:I635_18775
ko:K00791	amai:I635_18780
ko:K03572	amai:I635_18785
ko:K01448	amai:I635_18790
ko:K06925	amai:I635_18795
ko:K01599	amai:I635_18815
ko:K02113	amai:I635_20430
ko:K02109	amai:I635_20435
ko:K02110	amai:I635_20440
ko:K02108	amai:I635_20445
ko:K03501	amai:I635_20465
ko:K03495	amai:I635_20470
ko:K06205	amai:I635_20490
ko:K03569	amai:I635_01280
ko:K03570	amai:I635_01285
ko:K03571	amai:I635_01290
ko:K06287	amai:I635_01295
ko:K08301	amai:I635_01300
ko:K03568	amai:I635_01315
ko:K09889	amai:I635_01320
ko:K03592	amai:I635_01325
ko:K07773	amai:I635_01335
ko:K00703	amai:I635_01345
ko:K03439	amai:I635_01355
ko:K03575	amai:I635_01365
ko:K07644	amai:I635_01390
ko:K07798	amai:I635_01415
ko:K07787	amai:I635_01420
ko:K07156	amai:I635_01435
ko:K02305	amai:I635_01480
ko:K07154	amai:I635_05745
ko:K07301	amai:I635_05770
ko:K03427	amai:I635_05805
ko:K01154	amai:I635_05810
ko:K01153	amai:I635_05820
ko:K16264	amai:I635_05970
ko:K01534	amai:I635_05980
ko:K03981	amai:I635_06040
ko:K03088	amai:I635_10145
ko:K05803	amai:I635_10160
ko:K06203	amai:I635_10170
ko:K03529	amai:I635_10175
ko:K03528	amai:I635_10180
ko:K02961	amai:I635_02060
ko:K02527	amai:I635_02075
ko:K01284	amai:I635_02100
ko:K01433	amai:I635_02110
ko:K01975	amai:I635_02115
ko:K03579	amai:I635_02120
ko:K05365	amai:I635_02130
ko:K09781	amai:I635_02145
ko:K04752	amai:I635_02160
ko:K03320	amai:I635_02165
ko:K07223	amai:I635_02175
ko:K01845	amai:I635_02185
ko:K00609	amai:I635_02190
ko:K07678	amai:I635_02215
ko:K02621	amai:I635_02220
ko:K06447	amai:I635_02240
ko:K00673	amai:I635_02245
ko:K01867	amai:I635_02265
ko:K01783	amai:I635_02270
ko:K03112	amai:I635_02295
ko:K01735	amai:I635_02300
ko:K00891	amai:I635_02305
ko:K02666	amai:I635_02310
ko:K03088	amai:I635_06605
ko:K03924	amai:I635_06640
ko:K08296	amai:I635_06675
ko:K03106	amai:I635_06695
ko:K02959	amai:I635_06760
ko:K02860	amai:I635_06765
ko:K00554	amai:I635_06770
ko:K02884	amai:I635_06775
ko:K01626	amai:I635_06790
ko:K14187	amai:I635_06795
ko:K14170	amai:I635_06800
ko:K03413	amai:I635_06805
ko:K03113	amai:I635_06810
ko:K07711	amai:I635_06840
ko:K07715	amai:I635_06850
ko:K00995	amai:I635_10965
ko:K03703	amai:I635_10970
ko:K07689	amai:I635_10975
ko:K15977	amai:I635_10995
ko:K07235	amai:I635_11020
ko:K07236	amai:I635_11025
ko:K01875	amai:I635_11055
ko:K06199	amai:I635_11060
ko:K07478	amai:I635_11065
ko:K03634	amai:I635_11070
ko:K03466	amai:I635_11075
ko:K00259	amai:I635_11085
ko:K01591	amai:I635_11090
ko:K05788	amai:I635_11110
ko:K02945	amai:I635_11115
ko:K00945	amai:I635_11120
ko:K00800	amai:I635_11125
ko:K00831	amai:I635_11130
ko:K02469	amai:I635_11135
ko:K11107	amai:I635_11155
ko:K01923	amai:I635_11180
ko:K07287	amai:I635_11185
ko:K01714	amai:I635_11190
ko:K03567	amai:I635_11195
ko:K02670	amai:I635_15255
ko:K02669	amai:I635_15260
ko:K06997	amai:I635_15265
ko:K00286	amai:I635_15270
ko:K02221	amai:I635_15275
ko:K09861	amai:I635_15350
ko:K01810	amai:I635_15370
ko:K03648	amai:I635_15380
ko:K01733	amai:I635_15385
ko:K00872	amai:I635_15390
ko:K12524	amai:I635_15395
ko:K03701	amai:I635_15400
ko:K00906	amai:I635_15445
ko:K13747	amai:I635_15515
ko:K07056	amai:I635_15525
ko:K07121	amai:I635_15530
ko:K03745	amai:I635_19670
ko:K04760	amai:I635_19690
ko:K06959	amai:I635_19695
ko:K02529	amai:I635_19725
ko:K01805	amai:I635_19760
ko:K05349	amai:I635_19780
ko:K02170	amai:I635_19830
ko:K07400	amai:I635_19845
ko:K00789	amai:I635_04025
ko:K00615	amai:I635_04030
ko:K03472	amai:I635_04035
ko:K00927	amai:I635_04040
ko:K01623	amai:I635_04045
ko:K03585	amai:I635_04055
ko:K01524	amai:I635_04075
ko:K00937	amai:I635_04080
ko:K02037	amai:I635_04090
ko:K02038	amai:I635_04095
ko:K02036	amai:I635_04100
ko:K02039	amai:I635_04105
ko:K03306	amai:I635_04110
ko:K04761	amai:I635_04120
ko:K11068	amai:I635_04130
ko:K03547	amai:I635_04175
ko:K07862	amai:I635_04195
ko:K01468	amai:I635_04205
ko:K05836	amai:I635_04210
ko:K01712	amai:I635_04215
ko:K01745	amai:I635_04220
ko:K05805	amai:I635_04225
ko:K01640	amai:I635_08450
ko:K01968	amai:I635_08455
ko:K13766	amai:I635_08460
ko:K01969	amai:I635_08465
ko:K00253	amai:I635_08470
ko:K01556	amai:I635_08490
ko:K01141	amai:I635_08505
ko:K01354	amai:I635_12895
ko:K03603	amai:I635_12900
ko:K03314	amai:I635_12905
ko:K03611	amai:I635_12910
ko:K03790	amai:I635_12915
ko:K09160	amai:I635_12925
ko:K09902	amai:I635_12940
ko:K03684	amai:I635_12945
ko:K07285	amai:I635_12960
ko:K16089	amai:I635_13025
ko:K00765	amai:I635_13035
ko:K00013	amai:I635_13040
ko:K00817	amai:I635_13045
ko:K01089	amai:I635_13050
ko:K02501	amai:I635_13055
ko:K01814	amai:I635_13060
ko:K02500	amai:I635_13065
ko:K11755	amai:I635_13070
ko:K03100	amai:I635_13095
ko:K07136	amai:I635_13115
ko:K04079	amai:I635_13125
ko:K06187	amai:I635_13130
ko:K03457	amai:I635_17220
ko:K00140	amai:I635_17230
ko:K09024	amai:I635_17235
ko:K09019	amai:I635_17240
ko:K09023	amai:I635_17245
ko:K09021	amai:I635_17250
ko:K09018	amai:I635_17260
ko:K02346	amai:I635_17295
ko:K05952	amai:I635_17300
ko:K03734	amai:I635_17305
ko:K00351	amai:I635_17310
ko:K00350	amai:I635_17315
ko:K00349	amai:I635_17320
ko:K00348	amai:I635_17325
ko:K00347	amai:I635_17330
ko:K00346	amai:I635_17335
ko:K00209	amai:I635_17340
ko:K03773	amai:I635_17345
ko:K01595	amai:I635_17350
ko:K00024	amai:I635_17370
ko:K03402	amai:I635_17375
ko:K00876	amai:I635_17400
ko:K14393	amai:I635_17440
ko:K07154	amai:I635_00370
ko:K03315	amai:I635_00385
ko:K07112	amai:I635_00390
ko:K07112	amai:I635_00395
ko:K13771	amai:I635_00400
ko:K07090	amai:I635_00405
ko:K17218	amai:I635_00415
ko:K00426	amai:I635_00445
ko:K00425	amai:I635_00450
ko:K15726	amai:I635_00500
ko:K01993	amai:I635_00570
ko:K13926	amai:I635_00575
ko:K16088	amai:I635_00585
ko:K06918	amai:I635_00610
ko:K08990	amai:I635_00615
ko:K04095	amai:I635_00630
ko:K03150	amai:I635_00635
ko:K03149	amai:I635_00640
ko:K03154	amai:I635_00645
ko:K14153	amai:I635_00655
ko:K11991	amai:I635_04900
ko:K01952	amai:I635_04915
ko:K12542	amai:I635_04965
ko:K09860	amai:I635_04990
ko:K02399	amai:I635_04995
ko:K02398	amai:I635_05000
ko:K02386	amai:I635_05005
ko:K03415	amai:I635_05010
ko:K02387	amai:I635_05020
ko:K02388	amai:I635_05025
ko:K02389	amai:I635_05030
ko:K02390	amai:I635_05035
ko:K02391	amai:I635_05040
ko:K02392	amai:I635_05045
ko:K02393	amai:I635_05050
ko:K02394	amai:I635_05055
ko:K02395	amai:I635_05060
ko:K02396	amai:I635_05065
ko:K02397	amai:I635_05070
ko:K02406	amai:I635_05080
ko:K02406	amai:I635_05085
ko:K02406	amai:I635_05095
ko:K02407	amai:I635_05105
ko:K02422	amai:I635_05110
ko:K15894	amai:I635_05125
ko:K02519	amai:I635_09265
ko:K02834	amai:I635_09270
ko:K02956	amai:I635_09285
ko:K06182	amai:I635_09290
ko:K07394	amai:I635_09310
ko:K03387	amai:I635_09345
ko:K06134	amai:I635_09365
ko:K05777	amai:I635_09415
ko:K05778	amai:I635_09420
ko:K05779	amai:I635_09425
ko:K03664	amai:I635_09505
ko:K09801	amai:I635_09515
ko:K09773	amai:I635_09555
ko:K01491	amai:I635_13640
ko:K09941	amai:I635_13645
ko:K01881	amai:I635_13655
ko:K01058	amai:I635_13665
ko:K01951	amai:I635_13680
ko:K03601	amai:I635_13690
ko:K03977	amai:I635_13705
ko:K01892	amai:I635_13720
ko:K15539	amai:I635_13730
ko:K02656	amai:I635_13735
ko:K06941	amai:I635_13740
ko:K00940	amai:I635_13745
ko:K02426	amai:I635_13750
ko:K11717	amai:I635_13765
ko:K09015	amai:I635_13770
ko:K09013	amai:I635_13775
ko:K09014	amai:I635_13780
ko:K04487	amai:I635_13785
ko:K13643	amai:I635_13790
ko:K00640	amai:I635_13800
ko:K15396	amai:I635_13805
ko:K03074	amai:I635_13825
ko:K03072	amai:I635_13830
ko:K03210	amai:I635_13835
ko:K00773	amai:I635_13840
ko:K07568	amai:I635_13845
ko:K09980	amai:I635_13855
ko:K10716	amai:I635_13865
ko:K03182	amai:I635_18010
ko:K05368	amai:I635_18015
ko:K00425	amai:I635_18050
ko:K00426	amai:I635_18055
ko:K05800	amai:I635_18065
ko:K03704	amai:I635_18075
ko:K03688	amai:I635_18080
ko:K03690	amai:I635_18085
ko:K03183	amai:I635_18090
ko:K01414	amai:I635_18100
ko:K02044	amai:I635_18110
ko:K00021	amai:I635_18180
ko:K13408	amai:I635_18185
ko:K13409	amai:I635_18190
ko:K03667	amai:I635_18220
ko:K01419	amai:I635_18225
ko:K04066	amai:I635_18235
ko:K02909	amai:I635_18240
ko:K01972	amai:I635_10185
ko:K09928	amai:I635_10190
ko:K00912	amai:I635_10210
ko:K09791	amai:I635_10215
ko:K00979	amai:I635_10220
ko:K14441	amai:I635_10230
ko:K06911	amai:I635_10255
ko:K01647	amai:I635_10270
ko:K00242	amai:I635_10280
ko:K00239	amai:I635_10285
ko:K00240	amai:I635_10290
ko:K00164	amai:I635_10295
ko:K00658	amai:I635_10300
ko:K01903	amai:I635_10305
ko:K01902	amai:I635_10310
ko:K16211	amai:I635_10360
ko:K01886	amai:I635_10375
ko:K05520	amai:I635_14470
ko:K07058	amai:I635_14475
ko:K03291	amai:I635_14515
ko:K03654	amai:I635_14530
ko:K00262	amai:I635_14605
ko:K06140	amai:I635_14610
ko:K03563	amai:I635_14620
ko:K16091	amai:I635_14720
ko:K03426	amai:I635_18820
ko:K07740	amai:I635_18825
ko:K09823	amai:I635_18830
ko:K03088	amai:I635_18870
ko:K02939	amai:I635_18890
ko:K02963	amai:I635_18895
ko:K02990	amai:I635_18900
ko:K09918	amai:I635_18910
ko:K02003	amai:I635_18915
ko:K16264	amai:I635_18945
ko:K03315	amai:I635_18965
ko:K05349	amai:I635_18970
ko:K02429	amai:I635_18975
ko:K02529	amai:I635_18985
ko:K15034	amai:I635_19045
ko:K12262	amai:I635_19070
ko:K03885	amai:I635_19080
ko:K06076	amai:I635_19100
ko:K01779	amai:I635_19855
ko:K03327	amai:I635_19865
ko:K07152	amai:I635_19880
ko:K02259	amai:I635_19890
ko:K02276	amai:I635_19910
ko:K02275	amai:I635_19925
ko:K01356	amai:I635_19930
ko:K00631	amai:I635_19935
ko:K01754	amai:I635_19940
ko:K01687	amai:I635_19945
ko:K07000	amai:I635_03160
ko:K02622	amai:I635_03165
ko:K02356	amai:I635_03205
ko:K04568	amai:I635_03210
ko:K01273	amai:I635_03235
ko:K05527	amai:I635_03255
ko:K03321	amai:I635_03285
ko:K00362	amai:I635_03290
ko:K00363	amai:I635_03295
ko:K00372	amai:I635_03300
ko:K07340	amai:I635_14630
ko:K07023	amai:I635_03340
ko:K03673	amai:I635_03345
ko:K16092	amai:I635_03350
ko:K03086	amai:I635_03430
ko:K09117	amai:I635_03440
ko:K02970	amai:I635_03450
ko:K03310	amai:I635_07655
ko:K06942	amai:I635_07670
ko:K01056	amai:I635_07675
ko:K02897	amai:I635_07685
ko:K12957	amai:I635_07690
ko:K00948	amai:I635_07705
ko:K00919	amai:I635_07710
ko:K02494	amai:I635_07715
ko:K02492	amai:I635_07720
ko:K02835	amai:I635_07725
ko:K02493	amai:I635_07730
ko:K01627	amai:I635_07745
ko:K07020	amai:I635_07760
ko:K06968	amai:I635_07770
ko:K02355	amai:I635_07775
ko:K01725	amai:I635_07780
ko:K01725	amai:I635_07785
ko:K03924	amai:I635_07810
ko:K03645	amai:I635_07815
ko:K00688	amai:I635_07825
ko:K05526	amai:I635_07835
ko:K09707	amai:I635_07880
ko:K06996	amai:I635_07885
ko:K09916	amai:I635_12060
ko:K03310	amai:I635_12075
ko:K00134	amai:I635_12085
ko:K00705	amai:I635_12115
ko:K00134	amai:I635_12120
ko:K01792	amai:I635_12125
ko:K01625	amai:I635_12130
ko:K01690	amai:I635_12140
ko:K01057	amai:I635_12145
ko:K00036	amai:I635_12150
ko:K00873	amai:I635_12160
ko:K03521	amai:I635_12180
ko:K01625	amai:I635_12205
ko:K01690	amai:I635_12215
ko:K01057	amai:I635_12220
ko:K00036	amai:I635_12225
ko:K00873	amai:I635_12235
ko:K09190	amai:I635_12285
ko:K09967	amai:I635_12290
ko:K07093	amai:I635_12300
ko:K06136	amai:I635_16405
ko:K06137	amai:I635_16410
ko:K06139	amai:I635_16420
ko:K00140	amai:I635_16485
ko:K02168	amai:I635_16495
ko:K03088	amai:I635_16500
ko:K03777	amai:I635_16530
ko:K06214	amai:I635_16540
ko:K04338	amai:I635_16545
ko:K04337	amai:I635_16550
ko:K04335	amai:I635_16560
ko:K11927	amai:I635_16585
ko:K00426	amai:I635_16600
ko:K00425	amai:I635_16605
ko:K00925	amai:I635_16620
ko:K14219	amai:I635_t20640
ko:K02662	amai:I635_02330
ko:K05366	amai:I635_02335
ko:K03781	amai:I635_02365
ko:K14682	amai:I635_02385
ko:K01755	amai:I635_02390
ko:K01940	amai:I635_02395
ko:K00611	amai:I635_02400
ko:K00930	amai:I635_02405
ko:K01990	amai:I635_16390
ko:K01990	amai:I635_18415
ko:K14221	amai:I635_t20598
ko:K14221	amai:I635_t20600
ko:K14221	amai:I635_t20602
ko:K14221	amai:I635_t20604
ko:K14218	amai:I635_t20538
ko:K14218	amai:I635_t20648
ko:K14218	amai:I635_t20626
ko:K01980	amai:I635_r20684
ko:K01985	amai:I635_r20662
ko:K01985	amai:I635_r20668
ko:K01985	amai:I635_r20666
ko:K01985	amai:I635_r20664
ko:K01985	amai:I635_r20660
ko:K01985	amai:I635_r20670
ko:K14219	amai:I635_t20534
ko:K14225	amai:I635_t20542
ko:K14234	amai:I635_t20544
ko:K14234	amai:I635_t20656
ko:K14225	amai:I635_t20652
ko:K01992	amai:I635_00580
ko:K01992	amai:I635_16395
ko:K01992	amai:I635_18410
ko:K07245	amai:I635_01440
ko:K14231	amai:I635_t20536
ko:K14230	amai:I635_t20546
ko:K14219	amai:I635_t20548
ko:K14233	amai:I635_t20550
ko:K14219	amai:I635_t20552
ko:K14219	amai:I635_t20554
ko:K14235	amai:I635_t20556
ko:K14235	amai:I635_t20658
ko:K14220	amai:I635_t20558
ko:K14220	amai:I635_t20560
ko:K14229	amai:I635_t20562
ko:K14229	amai:I635_t20564
ko:K14229	amai:I635_t20566
ko:K14233	amai:I635_t20568
ko:K14218	amai:I635_t20572
ko:K14228	amai:I635_t20584
ko:K14228	amai:I635_t20590
ko:K14228	amai:I635_t20636
ko:K14228	amai:I635_t20630
ko:K14230	amai:I635_t20586
ko:K14230	amai:I635_t20592
ko:K14237	amai:I635_t20596
ko:K14230	amai:I635_t20606
ko:K14230	amai:I635_t20608
ko:K14228	amai:I635_t20610
ko:K14228	amai:I635_t20612
ko:K14222	amai:I635_t20614
ko:K14233	amai:I635_t20618
ko:K14233	amai:I635_t20620
ko:K14232	amai:I635_t20622
ko:K14226	amai:I635_t20632
ko:K14226	amai:I635_t20638
ko:K14232	amai:I635_t20628
ko:K14232	amai:I635_t20634
ko:K14232	amai:I635_t20642
ko:K14228	amai:I635_t20644
ko:K14234	amai:I635_t20650
ko:K14236	amai:I635_t20654
ko:K01977	amai:I635_r20676
ko:K01977	amai:I635_r20674
ko:K01977	amai:I635_r20678
ko:K01977	amai:I635_r20672
ko:K01980	amai:I635_r20686
ko:K01980	amai:I635_r20680
ko:K01980	amai:I635_r20682
ko:K01977	amai:I635_r20688
ko:K01980	amai:I635_r20692
ko:K08316	amai:I635_18330
ko:K07576	amai:I635_16330
ko:K17686	amai:I635_01580
ko:K07657	amai:I635_03520
ko:K01243	amai:I635_03605
ko:K03406	amai:I635_03635
ko:K01525	amai:I635_03640
ko:K04763	amai:I635_03675
ko:K04765	amai:I635_03720
ko:K03455	amai:I635_07945
ko:K02014	amai:I635_08075
ko:K03793	amai:I635_08145
ko:K07004	amai:I635_12330
ko:K03593	amai:I635_12475
ko:K03442	amai:I635_12485
ko:K03768	amai:I635_12530
ko:K02014	amai:I635_16835
ko:K00666	amai:I635_16880
ko:K12282	amai:I635_01215
ko:K12283	amai:I635_01220
ko:K12284	amai:I635_01225
ko:K12276	amai:I635_01230
ko:K12278	amai:I635_01235
ko:K10925	amai:I635_01245
ko:K10924	amai:I635_01250
ko:K10926	amai:I635_01255
ko:K10927	amai:I635_01260
ko:K12285	amai:I635_01265
ko:K12286	amai:I635_01270
ko:K12287	amai:I635_01275
ko:K00564	amai:I635_01350
ko:K07665	amai:I635_01395
ko:K03442	amai:I635_05775
ko:K02342	amai:I635_05790
ko:K07213	amai:I635_06025
ko:K01489	amai:I635_10155
ko:K02238	amai:I635_10200
ko:K11085	amai:I635_10205
ko:K07393	amai:I635_10250
ko:K00241	amai:I635_10275
ko:K02014	amai:I635_10315
ko:K07116	amai:I635_10390
ko:K04774	amai:I635_10395
ko:K02014	amai:I635_14450
ko:K03409	amai:I635_18835
ko:K02004	amai:I635_18920
ko:K03776	amai:I635_18925
ko:K05350	amai:I635_18980
ko:K14227	amai:I635_t20540
ko:K14227	amai:I635_t20646
ko:K14227	amai:I635_t20624
ko:K14224	amai:I635_t20576
ko:K14224	amai:I635_t20578
ko:K14224	amai:I635_t20580
ko:K14224	amai:I635_t20574
ko:K06282	amai:I635_01530
ko:K06281	amai:I635_01535
ko:K04652	amai:I635_01555
ko:K04655	amai:I635_01570
ko:K15725	amai:I635_01645
ko:K15727	amai:I635_01650
ko:K06177	amai:I635_06325
ko:K00830	amai:I635_10670
ko:K01262	amai:I635_14865
ko:K00852	amai:I635_14875
ko:K01934	amai:I635_14890
ko:K00058	amai:I635_14900
ko:K01989	amai:I635_19120
ko:K00567	amai:I635_19160
ko:K01585	amai:I635_19175
ko:K03769	amai:I635_19265
ko:K02806	amai:I635_03860
ko:K02067	amai:I635_03915
ko:K11105	amai:I635_03985
ko:K03298	amai:I635_03995
ko:K03606	amai:I635_08180
ko:K01104	amai:I635_08200
ko:K08086	amai:I635_12645
ko:K00647	amai:I635_12685
ko:K00657	amai:I635_12725
ko:K00219	amai:I635_12835
ko:K01692	amai:I635_12840
ko:K00380	amai:I635_16945
ko:K07304	amai:I635_17065
ko:K15460	amai:I635_17135
ko:K01278	amai:I635_17145
ko:K00808	amai:I635_21559
ko:K01560	amai:I635_01870
ko:K05499	amai:I635_01935
ko:K01834	amai:I635_01985
ko:K09705	amai:I635_01990
ko:K07263	amai:I635_06335
ko:K02014	amai:I635_06410
ko:K03386	amai:I635_06435
ko:K01759	amai:I635_06455
ko:K03613	amai:I635_06480
ko:K03612	amai:I635_06485
ko:K03614	amai:I635_06490
ko:K03615	amai:I635_06495
ko:K03616	amai:I635_06500
ko:K03617	amai:I635_06505
ko:K01082	amai:I635_06575
ko:K03307	amai:I635_06590
ko:K06149	amai:I635_10830
ko:K03796	amai:I635_10930
ko:K01011	amai:I635_10950
ko:K02653	amai:I635_14995
ko:K03574	amai:I635_15025
ko:K03442	amai:I635_15225
ko:K02342	amai:I635_19390
ko:K01426	amai:I635_19415
ko:K02454	amai:I635_19535
ko:K02463	amai:I635_19580
ko:K00135	amai:I635_19590
ko:K01082	amai:I635_19610
ko:K09898	amai:I635_19635
ko:K07019	amai:I635_19640
ko:K03406	amai:I635_04165
ko:K01479	amai:I635_04200
ko:K00626	amai:I635_08480
ko:K09749	amai:I635_08500
ko:K08305	amai:I635_12935
ko:K07017	amai:I635_13080
ko:K07263	amai:I635_13090
ko:K00939	amai:I635_13120
ko:K02014	amai:I635_17225
ko:K09020	amai:I635_17255
ko:K03317	amai:I635_17405
ko:K02342	amai:I635_17430
ko:K07182	amai:I635_17435
ko:K05844	amai:I635_17460
ko:K03406	amai:I635_02095
ko:K08305	amai:I635_02125
ko:K01664	amai:I635_02260
ko:K02665	amai:I635_02315
ko:K07114	amai:I635_06620
ko:K07114	amai:I635_06625
ko:K01782	amai:I635_06650
ko:K06147	amai:I635_06745
ko:K05812	amai:I635_10960
ko:K11179	amai:I635_11035
ko:K08992	amai:I635_11100
ko:K00568	amai:I635_11140
ko:K00219	amai:I635_15285
ko:K00799	amai:I635_15300
ko:K04063	amai:I635_15310
ko:K07304	amai:I635_15315
ko:K00616	amai:I635_15365
ko:K00121	amai:I635_15410
ko:K03325	amai:I635_15435
ko:K01488	amai:I635_15480
ko:K00854	amai:I635_19765
ko:K01181	amai:I635_19800
ko:K01209	amai:I635_19805
ko:K02258	amai:I635_19915
ko:K02274	amai:I635_19920
ko:K03498	amai:I635_00080
ko:K03499	amai:I635_00085
ko:K02428	amai:I635_04495
ko:K00974	amai:I635_04505
ko:K02450	amai:I635_04510
ko:K03743	amai:I635_04565
ko:K09697	amai:I635_04575
ko:K09696	amai:I635_04580
ko:K02193	amai:I635_04595
ko:K03469	amai:I635_08945
ko:K02342	amai:I635_08950
ko:K07167	amai:I635_13235
ko:K14683	amai:I635_17495
ko:K03406	amai:I635_17545
ko:K03747	amai:I635_00115
ko:K14162	amai:I635_00180
ko:K10563	amai:I635_00270
ko:K00027	amai:I635_02340
ko:K11209	amai:I635_02355
ko:K07640	amai:I635_02430
ko:K01048	amai:I635_02435
ko:K03560	amai:I635_06910
ko:K04767	amai:I635_07045
ko:K03548	amai:I635_11205
ko:K06445	amai:I635_11260
ko:K12961	amai:I635_15545
