ko:K01139	kps:KPNJ2_00117
ko:K09458	kps:KPNJ2_02669
ko:K03543	kps:KPNJ2_02671
ko:K00133	kps:KPNJ2_02673
ko:K02030	kps:KPNJ2_02681
ko:K02029	kps:KPNJ2_02682
ko:K02029	kps:KPNJ2_02683
ko:K02028	kps:KPNJ2_02684
ko:K02083	kps:KPNJ2_02686
ko:K02371	kps:KPNJ2_02687
ko:K08178	kps:KPNJ2_02692
ko:K02821	kps:KPNJ2_02702
ko:K02822	kps:KPNJ2_02703
ko:K03475	kps:KPNJ2_02704
ko:K17195	kps:KPNJ2_02705
ko:K02768	kps:KPNJ2_02706
ko:K02769	kps:KPNJ2_02708
ko:K02770	kps:KPNJ2_02709
ko:K01439	kps:KPNJ2_02716
ko:K07048	kps:KPNJ2_02718
ko:K02057	kps:KPNJ2_02719
ko:K02056	kps:KPNJ2_02720
ko:K02529	kps:KPNJ2_02721
ko:K03113	kps:KPNJ2_03213
ko:K01591	kps:KPNJ2_03214
ko:K08992	kps:KPNJ2_03216
ko:K01497	kps:KPNJ2_03218
ko:K01681	kps:KPNJ2_03219
ko:K13634	kps:KPNJ2_03222
ko:K03168	kps:KPNJ2_03223
ko:K04774	kps:KPNJ2_03226
ko:K06178	kps:KPNJ2_03230
ko:K03566	kps:KPNJ2_03231
ko:K07053	kps:KPNJ2_03234
ko:K01657	kps:KPNJ2_03235
ko:K13497	kps:KPNJ2_03236
ko:K13498	kps:KPNJ2_03237
ko:K01696	kps:KPNJ2_03238
ko:K01791	kps:KPNJ2_05263
ko:K05790	kps:KPNJ2_05264
ko:K14761	kps:KPNJ2_04155
ko:K01883	kps:KPNJ2_04156
ko:K03768	kps:KPNJ2_04157
ko:K03269	kps:KPNJ2_04158
ko:K01588	kps:KPNJ2_04160
ko:K01589	kps:KPNJ2_04161
ko:K06917	kps:KPNJ2_04162
ko:K00481	kps:KPNJ2_04737
ko:K02317	kps:KPNJ2_04741
ko:K01002	kps:KPNJ2_04745
ko:K00041	kps:KPNJ2_04754
ko:K01631	kps:KPNJ2_04761
ko:K00883	kps:KPNJ2_04762
ko:K03307	kps:KPNJ2_04763
ko:K06015	kps:KPNJ2_04765
ko:K05921	kps:KPNJ2_04771
ko:K05921	kps:KPNJ2_04772
ko:K00151	kps:KPNJ2_04773
ko:K00455	kps:KPNJ2_04774
ko:K01826	kps:KPNJ2_04775
ko:K02509	kps:KPNJ2_04776
ko:K02510	kps:KPNJ2_04777
ko:K02511	kps:KPNJ2_04778
ko:K02508	kps:KPNJ2_04779
ko:K00483	kps:KPNJ2_04780
ko:K00484	kps:KPNJ2_04781
ko:K02110	kps:KPNJ2_05421
ko:K02109	kps:KPNJ2_05422
ko:K02113	kps:KPNJ2_05423
ko:K02111	kps:KPNJ2_05424
ko:K02115	kps:KPNJ2_05425
ko:K02112	kps:KPNJ2_05426
ko:K02114	kps:KPNJ2_05427
ko:K04042	kps:KPNJ2_05430
ko:K00820	kps:KPNJ2_05431
ko:K02040	kps:KPNJ2_05432
ko:K02037	kps:KPNJ2_05433
ko:K02038	kps:KPNJ2_05434
ko:K02036	kps:KPNJ2_05435
ko:K02039	kps:KPNJ2_05436
ko:K10124	kps:KPNJ2_05439
ko:K07214	kps:KPNJ2_05440
ko:K06901	kps:KPNJ2_05443
ko:K08163	kps:KPNJ2_05447
ko:K03650	kps:KPNJ2_05449
ko:K03217	kps:KPNJ2_05450
ko:K08998	kps:KPNJ2_05451
ko:K03536	kps:KPNJ2_05452
ko:K02914	kps:KPNJ2_05453
ko:K11191	kps:KPNJ2_00069
ko:K11192	kps:KPNJ2_00069
ko:K07106	kps:KPNJ2_00070
ko:K07552	kps:KPNJ2_00071
ko:K07006	kps:KPNJ2_00081
ko:K09958	kps:KPNJ2_00082
ko:K02073	kps:KPNJ2_00085
ko:K13979	kps:KPNJ2_00090
ko:K03292	kps:KPNJ2_00095
ko:K01811	kps:KPNJ2_00096
ko:K01222	kps:KPNJ2_00098
ko:K02749	kps:KPNJ2_00099
ko:K02750	kps:KPNJ2_00099
ko:K16345	kps:KPNJ2_00101
ko:K03312	kps:KPNJ2_00103
ko:K00864	kps:KPNJ2_00104
ko:K02440	kps:KPNJ2_00105
ko:K09892	kps:KPNJ2_00106
ko:K02048	kps:KPNJ2_00107
ko:K01521	kps:KPNJ2_00108
ko:K01803	kps:KPNJ2_00110
ko:K00528	kps:KPNJ2_00113
ko:K02446	kps:KPNJ2_00114
ko:K03655	kps:KPNJ2_00115
ko:K00556	kps:KPNJ2_00116
ko:K03060	kps:KPNJ2_00118
ko:K00942	kps:KPNJ2_00119
ko:K01972	kps:KPNJ2_00120
ko:K01993	kps:KPNJ2_00127
ko:K01990	kps:KPNJ2_00128
ko:K00989	kps:KPNJ2_00131
ko:K00762	kps:KPNJ2_00132
ko:K05501	kps:KPNJ2_00133
ko:K13038	kps:KPNJ2_00136
ko:K03630	kps:KPNJ2_00137
ko:K02902	kps:KPNJ2_00138
ko:K02913	kps:KPNJ2_00139
ko:K10563	kps:KPNJ2_00140
ko:K00954	kps:KPNJ2_00141
ko:K12984	kps:KPNJ2_00142
ko:K02527	kps:KPNJ2_00143
ko:K02844	kps:KPNJ2_00146
ko:K02849	kps:KPNJ2_00147
ko:K02841	kps:KPNJ2_00152
ko:K02843	kps:KPNJ2_00153
ko:K03274	kps:KPNJ2_00154
ko:K00639	kps:KPNJ2_00155
ko:K00060	kps:KPNJ2_00156
ko:K09798	kps:KPNJ2_00158
ko:K15633	kps:KPNJ2_00160
ko:K03071	kps:KPNJ2_00164
ko:K00057	kps:KPNJ2_00165
ko:K00640	kps:KPNJ2_00166
ko:K03216	kps:KPNJ2_00167
ko:K00101	kps:KPNJ2_00168
ko:K14348	kps:KPNJ2_00169
ko:K00427	kps:KPNJ2_00170
ko:K14762	kps:KPNJ2_00172
ko:K02562	kps:KPNJ2_00175
ko:K00694	kps:KPNJ2_00232
ko:K00694	kps:KPNJ2_00242
ko:K11103	kps:KPNJ2_00248
ko:K00874	kps:KPNJ2_00250
ko:K07290	kps:KPNJ2_00252
ko:K07058	kps:KPNJ2_00254
ko:K01194	kps:KPNJ2_00258
ko:K00799	kps:KPNJ2_00260
ko:K00383	kps:KPNJ2_00261
ko:K07115	kps:KPNJ2_00262
ko:K01414	kps:KPNJ2_00265
ko:K15984	kps:KPNJ2_00266
ko:K03305	kps:KPNJ2_00267
ko:K06149	kps:KPNJ2_00268
ko:K06144	kps:KPNJ2_00269
ko:K16322	kps:KPNJ2_00270
ko:K07007	kps:KPNJ2_00271
ko:K06213	kps:KPNJ2_00272
ko:K07722	kps:KPNJ2_00273
ko:K10824	kps:KPNJ2_00274
ko:K15587	kps:KPNJ2_00275
ko:K15586	kps:KPNJ2_00276
ko:K15585	kps:KPNJ2_00277
ko:K15584	kps:KPNJ2_00278
ko:K13727	kps:KPNJ2_00280
ko:K07806	kps:KPNJ2_00281
ko:K10012	kps:KPNJ2_00282
ko:K03767	kps:KPNJ2_00389
ko:K04095	kps:KPNJ2_00391
ko:K01664	kps:KPNJ2_00392
ko:K10914	kps:KPNJ2_00395
ko:K07397	kps:KPNJ2_00397
ko:K00855	kps:KPNJ2_00398
ko:K09898	kps:KPNJ2_00399
ko:K07019	kps:KPNJ2_00400
ko:K06158	kps:KPNJ2_00401
ko:K11747	kps:KPNJ2_00403
ko:K07070	kps:KPNJ2_00404
ko:K03775	kps:KPNJ2_00405
ko:K03745	kps:KPNJ2_00406
ko:K03772	kps:KPNJ2_00407
ko:K07235	kps:KPNJ2_00409
ko:K07236	kps:KPNJ2_00410
ko:K07237	kps:KPNJ2_00411
ko:K02950	kps:KPNJ2_00412
ko:K02992	kps:KPNJ2_00413
ko:K02355	kps:KPNJ2_00414
ko:K02358	kps:KPNJ2_00415
ko:K03073	kps:KPNJ2_00416
ko:K02601	kps:KPNJ2_00417
ko:K02867	kps:KPNJ2_00418
ko:K02863	kps:KPNJ2_00419
ko:K02864	kps:KPNJ2_00421
ko:K02935	kps:KPNJ2_00422
ko:K03043	kps:KPNJ2_00423
ko:K03046	kps:KPNJ2_00424
ko:K07792	kps:KPNJ2_00425
ko:K02759	kps:KPNJ2_00426
ko:K02760	kps:KPNJ2_00427
ko:K03150	kps:KPNJ2_00430
ko:K03149	kps:KPNJ2_00431
ko:K03154	kps:KPNJ2_00432
ko:K03148	kps:KPNJ2_00433
ko:K00788	kps:KPNJ2_00434
ko:K03147	kps:KPNJ2_00435
ko:K07740	kps:KPNJ2_00436
ko:K03426	kps:KPNJ2_00437
ko:K01599	kps:KPNJ2_00438
ko:K05982	kps:KPNJ2_00439
ko:K09891	kps:KPNJ2_00440
ko:K05787	kps:KPNJ2_00441
ko:K03624	kps:KPNJ2_00599
ko:K07574	kps:KPNJ2_00600
ko:K02427	kps:KPNJ2_00601
ko:K03798	kps:KPNJ2_00602
ko:K00796	kps:KPNJ2_00603
ko:K03431	kps:KPNJ2_00604
ko:K03075	kps:KPNJ2_00605
ko:K01940	kps:KPNJ2_00609
ko:K00703	kps:KPNJ2_00336
ko:K00688	kps:KPNJ2_00337
ko:K00111	kps:KPNJ2_00340
ko:K02439	kps:KPNJ2_00342
ko:K02441	kps:KPNJ2_00343
ko:K02444	kps:KPNJ2_00344
ko:K03556	kps:KPNJ2_00345
ko:K00688	kps:KPNJ2_00347
ko:K00705	kps:KPNJ2_00348
ko:K06155	kps:KPNJ2_00349
ko:K07400	kps:KPNJ2_00350
ko:K02170	kps:KPNJ2_00352
ko:K07490	kps:KPNJ2_00354
ko:K04759	kps:KPNJ2_00355
ko:K04758	kps:KPNJ2_00356
ko:K06959	kps:KPNJ2_00358
ko:K04760	kps:KPNJ2_00359
ko:K07659	kps:KPNJ2_00360
ko:K07638	kps:KPNJ2_00361
ko:K01610	kps:KPNJ2_00362
ko:K04083	kps:KPNJ2_00364
ko:K04762	kps:KPNJ2_00365
ko:K08312	kps:KPNJ2_00368
ko:K05366	kps:KPNJ2_00369
ko:K12288	kps:KPNJ2_00370
ko:K12289	kps:KPNJ2_00371
ko:K12290	kps:KPNJ2_00372
ko:K12291	kps:KPNJ2_00373
ko:K02507	kps:KPNJ2_00374
ko:K00891	kps:KPNJ2_00376
ko:K01735	kps:KPNJ2_00377
ko:K03112	kps:KPNJ2_00378
ko:K01783	kps:KPNJ2_00380
ko:K01091	kps:KPNJ2_00381
ko:K01867	kps:KPNJ2_00382
ko:K02302	kps:KPNJ2_00383
ko:K00363	kps:KPNJ2_00384
ko:K00362	kps:KPNJ2_00385
ko:K01485	kps:KPNJ2_00387
ko:K06141	kps:KPNJ2_00388
ko:K04096	kps:KPNJ2_00493
ko:K03747	kps:KPNJ2_00494
ko:K07479	kps:KPNJ2_00495
ko:K07566	kps:KPNJ2_00496
ko:K00014	kps:KPNJ2_00497
ko:K18141	kps:KPNJ2_00503
ko:K18140	kps:KPNJ2_00504
ko:K03557	kps:KPNJ2_00526
ko:K05540	kps:KPNJ2_00527
ko:K02687	kps:KPNJ2_00529
ko:K14392	kps:KPNJ2_00530
ko:K01961	kps:KPNJ2_00532
ko:K02160	kps:KPNJ2_00533
ko:K03786	kps:KPNJ2_00534
ko:K17247	kps:KPNJ2_00535
ko:K03569	kps:KPNJ2_00539
ko:K03570	kps:KPNJ2_00540
ko:K03571	kps:KPNJ2_00541
ko:K06287	kps:KPNJ2_00542
ko:K08301	kps:KPNJ2_00543
ko:K03568	kps:KPNJ2_00545
ko:K05879	kps:KPNJ2_00706
ko:K05878	kps:KPNJ2_00707
ko:K00005	kps:KPNJ2_00709
ko:K05880	kps:KPNJ2_00710
ko:K02440	kps:KPNJ2_00719
ko:K07679	kps:KPNJ2_00723
ko:K07690	kps:KPNJ2_00724
ko:K03649	kps:KPNJ2_00728
ko:K03086	kps:KPNJ2_00729
ko:K02970	kps:KPNJ2_00731
ko:K01409	kps:KPNJ2_00733
ko:K03189	kps:KPNJ2_00735
ko:K03188	kps:KPNJ2_00736
ko:K03187	kps:KPNJ2_00737
ko:K01428	kps:KPNJ2_00738
ko:K01429	kps:KPNJ2_00739
ko:K01430	kps:KPNJ2_00740
ko:K03190	kps:KPNJ2_00741
ko:K08591	kps:KPNJ2_00743
ko:K01633	kps:KPNJ2_00744
ko:K06153	kps:KPNJ2_00745
ko:K00974	kps:KPNJ2_00746
ko:K07184	kps:KPNJ2_00747
ko:K18446	kps:KPNJ2_00748
ko:K00982	kps:KPNJ2_00749
ko:K03272	kps:KPNJ2_00750
ko:K09806	kps:KPNJ2_00753
ko:K02858	kps:KPNJ2_00754
ko:K07238	kps:KPNJ2_00755
ko:K07345	kps:KPNJ2_00980
ko:K07358	kps:KPNJ2_00982
ko:K07357	kps:KPNJ2_00984
ko:K07345	kps:KPNJ2_00992
ko:K07347	kps:KPNJ2_00995
ko:K00626	kps:KPNJ2_01005
ko:K01730	kps:KPNJ2_01007
ko:K00065	kps:KPNJ2_01009
ko:K02100	kps:KPNJ2_01010
ko:K02532	kps:KPNJ2_01013
ko:K01193	kps:KPNJ2_01014
ko:K10192	kps:KPNJ2_01016
ko:K10195	kps:KPNJ2_01017
ko:K10194	kps:KPNJ2_01018
ko:K10193	kps:KPNJ2_01019
ko:K01586	kps:KPNJ2_01022
ko:K02761	kps:KPNJ2_01024
ko:K05350	kps:KPNJ2_01025
ko:K13637	kps:KPNJ2_01026
ko:K02529	kps:KPNJ2_01027
ko:K05939	kps:KPNJ2_01029
ko:K08227	kps:KPNJ2_01030
ko:K03573	kps:KPNJ2_01034
ko:K01713	kps:KPNJ2_01292
ko:K12972	kps:KPNJ2_01295
ko:K02028	kps:KPNJ2_01297
ko:K02029	kps:KPNJ2_01297
ko:K02030	kps:KPNJ2_01298
ko:K12255	kps:KPNJ2_01301
ko:K05804	kps:KPNJ2_01308
ko:K12661	kps:KPNJ2_01663
ko:K12660	kps:KPNJ2_01666
ko:K00113	kps:KPNJ2_01667
ko:K00112	kps:KPNJ2_01668
ko:K00111	kps:KPNJ2_01669
ko:K02445	kps:KPNJ2_01670
ko:K01126	kps:KPNJ2_01671
ko:K11107	kps:KPNJ2_01673
ko:K00568	kps:KPNJ2_01676
ko:K02469	kps:KPNJ2_01677
ko:K07677	kps:KPNJ2_01678
ko:K07687	kps:KPNJ2_01679
ko:K07676	kps:KPNJ2_01680
ko:K09475	kps:KPNJ2_01684
ko:K03734	kps:KPNJ2_01685
ko:K10778	kps:KPNJ2_01686
ko:K03919	kps:KPNJ2_01687
ko:K06159	kps:KPNJ2_01689
ko:K06213	kps:KPNJ2_01690
ko:K00116	kps:KPNJ2_01692
ko:K08276	kps:KPNJ2_01693
ko:K07014	kps:KPNJ2_01695
ko:K09904	kps:KPNJ2_01696
ko:K06899	kps:KPNJ2_01697
ko:K02897	kps:KPNJ2_01702
ko:K06183	kps:KPNJ2_01704
ko:K07552	kps:KPNJ2_01705
ko:K13896	kps:KPNJ2_01707
ko:K13895	kps:KPNJ2_01708
ko:K13894	kps:KPNJ2_01709
ko:K13893	kps:KPNJ2_01710
ko:K00285	kps:KPNJ2_02081
ko:K01775	kps:KPNJ2_02082
ko:K11105	kps:KPNJ2_02083
ko:K01297	kps:KPNJ2_02084
ko:K08308	kps:KPNJ2_02085
ko:K02014	kps:KPNJ2_02086
ko:K01194	kps:KPNJ2_02087
ko:K07395	kps:KPNJ2_02092
ko:K07592	kps:KPNJ2_02098
ko:K01754	kps:KPNJ2_02099
ko:K03838	kps:KPNJ2_02100
ko:K00932	kps:KPNJ2_02101
ko:K00656	kps:KPNJ2_02102
ko:K01999	kps:KPNJ2_02103
ko:K01997	kps:KPNJ2_02104
ko:K01998	kps:KPNJ2_02105
ko:K01995	kps:KPNJ2_02106
ko:K01996	kps:KPNJ2_02107
ko:K01610	kps:KPNJ2_02109
ko:K03288	kps:KPNJ2_02112
ko:K06177	kps:KPNJ2_02116
ko:K09912	kps:KPNJ2_02117
ko:K11893	kps:KPNJ2_02120
ko:K11892	kps:KPNJ2_02121
ko:K11904	kps:KPNJ2_02125
ko:K05783	kps:KPNJ2_02563
ko:K08349	kps:KPNJ2_02568
ko:K08350	kps:KPNJ2_02569
ko:K02031	kps:KPNJ2_02577
ko:K02032	kps:KPNJ2_02577
ko:K02034	kps:KPNJ2_02578
ko:K02033	kps:KPNJ2_02579
ko:K02035	kps:KPNJ2_02580
ko:K13953	kps:KPNJ2_02581
ko:K01507	kps:KPNJ2_02582
ko:K00027	kps:KPNJ2_02586
ko:K02972	kps:KPNJ2_02588
ko:K05343	kps:KPNJ2_02598
ko:K04063	kps:KPNJ2_02606
ko:K02030	kps:KPNJ2_02608
ko:K08369	kps:KPNJ2_02614
ko:K07507	kps:KPNJ2_02615
ko:K08160	kps:KPNJ2_03688
ko:K11534	kps:KPNJ2_03690
ko:K07258	kps:KPNJ2_03691
ko:K14441	kps:KPNJ2_03698
ko:K13891	kps:KPNJ2_03700
ko:K13890	kps:KPNJ2_03701
ko:K13889	kps:KPNJ2_03702
ko:K13892	kps:KPNJ2_03703
ko:K13051	kps:KPNJ2_03704
ko:K03750	kps:KPNJ2_03705
ko:K04069	kps:KPNJ2_03707
ko:K00656	kps:KPNJ2_03708
ko:K07757	kps:KPNJ2_03709
ko:K08191	kps:KPNJ2_03712
ko:K01187	kps:KPNJ2_03713
ko:K03492	kps:KPNJ2_03718
ko:K01223	kps:KPNJ2_03719
ko:K01695	kps:KPNJ2_03239
ko:K07246	kps:KPNJ2_03241
ko:K13021	kps:KPNJ2_03242
ko:K16090	kps:KPNJ2_03249
ko:K07275	kps:KPNJ2_03251
ko:K06940	kps:KPNJ2_03252
ko:K06190	kps:KPNJ2_03254
ko:K10806	kps:KPNJ2_03256
ko:K00065	kps:KPNJ2_03259
ko:K07038	kps:KPNJ2_03260
ko:K06956	kps:KPNJ2_03261
ko:K15722	kps:KPNJ2_03262
ko:K03781	kps:KPNJ2_03263
ko:K03478	kps:KPNJ2_03264
ko:K01222	kps:KPNJ2_03265
ko:K07404	kps:KPNJ2_03798
ko:K02017	kps:KPNJ2_03800
ko:K02018	kps:KPNJ2_03801
ko:K02020	kps:KPNJ2_03802
ko:K02019	kps:KPNJ2_03804
ko:K05776	kps:KPNJ2_03805
ko:K01784	kps:KPNJ2_03807
ko:K00965	kps:KPNJ2_03808
ko:K00849	kps:KPNJ2_03809
ko:K01785	kps:KPNJ2_03810
ko:K01834	kps:KPNJ2_03812
ko:K01626	kps:KPNJ2_03813
ko:K16264	kps:KPNJ2_03815
ko:K03811	kps:KPNJ2_03816
ko:K03517	kps:KPNJ2_03817
ko:K03640	kps:KPNJ2_03819
ko:K03641	kps:KPNJ2_03820
ko:K03560	kps:KPNJ2_03822
ko:K03562	kps:KPNJ2_03823
ko:K07107	kps:KPNJ2_03824
ko:K00426	kps:KPNJ2_03827
ko:K00425	kps:KPNJ2_03828
ko:K01902	kps:KPNJ2_03831
ko:K01903	kps:KPNJ2_03832
ko:K00658	kps:KPNJ2_03833
ko:K00164	kps:KPNJ2_03834
ko:K00240	kps:KPNJ2_03836
ko:K00239	kps:KPNJ2_03837
ko:K00242	kps:KPNJ2_03838
ko:K00241	kps:KPNJ2_03839
ko:K01647	kps:KPNJ2_03840
ko:K00349	kps:KPNJ2_04431
ko:K00348	kps:KPNJ2_04432
ko:K00347	kps:KPNJ2_04433
ko:K00346	kps:KPNJ2_04434
ko:K03271	kps:KPNJ2_04436
ko:K06445	kps:KPNJ2_04437
ko:K11249	kps:KPNJ2_04439
ko:K02342	kps:KPNJ2_04441
ko:K03469	kps:KPNJ2_04442
ko:K01069	kps:KPNJ2_04444
ko:K08307	kps:KPNJ2_04445
ko:K06222	kps:KPNJ2_04450
ko:K03273	kps:KPNJ2_04457
ko:K02071	kps:KPNJ2_04459
ko:K02072	kps:KPNJ2_04460
ko:K02073	kps:KPNJ2_04461
ko:K06080	kps:KPNJ2_04462
ko:K01881	kps:KPNJ2_04464
ko:K06079	kps:KPNJ2_04466
ko:K15034	kps:KPNJ2_04467
ko:K04075	kps:KPNJ2_04471
ko:K08234	kps:KPNJ2_04472
ko:K01962	kps:KPNJ2_04474
ko:K02337	kps:KPNJ2_04475
ko:K03470	kps:KPNJ2_04476
ko:K00748	kps:KPNJ2_04477
ko:K00677	kps:KPNJ2_04478
ko:K02372	kps:KPNJ2_04479
ko:K06518	kps:KPNJ2_05115
ko:K03316	kps:KPNJ2_05117
ko:K06901	kps:KPNJ2_05118
ko:K00799	kps:KPNJ2_05119
ko:K13639	kps:KPNJ2_05120
ko:K13631	kps:KPNJ2_05121
ko:K01092	kps:KPNJ2_05132
ko:K07277	kps:KPNJ2_05135
ko:K18325	kps:KPNJ2_05139
ko:K03701	kps:KPNJ2_05144
ko:K03788	kps:KPNJ2_05147
ko:K00832	kps:KPNJ2_05148
ko:K01775	kps:KPNJ2_05149
ko:K05539	kps:KPNJ2_05153
ko:K09823	kps:KPNJ2_05155
ko:K03327	kps:KPNJ2_05158
ko:K01356	kps:KPNJ2_05159
ko:K00901	kps:KPNJ2_05160
ko:K00631	kps:KPNJ2_05161
ko:K03179	kps:KPNJ2_05162
ko:K03181	kps:KPNJ2_05163
ko:K05775	kps:KPNJ2_05164
ko:K02024	kps:KPNJ2_05165
ko:K09748	kps:KPNJ2_00611
ko:K02600	kps:KPNJ2_00612
ko:K02519	kps:KPNJ2_00613
ko:K02834	kps:KPNJ2_00614
ko:K03177	kps:KPNJ2_00615
ko:K02956	kps:KPNJ2_00616
ko:K00962	kps:KPNJ2_00617
ko:K05803	kps:KPNJ2_00618
ko:K05592	kps:KPNJ2_00620
ko:K03835	kps:KPNJ2_00621
ko:K08303	kps:KPNJ2_00624
ko:K03824	kps:KPNJ2_00627
ko:K07461	kps:KPNJ2_00628
ko:K05520	kps:KPNJ2_00629
ko:K07089	kps:KPNJ2_00631
ko:K12961	kps:KPNJ2_00633
ko:K07460	kps:KPNJ2_00634
ko:K07121	kps:KPNJ2_00635
ko:K07056	kps:KPNJ2_00636
ko:K02436	kps:KPNJ2_00638
ko:K00094	kps:KPNJ2_00639
ko:K02775	kps:KPNJ2_00640
ko:K02774	kps:KPNJ2_00641
ko:K02773	kps:KPNJ2_00642
ko:K16371	kps:KPNJ2_00643
ko:K11189	kps:KPNJ2_00644
ko:K02769	kps:KPNJ2_00645
ko:K02770	kps:KPNJ2_00645
ko:K16370	kps:KPNJ2_00646
ko:K08302	kps:KPNJ2_00647
ko:K09923	kps:KPNJ2_00872
ko:K02428	kps:KPNJ2_00875
ko:K09131	kps:KPNJ2_00876
ko:K02221	kps:KPNJ2_00877
ko:K06997	kps:KPNJ2_00878
ko:K02669	kps:KPNJ2_00879
ko:K07447	kps:KPNJ2_00881
ko:K07735	kps:KPNJ2_00882
ko:K01920	kps:KPNJ2_00883
ko:K09761	kps:KPNJ2_00884
ko:K01150	kps:KPNJ2_00885
ko:K02742	kps:KPNJ2_00886
ko:K08137	kps:KPNJ2_00887
ko:K00789	kps:KPNJ2_00888
ko:K01585	kps:KPNJ2_00891
ko:K01480	kps:KPNJ2_00893
ko:K06989	kps:KPNJ2_00907
ko:K01652	kps:KPNJ2_00909
ko:K07387	kps:KPNJ2_00911
ko:K00615	kps:KPNJ2_00912
ko:K03472	kps:KPNJ2_00913
ko:K00927	kps:KPNJ2_00914
ko:K01624	kps:KPNJ2_00915
ko:K03442	kps:KPNJ2_00916
ko:K06895	kps:KPNJ2_00917
ko:K09807	kps:KPNJ2_00918
ko:K05596	kps:KPNJ2_00919
ko:K01807	kps:KPNJ2_00920
ko:K00058	kps:KPNJ2_00922
ko:K01934	kps:KPNJ2_00923
ko:K09888	kps:KPNJ2_00924
ko:K09895	kps:KPNJ2_00925
ko:K01262	kps:KPNJ2_00926
ko:K11606	kps:KPNJ2_01190
ko:K11605	kps:KPNJ2_01191
ko:K11607	kps:KPNJ2_01192
ko:K11604	kps:KPNJ2_01193
ko:K00847	kps:KPNJ2_01195
ko:K02759	kps:KPNJ2_01196
ko:K02761	kps:KPNJ2_01197
ko:K02760	kps:KPNJ2_01198
ko:K02761	kps:KPNJ2_01199
ko:K16077	kps:KPNJ2_01200
ko:K01223	kps:KPNJ2_01202
ko:K15836	kps:KPNJ2_01203
ko:K04655	kps:KPNJ2_01204
ko:K04654	kps:KPNJ2_01205
ko:K04653	kps:KPNJ2_01206
ko:K04652	kps:KPNJ2_01207
ko:K04651	kps:KPNJ2_01208
ko:K15833	kps:KPNJ2_01209
ko:K15827	kps:KPNJ2_01210
ko:K15828	kps:KPNJ2_01211
ko:K15829	kps:KPNJ2_01212
ko:K15830	kps:KPNJ2_01213
ko:K15831	kps:KPNJ2_01214
ko:K15832	kps:KPNJ2_01215
ko:K15834	kps:KPNJ2_01216
ko:K08315	kps:KPNJ2_01217
ko:K01223	kps:KPNJ2_01219
ko:K02752	kps:KPNJ2_01220
ko:K02753	kps:KPNJ2_01220
ko:K03487	kps:KPNJ2_01221
ko:K05796	kps:KPNJ2_01222
ko:K04656	kps:KPNJ2_01223
ko:K07241	kps:KPNJ2_01224
ko:K12265	kps:KPNJ2_01225
ko:K12264	kps:KPNJ2_01226
ko:K12266	kps:KPNJ2_01228
ko:K02468	kps:KPNJ2_01229
ko:K02466	kps:KPNJ2_01230
ko:K00068	kps:KPNJ2_01231
ko:K02781	kps:KPNJ2_01232
ko:K02782	kps:KPNJ2_01233
ko:K02783	kps:KPNJ2_01233
ko:K02783	kps:KPNJ2_01234
ko:K08305	kps:KPNJ2_01236
ko:K02074	kps:KPNJ2_01237
ko:K02075	kps:KPNJ2_01238
ko:K02077	kps:KPNJ2_01239
ko:K01885	kps:KPNJ2_01557
ko:K11535	kps:KPNJ2_01561
ko:K03322	kps:KPNJ2_01562
ko:K00845	kps:KPNJ2_01567
ko:K02478	kps:KPNJ2_01569
ko:K14261	kps:KPNJ2_01572
ko:K03449	kps:KPNJ2_01573
ko:K11921	kps:KPNJ2_01575
ko:K04754	kps:KPNJ2_01580
ko:K06076	kps:KPNJ2_01581
ko:K01782	kps:KPNJ2_01584
ko:K08296	kps:KPNJ2_01585
ko:K07320	kps:KPNJ2_01587
ko:K01736	kps:KPNJ2_01588
ko:K07261	kps:KPNJ2_01589
ko:K07090	kps:KPNJ2_01590
ko:K09906	kps:KPNJ2_01591
ko:K15461	kps:KPNJ2_01593
ko:K00647	kps:KPNJ2_01594
ko:K03473	kps:KPNJ2_01597
ko:K06173	kps:KPNJ2_01599
ko:K03975	kps:KPNJ2_01600
ko:K01963	kps:KPNJ2_01602
ko:K11754	kps:KPNJ2_01603
ko:K03749	kps:KPNJ2_01604
ko:K03558	kps:KPNJ2_01605
ko:K00764	kps:KPNJ2_01606
ko:K03186	kps:KPNJ2_01607
ko:K07039	kps:KPNJ2_01973
ko:K03834	kps:KPNJ2_01974
ko:K02217	kps:KPNJ2_01976
ko:K16210	kps:KPNJ2_01981
ko:K02255	kps:KPNJ2_01983
ko:K10537	kps:KPNJ2_01986
ko:K10539	kps:KPNJ2_01987
ko:K10538	kps:KPNJ2_01988
ko:K01087	kps:KPNJ2_01989
ko:K00697	kps:KPNJ2_01990
ko:K14064	kps:KPNJ2_01991
ko:K16210	kps:KPNJ2_01992
ko:K15532	kps:KPNJ2_01993
ko:K01887	kps:KPNJ2_01994
ko:K09907	kps:KPNJ2_01995
ko:K06201	kps:KPNJ2_01996
ko:K15257	kps:KPNJ2_01997
ko:K15256	kps:KPNJ2_01998
ko:K07136	kps:KPNJ2_01999
ko:K01876	kps:KPNJ2_02002
ko:K08310	kps:KPNJ2_02003
ko:K01159	kps:KPNJ2_02005
ko:K03550	kps:KPNJ2_02006
ko:K03551	kps:KPNJ2_02007
ko:K09816	kps:KPNJ2_02008
ko:K09817	kps:KPNJ2_02009
ko:K09815	kps:KPNJ2_02010
ko:K02560	kps:KPNJ2_02012
