ko:K08744	mbk:K60_019080
ko:K01915	mbk:K60_023030
ko:K00982	mbk:K60_023040
ko:K01915	mbk:K60_023050
ko:K00606	mbk:K60_023090
ko:K03820	mbk:K60_023460
ko:K03306	mbk:K60_023640
ko:K01521	mbk:K60_023720
ko:K14155	mbk:K60_023770
ko:K09925	mbk:K60_023780
ko:K04079	mbk:K60_023820
ko:K00140	mbk:K60_008050
ko:K01945	mbk:K60_008250
ko:K01756	mbk:K60_008300
ko:K01923	mbk:K60_008330
ko:K01354	mbk:K60_008340
ko:K01952	mbk:K60_008420
ko:K00963	mbk:K60_010630
ko:K03750	mbk:K60_010640
ko:K03790	mbk:K60_010650
ko:K07056	mbk:K60_010750
ko:K01665	mbk:K60_010770
ko:K01874	mbk:K60_010790
ko:K03424	mbk:K60_010800
ko:K02528	mbk:K60_010820
ko:K00919	mbk:K60_010830
ko:K01056	mbk:K60_010860
ko:K02897	mbk:K60_010870
ko:K00948	mbk:K60_010890
ko:K04042	mbk:K60_010900
ko:K03723	mbk:K60_010920
ko:K01689	mbk:K60_010950
ko:K01524	mbk:K60_010980
ko:K07667	mbk:K60_011010
ko:K07646	mbk:K60_011020
ko:K01546	mbk:K60_011040
ko:K01547	mbk:K60_011050
ko:K01548	mbk:K60_011060
ko:K00459	mbk:K60_000240
ko:K12140	mbk:K60_000960
ko:K12141	mbk:K60_000970
ko:K02902	mbk:K60_001170
ko:K03271	mbk:K60_001260
ko:K03273	mbk:K60_001270
ko:K02355	mbk:K60_001340
ko:K05343	mbk:K60_001410
ko:K03439	mbk:K60_002290
ko:K01207	mbk:K60_002590
ko:K04719	mbk:K60_003270
ko:K01126	mbk:K60_003380
ko:K07238	mbk:K60_003390
ko:K01304	mbk:K60_003400
ko:K01494	mbk:K60_003420
ko:K00012	mbk:K60_003430
ko:K00973	mbk:K60_003540
ko:K14260	mbk:K60_003570
ko:K11738	mbk:K60_003660
ko:K04043	mbk:K60_003700
ko:K03687	mbk:K60_003710
ko:K03686	mbk:K60_003720
ko:K01939	mbk:K60_003770
ko:K06213	mbk:K60_003820
ko:K01624	mbk:K60_003830
ko:K03975	mbk:K60_003840
ko:K07020	mbk:K60_004450
ko:K00941	mbk:K60_004460
ko:K03147	mbk:K60_004470
ko:K01142	mbk:K60_004510
ko:K01462	mbk:K60_004530
ko:K06048	mbk:K60_004570
ko:K07157	mbk:K60_004580
ko:K13525	mbk:K60_004590
ko:K01613	mbk:K60_004610
ko:K03750	mbk:K60_004620
ko:K04077	mbk:K60_004640
ko:K03088	mbk:K60_004690
ko:K00574	mbk:K60_004710
ko:K09701	mbk:K60_004720
ko:K09959	mbk:K60_004850
ko:K00382	mbk:K60_004880
ko:K07110	mbk:K60_004910
ko:K01637	mbk:K60_004930
ko:K00074	mbk:K60_004940
ko:K00574	mbk:K60_004950
ko:K00574	mbk:K60_004960
ko:K09122	mbk:K60_006150
ko:K03568	mbk:K60_024060
ko:K01880	mbk:K60_024430
ko:K03584	mbk:K60_024480
ko:K07042	mbk:K60_024530
ko:K09761	mbk:K60_024580
ko:K03686	mbk:K60_024590
ko:K03705	mbk:K60_024600
ko:K03710	mbk:K60_008470
ko:K00382	mbk:K60_008500
ko:K07223	mbk:K60_008530
ko:K01952	mbk:K60_008570
ko:K00764	mbk:K60_008620
ko:K01933	mbk:K60_008630
ko:K06980	mbk:K60_008650
ko:K02036	mbk:K60_008740
ko:K02039	mbk:K60_008750
ko:K03921	mbk:K60_008780
ko:K08641	mbk:K60_008950
ko:K01952	mbk:K60_008430
ko:K07001	mbk:K60_011410
ko:K07001	mbk:K60_011420
ko:K01697	mbk:K60_011570
ko:K03624	mbk:K60_011600
ko:K06888	mbk:K60_011640
ko:K11068	mbk:K60_011650
ko:K01870	mbk:K60_016350
ko:K02346	mbk:K60_016360
ko:K03101	mbk:K60_016380
ko:K06180	mbk:K60_016390
ko:K06886	mbk:K60_016410
ko:K07124	mbk:K60_016440
ko:K02337	mbk:K60_016470
ko:K00631	mbk:K60_016500
ko:K01754	mbk:K60_016570
ko:K01236	mbk:K60_016610
ko:K06044	mbk:K60_016620
ko:K00833	mbk:K60_016670
ko:K01935	mbk:K60_016690
ko:K01012	mbk:K60_016730
ko:K03517	mbk:K60_016770
ko:K00278	mbk:K60_016780
ko:K00767	mbk:K60_016790
ko:K00013	mbk:K60_016820
ko:K00817	mbk:K60_016830
ko:K01693	mbk:K60_016840
ko:K02501	mbk:K60_016850
ko:K02500	mbk:K60_016880
ko:K07300	mbk:K60_016900
ko:K03564	mbk:K60_016910
ko:K01657	mbk:K60_016920
ko:K01609	mbk:K60_016940
ko:K01696	mbk:K60_016950
ko:K01695	mbk:K60_016960
ko:K00873	mbk:K60_017000
ko:K10805	mbk:K60_017010
ko:K00426	mbk:K60_017050
ko:K00425	mbk:K60_017060
ko:K02945	mbk:K60_017130
ko:K00859	mbk:K60_017140
ko:K03702	mbk:K60_017160
ko:K03701	mbk:K60_017220
ko:K04567	mbk:K60_017250
ko:K02520	mbk:K60_017260
ko:K02916	mbk:K60_017270
ko:K02887	mbk:K60_017280
ko:K03437	mbk:K60_017290
ko:K01889	mbk:K60_017340
ko:K01890	mbk:K60_017350
ko:K00145	mbk:K60_017370
ko:K00620	mbk:K60_017380
ko:K00930	mbk:K60_017390
ko:K00611	mbk:K60_017410
ko:K03402	mbk:K60_017420
ko:K01940	mbk:K60_017430
ko:K01755	mbk:K60_017440
ko:K00627	mbk:K60_025930
ko:K00162	mbk:K60_025940
ko:K00161	mbk:K60_025950
ko:K01644	mbk:K60_025960
ko:K01969	mbk:K60_026000
ko:K01029	mbk:K60_026010
ko:K01028	mbk:K60_026020
ko:K07124	mbk:K60_026070
ko:K06915	mbk:K60_026080
ko:K13288	mbk:K60_026090
ko:K03564	mbk:K60_026200
ko:K00997	mbk:K60_026220
ko:K11533	mbk:K60_026230
ko:K01584	mbk:K60_026310
ko:K03625	mbk:K60_026330
ko:K02356	mbk:K60_026340
ko:K03786	mbk:K60_026370
ko:K01735	mbk:K60_026380
ko:K00891	mbk:K60_026390
ko:K01736	mbk:K60_026400
ko:K01876	mbk:K60_026740
ko:K00077	mbk:K60_026750
ko:K01892	mbk:K60_026830
ko:K00759	mbk:K60_026870
ko:K03074	mbk:K60_026890
ko:K03072	mbk:K60_026900
ko:K03210	mbk:K60_026910
ko:K14415	mbk:K60_027370
ko:K09771	mbk:K60_027450
ko:K03684	mbk:K60_027730
ko:K01662	mbk:K60_027740
ko:K00161	mbk:K60_009000
ko:K01738	mbk:K60_009060
ko:K14267	mbk:K60_009160
ko:K03637	mbk:K60_009220
ko:K03639	mbk:K60_009270
ko:K03704	mbk:K60_009290
ko:K00831	mbk:K60_009430
ko:K00528	mbk:K60_009450
ko:K01647	mbk:K60_009500
ko:K00600	mbk:K60_011780
ko:K07175	mbk:K60_011800
ko:K03602	mbk:K60_011920
ko:K03601	mbk:K60_011930
ko:K03527	mbk:K60_011950
ko:K06942	mbk:K60_011970
ko:K00036	mbk:K60_012070
ko:K01720	mbk:K60_012160
ko:K01647	mbk:K60_012170
ko:K00549	mbk:K60_012190
ko:K00886	mbk:K60_027940
ko:K03086	mbk:K60_027950
ko:K03427	mbk:K60_028500
ko:K09927	mbk:K60_028560
ko:K01061	mbk:K60_028610
ko:K00215	mbk:K60_028690
ko:K07044	mbk:K60_028730
ko:K05813	mbk:K60_029320
ko:K02834	mbk:K60_029370
ko:K02519	mbk:K60_029380
ko:K07742	mbk:K60_029390
ko:K02600	mbk:K60_029400
ko:K09748	mbk:K60_029410
ko:K01881	mbk:K60_029440
ko:K02302	mbk:K60_029460
ko:K02224	mbk:K60_029470
ko:K00116	mbk:K60_029510
ko:K03100	mbk:K60_030060
ko:K02884	mbk:K60_030070
ko:K00554	mbk:K60_030090
ko:K02860	mbk:K60_030100
ko:K06960	mbk:K60_030110
ko:K02959	mbk:K60_030120
ko:K03106	mbk:K60_030190
ko:K00990	mbk:K60_030210
ko:K04751	mbk:K60_030220
ko:K03320	mbk:K60_030230
ko:K03110	mbk:K60_030250
ko:K03529	mbk:K60_030260
ko:K01512	mbk:K60_030270
ko:K03685	mbk:K60_030300
ko:K07040	mbk:K60_030310
ko:K09781	mbk:K60_032090
ko:K03664	mbk:K60_032170
ko:K09811	mbk:K60_032180
ko:K09812	mbk:K60_032190
ko:K02836	mbk:K60_032220
ko:K00528	mbk:K60_032230
ko:K03639	mbk:K60_032260
ko:K03637	mbk:K60_032280
ko:K03636	mbk:K60_032290
ko:K03724	mbk:K60_034260
ko:K02039	mbk:K60_034310
ko:K00111	mbk:K60_034320
ko:K00382	mbk:K60_034330
ko:K00761	mbk:K60_034390
ko:K00242	mbk:K60_034490
ko:K00239	mbk:K60_034500
ko:K00240	mbk:K60_034510
ko:K03637	mbk:K60_034560
ko:K03639	mbk:K60_034580
ko:K03088	mbk:K60_034630
ko:K01443	mbk:K60_034670
ko:K07058	mbk:K60_034710
ko:K01867	mbk:K60_034720
ko:K01652	mbk:K60_036440
ko:K01666	mbk:K60_036720
ko:K00817	mbk:K60_039130
ko:K01873	mbk:K60_025440
ko:K03752	mbk:K60_025480
ko:K00175	mbk:K60_025490
ko:K00174	mbk:K60_025500
ko:K03544	mbk:K60_025520
ko:K01358	mbk:K60_025550
ko:K01358	mbk:K60_025560
ko:K03545	mbk:K60_025570
ko:K01808	mbk:K60_025600
ko:K01256	mbk:K60_025620
ko:K06886	mbk:K60_025660
ko:K07107	mbk:K60_025710
ko:K00631	mbk:K60_025760
ko:K06966	mbk:K60_025890
ko:K06916	mbk:K60_027620
ko:K00231	mbk:K60_027690
ko:K01599	mbk:K60_027700
ko:K07058	mbk:K60_027990
ko:K00322	mbk:K60_028050
ko:K07738	mbk:K60_028100
ko:K01356	mbk:K60_028120
ko:K03665	mbk:K60_028170
ko:K01778	mbk:K60_028180
ko:K00791	mbk:K60_028190
ko:K00259	mbk:K60_028760
ko:K00259	mbk:K60_028770
ko:K00459	mbk:K60_028780
ko:K00962	mbk:K60_028800
ko:K02956	mbk:K60_028820
ko:K11753	mbk:K60_028830
ko:K06978	mbk:K60_028970
ko:K07241	mbk:K60_029550
ko:K02575	mbk:K60_024200
ko:K01738	mbk:K60_024270
ko:K00640	mbk:K60_024280
ko:K01129	mbk:K60_024390
ko:K07086	mbk:K60_024740
ko:K00390	mbk:K60_024790
ko:K02045	mbk:K60_024860
ko:K02047	mbk:K60_024870
ko:K02046	mbk:K60_024880
ko:K02048	mbk:K60_024890
ko:K12410	mbk:K60_012400
ko:K00370	mbk:K60_012530
ko:K00371	mbk:K60_012540
ko:K00561	mbk:K60_020580
ko:K08256	mbk:K60_027150
ko:K05794	mbk:K60_028150
ko:K10533	mbk:K60_028330
ko:K00619	mbk:K60_028420
ko:K09002	mbk:K60_029190
ko:K01692	mbk:K60_029300
ko:K05816	mbk:K60_029310
ko:K05815	mbk:K60_029330
ko:K05814	mbk:K60_029340
ko:K03404	mbk:K60_029490
ko:K02348	mbk:K60_029500
ko:K04652	mbk:K60_029560
ko:K04652	mbk:K60_029570
ko:K06976	mbk:K60_029690
ko:K10563	mbk:K60_030290
ko:K12426	mbk:K60_030350
ko:K12440	mbk:K60_030360
ko:K12441	mbk:K60_030370
ko:K12443	mbk:K60_030390
ko:K12444	mbk:K60_030400
ko:K12427	mbk:K60_030460
ko:K06994	mbk:K60_030470
ko:K12430	mbk:K60_030530
ko:K01958	mbk:K60_030760
ko:K15781	mbk:K60_025770
ko:K01692	mbk:K60_025810
ko:K11263	mbk:K60_025990
ko:K00666	mbk:K60_026030
ko:K06902	mbk:K60_026060
ko:K02004	mbk:K60_026640
ko:K07054	mbk:K60_026770
ko:K03768	mbk:K60_026850
ko:K02035	mbk:K60_026880
ko:K07250	mbk:K60_026920
ko:K12421	mbk:K60_026930
ko:K16647	mbk:K60_027650
ko:K07305	mbk:K60_027660
ko:K01692	mbk:K60_027710
ko:K03499	mbk:K60_027830
ko:K03499	mbk:K60_027840
ko:K01092	mbk:K60_027930
ko:K03087	mbk:K60_028020
ko:K03709	mbk:K60_028030
ko:K03709	mbk:K60_028850
ko:K03177	mbk:K60_028900
ko:K07258	mbk:K60_030140
ko:K07030	mbk:K60_030840
ko:K14941	mbk:K60_030930
ko:K01885	mbk:K60_031020
ko:K00058	mbk:K60_031060
ko:K02433	mbk:K60_031220
ko:K16906	mbk:K60_027790
ko:K02030	mbk:K60_004340
ko:K16907	mbk:K60_027800
ko:K13572	mbk:K60_021780
ko:K12435	mbk:K60_017470
ko:K14228	mbk:K60_tRNA000220
ko:K14225	mbk:K60_tRNA000320
ko:K14230	mbk:K60_tRNA000380
ko:K14230	mbk:K60_tRNA000070
ko:K14237	mbk:K60_tRNA000310
ko:K14234	mbk:K60_tRNA000060
ko:K14220	mbk:K60_tRNA000250
ko:K14219	mbk:K60_tRNA000180
ko:K16785	mbk:K60_024160
ko:K03386	mbk:K60_025220
ko:K00852	mbk:K60_025310
ko:K00547	mbk:K60_025530
ko:K05522	mbk:K60_025590
ko:K00153	mbk:K60_023440
ko:K00389	mbk:K60_023570
ko:K03316	mbk:K60_023710
ko:K01011	mbk:K60_023750
ko:K06889	mbk:K60_023900
ko:K01426	mbk:K60_013540
ko:K01426	mbk:K60_024490
ko:K02025	mbk:K60_024070
ko:K00819	mbk:K60_024120
ko:K00819	mbk:K60_024130
ko:K00027	mbk:K60_024240
ko:K06994	mbk:K60_024320
ko:K03711	mbk:K60_024450
ko:K00392	mbk:K60_024780
ko:K00784	mbk:K60_024970
ko:K02238	mbk:K60_025040
ko:K04793	mbk:K60_024640
ko:K04792	mbk:K60_024650
ko:K04789	mbk:K60_024660
ko:K04791	mbk:K60_024670
ko:K04790	mbk:K60_024680
ko:K04788	mbk:K60_024690
ko:K07258	mbk:K60_034650
ko:K06945	mbk:K60_035020
ko:K07131	mbk:K60_035040
ko:K14162	mbk:K60_035100
ko:K01692	mbk:K60_035130
ko:K01426	mbk:K60_035140
ko:K07025	mbk:K60_035150
ko:K09966	mbk:K60_038840
ko:K04517	mbk:K60_038930
ko:K14953	mbk:K60_039020
ko:K14233	mbk:K60_tRNA000450
ko:K09118	mbk:K60_033160
ko:K07177	mbk:K60_033170
ko:K00508	mbk:K60_033590
ko:K02067	mbk:K60_036300
ko:K02067	mbk:K60_036310
ko:K02067	mbk:K60_036320
ko:K02067	mbk:K60_036330
ko:K02067	mbk:K60_036340
ko:K00059	mbk:K60_036370
ko:K05337	mbk:K60_036380
ko:K00666	mbk:K60_036410
ko:K01692	mbk:K60_036500
ko:K16046	mbk:K60_036520
ko:K16046	mbk:K60_036530
ko:K00626	mbk:K60_036580
ko:K15982	mbk:K60_036610
ko:K04073	mbk:K60_036730
ko:K15981	mbk:K60_036830
ko:K00626	mbk:K60_036840
ko:K07161	mbk:K60_025170
ko:K13540	mbk:K60_021460
ko:K00595	mbk:K60_021520
ko:K03727	mbk:K60_021740
ko:K13573	mbk:K60_021770
ko:K13571	mbk:K60_021790
ko:K13419	mbk:K60_031960
ko:K00121	mbk:K60_032020
ko:K00803	mbk:K60_032240
ko:K01724	mbk:K60_032270
ko:K01011	mbk:K60_032340
ko:K07491	mbk:K60_032350
ko:K13787	mbk:K60_035200
ko:K03090	mbk:K60_034160
ko:K03918	mbk:K60_034200
ko:K05522	mbk:K60_034270
ko:K03932	mbk:K60_034280
ko:K06177	mbk:K60_034300
ko:K00508	mbk:K60_040910
ko:K03918	mbk:K60_040930
ko:K05522	mbk:K60_041000
ko:K03932	mbk:K60_041010
ko:K06177	mbk:K60_041030
ko:K01507	mbk:K60_037600
ko:K09153	mbk:K60_037640
ko:K01784	mbk:K60_037660
ko:K06877	mbk:K60_037820
ko:K03333	mbk:K60_035470
ko:K00088	mbk:K60_035480
ko:K00088	mbk:K60_035490
ko:K01409	mbk:K60_035570
ko:K01580	mbk:K60_035680
ko:K14952	mbk:K60_039610
ko:K06994	mbk:K60_039670
ko:K04518	mbk:K60_039820
ko:K10215	mbk:K60_040030
ko:K13787	mbk:K60_035360
ko:K04477	mbk:K60_040050
ko:K13570	mbk:K60_021910
ko:K13527	mbk:K60_021950
ko:K09764	mbk:K60_021970
ko:K07442	mbk:K60_021980
ko:K01523	mbk:K60_022020
ko:K00548	mbk:K60_022040
ko:K15526	mbk:K60_022110
ko:K01082	mbk:K60_022120
ko:K06910	mbk:K60_022220
ko:K08178	mbk:K60_019940
ko:K06910	mbk:K60_020030
ko:K06910	mbk:K60_020040
ko:K00666	mbk:K60_020170
ko:K01692	mbk:K60_020270
ko:K12953	mbk:K60_020700
ko:K14234	mbk:K60_tRNA000090
ko:K03294	mbk:K60_020720
ko:K00038	mbk:K60_020750
ko:K07028	mbk:K60_020770
ko:K02025	mbk:K60_021190
ko:K03929	mbk:K60_021240
ko:K02077	mbk:K60_021390
ko:K13787	mbk:K60_022540
ko:K13671	mbk:K60_022620
ko:K13668	mbk:K60_022690
ko:K02342	mbk:K60_022730
ko:K03889	mbk:K60_022760
ko:K03890	mbk:K60_022770
ko:K03891	mbk:K60_022780
ko:K00856	mbk:K60_022840
ko:K16149	mbk:K60_031430
ko:K16150	mbk:K60_031440
ko:K01692	mbk:K60_031520
ko:K02274	mbk:K60_031560
ko:K03647	mbk:K60_031650
ko:K01835	mbk:K60_031840
ko:K00508	mbk:K60_041250
ko:K03918	mbk:K60_041270
ko:K05522	mbk:K60_041340
ko:K03932	mbk:K60_041350
ko:K06177	mbk:K60_041370
ko:K03783	mbk:K60_034370
ko:K01488	mbk:K60_034450
ko:K00758	mbk:K60_034460
ko:K01489	mbk:K60_034470
ko:K00241	mbk:K60_034480
ko:K01724	mbk:K60_034570
ko:K02342	mbk:K60_038510
ko:K07009	mbk:K60_038530
ko:K05602	mbk:K60_032560
ko:K00274	mbk:K60_032900
ko:K14743	mbk:K60_035860
ko:K01104	mbk:K60_023180
ko:K03386	mbk:K60_023230
ko:K11609	mbk:K60_023300
ko:K11609	mbk:K60_023310
ko:K14743	mbk:K60_040270
ko:K14743	mbk:K60_040300
ko:K00970	mbk:K60_040540
ko:K06346	mbk:K60_040670
ko:K02067	mbk:K60_036290
ko:K03455	mbk:K60_033650
ko:K07654	mbk:K60_033740
ko:K07670	mbk:K60_033750
ko:K03294	mbk:K60_033820
ko:K11212	mbk:K60_033900
ko:K12234	mbk:K60_033910
ko:K12950	mbk:K60_034000
ko:K01966	mbk:K60_034100
ko:K01011	mbk:K60_034130
ko:K11263	mbk:K60_034150
ko:K01692	mbk:K60_036880
ko:K00626	mbk:K60_036940
ko:K00059	mbk:K60_036970
ko:K00622	mbk:K60_037040
ko:K16049	mbk:K60_037060
ko:K16050	mbk:K60_037070
ko:K16047	mbk:K60_037080
ko:K15983	mbk:K60_037090
ko:K07067	mbk:K60_037250
ko:K00803	mbk:K60_023360
ko:K01692	mbk:K60_039160
ko:K16649	mbk:K60_039240
ko:K16653	mbk:K60_039320
ko:K16652	mbk:K60_039330
ko:K13686	mbk:K60_039340
ko:K11387	mbk:K60_039350
ko:K11385	mbk:K60_039360
ko:K11386	mbk:K60_039370
ko:K12437	mbk:K60_039420
ko:K12428	mbk:K60_039430
ko:K13687	mbk:K60_039470
ko:K14136	mbk:K60_039480
ko:K16650	mbk:K60_039500
ko:K01854	mbk:K60_039510
ko:K01426	mbk:K60_032950
ko:K01426	mbk:K60_029900
ko:K00966	mbk:K60_033940
ko:K11991	mbk:K60_038910
ko:K01834	mbk:K60_005160
ko:K02361	mbk:K60_040750
ko:K03088	mbk:K60_040840
ko:K00800	mbk:K60_040890
ko:K03724	mbk:K60_040990
ko:K02039	mbk:K60_041040
ko:K00111	mbk:K60_041050
ko:K02361	mbk:K60_041090
ko:K03088	mbk:K60_041180
ko:K00800	mbk:K60_041230
ko:K06949	mbk:K60_041240
ko:K03724	mbk:K60_041330
ko:K02039	mbk:K60_041380
ko:K00111	mbk:K60_041390
ko:K04781	mbk:K60_024720
ko:K00951	mbk:K60_026860
ko:K16370	mbk:K60_021080
ko:K16870	mbk:K60_033950
ko:K01985	mbk:K60_rRNA000030
ko:K03922	mbk:K60_011790
ko:K07695	mbk:K60_032510
ko:K16048	mbk:K60_037050
ko:K14228	mbk:K60_tRNA000030
ko:K14228	mbk:K60_tRNA000170
ko:K14233	mbk:K60_tRNA000410
ko:K14219	mbk:K60_tRNA000140
ko:K14232	mbk:K60_tRNA000260
ko:K14234	mbk:K60_tRNA000390
ko:K14229	mbk:K60_tRNA000300
ko:K14224	mbk:K60_tRNA000350
ko:K14221	mbk:K60_tRNA000120
ko:K14218	mbk:K60_tRNA000370
ko:K14223	mbk:K60_tRNA000160
ko:K01980	mbk:K60_rRNA000020
ko:K14237	mbk:K60_tRNA000340
ko:K14222	mbk:K60_tRNA000330
ko:K14235	mbk:K60_tRNA000080
ko:K16905	mbk:K60_027780
ko:K14227	mbk:K60_tRNA000010
ko:K14225	mbk:K60_tRNA000040
ko:K14218	mbk:K60_tRNA000020
ko:K14236	mbk:K60_tRNA000050
ko:K14229	mbk:K60_tRNA000100
ko:K14224	mbk:K60_tRNA000110
ko:K14231	mbk:K60_tRNA000130
ko:K14228	mbk:K60_tRNA000190
ko:K14228	mbk:K60_tRNA000200
ko:K14232	mbk:K60_tRNA000210
ko:K14232	mbk:K60_tRNA000400
ko:K14237	mbk:K60_tRNA000230
ko:K14230	mbk:K60_tRNA000240
ko:K14225	mbk:K60_tRNA000270
ko:K14219	mbk:K60_tRNA000280
ko:K14219	mbk:K60_tRNA000430
ko:K14226	mbk:K60_tRNA000290
ko:K14223	mbk:K60_tRNA000360
ko:K06949	mbk:K60_040900
ko:K14233	mbk:K60_tRNA000420
ko:K14233	mbk:K60_tRNA000440
ko:K05898	mbk:K60_036750
ko:K17218	mbk:K60_003510
ko:K15035	mbk:K60_miscRNA000020
ko:K07682	mbk:K60_032500
ko:K12445	mbk:K60_030590
ko:K15581	mbk:K60_038010
ko:K19311	mbk:K60_033300
ko:K01990	mbk:K60_017720
ko:K14218	mbk:K60_tRNA000150
ko:K07045	mbk:K60_019680
ko:K07045	mbk:K60_023860
ko:K03574	mbk:K60_004360
ko:K17103	mbk:K60_004600
ko:K02484	mbk:K60_008110
ko:K01977	mbk:K60_rRNA000010
ko:K00265	mbk:K60_040090
ko:K01897	mbk:K60_022680
ko:K02484	mbk:K60_039030
ko:K15580	mbk:K60_038020
ko:K15582	mbk:K60_038000
ko:K10112	mbk:K60_021170
ko:K01990	mbk:K60_013080
ko:K01990	mbk:K60_015640
ko:K01990	mbk:K60_030410
ko:K17484	mbk:K60_023600
ko:K17483	mbk:K60_023610
ko:K00384	mbk:K60_015770
ko:K10112	mbk:K60_013290
ko:K01739	mbk:K60_011590
ko:K17811	mbk:K60_035160
ko:K15911	mbk:K60_035170
ko:K01130	mbk:K60_007060
ko:K01130	mbk:K60_007580
ko:K12431	mbk:K60_039690
ko:K14955	mbk:K60_013620
ko:K00344	mbk:K60_015600
ko:K12954	mbk:K60_020650
ko:K01130	mbk:K60_034290
ko:K01130	mbk:K60_041020
ko:K01130	mbk:K60_041360
ko:K17836	mbk:K60_021480
ko:K12574	mbk:K60_028460
ko:K12956	mbk:K60_010390
ko:K00254	mbk:K60_022210
ko:K01840	mbk:K60_033860
ko:K02026	mbk:K60_013280
ko:K01840	mbk:K60_034380
ko:K12432	mbk:K60_012730
ko:K12425	mbk:K60_039700
ko:K01239	mbk:K60_035300
ko:K07684	mbk:K60_009010
ko:K02026	mbk:K60_021180
ko:K02026	mbk:K60_024080
ko:K03767	mbk:K60_000110
ko:K12434	mbk:K60_017460
ko:K12439	mbk:K60_017480
ko:K12442	mbk:K60_030380
ko:K04787	mbk:K60_024700
ko:K00529	mbk:K60_019560
ko:K14337	mbk:K60_022550
ko:K11628	mbk:K60_030450
ko:K00020	mbk:K60_008030
ko:K00128	mbk:K60_002430
ko:K00128	mbk:K60_001630
ko:K00128	mbk:K60_008210
ko:K00128	mbk:K60_034230
ko:K00128	mbk:K60_040960
ko:K00128	mbk:K60_041300
ko:K12436	mbk:K60_021270
ko:K12422	mbk:K60_001110
ko:K12424	mbk:K60_030540
ko:K03520	mbk:K60_003930
ko:K02027	mbk:K60_013260
ko:K02027	mbk:K60_021200
ko:K01187	mbk:K60_025670
ko:K02027	mbk:K60_024090
ko:K00257	mbk:K60_014450
ko:K17947	mbk:K60_005690
ko:K09144	mbk:K60_029240
ko:K00344	mbk:K60_032600
ko:K07493	mbk:K60_035670
ko:K07493	mbk:K60_037720
ko:K07493	mbk:K60_009850
ko:K07064	mbk:K60_029650
ko:K07064	mbk:K60_034520
ko:K07064	mbk:K60_038350
ko:K02031	mbk:K60_013730
ko:K02032	mbk:K60_013730
ko:K02031	mbk:K60_037990
ko:K02032	mbk:K60_037990
ko:K17883	mbk:K60_029540
ko:K07068	mbk:K60_036560
ko:K08351	mbk:K60_015450
ko:K00249	mbk:K60_010450
ko:K00897	mbk:K60_039600
ko:K00104	mbk:K60_023630
ko:K03719	mbk:K60_034210
ko:K03719	mbk:K60_040940
ko:K03719	mbk:K60_041280
ko:K17840	mbk:K60_002830
ko:K11159	mbk:K60_006970
ko:K21688	mbk:K60_010810
ko:K00138	mbk:K60_004840
ko:K01154	mbk:K60_028490
ko:K10533	mbk:K60_028360
ko:K06949	mbk:K60_033580
ko:K00382	mbk:K60_040720
ko:K00382	mbk:K60_041060
ko:K03704	mbk:K60_037810
ko:K22010	mbk:K60_017090
ko:K03075	mbk:K60_015430
ko:K00245	mbk:K60_016520
ko:K04093	mbk:K60_010160
ko:K02911	mbk:K60_010490
ko:K07486	mbk:K60_025150
ko:K03742	mbk:K60_019930
ko:K02067	mbk:K60_001910
ko:K18481	mbk:K60_036280
ko:K18481	mbk:K60_014640
ko:K18481	mbk:K60_036270
ko:K18481	mbk:K60_014630
ko:K18481	mbk:K60_024770
ko:K18481	mbk:K60_001940
ko:K18481	mbk:K60_001950
ko:K18481	mbk:K60_001960
ko:K18481	mbk:K60_001970
ko:K18455	mbk:K60_011620
ko:K18472	mbk:K60_023320
ko:K00681	mbk:K60_008260
ko:K00681	mbk:K60_024810
ko:K03574	mbk:K60_030950
ko:K22311	mbk:K60_027160
ko:K18554	mbk:K60_027420
ko:K18688	mbk:K60_036490
ko:K07068	mbk:K60_017110
ko:K07497	mbk:K60_039110
ko:K18687	mbk:K60_036990
ko:K01990	mbk:K60_039230
ko:K01992	mbk:K60_039250
ko:K21672	mbk:K60_009910
ko:K07171	mbk:K60_021430
ko:K18917	mbk:K60_033240
ko:K18955	mbk:K60_035540
ko:K18913	mbk:K60_038390
ko:K07171	mbk:K60_016040
ko:K07171	mbk:K60_020630
ko:K18955	mbk:K60_033470
ko:K07481	mbk:K60_011100
ko:K07171	mbk:K60_027510
ko:K18851	mbk:K60_039460
ko:K07171	mbk:K60_028980
ko:K18851	mbk:K60_019750
ko:K10747	mbk:K60_031770
ko:K18894	mbk:K60_002150
ko:K01971	mbk:K60_010050
ko:K18955	mbk:K60_038190
ko:K18911	mbk:K60_038400
ko:K18912	mbk:K60_038420
ko:K03496	mbk:K60_017950
ko:K04565	mbk:K60_004560
ko:K03111	mbk:K60_000580
ko:K03497	mbk:K60_040640
ko:K03496	mbk:K60_040650
ko:K03496	mbk:K60_033410
ko:K03496	mbk:K60_040730
ko:K03496	mbk:K60_041070
ko:K03111	mbk:K60_025740
ko:K07496	mbk:K60_028880
ko:K07496	mbk:K60_029870
ko:K07496	mbk:K60_030880
ko:K07496	mbk:K60_039710
ko:K07497	mbk:K60_029100
ko:K03325	mbk:K60_027490
ko:K03741	mbk:K60_027490
ko:K07481	mbk:K60_030690
ko:K07481	mbk:K60_035240
ko:K07481	mbk:K60_035230
ko:K03761	mbk:K60_036100
ko:K03822	mbk:K60_017680
