ko:K07005	bmai:DM57_10060
ko:K03073	bmai:DM57_1416
ko:K02601	bmai:DM57_1415
ko:K02867	bmai:DM57_1414
ko:K02863	bmai:DM57_1413
ko:K02864	bmai:DM57_1412
ko:K02935	bmai:DM57_1411
ko:K03043	bmai:DM57_1410
ko:K03046	bmai:DM57_1409
ko:K03654	bmai:DM57_1407
ko:K02950	bmai:DM57_1406
ko:K02992	bmai:DM57_1405
ko:K02355	bmai:DM57_1404
ko:K02358	bmai:DM57_1403
ko:K02946	bmai:DM57_1402
ko:K02906	bmai:DM57_1401
ko:K02926	bmai:DM57_1400
ko:K02892	bmai:DM57_1399
ko:K02886	bmai:DM57_1398
ko:K02965	bmai:DM57_1397
ko:K00457	bmai:DM57_09815
ko:K03786	bmai:DM57_09820
ko:K00014	bmai:DM57_09825
ko:K08194	bmai:DM57_09830
ko:K03430	bmai:DM57_09835
ko:K11081	bmai:DM57_09840
ko:K11084	bmai:DM57_09845
ko:K11083	bmai:DM57_09850
ko:K11082	bmai:DM57_09855
ko:K00675	bmai:DM57_10475
ko:K09957	bmai:DM57_10480
ko:K15553	bmai:DM57_10515
ko:K03823	bmai:DM57_10525
ko:K03406	bmai:DM57_10540
ko:K10716	bmai:DM57_10570
ko:K01607	bmai:DM57_10580
ko:K06194	bmai:DM57_10610
ko:K17836	bmai:DM57_10615
ko:K03566	bmai:DM57_10625
ko:K02034	bmai:DM57_10645
ko:K02033	bmai:DM57_10650
ko:K02035	bmai:DM57_10655
ko:K08641	bmai:DM57_10660
ko:K11904	bmai:DM57_10685
ko:K12685	bmai:DM57_10705
ko:K07394	bmai:DM57_10710
ko:K02035	bmai:DM57_10720
ko:K01569	bmai:DM57_10725
ko:K03322	bmai:DM57_10730
ko:K07052	bmai:DM57_11035
ko:K16165	bmai:DM57_11040
ko:K03088	bmai:DM57_11055
ko:K03088	bmai:DM57_11080
ko:K07165	bmai:DM57_11085
ko:K02014	bmai:DM57_11090
ko:K10440	bmai:DM57_11095
ko:K10440	bmai:DM57_11100
ko:K04780	bmai:DM57_11145
ko:K08325	bmai:DM57_11180
ko:K00059	bmai:DM57_11200
ko:K01495	bmai:DM57_11245
ko:K02303	bmai:DM57_11260
ko:K02575	bmai:DM57_11265
ko:K00362	bmai:DM57_11270
ko:K00363	bmai:DM57_11275
ko:K00380	bmai:DM57_11280
ko:K03587	bmai:DM57_11290
ko:K07258	bmai:DM57_11295
ko:K00854	bmai:DM57_11305
ko:K10112	bmai:DM57_11315
ko:K05351	bmai:DM57_11320
ko:K01969	bmai:DM57_11615
ko:K00253	bmai:DM57_11620
ko:K04561	bmai:DM57_11635
ko:K00368	bmai:DM57_11640
ko:K13747	bmai:DM57_11645
ko:K08369	bmai:DM57_11675
ko:K02484	bmai:DM57_11685
ko:K00380	bmai:DM57_11705
ko:K03734	bmai:DM57_11710
ko:K00128	bmai:DM57_11715
ko:K09471	bmai:DM57_11735
ko:K00040	bmai:DM57_11760
ko:K08323	bmai:DM57_11770
ko:K08322	bmai:DM57_11775
ko:K01916	bmai:DM57_11790
ko:K00368	bmai:DM57_11815
ko:K07152	bmai:DM57_11825
ko:K11910	bmai:DM57_11855
ko:K11901	bmai:DM57_11870
ko:K11900	bmai:DM57_11875
ko:K11903	bmai:DM57_11880
ko:K11905	bmai:DM57_11885
ko:K11896	bmai:DM57_11890
ko:K11895	bmai:DM57_11895
ko:K00832	bmai:DM57_12215
ko:K11734	bmai:DM57_12220
ko:K11068	bmai:DM57_12245
ko:K01999	bmai:DM57_12250
ko:K03534	bmai:DM57_12320
ko:K18333	bmai:DM57_12325
ko:K18335	bmai:DM57_12335
ko:K07046	bmai:DM57_12340
ko:K01685	bmai:DM57_12345
ko:K02057	bmai:DM57_12355
ko:K02056	bmai:DM57_12360
ko:K05819	bmai:DM57_12385
ko:K18383	bmai:DM57_12400
ko:K06995	bmai:DM57_12415
ko:K13874	bmai:DM57_12425
ko:K01692	bmai:DM57_12795
ko:K15866	bmai:DM57_12810
ko:K01912	bmai:DM57_12820
ko:K08304	bmai:DM57_12825
ko:K06195	bmai:DM57_12835
ko:K01783	bmai:DM57_12840
ko:K01091	bmai:DM57_12845
ko:K01657	bmai:DM57_12850
ko:K01658	bmai:DM57_12855
ko:K00766	bmai:DM57_12860
ko:K01609	bmai:DM57_12865
ko:K03648	bmai:DM57_12875
ko:K01118	bmai:DM57_12880
ko:K03981	bmai:DM57_12890
ko:K06942	bmai:DM57_12910
ko:K00331	bmai:DM57_12920
ko:K11735	bmai:DM57_12930
ko:K01126	bmai:DM57_12940
ko:K01560	bmai:DM57_12960
ko:K01262	bmai:DM57_12975
ko:K02492	bmai:DM57_12995
ko:K02835	bmai:DM57_13000
ko:K02493	bmai:DM57_13005
ko:K07390	bmai:DM57_13010
ko:K03186	bmai:DM57_13015
ko:K04487	bmai:DM57_13605
ko:K00101	bmai:DM57_13630
ko:K16856	bmai:DM57_13635
ko:K10823	bmai:DM57_13705
ko:K15583	bmai:DM57_13710
ko:K15582	bmai:DM57_13715
ko:K15581	bmai:DM57_13720
ko:K15580	bmai:DM57_13725
ko:K03305	bmai:DM57_13735
ko:K03086	bmai:DM57_13775
ko:K09117	bmai:DM57_13790
ko:K02970	bmai:DM57_13795
ko:K07007	bmai:DM57_13800
ko:K01409	bmai:DM57_13805
ko:K09007	bmai:DM57_13815
ko:K01662	bmai:DM57_13820
ko:K00795	bmai:DM57_13825
ko:K03602	bmai:DM57_13830
ko:K01011	bmai:DM57_13840
ko:K01061	bmai:DM57_13845
ko:K07397	bmai:DM57_14190
ko:K07223	bmai:DM57_14210
ko:K06147	bmai:DM57_14215
ko:K18199	bmai:DM57_14220
ko:K01867	bmai:DM57_14230
ko:K07052	bmai:DM57_14250
ko:K01560	bmai:DM57_14260
ko:K13491	bmai:DM57_14265
ko:K13490	bmai:DM57_14270
ko:K13489	bmai:DM57_14275
ko:K13486	bmai:DM57_14280
ko:K13488	bmai:DM57_14285
ko:K13487	bmai:DM57_14290
ko:K01652	bmai:DM57_14315
ko:K03316	bmai:DM57_14320
ko:K02503	bmai:DM57_14345
ko:K16320	bmai:DM57_14360
ko:K03381	bmai:DM57_14385
ko:K03464	bmai:DM57_14390
ko:K02300	bmai:DM57_14395
ko:K02299	bmai:DM57_14400
ko:K02298	bmai:DM57_14405
ko:K02297	bmai:DM57_14410
ko:K00219	bmai:DM57_14420
ko:K00639	bmai:DM57_14745
ko:K00060	bmai:DM57_14750
ko:K09958	bmai:DM57_14765
ko:K07246	bmai:DM57_14775
ko:K16135	bmai:DM57_14780
ko:K02982	bmai:DM57_1395
ko:K02878	bmai:DM57_1394
ko:K02904	bmai:DM57_1393
ko:K02961	bmai:DM57_1392
ko:K02874	bmai:DM57_1391
ko:K02895	bmai:DM57_1390
ko:K02931	bmai:DM57_1389
ko:K02954	bmai:DM57_1388
ko:K02994	bmai:DM57_1387
ko:K02933	bmai:DM57_1386
ko:K02881	bmai:DM57_1385
ko:K02988	bmai:DM57_1384
ko:K02907	bmai:DM57_1383
ko:K02876	bmai:DM57_1382
ko:K03076	bmai:DM57_1381
ko:K02518	bmai:DM57_1380
ko:K02919	bmai:DM57_1379
ko:K02952	bmai:DM57_1378
ko:K02948	bmai:DM57_1377
ko:K02986	bmai:DM57_1376
ko:K03040	bmai:DM57_1375
ko:K02355	bmai:DM57_1028
ko:K09005	bmai:DM57_1027
ko:K13038	bmai:DM57_1021
ko:K03101	bmai:DM57_1020
ko:K01870	bmai:DM57_1019
ko:K11753	bmai:DM57_1018
ko:K11175	bmai:DM57_1017
ko:K03500	bmai:DM57_1016
ko:K03517	bmai:DM57_1013
ko:K00767	bmai:DM57_1012
ko:K00278	bmai:DM57_1011
ko:K02913	bmai:DM57_1010
ko:K02902	bmai:DM57_1009
ko:K03630	bmai:DM57_1008
ko:K03774	bmai:DM57_1007
ko:K03527	bmai:DM57_1006
ko:K02518	bmai:DM57_996
ko:K15738	bmai:DM57_991
ko:K02622	bmai:DM57_990
ko:K02621	bmai:DM57_989
ko:K06016	bmai:DM57_983
ko:K07240	bmai:DM57_981
ko:K01784	bmai:DM57_974
ko:K14682	bmai:DM57_562
ko:K01915	bmai:DM57_554
ko:K07708	bmai:DM57_553
ko:K07712	bmai:DM57_552
ko:K01142	bmai:DM57_550
ko:K07684	bmai:DM57_549
ko:K07673	bmai:DM57_548
ko:K00374	bmai:DM57_547
ko:K00373	bmai:DM57_546
ko:K00371	bmai:DM57_545
ko:K00370	bmai:DM57_544
ko:K02575	bmai:DM57_543
ko:K02575	bmai:DM57_542
ko:K01414	bmai:DM57_539
ko:K01491	bmai:DM57_538
ko:K00163	bmai:DM57_535
ko:K00627	bmai:DM57_534
ko:K00382	bmai:DM57_533
ko:K07262	bmai:DM57_530
ko:K18928	bmai:DM57_524
ko:K01104	bmai:DM57_521
ko:K13643	bmai:DM57_520
ko:K04487	bmai:DM57_519
ko:K04488	bmai:DM57_518
ko:K13628	bmai:DM57_517
ko:K04082	bmai:DM57_516
ko:K04044	bmai:DM57_515
ko:K04755	bmai:DM57_514
ko:K04567	bmai:DM57_511
ko:K02836	bmai:DM57_510
ko:K07462	bmai:DM57_509
ko:K09808	bmai:DM57_507
ko:K09810	bmai:DM57_506
ko:K03424	bmai:DM57_505
ko:K02014	bmai:DM57_46
ko:K10531	bmai:DM57_45
ko:K06160	bmai:DM57_42
ko:K02016	bmai:DM57_40
ko:K13255	bmai:DM57_39
ko:K02015	bmai:DM57_38
ko:K02013	bmai:DM57_37
ko:K03088	bmai:DM57_34
ko:K00008	bmai:DM57_30
ko:K10440	bmai:DM57_29
ko:K10441	bmai:DM57_28
ko:K10439	bmai:DM57_27
ko:K07345	bmai:DM57_18
ko:K07346	bmai:DM57_17
ko:K07347	bmai:DM57_16
ko:K07345	bmai:DM57_15
ko:K18095	bmai:DM57_13
ko:K18094	bmai:DM57_12
ko:K18129	bmai:DM57_11
ko:K02029	bmai:DM57_9
ko:K02029	bmai:DM57_8
ko:K02030	bmai:DM57_7
ko:K12511	bmai:DM57_3
ko:K02283	bmai:DM57_1
ko:K02280	bmai:DM57_3206
ko:K02279	bmai:DM57_3205
ko:K02278	bmai:DM57_3204
ko:K02651	bmai:DM57_3203
ko:K01607	bmai:DM57_05260
ko:K08195	bmai:DM57_05265
ko:K08995	bmai:DM57_05305
ko:K03088	bmai:DM57_05315
ko:K03701	bmai:DM57_05320
ko:K10125	bmai:DM57_05360
ko:K10126	bmai:DM57_05365
ko:K01114	bmai:DM57_05390
ko:K16692	bmai:DM57_05410
ko:K00799	bmai:DM57_05505
ko:K07006	bmai:DM57_05510
ko:K03317	bmai:DM57_05520
ko:K01619	bmai:DM57_05525
ko:K00758	bmai:DM57_05540
ko:K01489	bmai:DM57_05545
ko:K00612	bmai:DM57_06140
ko:K08995	bmai:DM57_06225
ko:K01845	bmai:DM57_06240
ko:K10253	bmai:DM57_06250
ko:K03527	bmai:DM57_06260
ko:K01512	bmai:DM57_06280
ko:K05786	bmai:DM57_06285
ko:K01720	bmai:DM57_06295
ko:K01644	bmai:DM57_06310
ko:K05591	bmai:DM57_06340
ko:K10001	bmai:DM57_06385
ko:K00285	bmai:DM57_06390
ko:K07107	bmai:DM57_13050
ko:K17735	bmai:DM57_13055
ko:K02002	bmai:DM57_13065
ko:K17736	bmai:DM57_13070
ko:K05994	bmai:DM57_13080
ko:K08720	bmai:DM57_13085
ko:K02002	bmai:DM57_13090
ko:K01133	bmai:DM57_13095
ko:K01433	bmai:DM57_13105
ko:K02002	bmai:DM57_13115
ko:K00479	bmai:DM57_13125
ko:K03521	bmai:DM57_13130
ko:K03522	bmai:DM57_13135
ko:K10012	bmai:DM57_3023
ko:K00604	bmai:DM57_3022
ko:K03564	bmai:DM57_3019
ko:K07175	bmai:DM57_3018
ko:K03306	bmai:DM57_3016
ko:K07220	bmai:DM57_3015
ko:K02939	bmai:DM57_3013
ko:K02963	bmai:DM57_3012
ko:K02686	bmai:DM57_3011
ko:K02990	bmai:DM57_3010
ko:K03088	bmai:DM57_3008
ko:K02275	bmai:DM57_3006
ko:K01736	bmai:DM57_3002
ko:K07058	bmai:DM57_2998
ko:K03809	bmai:DM57_2997
ko:K03406	bmai:DM57_2987
ko:K08223	bmai:DM57_2986
ko:K01243	bmai:DM57_2985
ko:K03657	bmai:DM57_2984
ko:K01873	bmai:DM57_2983
ko:K00963	bmai:DM57_2982
ko:K00010	bmai:DM57_2975
ko:K00010	bmai:DM57_2974
ko:K02058	bmai:DM57_2972
ko:K02057	bmai:DM57_2971
ko:K02056	bmai:DM57_2970
ko:K03338	bmai:DM57_2969
ko:K04751	bmai:DM57_2736
ko:K01950	bmai:DM57_2735
ko:K09919	bmai:DM57_2734
ko:K01507	bmai:DM57_2732
ko:K00128	bmai:DM57_2731
ko:K00059	bmai:DM57_2730
ko:K02498	bmai:DM57_2728
ko:K01749	bmai:DM57_2726
ko:K01595	bmai:DM57_2725
ko:K07346	bmai:DM57_2719
ko:K07347	bmai:DM57_2718
ko:K01755	bmai:DM57_2717
ko:K01584	bmai:DM57_2714
ko:K01494	bmai:DM57_2713
ko:K03593	bmai:DM57_2711
ko:K01874	bmai:DM57_2709
ko:K09800	bmai:DM57_2706
ko:K07278	bmai:DM57_2705
ko:K05896	bmai:DM57_2703
ko:K01918	bmai:DM57_2702
ko:K01579	bmai:DM57_2701
ko:K15977	bmai:DM57_2699
ko:K02232	bmai:DM57_2698
ko:K02231	bmai:DM57_2697
ko:K02227	bmai:DM57_2696
ko:K02225	bmai:DM57_2695
ko:K02016	bmai:DM57_2694
ko:K02226	bmai:DM57_2692
ko:K02233	bmai:DM57_2691
ko:K00768	bmai:DM57_2690
ko:K02013	bmai:DM57_2689
ko:K02015	bmai:DM57_2688
ko:K16092	bmai:DM57_2687
ko:K09888	bmai:DM57_2685
ko:K02945	bmai:DM57_2455
ko:K05788	bmai:DM57_2454
ko:K00012	bmai:DM57_2450
ko:K03274	bmai:DM57_2448
ko:K02237	bmai:DM57_2447
ko:K12339	bmai:DM57_2446
ko:K08305	bmai:DM57_2445
ko:K02071	bmai:DM57_2442
ko:K02072	bmai:DM57_2441
ko:K02073	bmai:DM57_2440
ko:K03521	bmai:DM57_2439
ko:K03522	bmai:DM57_2438
ko:K00285	bmai:DM57_2435
ko:K03719	bmai:DM57_2434
ko:K02959	bmai:DM57_2429
ko:K02860	bmai:DM57_2428
ko:K00554	bmai:DM57_2427
ko:K02884	bmai:DM57_2426
ko:K02227	bmai:DM57_2422
ko:K06949	bmai:DM57_2420
ko:K06013	bmai:DM57_2419
ko:K13288	bmai:DM57_2418
ko:K03831	bmai:DM57_2417
ko:K09889	bmai:DM57_2416
ko:K03592	bmai:DM57_2415
ko:K03980	bmai:DM57_2403
ko:K02968	bmai:DM57_2402
ko:K00075	bmai:DM57_2399
ko:K09767	bmai:DM57_2398
ko:K08591	bmai:DM57_2397
ko:K12368	bmai:DM57_2110
ko:K03673	bmai:DM57_2105
ko:K01887	bmai:DM57_2103
ko:K00548	bmai:DM57_2100
ko:K00548	bmai:DM57_2099
ko:K16171	bmai:DM57_2095
ko:K01692	bmai:DM57_2094
ko:K07001	bmai:DM57_2092
ko:K03525	bmai:DM57_2086
ko:K03524	bmai:DM57_2085
ko:K01119	bmai:DM57_2083
ko:K02066	bmai:DM57_2082
ko:K02065	bmai:DM57_2081
ko:K02067	bmai:DM57_2080
ko:K18480	bmai:DM57_2079
ko:K07018	bmai:DM57_2076
ko:K07258	bmai:DM57_2075
ko:K00824	bmai:DM57_2074
ko:K09158	bmai:DM57_2073
ko:K03566	bmai:DM57_2072
ko:K03801	bmai:DM57_2070
ko:K03644	bmai:DM57_2069
ko:K01142	bmai:DM57_2067
ko:K02434	bmai:DM57_2065
ko:K02433	bmai:DM57_2064
ko:K02435	bmai:DM57_2063
ko:K03569	bmai:DM57_2062
ko:K03570	bmai:DM57_2061
ko:K03571	bmai:DM57_2060
ko:K05515	bmai:DM57_2059
ko:K05837	bmai:DM57_2058
ko:K01630	bmai:DM57_2056
ko:K01737	bmai:DM57_2055
ko:K02806	bmai:DM57_1768
ko:K05808	bmai:DM57_1767
ko:K03092	bmai:DM57_1766
ko:K06861	bmai:DM57_1764
ko:K09774	bmai:DM57_1763
ko:K11719	bmai:DM57_1762
ko:K03270	bmai:DM57_1761
ko:K06041	bmai:DM57_1760
ko:K03455	bmai:DM57_1759
ko:K00759	bmai:DM57_15365
ko:K01433	bmai:DM57_1755
ko:K03701	bmai:DM57_1753
ko:K01999	bmai:DM57_1748
ko:K07226	bmai:DM57_1746
ko:K03642	bmai:DM57_1740
ko:K03530	bmai:DM57_1738
ko:K15461	bmai:DM57_1737
ko:K06048	bmai:DM57_1735
ko:K01951	bmai:DM57_1733
ko:K07117	bmai:DM57_1731
ko:K01724	bmai:DM57_1727
ko:K00500	bmai:DM57_1726
ko:K00140	bmai:DM57_1722
ko:K01995	bmai:DM57_1720
ko:K01996	bmai:DM57_1719
ko:K01999	bmai:DM57_1718
ko:K01997	bmai:DM57_1717
ko:K01998	bmai:DM57_1716
ko:K01999	bmai:DM57_1714
ko:K01997	bmai:DM57_1713
ko:K02879	bmai:DM57_1374
ko:K03926	bmai:DM57_1373
ko:K04084	bmai:DM57_1372
ko:K01698	bmai:DM57_1371
ko:K03978	bmai:DM57_1370
ko:K07399	bmai:DM57_1368
ko:K07275	bmai:DM57_1363
ko:K00145	bmai:DM57_1360
ko:K03809	bmai:DM57_1359
ko:K06910	bmai:DM57_1358
ko:K00762	bmai:DM57_1357
ko:K00029	bmai:DM57_1356
ko:K04090	bmai:DM57_1355
ko:K00457	bmai:DM57_1353
ko:K03719	bmai:DM57_1352
ko:K02613	bmai:DM57_1348
ko:K02612	bmai:DM57_1347
ko:K02611	bmai:DM57_1346
ko:K02610	bmai:DM57_1345
ko:K02609	bmai:DM57_1344
ko:K06134	bmai:DM57_1331
ko:K03925	bmai:DM57_1330
ko:K03438	bmai:DM57_1329
ko:K03586	bmai:DM57_1328
ko:K03587	bmai:DM57_1327
ko:K01928	bmai:DM57_1326
ko:K01929	bmai:DM57_1325
ko:K01000	bmai:DM57_1324
ko:K01925	bmai:DM57_1323
ko:K03588	bmai:DM57_1322
ko:K02563	bmai:DM57_1321
ko:K01924	bmai:DM57_1320
ko:K01921	bmai:DM57_1319
ko:K03589	bmai:DM57_1318
ko:K03590	bmai:DM57_1317
ko:K03531	bmai:DM57_1316
ko:K15778	bmai:DM57_970
ko:K02841	bmai:DM57_969
ko:K02527	bmai:DM57_967
ko:K03189	bmai:DM57_966
ko:K03188	bmai:DM57_965
ko:K03187	bmai:DM57_964
ko:K01428	bmai:DM57_963
ko:K01429	bmai:DM57_962
ko:K01430	bmai:DM57_961
ko:K03190	bmai:DM57_960
ko:K11963	bmai:DM57_959
ko:K11962	bmai:DM57_958
ko:K11960	bmai:DM57_954
ko:K11959	bmai:DM57_953
ko:K00822	bmai:DM57_952
ko:K00573	bmai:DM57_950
ko:K06940	bmai:DM57_947
ko:K06153	bmai:DM57_945
ko:K03439	bmai:DM57_944
ko:K06199	bmai:DM57_939
ko:K02221	bmai:DM57_937
ko:K06895	bmai:DM57_933
ko:K03182	bmai:DM57_932
ko:K03625	bmai:DM57_929
ko:K00794	bmai:DM57_928
ko:K14652	bmai:DM57_927
ko:K00793	bmai:DM57_926
ko:K11752	bmai:DM57_925
ko:K01845	bmai:DM57_924
ko:K07552	bmai:DM57_921
ko:K02028	bmai:DM57_918
ko:K10009	bmai:DM57_917
ko:K02238	bmai:DM57_504
ko:K01937	bmai:DM57_502
ko:K01627	bmai:DM57_501
ko:K01689	bmai:DM57_500
ko:K01273	bmai:DM57_13155
ko:K00600	bmai:DM57_13160
ko:K02529	bmai:DM57_4840
ko:K00692	bmai:DM57_13175
ko:K03543	bmai:DM57_13185
ko:K12990	bmai:DM57_13200
ko:K18101	bmai:DM57_13210
ko:K18100	bmai:DM57_13215
ko:K11891	bmai:DM57_13235
ko:K11892	bmai:DM57_13240
ko:K11893	bmai:DM57_13245
ko:K11893	bmai:DM57_13250
ko:K11906	bmai:DM57_13255
ko:K11904	bmai:DM57_13280
ko:K11904	bmai:DM57_13285
ko:K11907	bmai:DM57_13290
ko:K11895	bmai:DM57_13295
ko:K11896	bmai:DM57_13300
ko:K03885	bmai:DM57_13860
ko:K06966	bmai:DM57_13870
ko:K01241	bmai:DM57_13900
ko:K02204	bmai:DM57_13910
ko:K02020	bmai:DM57_13950
ko:K02018	bmai:DM57_13955
ko:K02017	bmai:DM57_13960
ko:K02019	bmai:DM57_13965
ko:K01821	bmai:DM57_13975
ko:K00788	bmai:DM57_14000
ko:K03606	bmai:DM57_14055
ko:K07004	bmai:DM57_14110
ko:K02014	bmai:DM57_14135
ko:K05549	bmai:DM57_14440
ko:K05550	bmai:DM57_14445
ko:K05784	bmai:DM57_14450
ko:K05783	bmai:DM57_14455
ko:K11733	bmai:DM57_14505
ko:K02004	bmai:DM57_14560
ko:K02003	bmai:DM57_14565
ko:K07003	bmai:DM57_14590
ko:K04754	bmai:DM57_14595
ko:K01607	bmai:DM57_14600
ko:K10038	bmai:DM57_14615
ko:K10037	bmai:DM57_14620
ko:K10036	bmai:DM57_14625
ko:K06045	bmai:DM57_14635
ko:K03410	bmai:DM57_14660
ko:K03088	bmai:DM57_14680
ko:K00537	bmai:DM57_14690
ko:K05589	bmai:DM57_499
ko:K04083	bmai:DM57_497
ko:K07053	bmai:DM57_493
ko:K01867	bmai:DM57_490
ko:K01714	bmai:DM57_488
ko:K07287	bmai:DM57_487
ko:K18850	bmai:DM57_485
ko:K03555	bmai:DM57_481
ko:K01092	bmai:DM57_479
ko:K02533	bmai:DM57_478
ko:K00640	bmai:DM57_477
ko:K03269	bmai:DM57_476
ko:K03768	bmai:DM57_475
ko:K03767	bmai:DM57_474
ko:K01883	bmai:DM57_472
ko:K01247	bmai:DM57_471
ko:K01962	bmai:DM57_470
ko:K04075	bmai:DM57_469
ko:K00928	bmai:DM57_468
ko:K00860	bmai:DM57_460
ko:K03119	bmai:DM57_453
ko:K00615	bmai:DM57_449
ko:K00615	bmai:DM57_448
ko:K00831	bmai:DM57_445
ko:K16370	bmai:DM57_05555
ko:K00925	bmai:DM57_05560
ko:K00625	bmai:DM57_05565
ko:K03821	bmai:DM57_05570
ko:K02112	bmai:DM57_05575
ko:K02114	bmai:DM57_05580
ko:K02116	bmai:DM57_05585
ko:K02108	bmai:DM57_05595
ko:K02110	bmai:DM57_05600
ko:K02109	bmai:DM57_05605
ko:K02111	bmai:DM57_05610
ko:K02115	bmai:DM57_05615
ko:K13953	bmai:DM57_05620
ko:K03406	bmai:DM57_05635
ko:K13926	bmai:DM57_05650
ko:K01993	bmai:DM57_05655
ko:K02004	bmai:DM57_05685
ko:K02003	bmai:DM57_05690
ko:K02005	bmai:DM57_05695
ko:K03406	bmai:DM57_05705
ko:K00860	bmai:DM57_05710
ko:K06966	bmai:DM57_05735
ko:K13953	bmai:DM57_05760
ko:K00023	bmai:DM57_05770
ko:K07576	bmai:DM57_05780
ko:K07044	bmai:DM57_05785
ko:K02480	bmai:DM57_05805
ko:K03825	bmai:DM57_05830
ko:K01426	bmai:DM57_05840
ko:K01953	bmai:DM57_06440
ko:K11892	bmai:DM57_3475
ko:K11893	bmai:DM57_06470
ko:K11906	bmai:DM57_06475
ko:K11903	bmai:DM57_06480
ko:K11901	bmai:DM57_06490
ko:K11907	bmai:DM57_06495
ko:K11898	bmai:DM57_06510
ko:K11897	bmai:DM57_06515
ko:K11896	bmai:DM57_06520
ko:K11895	bmai:DM57_06525
ko:K11902	bmai:DM57_06530
ko:K11904	bmai:DM57_06535
ko:K00355	bmai:DM57_06570
ko:K01740	bmai:DM57_06580
ko:K01941	bmai:DM57_06615
ko:K01961	bmai:DM57_06620
ko:K07160	bmai:DM57_06630
ko:K01434	bmai:DM57_06640
ko:K01259	bmai:DM57_06645
ko:K02688	bmai:DM57_06670
ko:K03417	bmai:DM57_06675
ko:K01659	bmai:DM57_06680
ko:K09694	bmai:DM57_3179
ko:K07089	bmai:DM57_3177
ko:K05539	bmai:DM57_3172
ko:K15555	bmai:DM57_3163
ko:K15554	bmai:DM57_3162
ko:K04091	bmai:DM57_3161
ko:K00684	bmai:DM57_14815
ko:K00254	bmai:DM57_3151
ko:K02424	bmai:DM57_3150
ko:K10009	bmai:DM57_3149
ko:K01807	bmai:DM57_3144
ko:K11066	bmai:DM57_3143
ko:K03218	bmai:DM57_3142
ko:K12573	bmai:DM57_3141
ko:K03406	bmai:DM57_3137
ko:K01114	bmai:DM57_3136
ko:K03336	bmai:DM57_2968
ko:K03335	bmai:DM57_2967
ko:K03337	bmai:DM57_2966
ko:K01996	bmai:DM57_2965
ko:K01995	bmai:DM57_2964
ko:K01998	bmai:DM57_2964
ko:K01997	bmai:DM57_2963
ko:K07107	bmai:DM57_2962
ko:K01872	bmai:DM57_2950
ko:K04062	bmai:DM57_2948
ko:K01886	bmai:DM57_2947
ko:K00428	bmai:DM57_2941
ko:K00209	bmai:DM57_2939
ko:K03543	bmai:DM57_2938
ko:K03446	bmai:DM57_2937
ko:K07687	bmai:DM57_2935
ko:K07346	bmai:DM57_2931
ko:K03322	bmai:DM57_2922
ko:K11896	bmai:DM57_2914
ko:K04618	bmai:DM57_2911
ko:K13292	bmai:DM57_2682
ko:K01687	bmai:DM57_2680
ko:K08738	bmai:DM57_2678
ko:K02339	bmai:DM57_2676
ko:K01255	bmai:DM57_2675
ko:K07091	bmai:DM57_2674
ko:K11720	bmai:DM57_2673
ko:K02303	bmai:DM57_2671
ko:K00956	bmai:DM57_2670
ko:K00957	bmai:DM57_2669
ko:K00390	bmai:DM57_2668
ko:K00381	bmai:DM57_2666
ko:K13634	bmai:DM57_2665
ko:K01915	bmai:DM57_2660
ko:K07010	bmai:DM57_2659
ko:K05603	bmai:DM57_2657
ko:K01468	bmai:DM57_2656
ko:K09975	bmai:DM57_2655
ko:K01712	bmai:DM57_2654
ko:K05836	bmai:DM57_2653
ko:K01745	bmai:DM57_2652
ko:K06133	bmai:DM57_2651
ko:K07782	bmai:DM57_2649
ko:K00860	bmai:DM57_2648
ko:K01669	bmai:DM57_2647
ko:K00496	bmai:DM57_2646
ko:K04561	bmai:DM57_2645
ko:K08303	bmai:DM57_2635
ko:K00459	bmai:DM57_2634
ko:K04763	bmai:DM57_2394
ko:K00567	bmai:DM57_2393
ko:K06925	bmai:DM57_2391
ko:K01448	bmai:DM57_2390
ko:K15268	bmai:DM57_2389
ko:K06911	bmai:DM57_2388
ko:K00275	bmai:DM57_2385
ko:K00574	bmai:DM57_2384
ko:K07304	bmai:DM57_2382
ko:K07130	bmai:DM57_2379
ko:K01556	bmai:DM57_2378
ko:K00453	bmai:DM57_2377
ko:K08195	bmai:DM57_2376
ko:K00077	bmai:DM57_2375
ko:K00141	bmai:DM57_2374
ko:K01576	bmai:DM57_2373
ko:K00854	bmai:DM57_2369
ko:K10111	bmai:DM57_2363
ko:K10229	bmai:DM57_2361
ko:K10228	bmai:DM57_2360
ko:K10227	bmai:DM57_2359
ko:K16371	bmai:DM57_2358
ko:K00847	bmai:DM57_2357
ko:K09823	bmai:DM57_2355
ko:K02077	bmai:DM57_2354
ko:K02074	bmai:DM57_2353
ko:K02075	bmai:DM57_2352
ko:K01070	bmai:DM57_2351
ko:K00121	bmai:DM57_2350
ko:K18139	bmai:DM57_2342
ko:K18138	bmai:DM57_2341
ko:K03585	bmai:DM57_2340
ko:K06920	bmai:DM57_2053
ko:K03500	bmai:DM57_2048
ko:K03799	bmai:DM57_2047
ko:K00604	bmai:DM57_2045
ko:K01462	bmai:DM57_2044
ko:K04096	bmai:DM57_2043
ko:K00058	bmai:DM57_2039
