ko:K00130	saux:SAI6T6_1019460
ko:K02015	saux:SAI6T6_1000690
ko:K02015	saux:SAI6T6_1000700
ko:K02016	saux:SAI6T6_1000710
ko:K04074	saux:SAI6T6_1008450
ko:K01870	saux:SAI6T6_1008460
ko:K03101	saux:SAI6T6_1008470
ko:K06180	saux:SAI6T6_1008480
ko:K02825	saux:SAI6T6_1008490
ko:K02824	saux:SAI6T6_1008500
ko:K00609	saux:SAI6T6_1008510
ko:K01465	saux:SAI6T6_1008520
ko:K01956	saux:SAI6T6_1008530
ko:K01955	saux:SAI6T6_1008540
ko:K01591	saux:SAI6T6_1008550
ko:K00762	saux:SAI6T6_1008560
ko:K00942	saux:SAI6T6_1008580
ko:K13038	saux:SAI6T6_1008590
ko:K04066	saux:SAI6T6_1008600
ko:K01462	saux:SAI6T6_1008620
ko:K00604	saux:SAI6T6_1008630
ko:K03500	saux:SAI6T6_1008640
ko:K06941	saux:SAI6T6_1008650
ko:K06949	saux:SAI6T6_1008680
ko:K01783	saux:SAI6T6_1008690
ko:K07030	saux:SAI6T6_1008710
ko:K03655	saux:SAI6T6_1008720
ko:K03621	saux:SAI6T6_1008740
ko:K00645	saux:SAI6T6_1008750
ko:K00059	saux:SAI6T6_1008760
ko:K03685	saux:SAI6T6_1008770
ko:K03529	saux:SAI6T6_1008780
ko:K03110	saux:SAI6T6_1008790
ko:K03106	saux:SAI6T6_1008800
ko:K02860	saux:SAI6T6_1008810
ko:K00554	saux:SAI6T6_1008820
ko:K14540	saux:SAI6T6_1008840
ko:K03470	saux:SAI6T6_1008850
ko:K01903	saux:SAI6T6_1008860
ko:K01902	saux:SAI6T6_1008870
ko:K04096	saux:SAI6T6_1008900
ko:K03168	saux:SAI6T6_1008910
ko:K04094	saux:SAI6T6_1008920
ko:K03733	saux:SAI6T6_1008930
ko:K02787	saux:SAI6T6_1016260
ko:K02788	saux:SAI6T6_1016260
ko:K01635	saux:SAI6T6_1016270
ko:K00917	saux:SAI6T6_1016280
ko:K01819	saux:SAI6T6_1016290
ko:K02530	saux:SAI6T6_1016300
ko:K12410	saux:SAI6T6_1016310
ko:K01727	saux:SAI6T6_1016340
ko:K01575	saux:SAI6T6_1016370
ko:K01652	saux:SAI6T6_1016380
ko:K06173	saux:SAI6T6_1016440
ko:K16785	saux:SAI6T6_1016450
ko:K16787	saux:SAI6T6_1016460
ko:K16786	saux:SAI6T6_1016470
ko:K03040	saux:SAI6T6_1016480
ko:K00939	saux:SAI6T6_1016490
ko:K03076	saux:SAI6T6_1016500
ko:K02988	saux:SAI6T6_1016510
ko:K02933	saux:SAI6T6_1016520
ko:K02931	saux:SAI6T6_1016530
ko:K02982	saux:SAI6T6_1016550
ko:K02886	saux:SAI6T6_1016560
ko:K02926	saux:SAI6T6_1016570
ko:K02906	saux:SAI6T6_1016580
ko:K06901	saux:SAI6T6_1016590
ko:K05340	saux:SAI6T6_1016620
ko:K07088	saux:SAI6T6_1016630
ko:K11693	saux:SAI6T6_1016650
ko:K03639	saux:SAI6T6_1016680
ko:K03752	saux:SAI6T6_1016690
ko:K03753	saux:SAI6T6_1016700
ko:K03750	saux:SAI6T6_1016710
ko:K03637	saux:SAI6T6_1016720
ko:K16937	saux:SAI6T6_1005450
ko:K10026	saux:SAI6T6_1005470
ko:K06920	saux:SAI6T6_1005480
ko:K01664	saux:SAI6T6_1005490
ko:K01665	saux:SAI6T6_1005500
ko:K02619	saux:SAI6T6_1005510
ko:K15738	saux:SAI6T6_1005550
ko:K03654	saux:SAI6T6_1005560
ko:K05847	saux:SAI6T6_1005570
ko:K05845	saux:SAI6T6_1005580
ko:K05846	saux:SAI6T6_1005580
ko:K00817	saux:SAI6T6_1005590
ko:K03305	saux:SAI6T6_1005620
ko:K09457	saux:SAI6T6_1005630
ko:K02015	saux:SAI6T6_1005670
ko:K02015	saux:SAI6T6_1005680
ko:K02013	saux:SAI6T6_1005690
ko:K02016	saux:SAI6T6_1005700
ko:K00075	saux:SAI6T6_1005710
ko:K00865	saux:SAI6T6_1005740
ko:K01258	saux:SAI6T6_1005750
ko:K02851	saux:SAI6T6_1005790
ko:K02240	saux:SAI6T6_1005820
ko:K02242	saux:SAI6T6_1005830
ko:K03070	saux:SAI6T6_1005850
ko:K02836	saux:SAI6T6_1005860
ko:K07023	saux:SAI6T6_1005880
ko:K03702	saux:SAI6T6_1005890
ko:K03701	saux:SAI6T6_1005900
ko:K06023	saux:SAI6T6_1005910
ko:K13292	saux:SAI6T6_1005920
ko:K07002	saux:SAI6T6_1013500
ko:K00231	saux:SAI6T6_1013510
ko:K01772	saux:SAI6T6_1013520
ko:K01599	saux:SAI6T6_1013530
ko:K01992	saux:SAI6T6_1013550
ko:K01990	saux:SAI6T6_1013560
ko:K07533	saux:SAI6T6_1013580
ko:K03698	saux:SAI6T6_1013590
ko:K06180	saux:SAI6T6_1013670
ko:K01679	saux:SAI6T6_1013680
ko:K03216	saux:SAI6T6_1013700
ko:K02028	saux:SAI6T6_1013720
ko:K02029	saux:SAI6T6_1013730
ko:K02030	saux:SAI6T6_1013730
ko:K07035	saux:SAI6T6_1013740
ko:K01897	saux:SAI6T6_1001790
ko:K02035	saux:SAI6T6_1001820
ko:K05916	saux:SAI6T6_1001830
ko:K00016	saux:SAI6T6_1001840
ko:K02773	saux:SAI6T6_1001880
ko:K02775	saux:SAI6T6_1001890
ko:K00008	saux:SAI6T6_1001900
ko:K00008	saux:SAI6T6_1001910
ko:K05352	saux:SAI6T6_1001930
ko:K07322	saux:SAI6T6_1002000
ko:K07704	saux:SAI6T6_1002010
ko:K05339	saux:SAI6T6_1002030
ko:K03489	saux:SAI6T6_1002040
ko:K01223	saux:SAI6T6_1002060
ko:K00852	saux:SAI6T6_1002080
ko:K06726	saux:SAI6T6_1002090
ko:K06216	saux:SAI6T6_1002100
ko:K02529	saux:SAI6T6_1002110
ko:K01442	saux:SAI6T6_1002130
ko:K01990	saux:SAI6T6_1002150
ko:K01992	saux:SAI6T6_1002160
ko:K01992	saux:SAI6T6_1002170
ko:K03466	saux:SAI6T6_1002220
ko:K02034	saux:SAI6T6_1009940
ko:K02033	saux:SAI6T6_1009950
ko:K02039	saux:SAI6T6_1009970
ko:K02036	saux:SAI6T6_1009980
ko:K02038	saux:SAI6T6_1009990
ko:K02037	saux:SAI6T6_1010000
ko:K02040	saux:SAI6T6_1010010
ko:K00243	saux:SAI6T6_1010020
ko:K00928	saux:SAI6T6_1010040
ko:K00133	saux:SAI6T6_1010050
ko:K01714	saux:SAI6T6_1010060
ko:K00215	saux:SAI6T6_1010070
ko:K05822	saux:SAI6T6_1010080
ko:K01775	saux:SAI6T6_1010100
ko:K01586	saux:SAI6T6_1010110
ko:K03311	saux:SAI6T6_1010140
ko:K00658	saux:SAI6T6_1010180
ko:K00164	saux:SAI6T6_1010190
ko:K02563	saux:SAI6T6_1010230
ko:K03797	saux:SAI6T6_1010250
ko:K07304	saux:SAI6T6_1010270
ko:K09125	saux:SAI6T6_1010320
ko:K08170	saux:SAI6T6_1010340
ko:K03294	saux:SAI6T6_1010350
ko:K01754	saux:SAI6T6_1010360
ko:K00259	saux:SAI6T6_1010370
ko:K02303	saux:SAI6T6_1017720
ko:K00362	saux:SAI6T6_1017730
ko:K09815	saux:SAI6T6_1017780
ko:K10010	saux:SAI6T6_1017810
ko:K10009	saux:SAI6T6_1017820
ko:K02424	saux:SAI6T6_1017830
ko:K01834	saux:SAI6T6_1017850
ko:K14197	saux:SAI6T6_1017870
ko:K00652	saux:SAI6T6_1017930
ko:K01012	saux:SAI6T6_1017940
ko:K00833	saux:SAI6T6_1017950
ko:K01935	saux:SAI6T6_1017960
ko:K06147	saux:SAI6T6_1017970
ko:K06147	saux:SAI6T6_1017980
ko:K00865	saux:SAI6T6_1017990
ko:K11737	saux:SAI6T6_1018050
ko:K00077	saux:SAI6T6_1018100
ko:K08170	saux:SAI6T6_1018110
ko:K05846	saux:SAI6T6_1018120
ko:K05845	saux:SAI6T6_1018130
ko:K05846	saux:SAI6T6_1018140
ko:K05847	saux:SAI6T6_1018150
ko:K03929	saux:SAI6T6_1018180
ko:K02069	saux:SAI6T6_1018200
ko:K08093	saux:SAI6T6_1004380
ko:K08094	saux:SAI6T6_1004390
ko:K03762	saux:SAI6T6_1004410
ko:K00626	saux:SAI6T6_1004430
ko:K00868	saux:SAI6T6_1004440
ko:K03648	saux:SAI6T6_1004460
ko:K00625	saux:SAI6T6_1004500
ko:K16869	saux:SAI6T6_1004510
ko:K00869	saux:SAI6T6_1004520
ko:K01597	saux:SAI6T6_1004530
ko:K00938	saux:SAI6T6_1004540
ko:K06885	saux:SAI6T6_1004630
ko:K13953	saux:SAI6T6_1004650
ko:K01887	saux:SAI6T6_1004660
ko:K07457	saux:SAI6T6_1004670
ko:K02016	saux:SAI6T6_1004680
ko:K02015	saux:SAI6T6_1004690
ko:K07025	saux:SAI6T6_1004700
ko:K09936	saux:SAI6T6_1004750
ko:K05565	saux:SAI6T6_1004770
ko:K05568	saux:SAI6T6_1004780
ko:K05569	saux:SAI6T6_1004790
ko:K05571	saux:SAI6T6_1004800
ko:K03316	saux:SAI6T6_1004810
ko:K03709	saux:SAI6T6_1004860
ko:K05946	saux:SAI6T6_1004880
ko:K09693	saux:SAI6T6_1004890
ko:K00031	saux:SAI6T6_1012320
ko:K01647	saux:SAI6T6_1012330
ko:K11737	saux:SAI6T6_1012340
ko:K00873	saux:SAI6T6_1012350
ko:K00850	saux:SAI6T6_1012360
ko:K01962	saux:SAI6T6_1012370
ko:K01963	saux:SAI6T6_1012380
ko:K00027	saux:SAI6T6_1012390
ko:K02337	saux:SAI6T6_1012400
ko:K00259	saux:SAI6T6_1012450
ko:K00925	saux:SAI6T6_1012470
ko:K11065	saux:SAI6T6_1012490
ko:K07090	saux:SAI6T6_1012500
ko:K03151	saux:SAI6T6_1012510
ko:K04487	saux:SAI6T6_1012520
ko:K06286	saux:SAI6T6_1012530
ko:K02986	saux:SAI6T6_1012540
ko:K01126	saux:SAI6T6_1012560
ko:K00058	saux:SAI6T6_1012590
ko:K02803	saux:SAI6T6_1012610
ko:K02804	saux:SAI6T6_1012610
ko:K00655	saux:SAI6T6_1012620
ko:K01866	saux:SAI6T6_1012640
ko:K12551	saux:SAI6T6_1012650
ko:K01938	saux:SAI6T6_1012670
ko:K01895	saux:SAI6T6_1012680
ko:K04766	saux:SAI6T6_1012690
ko:K04768	saux:SAI6T6_1012700
ko:K02529	saux:SAI6T6_1012710
ko:K13853	saux:SAI6T6_1012720
ko:K01924	saux:SAI6T6_1012750
ko:K03466	saux:SAI6T6_1012760
ko:K06878	saux:SAI6T6_1012770
ko:K01261	saux:SAI6T6_1012790
ko:K16786	saux:SAI6T6_1020110
ko:K16787	saux:SAI6T6_1020110
ko:K16924	saux:SAI6T6_1020120
ko:K02352	saux:SAI6T6_1020150
ko:K07146	saux:SAI6T6_1020160
ko:K01304	saux:SAI6T6_1020170
ko:K03319	saux:SAI6T6_1020200
ko:K05786	saux:SAI6T6_1020210
ko:K07241	saux:SAI6T6_1020230
ko:K11631	saux:SAI6T6_1020260
ko:K11632	saux:SAI6T6_1020270
ko:K03501	saux:SAI6T6_1020300
ko:K03495	saux:SAI6T6_1020310
ko:K03650	saux:SAI6T6_1020320
ko:K01534	saux:SAI6T6_20020
ko:K08167	saux:SAI6T6_20080
ko:K00383	saux:SAI6T6_20230
ko:K01586	saux:SAI6T6_1000790
ko:K03366	saux:SAI6T6_1000820
ko:K01784	saux:SAI6T6_1000830
ko:K04564	saux:SAI6T6_1000880
ko:K03784	saux:SAI6T6_1000910
ko:K01619	saux:SAI6T6_1000930
ko:K01839	saux:SAI6T6_1000940
ko:K02042	saux:SAI6T6_1000950
ko:K02042	saux:SAI6T6_1000960
ko:K02041	saux:SAI6T6_1000970
ko:K02044	saux:SAI6T6_1000980
ko:K04072	saux:SAI6T6_1001030
ko:K01104	saux:SAI6T6_1001060
ko:K17716	saux:SAI6T6_1001080
ko:K01791	saux:SAI6T6_1001100
ko:K13012	saux:SAI6T6_1001160
ko:K01784	saux:SAI6T6_1001170
ko:K02472	saux:SAI6T6_1001180
ko:K01791	saux:SAI6T6_1001190
ko:K00128	saux:SAI6T6_1001200
ko:K16264	saux:SAI6T6_1001210
ko:K02049	saux:SAI6T6_1001230
ko:K02051	saux:SAI6T6_1001240
ko:K02050	saux:SAI6T6_1001250
ko:K00122	saux:SAI6T6_1001270
ko:K01419	saux:SAI6T6_1008940
ko:K03667	saux:SAI6T6_1008950
ko:K03706	saux:SAI6T6_1008960
ko:K02967	saux:SAI6T6_1008970
ko:K02357	saux:SAI6T6_1008980
ko:K09903	saux:SAI6T6_1008990
ko:K02838	saux:SAI6T6_1009000
ko:K00806	saux:SAI6T6_1009010
ko:K00981	saux:SAI6T6_1009020
ko:K11749	saux:SAI6T6_1009030
ko:K01881	saux:SAI6T6_1009040
ko:K03763	saux:SAI6T6_1009050
ko:K09748	saux:SAI6T6_1009060
ko:K02600	saux:SAI6T6_1009070
ko:K02519	saux:SAI6T6_1009090
ko:K03177	saux:SAI6T6_1009100
ko:K11753	saux:SAI6T6_1009110
ko:K00962	saux:SAI6T6_1009120
ko:K12574	saux:SAI6T6_1009130
ko:K03466	saux:SAI6T6_1009140
ko:K00059	saux:SAI6T6_1009180
ko:K00995	saux:SAI6T6_1009200
ko:K09769	saux:SAI6T6_1009240
ko:K00174	saux:SAI6T6_1009250
ko:K00175	saux:SAI6T6_1009260
ko:K06168	saux:SAI6T6_1009270
ko:K03555	saux:SAI6T6_1009290
ko:K03572	saux:SAI6T6_1009300
ko:K02443	saux:SAI6T6_1009310
ko:K02440	saux:SAI6T6_1009320
ko:K00864	saux:SAI6T6_1009330
ko:K00111	saux:SAI6T6_1009340
ko:K00791	saux:SAI6T6_1009360
ko:K00432	saux:SAI6T6_1009370
ko:K03665	saux:SAI6T6_1009380
ko:K01915	saux:SAI6T6_1009410
ko:K01620	saux:SAI6T6_1009420
ko:K06131	saux:SAI6T6_1009430
ko:K03638	saux:SAI6T6_1016730
ko:K02017	saux:SAI6T6_1016750
ko:K02018	saux:SAI6T6_1016760
ko:K02020	saux:SAI6T6_1016770
ko:K02379	saux:SAI6T6_1016780
ko:K03523	saux:SAI6T6_1016800
ko:K02016	saux:SAI6T6_1016820
ko:K08717	saux:SAI6T6_1016840
ko:K01428	saux:SAI6T6_1016850
ko:K03188	saux:SAI6T6_1016870
ko:K03189	saux:SAI6T6_1016880
ko:K03190	saux:SAI6T6_1016890
ko:K03315	saux:SAI6T6_1016930
ko:K00123	saux:SAI6T6_1016990
ko:K07052	saux:SAI6T6_1017030
ko:K03453	saux:SAI6T6_1017080
ko:K02749	saux:SAI6T6_1017100
ko:K02750	saux:SAI6T6_1017100
ko:K03481	saux:SAI6T6_1017110
ko:K01468	saux:SAI6T6_1017180
ko:K01712	saux:SAI6T6_1017190
ko:K11210	saux:SAI6T6_1017210
ko:K01479	saux:SAI6T6_1017220
ko:K02033	saux:SAI6T6_1006970
ko:K02034	saux:SAI6T6_1006980
ko:K01867	saux:SAI6T6_1006990
ko:K16511	saux:SAI6T6_1007000
ko:K06198	saux:SAI6T6_1007010
ko:K08602	saux:SAI6T6_1007020
ko:K07816	saux:SAI6T6_1007050
ko:K00858	saux:SAI6T6_1007060
ko:K06180	saux:SAI6T6_1007070
ko:K06213	saux:SAI6T6_1007080
ko:K03455	saux:SAI6T6_1007100
ko:K00208	saux:SAI6T6_1007110
ko:K03310	saux:SAI6T6_1007130
ko:K05362	saux:SAI6T6_1007180
ko:K02837	saux:SAI6T6_1007190
ko:K02250	saux:SAI6T6_1007260
ko:K03800	saux:SAI6T6_1007270
ko:K07052	saux:SAI6T6_1007280
ko:K02003	saux:SAI6T6_1007300
ko:K02016	saux:SAI6T6_1007310
ko:K02548	saux:SAI6T6_1007330
ko:K02552	saux:SAI6T6_1007340
ko:K02551	saux:SAI6T6_1007350
ko:K08680	saux:SAI6T6_1007360
ko:K01661	saux:SAI6T6_1007370
ko:K13715	saux:SAI6T6_1007380
ko:K00841	saux:SAI6T6_1007400
ko:K04077	saux:SAI6T6_1014860
ko:K07052	saux:SAI6T6_1014870
ko:K07078	saux:SAI6T6_1014890
ko:K07813	saux:SAI6T6_1014910
ko:K07706	saux:SAI6T6_1014920
ko:K07707	saux:SAI6T6_1014930
ko:K00847	saux:SAI6T6_1014940
ko:K01193	saux:SAI6T6_1014950
ko:K03484	saux:SAI6T6_1014960
ko:K03320	saux:SAI6T6_1014970
ko:K07112	saux:SAI6T6_1014980
ko:K01926	saux:SAI6T6_1014990
ko:K06158	saux:SAI6T6_1015000
ko:K01409	saux:SAI6T6_1015020
ko:K06925	saux:SAI6T6_1015040
ko:K01687	saux:SAI6T6_1015050
ko:K01652	saux:SAI6T6_1015060
ko:K00053	saux:SAI6T6_1015070
ko:K01649	saux:SAI6T6_1015080
ko:K00052	saux:SAI6T6_1015090
ko:K01703	saux:SAI6T6_1015100
ko:K01704	saux:SAI6T6_1015110
ko:K01754	saux:SAI6T6_1015120
ko:K06959	saux:SAI6T6_1015160
ko:K03090	saux:SAI6T6_1015170
ko:K04757	saux:SAI6T6_1015180
ko:K07315	saux:SAI6T6_1015190
ko:K01775	saux:SAI6T6_1015200
ko:K09167	saux:SAI6T6_1015210
ko:K08981	saux:SAI6T6_1015220
ko:K01548	saux:SAI6T6_1015240
ko:K01547	saux:SAI6T6_1015250
ko:K01546	saux:SAI6T6_1015260
ko:K07646	saux:SAI6T6_1015270
ko:K07667	saux:SAI6T6_1015280
ko:K02828	saux:SAI6T6_1007470
ko:K02827	saux:SAI6T6_1007480
ko:K02826	saux:SAI6T6_1007490
ko:K01491	saux:SAI6T6_1007500
ko:K01588	saux:SAI6T6_1007510
ko:K01589	saux:SAI6T6_1007520
ko:K01923	saux:SAI6T6_1007530
ko:K01952	saux:SAI6T6_1007540
ko:K01952	saux:SAI6T6_1007550
ko:K00764	saux:SAI6T6_1007560
ko:K01933	saux:SAI6T6_1007570
ko:K11175	saux:SAI6T6_1007580
ko:K00602	saux:SAI6T6_1007590
ko:K01945	saux:SAI6T6_1007600
ko:K16785	saux:SAI6T6_1007610
ko:K16786	saux:SAI6T6_1007620
ko:K16787	saux:SAI6T6_1007620
ko:K16925	saux:SAI6T6_1007630
ko:K06969	saux:SAI6T6_1007650
ko:K08483	saux:SAI6T6_1007670
ko:K00425	saux:SAI6T6_1007680
ko:K00426	saux:SAI6T6_1007690
ko:K03499	saux:SAI6T6_1007700
ko:K12574	saux:SAI6T6_1007710
ko:K01462	saux:SAI6T6_1007720
ko:K00161	saux:SAI6T6_1007740
ko:K00162	saux:SAI6T6_1007750
ko:K00627	saux:SAI6T6_1007760
ko:K00382	saux:SAI6T6_1007770
ko:K11072	saux:SAI6T6_1007790
ko:K11071	saux:SAI6T6_1007800
ko:K11070	saux:SAI6T6_1007810
ko:K11069	saux:SAI6T6_1007820
ko:K03322	saux:SAI6T6_1007840
ko:K01092	saux:SAI6T6_1007860
ko:K06207	saux:SAI6T6_1007870
ko:K03588	saux:SAI6T6_1007890
ko:K01958	saux:SAI6T6_1007900
ko:K02259	saux:SAI6T6_1007910
ko:K01929	saux:SAI6T6_1015310
ko:K01921	saux:SAI6T6_1015320
ko:K05837	saux:SAI6T6_1015330
ko:K06131	saux:SAI6T6_1015340
ko:K06950	saux:SAI6T6_1015350
ko:K03217	saux:SAI6T6_1015360
ko:K00788	saux:SAI6T6_1015370
ko:K00878	saux:SAI6T6_1015380
ko:K00941	saux:SAI6T6_1015390
ko:K03707	saux:SAI6T6_1015400
ko:K00790	saux:SAI6T6_1015430
ko:K02112	saux:SAI6T6_1015440
ko:K02115	saux:SAI6T6_1015450
ko:K02111	saux:SAI6T6_1015460
ko:K02113	saux:SAI6T6_1015470
ko:K02109	saux:SAI6T6_1015480
ko:K02108	saux:SAI6T6_1015490
ko:K01791	saux:SAI6T6_1015500
ko:K00761	saux:SAI6T6_1015510
ko:K00600	saux:SAI6T6_1015520
ko:K07566	saux:SAI6T6_1015540
ko:K02493	saux:SAI6T6_1015550
ko:K02835	saux:SAI6T6_1015560
ko:K03628	saux:SAI6T6_1015580
ko:K00128	saux:SAI6T6_1015590
ko:K00790	saux:SAI6T6_1015600
ko:K01624	saux:SAI6T6_1015610
ko:K01937	saux:SAI6T6_1015630
ko:K03048	saux:SAI6T6_1015640
ko:K09680	saux:SAI6T6_1015660
ko:K07173	saux:SAI6T6_1015700
ko:K00756	saux:SAI6T6_1015710
ko:K01619	saux:SAI6T6_1015720
ko:K03784	saux:SAI6T6_1015730
ko:K01809	saux:SAI6T6_1015750
ko:K00681	saux:SAI6T6_1001560
ko:K14221	saux:SAI6T6_1000160
ko:K14221	saux:SAI6T6_1013860
ko:K14221	saux:SAI6T6_1013890
ko:K14221	saux:SAI6T6_1013480
ko:K14233	saux:SAI6T6_1003470
ko:K14233	saux:SAI6T6_1013900
ko:K14233	saux:SAI6T6_1013880
ko:K14233	saux:SAI6T6_1007240
ko:K14233	saux:SAI6T6_1013420
ko:K14227	saux:SAI6T6_1003550
ko:K14227	saux:SAI6T6_1014030
ko:K14227	saux:SAI6T6_1003920
ko:K14218	saux:SAI6T6_1003560
ko:K14218	saux:SAI6T6_1003900
ko:K14218	saux:SAI6T6_1014020
ko:K14218	saux:SAI6T6_1013930
ko:K14237	saux:SAI6T6_1003830
ko:K14237	saux:SAI6T6_1015990
ko:K14237	saux:SAI6T6_1014010
ko:K14234	saux:SAI6T6_1003840
ko:K14234	saux:SAI6T6_1014000
ko:K14234	saux:SAI6T6_1013840
ko:K14225	saux:SAI6T6_1003860
ko:K14225	saux:SAI6T6_1013970
ko:K14224	saux:SAI6T6_1000150
ko:K14224	saux:SAI6T6_1013430
ko:K14224	saux:SAI6T6_1016000
ko:K14225	saux:SAI6T6_1013770
ko:K14225	saux:SAI6T6_1013780
ko:K14228	saux:SAI6T6_1013760
ko:K14219	saux:SAI6T6_1003880
ko:K14219	saux:SAI6T6_1013950
ko:K14219	saux:SAI6T6_1005990
ko:K14219	saux:SAI6T6_1008310
ko:K14220	saux:SAI6T6_1007250
ko:K14220	saux:SAI6T6_1016010
ko:K14220	saux:SAI6T6_1013440
ko:K14225	saux:SAI6T6_1013450
ko:K14225	saux:SAI6T6_1015140
ko:K14235	saux:SAI6T6_1013820
ko:K14236	saux:SAI6T6_1013830
ko:K14236	saux:SAI6T6_1015980
ko:K14228	saux:SAI6T6_1013980
ko:K14228	saux:SAI6T6_1003870
ko:K14228	saux:SAI6T6_1013960
ko:K14231	saux:SAI6T6_1013470
ko:K14231	saux:SAI6T6_1013850
ko:K14230	saux:SAI6T6_1013490
ko:K14230	saux:SAI6T6_1013870
ko:K14230	saux:SAI6T6_1013920
ko:K14222	saux:SAI6T6_1013790
ko:K14230	saux:SAI6T6_1013910
ko:K14223	saux:SAI6T6_1013800
ko:K14223	saux:SAI6T6_1015970
ko:K01977	saux:SAI6T6_1003910
ko:K01977	saux:SAI6T6_1016020
ko:K01977	saux:SAI6T6_1015130
ko:K01977	saux:SAI6T6_1014040
ko:K01977	saux:SAI6T6_1003540
ko:K14229	saux:SAI6T6_1003850
ko:K14229	saux:SAI6T6_1015960
ko:K14229	saux:SAI6T6_1013990
ko:K14226	saux:SAI6T6_1013460
ko:K14226	saux:SAI6T6_1013810
ko:K14228	saux:SAI6T6_1015150
ko:K14232	saux:SAI6T6_1003890
ko:K14232	saux:SAI6T6_1013940
ko:K07705	saux:SAI6T6_1002020
ko:K18707	saux:SAI6T6_1011420
ko:K02547	saux:SAI6T6_1000280
ko:K18766	saux:SAI6T6_20030
ko:K05592	saux:SAI6T6_1015300
ko:K18672	saux:SAI6T6_1015940
ko:K18704	saux:SAI6T6_1001940
ko:K18682	saux:SAI6T6_1009230
ko:K18692	saux:SAI6T6_1011280
ko:K19279	saux:SAI6T6_1011980
ko:K19279	saux:SAI6T6_1015810
ko:K19279	saux:SAI6T6_1019300
ko:K09692	saux:SAI6T6_1014130
ko:K18941	saux:SAI6T6_1010210
ko:K18908	saux:SAI6T6_1002560
ko:K04940	saux:SAI6T6_1016940
ko:K18907	saux:SAI6T6_1000640
ko:K03497	saux:SAI6T6_1020290
ko:K02172	saux:SAI6T6_20040
ko:K00520	saux:SAI6T6_20200
ko:K11040	saux:SAI6T6_1013370
ko:K11040	saux:SAI6T6_1013380
ko:K11040	saux:SAI6T6_1013390
ko:K11040	saux:SAI6T6_1013400
ko:K11040	saux:SAI6T6_1013410
ko:K14201	saux:SAI6T6_1006160
ko:K11040	saux:SAI6T6_1014700
ko:K03169	saux:SAI6T6_1016600
ko:K03502	saux:SAI6T6_1009780
ko:K03497	saux:SAI6T6_1002780
ko:K03111	saux:SAI6T6_1002810
ko:K09145	saux:SAI6T6_1005180
ko:K00221	saux:SAI6T6_20190
ko:K07029	saux:SAI6T6_1014360
ko:K01271	saux:SAI6T6_1012440
ko:K07498	saux:SAI6T6_20170
ko:K07498	saux:SAI6T6_20010
ko:K18979	saux:SAI6T6_1013710
ko:K00949	saux:SAI6T6_1008700
ko:K01318	saux:SAI6T6_1013250
ko:K01318	saux:SAI6T6_1007390
ko:K07498	saux:SAI6T6_20140
ko:K07816	saux:SAI6T6_1018600
ko:K03429	saux:SAI6T6_1007170
ko:K02755	saux:SAI6T6_1002050
ko:K03293	saux:SAI6T6_1017060
ko:K19077	saux:SAI6T6_1005080
ko:K01174	saux:SAI6T6_1009480
ko:K19078	saux:SAI6T6_1005070
ko:K01239	saux:SAI6T6_1016810
ko:K19225	saux:SAI6T6_1011210
ko:K02777	saux:SAI6T6_1010260
ko:K14198	saux:SAI6T6_1014680
ko:K19068	saux:SAI6T6_1001090
ko:K19080	saux:SAI6T6_1005100
ko:K19081	saux:SAI6T6_1019570
ko:K19082	saux:SAI6T6_1019580
ko:K19083	saux:SAI6T6_1019560
ko:K19084	saux:SAI6T6_1019550
ko:K08259	saux:SAI6T6_1002140
ko:K02031	saux:SAI6T6_1006950
ko:K14195	saux:SAI6T6_1018510
ko:K14195	saux:SAI6T6_1018520
ko:K02032	saux:SAI6T6_1009920
ko:K07485	saux:SAI6T6_1002910
ko:K19285	saux:SAI6T6_1002890
ko:K03722	saux:SAI6T6_1010480
ko:K01992	saux:SAI6T6_1018660
ko:K19411	saux:SAI6T6_1003980
ko:K01046	saux:SAI6T6_1002460
ko:K19302	saux:SAI6T6_1010220
ko:K19405	saux:SAI6T6_1003990
ko:K07485	saux:SAI6T6_1004340
ko:K07485	saux:SAI6T6_1004820
ko:K07485	saux:SAI6T6_1006490
ko:K07485	saux:SAI6T6_1008220
ko:K07485	saux:SAI6T6_1012550
ko:K07485	saux:SAI6T6_1013750
ko:K07485	saux:SAI6T6_1015290
ko:K03574	saux:SAI6T6_1013120
ko:K19279	saux:SAI6T6_1006300
ko:K19576	saux:SAI6T6_1005350
ko:K01906	saux:SAI6T6_1017920
ko:K06881	saux:SAI6T6_1012410
ko:K00561	saux:SAI6T6_1011970
ko:K00561	saux:SAI6T6_1015800
ko:K00561	saux:SAI6T6_1019290
ko:K03483	saux:SAI6T6_1015890
ko:K19689	saux:SAI6T6_1014200
ko:K01258	saux:SAI6T6_1010970
ko:K07119	saux:SAI6T6_1016230
ko:K00547	saux:SAI6T6_1002750
ko:K00297	saux:SAI6T6_1002750
ko:K02538	saux:SAI6T6_1019720
ko:K21636	saux:SAI6T6_1019500
ko:K19976	saux:SAI6T6_1004840
ko:K12132	saux:SAI6T6_1008670
ko:K20074	saux:SAI6T6_1008660
ko:K20116	saux:SAI6T6_1001390
ko:K20117	saux:SAI6T6_1001390
ko:K20118	saux:SAI6T6_1001390
ko:K20116	saux:SAI6T6_1018840
ko:K20117	saux:SAI6T6_1018840
