ko:K09022	sug:SAPIG0563
ko:K00761	sug:SAPIG2154
ko:K00600	sug:SAPIG2155
ko:K07566	sug:SAPIG2158
ko:K02493	sug:SAPIG2159
ko:K02835	sug:SAPIG2160
ko:K02909	sug:SAPIG2162
ko:K03628	sug:SAPIG2163
ko:K00790	sug:SAPIG2166
ko:K01624	sug:SAPIG2167
ko:K01937	sug:SAPIG2169
ko:K07173	sug:SAPIG2176
ko:K00756	sug:SAPIG2178
ko:K04047	sug:SAPIG2181
ko:K01809	sug:SAPIG2185
ko:K01442	sug:SAPIG0290
ko:K03466	sug:SAPIG0302
ko:K03311	sug:SAPIG0319
ko:K02003	sug:SAPIG0322
ko:K01925	sug:SAPIG1180
ko:K03589	sug:SAPIG1181
ko:K03590	sug:SAPIG1182
ko:K03531	sug:SAPIG1183
ko:K05810	sug:SAPIG1184
ko:K06997	sug:SAPIG1186
ko:K09772	sug:SAPIG1187
ko:K02221	sug:SAPIG1188
ko:K04074	sug:SAPIG1190
ko:K01870	sug:SAPIG1191
ko:K03101	sug:SAPIG1193
ko:K06180	sug:SAPIG1194
ko:K02825	sug:SAPIG1195
ko:K00609	sug:SAPIG1197
ko:K01465	sug:SAPIG1198
ko:K01956	sug:SAPIG1199
ko:K01955	sug:SAPIG1200
ko:K01591	sug:SAPIG1201
ko:K00762	sug:SAPIG1202
ko:K00942	sug:SAPIG1207
ko:K03060	sug:SAPIG1208
ko:K13038	sug:SAPIG1209
ko:K04066	sug:SAPIG1210
ko:K01462	sug:SAPIG1214
ko:K00604	sug:SAPIG1215
ko:K03500	sug:SAPIG1216
ko:K06941	sug:SAPIG1217
ko:K06949	sug:SAPIG1220
ko:K01783	sug:SAPIG1221
ko:K02902	sug:SAPIG1223
ko:K03655	sug:SAPIG1226
ko:K03621	sug:SAPIG1228
ko:K00645	sug:SAPIG1229
ko:K02078	sug:SAPIG1232
ko:K03685	sug:SAPIG1233
ko:K01114	sug:SAPIG2059
ko:K04077	sug:SAPIG2066
ko:K04078	sug:SAPIG2067
ko:K07078	sug:SAPIG2070
ko:K07813	sug:SAPIG2073
ko:K07707	sug:SAPIG2076
ko:K00847	sug:SAPIG2077
ko:K01193	sug:SAPIG2078
ko:K03484	sug:SAPIG2079
ko:K03320	sug:SAPIG2081
ko:K07112	sug:SAPIG2083
ko:K01926	sug:SAPIG2084
ko:K06158	sug:SAPIG2085
ko:K21454	sug:SAPIG2410
ko:K08170	sug:SAPIG0117
ko:K03324	sug:SAPIG0118
ko:K03303	sug:SAPIG0121
ko:K02015	sug:SAPIG0124
ko:K02015	sug:SAPIG0125
ko:K02016	sug:SAPIG0126
ko:K03695	sug:SAPIG0974
ko:K00648	sug:SAPIG0979
ko:K09458	sug:SAPIG0980
ko:K15581	sug:SAPIG0982
ko:K15580	sug:SAPIG0986
ko:K15581	sug:SAPIG0987
ko:K01867	sug:SAPIG0992
ko:K08602	sug:SAPIG0996
ko:K06886	sug:SAPIG0998
ko:K00858	sug:SAPIG1002
ko:K06180	sug:SAPIG1003
ko:K06213	sug:SAPIG1004
ko:K00208	sug:SAPIG1006
ko:K03310	sug:SAPIG1008
ko:K02837	sug:SAPIG1016
ko:K07139	sug:SAPIG1813
ko:K00318	sug:SAPIG1818
ko:K00794	sug:SAPIG1819
ko:K14652	sug:SAPIG1820
ko:K00793	sug:SAPIG1821
ko:K11752	sug:SAPIG1822
ko:K03893	sug:SAPIG1824
ko:K06199	sug:SAPIG1834
ko:K06199	sug:SAPIG1835
ko:K00789	sug:SAPIG1838
ko:K01610	sug:SAPIG1839
ko:K08998	sug:SAPIG1843
ko:K01911	sug:SAPIG1844
ko:K03300	sug:SAPIG2665
ko:K02304	sug:SAPIG2667
ko:K00432	sug:SAPIG2669
ko:K00926	sug:SAPIG2682
ko:K03758	sug:SAPIG2683
ko:K00611	sug:SAPIG2684
ko:K01809	sug:SAPIG2692
ko:K01421	sug:SAPIG2693
ko:K03070	sug:SAPIG2699
ko:K03076	sug:SAPIG2703
ko:K08996	sug:SAPIG0195
ko:K00930	sug:SAPIG0196
ko:K00620	sug:SAPIG0198
ko:K00145	sug:SAPIG0199
ko:K03311	sug:SAPIG0203
ko:K07106	sug:SAPIG0209
ko:K01153	sug:SAPIG0213
ko:K02034	sug:SAPIG0217
ko:K01118	sug:SAPIG0221
ko:K15771	sug:SAPIG0225
ko:K15772	sug:SAPIG0226
ko:K02012	sug:SAPIG0234
ko:K00656	sug:SAPIG0235
ko:K04069	sug:SAPIG0236
ko:K00602	sug:SAPIG1071
ko:K01945	sug:SAPIG1072
ko:K06969	sug:SAPIG1078
ko:K00425	sug:SAPIG1083
ko:K00426	sug:SAPIG1084
ko:K01462	sug:SAPIG1088
ko:K00161	sug:SAPIG1090
ko:K00162	sug:SAPIG1091
ko:K00627	sug:SAPIG1092
ko:K00382	sug:SAPIG1093
ko:K03322	sug:SAPIG1102
ko:K06207	sug:SAPIG1106
ko:K03588	sug:SAPIG1110
ko:K02259	sug:SAPIG1112
ko:K08976	sug:SAPIG1114
ko:K01126	sug:SAPIG1117
ko:K00954	sug:SAPIG1121
ko:K07040	sug:SAPIG1123
ko:K02911	sug:SAPIG1124
ko:K03564	sug:SAPIG1956
ko:K01845	sug:SAPIG1957
ko:K03575	sug:SAPIG1961
ko:K03565	sug:SAPIG1966
ko:K05520	sug:SAPIG1968
ko:K07058	sug:SAPIG1976
ko:K13653	sug:PSAPIG030002
ko:K07038	sug:SAPIG1962
ko:K16509	sug:SAPIG0993
ko:K01834	sug:SAPIG2467
ko:K01834	sug:SAPIG0453
ko:K16511	sug:SAPIG0994
ko:K11733	sug:SAPIG1736
ko:K14229	sug:SAPIG0586
ko:K16264	sug:SAPIG0183
ko:K07482	sug:SAPIG0639
ko:K07482	sug:SAPIG2269
ko:K06198	sug:SAPIG0995
ko:K15583	sug:SAPIG0984
ko:K15583	sug:SAPIG0989
ko:K14220	sug:SAPIG1022
ko:K16329	sug:SAPIG0325
ko:K16323	sug:SAPIG0723
ko:K16169	sug:SAPIG0466
ko:K11737	sug:SAPIG2490
ko:K01545	sug:SAPIG2119
ko:K16264	sug:SAPIG2188
ko:K05340	sug:SAPIG2309
ko:K02851	sug:SAPIG0823
ko:K07045	sug:SAPIG2630
ko:K09814	sug:SAPIG2412
ko:K13052	sug:SAPIG0573
ko:K11040	sug:SAPIG1666
ko:K10010	sug:SAPIG2463
ko:K16786	sug:SAPIG2275
ko:K16787	sug:SAPIG2274
ko:K04564	sug:SAPIG0147
ko:K16785	sug:SAPIG2273
ko:K03976	sug:SAPIG0774
ko:K03436	sug:SAPIG0775
ko:K02619	sug:SAPIG0792
ko:K05845	sug:SAPIG0800
ko:K05846	sug:SAPIG0800
ko:K03647	sug:SAPIG0807
ko:K01258	sug:SAPIG0819
ko:K02240	sug:SAPIG0826
ko:K02242	sug:SAPIG0827
ko:K01489	sug:SAPIG1633
ko:K02238	sug:SAPIG1653
ko:K06948	sug:SAPIG1662
ko:K01243	sug:SAPIG1664
ko:K00652	sug:SAPIG2477
ko:K06147	sug:SAPIG2481
ko:K06147	sug:SAPIG2482
ko:K03929	sug:SAPIG2504
ko:K12942	sug:SAPIG2523
ko:K01226	sug:SAPIG0541
ko:K03486	sug:SAPIG0542
ko:K02033	sug:SAPIG1382
ko:K05822	sug:SAPIG1398
ko:K02798	sug:SAPIG2213
ko:K03593	sug:SAPIG2226
ko:K04757	sug:SAPIG2106
ko:K08168	sug:PSAPIG010004
ko:K01220	sug:SAPIG2249
ko:K02786	sug:SAPIG2251
ko:K01635	sug:SAPIG2252
ko:K00917	sug:SAPIG2253
ko:K01819	sug:SAPIG2254
ko:K01819	sug:SAPIG2255
ko:K02530	sug:SAPIG2256
ko:K07705	sug:SAPIG0274
ko:K09685	sug:SAPIG0562
ko:K02499	sug:SAPIG0571
ko:K03708	sug:SAPIG0597
ko:K09698	sug:SAPIG0603
ko:K07305	sug:SAPIG1424
ko:K07304	sug:SAPIG1425
ko:K03469	sug:SAPIG1433
ko:K03294	sug:SAPIG1436
ko:K03700	sug:SAPIG1449
ko:K02086	sug:SAPIG1453
ko:K00974	sug:SAPIG1457
ko:K00805	sug:SAPIG1468
ko:K01727	sug:SAPIG2262
ko:K00939	sug:SAPIG2282
ko:K02004	sug:SAPIG0321
ko:K03307	sug:SAPIG0327
ko:K01639	sug:SAPIG0328
ko:K01788	sug:SAPIG0331
ko:K07030	sug:SAPIG1225
ko:K00059	sug:SAPIG1230
ko:K09787	sug:SAPIG1236
ko:K01439	sug:SAPIG2062
ko:K07052	sug:SAPIG2068
ko:K07706	sug:SAPIG2075
ko:K01409	sug:SAPIG2088
ko:K03095	sug:SAPIG2103
ko:K03090	sug:SAPIG2105
ko:K07315	sug:SAPIG2108
ko:K00639	sug:SAPIG0625
ko:K00853	sug:SAPIG0627
ko:K00712	sug:SAPIG0638
ko:K00712	sug:SAPIG0640
ko:K02564	sug:SAPIG0644
ko:K08093	sug:SAPIG0645
ko:K00626	sug:SAPIG0650
ko:K01424	sug:SAPIG1477
ko:K05337	sug:SAPIG1483
ko:K03635	sug:SAPIG2322
ko:K02017	sug:SAPIG2328
ko:K07052	sug:SAPIG2364
ko:K07668	sug:SAPIG0020
ko:K07652	sug:SAPIG0021
ko:K08974	sug:SAPIG0896
ko:K04488	sug:SAPIG0900
ko:K13628	sug:SAPIG0923
ko:K05570	sug:SAPIG0930
ko:K05568	sug:SAPIG0932
ko:K05565	sug:SAPIG0935
ko:K03768	sug:SAPIG0937
ko:K11144	sug:SAPIG1738
ko:K03346	sug:SAPIG1739
ko:K10563	sug:SAPIG1743
ko:K07658	sug:SAPIG1747
ko:K00027	sug:SAPIG1755
ko:K06286	sug:SAPIG1770
ko:K00058	sug:SAPIG1776
ko:K00158	sug:SAPIG2589
ko:K00054	sug:SAPIG2595
ko:K01641	sug:SAPIG2596
ko:K00567	sug:SAPIG2597
ko:K04086	sug:SAPIG2598
ko:K06994	sug:SAPIG2602
ko:K00294	sug:SAPIG2605
ko:K07213	sug:SAPIG2609
ko:K10209	sug:SAPIG2612
ko:K07035	sug:SAPIG2620
ko:K07032	sug:SAPIG2625
ko:K03475	sug:SAPIG0410
ko:K02822	sug:SAPIG0411
ko:K02821	sug:SAPIG0412
ko:K07729	sug:SAPIG0429
ko:K00626	sug:SAPIG0434
ko:K03177	sug:SAPIG1273
ko:K00059	sug:SAPIG1282
ko:K02443	sug:SAPIG1300
ko:K03713	sug:SAPIG1310
ko:K09167	sug:SAPIG2113
ko:K08981	sug:SAPIG2114
ko:K02116	sug:SAPIG2152
ko:K01104	sug:SAPIG2157
ko:K07025	sug:SAPIG0692
ko:K05565	sug:SAPIG0702
ko:K05568	sug:SAPIG0705
ko:K05570	sug:SAPIG0707
ko:K03316	sug:SAPIG0709
ko:K03709	sug:SAPIG0713
ko:K09693	sug:SAPIG0716
ko:K09763	sug:SAPIG1562
ko:K04763	sug:SAPIG1563
ko:K03711	sug:SAPIG1564
ko:K01515	sug:SAPIG1565
ko:K00784	sug:SAPIG1570
ko:K00033	sug:SAPIG1576
ko:K00625	sug:SAPIG0662
ko:K00869	sug:SAPIG0664
ko:K01597	sug:SAPIG0665
ko:K00938	sug:SAPIG0666
ko:K13953	sug:SAPIG0686
ko:K07457	sug:SAPIG0689
ko:K04750	sug:SAPIG0044
ko:K00819	sug:SAPIG0940
ko:K06910	sug:SAPIG0976
ko:K15582	sug:SAPIG0983
ko:K10823	sug:SAPIG0985
ko:K15582	sug:SAPIG0988
ko:K10823	sug:SAPIG0990
ko:K01261	sug:SAPIG1798
ko:K01439	sug:SAPIG1804
ko:K06183	sug:SAPIG1806
ko:K07052	sug:SAPIG1830
ko:K04750	sug:SAPIG2642
ko:K00016	sug:SAPIG2650
ko:K03294	sug:SAPIG2651
ko:K03451	sug:SAPIG2662
ko:K00380	sug:SAPIG2668
ko:K01077	sug:SAPIG2676
ko:K01479	sug:SAPIG2385
ko:K01785	sug:SAPIG2391
ko:K01823	sug:SAPIG2398
ko:K03429	sug:SAPIG1013
ko:K06889	sug:SAPIG0109
ko:K01771	sug:SAPIG0113
ko:K10254	sug:SAPIG0119
ko:K01784	sug:SAPIG0142
ko:K03784	sug:SAPIG0150
ko:K01619	sug:SAPIG0152
ko:K07816	sug:SAPIG1001
ko:K03455	sug:SAPIG1005
ko:K05362	sug:SAPIG1014
ko:K07052	sug:SAPIG1027
ko:K02552	sug:SAPIG1040
ko:K08680	sug:SAPIG1042
ko:K07052	sug:SAPIG1831
ko:K00616	sug:SAPIG1832
ko:K02549	sug:SAPIG1842
ko:K01727	sug:SAPIG1880
ko:K01478	sug:SAPIG2685
ko:K12270	sug:SAPIG2700
ko:K12269	sug:SAPIG2701
ko:K12268	sug:SAPIG2702
ko:K07304	sug:SAPIG2712
ko:K01104	sug:SAPIG2714
ko:K02033	sug:SAPIG0216
ko:K02035	sug:SAPIG0218
ko:K15770	sug:SAPIG0224
ko:K07784	sug:SAPIG0231
ko:K07720	sug:SAPIG0232
ko:K02035	sug:SAPIG0248
ko:K00016	sug:SAPIG0252
ko:K02775	sug:SAPIG0259
ko:K11072	sug:SAPIG1096
ko:K11071	sug:SAPIG1097
ko:K11069	sug:SAPIG1099
ko:K01092	sug:SAPIG1104
ko:K01958	sug:SAPIG1111
ko:K03471	sug:SAPIG1136
ko:K00241	sug:SAPIG1143
ko:K02428	sug:SAPIG1147
ko:K09825	sug:SAPIG1954
ko:K11085	sug:SAPIG1959
ko:K07586	sug:SAPIG1960
ko:K09693	sug:SAPIG1964
ko:K01104	sug:SAPIG1974
ko:K07009	sug:SAPIG1984
ko:K02342	sug:SAPIG1987
ko:K02433	sug:SAPIG1994
ko:K07094	sug:SAPIG2000
ko:K07258	sug:SAPIG0721
ko:K09705	sug:SAPIG0748
ko:K16013	sug:SAPIG0762
ko:K16012	sug:SAPIG0763
ko:K06934	sug:SAPIG0771
ko:K02246	sug:SAPIG1606
ko:K02245	sug:SAPIG1607
ko:K02244	sug:SAPIG1608
ko:K02243	sug:SAPIG1609
ko:K00845	sug:SAPIG1612
ko:K02076	sug:SAPIG1619
ko:K00374	sug:SAPIG2447
ko:K09815	sug:SAPIG2459
ko:K01760	sug:SAPIG0438
ko:K03386	sug:SAPIG0458
ko:K00088	sug:SAPIG0467
ko:K01488	sug:SAPIG0481
ko:K09976	sug:SAPIG1345
ko:K05020	sug:SAPIG1350
ko:K07304	sug:SAPIG1362
ko:K04517	sug:SAPIG1366
ko:K03048	sug:SAPIG2170
ko:K09680	sug:SAPIG2172
ko:K01619	sug:SAPIG2179
ko:K03784	sug:SAPIG2180
ko:K02799	sug:SAPIG2210
ko:K02800	sug:SAPIG2210
ko:K01104	sug:SAPIG0165
ko:K01784	sug:SAPIG0176
ko:K02049	sug:SAPIG0186
ko:K02051	sug:SAPIG0187
ko:K02050	sug:SAPIG0188
ko:K00819	sug:SAPIG0200
ko:K09963	sug:SAPIG0208
ko:K00841	sug:SAPIG1047
ko:K11189	sug:SAPIG1080
ko:K08483	sug:SAPIG1081
ko:K03499	sug:SAPIG1085
ko:K07533	sug:SAPIG1907
ko:K03698	sug:SAPIG1908
ko:K01679	sug:SAPIG1917
ko:K07035	sug:SAPIG1925
ko:K00852	sug:SAPIG0283
ko:K11041	sug:SAPIG1167
ko:K07025	sug:SAPIG1172
ko:K07104	sug:SAPIG1192
ko:K02824	sug:SAPIG1196
ko:K01916	sug:SAPIG2007
ko:K04518	sug:SAPIG2010
ko:K15986	sug:SAPIG2014
ko:K09813	sug:SAPIG2413
ko:K06023	sug:SAPIG0836
ko:K09762	sug:SAPIG0844
ko:K07584	sug:SAPIG1709
ko:K02236	sug:SAPIG1716
ko:K07120	sug:SAPIG1720
ko:K01719	sug:SAPIG1724
ko:K01835	sug:SAPIG2547
ko:K03299	sug:SAPIG2555
ko:K00851	sug:SAPIG2556
ko:K03535	sug:SAPIG2562
ko:K07104	sug:SAPIG2574
ko:K01401	sug:SAPIG2687
ko:K14204	sug:SAPIG2058
ko:K11039	sug:SAPIG2072
ko:K14200	sug:SAPIG1154
ko:K14201	sug:SAPIG0866
ko:K10208	sug:SAPIG2613
ko:K02755	sug:SAPIG0279
ko:K02545	sug:SAPIG0042
ko:K07800	sug:SAPIG2074
ko:K08259	sug:SAPIG0291
ko:K12553	sug:SAPIG1617
ko:K07683	sug:SAPIG2445
ko:K01239	sug:SAPIG2334
ko:K00128	sug:SAPIG0181
ko:K00128	sug:SAPIG2164
ko:K00128	sug:SAPIG2015
ko:K01906	sug:SAPIG2476
ko:K14230	sug:SAPIG1895
ko:K14230	sug:SAPIG1937
ko:K14229	sug:SAPIG1949
ko:K14229	sug:SAPIG2220
ko:K14219	sug:SAPIG0845
ko:K11631	sug:SAPIG2747
ko:K02803	sug:SAPIG1778
ko:K02804	sug:SAPIG1778
ko:K11042	sug:SAPIG0490
ko:K13715	sug:SAPIG1045
ko:K13732	sug:SAPIG2553
ko:K10210	sug:SAPIG2615
ko:K11695	sug:SAPIG1376
ko:K11693	sug:SAPIG2314
ko:K01271	sug:SAPIG1761
ko:K14233	sug:SAPIG1888
ko:K16785	sug:SAPIG1073
ko:K16786	sug:SAPIG1074
ko:K16787	sug:SAPIG1074
ko:K02768	sug:SAPIG2691
ko:K02769	sug:SAPIG2691
ko:K02770	sug:SAPIG2691
ko:K11632	sug:SAPIG2748
ko:K13714	sug:SAPIG1050
ko:K04478	sug:SAPIG1967
ko:K00980	sug:SAPIG0720
ko:K16869	sug:SAPIG0663
ko:K16937	sug:SAPIG0784
ko:K11991	sug:SAPIG0633
ko:K00265	sug:SAPIG0537
ko:K00951	sug:SAPIG1697
ko:K17716	sug:SAPIG0167
ko:K10851	sug:SAPIG2446
ko:K00882	sug:SAPIG0776
ko:K00108	sug:SAPIG2659
ko:K16925	sug:SAPIG1075
ko:K14196	sug:SAPIG0122
ko:K14203	sug:SAPIG1151
ko:K14192	sug:SAPIG2679
ko:K14193	sug:SAPIG1126
ko:K14197	sug:SAPIG2470
ko:K08258	sug:SAPIG2003
ko:K10211	sug:SAPIG2614
ko:K10850	sug:SAPIG2441
ko:K11694	sug:SAPIG1375
ko:K12552	sug:SAPIG1178
ko:K07681	sug:SAPIG1978
ko:K07694	sug:SAPIG1977
ko:K02352	sug:SAPIG2734
ko:K12551	sug:SAPIG1782
ko:K02303	sug:SAPIG2451
ko:K16898	sug:SAPIG0950
ko:K16899	sug:SAPIG0949
ko:K14224	sug:SAPIG0018
ko:K14224	sug:SAPIG2224
ko:K14224	sug:SAPIG1889
ko:K14221	sug:SAPIG0019
ko:K14221	sug:SAPIG1936
ko:K14221	sug:SAPIG1894
ko:K14221	sug:SAPIG1939
ko:K14233	sug:SAPIG0539
ko:K14233	sug:SAPIG1940
ko:K14233	sug:SAPIG1938
ko:K14233	sug:SAPIG1021
ko:K14237	sug:SAPIG0584
ko:K14237	sug:SAPIG2223
ko:K14237	sug:SAPIG1951
ko:K14225	sug:SAPIG1891
ko:K14225	sug:SAPIG2101
ko:K14225	sug:SAPIG0587
ko:K14225	sug:SAPIG1947
ko:K14228	sug:SAPIG0588
ko:K14228	sug:SAPIG1946
ko:K14228	sug:SAPIG1926
ko:K14228	sug:SAPIG1948
ko:K14219	sug:SAPIG0589
ko:K14219	sug:SAPIG1945
ko:K14219	sug:SAPIG1169
ko:K14218	sug:SAPIG1943
ko:K14218	sug:SAPIG1952
ko:K14218	sug:SAPIG0591
ko:K14227	sug:SAPIG0592
ko:K14227	sug:SAPIG1953
ko:K14220	sug:SAPIG2225
ko:K14220	sug:SAPIG1890
ko:K14226	sug:SAPIG1892
ko:K14226	sug:SAPIG1931
ko:K14231	sug:SAPIG1893
ko:K14231	sug:SAPIG1935
ko:K14230	sug:SAPIG1942
ko:K14225	sug:SAPIG1928
ko:K14223	sug:SAPIG1930
ko:K14223	sug:SAPIG2221
ko:K11070	sug:SAPIG1098
ko:K02029	sug:SAPIG1924
ko:K02030	sug:SAPIG1924
ko:K07284	sug:SAPIG2578
ko:K10947	sug:SAPIG2738
ko:K01990	sug:SAPIG0292
ko:K01990	sug:SAPIG2566
ko:K01990	sug:SAPIG2394
ko:K01990	sug:SAPIG0431
ko:K01990	sug:SAPIG1902
ko:K01990	sug:SAPIG2054
ko:K01664	sug:SAPIG0790
ko:K01992	sug:SAPIG0293
ko:K01992	sug:SAPIG0294
ko:K01992	sug:SAPIG1901
ko:K01992	sug:SAPIG2051
ko:K01992	sug:SAPIG2393
ko:K02028	sug:SAPIG1923
ko:K17217	sug:SAPIG0526
ko:K17216	sug:SAPIG0525
ko:K01897	sug:SAPIG0244
ko:K09692	sug:SAPIG0717
ko:K01990	sug:SAPIG2052
ko:K10112	sug:SAPIG0223
ko:K17472	sug:SAPIG1690
ko:K14228	sug:SAPIG2102
ko:K17686	sug:SAPIG2608
ko:K01739	sug:SAPIG0439
ko:K06518	sug:SAPIG2591
ko:K11928	sug:SAPIG1996
ko:K01658	sug:SAPIG1369
ko:K02171	sug:SAPIG2018
ko:K00226	sug:SAPIG2639
ko:K12574	sug:SAPIG1086
ko:K12574	sug:SAPIG1277
ko:K07979	sug:SAPIG2055
ko:K10212	sug:SAPIG2616
ko:K01791	sug:SAPIG0169
ko:K01187	sug:SAPIG1573
ko:K01791	sug:SAPIG0178
ko:K01791	sug:SAPIG2153
ko:K19080	sug:SAPIG0740
ko:K18104	sug:SAPIG0722
ko:K02479	sug:SAPIG1914
ko:K08168	sug:SAPIG0151
ko:K03293	sug:SAPIG1335
ko:K18220	sug:SAPIG0957
ko:K02031	sug:SAPIG0215
ko:K02032	sug:SAPIG0215
ko:K02809	sug:SAPIG0210
ko:K02810	sug:SAPIG0210
ko:K02809	sug:SAPIG2432
ko:K02810	sug:SAPIG2432
ko:K03366	sug:SAPIG0140
ko:K00008	sug:SAPIG0262
ko:K07145	sug:SAPIG1132
ko:K22580	sug:SAPIG1054
ko:K00632	sug:SAPIG0241
ko:K01046	sug:SAPIG0333
ko:K01046	sug:SAPIG2721
ko:K02172	sug:SAPIG2019
ko:K21462	sug:SAPIG2720
ko:K21463	sug:SAPIG2409
ko:K00008	sug:SAPIG0260
ko:K15580	sug:SAPIG0991
ko:K01784	sug:SAPIG0141
ko:K03320	sug:SAPIG2080
ko:K08255	sug:SAPIG0970
ko:K07483	sug:SAPIG0486
ko:K00681	sug:SAPIG0219
ko:K04749	sug:SAPIG2107
ko:K18707	sug:SAPIG1642
ko:K18766	sug:SAPIG2020
ko:K05592	sug:SAPIG2122
ko:K18704	sug:SAPIG0265
ko:K18682	sug:SAPIG1288
ko:K18672	sug:SAPIG2218
ko:K18692	sug:SAPIG1623
ko:K18906	sug:SAPIG0764
ko:K01262	sug:SAPIG1595
ko:K09692	sug:SAPIG1963
ko:K07723	sug:SAPIG2110
ko:K18909	sug:SAPIG0414
ko:K18941	sug:SAPIG1417
ko:K18908	sug:SAPIG0415
ko:K07171	sug:SAPIG2109
ko:K04940	sug:SAPIG2352
ko:K07483	sug:SAPIG1876
ko:K03169	sug:SAPIG0055
ko:K07467	sug:SAPIG0081
ko:K07467	sug:SAPIG0965
ko:K07467	sug:SAPIG1864
ko:K03497	sug:SAPIG2754
ko:K05593	sug:PSAPIG020002
ko:K07467	sug:SAPIG2042
ko:K03111	sug:SAPIG2139
ko:K03497	sug:SAPIG0440
ko:K03111	sug:SAPIG0446
ko:K03502	sug:SAPIG1365
ko:K03169	sug:SAPIG2307
ko:K14201	sug:SAPIG0867
ko:K05881	sug:SAPIG0730
ko:K07029	sug:SAPIG1991
ko:K07498	sug:PSAPIG010001
ko:K07498	sug:SAPIG0054
ko:K07483	sug:SAPIG0092
ko:K03498	sug:SAPIG2063
ko:K09145	sug:SAPIG0749
ko:K18979	sug:SAPIG1922
ko:K00949	sug:SAPIG1222
ko:K01318	sug:SAPIG1046
ko:K07498	sug:SAPIG0038
ko:K07816	sug:SAPIG2559
ko:K07498	sug:SAPIG0043
ko:K03293	sug:SAPIG2367
ko:K01174	sug:SAPIG1326
ko:K19225	sug:SAPIG1614
ko:K02777	sug:SAPIG1423
ko:K19068	sug:SAPIG0168
ko:K19079	sug:SAPIG0739
ko:K19078	sug:SAPIG0737
ko:K19077	sug:SAPIG0738
ko:K19081	sug:SAPIG2673
ko:K19082	sug:SAPIG2674
ko:K19083	sug:SAPIG2672
ko:K19084	sug:SAPIG2671
ko:K02032	sug:SAPIG1379
ko:K03722	sug:SAPIG1455
ko:K01992	sug:SAPIG2567
ko:K19411	sug:SAPIG0598
ko:K19302	sug:SAPIG1418
ko:K19405	sug:SAPIG0599
ko:K03574	sug:SAPIG1841
ko:K19576	sug:SAPIG0772
ko:K06881	sug:SAPIG1757
ko:K21721	sug:SAPIG0128
ko:K03483	sug:SAPIG2211
ko:K03483	sug:SAPIG2212
ko:K00887	sug:SAPIG1634
ko:K19689	sug:SAPIG1972
ko:K01258	sug:SAPIG1577
ko:K00547	sug:SAPIG0437
ko:K00297	sug:SAPIG0437
ko:K07119	sug:SAPIG2247
ko:K02538	sug:SAPIG2690
ko:K21636	sug:SAPIG2664
ko:K19975	sug:SAPIG0710
ko:K19976	sug:SAPIG0711
ko:K19973	sug:SAPIG0712
ko:K20074	sug:SAPIG1218
ko:K12132	sug:SAPIG1219
ko:K20116	sug:SAPIG0207
ko:K20117	sug:SAPIG0207
ko:K20118	sug:SAPIG0207
ko:K20116	sug:SAPIG2588
ko:K20117	sug:SAPIG2588
ko:K20118	sug:SAPIG2588
ko:K20338	sug:SAPIG1815
ko:K21949	sug:SAPIG0127
ko:K20337	sug:SAPIG1170
ko:K20337	sug:SAPIG1171
ko:K20534	sug:SAPIG0781
ko:K02790	sug:SAPIG0254
ko:K02791	sug:SAPIG0254
ko:K21029	sug:SAPIG2327
ko:K21030	sug:SAPIG0263
ko:K21030	sug:SAPIG0268
ko:K21064	sug:SAPIG0971
ko:K08968	sug:SAPIG1771
ko:K00435	sug:SAPIG0661
ko:K00526	sug:SAPIG0809
ko:K02314	sug:SAPIG0016
ko:K04068	sug:SAPIG2663
ko:K14199	sug:SAPIG0239
ko:K14199	sug:SAPIG1155
ko:K11038	sug:SAPIG2060
ko:K11038	sug:SAPIG2061
ko:K03553	sug:SAPIG1287
ko:K06919	sug:SAPIG0476
ko:K14199	sug:SAPIG0482
ko:K03546	sug:SAPIG1348
ko:K00857	sug:SAPIG2161
ko:K00287	sug:SAPIG1427
ko:K00560	sug:SAPIG1428
ko:K11038	sug:SAPIG2471
ko:K11038	sug:SAPIG2473
ko:K02316	sug:SAPIG1627
ko:K06217	sug:SAPIG1636
ko:K01493	sug:SAPIG1654
ko:K11038	sug:SAPIG2474
ko:K01174	sug:SAPIG0871
ko:K00558	sug:SAPIG2546
ko:K06958	sug:SAPIG0842
ko:K05020	sug:SAPIG2245
ko:K02335	sug:SAPIG1744
ko:K21285	sug:SAPIG0718
ko:K03296	sug:SAPIG2313
ko:K02031	sug:SAPIG1380
ko:K00525	sug:SAPIG0808
ko:K02483	sug:SAPIG2414
ko:K22044	sug:SAPIG0441
ko:K21453	sug:SAPIG2717
ko:K21478	sug:SAPIG2719
ko:K21567	sug:SAPIG2426
ko:K21591	sug:SAPIG0267
ko:K21600	sug:SAPIG2128
ko:K18704	sug:SAPIG0270
ko:K21828	sug:SAPIG2681
ko:K02334	sug:SAPIG0351
ko:K02334	sug:SAPIG1540
ko:K22043	sug:SAPIG2187
ko:K22136	sug:SAPIG1174
ko:K22135	sug:SAPIG0642
ko:K00754	sug:SAPIG1458
ko:K03595	sug:SAPIG1632
ko:K22132	sug:SAPIG1692
ko:K22109	sug:SAPIG2661
ko:K22212	sug:SAPIG0847
ko:K22213	sug:SAPIG0201
ko:K03547	sug:SAPIG1910
ko:K17758	sug:SAPIG0007
