ko:K16238	kpj:N559_4105
ko:K14441	kpj:N559_3465
ko:K13891	kpj:N559_3466
ko:K13890	kpj:N559_3467
ko:K13889	kpj:N559_3468
ko:K13892	kpj:N559_3469
ko:K13051	kpj:N559_3470
ko:K03750	kpj:N559_3471
ko:K04069	kpj:N559_3473
ko:K00656	kpj:N559_3474
ko:K08191	kpj:N559_3478
ko:K01223	kpj:N559_3484
ko:K11924	kpj:N559_3486
ko:K11934	kpj:N559_3489
ko:K11939	kpj:N559_3491
ko:K05798	kpj:N559_4350
ko:K01649	kpj:N559_4351
ko:K00052	kpj:N559_4352
ko:K01703	kpj:N559_4353
ko:K01704	kpj:N559_4354
ko:K00014	kpj:N559_4356
ko:K03785	kpj:N559_4358
ko:K03291	kpj:N559_4361
ko:K11925	kpj:N559_4362
ko:K02064	kpj:N559_4363
ko:K02063	kpj:N559_4364
ko:K02062	kpj:N559_4365
ko:K02336	kpj:N559_4371
ko:K03580	kpj:N559_4372
ko:K05964	kpj:N559_4374
ko:K07700	kpj:N559_4376
ko:K07702	kpj:N559_4377
ko:K05801	kpj:N559_4378
ko:K04744	kpj:N559_4379
ko:K03771	kpj:N559_4380
ko:K00097	kpj:N559_4381
ko:K02528	kpj:N559_4382
ko:K06195	kpj:N559_4383
ko:K11746	kpj:N559_4387
ko:K01955	kpj:N559_4389
ko:K01956	kpj:N559_4390
ko:K00215	kpj:N559_4393
ko:K01643	kpj:N559_4395
ko:K01644	kpj:N559_4396
ko:K01646	kpj:N559_4397
ko:K01910	kpj:N559_4398
ko:K01573	kpj:N559_4400
ko:K07700	kpj:N559_4404
ko:K07702	kpj:N559_4405
ko:K02042	kpj:N559_5254
ko:K02044	kpj:N559_5255
ko:K02041	kpj:N559_5256
ko:K03696	kpj:N559_5260
ko:K03799	kpj:N559_5261
ko:K01551	kpj:N559_5274
ko:K03893	kpj:N559_5275
ko:K03823	kpj:N559_5277
ko:K03088	kpj:N559_5280
ko:K03823	kpj:N559_5283
ko:K07644	kpj:N559_5287
ko:K07156	kpj:N559_5290
ko:K07787	kpj:N559_5297
ko:K07798	kpj:N559_5298
ko:K07644	kpj:N559_5302
ko:K08993	kpj:N559_0322
ko:K03110	kpj:N559_0324
ko:K09812	kpj:N559_0325
ko:K09811	kpj:N559_0326
ko:K00375	kpj:N559_0328
ko:K00823	kpj:N559_0329
ko:K01999	kpj:N559_0331
ko:K01999	kpj:N559_0334
ko:K01997	kpj:N559_0335
ko:K01998	kpj:N559_0336
ko:K01995	kpj:N559_0337
ko:K05813	kpj:N559_0341
ko:K01126	kpj:N559_0345
ko:K06911	kpj:N559_0351
ko:K06145	kpj:N559_0352
ko:K06156	kpj:N559_0354
ko:K00133	kpj:N559_0355
ko:K00975	kpj:N559_0358
ko:K00703	kpj:N559_0359
ko:K00688	kpj:N559_0360
ko:K02439	kpj:N559_0363
ko:K02444	kpj:N559_0365
ko:K03556	kpj:N559_0366
ko:K00688	kpj:N559_0367
ko:K00705	kpj:N559_0368
ko:K06155	kpj:N559_0369
ko:K07400	kpj:N559_0370
ko:K02170	kpj:N559_0372
ko:K07490	kpj:N559_0374
ko:K04759	kpj:N559_0375
ko:K06959	kpj:N559_0377
ko:K04760	kpj:N559_0378
ko:K07659	kpj:N559_0379
ko:K07638	kpj:N559_0380
ko:K01610	kpj:N559_0381
ko:K01649	kpj:N559_1216
ko:K03446	kpj:N559_1217
ko:K03543	kpj:N559_1218
ko:K15974	kpj:N559_1220
ko:K02002	kpj:N559_1223
ko:K02001	kpj:N559_1224
ko:K02000	kpj:N559_1225
ko:K00375	kpj:N559_1231
ko:K01118	kpj:N559_1241
ko:K07345	kpj:N559_1245
ko:K07347	kpj:N559_1247
ko:K07347	kpj:N559_1250
ko:K07345	kpj:N559_1252
ko:K01713	kpj:N559_1254
ko:K12972	kpj:N559_1257
ko:K02028	kpj:N559_1259
ko:K02029	kpj:N559_1259
ko:K12255	kpj:N559_1263
ko:K05804	kpj:N559_1268
ko:K00457	kpj:N559_2159
ko:K00014	kpj:N559_2161
ko:K02020	kpj:N559_2162
ko:K02013	kpj:N559_2163
ko:K02015	kpj:N559_2164
ko:K02016	kpj:N559_2165
ko:K05818	kpj:N559_2166
ko:K01666	kpj:N559_2173
ko:K05819	kpj:N559_2174
ko:K05810	kpj:N559_2175
ko:K15553	kpj:N559_2181
ko:K02013	kpj:N559_2186
ko:K02015	kpj:N559_2187
ko:K02015	kpj:N559_2188
ko:K02016	kpj:N559_2189
ko:K02029	kpj:N559_2192
ko:K13574	kpj:N559_2201
ko:K02012	kpj:N559_2203
ko:K02011	kpj:N559_2204
ko:K06152	kpj:N559_2207
ko:K06151	kpj:N559_2208
ko:K02194	kpj:N559_2211
ko:K00134	kpj:N559_3095
ko:K01792	kpj:N559_3096
ko:K07180	kpj:N559_3100
ko:K09786	kpj:N559_3101
ko:K00432	kpj:N559_3103
ko:K03449	kpj:N559_3118
ko:K09712	kpj:N559_3122
ko:K13069	kpj:N559_3123
ko:K11250	kpj:N559_3126
ko:K12974	kpj:N559_3127
ko:K03182	kpj:N559_3133
ko:K00426	kpj:N559_3139
ko:K00425	kpj:N559_3140
ko:K07217	kpj:N559_3141
ko:K00031	kpj:N559_3151
ko:K06181	kpj:N559_3152
ko:K12152	kpj:N559_3153
ko:K03544	kpj:N559_4007
ko:K01358	kpj:N559_4008
ko:K03545	kpj:N559_4009
ko:K05527	kpj:N559_4011
ko:K07286	kpj:N559_4012
ko:K08218	kpj:N559_4013
ko:K02297	kpj:N559_4014
ko:K02298	kpj:N559_4015
ko:K02299	kpj:N559_4016
ko:K02300	kpj:N559_4017
ko:K02624	kpj:N559_4020
ko:K00014	kpj:N559_4021
ko:K08195	kpj:N559_4026
ko:K09767	kpj:N559_4029
ko:K00077	kpj:N559_4030
ko:K03152	kpj:N559_4031
ko:K03151	kpj:N559_4033
ko:K03602	kpj:N559_4034
ko:K00795	kpj:N559_4035
ko:K01662	kpj:N559_4036
ko:K01095	kpj:N559_4038
ko:K00946	kpj:N559_4039
ko:K03625	kpj:N559_4040
ko:K00794	kpj:N559_4041
ko:K11752	kpj:N559_4042
ko:K07738	kpj:N559_4043
ko:K05517	kpj:N559_4046
ko:K06996	kpj:N559_4048
ko:K03074	kpj:N559_4049
ko:K03072	kpj:N559_4050
ko:K03210	kpj:N559_4051
ko:K00773	kpj:N559_4052
ko:K07568	kpj:N559_4053
ko:K08682	kpj:N559_4055
ko:K01624	kpj:N559_4062
ko:K00788	kpj:N559_4922
ko:K03154	kpj:N559_4924
ko:K03149	kpj:N559_4925
ko:K03150	kpj:N559_4926
ko:K03495	kpj:N559_0001
ko:K03501	kpj:N559_0002
ko:K02108	kpj:N559_0004
ko:K02110	kpj:N559_0005
ko:K02109	kpj:N559_0006
ko:K02113	kpj:N559_0007
ko:K02111	kpj:N559_0008
ko:K02115	kpj:N559_0009
ko:K02112	kpj:N559_0010
ko:K02114	kpj:N559_0011
ko:K04042	kpj:N559_0014
ko:K00820	kpj:N559_0015
ko:K02040	kpj:N559_0016
ko:K02037	kpj:N559_0017
ko:K06989	kpj:N559_0875
ko:K00615	kpj:N559_0880
ko:K03472	kpj:N559_0881
ko:K00927	kpj:N559_0882
ko:K01624	kpj:N559_0883
ko:K06895	kpj:N559_0885
ko:K09807	kpj:N559_0886
ko:K05596	kpj:N559_0887
ko:K01807	kpj:N559_0888
ko:K09888	kpj:N559_0892
ko:K09895	kpj:N559_0893
ko:K03185	kpj:N559_0895
ko:K00605	kpj:N559_0897
ko:K02437	kpj:N559_0898
ko:K00281	kpj:N559_0899
ko:K01223	kpj:N559_0905
ko:K09900	kpj:N559_0907
ko:K11068	kpj:N559_0908
ko:K06980	kpj:N559_0909
ko:K09159	kpj:N559_0910
ko:K03840	kpj:N559_0912
ko:K03981	kpj:N559_0914
ko:K07462	kpj:N559_0915
ko:K02836	kpj:N559_0916
ko:K04567	kpj:N559_0917
ko:K01241	kpj:N559_1815
ko:K16137	kpj:N559_1820
ko:K13635	kpj:N559_1823
ko:K09933	kpj:N559_1827
ko:K06950	kpj:N559_1830
ko:K07458	kpj:N559_1832
ko:K09781	kpj:N559_1834
ko:K07781	kpj:N559_1838
ko:K02424	kpj:N559_1841
ko:K10009	kpj:N559_1843
ko:K10010	kpj:N559_1844
ko:K07689	kpj:N559_1847
ko:K03703	kpj:N559_1848
ko:K00995	kpj:N559_1849
ko:K00528	kpj:N559_0144
ko:K03655	kpj:N559_0146
ko:K00556	kpj:N559_0147
ko:K03060	kpj:N559_0149
ko:K00942	kpj:N559_0150
ko:K01972	kpj:N559_0151
ko:K10778	kpj:N559_0154
ko:K01993	kpj:N559_0160
ko:K00989	kpj:N559_0164
ko:K00762	kpj:N559_0165
ko:K05501	kpj:N559_0166
ko:K13038	kpj:N559_0168
ko:K03630	kpj:N559_0169
ko:K02902	kpj:N559_0170
ko:K02913	kpj:N559_0171
ko:K00954	kpj:N559_0173
ko:K02527	kpj:N559_0175
ko:K02844	kpj:N559_0178
ko:K02841	kpj:N559_0184
ko:K03274	kpj:N559_0186
ko:K00060	kpj:N559_0188
ko:K09798	kpj:N559_0190
ko:K15633	kpj:N559_0192
ko:K03071	kpj:N559_0195
ko:K00057	kpj:N559_0196
ko:K00640	kpj:N559_0197
ko:K03216	kpj:N559_0198
ko:K14348	kpj:N559_0200
ko:K02224	kpj:N559_1040
ko:K02227	kpj:N559_1041
ko:K06042	kpj:N559_1042
ko:K02191	kpj:N559_1046
ko:K05936	kpj:N559_1047
ko:K02189	kpj:N559_1048
ko:K05895	kpj:N559_1050
ko:K03394	kpj:N559_1052
ko:K02007	kpj:N559_1053
ko:K02008	kpj:N559_1055
ko:K02006	kpj:N559_1056
ko:K02232	kpj:N559_1057
ko:K02231	kpj:N559_1058
ko:K00768	kpj:N559_1059
ko:K08304	kpj:N559_1060
ko:K02426	kpj:N559_1062
ko:K01766	kpj:N559_1063
ko:K06968	kpj:N559_1068
ko:K02430	kpj:N559_1069
ko:K02431	kpj:N559_1070
ko:K02429	kpj:N559_1074
ko:K01628	kpj:N559_1076
ko:K00048	kpj:N559_1077
ko:K15553	kpj:N559_1089
ko:K01752	kpj:N559_1090
ko:K03837	kpj:N559_1091
ko:K06966	kpj:N559_1092
ko:K06879	kpj:N559_1093
ko:K15723	kpj:N559_1094
ko:K06175	kpj:N559_1096
ko:K13918	kpj:N559_1099
ko:K07592	kpj:N559_1978
ko:K01754	kpj:N559_1979
ko:K03838	kpj:N559_1980
ko:K00656	kpj:N559_1982
ko:K01999	kpj:N559_1983
ko:K01997	kpj:N559_1984
ko:K01998	kpj:N559_1985
ko:K01996	kpj:N559_1987
ko:K01610	kpj:N559_1989
ko:K03288	kpj:N559_1992
ko:K09912	kpj:N559_1997
ko:K11893	kpj:N559_2000
ko:K11892	kpj:N559_2001
ko:K11896	kpj:N559_2027
ko:K11895	kpj:N559_2028
ko:K11906	kpj:N559_2029
ko:K11905	kpj:N559_2030
ko:K11911	kpj:N559_2031
ko:K06942	kpj:N559_2034
ko:K01056	kpj:N559_2035
ko:K03321	kpj:N559_2038
ko:K11907	kpj:N559_2925
ko:K11903	kpj:N559_2926
ko:K11892	kpj:N559_2928
ko:K11893	kpj:N559_2929
ko:K11900	kpj:N559_2930
ko:K11901	kpj:N559_2931
ko:K17215	kpj:N559_3838
ko:K02529	kpj:N559_3840
ko:K03335	kpj:N559_3844
ko:K04567	kpj:N559_3846
ko:K03305	kpj:N559_3847
ko:K03765	kpj:N559_3850
ko:K02517	kpj:N559_3852
ko:K07345	kpj:N559_3857
ko:K01647	kpj:N559_3860
ko:K07127	kpj:N559_3863
ko:K07347	kpj:N559_4752
ko:K13408	kpj:N559_4755
ko:K13409	kpj:N559_4756
ko:K04077	kpj:N559_4759
ko:K04078	kpj:N559_4760
ko:K16263	kpj:N559_4762
ko:K07113	kpj:N559_4763
ko:K01744	kpj:N559_4764
ko:K07791	kpj:N559_4765
ko:K03926	kpj:N559_4766
ko:K04084	kpj:N559_4767
ko:K11935	kpj:N559_4774
ko:K11931	kpj:N559_4775
ko:K11936	kpj:N559_4776
ko:K11937	kpj:N559_4777
ko:K05516	kpj:N559_4781
ko:K07406	kpj:N559_4789
ko:K03762	kpj:N559_4791
ko:K06193	kpj:N559_4792
ko:K02043	kpj:N559_4794
ko:K06166	kpj:N559_4795
ko:K06165	kpj:N559_4796
ko:K06164	kpj:N559_4797
ko:K06163	kpj:N559_4798
ko:K05780	kpj:N559_4800
ko:K06162	kpj:N559_4801
ko:K05774	kpj:N559_4802
ko:K06167	kpj:N559_4803
ko:K10441	kpj:N559_4805
ko:K02760	kpj:N559_4929
ko:K02759	kpj:N559_4930
ko:K03046	kpj:N559_4932
ko:K03043	kpj:N559_4933
ko:K02935	kpj:N559_4934
ko:K02864	kpj:N559_4935
ko:K02863	kpj:N559_4936
ko:K02867	kpj:N559_4937
ko:K02601	kpj:N559_4938
ko:K03073	kpj:N559_4939
ko:K02358	kpj:N559_4940
ko:K03524	kpj:N559_4942
ko:K00075	kpj:N559_4943
ko:K01825	kpj:N559_4948
ko:K05368	kpj:N559_4950
ko:K03182	kpj:N559_4951
ko:K03424	kpj:N559_4954
ko:K03118	kpj:N559_4955
ko:K03117	kpj:N559_4956
ko:K03116	kpj:N559_4957
ko:K03688	kpj:N559_4958
ko:K03690	kpj:N559_4959
ko:K03183	kpj:N559_4960
ko:K09760	kpj:N559_4961
ko:K00757	kpj:N559_4962
ko:K01061	kpj:N559_4963
ko:K05834	kpj:N559_4969
ko:K01714	kpj:N559_1850
ko:K07039	kpj:N559_1851
ko:K03834	kpj:N559_1852
ko:K03281	kpj:N559_2749
ko:K01935	kpj:N559_2750
ko:K15545	kpj:N559_2751
ko:K08224	kpj:N559_2753
ko:K01299	kpj:N559_2754
ko:K04775	kpj:N559_2757
ko:K11742	kpj:N559_2759
ko:K11743	kpj:N559_2760
ko:K11744	kpj:N559_2761
ko:K13929	kpj:N559_2762
ko:K13930	kpj:N559_2763
ko:K13931	kpj:N559_2764
ko:K13932	kpj:N559_2765
ko:K13933	kpj:N559_2766
ko:K13936	kpj:N559_2767
ko:K13934	kpj:N559_2768
ko:K13935	kpj:N559_2769
ko:K13928	kpj:N559_2770
ko:K00116	kpj:N559_2771
ko:K07701	kpj:N559_2774
ko:K07703	kpj:N559_2775
ko:K03734	kpj:N559_2776
ko:K11106	kpj:N559_2779
ko:K01676	kpj:N559_2780
ko:K01055	kpj:N559_2783
ko:K01857	kpj:N559_2784
ko:K01032	kpj:N559_2786
ko:K01031	kpj:N559_2787
ko:K02624	kpj:N559_2788
ko:K14057	kpj:N559_2790
ko:K12940	kpj:N559_2791
ko:K12941	kpj:N559_2792
ko:K14055	kpj:N559_2797
ko:K00325	kpj:N559_2799
ko:K00324	kpj:N559_2800
ko:K03644	kpj:N559_3662
ko:K03425	kpj:N559_3663
ko:K06199	kpj:N559_3665
ko:K03704	kpj:N559_3666
ko:K12973	kpj:N559_3668
ko:K01169	kpj:N559_3670
ko:K06140	kpj:N559_3671
ko:K11932	kpj:N559_3672
ko:K03387	kpj:N559_3673
ko:K03805	kpj:N559_3675
ko:K09880	kpj:N559_3681
ko:K08967	kpj:N559_3682
ko:K10441	kpj:N559_3685
ko:K10974	kpj:N559_3692
ko:K07783	kpj:N559_3697
ko:K01093	kpj:N559_3698
ko:K08963	kpj:N559_3699
ko:K00899	kpj:N559_3700
ko:K02057	kpj:N559_3703
ko:K06200	kpj:N559_3711
ko:K00216	kpj:N559_3713
ko:K01252	kpj:N559_3714
ko:K02363	kpj:N559_3715
ko:K02361	kpj:N559_3716
ko:K02016	kpj:N559_3717
ko:K02024	kpj:N559_4577
ko:K01805	kpj:N559_4578
ko:K01198	kpj:N559_4580
ko:K07454	kpj:N559_4582
ko:K07733	kpj:N559_4595
ko:K01673	kpj:N559_4602
ko:K05813	kpj:N559_4610
ko:K06605	kpj:N559_4613
ko:K03336	kpj:N559_4615
ko:K03338	kpj:N559_4617
ko:K03337	kpj:N559_4619
ko:K00140	kpj:N559_4620
ko:K06606	kpj:N559_4621
ko:K06915	kpj:N559_4622
ko:K11720	kpj:N559_4623
ko:K07091	kpj:N559_4624
ko:K01255	kpj:N559_4625
ko:K02339	kpj:N559_4626
ko:K01873	kpj:N559_4627
ko:K03828	kpj:N559_4628
ko:K06169	kpj:N559_4629
ko:K09893	kpj:N559_4630
ko:K00611	kpj:N559_4631
ko:K03710	kpj:N559_4632
ko:K03786	kpj:N559_0506
ko:K17247	kpj:N559_0507
ko:K03569	kpj:N559_0511
ko:K03570	kpj:N559_0512
ko:K03571	kpj:N559_0513
ko:K06287	kpj:N559_0514
ko:K08301	kpj:N559_0515
ko:K03568	kpj:N559_0517
ko:K15548	kpj:N559_0520
ko:K03468	kpj:N559_0521
ko:K03623	kpj:N559_0524
ko:K03402	kpj:N559_0527
ko:K00024	kpj:N559_0528
ko:K04691	kpj:N559_0529
ko:K09908	kpj:N559_0531
ko:K06916	kpj:N559_0532
ko:K02871	kpj:N559_0533
ko:K02996	kpj:N559_0534
ko:K03599	kpj:N559_0535
ko:K03600	kpj:N559_0536
ko:K07139	kpj:N559_0541
ko:K08322	kpj:N559_0543
ko:K07648	kpj:N559_0548
ko:K03814	kpj:N559_0550
ko:K06958	kpj:N559_0552
ko:K05808	kpj:N559_0554
ko:K03092	kpj:N559_0555
ko:K06861	kpj:N559_0556
ko:K09774	kpj:N559_0557
ko:K11719	kpj:N559_0558
ko:K03270	kpj:N559_0559
ko:K06041	kpj:N559_0560
ko:K07301	kpj:N559_0561
ko:K02065	kpj:N559_0562
ko:K02066	kpj:N559_0563
ko:K07323	kpj:N559_0565
ko:K07122	kpj:N559_0566
ko:K12945	kpj:N559_1453
ko:K00615	kpj:N559_1455
ko:K00029	kpj:N559_1457
ko:K04031	kpj:N559_1458
ko:K04029	kpj:N559_1459
ko:K04030	kpj:N559_1460
ko:K04032	kpj:N559_1461
ko:K04020	kpj:N559_1462
ko:K04021	kpj:N559_1465
ko:K04024	kpj:N559_1466
ko:K04022	kpj:N559_1467
ko:K04023	kpj:N559_1468
ko:K04019	kpj:N559_1469
ko:K03735	kpj:N559_1470
ko:K03736	kpj:N559_1471
ko:K04026	kpj:N559_1472
ko:K04025	kpj:N559_1473
ko:K04033	kpj:N559_1474
ko:K00228	kpj:N559_1475
ko:K01448	kpj:N559_1476
ko:K07223	kpj:N559_1480
ko:K02440	kpj:N559_0691
ko:K07679	kpj:N559_0695
ko:K07690	kpj:N559_0696
ko:K03086	kpj:N559_0700
ko:K02970	kpj:N559_0702
ko:K03189	kpj:N559_0705
ko:K03188	kpj:N559_0706
ko:K03187	kpj:N559_0707
ko:K01429	kpj:N559_0709
ko:K01430	kpj:N559_0710
ko:K08591	kpj:N559_0715
ko:K01633	kpj:N559_0716
ko:K06153	kpj:N559_0717
ko:K07184	kpj:N559_0719
ko:K00982	kpj:N559_0721
ko:K03272	kpj:N559_0722
ko:K07238	kpj:N559_0727
ko:K12340	kpj:N559_0731
ko:K09920	kpj:N559_0733
ko:K03651	kpj:N559_0734
ko:K07000	kpj:N559_0735
ko:K02622	kpj:N559_0736
ko:K03923	kpj:N559_0738
ko:K06159	kpj:N559_1622
ko:K06213	kpj:N559_1623
ko:K03321	kpj:N559_1624
ko:K00116	kpj:N559_1625
ko:K08276	kpj:N559_1626
ko:K07014	kpj:N559_1628
ko:K09904	kpj:N559_1629
ko:K06899	kpj:N559_1630
ko:K02897	kpj:N559_1635
ko:K07552	kpj:N559_1638
ko:K13896	kpj:N559_1640
ko:K13895	kpj:N559_1641
ko:K13894	kpj:N559_1642
ko:K13893	kpj:N559_1643
ko:K13694	kpj:N559_1645
ko:K01686	kpj:N559_1649
ko:K02356	kpj:N559_1650
ko:K06940	kpj:N559_1651
ko:K03291	kpj:N559_1652
ko:K02768	kpj:N559_1653
ko:K11183	kpj:N559_1653
ko:K01151	kpj:N559_1657
ko:K11733	kpj:N559_1660
ko:K16089	kpj:N559_1663
ko:K01070	kpj:N559_1664
ko:K01495	kpj:N559_1665
ko:K07148	kpj:N559_1666
ko:K02529	kpj:N559_1667
ko:K10542	kpj:N559_1669
ko:K05541	kpj:N559_1675
ko:K07267	kpj:N559_1676
ko:K03707	kpj:N559_2577
ko:K00134	kpj:N559_2595
ko:K02430	kpj:N559_2603
ko:K17195	kpj:N559_2604
ko:K02429	kpj:N559_2606
ko:K07090	kpj:N559_2619
ko:K03482	kpj:N559_2620
ko:K02749	kpj:N559_2621
ko:K02750	kpj:N559_2621
ko:K01232	kpj:N559_2622
ko:K01265	kpj:N559_2633
ko:K04047	kpj:N559_3492
ko:K10036	kpj:N559_3493
ko:K10037	kpj:N559_3494
ko:K13650	kpj:N559_3499
ko:K11927	kpj:N559_3505
ko:K00615	kpj:N559_3506
ko:K01993	kpj:N559_3513
ko:K02048	kpj:N559_1482
ko:K02046	kpj:N559_1483
ko:K02047	kpj:N559_1484
ko:K02045	kpj:N559_1485
ko:K12339	kpj:N559_1486
ko:K00868	kpj:N559_1489
ko:K01738	kpj:N559_1494
ko:K06203	kpj:N559_1495
ko:K03528	kpj:N559_1497
ko:K01972	kpj:N559_1499
ko:K09954	kpj:N559_1500
ko:K14347	kpj:N559_1501
ko:K11208	kpj:N559_2395
ko:K01821	kpj:N559_2396
ko:K07726	kpj:N559_2397
ko:K16077	kpj:N559_2398
ko:K02012	kpj:N559_2404
ko:K02011	kpj:N559_2405
ko:K00675	kpj:N559_2406
ko:K00373	kpj:N559_2408
ko:K00371	kpj:N559_2409
ko:K00370	kpj:N559_2410
ko:K02575	kpj:N559_2411
ko:K02624	kpj:N559_2414
ko:K03464	kpj:N559_2416
ko:K03381	kpj:N559_2417
ko:K05549	kpj:N559_2418
ko:K05550	kpj:N559_2419
ko:K05784	kpj:N559_2420
ko:K05783	kpj:N559_2421
ko:K08349	kpj:N559_2426
ko:K02034	kpj:N559_2434
ko:K02972	kpj:N559_2445
ko:K03632	kpj:N559_3326
ko:K03633	kpj:N559_3329
ko:K06219	kpj:N559_3330
ko:K00979	kpj:N559_3333
ko:K09791	kpj:N559_3334
ko:K09927	kpj:N559_3335
ko:K00912	kpj:N559_3336
ko:K05788	kpj:N559_3339
ko:K02945	kpj:N559_3340
ko:K00945	kpj:N559_3341
ko:K00800	kpj:N559_3342
ko:K00831	kpj:N559_3343
ko:K09136	kpj:N559_3345
ko:K00656	kpj:N559_3347
ko:K04069	kpj:N559_3348
ko:K08219	kpj:N559_3349
ko:K07306	kpj:N559_3353
ko:K01875	kpj:N559_3354
ko:K07478	kpj:N559_3355
ko:K03634	kpj:N559_3356
ko:K00684	kpj:N559_3363
ko:K02518	kpj:N559_3364
ko:K03694	kpj:N559_3365
ko:K06891	kpj:N559_3366
ko:K03704	kpj:N559_3367
ko:K05685	kpj:N559_3368
ko:K13888	kpj:N559_3369
ko:K06188	kpj:N559_3371
ko:K05601	kpj:N559_3373
ko:K11933	kpj:N559_3374
ko:K15977	kpj:N559_3375
ko:K00156	kpj:N559_3376
ko:K01620	kpj:N559_3377
ko:K11066	kpj:N559_3380
ko:K00099	kpj:N559_4228
ko:K02838	kpj:N559_4229
ko:K09903	kpj:N559_4230
ko:K02357	kpj:N559_4231
ko:K02967	kpj:N559_4232
ko:K01265	kpj:N559_4233
ko:K00990	kpj:N559_4234
ko:K02647	kpj:N559_4237
ko:K01129	kpj:N559_4239
ko:K15724	kpj:N559_4243
ko:K03281	kpj:N559_4244
ko:K01845	kpj:N559_4245
ko:K02016	kpj:N559_4248
ko:K02013	kpj:N559_4249
ko:K05365	kpj:N559_4252
ko:K02465	kpj:N559_4254
ko:K02451	kpj:N559_4255
ko:K02452	kpj:N559_4258
ko:K02453	kpj:N559_4259
ko:K02455	kpj:N559_4261
ko:K02456	kpj:N559_4262
ko:K02457	kpj:N559_4263
ko:K02458	kpj:N559_4264
ko:K02459	kpj:N559_4265
ko:K02460	kpj:N559_4266
ko:K02461	kpj:N559_4267
ko:K02462	kpj:N559_4268
ko:K03579	kpj:N559_4271
ko:K01975	kpj:N559_4272
ko:K06206	kpj:N559_4273
ko:K06204	kpj:N559_4274
ko:K01894	kpj:N559_4275
ko:K00950	kpj:N559_4277
ko:K00606	kpj:N559_4278
ko:K01918	kpj:N559_4279
ko:K01579	kpj:N559_4280
ko:K01673	kpj:N559_4285
ko:K02013	kpj:N559_5136
ko:K02015	kpj:N559_5137
ko:K02015	kpj:N559_5138
ko:K02016	kpj:N559_5139
ko:K16091	kpj:N559_5140
ko:K03088	kpj:N559_5142
ko:K01999	kpj:N559_5144
ko:K07240	kpj:N559_5188
ko:K06890	kpj:N559_3521
ko:K03636	kpj:N559_3523
ko:K03637	kpj:N559_3524
ko:K03638	kpj:N559_3525
ko:K03639	kpj:N559_3526
ko:K03760	kpj:N559_3528
ko:K07771	kpj:N559_3529
ko:K07643	kpj:N559_3530
ko:K03702	kpj:N559_3531
ko:K02169	kpj:N559_3534
ko:K01012	kpj:N559_3536
ko:K00833	kpj:N559_3537
ko:K01745	kpj:N559_3540
ko:K01712	kpj:N559_3541
ko:K05836	kpj:N559_3542
ko:K01468	kpj:N559_3544
ko:K01051	kpj:N559_3545
ko:K12700	kpj:N559_4408
ko:K03527	kpj:N559_4409
ko:K03774	kpj:N559_4410
ko:K03101	kpj:N559_4411
ko:K01870	kpj:N559_4412
ko:K11753	kpj:N559_4413
ko:K03717	kpj:N559_4415
ko:K03313	kpj:N559_4416
ko:K03686	kpj:N559_4417
ko:K04043	kpj:N559_4418
ko:K03831	kpj:N559_4423
ko:K03310	kpj:N559_4425
ko:K09861	kpj:N559_4426
ko:K01733	kpj:N559_4428
ko:K00872	kpj:N559_4429
ko:K12524	kpj:N559_4430
ko:K07773	kpj:N559_4433
ko:K07641	kpj:N559_4436
ko:K07663	kpj:N559_4437
ko:K05805	kpj:N559_4438
ko:K05804	kpj:N559_4439
ko:K03720	kpj:N559_4442
ko:K08309	kpj:N559_4443
ko:K06211	kpj:N559_4445
ko:K04485	kpj:N559_4446
ko:K01079	kpj:N559_4447
ko:K03800	kpj:N559_4449
ko:K01839	kpj:N559_4451
ko:K03424	kpj:N559_4455
ko:K02837	kpj:N559_4458
ko:K08723	kpj:N559_4459
ko:K03789	kpj:N559_4460
ko:K02344	kpj:N559_4461
ko:K02168	kpj:N559_5307
ko:K04083	kpj:N559_0383
ko:K04762	kpj:N559_0384
ko:K08312	kpj:N559_0387
ko:K05366	kpj:N559_0388
ko:K12288	kpj:N559_0389
ko:K12289	kpj:N559_0390
ko:K12290	kpj:N559_0391
ko:K02507	kpj:N559_0392
ko:K00891	kpj:N559_0393
ko:K01735	kpj:N559_0394
ko:K03112	kpj:N559_0395
ko:K01783	kpj:N559_0397
ko:K01091	kpj:N559_0398
ko:K01867	kpj:N559_0399
ko:K02302	kpj:N559_0400
ko:K00363	kpj:N559_0401
ko:K00362	kpj:N559_0402
ko:K06141	kpj:N559_0404
ko:K04095	kpj:N559_0407
ko:K00855	kpj:N559_0413
ko:K06158	kpj:N559_0416
ko:K07070	kpj:N559_0419
ko:K03775	kpj:N559_0420
ko:K03745	kpj:N559_0421
ko:K07235	kpj:N559_0424
ko:K07236	kpj:N559_0425
ko:K02992	kpj:N559_0427
ko:K02355	kpj:N559_0428
ko:K02358	kpj:N559_0429
ko:K02192	kpj:N559_0430
ko:K02946	kpj:N559_0433
ko:K02906	kpj:N559_0434
ko:K02926	kpj:N559_0435
ko:K02892	kpj:N559_0436
ko:K02886	kpj:N559_0437
ko:K02982	kpj:N559_0440
ko:K02878	kpj:N559_0441
ko:K02904	kpj:N559_0442
ko:K02874	kpj:N559_0443
ko:K02895	kpj:N559_0445
ko:K02931	kpj:N559_0446
ko:K03664	kpj:N559_1312
