ko:K19743	zmi:ZCP4_1234
ko:K01778	zmi:ZCP4_0252
ko:K03110	zmi:ZCP4_0254
ko:K02426	zmi:ZCP4_0259
ko:K03970	zmi:ZCP4_0262
ko:K03969	zmi:ZCP4_0263
ko:K03974	zmi:ZCP4_0265
ko:K04564	zmi:ZCP4_0266
ko:K01633	zmi:ZCP4_0267
ko:K00970	zmi:ZCP4_0269
ko:K02621	zmi:ZCP4_0271
ko:K01923	zmi:ZCP4_0272
ko:K02036	zmi:ZCP4_0273
ko:K02038	zmi:ZCP4_0274
ko:K02037	zmi:ZCP4_0275
ko:K02040	zmi:ZCP4_0276
ko:K03282	zmi:ZCP4_0278
ko:K03744	zmi:ZCP4_0279
ko:K06872	zmi:ZCP4_0280
ko:K01515	zmi:ZCP4_0281
ko:K01940	zmi:ZCP4_0286
ko:K00574	zmi:ZCP4_0288
ko:K06941	zmi:ZCP4_0289
ko:K04069	zmi:ZCP4_0292
ko:K06920	zmi:ZCP4_0295
ko:K04487	zmi:ZCP4_0296
ko:K07018	zmi:ZCP4_0297
ko:K01581	zmi:ZCP4_0298
ko:K00809	zmi:ZCP4_0299
ko:K06147	zmi:ZCP4_1636
ko:K02493	zmi:ZCP4_1638
ko:K02835	zmi:ZCP4_1639
ko:K01892	zmi:ZCP4_1640
ko:K01507	zmi:ZCP4_1641
ko:K09985	zmi:ZCP4_1643
ko:K01693	zmi:ZCP4_1644
ko:K02501	zmi:ZCP4_1645
ko:K01814	zmi:ZCP4_1646
ko:K02500	zmi:ZCP4_1647
ko:K01523	zmi:ZCP4_1648
ko:K03294	zmi:ZCP4_1650
ko:K01595	zmi:ZCP4_1651
ko:K00930	zmi:ZCP4_1653
ko:K16079	zmi:ZCP4_1656
ko:K00979	zmi:ZCP4_1657
ko:K01627	zmi:ZCP4_1658
ko:K01129	zmi:ZCP4_1661
ko:K01903	zmi:ZCP4_1664
ko:K03521	zmi:ZCP4_1665
ko:K03522	zmi:ZCP4_1666
ko:K01057	zmi:ZCP4_1667
ko:K02014	zmi:ZCP4_1669
ko:K06207	zmi:ZCP4_1671
ko:K01669	zmi:ZCP4_1682
ko:K00045	zmi:ZCP4_1683
ko:K09973	zmi:ZCP4_1686
ko:K01878	zmi:ZCP4_1687
ko:K01879	zmi:ZCP4_1688
ko:K02066	zmi:ZCP4_0300
ko:K02065	zmi:ZCP4_0301
ko:K02067	zmi:ZCP4_0302
ko:K02518	zmi:ZCP4_0304
ko:K06287	zmi:ZCP4_0305
ko:K09862	zmi:ZCP4_0307
ko:K00796	zmi:ZCP4_0313
ko:K03470	zmi:ZCP4_0315
ko:K00941	zmi:ZCP4_0316
ko:K03431	zmi:ZCP4_0317
ko:K03305	zmi:ZCP4_0318
ko:K00549	zmi:ZCP4_0319
ko:K07566	zmi:ZCP4_0320
ko:K07304	zmi:ZCP4_0321
ko:K01625	zmi:ZCP4_0322
ko:K04080	zmi:ZCP4_0326
ko:K06204	zmi:ZCP4_0329
ko:K01875	zmi:ZCP4_0330
ko:K03787	zmi:ZCP4_0331
ko:K02034	zmi:ZCP4_0334
ko:K02338	zmi:ZCP4_0336
ko:K16092	zmi:ZCP4_0337
ko:K02016	zmi:ZCP4_0338
ko:K00720	zmi:ZCP4_0344
ko:K06901	zmi:ZCP4_0347
ko:K03317	zmi:ZCP4_0349
ko:K03446	zmi:ZCP4_0350
ko:K03543	zmi:ZCP4_0351
ko:K01869	zmi:ZCP4_1697
ko:K03643	zmi:ZCP4_1698
ko:K02340	zmi:ZCP4_1699
ko:K00788	zmi:ZCP4_1706
ko:K03695	zmi:ZCP4_1707
ko:K01589	zmi:ZCP4_1710
ko:K01588	zmi:ZCP4_1711
ko:K03179	zmi:ZCP4_1712
ko:K11927	zmi:ZCP4_1714
ko:K03789	zmi:ZCP4_1717
ko:K03711	zmi:ZCP4_1719
ko:K03594	zmi:ZCP4_1720
ko:K02192	zmi:ZCP4_1721
ko:K01278	zmi:ZCP4_1723
ko:K00133	zmi:ZCP4_1724
ko:K03088	zmi:ZCP4_1727
ko:K01142	zmi:ZCP4_1730
ko:K11720	zmi:ZCP4_1736
ko:K07091	zmi:ZCP4_1737
ko:K13584	zmi:ZCP4_1743
ko:K01443	zmi:ZCP4_0354
ko:K03814	zmi:ZCP4_0356
ko:K00413	zmi:ZCP4_0357
ko:K00412	zmi:ZCP4_0358
ko:K00411	zmi:ZCP4_0359
ko:K03216	zmi:ZCP4_0362
ko:K00228	zmi:ZCP4_0363
ko:K03544	zmi:ZCP4_0365
ko:K01358	zmi:ZCP4_0366
ko:K03545	zmi:ZCP4_0368
ko:K01193	zmi:ZCP4_0372
ko:K08679	zmi:ZCP4_0374
ko:K00832	zmi:ZCP4_0378
ko:K00684	zmi:ZCP4_0386
ko:K02067	zmi:ZCP4_0388
ko:K03704	zmi:ZCP4_0389
ko:K03070	zmi:ZCP4_0390
ko:K00620	zmi:ZCP4_0391
ko:K03781	zmi:ZCP4_0396
ko:K07213	zmi:ZCP4_0399
ko:K17686	zmi:ZCP4_0400
ko:K01491	zmi:ZCP4_0401
ko:K00826	zmi:ZCP4_0402
ko:K01991	zmi:ZCP4_0404
ko:K09689	zmi:ZCP4_0405
ko:K10107	zmi:ZCP4_0407
ko:K03685	zmi:ZCP4_1753
ko:K12251	zmi:ZCP4_1757
ko:K10536	zmi:ZCP4_1758
ko:K02986	zmi:ZCP4_1759
ko:K02968	zmi:ZCP4_1766
ko:K03669	zmi:ZCP4_0409
ko:K03670	zmi:ZCP4_0410
ko:K01649	zmi:ZCP4_0412
ko:K01885	zmi:ZCP4_0415
ko:K01916	zmi:ZCP4_0416
ko:K04566	zmi:ZCP4_0423
ko:K01785	zmi:ZCP4_0424
ko:K09005	zmi:ZCP4_0426
ko:K02871	zmi:ZCP4_0428
ko:K02996	zmi:ZCP4_0429
ko:K03406	zmi:ZCP4_0430
ko:K03412	zmi:ZCP4_0432
ko:K03412	zmi:ZCP4_0433
ko:K07323	zmi:ZCP4_0435
ko:K03527	zmi:ZCP4_0436
ko:K06045	zmi:ZCP4_0439
ko:K16264	zmi:ZCP4_0445
ko:K01489	zmi:ZCP4_0447
ko:K01494	zmi:ZCP4_0448
ko:K09747	zmi:ZCP4_0449
ko:K02343	zmi:ZCP4_0450
ko:K04487	zmi:ZCP4_0453
ko:K09987	zmi:ZCP4_0454
ko:K03602	zmi:ZCP4_0455
ko:K00795	zmi:ZCP4_0456
ko:K00954	zmi:ZCP4_0457
ko:K07568	zmi:ZCP4_0459
ko:K00275	zmi:ZCP4_0460
ko:K10941	zmi:ZCP4_0461
ko:K07267	zmi:ZCP4_0463
ko:K01779	zmi:ZCP4_1822
ko:K00005	zmi:ZCP4_1824
ko:K01624	zmi:ZCP4_1826
ko:K08191	zmi:ZCP4_1830
ko:K02014	zmi:ZCP4_1831
ko:K08191	zmi:ZCP4_1832
ko:K00135	zmi:ZCP4_1833
ko:K06988	zmi:ZCP4_1845
ko:K03455	zmi:ZCP4_0464
ko:K01872	zmi:ZCP4_0465
ko:K01887	zmi:ZCP4_0467
ko:K01129	zmi:ZCP4_0468
ko:K03531	zmi:ZCP4_0471
ko:K03590	zmi:ZCP4_0472
ko:K03589	zmi:ZCP4_0473
ko:K01921	zmi:ZCP4_0474
ko:K00075	zmi:ZCP4_0475
ko:K01924	zmi:ZCP4_0476
ko:K02563	zmi:ZCP4_0477
ko:K03588	zmi:ZCP4_0478
ko:K01925	zmi:ZCP4_0479
ko:K01000	zmi:ZCP4_0480
ko:K01929	zmi:ZCP4_0481
ko:K01928	zmi:ZCP4_0482
ko:K03587	zmi:ZCP4_0483
ko:K03438	zmi:ZCP4_0485
ko:K01738	zmi:ZCP4_0487
ko:K01952	zmi:ZCP4_0488
ko:K00012	zmi:ZCP4_0489
ko:K01737	zmi:ZCP4_0490
ko:K09760	zmi:ZCP4_0492
ko:K01462	zmi:ZCP4_0493
ko:K06187	zmi:ZCP4_0494
ko:K00604	zmi:ZCP4_0495
ko:K06173	zmi:ZCP4_0496
ko:K09131	zmi:ZCP4_0497
ko:K14441	zmi:ZCP4_0498
ko:K01255	zmi:ZCP4_0499
ko:K00145	zmi:ZCP4_0501
ko:K01993	zmi:ZCP4_0503
ko:K13926	zmi:ZCP4_0504
ko:K01322	zmi:ZCP4_0510
ko:K01465	zmi:ZCP4_0512
ko:K00609	zmi:ZCP4_0513
ko:K02014	zmi:ZCP4_0515
ko:K02114	zmi:ZCP4_1007
ko:K02115	zmi:ZCP4_1009
ko:K02111	zmi:ZCP4_1010
ko:K02113	zmi:ZCP4_1011
ko:K03593	zmi:ZCP4_1012
ko:K03218	zmi:ZCP4_1016
ko:K02013	zmi:ZCP4_1018
ko:K02015	zmi:ZCP4_1019
ko:K00641	zmi:ZCP4_1023
ko:K07736	zmi:ZCP4_1028
ko:K05524	zmi:ZCP4_1029
ko:K17675	zmi:ZCP4_1030
ko:K01934	zmi:ZCP4_1032
ko:K03327	zmi:ZCP4_1033
ko:K02014	zmi:ZCP4_1858
ko:K06147	zmi:ZCP4_1880
ko:K06147	zmi:ZCP4_1881
ko:K02014	zmi:ZCP4_1898
ko:K03427	zmi:ZCP4_1907
ko:K01154	zmi:ZCP4_1908
ko:K01153	zmi:ZCP4_1910
ko:K07341	zmi:ZCP4_1913
ko:K07447	zmi:ZCP4_0519
ko:K02435	zmi:ZCP4_0520
ko:K02433	zmi:ZCP4_0521
ko:K02434	zmi:ZCP4_0522
ko:K06213	zmi:ZCP4_0532
ko:K00566	zmi:ZCP4_0533
ko:K00990	zmi:ZCP4_0536
ko:K01868	zmi:ZCP4_0537
ko:K01759	zmi:ZCP4_0540
ko:K01069	zmi:ZCP4_0541
ko:K13588	zmi:ZCP4_0547
ko:K06180	zmi:ZCP4_0549
ko:K03089	zmi:ZCP4_0550
ko:K01738	zmi:ZCP4_0551
ko:K09958	zmi:ZCP4_0555
ko:K02837	zmi:ZCP4_0557
ko:K03149	zmi:ZCP4_0560
ko:K03786	zmi:ZCP4_0561
ko:K02160	zmi:ZCP4_0562
ko:K01961	zmi:ZCP4_0563
ko:K01082	zmi:ZCP4_0564
ko:K03046	zmi:ZCP4_0566
ko:K03043	zmi:ZCP4_0567
ko:K02935	zmi:ZCP4_0568
ko:K02864	zmi:ZCP4_0569
ko:K02888	zmi:ZCP4_1035
ko:K02899	zmi:ZCP4_1036
ko:K03979	zmi:ZCP4_1038
ko:K00931	zmi:ZCP4_1039
ko:K03406	zmi:ZCP4_1043
ko:K01658	zmi:ZCP4_1044
ko:K00766	zmi:ZCP4_1045
ko:K01356	zmi:ZCP4_1046
ko:K02836	zmi:ZCP4_1047
ko:K05366	zmi:ZCP4_1048
ko:K01448	zmi:ZCP4_1050
ko:K08300	zmi:ZCP4_1053
ko:K01752	zmi:ZCP4_1057
ko:K16088	zmi:ZCP4_1058
ko:K01626	zmi:ZCP4_1060
ko:K01883	zmi:ZCP4_1061
ko:K01251	zmi:ZCP4_1064
ko:K00927	zmi:ZCP4_1067
ko:K00134	zmi:ZCP4_1068
ko:K00615	zmi:ZCP4_1069
ko:K09888	zmi:ZCP4_1072
ko:K03147	zmi:ZCP4_1074
ko:K01126	zmi:ZCP4_1076
ko:K03640	zmi:ZCP4_1077
ko:K03641	zmi:ZCP4_1078
ko:K03560	zmi:ZCP4_1080
ko:K03562	zmi:ZCP4_1081
ko:K07107	zmi:ZCP4_1082
ko:K03551	zmi:ZCP4_1083
ko:K03550	zmi:ZCP4_1086
ko:K01159	zmi:ZCP4_1087
ko:K01791	zmi:ZCP4_1923
ko:K11740	zmi:ZCP4_1924
ko:K11739	zmi:ZCP4_1925
ko:K09803	zmi:ZCP4_1936
ko:K07726	zmi:ZCP4_1937
ko:K07726	zmi:ZCP4_1938
ko:K02863	zmi:ZCP4_0570
ko:K02867	zmi:ZCP4_0571
ko:K02601	zmi:ZCP4_0572
ko:K03073	zmi:ZCP4_0573
ko:K07386	zmi:ZCP4_0575
ko:K03664	zmi:ZCP4_0576
ko:K01714	zmi:ZCP4_0577
ko:K08309	zmi:ZCP4_0578
ko:K04760	zmi:ZCP4_0579
ko:K01876	zmi:ZCP4_0581
ko:K03684	zmi:ZCP4_0582
ko:K01524	zmi:ZCP4_0583
ko:K00937	zmi:ZCP4_0584
ko:K01933	zmi:ZCP4_0587
ko:K11175	zmi:ZCP4_0588
ko:K00215	zmi:ZCP4_0589
ko:K10773	zmi:ZCP4_0590
ko:K03565	zmi:ZCP4_0591
ko:K00666	zmi:ZCP4_0592
ko:K02469	zmi:ZCP4_0602
ko:K04094	zmi:ZCP4_0603
ko:K07088	zmi:ZCP4_0605
ko:K01652	zmi:ZCP4_0606
ko:K15342	zmi:ZCP4_0613
ko:K00052	zmi:ZCP4_0615
ko:K10764	zmi:ZCP4_0616
ko:K03584	zmi:ZCP4_0619
ko:K03703	zmi:ZCP4_0620
ko:K02109	zmi:ZCP4_0621
ko:K02109	zmi:ZCP4_0622
ko:K02110	zmi:ZCP4_0623
ko:K02108	zmi:ZCP4_0624
ko:K02116	zmi:ZCP4_0625
ko:K00873	zmi:ZCP4_1090
ko:K03439	zmi:ZCP4_1092
ko:K00278	zmi:ZCP4_1095
ko:K01990	zmi:ZCP4_1096
ko:K06997	zmi:ZCP4_1097
ko:K01104	zmi:ZCP4_1098
ko:K07126	zmi:ZCP4_1105
ko:K07126	zmi:ZCP4_1106
ko:K09474	zmi:ZCP4_1110
ko:K02014	zmi:ZCP4_1111
ko:K06915	zmi:ZCP4_1115
ko:K07478	zmi:ZCP4_1117
ko:K03313	zmi:ZCP4_1121
ko:K05601	zmi:ZCP4_1122
ko:K00826	zmi:ZCP4_1124
ko:K01664	zmi:ZCP4_1125
ko:K01665	zmi:ZCP4_1126
ko:K15738	zmi:ZCP4_1128
ko:K01704	zmi:ZCP4_1133
ko:K01703	zmi:ZCP4_1134
ko:K01012	zmi:ZCP4_1141
ko:K02112	zmi:ZCP4_1008
ko:K02031	zmi:ZCP4_0335
ko:K02032	zmi:ZCP4_0335
ko:K01983	zmi:ZCP4_0451
ko:K05886	zmi:ZCP4_1022
ko:K18139	zmi:ZCP4_0970
ko:K18138	zmi:ZCP4_0971
ko:K07003	zmi:ZCP4_1559
ko:K01487	zmi:ZCP4_0376
ko:K00956	zmi:ZCP4_1213
ko:K03973	zmi:ZCP4_0261
ko:K01985	zmi:ZCP4_1321
ko:K01985	zmi:ZCP4_1579
ko:K15035	zmi:ZCP4_0733
ko:K11645	zmi:ZCP4_1066
ko:K18009	zmi:ZCP4_0946
ko:K03566	zmi:ZCP4_0617
ko:K01977	zmi:ZCP4_1317
ko:K01977	zmi:ZCP4_1575
ko:K01980	zmi:ZCP4_1320
ko:K01980	zmi:ZCP4_1578
ko:K21678	zmi:ZCP4_0441
ko:K14237	zmi:ZCP4_0599
ko:K14233	zmi:ZCP4_0554
ko:K14232	zmi:ZCP4_1285
ko:K14218	zmi:ZCP4_1396
ko:K14233	zmi:ZCP4_1660
ko:K14219	zmi:ZCP4_0408
ko:K14224	zmi:ZCP4_0104
ko:K14226	zmi:ZCP4_0124
ko:K14237	zmi:ZCP4_0896
ko:K14228	zmi:ZCP4_0369
ko:K14231	zmi:ZCP4_0308
ko:K14225	zmi:ZCP4_0146
ko:K14230	zmi:ZCP4_0223
ko:K14219	zmi:ZCP4_0282
ko:K09709	zmi:ZCP4_0797
ko:K14225	zmi:ZCP4_0340
ko:K14219	zmi:ZCP4_0597
ko:K14223	zmi:ZCP4_0870
ko:K14218	zmi:ZCP4_1319
ko:K14218	zmi:ZCP4_1577
ko:K14232	zmi:ZCP4_1685
ko:K14234	zmi:ZCP4_0418
ko:K14220	zmi:ZCP4_0013
ko:K14230	zmi:ZCP4_1322
ko:K14230	zmi:ZCP4_1580
ko:K14232	zmi:ZCP4_0944
ko:K14236	zmi:ZCP4_1015
ko:K14219	zmi:ZCP4_1301
ko:K14218	zmi:ZCP4_1381
ko:K14229	zmi:ZCP4_1514
ko:K14229	zmi:ZCP4_1596
ko:K14234	zmi:ZCP4_1752
ko:K14224	zmi:ZCP4_1059
ko:K14228	zmi:ZCP4_0709
ko:K14234	zmi:ZCP4_0285
ko:K14227	zmi:ZCP4_1318
ko:K14227	zmi:ZCP4_1576
ko:K14233	zmi:ZCP4_0794
ko:K14237	zmi:ZCP4_1756
ko:K14233	zmi:ZCP4_0738
ko:K14225	zmi:ZCP4_1294
ko:K09803	zmi:ZCP4_1774
ko:K01785	zmi:ZCP4_1827
ko:K07126	zmi:ZCP4_1100
ko:K07126	zmi:ZCP4_1102
ko:K18478	zmi:ZCP4_1825
ko:K18480	zmi:ZCP4_0303
ko:K00681	zmi:ZCP4_1742
ko:K18588	zmi:ZCP4_0200
ko:K18587	zmi:ZCP4_0811
ko:K02477	zmi:ZCP4_1428
ko:K18676	zmi:ZCP4_0164
ko:K18707	zmi:ZCP4_0253
ko:K01568	zmi:ZCP4_1765
ko:K05366	zmi:ZCP4_0783
ko:K18928	zmi:ZCP4_1195
ko:K18929	zmi:ZCP4_1196
ko:K03111	zmi:ZCP4_1613
ko:K03496	zmi:ZCP4_1772
ko:K07473	zmi:ZCP4_1788
ko:K03496	zmi:ZCP4_1836
ko:K03496	zmi:ZCP4_1856
ko:K07473	zmi:ZCP4_1860
ko:K03496	zmi:ZCP4_1900
ko:K07473	zmi:ZCP4_1902
ko:K03496	zmi:ZCP4_1916
ko:K03496	zmi:ZCP4_1230
ko:K03497	zmi:ZCP4_1231
ko:K03496	zmi:ZCP4_0932
ko:K16898	zmi:ZCP4_0228
ko:K03976	zmi:ZCP4_1114
ko:K03526	zmi:ZCP4_1065
ko:K16899	zmi:ZCP4_0227
ko:K00611	zmi:ZCP4_0865
ko:K16238	zmi:ZCP4_1750
ko:K19129	zmi:ZCP4_0609
ko:K19157	zmi:ZCP4_1789
ko:K19127	zmi:ZCP4_0611
ko:K19157	zmi:ZCP4_1859
ko:K19157	zmi:ZCP4_1901
ko:K13581	zmi:ZCP4_0314
ko:K07012	zmi:ZCP4_0612
ko:K19130	zmi:ZCP4_0608
ko:K19128	zmi:ZCP4_0610
ko:K00798	zmi:ZCP4_1652
ko:K04771	zmi:ZCP4_1013
ko:K03722	zmi:ZCP4_0422
ko:K01992	zmi:ZCP4_0505
ko:K19302	zmi:ZCP4_0770
ko:K00059	zmi:ZCP4_1857
ko:K13854	zmi:ZCP4_0906
ko:K19577	zmi:ZCP4_1680
ko:K15856	zmi:ZCP4_0102
ko:K00992	zmi:ZCP4_0226
ko:K20459	zmi:ZCP4_0291
ko:K08744	zmi:ZCP4_1139
ko:K19813	zmi:ZCP4_0058
ko:K00118	zmi:ZCP4_0604
ko:K19802	zmi:ZCP4_0107
ko:K21679	zmi:ZCP4_0442
ko:K21677	zmi:ZCP4_0440
ko:K21636	zmi:ZCP4_0294
ko:K20542	zmi:ZCP4_0240
ko:K20543	zmi:ZCP4_0241
ko:K20541	zmi:ZCP4_0242
ko:K21053	zmi:ZCP4_0345
ko:K00821	zmi:ZCP4_0866
ko:K21029	zmi:ZCP4_0141
ko:K08968	zmi:ZCP4_0776
ko:K07126	zmi:ZCP4_1107
ko:K00526	zmi:ZCP4_0834
ko:K01520	zmi:ZCP4_0142
ko:K03553	zmi:ZCP4_0166
ko:K02316	zmi:ZCP4_1539
ko:K09882	zmi:ZCP4_1611
ko:K06905	zmi:ZCP4_1797
ko:K06906	zmi:ZCP4_1798
ko:K06908	zmi:ZCP4_1801
ko:K02314	zmi:ZCP4_0446
ko:K06907	zmi:ZCP4_1802
ko:K06903	zmi:ZCP4_1803
ko:K06223	zmi:ZCP4_1894
ko:K03676	zmi:ZCP4_0546
ko:K06217	zmi:ZCP4_1156
ko:K06908	zmi:ZCP4_1161
ko:K00857	zmi:ZCP4_0726
ko:K06909	zmi:ZCP4_0892
ko:K00560	zmi:ZCP4_1413
ko:K00287	zmi:ZCP4_0943
ko:K07313	zmi:ZCP4_1424
ko:K02335	zmi:ZCP4_1021
ko:K09806	zmi:ZCP4_0045
ko:K00091	zmi:ZCP4_0444
ko:K00525	zmi:ZCP4_0284
ko:K00344	zmi:ZCP4_1220
ko:K21613	zmi:ZCP4_0950
ko:K02014	zmi:ZCP4_1224
ko:K02014	zmi:ZCP4_0049
ko:K02483	zmi:ZCP4_0994
ko:K22044	zmi:ZCP4_0021
ko:K21470	zmi:ZCP4_1405
ko:K10026	zmi:ZCP4_0051
ko:K21929	zmi:ZCP4_1512
ko:K21929	zmi:ZCP4_0216
ko:K21929	zmi:ZCP4_0149
ko:K03595	zmi:ZCP4_1746
ko:K08994	zmi:ZCP4_0312
ko:K11991	zmi:ZCP4_0963
ko:K11206	zmi:ZCP4_1693
