ko:K07498	cgm:cgp_3225
ko:K07693	cgm:cgp_1084
ko:K07058	cgm:cgp_1086
ko:K03723	cgm:cgp_1099
ko:K03758	cgm:cgp_1105
ko:K01689	cgm:cgp_1111
ko:K01524	cgm:cgp_1115
ko:K03602	cgm:cgp_1162
ko:K03601	cgm:cgp_1163
ko:K03527	cgm:cgp_1164
ko:K03308	cgm:cgp_1169
ko:K06942	cgm:cgp_1171
ko:K02836	cgm:cgp_0913
ko:K09812	cgm:cgp_0914
ko:K09811	cgm:cgp_0915
ko:K03664	cgm:cgp_0916
ko:K02016	cgm:cgp_0924
ko:K02015	cgm:cgp_0926
ko:K02015	cgm:cgp_0927
ko:K02013	cgm:cgp_0928
ko:K14267	cgm:cgp_0931
ko:K03704	cgm:cgp_0938
ko:K06901	cgm:cgp_0944
ko:K00831	cgm:cgp_0948
ko:K01647	cgm:cgp_0949
ko:K14393	cgm:cgp_0953
ko:K11533	cgm:cgp_0957
ko:K00641	cgm:cgp_0961
ko:K03777	cgm:cgp_1027
ko:K03424	cgm:cgp_1035
ko:K02528	cgm:cgp_1038
ko:K00919	cgm:cgp_1039
ko:K00868	cgm:cgp_1041
ko:K02553	cgm:cgp_1055
ko:K01754	cgm:cgp_1116
ko:K03624	cgm:cgp_1123
ko:K01626	cgm:cgp_1129
ko:K00600	cgm:cgp_1133
ko:K13950	cgm:cgp_1134
ko:K03823	cgm:cgp_1138
ko:K07160	cgm:cgp_1141
ko:K06193	cgm:cgp_1209
ko:K04487	cgm:cgp_1214
ko:K00767	cgm:cgp_1215
ko:K03517	cgm:cgp_1216
ko:K09936	cgm:cgp_1219
ko:K03800	cgm:cgp_1222
ko:K00481	cgm:cgp_1226
ko:K16925	cgm:cgp_1227
ko:K16786	cgm:cgp_1228
ko:K16787	cgm:cgp_1228
ko:K16785	cgm:cgp_1229
ko:K07300	cgm:cgp_1231
ko:K11065	cgm:cgp_1236
ko:K09781	cgm:cgp_1238
ko:K00077	cgm:cgp_1239
ko:K09956	cgm:cgp_1240
ko:K06207	cgm:cgp_1248
ko:K06966	cgm:cgp_1261
ko:K00796	cgm:cgp_1262
ko:K00563	cgm:cgp_1266
ko:K01193	cgm:cgp_1267
ko:K00975	cgm:cgp_1269
ko:K03639	cgm:cgp_1352
ko:K03628	cgm:cgp_1354
ko:K02835	cgm:cgp_1355
ko:K02493	cgm:cgp_1356
ko:K02108	cgm:cgp_1362
ko:K02110	cgm:cgp_1363
ko:K02109	cgm:cgp_1364
ko:K02113	cgm:cgp_1365
ko:K02111	cgm:cgp_1366
ko:K02115	cgm:cgp_1367
ko:K02112	cgm:cgp_1368
ko:K03117	cgm:cgp_1273
ko:K00014	cgm:cgp_1283
ko:K00549	cgm:cgp_1290
ko:K00426	cgm:cgp_1300
ko:K00425	cgm:cgp_1301
ko:K03088	cgm:cgp_1271
ko:K03885	cgm:cgp_1656
ko:K00574	cgm:cgp_1657
ko:K07101	cgm:cgp_1659
ko:K03321	cgm:cgp_1664
ko:K03820	cgm:cgp_1673
ko:K07113	cgm:cgp_1675
ko:K01744	cgm:cgp_1697
ko:K00765	cgm:cgp_1698
ko:K06153	cgm:cgp_1710
ko:K06958	cgm:cgp_1794
ko:K03703	cgm:cgp_1795
ko:K00794	cgm:cgp_1797
ko:K14652	cgm:cgp_1798
ko:K00793	cgm:cgp_1799
ko:K11752	cgm:cgp_1800
ko:K01783	cgm:cgp_1801
ko:K03500	cgm:cgp_1802
ko:K00604	cgm:cgp_1803
ko:K01462	cgm:cgp_1804
ko:K04066	cgm:cgp_1805
ko:K00789	cgm:cgp_1806
ko:K13038	cgm:cgp_1807
ko:K03060	cgm:cgp_1809
ko:K00942	cgm:cgp_1810
ko:K01591	cgm:cgp_1812
ko:K01955	cgm:cgp_1813
ko:K01956	cgm:cgp_1814
ko:K01465	cgm:cgp_1815
ko:K00609	cgm:cgp_1816
ko:K02825	cgm:cgp_1817
ko:K07071	cgm:cgp_1819
ko:K03118	cgm:cgp_1684
ko:K03116	cgm:cgp_1685
ko:K01772	cgm:cgp_1734
ko:K01681	cgm:cgp_1737
ko:K01951	cgm:cgp_1739
ko:K07166	cgm:cgp_1742
ko:K09157	cgm:cgp_1743
ko:K03625	cgm:cgp_1824
ko:K02356	cgm:cgp_1825
ko:K01735	cgm:cgp_1827
ko:K00891	cgm:cgp_1828
ko:K01736	cgm:cgp_1829
ko:K02654	cgm:cgp_1830
ko:K02015	cgm:cgp_1832
ko:K02016	cgm:cgp_1833
ko:K02013	cgm:cgp_1834
ko:K00014	cgm:cgp_1835
ko:K07082	cgm:cgp_1836
ko:K07447	cgm:cgp_1837
ko:K01872	cgm:cgp_1838
ko:K07478	cgm:cgp_1839
ko:K11717	cgm:cgp_1761
ko:K09013	cgm:cgp_1762
ko:K09015	cgm:cgp_1763
ko:K09014	cgm:cgp_1764
ko:K02259	cgm:cgp_1769
ko:K00615	cgm:cgp_1774
ko:K00036	cgm:cgp_1778
ko:K01057	cgm:cgp_1780
ko:K03320	cgm:cgp_1785
ko:K03075	cgm:cgp_1786
ko:K01595	cgm:cgp_1787
ko:K01803	cgm:cgp_1789
ko:K00927	cgm:cgp_1790
ko:K00134	cgm:cgp_1791
ko:K02034	cgm:cgp_2676
ko:K15372	cgm:cgp_2680
ko:K03975	cgm:cgp_2684
ko:K02013	cgm:cgp_2688
ko:K06886	cgm:cgp_2689
ko:K01876	cgm:cgp_1841
ko:K07107	cgm:cgp_2692
ko:K10119	cgm:cgp_2703
ko:K10117	cgm:cgp_2705
ko:K07124	cgm:cgp_2717
ko:K13288	cgm:cgp_2718
ko:K07240	cgm:cgp_2690
ko:K01425	cgm:cgp_2728
ko:K01812	cgm:cgp_2731
ko:K08281	cgm:cgp_2734
ko:K03564	cgm:cgp_2736
ko:K00997	cgm:cgp_2738
ko:K11533	cgm:cgp_2743
ko:K00989	cgm:cgp_2753
ko:K01776	cgm:cgp_2762
ko:K06891	cgm:cgp_2772
ko:K01421	cgm:cgp_1844
ko:K00299	cgm:cgp_1850
ko:K01752	cgm:cgp_1852
ko:K00111	cgm:cgp_1853
ko:K01892	cgm:cgp_1855
ko:K00759	cgm:cgp_1862
ko:K03074	cgm:cgp_1865
ko:K03072	cgm:cgp_1867
ko:K03210	cgm:cgp_1868
ko:K03551	cgm:cgp_1869
ko:K03550	cgm:cgp_1870
ko:K01159	cgm:cgp_1871
ko:K10805	cgm:cgp_1873
ko:K00995	cgm:cgp_1878
ko:K01868	cgm:cgp_1880
ko:K07156	cgm:cgp_1884
ko:K03684	cgm:cgp_2081
ko:K07560	cgm:cgp_2101
ko:K04761	cgm:cgp_2109
ko:K03578	cgm:cgp_2111
ko:K07738	cgm:cgp_2112
ko:K01356	cgm:cgp_2114
ko:K02768	cgm:cgp_2120
ko:K02769	cgm:cgp_2120
ko:K02770	cgm:cgp_2120
ko:K03665	cgm:cgp_2126
ko:K01778	cgm:cgp_2129
ko:K00791	cgm:cgp_2130
ko:K06168	cgm:cgp_2135
ko:K10008	cgm:cgp_2136
ko:K10005	cgm:cgp_2137
ko:K10006	cgm:cgp_2138
ko:K10007	cgm:cgp_2139
ko:K03565	cgm:cgp_2140
ko:K03523	cgm:cgp_2147
ko:K14227	cgm:cgp_t5001
ko:K14227	cgm:cgp_t5004
ko:K14218	cgm:cgp_t5002
ko:K14218	cgm:cgp_t5005
ko:K14218	cgm:cgp_t5003
ko:K14228	cgm:cgp_t5006
ko:K14228	cgm:cgp_t5031
ko:K01977	cgm:cgp_r5113
ko:K01977	cgm:cgp_r5117
ko:K01977	cgm:cgp_r5123
ko:K01977	cgm:cgp_r5119
ko:K01977	cgm:cgp_r5121
ko:K01977	cgm:cgp_r5115
ko:K01980	cgm:cgp_r5125
ko:K01980	cgm:cgp_r5131
ko:K01980	cgm:cgp_r5133
ko:K01980	cgm:cgp_r5135
ko:K01980	cgm:cgp_r5129
ko:K01980	cgm:cgp_r5127
ko:K01985	cgm:cgp_r5101
ko:K01985	cgm:cgp_r5107
ko:K01985	cgm:cgp_r5103
ko:K01985	cgm:cgp_r5111
ko:K01985	cgm:cgp_r5105
ko:K01985	cgm:cgp_r5109
ko:K14219	cgm:cgp_t5009
ko:K14219	cgm:cgp_t5010
ko:K14219	cgm:cgp_t5025
ko:K14232	cgm:cgp_t5013
ko:K14232	cgm:cgp_t5032
ko:K14234	cgm:cgp_t5014
ko:K14234	cgm:cgp_t5016
ko:K14234	cgm:cgp_t5017
ko:K14236	cgm:cgp_t5015
ko:K14230	cgm:cgp_t5018
ko:K14230	cgm:cgp_t5020
ko:K14230	cgm:cgp_t5021
ko:K14230	cgm:cgp_t5042
ko:K14235	cgm:cgp_t5019
ko:K15035	cgm:cgp_4101
ko:K14223	cgm:cgp_t5023
ko:K00995	cgm:cgp_2154
ko:K09780	cgm:cgp_2155
ko:K00763	cgm:cgp_2774
ko:K01079	cgm:cgp_2779
ko:K02217	cgm:cgp_2782
ko:K01662	cgm:cgp_2083
ko:K00886	cgm:cgp_2091
ko:K03086	cgm:cgp_2092
ko:K03466	cgm:cgp_2158
ko:K01714	cgm:cgp_2161
ko:K00215	cgm:cgp_2163
ko:K00962	cgm:cgp_2166
ko:K02956	cgm:cgp_2167
ko:K11753	cgm:cgp_2169
ko:K02834	cgm:cgp_2175
ko:K02519	cgm:cgp_2176
ko:K07742	cgm:cgp_2177
ko:K02600	cgm:cgp_2178
ko:K09748	cgm:cgp_2179
ko:K15580	cgm:cgp_2181
ko:K15581	cgm:cgp_2182
ko:K01881	cgm:cgp_2185
ko:K09861	cgm:cgp_2186
ko:K13580	cgm:cgp_2187
ko:K00116	cgm:cgp_2192
ko:K01265	cgm:cgp_2198
ko:K02003	cgm:cgp_2204
ko:K00099	cgm:cgp_2208
ko:K06941	cgm:cgp_2214
ko:K00981	cgm:cgp_2216
ko:K02838	cgm:cgp_2217
ko:K09903	cgm:cgp_2218
ko:K02357	cgm:cgp_2221
ko:K02967	cgm:cgp_2222
ko:K03733	cgm:cgp_2224
ko:K04096	cgm:cgp_2226
ko:K07391	cgm:cgp_2227
ko:K07460	cgm:cgp_2228
ko:K03470	cgm:cgp_2230
ko:K03100	cgm:cgp_2232
ko:K02884	cgm:cgp_2235
ko:K00788	cgm:cgp_2236
ko:K03154	cgm:cgp_2238
ko:K03149	cgm:cgp_2239
ko:K06959	cgm:cgp_2241
ko:K03319	cgm:cgp_2243
ko:K01857	cgm:cgp_2244
ko:K00554	cgm:cgp_2249
ko:K02860	cgm:cgp_2251
ko:K02959	cgm:cgp_2253
ko:K11051	cgm:cgp_2255
ko:K11050	cgm:cgp_2256
ko:K03106	cgm:cgp_2257
ko:K00990	cgm:cgp_2258
ko:K04751	cgm:cgp_2260
ko:K03320	cgm:cgp_2261
ko:K03110	cgm:cgp_2262
ko:K03529	cgm:cgp_2265
ko:K01512	cgm:cgp_2266
ko:K07090	cgm:cgp_2269
ko:K03685	cgm:cgp_2273
ko:K07040	cgm:cgp_2274
ko:K00262	cgm:cgp_2280
ko:K00865	cgm:cgp_2282
ko:K00688	cgm:cgp_2289
ko:K00873	cgm:cgp_2291
ko:K01609	cgm:cgp_2293
ko:K02500	cgm:cgp_2297
ko:K02501	cgm:cgp_2300
ko:K01693	cgm:cgp_2303
ko:K00817	cgm:cgp_2304
ko:K00013	cgm:cgp_2305
ko:K02013	cgm:cgp_2315
ko:K01925	cgm:cgp_2371
ko:K01000	cgm:cgp_2372
ko:K01929	cgm:cgp_2373
ko:K01928	cgm:cgp_2374
ko:K03587	cgm:cgp_2375
ko:K03438	cgm:cgp_2377
ko:K03925	cgm:cgp_2378
ko:K00297	cgm:cgp_2383
ko:K01626	cgm:cgp_2391
ko:K00655	cgm:cgp_2398
ko:K02276	cgm:cgp_2406
ko:K02275	cgm:cgp_2409
ko:K01953	cgm:cgp_2410
ko:K02231	cgm:cgp_2413
ko:K00768	cgm:cgp_2414
ko:K02233	cgm:cgp_2415
ko:K00826	cgm:cgp_2418
ko:K01255	cgm:cgp_2419
ko:K03588	cgm:cgp_2370
ko:K00820	cgm:cgp_2492
ko:K01129	cgm:cgp_2494
ko:K01880	cgm:cgp_2499
ko:K00806	cgm:cgp_2508
ko:K03584	cgm:cgp_2509
ko:K07042	cgm:cgp_2512
ko:K09761	cgm:cgp_2514
ko:K03686	cgm:cgp_2515
ko:K03705	cgm:cgp_2516
ko:K00705	cgm:cgp_2523
ko:K01284	cgm:cgp_2527
ko:K05343	cgm:cgp_2529
ko:K02015	cgm:cgp_2317
ko:K02016	cgm:cgp_2318
ko:K06044	cgm:cgp_2323
ko:K04762	cgm:cgp_2330
ko:K01236	cgm:cgp_2333
ko:K01754	cgm:cgp_2334
ko:K00549	cgm:cgp_2337
ko:K02337	cgm:cgp_2338
ko:K05786	cgm:cgp_2339
ko:K01586	cgm:cgp_2343
ko:K06180	cgm:cgp_2346
ko:K03101	cgm:cgp_2347
ko:K02346	cgm:cgp_2355
ko:K11939	cgm:cgp_2356
ko:K01870	cgm:cgp_2359
ko:K02221	cgm:cgp_2362
ko:K09772	cgm:cgp_2363
ko:K06997	cgm:cgp_2364
ko:K05810	cgm:cgp_2365
ko:K03531	cgm:cgp_2366
ko:K03589	cgm:cgp_2367
ko:K01924	cgm:cgp_2368
ko:K02563	cgm:cgp_2369
ko:K00658	cgm:cgp_2421
ko:K03801	cgm:cgp_2422
ko:K03644	cgm:cgp_2423
ko:K07085	cgm:cgp_2425
ko:K01915	cgm:cgp_2429
ko:K01733	cgm:cgp_2437
ko:K00982	cgm:cgp_2446
ko:K01915	cgm:cgp_2447
ko:K00849	cgm:cgp_2452
ko:K07164	cgm:cgp_2456
ko:K00163	cgm:cgp_2466
ko:K02078	cgm:cgp_2473
ko:K03311	cgm:cgp_2537
ko:K07088	cgm:cgp_2542
ko:K02034	cgm:cgp_2551
ko:K01975	cgm:cgp_2553
ko:K03453	cgm:cgp_2557
ko:K01792	cgm:cgp_2558
ko:K01638	cgm:cgp_2559
ko:K01637	cgm:cgp_2560
ko:K14155	cgm:cgp_2536
ko:K03596	cgm:cgp_2571
ko:K02968	cgm:cgp_2573
ko:K02340	cgm:cgp_2576
ko:K02237	cgm:cgp_2578
ko:K09710	cgm:cgp_2582
ko:K00969	cgm:cgp_2584
ko:K00147	cgm:cgp_2586
ko:K00931	cgm:cgp_2588
ko:K03979	cgm:cgp_2589
ko:K02899	cgm:cgp_2594
ko:K02888	cgm:cgp_2595
ko:K00940	cgm:cgp_2603
ko:K06975	cgm:cgp_2605
ko:K11754	cgm:cgp_2608
ko:K01873	cgm:cgp_2609
ko:K06966	cgm:cgp_2612
ko:K00024	cgm:cgp_2613
ko:K07088	cgm:cgp_2619
ko:K03544	cgm:cgp_2620
ko:K01029	cgm:cgp_2622
ko:K01028	cgm:cgp_2623
ko:K02624	cgm:cgp_2624
ko:K01055	cgm:cgp_2626
ko:K06886	cgm:cgp_2627
ko:K01857	cgm:cgp_2629
ko:K00448	cgm:cgp_2630
ko:K03464	cgm:cgp_2634
ko:K03381	cgm:cgp_2636
ko:K05549	cgm:cgp_2637
ko:K05550	cgm:cgp_2638
ko:K05784	cgm:cgp_2639
ko:K05783	cgm:cgp_2640
ko:K05548	cgm:cgp_2642
ko:K05782	cgm:cgp_2643
ko:K01358	cgm:cgp_2644
ko:K01358	cgm:cgp_2645
ko:K03545	cgm:cgp_2647
ko:K01808	cgm:cgp_2658
ko:K01256	cgm:cgp_2662
ko:K00449	cgm:cgp_2631
ko:K01534	cgm:cgp_3295
ko:K03671	cgm:cgp_3299
ko:K08369	cgm:cgp_3301
ko:K02939	cgm:cgp_3306
ko:K02990	cgm:cgp_3308
ko:K07146	cgm:cgp_3319
ko:K02003	cgm:cgp_3321
ko:K01858	cgm:cgp_3323
ko:K04047	cgm:cgp_3327
ko:K14415	cgm:cgp_3329
ko:K00285	cgm:cgp_3340
ko:K02919	cgm:cgp_2791
ko:K01720	cgm:cgp_2796
ko:K02003	cgm:cgp_2812
ko:K00790	cgm:cgp_2829
ko:K01738	cgm:cgp_2833
ko:K00640	cgm:cgp_2834
ko:K06975	cgm:cgp_2835
ko:K01902	cgm:cgp_2836
ko:K01903	cgm:cgp_2837
ko:K02039	cgm:cgp_2842
ko:K02036	cgm:cgp_2843
ko:K02038	cgm:cgp_2844
ko:K02037	cgm:cgp_2845
ko:K02040	cgm:cgp_2846
ko:K06980	cgm:cgp_2852
ko:K01933	cgm:cgp_2856
ko:K00764	cgm:cgp_2857
ko:K01923	cgm:cgp_2874
ko:K11068	cgm:cgp_2861
ko:K01952	cgm:cgp_2862
ko:K01952	cgm:cgp_2863
ko:K01952	cgm:cgp_2865
ko:K00432	cgm:cgp_2867
ko:K01770	cgm:cgp_2944
ko:K00991	cgm:cgp_2945
ko:K07736	cgm:cgp_2946
ko:K04485	cgm:cgp_2950
ko:K01673	cgm:cgp_2954
ko:K03575	cgm:cgp_2955
ko:K03696	cgm:cgp_2963
ko:K04567	cgm:cgp_2974
ko:K01918	cgm:cgp_2975
ko:K00950	cgm:cgp_2979
ko:K01633	cgm:cgp_2981
ko:K00796	cgm:cgp_2982
ko:K01495	cgm:cgp_2983
ko:K03798	cgm:cgp_2984
ko:K00760	cgm:cgp_2985
ko:K04075	cgm:cgp_2986
ko:K07090	cgm:cgp_3112
ko:K00957	cgm:cgp_3115
ko:K00390	cgm:cgp_3116
ko:K00528	cgm:cgp_3119
ko:K07795	cgm:cgp_3127
ko:K16786	cgm:cgp_3133
ko:K16787	cgm:cgp_3133
ko:K16785	cgm:cgp_3134
ko:K01246	cgm:cgp_3140
ko:K05916	cgm:cgp_3141
ko:K14260	cgm:cgp_3149
ko:K00012	cgm:cgp_3154
ko:K01494	cgm:cgp_3155
ko:K01207	cgm:cgp_3158
ko:K09019	cgm:cgp_3344
ko:K01869	cgm:cgp_3346
ko:K09790	cgm:cgp_3347
ko:K00450	cgm:cgp_3351
ko:K05548	cgm:cgp_3353
ko:K01657	cgm:cgp_3359
ko:K00766	cgm:cgp_3361
ko:K13498	cgm:cgp_3362
ko:K01696	cgm:cgp_3363
ko:K01695	cgm:cgp_3364
ko:K14347	cgm:cgp_3371
ko:K09164	cgm:cgp_3372
ko:K03116	cgm:cgp_3381
ko:K03305	cgm:cgp_3382
ko:K02313	cgm:cgp_0001
ko:K02338	cgm:cgp_0004
ko:K03629	cgm:cgp_0005
ko:K02470	cgm:cgp_0007
ko:K01354	cgm:cgp_2873
ko:K07259	cgm:cgp_2987
ko:K00797	cgm:cgp_2990
ko:K04077	cgm:cgp_3011
ko:K05567	cgm:cgp_3025
ko:K05569	cgm:cgp_3027
ko:K05571	cgm:cgp_3029
ko:K06048	cgm:cgp_3031
ko:K01462	cgm:cgp_3034
ko:K01142	cgm:cgp_3036
ko:K06131	cgm:cgp_3037
ko:K07552	cgm:cgp_3038
ko:K03439	cgm:cgp_3172
ko:K00864	cgm:cgp_3198
ko:K01875	cgm:cgp_3201
ko:K03710	cgm:cgp_3202
ko:K01126	cgm:cgp_3215
ko:K00873	cgm:cgp_3218
ko:K02469	cgm:cgp_0015
ko:K11103	cgm:cgp_2870
ko:K00966	cgm:cgp_0849
ko:K14223	cgm:cgp_t5026
ko:K14223	cgm:cgp_t5028
ko:K01739	cgm:cgp_2687
ko:K01533	cgm:cgp_3281
ko:K03098	cgm:cgp_0726
ko:K11928	cgm:cgp_1314
ko:K01658	cgm:cgp_3360
ko:K01069	cgm:cgp_1482
ko:K02026	cgm:cgp_0831
ko:K14337	cgm:cgp_2385
ko:K19745	cgm:cgp_2795
ko:K01840	cgm:cgp_0854
ko:K01840	cgm:cgp_0788
ko:K03767	cgm:cgp_0048
ko:K00661	cgm:cgp_0180
ko:K01739	cgm:cgp_3086
ko:K00128	cgm:cgp_2953
ko:K00537	cgm:cgp_1244
ko:K12574	cgm:cgp_2160
ko:K02027	cgm:cgp_0834
ko:K01069	cgm:cgp_0071
ko:K00254	cgm:cgp_1713
ko:K00956	cgm:cgp_3114
ko:K03574	cgm:cgp_3043
ko:K07149	cgm:cgp_0009
ko:K17883	cgm:cgp_2194
ko:K02031	cgm:cgp_2675
ko:K02032	cgm:cgp_2675
ko:K02031	cgm:cgp_2184
ko:K02032	cgm:cgp_2184
ko:K02031	cgm:cgp_2552
ko:K02032	cgm:cgp_2552
ko:K02058	cgm:cgp_0044
ko:K03365	cgm:cgp_0104
ko:K03366	cgm:cgp_2958
ko:K04098	cgm:cgp_3385
ko:K07045	cgm:cgp_0345
ko:K07222	cgm:cgp_3195
ko:K01007	cgm:cgp_0644
ko:K13572	cgm:cgp_1687
ko:K01267	cgm:cgp_1693
ko:K00666	cgm:cgp_0341
ko:K02529	cgm:cgp_0221
ko:K04098	cgm:cgp_1311
ko:K18277	cgm:cgp_1292
ko:K18230	cgm:cgp_1609
ko:K18118	cgm:cgp_2840
ko:K21687	cgm:cgp_0936
ko:K21688	cgm:cgp_1037
ko:K02021	cgm:cgp_1621
ko:K01534	cgm:cgp_1329
ko:K10112	cgm:cgp_1571
ko:K15580	cgm:cgp_2610
ko:K00138	cgm:cgp_3096
ko:K02483	cgm:cgp_2888
ko:K16237	cgm:cgp_1257
ko:K18455	cgm:cgp_1127
ko:K01186	cgm:cgp_1754
ko:K03380	cgm:cgp_2966
ko:K03574	cgm:cgp_1490
ko:K07794	cgm:cgp_3126
ko:K18701	cgm:cgp_0319
ko:K18700	cgm:cgp_0542
ko:K18701	cgm:cgp_1706
ko:K01990	cgm:cgp_0248
ko:K01992	cgm:cgp_0249
ko:K21686	cgm:cgp_0800
ko:K07316	cgm:cgp_1028
ko:K18955	cgm:cgp_0337
ko:K18955	cgm:cgp_0695
ko:K18955	cgm:cgp_0878
ko:K18833	cgm:cgp_3075
ko:K06147	cgm:cgp_1101
ko:K18320	cgm:cgp_1094
ko:K03496	cgm:cgp_1610
ko:K03111	cgm:cgp_2697
ko:K01856	cgm:cgp_2635
ko:K18320	cgm:cgp_1757
ko:K06147	cgm:cgp_1281
ko:K18320	cgm:cgp_2757
ko:K03111	cgm:cgp_3307
ko:K03497	cgm:cgp_3426
ko:K03496	cgm:cgp_3427
ko:K07483	cgm:cgp_2993
ko:K07483	cgm:cgp_3059
ko:K03976	cgm:cgp_0443
ko:K03526	cgm:cgp_2206
ko:K07816	cgm:cgp_1330
ko:K03892	cgm:cgp_1704
ko:K02075	cgm:cgp_0042
ko:K01046	cgm:cgp_0109
ko:K01637	cgm:cgp_0127
ko:K00001	cgm:cgp_0273
ko:K03343	cgm:cgp_0274
ko:K00067	cgm:cgp_0402
ko:K01790	cgm:cgp_0402
ko:K01659	cgm:cgp_0762
ko:K00384	cgm:cgp_0795
ko:K16783	cgm:cgp_2149
ko:K01046	cgm:cgp_0110
ko:K10563	cgm:cgp_3328
ko:K00798	cgm:cgp_2830
ko:K02021	cgm:cgp_1088
ko:K03293	cgm:cgp_1305
ko:K01710	cgm:cgp_0403
ko:K02032	cgm:cgp_2940
ko:K01239	cgm:cgp_3137
ko:K01239	cgm:cgp_1543
ko:K00135	cgm:cgp_3004
ko:K00217	cgm:cgp_1310
ko:K01239	cgm:cgp_2168
ko:K19265	cgm:cgp_1423
ko:K03722	cgm:cgp_2776
ko:K01990	cgm:cgp_3042
ko:K16164	cgm:cgp_3350
ko:K19302	cgm:cgp_3193
ko:K01992	cgm:cgp_1647
ko:K07494	cgm:cgp_2746
ko:K19267	cgm:cgp_1553
ko:K00526	cgm:cgp_2781
ko:K06867	cgm:cgp_2575
ko:K02475	cgm:cgp_0090
ko:K06867	cgm:cgp_2519
ko:K02483	cgm:cgp_2947
ko:K01992	cgm:cgp_3041
ko:K06881	cgm:cgp_2174
ko:K19577	cgm:cgp_0772
ko:K11991	cgm:cgp_0281
ko:K18320	cgm:cgp_2759
ko:K02476	cgm:cgp_0089
ko:K19710	cgm:cgp_1879
ko:K09684	cgm:cgp_0565
ko:K10112	cgm:cgp_0265
ko:K14743	cgm:cgp_0665
ko:K09796	cgm:cgp_1883
ko:K12132	cgm:cgp_0057
ko:K12132	cgm:cgp_2388
ko:K12132	cgm:cgp_0059
ko:K20074	cgm:cgp_0062
ko:K20468	cgm:cgp_3175
ko:K20470	cgm:cgp_3174
ko:K01214	cgm:cgp_2310
ko:K20814	cgm:cgp_1690
ko:K20943	cgm:cgp_1309
ko:K00525	cgm:cgp_2786
ko:K21071	cgm:cgp_1409
ko:K01768	cgm:cgp_0375
ko:K00821	cgm:cgp_1583
ko:K21147	cgm:cgp_0257
ko:K21147	cgm:cgp_2240
ko:K00287	cgm:cgp_0965
ko:K00560	cgm:cgp_0966
ko:K07465	cgm:cgp_1694
ko:K03553	cgm:cgp_2141
ko:K06191	cgm:cgp_2789
ko:K02316	cgm:cgp_2489
ko:K01520	cgm:cgp_2086
ko:K03465	cgm:cgp_2162
ko:K06217	cgm:cgp_2513
ko:K02335	cgm:cgp_1525
ko:K02314	cgm:cgp_3304
ko:K00529	cgm:cgp_0639
ko:K00529	cgm:cgp_2999
ko:K02021	cgm:cgp_1720
ko:K01436	cgm:cgp_0789
ko:K22468	cgm:cgp_1046
ko:K22552	cgm:cgp_3287
ko:K03636	cgm:cgp_0264
ko:K21481	cgm:cgp_2962
ko:K21473	cgm:cgp_1735
ko:K21480	cgm:cgp_2445
ko:K05364	cgm:cgp_0060
ko:K21471	cgm:cgp_2401
ko:K21401	cgm:cgp_0557
ko:K21481	cgm:cgp_3318
ko:K21498	cgm:cgp_3348
ko:K21564	cgm:cgp_1327
ko:K07334	cgm:cgp_1172
ko:K21498	cgm:cgp_1173
ko:K10914	cgm:cgp_0350
ko:K21600	cgm:cgp_0463
ko:K21685	cgm:cgp_2831
ko:K00344	cgm:cgp_1771
ko:K21885	cgm:cgp_1032
ko:K21962	cgm:cgp_1738
ko:K22044	cgm:cgp_1434
ko:K22131	cgm:cgp_2716
ko:K01816	cgm:cgp_2312
ko:K03595	cgm:cgp_2510
ko:K03892	cgm:cgp_0317
ko:K22270	cgm:cgp_3354
ko:K04079	cgm:cgp_0123
ko:K17758	cgm:cgp_0688
ko:K17759	cgm:cgp_0688
ko:K22316	cgm:cgp_2455
ko:K22306	cgm:cgp_2581
ko:K02257	cgm:cgp_1773
ko:K22311	cgm:cgp_1877
ko:K11206	cgm:cgp_3093
ko:K22476	cgm:cgp_3035
ko:K00728	cgm:cgp_1014
ko:K22468	cgm:cgp_3007
ko:K08300	cgm:cgp_2597
ko:K08301	cgm:cgp_2597
ko:K07566	cgm:cgp_1358
ko:K01007	cgm:cgp_0642
