ko:K03602	abau:IX87_04485
ko:K03298	abau:IX87_15825
ko:K12340	abau:IX87_15830
ko:K02039	abau:IX87_15835
ko:K01755	abau:IX87_15845
ko:K08082	abau:IX87_15850
ko:K08083	abau:IX87_15855
ko:K01749	abau:IX87_15860
ko:K01719	abau:IX87_15865
ko:K07107	abau:IX87_15880
ko:K02463	abau:IX87_15890
ko:K02452	abau:IX87_15895
ko:K02453	abau:IX87_15900
ko:K01091	abau:IX87_15910
ko:K01657	abau:IX87_15915
ko:K02358	abau:IX87_15945
ko:K03073	abau:IX87_15955
ko:K02601	abau:IX87_15960
ko:K02867	abau:IX87_15965
ko:K02863	abau:IX87_15970
ko:K02864	abau:IX87_15975
ko:K02935	abau:IX87_15980
ko:K03043	abau:IX87_15985
ko:K03046	abau:IX87_15990
ko:K07084	abau:IX87_16015
ko:K07275	abau:IX87_16020
ko:K04079	abau:IX87_16030
ko:K07002	abau:IX87_16060
ko:K01825	abau:IX87_16075
ko:K03781	abau:IX87_20560
ko:K00154	abau:IX87_20575
ko:K14393	abau:IX87_20585
ko:K02688	abau:IX87_20615
ko:K03464	abau:IX87_20695
ko:K03381	abau:IX87_20700
ko:K01031	abau:IX87_20705
ko:K01032	abau:IX87_20710
ko:K01055	abau:IX87_20720
ko:K00059	abau:IX87_20755
ko:K01426	abau:IX87_20785
ko:K02010	abau:IX87_03585
ko:K02012	abau:IX87_03590
ko:K00481	abau:IX87_03600
ko:K02624	abau:IX87_03605
ko:K01118	abau:IX87_03610
ko:K01607	abau:IX87_03620
ko:K00135	abau:IX87_03625
ko:K03457	abau:IX87_03635
ko:K00128	abau:IX87_03645
ko:K16264	abau:IX87_12925
ko:K15726	abau:IX87_12930
ko:K15727	abau:IX87_12935
ko:K15725	abau:IX87_12940
ko:K01740	abau:IX87_12990
ko:K01673	abau:IX87_13000
ko:K06959	abau:IX87_13005
ko:K07659	abau:IX87_13010
ko:K07638	abau:IX87_13015
ko:K18118	abau:IX87_13020
ko:K01693	abau:IX87_13045
ko:K02501	abau:IX87_13050
ko:K01814	abau:IX87_13065
ko:K02204	abau:IX87_13095
ko:K02500	abau:IX87_13100
ko:K06188	abau:IX87_13115
ko:K01173	abau:IX87_13130
ko:K03549	abau:IX87_13140
ko:K01524	abau:IX87_17535
ko:K01962	abau:IX87_17540
ko:K04075	abau:IX87_17545
ko:K00286	abau:IX87_17550
ko:K02221	abau:IX87_17555
ko:K02454	abau:IX87_17580
ko:K04754	abau:IX87_17615
ko:K03092	abau:IX87_17645
ko:K05808	abau:IX87_17650
ko:K00790	abau:IX87_17660
ko:K00765	abau:IX87_17665
ko:K00013	abau:IX87_17670
ko:K00817	abau:IX87_17675
ko:K01665	abau:IX87_17680
ko:K15984	abau:IX87_17735
ko:K01070	abau:IX87_17745
ko:K09956	abau:IX87_17750
ko:K01783	abau:IX87_17755
ko:K07233	abau:IX87_17775
ko:K00567	abau:IX87_17790
ko:K00620	abau:IX87_17795
ko:K03517	abau:IX87_17800
ko:K01488	abau:IX87_17825
ko:K03101	abau:IX87_14680
ko:K01870	abau:IX87_14685
ko:K11753	abau:IX87_14690
ko:K01243	abau:IX87_14700
ko:K15555	abau:IX87_14710
ko:K15554	abau:IX87_14715
ko:K04091	abau:IX87_14720
ko:K15553	abau:IX87_14725
ko:K15553	abau:IX87_14730
ko:K14682	abau:IX87_14735
ko:K00568	abau:IX87_14760
ko:K03673	abau:IX87_14765
ko:K00989	abau:IX87_14790
ko:K01114	abau:IX87_14800
ko:K00767	abau:IX87_14810
ko:K03806	abau:IX87_14815
ko:K03980	abau:IX87_14820
ko:K03773	abau:IX87_14825
ko:K03772	abau:IX87_14830
ko:K16692	abau:IX87_14835
ko:K01104	abau:IX87_14840
ko:K01991	abau:IX87_14845
ko:K02474	abau:IX87_14850
ko:K02473	abau:IX87_14855
ko:K17716	abau:IX87_14880
ko:K01791	abau:IX87_14890
ko:K13007	abau:IX87_14905
ko:K06001	abau:IX87_19355
ko:K07320	abau:IX87_19360
ko:K01736	abau:IX87_19365
ko:K03644	abau:IX87_19385
ko:K00627	abau:IX87_19400
ko:K00382	abau:IX87_19405
ko:K03366	abau:IX87_19410
ko:K00004	abau:IX87_19415
ko:K17218	abau:IX87_19435
ko:K07090	abau:IX87_19440
ko:K00003	abau:IX87_19445
ko:K07506	abau:IX87_19455
ko:K01118	abau:IX87_19465
ko:K07240	abau:IX87_19470
ko:K03710	abau:IX87_19475
ko:K02051	abau:IX87_19490
ko:K02050	abau:IX87_19495
ko:K02049	abau:IX87_19500
ko:K02014	abau:IX87_19520
ko:K01744	abau:IX87_19525
ko:K00626	abau:IX87_19550
ko:K02106	abau:IX87_19555
ko:K01029	abau:IX87_19560
ko:K01028	abau:IX87_19565
ko:K17737	abau:IX87_19570
ko:K00019	abau:IX87_19615
ko:K01061	abau:IX87_19630
ko:K01950	abau:IX87_01870
ko:K00135	abau:IX87_01890
ko:K03451	abau:IX87_01905
ko:K07246	abau:IX87_01910
ko:K16135	abau:IX87_01915
ko:K00954	abau:IX87_01935
ko:K07646	abau:IX87_06680
ko:K01548	abau:IX87_06685
ko:K01547	abau:IX87_06690
ko:K01546	abau:IX87_06695
ko:K00950	abau:IX87_06700
ko:K01633	abau:IX87_06705
ko:K01895	abau:IX87_06725
ko:K02493	abau:IX87_06745
ko:K02835	abau:IX87_06750
ko:K11936	abau:IX87_06790
ko:K09773	abau:IX87_06805
ko:K02297	abau:IX87_06820
ko:K02298	abau:IX87_06825
ko:K02299	abau:IX87_06830
ko:K02300	abau:IX87_06835
ko:K02990	abau:IX87_06845
ko:K02963	abau:IX87_06850
ko:K02939	abau:IX87_06855
ko:K01775	abau:IX87_06865
ko:K07395	abau:IX87_06870
ko:K03495	abau:IX87_06900
ko:K02687	abau:IX87_06910
ko:K03557	abau:IX87_06920
ko:K00602	abau:IX87_06925
ko:K01945	abau:IX87_06930
ko:K02073	abau:IX87_06935
ko:K02071	abau:IX87_06940
ko:K02072	abau:IX87_06945
ko:K01069	abau:IX87_06950
ko:K00982	abau:IX87_11435
ko:K07568	abau:IX87_11485
ko:K03744	abau:IX87_11495
ko:K00773	abau:IX87_11500
ko:K03210	abau:IX87_11505
ko:K03072	abau:IX87_11510
ko:K03074	abau:IX87_11515
ko:K13038	abau:IX87_11520
ko:K03630	abau:IX87_11525
ko:K07053	abau:IX87_11535
ko:K06190	abau:IX87_11540
ko:K09780	abau:IX87_11545
ko:K15461	abau:IX87_11555
ko:K09767	abau:IX87_11565
ko:K10806	abau:IX87_11575
ko:K03672	abau:IX87_11580
ko:K00382	abau:IX87_11600
ko:K07098	abau:IX87_11645
ko:K03665	abau:IX87_11660
ko:K01525	abau:IX87_11680
ko:K02528	abau:IX87_11685
ko:K00097	abau:IX87_11690
ko:K02871	abau:IX87_11695
ko:K12262	abau:IX87_03680
ko:K03781	abau:IX87_03685
ko:K02614	abau:IX87_03710
ko:K02617	abau:IX87_03715
ko:K02616	abau:IX87_03720
ko:K01912	abau:IX87_03725
ko:K00074	abau:IX87_03735
ko:K15866	abau:IX87_03740
ko:K01692	abau:IX87_03745
ko:K02613	abau:IX87_03750
ko:K02612	abau:IX87_03755
ko:K02611	abau:IX87_03760
ko:K02610	abau:IX87_03765
ko:K02609	abau:IX87_03770
ko:K02618	abau:IX87_03775
ko:K01752	abau:IX87_03780
ko:K12658	abau:IX87_03820
ko:K03298	abau:IX87_03830
ko:K09712	abau:IX87_03845
ko:K13639	abau:IX87_03850
ko:K09765	abau:IX87_03860
ko:K09927	abau:IX87_03870
ko:K03449	abau:IX87_03875
ko:K11892	abau:IX87_03905
ko:K11893	abau:IX87_03910
ko:K11902	abau:IX87_03915
ko:K11907	abau:IX87_03920
ko:K03286	abau:IX87_03930
ko:K11890	abau:IX87_03935
ko:K01658	abau:IX87_08525
ko:K00766	abau:IX87_08540
ko:K01609	abau:IX87_08545
ko:K07402	abau:IX87_08555
ko:K13482	abau:IX87_08560
ko:K13481	abau:IX87_08565
ko:K01495	abau:IX87_08570
ko:K01599	abau:IX87_08605
ko:K02361	abau:IX87_08615
ko:K01590	abau:IX87_08645
ko:K01252	abau:IX87_08650
ko:K02363	abau:IX87_08655
ko:K03897	abau:IX87_08665
ko:K02014	abau:IX87_08670
ko:K02016	abau:IX87_08675
ko:K02013	abau:IX87_08680
ko:K02015	abau:IX87_08685
ko:K02015	abau:IX87_08690
ko:K06911	abau:IX87_08720
ko:K06200	abau:IX87_08765
ko:K02356	abau:IX87_08770
ko:K02909	abau:IX87_08790
ko:K14347	abau:IX87_08795
ko:K08224	abau:IX87_13315
ko:K11735	abau:IX87_13325
ko:K00140	abau:IX87_13330
ko:K06995	abau:IX87_13335
ko:K09684	abau:IX87_13345
ko:K06911	abau:IX87_13390
ko:K00135	abau:IX87_13405
ko:K00823	abau:IX87_13410
ko:K00375	abau:IX87_13415
ko:K11735	abau:IX87_13420
ko:K09799	abau:IX87_13450
ko:K03707	abau:IX87_13455
ko:K02442	abau:IX87_13460
ko:K08987	abau:IX87_13465
ko:K16137	abau:IX87_13475
ko:K03701	abau:IX87_13480
ko:K00252	abau:IX87_17840
ko:K08196	abau:IX87_17845
ko:K13795	abau:IX87_17855
ko:K13796	abau:IX87_17860
ko:K13794	abau:IX87_17865
ko:K03288	abau:IX87_17875
ko:K13794	abau:IX87_17880
ko:K00549	abau:IX87_17935
ko:K09024	abau:IX87_17940
ko:K07661	abau:IX87_18025
ko:K07639	abau:IX87_18030
ko:K00330	abau:IX87_18075
ko:K00331	abau:IX87_18080
ko:K13378	abau:IX87_18085
ko:K00334	abau:IX87_18090
ko:K00337	abau:IX87_18105
ko:K00338	abau:IX87_18110
ko:K00339	abau:IX87_18115
ko:K00340	abau:IX87_18120
ko:K00341	abau:IX87_18125
ko:K00342	abau:IX87_18130
ko:K00343	abau:IX87_18135
ko:K00761	abau:IX87_18140
ko:K01753	abau:IX87_00660
ko:K03306	abau:IX87_00665
ko:K00548	abau:IX87_00675
ko:K00615	abau:IX87_00680
ko:K00615	abau:IX87_00685
ko:K01785	abau:IX87_00710
ko:K08223	abau:IX87_00715
ko:K01425	abau:IX87_00725
ko:K01462	abau:IX87_00730
ko:K01652	abau:IX87_00745
ko:K06989	abau:IX87_00755
ko:K03811	abau:IX87_00820
ko:K11936	abau:IX87_00835
ko:K11931	abau:IX87_00840
ko:K11103	abau:IX87_00855
ko:K02168	abau:IX87_00880
ko:K02168	abau:IX87_00885
ko:K02167	abau:IX87_00890
ko:K00116	abau:IX87_00905
ko:K03758	abau:IX87_00930
ko:K14052	abau:IX87_05465
ko:K11734	abau:IX87_05475
ko:K11904	abau:IX87_05530
ko:K02073	abau:IX87_05585
ko:K00219	abau:IX87_05595
ko:K01940	abau:IX87_05600
ko:K01465	abau:IX87_05625
ko:K03683	abau:IX87_05630
ko:K02014	abau:IX87_05640
ko:K13896	abau:IX87_05650
ko:K13895	abau:IX87_05655
ko:K13894	abau:IX87_05660
ko:K13893	abau:IX87_05665
ko:K03426	abau:IX87_05685
ko:K07460	abau:IX87_05700
ko:K07056	abau:IX87_05705
ko:K05596	abau:IX87_05715
ko:K06895	abau:IX87_05720
ko:K03185	abau:IX87_05745
ko:K01262	abau:IX87_05750
ko:K09895	abau:IX87_05755
ko:K02888	abau:IX87_10225
ko:K02523	abau:IX87_10240
ko:K03585	abau:IX87_10255
ko:K18138	abau:IX87_10260
ko:K18139	abau:IX87_10265
ko:K01873	abau:IX87_10295
ko:K03320	abau:IX87_10320
ko:K07645	abau:IX87_10330
ko:K07666	abau:IX87_10335
ko:K03760	abau:IX87_10340
ko:K07001	abau:IX87_10365
ko:K07340	abau:IX87_10370
ko:K00795	abau:IX87_10385
ko:K11734	abau:IX87_10395
ko:K00963	abau:IX87_14925
ko:K00012	abau:IX87_14930
ko:K01810	abau:IX87_14935
ko:K01784	abau:IX87_14940
ko:K01840	abau:IX87_14945
ko:K00427	abau:IX87_14950
ko:K14348	abau:IX87_14955
ko:K00101	abau:IX87_14960
ko:K03777	abau:IX87_14965
ko:K00832	abau:IX87_14970
ko:K03417	abau:IX87_14980
ko:K01659	abau:IX87_14985
ko:K00647	abau:IX87_15020
ko:K06177	abau:IX87_15035
ko:K02014	abau:IX87_15050
ko:K03719	abau:IX87_15060
ko:K00285	abau:IX87_15065
ko:K01775	abau:IX87_15070
ko:K11737	abau:IX87_15080
ko:K11737	abau:IX87_15085
ko:K00140	abau:IX87_15095
ko:K01895	abau:IX87_15105
ko:K01692	abau:IX87_15115
ko:K07782	abau:IX87_15140
ko:K07003	abau:IX87_15175
ko:K06133	abau:IX87_15190
ko:K05527	abau:IX87_15205
ko:K11311	abau:IX87_19660
ko:K05600	abau:IX87_19665
ko:K02019	abau:IX87_19675
ko:K02020	abau:IX87_19680
ko:K02018	abau:IX87_19685
ko:K02017	abau:IX87_19690
ko:K00216	abau:IX87_19695
ko:K01081	abau:IX87_19710
ko:K03427	abau:IX87_19715
ko:K01154	abau:IX87_19725
ko:K01153	abau:IX87_19730
ko:K00937	abau:IX87_19740
ko:K06136	abau:IX87_19745
ko:K06137	abau:IX87_19750
ko:K06138	abau:IX87_19755
ko:K06139	abau:IX87_19760
ko:K01273	abau:IX87_19765
ko:K00121	abau:IX87_19820
ko:K06221	abau:IX87_19915
ko:K01207	abau:IX87_19925
ko:K02996	abau:IX87_11700
ko:K03599	abau:IX87_11705
ko:K03600	abau:IX87_11710
ko:K13777	abau:IX87_11720
ko:K13779	abau:IX87_11725
ko:K03703	abau:IX87_16110
ko:K00995	abau:IX87_16120
ko:K10778	abau:IX87_16125
ko:K07447	abau:IX87_16155
ko:K07735	abau:IX87_16160
ko:K03631	abau:IX87_16165
ko:K09913	abau:IX87_16175
ko:K03218	abau:IX87_16180
ko:K00859	abau:IX87_16190
ko:K02654	abau:IX87_16195
ko:K02653	abau:IX87_16200
ko:K02652	abau:IX87_16205
ko:K01803	abau:IX87_16210
ko:K03075	abau:IX87_16215
ko:K09748	abau:IX87_16240
ko:K02600	abau:IX87_16245
ko:K02519	abau:IX87_16250
ko:K02834	abau:IX87_16255
ko:K05564	abau:IX87_16260
ko:K05563	abau:IX87_16265
ko:K05562	abau:IX87_16270
ko:K05561	abau:IX87_16275
ko:K05560	abau:IX87_16280
ko:K05559	abau:IX87_16285
ko:K11755	abau:IX87_16300
ko:K03688	abau:IX87_16310
ko:K03690	abau:IX87_16315
ko:K03183	abau:IX87_16320
ko:K03583	abau:IX87_16340
ko:K03582	abau:IX87_16345
ko:K03581	abau:IX87_16350
ko:K02956	abau:IX87_16360
ko:K00962	abau:IX87_16365
ko:K02624	abau:IX87_20835
ko:K07112	abau:IX87_20845
ko:K07112	abau:IX87_20850
ko:K05358	abau:IX87_20860
ko:K07267	abau:IX87_20865
ko:K03785	abau:IX87_20875
ko:K00448	abau:IX87_20880
ko:K00449	abau:IX87_20885
ko:K01607	abau:IX87_20890
ko:K08195	abau:IX87_20895
ko:K01055	abau:IX87_20900
ko:K01857	abau:IX87_20905
ko:K01032	abau:IX87_20915
ko:K01031	abau:IX87_20920
ko:K00991	abau:IX87_20925
ko:K05589	abau:IX87_20930
ko:K01689	abau:IX87_20940
ko:K01627	abau:IX87_20945
ko:K01937	abau:IX87_20950
ko:K07044	abau:IX87_20960
ko:K07019	abau:IX87_20965
ko:K00219	abau:IX87_20980
ko:K01626	abau:IX87_20995
ko:K09771	abau:IX87_21000
ko:K03694	abau:IX87_21005
ko:K06891	abau:IX87_21010
ko:K00145	abau:IX87_21020
ko:K07043	abau:IX87_21030
ko:K01807	abau:IX87_21035
ko:K01754	abau:IX87_21040
ko:K03499	abau:IX87_21045
ko:K03498	abau:IX87_21050
ko:K01058	abau:IX87_21055
ko:K06972	abau:IX87_21060
ko:K16090	abau:IX87_21065
ko:K00425	abau:IX87_21100
ko:K00426	abau:IX87_21105
ko:K11891	abau:IX87_03940
ko:K11895	abau:IX87_03950
ko:K11896	abau:IX87_03955
ko:K11897	abau:IX87_03960
ko:K11903	abau:IX87_03965
ko:K11900	abau:IX87_03970
ko:K02050	abau:IX87_03990
ko:K02049	abau:IX87_03995
ko:K02051	abau:IX87_04000
ko:K07722	abau:IX87_04010
ko:K11746	abau:IX87_04035
ko:K01941	abau:IX87_04040
ko:K09967	abau:IX87_04045
ko:K09967	abau:IX87_04050
ko:K07126	abau:IX87_04075
ko:K11263	abau:IX87_04095
ko:K07160	abau:IX87_04110
ko:K11904	abau:IX87_04175
ko:K01118	abau:IX87_04220
ko:K01759	abau:IX87_08800
ko:K08218	abau:IX87_08805
ko:K06194	abau:IX87_08820
ko:K03787	abau:IX87_08825
ko:K07258	abau:IX87_08840
ko:K00566	abau:IX87_08855
ko:K07153	abau:IX87_08860
ko:K01756	abau:IX87_08865
ko:K08984	abau:IX87_08870
ko:K04774	abau:IX87_08880
ko:K02036	abau:IX87_08885
ko:K02038	abau:IX87_08890
ko:K02037	abau:IX87_08895
ko:K02040	abau:IX87_08900
ko:K11734	abau:IX87_08905
ko:K13745	abau:IX87_08925
ko:K00836	abau:IX87_08930
ko:K00508	abau:IX87_08950
ko:K03580	abau:IX87_08970
ko:K06177	abau:IX87_08975
ko:K01845	abau:IX87_08985
ko:K00788	abau:IX87_08990
ko:K07263	abau:IX87_09015
ko:K06956	abau:IX87_09025
ko:K00031	abau:IX87_09050
ko:K06181	abau:IX87_09055
ko:K00031	abau:IX87_09060
ko:K07258	abau:IX87_09070
ko:K02168	abau:IX87_13495
ko:K14393	abau:IX87_13515
ko:K00299	abau:IX87_13540
ko:K17228	abau:IX87_13545
ko:K01895	abau:IX87_13560
ko:K02527	abau:IX87_13580
ko:K06916	abau:IX87_02215
ko:K01591	abau:IX87_02245
ko:K05788	abau:IX87_02255
ko:K02945	abau:IX87_02260
ko:K00945	abau:IX87_02265
ko:K03648	abau:IX87_02285
ko:K01737	abau:IX87_02290
ko:K02460	abau:IX87_02295
ko:K02459	abau:IX87_02300
ko:K02458	abau:IX87_02305
ko:K02456	abau:IX87_02310
ko:K03424	abau:IX87_02320
ko:K02676	abau:IX87_02325
ko:K02341	abau:IX87_02330
ko:K00979	abau:IX87_02335
ko:K00912	abau:IX87_02340
ko:K11085	abau:IX87_02345
ko:K03559	abau:IX87_02350
ko:K03561	abau:IX87_02355
ko:K03501	abau:IX87_02370
ko:K07102	abau:IX87_02380
ko:K04744	abau:IX87_02385
ko:K03771	abau:IX87_02390
ko:K01624	abau:IX87_02395
ko:K00927	abau:IX87_02405
ko:K09966	abau:IX87_02410
ko:K07862	abau:IX87_02435
ko:K09912	abau:IX87_02445
ko:K11103	abau:IX87_06960
ko:K01779	abau:IX87_06990
ko:K09857	abau:IX87_06995
ko:K06192	abau:IX87_07000
ko:K03808	abau:IX87_07005
ko:K03808	abau:IX87_07010
ko:K03762	abau:IX87_07055
ko:K07347	abau:IX87_07070
ko:K07346	abau:IX87_07075
ko:K06923	abau:IX87_07135
ko:K03312	abau:IX87_07140
ko:K03821	abau:IX87_07145
ko:K11735	abau:IX87_07200
ko:K00140	abau:IX87_07205
ko:K00822	abau:IX87_07210
ko:K11731	abau:IX87_11730
ko:K13778	abau:IX87_11735
ko:K13774	abau:IX87_11740
ko:K17103	abau:IX87_11800
ko:K07115	abau:IX87_11805
ko:K07394	abau:IX87_11810
ko:K00024	abau:IX87_11825
ko:K01166	abau:IX87_11830
ko:K08309	abau:IX87_11835
ko:K06168	abau:IX87_11840
ko:K07042	abau:IX87_11850
ko:K03832	abau:IX87_11855
ko:K03816	abau:IX87_11870
ko:K03809	abau:IX87_11875
ko:K07058	abau:IX87_11880
ko:K07078	abau:IX87_11905
ko:K12573	abau:IX87_11945
ko:K01414	abau:IX87_11950
ko:K07070	abau:IX87_11955
ko:K09159	abau:IX87_11990
ko:K02879	abau:IX87_12005
ko:K03040	abau:IX87_12010
ko:K02986	abau:IX87_12015
ko:K02948	abau:IX87_12020
ko:K02952	abau:IX87_12025
ko:K05516	abau:IX87_16380
ko:K04083	abau:IX87_16390
ko:K11747	abau:IX87_16395
ko:K04066	abau:IX87_16400
ko:K02455	abau:IX87_16405
ko:K02456	abau:IX87_16410
ko:K06878	abau:IX87_16420
ko:K03820	abau:IX87_16425
ko:K06189	abau:IX87_16430
ko:K04085	abau:IX87_16435
ko:K00311	abau:IX87_16440
ko:K09986	abau:IX87_16445
ko:K01776	abau:IX87_16450
ko:K01772	abau:IX87_16460
ko:K09862	abau:IX87_16470
ko:K07007	abau:IX87_16480
ko:K06199	abau:IX87_16490
ko:K02909	abau:IX87_16500
ko:K03327	abau:IX87_16520
ko:K09936	abau:IX87_16525
ko:K13776	abau:IX87_16555
ko:K08300	abau:IX87_16560
ko:K06179	abau:IX87_16565
ko:K01091	abau:IX87_16570
ko:K00799	abau:IX87_16580
ko:K03782	abau:IX87_16605
ko:K08484	abau:IX87_16610
ko:K08311	abau:IX87_16615
ko:K01703	abau:IX87_16645
ko:K01704	abau:IX87_16650
ko:K09909	abau:IX87_21125
ko:K07078	abau:IX87_21130
ko:K03110	abau:IX87_21135
ko:K07390	abau:IX87_21170
ko:K01265	abau:IX87_21185
ko:K03311	abau:IX87_21190
ko:K02768	abau:IX87_21215
ko:K08483	abau:IX87_21215
ko:K11183	abau:IX87_21215
ko:K00882	abau:IX87_21220
ko:K02769	abau:IX87_21225
ko:K02770	abau:IX87_21225
ko:K03530	abau:IX87_21290
ko:K02836	abau:IX87_13595
ko:K07462	abau:IX87_13605
ko:K00275	abau:IX87_13610
ko:K03431	abau:IX87_13615
ko:K00088	abau:IX87_13620
ko:K06940	abau:IX87_13625
ko:K02014	abau:IX87_13645
ko:K00627	abau:IX87_13660
ko:K00163	abau:IX87_13665
ko:K02535	abau:IX87_13680
ko:K03531	abau:IX87_13685
ko:K03590	abau:IX87_13690
ko:K03589	abau:IX87_13695
ko:K01921	abau:IX87_13700
ko:K01924	abau:IX87_13705
ko:K02563	abau:IX87_13710
ko:K01920	abau:IX87_13715
ko:K02014	abau:IX87_13735
ko:K00762	abau:IX87_13755
ko:K01142	abau:IX87_13760
ko:K00528	abau:IX87_18155
ko:K07007	abau:IX87_18180
ko:K01874	abau:IX87_18215
ko:K03593	abau:IX87_18225
ko:K01243	abau:IX87_18230
ko:K09928	abau:IX87_18235
ko:K01494	abau:IX87_18245
ko:K05541	abau:IX87_18275
ko:K03106	abau:IX87_18285
ko:K03525	abau:IX87_18290
ko:K03524	abau:IX87_18295
ko:K03529	abau:IX87_18320
ko:K03528	abau:IX87_18325
ko:K01972	abau:IX87_18330
ko:K03594	abau:IX87_18335
ko:K00697	abau:IX87_18345
ko:K01087	abau:IX87_18350
ko:K02170	abau:IX87_18355
ko:K00833	abau:IX87_18360
ko:K00652	abau:IX87_18365
ko:K02169	abau:IX87_18370
ko:K01935	abau:IX87_18375
ko:K06178	abau:IX87_18380
ko:K06024	abau:IX87_18385
ko:K05896	abau:IX87_18390
ko:K09906	abau:IX87_18400
ko:K07040	abau:IX87_18405
ko:K02911	abau:IX87_18410
ko:K00645	abau:IX87_18415
ko:K00059	abau:IX87_18420
ko:K02078	abau:IX87_18425
ko:K00941	abau:IX87_18435
ko:K01091	abau:IX87_18440
ko:K02437	abau:IX87_02475
ko:K12410	abau:IX87_02480
ko:K11928	abau:IX87_02485
ko:K03719	abau:IX87_02490
ko:K13821	abau:IX87_02495
ko:K07397	abau:IX87_02530
ko:K00615	abau:IX87_02535
ko:K00789	abau:IX87_02540
ko:K07113	abau:IX87_02555
ko:K03823	abau:IX87_02565
ko:K01159	abau:IX87_02580
ko:K01012	abau:IX87_02595
ko:K07345	abau:IX87_02610
ko:K07347	abau:IX87_02630
ko:K03457	abau:IX87_02660
ko:K10004	abau:IX87_02745
ko:K10002	abau:IX87_02750
ko:K10003	abau:IX87_02755
ko:K10001	abau:IX87_02760
ko:K00799	abau:IX87_02775
ko:K06923	abau:IX87_07325
ko:K01409	abau:IX87_07335
ko:K02970	abau:IX87_07340
ko:K09117	abau:IX87_07345
ko:K00090	abau:IX87_07355
ko:K00764	abau:IX87_07370
ko:K03558	abau:IX87_07375
ko:K00254	abau:IX87_07380
ko:K02462	abau:IX87_07385
ko:K02461	abau:IX87_07390
ko:K08296	abau:IX87_07395
ko:K00057	abau:IX87_07400
ko:K03732	abau:IX87_07415
ko:K03704	abau:IX87_07420
ko:K04085	abau:IX87_07425
ko:K03089	abau:IX87_07430
ko:K03154	abau:IX87_07440
ko:K03149	abau:IX87_07445
ko:K09861	abau:IX87_07455
ko:K07018	abau:IX87_07460
ko:K00784	abau:IX87_07465
ko:K01270	abau:IX87_07470
ko:K14170	abau:IX87_07485
ko:K07017	abau:IX87_07490
ko:K11103	abau:IX87_07500
ko:K09916	abau:IX87_07510
ko:K00858	abau:IX87_07515
ko:K05365	abau:IX87_07520
ko:K03574	abau:IX87_07530
ko:K07645	abau:IX87_07540
ko:K02454	abau:IX87_07555
ko:K00528	abau:IX87_07570
ko:K02919	abau:IX87_12030
ko:K03076	abau:IX87_12035
ko:K02876	abau:IX87_12040
ko:K02907	abau:IX87_12045
ko:K02988	abau:IX87_12050
ko:K02881	abau:IX87_12055
ko:K02933	abau:IX87_12060
ko:K02994	abau:IX87_12065
ko:K02954	abau:IX87_12070
ko:K02931	abau:IX87_12075
ko:K02895	abau:IX87_12080
ko:K02874	abau:IX87_12085
ko:K02961	abau:IX87_12090
ko:K02904	abau:IX87_12095
ko:K02878	abau:IX87_12100
ko:K02982	abau:IX87_12105
ko:K02890	abau:IX87_12110
ko:K02965	abau:IX87_12115
ko:K02886	abau:IX87_12120
ko:K02892	abau:IX87_12125
ko:K02926	abau:IX87_12130
ko:K02906	abau:IX87_12135
ko:K02946	abau:IX87_12140
ko:K01760	abau:IX87_12150
ko:K06915	abau:IX87_12155
ko:K05916	abau:IX87_12160
ko:K13771	abau:IX87_12165
ko:K03978	abau:IX87_12170
ko:K07044	abau:IX87_12175
ko:K10805	abau:IX87_12185
ko:K00631	abau:IX87_12190
ko:K03655	abau:IX87_12205
ko:K03574	abau:IX87_12215
ko:K06966	abau:IX87_12220
ko:K03284	abau:IX87_12225
ko:K07122	abau:IX87_12230
ko:K07323	abau:IX87_12235
ko:K02067	abau:IX87_12240
ko:K02066	abau:IX87_12245
ko:K02065	abau:IX87_12250
ko:K01092	abau:IX87_12265
ko:K01662	abau:IX87_12270
ko:K01497	abau:IX87_12275
ko:K00228	abau:IX87_12280
ko:K00014	abau:IX87_12285
ko:K00052	abau:IX87_16660
ko:K02518	abau:IX87_16675
ko:K06173	abau:IX87_16685
ko:K01424	abau:IX87_16690
ko:K00133	abau:IX87_16705
ko:K11102	abau:IX87_16715
ko:K02517	abau:IX87_16725
ko:K15738	abau:IX87_16735
ko:K03745	abau:IX87_16740
ko:K03168	abau:IX87_16760
ko:K03657	abau:IX87_16775
ko:K08195	abau:IX87_04260
ko:K02517	abau:IX87_04270
ko:K03555	abau:IX87_04295
ko:K05524	abau:IX87_04305
ko:K12542	abau:IX87_04335
ko:K12541	abau:IX87_04340
ko:K12543	abau:IX87_04345
ko:K06861	abau:IX87_04350
ko:K09774	abau:IX87_04355
ko:K11719	abau:IX87_04360
ko:K03270	abau:IX87_04365
ko:K06041	abau:IX87_04370
ko:K01883	abau:IX87_04375
ko:K08995	abau:IX87_04390
ko:K00286	abau:IX87_04430
ko:K03704	abau:IX87_04440
ko:K03601	abau:IX87_04480
ko:K07213	abau:IX87_04525
ko:K03885	abau:IX87_09075
ko:K03775	abau:IX87_09080
ko:K01669	abau:IX87_09085
ko:K01791	abau:IX87_09115
ko:K00459	abau:IX87_09130
ko:K05540	abau:IX87_09135
ko:K00931	abau:IX87_09150
ko:K03979	abau:IX87_09155
ko:K00134	abau:IX87_09170
ko:K05786	abau:IX87_09175
