ko:K00054	sah:SaurJH1_2621
ko:K09458	sah:SaurJH1_1002
ko:K11069	sah:SaurJH1_1184
ko:K01784	sah:SaurJH1_0119
ko:K00128	sah:SaurJH1_0158
ko:K02031	sah:SaurJH1_0196
ko:K02032	sah:SaurJH1_0196
ko:K01118	sah:SaurJH1_0202
ko:K05339	sah:SaurJH1_0254
ko:K01223	sah:SaurJH1_0257
ko:K02445	sah:SaurJH1_0395
ko:K03118	sah:SaurJH1_0404
ko:K03387	sah:SaurJH1_0439
ko:K03762	sah:SaurJH1_0610
ko:K00869	sah:SaurJH1_0628
ko:K09768	sah:SaurJH1_0721
ko:K09014	sah:SaurJH1_0863
ko:K07474	sah:SaurJH1_0904
ko:K06347	sah:SaurJH1_0972
ko:K00764	sah:SaurJH1_1152
ko:K02044	sah:SaurJH1_0134
ko:K02050	sah:SaurJH1_0164
ko:K02033	sah:SaurJH1_0197
ko:K02790	sah:SaurJH1_0233
ko:K02791	sah:SaurJH1_0233
ko:K07322	sah:SaurJH1_0250
ko:K06216	sah:SaurJH1_0261
ko:K03311	sah:SaurJH1_0296
ko:K05569	sah:SaurJH1_0664
ko:K02015	sah:SaurJH1_0687
ko:K06934	sah:SaurJH1_0734
ko:K07636	sah:SaurJH1_1783
ko:K03789	sah:SaurJH1_2124
ko:K02775	sah:SaurJH1_0238
ko:K03466	sah:SaurJH1_1831
ko:K03466	sah:SaurJH1_1362
ko:K00161	sah:SaurJH1_1175
ko:K03602	sah:SaurJH1_1614
ko:K09817	sah:SaurJH1_1648
ko:K09761	sah:SaurJH1_1669
ko:K07160	sah:SaurJH1_1696
ko:K07090	sah:SaurJH1_1805
ko:K01990	sah:SaurJH1_1924
ko:K07009	sah:SaurJH1_1979
ko:K04047	sah:SaurJH1_2213
ko:K02874	sah:SaurJH1_2308
ko:K03636	sah:SaurJH1_2337
ko:K02020	sah:SaurJH1_2346
ko:K09765	sah:SaurJH1_2667
ko:K02335	sah:SaurJH1_1781
ko:K02773	sah:SaurJH1_0236
ko:K06173	sah:SaurJH1_2287
ko:K05568	sah:SaurJH1_0968
ko:K08483	sah:SaurJH1_1166
ko:K00627	sah:SaurJH1_1177
ko:K00241	sah:SaurJH1_1228
ko:K00239	sah:SaurJH1_1229
ko:K01874	sah:SaurJH1_0524
ko:K01890	sah:SaurJH1_1220
ko:K03111	sah:SaurJH1_0331
ko:K03111	sah:SaurJH1_0425
ko:K03111	sah:SaurJH1_0880
ko:K03111	sah:SaurJH1_2076
ko:K03111	sah:SaurJH1_2171
ko:K03553	sah:SaurJH1_1371
ko:K00432	sah:SaurJH1_1390
ko:K07651	sah:SaurJH1_1579
ko:K04564	sah:SaurJH1_1645
ko:K04043	sah:SaurJH1_1672
ko:K06948	sah:SaurJH1_1689
ko:K07681	sah:SaurJH1_1973
ko:K04518	sah:SaurJH1_2005
ko:K06994	sah:SaurJH1_2628
ko:K10210	sah:SaurJH1_2640
ko:K07045	sah:SaurJH1_2656
ko:K06978	sah:SaurJH1_2670
ko:K02538	sah:SaurJH1_2720
ko:K01421	sah:SaurJH1_2723
ko:K03076	sah:SaurJH1_2733
ko:K09698	sah:SaurJH1_0564
ko:K07040	sah:SaurJH1_1208
ko:K07104	sah:SaurJH1_1278
ko:K03547	sah:SaurJH1_1434
ko:K11442	sah:SaurJH1_2240
ko:K11535	sah:SaurJH1_0557
ko:K00605	sah:SaurJH1_1628
ko:K03086	sah:SaurJH1_1653
ko:K09773	sah:SaurJH1_1655
ko:K07015	sah:SaurJH1_1690
ko:K01271	sah:SaurJH1_1798
ko:K07139	sah:SaurJH1_1850
ko:K06199	sah:SaurJH1_1871
ko:K07094	sah:SaurJH1_1995
ko:K07566	sah:SaurJH1_2190
ko:K02835	sah:SaurJH1_2192
ko:K00009	sah:SaurJH1_2229
ko:K03593	sah:SaurJH1_2235
ko:K03639	sah:SaurJH1_2335
ko:K11210	sah:SaurJH1_2401
ko:K02372	sah:SaurJH1_2173
ko:K03177	sah:SaurJH1_1357
ko:K11753	sah:SaurJH1_1358
ko:K01462	sah:SaurJH1_1299
ko:K03499	sah:SaurJH1_1170
ko:K11071	sah:SaurJH1_1182
ko:K03437	sah:SaurJH1_1218
ko:K09888	sah:SaurJH1_1222
ko:K03925	sah:SaurJH1_1262
ko:K06997	sah:SaurJH1_1272
ko:K09772	sah:SaurJH1_1273
ko:K02221	sah:SaurJH1_1274
ko:K03101	sah:SaurJH1_1280
ko:K06941	sah:SaurJH1_1302
ko:K06949	sah:SaurJH1_1305
ko:K03621	sah:SaurJH1_1313
ko:K00645	sah:SaurJH1_1314
ko:K00059	sah:SaurJH1_1315
ko:K02078	sah:SaurJH1_1316
ko:K09787	sah:SaurJH1_1320
ko:K02959	sah:SaurJH1_1322
ko:K02860	sah:SaurJH1_1323
ko:K02884	sah:SaurJH1_1325
ko:K03706	sah:SaurJH1_1340
ko:K02967	sah:SaurJH1_1341
ko:K02357	sah:SaurJH1_1343
ko:K02838	sah:SaurJH1_1345
ko:K09748	sah:SaurJH1_1351
ko:K07742	sah:SaurJH1_1353
ko:K02834	sah:SaurJH1_1356
ko:K02956	sah:SaurJH1_1359
ko:K00995	sah:SaurJH1_1369
ko:K02443	sah:SaurJH1_1383
ko:K03713	sah:SaurJH1_1393
ko:K02954	sah:SaurJH1_1424
ko:K09976	sah:SaurJH1_1431
ko:K03282	sah:SaurJH1_1436
ko:K07107	sah:SaurJH1_1440
ko:K08591	sah:SaurJH1_1442
ko:K02038	sah:SaurJH1_1477
ko:K02037	sah:SaurJH1_1478
ko:K03704	sah:SaurJH1_1492
ko:K01512	sah:SaurJH1_1494
ko:K03625	sah:SaurJH1_1616
ko:K02245	sah:SaurJH1_1634
ko:K06901	sah:SaurJH1_2321
ko:K05846	sah:SaurJH1_2522
ko:K05847	sah:SaurJH1_2523
ko:K03650	sah:SaurJH1_2791
ko:K03733	sah:SaurJH1_1337
ko:K02913	sah:SaurJH1_1643
ko:K01489	sah:SaurJH1_1660
ko:K02314	sah:SaurJH1_0016
ko:K03311	sah:SaurJH1_0176
ko:K05916	sah:SaurJH1_0230
ko:K07741	sah:SaurJH1_0321
ko:K03427	sah:SaurJH1_0466
ko:K01226	sah:SaurJH1_0509
ko:K02897	sah:SaurJH1_0536
ko:K01738	sah:SaurJH1_0548
ko:K05523	sah:SaurJH1_0588
ko:K07457	sah:SaurJH1_0646
ko:K07220	sah:SaurJH1_0702
ko:K10682	sah:SaurJH1_0746
ko:K03654	sah:SaurJH1_0761
ko:K05846	sah:SaurJH1_0763
ko:K05845	sah:SaurJH1_0763
ko:K02015	sah:SaurJH1_0775
ko:K03928	sah:SaurJH1_0820
ko:K05566	sah:SaurJH1_0970
ko:K02968	sah:SaurJH1_1678
ko:K09710	sah:SaurJH1_1684
ko:K07574	sah:SaurJH1_1687
ko:K03210	sah:SaurJH1_1728
ko:K02899	sah:SaurJH1_1735
ko:K02888	sah:SaurJH1_1737
ko:K02887	sah:SaurJH1_1770
ko:K08998	sah:SaurJH1_1881
ko:K04078	sah:SaurJH1_2104
ko:K02909	sah:SaurJH1_2194
ko:K02996	sah:SaurJH1_2285
ko:K02879	sah:SaurJH1_2291
ko:K02948	sah:SaurJH1_2293
ko:K02952	sah:SaurJH1_2294
ko:K02881	sah:SaurJH1_2302
ko:K02994	sah:SaurJH1_2304
ko:K02954	sah:SaurJH1_2305
ko:K02895	sah:SaurJH1_2307
ko:K02961	sah:SaurJH1_2309
ko:K02890	sah:SaurJH1_2313
ko:K02965	sah:SaurJH1_2314
ko:K02892	sah:SaurJH1_2316
ko:K02946	sah:SaurJH1_2319
ko:K09771	sah:SaurJH1_2408
ko:K00363	sah:SaurJH1_2471
ko:K03704	sah:SaurJH1_2784
ko:K03095	sah:SaurJH1_2136
ko:K02871	sah:SaurJH1_2286
ko:K02933	sah:SaurJH1_2303
ko:K02878	sah:SaurJH1_2311
ko:K03635	sah:SaurJH1_2338
ko:K03637	sah:SaurJH1_2341
ko:K03638	sah:SaurJH1_2342
ko:K03523	sah:SaurJH1_2349
ko:K06975	sah:SaurJH1_2596
ko:K03823	sah:SaurJH1_2604
ko:K02777	sah:SaurJH1_1511
ko:K02913	sah:SaurJH1_0571
ko:K03073	sah:SaurJH1_0572
ko:K02864	sah:SaurJH1_0576
ko:K02935	sah:SaurJH1_0577
ko:K07590	sah:SaurJH1_0581
ko:K02950	sah:SaurJH1_0582
ko:K02992	sah:SaurJH1_0583
ko:K05567	sah:SaurJH1_0662
ko:K05571	sah:SaurJH1_0666
ko:K03709	sah:SaurJH1_0672
ko:K02013	sah:SaurJH1_0685
ko:K02015	sah:SaurJH1_0686
ko:K05879	sah:SaurJH1_0689
ko:K03306	sah:SaurJH1_0703
ko:K06966	sah:SaurJH1_0720
ko:K03976	sah:SaurJH1_0737
ko:K03436	sah:SaurJH1_0738
ko:K09013	sah:SaurJH1_0859
ko:K04488	sah:SaurJH1_0862
ko:K05571	sah:SaurJH1_0965
ko:K05570	sah:SaurJH1_0966
ko:K02031	sah:SaurJH1_1010
ko:K02034	sah:SaurJH1_1013
ko:K06886	sah:SaurJH1_1020
ko:K07816	sah:SaurJH1_1023
ko:K03800	sah:SaurJH1_1108
ko:K02829	sah:SaurJH1_1140
ko:K11175	sah:SaurJH1_1154
ko:K07095	sah:SaurJH1_1233
ko:K03438	sah:SaurJH1_1263
ko:K04074	sah:SaurJH1_1276
ko:K09903	sah:SaurJH1_1344
ko:K03310	sah:SaurJH1_1445
ko:K00243	sah:SaurJH1_1481
ko:K03469	sah:SaurJH1_1523
ko:K00805	sah:SaurJH1_1557
ko:K00382	sah:SaurJH1_1610
ko:K00845	sah:SaurJH1_1639
ko:K02237	sah:SaurJH1_1682
ko:K03545	sah:SaurJH1_1767
ko:K07007	sah:SaurJH1_1845
ko:K01193	sah:SaurJH1_2114
ko:K05337	sah:SaurJH1_1571
ko:K03711	sah:SaurJH1_1586
ko:K01515	sah:SaurJH1_1587
ko:K03402	sah:SaurJH1_1612
ko:K01493	sah:SaurJH1_1681
ko:K03630	sah:SaurJH1_1752
ko:K07738	sah:SaurJH1_1777
ko:K11065	sah:SaurJH1_1804
ko:K06199	sah:SaurJH1_1870
ko:K02503	sah:SaurJH1_1925
ko:K09825	sah:SaurJH1_1949
ko:K03564	sah:SaurJH1_1951
ko:K05520	sah:SaurJH1_1963
ko:K07979	sah:SaurJH1_2024
ko:K07455	sah:SaurJH1_2078
ko:K06925	sah:SaurJH1_2126
ko:K06973	sah:SaurJH1_1548
ko:K02076	sah:SaurJH1_1646
ko:K07560	sah:SaurJH1_1723
ko:K06878	sah:SaurJH1_1832
ko:K07078	sah:SaurJH1_2107
ko:K02982	sah:SaurJH1_2312
ko:K02906	sah:SaurJH1_2318
ko:K02018	sah:SaurJH1_2345
ko:K01752	sah:SaurJH1_2607
ko:K02069	sah:SaurJH1_2529
ko:K02244	sah:SaurJH1_1635
ko:K03584	sah:SaurJH1_1658
ko:K02238	sah:SaurJH1_1680
ko:K07120	sah:SaurJH1_1757
ko:K06286	sah:SaurJH1_1808
ko:K07052	sah:SaurJH1_1867
ko:K02549	sah:SaurJH1_1882
ko:K01911	sah:SaurJH1_1883
ko:K01992	sah:SaurJH1_1923
ko:K09693	sah:SaurJH1_1959
ko:K07694	sah:SaurJH1_1972
ko:K01992	sah:SaurJH1_2020
ko:K08981	sah:SaurJH1_2148
ko:K07646	sah:SaurJH1_2153
ko:K03483	sah:SaurJH1_2227
ko:K07088	sah:SaurJH1_2325
ko:K03296	sah:SaurJH1_2328
ko:K07052	sah:SaurJH1_2380
ko:K03284	sah:SaurJH1_2417
ko:K02619	sah:SaurJH1_0755
ko:K02016	sah:SaurJH1_0777
ko:K08255	sah:SaurJH1_0989
ko:K10254	sah:SaurJH1_0097
ko:K07784	sah:SaurJH1_0212
ko:K02355	sah:SaurJH1_0584
ko:K08094	sah:SaurJH1_0608
ko:K00938	sah:SaurJH1_0630
ko:K07023	sah:SaurJH1_0797
ko:K06895	sah:SaurJH1_0842
ko:K08974	sah:SaurJH1_0858
ko:K06180	sah:SaurJH1_1025
ko:K02548	sah:SaurJH1_1123
ko:K08680	sah:SaurJH1_1126
ko:K08600	sah:SaurJH1_1216
ko:K02519	sah:SaurJH1_1355
ko:K09125	sah:SaurJH1_1521
ko:K03800	sah:SaurJH1_1624
ko:K02246	sah:SaurJH1_1633
ko:K02433	sah:SaurJH1_1989
ko:K06959	sah:SaurJH1_2137
ko:K01479	sah:SaurJH1_2402
ko:K03303	sah:SaurJH1_2436
ko:K00362	sah:SaurJH1_2472
ko:K05846	sah:SaurJH1_2520
ko:K04750	sah:SaurJH1_2668
ko:K01895	sah:SaurJH1_2685
ko:K08093	sah:SaurJH1_2812
ko:K03701	sah:SaurJH1_0800
ko:K01520	sah:SaurJH1_0896
ko:K03695	sah:SaurJH1_0993
ko:K06910	sah:SaurJH1_0998
ko:K03310	sah:SaurJH1_1030
ko:K03588	sah:SaurJH1_1195
ko:K01620	sah:SaurJH1_1404
ko:K03293	sah:SaurJH1_1421
ko:K09763	sah:SaurJH1_1584
ko:K03581	sah:SaurJH1_1710
ko:K03570	sah:SaurJH1_1739
ko:K00571	sah:SaurJH1_1803
ko:K01126	sah:SaurJH1_1811
ko:K00318	sah:SaurJH1_1854
ko:K02434	sah:SaurJH1_1988
ko:K07813	sah:SaurJH1_2110
ko:K07707	sah:SaurJH1_2112
ko:K00847	sah:SaurJH1_2113
ko:K03484	sah:SaurJH1_2115
ko:K05592	sah:SaurJH1_2156
ko:K02015	sah:SaurJH1_2244
ko:K07552	sah:SaurJH1_2425
ko:K05845	sah:SaurJH1_2521
ko:K00851	sah:SaurJH1_2581
ko:K01990	sah:SaurJH1_2589
ko:K04086	sah:SaurJH1_2624
ko:K10212	sah:SaurJH1_2641
ko:K07032	sah:SaurJH1_2651
ko:K03311	sah:SaurJH1_1497
ko:K02497	sah:SaurJH1_1763
ko:K00655	sah:SaurJH1_1817
ko:K07533	sah:SaurJH1_1928
ko:K07058	sah:SaurJH1_1971
ko:K01990	sah:SaurJH1_2023
ko:K07112	sah:SaurJH1_2119
ko:K07667	sah:SaurJH1_2154
ko:K03217	sah:SaurJH1_2165
ko:K02116	sah:SaurJH1_2184
ko:K03750	sah:SaurJH1_2340
ko:K02016	sah:SaurJH1_2351
ko:K03481	sah:SaurJH1_2392
ko:K02352	sah:SaurJH1_2769
ko:K08170	sah:SaurJH1_0094
ko:K02016	sah:SaurJH1_0106
ko:K00252	sah:SaurJH1_0223
ko:K00008	sah:SaurJH1_0239
ko:K00299	sah:SaurJH1_0398
ko:K03928	sah:SaurJH1_0492
ko:K00375	sah:SaurJH1_0554
ko:K03091	sah:SaurJH1_0570
ko:K08093	sah:SaurJH1_0607
ko:K02242	sah:SaurJH1_0792
ko:K07090	sah:SaurJH1_0940
ko:K03885	sah:SaurJH1_0960
ko:K02003	sah:SaurJH1_1115
ko:K02015	sah:SaurJH1_1215
ko:K00059	sah:SaurJH1_1366
ko:K08170	sah:SaurJH1_1525
ko:K03294	sah:SaurJH1_1526
ko:K01187	sah:SaurJH1_1595
ko:K02243	sah:SaurJH1_1636
ko:K03571	sah:SaurJH1_1738
ko:K02236	sah:SaurJH1_1753
ko:K09692	sah:SaurJH1_1958
ko:K03565	sah:SaurJH1_1961
ko:K00128	sah:SaurJH1_2010
ko:K07741	sah:SaurJH1_2087
ko:K07315	sah:SaurJH1_2141
ko:K02015	sah:SaurJH1_2245
ko:K00123	sah:SaurJH1_2376
ko:K09813	sah:SaurJH1_2430
ko:K02015	sah:SaurJH1_0104
ko:K01586	sah:SaurJH1_0114
ko:K09963	sah:SaurJH1_0180
ko:K00008	sah:SaurJH1_0241
ko:K02016	sah:SaurJH1_0647
ko:K03316	sah:SaurJH1_0667
ko:K10681	sah:SaurJH1_0745
ko:K01665	sah:SaurJH1_0754
ko:K11040	sah:SaurJH1_1912
ko:K11040	sah:SaurJH1_1913
ko:K11040	sah:SaurJH1_1915
ko:K11040	sah:SaurJH1_1916
ko:K11040	sah:SaurJH1_1917
ko:K02501	sah:SaurJH1_2756
ko:K00174	sah:SaurJH1_1375
ko:K11102	sah:SaurJH1_2455
ko:K00240	sah:SaurJH1_1230
ko:K11032	sah:SaurJH1_1246
ko:K01679	sah:SaurJH1_1939
ko:K04066	sah:SaurJH1_1296
ko:K02768	sah:SaurJH1_0740
ko:K02769	sah:SaurJH1_0740
ko:K02770	sah:SaurJH1_0740
ko:K00175	sah:SaurJH1_1376
ko:K02818	sah:SaurJH1_0508
ko:K02819	sah:SaurJH1_0508
ko:K02798	sah:SaurJH1_2228
ko:K11189	sah:SaurJH1_1165
ko:K03475	sah:SaurJH1_0388
ko:K03700	sah:SaurJH1_1537
ko:K00166	sah:SaurJH1_1609
ko:K11041	sah:SaurJH1_1256
ko:K01892	sah:SaurJH1_1721
ko:K03551	sah:SaurJH1_1731
ko:K07447	sah:SaurJH1_1707
ko:K02356	sah:SaurJH1_1620
ko:K00088	sah:SaurJH1_0448
ko:K02500	sah:SaurJH1_2754
ko:K05020	sah:SaurJH1_1437
ko:K06178	sah:SaurJH1_1581
ko:K03655	sah:SaurJH1_1311
ko:K03070	sah:SaurJH1_2729
ko:K03070	sah:SaurJH1_0794
ko:K09167	sah:SaurJH1_2147
ko:K06183	sah:SaurJH1_1843
ko:K11068	sah:SaurJH1_2239
ko:K00817	sah:SaurJH1_0764
ko:K03501	sah:SaurJH1_2789
ko:K03555	sah:SaurJH1_1381
ko:K03466	sah:SaurJH1_0278
ko:K02435	sah:SaurJH1_1990
ko:K02774	sah:SaurJH1_0237
ko:K02111	sah:SaurJH1_2179
ko:K01424	sah:SaurJH1_1566
ko:K02919	sah:SaurJH1_2295
ko:K02914	sah:SaurJH1_2793
ko:K03497	sah:SaurJH1_2788
ko:K03529	sah:SaurJH1_1318
ko:K05896	sah:SaurJH1_1583
ko:K02809	sah:SaurJH1_0182
ko:K02810	sah:SaurJH1_0182
ko:K02113	sah:SaurJH1_2180
ko:K02110	sah:SaurJH1_2182
ko:K02108	sah:SaurJH1_2183
ko:K01755	sah:SaurJH1_0979
ko:K02827	sah:SaurJH1_1142
ko:K01652	sah:SaurJH1_2276
ko:K10208	sah:SaurJH1_2638
ko:K00425	sah:SaurJH1_1168
ko:K01681	sah:SaurJH1_1439
ko:K05565	sah:SaurJH1_0971
ko:K07729	sah:SaurJH1_0195
ko:K02911	sah:SaurJH1_1209
ko:K02902	sah:SaurJH1_1308
ko:K02970	sah:SaurJH1_1667
ko:K02916	sah:SaurJH1_1771
ko:K04749	sah:SaurJH1_2140
ko:K02907	sah:SaurJH1_2300
ko:K02904	sah:SaurJH1_2310
ko:K04763	sah:SaurJH1_1585
ko:K01056	sah:SaurJH1_0537
ko:K01664	sah:SaurJH1_0753
ko:K07305	sah:SaurJH1_1512
ko:K03076	sah:SaurJH1_2298
ko:K11042	sah:SaurJH1_0457
ko:K07652	sah:SaurJH1_0019
ko:K02545	sah:SaurJH1_0029
ko:K02547	sah:SaurJH1_0030
ko:K01436	sah:SaurJH1_0093
ko:K01760	sah:SaurJH1_0416
ko:K05577	sah:SaurJH1_0487
ko:K00265	sah:SaurJH1_0506
ko:K00266	sah:SaurJH1_0507
ko:K03798	sah:SaurJH1_0546
ko:K02358	sah:SaurJH1_0585
ko:K00626	sah:SaurJH1_0613
ko:K05565	sah:SaurJH1_0660
ko:K05568	sah:SaurJH1_0663
ko:K07258	sah:SaurJH1_0680
ko:K05878	sah:SaurJH1_0688
ko:K03305	sah:SaurJH1_0767
ko:K00939	sah:SaurJH1_2297
ko:K03778	sah:SaurJH1_2599
ko:K03778	sah:SaurJH1_2635
ko:K00432	sah:SaurJH1_2699
ko:K03498	sah:SaurJH1_2102
ko:K03183	sah:SaurJH1_1558
ko:K00014	sah:SaurJH1_1688
ko:K07584	sah:SaurJH1_1736
ko:K00824	sah:SaurJH1_1840
ko:K02493	sah:SaurJH1_2191
ko:K02886	sah:SaurJH1_2315
ko:K03453	sah:SaurJH1_2388
ko:K02015	sah:SaurJH1_0105
ko:K07720	sah:SaurJH1_0213
ko:K03489	sah:SaurJH1_0255
ko:K02004	sah:SaurJH1_0298
ko:K03800	sah:SaurJH1_0386
ko:K03696	sah:SaurJH1_0561
ko:K09145	sah:SaurJH1_0711
ko:K06213	sah:SaurJH1_1026
ko:K00162	sah:SaurJH1_1176
ko:K02259	sah:SaurJH1_1197
ko:K02016	sah:SaurJH1_1214
ko:K05810	sah:SaurJH1_1271
ko:K02040	sah:SaurJH1_1479
ko:K11038	sah:SaurJH1_1904
ko:K11038	sah:SaurJH1_1905
ko:K11038	sah:SaurJH1_2099
ko:K11038	sah:SaurJH1_2100
ko:K11038	sah:SaurJH1_2493
ko:K11038	sah:SaurJH1_2494
ko:K11038	sah:SaurJH1_2495
ko:K09705	sah:SaurJH1_0709
ko:K00374	sah:SaurJH1_2466
ko:K07775	sah:SaurJH1_1580
ko:K11693	sah:SaurJH1_2329
ko:K11694	sah:SaurJH1_1464
ko:K11695	sah:SaurJH1_1465
ko:K03524	sah:SaurJH1_1544
ko:K11476	sah:SaurJH1_2582
ko:K00602	sah:SaurJH1_1155
ko:K12574	sah:SaurJH1_1171
ko:K01992	sah:SaurJH1_2410
ko:K03431	sah:SaurJH1_2231
ko:K11755	sah:SaurJH1_2753
ko:K00260	sah:SaurJH1_0977
ko:K02472	sah:SaurJH1_0154
ko:K06131	sah:SaurJH1_2163
ko:K13012	sah:SaurJH1_0152
ko:K12268	sah:SaurJH1_2732
ko:K12269	sah:SaurJH1_2731
ko:K12410	sah:SaurJH1_2267
ko:K13292	sah:SaurJH1_0802
ko:K01491	sah:SaurJH1_1145
ko:K13052	sah:SaurJH1_0542
ko:K19005	sah:SaurJH1_0759
ko:K01647	sah:SaurJH1_1786
ko:K01243	sah:SaurJH1_1691
ko:K03768	sah:SaurJH1_0973
ko:K11752	sah:SaurJH1_1858
ko:K06168	sah:SaurJH1_1378
ko:K09015	sah:SaurJH1_0860
ko:K05362	sah:SaurJH1_1035
ko:K01990	sah:SaurJH1_2411
ko:K02304	sah:SaurJH1_2697
ko:K02303	sah:SaurJH1_2470
ko:K11928	sah:SaurJH1_1991
ko:K11717	sah:SaurJH1_0861
ko:K01439	sah:SaurJH1_1841
ko:K12257	sah:SaurJH1_1727
ko:K12270	sah:SaurJH1_2730
ko:K11754	sah:SaurJH1_1754
ko:K01961	sah:SaurJH1_1618
ko:K01961	sah:SaurJH1_1697
ko:K13715	sah:SaurJH1_1129
ko:K02347	sah:SaurJH1_1224
ko:K13038	sah:SaurJH1_1295
ko:K12551	sah:SaurJH1_1820
ko:K12574	sah:SaurJH1_1361
ko:K12552	sah:SaurJH1_1265
ko:K12573	sah:SaurJH1_0821
ko:K12553	sah:SaurJH1_1644
ko:K13733	sah:SaurJH1_2577
ko:K02217	sah:SaurJH1_1981
ko:K09457	sah:SaurJH1_0769
ko:K04072	sah:SaurJH1_0139
ko:K13953	sah:SaurJH1_0643
ko:K03429	sah:SaurJH1_1034
ko:K00620	sah:SaurJH1_0173
ko:K12942	sah:SaurJH1_2550
ko:K13853	sah:SaurJH1_1827
ko:K01958	sah:SaurJH1_1196
ko:K13732	sah:SaurJH1_2578
ko:K07516	sah:SaurJH1_0222
ko:K13714	sah:SaurJH1_1135
ko:K00941	sah:SaurJH1_2168
ko:K14233	sah:SaurJH1_R0003
ko:K14233	sah:SaurJH1_R0051
ko:K14233	sah:SaurJH1_R0049
ko:K14232	sah:SaurJH1_R0015
ko:K14232	sah:SaurJH1_R0055
ko:K19279	sah:SaurJH1_1748
ko:K14229	sah:SaurJH1_R0060
ko:K14229	sah:SaurJH1_R0073
ko:K14229	sah:SaurJH1_R0011
ko:K06147	sah:SaurJH1_2502
ko:K14224	sah:SaurJH1_R0001
ko:K14224	sah:SaurJH1_R0077
ko:K14224	sah:SaurJH1_R0030
ko:K02015	sah:SaurJH1_0774
ko:K14237	sah:SaurJH1_R0009
ko:K14237	sah:SaurJH1_R0076
ko:K14237	sah:SaurJH1_R0062
ko:K14228	sah:SaurJH1_R0037
ko:K14228	sah:SaurJH1_R0057
ko:K14228	sah:SaurJH1_R0013
ko:K14220	sah:SaurJH1_R0027
ko:K14220	sah:SaurJH1_R0078
ko:K14220	sah:SaurJH1_R0031
ko:K14234	sah:SaurJH1_R0010
ko:K14234	sah:SaurJH1_R0061
ko:K14234	sah:SaurJH1_R0045
ko:K14199	sah:SaurJH1_0219
ko:K14199	sah:SaurJH1_1240
ko:K14200	sah:SaurJH1_1239
ko:K14202	sah:SaurJH1_2035
ko:K14203	sah:SaurJH1_1237
ko:K14198	sah:SaurJH1_2037
ko:K14199	sah:SaurJH1_2034
ko:K01983	sah:SaurJH1_R0004
ko:K14228	sah:SaurJH1_R0059
ko:K14225	sah:SaurJH1_R0012
ko:K14225	sah:SaurJH1_R0058
ko:K14192	sah:SaurJH1_2710
ko:K14193	sah:SaurJH1_1211
ko:K14194	sah:SaurJH1_0599
ko:K14195	sah:SaurJH1_2573
ko:K14196	sah:SaurJH1_0102
ko:K14230	sah:SaurJH1_R0053
ko:K14219	sah:SaurJH1_R0028
ko:K13789	sah:SaurJH1_1613
ko:K14194	sah:SaurJH1_0598
ko:K14194	sah:SaurJH1_0600
ko:K14197	sah:SaurJH1_2492
ko:K14201	sah:SaurJH1_0828
ko:K14219	sah:SaurJH1_R0024
ko:K14221	sah:SaurJH1_R0035
ko:K14221	sah:SaurJH1_R0047
ko:K14221	sah:SaurJH1_R0050
ko:K14221	sah:SaurJH1_R0002
ko:K03892	sah:SaurJH1_1860
ko:K14225	sah:SaurJH1_R0038
ko:K14225	sah:SaurJH1_R0039
ko:K02013	sah:SaurJH1_2224
ko:K00819	sah:SaurJH1_0175
ko:K14223	sah:SaurJH1_R0074
ko:K14223	sah:SaurJH1_R0041
ko:K14233	sah:SaurJH1_R0026
ko:K19285	sah:SaurJH1_0441
ko:K04763	sah:SaurJH1_0043
ko:K14225	sah:SaurJH1_R0032
ko:K14225	sah:SaurJH1_R0071
ko:K14236	sah:SaurJH1_R0075
ko:K14236	sah:SaurJH1_R0044
ko:K00887	sah:SaurJH1_1661
ko:K14230	sah:SaurJH1_R0036
ko:K14230	sah:SaurJH1_R0048
ko:K14228	sah:SaurJH1_R0072
ko:K00868	sah:SaurJH1_0617
ko:K14231	sah:SaurJH1_R0034
ko:K14231	sah:SaurJH1_R0046
ko:K14222	sah:SaurJH1_R0040
ko:K14230	sah:SaurJH1_R0052
ko:K14445	sah:SaurJH1_2006
ko:K01980	sah:SaurJH1_R0064
ko:K01980	sah:SaurJH1_R0080
ko:K01980	sah:SaurJH1_R0069
ko:K01980	sah:SaurJH1_R0006
ko:K01980	sah:SaurJH1_R0022
ko:K01980	sah:SaurJH1_R0019
ko:K14205	sah:SaurJH1_1449
ko:K03324	sah:SaurJH1_0096
ko:K01985	sah:SaurJH1_R0008
ko:K01985	sah:SaurJH1_R0063
ko:K01985	sah:SaurJH1_R0023
ko:K01985	sah:SaurJH1_R0068
ko:K01985	sah:SaurJH1_R0020
ko:K01985	sah:SaurJH1_R0079
ko:K01985	sah:SaurJH1_R0007
ko:K13628	sah:SaurJH1_0959
ko:K00459	sah:SaurJH1_0937
ko:K14188	sah:SaurJH1_0953
ko:K14219	sah:SaurJH1_R0014
ko:K14219	sah:SaurJH1_R0056
ko:K14218	sah:SaurJH1_R0016
ko:K14218	sah:SaurJH1_R0054
ko:K14218	sah:SaurJH1_R0065
ko:K14227	sah:SaurJH1_R0018
ko:K14227	sah:SaurJH1_R0066
ko:K14652	sah:SaurJH1_1856
ko:K15035	sah:SaurJH1_R0025
ko:K05567	sah:SaurJH1_0969
ko:K07145	sah:SaurJH1_0156
