ko:K03293	sagc:DN94_06620
ko:K06885	sagc:DN94_02850
ko:K01537	sagc:DN94_02860
ko:K04041	sagc:DN94_02870
ko:K02836	sagc:DN94_02880
ko:K09812	sagc:DN94_02885
ko:K09811	sagc:DN94_02890
ko:K03366	sagc:DN94_02905
ko:K01893	sagc:DN94_02920
ko:K16923	sagc:DN94_02925
ko:K06958	sagc:DN94_02940
ko:K09762	sagc:DN94_02950
ko:K08659	sagc:DN94_02955
ko:K09815	sagc:DN94_02960
ko:K02909	sagc:DN94_02965
ko:K01488	sagc:DN94_02975
ko:K04516	sagc:DN94_02985
ko:K02884	sagc:DN94_02995
ko:K05837	sagc:DN94_03005
ko:K02470	sagc:DN94_03015
ko:K06286	sagc:DN94_03020
ko:K01079	sagc:DN94_03025
ko:K01689	sagc:DN94_03040
ko:K15051	sagc:DN94_03045
ko:K00800	sagc:DN94_03050
ko:K00891	sagc:DN94_03055
ko:K03215	sagc:DN94_03065
ko:K00600	sagc:DN94_03090
ko:K01990	sagc:DN94_03120
ko:K01992	sagc:DN94_03125
ko:K01992	sagc:DN94_03130
ko:K06287	sagc:DN94_03160
ko:K02004	sagc:DN94_03200
ko:K02003	sagc:DN94_03205
ko:K15051	sagc:DN94_03215
ko:K03975	sagc:DN94_03220
ko:K02068	sagc:DN94_03225
ko:K02069	sagc:DN94_03230
ko:K07035	sagc:DN94_03245
ko:K03778	sagc:DN94_03250
ko:K00874	sagc:DN94_03260
ko:K01195	sagc:DN94_03265
ko:K01686	sagc:DN94_03285
ko:K02529	sagc:DN94_03310
ko:K01868	sagc:DN94_03330
ko:K10040	sagc:DN94_03350
ko:K10040	sagc:DN94_03355
ko:K10041	sagc:DN94_03365
ko:K07668	sagc:DN94_03370
ko:K07652	sagc:DN94_03375
ko:K09790	sagc:DN94_03385
ko:K03685	sagc:DN94_03390
ko:K03529	sagc:DN94_03395
ko:K03110	sagc:DN94_03410
ko:K08986	sagc:DN94_03415
ko:K07089	sagc:DN94_03420
ko:K06959	sagc:DN94_03435
ko:K03095	sagc:DN94_03440
ko:K06023	sagc:DN94_03455
ko:K13292	sagc:DN94_03460
ko:K08303	sagc:DN94_03485
ko:K03322	sagc:DN94_03500
ko:K11752	sagc:DN94_03505
ko:K00793	sagc:DN94_03510
ko:K14652	sagc:DN94_03515
ko:K00794	sagc:DN94_03520
ko:K04567	sagc:DN94_03525
ko:K07025	sagc:DN94_03530
ko:K03976	sagc:DN94_03540
ko:K16899	sagc:DN94_04150
ko:K16898	sagc:DN94_04155
ko:K03650	sagc:DN94_04165
ko:K06158	sagc:DN94_04170
ko:K00161	sagc:DN94_04175
ko:K00162	sagc:DN94_04180
ko:K00627	sagc:DN94_04185
ko:K00382	sagc:DN94_04190
ko:K03800	sagc:DN94_04195
ko:K07009	sagc:DN94_04200
ko:K01928	sagc:DN94_04205
ko:K18672	sagc:DN94_04210
ko:K03431	sagc:DN94_04220
ko:K09952	sagc:DN94_04255
ko:K00940	sagc:DN94_04280
ko:K03596	sagc:DN94_04285
ko:K06950	sagc:DN94_04295
ko:K07305	sagc:DN94_04305
ko:K01990	sagc:DN94_04335
ko:K02337	sagc:DN94_04345
ko:K00850	sagc:DN94_04350
ko:K00873	sagc:DN94_04355
ko:K03100	sagc:DN94_04360
ko:K00820	sagc:DN94_04365
ko:K06193	sagc:DN94_04370
ko:K02029	sagc:DN94_04375
ko:K02028	sagc:DN94_04380
ko:K02030	sagc:DN94_04385
ko:K02968	sagc:DN94_04400
ko:K00867	sagc:DN94_04405
ko:K00564	sagc:DN94_04410
ko:K07335	sagc:DN94_04415
ko:K02057	sagc:DN94_04425
ko:K02057	sagc:DN94_04430
ko:K00016	sagc:DN94_04440
ko:K07704	sagc:DN94_04725
ko:K00948	sagc:DN94_05025
ko:K04487	sagc:DN94_05030
ko:K01926	sagc:DN94_05040
ko:K03630	sagc:DN94_05045
ko:K01223	sagc:DN94_05055
ko:K02372	sagc:DN94_05065
ko:K11069	sagc:DN94_05135
ko:K11070	sagc:DN94_05140
ko:K11071	sagc:DN94_05145
ko:K11072	sagc:DN94_05150
ko:K00075	sagc:DN94_05155
ko:K00950	sagc:DN94_05160
ko:K01633	sagc:DN94_05165
ko:K00796	sagc:DN94_05170
ko:K01495	sagc:DN94_05175
ko:K11754	sagc:DN94_05180
ko:K05786	sagc:DN94_05185
ko:K00872	sagc:DN94_05190
ko:K00003	sagc:DN94_05195
ko:K05020	sagc:DN94_05210
ko:K00135	sagc:DN94_05215
ko:K07729	sagc:DN94_05235
ko:K11065	sagc:DN94_05245
ko:K03657	sagc:DN94_05305
ko:K02614	sagc:DN94_05310
ko:K02824	sagc:DN94_05315
ko:K03930	sagc:DN94_05525
ko:K02240	sagc:DN94_00565
ko:K05808	sagc:DN94_00575
ko:K00928	sagc:DN94_00605
ko:K18474	sagc:DN94_00615
ko:K00648	sagc:DN94_00625
ko:K02078	sagc:DN94_00630
ko:K02371	sagc:DN94_00635
ko:K00645	sagc:DN94_00640
ko:K00059	sagc:DN94_00645
ko:K09458	sagc:DN94_00650
ko:K02160	sagc:DN94_00655
ko:K02372	sagc:DN94_00660
ko:K01961	sagc:DN94_00665
ko:K01963	sagc:DN94_00670
ko:K01962	sagc:DN94_00675
ko:K01875	sagc:DN94_00685
ko:K02795	sagc:DN94_00705
ko:K02793	sagc:DN94_00710
ko:K02794	sagc:DN94_00710
ko:K06901	sagc:DN94_00730
ko:K06925	sagc:DN94_00735
ko:K02503	sagc:DN94_00755
ko:K01990	sagc:DN94_00765
ko:K01992	sagc:DN94_00770
ko:K03439	sagc:DN94_00780
ko:K09748	sagc:DN94_00790
ko:K02600	sagc:DN94_00795
ko:K07742	sagc:DN94_00800
ko:K02519	sagc:DN94_00810
ko:K02834	sagc:DN94_00815
ko:K17686	sagc:DN94_00830
ko:K06929	sagc:DN94_00855
ko:K07273	sagc:DN94_03550
ko:K01595	sagc:DN94_03580
ko:K03588	sagc:DN94_03585
ko:K02358	sagc:DN94_03590
ko:K01803	sagc:DN94_03595
ko:K01834	sagc:DN94_03600
ko:K00687	sagc:DN94_03605
ko:K06187	sagc:DN94_03610
ko:K01921	sagc:DN94_03615
ko:K01929	sagc:DN94_03620
ko:K08177	sagc:DN94_03625
ko:K02837	sagc:DN94_03640
ko:K02071	sagc:DN94_03650
ko:K02072	sagc:DN94_03655
ko:K02073	sagc:DN94_03660
ko:K05592	sagc:DN94_03665
ko:K07461	sagc:DN94_03670
ko:K00655	sagc:DN94_03680
ko:K02237	sagc:DN94_03685
ko:K02238	sagc:DN94_03690
ko:K02340	sagc:DN94_03720
ko:K04564	sagc:DN94_03725
ko:K03488	sagc:DN94_03730
ko:K02755	sagc:DN94_09745
ko:K02756	sagc:DN94_09745
ko:K02757	sagc:DN94_09745
ko:K02755	sagc:DN94_09750
ko:K02756	sagc:DN94_09750
ko:K02757	sagc:DN94_09750
ko:K01223	sagc:DN94_03740
ko:K02647	sagc:DN94_03745
ko:K00865	sagc:DN94_03750
ko:K03299	sagc:DN94_03755
ko:K07568	sagc:DN94_03770
ko:K02564	sagc:DN94_03780
ko:K07393	sagc:DN94_03785
ko:K06183	sagc:DN94_03790
ko:K06198	sagc:DN94_03800
ko:K08602	sagc:DN94_03805
ko:K07533	sagc:DN94_03820
ko:K01872	sagc:DN94_03830
ko:K07150	sagc:DN94_03835
ko:K07729	sagc:DN94_03855
ko:K16789	sagc:DN94_03865
ko:K11189	sagc:DN94_03885
ko:K08483	sagc:DN94_03890
ko:K00131	sagc:DN94_03895
ko:K00876	sagc:DN94_03910
ko:K02343	sagc:DN94_03920
ko:K03524	sagc:DN94_03930
ko:K07012	sagc:DN94_02505
ko:K18888	sagc:DN94_05905
ko:K14234	sagc:DN94_02370
ko:K14237	sagc:DN94_00100
ko:K01978	sagc:DN94_10390
ko:K14229	sagc:DN94_00990
ko:K03790	sagc:DN94_00185
ko:K14237	sagc:DN94_00980
ko:K14237	sagc:DN94_02240
ko:K14237	sagc:DN94_01455
ko:K14237	sagc:DN94_00135
ko:K14223	sagc:DN94_00170
ko:K14223	sagc:DN94_05355
ko:K14223	sagc:DN94_06010
ko:K14223	sagc:DN94_01485
ko:K14225	sagc:DN94_00105
ko:K14225	sagc:DN94_01050
ko:K14225	sagc:DN94_02245
ko:K14225	sagc:DN94_01005
ko:K01980	sagc:DN94_00090
ko:K01980	sagc:DN94_01435
ko:K01980	sagc:DN94_02230
ko:K01980	sagc:DN94_01835
ko:K01980	sagc:DN94_00590
ko:K14221	sagc:DN94_00985
ko:K14232	sagc:DN94_01020
ko:K14232	sagc:DN94_01450
ko:K14231	sagc:DN94_00150
ko:K14231	sagc:DN94_01465
ko:K14231	sagc:DN94_01045
ko:K01071	sagc:DN94_04240
ko:K14229	sagc:DN94_08710
ko:K14219	sagc:DN94_05345
ko:K14219	sagc:DN94_09355
ko:K14235	sagc:DN94_00160
ko:K14235	sagc:DN94_01475
ko:K01985	sagc:DN94_00095
ko:K01985	sagc:DN94_02235
ko:K01985	sagc:DN94_01840
ko:K01985	sagc:DN94_00595
ko:K01985	sagc:DN94_00975
ko:K14227	sagc:DN94_00110
ko:K14227	sagc:DN94_01055
ko:K14227	sagc:DN94_02250
ko:K14236	sagc:DN94_00155
ko:K14236	sagc:DN94_01470
ko:K14226	sagc:DN94_00165
ko:K14226	sagc:DN94_01480
ko:K14220	sagc:DN94_00600
ko:K14220	sagc:DN94_09345
ko:K14222	sagc:DN94_08265
ko:K14233	sagc:DN94_00120
ko:K14233	sagc:DN94_01035
ko:K14233	sagc:DN94_00140
ko:K14233	sagc:DN94_00785
ko:K14233	sagc:DN94_01060
ko:K14230	sagc:DN94_01025
ko:K14224	sagc:DN94_00115
ko:K14224	sagc:DN94_02255
ko:K14224	sagc:DN94_09350
ko:K14224	sagc:DN94_06005
ko:K14228	sagc:DN94_00175
ko:K14228	sagc:DN94_01490
ko:K14228	sagc:DN94_01010
ko:K14228	sagc:DN94_00995
ko:K14228	sagc:DN94_01605
ko:K14219	sagc:DN94_01015
ko:K14219	sagc:DN94_01445
ko:K14219	sagc:DN94_03000
ko:K14236	sagc:DN94_05360
ko:K18887	sagc:DN94_05910
ko:K03111	sagc:DN94_01975
ko:K07029	sagc:DN94_04040
ko:K19002	sagc:DN94_03325
ko:K19055	sagc:DN94_06895
ko:K18979	sagc:DN94_02875
ko:K03111	sagc:DN94_07655
ko:K05593	sagc:DN94_08730
ko:K13052	sagc:DN94_00050
ko:K19005	sagc:DN94_06140
ko:K19117	sagc:DN94_02515
ko:K09951	sagc:DN94_04265
ko:K19119	sagc:DN94_02510
ko:K08652	sagc:DN94_02285
ko:K02476	sagc:DN94_08405
ko:K02475	sagc:DN94_08410
ko:K09951	sagc:DN94_02525
ko:K05881	sagc:DN94_07370
ko:K01710	sagc:DN94_05590
ko:K01897	sagc:DN94_02630
ko:K01239	sagc:DN94_02930
ko:K03722	sagc:DN94_02910
ko:K01992	sagc:DN94_00210
ko:K19302	sagc:DN94_06245
ko:K04771	sagc:DN94_09365
ko:K06881	sagc:DN94_02970
ko:K01654	sagc:DN94_05425
ko:K00887	sagc:DN94_06700
ko:K02796	sagc:DN94_00700
ko:K02796	sagc:DN94_08540
ko:K01271	sagc:DN94_03305
ko:K00526	sagc:DN94_03870
ko:K19689	sagc:DN94_06580
ko:K00297	sagc:DN94_08800
ko:K00547	sagc:DN94_08800
ko:K21636	sagc:DN94_08980
ko:K11706	sagc:DN94_06830
ko:K20074	sagc:DN94_00490
ko:K12132	sagc:DN94_00495
ko:K20073	sagc:DN94_00425
ko:K20112	sagc:DN94_08470
ko:K02777	sagc:DN94_08605
ko:K20107	sagc:DN94_08605
ko:K20108	sagc:DN94_08605
ko:K20113	sagc:DN94_08465
ko:K20342	sagc:DN94_01235
ko:K20373	sagc:DN94_06665
ko:K00525	sagc:DN94_03875
ko:K00526	sagc:DN94_02295
ko:K18889	sagc:DN94_02595
ko:K18890	sagc:DN94_02600
ko:K12990	sagc:DN94_06275
ko:K02525	sagc:DN94_08130
ko:K01200	sagc:DN94_04045
ko:K01977	sagc:DN94_00080
ko:K01977	sagc:DN94_02220
ko:K01977	sagc:DN94_01825
ko:K01977	sagc:DN94_00580
ko:K01977	sagc:DN94_01425
ko:K01977	sagc:DN94_00960
ko:K14218	sagc:DN94_00085
ko:K14218	sagc:DN94_01430
ko:K14218	sagc:DN94_01830
ko:K14218	sagc:DN94_00965
ko:K14218	sagc:DN94_02225
ko:K14232	sagc:DN94_00130
ko:K14234	sagc:DN94_01000
ko:K21064	sagc:DN94_00715
ko:K08968	sagc:DN94_03915
ko:K00525	sagc:DN94_02305
ko:K00287	sagc:DN94_05800
ko:K00560	sagc:DN94_05805
ko:K02316	sagc:DN94_06355
ko:K06217	sagc:DN94_06725
ko:K01493	sagc:DN94_07615
ko:K04068	sagc:DN94_08960
ko:K03553	sagc:DN94_09015
ko:K02314	sagc:DN94_09175
ko:K06191	sagc:DN94_03880
ko:K00857	sagc:DN94_04935
ko:K01520	sagc:DN94_01610
ko:K01286	sagc:DN94_01790
ko:K00558	sagc:DN94_03070
ko:K02335	sagc:DN94_00850
ko:K00571	sagc:DN94_01915
ko:K01759	sagc:DN94_06870
ko:K01101	sagc:DN94_04245
ko:K21471	sagc:DN94_01065
ko:K21567	sagc:DN94_05990
ko:K21828	sagc:DN94_09285
ko:K21977	sagc:DN94_04875
ko:K22044	sagc:DN94_01580
ko:K00015	sagc:DN94_08120
ko:K03595	sagc:DN94_06695
ko:K03078	sagc:DN94_08150
ko:K22278	sagc:DN94_03900
ko:K17758	sagc:DN94_02765
ko:K03077	sagc:DN94_08140
ko:K03079	sagc:DN94_08145
ko:K22457	sagc:DN94_02915
