ko:K16238	bthl:BG87_600
ko:K02655	bthl:BG87_1273
ko:K00252	bthl:BG87_1278
ko:K05712	bthl:BG87_1284
ko:K08195	bthl:BG87_1286
ko:K00451	bthl:BG87_1287
ko:K01555	bthl:BG87_1288
ko:K04719	bthl:BG87_1291
ko:K03778	bthl:BG87_1292
ko:K07506	bthl:BG87_1295
ko:K13481	bthl:BG87_1298
ko:K13482	bthl:BG87_1299
ko:K02014	bthl:BG87_1302
ko:K02013	bthl:BG87_1303
ko:K02016	bthl:BG87_1304
ko:K02015	bthl:BG87_1305
ko:K13771	bthl:BG87_2105
ko:K03695	bthl:BG87_2106
ko:K01607	bthl:BG87_2110
ko:K03327	bthl:BG87_2111
ko:K02909	bthl:BG87_2113
ko:K09933	bthl:BG87_2114
ko:K03628	bthl:BG87_2117
ko:K03671	bthl:BG87_2118
ko:K02343	bthl:BG87_2119
ko:K09747	bthl:BG87_2120
ko:K06187	bthl:BG87_2121
ko:K03787	bthl:BG87_2123
ko:K00573	bthl:BG87_2124
ko:K06194	bthl:BG87_2125
ko:K03087	bthl:BG87_2126
ko:K07501	bthl:BG87_2127
ko:K03215	bthl:BG87_2129
ko:K00940	bthl:BG87_2131
ko:K06941	bthl:BG87_2132
ko:K15539	bthl:BG87_2133
ko:K03526	bthl:BG87_2134
ko:K01892	bthl:BG87_2135
ko:K17713	bthl:BG87_2137
ko:K03977	bthl:BG87_2138
ko:K03666	bthl:BG87_2139
ko:K03665	bthl:BG87_2140
ko:K04088	bthl:BG87_2141
ko:K04087	bthl:BG87_2142
ko:K09937	bthl:BG87_2143
ko:K02502	bthl:BG87_2144
ko:K01939	bthl:BG87_2145
ko:K07101	bthl:BG87_2146
ko:K03549	bthl:BG87_2147
ko:K06959	bthl:BG87_2148
ko:K03722	bthl:BG87_2151
ko:K05807	bthl:BG87_2152
ko:K06180	bthl:BG87_2153
ko:K05810	bthl:BG87_2154
ko:K03821	bthl:BG87_2155
ko:K00626	bthl:BG87_2156
ko:K00023	bthl:BG87_2157
ko:K03181	bthl:BG87_2939
ko:K04079	bthl:BG87_2940
ko:K05825	bthl:BG87_2944
ko:K07240	bthl:BG87_2948
ko:K06016	bthl:BG87_2950
ko:K02621	bthl:BG87_2954
ko:K02622	bthl:BG87_2955
ko:K15738	bthl:BG87_2956
ko:K06992	bthl:BG87_2962
ko:K07262	bthl:BG87_2988
ko:K08276	bthl:BG87_2989
ko:K09803	bthl:BG87_3786
ko:K08369	bthl:BG87_3816
ko:K02167	bthl:BG87_3820
ko:K18100	bthl:BG87_3821
ko:K18101	bthl:BG87_3822
ko:K12990	bthl:BG87_3824
ko:K03543	bthl:BG87_3826
ko:K01322	bthl:BG87_3828
ko:K07112	bthl:BG87_3831
ko:K07112	bthl:BG87_3832
ko:K12990	bthl:BG87_4617
ko:K18101	bthl:BG87_4619
ko:K18100	bthl:BG87_4620
ko:K11891	bthl:BG87_4624
ko:K11892	bthl:BG87_4625
ko:K11893	bthl:BG87_4626
ko:K11906	bthl:BG87_4627
ko:K11904	bthl:BG87_4632
ko:K11904	bthl:BG87_4633
ko:K11907	bthl:BG87_4634
ko:K11895	bthl:BG87_4635
ko:K11896	bthl:BG87_4636
ko:K11897	bthl:BG87_4637
ko:K11903	bthl:BG87_4638
ko:K11900	bthl:BG87_4639
ko:K11902	bthl:BG87_4641
ko:K18118	bthl:BG87_4642
ko:K01841	bthl:BG87_4647
ko:K09459	bthl:BG87_4648
ko:K03430	bthl:BG87_4649
ko:K07552	bthl:BG87_4654
ko:K00375	bthl:BG87_4655
ko:K03386	bthl:BG87_4666
ko:K03387	bthl:BG87_4667
ko:K04940	bthl:BG87_5460
ko:K00074	bthl:BG87_5461
ko:K08068	bthl:BG87_5465
ko:K00820	bthl:BG87_5472
ko:K00046	bthl:BG87_5473
ko:K00851	bthl:BG87_5475
ko:K07497	bthl:BG87_5479
ko:K07497	bthl:BG87_5480
ko:K00240	bthl:BG87_5487
ko:K07497	bthl:BG87_5491
ko:K07483	bthl:BG87_5492
ko:K01467	bthl:BG87_5497
ko:K19209	bthl:BG87_5498
ko:K07644	bthl:BG87_5500
ko:K07665	bthl:BG87_5501
ko:K14645	bthl:BG87_5503
ko:K01281	bthl:BG87_5504
ko:K03086	bthl:BG87_456
ko:K01919	bthl:BG87_457
ko:K01247	bthl:BG87_458
ko:K10778	bthl:BG87_459
ko:K08234	bthl:BG87_460
ko:K00657	bthl:BG87_463
ko:K07483	bthl:BG87_467
ko:K03497	bthl:BG87_468
ko:K03781	bthl:BG87_473
ko:K03088	bthl:BG87_474
ko:K01782	bthl:BG87_481
ko:K00626	bthl:BG87_482
ko:K02616	bthl:BG87_485
ko:K10947	bthl:BG87_488
ko:K06893	bthl:BG87_492
ko:K01999	bthl:BG87_494
ko:K01997	bthl:BG87_495
ko:K01998	bthl:BG87_496
ko:K01995	bthl:BG87_497
ko:K01996	bthl:BG87_498
ko:K07518	bthl:BG87_1310
ko:K07090	bthl:BG87_1312
ko:K01126	bthl:BG87_1314
ko:K07275	bthl:BG87_1322
ko:K07483	bthl:BG87_1332
ko:K07025	bthl:BG87_1333
ko:K03657	bthl:BG87_1334
ko:K07483	bthl:BG87_1340
ko:K07483	bthl:BG87_1348
ko:K07497	bthl:BG87_1351
ko:K07483	bthl:BG87_1353
ko:K04078	bthl:BG87_1356
ko:K04077	bthl:BG87_1357
ko:K00941	bthl:BG87_1358
ko:K07735	bthl:BG87_1361
ko:K07447	bthl:BG87_1362
ko:K02825	bthl:BG87_1363
ko:K00609	bthl:BG87_1364
ko:K01465	bthl:BG87_1365
ko:K14441	bthl:BG87_2159
ko:K00874	bthl:BG87_2160
ko:K00626	bthl:BG87_2161
ko:K01760	bthl:BG87_2163
ko:K01079	bthl:BG87_2164
ko:K02069	bthl:BG87_2166
ko:K02068	bthl:BG87_2167
ko:K07290	bthl:BG87_2168
ko:K00128	bthl:BG87_2171
ko:K00459	bthl:BG87_2172
ko:K07275	bthl:BG87_2173
ko:K06938	bthl:BG87_2174
ko:K03322	bthl:BG87_2175
ko:K11073	bthl:BG87_2176
ko:K11076	bthl:BG87_2177
ko:K11075	bthl:BG87_2178
ko:K11074	bthl:BG87_2179
ko:K07090	bthl:BG87_2180
ko:K17218	bthl:BG87_2181
ko:K07727	bthl:BG87_2185
ko:K03281	bthl:BG87_2191
ko:K00874	bthl:BG87_2196
ko:K00090	bthl:BG87_2198
ko:K02525	bthl:BG87_2199
ko:K06910	bthl:BG87_2993
ko:K08169	bthl:BG87_2994
ko:K00697	bthl:BG87_2997
ko:K02049	bthl:BG87_3001
ko:K02050	bthl:BG87_3002
ko:K07638	bthl:BG87_3004
ko:K07659	bthl:BG87_3005
ko:K06911	bthl:BG87_3007
ko:K10014	bthl:BG87_3008
ko:K10016	bthl:BG87_3009
ko:K10015	bthl:BG87_3010
ko:K10017	bthl:BG87_3011
ko:K04751	bthl:BG87_3015
ko:K01950	bthl:BG87_3016
ko:K09919	bthl:BG87_3017
ko:K07461	bthl:BG87_3019
ko:K01507	bthl:BG87_3020
ko:K00128	bthl:BG87_3021
ko:K00059	bthl:BG87_3022
ko:K02498	bthl:BG87_3024
ko:K13543	bthl:BG87_3025
ko:K01749	bthl:BG87_3026
ko:K01595	bthl:BG87_3027
ko:K07346	bthl:BG87_3032
ko:K07347	bthl:BG87_3033
ko:K01755	bthl:BG87_3034
ko:K01584	bthl:BG87_3037
ko:K01494	bthl:BG87_3038
ko:K04565	bthl:BG87_3039
ko:K03593	bthl:BG87_3040
ko:K01874	bthl:BG87_3042
ko:K03710	bthl:BG87_3841
ko:K01091	bthl:BG87_3843
ko:K01114	bthl:BG87_3850
ko:K02168	bthl:BG87_3853
ko:K13051	bthl:BG87_3855
ko:K13892	bthl:BG87_3856
ko:K13889	bthl:BG87_3857
ko:K13890	bthl:BG87_3858
ko:K13891	bthl:BG87_3859
ko:K01266	bthl:BG87_3860
ko:K16203	bthl:BG87_3861
ko:K00448	bthl:BG87_3862
ko:K00449	bthl:BG87_3863
ko:K02623	bthl:BG87_3864
ko:K01626	bthl:BG87_3868
ko:K16263	bthl:BG87_3871
ko:K03724	bthl:BG87_3872
ko:K00681	bthl:BG87_3875
ko:K12340	bthl:BG87_3876
ko:K13409	bthl:BG87_3879
ko:K13408	bthl:BG87_3881
ko:K01754	bthl:BG87_3885
ko:K00648	bthl:BG87_4672
ko:K08295	bthl:BG87_4675
ko:K04077	bthl:BG87_4678
ko:K04078	bthl:BG87_4679
ko:K01480	bthl:BG87_4681
ko:K09472	bthl:BG87_4682
ko:K07010	bthl:BG87_4685
ko:K01915	bthl:BG87_4686
ko:K12256	bthl:BG87_4687
ko:K11073	bthl:BG87_4688
ko:K11076	bthl:BG87_4689
ko:K11075	bthl:BG87_4690
ko:K11074	bthl:BG87_4691
ko:K09471	bthl:BG87_4694
ko:K07245	bthl:BG87_4696
ko:K07156	bthl:BG87_4697
ko:K02347	bthl:BG87_4703
ko:K07262	bthl:BG87_4704
ko:K06911	bthl:BG87_4708
ko:K01158	bthl:BG87_5513
ko:K16692	bthl:BG87_5518
ko:K05999	bthl:BG87_5524
ko:K00799	bthl:BG87_5532
ko:K07006	bthl:BG87_5533
ko:K03317	bthl:BG87_5534
ko:K01619	bthl:BG87_5535
ko:K00758	bthl:BG87_5537
ko:K01489	bthl:BG87_5538
ko:K16370	bthl:BG87_5540
ko:K00925	bthl:BG87_5541
ko:K00625	bthl:BG87_5542
ko:K03821	bthl:BG87_5543
ko:K02112	bthl:BG87_5544
ko:K02114	bthl:BG87_5545
ko:K02116	bthl:BG87_5546
ko:K02108	bthl:BG87_5548
ko:K02110	bthl:BG87_5549
ko:K02109	bthl:BG87_5550
ko:K02111	bthl:BG87_5551
ko:K02115	bthl:BG87_5552
ko:K13953	bthl:BG87_5553
ko:K01156	bthl:BG87_501
ko:K07316	bthl:BG87_502
ko:K07649	bthl:BG87_505
ko:K02050	bthl:BG87_506
ko:K02049	bthl:BG87_507
ko:K02051	bthl:BG87_508
ko:K02421	bthl:BG87_511
ko:K02420	bthl:BG87_512
ko:K02419	bthl:BG87_513
ko:K02418	bthl:BG87_514
ko:K02417	bthl:BG87_515
ko:K02416	bthl:BG87_516
ko:K02415	bthl:BG87_517
ko:K06518	bthl:BG87_519
ko:K03446	bthl:BG87_521
ko:K02463	bthl:BG87_525
ko:K02462	bthl:BG87_526
ko:K02461	bthl:BG87_527
ko:K02460	bthl:BG87_528
ko:K02459	bthl:BG87_529
ko:K02458	bthl:BG87_530
ko:K02457	bthl:BG87_531
ko:K02456	bthl:BG87_532
ko:K02452	bthl:BG87_533
ko:K02455	bthl:BG87_534
ko:K02454	bthl:BG87_535
ko:K02453	bthl:BG87_536
ko:K03530	bthl:BG87_539
ko:K15461	bthl:BG87_540
ko:K06048	bthl:BG87_542
ko:K01951	bthl:BG87_544
ko:K07117	bthl:BG87_546
ko:K01724	bthl:BG87_550
ko:K00500	bthl:BG87_551
ko:K00655	bthl:BG87_1366
ko:K01525	bthl:BG87_1367
ko:K01710	bthl:BG87_1368
ko:K00973	bthl:BG87_1369
ko:K01790	bthl:BG87_1370
ko:K00067	bthl:BG87_1371
ko:K17947	bthl:BG87_1375
ko:K01784	bthl:BG87_1380
ko:K15778	bthl:BG87_1385
ko:K02841	bthl:BG87_1386
ko:K02527	bthl:BG87_1388
ko:K03189	bthl:BG87_1389
ko:K03188	bthl:BG87_1390
ko:K03187	bthl:BG87_1391
ko:K01428	bthl:BG87_1392
ko:K01429	bthl:BG87_1393
ko:K01430	bthl:BG87_1394
ko:K03190	bthl:BG87_1395
ko:K11963	bthl:BG87_1396
ko:K11962	bthl:BG87_1397
ko:K11961	bthl:BG87_1398
ko:K11960	bthl:BG87_1399
ko:K11959	bthl:BG87_1400
ko:K00822	bthl:BG87_1401
ko:K00573	bthl:BG87_1403
ko:K06940	bthl:BG87_1406
ko:K06153	bthl:BG87_1408
ko:K03439	bthl:BG87_1409
ko:K03284	bthl:BG87_2212
ko:K09780	bthl:BG87_2213
ko:K19339	bthl:BG87_2218
ko:K19342	bthl:BG87_2222
ko:K19341	bthl:BG87_2223
ko:K19340	bthl:BG87_2224
ko:K07218	bthl:BG87_2225
ko:K00376	bthl:BG87_2226
ko:K03734	bthl:BG87_2227
ko:K01990	bthl:BG87_2228
ko:K01992	bthl:BG87_2229
ko:K13954	bthl:BG87_2237
ko:K01785	bthl:BG87_2238
ko:K02529	bthl:BG87_2239
ko:K01805	bthl:BG87_2240
ko:K10543	bthl:BG87_2241
ko:K10545	bthl:BG87_2242
ko:K10544	bthl:BG87_2243
ko:K02058	bthl:BG87_2244
ko:K02056	bthl:BG87_2245
ko:K02057	bthl:BG87_2246
ko:K02057	bthl:BG87_2247
ko:K07481	bthl:BG87_2251
ko:K19246	bthl:BG87_2254
ko:K09800	bthl:BG87_3045
ko:K07278	bthl:BG87_3046
ko:K05896	bthl:BG87_3048
ko:K01918	bthl:BG87_3049
ko:K01579	bthl:BG87_3050
ko:K03496	bthl:BG87_3051
ko:K15977	bthl:BG87_3052
ko:K02232	bthl:BG87_3053
ko:K02231	bthl:BG87_3054
ko:K02227	bthl:BG87_3055
ko:K02225	bthl:BG87_3056
ko:K00013	bthl:BG87_893
ko:K00817	bthl:BG87_894
ko:K01693	bthl:BG87_895
ko:K05595	bthl:BG87_896
ko:K02501	bthl:BG87_897
ko:K01814	bthl:BG87_898
ko:K02500	bthl:BG87_899
ko:K01496	bthl:BG87_900
ko:K01523	bthl:BG87_901
ko:K02503	bthl:BG87_903
ko:K03116	bthl:BG87_904
ko:K03117	bthl:BG87_905
ko:K03118	bthl:BG87_906
ko:K04772	bthl:BG87_907
ko:K00411	bthl:BG87_909
ko:K00412	bthl:BG87_910
ko:K00413	bthl:BG87_911
ko:K03599	bthl:BG87_912
ko:K03600	bthl:BG87_913
ko:K07497	bthl:BG87_915
ko:K11892	bthl:BG87_916
ko:K11893	bthl:BG87_917
ko:K11906	bthl:BG87_918
ko:K11901	bthl:BG87_920
ko:K11900	bthl:BG87_921
ko:K11903	bthl:BG87_922
ko:K11897	bthl:BG87_923
ko:K11896	bthl:BG87_924
ko:K11895	bthl:BG87_925
ko:K11907	bthl:BG87_926
ko:K11902	bthl:BG87_927
ko:K03286	bthl:BG87_928
ko:K11890	bthl:BG87_929
ko:K11891	bthl:BG87_930
ko:K12340	bthl:BG87_933
ko:K13409	bthl:BG87_934
ko:K13408	bthl:BG87_935
ko:K01256	bthl:BG87_938
ko:K09941	bthl:BG87_943
ko:K14682	bthl:BG87_1742
ko:K03578	bthl:BG87_1743
ko:K01915	bthl:BG87_1749
ko:K07708	bthl:BG87_1750
ko:K07712	bthl:BG87_1751
ko:K01142	bthl:BG87_1752
ko:K07684	bthl:BG87_1754
ko:K07673	bthl:BG87_1755
ko:K00374	bthl:BG87_1756
ko:K00373	bthl:BG87_1757
ko:K00371	bthl:BG87_1758
ko:K00370	bthl:BG87_1759
ko:K02575	bthl:BG87_1760
ko:K02575	bthl:BG87_1761
ko:K02346	bthl:BG87_1764
ko:K01414	bthl:BG87_1765
ko:K01491	bthl:BG87_1766
ko:K00163	bthl:BG87_1769
ko:K00627	bthl:BG87_1770
ko:K00382	bthl:BG87_1771
ko:K07262	bthl:BG87_1773
ko:K18928	bthl:BG87_1775
ko:K01104	bthl:BG87_1778
ko:K13643	bthl:BG87_1779
ko:K04487	bthl:BG87_1780
ko:K04488	bthl:BG87_1781
ko:K13628	bthl:BG87_1782
ko:K04082	bthl:BG87_1783
ko:K04044	bthl:BG87_1784
ko:K04755	bthl:BG87_1785
ko:K04567	bthl:BG87_1788
ko:K07347	bthl:BG87_2570
ko:K07346	bthl:BG87_2571
ko:K03746	bthl:BG87_2578
ko:K03322	bthl:BG87_2579
ko:K07483	bthl:BG87_2582
ko:K11896	bthl:BG87_2603
ko:K05973	bthl:BG87_2606
ko:K03762	bthl:BG87_2607
ko:K03830	bthl:BG87_2610
ko:K03657	bthl:BG87_2611
ko:K07326	bthl:BG87_2613
ko:K15125	bthl:BG87_2616
ko:K00242	bthl:BG87_3408
ko:K00239	bthl:BG87_3409
ko:K00240	bthl:BG87_3410
ko:K09159	bthl:BG87_3411
ko:K01647	bthl:BG87_3412
ko:K00163	bthl:BG87_3416
ko:K01703	bthl:BG87_3418
ko:K01704	bthl:BG87_3420
ko:K00052	bthl:BG87_3421
ko:K00133	bthl:BG87_3422
ko:K06173	bthl:BG87_3424
ko:K01817	bthl:BG87_3425
ko:K01696	bthl:BG87_3426
ko:K01695	bthl:BG87_3428
ko:K01963	bthl:BG87_3429
ko:K11754	bthl:BG87_3430
ko:K03749	bthl:BG87_3431
ko:K03558	bthl:BG87_3432
ko:K00764	bthl:BG87_3433
ko:K10764	bthl:BG87_3434
ko:K01711	bthl:BG87_3437
ko:K00963	bthl:BG87_3444
ko:K07058	bthl:BG87_3449
ko:K06987	bthl:BG87_3451
ko:K00123	bthl:BG87_3453
ko:K00123	bthl:BG87_3454
ko:K00124	bthl:BG87_3455
ko:K00127	bthl:BG87_3456
ko:K02380	bthl:BG87_3457
ko:K01042	bthl:BG87_3458
ko:K01497	bthl:BG87_4256
ko:K06140	bthl:BG87_4260
ko:K00059	bthl:BG87_4281
ko:K07396	bthl:BG87_4284
ko:K02407	bthl:BG87_4286
ko:K06016	bthl:BG87_4290
ko:K01999	bthl:BG87_4292
ko:K10844	bthl:BG87_4294
ko:K00852	bthl:BG87_4297
ko:K07044	bthl:BG87_4299
ko:K03746	bthl:BG87_4301
ko:K02004	bthl:BG87_5087
ko:K02003	bthl:BG87_5088
ko:K07003	bthl:BG87_5093
ko:K04754	bthl:BG87_5094
ko:K01607	bthl:BG87_5095
ko:K10038	bthl:BG87_5098
ko:K10037	bthl:BG87_5099
ko:K10036	bthl:BG87_5100
ko:K06045	bthl:BG87_5103
ko:K03410	bthl:BG87_5108
ko:K03088	bthl:BG87_5112
ko:K00537	bthl:BG87_5114
ko:K03496	bthl:BG87_5115
ko:K03497	bthl:BG87_5116
ko:K00639	bthl:BG87_5122
ko:K00060	bthl:BG87_5123
ko:K09958	bthl:BG87_5129
ko:K07246	bthl:BG87_5131
ko:K16135	bthl:BG87_5132
ko:K00799	bthl:BG87_5134
ko:K07001	bthl:BG87_5136
ko:K02016	bthl:BG87_3057
ko:K02226	bthl:BG87_3058
ko:K02233	bthl:BG87_3059
ko:K00768	bthl:BG87_3060
ko:K02013	bthl:BG87_3061
ko:K02015	bthl:BG87_3062
ko:K16092	bthl:BG87_3063
ko:K09888	bthl:BG87_3065
ko:K13292	bthl:BG87_3068
ko:K01687	bthl:BG87_3070
ko:K08738	bthl:BG87_3071
ko:K02339	bthl:BG87_3073
ko:K01255	bthl:BG87_3074
ko:K07091	bthl:BG87_3075
ko:K11720	bthl:BG87_3076
ko:K02303	bthl:BG87_3078
ko:K00956	bthl:BG87_3079
ko:K00957	bthl:BG87_3080
ko:K00390	bthl:BG87_3081
ko:K00381	bthl:BG87_3083
ko:K13634	bthl:BG87_3084
ko:K02529	bthl:BG87_3085
ko:K01628	bthl:BG87_3093
ko:K00059	bthl:BG87_3894
ko:K01779	bthl:BG87_3896
ko:K02002	bthl:BG87_3898
ko:K02303	bthl:BG87_3907
ko:K02575	bthl:BG87_3908
ko:K00362	bthl:BG87_3909
ko:K00363	bthl:BG87_3910
ko:K00380	bthl:BG87_3911
ko:K00854	bthl:BG87_3913
ko:K10112	bthl:BG87_3915
ko:K05351	bthl:BG87_3916
ko:K02026	bthl:BG87_3917
ko:K02025	bthl:BG87_3918
ko:K02027	bthl:BG87_3919
ko:K07044	bthl:BG87_3933
ko:K03455	bthl:BG87_3934
ko:K02058	bthl:BG87_3936
ko:K03587	bthl:BG87_3937
ko:K12452	bthl:BG87_4721
ko:K01709	bthl:BG87_4722
ko:K00978	bthl:BG87_4723
ko:K01652	bthl:BG87_4729
ko:K14060	bthl:BG87_4739
ko:K01939	bthl:BG87_4742
ko:K07733	bthl:BG87_4744
ko:K14393	bthl:BG87_4750
ko:K01895	bthl:BG87_4752
ko:K01676	bthl:BG87_4755
ko:K03594	bthl:BG87_4756
ko:K01776	bthl:BG87_4757
ko:K02192	bthl:BG87_4758
ko:K03832	bthl:BG87_4759
ko:K03561	bthl:BG87_4760
ko:K03559	bthl:BG87_4761
ko:K06911	bthl:BG87_4763
ko:K07243	bthl:BG87_4768
ko:K07230	bthl:BG87_4770
ko:K03702	bthl:BG87_4771
ko:K00832	bthl:BG87_4772
ko:K01992	bthl:BG87_5562
ko:K13926	bthl:BG87_5563
ko:K01993	bthl:BG87_5564
ko:K02004	bthl:BG87_5569
ko:K02003	bthl:BG87_5570
ko:K02005	bthl:BG87_5571
ko:K03406	bthl:BG87_5574
ko:K00860	bthl:BG87_5575
ko:K06966	bthl:BG87_5580
ko:K13953	bthl:BG87_5585
ko:K00023	bthl:BG87_5587
ko:K07576	bthl:BG87_5588
ko:K07044	bthl:BG87_5589
ko:K11733	bthl:BG87_5590
ko:K05783	bthl:BG87_5596
ko:K05784	bthl:BG87_5597
ko:K05550	bthl:BG87_5598
ko:K05549	bthl:BG87_5599
ko:K00219	bthl:BG87_5603
ko:K02297	bthl:BG87_5604
ko:K02298	bthl:BG87_5605
ko:K02299	bthl:BG87_5606
ko:K02300	bthl:BG87_5607
ko:K03464	bthl:BG87_5608
ko:K01991	bthl:BG87_6
ko:K03606	bthl:BG87_7
ko:K01192	bthl:BG87_14
ko:K16011	bthl:BG87_20
ko:K09136	bthl:BG87_25
ko:K03111	bthl:BG87_43
ko:K03701	bthl:BG87_45
ko:K01433	bthl:BG87_47
ko:K00759	bthl:BG87_50
ko:K03455	bthl:BG87_51
ko:K06041	bthl:BG87_52
ko:K03270	bthl:BG87_53
ko:K11719	bthl:BG87_54
ko:K09774	bthl:BG87_55
ko:K06861	bthl:BG87_56
ko:K03092	bthl:BG87_57
ko:K05808	bthl:BG87_58
ko:K02806	bthl:BG87_59
ko:K06023	bthl:BG87_60
ko:K06958	bthl:BG87_61
ko:K07157	bthl:BG87_62
ko:K03575	bthl:BG87_63
ko:K10563	bthl:BG87_64
ko:K02494	bthl:BG87_66
ko:K00919	bthl:BG87_67
ko:K00948	bthl:BG87_69
ko:K02897	bthl:BG87_70
ko:K01056	bthl:BG87_71
ko:K00817	bthl:BG87_72
ko:K00954	bthl:BG87_74
ko:K03110	bthl:BG87_76
ko:K00362	bthl:BG87_78
ko:K00363	bthl:BG87_79
ko:K00372	bthl:BG87_80
ko:K01649	bthl:BG87_83
ko:K03089	bthl:BG87_86
ko:K00425	bthl:BG87_88
ko:K00426	bthl:BG87_89
ko:K12373	bthl:BG87_92
ko:K02803	bthl:BG87_93
ko:K02804	bthl:BG87_93
ko:K02768	bthl:BG87_94
ko:K08483	bthl:BG87_94
ko:K11183	bthl:BG87_94
ko:K00820	bthl:BG87_95
ko:K01443	bthl:BG87_96
ko:K03710	bthl:BG87_97
ko:K14162	bthl:BG87_98
ko:K14161	bthl:BG87_99
ko:K14160	bthl:BG87_100
ko:K05833	bthl:BG87_101
ko:K05832	bthl:BG87_102
ko:K01989	bthl:BG87_103
ko:K02073	bthl:BG87_104
ko:K03406	bthl:BG87_105
ko:K07152	bthl:BG87_107
ko:K02259	bthl:BG87_109
ko:K02276	bthl:BG87_113
ko:K02258	bthl:BG87_115
ko:K02274	bthl:BG87_116
ko:K02275	bthl:BG87_117
ko:K02169	bthl:BG87_119
ko:K03216	bthl:BG87_121
ko:K00057	bthl:BG87_123
ko:K03071	bthl:BG87_124
ko:K01834	bthl:BG87_127
ko:K03797	bthl:BG87_128
ko:K08483	bthl:BG87_130
ko:K11189	bthl:BG87_131
ko:K02821	bthl:BG87_132
ko:K01920	bthl:BG87_133
ko:K01919	bthl:BG87_134
ko:K03320	bthl:BG87_135
ko:K04752	bthl:BG87_136
ko:K09806	bthl:BG87_137
ko:K07391	bthl:BG87_138
ko:K10126	bthl:BG87_142
ko:K10125	bthl:BG87_143
ko:K11103	bthl:BG87_144
ko:K14393	bthl:BG87_145
ko:K00681	bthl:BG87_153
ko:K03644	bthl:BG87_156
ko:K03801	bthl:BG87_157
ko:K03566	bthl:BG87_159
ko:K09158	bthl:BG87_160
ko:K00824	bthl:BG87_161
ko:K07258	bthl:BG87_162
ko:K07018	bthl:BG87_163
ko:K18480	bthl:BG87_166
ko:K02067	bthl:BG87_167
ko:K02065	bthl:BG87_168
ko:K02066	bthl:BG87_169
ko:K01119	bthl:BG87_170
ko:K03524	bthl:BG87_172
ko:K03525	bthl:BG87_173
ko:K07001	bthl:BG87_177
ko:K01692	bthl:BG87_179
ko:K16171	bthl:BG87_180
ko:K00548	bthl:BG87_184
ko:K00548	bthl:BG87_185
ko:K01887	bthl:BG87_187
ko:K03673	bthl:BG87_189
ko:K12368	bthl:BG87_193
ko:K00906	bthl:BG87_196
ko:K01673	bthl:BG87_197
ko:K00626	bthl:BG87_198
ko:K09858	bthl:BG87_200
ko:K00833	bthl:BG87_202
ko:K00652	bthl:BG87_203
ko:K01935	bthl:BG87_204
ko:K01012	bthl:BG87_205
ko:K06201	bthl:BG87_206
ko:K01077	bthl:BG87_209
ko:K01077	bthl:BG87_210
ko:K03316	bthl:BG87_213
ko:K04090	bthl:BG87_214
ko:K04046	bthl:BG87_947
ko:K03704	bthl:BG87_948
ko:K03186	bthl:BG87_951
ko:K07390	bthl:BG87_952
ko:K02493	bthl:BG87_953
ko:K02835	bthl:BG87_954
ko:K02492	bthl:BG87_955
ko:K01262	bthl:BG87_957
ko:K01560	bthl:BG87_959
ko:K11735	bthl:BG87_963
ko:K06942	bthl:BG87_964
ko:K03981	bthl:BG87_968
ko:K01118	bthl:BG87_970
ko:K03648	bthl:BG87_971
ko:K01609	bthl:BG87_973
ko:K00766	bthl:BG87_974
ko:K01658	bthl:BG87_975
ko:K01657	bthl:BG87_976
ko:K01091	bthl:BG87_977
ko:K01783	bthl:BG87_978
ko:K06195	bthl:BG87_979
ko:K08304	bthl:BG87_981
ko:K01912	bthl:BG87_982
ko:K02614	bthl:BG87_983
ko:K15866	bthl:BG87_984
ko:K01692	bthl:BG87_987
ko:K07483	bthl:BG87_994
ko:K01897	bthl:BG87_999
ko:K02836	bthl:BG87_1789
ko:K07462	bthl:BG87_1790
ko:K09808	bthl:BG87_1792
ko:K09810	bthl:BG87_1793
ko:K03424	bthl:BG87_1794
ko:K02238	bthl:BG87_1795
ko:K01937	bthl:BG87_1797
ko:K01627	bthl:BG87_1798
ko:K01689	bthl:BG87_1799
ko:K05589	bthl:BG87_1800
ko:K04083	bthl:BG87_1802
ko:K07053	bthl:BG87_1806
ko:K01867	bthl:BG87_1809
ko:K01714	bthl:BG87_1811
ko:K07287	bthl:BG87_1812
ko:K18850	bthl:BG87_1814
ko:K03775	bthl:BG87_1816
ko:K03555	bthl:BG87_1817
ko:K07483	bthl:BG87_1838
ko:K07483	bthl:BG87_2633
ko:K01153	bthl:BG87_2636
ko:K01154	bthl:BG87_2638
ko:K03427	bthl:BG87_2639
ko:K07497	bthl:BG87_2640
ko:K07483	bthl:BG87_2641
ko:K03497	bthl:BG87_2643
ko:K06153	bthl:BG87_2646
ko:K01895	bthl:BG87_2651
ko:K03327	bthl:BG87_2653
ko:K08296	bthl:BG87_2657
ko:K01524	bthl:BG87_2662
ko:K00937	bthl:BG87_2663
ko:K07636	bthl:BG87_2664
ko:K07657	bthl:BG87_2665
ko:K02039	bthl:BG87_2666
ko:K02036	bthl:BG87_2667
ko:K02038	bthl:BG87_2668
ko:K02037	bthl:BG87_2669
ko:K02040	bthl:BG87_2670
ko:K00140	bthl:BG87_555
ko:K01995	bthl:BG87_557
ko:K01996	bthl:BG87_558
ko:K01999	bthl:BG87_559
ko:K01997	bthl:BG87_560
