ko:K08744	mte:CCDC5079_1680
ko:K01061	mte:CCDC5079_2536
ko:K00215	mte:CCDC5079_2544
ko:K02519	mte:CCDC5079_2600
ko:K02600	mte:CCDC5079_2603
ko:K09748	mte:CCDC5079_2604
ko:K01881	mte:CCDC5079_2607
ko:K02302	mte:CCDC5079_2609
ko:K00116	mte:CCDC5079_2614
ko:K07241	mte:CCDC5079_2618
ko:K07010	mte:CCDC5079_2622
ko:K01915	mte:CCDC5079_2623
ko:K01265	mte:CCDC5079_2624
ko:K00099	mte:CCDC5079_2631
ko:K06941	mte:CCDC5079_2639
ko:K00981	mte:CCDC5079_2640
ko:K02838	mte:CCDC5079_2641
ko:K09903	mte:CCDC5079_2642
ko:K02357	mte:CCDC5079_2648
ko:K02967	mte:CCDC5079_2649
ko:K03733	mte:CCDC5079_2652
ko:K07089	mte:CCDC5079_2720
ko:K01433	mte:CCDC5079_2721
ko:K00954	mte:CCDC5079_2722
ko:K03655	mte:CCDC5079_2730
ko:K03648	mte:CCDC5079_2732
ko:K00946	mte:CCDC5079_2733
ko:K01921	mte:CCDC5079_2737
ko:K00057	mte:CCDC5079_2738
ko:K00937	mte:CCDC5079_2740
ko:K03530	mte:CCDC5079_2742
ko:K01704	mte:CCDC5079_2743
ko:K01703	mte:CCDC5079_2744
ko:K00052	mte:CCDC5079_2750
ko:K02069	mte:CCDC5079_2755
ko:K00053	mte:CCDC5079_2756
ko:K02346	mte:CCDC5079_2812
ko:K06200	mte:CCDC5079_2819
ko:K15977	mte:CCDC5079_2820
ko:K06199	mte:CCDC5079_2825
ko:K06199	mte:CCDC5079_2826
ko:K01644	mte:CCDC5079_2831
ko:K09781	mte:CCDC5079_2849
ko:K03664	mte:CCDC5079_2856
ko:K09811	mte:CCDC5079_2857
ko:K09812	mte:CCDC5079_2858
ko:K02836	mte:CCDC5079_2862
ko:K00528	mte:CCDC5079_2863
ko:K07133	mte:CCDC5079_2933
ko:K03657	mte:CCDC5079_2949
ko:K03426	mte:CCDC5079_2950
ko:K03657	mte:CCDC5079_2953
ko:K02361	mte:CCDC5079_2967
ko:K03524	mte:CCDC5079_3027
ko:K06287	mte:CCDC5079_3029
ko:K02426	mte:CCDC5079_3031
ko:K03724	mte:CCDC5079_3043
ko:K02039	mte:CCDC5079_3049
ko:K00111	mte:CCDC5079_3050
ko:K00382	mte:CCDC5079_3051
ko:K00761	mte:CCDC5079_3057
ko:K00242	mte:CCDC5079_3066
ko:K00239	mte:CCDC5079_3067
ko:K00240	mte:CCDC5079_3068
ko:K03637	mte:CCDC5079_3072
ko:K03639	mte:CCDC5079_3073
ko:K00574	mte:CCDC5079_3138
ko:K14161	mte:CCDC5079_3140
ko:K01951	mte:CCDC5079_3143
ko:K02291	mte:CCDC5079_3144
ko:K03088	mte:CCDC5079_3160
ko:K04077	mte:CCDC5079_3163
ko:K04078	mte:CCDC5079_3164
ko:K03789	mte:CCDC5079_3166
ko:K06925	mte:CCDC5079_3168
ko:K01775	mte:CCDC5079_3169
ko:K00820	mte:CCDC5079_3182
ko:K03431	mte:CCDC5079_3187
ko:K02996	mte:CCDC5079_3188
ko:K02871	mte:CCDC5079_3189
ko:K03218	mte:CCDC5079_3320
ko:K01883	mte:CCDC5079_3321
ko:K01770	mte:CCDC5079_3322
ko:K00991	mte:CCDC5079_3323
ko:K07736	mte:CCDC5079_3324
ko:K04485	mte:CCDC5079_3326
ko:K01673	mte:CCDC5079_3329
ko:K03575	mte:CCDC5079_3330
ko:K03696	mte:CCDC5079_3337
ko:K04567	mte:CCDC5079_3339
ko:K01918	mte:CCDC5079_3341
ko:K00950	mte:CCDC5079_3345
ko:K01633	mte:CCDC5079_3346
ko:K00796	mte:CCDC5079_3347
ko:K01495	mte:CCDC5079_3348
ko:K03798	mte:CCDC5079_3349
ko:K00240	mte:CCDC5079_0231
ko:K00239	mte:CCDC5079_0232
ko:K00362	mte:CCDC5079_0235
ko:K00363	mte:CCDC5079_0236
ko:K02231	mte:CCDC5079_0237
ko:K02232	mte:CCDC5079_0238
ko:K02575	mte:CCDC5079_0243
ko:K02016	mte:CCDC5079_0247
ko:K02575	mte:CCDC5079_0249
ko:K02874	mte:CCDC5079_0662
ko:K02895	mte:CCDC5079_0663
ko:K02931	mte:CCDC5079_0664
ko:K02994	mte:CCDC5079_0665
ko:K02933	mte:CCDC5079_0666
ko:K02881	mte:CCDC5079_0667
ko:K02988	mte:CCDC5079_0668
ko:K02876	mte:CCDC5079_0669
ko:K04773	mte:CCDC5079_0670
ko:K01628	mte:CCDC5079_0673
ko:K03076	mte:CCDC5079_0678
ko:K01265	mte:CCDC5079_0680
ko:K03088	mte:CCDC5079_0681
ko:K00140	mte:CCDC5079_0696
ko:K01945	mte:CCDC5079_0714
ko:K03284	mte:CCDC5079_1146
ko:K00024	mte:CCDC5079_1147
ko:K05592	mte:CCDC5079_1156
ko:K08296	mte:CCDC5079_1179
ko:K02034	mte:CCDC5079_1185
ko:K01673	mte:CCDC5079_1187
ko:K00957	mte:CCDC5079_1188
ko:K00955	mte:CCDC5079_1189
ko:K01887	mte:CCDC5079_1195
ko:K01586	mte:CCDC5079_1196
ko:K00003	mte:CCDC5079_1197
ko:K06978	mte:CCDC5079_1692
ko:K01638	mte:CCDC5079_1694
ko:K01430	mte:CCDC5079_1705
ko:K01429	mte:CCDC5079_1706
ko:K01428	mte:CCDC5079_1707
ko:K03188	mte:CCDC5079_1708
ko:K03189	mte:CCDC5079_1709
ko:K03190	mte:CCDC5079_1710
ko:K03885	mte:CCDC5079_1711
ko:K02020	mte:CCDC5079_1714
ko:K02018	mte:CCDC5079_1715
ko:K03594	mte:CCDC5079_1733
ko:K01915	mte:CCDC5079_1735
ko:K02276	mte:CCDC5079_2028
ko:K02275	mte:CCDC5079_2035
ko:K01953	mte:CCDC5079_2036
ko:K00865	mte:CCDC5079_2040
ko:K00768	mte:CCDC5079_2042
ko:K02233	mte:CCDC5079_2043
ko:K00826	mte:CCDC5079_2045
ko:K00605	mte:CCDC5079_2046
ko:K01255	mte:CCDC5079_2048
ko:K00658	mte:CCDC5079_2050
ko:K07071	mte:CCDC5079_2051
ko:K03801	mte:CCDC5079_2052
ko:K03644	mte:CCDC5079_2053
ko:K01915	mte:CCDC5079_2056
ko:K00982	mte:CCDC5079_2058
ko:K01915	mte:CCDC5079_2059
ko:K00606	mte:CCDC5079_2062
ko:K09990	mte:CCDC5079_2064
ko:K07164	mte:CCDC5079_2066
ko:K00817	mte:CCDC5079_2068
ko:K02227	mte:CCDC5079_2072
ko:K03568	mte:CCDC5079_2140
ko:K02575	mte:CCDC5079_2154
ko:K01738	mte:CCDC5079_2159
ko:K00640	mte:CCDC5079_2160
ko:K01129	mte:CCDC5079_2169
ko:K01114	mte:CCDC5079_2172
ko:K01114	mte:CCDC5079_2173
ko:K01114	mte:CCDC5079_2174
ko:K01880	mte:CCDC5079_2179
ko:K10716	mte:CCDC5079_2951
ko:K16046	mte:CCDC5079_3259
ko:K16045	mte:CCDC5079_1022
ko:K05898	mte:CCDC5079_3278
ko:K16048	mte:CCDC5079_3308
ko:K16047	mte:CCDC5079_3311
ko:K16049	mte:CCDC5079_3309
ko:K16050	mte:CCDC5079_3310
ko:K14232	mte:CCDC5079_23010
ko:K07045	mte:CCDC5079_3248
ko:K18955	mte:CCDC5079_3008
ko:K14949	mte:CCDC5079_0384
ko:K03153	mte:CCDC5079_0389
ko:K06994	mte:CCDC5079_0422
ko:K01692	mte:CCDC5079_0428
ko:K01322	mte:CCDC5079_0430
ko:K03405	mte:CCDC5079_0885
ko:K01692	mte:CCDC5079_0896
ko:K01965	mte:CCDC5079_0898
ko:K07669	mte:CCDC5079_0905
ko:K07653	mte:CCDC5079_0906
ko:K08372	mte:CCDC5079_0907
ko:K14743	mte:CCDC5079_1653
ko:K14232	mte:CCDC5079_34580
ko:K00245	mte:CCDC5079_1449
ko:K02004	mte:CCDC5079_0911
ko:K00805	mte:CCDC5079_0913
ko:K00247	mte:CCDC5079_1451
ko:K06994	mte:CCDC5079_1453
ko:K01478	mte:CCDC5079_0925
ko:K00652	mte:CCDC5079_1463
ko:K06994	mte:CCDC5079_1417
ko:K01424	mte:CCDC5079_1434
ko:K00244	mte:CCDC5079_1448
ko:K14235	mte:CCDC5079_06020
ko:K02351	mte:CCDC5079_0090
ko:K07245	mte:CCDC5079_0090
ko:K07031	mte:CCDC5079_0100
ko:K09118	mte:CCDC5079_0057
ko:K01243	mte:CCDC5079_0081
ko:K01577	mte:CCDC5079_0103
ko:K06196	mte:CCDC5079_0495
ko:K00772	mte:CCDC5079_0503
ko:K09931	mte:CCDC5079_0507
ko:K00666	mte:CCDC5079_0517
ko:K02549	mte:CCDC5079_0519
ko:K12583	mte:CCDC5079_0523
ko:K00805	mte:CCDC5079_0528
ko:K01692	mte:CCDC5079_0988
ko:K01692	mte:CCDC5079_0989
ko:K00626	mte:CCDC5079_0992
ko:K12503	mte:CCDC5079_1003
ko:K00867	mte:CCDC5079_1008
ko:K01679	mte:CCDC5079_1015
ko:K02446	mte:CCDC5079_1016
ko:K00033	mte:CCDC5079_1034
ko:K01515	mte:CCDC5079_1575
ko:K04763	mte:CCDC5079_1576
ko:K13640	mte:CCDC5079_0329
ko:K07161	mte:CCDC5079_0345
ko:K03518	mte:CCDC5079_0351
ko:K03519	mte:CCDC5079_0352
ko:K01962	mte:CCDC5079_0835
ko:K01963	mte:CCDC5079_0835
ko:K01692	mte:CCDC5079_0836
ko:K11159	mte:CCDC5079_0843
ko:K00626	mte:CCDC5079_0844
ko:K00076	mte:CCDC5079_0856
ko:K10563	mte:CCDC5079_0872
ko:K04488	mte:CCDC5079_1361
ko:K01692	mte:CCDC5079_1368
ko:K07114	mte:CCDC5079_1377
ko:K11610	mte:CCDC5079_1379
ko:K11611	mte:CCDC5079_1380
ko:K01847	mte:CCDC5079_1388
ko:K01847	mte:CCDC5079_1389
ko:K07588	mte:CCDC5079_1392
ko:K15526	mte:CCDC5079_1969
ko:K01082	mte:CCDC5079_1970
ko:K06910	mte:CCDC5079_1978
ko:K13787	mte:CCDC5079_2009
ko:K13671	mte:CCDC5079_2017
ko:K01664	mte:CCDC5079_0013
ko:K00652	mte:CCDC5079_0031
ko:K01619	mte:CCDC5079_0447
ko:K15521	mte:CCDC5079_0455
ko:K07768	mte:CCDC5079_0459
ko:K07776	mte:CCDC5079_0460
ko:K01784	mte:CCDC5079_0471
ko:K06994	mte:CCDC5079_0477
ko:K00666	mte:CCDC5079_0936
ko:K02428	mte:CCDC5079_0944
ko:K09009	mte:CCDC5079_0948
ko:K00666	mte:CCDC5079_0976
ko:K01814	mte:CCDC5079_1480
ko:K01817	mte:CCDC5079_1480
ko:K01092	mte:CCDC5079_1481
ko:K01496	mte:CCDC5079_1483
ko:K16012	mte:CCDC5079_1496
ko:K16013	mte:CCDC5079_1497
ko:K09146	mte:CCDC5079_1508
ko:K14340	mte:CCDC5079_1511
ko:K07304	mte:CCDC5079_0123
ko:K01104	mte:CCDC5079_0139
ko:K00666	mte:CCDC5079_0152
ko:K02067	mte:CCDC5079_0156
ko:K02067	mte:CCDC5079_0159
ko:K02067	mte:CCDC5079_0160
ko:K02067	mte:CCDC5079_0554
ko:K02067	mte:CCDC5079_0555
ko:K02067	mte:CCDC5079_0557
ko:K02067	mte:CCDC5079_0558
ko:K01692	mte:CCDC5079_0589
ko:K07052	mte:CCDC5079_1053
ko:K01692	mte:CCDC5079_1054
ko:K01692	mte:CCDC5079_1055
ko:K01796	mte:CCDC5079_1056
ko:K06994	mte:CCDC5079_1058
ko:K00374	mte:CCDC5079_1076
ko:K15525	mte:CCDC5079_1082
ko:K11779	mte:CCDC5079_1085
ko:K00219	mte:CCDC5079_1087
ko:K00545	mte:CCDC5079_1579
ko:K01823	mte:CCDC5079_1616
ko:K00666	mte:CCDC5079_1621
ko:K02025	mte:CCDC5079_1143
ko:K07386	mte:CCDC5079_0183
ko:K06860	mte:CCDC5079_0192
ko:K01596	mte:CCDC5079_0196
ko:K01692	mte:CCDC5079_0207
ko:K07048	mte:CCDC5079_0215
ko:K00845	mte:CCDC5079_0607
ko:K07052	mte:CCDC5079_0614
ko:K03932	mte:CCDC5079_0623
ko:K01692	mte:CCDC5079_0625
ko:K01692	mte:CCDC5079_0627
ko:K06994	mte:CCDC5079_0628
ko:K00101	mte:CCDC5079_0645
ko:K06994	mte:CCDC5079_1094
ko:K00294	mte:CCDC5079_1098
ko:K00674	mte:CCDC5079_1110
ko:K01439	mte:CCDC5079_1111
ko:K00666	mte:CCDC5079_1115
ko:K13693	mte:CCDC5079_1117
ko:K08981	mte:CCDC5079_1134
ko:K09167	mte:CCDC5079_1135
ko:K03593	mte:CCDC5079_1137
ko:K02067	mte:CCDC5079_0553
ko:K12444	mte:CCDC5079_2695
ko:K12443	mte:CCDC5079_2694
ko:K12951	mte:CCDC5079_1365
ko:K12423	mte:CCDC5079_1096
ko:K02067	mte:CCDC5079_1812
ko:K16168	mte:CCDC5079_1052
ko:K01259	mte:CCDC5079_0776
ko:K01796	mte:CCDC5079_0790
ko:K00626	mte:CCDC5079_0794
ko:K01782	mte:CCDC5079_0795
ko:K10843	mte:CCDC5079_0797
ko:K03635	mte:CCDC5079_0801
ko:K04750	mte:CCDC5079_0818
ko:K00059	mte:CCDC5079_1250
ko:K02067	mte:CCDC5079_1813
ko:K02067	mte:CCDC5079_1814
ko:K02067	mte:CCDC5079_1815
ko:K02067	mte:CCDC5079_1816
ko:K02067	mte:CCDC5079_1817
ko:K03294	mte:CCDC5079_1846
ko:K00038	mte:CCDC5079_1849
ko:K07028	mte:CCDC5079_1851
ko:K15781	mte:CCDC5079_2289
ko:K01692	mte:CCDC5079_2292
ko:K11263	mte:CCDC5079_2305
ko:K00666	mte:CCDC5079_2309
ko:K06902	mte:CCDC5079_2312
ko:K08256	mte:CCDC5079_2408
ko:K05794	mte:CCDC5079_2499
ko:K10533	mte:CCDC5079_2514
ko:K00619	mte:CCDC5079_2521
ko:K03404	mte:CCDC5079_2612
ko:K02348	mte:CCDC5079_2613
ko:K04652	mte:CCDC5079_2619
ko:K06976	mte:CCDC5079_2628
ko:K01958	mte:CCDC5079_2724
ko:K07655	mte:CCDC5079_0832
ko:K10215	mte:CCDC5079_3582
ko:K07030	mte:CCDC5079_2731
ko:K14941	mte:CCDC5079_2739
ko:K01885	mte:CCDC5079_2748
ko:K00058	mte:CCDC5079_2751
ko:K01835	mte:CCDC5079_2824
ko:K00121	mte:CCDC5079_2842
ko:K00803	mte:CCDC5079_2864
ko:K00274	mte:CCDC5079_2925
ko:K09118	mte:CCDC5079_2944
ko:K07177	mte:CCDC5079_2945
ko:K01966	mte:CCDC5079_3028
ko:K01011	mte:CCDC5079_3030
ko:K11263	mte:CCDC5079_3032
ko:K03090	mte:CCDC5079_3033
ko:K03918	mte:CCDC5079_3037
ko:K05522	mte:CCDC5079_3045
ko:K03932	mte:CCDC5079_3046
ko:K06177	mte:CCDC5079_3048
ko:K03783	mte:CCDC5079_3055
ko:K01488	mte:CCDC5079_3062
ko:K00758	mte:CCDC5079_3063
ko:K01489	mte:CCDC5079_3064
ko:K00241	mte:CCDC5079_3065
ko:K13787	mte:CCDC5079_3145
ko:K03333	mte:CCDC5079_3155
ko:K00088	mte:CCDC5079_3156
ko:K00088	mte:CCDC5079_3157
ko:K01409	mte:CCDC5079_3165
ko:K01580	mte:CCDC5079_3178
ko:K00059	mte:CCDC5079_3300
ko:K15983	mte:CCDC5079_3312
ko:K07067	mte:CCDC5079_3327
ko:K13540	mte:CCDC5079_1911
ko:K00595	mte:CCDC5079_1916
ko:K03727	mte:CCDC5079_1934
ko:K13573	mte:CCDC5079_1937
ko:K13571	mte:CCDC5079_1939
ko:K13527	mte:CCDC5079_1956
ko:K07442	mte:CCDC5079_1958
ko:K00548	mte:CCDC5079_1964
ko:K01692	mte:CCDC5079_3257
ko:K00626	mte:CCDC5079_3264
ko:K15982	mte:CCDC5079_3267
ko:K04073	mte:CCDC5079_3276
ko:K15981	mte:CCDC5079_3286
ko:K00626	mte:CCDC5079_3287
ko:K01692	mte:CCDC5079_3291
ko:K00626	mte:CCDC5079_3297
ko:K02342	mte:CCDC5079_3443
ko:K07009	mte:CCDC5079_3445
ko:K13686	mte:CCDC5079_3521
ko:K12437	mte:CCDC5079_3529
ko:K12428	mte:CCDC5079_3530
ko:K13687	mte:CCDC5079_3535
ko:K01854	mte:CCDC5079_3539
ko:K14952	mte:CCDC5079_3548
ko:K06994	mte:CCDC5079_3553
ko:K00970	mte:CCDC5079_3634
ko:K06346	mte:CCDC5079_3647
ko:K00135	mte:CCDC5079_0219
ko:K00059	mte:CCDC5079_0226
ko:K00626	mte:CCDC5079_0227
ko:K01719	mte:CCDC5079_0242
ko:K01469	mte:CCDC5079_0248
ko:K00666	mte:CCDC5079_0251
ko:K14743	mte:CCDC5079_0270
ko:K00058	mte:CCDC5079_0674
ko:K00854	mte:CCDC5079_0675
ko:K00939	mte:CCDC5079_0679
ko:K00121	mte:CCDC5079_0704
ko:K05917	mte:CCDC5079_0706
ko:K01607	mte:CCDC5079_0713
ko:K01616	mte:CCDC5079_1152
ko:K06147	mte:CCDC5079_1175
ko:K06147	mte:CCDC5079_1176
ko:K02035	mte:CCDC5079_1183
ko:K02033	mte:CCDC5079_1186
ko:K00088	mte:CCDC5079_1700
ko:K00033	mte:CCDC5079_1701
ko:K02017	mte:CCDC5079_1716
ko:K13953	mte:CCDC5079_1719
ko:K07052	mte:CCDC5079_1720
ko:K00626	mte:CCDC5079_1724
ko:K00101	mte:CCDC5079_1729
ko:K04093	mte:CCDC5079_1741
ko:K13668	mte:CCDC5079_2024
ko:K02342	mte:CCDC5079_2027
ko:K03889	mte:CCDC5079_2029
ko:K03890	mte:CCDC5079_2030
ko:K03891	mte:CCDC5079_2031
ko:K00856	mte:CCDC5079_2037
ko:K01104	mte:CCDC5079_2070
ko:K06889	mte:CCDC5079_2132
ko:K02025	mte:CCDC5079_2141
ko:K00819	mte:CCDC5079_2146
ko:K00819	mte:CCDC5079_2147
ko:K00027	mte:CCDC5079_2157
ko:K06994	mte:CCDC5079_2164
ko:K01834	mte:CCDC5079_0458
ko:K01840	mte:CCDC5079_3056
ko:K12434	mte:CCDC5079_1540
ko:K12435	mte:CCDC5079_1541
ko:K12439	mte:CCDC5079_1542
ko:K00598	mte:CCDC5079_0273
ko:K06986	mte:CCDC5079_0725
ko:K07077	mte:CCDC5079_0726
ko:K07052	mte:CCDC5079_0743
ko:K02619	mte:CCDC5079_0749
ko:K14954	mte:CCDC5079_1310
ko:K09762	mte:CCDC5079_1322
ko:K00616	mte:CCDC5079_1345
ko:K14339	mte:CCDC5079_1355
ko:K02025	mte:CCDC5079_1888
ko:K03929	mte:CCDC5079_1893
ko:K02077	mte:CCDC5079_1905
ko:K02433	mte:CCDC5079_2766
ko:K01692	mte:CCDC5079_2796
ko:K02274	mte:CCDC5079_2800
ko:K03647	mte:CCDC5079_2809
ko:K05602	mte:CCDC5079_2892
ko:K00508	mte:CCDC5079_2980
ko:K03455	mte:CCDC5079_2986
ko:K07654	mte:CCDC5079_2995
ko:K07670	mte:CCDC5079_2996
ko:K03294	mte:CCDC5079_3001
ko:K11212	mte:CCDC5079_3009
ko:K12234	mte:CCDC5079_3010
ko:K07258	mte:CCDC5079_3080
ko:K06945	mte:CCDC5079_3110
ko:K07131	mte:CCDC5079_3112
ko:K14162	mte:CCDC5079_3118
ko:K01692	mte:CCDC5079_3121
ko:K07025	mte:CCDC5079_3123
ko:K13787	mte:CCDC5079_3130
ko:K14743	mte:CCDC5079_3195
ko:K02067	mte:CCDC5079_3231
ko:K02067	mte:CCDC5079_3232
ko:K02067	mte:CCDC5079_3234
ko:K02067	mte:CCDC5079_3235
ko:K15520	mte:CCDC5079_0756
ko:K00567	mte:CCDC5079_1218
ko:K07503	mte:CCDC5079_1224
ko:K00626	mte:CCDC5079_1226
ko:K00700	mte:CCDC5079_1229
ko:K02428	mte:CCDC5079_1242
ko:K01909	mte:CCDC5079_1245
ko:K01011	mte:CCDC5079_0752
ko:K08178	mte:CCDC5079_1758
ko:K06910	mte:CCDC5079_1766
ko:K06910	mte:CCDC5079_1767
ko:K00666	mte:CCDC5079_1780
ko:K01692	mte:CCDC5079_1789
ko:K03386	mte:CCDC5079_2075
ko:K11609	mte:CCDC5079_2082
ko:K11609	mte:CCDC5079_2083
ko:K00803	mte:CCDC5079_2088
ko:K00153	mte:CCDC5079_2096
ko:K00389	mte:CCDC5079_2106
ko:K03316	mte:CCDC5079_2117
ko:K01011	mte:CCDC5079_2119
ko:K03711	mte:CCDC5079_2181
ko:K04788	mte:CCDC5079_2203
ko:K00784	mte:CCDC5079_2226
ko:K02238	mte:CCDC5079_2232
ko:K07161	mte:CCDC5079_2242
ko:K03386	mte:CCDC5079_2245
ko:K00852	mte:CCDC5079_2251
ko:K00547	mte:CCDC5079_2268
ko:K05522	mte:CCDC5079_2274
ko:K02004	mte:CCDC5079_2360
ko:K07054	mte:CCDC5079_2374
ko:K03768	mte:CCDC5079_2381
ko:K02035	mte:CCDC5079_2384
ko:K07305	mte:CCDC5079_2457
ko:K01692	mte:CCDC5079_2462
ko:K03499	mte:CCDC5079_2474
ko:K03499	mte:CCDC5079_2475
ko:K01092	mte:CCDC5079_2482
ko:K03087	mte:CCDC5079_2488
ko:K03709	mte:CCDC5079_2489
ko:K03709	mte:CCDC5079_2557
ko:K03177	mte:CCDC5079_2563
ko:K09002	mte:CCDC5079_2583
ko:K01692	mte:CCDC5079_2592
ko:K05816	mte:CCDC5079_2593
ko:K05815	mte:CCDC5079_2595
ko:K05814	mte:CCDC5079_2596
ko:K07258	mte:CCDC5079_2668
ko:K07068	mte:CCDC5079_1504
ko:K10563	mte:CCDC5079_2684
ko:K12441	mte:CCDC5079_2691
ko:K06994	mte:CCDC5079_2702
ko:K00666	mte:CCDC5079_3242
ko:K14733	mte:CCDC5079_3356
ko:K01507	mte:CCDC5079_3363
ko:K09153	mte:CCDC5079_3367
ko:K01784	mte:CCDC5079_3369
ko:K06877	mte:CCDC5079_3383
ko:K04517	mte:CCDC5079_3484
ko:K14953	mte:CCDC5079_3492
ko:K01692	mte:CCDC5079_3502
ko:K04518	mte:CCDC5079_3568
ko:K04477	mte:CCDC5079_3584
ko:K14743	mte:CCDC5079_3613
ko:K14743	mte:CCDC5079_3616
ko:K00059	mte:CCDC5079_3239
ko:K07672	mte:CCDC5079_0956
ko:K14698	mte:CCDC5079_1248
ko:K02067	mte:CCDC5079_0155
ko:K02067	mte:CCDC5079_0157
ko:K02067	mte:CCDC5079_0556
ko:K02067	mte:CCDC5079_3236
ko:K02067	mte:CCDC5079_3233
ko:K01840	mte:CCDC5079_3005
ko:K16167	mte:CCDC5079_1544
ko:K16167	mte:CCDC5079_1539
ko:K02480	mte:CCDC5079_0780
ko:K01179	mte:CCDC5079_0055
ko:K01179	mte:CCDC5079_1006
ko:K01207	mte:CCDC5079_0222
ko:K01977	mte:CCDC5079_12360
ko:K07671	mte:CCDC5079_0834
ko:K16191	mte:CCDC5079_0830
ko:K16193	mte:CCDC5079_0831
ko:K00622	mte:CCDC5079_3307
ko:K09144	mte:CCDC5079_2588
ko:K07482	mte:CCDC5079_2942
ko:K16370	mte:CCDC5079_1877
ko:K14218	mte:CCDC5079_09350
ko:K11735	mte:CCDC5079_0490
ko:K16233	mte:CCDC5079_1272
ko:K14222	mte:CCDC5079_24740
ko:K00392	mte:CCDC5079_2211
ko:K03893	mte:CCDC5079_3319
ko:K16653	mte:CCDC5079_3519
ko:K16645	mte:CCDC5079_0446
ko:K12433	mte:CCDC5079_1424
ko:K07682	mte:CCDC5079_2887
ko:K12422	mte:CCDC5079_0087
ko:K12427	mte:CCDC5079_2701
ko:K12950	mte:CCDC5079_3018
ko:K03520	mte:CCDC5079_0350
ko:K07448	mte:CCDC5079_2329
ko:K12440	mte:CCDC5079_2690
ko:K13419	mte:CCDC5079_2836
ko:K14699	mte:CCDC5079_1249
ko:K12430	mte:CCDC5079_2706
ko:K12953	mte:CCDC5079_1844
ko:K12426	mte:CCDC5079_2689
ko:K12955	mte:CCDC5079_0094
ko:K11385	mte:CCDC5079_3523
ko:K12421	mte:CCDC5079_2389
ko:K11386	mte:CCDC5079_3524
ko:K13669	mte:CCDC5079_1071
ko:K04793	mte:CCDC5079_2197
ko:K12949	mte:CCDC5079_0082
ko:K12949	mte:CCDC5079_0091
ko:K13572	mte:CCDC5079_1938
ko:K02554	mte:CCDC5079_3277
ko:K07684	mte:CCDC5079_0779
ko:K12954	mte:CCDC5079_1839
ko:K02484	mte:CCDC5079_0701
ko:K02484	mte:CCDC5079_3493
ko:K07250	mte:CCDC5079_2388
ko:K01985	mte:CCDC5079_12380
ko:K12425	mte:CCDC5079_3557
ko:K12432	mte:CCDC5079_1092
ko:K12956	mte:CCDC5079_0894
ko:K07695	mte:CCDC5079_2888
ko:K11628	mte:CCDC5079_2700
ko:K12424	mte:CCDC5079_2708
ko:K12442	mte:CCDC5079_2693
ko:K12952	mte:CCDC5079_0839
ko:K13670	mte:CCDC5079_1396
ko:K14955	mte:CCDC5079_1173
ko:K07656	mte:CCDC5079_0955
ko:K16652	mte:CCDC5079_3520
ko:K16650	mte:CCDC5079_3538
ko:K16647	mte:CCDC5079_2456
ko:K16649	mte:CCDC5079_3510
ko:K16648	mte:CCDC5079_0221
ko:K02851	mte:CCDC5079_1204
ko:K00561	mte:CCDC5079_1836
ko:K16906	mte:CCDC5079_2470
ko:K16907	mte:CCDC5079_2471
ko:K02030	mte:CCDC5079_0385
ko:K11387	mte:CCDC5079_3522
ko:K14220	mte:CCDC5079_21940
ko:K14234	mte:CCDC5079_05970
ko:K14219	mte:CCDC5079_12120
ko:K14228	mte:CCDC5079_00230
ko:K14228	mte:CCDC5079_09900
ko:K14228	mte:CCDC5079_20040
ko:K01980	mte:CCDC5079_12370
ko:K14230	mte:CCDC5079_05980
ko:K14237	mte:CCDC5079_24720
ko:K16785	mte:CCDC5079_2150
ko:K01426	mte:CCDC5079_1167
ko:K01426	mte:CCDC5079_2185
ko:K14233	mte:CCDC5079_35520
ko:K14230	mte:CCDC5079_29830
ko:K14234	mte:CCDC5079_07070
ko:K01426	mte:CCDC5079_2929
ko:K01426	mte:CCDC5079_2647
ko:K00966	mte:CCDC5079_3012
ko:K11991	mte:CCDC5079_3482
ko:K04781	mte:CCDC5079_2206
ko:K16870	mte:CCDC5079_3013
ko:K01426	mte:CCDC5079_3122
ko:K03922	mte:CCDC5079_1010
ko:K14225	mte:CCDC5079_24730
ko:K16905	mte:CCDC5079_2469
ko:K14223	mte:CCDC5079_09570
ko:K14237	mte:CCDC5079_24750
ko:K14221	mte:CCDC5079_07790
ko:K14233	mte:CCDC5079_34980
ko:K14227	mte:CCDC5079_00090
ko:K14234	mte:CCDC5079_34180
ko:K14229	mte:CCDC5079_23540
ko:K14224	mte:CCDC5079_27850
ko:K14219	mte:CCDC5079_08610
ko:K14225	mte:CCDC5079_02990
ko:K14218	mte:CCDC5079_00100
ko:K14236	mte:CCDC5079_05370
ko:K14229	mte:CCDC5079_07770
ko:K14224	mte:CCDC5079_07780
ko:K14231	mte:CCDC5079_07800
ko:K14228	mte:CCDC5079_12690
ko:K14228	mte:CCDC5079_15240
ko:K14232	mte:CCDC5079_16190
ko:K14237	mte:CCDC5079_21000
ko:K14230	mte:CCDC5079_21610
ko:K14225	mte:CCDC5079_23020
ko:K14219	mte:CCDC5079_23220
ko:K14219	mte:CCDC5079_35450
ko:K14226	mte:CCDC5079_23470
ko:K14223	mte:CCDC5079_27860
ko:K14218	mte:CCDC5079_28630
ko:K14233	mte:CCDC5079_35260
ko:K14233	mte:CCDC5079_35460
