ko:K07068	mavi:RC58_06095
ko:K17883	mavi:RC58_04335
ko:K00116	mavi:RC58_04345
ko:K02348	mavi:RC58_04350
ko:K03404	mavi:RC58_04355
ko:K19221	mavi:RC58_04360
ko:K02224	mavi:RC58_04365
ko:K02302	mavi:RC58_04370
ko:K01881	mavi:RC58_04385
ko:K09748	mavi:RC58_04400
ko:K02600	mavi:RC58_04405
ko:K07742	mavi:RC58_04410
ko:K02519	mavi:RC58_04415
ko:K02834	mavi:RC58_04420
ko:K01692	mavi:RC58_04435
ko:K03177	mavi:RC58_04470
ko:K11753	mavi:RC58_04490
ko:K02956	mavi:RC58_04495
ko:K00962	mavi:RC58_04500
ko:K00259	mavi:RC58_04515
ko:K07044	mavi:RC58_04525
ko:K00215	mavi:RC58_04550
ko:K00819	mavi:RC58_08645
ko:K02027	mavi:RC58_08655
ko:K02026	mavi:RC58_08660
ko:K02025	mavi:RC58_08665
ko:K03568	mavi:RC58_08670
ko:K07028	mavi:RC58_08720
ko:K04079	mavi:RC58_08780
ko:K00626	mavi:RC58_08825
ko:K01082	mavi:RC58_08835
ko:K14155	mavi:RC58_08850
ko:K07090	mavi:RC58_08885
ko:K01011	mavi:RC58_08890
ko:K14335	mavi:RC58_08895
ko:K03316	mavi:RC58_08905
ko:K14475	mavi:RC58_08910
ko:K00626	mavi:RC58_11250
ko:K06153	mavi:RC58_11260
ko:K01621	mavi:RC58_11270
ko:K07052	mavi:RC58_11275
ko:K13953	mavi:RC58_11280
ko:K02017	mavi:RC58_11295
ko:K02018	mavi:RC58_11300
ko:K02020	mavi:RC58_11310
ko:K03885	mavi:RC58_11330
ko:K00033	mavi:RC58_11350
ko:K00088	mavi:RC58_11355
ko:K02078	mavi:RC58_11360
ko:K01909	mavi:RC58_11365
ko:K01638	mavi:RC58_11390
ko:K00281	mavi:RC58_11410
ko:K08999	mavi:RC58_11420
ko:K02437	mavi:RC58_11435
ko:K03070	mavi:RC58_11460
ko:K02471	mavi:RC58_11470
ko:K07507	mavi:RC58_11505
ko:K07068	mavi:RC58_11830
ko:K16051	mavi:RC58_11915
ko:K15982	mavi:RC58_11985
ko:K01953	mavi:RC58_12050
ko:K03977	mavi:RC58_12085
ko:K00945	mavi:RC58_12090
ko:K06178	mavi:RC58_12095
ko:K06024	mavi:RC58_12100
ko:K05896	mavi:RC58_12105
ko:K03496	mavi:RC58_12110
ko:K02916	mavi:RC58_12395
ko:K02520	mavi:RC58_12400
ko:K04567	mavi:RC58_12405
ko:K03701	mavi:RC58_12455
ko:K14340	mavi:RC58_12470
ko:K07507	mavi:RC58_12475
ko:K03702	mavi:RC58_12485
ko:K09146	mavi:RC58_12515
ko:K10563	mavi:RC58_12525
ko:K00859	mavi:RC58_12535
ko:K02945	mavi:RC58_12540
ko:K00464	mavi:RC58_12545
ko:K00425	mavi:RC58_12590
ko:K00426	mavi:RC58_12595
ko:K16013	mavi:RC58_12600
ko:K10805	mavi:RC58_12615
ko:K00873	mavi:RC58_12620
ko:K01695	mavi:RC58_12635
ko:K01696	mavi:RC58_12640
ko:K01609	mavi:RC58_12645
ko:K01657	mavi:RC58_12655
ko:K03564	mavi:RC58_12660
ko:K07300	mavi:RC58_12665
ko:K01496	mavi:RC58_12670
ko:K02500	mavi:RC58_12675
ko:K06994	mavi:RC58_12975
ko:K06994	mavi:RC58_12980
ko:K01990	mavi:RC58_12985
ko:K01992	mavi:RC58_12990
ko:K01992	mavi:RC58_12995
ko:K02377	mavi:RC58_13005
ko:K01711	mavi:RC58_13010
ko:K07588	mavi:RC58_13030
ko:K01847	mavi:RC58_13035
ko:K01847	mavi:RC58_13040
ko:K01772	mavi:RC58_13105
ko:K11611	mavi:RC58_13110
ko:K11610	mavi:RC58_13115
ko:K07114	mavi:RC58_13125
ko:K03924	mavi:RC58_13135
ko:K01681	mavi:RC58_13155
ko:K01692	mavi:RC58_13175
ko:K00384	mavi:RC58_13180
ko:K04488	mavi:RC58_13210
ko:K11717	mavi:RC58_13215
ko:K09013	mavi:RC58_13220
ko:K09015	mavi:RC58_13225
ko:K09014	mavi:RC58_13230
ko:K01990	mavi:RC58_13245
ko:K13038	mavi:RC58_13535
ko:K03060	mavi:RC58_13540
ko:K00942	mavi:RC58_13545
ko:K01591	mavi:RC58_13560
ko:K01955	mavi:RC58_13565
ko:K01956	mavi:RC58_13570
ko:K01465	mavi:RC58_13580
ko:K00609	mavi:RC58_13585
ko:K02825	mavi:RC58_13590
ko:K02049	mavi:RC58_13610
ko:K02050	mavi:RC58_13615
ko:K03710	mavi:RC58_13630
ko:K01584	mavi:RC58_13660
ko:K03625	mavi:RC58_13670
ko:K02356	mavi:RC58_13675
ko:K03786	mavi:RC58_13690
ko:K01735	mavi:RC58_13695
ko:K00891	mavi:RC58_13700
ko:K01736	mavi:RC58_13705
ko:K02031	mavi:RC58_13710
ko:K02032	mavi:RC58_13710
ko:K02034	mavi:RC58_13715
ko:K02035	mavi:RC58_13725
ko:K04091	mavi:RC58_13745
ko:K00014	mavi:RC58_13755
ko:K07082	mavi:RC58_13760
ko:K07447	mavi:RC58_13765
ko:K01872	mavi:RC58_13770
ko:K07478	mavi:RC58_13790
ko:K07672	mavi:RC58_14165
ko:K07656	mavi:RC58_14170
ko:K01546	mavi:RC58_14185
ko:K01548	mavi:RC58_14195
ko:K07646	mavi:RC58_14200
ko:K07667	mavi:RC58_14205
ko:K01524	mavi:RC58_14215
ko:K09009	mavi:RC58_14220
ko:K01689	mavi:RC58_14230
ko:K02428	mavi:RC58_14240
ko:K03723	mavi:RC58_14245
ko:K01586	mavi:RC58_14250
ko:K04042	mavi:RC58_14265
ko:K00948	mavi:RC58_14270
ko:K00537	mavi:RC58_14275
ko:K02897	mavi:RC58_14290
ko:K01056	mavi:RC58_14295
ko:K00666	mavi:RC58_14300
ko:K00919	mavi:RC58_14305
ko:K02528	mavi:RC58_14310
ko:K03424	mavi:RC58_14320
ko:K01874	mavi:RC58_14325
ko:K03405	mavi:RC58_14670
ko:K00602	mavi:RC58_14680
ko:K11175	mavi:RC58_14685
ko:K00626	mavi:RC58_14705
ko:K01902	mavi:RC58_14710
ko:K01903	mavi:RC58_14715
ko:K03657	mavi:RC58_14730
ko:K04093	mavi:RC58_14735
ko:K01810	mavi:RC58_14740
ko:K10563	mavi:RC58_14750
ko:K02228	mavi:RC58_14755
ko:K01971	mavi:RC58_14795
ko:K00045	mavi:RC58_14800
ko:K00045	mavi:RC58_14810
ko:K00847	mavi:RC58_14815
ko:K10979	mavi:RC58_14820
ko:K02038	mavi:RC58_14825
ko:K02037	mavi:RC58_14830
ko:K02040	mavi:RC58_14835
ko:K00076	mavi:RC58_14840
ko:K03322	mavi:RC58_14850
ko:K02192	mavi:RC58_15255
ko:K18687	mavi:RC58_15265
ko:K02164	mavi:RC58_15305
ko:K18481	mavi:RC58_15330
ko:K18481	mavi:RC58_15335
ko:K02067	mavi:RC58_15360
ko:K02067	mavi:RC58_15365
ko:K02066	mavi:RC58_15375
ko:K02066	mavi:RC58_15380
ko:K18481	mavi:RC58_15415
ko:K18481	mavi:RC58_15420
ko:K01607	mavi:RC58_15445
ko:K05337	mavi:RC58_15525
ko:K05337	mavi:RC58_15535
ko:K01923	mavi:RC58_16135
ko:K01756	mavi:RC58_16150
ko:K00681	mavi:RC58_16170
ko:K01945	mavi:RC58_16175
ko:K01607	mavi:RC58_16180
ko:K00128	mavi:RC58_16195
ko:K05917	mavi:RC58_16215
ko:K00121	mavi:RC58_16230
ko:K02484	mavi:RC58_16245
ko:K14953	mavi:RC58_16285
ko:K01692	mavi:RC58_16325
ko:K02069	mavi:RC58_16330
ko:K02068	mavi:RC58_16335
ko:K00697	mavi:RC58_16340
ko:K18481	mavi:RC58_16350
ko:K18481	mavi:RC58_16355
ko:K02067	mavi:RC58_16365
ko:K02067	mavi:RC58_16375
ko:K02067	mavi:RC58_16380
ko:K02067	mavi:RC58_16385
ko:K02066	mavi:RC58_16390
ko:K02066	mavi:RC58_16395
ko:K15977	mavi:RC58_05735
ko:K00549	mavi:RC58_05745
ko:K04748	mavi:RC58_05785
ko:K08299	mavi:RC58_05820
ko:K16168	mavi:RC58_05830
ko:K16167	mavi:RC58_05835
ko:K07052	mavi:RC58_05845
ko:K01692	mavi:RC58_05850
ko:K01796	mavi:RC58_05855
ko:K06994	mavi:RC58_05865
ko:K12410	mavi:RC58_05875
ko:K13669	mavi:RC58_05915
ko:K01724	mavi:RC58_05920
ko:K03574	mavi:RC58_05930
ko:K00370	mavi:RC58_05935
ko:K00371	mavi:RC58_05940
ko:K00373	mavi:RC58_05945
ko:K00374	mavi:RC58_05950
ko:K06207	mavi:RC58_05955
ko:K11779	mavi:RC58_05980
ko:K02230	mavi:RC58_10080
ko:K07006	mavi:RC58_10085
ko:K01061	mavi:RC58_10090
ko:K07113	mavi:RC58_10095
ko:K03820	mavi:RC58_10105
ko:K03929	mavi:RC58_10220
ko:K00851	mavi:RC58_10230
ko:K08281	mavi:RC58_10250
ko:K03088	mavi:RC58_10270
ko:K02027	mavi:RC58_10275
ko:K02025	mavi:RC58_10280
ko:K02026	mavi:RC58_10285
ko:K10112	mavi:RC58_10290
ko:K07001	mavi:RC58_10295
ko:K07243	mavi:RC58_10310
ko:K07224	mavi:RC58_10315
ko:K16301	mavi:RC58_10320
ko:K03088	mavi:RC58_10335
ko:K07304	mavi:RC58_01035
ko:K07095	mavi:RC58_01135
ko:K01992	mavi:RC58_01150
ko:K18851	mavi:RC58_01155
ko:K16146	mavi:RC58_01165
ko:K05343	mavi:RC58_01170
ko:K02355	mavi:RC58_01185
ko:K01577	mavi:RC58_01195
ko:K00128	mavi:RC58_01240
ko:K00121	mavi:RC58_01295
ko:K12955	mavi:RC58_01310
ko:K03781	mavi:RC58_05315
ko:K07090	mavi:RC58_05320
ko:K00449	mavi:RC58_05385
ko:K00448	mavi:RC58_05390
ko:K01857	mavi:RC58_05395
ko:K00459	mavi:RC58_05435
ko:K00655	mavi:RC58_09520
ko:K13671	mavi:RC58_09525
ko:K01626	mavi:RC58_09540
ko:K14337	mavi:RC58_09560
ko:K13787	mavi:RC58_09565
ko:K03925	mavi:RC58_09590
ko:K03438	mavi:RC58_09595
ko:K03587	mavi:RC58_09605
ko:K01928	mavi:RC58_09610
ko:K01929	mavi:RC58_09615
ko:K01000	mavi:RC58_09620
ko:K01925	mavi:RC58_09625
ko:K02563	mavi:RC58_09635
ko:K01924	mavi:RC58_09640
ko:K03589	mavi:RC58_09645
ko:K03531	mavi:RC58_09650
ko:K05810	mavi:RC58_09655
ko:K06997	mavi:RC58_09660
ko:K09772	mavi:RC58_09665
ko:K02221	mavi:RC58_09670
ko:K06910	mavi:RC58_09705
ko:K00254	mavi:RC58_09715
ko:K01082	mavi:RC58_09750
ko:K15526	mavi:RC58_09755
ko:K01652	mavi:RC58_09770
ko:K00338	mavi:RC58_18760
ko:K02066	mavi:RC58_18770
ko:K02066	mavi:RC58_18775
ko:K18481	mavi:RC58_18785
ko:K03823	mavi:RC58_18790
ko:K06994	mavi:RC58_18855
ko:K02939	mavi:RC58_18885
ko:K02963	mavi:RC58_18890
ko:K03111	mavi:RC58_18895
ko:K02990	mavi:RC58_18900
ko:K01858	mavi:RC58_18935
ko:K14728	mavi:RC58_18940
ko:K02029	mavi:RC58_18975
ko:K02030	mavi:RC58_18975
ko:K00973	mavi:RC58_19575
ko:K14260	mavi:RC58_19585
ko:K04043	mavi:RC58_19635
ko:K03687	mavi:RC58_19640
ko:K03686	mavi:RC58_19645
ko:K13640	mavi:RC58_19650
ko:K13789	mavi:RC58_19665
ko:K03695	mavi:RC58_19710
ko:K07124	mavi:RC58_19720
ko:K00762	mavi:RC58_19725
ko:K01027	mavi:RC58_19745
ko:K03975	mavi:RC58_19750
ko:K16264	mavi:RC58_19765
ko:K01939	mavi:RC58_19785
ko:K08289	mavi:RC58_19795
ko:K10764	mavi:RC58_19805
ko:K03885	mavi:RC58_19810
ko:K00252	mavi:RC58_19830
ko:K02492	mavi:RC58_20465
ko:K01749	mavi:RC58_20470
ko:K13542	mavi:RC58_20475
ko:K01698	mavi:RC58_20480
ko:K00077	mavi:RC58_20535
ko:K01845	mavi:RC58_20555
ko:K06196	mavi:RC58_20570
ko:K07399	mavi:RC58_20575
ko:K11608	mavi:RC58_20595
ko:K02548	mavi:RC58_20600
ko:K00772	mavi:RC58_20605
ko:K09931	mavi:RC58_20630
ko:K03306	mavi:RC58_20655
ko:K01661	mavi:RC58_20670
ko:K00666	mavi:RC58_20690
ko:K02549	mavi:RC58_20700
ko:K02551	mavi:RC58_20710
ko:K12583	mavi:RC58_20720
ko:K03183	mavi:RC58_20725
ko:K03073	mavi:RC58_21035
ko:K02601	mavi:RC58_21040
ko:K02867	mavi:RC58_21045
ko:K02863	mavi:RC58_21050
ko:K03088	mavi:RC58_21055
ko:K00574	mavi:RC58_21065
ko:K00574	mavi:RC58_21070
ko:K00645	mavi:RC58_21095
ko:K00845	mavi:RC58_21100
ko:K02864	mavi:RC58_21110
ko:K02935	mavi:RC58_21115
ko:K11159	mavi:RC58_21125
ko:K02065	mavi:RC58_21130
ko:K03043	mavi:RC58_21135
ko:K03046	mavi:RC58_21140
ko:K01151	mavi:RC58_21145
ko:K09456	mavi:RC58_21150
ko:K01692	mavi:RC58_21155
ko:K02616	mavi:RC58_21160
ko:K01692	mavi:RC58_21165
ko:K02950	mavi:RC58_21185
ko:K02992	mavi:RC58_21190
ko:K02355	mavi:RC58_21195
ko:K02358	mavi:RC58_21200
ko:K01092	mavi:RC58_21225
ko:K00101	mavi:RC58_21260
ko:K02946	mavi:RC58_21285
ko:K02906	mavi:RC58_21290
ko:K02926	mavi:RC58_21295
ko:K02892	mavi:RC58_21300
ko:K02886	mavi:RC58_21305
ko:K02965	mavi:RC58_21310
ko:K02890	mavi:RC58_21315
ko:K01710	mavi:RC58_21615
ko:K02518	mavi:RC58_21630
ko:K02952	mavi:RC58_21635
ko:K02948	mavi:RC58_21640
ko:K02986	mavi:RC58_21645
ko:K03040	mavi:RC58_21650
ko:K02879	mavi:RC58_21655
ko:K06173	mavi:RC58_21660
ko:K03466	mavi:RC58_21690
ko:K02871	mavi:RC58_21710
ko:K02996	mavi:RC58_21715
ko:K03431	mavi:RC58_21720
ko:K00820	mavi:RC58_21750
ko:K01580	mavi:RC58_21770
ko:K06925	mavi:RC58_21785
ko:K03789	mavi:RC58_21795
ko:K01409	mavi:RC58_21800
ko:K04078	mavi:RC58_21805
ko:K04077	mavi:RC58_21810
ko:K04565	mavi:RC58_21840
ko:K03088	mavi:RC58_21855
ko:K00088	mavi:RC58_21870
ko:K03333	mavi:RC58_21880
ko:K01652	mavi:RC58_00460
ko:K00135	mavi:RC58_00470
ko:K07048	mavi:RC58_00490
ko:K00128	mavi:RC58_00520
ko:K01692	mavi:RC58_00540
ko:K01596	mavi:RC58_00595
ko:K03439	mavi:RC58_00610
ko:K06860	mavi:RC58_00615
ko:K01687	mavi:RC58_00670
ko:K05349	mavi:RC58_00690
ko:K03088	mavi:RC58_00710
ko:K06911	mavi:RC58_00730
ko:K00215	mavi:RC58_04565
ko:K01061	mavi:RC58_04610
ko:K01714	mavi:RC58_04640
ko:K12574	mavi:RC58_04645
ko:K03466	mavi:RC58_04670
ko:K00619	mavi:RC58_04675
ko:K00995	mavi:RC58_04680
ko:K10533	mavi:RC58_04705
ko:K03565	mavi:RC58_04735
ko:K06168	mavi:RC58_04740
ko:K01778	mavi:RC58_04770
ko:K03665	mavi:RC58_04775
ko:K01356	mavi:RC58_04790
ko:K07738	mavi:RC58_04800
ko:K00322	mavi:RC58_04830
ko:K03709	mavi:RC58_04840
ko:K03087	mavi:RC58_04845
ko:K00390	mavi:RC58_08940
ko:K00392	mavi:RC58_08945
ko:K01448	mavi:RC58_09010
ko:K00153	mavi:RC58_09075
ko:K00803	mavi:RC58_09100
ko:K00111	mavi:RC58_09110
ko:K18472	mavi:RC58_09120
ko:K11609	mavi:RC58_09125
ko:K11609	mavi:RC58_09130
ko:K02078	mavi:RC58_09135
ko:K00645	mavi:RC58_09140
ko:K00163	mavi:RC58_09150
ko:K03386	mavi:RC58_09165
ko:K02227	mavi:RC58_09190
ko:K01104	mavi:RC58_09200
ko:K01992	mavi:RC58_13250
ko:K00615	mavi:RC58_13275
ko:K00616	mavi:RC58_13280
ko:K00036	mavi:RC58_13285
ko:K01057	mavi:RC58_13295
ko:K03075	mavi:RC58_13330
ko:K01803	mavi:RC58_13335
ko:K00927	mavi:RC58_13340
ko:K00134	mavi:RC58_13345
ko:K09762	mavi:RC58_13415
ko:K06958	mavi:RC58_13425
ko:K03703	mavi:RC58_13430
ko:K00794	mavi:RC58_13455
ko:K14652	mavi:RC58_13460
ko:K00793	mavi:RC58_13465
ko:K14954	mavi:RC58_13470
ko:K11752	mavi:RC58_13480
ko:K01783	mavi:RC58_13485
ko:K00604	mavi:RC58_13495
ko:K00789	mavi:RC58_13530
ko:K01876	mavi:RC58_13845
ko:K00077	mavi:RC58_13850
ko:K07054	mavi:RC58_13860
ko:K01714	mavi:RC58_13865
ko:K01628	mavi:RC58_13870
ko:K01892	mavi:RC58_13905
ko:K03768	mavi:RC58_13915
ko:K00951	mavi:RC58_13925
ko:K00759	mavi:RC58_13930
ko:K02035	mavi:RC58_13935
ko:K03210	mavi:RC58_13945
ko:K07250	mavi:RC58_13950
ko:K12421	mavi:RC58_13955
ko:K03551	mavi:RC58_13965
ko:K03550	mavi:RC58_13970
ko:K01159	mavi:RC58_13975
ko:K00797	mavi:RC58_14005
ko:K18455	mavi:RC58_14015
ko:K03624	mavi:RC58_14025
ko:K01739	mavi:RC58_14030
ko:K01697	mavi:RC58_14040
ko:K01692	mavi:RC58_14065
ko:K01692	mavi:RC58_14070
ko:K07001	mavi:RC58_14095
ko:K07001	mavi:RC58_14100
ko:K03088	mavi:RC58_14465
ko:K07056	mavi:RC58_14475
ko:K01478	mavi:RC58_14485
ko:K03273	mavi:RC58_14510
ko:K03271	mavi:RC58_14515
ko:K07031	mavi:RC58_14520
ko:K03790	mavi:RC58_14565
ko:K03750	mavi:RC58_14570
ko:K00963	mavi:RC58_14575
ko:K03282	mavi:RC58_14595
ko:K08372	mavi:RC58_14605
ko:K07653	mavi:RC58_14610
ko:K07669	mavi:RC58_14615
ko:K02911	mavi:RC58_14620
ko:K01965	mavi:RC58_14640
ko:K01692	mavi:RC58_14650
ko:K06221	mavi:RC58_14660
ko:K01692	mavi:RC58_14975
ko:K01962	mavi:RC58_14980
ko:K01963	mavi:RC58_14980
ko:K07671	mavi:RC58_15005
ko:K07655	mavi:RC58_15010
ko:K01647	mavi:RC58_15025
ko:K00275	mavi:RC58_15030
ko:K01647	mavi:RC58_15035
ko:K04750	mavi:RC58_15040
ko:K00528	mavi:RC58_15045
ko:K00831	mavi:RC58_15055
ko:K07393	mavi:RC58_15110
ko:K03704	mavi:RC58_15120
ko:K03635	mavi:RC58_15145
ko:K03637	mavi:RC58_15155
ko:K10843	mavi:RC58_15170
ko:K01782	mavi:RC58_15215
ko:K00626	mavi:RC58_15220
ko:K14267	mavi:RC58_15225
ko:K01796	mavi:RC58_15240
ko:K05713	mavi:RC58_15705
ko:K05712	mavi:RC58_15710
ko:K02480	mavi:RC58_15730
ko:K07684	mavi:RC58_15735
ko:K00161	mavi:RC58_15740
ko:K07588	mavi:RC58_15745
ko:K00626	mavi:RC58_15750
ko:K13727	mavi:RC58_15755
ko:K01259	mavi:RC58_15760
ko:K01849	mavi:RC58_15810
ko:K01848	mavi:RC58_15815
ko:K00059	mavi:RC58_16400
ko:K05337	mavi:RC58_16405
ko:K00666	mavi:RC58_16420
ko:K07045	mavi:RC58_16440
ko:K18688	mavi:RC58_16450
ko:K01692	mavi:RC58_16455
ko:K16046	mavi:RC58_16465
ko:K07068	mavi:RC58_16480
ko:K00626	mavi:RC58_16490
ko:K15982	mavi:RC58_16505
ko:K01666	mavi:RC58_16535
ko:K04073	mavi:RC58_16540
ko:K02554	mavi:RC58_16545
ko:K05898	mavi:RC58_16550
ko:K15981	mavi:RC58_16590
ko:K00626	mavi:RC58_16595
ko:K01692	mavi:RC58_16620
ko:K00626	mavi:RC58_16650
ko:K00059	mavi:RC58_16660
ko:K18687	mavi:RC58_16670
ko:K14733	mavi:RC58_16975
ko:K09807	mavi:RC58_17005
ko:K00760	mavi:RC58_17010
ko:K07259	mavi:RC58_17025
ko:K01507	mavi:RC58_17030
ko:K09799	mavi:RC58_17035
ko:K09153	mavi:RC58_17050
ko:K01784	mavi:RC58_17055
ko:K03168	mavi:RC58_17090
ko:K03704	mavi:RC58_17100
ko:K06877	mavi:RC58_17105
ko:K02031	mavi:RC58_17160
ko:K02032	mavi:RC58_17160
ko:K15582	mavi:RC58_17165
ko:K15581	mavi:RC58_17170
ko:K15580	mavi:RC58_17175
ko:K01895	mavi:RC58_17185
ko:K10773	mavi:RC58_17220
ko:K14953	mavi:RC58_17605
ko:K02343	mavi:RC58_17630
ko:K00574	mavi:RC58_17635
ko:K01448	mavi:RC58_17650
ko:K09747	mavi:RC58_17655
ko:K06187	mavi:RC58_17660
ko:K07009	mavi:RC58_17665
ko:K02342	mavi:RC58_17675
ko:K01649	mavi:RC58_17680
ko:K00928	mavi:RC58_17685
ko:K00133	mavi:RC58_17690
ko:K01919	mavi:RC58_17715
ko:K18912	mavi:RC58_17720
ko:K07008	mavi:RC58_17725
ko:K18911	mavi:RC58_17730
ko:K18913	mavi:RC58_17735
ko:K01720	mavi:RC58_17765
ko:K03417	mavi:RC58_17770
ko:K01647	mavi:RC58_17775
ko:K01958	mavi:RC58_17780
ko:K01644	mavi:RC58_17785
ko:K09966	mavi:RC58_17815
ko:K12437	mavi:RC58_18155
ko:K12428	mavi:RC58_18160
ko:K18851	mavi:RC58_18175
ko:K13687	mavi:RC58_18180
ko:K14136	mavi:RC58_18185
ko:K16650	mavi:RC58_18195
ko:K01854	mavi:RC58_18200
ko:K14952	mavi:RC58_18235
ko:K01875	mavi:RC58_18270
ko:K04518	mavi:RC58_18290
ko:K01126	mavi:RC58_18305
ko:K04564	mavi:RC58_18315
ko:K02553	mavi:RC58_18345
ko:K10215	mavi:RC58_18350
ko:K02346	mavi:RC58_18360
ko:K04477	mavi:RC58_18365
ko:K00266	mavi:RC58_18380
ko:K00265	mavi:RC58_18385
ko:K03088	mavi:RC58_18395
ko:K01869	mavi:RC58_18995
ko:K07735	mavi:RC58_19010
ko:K18956	mavi:RC58_19070
ko:K06911	mavi:RC58_19080
ko:K06975	mavi:RC58_19085
ko:K01909	mavi:RC58_19105
ko:K02078	mavi:RC58_19110
ko:K01664	mavi:RC58_19160
ko:K03767	mavi:RC58_19180
ko:K12431	mavi:RC58_19225
ko:K07089	mavi:RC58_19235
ko:K02963	mavi:RC58_19245
ko:K02954	mavi:RC58_19250
ko:K02913	mavi:RC58_19255
ko:K02909	mavi:RC58_19265
ko:K13788	mavi:RC58_19865
ko:K00925	mavi:RC58_19870
ko:K14949	mavi:RC58_19905
ko:K02030	mavi:RC58_19910
ko:K03574	mavi:RC58_19920
ko:K03153	mavi:RC58_19935
ko:K03154	mavi:RC58_19940
ko:K03149	mavi:RC58_19945
ko:K07020	mavi:RC58_20000
ko:K00941	mavi:RC58_20005
ko:K03147	mavi:RC58_20010
ko:K01142	mavi:RC58_20030
ko:K01462	mavi:RC58_20040
ko:K04565	mavi:RC58_20055
ko:K06048	mavi:RC58_20060
ko:K07157	mavi:RC58_20065
ko:K13525	mavi:RC58_20090
ko:K17103	mavi:RC58_20095
ko:K03750	mavi:RC58_20110
ko:K04077	mavi:RC58_20130
ko:K00038	mavi:RC58_10425
ko:K06994	mavi:RC58_10430
ko:K01560	mavi:RC58_10480
ko:K03781	mavi:RC58_10495
ko:K12262	mavi:RC58_10500
ko:K06988	mavi:RC58_10505
ko:K16137	mavi:RC58_10515
ko:K01782	mavi:RC58_10550
ko:K00626	mavi:RC58_10555
ko:K03151	mavi:RC58_10635
ko:K13993	mavi:RC58_10640
ko:K13993	mavi:RC58_10650
ko:K01951	mavi:RC58_01360
ko:K14161	mavi:RC58_01370
ko:K01239	mavi:RC58_01385
ko:K14162	mavi:RC58_01425
ko:K03216	mavi:RC58_01435
ko:K07131	mavi:RC58_01450
ko:K06945	mavi:RC58_01460
ko:K01491	mavi:RC58_01495
ko:K00641	mavi:RC58_01520
ko:K00031	mavi:RC58_01530
ko:K00031	mavi:RC58_01535
ko:K01867	mavi:RC58_01545
ko:K07058	mavi:RC58_01550
ko:K11741	mavi:RC58_01555
ko:K03088	mavi:RC58_01585
ko:K00240	mavi:RC58_01595
ko:K00239	mavi:RC58_01600
ko:K00242	mavi:RC58_01605
ko:K03316	mavi:RC58_05460
ko:K00995	mavi:RC58_05475
ko:K08256	mavi:RC58_05485
ko:K06215	mavi:RC58_05495
ko:K10805	mavi:RC58_05500
ko:K08681	mavi:RC58_05505
ko:K11068	mavi:RC58_05525
ko:K12503	mavi:RC58_05530
ko:K00867	mavi:RC58_05545
ko:K00600	mavi:RC58_05550
ko:K03922	mavi:RC58_05555
ko:K07175	mavi:RC58_05560
ko:K01679	mavi:RC58_05580
ko:K02446	mavi:RC58_05585
ko:K03929	mavi:RC58_05600
ko:K16045	mavi:RC58_05605
ko:K03602	mavi:RC58_05610
ko:K03601	mavi:RC58_05615
ko:K03527	mavi:RC58_05625
ko:K06942	mavi:RC58_05635
ko:K00036	mavi:RC58_05695
ko:K00033	mavi:RC58_05700
ko:K01006	mavi:RC58_05730
ko:K00548	mavi:RC58_09825
ko:K18481	mavi:RC58_09835
ko:K02067	mavi:RC58_09860
ko:K02066	mavi:RC58_09870
ko:K02066	mavi:RC58_09875
ko:K01523	mavi:RC58_09885
ko:K00765	mavi:RC58_09890
ko:K07442	mavi:RC58_09910
ko:K09764	mavi:RC58_09915
ko:K13527	mavi:RC58_09925
ko:K13570	mavi:RC58_09940
ko:K03433	mavi:RC58_09945
ko:K03432	mavi:RC58_09950
ko:K13571	mavi:RC58_09955
ko:K13573	mavi:RC58_09965
ko:K03116	mavi:RC58_09970
ko:K03118	mavi:RC58_09975
ko:K03727	mavi:RC58_09980
ko:K03727	mavi:RC58_09985
ko:K00595	mavi:RC58_10020
ko:K05936	mavi:RC58_10025
ko:K05895	mavi:RC58_10030
ko:K03088	mavi:RC58_10035
ko:K06042	mavi:RC58_10050
ko:K02229	mavi:RC58_10055
ko:K15554	mavi:RC58_10060
ko:K15555	mavi:RC58_10065
ko:K15553	mavi:RC58_10070
ko:K03932	mavi:RC58_21920
ko:K00666	mavi:RC58_21950
ko:K07068	mavi:RC58_21960
ko:K07068	mavi:RC58_21990
ko:K01623	mavi:RC58_22030
ko:K06994	mavi:RC58_22090
ko:K00970	mavi:RC58_22140
ko:K03980	mavi:RC58_22175
ko:K03088	mavi:RC58_22180
ko:K00384	mavi:RC58_22190
ko:K03671	mavi:RC58_22195
ko:K20074	mavi:RC58_19135
ko:K16444	mavi:RC58_04605
ko:K07098	mavi:RC58_17265
ko:K14237	mavi:RC58_05285
ko:K19710	mavi:RC58_05470
ko:K01978	mavi:RC58_22245
ko:K01822	mavi:RC58_05520
ko:K19777	mavi:RC58_18525
ko:K01977	mavi:RC58_06810
ko:K01980	mavi:RC58_06815
ko:K07119	mavi:RC58_19440
ko:K08744	mavi:RC58_11455
ko:K20938	mavi:RC58_02730
ko:K00059	mavi:RC58_12275
ko:K06994	mavi:RC58_07925
ko:K13775	mavi:RC58_02210
ko:K15510	mavi:RC58_19860
ko:K00529	mavi:RC58_11240
ko:K00632	mavi:RC58_15555
ko:K00632	mavi:RC58_05815
ko:K07535	mavi:RC58_19835
ko:K03379	mavi:RC58_01260
ko:K05770	mavi:RC58_03505
