ko:K01006	lmoz:LM1816_11527
ko:K01495	lmoz:LM1816_11892
ko:K03183	lmoz:LM1816_11882
ko:K00940	lmoz:LM1816_11872
ko:K01736	lmoz:LM1816_11867
ko:K01735	lmoz:LM1816_11862
ko:K06208	lmoz:LM1816_11857
ko:K00817	lmoz:LM1816_11852
ko:K00800	lmoz:LM1816_11842
ko:K06973	lmoz:LM1816_11822
ko:K07007	lmoz:LM1816_11817
ko:K00656	lmoz:LM1816_17455
ko:K00215	lmoz:LM1816_11757
ko:K01734	lmoz:LM1816_11752
ko:K03524	lmoz:LM1816_11742
ko:K00606	lmoz:LM1816_11732
ko:K01918	lmoz:LM1816_11722
ko:K01579	lmoz:LM1816_11717
ko:K00812	lmoz:LM1816_11702
ko:K02114	lmoz:LM1816_04052
ko:K02112	lmoz:LM1816_04047
ko:K02115	lmoz:LM1816_04042
ko:K02111	lmoz:LM1816_04037
ko:K02113	lmoz:LM1816_04032
ko:K02110	lmoz:LM1816_04027
ko:K10778	lmoz:LM1816_16705
ko:K03466	lmoz:LM1816_03837
ko:K01939	lmoz:LM1816_03797
ko:K02939	lmoz:LM1816_03782
ko:K02003	lmoz:LM1816_07653
ko:K01809	lmoz:LM1816_07628
ko:K01443	lmoz:LM1816_17330
ko:K04759	lmoz:LM1816_07593
ko:K04758	lmoz:LM1816_07588
ko:K08681	lmoz:LM1816_07578
ko:K06215	lmoz:LM1816_07573
ko:K02773	lmoz:LM1816_07558
ko:K02774	lmoz:LM1816_07553
ko:K01628	lmoz:LM1816_07538
ko:K01755	lmoz:LM1816_07523
ko:K01940	lmoz:LM1816_07518
ko:K06199	lmoz:LM1816_13397
ko:K06199	lmoz:LM1816_13392
ko:K06925	lmoz:LM1816_13377
ko:K03789	lmoz:LM1816_13367
ko:K06158	lmoz:LM1816_17335
ko:K01926	lmoz:LM1816_13342
ko:K04078	lmoz:LM1816_13327
ko:K04077	lmoz:LM1816_13322
ko:K01442	lmoz:LM1816_13317
ko:K03282	lmoz:LM1816_13302
ko:K14166	lmoz:LM1816_13292
ko:K07095	lmoz:LM1816_08653
ko:K00989	lmoz:LM1816_08643
ko:K01776	lmoz:LM1816_08638
ko:K00928	lmoz:LM1816_08628
ko:K03703	lmoz:LM1816_08623
ko:K03671	lmoz:LM1816_08618
ko:K07456	lmoz:LM1816_08613
ko:K02347	lmoz:LM1816_08608
ko:K09888	lmoz:LM1816_08598
ko:K03648	lmoz:LM1816_08588
ko:K02003	lmoz:LM1816_08563
ko:K01890	lmoz:LM1816_08558
ko:K01889	lmoz:LM1816_17865
ko:K03437	lmoz:LM1816_08533
ko:K09936	lmoz:LM1816_08498
ko:K09936	lmoz:LM1816_08493
ko:K02232	lmoz:LM1816_08483
ko:K02006	lmoz:LM1816_08478
ko:K02008	lmoz:LM1816_08473
ko:K02007	lmoz:LM1816_08463
ko:K03394	lmoz:LM1816_08458
ko:K02013	lmoz:LM1816_13950
ko:K05837	lmoz:LM1816_13945
ko:K05837	lmoz:LM1816_13940
ko:K02437	lmoz:LM1816_13930
ko:K02071	lmoz:LM1816_13900
ko:K02072	lmoz:LM1816_13895
ko:K02073	lmoz:LM1816_13890
ko:K09013	lmoz:LM1816_13875
ko:K09015	lmoz:LM1816_13870
ko:K11717	lmoz:LM1816_13865
ko:K09014	lmoz:LM1816_13855
ko:K07090	lmoz:LM1816_13835
ko:K03885	lmoz:LM1816_13765
ko:K09775	lmoz:LM1816_13745
ko:K05571	lmoz:LM1816_13735
ko:K05569	lmoz:LM1816_13725
ko:K05567	lmoz:LM1816_13710
ko:K05566	lmoz:LM1816_13705
ko:K00928	lmoz:LM1816_17025
ko:K02760	lmoz:LM1816_17030
ko:K02003	lmoz:LM1816_13665
ko:K01963	lmoz:LM1816_12692
ko:K01962	lmoz:LM1816_12687
ko:K00850	lmoz:LM1816_12682
ko:K00873	lmoz:LM1816_12677
ko:K07113	lmoz:LM1816_12672
ko:K01647	lmoz:LM1816_12662
ko:K00031	lmoz:LM1816_12657
ko:K00859	lmoz:LM1816_06740
ko:K07738	lmoz:LM1816_06735
ko:K01868	lmoz:LM1816_06720
ko:K03978	lmoz:LM1816_06715
ko:K02492	lmoz:LM1816_06710
ko:K01749	lmoz:LM1816_06705
ko:K01698	lmoz:LM1816_06695
ko:K01845	lmoz:LM1816_06690
ko:K01873	lmoz:LM1816_06685
ko:K11754	lmoz:LM1816_06680
ko:K03630	lmoz:LM1816_06675
ko:K03569	lmoz:LM1816_06665
ko:K03570	lmoz:LM1816_06660
ko:K03571	lmoz:LM1816_06655
ko:K03610	lmoz:LM1816_06650
ko:K03609	lmoz:LM1816_06645
ko:K08301	lmoz:LM1816_17655
ko:K02888	lmoz:LM1816_06630
ko:K02899	lmoz:LM1816_06620
ko:K02440	lmoz:LM1816_06615
ko:K00864	lmoz:LM1816_06610
ko:K03979	lmoz:LM1816_06605
ko:K03550	lmoz:LM1816_06585
ko:K03551	lmoz:LM1816_06580
ko:K07568	lmoz:LM1816_06575
ko:K00773	lmoz:LM1816_17660
ko:K03210	lmoz:LM1816_06560
ko:K12257	lmoz:LM1816_06550
ko:K07462	lmoz:LM1816_06540
ko:K00759	lmoz:LM1816_06535
ko:K01875	lmoz:LM1816_02822
ko:K12410	lmoz:LM1816_02782
ko:K00865	lmoz:LM1816_02767
ko:K01895	lmoz:LM1816_16835
ko:K11991	lmoz:LM1816_02662
ko:K00425	lmoz:LM1816_02657
ko:K00426	lmoz:LM1816_02652
ko:K02761	lmoz:LM1816_02607
ko:K02343	lmoz:LM1816_02587
ko:K09747	lmoz:LM1816_02582
ko:K06187	lmoz:LM1816_02577
ko:K08310	lmoz:LM1816_02557
ko:K05879	lmoz:LM1816_02537
ko:K05878	lmoz:LM1816_16845
ko:K01893	lmoz:LM1816_11697
ko:K10773	lmoz:LM1816_11687
ko:K07444	lmoz:LM1816_11637
ko:K03816	lmoz:LM1816_11627
ko:K16169	lmoz:LM1816_11622
ko:K02954	lmoz:LM1816_11612
ko:K03704	lmoz:LM1816_11597
ko:K01938	lmoz:LM1816_11587
ko:K15738	lmoz:LM1816_17475
ko:K09773	lmoz:LM1816_11522
ko:K11068	lmoz:LM1816_11512
ko:K03797	lmoz:LM1816_11447
ko:K03327	lmoz:LM1816_11422
ko:K06901	lmoz:LM1816_11417
ko:K00123	lmoz:LM1816_16930
ko:K02379	lmoz:LM1816_16077
ko:K02003	lmoz:LM1816_16057
ko:K16264	lmoz:LM1816_16027
ko:K08281	lmoz:LM1816_16007
ko:K06885	lmoz:LM1816_15972
ko:K01821	lmoz:LM1816_15967
ko:K01887	lmoz:LM1816_15952
ko:K01937	lmoz:LM1816_15942
ko:K13678	lmoz:LM1816_15917
ko:K00790	lmoz:LM1816_16950
ko:K03628	lmoz:LM1816_15897
ko:K02909	lmoz:LM1816_15887
ko:K00003	lmoz:LM1816_15882
ko:K01733	lmoz:LM1816_15877
ko:K00872	lmoz:LM1816_15872
ko:K02835	lmoz:LM1816_16955
ko:K02493	lmoz:LM1816_15852
ko:K07566	lmoz:LM1816_15847
ko:K05349	lmoz:LM1816_07222
ko:K02529	lmoz:LM1816_07212
ko:K02760	lmoz:LM1816_07182
ko:K02759	lmoz:LM1816_07177
ko:K03569	lmoz:LM1816_07152
ko:K03839	lmoz:LM1816_07137
ko:K01265	lmoz:LM1816_07132
ko:K07058	lmoz:LM1816_07117
ko:K03790	lmoz:LM1816_07072
ko:K14205	lmoz:LM1816_07057
ko:K07071	lmoz:LM1816_07052
ko:K07038	lmoz:LM1816_07027
ko:K10780	lmoz:LM1816_07017
ko:K01845	lmoz:LM1816_07002
ko:K03101	lmoz:LM1816_11412
ko:K06180	lmoz:LM1816_11407
ko:K02825	lmoz:LM1816_11392
ko:K14237	lmoz:LM1816_17600
ko:K02897	lmoz:LM1816_04833
ko:K01114	lmoz:LM1816_04672
ko:K00948	lmoz:LM1816_04632
ko:K04042	lmoz:LM1816_04627
ko:K06412	lmoz:LM1816_04617
ko:K06412	lmoz:LM1816_04612
ko:K07707	lmoz:LM1816_03772
ko:K07813	lmoz:LM1816_03757
ko:K02963	lmoz:LM1816_03747
ko:K02990	lmoz:LM1816_03737
ko:K03975	lmoz:LM1816_03727
ko:K03481	lmoz:LM1816_03722
ko:K00926	lmoz:LM1816_03712
ko:K10536	lmoz:LM1816_03707
ko:K13252	lmoz:LM1816_03697
ko:K02761	lmoz:LM1816_03687
ko:K02529	lmoz:LM1816_03667
ko:K01223	lmoz:LM1816_03552
ko:K07282	lmoz:LM1816_03542
ko:K02829	lmoz:LM1816_03537
ko:K02828	lmoz:LM1816_03532
ko:K02827	lmoz:LM1816_03527
ko:K02826	lmoz:LM1816_03517
ko:K10716	lmoz:LM1816_13277
ko:K02259	lmoz:LM1816_13272
ko:K00954	lmoz:LM1816_13237
ko:K07040	lmoz:LM1816_01247
ko:K02911	lmoz:LM1816_01242
ko:K00077	lmoz:LM1816_01237
ko:K03925	lmoz:LM1816_01212
ko:K03438	lmoz:LM1816_01207
ko:K01928	lmoz:LM1816_01192
ko:K01000	lmoz:LM1816_17365
ko:K01925	lmoz:LM1816_05328
ko:K02563	lmoz:LM1816_17370
ko:K03589	lmoz:LM1816_17375
ko:K03590	lmoz:LM1816_05303
ko:K03531	lmoz:LM1816_17380
ko:K06997	lmoz:LM1816_05288
ko:K09772	lmoz:LM1816_05283
ko:K02221	lmoz:LM1816_05278
ko:K03517	lmoz:LM1816_12382
ko:K00767	lmoz:LM1816_12377
ko:K00278	lmoz:LM1816_17415
ko:K04074	lmoz:LM1816_12352
ko:K01870	lmoz:LM1816_12347
ko:K01778	lmoz:LM1816_12342
ko:K03704	lmoz:LM1816_12332
ko:K01980	lmoz:LM1816_16615
ko:K01980	lmoz:LM1816_17590
ko:K01980	lmoz:LM1816_16925
ko:K01980	lmoz:LM1816_17535
ko:K01980	lmoz:LM1816_17055
ko:K01977	lmoz:LM1816_16620
ko:K01977	lmoz:LM1816_17585
ko:K01977	lmoz:LM1816_17530
ko:K01977	lmoz:LM1816_17040
ko:K01977	lmoz:LM1816_16920
ko:K14218	lmoz:LM1816_17050
ko:K02003	lmoz:LM1816_16645
ko:K00919	lmoz:LM1816_04577
ko:K02528	lmoz:LM1816_04567
ko:K05985	lmoz:LM1816_04562
ko:K03424	lmoz:LM1816_04547
ko:K01874	lmoz:LM1816_16665
ko:K05340	lmoz:LM1816_04452
ko:K06284	lmoz:LM1816_04447
ko:K07056	lmoz:LM1816_16675
ko:K07461	lmoz:LM1816_04432
ko:K02341	lmoz:LM1816_04412
ko:K09816	lmoz:LM1816_04372
ko:K02503	lmoz:LM1816_10277
ko:K01599	lmoz:LM1816_10257
ko:K01772	lmoz:LM1816_10252
ko:K06890	lmoz:LM1816_10232
ko:K03695	lmoz:LM1816_17250
ko:K00648	lmoz:LM1816_10202
ko:K09458	lmoz:LM1816_17255
ko:K01867	lmoz:LM1816_08163
ko:K15580	lmoz:LM1816_08153
ko:K15581	lmoz:LM1816_08148
ko:K16511	lmoz:LM1816_17275
ko:K08602	lmoz:LM1816_08103
ko:K02016	lmoz:LM1816_17280
ko:K02015	lmoz:LM1816_08073
ko:K02013	lmoz:LM1816_08068
ko:K08600	lmoz:LM1816_08063
ko:K08177	lmoz:LM1816_07983
ko:K03625	lmoz:LM1816_15482
ko:K01961	lmoz:LM1816_15472
ko:K02160	lmoz:LM1816_17770
ko:K02356	lmoz:LM1816_15467
ko:K00283	lmoz:LM1816_15442
ko:K00282	lmoz:LM1816_15437
ko:K00605	lmoz:LM1816_17775
ko:K02247	lmoz:LM1816_15392
ko:K02913	lmoz:LM1816_15347
ko:K06949	lmoz:LM1816_15327
ko:K00962	lmoz:LM1816_15322
ko:K02956	lmoz:LM1816_15317
ko:K11753	lmoz:LM1816_15312
ko:K02834	lmoz:LM1816_15302
ko:K02519	lmoz:LM1816_15292
ko:K07742	lmoz:LM1816_15282
ko:K02600	lmoz:LM1816_15277
ko:K09748	lmoz:LM1816_15272
ko:K01881	lmoz:LM1816_15262
ko:K11749	lmoz:LM1816_15257
ko:K00099	lmoz:LM1816_17800
ko:K00981	lmoz:LM1816_15242
ko:K00806	lmoz:LM1816_17805
ko:K02838	lmoz:LM1816_15227
ko:K09903	lmoz:LM1816_15222
ko:K00615	lmoz:LM1816_15182
ko:K13542	lmoz:LM1816_17880
ko:K05895	lmoz:LM1816_08433
ko:K02189	lmoz:LM1816_08423
ko:K05936	lmoz:LM1816_08418
ko:K02191	lmoz:LM1816_08413
ko:K02188	lmoz:LM1816_08403
ko:K06042	lmoz:LM1816_08398
ko:K02227	lmoz:LM1816_08393
ko:K04030	lmoz:LM1816_08373
ko:K04032	lmoz:LM1816_17890
ko:K04027	lmoz:LM1816_08328
ko:K04026	lmoz:LM1816_08313
ko:K03736	lmoz:LM1816_08308
ko:K03735	lmoz:LM1816_08303
ko:K04019	lmoz:LM1816_08298
ko:K16651	lmoz:LM1816_08278
ko:K00925	lmoz:LM1816_08268
ko:K02440	lmoz:LM1816_08263
ko:K13922	lmoz:LM1816_08253
ko:K04024	lmoz:LM1816_08233
ko:K13920	lmoz:LM1816_08203
ko:K13919	lmoz:LM1816_17895
ko:K14155	lmoz:LM1816_05678
ko:K01810	lmoz:LM1816_05663
ko:K01421	lmoz:LM1816_17070
ko:K00299	lmoz:LM1816_13542
ko:K02768	lmoz:LM1816_13452
ko:K02769	lmoz:LM1816_13452
ko:K02770	lmoz:LM1816_13452
ko:K07560	lmoz:LM1816_06525
ko:K01448	lmoz:LM1816_06520
ko:K01876	lmoz:LM1816_06505
ko:K04751	lmoz:LM1816_06495
ko:K03320	lmoz:LM1816_06490
ko:K17472	lmoz:LM1816_06485
ko:K07478	lmoz:LM1816_06480
ko:K04487	lmoz:LM1816_06475
ko:K00566	lmoz:LM1816_06470
ko:K02003	lmoz:LM1816_06435
ko:K01872	lmoz:LM1816_06430
ko:K07447	lmoz:LM1816_06420
ko:K07082	lmoz:LM1816_17665
ko:K00876	lmoz:LM1816_06390
ko:K03624	lmoz:LM1816_06385
ko:K07015	lmoz:LM1816_06355
ko:K00014	lmoz:LM1816_17675
ko:K07574	lmoz:LM1816_06335
ko:K00969	lmoz:LM1816_06330
ko:K09710	lmoz:LM1816_06320
ko:K02237	lmoz:LM1816_06310
ko:K02340	lmoz:LM1816_06290
ko:K02968	lmoz:LM1816_17685
ko:K03596	lmoz:LM1816_06275
ko:K03705	lmoz:LM1816_06255
ko:K03687	lmoz:LM1816_06250
ko:K04043	lmoz:LM1816_06245
ko:K03686	lmoz:LM1816_06240
ko:K02687	lmoz:LM1816_06235
ko:K09761	lmoz:LM1816_06230
ko:K02970	lmoz:LM1816_17690
ko:K09117	lmoz:LM1816_06220
ko:K07042	lmoz:LM1816_06205
ko:K00943	lmoz:LM1816_02507
ko:K01531	lmoz:LM1816_02472
ko:K02759	lmoz:LM1816_02457
ko:K02761	lmoz:LM1816_02452
ko:K02760	lmoz:LM1816_02447
ko:K01546	lmoz:LM1816_02442
ko:K01547	lmoz:LM1816_02437
ko:K01548	lmoz:LM1816_02432
ko:K07646	lmoz:LM1816_16865
ko:K07667	lmoz:LM1816_02417
ko:K01808	lmoz:LM1816_02397
ko:K02773	lmoz:LM1816_02357
ko:K02774	lmoz:LM1816_02352
ko:K01808	lmoz:LM1816_02327
ko:K01783	lmoz:LM1816_02322
ko:K00615	lmoz:LM1816_02317
ko:K01783	lmoz:LM1816_16885
ko:K02950	lmoz:LM1816_02287
ko:K02992	lmoz:LM1816_02282
ko:K02355	lmoz:LM1816_02277
ko:K02358	lmoz:LM1816_02272
ko:K03885	lmoz:LM1816_02202
ko:K00609	lmoz:LM1816_11382
ko:K01465	lmoz:LM1816_11377
ko:K01956	lmoz:LM1816_11372
ko:K01955	lmoz:LM1816_11367
ko:K01591	lmoz:LM1816_11347
ko:K00762	lmoz:LM1816_11342
ko:K00942	lmoz:LM1816_11322
ko:K03060	lmoz:LM1816_11317
ko:K13038	lmoz:LM1816_11312
ko:K00604	lmoz:LM1816_11297
ko:K03500	lmoz:LM1816_11292
ko:K06949	lmoz:LM1816_11272
ko:K01783	lmoz:LM1816_17500
ko:K02902	lmoz:LM1816_11252
ko:K01752	lmoz:LM1816_11237
ko:K01752	lmoz:LM1816_17505
ko:K03655	lmoz:LM1816_11222
ko:K03621	lmoz:LM1816_11212
ko:K00645	lmoz:LM1816_11207
ko:K02078	lmoz:LM1816_11197
ko:K03685	lmoz:LM1816_11192
ko:K03529	lmoz:LM1816_17510
ko:K03110	lmoz:LM1816_11177
ko:K03106	lmoz:LM1816_11167
ko:K02959	lmoz:LM1816_01107
ko:K06960	lmoz:LM1816_01102
ko:K07010	lmoz:LM1816_01097
ko:K02860	lmoz:LM1816_01087
ko:K00761	lmoz:LM1816_15832
ko:K02108	lmoz:LM1816_15817
ko:K02110	lmoz:LM1816_15812
ko:K02109	lmoz:LM1816_15807
ko:K02113	lmoz:LM1816_15802
ko:K02111	lmoz:LM1816_15797
ko:K02115	lmoz:LM1816_15792
ko:K02112	lmoz:LM1816_15787
ko:K02114	lmoz:LM1816_15782
ko:K00790	lmoz:LM1816_15772
ko:K03569	lmoz:LM1816_16965
ko:K02372	lmoz:LM1816_15757
ko:K05946	lmoz:LM1816_15742
ko:K03070	lmoz:LM1816_15682
ko:K02836	lmoz:LM1816_15677
ko:K09812	lmoz:LM1816_15667
ko:K09811	lmoz:LM1816_15662
ko:K06131	lmoz:LM1816_15637
ko:K07636	lmoz:LM1816_15622
ko:K02040	lmoz:LM1816_15617
ko:K02037	lmoz:LM1816_15612
ko:K02038	lmoz:LM1816_15607
ko:K02036	lmoz:LM1816_15602
ko:K02036	lmoz:LM1816_16990
ko:K02039	lmoz:LM1816_14792
ko:K07023	lmoz:LM1816_14777
ko:K03702	lmoz:LM1816_16995
ko:K03701	lmoz:LM1816_17000
ko:K00549	lmoz:LM1816_09802
ko:K02548	lmoz:LM1816_09782
ko:K02551	lmoz:LM1816_09772
ko:K01661	lmoz:LM1816_09762
ko:K01911	lmoz:LM1816_09757
ko:K08998	lmoz:LM1816_09747
ko:K00789	lmoz:LM1816_09717
ko:K01953	lmoz:LM1816_09712
ko:K07139	lmoz:LM1816_09702
ko:K07106	lmoz:LM1816_09687
ko:K02967	lmoz:LM1816_09667
ko:K02357	lmoz:LM1816_09662
ko:K00655	lmoz:LM1816_09607
ko:K03547	lmoz:LM1816_09602
ko:K01681	lmoz:LM1816_09577
ko:K01246	lmoz:LM1816_09567
ko:K00554	lmoz:LM1816_01082
ko:K02884	lmoz:LM1816_01052
ko:K02520	lmoz:LM1816_17525
ko:K02916	lmoz:LM1816_16153
ko:K02887	lmoz:LM1816_16148
ko:K06131	lmoz:LM1816_03462
ko:K02469	lmoz:LM1816_03457
ko:K02470	lmoz:LM1816_03452
ko:K03629	lmoz:LM1816_03447
ko:K02338	lmoz:LM1816_03432
ko:K02313	lmoz:LM1816_03427
ko:K02914	lmoz:LM1816_16760
ko:K03536	lmoz:LM1816_03417
ko:K03217	lmoz:LM1816_03412
ko:K00848	lmoz:LM1816_03387
ko:K03534	lmoz:LM1816_03372
ko:K00865	lmoz:LM1816_03297
ko:K07078	lmoz:LM1816_03282
ko:K00831	lmoz:LM1816_03262
ko:K08170	lmoz:LM1816_16785
ko:K03650	lmoz:LM1816_16790
ko:K03495	lmoz:LM1816_03167
ko:K07718	lmoz:LM1816_12297
ko:K17319	lmoz:LM1816_12282
ko:K17320	lmoz:LM1816_12277
ko:K17318	lmoz:LM1816_12272
ko:K01652	lmoz:LM1816_12267
ko:K05346	lmoz:LM1816_12212
ko:K02529	lmoz:LM1816_17430
ko:K00756	lmoz:LM1816_12192
ko:K01575	lmoz:LM1816_12187
ko:K01754	lmoz:LM1816_12182
ko:K01704	lmoz:LM1816_17435
ko:K01703	lmoz:LM1816_12167
ko:K00052	lmoz:LM1816_12162
ko:K01649	lmoz:LM1816_12157
ko:K00053	lmoz:LM1816_12152
ko:K01653	lmoz:LM1816_12147
ko:K01652	lmoz:LM1816_12142
ko:K01687	lmoz:LM1816_12137
ko:K00036	lmoz:LM1816_12112
ko:K07124	lmoz:LM1816_12102
ko:K02346	lmoz:LM1816_17440
ko:K02013	lmoz:LM1816_12052
ko:K02016	lmoz:LM1816_12042
ko:K02015	lmoz:LM1816_12037
ko:K02015	lmoz:LM1816_12032
ko:K01985	lmoz:LM1816_17060
ko:K01985	lmoz:LM1816_17595
ko:K03046	lmoz:LM1816_16595
ko:K15772	lmoz:LM1816_08980
ko:K15771	lmoz:LM1816_08975
ko:K02935	lmoz:LM1816_08945
ko:K02864	lmoz:LM1816_08940
ko:K02863	lmoz:LM1816_08935
ko:K02867	lmoz:LM1816_08930
ko:K02601	lmoz:LM1816_08920
ko:K03073	lmoz:LM1816_08915
ko:K02913	lmoz:LM1816_08910
ko:K03091	lmoz:LM1816_08905
ko:K06962	lmoz:LM1816_16605
ko:K03218	lmoz:LM1816_16610
ko:K11145	lmoz:LM1816_08880
ko:K01883	lmoz:LM1816_08875
ko:K00640	lmoz:LM1816_08870
ko:K01770	lmoz:LM1816_08860
ko:K00991	lmoz:LM1816_08855
ko:K04485	lmoz:LM1816_08845
ko:K03696	lmoz:LM1816_08840
ko:K04567	lmoz:LM1816_04923
ko:K00950	lmoz:LM1816_04913
ko:K01633	lmoz:LM1816_04908
ko:K01738	lmoz:LM1816_04893
ko:K03525	lmoz:LM1816_04883
ko:K07571	lmoz:LM1816_04868
ko:K03723	lmoz:LM1816_04848
ko:K01056	lmoz:LM1816_04843
ko:K16898	lmoz:LM1816_17225
ko:K02759	lmoz:LM1816_10502
ko:K05520	lmoz:LM1816_10492
ko:K06901	lmoz:LM1816_10482
ko:K03306	lmoz:LM1816_10457
ko:K07220	lmoz:LM1816_10452
ko:K06180	lmoz:LM1816_10432
ko:K13530	lmoz:LM1816_17235
ko:K13531	lmoz:LM1816_10422
ko:K00014	lmoz:LM1816_10387
ko:K04069	lmoz:LM1816_12922
ko:K00656	lmoz:LM1816_12917
ko:K03572	lmoz:LM1816_12907
ko:K03555	lmoz:LM1816_12902
ko:K09769	lmoz:LM1816_12892
ko:K03823	lmoz:LM1816_12887
ko:K00995	lmoz:LM1816_04823
ko:K02057	lmoz:LM1816_04793
ko:K02057	lmoz:LM1816_04788
ko:K07335	lmoz:LM1816_17740
ko:K00286	lmoz:LM1816_04763
ko:K03466	lmoz:LM1816_04758
ko:K07146	lmoz:LM1816_17745
ko:K01512	lmoz:LM1816_04728
ko:K03217	lmoz:LM1816_17750
ko:K09699	lmoz:LM1816_15567
ko:K00167	lmoz:LM1816_15562
ko:K00166	lmoz:LM1816_15557
ko:K00382	lmoz:LM1816_15547
ko:K03631	lmoz:LM1816_15527
ko:K03402	lmoz:LM1816_15522
ko:K06442	lmoz:LM1816_15517
ko:K01662	lmoz:LM1816_15512
ko:K09817	lmoz:LM1816_04367
ko:K02034	lmoz:LM1816_04297
ko:K06975	lmoz:LM1816_04282
ko:K01448	lmoz:LM1816_04247
ko:K03671	lmoz:LM1816_07878
ko:K03710	lmoz:LM1816_07838
ko:K01624	lmoz:LM1816_07778
ko:K15771	lmoz:LM1816_07728
ko:K15772	lmoz:LM1816_07723
ko:K03431	lmoz:LM1816_07688
ko:K01356	lmoz:LM1816_15167
ko:K03893	lmoz:LM1816_15157
ko:K01915	lmoz:LM1816_15152
ko:K03665	lmoz:LM1816_15137
ko:K03666	lmoz:LM1816_15132
ko:K00791	lmoz:LM1816_15127
ko:K00111	lmoz:LM1816_15122
ko:K01126	lmoz:LM1816_15117
ko:K07173	lmoz:LM1816_15102
ko:K02621	lmoz:LM1816_17820
ko:K02622	lmoz:LM1816_15087
ko:K08591	lmoz:LM1816_15077
ko:K07107	lmoz:LM1816_15062
ko:K03706	lmoz:LM1816_15057
ko:K03667	lmoz:LM1816_15052
ko:K01419	lmoz:LM1816_15047
ko:K03733	lmoz:LM1816_15042
ko:K04094	lmoz:LM1816_15037
ko:K03168	lmoz:LM1816_17825
ko:K04096	lmoz:LM1816_15022
ko:K03470	lmoz:LM1816_15017
ko:K14540	lmoz:LM1816_15012
ko:K03100	lmoz:LM1816_15007
ko:K03100	lmoz:LM1816_15002
ko:K03100	lmoz:LM1816_14997
ko:K03544	lmoz:LM1816_14992
ko:K03545	lmoz:LM1816_14987
ko:K00931	lmoz:LM1816_08793
ko:K00147	lmoz:LM1816_08788
ko:K02818	lmoz:LM1816_08768
ko:K02819	lmoz:LM1816_08768
ko:K01839	lmoz:LM1816_12017
ko:K02233	lmoz:LM1816_01027
ko:K02231	lmoz:LM1816_01022
ko:K04029	lmoz:LM1816_01012
ko:K04031	lmoz:LM1816_01007
ko:K02304	lmoz:LM1816_05915
ko:K01358	lmoz:LM1816_05905
ko:K03827	lmoz:LM1816_05815
ko:K03704	lmoz:LM1816_15507
ko:K13789	lmoz:LM1816_15502
ko:K03602	lmoz:LM1816_15497
ko:K03601	lmoz:LM1816_15492
ko:K01491	lmoz:LM1816_15487
ko:K02760	lmoz:LM1816_09250
ko:K02761	lmoz:LM1816_09245
ko:K00783	lmoz:LM1816_09210
ko:K02073	lmoz:LM1816_09170
ko:K02071	lmoz:LM1816_09165
ko:K02072	lmoz:LM1816_09160
ko:K01223	lmoz:LM1816_09095
ko:K02034	lmoz:LM1816_09080
ko:K15975	lmoz:LM1816_16580
ko:K01223	lmoz:LM1816_09020
ko:K03584	lmoz:LM1816_06180
ko:K01878	lmoz:LM1816_06175
ko:K01879	lmoz:LM1816_06170
ko:K09773	lmoz:LM1816_06165
ko:K09768	lmoz:LM1816_06160
ko:K03086	lmoz:LM1816_06150
ko:K06967	lmoz:LM1816_06145
ko:K03527	lmoz:LM1816_17695
ko:K01151	lmoz:LM1816_06120
ko:K09817	lmoz:LM1816_17700
ko:K09816	lmoz:LM1816_06100
ko:K04564	lmoz:LM1816_06065
ko:K00133	lmoz:LM1816_06055
ko:K00928	lmoz:LM1816_06050
ko:K01714	lmoz:LM1816_17705
ko:K05847	lmoz:LM1816_06000
ko:K05846	lmoz:LM1816_05995
ko:K05845	lmoz:LM1816_05990
ko:K05846	lmoz:LM1816_05985
ko:K03322	lmoz:LM1816_05980
ko:K05847	lmoz:LM1816_05965
ko:K00075	lmoz:LM1816_17725
ko:K07727	lmoz:LM1816_14882
ko:K07260	lmoz:LM1816_11467
ko:K01739	lmoz:LM1816_09797
ko:K01840	lmoz:LM1816_05228
ko:K02027	lmoz:LM1816_07227
ko:K02226	lmoz:LM1816_01032
ko:K02026	lmoz:LM1816_03327
ko:K02026	lmoz:LM1816_04512
ko:K02768	lmoz:LM1816_07793
ko:K02026	lmoz:LM1816_17555
ko:K17752	lmoz:LM1816_06880
ko:K02027	lmoz:LM1816_16660
ko:K01658	lmoz:LM1816_09522
ko:K17763	lmoz:LM1816_06870
ko:K17763	lmoz:LM1816_16680
ko:K17828	lmoz:LM1816_17485
ko:K02027	lmoz:LM1816_03337
ko:K07979	lmoz:LM1816_10417
ko:K07284	lmoz:LM1816_12982
ko:K02027	lmoz:LM1816_05198
ko:K00537	lmoz:LM1816_13935
ko:K04757	lmoz:LM1816_06895
ko:K01183	lmoz:LM1816_16695
ko:K17762	lmoz:LM1816_06875
ko:K01187	lmoz:LM1816_16655
ko:K01838	lmoz:LM1816_03292
ko:K02769	lmoz:LM1816_01532
ko:K02769	lmoz:LM1816_01667
ko:K02769	lmoz:LM1816_07788
ko:K07145	lmoz:LM1816_10672
ko:K09022	lmoz:LM1816_05098
ko:K18104	lmoz:LM1816_02812
ko:K08221	lmoz:LM1816_12932
ko:K02770	lmoz:LM1816_07783
ko:K01271	lmoz:LM1816_12717
ko:K08316	lmoz:LM1816_19295
ko:K01101	lmoz:LM1816_13820
ko:K02809	lmoz:LM1816_09682
