ko:K18137	abab:BJAB0715_02253
ko:K08084	abab:BJAB0715_03527
ko:K03527	abab:BJAB0715_03528
ko:K00942	abab:BJAB0715_03529
ko:K03060	abab:BJAB0715_03530
ko:K02192	abab:BJAB0715_03533
ko:K03594	abab:BJAB0715_03534
ko:K06872	abab:BJAB0715_03539
ko:K03744	abab:BJAB0715_03540
ko:K07044	abab:BJAB0715_03541
ko:K00266	abab:BJAB0715_03542
ko:K01735	abab:BJAB0715_03545
ko:K00891	abab:BJAB0715_03546
ko:K03657	abab:BJAB0715_00480
ko:K02913	abab:BJAB0715_00486
ko:K02902	abab:BJAB0715_00487
ko:K00154	abab:BJAB0715_00488
ko:K01433	abab:BJAB0715_00490
ko:K03832	abab:BJAB0715_00491
ko:K03561	abab:BJAB0715_00492
ko:K13292	abab:BJAB0715_00500
ko:K07093	abab:BJAB0715_00502
ko:K07093	abab:BJAB0715_00503
ko:K03118	abab:BJAB0715_00504
ko:K03117	abab:BJAB0715_00505
ko:K03116	abab:BJAB0715_00506
ko:K07088	abab:BJAB0715_00507
ko:K00641	abab:BJAB0715_00512
ko:K01649	abab:BJAB0715_00513
ko:K16090	abab:BJAB0715_00515
ko:K03545	abab:BJAB0715_00516
ko:K01358	abab:BJAB0715_00517
ko:K03544	abab:BJAB0715_00518
ko:K01676	abab:BJAB0715_00521
ko:K13788	abab:BJAB0715_00522
ko:K00925	abab:BJAB0715_00523
ko:K01690	abab:BJAB0715_00524
ko:K01625	abab:BJAB0715_00525
ko:K00147	abab:BJAB0715_00529
ko:K01706	abab:BJAB0715_01290
ko:K01707	abab:BJAB0715_01291
ko:K12508	abab:BJAB0715_01299
ko:K05819	abab:BJAB0715_01302
ko:K11475	abab:BJAB0715_01304
ko:K06911	abab:BJAB0715_01322
ko:K06901	abab:BJAB0715_01328
ko:K12262	abab:BJAB0715_01330
ko:K03470	abab:BJAB0715_01332
ko:K03563	abab:BJAB0715_01333
ko:K00928	abab:BJAB0715_01334
ko:K01872	abab:BJAB0715_01335
ko:K00134	abab:BJAB0715_01336
ko:K03885	abab:BJAB0715_02087
ko:K03464	abab:BJAB0715_02103
ko:K03381	abab:BJAB0715_02104
ko:K01031	abab:BJAB0715_02105
ko:K01032	abab:BJAB0715_02106
ko:K01055	abab:BJAB0715_02108
ko:K01434	abab:BJAB0715_02109
ko:K03885	abab:BJAB0715_02873
ko:K03775	abab:BJAB0715_02874
ko:K01669	abab:BJAB0715_02875
ko:K00459	abab:BJAB0715_02898
ko:K00931	abab:BJAB0715_02902
ko:K03979	abab:BJAB0715_02903
ko:K00134	abab:BJAB0715_02906
ko:K05786	abab:BJAB0715_02907
ko:K03098	abab:BJAB0715_02908
ko:K03702	abab:BJAB0715_02909
ko:K00812	abab:BJAB0715_02913
ko:K04045	abab:BJAB0715_02915
ko:K06169	abab:BJAB0715_02920
ko:K03474	abab:BJAB0715_02921
ko:K06911	abab:BJAB0715_03656
ko:K00823	abab:BJAB0715_03660
ko:K00375	abab:BJAB0715_03661
ko:K11735	abab:BJAB0715_03662
ko:K09799	abab:BJAB0715_03668
ko:K03707	abab:BJAB0715_03669
ko:K02442	abab:BJAB0715_03670
ko:K08987	abab:BJAB0715_03671
ko:K16137	abab:BJAB0715_03673
ko:K03701	abab:BJAB0715_03674
ko:K02168	abab:BJAB0715_03677
ko:K14393	abab:BJAB0715_03679
ko:K00299	abab:BJAB0715_03684
ko:K17228	abab:BJAB0715_03685
ko:K01895	abab:BJAB0715_03688
ko:K01207	abab:BJAB0715_00533
ko:K03797	abab:BJAB0715_00534
ko:K00940	abab:BJAB0715_00538
ko:K06941	abab:BJAB0715_00539
ko:K02656	abab:BJAB0715_00540
ko:K01892	abab:BJAB0715_00543
ko:K03977	abab:BJAB0715_00546
ko:K06133	abab:BJAB0715_00547
ko:K03071	abab:BJAB0715_00548
ko:K06949	abab:BJAB0715_00551
ko:K13288	abab:BJAB0715_00552
ko:K00208	abab:BJAB0715_00554
ko:K05685	abab:BJAB0715_00556
ko:K13888	abab:BJAB0715_00557
ko:K02340	abab:BJAB0715_00558
ko:K03643	abab:BJAB0715_00559
ko:K01869	abab:BJAB0715_00560
ko:K01652	abab:BJAB0715_00562
ko:K01653	abab:BJAB0715_00563
ko:K00053	abab:BJAB0715_00564
ko:K02502	abab:BJAB0715_01338
ko:K01939	abab:BJAB0715_01339
ko:K07397	abab:BJAB0715_01344
ko:K03695	abab:BJAB0715_01347
ko:K12297	abab:BJAB0715_01350
ko:K00609	abab:BJAB0715_01352
ko:K01465	abab:BJAB0715_01353
ko:K03439	abab:BJAB0715_01357
ko:K03387	abab:BJAB0715_01361
ko:K03578	abab:BJAB0715_01366
ko:K16872	abab:BJAB0715_01367
ko:K05548	abab:BJAB0715_01369
ko:K05782	abab:BJAB0715_01370
ko:K05783	abab:BJAB0715_01371
ko:K05784	abab:BJAB0715_01372
ko:K05550	abab:BJAB0715_01373
ko:K05549	abab:BJAB0715_01374
ko:K03601	abab:BJAB0715_01385
ko:K02624	abab:BJAB0715_02131
ko:K07112	abab:BJAB0715_02133
ko:K07112	abab:BJAB0715_02134
ko:K05358	abab:BJAB0715_02136
ko:K07267	abab:BJAB0715_02137
ko:K03785	abab:BJAB0715_02140
ko:K00448	abab:BJAB0715_02141
ko:K00449	abab:BJAB0715_02142
ko:K08195	abab:BJAB0715_02144
ko:K01055	abab:BJAB0715_02145
ko:K01857	abab:BJAB0715_02146
ko:K01032	abab:BJAB0715_02148
ko:K01031	abab:BJAB0715_02149
ko:K00991	abab:BJAB0715_02150
ko:K05589	abab:BJAB0715_02151
ko:K01689	abab:BJAB0715_02153
ko:K01627	abab:BJAB0715_02154
ko:K01937	abab:BJAB0715_02155
ko:K07044	abab:BJAB0715_02159
ko:K01626	abab:BJAB0715_02166
ko:K09771	abab:BJAB0715_02167
ko:K03694	abab:BJAB0715_02168
ko:K06891	abab:BJAB0715_02169
ko:K00145	abab:BJAB0715_02171
ko:K07043	abab:BJAB0715_02174
ko:K01807	abab:BJAB0715_02175
ko:K01754	abab:BJAB0715_02176
ko:K03584	abab:BJAB0715_02922
ko:K03595	abab:BJAB0715_02924
ko:K03685	abab:BJAB0715_02925
ko:K03100	abab:BJAB0715_02927
ko:K03596	abab:BJAB0715_02928
ko:K07107	abab:BJAB0715_02929
ko:K00278	abab:BJAB0715_02931
ko:K00943	abab:BJAB0715_02933
ko:K07082	abab:BJAB0715_02934
ko:K02048	abab:BJAB0715_02936
ko:K07002	abab:BJAB0715_02937
ko:K02046	abab:BJAB0715_02939
ko:K02047	abab:BJAB0715_02940
ko:K02045	abab:BJAB0715_02941
ko:K13635	abab:BJAB0715_02942
ko:K10026	abab:BJAB0715_02945
ko:K06920	abab:BJAB0715_02946
ko:K03564	abab:BJAB0715_02949
ko:K07552	abab:BJAB0715_02955
ko:K01952	abab:BJAB0715_02956
ko:K01129	abab:BJAB0715_02957
ko:K03550	abab:BJAB0715_02958
ko:K03551	abab:BJAB0715_02959
ko:K07107	abab:BJAB0715_02961
ko:K03562	abab:BJAB0715_02962
ko:K03641	abab:BJAB0715_02965
ko:K03640	abab:BJAB0715_02966
ko:K03841	abab:BJAB0715_02968
ko:K03437	abab:BJAB0715_02969
ko:K03088	abab:BJAB0715_02970
ko:K02527	abab:BJAB0715_03692
ko:K02836	abab:BJAB0715_03696
ko:K07462	abab:BJAB0715_03698
ko:K00275	abab:BJAB0715_03699
ko:K03431	abab:BJAB0715_03700
ko:K06940	abab:BJAB0715_03702
ko:K00627	abab:BJAB0715_03707
ko:K00163	abab:BJAB0715_03708
ko:K02535	abab:BJAB0715_03711
ko:K03531	abab:BJAB0715_03712
ko:K03590	abab:BJAB0715_03713
ko:K03589	abab:BJAB0715_03714
ko:K01921	abab:BJAB0715_03715
ko:K01924	abab:BJAB0715_03716
ko:K02563	abab:BJAB0715_03717
ko:K01920	abab:BJAB0715_03718
ko:K00762	abab:BJAB0715_03722
ko:K01142	abab:BJAB0715_03723
ko:K04084	abab:BJAB0715_03728
ko:K16842	abab:BJAB0715_03732
ko:K16840	abab:BJAB0715_03733
ko:K07127	abab:BJAB0715_03734
ko:K01477	abab:BJAB0715_03738
ko:K01483	abab:BJAB0715_03739
ko:K07233	abab:BJAB0715_00698
ko:K00620	abab:BJAB0715_00702
ko:K03517	abab:BJAB0715_00703
ko:K00252	abab:BJAB0715_00707
ko:K08196	abab:BJAB0715_00708
ko:K13795	abab:BJAB0715_00710
ko:K13796	abab:BJAB0715_00711
ko:K13794	abab:BJAB0715_00712
ko:K03288	abab:BJAB0715_00714
ko:K00549	abab:BJAB0715_00723
ko:K09024	abab:BJAB0715_00724
ko:K11907	abab:BJAB0715_01491
ko:K11902	abab:BJAB0715_01492
ko:K11893	abab:BJAB0715_01493
ko:K11892	abab:BJAB0715_01494
ko:K03449	abab:BJAB0715_01500
ko:K09927	abab:BJAB0715_01501
ko:K09765	abab:BJAB0715_01503
ko:K13639	abab:BJAB0715_01504
ko:K09712	abab:BJAB0715_01505
ko:K12658	abab:BJAB0715_01509
ko:K01752	abab:BJAB0715_01517
ko:K02618	abab:BJAB0715_01518
ko:K02609	abab:BJAB0715_01519
ko:K02610	abab:BJAB0715_01520
ko:K02611	abab:BJAB0715_01521
ko:K02612	abab:BJAB0715_01522
ko:K02613	abab:BJAB0715_01523
ko:K15866	abab:BJAB0715_01525
ko:K00074	abab:BJAB0715_01526
ko:K01912	abab:BJAB0715_01528
ko:K02616	abab:BJAB0715_01529
ko:K02617	abab:BJAB0715_01530
ko:K03752	abab:BJAB0715_02277
ko:K00372	abab:BJAB0715_02278
ko:K00362	abab:BJAB0715_02280
ko:K03786	abab:BJAB0715_02285
ko:K02160	abab:BJAB0715_02286
ko:K01961	abab:BJAB0715_02287
ko:K05820	abab:BJAB0715_02289
ko:K01442	abab:BJAB0715_02295
ko:K00075	abab:BJAB0715_02299
ko:K07107	abab:BJAB0715_02303
ko:K01114	abab:BJAB0715_02304
ko:K02343	abab:BJAB0715_02305
ko:K11250	abab:BJAB0715_02317
ko:K05782	abab:BJAB0715_02319
ko:K07507	abab:BJAB0715_02320
ko:K01531	abab:BJAB0715_02321
ko:K07443	abab:BJAB0715_03069
ko:K09781	abab:BJAB0715_03076
ko:K01867	abab:BJAB0715_03077
ko:K01867	abab:BJAB0715_03078
ko:K01902	abab:BJAB0715_03079
ko:K01903	abab:BJAB0715_03080
ko:K00382	abab:BJAB0715_03081
ko:K00658	abab:BJAB0715_03082
ko:K00164	abab:BJAB0715_03083
ko:K00240	abab:BJAB0715_03085
ko:K00239	abab:BJAB0715_03086
ko:K00242	abab:BJAB0715_03087
ko:K01647	abab:BJAB0715_03089
ko:K06938	abab:BJAB0715_03090
ko:K07146	abab:BJAB0715_03091
ko:K07039	abab:BJAB0715_03092
ko:K03086	abab:BJAB0715_03095
ko:K09158	abab:BJAB0715_03096
ko:K03801	abab:BJAB0715_03097
ko:K03216	abab:BJAB0715_03103
ko:K02302	abab:BJAB0715_03104
ko:K01875	abab:BJAB0715_03105
ko:K03634	abab:BJAB0715_03107
ko:K02899	abab:BJAB0715_03108
ko:K02888	abab:BJAB0715_03109
ko:K02523	abab:BJAB0715_03110
ko:K07090	abab:BJAB0715_03839
ko:K01687	abab:BJAB0715_03841
ko:K00604	abab:BJAB0715_03842
ko:K03500	abab:BJAB0715_03843
ko:K03308	abab:BJAB0715_03845
ko:K01338	abab:BJAB0715_p0020
ko:K13935	abab:BJAB0715_01650
ko:K13928	abab:BJAB0715_01653
ko:K00426	abab:BJAB0715_01656
ko:K00425	abab:BJAB0715_01657
ko:K15551	abab:BJAB0715_01663
ko:K15552	abab:BJAB0715_01665
ko:K03119	abab:BJAB0715_01666
ko:K16841	abab:BJAB0715_01667
ko:K03457	abab:BJAB0715_01668
ko:K07240	abab:BJAB0715_01678
ko:K07240	abab:BJAB0715_01679
ko:K03387	abab:BJAB0715_01680
ko:K00640	abab:BJAB0715_01683
ko:K15396	abab:BJAB0715_01684
ko:K02337	abab:BJAB0715_01685
ko:K05597	abab:BJAB0715_01686
ko:K03576	abab:BJAB0715_02432
ko:K10716	abab:BJAB0715_02436
ko:K01682	abab:BJAB0715_02438
ko:K01881	abab:BJAB0715_03218
ko:K09946	abab:BJAB0715_03219
ko:K06193	abab:BJAB0715_03220
ko:K06980	abab:BJAB0715_03223
ko:K03981	abab:BJAB0715_03224
ko:K07088	abab:BJAB0715_03226
ko:K03652	abab:BJAB0715_03229
ko:K03282	abab:BJAB0715_03233
ko:K06207	abab:BJAB0715_03234
ko:K16345	abab:BJAB0715_03235
ko:K11733	abab:BJAB0715_03237
ko:K14415	abab:BJAB0715_03238
ko:K08084	abab:BJAB0715_03241
ko:K00381	abab:BJAB0715_03246
ko:K00117	abab:BJAB0715_03247
ko:K07267	abab:BJAB0715_03249
ko:K07661	abab:BJAB0715_00739
ko:K07639	abab:BJAB0715_00740
ko:K00330	abab:BJAB0715_00743
ko:K00331	abab:BJAB0715_00744
ko:K13378	abab:BJAB0715_00745
ko:K00334	abab:BJAB0715_00746
ko:K06966	abab:BJAB0715_00235
ko:K09858	abab:BJAB0715_00238
ko:K08369	abab:BJAB0715_00240
ko:K02621	abab:BJAB0715_00241
ko:K01714	abab:BJAB0715_00250
ko:K01628	abab:BJAB0715_00251
ko:K00375	abab:BJAB0715_00252
ko:K07391	abab:BJAB0715_00266
ko:K04752	abab:BJAB0715_00268
ko:K03320	abab:BJAB0715_00269
ko:K07738	abab:BJAB0715_00270
ko:K11752	abab:BJAB0715_00271
ko:K00793	abab:BJAB0715_00273
ko:K02339	abab:BJAB0715_00276
ko:K01255	abab:BJAB0715_00277
ko:K07091	abab:BJAB0715_00278
ko:K11720	abab:BJAB0715_00279
ko:K15633	abab:BJAB0715_00280
ko:K03797	abab:BJAB0715_00281
ko:K02667	abab:BJAB0715_00282
ko:K02668	abab:BJAB0715_00283
ko:K03758	abab:BJAB0715_01036
ko:K00116	abab:BJAB0715_01039
ko:K02167	abab:BJAB0715_01042
ko:K02168	abab:BJAB0715_01043
ko:K02168	abab:BJAB0715_01044
ko:K11103	abab:BJAB0715_01049
ko:K11931	abab:BJAB0715_01052
ko:K11936	abab:BJAB0715_01053
ko:K03811	abab:BJAB0715_01056
ko:K06989	abab:BJAB0715_01069
ko:K01652	abab:BJAB0715_01071
ko:K01462	abab:BJAB0715_01075
ko:K01425	abab:BJAB0715_01076
ko:K08223	abab:BJAB0715_01078
ko:K03306	abab:BJAB0715_01084
ko:K04755	abab:BJAB0715_01836
ko:K04044	abab:BJAB0715_01837
ko:K04082	abab:BJAB0715_01838
ko:K04487	abab:BJAB0715_01841
ko:K13643	abab:BJAB0715_01842
ko:K03530	abab:BJAB0715_01845
ko:K03770	abab:BJAB0715_01846
ko:K00496	abab:BJAB0715_01849
ko:K02231	abab:BJAB0715_01871
ko:K00768	abab:BJAB0715_01872
ko:K02233	abab:BJAB0715_01875
ko:K01626	abab:BJAB0715_01876
ko:K07090	abab:BJAB0715_01877
ko:K16088	abab:BJAB0715_01881
ko:K00748	abab:BJAB0715_01882
ko:K01993	abab:BJAB0715_01884
ko:K11735	abab:BJAB0715_02633
ko:K00140	abab:BJAB0715_02634
ko:K00822	abab:BJAB0715_02635
ko:K06923	abab:BJAB0715_02639
ko:K02970	abab:BJAB0715_02642
ko:K09117	abab:BJAB0715_02643
ko:K00764	abab:BJAB0715_02648
ko:K03558	abab:BJAB0715_02649
ko:K02462	abab:BJAB0715_02651
ko:K02461	abab:BJAB0715_02652
ko:K08296	abab:BJAB0715_02653
ko:K00057	abab:BJAB0715_02654
ko:K03732	abab:BJAB0715_02657
ko:K03704	abab:BJAB0715_02658
ko:K03089	abab:BJAB0715_02660
ko:K03154	abab:BJAB0715_02662
ko:K03149	abab:BJAB0715_02663
ko:K09861	abab:BJAB0715_02665
ko:K07018	abab:BJAB0715_02666
ko:K14414	abab:BJAB0715_02667
ko:K14415	abab:BJAB0715_02669
ko:K14170	abab:BJAB0715_02676
ko:K11103	abab:BJAB0715_02679
ko:K05560	abab:BJAB0715_00381
ko:K05559	abab:BJAB0715_00382
ko:K11755	abab:BJAB0715_00385
ko:K03688	abab:BJAB0715_00387
ko:K03690	abab:BJAB0715_00388
ko:K03183	abab:BJAB0715_00389
ko:K03583	abab:BJAB0715_00393
ko:K03582	abab:BJAB0715_00394
ko:K03581	abab:BJAB0715_00395
ko:K02956	abab:BJAB0715_00398
ko:K00962	abab:BJAB0715_00399
ko:K05516	abab:BJAB0715_00402
ko:K04083	abab:BJAB0715_00404
ko:K04066	abab:BJAB0715_00406
ko:K02455	abab:BJAB0715_00407
ko:K02456	abab:BJAB0715_00408
ko:K06878	abab:BJAB0715_00410
ko:K03820	abab:BJAB0715_00411
ko:K06189	abab:BJAB0715_00412
ko:K00311	abab:BJAB0715_00415
ko:K09986	abab:BJAB0715_00416
ko:K01776	abab:BJAB0715_00417
ko:K01772	abab:BJAB0715_00419
ko:K09862	abab:BJAB0715_00421
ko:K07007	abab:BJAB0715_00423
ko:K06199	abab:BJAB0715_00425
ko:K02909	abab:BJAB0715_00427
ko:K03760	abab:BJAB0715_01217
ko:K09895	abab:BJAB0715_01222
ko:K03185	abab:BJAB0715_01224
ko:K06895	abab:BJAB0715_01230
ko:K05596	abab:BJAB0715_01231
ko:K07056	abab:BJAB0715_01233
ko:K07460	abab:BJAB0715_01235
ko:K03426	abab:BJAB0715_01238
ko:K00937	abab:BJAB0715_01981
ko:K06136	abab:BJAB0715_01983
ko:K06137	abab:BJAB0715_01984
ko:K06138	abab:BJAB0715_01985
ko:K06139	abab:BJAB0715_01986
ko:K01273	abab:BJAB0715_01987
ko:K07347	abab:BJAB0715_01999
ko:K03543	abab:BJAB0715_02013
ko:K00297	abab:BJAB0715_02017
ko:K00948	abab:BJAB0715_02020
ko:K02361	abab:BJAB0715_02776
ko:K01590	abab:BJAB0715_02782
ko:K01252	abab:BJAB0715_02783
ko:K02363	abab:BJAB0715_02784
ko:K03897	abab:BJAB0715_02786
ko:K02016	abab:BJAB0715_02788
ko:K02013	abab:BJAB0715_02789
ko:K02015	abab:BJAB0715_02790
ko:K02015	abab:BJAB0715_02791
ko:K06911	abab:BJAB0715_02799
ko:K06200	abab:BJAB0715_02807
ko:K02356	abab:BJAB0715_02808
ko:K02909	abab:BJAB0715_02812
ko:K14347	abab:BJAB0715_02813
ko:K08218	abab:BJAB0715_02815
ko:K06194	abab:BJAB0715_02819
ko:K03787	abab:BJAB0715_02820
ko:K02666	abab:BJAB0715_03547
ko:K02662	abab:BJAB0715_03551
ko:K05366	abab:BJAB0715_03552
ko:K00563	abab:BJAB0715_03553
ko:K01000	abab:BJAB0715_03555
ko:K01929	abab:BJAB0715_03556
ko:K01928	abab:BJAB0715_03557
ko:K03587	abab:BJAB0715_03558
ko:K03586	abab:BJAB0715_03559
ko:K03438	abab:BJAB0715_03560
ko:K02048	abab:BJAB0715_03561
ko:K16264	abab:BJAB0715_03568
ko:K15726	abab:BJAB0715_03569
ko:K01740	abab:BJAB0715_03578
ko:K01673	abab:BJAB0715_03580
ko:K06959	abab:BJAB0715_03581
ko:K07659	abab:BJAB0715_03582
ko:K07638	abab:BJAB0715_03583
ko:K01693	abab:BJAB0715_03587
ko:K02501	abab:BJAB0715_03588
ko:K03424	abab:BJAB0715_00586
ko:K02837	abab:BJAB0715_00597
ko:K03424	abab:BJAB0715_00600
ko:K01681	abab:BJAB0715_00601
ko:K05539	abab:BJAB0715_00606
ko:K00324	abab:BJAB0715_00610
ko:K00324	abab:BJAB0715_00611
ko:K00325	abab:BJAB0715_00612
ko:K09710	abab:BJAB0715_00614
ko:K07678	abab:BJAB0715_00618
ko:K12339	abab:BJAB0715_00619
ko:K07501	abab:BJAB0715_00620
ko:K03215	abab:BJAB0715_00621
ko:K02237	abab:BJAB0715_00625
ko:K00950	abab:BJAB0715_00627
ko:K00606	abab:BJAB0715_00628
ko:K01918	abab:BJAB0715_00629
ko:K06958	abab:BJAB0715_00630
ko:K09889	abab:BJAB0715_00632
ko:K03704	abab:BJAB0715_01391
ko:K00286	abab:BJAB0715_01393
ko:K08995	abab:BJAB0715_01402
ko:K01883	abab:BJAB0715_01405
ko:K06041	abab:BJAB0715_01406
ko:K03270	abab:BJAB0715_01407
ko:K11719	abab:BJAB0715_01408
ko:K09774	abab:BJAB0715_01409
ko:K06861	abab:BJAB0715_01410
ko:K12543	abab:BJAB0715_01411
ko:K12541	abab:BJAB0715_01412
ko:K12542	abab:BJAB0715_01413
ko:K00337	abab:BJAB0715_00749
ko:K00338	abab:BJAB0715_00750
ko:K00339	abab:BJAB0715_00751
ko:K00340	abab:BJAB0715_00752
ko:K00341	abab:BJAB0715_00753
ko:K00342	abab:BJAB0715_00754
ko:K00343	abab:BJAB0715_00755
ko:K00761	abab:BJAB0715_00756
ko:K00528	abab:BJAB0715_00759
ko:K07007	abab:BJAB0715_00764
ko:K01874	abab:BJAB0715_00771
ko:K09928	abab:BJAB0715_00775
ko:K03704	abab:BJAB0715_01542
ko:K01640	abab:BJAB0715_01548
ko:K03781	abab:BJAB0715_01550
ko:K01118	abab:BJAB0715_01553
ko:K02624	abab:BJAB0715_01554
ko:K00481	abab:BJAB0715_01555
ko:K01775	abab:BJAB0715_01556
ko:K02012	abab:BJAB0715_01558
ko:K02011	abab:BJAB0715_01560
ko:K03430	abab:BJAB0715_01563
ko:K05306	abab:BJAB0715_01564
ko:K08196	abab:BJAB0715_01565
ko:K06446	abab:BJAB0715_01566
ko:K00459	abab:BJAB0715_01570
ko:K00074	abab:BJAB0715_01574
ko:K06446	abab:BJAB0715_01577
ko:K08196	abab:BJAB0715_01578
ko:K01031	abab:BJAB0715_01579
ko:K01032	abab:BJAB0715_01580
ko:K04090	abab:BJAB0715_01586
ko:K01640	abab:BJAB0715_01588
ko:K01968	abab:BJAB0715_01589
ko:K07275	abab:BJAB0715_02330
ko:K16088	abab:BJAB0715_02331
ko:K03585	abab:BJAB0715_03114
ko:K01873	abab:BJAB0715_03122
ko:K07088	abab:BJAB0715_03125
ko:K03320	abab:BJAB0715_03127
ko:K03760	abab:BJAB0715_03131
ko:K07001	abab:BJAB0715_03136
ko:K07340	abab:BJAB0715_03137
ko:K00795	abab:BJAB0715_03140
ko:K03601	abab:BJAB0715_p0051
ko:K03773	abab:BJAB0715_00087
ko:K16692	abab:BJAB0715_00090
ko:K01991	abab:BJAB0715_00092
ko:K02474	abab:BJAB0715_00093
ko:K00785	abab:BJAB0715_00102
ko:K13007	abab:BJAB0715_00109
ko:K00963	abab:BJAB0715_00111
ko:K00012	abab:BJAB0715_00112
ko:K01810	abab:BJAB0715_00113
ko:K00427	abab:BJAB0715_00116
ko:K14348	abab:BJAB0715_00117
ko:K03777	abab:BJAB0715_00119
ko:K00832	abab:BJAB0715_00120
ko:K15778	abab:BJAB0715_00873
ko:K00930	abab:BJAB0715_00874
ko:K09801	abab:BJAB0715_00879
ko:K06186	abab:BJAB0715_00880
ko:K02670	abab:BJAB0715_00882
ko:K02669	abab:BJAB0715_00883
ko:K06997	abab:BJAB0715_00884
ko:K03547	abab:BJAB0715_00886
ko:K06996	abab:BJAB0715_00888
ko:K07071	abab:BJAB0715_00890
ko:K01698	abab:BJAB0715_00892
ko:K03543	abab:BJAB0715_00894
ko:K03446	abab:BJAB0715_00895
ko:K10857	abab:BJAB0715_00909
ko:K14260	abab:BJAB0715_01688
ko:K00432	abab:BJAB0715_01690
ko:K14267	abab:BJAB0715_01693
ko:K00990	abab:BJAB0715_01694
ko:K08289	abab:BJAB0715_01695
ko:K06942	abab:BJAB0715_01703
ko:K02072	abab:BJAB0715_01704
ko:K02071	abab:BJAB0715_01705
ko:K02073	abab:BJAB0715_01706
ko:K02073	abab:BJAB0715_01707
ko:K10001	abab:BJAB0715_01713
ko:K10003	abab:BJAB0715_01714
ko:K10002	abab:BJAB0715_01715
ko:K10004	abab:BJAB0715_01716
ko:K03457	abab:BJAB0715_01726
ko:K07347	abab:BJAB0715_01732
ko:K09800	abab:BJAB0715_02514
ko:K06134	abab:BJAB0715_02517
ko:K09470	abab:BJAB0715_02519
ko:K07667	abab:BJAB0715_02520
ko:K07646	abab:BJAB0715_02521
ko:K07646	abab:BJAB0715_02523
ko:K01548	abab:BJAB0715_02524
ko:K01547	abab:BJAB0715_02525
ko:K01546	abab:BJAB0715_02526
ko:K00950	abab:BJAB0715_02527
ko:K01633	abab:BJAB0715_02528
ko:K01895	abab:BJAB0715_02532
ko:K11068	abab:BJAB0715_03258
ko:K03070	abab:BJAB0715_03261
ko:K11754	abab:BJAB0715_03266
ko:K01963	abab:BJAB0715_03267
ko:K01695	abab:BJAB0715_03268
ko:K07044	abab:BJAB0715_03271
ko:K01696	abab:BJAB0715_03274
ko:K01817	abab:BJAB0715_03275
ko:K16092	abab:BJAB0715_03276
ko:K00798	abab:BJAB0715_03277
ko:K01126	abab:BJAB0715_03278
ko:K07664	abab:BJAB0715_03282
ko:K07642	abab:BJAB0715_03283
ko:K01876	abab:BJAB0715_03294
ko:K07270	abab:BJAB0715_03300
ko:K07276	abab:BJAB0715_03306
ko:K00826	abab:BJAB0715_03307
ko:K00982	abab:BJAB0715_03308
ko:K01414	abab:BJAB0715_03396
ko:K07070	abab:BJAB0715_03397
ko:K09159	abab:BJAB0715_03403
ko:K02879	abab:BJAB0715_03406
ko:K03040	abab:BJAB0715_03407
ko:K02986	abab:BJAB0715_03408
ko:K02948	abab:BJAB0715_03409
ko:K02952	abab:BJAB0715_03410
ko:K02919	abab:BJAB0715_03411
ko:K03076	abab:BJAB0715_03412
ko:K02876	abab:BJAB0715_03413
ko:K02907	abab:BJAB0715_03414
ko:K02988	abab:BJAB0715_03415
ko:K02881	abab:BJAB0715_03416
ko:K02933	abab:BJAB0715_03417
ko:K02994	abab:BJAB0715_03418
ko:K02954	abab:BJAB0715_03419
ko:K02931	abab:BJAB0715_03420
ko:K02895	abab:BJAB0715_03421
ko:K02874	abab:BJAB0715_03422
ko:K02961	abab:BJAB0715_03423
ko:K02904	abab:BJAB0715_03424
ko:K02878	abab:BJAB0715_03425
ko:K02982	abab:BJAB0715_03426
ko:K02890	abab:BJAB0715_03427
ko:K02965	abab:BJAB0715_03428
ko:K02886	abab:BJAB0715_03429
ko:K02892	abab:BJAB0715_03430
ko:K02926	abab:BJAB0715_03431
ko:K02906	abab:BJAB0715_03432
ko:K02946	abab:BJAB0715_03433
ko:K06915	abab:BJAB0715_03436
ko:K05916	abab:BJAB0715_03437
ko:K13771	abab:BJAB0715_03438
ko:K03978	abab:BJAB0715_03439
ko:K07044	abab:BJAB0715_03440
ko:K10805	abab:BJAB0715_03442
ko:K00631	abab:BJAB0715_03443
ko:K03655	abab:BJAB0715_03446
ko:K03555	abab:BJAB0715_01421
ko:K02517	abab:BJAB0715_01429
ko:K08195	abab:BJAB0715_01431
ko:K01058	abab:BJAB0715_02179
ko:K16090	abab:BJAB0715_02181
ko:K00425	abab:BJAB0715_02187
ko:K00426	abab:BJAB0715_02188
ko:K07078	abab:BJAB0715_02192
ko:K03110	abab:BJAB0715_02193
ko:K07390	abab:BJAB0715_02201
ko:K01265	abab:BJAB0715_02204
ko:K03311	abab:BJAB0715_02205
ko:K02769	abab:BJAB0715_02212
ko:K02770	abab:BJAB0715_02212
ko:K00117	abab:BJAB0715_02217
ko:K03321	abab:BJAB0715_02219
ko:K01556	abab:BJAB0715_02224
ko:K10763	abab:BJAB0715_02975
ko:K01933	abab:BJAB0715_02977
ko:K11175	abab:BJAB0715_02978
ko:K04773	abab:BJAB0715_02980
ko:K02517	abab:BJAB0715_02981
ko:K09810	abab:BJAB0715_02983
ko:K09808	abab:BJAB0715_02984
ko:K09768	abab:BJAB0715_02986
