ko:K18929	hez:U064_0478
ko:K05540	hez:U064_1034
ko:K04075	hez:U064_1035
ko:K01977	hez:U064_0207
ko:K01977	hez:U064_1465
ko:K14218	hez:U064_1416
ko:K01980	hez:U064_0092
ko:K01155	hez:U064_0256
ko:K01985	hez:U064_1635
ko:K01985	hez:U064_1639
ko:K06148	hez:U064_0141
ko:K05922	hez:U064_0939
ko:K05927	hez:U064_0938
ko:K07812	hez:U064_1364
ko:K01985	hez:U064_1637
ko:K00104	hez:U064_0819
ko:K01980	hez:U064_1342
ko:K03605	hez:U064_0941
ko:K05366	hez:U064_0907
ko:K12051	hez:U064_0039
ko:K14221	hez:U064_0008
ko:K14229	hez:U064_0011
ko:K14228	hez:U064_0134
ko:K14228	hez:U064_0135
ko:K14225	hez:U064_0144
ko:K14235	hez:U064_0148
ko:K14230	hez:U064_0171
ko:K14237	hez:U064_0418
ko:K14233	hez:U064_0435
ko:K14218	hez:U064_0595
ko:K14222	hez:U064_0730
ko:K14225	hez:U064_0733
ko:K14230	hez:U064_1051
ko:K11784	hez:U064_0964
ko:K11785	hez:U064_0492
ko:K14224	hez:U064_0007
ko:K14223	hez:U064_0783
ko:K14219	hez:U064_0674
ko:K14233	hez:U064_0729
ko:K18284	hez:U064_0433
ko:K18285	hez:U064_0962
ko:K14236	hez:U064_0143
ko:K14219	hez:U064_1144
ko:K14232	hez:U064_1218
ko:K14233	hez:U064_1275
ko:K14219	hez:U064_1358
ko:K14232	hez:U064_1360
ko:K14228	hez:U064_1409
ko:K14227	hez:U064_1415
ko:K14224	hez:U064_0010
ko:K14237	hez:U064_0009
ko:K14228	hez:U064_0731
ko:K14234	hez:U064_0142
ko:K14234	hez:U064_0145
ko:K14230	hez:U064_0784
ko:K14220	hez:U064_0571
ko:K14219	hez:U064_1357
ko:K14231	hez:U064_1548
ko:K14226	hez:U064_1359
ko:K02014	hez:U064_1183
ko:K04517	hez:U064_0368
ko:K07126	hez:U064_1317
ko:K11749	hez:U064_0695
ko:K15847	hez:U064_0785
ko:K12109	hez:U064_0856
ko:K11928	hez:U064_0055
ko:K15848	hez:U064_1029
ko:K18480	hez:U064_1489
ko:K00681	hez:U064_1439
ko:K12053	hez:U064_1336
ko:K07316	hez:U064_0087
ko:K18930	hez:U064_0125
ko:K03497	hez:U064_1459
ko:K03496	hez:U064_1460
ko:K03196	hez:U064_0836
ko:K03111	hez:U064_0362
ko:K03205	hez:U064_0378
ko:K03761	hez:U064_1300
ko:K00335	hez:U064_0342
ko:K02483	hez:U064_0505
ko:K03526	hez:U064_0933
ko:K00571	hez:U064_0437
ko:K02483	hez:U064_0073
ko:K03296	hez:U064_0917
ko:K00336	hez:U064_0341
ko:K07448	hez:U064_1289
ko:K19157	hez:U064_0379
ko:K19157	hez:U064_0788
ko:K00571	hez:U064_0050
ko:K00571	hez:U064_0105
ko:K00571	hez:U064_0369
ko:K00571	hez:U064_0604
ko:K00525	hez:U064_0988
ko:K00020	hez:U064_0949
ko:K07317	hez:U064_0766
ko:K04771	hez:U064_1227
ko:K01992	hez:U064_1512
ko:K07496	hez:U064_1157
ko:K07496	hez:U064_0373
ko:K07496	hez:U064_0387
ko:K07496	hez:U064_0393
ko:K07496	hez:U064_1213
ko:K07496	hez:U064_1330
ko:K07496	hez:U064_0098
ko:K07496	hez:U064_0212
ko:K07496	hez:U064_0229
ko:K07496	hez:U064_0234
ko:K19416	hez:U064_0758
ko:K02483	hez:U064_1252
ko:K12053	hez:U064_0020
ko:K12052	hez:U064_0038
ko:K20151	hez:U064_0959
ko:K20810	hez:U064_0608
ko:K20151	hez:U064_1392
ko:K07100	hez:U064_0131
ko:K02335	hez:U064_1496
ko:K02335	hez:U064_1230
ko:K01520	hez:U064_1172
ko:K00558	hez:U064_1193
ko:K06223	hez:U064_1195
ko:K00558	hez:U064_0370
ko:K03553	hez:U064_0493
ko:K01185	hez:U064_1314
ko:K00558	hez:U064_1442
ko:K03465	hez:U064_1554
ko:K12089	hez:U064_0834
ko:K12106	hez:U064_0852
ko:K02316	hez:U064_0015
ko:K00558	hez:U064_0051
ko:K02314	hez:U064_0070
ko:K00526	hez:U064_1410
ko:K02481	hez:U064_1011
ko:K01139	hez:U064_1084
ko:K07097	hez:U064_1251
ko:K10026	hez:U064_0745
ko:K21929	hez:U064_0958
ko:K03595	hez:U064_0828
ko:K09022	hez:U064_0734
ko:K22278	hez:U064_0651
ko:K14441	hez:U064_1042
ko:K22391	hez:U064_0715
ko:K17758	hez:U064_0071
ko:K17759	hez:U064_0071
ko:K00571	hez:U064_0059
ko:K01007	hez:U064_0464
