ko:K01212	bamn:BASU_3671
ko:K03781	bamn:BASU_3525
ko:K03300	bamn:BASU_3526
ko:K01223	bamn:BASU_3551
ko:K09683	bamn:BASU_3556
ko:K01745	bamn:BASU_3557
ko:K01712	bamn:BASU_3558
ko:K01468	bamn:BASU_3559
ko:K00756	bamn:BASU_3562
ko:K11535	bamn:BASU_3563
ko:K05346	bamn:BASU_3565
ko:K02016	bamn:BASU_3572
ko:K06888	bamn:BASU_3690
ko:K08369	bamn:BASU_3692
ko:K01142	bamn:BASU_3695
ko:K13531	bamn:BASU_3696
ko:K13530	bamn:BASU_3697
ko:K02963	bamn:BASU_3698
ko:K02990	bamn:BASU_3700
ko:K06942	bamn:BASU_3701
ko:K03501	bamn:BASU_3709
ko:K03495	bamn:BASU_3710
ko:K03650	bamn:BASU_3711
ko:K03217	bamn:BASU_3713
ko:K03536	bamn:BASU_3714
ko:K02863	bamn:BASU_0108
ko:K02864	bamn:BASU_0109
ko:K02935	bamn:BASU_0110
ko:K03043	bamn:BASU_0112
ko:K03046	bamn:BASU_0113
ko:K07590	bamn:BASU_0114
ko:K02950	bamn:BASU_0115
ko:K02992	bamn:BASU_0116
ko:K02355	bamn:BASU_0117
ko:K02358	bamn:BASU_0118
ko:K02946	bamn:BASU_0120
ko:K02906	bamn:BASU_0121
ko:K02926	bamn:BASU_0122
ko:K02892	bamn:BASU_0123
ko:K02886	bamn:BASU_0124
ko:K02965	bamn:BASU_0125
ko:K02890	bamn:BASU_0126
ko:K02982	bamn:BASU_0127
ko:K02878	bamn:BASU_0128
ko:K02904	bamn:BASU_0129
ko:K02961	bamn:BASU_0130
ko:K02874	bamn:BASU_0131
ko:K02895	bamn:BASU_0132
ko:K02931	bamn:BASU_0133
ko:K02994	bamn:BASU_0134
ko:K02933	bamn:BASU_0135
ko:K02881	bamn:BASU_0136
ko:K02988	bamn:BASU_0137
ko:K02907	bamn:BASU_0138
ko:K02876	bamn:BASU_0140
ko:K03076	bamn:BASU_0141
ko:K01265	bamn:BASU_0143
ko:K02518	bamn:BASU_0144
ko:K02952	bamn:BASU_0145
ko:K02948	bamn:BASU_0146
ko:K03040	bamn:BASU_0148
ko:K02879	bamn:BASU_0149
ko:K16785	bamn:BASU_0152
ko:K06173	bamn:BASU_0153
ko:K02871	bamn:BASU_0154
ko:K02996	bamn:BASU_0155
ko:K01448	bamn:BASU_0159
ko:K06294	bamn:BASU_0161
ko:K06349	bamn:BASU_0162
ko:K13771	bamn:BASU_0903
ko:K01647	bamn:BASU_0909
ko:K03308	bamn:BASU_0912
ko:K03088	bamn:BASU_0915
ko:K00655	bamn:BASU_0916
ko:K11358	bamn:BASU_0919
ko:K00646	bamn:BASU_0920
ko:K06199	bamn:BASU_0923
ko:K06199	bamn:BASU_0924
ko:K01126	bamn:BASU_0925
ko:K16052	bamn:BASU_0926
ko:K12410	bamn:BASU_0927
ko:K00824	bamn:BASU_0929
ko:K01356	bamn:BASU_1721
ko:K00615	bamn:BASU_1725
ko:K03413	bamn:BASU_1730
ko:K06335	bamn:BASU_1733
ko:K06433	bamn:BASU_1734
ko:K06432	bamn:BASU_1735
ko:K01681	bamn:BASU_1736
ko:K06431	bamn:BASU_1739
ko:K06434	bamn:BASU_1740
ko:K07107	bamn:BASU_1741
ko:K08591	bamn:BASU_1744
ko:K02622	bamn:BASU_1746
ko:K02621	bamn:BASU_1747
ko:K03310	bamn:BASU_1750
ko:K00874	bamn:BASU_1751
ko:K03544	bamn:BASU_2472
ko:K03545	bamn:BASU_2473
ko:K01704	bamn:BASU_2476
ko:K01703	bamn:BASU_2477
ko:K00052	bamn:BASU_2478
ko:K01649	bamn:BASU_2479
ko:K00053	bamn:BASU_2480
ko:K01653	bamn:BASU_2481
ko:K01652	bamn:BASU_2482
ko:K07095	bamn:BASU_2485
ko:K00989	bamn:BASU_2487
ko:K01776	bamn:BASU_2489
ko:K01994	bamn:BASU_2491
ko:K07107	bamn:BASU_2492
ko:K03116	bamn:BASU_0251
ko:K03118	bamn:BASU_0252
ko:K01304	bamn:BASU_0253
ko:K07039	bamn:BASU_0259
ko:K09817	bamn:BASU_0269
ko:K09816	bamn:BASU_0270
ko:K05795	bamn:BASU_0273
ko:K05795	bamn:BASU_0274
ko:K08369	bamn:BASU_0278
ko:K02000	bamn:BASU_0279
ko:K02001	bamn:BASU_0280
ko:K02002	bamn:BASU_0281
ko:K14665	bamn:BASU_0282
ko:K09190	bamn:BASU_0290
ko:K09967	bamn:BASU_0292
ko:K15652	bamn:BASU_0295
ko:K00891	bamn:BASU_0297
ko:K01060	bamn:BASU_0300
ko:K07074	bamn:BASU_0301
ko:K00318	bamn:BASU_0302
ko:K11210	bamn:BASU_1055
ko:K00145	bamn:BASU_1058
ko:K00620	bamn:BASU_1059
ko:K00930	bamn:BASU_1060
ko:K01956	bamn:BASU_1062
ko:K01955	bamn:BASU_1063
ko:K00611	bamn:BASU_1064
ko:K05519	bamn:BASU_1069
ko:K02254	bamn:BASU_1070
ko:K00648	bamn:BASU_1072
ko:K09458	bamn:BASU_1073
ko:K02034	bamn:BASU_1079
ko:K01867	bamn:BASU_1081
ko:K15580	bamn:BASU_1082
ko:K15581	bamn:BASU_1083
ko:K16511	bamn:BASU_1091
ko:K08602	bamn:BASU_1093
ko:K06886	bamn:BASU_1096
ko:K13993	bamn:BASU_1850
ko:K04564	bamn:BASU_1858
ko:K03308	bamn:BASU_1859
ko:K03453	bamn:BASU_1860
ko:K00658	bamn:BASU_1862
ko:K00164	bamn:BASU_1863
ko:K03327	bamn:BASU_1871
ko:K05786	bamn:BASU_1876
ko:K06999	bamn:BASU_1883
ko:K15975	bamn:BASU_1884
ko:K01201	bamn:BASU_1886
ko:K01223	bamn:BASU_1887
ko:K03489	bamn:BASU_1888
ko:K03797	bamn:BASU_1889
ko:K05916	bamn:BASU_2613
ko:K05520	bamn:BASU_2615
ko:K01866	bamn:BASU_2622
ko:K01895	bamn:BASU_2623
ko:K04766	bamn:BASU_2624
ko:K04768	bamn:BASU_2626
ko:K02557	bamn:BASU_2627
ko:K02556	bamn:BASU_2628
ko:K02529	bamn:BASU_2629
ko:K13853	bamn:BASU_2630
ko:K01924	bamn:BASU_2634
ko:K03466	bamn:BASU_2635
ko:K06878	bamn:BASU_2636
ko:K03439	bamn:BASU_2646
ko:K01975	bamn:BASU_2651
ko:K01738	bamn:BASU_2652
ko:K06901	bamn:BASU_2654
ko:K07007	bamn:BASU_2661
ko:K06885	bamn:BASU_3385
ko:K06314	bamn:BASU_3387
ko:K16869	bamn:BASU_3396
ko:K07552	bamn:BASU_3409
ko:K02205	bamn:BASU_3410
ko:K00260	bamn:BASU_3413
ko:K01790	bamn:BASU_3416
ko:K00067	bamn:BASU_3417
ko:K00973	bamn:BASU_3419
ko:K06305	bamn:BASU_3427
ko:K00240	bamn:BASU_2493
ko:K00239	bamn:BASU_2494
ko:K00928	bamn:BASU_2497
ko:K03703	bamn:BASU_2498
ko:K03671	bamn:BASU_2499
ko:K03522	bamn:BASU_2501
ko:K03521	bamn:BASU_2502
ko:K13767	bamn:BASU_2503
ko:K13770	bamn:BASU_2504
ko:K08989	bamn:BASU_2507
ko:K07456	bamn:BASU_2508
ko:K02347	bamn:BASU_2509
ko:K09888	bamn:BASU_2511
ko:K01890	bamn:BASU_2513
ko:K01889	bamn:BASU_2514
ko:K10441	bamn:BASU_3230
ko:K01575	bamn:BASU_3235
ko:K01652	bamn:BASU_3236
ko:K03893	bamn:BASU_3238
ko:K06330	bamn:BASU_3241
ko:K07240	bamn:BASU_3246
ko:K07240	bamn:BASU_3247
ko:K05982	bamn:BASU_3248
ko:K00012	bamn:BASU_3254
ko:K03282	bamn:BASU_3267
ko:K02372	bamn:BASU_3268
ko:K02392	bamn:BASU_3270
ko:K02392	bamn:BASU_3271
ko:K03569	bamn:BASU_3272
ko:K06283	bamn:BASU_3273
ko:K03457	bamn:BASU_3276
ko:K03320	bamn:BASU_3279
ko:K04751	bamn:BASU_3280
ko:K03588	bamn:BASU_3281
ko:K00162	bamn:BASU_1405
ko:K00627	bamn:BASU_1406
ko:K00382	bamn:BASU_1407
ko:K06207	bamn:BASU_1419
ko:K07175	bamn:BASU_1423
ko:K01425	bamn:BASU_1425
ko:K03588	bamn:BASU_1427
ko:K02259	bamn:BASU_1429
ko:K02275	bamn:BASU_1432
ko:K02276	bamn:BASU_1434
ko:K00954	bamn:BASU_1445
ko:K07001	bamn:BASU_1447
ko:K02313	bamn:BASU_0002
ko:K02338	bamn:BASU_0003
ko:K03629	bamn:BASU_0005
ko:K02470	bamn:BASU_0007
ko:K02469	bamn:BASU_0008
ko:K06215	bamn:BASU_0013
ko:K08681	bamn:BASU_0014
ko:K01875	bamn:BASU_0015
ko:K00865	bamn:BASU_0016
ko:K15519	bamn:BASU_0017
ko:K15518	bamn:BASU_0018
ko:K06306	bamn:BASU_0019
ko:K02529	bamn:BASU_0757
ko:K00014	bamn:BASU_0758
ko:K03785	bamn:BASU_0759
ko:K07058	bamn:BASU_0764
ko:K07300	bamn:BASU_0767
ko:K03284	bamn:BASU_0775
ko:K01247	bamn:BASU_0776
ko:K03215	bamn:BASU_0777
ko:K00627	bamn:BASU_0783
ko:K00382	bamn:BASU_0784
ko:K06425	bamn:BASU_0786
ko:K01232	bamn:BASU_0787
ko:K03481	bamn:BASU_0788
ko:K02749	bamn:BASU_0789
ko:K02750	bamn:BASU_0789
ko:K00355	bamn:BASU_0796
ko:K03623	bamn:BASU_0799
ko:K14205	bamn:BASU_0803
ko:K02884	bamn:BASU_1543
ko:K14540	bamn:BASU_1544
ko:K03470	bamn:BASU_1545
ko:K04061	bamn:BASU_1547
ko:K01903	bamn:BASU_1548
ko:K01902	bamn:BASU_1549
ko:K04096	bamn:BASU_1550
ko:K03168	bamn:BASU_1551
ko:K04094	bamn:BASU_1552
ko:K03733	bamn:BASU_1553
ko:K01419	bamn:BASU_1554
ko:K03667	bamn:BASU_1555
ko:K03706	bamn:BASU_1556
ko:K02387	bamn:BASU_1557
ko:K02388	bamn:BASU_1558
ko:K02408	bamn:BASU_1559
ko:K02409	bamn:BASU_1560
ko:K02410	bamn:BASU_1561
ko:K02411	bamn:BASU_1562
ko:K02412	bamn:BASU_1563
ko:K02413	bamn:BASU_1564
ko:K02389	bamn:BASU_1567
ko:K02390	bamn:BASU_1568
ko:K02385	bamn:BASU_1569
ko:K02415	bamn:BASU_1570
ko:K02416	bamn:BASU_1571
ko:K02417	bamn:BASU_1572
ko:K03413	bamn:BASU_1573
ko:K02418	bamn:BASU_1574
ko:K02419	bamn:BASU_1575
ko:K02420	bamn:BASU_1576
ko:K02421	bamn:BASU_1577
ko:K02401	bamn:BASU_1578
ko:K02400	bamn:BASU_1579
ko:K02404	bamn:BASU_1580
ko:K04562	bamn:BASU_1581
ko:K03412	bamn:BASU_1582
ko:K03407	bamn:BASU_1583
ko:K03408	bamn:BASU_1584
ko:K03410	bamn:BASU_1585
ko:K03411	bamn:BASU_1586
ko:K02405	bamn:BASU_1587
ko:K02967	bamn:BASU_1589
ko:K02357	bamn:BASU_1590
ko:K09903	bamn:BASU_1591
ko:K02838	bamn:BASU_1592
ko:K03091	bamn:BASU_2330
ko:K01657	bamn:BASU_2336
ko:K01912	bamn:BASU_2337
ko:K00600	bamn:BASU_2340
ko:K13653	bamn:BASU_2350
ko:K01809	bamn:BASU_2362
ko:K02768	bamn:BASU_2363
ko:K02769	bamn:BASU_2363
ko:K02770	bamn:BASU_2363
ko:K08224	bamn:BASU_2368
ko:K00123	bamn:BASU_2375
ko:K17217	bamn:BASU_2378
ko:K13727	bamn:BASU_3088
ko:K01193	bamn:BASU_3096
ko:K02532	bamn:BASU_3097
ko:K03484	bamn:BASU_3098
ko:K01358	bamn:BASU_3099
ko:K06966	bamn:BASU_3103
ko:K03321	bamn:BASU_3105
ko:K01673	bamn:BASU_3106
ko:K00675	bamn:BASU_3109
ko:K11184	bamn:BASU_3110
ko:K06958	bamn:BASU_3113
ko:K00384	bamn:BASU_3116
ko:K11755	bamn:BASU_3122
ko:K02500	bamn:BASU_3123
ko:K01814	bamn:BASU_3124
ko:K02501	bamn:BASU_3125
ko:K01693	bamn:BASU_3126
ko:K00013	bamn:BASU_3127
ko:K00765	bamn:BASU_3128
ko:K02502	bamn:BASU_3129
ko:K06442	bamn:BASU_2184
ko:K01662	bamn:BASU_2185
ko:K13789	bamn:BASU_2186
ko:K03602	bamn:BASU_2187
ko:K03601	bamn:BASU_2188
ko:K01491	bamn:BASU_2189
ko:K03625	bamn:BASU_2190
ko:K01961	bamn:BASU_2192
ko:K02160	bamn:BASU_2193
ko:K06397	bamn:BASU_2194
ko:K06396	bamn:BASU_2195
ko:K06395	bamn:BASU_2196
ko:K06394	bamn:BASU_2197
ko:K06393	bamn:BASU_2198
ko:K06392	bamn:BASU_2199
ko:K06391	bamn:BASU_2200
ko:K06390	bamn:BASU_2201
ko:K02356	bamn:BASU_2203
ko:K07001	bamn:BASU_2208
ko:K03800	bamn:BASU_2210
ko:K00283	bamn:BASU_2212
ko:K00282	bamn:BASU_2213
ko:K00605	bamn:BASU_2214
ko:K02247	bamn:BASU_2227
ko:K11622	bamn:BASU_2941
ko:K11621	bamn:BASU_2942
ko:K11619	bamn:BASU_2944
ko:K02013	bamn:BASU_2947
ko:K02015	bamn:BASU_2948
ko:K02016	bamn:BASU_2949
ko:K02013	bamn:BASU_2959
ko:K02015	bamn:BASU_2960
ko:K02015	bamn:BASU_2961
ko:K02016	bamn:BASU_2962
ko:K03758	bamn:BASU_2963
ko:K07038	bamn:BASU_2965
ko:K07219	bamn:BASU_2967
ko:K02020	bamn:BASU_2968
ko:K02018	bamn:BASU_2969
ko:K00381	bamn:BASU_2978
ko:K03657	bamn:BASU_2980
ko:K03611	bamn:BASU_2983
ko:K01534	bamn:BASU_2985
ko:K01775	bamn:BASU_0458
ko:K07723	bamn:BASU_0459
ko:K06959	bamn:BASU_0469
ko:K01118	bamn:BASU_0476
ko:K03762	bamn:BASU_0485
ko:K07118	bamn:BASU_0492
ko:K16137	bamn:BASU_0493
ko:K07124	bamn:BASU_0494
ko:K10255	bamn:BASU_0497
ko:K03704	bamn:BASU_0499
ko:K07736	bamn:BASU_0500
ko:K01779	bamn:BASU_0502
ko:K01433	bamn:BASU_1249
ko:K00931	bamn:BASU_1250
ko:K00147	bamn:BASU_1251
ko:K05820	bamn:BASU_1259
ko:K00549	bamn:BASU_1261
ko:K13275	bamn:BASU_1262
ko:K16785	bamn:BASU_1264
ko:K16786	bamn:BASU_1265
ko:K16787	bamn:BASU_1265
ko:K16925	bamn:BASU_1266
ko:K06213	bamn:BASU_1269
ko:K10979	bamn:BASU_1276
ko:K03093	bamn:BASU_1279
ko:K03799	bamn:BASU_1283
ko:K13533	bamn:BASU_1288
ko:K08963	bamn:BASU_1290
ko:K00899	bamn:BASU_1291
ko:K03654	bamn:BASU_2045
ko:K03088	bamn:BASU_2051
ko:K07651	bamn:BASU_2052
ko:K07775	bamn:BASU_2053
ko:K07399	bamn:BASU_2055
ko:K06178	bamn:BASU_2057
ko:K06374	bamn:BASU_2058
ko:K06373	bamn:BASU_2059
ko:K06024	bamn:BASU_2062
ko:K05896	bamn:BASU_2063
ko:K02859	bamn:BASU_2066
ko:K00794	bamn:BASU_2067
ko:K14652	bamn:BASU_2068
ko:K00793	bamn:BASU_2069
ko:K11752	bamn:BASU_2070
ko:K03100	bamn:BASU_2072
ko:K01586	bamn:BASU_2076
ko:K06408	bamn:BASU_2077
ko:K06407	bamn:BASU_2078
ko:K06407	bamn:BASU_2079
ko:K06406	bamn:BASU_2080
ko:K06405	bamn:BASU_2081
ko:K06404	bamn:BASU_2082
ko:K06403	bamn:BASU_2083
ko:K03091	bamn:BASU_2084
ko:K06379	bamn:BASU_2085
ko:K05567	bamn:BASU_2791
ko:K05569	bamn:BASU_2793
ko:K05571	bamn:BASU_2795
ko:K07691	bamn:BASU_2797
ko:K07680	bamn:BASU_2798
ko:K02251	bamn:BASU_2800
ko:K00763	bamn:BASU_2804
ko:K06950	bamn:BASU_2811
ko:K16216	bamn:BASU_2812
ko:K03466	bamn:BASU_2815
ko:K00259	bamn:BASU_2820
ko:K04780	bamn:BASU_2823
ko:K01252	bamn:BASU_2824
ko:K02363	bamn:BASU_2825
ko:K02361	bamn:BASU_2826
ko:K00216	bamn:BASU_2827
ko:K03523	bamn:BASU_2830
ko:K07084	bamn:BASU_2831
ko:K01255	bamn:BASU_2832
ko:K09775	bamn:BASU_2833
ko:K03885	bamn:BASU_2836
ko:K00364	bamn:BASU_2839
ko:K11636	bamn:BASU_3574
ko:K11635	bamn:BASU_3575
ko:K06606	bamn:BASU_3579
ko:K06605	bamn:BASU_3580
ko:K03335	bamn:BASU_3583
ko:K03336	bamn:BASU_3584
ko:K03338	bamn:BASU_3585
ko:K03337	bamn:BASU_3586
ko:K00140	bamn:BASU_3587
ko:K06608	bamn:BASU_3588
ko:K04079	bamn:BASU_3591
ko:K07693	bamn:BASU_3594
ko:K07778	bamn:BASU_3595
ko:K10255	bamn:BASU_3596
ko:K03387	bamn:BASU_3607
ko:K11737	bamn:BASU_3609
ko:K04041	bamn:BASU_3610
ko:K14218	bamn:BASU_tRNA12
ko:K14218	bamn:BASU_tRNA22
ko:K14218	bamn:BASU_tRNA65
ko:K14218	bamn:BASU_tRNA74
ko:K14218	bamn:BASU_tRNA18
ko:K08174	bamn:BASU_0168
ko:K03321	bamn:BASU_0172
ko:K02015	bamn:BASU_0175
ko:K02015	bamn:BASU_0176
ko:K02016	bamn:BASU_0177
ko:K01207	bamn:BASU_0180
ko:K07106	bamn:BASU_0183
ko:K03088	bamn:BASU_0186
ko:K03431	bamn:BASU_0190
ko:K00820	bamn:BASU_0191
ko:K03897	bamn:BASU_0945
ko:K07228	bamn:BASU_0947
ko:K09682	bamn:BASU_0961
ko:K00831	bamn:BASU_0965
ko:K02503	bamn:BASU_0966
ko:K01599	bamn:BASU_0974
ko:K01772	bamn:BASU_0975
ko:K00231	bamn:BASU_0976
ko:K01421	bamn:BASU_0978
ko:K00648	bamn:BASU_0979
ko:K11102	bamn:BASU_0982
ko:K03800	bamn:BASU_0984
ko:K02016	bamn:BASU_0990
ko:K03523	bamn:BASU_0994
ko:K08322	bamn:BASU_1752
ko:K01625	bamn:BASU_1753
ko:K01686	bamn:BASU_1754
ko:K02525	bamn:BASU_1756
ko:K15924	bamn:BASU_1769
ko:K15921	bamn:BASU_1770
ko:K00645	bamn:BASU_1774
ko:K00019	bamn:BASU_1775
ko:K01029	bamn:BASU_1776
ko:K01028	bamn:BASU_1777
ko:K01012	bamn:BASU_1780
ko:K01935	bamn:BASU_1781
ko:K00963	bamn:BASU_1786
ko:K01640	bamn:BASU_1790
ko:K02160	bamn:BASU_1791
ko:K01961	bamn:BASU_1792
ko:K03437	bamn:BASU_2515
ko:K06426	bamn:BASU_2516
ko:K02647	bamn:BASU_2517
ko:K11473	bamn:BASU_2519
ko:K06200	bamn:BASU_2520
ko:K17234	bamn:BASU_2524
ko:K00096	bamn:BASU_2525
ko:K01804	bamn:BASU_2529
ko:K02887	bamn:BASU_2534
ko:K02916	bamn:BASU_2535
ko:K02520	bamn:BASU_2536
ko:K05339	bamn:BASU_2537
ko:K05338	bamn:BASU_2538
ko:K07704	bamn:BASU_2540
ko:K01868	bamn:BASU_2542
ko:K07738	bamn:BASU_2547
ko:K01611	bamn:BASU_2548
ko:K00134	bamn:BASU_2549
ko:K00859	bamn:BASU_2553
ko:K07636	bamn:BASU_2557
ko:K00024	bamn:BASU_2560
ko:K00031	bamn:BASU_2561
ko:K01647	bamn:BASU_2562
ko:K06386	bamn:BASU_3284
ko:K03823	bamn:BASU_3285
ko:K06131	bamn:BASU_3288
ko:K01428	bamn:BASU_3292
ko:K01429	bamn:BASU_3293
ko:K01430	bamn:BASU_3294
ko:K03639	bamn:BASU_3298
ko:K02379	bamn:BASU_3299
ko:K06381	bamn:BASU_3304
ko:K00790	bamn:BASU_3305
ko:K02114	bamn:BASU_3309
ko:K02112	bamn:BASU_3310
ko:K02115	bamn:BASU_3311
ko:K02111	bamn:BASU_3312
ko:K02113	bamn:BASU_3313
ko:K02109	bamn:BASU_3314
ko:K13542	bamn:BASU_0307
ko:K00363	bamn:BASU_0308
ko:K00362	bamn:BASU_0309
ko:K00372	bamn:BASU_0310
ko:K00362	bamn:BASU_0311
ko:K02575	bamn:BASU_0312
ko:K01223	bamn:BASU_0317
ko:K08094	bamn:BASU_0320
ko:K06133	bamn:BASU_0331
ko:K10010	bamn:BASU_0333
ko:K10009	bamn:BASU_0334
ko:K02424	bamn:BASU_0335
ko:K03186	bamn:BASU_0338
ko:K03305	bamn:BASU_0342
ko:K06295	bamn:BASU_0345
ko:K06297	bamn:BASU_0346
ko:K06296	bamn:BASU_0347
ko:K00858	bamn:BASU_1101
ko:K06180	bamn:BASU_1102
ko:K03707	bamn:BASU_1105
ko:K10810	bamn:BASU_1106
ko:K03154	bamn:BASU_1108
ko:K03149	bamn:BASU_1109
ko:K00941	bamn:BASU_1111
ko:K00208	bamn:BASU_1112
ko:K06342	bamn:BASU_1116
ko:K06341	bamn:BASU_1117
ko:K03657	bamn:BASU_1123
ko:K01438	bamn:BASU_1903
ko:K01034	bamn:BASU_1905
ko:K01083	bamn:BASU_1914
ko:K07152	bamn:BASU_1921
ko:K01754	bamn:BASU_1923
ko:K11068	bamn:BASU_1925
ko:K00655	bamn:BASU_1926
ko:K01687	bamn:BASU_1932
ko:K06950	bamn:BASU_1934
ko:K00432	bamn:BASU_1935
ko:K00651	bamn:BASU_1936
ko:K03704	bamn:BASU_1938
ko:K09125	bamn:BASU_1942
ko:K06429	bamn:BASU_1944
ko:K02529	bamn:BASU_2664
ko:K10117	bamn:BASU_2665
ko:K10119	bamn:BASU_2667
ko:K07406	bamn:BASU_2668
ko:K01869	bamn:BASU_2671
ko:K11632	bamn:BASU_2677
ko:K11631	bamn:BASU_2678
ko:K11629	bamn:BASU_2679
ko:K11630	bamn:BASU_2680
ko:K16918	bamn:BASU_2681
ko:K16920	bamn:BASU_2682
ko:K16919	bamn:BASU_2683
ko:K16919	bamn:BASU_2684
ko:K16919	bamn:BASU_2685
ko:K07139	bamn:BASU_2689
ko:K01126	bamn:BASU_2692
ko:K16188	bamn:BASU_2693
ko:K01953	bamn:BASU_2697
ko:K00789	bamn:BASU_2698
ko:K01610	bamn:BASU_2699
ko:K04047	bamn:BASU_2707
ko:K07173	bamn:BASU_2710
ko:K03648	bamn:BASU_3431
ko:K00868	bamn:BASU_3436
ko:K01193	bamn:BASU_3438
ko:K14647	bamn:BASU_3441
ko:K05837	bamn:BASU_3444
ko:K03829	bamn:BASU_3445
ko:K02829	bamn:BASU_3447
ko:K02828	bamn:BASU_3448
ko:K02827	bamn:BASU_3449
ko:K02826	bamn:BASU_3450
ko:K00965	bamn:BASU_3452
ko:K00849	bamn:BASU_3453
ko:K16301	bamn:BASU_3460
ko:K00788	bamn:BASU_3463
ko:K00878	bamn:BASU_3464
ko:K06969	bamn:BASU_3470
ko:K02761	bamn:BASU_3472
ko:K02548	bamn:BASU_3477
ko:K07141	bamn:BASU_3614
ko:K02110	bamn:BASU_3315
ko:K02108	bamn:BASU_3316
ko:K00761	bamn:BASU_3317
ko:K00600	bamn:BASU_3318
ko:K01808	bamn:BASU_3320
ko:K07566	bamn:BASU_3323
ko:K06387	bamn:BASU_3325
ko:K02493	bamn:BASU_3328
ko:K02835	bamn:BASU_3329
ko:K11991	bamn:BASU_0021
ko:K02343	bamn:BASU_0022
ko:K09747	bamn:BASU_0023
ko:K06187	bamn:BASU_0024
ko:K06317	bamn:BASU_0026
ko:K00943	bamn:BASU_0032
ko:K09770	bamn:BASU_0034
ko:K02341	bamn:BASU_0035
ko:K07461	bamn:BASU_0039
ko:K07056	bamn:BASU_0040
ko:K06284	bamn:BASU_0041
ko:K01874	bamn:BASU_0042
ko:K03424	bamn:BASU_0043
ko:K05985	bamn:BASU_0045
ko:K02528	bamn:BASU_0046
ko:K06436	bamn:BASU_0047
ko:K06423	bamn:BASU_0049
ko:K00919	bamn:BASU_0050
ko:K06412	bamn:BASU_0053
ko:K04042	bamn:BASU_0054
ko:K00948	bamn:BASU_0055
ko:K02897	bamn:BASU_0056
ko:K01056	bamn:BASU_0057
ko:K03723	bamn:BASU_0059
ko:K04769	bamn:BASU_0060
ko:K07571	bamn:BASU_0067
ko:K07071	bamn:BASU_0808
ko:K03565	bamn:BASU_0809
ko:K07038	bamn:BASU_0820
ko:K03575	bamn:BASU_0821
ko:K10780	bamn:BASU_0823
ko:K06422	bamn:BASU_0824
ko:K01845	bamn:BASU_0829
ko:K03564	bamn:BASU_0830
ko:K03147	bamn:BASU_0839
ko:K02034	bamn:BASU_0844
ko:K00806	bamn:BASU_1593
ko:K00981	bamn:BASU_1594
ko:K00099	bamn:BASU_1595
ko:K11749	bamn:BASU_1596
ko:K01881	bamn:BASU_1597
ko:K03763	bamn:BASU_1598
ko:K09748	bamn:BASU_1599
ko:K02600	bamn:BASU_1600
ko:K07742	bamn:BASU_1601
ko:K02519	bamn:BASU_1603
ko:K02834	bamn:BASU_1605
ko:K11753	bamn:BASU_1607
ko:K02956	bamn:BASU_1608
ko:K00962	bamn:BASU_1609
ko:K06410	bamn:BASU_1613
ko:K06411	bamn:BASU_1614
ko:K00133	bamn:BASU_1615
ko:K00928	bamn:BASU_1616
ko:K01714	bamn:BASU_1617
ko:K03466	bamn:BASU_1621
ko:K03710	bamn:BASU_1622
ko:K08221	bamn:BASU_1623
ko:K00995	bamn:BASU_1632
ko:K09769	bamn:BASU_1637
ko:K06416	bamn:BASU_1638
ko:K00060	bamn:BASU_1639
ko:K06168	bamn:BASU_1641
ko:K06328	bamn:BASU_1643
ko:K17462	bamn:BASU_2381
ko:K03624	bamn:BASU_2385
ko:K00876	bamn:BASU_2386
ko:K08303	bamn:BASU_2387
ko:K08303	bamn:BASU_2388
ko:K07082	bamn:BASU_2390
ko:K07447	bamn:BASU_2392
ko:K01872	bamn:BASU_2394
ko:K10039	bamn:BASU_2397
ko:K10040	bamn:BASU_2398
ko:K10040	bamn:BASU_2399
ko:K03581	bamn:BASU_2402
ko:K00566	bamn:BASU_2404
ko:K04487	bamn:BASU_2405
ko:K17472	bamn:BASU_2406
ko:K07478	bamn:BASU_2407
ko:K01876	bamn:BASU_2409
ko:K07507	bamn:BASU_0656
ko:K02435	bamn:BASU_0659
ko:K02434	bamn:BASU_0661
ko:K03215	bamn:BASU_0665
ko:K09458	bamn:BASU_0670
ko:K11050	bamn:BASU_0673
ko:K11051	bamn:BASU_0674
ko:K06332	bamn:BASU_0684
ko:K06333	bamn:BASU_0685
ko:K06334	bamn:BASU_0686
ko:K06890	bamn:BASU_0695
ko:K00978	bamn:BASU_0701
ko:K01709	bamn:BASU_0702
ko:K07040	bamn:BASU_1450
ko:K00077	bamn:BASU_1453
ko:K03925	bamn:BASU_1455
ko:K03438	bamn:BASU_1456
ko:K08384	bamn:BASU_1459
ko:K01928	bamn:BASU_1460
ko:K01000	bamn:BASU_1461
ko:K01925	bamn:BASU_1462
ko:K03588	bamn:BASU_1463
ko:K02563	bamn:BASU_1464
ko:K00075	bamn:BASU_1465
ko:K03589	bamn:BASU_1466
ko:K03590	bamn:BASU_1467
ko:K03531	bamn:BASU_1468
ko:K13276	bamn:BASU_1469
ko:K06383	bamn:BASU_1470
ko:K03091	bamn:BASU_1471
ko:K03091	bamn:BASU_1472
ko:K02013	bamn:BASU_1473
ko:K05810	bamn:BASU_1476
ko:K06997	bamn:BASU_1477
ko:K09772	bamn:BASU_1478
ko:K02221	bamn:BASU_1479
ko:K04074	bamn:BASU_1481
