ko:K18828	xfl:P303_05575
ko:K03092	xfl:P303_03095
ko:K06861	xfl:P303_03100
ko:K09774	xfl:P303_03105
ko:K11719	xfl:P303_03110
ko:K03270	xfl:P303_03115
ko:K06041	xfl:P303_03120
ko:K00790	xfl:P303_03130
ko:K01952	xfl:P303_03155
ko:K03981	xfl:P303_03160
ko:K04763	xfl:P303_03165
ko:K10716	xfl:P303_03170
ko:K01919	xfl:P303_03185
ko:K03978	xfl:P303_03190
ko:K03673	xfl:P303_03210
ko:K03673	xfl:P303_03215
ko:K07153	xfl:P303_03225
ko:K00566	xfl:P303_03230
ko:K06891	xfl:P303_03240
ko:K03694	xfl:P303_03250
ko:K02518	xfl:P303_03255
ko:K00684	xfl:P303_03260
ko:K09919	xfl:P303_03265
ko:K00384	xfl:P303_03270
ko:K03466	xfl:P303_03275
ko:K03634	xfl:P303_03285
ko:K07478	xfl:P303_03290
ko:K06199	xfl:P303_03295
ko:K00950	xfl:P303_03305
ko:K03793	xfl:P303_03310
ko:K00845	xfl:P303_03325
ko:K02529	xfl:P303_03340
ko:K00820	xfl:P303_03345
ko:K01443	xfl:P303_03350
ko:K01963	xfl:P303_03355
ko:K03431	xfl:P303_03360
ko:K03218	xfl:P303_04260
ko:K03807	xfl:P303_04285
ko:K03216	xfl:P303_04320
ko:K03644	xfl:P303_02195
ko:K03801	xfl:P303_02200
ko:K09158	xfl:P303_02205
ko:K03699	xfl:P303_02235
ko:K02622	xfl:P303_02255
ko:K01937	xfl:P303_02265
ko:K02863	xfl:P303_12515
ko:K02935	xfl:P303_12525
ko:K01893	xfl:P303_12805
ko:K01627	xfl:P303_02270
ko:K01689	xfl:P303_02275
ko:K05589	xfl:P303_02280
ko:K00991	xfl:P303_02285
ko:K01770	xfl:P303_02290
ko:K01053	xfl:P303_02300
ko:K00311	xfl:P303_02305
ko:K18480	xfl:P303_02315
ko:K02067	xfl:P303_02320
ko:K02065	xfl:P303_02325
ko:K02066	xfl:P303_02330
ko:K03569	xfl:P303_02350
ko:K03570	xfl:P303_02355
ko:K03571	xfl:P303_02360
ko:K05515	xfl:P303_02365
ko:K05837	xfl:P303_02370
ko:K07568	xfl:P303_02375
ko:K00951	xfl:P303_02380
ko:K03608	xfl:P303_02395
ko:K03609	xfl:P303_02400
ko:K03610	xfl:P303_02405
ko:K01247	xfl:P303_02425
ko:K12262	xfl:P303_02440
ko:K01599	xfl:P303_02475
ko:K11717	xfl:P303_03385
ko:K09015	xfl:P303_03390
ko:K09013	xfl:P303_03395
ko:K09014	xfl:P303_03400
ko:K07117	xfl:P303_03410
ko:K01354	xfl:P303_03415
ko:K01778	xfl:P303_03420
ko:K09921	xfl:P303_03425
ko:K03733	xfl:P303_03430
ko:K01419	xfl:P303_03435
ko:K03667	xfl:P303_03440
ko:K03183	xfl:P303_03450
ko:K09005	xfl:P303_03485
ko:K02014	xfl:P303_03490
ko:K00390	xfl:P303_03500
ko:K00381	xfl:P303_03505
ko:K00380	xfl:P303_03510
ko:K00957	xfl:P303_03515
ko:K00955	xfl:P303_03520
ko:K03060	xfl:P303_03525
ko:K00942	xfl:P303_03530
ko:K00989	xfl:P303_03540
ko:K02428	xfl:P303_03545
ko:K01259	xfl:P303_03565
ko:K02493	xfl:P303_03570
ko:K07088	xfl:P303_03590
ko:K07088	xfl:P303_03595
ko:K02454	xfl:P303_03605
ko:K02455	xfl:P303_03610
ko:K02456	xfl:P303_03620
ko:K02457	xfl:P303_03625
ko:K02458	xfl:P303_03630
ko:K02459	xfl:P303_03635
ko:K02460	xfl:P303_03640
ko:K02461	xfl:P303_03645
ko:K02462	xfl:P303_03650
ko:K02463	xfl:P303_03655
ko:K00602	xfl:P303_04300
ko:K01920	xfl:P303_04405
ko:K07708	xfl:P303_05020
ko:K07712	xfl:P303_05025
ko:K01735	xfl:P303_02480
ko:K00891	xfl:P303_02485
ko:K00275	xfl:P303_02490
ko:K01886	xfl:P303_02495
ko:K06201	xfl:P303_02500
ko:K02048	xfl:P303_02515
ko:K02046	xfl:P303_02520
ko:K02047	xfl:P303_02525
ko:K02045	xfl:P303_02530
ko:K02517	xfl:P303_02535
ko:K03086	xfl:P303_02545
ko:K02621	xfl:P303_02550
ko:K02170	xfl:P303_02560
ko:K00652	xfl:P303_02565
ko:K02259	xfl:P303_02570
ko:K00974	xfl:P303_02590
ko:K08309	xfl:P303_02595
ko:K01613	xfl:P303_02600
ko:K07152	xfl:P303_02605
ko:K07320	xfl:P303_02615
ko:K01736	xfl:P303_02620
ko:K00133	xfl:P303_02630
ko:K08086	xfl:P303_02635
ko:K06173	xfl:P303_02640
ko:K01817	xfl:P303_02645
ko:K01696	xfl:P303_02655
ko:K01695	xfl:P303_02660
ko:K04485	xfl:P303_02665
ko:K03654	xfl:P303_02680
ko:K04047	xfl:P303_02685
ko:K03578	xfl:P303_02690
ko:K00281	xfl:P303_02700
ko:K02453	xfl:P303_03660
ko:K03386	xfl:P303_03670
ko:K03387	xfl:P303_03675
ko:K04761	xfl:P303_03680
ko:K02909	xfl:P303_03690
ko:K01647	xfl:P303_03695
ko:K02996	xfl:P303_03700
ko:K02871	xfl:P303_03705
ko:K06134	xfl:P303_03710
ko:K01611	xfl:P303_03715
ko:K10914	xfl:P303_03720
ko:K06077	xfl:P303_03745
ko:K00382	xfl:P303_03750
ko:K00658	xfl:P303_03760
ko:K00164	xfl:P303_03765
ko:K01756	xfl:P303_03780
ko:K01679	xfl:P303_03785
ko:K03495	xfl:P303_03845
ko:K02169	xfl:P303_03875
ko:K09007	xfl:P303_03880
ko:K18138	xfl:P303_03890
ko:K03585	xfl:P303_03895
ko:K15371	xfl:P303_03900
ko:K00858	xfl:P303_03905
ko:K01081	xfl:P303_03910
ko:K01945	xfl:P303_04295
ko:K03832	xfl:P303_04400
ko:K02657	xfl:P303_04410
ko:K06597	xfl:P303_04430
ko:K07491	xfl:P303_04010
ko:K09803	xfl:P303_04035
ko:K07088	xfl:P303_04045
ko:K01141	xfl:P303_04090
ko:K03316	xfl:P303_04105
ko:K01807	xfl:P303_04120
ko:K01934	xfl:P303_04130
ko:K09888	xfl:P303_04135
ko:K09895	xfl:P303_04145
ko:K01262	xfl:P303_04150
ko:K01515	xfl:P303_04155
ko:K00826	xfl:P303_04195
ko:K03557	xfl:P303_04200
ko:K01497	xfl:P303_04235
ko:K01495	xfl:P303_04275
ko:K01950	xfl:P303_04380
ko:K02659	xfl:P303_04415
ko:K06598	xfl:P303_04435
ko:K06940	xfl:P303_04365
ko:K01878	xfl:P303_04385
ko:K02660	xfl:P303_04420
ko:K00764	xfl:P303_04440
ko:K11754	xfl:P303_04455
ko:K07304	xfl:P303_04480
ko:K04564	xfl:P303_04565
ko:K01658	xfl:P303_04605
ko:K01879	xfl:P303_04390
ko:K02487	xfl:P303_04425
ko:K06596	xfl:P303_04425
ko:K03501	xfl:P303_04500
ko:K03720	xfl:P303_04570
ko:K01657	xfl:P303_04610
ko:K03575	xfl:P303_04640
ko:K01159	xfl:P303_04655
ko:K03558	xfl:P303_04445
ko:K01284	xfl:P303_04465
ko:K06133	xfl:P303_04505
ko:K01912	xfl:P303_04595
ko:K03424	xfl:P303_04615
ko:K03550	xfl:P303_04660
ko:K03551	xfl:P303_04670
ko:K03562	xfl:P303_04680
ko:K01142	xfl:P303_04510
ko:K03517	xfl:P303_04560
ko:K01912	xfl:P303_04600
ko:K03110	xfl:P303_04635
ko:K03549	xfl:P303_04665
ko:K07107	xfl:P303_04675
ko:K03560	xfl:P303_04685
ko:K03641	xfl:P303_04695
ko:K03640	xfl:P303_04700
ko:K01885	xfl:P303_00600
ko:K03185	xfl:P303_00665
ko:K01775	xfl:P303_00740
ko:K06978	xfl:P303_01030
ko:K02073	xfl:P303_00820
ko:K02372	xfl:P303_01085
ko:K04744	xfl:P303_00675
ko:K02072	xfl:P303_00825
ko:K00631	xfl:P303_01035
ko:K00873	xfl:P303_00615
ko:K03771	xfl:P303_00680
ko:K06194	xfl:P303_00760
ko:K01940	xfl:P303_00890
ko:K02536	xfl:P303_01090
ko:K03070	xfl:P303_00550
ko:K01623	xfl:P303_00625
ko:K00097	xfl:P303_00685
ko:K02071	xfl:P303_00830
ko:K01438	xfl:P303_00895
ko:K12308	xfl:P303_00690
ko:K00573	xfl:P303_00770
ko:K11924	xfl:P303_00980
ko:K03787	xfl:P303_00775
ko:K00145	xfl:P303_00905
ko:K03322	xfl:P303_00985
ko:K06983	xfl:P303_00565
ko:K09704	xfl:P303_00700
ko:K01755	xfl:P303_00910
ko:K01251	xfl:P303_01055
ko:K09945	xfl:P303_00570
ko:K01738	xfl:P303_00645
ko:K00931	xfl:P303_00915
ko:K05349	xfl:P303_00710
ko:K00641	xfl:P303_00790
ko:K01673	xfl:P303_00850
ko:K01192	xfl:P303_00715
ko:K01739	xfl:P303_00795
ko:K10805	xfl:P303_01005
ko:K03470	xfl:P303_01070
ko:K02302	xfl:P303_00650
ko:K12373	xfl:P303_00720
ko:K16264	xfl:P303_00800
ko:K00382	xfl:P303_00805
ko:K02426	xfl:P303_00865
ko:K09823	xfl:P303_00595
ko:K07305	xfl:P303_00730
ko:K00627	xfl:P303_00810
ko:K00748	xfl:P303_01075
ko:K03184	xfl:P303_00660
ko:K00285	xfl:P303_00735
ko:K07275	xfl:P303_00815
ko:K01883	xfl:P303_00870
ko:K00677	xfl:P303_01080
ko:K00845	xfl:P303_01185
ko:K00240	xfl:P303_01225
ko:K09159	xfl:P303_01230
ko:K02238	xfl:P303_01250
ko:K03561	xfl:P303_01255
ko:K11085	xfl:P303_01265
ko:K06076	xfl:P303_01125
ko:K09903	xfl:P303_01140
ko:K03559	xfl:P303_01260
ko:K00912	xfl:P303_01270
ko:K11749	xfl:P303_01100
ko:K00099	xfl:P303_01105
ko:K01690	xfl:P303_01175
ko:K00036	xfl:P303_01190
ko:K10112	xfl:P303_01195
ko:K06980	xfl:P303_01200
ko:K09808	xfl:P303_01240
ko:K09810	xfl:P303_01245
ko:K00981	xfl:P303_01110
ko:K00806	xfl:P303_01115
ko:K02838	xfl:P303_01120
ko:K01625	xfl:P303_01170
ko:K01057	xfl:P303_01180
ko:K00241	xfl:P303_01210
ko:K00242	xfl:P303_01215
ko:K00239	xfl:P303_01220
ko:K01985	xfl:P303_11220
ko:K01985	xfl:P303_11675
ko:K02847	xfl:P303_04215
ko:K18842	xfl:P303_00175
ko:K06218	xfl:P303_12040
ko:K07171	xfl:P303_00035
ko:K18841	xfl:P303_00170
ko:K09892	xfl:P303_04140
ko:K18850	xfl:P303_03775
ko:K03497	xfl:P303_06275
ko:K03496	xfl:P303_06280
ko:K03111	xfl:P303_07825
ko:K03111	xfl:P303_08075
ko:K03746	xfl:P303_08250
ko:K03111	xfl:P303_09970
ko:K03497	xfl:P303_11735
ko:K06218	xfl:P303_00060
ko:K03201	xfl:P303_00125
ko:K03203	xfl:P303_00130
ko:K03204	xfl:P303_00135
ko:K03196	xfl:P303_00145
ko:K03205	xfl:P303_00155
ko:K07473	xfl:P303_01300
ko:K07467	xfl:P303_04765
ko:K07467	xfl:P303_04815
ko:K03169	xfl:P303_05040
ko:K03496	xfl:P303_01380
ko:K03111	xfl:P303_03025
ko:K07467	xfl:P303_04950
ko:K03646	xfl:P303_04690
ko:K03761	xfl:P303_11615
ko:K19033	xfl:P303_08540
ko:K00335	xfl:P303_10540
ko:K14228	xfl:P303_01820
ko:K03526	xfl:P303_12755
ko:K14742	xfl:P303_03685
ko:K14232	xfl:P303_00290
ko:K14225	xfl:P303_00430
ko:K14225	xfl:P303_06345
ko:K14225	xfl:P303_09340
ko:K14228	xfl:P303_01155
ko:K14228	xfl:P303_01525
ko:K14228	xfl:P303_01835
ko:K02663	xfl:P303_08590
ko:K02664	xfl:P303_08585
ko:K01768	xfl:P303_06635
ko:K07746	xfl:P303_04060
ko:K13656	xfl:P303_06685
ko:K13661	xfl:P303_06690
ko:K14237	xfl:P303_07225
ko:K16011	xfl:P303_10775
ko:K14237	xfl:P303_01865
ko:K19157	xfl:P303_01305
ko:K09065	xfl:P303_00885
ko:K13657	xfl:P303_06670
ko:K14237	xfl:P303_09985
ko:K00571	xfl:P303_06325
ko:K14218	xfl:P303_01165
ko:K14218	xfl:P303_11010
ko:K14218	xfl:P303_11235
ko:K14218	xfl:P303_11690
ko:K08678	xfl:P303_07470
ko:K01710	xfl:P303_10800
ko:K13662	xfl:P303_06680
ko:K13660	xfl:P303_06650
ko:K13659	xfl:P303_06655
ko:K00336	xfl:P303_10535
ko:K19092	xfl:P303_04065
ko:K07448	xfl:P303_00065
ko:K14229	xfl:P303_02050
ko:K14229	xfl:P303_04970
ko:K14222	xfl:P303_03830
ko:K13663	xfl:P303_06675
ko:K03722	xfl:P303_10360
ko:K18240	xfl:P303_00390
ko:K19267	xfl:P303_10870
ko:K19302	xfl:P303_12760
ko:K04771	xfl:P303_06120
ko:K00525	xfl:P303_01885
ko:K06867	xfl:P303_05325
ko:K01184	xfl:P303_07170
ko:K09690	xfl:P303_12800
ko:K02650	xfl:P303_09330
ko:K07344	xfl:P303_03995
ko:K20074	xfl:P303_05750
ko:K02650	xfl:P303_00195
ko:K14234	xfl:P303_06905
ko:K00992	xfl:P303_07560
ko:K12960	xfl:P303_07190
ko:K19696	xfl:P303_06620
ko:K22292	xfl:P303_07180
ko:K08992	xfl:P303_07010
ko:K19804	xfl:P303_07005
ko:K21420	xfl:P303_00995
ko:K15125	xfl:P303_10320
ko:K04771	xfl:P303_10665
ko:K00423	xfl:P303_12325
ko:K20266	xfl:P303_03985
ko:K14225	xfl:P303_12480
ko:K14236	xfl:P303_12475
ko:K14223	xfl:P303_12450
ko:K14223	xfl:P303_08495
ko:K14219	xfl:P303_12060
ko:K14219	xfl:P303_11705
ko:K14219	xfl:P303_09375
ko:K14219	xfl:P303_12730
ko:K14226	xfl:P303_12055
ko:K14230	xfl:P303_11865
ko:K14230	xfl:P303_08490
ko:K14233	xfl:P303_05745
ko:K14224	xfl:P303_10955
ko:K14231	xfl:P303_10625
ko:K14228	xfl:P303_10570
ko:K14235	xfl:P303_12495
ko:K14234	xfl:P303_12485
ko:K14234	xfl:P303_09300
ko:K14233	xfl:P303_11435
ko:K14233	xfl:P303_07385
ko:K09788	xfl:P303_02090
ko:K20455	xfl:P303_02085
ko:K20527	xfl:P303_03940
ko:K20531	xfl:P303_03965
ko:K20532	xfl:P303_03970
ko:K20533	xfl:P303_03980
ko:K03198	xfl:P303_00100
ko:K03200	xfl:P303_00110
ko:K20527	xfl:P303_03935
ko:K20528	xfl:P303_03945
ko:K20529	xfl:P303_03950
ko:K20530	xfl:P303_03960
ko:K20534	xfl:P303_11185
ko:K20628	xfl:P303_00560
ko:K22132	xfl:P303_03740
ko:K03199	xfl:P303_00105
ko:K03195	xfl:P303_00140
ko:K01179	xfl:P303_00585
ko:K01179	xfl:P303_12205
ko:K14230	xfl:P303_10915
ko:K21071	xfl:P303_10720
ko:K00821	xfl:P303_03175
ko:K21025	xfl:P303_12565
ko:K08968	xfl:P303_02030
ko:K00526	xfl:P303_01890
ko:K03553	xfl:P303_11450
ko:K03676	xfl:P303_12675
ko:K06905	xfl:P303_01275
ko:K06903	xfl:P303_01295
ko:K02335	xfl:P303_01445
ko:K06919	xfl:P303_05200
ko:K06919	xfl:P303_02845
ko:K01185	xfl:P303_02855
ko:K06903	xfl:P303_02945
ko:K06907	xfl:P303_02965
ko:K06908	xfl:P303_02970
ko:K06906	xfl:P303_02985
ko:K06905	xfl:P303_02995
ko:K00558	xfl:P303_02455
ko:K05889	xfl:P303_06185
ko:K02314	xfl:P303_08620
ko:K00287	xfl:P303_06530
ko:K00560	xfl:P303_06535
ko:K07336	xfl:P303_07520
ko:K06223	xfl:P303_07905
ko:K01185	xfl:P303_07995
ko:K02316	xfl:P303_08315
ko:K09960	xfl:P303_08835
ko:K01185	xfl:P303_08895
ko:K02314	xfl:P303_08920
ko:K14623	xfl:P303_09230
ko:K06919	xfl:P303_09505
ko:K09960	xfl:P303_09755
ko:K01185	xfl:P303_09815
ko:K06217	xfl:P303_10255
ko:K01520	xfl:P303_11315
ko:K05710	xfl:P303_03380
ko:K01139	xfl:P303_08650
ko:K21449	xfl:P303_04280
ko:K21498	xfl:P303_02935
ko:K07334	xfl:P303_06405
ko:K07334	xfl:P303_02940
ko:K21498	xfl:P303_06410
ko:K02334	xfl:P303_02735
ko:K02334	xfl:P303_05285
ko:K02334	xfl:P303_09035
ko:K02334	xfl:P303_09585
ko:K02334	xfl:P303_05615
ko:K03442	xfl:P303_02155
ko:K22318	xfl:P303_04360
ko:K03595	xfl:P303_06145
ko:K22252	xfl:P303_07475
ko:K22319	xfl:P303_06255
ko:K02257	xfl:P303_02575
ko:K22317	xfl:P303_04330
ko:K22320	xfl:P303_09120
ko:K13566	xfl:P303_07105
ko:K22478	xfl:P303_00900
