ko:K09796	nms:NMBM01240355_1469
ko:K00645	nms:NMBM01240355_1846
ko:K01951	nms:NMBM01240355_1848
ko:K00912	nms:NMBM01240355_0670
ko:K09924	nms:NMBM01240355_0671
ko:K09791	nms:NMBM01240355_0672
ko:K00979	nms:NMBM01240355_0673
ko:K01695	nms:NMBM01240355_0676
ko:K01963	nms:NMBM01240355_0677
ko:K01465	nms:NMBM01240355_0681
ko:K03625	nms:NMBM01240355_0682
ko:K00794	nms:NMBM01240355_0683
ko:K03685	nms:NMBM01240355_0685
ko:K01817	nms:NMBM01240355_0687
ko:K04760	nms:NMBM01240355_0688
ko:K00764	nms:NMBM01240355_0689
ko:K03558	nms:NMBM01240355_0690
ko:K11754	nms:NMBM01240355_0692
ko:K02528	nms:NMBM01240355_0696
ko:K01696	nms:NMBM01240355_0698
ko:K05807	nms:NMBM01240355_0702
ko:K06180	nms:NMBM01240355_0703
ko:K03453	nms:NMBM01240355_0704
ko:K05810	nms:NMBM01240355_0705
ko:K03643	nms:NMBM01240355_0706
ko:K02340	nms:NMBM01240355_0707
ko:K03089	nms:NMBM01240355_0711
ko:K03820	nms:NMBM01240355_0712
ko:K09781	nms:NMBM01240355_0713
ko:K01772	nms:NMBM01240355_0717
ko:K00773	nms:NMBM01240355_0718
ko:K03070	nms:NMBM01240355_1459
ko:K03086	nms:NMBM01240355_1461
ko:K01937	nms:NMBM01240355_1466
ko:K00566	nms:NMBM01240355_1468
ko:K00901	nms:NMBM01240355_1470
ko:K01920	nms:NMBM01240355_1471
ko:K01886	nms:NMBM01240355_1472
ko:K02444	nms:NMBM01240355_1473
ko:K07397	nms:NMBM01240355_1476
ko:K11175	nms:NMBM01240355_1478
ko:K02339	nms:NMBM01240355_1480
ko:K01255	nms:NMBM01240355_1481
ko:K07091	nms:NMBM01240355_1482
ko:K11720	nms:NMBM01240355_1483
ko:K01682	nms:NMBM01240355_1484
ko:K00611	nms:NMBM01240355_1485
ko:K00053	nms:NMBM01240355_1486
ko:K01653	nms:NMBM01240355_1488
ko:K01652	nms:NMBM01240355_1489
ko:K07733	nms:NMBM01240355_1496
ko:K07152	nms:NMBM01240355_1504
ko:K01874	nms:NMBM01240355_0033
ko:K00820	nms:NMBM01240355_0034
ko:K08304	nms:NMBM01240355_0036
ko:K07243	nms:NMBM01240355_0037
ko:K07224	nms:NMBM01240355_0038
ko:K06193	nms:NMBM01240355_0040
ko:K04042	nms:NMBM01240355_0041
ko:K02064	nms:NMBM01240355_0043
ko:K12267	nms:NMBM01240355_0046
ko:K03110	nms:NMBM01240355_0047
ko:K02670	nms:NMBM01240355_0050
ko:K02669	nms:NMBM01240355_0051
ko:K06997	nms:NMBM01240355_0052
ko:K00286	nms:NMBM01240355_0054
ko:K06204	nms:NMBM01240355_0055
ko:K02237	nms:NMBM01240355_0061
ko:K03686	nms:NMBM01240355_0062
ko:K01790	nms:NMBM01240355_0064
ko:K00973	nms:NMBM01240355_0065
ko:K03274	nms:NMBM01240355_0820
ko:K03427	nms:NMBM01240355_0821
ko:K03694	nms:NMBM01240355_0824
ko:K06891	nms:NMBM01240355_0825
ko:K03704	nms:NMBM01240355_0826
ko:K03592	nms:NMBM01240355_0827
ko:K09889	nms:NMBM01240355_0828
ko:K07462	nms:NMBM01240355_0830
ko:K01494	nms:NMBM01240355_0835
ko:K03554	nms:NMBM01240355_0837
ko:K03977	nms:NMBM01240355_0838
ko:K01892	nms:NMBM01240355_0840
ko:K07018	nms:NMBM01240355_0860
ko:K00797	nms:NMBM01240355_0861
ko:K00606	nms:NMBM01240355_0864
ko:K01918	nms:NMBM01240355_0865
ko:K02494	nms:NMBM01240355_0867
ko:K00832	nms:NMBM01240355_1605
ko:K01736	nms:NMBM01240355_1607
ko:K01876	nms:NMBM01240355_0474
ko:K03319	nms:NMBM01240355_0478
ko:K09789	nms:NMBM01240355_0481
ko:K02169	nms:NMBM01240355_0482
ko:K15125	nms:NMBM01240355_0497
ko:K03623	nms:NMBM01240355_0501
ko:K15125	nms:NMBM01240355_0504
ko:K15125	nms:NMBM01240355_0510
ko:K07058	nms:NMBM01240355_0520
ko:K06920	nms:NMBM01240355_0522
ko:K01737	nms:NMBM01240355_0524
ko:K08987	nms:NMBM01240355_0525
ko:K03703	nms:NMBM01240355_1265
ko:K03439	nms:NMBM01240355_1267
ko:K03702	nms:NMBM01240355_1268
ko:K03797	nms:NMBM01240355_1269
ko:K05805	nms:NMBM01240355_1271
ko:K07735	nms:NMBM01240355_1272
ko:K07447	nms:NMBM01240355_1273
ko:K01881	nms:NMBM01240355_1275
ko:K00163	nms:NMBM01240355_1276
ko:K00627	nms:NMBM01240355_1277
ko:K00382	nms:NMBM01240355_1278
ko:K09977	nms:NMBM01240355_1283
ko:K03500	nms:NMBM01240355_1285
ko:K08324	nms:NMBM01240355_1287
ko:K02435	nms:NMBM01240355_1289
ko:K09824	nms:NMBM01240355_1291
ko:K02434	nms:NMBM01240355_1292
ko:K00275	nms:NMBM01240355_1294
ko:K06178	nms:NMBM01240355_1295
ko:K03601	nms:NMBM01240355_1297
ko:K07322	nms:NMBM01240355_1299
ko:K03671	nms:NMBM01240355_1300
ko:K06969	nms:NMBM01240355_1301
ko:K03544	nms:NMBM01240355_1306
ko:K02834	nms:NMBM01240355_1307
ko:K04773	nms:NMBM01240355_2065
ko:K01940	nms:NMBM01240355_2067
ko:K07862	nms:NMBM01240355_2071
ko:K09800	nms:NMBM01240355_2073
ko:K03305	nms:NMBM01240355_2074
ko:K02836	nms:NMBM01240355_2075
ko:K07001	nms:NMBM01240355_2076
ko:K15977	nms:NMBM01240355_2077
ko:K09930	nms:NMBM01240355_2079
ko:K09929	nms:NMBM01240355_2080
ko:K03088	nms:NMBM01240355_2081
ko:K07566	nms:NMBM01240355_2084
ko:K01945	nms:NMBM01240355_2085
ko:K03522	nms:NMBM01240355_2088
ko:K03521	nms:NMBM01240355_2089
ko:K02841	nms:NMBM01240355_2090
ko:K08281	nms:NMBM01240355_2091
ko:K00134	nms:NMBM01240355_2093
ko:K03555	nms:NMBM01240355_2094
ko:K02622	nms:NMBM01240355_1609
ko:K08311	nms:NMBM01240355_1610
ko:K01875	nms:NMBM01240355_1611
ko:K03778	nms:NMBM01240355_1612
ko:K02835	nms:NMBM01240355_1613
ko:K03424	nms:NMBM01240355_1614
ko:K03431	nms:NMBM01240355_1617
ko:K00796	nms:NMBM01240355_1618
ko:K03182	nms:NMBM01240355_1621
ko:K09458	nms:NMBM01240355_1626
ko:K03308	nms:NMBM01240355_1630
ko:K00262	nms:NMBM01240355_1633
ko:K03585	nms:NMBM01240355_1639
ko:K03577	nms:NMBM01240355_1640
ko:K03583	nms:NMBM01240355_1643
ko:K00405	nms:NMBM01240355_1646
ko:K00404	nms:NMBM01240355_1647
ko:K03561	nms:NMBM01240355_1651
ko:K02170	nms:NMBM01240355_0274
ko:K03654	nms:NMBM01240355_0279
ko:K01609	nms:NMBM01240355_0280
ko:K03980	nms:NMBM01240355_0282
ko:K03673	nms:NMBM01240355_0283
ko:K07102	nms:NMBM01240355_0284
ko:K04744	nms:NMBM01240355_0285
ko:K03771	nms:NMBM01240355_0286
ko:K01147	nms:NMBM01240355_0287
ko:K06966	nms:NMBM01240355_0288
ko:K01756	nms:NMBM01240355_0289
ko:K01669	nms:NMBM01240355_0298
ko:K15977	nms:NMBM01240355_0300
ko:K07078	nms:NMBM01240355_0301
ko:K03673	nms:NMBM01240355_0303
ko:K03106	nms:NMBM01240355_0304
ko:K02237	nms:NMBM01240355_0311
ko:K01626	nms:NMBM01240355_0318
ko:K08973	nms:NMBM01240355_0321
ko:K09803	nms:NMBM01240355_1087
ko:K02291	nms:NMBM01240355_1097
ko:K04044	nms:NMBM01240355_1098
ko:K04755	nms:NMBM01240355_1101
ko:K04762	nms:NMBM01240355_1104
ko:K01962	nms:NMBM01240355_1105
ko:K04075	nms:NMBM01240355_1106
ko:K03437	nms:NMBM01240355_1107
ko:K02558	nms:NMBM01240355_1110
ko:K01012	nms:NMBM01240355_1111
ko:K01687	nms:NMBM01240355_1114
ko:K00381	nms:NMBM01240355_1115
ko:K00957	nms:NMBM01240355_1118
ko:K09858	nms:NMBM01240355_1853
ko:K09761	nms:NMBM01240355_1855
ko:K07270	nms:NMBM01240355_1856
ko:K07270	nms:NMBM01240355_1857
ko:K01879	nms:NMBM01240355_1859
ko:K09923	nms:NMBM01240355_1860
ko:K01878	nms:NMBM01240355_1861
ko:K02114	nms:NMBM01240355_1862
ko:K02112	nms:NMBM01240355_1863
ko:K02115	nms:NMBM01240355_1864
ko:K02111	nms:NMBM01240355_1865
ko:K02113	nms:NMBM01240355_1866
ko:K02109	nms:NMBM01240355_1867
ko:K02110	nms:NMBM01240355_1868
ko:K02108	nms:NMBM01240355_1869
ko:K03186	nms:NMBM01240355_1873
ko:K02073	nms:NMBM01240355_1874
ko:K02072	nms:NMBM01240355_1875
ko:K02071	nms:NMBM01240355_1876
ko:K08309	nms:NMBM01240355_1877
ko:K02970	nms:NMBM01240355_1878
ko:K09117	nms:NMBM01240355_1879
ko:K03600	nms:NMBM01240355_1880
ko:K03599	nms:NMBM01240355_1881
ko:K02909	nms:NMBM01240355_1884
ko:K12500	nms:NMBM01240355_1887
ko:K04754	nms:NMBM01240355_1889
ko:K07122	nms:NMBM01240355_1890
ko:K07323	nms:NMBM01240355_1891
ko:K02066	nms:NMBM01240355_1893
ko:K02065	nms:NMBM01240355_1894
ko:K01868	nms:NMBM01240355_0720
ko:K02520	nms:NMBM01240355_0721
ko:K02916	nms:NMBM01240355_0722
ko:K02887	nms:NMBM01240355_0723
ko:K01889	nms:NMBM01240355_0725
ko:K01890	nms:NMBM01240355_0728
ko:K04764	nms:NMBM01240355_0729
ko:K07113	nms:NMBM01240355_0731
ko:K00833	nms:NMBM01240355_0733
ko:K01935	nms:NMBM01240355_0734
ko:K03181	nms:NMBM01240355_0735
ko:K03179	nms:NMBM01240355_0736
ko:K06958	nms:NMBM01240355_0739
ko:K14540	nms:NMBM01240355_0740
ko:K06024	nms:NMBM01240355_0741
ko:K03631	nms:NMBM01240355_0742
ko:K03183	nms:NMBM01240355_0747
ko:K00950	nms:NMBM01240355_0749
ko:K03666	nms:NMBM01240355_0752
ko:K07262	nms:NMBM01240355_0753
ko:K03564	nms:NMBM01240355_0754
ko:K02192	nms:NMBM01240355_0756
ko:K00067	nms:NMBM01240355_0758
ko:K01923	nms:NMBM01240355_0759
ko:K00962	nms:NMBM01240355_0760
ko:K09792	nms:NMBM01240355_0761
ko:K01778	nms:NMBM01240355_0763
ko:K01738	nms:NMBM01240355_0765
ko:K03100	nms:NMBM01240355_0767
ko:K03596	nms:NMBM01240355_0768
ko:K00765	nms:NMBM01240355_1505
ko:K09968	nms:NMBM01240355_1506
ko:K00013	nms:NMBM01240355_1507
ko:K00817	nms:NMBM01240355_1508
ko:K01693	nms:NMBM01240355_1509
ko:K00995	nms:NMBM01240355_1520
ko:K11073	nms:NMBM01240355_1526
ko:K01872	nms:NMBM01240355_1527
ko:K03304	nms:NMBM01240355_1531
ko:K02621	nms:NMBM01240355_1533
ko:K15984	nms:NMBM01240355_1536
ko:K10764	nms:NMBM01240355_1538
ko:K01676	nms:NMBM01240355_1542
ko:K00941	nms:NMBM01240355_1546
ko:K00432	nms:NMBM01240355_1551
ko:K04561	nms:NMBM01240355_1552
ko:K00691	nms:NMBM01240355_0396
ko:K18132	nms:NMBM01240355_1359
ko:K14235	nms:NMBM01240355_0126
ko:K14232	nms:NMBM01240355_0527
ko:K16301	nms:NMBM01240355_0039
ko:K16088	nms:NMBM01240355_1811
ko:K02237	nms:NMBM01240355_1947
ko:K00973	nms:NMBM01240355_0082
ko:K02358	nms:NMBM01240355_0141
ko:K02424	nms:NMBM01240355_0788
ko:K14225	nms:NMBM01240355_1516
ko:K14225	nms:NMBM01240355_1519
ko:K14225	nms:NMBM01240355_1518
ko:K14225	nms:NMBM01240355_1517
ko:K10009	nms:NMBM01240355_0789
ko:K16087	nms:NMBM01240355_1463
ko:K16087	nms:NMBM01240355_1422
ko:K16087	nms:NMBM01240355_0469
ko:K01585	nms:NMBM01240355_0476
ko:K01480	nms:NMBM01240355_0477
ko:K00652	nms:NMBM01240355_0480
ko:K06945	nms:NMBM01240355_0485
ko:K07131	nms:NMBM01240355_0487
ko:K07491	nms:NMBM01240355_0505
ko:K07126	nms:NMBM01240355_1266
ko:K01092	nms:NMBM01240355_1281
ko:K01496	nms:NMBM01240355_0629
ko:K02010	nms:NMBM01240355_0634
ko:K02428	nms:NMBM01240355_0640
ko:K01507	nms:NMBM01240355_0642
ko:K03498	nms:NMBM01240355_0658
ko:K01525	nms:NMBM01240355_0659
ko:K00135	nms:NMBM01240355_1415
ko:K02342	nms:NMBM01240355_1436
ko:K02843	nms:NMBM01240355_1450
ko:K00567	nms:NMBM01240355_1452
ko:K06910	nms:NMBM01240355_1453
ko:K01439	nms:NMBM01240355_1454
ko:K14232	nms:NMBM01240355_2012
ko:K14232	nms:NMBM01240355_0644
ko:K02653	nms:NMBM01240355_0343
ko:K00674	nms:NMBM01240355_0345
ko:K01759	nms:NMBM01240355_0350
ko:K00616	nms:NMBM01240355_0360
ko:K00088	nms:NMBM01240355_1128
ko:K00974	nms:NMBM01240355_1160
ko:K03342	nms:NMBM01240355_1900
ko:K01081	nms:NMBM01240355_1945
ko:K05595	nms:NMBM01240355_1288
ko:K02433	nms:NMBM01240355_1290
ko:K01916	nms:NMBM01240355_1298
ko:K03177	nms:NMBM01240355_1309
ko:K02533	nms:NMBM01240355_1282
ko:K14219	nms:NMBM01240355_2011
ko:K16087	nms:NMBM01240355_1594
ko:K07126	nms:NMBM01240355_0086
ko:K03747	nms:NMBM01240355_0114
ko:K07258	nms:NMBM01240355_0874
ko:K14230	nms:NMBM01240355_1627
ko:K14236	nms:NMBM01240355_0122
ko:K01515	nms:NMBM01240355_1034
ko:K01322	nms:NMBM01240355_1807
ko:K11085	nms:NMBM01240355_1847
ko:K00059	nms:NMBM01240355_1849
ko:K01885	nms:NMBM01240355_0003
ko:K00033	nms:NMBM01240355_0016
ko:K01243	nms:NMBM01240355_0769
ko:K01719	nms:NMBM01240355_0779
ko:K03768	nms:NMBM01240355_0792
ko:K02427	nms:NMBM01240355_0799
ko:K01760	nms:NMBM01240355_0802
ko:K00939	nms:NMBM01240355_0815
ko:K13953	nms:NMBM01240355_0544
ko:K00101	nms:NMBM01240355_1312
ko:K04488	nms:NMBM01240355_1316
ko:K13628	nms:NMBM01240355_1317
ko:K00845	nms:NMBM01240355_1324
ko:K01262	nms:NMBM01240355_1358
ko:K01785	nms:NMBM01240355_0395
ko:K09806	nms:NMBM01240355_0411
ko:K01156	nms:NMBM01240355_1204
ko:K01104	nms:NMBM01240355_1209
ko:K07213	nms:NMBM01240355_1213
ko:K06177	nms:NMBM01240355_1953
ko:K03299	nms:NMBM01240355_1962
ko:K00851	nms:NMBM01240355_1963
ko:K08483	nms:NMBM01240355_1979
ko:K11189	nms:NMBM01240355_1980
ko:K02821	nms:NMBM01240355_1981
ko:K02238	nms:NMBM01240355_0701
ko:K01259	nms:NMBM01240355_0926
ko:K00241	nms:NMBM01240355_0946
ko:K02014	nms:NMBM01240355_0962
ko:K01409	nms:NMBM01240355_1727
ko:K02665	nms:NMBM01240355_1736
ko:K07025	nms:NMBM01240355_1747
ko:K10010	nms:NMBM01240355_0790
ko:K03442	nms:NMBM01240355_0044
ko:K03743	nms:NMBM01240355_0045
ko:K00970	nms:NMBM01240355_0831
ko:K06177	nms:NMBM01240355_0859
ko:K01424	nms:NMBM01240355_1615
ko:K12942	nms:NMBM01240355_1642
ko:K07019	nms:NMBM01240355_0281
ko:K00380	nms:NMBM01240355_1116
ko:K01092	nms:NMBM01240355_1854
ko:K02116	nms:NMBM01240355_1870
ko:K02067	nms:NMBM01240355_1892
ko:K07126	nms:NMBM01240355_0428
ko:K04517	nms:NMBM01240355_0449
ko:K03574	nms:NMBM01240355_0461
ko:K08305	nms:NMBM01240355_1221
ko:K10563	nms:NMBM01240355_1235
ko:K06183	nms:NMBM01240355_1238
ko:K00121	nms:NMBM01240355_1244
ko:K02824	nms:NMBM01240355_1254
ko:K03153	nms:NMBM01240355_2003
ko:K01934	nms:NMBM01240355_2036
ko:K02077	nms:NMBM01240355_0588
ko:K02074	nms:NMBM01240355_0590
ko:K01523	nms:NMBM01240355_0605
ko:K00004	nms:NMBM01240355_0606
ko:K09471	nms:NMBM01240355_0616
ko:K02342	nms:NMBM01240355_1381
ko:K01679	nms:NMBM01240355_1388
ko:K07491	nms:NMBM01240355_1394
ko:K06179	nms:NMBM01240355_0202
ko:K03711	nms:NMBM01240355_0207
ko:K03616	nms:NMBM01240355_0210
ko:K03455	nms:NMBM01240355_0211
ko:K14761	nms:NMBM01240355_1754
ko:K07017	nms:NMBM01240355_1763
ko:K08978	nms:NMBM01240355_1774
ko:K00484	nms:NMBM01240355_1776
ko:K03593	nms:NMBM01240355_1780
ko:K02674	nms:NMBM01240355_1781
ko:K04763	nms:NMBM01240355_0755
ko:K04774	nms:NMBM01240355_1513
ko:K03499	nms:NMBM01240355_1543
ko:K03469	nms:NMBM01240355_1548
ko:K01297	nms:NMBM01240355_1550
ko:K00368	nms:NMBM01240355_1553
ko:K02806	nms:NMBM01240355_0737
ko:K06023	nms:NMBM01240355_0738
ko:K14233	nms:NMBM01240355_1124
ko:K01838	nms:NMBM01240355_0397
ko:K01977	nms:NMBM01240355_0056
ko:K01977	nms:NMBM01240355_1952
ko:K01977	nms:NMBM01240355_1583
ko:K01977	nms:NMBM01240355_0306
ko:K14237	nms:NMBM01240355_0719
ko:K16211	nms:NMBM01240355_0394
ko:K03972	nms:NMBM01240355_0785
ko:K16345	nms:NMBM01240355_0929
ko:K01659	nms:NMBM01240355_0439
ko:K07278	nms:NMBM01240355_2072
ko:K01069	nms:NMBM01240355_1926
ko:K07482	nms:NMBM01240355_1050
ko:K07482	nms:NMBM01240355_0562
ko:K07482	nms:NMBM01240355_0236
ko:K07482	nms:NMBM01240355_0119
ko:K07482	nms:NMBM01240355_2083
ko:K07482	nms:NMBM01240355_0496
ko:K07482	nms:NMBM01240355_0582
ko:K14234	nms:NMBM01240355_0862
ko:K14234	nms:NMBM01240355_0863
ko:K12262	nms:NMBM01240355_2025
ko:K00568	nms:NMBM01240355_1965
ko:K14230	nms:NMBM01240355_0417
ko:K14222	nms:NMBM01240355_1515
ko:K14219	nms:NMBM01240355_0338
ko:K14228	nms:NMBM01240355_1171
ko:K14228	nms:NMBM01240355_1126
ko:K14228	nms:NMBM01240355_1125
ko:K14228	nms:NMBM01240355_1818
ko:K14218	nms:NMBM01240355_0416
ko:K14231	nms:NMBM01240355_0366
ko:K01980	nms:NMBM01240355_0059
ko:K01980	nms:NMBM01240355_0309
ko:K01980	nms:NMBM01240355_1580
ko:K01980	nms:NMBM01240355_1949
ko:K14233	nms:NMBM01240355_0893
ko:K14229	nms:NMBM01240355_1779
ko:K14229	nms:NMBM01240355_0012
ko:K14227	nms:NMBM01240355_0057
ko:K14227	nms:NMBM01240355_1582
ko:K14227	nms:NMBM01240355_1951
ko:K14227	nms:NMBM01240355_0307
ko:K01985	nms:NMBM01240355_0060
ko:K01985	nms:NMBM01240355_1948
ko:K01985	nms:NMBM01240355_0310
ko:K01985	nms:NMBM01240355_1579
ko:K14225	nms:NMBM01240355_0123
ko:K14234	nms:NMBM01240355_0124
ko:K14234	nms:NMBM01240355_0192
ko:K14237	nms:NMBM01240355_0212
ko:K14237	nms:NMBM01240355_0214
ko:K14221	nms:NMBM01240355_0213
ko:K14221	nms:NMBM01240355_0215
ko:K14219	nms:NMBM01240355_1604
ko:K14228	nms:NMBM01240355_1514
ko:K14228	nms:NMBM01240355_1503
ko:K14218	nms:NMBM01240355_0058
ko:K14218	nms:NMBM01240355_1581
ko:K14218	nms:NMBM01240355_0308
ko:K14218	nms:NMBM01240355_1950
ko:K14219	nms:NMBM01240355_0743
ko:K14219	nms:NMBM01240355_1382
ko:K14220	nms:NMBM01240355_0488
ko:K14220	nms:NMBM01240355_1451
ko:K14224	nms:NMBM01240355_1545
ko:K14224	nms:NMBM01240355_0744
ko:K14224	nms:NMBM01240355_1383
ko:K14233	nms:NMBM01240355_0675
ko:K14223	nms:NMBM01240355_0869
ko:K14223	nms:NMBM01240355_0870
ko:K14223	nms:NMBM01240355_0871
ko:K14230	nms:NMBM01240355_1976
ko:K14226	nms:NMBM01240355_2010
ko:K02075	nms:NMBM01240355_0589
ko:K00537	nms:NMBM01240355_0005
ko:K01347	nms:NMBM01240355_0699
ko:K00785	nms:NMBM01240355_0921
ko:K01347	nms:NMBM01240355_1914
ko:K01347	nms:NMBM01240355_1927
ko:K01156	nms:NMBM01240355_1311
ko:K03559	nms:NMBM01240355_1650
ko:K03417	nms:NMBM01240355_0438
ko:K16868	nms:NMBM01240355_1547
ko:K09810	nms:NMBM01240355_1153
ko:K07215	nms:NMBM01240355_1595
ko:K09951	nms:NMBM01240355_1758
ko:K14233	nms:NMBM01240355_0894
ko:K00956	nms:NMBM01240355_1117
ko:K01834	nms:NMBM01240355_1532
ko:K02030	nms:NMBM01240355_1541
ko:K17103	nms:NMBM01240355_1257
ko:K02028	nms:NMBM01240355_0695
ko:K01897	nms:NMBM01240355_1467
ko:K00951	nms:NMBM01240355_1657
ko:K01897	nms:NMBM01240355_1217
ko:K02484	nms:NMBM01240355_0596
ko:K02029	nms:NMBM01240355_1431
ko:K02169	nms:NMBM01240355_0275
ko:K00813	nms:NMBM01240355_0538
ko:K17686	nms:NMBM01240355_1264
ko:K01533	nms:NMBM01240355_1185
ko:K07318	nms:NMBM01240355_0216
ko:K06518	nms:NMBM01240355_1932
ko:K07684	nms:NMBM01240355_1169
ko:K03767	nms:NMBM01240355_1206
ko:K05540	nms:NMBM01240355_1349
ko:K00254	nms:NMBM01240355_0229
ko:K01658	nms:NMBM01240355_0963
ko:K11928	nms:NMBM01240355_0410
ko:K01139	nms:NMBM01240355_1585
ko:K00018	nms:NMBM01240355_0032
ko:K01497	nms:NMBM01240355_1173
ko:K07488	nms:NMBM01240355_0315
ko:K18139	nms:NMBM01240355_1637
ko:K00557	nms:NMBM01240355_1606
ko:K03719	nms:NMBM01240355_0572
ko:K03719	nms:NMBM01240355_1569
ko:K03772	nms:NMBM01240355_1479
ko:K07090	nms:NMBM01240355_1258
ko:K00523	nms:NMBM01240355_1293
ko:K02014	nms:NMBM01240355_1764
ko:K03923	nms:NMBM01240355_0972
ko:K03554	nms:NMBM01240355_1062
ko:K07491	nms:NMBM01240355_1851
ko:K11073	nms:NMBM01240355_0470
ko:K15125	nms:NMBM01240355_0498
ko:K15125	nms:NMBM01240355_0512
ko:K21344	nms:NMBM01240355_0817
ko:K07482	nms:NMBM01240355_0200
ko:K07482	nms:NMBM01240355_1352
ko:K07482	nms:NMBM01240355_1544
ko:K08068	nms:NMBM01240355_0072
ko:K00681	nms:NMBM01240355_1028
ko:K02650	nms:NMBM01240355_0018
ko:K19339	nms:NMBM01240355_0576
ko:K07171	nms:NMBM01240355_1973
ko:K22132	nms:NMBM01240355_1426
ko:K00571	nms:NMBM01240355_1823
ko:K00526	nms:NMBM01240355_1230
ko:K18841	nms:NMBM01240355_0913
ko:K10747	nms:NMBM01240355_1983
ko:K07389	nms:NMBM01240355_1678
ko:K03496	nms:NMBM01240355_0195
ko:K03497	nms:NMBM01240355_1872
ko:K04565	nms:NMBM01240355_1331
ko:K03111	nms:NMBM01240355_1390
ko:K07481	nms:NMBM01240355_1852
ko:K07481	nms:NMBM01240355_1398
ko:K07481	nms:NMBM01240355_0143
ko:K07481	nms:NMBM01240355_0995
ko:K03526	nms:NMBM01240355_1250
ko:K07481	nms:NMBM01240355_0029
ko:K07481	nms:NMBM01240355_1664
ko:K07481	nms:NMBM01240355_1700
ko:K07481	nms:NMBM01240355_1703
ko:K07481	nms:NMBM01240355_1724
ko:K07481	nms:NMBM01240355_0294
ko:K07481	nms:NMBM01240355_0297
ko:K07481	nms:NMBM01240355_0313
ko:K07481	nms:NMBM01240355_1902
ko:K07481	nms:NMBM01240355_1943
ko:K07481	nms:NMBM01240355_0398
ko:K07481	nms:NMBM01240355_0561
ko:K07481	nms:NMBM01240355_1332
ko:K07481	nms:NMBM01240355_1351
ko:K07481	nms:NMBM01240355_1441
ko:K07481	nms:NMBM01240355_0700
ko:K07481	nms:NMBM01240355_1502
ko:K07481	nms:NMBM01240355_1578
ko:K07481	nms:NMBM01240355_1355
ko:K00336	nms:NMBM01240355_0254
ko:K12690	nms:NMBM01240355_0996
ko:K02663	nms:NMBM01240355_1734
ko:K02664	nms:NMBM01240355_1735
ko:K07481	nms:NMBM01240355_1005
ko:K18991	nms:NMBM01240355_1523
ko:K00335	nms:NMBM01240355_0252
ko:K06992	nms:NMBM01240355_0841
ko:K06992	nms:NMBM01240355_0099
ko:K07172	nms:NMBM01240355_1972
ko:K00983	nms:NMBM01240355_0071
ko:K01654	nms:NMBM01240355_0070
ko:K15342	nms:NMBM01240355_1757
ko:K01710	nms:NMBM01240355_0066
ko:K01710	nms:NMBM01240355_0081
ko:K19168	nms:NMBM01240355_0693
ko:K00020	nms:NMBM01240355_1510
ko:K07488	nms:NMBM01240355_1335
ko:K07488	nms:NMBM01240355_1220
ko:K07062	nms:NMBM01240355_1499
ko:K07288	nms:NMBM01240355_0351
ko:K01802	nms:NMBM01240355_0031
ko:K07280	nms:NMBM01240355_0137
ko:K19342	nms:NMBM01240355_0579
ko:K03722	nms:NMBM01240355_0292
ko:K07496	nms:NMBM01240355_0506
ko:K07496	nms:NMBM01240355_0507
ko:K07497	nms:NMBM01240355_1053
ko:K19337	nms:NMBM01240355_1323
ko:K19416	nms:NMBM01240355_1955
ko:K07280	nms:NMBM01240355_0324
ko:K00992	nms:NMBM01240355_1775
ko:K19784	nms:NMBM01240355_1702
ko:K06132	nms:NMBM01240355_1363
ko:K19804	nms:NMBM01240355_0349
ko:K08992	nms:NMBM01240355_0348
ko:K16066	nms:NMBM01240355_0923
ko:K09788	nms:NMBM01240355_0443
ko:K20455	nms:NMBM01240355_0442
ko:K02650	nms:NMBM01240355_0020
ko:K08968	nms:NMBM01240355_1815
ko:K00821	nms:NMBM01240355_1305
ko:K21029	nms:NMBM01240355_1997
ko:K00287	nms:NMBM01240355_0319
ko:K00558	nms:NMBM01240355_0818
ko:K06217	nms:NMBM01240355_0832
ko:K02314	nms:NMBM01240355_0883
ko:K01520	nms:NMBM01240355_0890
ko:K00558	nms:NMBM01240355_0078
ko:K00558	nms:NMBM01240355_0295
ko:K06919	nms:NMBM01240355_1491
ko:K00558	nms:NMBM01240355_1529
ko:K00560	nms:NMBM01240355_1632
ko:K03676	nms:NMBM01240355_1709
ko:K06223	nms:NMBM01240355_1824
ko:K00558	nms:NMBM01240355_1942
ko:K03553	nms:NMBM01240355_1375
ko:K02316	nms:NMBM01240355_1460
ko:K00525	nms:NMBM01240355_1232
ko:K05799	nms:NMBM01240355_1635
ko:K06020	nms:NMBM01240355_0393
ko:K02335	nms:NMBM01240355_1912
ko:K01420	nms:NMBM01240355_0388
ko:K10026	nms:NMBM01240355_0526
ko:K21929	nms:NMBM01240355_1803
ko:K03595	nms:NMBM01240355_0686
ko:K07488	nms:NMBM01240355_0583
ko:K07488	nms:NMBM01240355_1625
ko:K07488	nms:NMBM01240355_1905
ko:K22292	nms:NMBM01240355_0622
ko:K01947	nms:NMBM01240355_2008
ko:K17758	nms:NMBM01240355_1122
ko:K11206	nms:NMBM01240355_0450
ko:K00571	nms:NMBM01240355_2021
ko:K01007	nms:NMBM01240355_0620
