ko:K11720	syq:SYNPCCP_2878
ko:K03687	syq:SYNPCCP_2326
ko:K02652	syq:SYNPCCP_2327
ko:K07444	syq:SYNPCCP_2328
ko:K11752	syq:SYNPCCP_2330
ko:K01961	syq:SYNPCCP_2333
ko:K00604	syq:SYNPCCP_2336
ko:K02986	syq:SYNPCCP_2339
ko:K00147	syq:SYNPCCP_2341
ko:K01433	syq:SYNPCCP_2304
ko:K12574	syq:SYNPCCP_2906
ko:K10716	syq:SYNPCCP_2900
ko:K09012	syq:SYNPCCP_2577
ko:K01661	syq:SYNPCCP_0960
ko:K00324	syq:SYNPCCP_0961
ko:K07075	syq:SYNPCCP_0963
ko:K00325	syq:SYNPCCP_0965
ko:K03592	syq:SYNPCCP_0966
ko:K01870	syq:SYNPCCP_0970
ko:K02343	syq:SYNPCCP_0972
ko:K06991	syq:SYNPCCP_0973
ko:K00688	syq:SYNPCCP_0976
ko:K07462	syq:SYNPCCP_0983
ko:K00847	syq:SYNPCCP_0986
ko:K01091	syq:SYNPCCP_0990
ko:K00794	syq:SYNPCCP_0992
ko:K02724	syq:SYNPCCP_0993
ko:K02945	syq:SYNPCCP_0995
ko:K03629	syq:SYNPCCP_0997
ko:K00873	syq:SYNPCCP_0999
ko:K01012	syq:SYNPCCP_1003
ko:K03523	syq:SYNPCCP_1004
ko:K03101	syq:SYNPCCP_1005
ko:K00688	syq:SYNPCCP_1011
ko:K11753	syq:SYNPCCP_1119
ko:K01867	syq:SYNPCCP_1123
ko:K09710	syq:SYNPCCP_1126
ko:K01749	syq:SYNPCCP_1128
ko:K13788	syq:SYNPCCP_1130
ko:K06206	syq:SYNPCCP_1132
ko:K01925	syq:SYNPCCP_1136
ko:K03192	syq:SYNPCCP_1139
ko:K03526	syq:SYNPCCP_1140
ko:K02470	syq:SYNPCCP_1143
ko:K00297	syq:SYNPCCP_1146
ko:K04773	syq:SYNPCCP_1158
ko:K02492	syq:SYNPCCP_1161
ko:K08289	syq:SYNPCCP_1226
ko:K03568	syq:SYNPCCP_1229
ko:K00566	syq:SYNPCCP_1230
ko:K06158	syq:SYNPCCP_1233
ko:K01591	syq:SYNPCCP_1236
ko:K03555	syq:SYNPCCP_1244
ko:K02040	syq:SYNPCCP_1260
ko:K02037	syq:SYNPCCP_1261
ko:K02038	syq:SYNPCCP_1262
ko:K02036	syq:SYNPCCP_1263
ko:K06890	syq:SYNPCCP_1268
ko:K02293	syq:SYNPCCP_1270
ko:K02291	syq:SYNPCCP_1271
ko:K01430	syq:SYNPCCP_1273
ko:K07090	syq:SYNPCCP_1279
ko:K08482	syq:SYNPCCP_1345
ko:K01546	syq:SYNPCCP_1351
ko:K01547	syq:SYNPCCP_1352
ko:K01548	syq:SYNPCCP_1354
ko:K07646	syq:SYNPCCP_1355
ko:K09800	syq:SYNPCCP_1356
ko:K09879	syq:SYNPCCP_1357
ko:K05579	syq:SYNPCCP_1362
ko:K13038	syq:SYNPCCP_1367
ko:K03839	syq:SYNPCCP_1370
ko:K14540	syq:SYNPCCP_1372
ko:K06942	syq:SYNPCCP_1373
ko:K02011	syq:SYNPCCP_1386
ko:K03568	syq:SYNPCCP_1497
ko:K02493	syq:SYNPCCP_1498
ko:K01251	syq:SYNPCCP_1503
ko:K02112	syq:SYNPCCP_1511
ko:K02114	syq:SYNPCCP_1512
ko:K09458	syq:SYNPCCP_1514
ko:K07259	syq:SYNPCCP_1529
ko:K02694	syq:SYNPCCP_1532
ko:K02860	syq:SYNPCCP_1534
ko:K07056	syq:SYNPCCP_1537
ko:K00791	syq:SYNPCCP_1539
ko:K02275	syq:SYNPCCP_1543
ko:K03525	syq:SYNPCCP_1544
ko:K00720	syq:SYNPCCP_1545
ko:K03702	syq:SYNPCCP_2344
ko:K11175	syq:SYNPCCP_2347
ko:K03980	syq:SYNPCCP_2354
ko:K01911	syq:SYNPCCP_2357
ko:K01809	syq:SYNPCCP_2358
ko:K00003	syq:SYNPCCP_2360
ko:K06133	syq:SYNPCCP_2361
ko:K01889	syq:SYNPCCP_2363
ko:K03088	syq:SYNPCCP_2369
ko:K02036	syq:SYNPCCP_2372
ko:K02036	syq:SYNPCCP_2373
ko:K02038	syq:SYNPCCP_2374
ko:K02037	syq:SYNPCCP_2375
ko:K02040	syq:SYNPCCP_2376
ko:K02040	syq:SYNPCCP_2377
ko:K02954	syq:SYNPCCP_2379
ko:K03969	syq:SYNPCCP_2380
ko:K03070	syq:SYNPCCP_2382
ko:K03551	syq:SYNPCCP_2385
ko:K03149	syq:SYNPCCP_2386
ko:K06980	syq:SYNPCCP_2388
ko:K02233	syq:SYNPCCP_2390
ko:K01878	syq:SYNPCCP_2392
ko:K01999	syq:SYNPCCP_2399
ko:K02551	syq:SYNPCCP_2401
ko:K07259	syq:SYNPCCP_2404
ko:K01874	syq:SYNPCCP_2406
ko:K01129	syq:SYNPCCP_2408
ko:K02469	syq:SYNPCCP_2415
ko:K02007	syq:SYNPCCP_2419
ko:K00677	syq:SYNPCCP_2426
ko:K03723	syq:SYNPCCP_2430
ko:K03642	syq:SYNPCCP_2432
ko:K00147	syq:SYNPCCP_2434
ko:K01955	syq:SYNPCCP_2438
ko:K02825	syq:SYNPCCP_2440
ko:K01495	syq:SYNPCCP_2441
ko:K07460	syq:SYNPCCP_2443
ko:K01807	syq:SYNPCCP_2448
ko:K02221	syq:SYNPCCP_2456
ko:K02471	syq:SYNPCCP_2459
ko:K08998	syq:SYNPCCP_2472
ko:K03592	syq:SYNPCCP_2478
ko:K03327	syq:SYNPCCP_2481
ko:K01725	syq:SYNPCCP_2484
ko:K03750	syq:SYNPCCP_2485
ko:K03639	syq:SYNPCCP_2486
ko:K03637	syq:SYNPCCP_2487
ko:K03636	syq:SYNPCCP_2488
ko:K07391	syq:SYNPCCP_2491
ko:K02704	syq:SYNPCCP_2493
ko:K01265	syq:SYNPCCP_2501
ko:K01579	syq:SYNPCCP_2504
ko:K00024	syq:SYNPCCP_2505
ko:K01056	syq:SYNPCCP_2508
ko:K01265	syq:SYNPCCP_2513
ko:K03113	syq:SYNPCCP_2522
ko:K02340	syq:SYNPCCP_2524
ko:K01895	syq:SYNPCCP_2534
ko:K02040	syq:SYNPCCP_2540
ko:K02377	syq:SYNPCCP_2542
ko:K02913	syq:SYNPCCP_2544
ko:K02963	syq:SYNPCCP_2545
ko:K01775	syq:SYNPCCP_2546
ko:K03321	syq:SYNPCCP_2548
ko:K02034	syq:SYNPCCP_2549
ko:K03924	syq:SYNPCCP_2553
ko:K02355	syq:SYNPCCP_2556
ko:K01933	syq:SYNPCCP_2557
ko:K03183	syq:SYNPCCP_2558
ko:K01772	syq:SYNPCCP_2559
ko:K05577	syq:SYNPCCP_2566
ko:K00240	syq:SYNPCCP_2569
ko:K00954	syq:SYNPCCP_2573
ko:K03501	syq:SYNPCCP_2575
ko:K09014	syq:SYNPCCP_2578
ko:K09013	syq:SYNPCCP_2579
ko:K09015	syq:SYNPCCP_2580
ko:K11717	syq:SYNPCCP_2581
ko:K03273	syq:SYNPCCP_2584
ko:K03271	syq:SYNPCCP_2585
ko:K01737	syq:SYNPCCP_2586
ko:K14441	syq:SYNPCCP_2591
ko:K05592	syq:SYNPCCP_2592
ko:K00145	syq:SYNPCCP_2593
ko:K02501	syq:SYNPCCP_2594
ko:K01868	syq:SYNPCCP_2595
ko:K05928	syq:SYNPCCP_2598
ko:K00457	syq:SYNPCCP_2599
ko:K05516	syq:SYNPCCP_2602
ko:K03321	syq:SYNPCCP_2604
ko:K03312	syq:SYNPCCP_2663
ko:K06208	syq:SYNPCCP_2664
ko:K03320	syq:SYNPCCP_2667
ko:K01625	syq:SYNPCCP_2668
ko:K07037	syq:SYNPCCP_2670
ko:K06941	syq:SYNPCCP_2678
ko:K03147	syq:SYNPCCP_2692
ko:K07058	syq:SYNPCCP_2693
ko:K00937	syq:SYNPCCP_2696
ko:K03608	syq:SYNPCCP_2697
ko:K03609	syq:SYNPCCP_2698
ko:K03610	syq:SYNPCCP_2699
ko:K06915	syq:SYNPCCP_2710
ko:K00826	syq:SYNPCCP_2827
ko:K02435	syq:SYNPCCP_2828
ko:K09835	syq:SYNPCCP_2833
ko:K05577	syq:SYNPCCP_2844
ko:K03428	syq:SYNPCCP_2847
ko:K00606	syq:SYNPCCP_2848
ko:K06920	syq:SYNPCCP_2849
ko:K01928	syq:SYNPCCP_2850
ko:K08309	syq:SYNPCCP_2857
ko:K14645	syq:SYNPCCP_2858
ko:K01599	syq:SYNPCCP_2859
ko:K03284	syq:SYNPCCP_2863
ko:K00806	syq:SYNPCCP_2864
ko:K01586	syq:SYNPCCP_2866
ko:K01887	syq:SYNPCCP_2868
ko:K01358	syq:SYNPCCP_2871
ko:K01696	syq:SYNPCCP_2872
ko:K02003	syq:SYNPCCP_2874
ko:K07494	syq:SYNPCCP_0550
ko:K01693	syq:SYNPCCP_2607
ko:K02003	syq:SYNPCCP_2612
ko:K02234	syq:SYNPCCP_2613
ko:K10206	syq:SYNPCCP_2619
ko:K03561	syq:SYNPCCP_2626
ko:K02012	syq:SYNPCCP_2627
ko:K01952	syq:SYNPCCP_2634
ko:K01952	syq:SYNPCCP_2635
ko:K00948	syq:SYNPCCP_2640
ko:K01935	syq:SYNPCCP_2641
ko:K07568	syq:SYNPCCP_2642
ko:K02232	syq:SYNPCCP_2653
ko:K00873	syq:SYNPCCP_2657
ko:K07007	syq:SYNPCCP_2658
ko:K03671	syq:SYNPCCP_2659
ko:K01265	syq:SYNPCCP_2726
ko:K06042	syq:SYNPCCP_2738
ko:K01534	syq:SYNPCCP_2739
ko:K09771	syq:SYNPCCP_2740
ko:K01534	syq:SYNPCCP_2742
ko:K01502	syq:SYNPCCP_2752
ko:K09958	syq:SYNPCCP_2756
ko:K01893	syq:SYNPCCP_2879
ko:K00611	syq:SYNPCCP_2882
ko:K01588	syq:SYNPCCP_2883
ko:K03179	syq:SYNPCCP_2885
ko:K06923	syq:SYNPCCP_2888
ko:K00765	syq:SYNPCCP_2890
ko:K04042	syq:SYNPCCP_2891
ko:K06949	syq:SYNPCCP_2893
ko:K03686	syq:SYNPCCP_2895
ko:K01159	syq:SYNPCCP_2896
ko:K01609	syq:SYNPCCP_2898
ko:K03320	syq:SYNPCCP_2899
ko:K03544	syq:SYNPCCP_2901
ko:K01358	syq:SYNPCCP_2902
ko:K03545	syq:SYNPCCP_2903
ko:K00133	syq:SYNPCCP_2904
ko:K01714	syq:SYNPCCP_2905
ko:K00859	syq:SYNPCCP_2908
ko:K06997	syq:SYNPCCP_2912
ko:K01873	syq:SYNPCCP_2916
ko:K05580	syq:SYNPCCP_2919
ko:K05572	syq:SYNPCCP_2920
ko:K02426	syq:SYNPCCP_2922
ko:K01256	syq:SYNPCCP_2926
ko:K03517	syq:SYNPCCP_2979
ko:K01682	syq:SYNPCCP_2983
ko:K03778	syq:SYNPCCP_2988
ko:K01956	syq:SYNPCCP_2989
ko:K15736	syq:SYNPCCP_2992
ko:K00014	syq:SYNPCCP_2993
ko:K02502	syq:SYNPCCP_2994
ko:K05810	syq:SYNPCCP_3008
ko:K09777	syq:SYNPCCP_3009
ko:K06024	syq:SYNPCCP_3012
ko:K03885	syq:SYNPCCP_3016
ko:K01057	syq:SYNPCCP_3020
ko:K04561	syq:SYNPCCP_3087
ko:K01687	syq:SYNPCCP_3099
ko:K01091	syq:SYNPCCP_3107
ko:K04079	syq:SYNPCCP_3113
ko:K00975	syq:SYNPCCP_3114
ko:K09001	syq:SYNPCCP_3117
ko:K02835	syq:SYNPCCP_3118
ko:K03787	syq:SYNPCCP_3120
ko:K08983	syq:SYNPCCP_3126
ko:K12957	syq:SYNPCCP_3132
ko:K01940	syq:SYNPCCP_3133
ko:K02014	syq:SYNPCCP_0016
ko:K07063	syq:SYNPCCP_1505
ko:K02014	syq:SYNPCCP_0031
ko:K10716	syq:SYNPCCP_0583
ko:K03856	syq:SYNPCCP_0304
ko:K01784	syq:SYNPCCP_0343
ko:K03403	syq:SYNPCCP_0464
ko:K02428	syq:SYNPCCP_0467
ko:K00721	syq:SYNPCCP_0468
ko:K02067	syq:SYNPCCP_0473
ko:K01934	syq:SYNPCCP_0483
ko:K01580	syq:SYNPCCP_0488
ko:K02712	syq:SYNPCCP_0499
ko:K02707	syq:SYNPCCP_0517
ko:K06118	syq:SYNPCCP_0579
ko:K11312	syq:SYNPCCP_0585
ko:K00121	syq:SYNPCCP_0589
ko:K03405	syq:SYNPCCP_0591
ko:K02660	syq:SYNPCCP_0624
ko:K02658	syq:SYNPCCP_0626
ko:K06147	syq:SYNPCCP_0690
ko:K07315	syq:SYNPCCP_0707
ko:K03574	syq:SYNPCCP_0709
ko:K02274	syq:SYNPCCP_0713
ko:K02049	syq:SYNPCCP_0717
ko:K02050	syq:SYNPCCP_0718
ko:K02051	syq:SYNPCCP_0719
ko:K04652	syq:SYNPCCP_0720
ko:K01480	syq:SYNPCCP_0722
ko:K02657	syq:SYNPCCP_0821
ko:K15578	syq:SYNPCCP_0915
ko:K15577	syq:SYNPCCP_0916
ko:K15576	syq:SYNPCCP_0917
ko:K01607	syq:SYNPCCP_1073
ko:K07315	syq:SYNPCCP_1079
ko:K01619	syq:SYNPCCP_1086
ko:K02033	syq:SYNPCCP_1099
ko:K02288	syq:SYNPCCP_1106
ko:K09825	syq:SYNPCCP_1200
ko:K02035	syq:SYNPCCP_1203
ko:K07009	syq:SYNPCCP_1205
ko:K02705	syq:SYNPCCP_1222
ko:K00389	syq:SYNPCCP_1225
ko:K07978	syq:SYNPCCP_1281
ko:K00058	syq:SYNPCCP_1301
ko:K00626	syq:SYNPCCP_1305
ko:K08226	syq:SYNPCCP_1307
ko:K00799	syq:SYNPCCP_1315
ko:K06864	syq:SYNPCCP_1328
ko:K07079	syq:SYNPCCP_1455
ko:K00058	syq:SYNPCCP_1483
ko:K14330	syq:SYNPCCP_2249
ko:K14331	syq:SYNPCCP_2250
ko:K02549	syq:SYNPCCP_2283
ko:K00784	syq:SYNPCCP_2301
ko:K00799	syq:SYNPCCP_2308
ko:K14518	syq:SYNPCCP_2317
ko:K03593	syq:SYNPCCP_2332
ko:K15226	syq:SYNPCCP_1393
ko:K02274	syq:SYNPCCP_1394
ko:K06045	syq:SYNPCCP_1401
ko:K03498	syq:SYNPCCP_1439
ko:K05583	syq:SYNPCCP_1547
ko:K02552	syq:SYNPCCP_1553
ko:K06883	syq:SYNPCCP_1564
ko:K05585	syq:SYNPCCP_1569
ko:K13799	syq:SYNPCCP_1589
ko:K01787	syq:SYNPCCP_1634
ko:K02010	syq:SYNPCCP_1637
ko:K02640	syq:SYNPCCP_1660
ko:K06346	syq:SYNPCCP_1669
ko:K01092	syq:SYNPCCP_1671
ko:K03307	syq:SYNPCCP_1770
ko:K00966	syq:SYNPCCP_1803
ko:K01823	syq:SYNPCCP_1805
ko:K02693	syq:SYNPCCP_1807
ko:K10563	syq:SYNPCCP_1808
ko:K06147	syq:SYNPCCP_1689
ko:K07052	syq:SYNPCCP_1718
ko:K04652	syq:SYNPCCP_1736
ko:K01297	syq:SYNPCCP_1738
ko:K09931	syq:SYNPCCP_1749
ko:K03867	syq:SYNPCCP_1760
ko:K01569	syq:SYNPCCP_0975
ko:K06147	syq:SYNPCCP_0998
ko:K03087	syq:SYNPCCP_1134
ko:K11325	syq:SYNPCCP_1148
ko:K02035	syq:SYNPCCP_1163
ko:K07031	syq:SYNPCCP_1228
ko:K01724	syq:SYNPCCP_1265
ko:K00088	syq:SYNPCCP_1335
ko:K08481	syq:SYNPCCP_1344
ko:K03316	syq:SYNPCCP_1348
ko:K07019	syq:SYNPCCP_1365
ko:K01784	syq:SYNPCCP_1374
ko:K02010	syq:SYNPCCP_1385
ko:K05588	syq:SYNPCCP_1519
ko:K02697	syq:SYNPCCP_1531
ko:K01409	syq:SYNPCCP_1533
ko:K02722	syq:SYNPCCP_2346
ko:K03442	syq:SYNPCCP_2393
ko:K09942	syq:SYNPCCP_2452
ko:K03087	syq:SYNPCCP_2454
ko:K12073	syq:SYNPCCP_2463
ko:K01885	syq:SYNPCCP_2464
ko:K07028	syq:SYNPCCP_2465
ko:K00548	syq:SYNPCCP_2473
ko:K00366	syq:SYNPCCP_2483
ko:K03635	syq:SYNPCCP_2489
ko:K00652	syq:SYNPCCP_2500
ko:K03574	syq:SYNPCCP_2503
ko:K01426	syq:SYNPCCP_2560
ko:K03469	syq:SYNPCCP_2589
ko:K07657	syq:SYNPCCP_2590
ko:K07114	syq:SYNPCCP_2671
ko:K00595	syq:SYNPCCP_2677
ko:K10697	syq:SYNPCCP_2688
ko:K02533	syq:SYNPCCP_2694
ko:K06873	syq:SYNPCCP_2836
ko:K05575	syq:SYNPCCP_2843
ko:K10232	syq:SYNPCCP_2852
ko:K10233	syq:SYNPCCP_2853
ko:K10234	syq:SYNPCCP_2854
ko:K00801	syq:SYNPCCP_2855
ko:K06883	syq:SYNPCCP_2867
ko:K07027	syq:SYNPCCP_2793
ko:K05337	syq:SYNPCCP_2794
ko:K00150	syq:SYNPCCP_2927
ko:K01092	syq:SYNPCCP_2942
ko:K06883	syq:SYNPCCP_2956
ko:K04037	syq:SYNPCCP_3037
ko:K04038	syq:SYNPCCP_3038
ko:K01835	syq:SYNPCCP_3051
ko:K08481	syq:SYNPCCP_3053
ko:K02696	syq:SYNPCCP_3066
ko:K00799	syq:SYNPCCP_3075
ko:K01585	syq:SYNPCCP_0009
ko:K02014	syq:SYNPCCP_0021
ko:K02014	syq:SYNPCCP_0024
ko:K00027	syq:SYNPCCP_0085
ko:K07769	syq:SYNPCCP_0110
ko:K07052	syq:SYNPCCP_0115
ko:K01480	syq:SYNPCCP_0134
ko:K03768	syq:SYNPCCP_0135
ko:K08696	syq:SYNPCCP_0199
ko:K08696	syq:SYNPCCP_0200
ko:K03404	syq:SYNPCCP_0211
ko:K07305	syq:SYNPCCP_0218
ko:K00214	syq:SYNPCCP_0221
ko:K08234	syq:SYNPCCP_0225
ko:K03830	syq:SYNPCCP_0231
ko:K00616	syq:SYNPCCP_0236
ko:K07304	syq:SYNPCCP_0239
ko:K01784	syq:SYNPCCP_0356
ko:K07004	syq:SYNPCCP_0379
ko:K06971	syq:SYNPCCP_0408
ko:K00514	syq:SYNPCCP_1825
ko:K03325	syq:SYNPCCP_1830
ko:K11329	syq:SYNPCCP_1833
ko:K07052	syq:SYNPCCP_1851
ko:K00721	syq:SYNPCCP_1855
ko:K01507	syq:SYNPCCP_1856
ko:K05584	syq:SYNPCCP_1857
ko:K09966	syq:SYNPCCP_1864
ko:K09763	syq:SYNPCCP_1872
ko:K01424	syq:SYNPCCP_1907
ko:K03316	syq:SYNPCCP_1917
ko:K00508	syq:SYNPCCP_1929
ko:K02720	syq:SYNPCCP_1939
ko:K07052	syq:SYNPCCP_1952
ko:K02428	syq:SYNPCCP_1959
ko:K02653	syq:SYNPCCP_1992
ko:K01262	syq:SYNPCCP_1995
ko:K00772	syq:SYNPCCP_1996
ko:K03087	syq:SYNPCCP_2055
ko:K01191	syq:SYNPCCP_2058
ko:K01104	syq:SYNPCCP_2065
ko:K00845	syq:SYNPCCP_2066
ko:K05575	syq:SYNPCCP_2072
ko:K02030	syq:SYNPCCP_2090
ko:K00700	syq:SYNPCCP_2108
ko:K02710	syq:SYNPCCP_2120
ko:K00135	syq:SYNPCCP_2124
ko:K07116	syq:SYNPCCP_2132
ko:K08481	syq:SYNPCCP_2610
ko:K02051	syq:SYNPCCP_2631
ko:K01470	syq:SYNPCCP_2644
ko:K00845	syq:SYNPCCP_2647
ko:K01424	syq:SYNPCCP_2660
ko:K02480	syq:SYNPCCP_2716
ko:K07123	syq:SYNPCCP_2749
ko:K03499	syq:SYNPCCP_2881
ko:K01082	syq:SYNPCCP_2897
ko:K01585	syq:SYNPCCP_2977
ko:K06196	syq:SYNPCCP_2980
ko:K03090	syq:SYNPCCP_2997
ko:K06898	syq:SYNPCCP_3003
ko:K02004	syq:SYNPCCP_3018
ko:K02005	syq:SYNPCCP_3019
ko:K02290	syq:SYNPCCP_3026
ko:K01469	syq:SYNPCCP_2764
ko:K02348	syq:SYNPCCP_3086
ko:K03177	syq:SYNPCCP_3106
ko:K02004	syq:SYNPCCP_3150
ko:K03711	syq:SYNPCCP_3151
ko:K01470	syq:SYNPCCP_3152
ko:K07393	syq:SYNPCCP_3164
ko:K08903	syq:SYNPCCP_0040
ko:K07304	syq:SYNPCCP_0046
ko:K09118	syq:SYNPCCP_0061
ko:K00939	syq:SYNPCCP_0065
ko:K01515	syq:SYNPCCP_0070
ko:K03574	syq:SYNPCCP_0082
ko:K03689	syq:SYNPCCP_0148
ko:K09121	syq:SYNPCCP_0157
ko:K02116	syq:SYNPCCP_0165
ko:K13628	syq:SYNPCCP_0170
ko:K04518	syq:SYNPCCP_0247
ko:K11781	syq:SYNPCCP_0250
ko:K05575	syq:SYNPCCP_0262
ko:K02719	syq:SYNPCCP_0271
ko:K06883	syq:SYNPCCP_0283
ko:K09705	syq:SYNPCCP_0284
ko:K02657	syq:SYNPCCP_0449
ko:K02658	syq:SYNPCCP_0450
ko:K02659	syq:SYNPCCP_0451
ko:K02660	syq:SYNPCCP_0452
ko:K02713	syq:SYNPCCP_0519
ko:K02711	syq:SYNPCCP_0520
ko:K03711	syq:SYNPCCP_0534
ko:K09815	syq:SYNPCCP_0535
ko:K02290	syq:SYNPCCP_0543
ko:K02238	syq:SYNPCCP_0551
ko:K02657	syq:SYNPCCP_0627
ko:K11780	syq:SYNPCCP_0642
ko:K02286	syq:SYNPCCP_0654
ko:K02286	syq:SYNPCCP_0655
ko:K02284	syq:SYNPCCP_0656
ko:K02285	syq:SYNPCCP_0657
ko:K07213	syq:SYNPCCP_0664
ko:K00939	syq:SYNPCCP_0755
ko:K08906	syq:SYNPCCP_0779
ko:K05575	syq:SYNPCCP_0859
ko:K06147	syq:SYNPCCP_0865
ko:K02294	syq:SYNPCCP_0893
ko:K04655	syq:SYNPCCP_0903
ko:K02433	syq:SYNPCCP_1023
ko:K07079	syq:SYNPCCP_1038
ko:K00059	syq:SYNPCCP_1039
ko:K02619	syq:SYNPCCP_1040
ko:K03499	syq:SYNPCCP_2149
ko:K02718	syq:SYNPCCP_2167
ko:K03386	syq:SYNPCCP_2170
ko:K02067	syq:SYNPCCP_2174
ko:K00274	syq:SYNPCCP_2175
ko:K08479	syq:SYNPCCP_2176
ko:K02637	syq:SYNPCCP_2183
ko:K02033	syq:SYNPCCP_2205
ko:K01601	syq:SYNPCCP_2223
ko:K01602	syq:SYNPCCP_2225
ko:K01679	syq:SYNPCCP_2233
ko:K01759	syq:SYNPCCP_2135
ko:K00059	syq:SYNPCCP_2136
ko:K00033	syq:SYNPCCP_2139
ko:K04039	syq:SYNPCCP_2148
ko:K14232	syq:SYNPCCP_t0015
ko:K14232	syq:SYNPCCP_t0004
ko:K05574	syq:SYNPCCP_1707
ko:K05578	syq:SYNPCCP_2918
ko:K05576	syq:SYNPCCP_2917
ko:K11523	syq:SYNPCCP_2824
ko:K11522	syq:SYNPCCP_2825
ko:K05570	syq:SYNPCCP_0680
ko:K02643	syq:SYNPCCP_2798
ko:K11950	syq:SYNPCCP_2838
ko:K11951	syq:SYNPCCP_2839
ko:K11952	syq:SYNPCCP_2841
ko:K11953	syq:SYNPCCP_2842
ko:K14222	syq:SYNPCCP_t0035
ko:K02096	syq:SYNPCCP_2077
ko:K14231	syq:SYNPCCP_t0016
ko:K11601	syq:SYNPCCP_1342
ko:K11603	syq:SYNPCCP_1341
ko:K11602	syq:SYNPCCP_1340
ko:K02714	syq:SYNPCCP_0132
ko:K03699	syq:SYNPCCP_1934
ko:K00974	syq:SYNPCCP_1583
ko:K11525	syq:SYNPCCP_2822
ko:K02097	syq:SYNPCCP_2952
ko:K07346	syq:SYNPCCP_3083
ko:K14224	syq:SYNPCCP_t0014
ko:K02480	syq:SYNPCCP_1350
ko:K01069	syq:SYNPCCP_0374
ko:K01977	syq:SYNPCCP_r0003
ko:K01977	syq:SYNPCCP_r0004
ko:K00392	syq:SYNPCCP_0293
ko:K02092	syq:SYNPCCP_1297
ko:K02287	syq:SYNPCCP_0653
ko:K08480	syq:SYNPCCP_3052
ko:K14220	syq:SYNPCCP_t0024
ko:K02018	syq:SYNPCCP_2811
ko:K02017	syq:SYNPCCP_2811
ko:K05569	syq:SYNPCCP_0679
ko:K05571	syq:SYNPCCP_0681
ko:K14221	syq:SYNPCCP_t0013
ko:K14223	syq:SYNPCCP_t0023
ko:K02093	syq:SYNPCCP_1298
ko:K02094	syq:SYNPCCP_1299
ko:K02095	syq:SYNPCCP_0310
ko:K05568	syq:SYNPCCP_0676
ko:K14225	syq:SYNPCCP_t0017
ko:K14219	syq:SYNPCCP_t0019
ko:K00974	syq:SYNPCCP_2564
ko:K02700	syq:SYNPCCP_0429
ko:K15579	syq:SYNPCCP_0914
ko:K01533	syq:SYNPCCP_2043
ko:K00284	syq:SYNPCCP_0442
ko:K00284	syq:SYNPCCP_2987
ko:K14233	syq:SYNPCCP_t0020
ko:K02289	syq:SYNPCCP_0076
ko:K14228	syq:SYNPCCP_t0039
ko:K14227	syq:SYNPCCP_t0029
ko:K14229	syq:SYNPCCP_t0027
ko:K14226	syq:SYNPCCP_t0022
ko:K14236	syq:SYNPCCP_t0037
ko:K14235	syq:SYNPCCP_t0009
ko:K14218	syq:SYNPCCP_t0028
ko:K03321	syq:SYNPCCP_0939
ko:K11960	syq:SYNPCCP_0806
ko:K11954	syq:SYNPCCP_2511
ko:K11957	syq:SYNPCCP_2337
ko:K11961	syq:SYNPCCP_0807
ko:K11958	syq:SYNPCCP_1118
ko:K11959	syq:SYNPCCP_1914
ko:K11962	syq:SYNPCCP_2160
ko:K18828	syq:SYNPCCP_2365
ko:K11963	syq:SYNPCCP_2433
ko:K11956	syq:SYNPCCP_1837
ko:K11955	syq:SYNPCCP_1983
ko:K02642	syq:SYNPCCP_1491
ko:K14230	syq:SYNPCCP_t0018
ko:K14233	syq:SYNPCCP_t0021
ko:K14234	syq:SYNPCCP_t0025
ko:K14218	syq:SYNPCCP_t0026
ko:K01980	syq:SYNPCCP_r0002
ko:K01980	syq:SYNPCCP_r0005
ko:K14225	syq:SYNPCCP_t0030
ko:K14233	syq:SYNPCCP_t0031
ko:K14218	syq:SYNPCCP_t0032
ko:K14219	syq:SYNPCCP_t0033
ko:K14225	syq:SYNPCCP_t0036
ko:K14230	syq:SYNPCCP_t0034
ko:K14227	syq:SYNPCCP_t0040
ko:K04034	syq:SYNPCCP_2492
ko:K07785	syq:SYNPCCP_2737
ko:K11526	syq:SYNPCCP_2820
ko:K11524	syq:SYNPCCP_2823
ko:K08904	syq:SYNPCCP_1202
ko:K01985	syq:SYNPCCP_r0001
ko:K01985	syq:SYNPCCP_r0006
ko:K02292	syq:SYNPCCP_2597
ko:K08699	syq:SYNPCCP_0196
ko:K08697	syq:SYNPCCP_0198
ko:K05587	syq:SYNPCCP_1521
ko:K16787	syq:SYNPCCP_2201
ko:K16785	syq:SYNPCCP_1639
ko:K02030	syq:SYNPCCP_1741
ko:K02030	syq:SYNPCCP_0138
ko:K02008	syq:SYNPCCP_2418
ko:K02030	syq:SYNPCCP_1111
ko:K02030	syq:SYNPCCP_2180
ko:K02030	syq:SYNPCCP_2316
ko:K01978	syq:SYNPCCP_nc0001
ko:K14228	syq:SYNPCCP_t0010
ko:K00034	syq:SYNPCCP_1153
ko:K14232	syq:SYNPCCP_t0001
ko:K14233	syq:SYNPCCP_t0002
ko:K14234	syq:SYNPCCP_t0003
ko:K14237	syq:SYNPCCP_t0005
ko:K14219	syq:SYNPCCP_t0006
ko:K14219	syq:SYNPCCP_t0008
ko:K14228	syq:SYNPCCP_t0012
ko:K14234	syq:SYNPCCP_t0038
