ko:K15039	sii:LD85_1697
ko:K01474	sii:LD85_2723
ko:K00626	sii:LD85_1029
ko:K01478	sii:LD85_1203
ko:K07114	sii:LD85_1251
ko:K01039	sii:LD85_1258
ko:K01679	sii:LD85_1263
ko:K06883	sii:LD85_1291
ko:K00784	sii:LD85_1294
ko:K01439	sii:LD85_1328
ko:K00389	sii:LD85_1354
ko:K00059	sii:LD85_1360
ko:K02433	sii:LD85_1381
ko:K06889	sii:LD85_1045
ko:K01478	sii:LD85_1814
ko:K06910	sii:LD85_1498
ko:K02433	sii:LD85_1500
ko:K13280	sii:LD85_1417
ko:K14561	sii:LD85_1614
ko:K10726	sii:LD85_1490
ko:K12589	sii:LD85_1612
ko:K03234	sii:LD85_1618
ko:K07025	sii:LD85_1619
ko:K00939	sii:LD85_1649
ko:K05595	sii:LD85_1732
ko:K01496	sii:LD85_1739
ko:K01523	sii:LD85_1741
ko:K15018	sii:LD85_2424
ko:K14465	sii:LD85_1888
ko:K03539	sii:LD85_1606
ko:K18882	sii:LD85_1779
ko:K15036	sii:LD85_0258
ko:K15019	sii:LD85_1689
ko:K15429	sii:LD85_0236
ko:K11130	sii:LD85_1284
ko:K11529	sii:LD85_1678
ko:K13048	sii:LD85_0906
ko:K01434	sii:LD85_1165
ko:K15566	sii:LD85_1255
ko:K02428	sii:LD85_1932
ko:K14415	sii:LD85_1369
ko:K15863	sii:LD85_2030
ko:K07333	sii:LD85_0184
ko:K15916	sii:LD85_0093
ko:K15888	sii:LD85_2238
ko:K15762	sii:LD85_0413
ko:K15760	sii:LD85_0410
ko:K15342	sii:LD85_0939
ko:K15635	sii:LD85_1944
ko:K14568	sii:LD85_0043
ko:K05829	sii:LD85_2245
ko:K05828	sii:LD85_2244
ko:K03146	sii:LD85_1927
ko:K14574	sii:LD85_1609
ko:K00966	sii:LD85_2043
ko:K14226	sii:LD85_R0039
ko:K07332	sii:LD85_0185
ko:K07050	sii:LD85_1912
ko:K14564	sii:LD85_1399
ko:K07332	sii:LD85_2950
ko:K07333	sii:LD85_2951
ko:K15977	sii:LD85_2923
ko:K01683	sii:LD85_2515
ko:K03417	sii:LD85_3049
ko:K10747	sii:LD85_2205
ko:K15496	sii:LD85_1307
ko:K15760	sii:LD85_0411
ko:K15497	sii:LD85_1993
ko:K01684	sii:LD85_2966
ko:K01535	sii:LD85_0717
ko:K00666	sii:LD85_0306
ko:K05710	sii:LD85_0660
ko:K15342	sii:LD85_0997
ko:K01641	sii:LD85_1795
ko:K00483	sii:LD85_0739
ko:K11645	sii:LD85_2405
ko:K16264	sii:LD85_0061
ko:K18125	sii:LD85_2603
ko:K16785	sii:LD85_0762
ko:K05825	sii:LD85_2284
ko:K16640	sii:LD85_0770
ko:K16640	sii:LD85_3079
ko:K18779	sii:LD85_2086
ko:K16786	sii:LD85_0763
ko:K16787	sii:LD85_0763
ko:K07012	sii:LD85_0989
ko:K01980	sii:LD85_R0005
ko:K06016	sii:LD85_2911
ko:K16933	sii:LD85_2342
ko:K16936	sii:LD85_0806
ko:K16935	sii:LD85_2340
ko:K06957	sii:LD85_1970
ko:K10974	sii:LD85_0592
ko:K16846	sii:LD85_0490
ko:K16845	sii:LD85_0491
ko:K16937	sii:LD85_0805
ko:K16934	sii:LD85_2341
ko:K16937	sii:LD85_2543
ko:K17104	sii:LD85_2100
ko:K17219	sii:LD85_0567
ko:K17311	sii:LD85_1335
ko:K17313	sii:LD85_1332
ko:K07329	sii:LD85_0121
ko:K00681	sii:LD85_2410
ko:K17105	sii:LD85_1756
ko:K06915	sii:LD85_0065
ko:K03564	sii:LD85_0068
ko:K07588	sii:LD85_0075
ko:K01849	sii:LD85_0076
ko:K02031	sii:LD85_3020
ko:K07486	sii:LD85_0347
ko:K02189	sii:LD85_0108
ko:K05936	sii:LD85_0109
ko:K02191	sii:LD85_0111
ko:K02188	sii:LD85_0112
ko:K06042	sii:LD85_0114
ko:K07331	sii:LD85_0120
ko:K07330	sii:LD85_0122
ko:K17221	sii:LD85_0569
ko:K17220	sii:LD85_0568
ko:K01883	sii:LD85_0092
ko:K06915	sii:LD85_0097
ko:K00059	sii:LD85_0101
ko:K01142	sii:LD85_0102
ko:K07107	sii:LD85_0106
ko:K03399	sii:LD85_0107
ko:K00772	sii:LD85_0144
ko:K05844	sii:LD85_0147
ko:K03718	sii:LD85_0148
ko:K13051	sii:LD85_0151
ko:K08979	sii:LD85_0156
ko:K00239	sii:LD85_0159
ko:K03470	sii:LD85_0182
ko:K06944	sii:LD85_0183
ko:K01507	sii:LD85_0187
ko:K07023	sii:LD85_0188
ko:K17218	sii:LD85_0072
ko:K06982	sii:LD85_0193
ko:K09722	sii:LD85_0194
ko:K00606	sii:LD85_0195
ko:K01649	sii:LD85_0204
ko:K07142	sii:LD85_0205
ko:K01737	sii:LD85_0210
ko:K06874	sii:LD85_0223
ko:K03231	sii:LD85_0224
ko:K07141	sii:LD85_0227
ko:K03518	sii:LD85_0228
ko:K03519	sii:LD85_0229
ko:K01915	sii:LD85_0237
ko:K02873	sii:LD85_0239
ko:K01974	sii:LD85_0240
ko:K00852	sii:LD85_0243
ko:K07472	sii:LD85_0244
ko:K01951	sii:LD85_0245
ko:K10725	sii:LD85_0002
ko:K03609	sii:LD85_0135
ko:K03265	sii:LD85_0142
ko:K07101	sii:LD85_0143
ko:K00240	sii:LD85_0160
ko:K06915	sii:LD85_0017
ko:K06888	sii:LD85_0021
ko:K07503	sii:LD85_0025
ko:K00241	sii:LD85_0161
ko:K01895	sii:LD85_0033
ko:K07060	sii:LD85_0034
ko:K00858	sii:LD85_0035
ko:K07055	sii:LD85_0039
ko:K09738	sii:LD85_0040
ko:K07574	sii:LD85_0041
ko:K03671	sii:LD85_0050
ko:K09716	sii:LD85_0052
ko:K03924	sii:LD85_0164
ko:K07466	sii:LD85_0165
ko:K03750	sii:LD85_0167
ko:K00872	sii:LD85_0168
ko:K06961	sii:LD85_0174
ko:K07178	sii:LD85_0175
ko:K03236	sii:LD85_0176
ko:K00626	sii:LD85_0177
ko:K03238	sii:LD85_0179
ko:K09148	sii:LD85_0180
ko:K07562	sii:LD85_0181
ko:K00384	sii:LD85_0213
ko:K01092	sii:LD85_0214
ko:K07101	sii:LD85_0219
ko:K01848	sii:LD85_0220
ko:K01724	sii:LD85_0005
ko:K09825	sii:LD85_0058
ko:K07090	sii:LD85_0083
ko:K01714	sii:LD85_0085
ko:K00059	sii:LD85_0087
ko:K17218	sii:LD85_3000
ko:K00096	sii:LD85_1586
ko:K17312	sii:LD85_1334
ko:K17314	sii:LD85_1331
ko:K01011	sii:LD85_1321
ko:K02189	sii:LD85_2260
ko:K07333	sii:LD85_2271
ko:K15038	sii:LD85_0963
ko:K07332	sii:LD85_2270
ko:K17285	sii:LD85_2761
ko:K01992	sii:LD85_0324
ko:K01992	sii:LD85_2333
ko:K01992	sii:LD85_2983
ko:K01990	sii:LD85_0325
ko:K01990	sii:LD85_2332
ko:K01990	sii:LD85_2982
ko:K10112	sii:LD85_2918
ko:K07064	sii:LD85_1054
ko:K15771	sii:LD85_1181
ko:K15770	sii:LD85_1180
ko:K15772	sii:LD85_1182
ko:K10112	sii:LD85_1183
ko:K17758	sii:LD85_0067
ko:K17759	sii:LD85_0067
ko:K07486	sii:LD85_0833
ko:K07486	sii:LD85_2569
ko:K01658	sii:LD85_1439
ko:K07577	sii:LD85_2206
ko:K07577	sii:LD85_1977
ko:K00226	sii:LD85_1729
ko:K14259	sii:LD85_2519
ko:K03520	sii:LD85_3093
ko:K01533	sii:LD85_2980
ko:K03605	sii:LD85_0478
ko:K17884	sii:LD85_1780
ko:K07068	sii:LD85_0305
ko:K09022	sii:LD85_2421
ko:K18021	sii:LD85_2993
ko:K22585	sii:LD85_1456
ko:K18020	sii:LD85_2991
ko:K18022	sii:LD85_2992
ko:K18125	sii:LD85_2656
ko:K01473	sii:LD85_0590
ko:K01473	sii:LD85_2722
ko:K07076	sii:LD85_1190
ko:K06930	sii:LD85_0694
ko:K18125	sii:LD85_2423
ko:K18126	sii:LD85_2430
ko:K01897	sii:LD85_1991
ko:K07068	sii:LD85_0729
ko:K02031	sii:LD85_0505
ko:K02032	sii:LD85_2958
ko:K07076	sii:LD85_0842
ko:K07076	sii:LD85_1169
ko:K01897	sii:LD85_1043
ko:K07076	sii:LD85_1188
ko:K07076	sii:LD85_0336
ko:K07076	sii:LD85_0451
ko:K07076	sii:LD85_0838
ko:K15449	sii:LD85_1382
ko:K09003	sii:LD85_0252
ko:K00067	sii:LD85_1068
ko:K00973	sii:LD85_1121
ko:K05982	sii:LD85_0248
ko:K01439	sii:LD85_0703
ko:K00836	sii:LD85_0705
ko:K01480	sii:LD85_0709
ko:K01845	sii:LD85_0712
ko:K00104	sii:LD85_0396
ko:K08368	sii:LD85_0321
ko:K18367	sii:LD85_0095
ko:K01007	sii:LD85_1448
ko:K07092	sii:LD85_2552
ko:K18532	sii:LD85_1901
ko:K19076	sii:LD85_0926
ko:K01273	sii:LD85_0812
ko:K07068	sii:LD85_2526
ko:K07475	sii:LD85_0949
ko:K07495	sii:LD85_2788
ko:K18861	sii:LD85_0554
ko:K07486	sii:LD85_2570
ko:K07012	sii:LD85_0948
ko:K09723	sii:LD85_1491
ko:K02493	sii:LD85_1599
ko:K04794	sii:LD85_2222
ko:K03496	sii:LD85_2350
ko:K00520	sii:LD85_2941
ko:K00446	sii:LD85_0738
ko:K18859	sii:LD85_0162
ko:K01409	sii:LD85_1930
ko:K01872	sii:LD85_0500
ko:K08851	sii:LD85_1931
ko:K15450	sii:LD85_1717
ko:K07464	sii:LD85_0628
ko:K07464	sii:LD85_0941
ko:K07464	sii:LD85_2382
ko:K08678	sii:LD85_1087
ko:K19074	sii:LD85_0945
ko:K07725	sii:LD85_0457
ko:K19142	sii:LD85_0927
ko:K19121	sii:LD85_0991
ko:K19135	sii:LD85_0923
ko:K01710	sii:LD85_0641
ko:K01710	sii:LD85_1117
ko:K19146	sii:LD85_0950
ko:K09127	sii:LD85_0925
ko:K09951	sii:LD85_0940
ko:K19120	sii:LD85_0990
ko:K19122	sii:LD85_0992
ko:K19085	sii:LD85_0938
ko:K19089	sii:LD85_0947
ko:K07725	sii:LD85_0943
ko:K07725	sii:LD85_0994
ko:K01066	sii:LD85_0291
ko:K19412	sii:LD85_1699
ko:K01066	sii:LD85_0315
ko:K01785	sii:LD85_2888
ko:K08176	sii:LD85_2448
ko:K07496	sii:LD85_0875
ko:K07496	sii:LD85_0903
ko:K21268	sii:LD85_0146
ko:K19244	sii:LD85_1983
ko:K01239	sii:LD85_2584
ko:K07124	sii:LD85_1309
ko:K07092	sii:LD85_2004
ko:K07092	sii:LD85_1221
ko:K10844	sii:LD85_1569
ko:K02503	sii:LD85_3105
ko:K10844	sii:LD85_1538
ko:K19590	sii:LD85_0601
ko:K19710	sii:LD85_2112
ko:K19664	sii:LD85_1487
ko:K07064	sii:LD85_0852
ko:K07064	sii:LD85_2793
ko:K22227	sii:LD85_1819
ko:K20215	sii:LD85_1385
ko:K01214	sii:LD85_0437
ko:K01560	sii:LD85_1189
ko:K21029	sii:LD85_2061
ko:K00525	sii:LD85_1405
ko:K13075	sii:LD85_0968
ko:K19588	sii:LD85_2520
ko:K01101	sii:LD85_0158
ko:K02031	sii:LD85_2959
ko:K02031	sii:LD85_2701
ko:K02032	sii:LD85_2702
ko:K06148	sii:LD85_2645
ko:K21220	sii:LD85_2343
ko:K07495	sii:LD85_0615
ko:K02032	sii:LD85_0506
ko:K04802	sii:LD85_1290
ko:K04801	sii:LD85_1497
ko:K00558	sii:LD85_2094
ko:K04802	sii:LD85_1955
ko:K04802	sii:LD85_1963
ko:K03465	sii:LD85_2038
ko:K04799	sii:LD85_2217
ko:K03546	sii:LD85_0063
ko:K07096	sii:LD85_0445
ko:K07486	sii:LD85_0133
ko:K07486	sii:LD85_2567
ko:K02319	sii:LD85_2306
ko:K02319	sii:LD85_0822
ko:K02031	sii:LD85_2600
ko:K02032	sii:LD85_2601
ko:K07097	sii:LD85_0250
ko:K21142	sii:LD85_0190
ko:K02319	sii:LD85_1784
ko:K07489	sii:LD85_0587
ko:K08194	sii:LD85_1005
ko:K07064	sii:LD85_0720
ko:K07096	sii:LD85_0054
ko:K07096	sii:LD85_2909
ko:K07450	sii:LD85_1120
ko:K07450	sii:LD85_0894
ko:K07486	sii:LD85_0876
ko:K07486	sii:LD85_2931
ko:K07486	sii:LD85_2504
ko:K07486	sii:LD85_3088
ko:K07496	sii:LD85_2377
ko:K07496	sii:LD85_1119
ko:K07499	sii:LD85_2459
ko:K21219	sii:LD85_0189
ko:K00526	sii:LD85_0295
ko:K07096	sii:LD85_0711
ko:K05708	sii:LD85_0977
ko:K21417	sii:LD85_1009
ko:K21417	sii:LD85_2851
ko:K21416	sii:LD85_1010
ko:K21416	sii:LD85_2852
ko:K07495	sii:LD85_1075
ko:K07495	sii:LD85_1153
ko:K21567	sii:LD85_0038
ko:K18828	sii:LD85_0857
ko:K07493	sii:LD85_0389
ko:K07496	sii:LD85_0648
ko:K21929	sii:LD85_0086
ko:K21929	sii:LD85_2902
ko:K03564	sii:LD85_3023
ko:K14274	sii:LD85_2925
ko:K00302	sii:LD85_2208
ko:K22206	sii:LD85_1894
ko:K07108	sii:LD85_1404
ko:K02316	sii:LD85_2307
ko:K06927	sii:LD85_1667
ko:K03547	sii:LD85_0064
ko:K22205	sii:LD85_2107
ko:K15634	sii:LD85_0053
ko:K02257	sii:LD85_1687
ko:K19302	sii:LD85_2977
ko:K03795	sii:LD85_1951
ko:K15865	sii:LD85_0178
ko:K22447	sii:LD85_2079
ko:K09759	sii:LD85_2224
ko:K03800	sii:LD85_1276
ko:K22469	sii:LD85_1249
ko:K03389	sii:LD85_1214
ko:K03389	sii:LD85_1218
