ko:K03885	pmj:P9211_00911
ko:K11752	pmj:P9211_13081
ko:K07315	pmj:P9211_00101
ko:K00983	pmj:P9211_12421
ko:K00983	pmj:P9211_12871
ko:K07027	pmj:P9211_04891
ko:K03386	pmj:P9211_09041
ko:K03711	pmj:P9211_15241
ko:K13292	pmj:P9211_04611
ko:K03867	pmj:P9211_12651
ko:K01069	pmj:P9211_05621
ko:K00748	pmj:P9211_13881
ko:K04518	pmj:P9211_16271
ko:K02635	pmj:P9211_03611
ko:K07052	pmj:P9211_05181
ko:K01784	pmj:P9211_12831
ko:K11532	pmj:P9211_09951
ko:K02303	pmj:P9211_18271
ko:K11717	pmj:P9211_00781
ko:K03524	pmj:P9211_04301
ko:K00595	pmj:P9211_13121
ko:K01485	pmj:P9211_13521
ko:K04487	pmj:P9211_01881
ko:K04487	pmj:P9211_08771
ko:K01647	pmj:P9211_01781
ko:K09969	pmj:P9211_14791
ko:K01358	pmj:P9211_17821
ko:K01358	pmj:P9211_08441
ko:K01358	pmj:P9211_13611
ko:K01358	pmj:P9211_13621
ko:K02638	pmj:P9211_10711
ko:K08906	pmj:P9211_05781
ko:K11777	pmj:P9211_15601
ko:K01890	pmj:P9211_08931
ko:K03496	pmj:P9211_06541
ko:K03768	pmj:P9211_08701
ko:K03768	pmj:P9211_12311
ko:K03711	pmj:P9211_07451
ko:K05572	pmj:P9211_01771
ko:K05573	pmj:P9211_04321
ko:K03087	pmj:P9211_17561
ko:K05382	pmj:P9211_03381
ko:K01737	pmj:P9211_05831
ko:K03321	pmj:P9211_02341
ko:K03671	pmj:P9211_11291
ko:K07079	pmj:P9211_15961
ko:K09457	pmj:P9211_15801
ko:K01424	pmj:P9211_09461
ko:K05356	pmj:P9211_10311
ko:K05979	pmj:P9211_10351
ko:K13541	pmj:P9211_16381
ko:K13799	pmj:P9211_17111
ko:K05349	pmj:P9211_01281
ko:K13038	pmj:P9211_02511
ko:K00058	pmj:P9211_14091
ko:K13789	pmj:P9211_11191
ko:K01802	pmj:P9211_00251
ko:K00514	pmj:P9211_01311
ko:K00966	pmj:P9211_01681
ko:K00128	pmj:P9211_03681
ko:K01897	pmj:P9211_04001
ko:K01739	pmj:P9211_04071
ko:K06444	pmj:P9211_07411
ko:K06147	pmj:P9211_09401
ko:K00971	pmj:P9211_17301
ko:K00392	pmj:P9211_10051
ko:K00951	pmj:P9211_02091
ko:K02004	pmj:P9211_08461
ko:K06118	pmj:P9211_17921
ko:K02717	pmj:P9211_10881
ko:K00134	pmj:P9211_12861
ko:K01147	pmj:P9211_08961
ko:K01491	pmj:P9211_11201
ko:K00297	pmj:P9211_01691
ko:K00281	pmj:P9211_17951
ko:K00620	pmj:P9211_00571
ko:K05337	pmj:P9211_15971
ko:K00830	pmj:P9211_10251
ko:K02503	pmj:P9211_00741
ko:K05576	pmj:P9211_01741
ko:K05377	pmj:P9211_03321
ko:K05378	pmj:P9211_03401
ko:K05383	pmj:P9211_03371
ko:K05384	pmj:P9211_03351
ko:K05385	pmj:P9211_03361
ko:K05386	pmj:P9211_03341
ko:K14231	pmj:P9211_tRNA1309357
ko:K14221	pmj:P9211_tRNA1309352
ko:K01759	pmj:P9211_02261
ko:K02663	pmj:P9211_08161
ko:K00652	pmj:P9211_15881
ko:K14219	pmj:P9211_tRNA1309359
ko:K14228	pmj:P9211_tRNA1309380
ko:K14220	pmj:P9211_tRNA1309370
ko:K01983	pmj:P9211_ffs1309441
ko:K00721	pmj:P9211_16431
ko:K01739	pmj:P9211_04061
ko:K03404	pmj:P9211_03141
ko:K00215	pmj:P9211_09351
ko:K03394	pmj:P9211_03851
ko:K05376	pmj:P9211_03331
ko:K09942	pmj:P9211_00841
ko:K05584	pmj:P9211_01601
ko:K04035	pmj:P9211_09191
ko:K05370	pmj:P9211_17131
ko:K05369	pmj:P9211_17141
ko:K02712	pmj:P9211_02991
ko:K01470	pmj:P9211_02571
ko:K02715	pmj:P9211_02781
ko:K01470	pmj:P9211_05341
ko:K00058	pmj:P9211_12891
ko:K14225	pmj:P9211_tRNA1309363
ko:K14232	pmj:P9211_tRNA1309374
ko:K02013	pmj:P9211_09491
ko:K14232	pmj:P9211_tRNA1309349
ko:K03292	pmj:P9211_13771
ko:K14219	pmj:P9211_tRNA1309368
ko:K14225	pmj:P9211_tRNA1309383
ko:K02010	pmj:P9211_09571
ko:K14233	pmj:P9211_tRNA1309348
ko:K14233	pmj:P9211_tRNA1309347
ko:K14219	pmj:P9211_tRNA1309379
ko:K02711	pmj:P9211_03261
ko:K08918	pmj:P9211_07351
ko:K08920	pmj:P9211_09521
ko:K08923	pmj:P9211_14531
ko:K08925	pmj:P9211_11631
ko:K08922	pmj:P9211_14281
ko:K14218	pmj:P9211_tRNA1309372
ko:K14223	pmj:P9211_tRNA1309367
ko:K14331	pmj:P9211_05351
ko:K14330	pmj:P9211_05361
ko:K09835	pmj:P9211_05841
ko:K14219	pmj:P9211_tRNA1309364
ko:K14226	pmj:P9211_tRNA1309381
ko:K14234	pmj:P9211_tRNA1309354
ko:K14234	pmj:P9211_tRNA1309355
ko:K14224	pmj:P9211_tRNA1309378
ko:K14227	pmj:P9211_tRNA1309371
ko:K00218	pmj:P9211_05441
ko:K00799	pmj:P9211_05701
ko:K14228	pmj:P9211_tRNA1309361
ko:K14225	pmj:P9211_tRNA1309344
ko:K14233	pmj:P9211_tRNA1309365
ko:K08919	pmj:P9211_11601
ko:K14237	pmj:P9211_tRNA1309382
ko:K14233	pmj:P9211_tRNA1309375
ko:K14236	pmj:P9211_tRNA1309353
ko:K14222	pmj:P9211_tRNA1309369
ko:K01978	pmj:P9211_rnpB1309440
ko:K14234	pmj:P9211_tRNA1309366
ko:K14229	pmj:P9211_tRNA1309373
ko:K14218	pmj:P9211_tRNA1309346
ko:K01980	pmj:P9211_rrl1365801
ko:K14441	pmj:P9211_01161
ko:K02005	pmj:P9211_10151
ko:K00518	pmj:P9211_13411
ko:K00464	pmj:P9211_03071
ko:K01977	pmj:P9211_rrs1309438
ko:K00218	pmj:P9211_07421
ko:K00988	pmj:P9211_08901
ko:K00218	pmj:P9211_14681
ko:K02005	pmj:P9211_12131
ko:K14518	pmj:P9211_03901
ko:K14237	pmj:P9211_tRNA1309362
ko:K14234	pmj:P9211_tRNA1309356
ko:K00845	pmj:P9211_10611
ko:K02031	pmj:P9211_02101
ko:K02032	pmj:P9211_02101
ko:K02662	pmj:P9211_08211
ko:K07069	pmj:P9211_05991
ko:K14652	pmj:P9211_08711
ko:K01985	pmj:P9211_rrf1309439
ko:K14235	pmj:P9211_tRNA1309351
ko:K00721	pmj:P9211_12621
ko:K14230	pmj:P9211_tRNA1309377
ko:K14230	pmj:P9211_tRNA1309376
ko:K06147	pmj:P9211_10871
ko:K14228	pmj:P9211_tRNA1309350
ko:K14230	pmj:P9211_tRNA1309358
ko:K00799	pmj:P9211_01251
ko:K06147	pmj:P9211_00581
ko:K05978	pmj:P9211_07471
ko:K01582	pmj:P9211_11021
ko:K01144	pmj:P9211_11171
ko:K00082	pmj:P9211_01211
ko:K00799	pmj:P9211_07381
ko:K01046	pmj:P9211_10581
ko:K03772	pmj:P9211_13401
ko:K07733	pmj:P9211_12531
ko:K07978	pmj:P9211_17651
ko:K05574	pmj:P9211_03201
ko:K01524	pmj:P9211_04581
ko:K14540	pmj:P9211_02121
ko:K14228	pmj:P9211_tRNA1309345
ko:K14228	pmj:P9211_tRNA1309360
ko:K15383	pmj:P9211_06351
ko:K02533	pmj:P9211_11341
ko:K15226	pmj:P9211_16841
ko:K00020	pmj:P9211_11961
ko:K07315	pmj:P9211_00111
ko:K06978	pmj:P9211_10661
ko:K09969	pmj:P9211_14801
ko:K15034	pmj:P9211_14431
ko:K15738	pmj:P9211_12061
ko:K15383	pmj:P9211_14181
ko:K15633	pmj:P9211_15521
ko:K01082	pmj:P9211_12791
ko:K02428	pmj:P9211_03061
ko:K19560	pmj:P9211_15891
ko:K08679	pmj:P9211_12841
ko:K15918	pmj:P9211_06771
ko:K03320	pmj:P9211_02901
ko:K10716	pmj:P9211_14401
ko:K08921	pmj:P9211_11571
ko:K00974	pmj:P9211_01561
ko:K00970	pmj:P9211_03291
ko:K01533	pmj:P9211_01451
ko:K03321	pmj:P9211_07551
ko:K11602	pmj:P9211_10471
ko:K11601	pmj:P9211_10491
ko:K11603	pmj:P9211_10481
ko:K13693	pmj:P9211_06741
ko:K09972	pmj:P9211_14761
ko:K16787	pmj:P9211_07791
ko:K16785	pmj:P9211_03891
ko:K16786	pmj:P9211_01401
ko:K11720	pmj:P9211_09981
ko:K01992	pmj:P9211_04481
ko:K01990	pmj:P9211_04471
ko:K00254	pmj:P9211_02171
ko:K17836	pmj:P9211_11351
ko:K17758	pmj:P9211_13371
ko:K17759	pmj:P9211_13371
ko:K14761	pmj:P9211_09391
ko:K01791	pmj:P9211_12441
ko:K07260	pmj:P9211_10021
ko:K03742	pmj:P9211_02831
ko:K18534	pmj:P9211_16281
ko:K18678	pmj:P9211_18321
ko:K05366	pmj:P9211_04231
ko:K03181	pmj:P9211_18031
ko:K03789	pmj:P9211_09611
ko:K19032	pmj:P9211_15591
ko:K18979	pmj:P9211_00061
ko:K19003	pmj:P9211_17851
ko:K16149	pmj:P9211_11251
ko:K19221	pmj:P9211_05261
ko:K19221	pmj:P9211_16901
ko:K11991	pmj:P9211_10241
ko:K20024	pmj:P9211_04781
ko:K18889	pmj:P9211_06901
ko:K18890	pmj:P9211_05641
ko:K01214	pmj:P9211_13761
ko:K00821	pmj:P9211_13491
ko:K21147	pmj:P9211_16891
ko:K21480	pmj:P9211_17151
ko:K10026	pmj:P9211_18221
ko:K21561	pmj:P9211_02711
ko:K21929	pmj:P9211_07891
ko:K02257	pmj:P9211_04461
ko:K22305	pmj:P9211_05171
ko:K11206	pmj:P9211_10341
