ko:K07492	bsup:BSPT1_II0505
ko:K09117	bsup:BSPT1_I1515
ko:K01956	bsup:BSPT1_I1516
ko:K07054	bsup:BSPT1_I1518
ko:K01955	bsup:BSPT1_I1521
ko:K02471	bsup:BSPT1_I1523
ko:K03704	bsup:BSPT1_I1525
ko:K00799	bsup:BSPT1_I1526
ko:K00812	bsup:BSPT1_I1528
ko:K00384	bsup:BSPT1_I1531
ko:K03498	bsup:BSPT1_I1532
ko:K12989	bsup:BSPT1_I1534
ko:K03624	bsup:BSPT1_I1535
ko:K09922	bsup:BSPT1_I1539
ko:K10806	bsup:BSPT1_I1541
ko:K00013	bsup:BSPT1_I0276
ko:K00790	bsup:BSPT1_I0278
ko:K03190	bsup:BSPT1_I0288
ko:K01430	bsup:BSPT1_I0289
ko:K01429	bsup:BSPT1_I0291
ko:K01428	bsup:BSPT1_I0292
ko:K03187	bsup:BSPT1_I0293
ko:K03188	bsup:BSPT1_I0294
ko:K03189	bsup:BSPT1_I0295
ko:K01464	bsup:BSPT1_I0299
ko:K06016	bsup:BSPT1_I0300
ko:K17723	bsup:BSPT1_I0303
ko:K01810	bsup:BSPT1_I0306
ko:K06987	bsup:BSPT1_I0307
ko:K01091	bsup:BSPT1_I0308
ko:K01897	bsup:BSPT1_I0310
ko:K03577	bsup:BSPT1_I0311
ko:K03585	bsup:BSPT1_I0312
ko:K18138	bsup:BSPT1_I0313
ko:K02030	bsup:BSPT1_I0315
ko:K07636	bsup:BSPT1_I0320
ko:K03426	bsup:BSPT1_I0031
ko:K04518	bsup:BSPT1_I0032
ko:K00979	bsup:BSPT1_I0033
ko:K08738	bsup:BSPT1_I0034
ko:K02297	bsup:BSPT1_I0037
ko:K02298	bsup:BSPT1_I0038
ko:K02299	bsup:BSPT1_I0039
ko:K02300	bsup:BSPT1_I0040
ko:K07278	bsup:BSPT1_I0042
ko:K09800	bsup:BSPT1_I0043
ko:K01759	bsup:BSPT1_I0051
ko:K03593	bsup:BSPT1_I0052
ko:K01835	bsup:BSPT1_I0053
ko:K06889	bsup:BSPT1_I0055
ko:K16165	bsup:BSPT1_I0057
ko:K11068	bsup:BSPT1_I0062
ko:K14162	bsup:BSPT1_I0063
ko:K14162	bsup:BSPT1_I0064
ko:K14161	bsup:BSPT1_I0065
ko:K14160	bsup:BSPT1_I0066
ko:K01940	bsup:BSPT1_I0070
ko:K06941	bsup:BSPT1_I0074
ko:K01724	bsup:BSPT1_I0077
ko:K01975	bsup:BSPT1_I0079
ko:K10804	bsup:BSPT1_I0080
ko:K02003	bsup:BSPT1_I0081
ko:K02004	bsup:BSPT1_I0082
ko:K06890	bsup:BSPT1_I0083
ko:K03823	bsup:BSPT1_I0084
ko:K01681	bsup:BSPT1_I0089
ko:K02193	bsup:BSPT1_I0091
ko:K02194	bsup:BSPT1_I0092
ko:K02195	bsup:BSPT1_I0093
ko:K02196	bsup:BSPT1_I0094
ko:K02199	bsup:BSPT1_I0095
ko:K01687	bsup:BSPT1_I0096
ko:K02048	bsup:BSPT1_I0106
ko:K02046	bsup:BSPT1_I0107
ko:K02047	bsup:BSPT1_I0108
ko:K02045	bsup:BSPT1_I0109
ko:K09001	bsup:BSPT1_I0788
ko:K01866	bsup:BSPT1_I0789
ko:K03564	bsup:BSPT1_I0791
ko:K02836	bsup:BSPT1_I0796
ko:K05366	bsup:BSPT1_I0798
ko:K01448	bsup:BSPT1_I0799
ko:K08300	bsup:BSPT1_I0801
ko:K03786	bsup:BSPT1_I0807
ko:K02160	bsup:BSPT1_I0808
ko:K01961	bsup:BSPT1_I0810
ko:K00684	bsup:BSPT1_I0811
ko:K00684	bsup:BSPT1_I0812
ko:K02434	bsup:BSPT1_I0818
ko:K03545	bsup:BSPT1_I0819
ko:K04094	bsup:BSPT1_I0824
ko:K02291	bsup:BSPT1_I0825
ko:K12257	bsup:BSPT1_I0827
ko:K03210	bsup:BSPT1_I0828
ko:K06923	bsup:BSPT1_I0829
ko:K00573	bsup:BSPT1_I0833
ko:K03787	bsup:BSPT1_I0834
ko:K01875	bsup:BSPT1_I0835
ko:K03118	bsup:BSPT1_I0836
ko:K03117	bsup:BSPT1_I0837
ko:K03116	bsup:BSPT1_I0838
ko:K01241	bsup:BSPT1_I1093
ko:K00311	bsup:BSPT1_I1095
ko:K01256	bsup:BSPT1_I1099
ko:K07716	bsup:BSPT1_I1101
ko:K00982	bsup:BSPT1_I1103
ko:K02200	bsup:BSPT1_I1107
ko:K02198	bsup:BSPT1_I1108
ko:K02197	bsup:BSPT1_I1109
ko:K02200	bsup:BSPT1_I1110
ko:K05366	bsup:BSPT1_I1136
ko:K11357	bsup:BSPT1_I1142
ko:K03657	bsup:BSPT1_I1445
ko:K05805	bsup:BSPT1_I1446
ko:K07152	bsup:BSPT1_I1448
ko:K02687	bsup:BSPT1_I1449
ko:K01262	bsup:BSPT1_I1450
ko:K01972	bsup:BSPT1_I1452
ko:K03631	bsup:BSPT1_I1453
ko:K05807	bsup:BSPT1_I1454
ko:K00220	bsup:BSPT1_I1805
ko:K07232	bsup:BSPT1_I1807
ko:K02221	bsup:BSPT1_I1810
ko:K01507	bsup:BSPT1_I1811
ko:K00655	bsup:BSPT1_I1813
ko:K09811	bsup:BSPT1_I1815
ko:K09812	bsup:BSPT1_I1816
ko:K06188	bsup:BSPT1_I1818
ko:K01142	bsup:BSPT1_I1820
ko:K09125	bsup:BSPT1_I1830
ko:K02902	bsup:BSPT1_I1831
ko:K01534	bsup:BSPT1_I1834
ko:K09883	bsup:BSPT1_I1837
ko:K05527	bsup:BSPT1_I1841
ko:K01735	bsup:BSPT1_I1843
ko:K00891	bsup:BSPT1_I1844
ko:K04763	bsup:BSPT1_I1846
ko:K01962	bsup:BSPT1_I1847
ko:K04085	bsup:BSPT1_I1849
ko:K03071	bsup:BSPT1_I1886
ko:K07113	bsup:BSPT1_I1887
ko:K08304	bsup:BSPT1_I1890
ko:K00059	bsup:BSPT1_I1855
ko:K02529	bsup:BSPT1_I1865
ko:K03667	bsup:BSPT1_I1894
ko:K01989	bsup:BSPT1_I1868
ko:K05832	bsup:BSPT1_I1869
ko:K05833	bsup:BSPT1_I1870
ko:K02340	bsup:BSPT1_I1871
ko:K03501	bsup:BSPT1_I1874
ko:K03495	bsup:BSPT1_I1875
ko:K03650	bsup:BSPT1_I1876
ko:K06888	bsup:BSPT1_I1877
ko:K03628	bsup:BSPT1_I1878
ko:K08973	bsup:BSPT1_I1879
ko:K01599	bsup:BSPT1_I1880
ko:K09773	bsup:BSPT1_I1881
ko:K06287	bsup:BSPT1_I1882
ko:K00014	bsup:BSPT1_I1883
ko:K00859	bsup:BSPT1_I1884
ko:K02342	bsup:BSPT1_I1885
ko:K01419	bsup:BSPT1_I1895
ko:K03188	bsup:BSPT1_I1392
ko:K03187	bsup:BSPT1_I1391
ko:K03189	bsup:BSPT1_I1393
ko:K02498	bsup:BSPT1_I1700
ko:K01719	bsup:BSPT1_I1702
ko:K01749	bsup:BSPT1_I1703
ko:K01409	bsup:BSPT1_I1705
ko:K00057	bsup:BSPT1_I1706
ko:K09780	bsup:BSPT1_I1707
ko:K03466	bsup:BSPT1_I1712
ko:K03320	bsup:BSPT1_I1713
ko:K10805	bsup:BSPT1_I1714
ko:K03185	bsup:BSPT1_I1716
ko:K00240	bsup:BSPT1_I1718
ko:K00239	bsup:BSPT1_I1719
ko:K00242	bsup:BSPT1_I1720
ko:K00241	bsup:BSPT1_I1721
ko:K01703	bsup:BSPT1_I1723
ko:K02884	bsup:BSPT1_I1725
ko:K03457	bsup:BSPT1_I1726
ko:K07090	bsup:BSPT1_I1727
ko:K00554	bsup:BSPT1_I1732
ko:K02860	bsup:BSPT1_I1733
ko:K03733	bsup:BSPT1_I1734
ko:K09973	bsup:BSPT1_I1735
ko:K00382	bsup:BSPT1_I1736
ko:K00658	bsup:BSPT1_I1740
ko:K00164	bsup:BSPT1_I1741
ko:K01902	bsup:BSPT1_I1743
ko:K01903	bsup:BSPT1_I1744
ko:K00024	bsup:BSPT1_I1745
ko:K03190	bsup:BSPT1_I1394
ko:K08717	bsup:BSPT1_I1395
ko:K02009	bsup:BSPT1_I1396
ko:K02007	bsup:BSPT1_I1397
ko:K16915	bsup:BSPT1_I1398
ko:K02008	bsup:BSPT1_I1399
ko:K02006	bsup:BSPT1_I1400
ko:K06199	bsup:BSPT1_I1402
ko:K06998	bsup:BSPT1_I1406
ko:K00053	bsup:BSPT1_I1412
ko:K03549	bsup:BSPT1_I1414
ko:K03474	bsup:BSPT1_I1415
ko:K01653	bsup:BSPT1_I1419
ko:K01997	bsup:BSPT1_II0587
ko:K01998	bsup:BSPT1_II0588
ko:K01995	bsup:BSPT1_II0589
ko:K01996	bsup:BSPT1_II0590
ko:K01486	bsup:BSPT1_II0591
ko:K01273	bsup:BSPT1_II0592
ko:K05813	bsup:BSPT1_II0593
ko:K05813	bsup:BSPT1_II0594
ko:K05814	bsup:BSPT1_II0595
ko:K05815	bsup:BSPT1_II0596
ko:K05816	bsup:BSPT1_II0597
ko:K06901	bsup:BSPT1_II0600
ko:K00826	bsup:BSPT1_II0606
ko:K07090	bsup:BSPT1_II0607
ko:K07077	bsup:BSPT1_II0608
ko:K00128	bsup:BSPT1_II0610
ko:K00128	bsup:BSPT1_II0611
ko:K02016	bsup:BSPT1_II0613
ko:K02015	bsup:BSPT1_II0614
ko:K02015	bsup:BSPT1_II0615
ko:K02013	bsup:BSPT1_II0616
ko:K01469	bsup:BSPT1_II0618
ko:K02424	bsup:BSPT1_II0619
ko:K10009	bsup:BSPT1_II0620
ko:K10010	bsup:BSPT1_II0621
ko:K01524	bsup:BSPT1_II0622
ko:K02427	bsup:BSPT1_II0623
ko:K10112	bsup:BSPT1_II0625
ko:K17317	bsup:BSPT1_II0626
ko:K17316	bsup:BSPT1_II0627
ko:K17315	bsup:BSPT1_II0628
ko:K00794	bsup:BSPT1_II0630
ko:K02379	bsup:BSPT1_II0631
ko:K01255	bsup:BSPT1_I1996
ko:K10563	bsup:BSPT1_I1999
ko:K01692	bsup:BSPT1_I2000
ko:K02968	bsup:BSPT1_I2001
ko:K02313	bsup:BSPT1_I2003
ko:K02338	bsup:BSPT1_I2004
ko:K03629	bsup:BSPT1_I2005
ko:K12972	bsup:BSPT1_I2007
ko:K13896	bsup:BSPT1_I2008
ko:K11381	bsup:BSPT1_II0001
ko:K00627	bsup:BSPT1_II0002
ko:K01652	bsup:BSPT1_I1420
ko:K00791	bsup:BSPT1_I1422
ko:K01079	bsup:BSPT1_I1423
ko:K07007	bsup:BSPT1_I1424
ko:K09937	bsup:BSPT1_I1426
ko:K04087	bsup:BSPT1_I1427
ko:K04088	bsup:BSPT1_I1428
ko:K07552	bsup:BSPT1_I1433
ko:K09985	bsup:BSPT1_I1436
ko:K06916	bsup:BSPT1_I1746
ko:K01778	bsup:BSPT1_I1749
ko:K18707	bsup:BSPT1_I1750
ko:K03110	bsup:BSPT1_I1751
ko:K06190	bsup:BSPT1_I1752
ko:K01069	bsup:BSPT1_I1753
ko:K03574	bsup:BSPT1_I1756
ko:K00620	bsup:BSPT1_I1758
ko:K03769	bsup:BSPT1_I1760
ko:K03070	bsup:BSPT1_I1762
ko:K03760	bsup:BSPT1_I1765
ko:K02030	bsup:BSPT1_I1769
ko:K02029	bsup:BSPT1_I1770
ko:K02029	bsup:BSPT1_I1771
ko:K02028	bsup:BSPT1_I1772
ko:K01480	bsup:BSPT1_I1773
ko:K01744	bsup:BSPT1_I1774
ko:K09972	bsup:BSPT1_I1775
ko:K01424	bsup:BSPT1_I1776
ko:K01424	bsup:BSPT1_I1778
ko:K01761	bsup:BSPT1_I1782
ko:K01738	bsup:BSPT1_I1784
ko:K00074	bsup:BSPT1_I1786
ko:K03522	bsup:BSPT1_I1787
ko:K03521	bsup:BSPT1_I1788
ko:K06920	bsup:BSPT1_I1789
ko:K01737	bsup:BSPT1_I1790
ko:K10026	bsup:BSPT1_I1791
ko:K07058	bsup:BSPT1_I1795
ko:K09768	bsup:BSPT1_I1796
ko:K01755	bsup:BSPT1_I1798
ko:K01586	bsup:BSPT1_I1800
ko:K00760	bsup:BSPT1_I1802
ko:K00817	bsup:BSPT1_I1804
ko:K00097	bsup:BSPT1_I1037
ko:K02528	bsup:BSPT1_I1038
ko:K00208	bsup:BSPT1_I1296
ko:K00275	bsup:BSPT1_I1299
ko:K03179	bsup:BSPT1_I1300
ko:K01945	bsup:BSPT1_I1301
ko:K07566	bsup:BSPT1_I1309
ko:K01879	bsup:BSPT1_I1310
ko:K01878	bsup:BSPT1_I1312
ko:K02523	bsup:BSPT1_I1314
ko:K03313	bsup:BSPT1_I1318
ko:K00919	bsup:BSPT1_I1321
ko:K03470	bsup:BSPT1_I1326
ko:K02109	bsup:BSPT1_I1327
ko:K02109	bsup:BSPT1_I1328
ko:K02110	bsup:BSPT1_I1329
ko:K02108	bsup:BSPT1_I1330
ko:K02116	bsup:BSPT1_I1331
ko:K04046	bsup:BSPT1_I1334
ko:K03977	bsup:BSPT1_I1335
ko:K17938	bsup:BSPT1_I1338
ko:K10778	bsup:BSPT1_I1342
ko:K07110	bsup:BSPT1_I1647
ko:K01637	bsup:BSPT1_I1648
ko:K00076	bsup:BSPT1_I1656
ko:K16079	bsup:BSPT1_I1660
ko:K05879	bsup:BSPT1_I1663
ko:K05878	bsup:BSPT1_I1664
ko:K05879	bsup:BSPT1_I1665
ko:K05878	bsup:BSPT1_I1666
ko:K17205	bsup:BSPT1_I1668
ko:K17206	bsup:BSPT1_I1669
ko:K17207	bsup:BSPT1_I1670
ko:K03695	bsup:BSPT1_I1684
ko:K02493	bsup:BSPT1_I1687
ko:K02835	bsup:BSPT1_I1688
ko:K08484	bsup:BSPT1_I1689
ko:K00928	bsup:BSPT1_I1690
ko:K00568	bsup:BSPT1_I1691
ko:K05786	bsup:BSPT1_I1040
ko:K01999	bsup:BSPT1_II0345
ko:K01995	bsup:BSPT1_II0346
ko:K01998	bsup:BSPT1_II0346
ko:K01996	bsup:BSPT1_II0347
ko:K00059	bsup:BSPT1_II0349
ko:K00014	bsup:BSPT1_II0350
ko:K00135	bsup:BSPT1_II0352
ko:K01999	bsup:BSPT1_II0353
ko:K01714	bsup:BSPT1_II0359
ko:K02034	bsup:BSPT1_II0360
ko:K02033	bsup:BSPT1_II0361
ko:K02035	bsup:BSPT1_II0362
ko:K17948	bsup:BSPT1_II0365
ko:K01991	bsup:BSPT1_II0371
ko:K02377	bsup:BSPT1_II0372
ko:K01711	bsup:BSPT1_II0373
ko:K16079	bsup:BSPT1_II0377
ko:K03818	bsup:BSPT1_II0378
ko:K02851	bsup:BSPT1_II0383
ko:K15581	bsup:BSPT1_II0487
ko:K15580	bsup:BSPT1_II0488
ko:K15580	bsup:BSPT1_II0489
ko:K00012	bsup:BSPT1_II0495
ko:K07039	bsup:BSPT1_II0506
ko:K13772	bsup:BSPT1_II0514
ko:K03594	bsup:BSPT1_II0516
ko:K14441	bsup:BSPT1_II0518
ko:K02058	bsup:BSPT1_II0519
ko:K02057	bsup:BSPT1_II0520
ko:K02057	bsup:BSPT1_II0521
ko:K02057	bsup:BSPT1_II0522
ko:K02056	bsup:BSPT1_II0523
ko:K01004	bsup:BSPT1_II0525
ko:K03185	bsup:BSPT1_II0526
ko:K11940	bsup:BSPT1_II0527
ko:K02035	bsup:BSPT1_II0529
ko:K03723	bsup:BSPT1_II0532
ko:K09159	bsup:BSPT1_II0533
ko:K03655	bsup:BSPT1_II0534
ko:K00820	bsup:BSPT1_II0535
ko:K01649	bsup:BSPT1_I1041
ko:K01883	bsup:BSPT1_I1043
ko:K06895	bsup:BSPT1_I1045
ko:K01465	bsup:BSPT1_I1051
ko:K06980	bsup:BSPT1_I1052
ko:K03584	bsup:BSPT1_I1055
ko:K03685	bsup:BSPT1_I1057
ko:K03100	bsup:BSPT1_I1058
ko:K00997	bsup:BSPT1_I1059
ko:K09928	bsup:BSPT1_I1060
ko:K08223	bsup:BSPT1_I1062
ko:K00762	bsup:BSPT1_I1065
ko:K03060	bsup:BSPT1_I1067
ko:K03664	bsup:BSPT1_I1071
ko:K01714	bsup:BSPT1_I1072
ko:K08309	bsup:BSPT1_I1075
ko:K00817	bsup:BSPT1_I1083
ko:K07126	bsup:BSPT1_I1087
ko:K00404	bsup:BSPT1_I1347
ko:K00405	bsup:BSPT1_I1348
ko:K00407	bsup:BSPT1_I1349
ko:K00406	bsup:BSPT1_I1350
ko:K01533	bsup:BSPT1_I1353
ko:K01487	bsup:BSPT1_I1356
ko:K07402	bsup:BSPT1_I1359
ko:K13482	bsup:BSPT1_I1360
ko:K13481	bsup:BSPT1_I1361
ko:K13481	bsup:BSPT1_I1362
ko:K14977	bsup:BSPT1_I1365
ko:K02431	bsup:BSPT1_I1372
ko:K02056	bsup:BSPT1_I1374
ko:K02057	bsup:BSPT1_I1375
ko:K02058	bsup:BSPT1_I1377
ko:K02013	bsup:BSPT1_I1379
ko:K02015	bsup:BSPT1_I1380
ko:K02016	bsup:BSPT1_I1381
ko:K16092	bsup:BSPT1_I1382
ko:K13926	bsup:BSPT1_I1384
ko:K01993	bsup:BSPT1_I1385
ko:K01430	bsup:BSPT1_I1388
ko:K01429	bsup:BSPT1_I1389
ko:K01428	bsup:BSPT1_I1390
ko:K08305	bsup:BSPT1_II0037
ko:K00963	bsup:BSPT1_II0039
ko:K07340	bsup:BSPT1_II0042
ko:K01772	bsup:BSPT1_II0044
ko:K00808	bsup:BSPT1_II0046
ko:K02619	bsup:BSPT1_II0047
ko:K01665	bsup:BSPT1_II0048
ko:K08602	bsup:BSPT1_II0049
ko:K01625	bsup:BSPT1_II0052
ko:K07146	bsup:BSPT1_II0054
ko:K02020	bsup:BSPT1_II0055
ko:K02018	bsup:BSPT1_II0056
ko:K02017	bsup:BSPT1_II0057
ko:K01426	bsup:BSPT1_II0064
ko:K01581	bsup:BSPT1_II0065
ko:K00033	bsup:BSPT1_II0076
ko:K02052	bsup:BSPT1_II0077
ko:K02053	bsup:BSPT1_II0078
ko:K02054	bsup:BSPT1_II0079
ko:K02055	bsup:BSPT1_II0081
ko:K03543	bsup:BSPT1_II0084
ko:K02401	bsup:BSPT1_II0089
ko:K02410	bsup:BSPT1_II0090
ko:K02410	bsup:BSPT1_II0091
ko:K02417	bsup:BSPT1_II0092
ko:K02484	bsup:BSPT1_II0192
ko:K00380	bsup:BSPT1_II0197
ko:K03734	bsup:BSPT1_II0198
ko:K02164	bsup:BSPT1_II0209
ko:K02305	bsup:BSPT1_II0211
ko:K04561	bsup:BSPT1_II0212
ko:K04748	bsup:BSPT1_II0213
ko:K02448	bsup:BSPT1_II0214
ko:K00368	bsup:BSPT1_II0222
ko:K03435	bsup:BSPT1_II0225
ko:K10543	bsup:BSPT1_II0227
ko:K10545	bsup:BSPT1_II0228
ko:K10544	bsup:BSPT1_II0229
ko:K07078	bsup:BSPT1_II0452
ko:K05559	bsup:BSPT1_II0454
ko:K05560	bsup:BSPT1_II0455
ko:K05561	bsup:BSPT1_II0456
ko:K05562	bsup:BSPT1_II0457
ko:K05563	bsup:BSPT1_II0458
ko:K05564	bsup:BSPT1_II0459
ko:K16013	bsup:BSPT1_II0463
ko:K16012	bsup:BSPT1_II0464
ko:K00425	bsup:BSPT1_II0465
ko:K00426	bsup:BSPT1_II0466
ko:K03710	bsup:BSPT1_II0468
ko:K18676	bsup:BSPT1_II0469
ko:K10117	bsup:BSPT1_II0470
ko:K10118	bsup:BSPT1_II0472
ko:K10119	bsup:BSPT1_II0473
ko:K10111	bsup:BSPT1_II0475
ko:K00166	bsup:BSPT1_II0476
ko:K00167	bsup:BSPT1_II0477
ko:K09699	bsup:BSPT1_II0478
ko:K00382	bsup:BSPT1_II0479
ko:K14998	bsup:BSPT1_II0480
ko:K03466	bsup:BSPT1_II0481
ko:K01266	bsup:BSPT1_II0482
ko:K08369	bsup:BSPT1_II0483
ko:K03919	bsup:BSPT1_II0484
ko:K10823	bsup:BSPT1_II0485
ko:K15583	bsup:BSPT1_II0485
ko:K15582	bsup:BSPT1_II0486
ko:K02011	bsup:BSPT1_II0636
ko:K02012	bsup:BSPT1_II0637
ko:K02010	bsup:BSPT1_II0638
ko:K14588	bsup:BSPT1_II0642
ko:K04756	bsup:BSPT1_II0645
ko:K03386	bsup:BSPT1_II0646
ko:K04761	bsup:BSPT1_II0647
ko:K00010	bsup:BSPT1_II0649
ko:K03338	bsup:BSPT1_II0651
ko:K03338	bsup:BSPT1_II0652
ko:K03336	bsup:BSPT1_II0653
ko:K03336	bsup:BSPT1_II0655
ko:K03335	bsup:BSPT1_II0656
ko:K03337	bsup:BSPT1_II0657
ko:K01092	bsup:BSPT1_II0658
ko:K02010	bsup:BSPT1_II0659
ko:K02011	bsup:BSPT1_II0660
ko:K02012	bsup:BSPT1_II0661
ko:K13821	bsup:BSPT1_II0662
ko:K00014	bsup:BSPT1_II0003
ko:K01531	bsup:BSPT1_II0005
ko:K07507	bsup:BSPT1_II0008
ko:K13589	bsup:BSPT1_II0012
ko:K01048	bsup:BSPT1_II0016
ko:K04080	bsup:BSPT1_II0019
ko:K01620	bsup:BSPT1_II0020
ko:K00265	bsup:BSPT1_II0021
ko:K00266	bsup:BSPT1_II0022
ko:K11737	bsup:BSPT1_II0023
ko:K09795	bsup:BSPT1_II0024
ko:K01920	bsup:BSPT1_I1946
ko:K02416	bsup:BSPT1_II0094
ko:K02556	bsup:BSPT1_II0095
ko:K02391	bsup:BSPT1_II0097
ko:K02412	bsup:BSPT1_II0098
ko:K02387	bsup:BSPT1_II0113
ko:K02388	bsup:BSPT1_II0114
ko:K02408	bsup:BSPT1_II0115
ko:K02392	bsup:BSPT1_II0116
ko:K02386	bsup:BSPT1_II0117
ko:K02394	bsup:BSPT1_II0118
ko:K02393	bsup:BSPT1_II0120
ko:K02415	bsup:BSPT1_II0121
ko:K02502	bsup:BSPT1_II0150
ko:K02415	bsup:BSPT1_II0122
ko:K02419	bsup:BSPT1_II0123
ko:K09709	bsup:BSPT1_II0128
ko:K01644	bsup:BSPT1_II0129
ko:K00765	bsup:BSPT1_II0151
ko:K02429	bsup:BSPT1_II0152
ko:K08738	bsup:BSPT1_II0135
ko:K09794	bsup:BSPT1_II0136
ko:K00104	bsup:BSPT1_II0141
ko:K11472	bsup:BSPT1_II0142
ko:K11473	bsup:BSPT1_II0143
ko:K06221	bsup:BSPT1_II0144
ko:K01246	bsup:BSPT1_II0147
ko:K01892	bsup:BSPT1_II0149
ko:K10236	bsup:BSPT1_II0266
ko:K10237	bsup:BSPT1_II0267
ko:K10238	bsup:BSPT1_II0268
ko:K10111	bsup:BSPT1_II0269
ko:K03647	bsup:BSPT1_II0277
ko:K03610	bsup:BSPT1_II0281
ko:K03609	bsup:BSPT1_II0282
ko:K03608	bsup:BSPT1_II0283
ko:K02055	bsup:BSPT1_II0287
ko:K02052	bsup:BSPT1_II0288
ko:K02054	bsup:BSPT1_II0289
ko:K01845	bsup:BSPT1_II0389
ko:K09456	bsup:BSPT1_II0553
ko:K01790	bsup:BSPT1_II0393
ko:K00609	bsup:BSPT1_II0554
ko:K00978	bsup:BSPT1_II0395
ko:K00864	bsup:BSPT1_II0399
ko:K08224	bsup:BSPT1_II0401
ko:K07305	bsup:BSPT1_II0403
ko:K00626	bsup:BSPT1_II0405
ko:K01895	bsup:BSPT1_II0407
ko:K00058	bsup:BSPT1_II0410
ko:K01462	bsup:BSPT1_II0411
ko:K01465	bsup:BSPT1_II0555
ko:K09781	bsup:BSPT1_II0412
ko:K07112	bsup:BSPT1_II0414
ko:K07112	bsup:BSPT1_II0415
ko:K01993	bsup:BSPT1_II0420
ko:K01990	bsup:BSPT1_II0421
ko:K01990	bsup:BSPT1_II0422
ko:K02050	bsup:BSPT1_II0425
ko:K02049	bsup:BSPT1_II0426
ko:K02051	bsup:BSPT1_II0427
ko:K03885	bsup:BSPT1_II0437
ko:K06996	bsup:BSPT1_II0439
ko:K04042	bsup:BSPT1_II0536
ko:K06196	bsup:BSPT1_II0537
ko:K14205	bsup:BSPT1_II0538
ko:K08591	bsup:BSPT1_II0556
ko:K03801	bsup:BSPT1_II0543
ko:K02622	bsup:BSPT1_II0545
ko:K04096	bsup:BSPT1_II0557
ko:K02433	bsup:BSPT1_II0548
ko:K02435	bsup:BSPT1_II0549
ko:K07447	bsup:BSPT1_II0552
ko:K02429	bsup:BSPT1_II0153
ko:K15977	bsup:BSPT1_II0154
ko:K01679	bsup:BSPT1_II0155
ko:K04077	bsup:BSPT1_II0157
ko:K04078	bsup:BSPT1_II0158
ko:K11753	bsup:BSPT1_II0160
ko:K01870	bsup:BSPT1_II0161
ko:K12262	bsup:BSPT1_II0163
ko:K06178	bsup:BSPT1_II0165
ko:K08316	bsup:BSPT1_II0166
ko:K07263	bsup:BSPT1_II0167
ko:K07263	bsup:BSPT1_II0168
ko:K07263	bsup:BSPT1_II0169
ko:K07001	bsup:BSPT1_II0170
ko:K03455	bsup:BSPT1_II0171
ko:K03592	bsup:BSPT1_II0172
ko:K01092	bsup:BSPT1_II0173
ko:K09778	bsup:BSPT1_II0175
ko:K02527	bsup:BSPT1_II0176
ko:K00912	bsup:BSPT1_II0177
ko:K03572	bsup:BSPT1_II0179
ko:K08196	bsup:BSPT1_II0180
ko:K06446	bsup:BSPT1_II0181
ko:K00074	bsup:BSPT1_II0184
ko:K03734	bsup:BSPT1_II0244
ko:K07234	bsup:BSPT1_II0247
ko:K02051	bsup:BSPT1_II0248
ko:K02050	bsup:BSPT1_II0249
ko:K02049	bsup:BSPT1_II0250
ko:K08303	bsup:BSPT1_II0253
ko:K03182	bsup:BSPT1_II0255
ko:K03186	bsup:BSPT1_II0256
ko:K03769	bsup:BSPT1_II0258
ko:K00374	bsup:BSPT1_II0259
ko:K00373	bsup:BSPT1_II0260
ko:K00371	bsup:BSPT1_II0261
ko:K00370	bsup:BSPT1_II0262
ko:K02575	bsup:BSPT1_II0263
ko:K02529	bsup:BSPT1_II0265
ko:K03719	bsup:BSPT1_II0663
ko:K00281	bsup:BSPT1_II0664
ko:K02437	bsup:BSPT1_II0665
ko:K00605	bsup:BSPT1_II0666
ko:K01915	bsup:BSPT1_II0671
ko:K01782	bsup:BSPT1_II0732
ko:K02002	bsup:BSPT1_II0676
ko:K02001	bsup:BSPT1_II0677
ko:K02000	bsup:BSPT1_II0678
ko:K10112	bsup:BSPT1_II0682
ko:K02027	bsup:BSPT1_II0684
ko:K00626	bsup:BSPT1_II0733
ko:K02025	bsup:BSPT1_II0685
ko:K02026	bsup:BSPT1_II0686
ko:K02013	bsup:BSPT1_II0689
ko:K02013	bsup:BSPT1_II0690
ko:K10824	bsup:BSPT1_II0739
ko:K02015	bsup:BSPT1_II0691
ko:K15587	bsup:BSPT1_II0740
ko:K02016	bsup:BSPT1_II0692
ko:K06075	bsup:BSPT1_II0697
ko:K09761	bsup:BSPT1_II0698
ko:K01919	bsup:BSPT1_II0699
ko:K03601	bsup:BSPT1_II0700
ko:K02052	bsup:BSPT1_II0750
ko:K01915	bsup:BSPT1_II0704
ko:K09471	bsup:BSPT1_II0706
ko:K00059	bsup:BSPT1_II0714
ko:K00036	bsup:BSPT1_II0715
ko:K01057	bsup:BSPT1_II0716
ko:K01690	bsup:BSPT1_II0717
ko:K01491	bsup:BSPT1_II0719
ko:K00286	bsup:BSPT1_II0720
ko:K02034	bsup:BSPT1_II0723
ko:K02033	bsup:BSPT1_II0724
ko:K02035	bsup:BSPT1_II0725
ko:K01673	bsup:BSPT1_II0727
ko:K04566	bsup:BSPT1_II0729
ko:K03168	bsup:BSPT1_II0558
ko:K12573	bsup:BSPT1_II0559
ko:K02913	bsup:BSPT1_II0563
ko:K09826	bsup:BSPT1_I1988
